<doc id="wr_1759-10-27" attrs="word" year="1759" month="10" day="27" corpus="2">
<head id="h2_d392e4020">
Altona	w1_d392e4024
Nachricht	w5_d392e7657
angelangt,	w7_d392e7660
daß	w9_d392e7663
nach	w11_d392e7666
ei	w13_d392e7670
nem	w1_d392e7675
vorgegangenen	w3_d392e7678
See=gefecht,	w5_d392e7681
einige	w7_d392e7684
tausend	w1_d392e7689
Mann	w3_d392e7692
auf	w5_d392e7695
unsern	w7_d392e7698
Küsten	w9_d392e7701
zwischen	w11_d392e7704
denen	w1_d392e7709
Städten	w3_d392e7712
Lagos	w5_d392e7715
und	w7_d392e7718
Portimara	w9_d392e7721
ge	w11_d392e7724
landet	w1_d392e7730
hätten.	w3_d392e7733
Worauf	w5_d392e7736
alsogleich	w7_d392e7739
an	w9_d392e7742
den	w11_d392e7745
Gouverneur	w1_d392e7750
die	w3_d392e7753
Ordre	w5_d392e7756
expediret	w7_d392e7759
worden,	w9_d392e7762
alles,	w1_d392e7767
was	w3_d392e7770
er	w5_d392e7773
von	w7_d392e7776
Trupen	w9_d392e7779
und	w11_d392e7782
Militz	w13_d392e7786
zu	w15_d392e7789
sammen	w1_d392e7794
raffen	w3_d392e7797
kan,	w5_d392e7800
gegen	w7_d392e7803
die	w9_d392e7806
Küste	w11_d392e7809
mar	w13_d392e7813
schiren	w1_d392e7819
zu	w3_d392e7822
lassen.	w5_d392e7825
Am	w7_d392e7828
23.	w9_d392e7831
früh	w11_d392e7834
langte	w13_d392e7838
aber	w15_d392e7841
ein	w1_d392e7846
Courier	w3_d392e7849
an,	w5_d392e7852
und	w7_d392e7855
benachrichtigte	w9_d392e7858
den	w11_d392e7861
Hof,	w1_d392e7866
daß	w3_d392e7869
von	w5_d392e7872
der	w7_d392e7875
Französischen	w9_d392e7878
Escadre	w11_d392e7881
von	w1_d392e7886
Toulon,	w3_d392e7889
vier	w5_d392e7892
Schiffe	w7_d392e7895
auf	w9_d392e7898
der	w11_d392e7901
Küste	w13_d392e7905
gestrandet	w1_d392e7911
hätten,	w3_d392e7914
wovon	w5_d392e7917
die	w7_d392e7920
Equipage	w9_d392e7923
von	w11_d392e7926
1400.	w1_d392e7931
Mann,	w3_d392e7934
nebst	w5_d392e7937
dem	w7_d392e7940
Herrn	w9_d392e7943
de	w11_d392e7946
la	w13_d392e7950
Clüe,	w1_d392e7955
dem	w3_d392e7958
beyde	w5_d392e7961
Füsse	w7_d392e7964
abgeschossen,	w9_d392e7967
an	w11_d392e7970
das	w1_d392e7975
Land	w3_d392e7978
gestiegen	w5_d392e7981
wären.	w7_d392e7984
Der	w9_d392e7987
Gouver	w11_d392e7990
neur	w1_d392e7996
erhielte	w3_d392e7999
sodann	w5_d392e8002
unverzüglich	w7_d392e8005
Ordre,	w9_d392e8008
die	w1_d392e8013
Bleßirte	w3_d392e8016
verbinden,	w5_d392e8019
mit	w7_d392e8022
aller	w9_d392e8025
ersinnli	w11_d392e8028
chen	w1_d392e8033
Attention	w3_d392e8036
die	w5_d392e8039
Kranke	w7_d392e8042
versorgen,	w9_d392e8045
und	w11_d392e8048
denen	w1_d392e8053
Franzosen	w3_d392e8056
alles	w5_d392e8059
Nöhtige	w7_d392e8062
aus	w9_d392e8065
der	w11_d392e8068
Königlichen	w1_d392e8074
Cassa	w3_d392e8077
abreichen	w5_d392e8080
zu	w7_d392e8083
lassen.	w9_d392e8086
Das	w11_d392e8089
ausführlichste,	w1_d392e8094
so	w3_d392e8097
wir	w5_d392e8100
alhier	w7_d392e8103
von	w9_d392e8106
dieser	w11_d392e8109
See	w13_d392e8113
schlacht	w1_d392e8118
wissen,	w3_d392e8121
bestehet	w5_d392e8124
in	w7_d392e8127
folgenden:	w9_d392e8130
</p>
<p id="p8_d392e8133">
Der	w1_d392e8137
Herr	w3_d392e8140
de	w5_d392e8143
la	w7_d392e8146
Clüe	w9_d392e8149
lieffe	w11_d392e8152
mit	w13_d392e8156
13.	w15_d392e8159
Schif	w17_d392e8162
fen	w1_d392e8167
und	w3_d392e8170
3.	w5_d392e8173
Fregatten	w7_d392e8176
von	w9_d392e8179
Toulon	w11_d392e8182
aus,	w13_d392e8186
und	w15_d392e8189
paßirte	w1_d392e8194
am	w3_d392e8197
16.	w5_d392e8200
die	w7_d392e8203
Meer=enge.	w9_d392e8206
Selbigen	w11_d392e8209
Abends	w1_d392e8215
wurde	w3_d392e8218
er	w5_d392e8221
von	w7_d392e8224
einer	w9_d392e8227
Engländischen	w11_d392e8230
Fregatte	w1_d392e8235
entdecket,	w3_d392e8238
die	w5_d392e8241
solches	w7_d392e8244
dem	w9_d392e8247
Admi	w11_d392e8250
ral	w1_d392e8255
Boscawen	w3_d392e8258
zu	w5_d392e8261
Gibraltar	w7_d392e8264
durch	w9_d392e8267
Zeichen	w11_d392e8270
zu	w1_d392e8275
verstehen	w3_d392e8278
gab.	w5_d392e8281
Dieser	w7_d392e8284
lieffe	w9_d392e8287
sogleich	w11_d392e8290
mit	w1_d392e8296
17.	w3_d392e8299
Schiffen	w5_d392e8302
in	w7_d392e8305
die	w9_d392e8308
See.	w11_d392e8311
Am	w13_d392e8315
17.	w15_d392e8318
früh	w1_d392e8323
wurde	w3_d392e8326
die	w5_d392e8329
Französische	w7_d392e8332
Escadre	w9_d392e8335
durch	w11_d392e8338
einen	w1_d392e8343
Sturm=wind	w3_d392e8346
und	w5_d392e8349
Nebel	w7_d392e8352
solchergestalt	w9_d392e8355
getrennet,	w1_d392e8360
daß	w3_d392e8363
der	w5_d392e8366
Herr	w7_d392e8369
de	w9_d392e8372
la	w11_d392e8375
Clüe	w13_d392e8379
sich	w15_d392e8382
nebst	w1_d392e8388
7.	w3_d392e8391
Schiffen	w5_d392e8394
alleine	w7_d392e8397
sah,	w9_d392e8400
mit	w11_d392e8403
welchen	w13_d392e8407
</p>
<p id="p14_d392e8421">
er	w1_d392e8425
sich	w3_d392e8428
gegen	w5_d392e8431
die	w7_d392e8434
ganze	w9_d392e8437
Engländische	w11_d392e8440
Esca	w13_d392e8444
dre	w1_d392e8449
in	w3_d392e8452
eine	w5_d392e8455
Linie	w7_d392e8458
setzte.	w9_d392e8461
Die	w11_d392e8464
Schlacht	w13_d392e8468
fien	w15_d392e8471
ge	w1_d392e8476
zu	w3_d392e8479
Mittag	w5_d392e8482
an,	w7_d392e8485
und	w9_d392e8488
daurete	w11_d392e8491
bis	w13_d392e8495
Abends.	w15_d392e8498
Sie	w1_d392e8504
kunte	w3_d392e8507
wenig	w5_d392e8510
favorable	w7_d392e8513
für	w9_d392e8516
die	w11_d392e8519
Franzo	w13_d392e8523
sen	w1_d392e8528
ausfallen.	w3_d392e8531
Der	w5_d392e8534
Admiral	w7_d392e8537
scheiterte	w9_d392e8540
un	w11_d392e8543
ter	w1_d392e8548
dem	w3_d392e8551
Fort	w5_d392e8554
Almadora,	w7_d392e8557
ein	w9_d392e8560
Schif	w11_d392e8563
reti	w13_d392e8567
rirte	w1_d392e8572
sich	w3_d392e8575
unter	w5_d392e8578
das	w7_d392e8581
Fort	w9_d392e8584
Friqueira,	w11_d392e8587
noch	w13_d392e8591
eines	w1_d392e8597
unter	w3_d392e8600
Saviel,	w5_d392e8603
und	w7_d392e8606
das	w9_d392e8609
vierte	w11_d392e8612
unter	w13_d392e8616
das	w1_d392e8621
Fort	w3_d392e8624
Balegira.	w5_d392e8627
Die	w7_d392e8630
Forts	w9_d392e8633
haben	w11_d392e8636
zwar	w1_d392e8641
etliche	w3_d392e8644
Schüsse	w5_d392e8647
gethan,	w7_d392e8650
um	w9_d392e8653
die	w11_d392e8656
Eng	w13_d392e8660
länder	w1_d392e8665
zu	w3_d392e8668
entfernen,	w5_d392e8671
allein	w7_d392e8674
diese	w9_d392e8677
haben	w11_d392e8680
ihrer	w13_d392e8684
Seits	w1_d392e8690
sowol	w3_d392e8693
gegen	w5_d392e8696
die	w7_d392e8699
Küste	w9_d392e8702
als	w11_d392e8705
gegen	w13_d392e8709
diese	w15_d392e8712
Forts	w1_d392e8717
etliche	w3_d392e8720
Lagen	w5_d392e8723
ihres	w7_d392e8726
Geschützes	w9_d392e8729
losge	w11_d392e8732
brannt.	w1_d392e8737
Die	w3_d392e8740
Garnisons	w5_d392e8743
zogen	w7_d392e8746
sich	w9_d392e8749
dahero	w11_d392e8752
zuruck,	w1_d392e8757
und	w3_d392e8760
das	w5_d392e8763
Fort	w7_d392e8766
Saviel	w9_d392e8769
ist	w11_d392e8772
dadurch	w13_d392e8776
beschädiget	w1_d392e8782
worden.	w3_d392e8785
Von	w5_d392e8788
denen	w7_d392e8791
Englän	w9_d392e8794
dischen	w1_d392e8799
Schiffen	w3_d392e8802
weis	w5_d392e8805
man	w7_d392e8808
nichts,	w9_d392e8811
als	w11_d392e8814
das	w13_d392e8818
5.	w1_d392e8823
von	w3_d392e8826
ihnen,	w5_d392e8829
das	w7_d392e8832
Admirals=schif	w9_d392e8835
darunter	w11_d392e8838
mit	w1_d392e8843
begriffen,	w3_d392e8846
sehr	w5_d392e8849
beschädiget	w7_d392e8852
seyn.	w9_d392e8855
Aus	w11_d392e8858
ser	w1_d392e8864
denen	w3_d392e8867
5.	w5_d392e8870
Franzosischen	w7_d392e8873
Schiffen,	w9_d392e8876
die	w11_d392e8879
zu	w1_d392e8884
Cadix	w3_d392e8887
eingeloffen,	w5_d392e8890
sind	w7_d392e8893
noch	w9_d392e8896
andere	w11_d392e8899
in	w13_d392e8903
denen	w1_d392e8908
Spanischen	w3_d392e8911
Häfen	w5_d392e8914
Rotta	w7_d392e8917
und	w9_d392e8920
Esti	w11_d392e8923
pionia,	w1_d392e8928
angelangt.	w3_d392e8931
</p>
<head id="h2_d392e8937">
Auszug	w1_d392e8941
aus	w3_d392e8944
denen	w5_d392e8947
jüngsten	w7_d392e8950
Londner=briefen.	w1_d392e8955
</head>
<p id="p4_d392e8958">
Die	w1_d392e8962
See=rüstungen,	w3_d392e8965
und	w5_d392e8968
die	w7_d392e8971
damit	w9_d392e8974
ver	w11_d392e8977
knüpfte	w1_d392e8982
Pressung	w3_d392e8985
deren	w5_d392e8988
Matrosen	w7_d392e8991
werden	w9_d392e8994
eifrigst	w1_d392e8999
fort	w3_d392e9002
gesetzt,	w5_d392e9005
und	w7_d392e9008
damit	w9_d392e9011
dergleichen	w11_d392e9014
Leute	w1_d392e9020
auch	w3_d392e9023
freywillig	w5_d392e9026
Dienste	w7_d392e9029
nehmen	w9_d392e9032
mö	w11_d392e9035
gen,	w1_d392e9040
so	w3_d392e9043
sind	w5_d392e9046
die	w7_d392e9049
Gratificationes,	w9_d392e9052
die	w11_d392e9055
Se.	w13_d392e9059
Majestät	w1_d392e9064
der	w3_d392e9067
König	w5_d392e9070
schon	w7_d392e9073
vormals	w9_d392e9076
für	w11_d392e9079
die	w13_d392e9083
selbe	w1_d392e9088
bestimmet,	w3_d392e9091
bis	w5_d392e9094
auf	w7_d392e9097
den	w9_d392e9100
9.	w11_d392e9103
Oct.	w13_d392e9107
ver	w15_d392e9110
längert	w1_d392e9116
worden.	w3_d392e9119
Zu	w5_d392e9122
Portsmouth	w7_d392e9125
und	w9_d392e9128
Pli	w11_d392e9131
mouth	w1_d392e9136
wird	w3_d392e9139
eine	w5_d392e9142
neue	w7_d392e9145
Escadre	w9_d392e9148
formiret,	w11_d392e9151
welche	w1_d392e9156
in	w3_d392e9159
den	w5_d392e9162
Canal	w7_d392e9165
vertheilet	w9_d392e9168
werden	w11_d392e9171
soll,	w13_d392e9175
und	w1_d392e9180
es	w3_d392e9183
ist	w5_d392e9186
dieses	w7_d392e9189
neue	w9_d392e9192
Armement	w11_d392e9195
schon	w13_d392e9199
so	w15_d392e9202
weit	w1_d392e9208
gekommen,	w3_d392e9211
daß	w5_d392e9214
der	w7_d392e9217
bisherige	w9_d392e9220
Chef	w11_d392e9223
d'Escadre,	w1_d392e9228
und	w3_d392e9231
nunmehro	w5_d392e9234
zum	w7_d392e9237
Contread	w9_d392e9240
miral	w1_d392e9245
erklärte	w3_d392e9248
Herr	w5_d392e9251
Callis,	w7_d392e9254
dem	w9_d392e9257
das	w11_d392e9260
Comman	w13_d392e9264
do	w1_d392e9269
darüber	w3_d392e9272
aufgetragen	w5_d392e9275
worden,	w7_d392e9278
bereits	w9_d392e9281
am	w11_d392e9284
28.	w1_d392e9290
Sept.	w3_d392e9293
dahin	w5_d392e9296
abgereiset,	w7_d392e9299
um	w9_d392e9302
seine	w11_d392e9305
Flagge	w13_d392e9309
aufzustecken.	w1_d392e9314
Man	w3_d392e9317
spricht	w5_d392e9320
zugleich	w7_d392e9323
neuer	w9_d392e9326
</p>
<p id="p6_d392e9329">
lich	w1_d392e9333
von	w3_d392e9336
Abschickung	w5_d392e9339
einer	w7_d392e9342
namhaften	w9_d392e9345
Esca	w11_d392e9348
dre	w1_d392e9353
in	w3_d392e9356
die	w5_d392e9359
Ost=see.	w7_d392e9362
Das	w9_d392e9365
gewisseste	w11_d392e9368
ist,	w13_d392e9372
daß	w1_d392e9377
die	w3_d392e9380
noch	w5_d392e9383
auf	w7_d392e9386
denen	w9_d392e9389
Küsten	w11_d392e9392
von	w13_d392e9396
Frank	w15_d392e9399
reich	w1_d392e9405
sich	w3_d392e9408
befindende	w5_d392e9411
Escadre	w7_d392e9414
des	w9_d392e9417
Admirals	w11_d392e9420
Rodney,	w1_d392e9425
welcher	w3_d392e9428
bereits	w5_d392e9431
am	w7_d392e9434
26.	w9_d392e9437
Sept.	w11_d392e9440
wieder	w1_d392e9445
von	w3_d392e9448
Spithead	w5_d392e9451
am	w7_d392e9454
Bord	w9_d392e9457
des	w11_d392e9460
Schifs	w13_d392e9464
Deptfort	w1_d392e9469
abgefahren,	w3_d392e9472
demnächst	w5_d392e9475
mit	w7_d392e9478
eini	w9_d392e9481
gen	w1_d392e9487
Schiffen	w3_d392e9490
werde	w5_d392e9493
verstärket	w7_d392e9496
werden.	w9_d392e9499
</p>
<p id="p8_d392e9502">
Den	w1_d392e9506
2.	w3_d392e9509
Oct.	w5_d392e9512
ist	w7_d392e9515
ein	w9_d392e9518
Currier	w11_d392e9521
von	w13_d392e9525
dem	w15_d392e9528
General=major	w1_d392e9533
York	w3_d392e9536
angelanget,	w5_d392e9539
dessen	w7_d392e9542
Depeschen	w1_d392e9547
eine	w3_d392e9550
grosse	w5_d392e9553
Rahtsversamm	w7_d392e9556
lung	w1_d392e9562
veranlasset	w3_d392e9565
haben,	w5_d392e9568
bey	w7_d392e9571
deren	w9_d392e9574
Endi	w11_d392e9577
gung	w1_d392e9582
man	w3_d392e9585
so	w5_d392e9588
gleich	w7_d392e9591
einen	w9_d392e9594
Currier	w11_d392e9597
nach	w13_d392e9601
dem	w15_d392e9604
Haag	w1_d392e9609
abgeschicket	w3_d392e9612
hat.	w5_d392e9615
Das	w7_d392e9618
Kriegs=schif	w9_d392e9621
Port=mahon,	w1_d392e9626
hat	w3_d392e9629
2.	w5_d392e9632
grosse	w7_d392e9635
Holländische	w9_d392e9638
Schiffe,	w1_d392e9644
welche	w3_d392e9647
von	w5_d392e9650
Carlscron	w7_d392e9653
nach	w9_d392e9656
Am	w11_d392e9659
sterdam	w1_d392e9664
zurück	w3_d392e9667
kamen,	w5_d392e9670
nach	w7_d392e9673
denen	w9_d392e9676
Dünen	w11_d392e9679
geführet.	w1_d392e9684
Der	w3_d392e9687
Hof	w5_d392e9690
hat	w7_d392e9693
befohlen,	w9_d392e9696
ihre	w11_d392e9699
Papiere	w1_d392e9704
zu	w3_d392e9707
untersuchen,	w5_d392e9710
um	w7_d392e9713
zu	w9_d392e9716
sehen,	w11_d392e9719
wem	w1_d392e9725
diese	w3_d392e9728
Ladung	w5_d392e9731
eigentlich	w7_d392e9734
gehöret.	w9_d392e9737
Jn	w11_d392e9740
dessen	w1_d392e9745
führet	w3_d392e9748
man	w5_d392e9751
alle	w7_d392e9754
Tage	w9_d392e9757
aus	w11_d392e9760
verschiede	w13_d392e9764
nen	w1_d392e9769
Orten	w3_d392e9772
des	w5_d392e9775
Königreichs	w7_d392e9778
Personen	w9_d392e9781
hieher,	w11_d392e9784
welche	w1_d392e9789
bey	w3_d392e9792
der	w5_d392e9795
Admiralität	w7_d392e9798
wegen	w9_d392e9801
began	w11_d392e9804
gener	w1_d392e9810
Rauberey	w3_d392e9813
gegen	w5_d392e9816
die	w7_d392e9819
neutralen	w9_d392e9822
Schif	w11_d392e9825
fe	w1_d392e9830
sich	w3_d392e9833
rechtfertigen	w5_d392e9836
sollen.	w7_d392e9839
</p>
<p id="p10_d392e9842">
Der	w1_d392e9846
Herr	w3_d392e9849
Vanderpool,	w5_d392e9852
einer	w7_d392e9855
von	w9_d392e9858
denen	w11_d392e9861
Holländischen	w1_d392e9866
Deputirten	w3_d392e9869
ist	w5_d392e9872
von	w7_d392e9875
Haag,	w9_d392e9878
all	w11_d392e9881
wo	w1_d392e9886
er	w3_d392e9889
Jhren	w5_d392e9892
Hochmögenden	w7_d392e9895
von	w9_d392e9898
dem	w11_d392e9901
Zu	w13_d392e9905
stand	w1_d392e9911
seiner	w3_d392e9914
Negotiation	w5_d392e9917
Bericht	w7_d392e9920
abgestattet,	w9_d392e9923
wieder	w1_d392e9928
zurück	w3_d392e9931
gekommen,	w5_d392e9934
dahero	w7_d392e9937
die	w9_d392e9940
Con	w11_d392e9943
ferenzen	w1_d392e9948
zu	w3_d392e9951
Beylegung	w5_d392e9954
deren	w7_d392e9957
Streitigkeiten	w9_d392e9960
wieder	w1_d392e9965
ihren	w3_d392e9968
Anfang	w5_d392e9971
nehmen,	w7_d392e9974
und	w9_d392e9977
man	w11_d392e9980
hoft	w1_d392e9986
auch,	w3_d392e9989
daß	w5_d392e9992
sie	w7_d392e9995
bald	w9_d392e9998
werden	w11_d392e10001
beygeleget	w13_d392e10005
seyn.	w1_d392e10010
Die	w3_d392e10013
Jndianische	w5_d392e10016
Compagnie	w7_d392e10019
hat	w9_d392e10022
mit	w11_d392e10025
einem	w1_d392e10030
Fell=eisen	w3_d392e10033
aus	w5_d392e10036
Lisabon	w7_d392e10039
die	w9_d392e10042
Nachricht	w11_d392e10045
erhalten,	w1_d392e10050
daß	w3_d392e10053
vier	w5_d392e10056
ihrer	w7_d392e10059
Schiffe	w9_d392e10062
glücklich	w11_d392e10065
in	w1_d392e10071
Brasilien	w3_d392e10074
angekommen,	w5_d392e10077
nachdeme	w7_d392e10080
sie	w9_d392e10083
sich	w1_d392e10088
auf	w3_d392e10091
ihrer	w5_d392e10094
Reise	w7_d392e10097
mit	w9_d392e10100
verschiedenen	w11_d392e10103
Fran	w13_d392e10107
zösischen	w1_d392e10112
Fregatten	w3_d392e10115
herum	w5_d392e10118
geschlagen.	w7_d392e10121
Man	w9_d392e10124
bestättiget	w1_d392e10129
ihr	w3_d392e10132
die	w5_d392e10135
Eroberung	w7_d392e10138
von	w9_d392e10141
Suratte	w11_d392e10144
durch	w1_d392e10150
ihre	w3_d392e10153
Trupen,	w5_d392e10156
und	w7_d392e10159
meldet	w9_d392e10162
ihr	w11_d392e10165
zugleich,	w13_d392e10169
daß	w1_d392e10174
sie	w3_d392e10177
sich	w5_d392e10180
von	w7_d392e10183
Neculbander	w9_d392e10186
Meister	w11_d392e10189
ge	w13_d392e10193
macht	w1_d392e10198
</p>
<p id="p14_d392e10204">
macht.	w1_d392e10208
Der	w3_d392e10211
Chef	w5_d392e10214
d'Escaere	w7_d392e10217
Hugh	w9_d392e10220
ist	w11_d392e10223
mit	w13_d392e10227
5.	w1_d392e10232
Königlichen	w3_d392e10235
und	w5_d392e10238
16.	w7_d392e10241
KauffardeySchif	w9_d392e10244
fen,	w1_d392e10249
die	w3_d392e10252
von	w5_d392e10255
denen	w7_d392e10258
Jnsuln	w9_d392e10261
unterm	w11_d392e10264
Wind	w13_d392e10268
kamen,	w1_d392e10274
zu	w3_d392e10277
Portsmouth	w5_d392e10280
eingeloffen.	w7_d392e10283
Zwey	w9_d392e10286
andere	w1_d392e10291
Kriegs=schiffe	w3_d392e10294
haben	w5_d392e10297
andere	w7_d392e10300
nach	w9_d392e10303
Pleymouth	w1_d392e10308
geführet,	w3_d392e10311
und	w5_d392e10314
der	w7_d392e10317
Rest	w9_d392e10320
der	w11_d392e10323
Flotte	w1_d392e10328
ist	w3_d392e10331
durch	w5_d392e10334
das	w7_d392e10337
achte	w9_d392e10340
Kriegs=schif	w11_d392e10343
nach	w13_d392e10347
Bristol	w1_d392e10353
gebracht	w3_d392e10356
worden.	w5_d392e10359
Fünf	w7_d392e10362
oder	w9_d392e10365
6.	w11_d392e10368
Schiffe	w1_d392e10373
sind	w3_d392e10376
auf	w5_d392e10379
denen	w7_d392e10382
Helsen	w9_d392e10385
von	w11_d392e10388
Scylli	w13_d392e10392
bey	w1_d392e10397
dem	w3_d392e10400
grossen	w5_d392e10403
Sturm	w7_d392e10406
am	w9_d392e10409
18.	w11_d392e10412
Sept.	w13_d392e10416
ge	w15_d392e10419
scheitert,	w1_d392e10424
und	w3_d392e10427
dieses	w5_d392e10430
ist	w7_d392e10433
der	w9_d392e10436
ganze	w11_d392e10439
Verlust,	w13_d392e10443
den	w1_d392e10449
diese	w3_d392e10452
beträchtliche	w5_d392e10455
Convoy	w7_d392e10458
erlitten.	w9_d392e10461
Den	w11_d392e10464
8.	w1_d392e10469
Octob.	w3_d392e10472
sind	w5_d392e10475
Depeschen	w7_d392e10478
aus	w9_d392e10481
Teutschland	w11_d392e10484
und	w1_d392e10489
dem	w3_d392e10492
Haag	w5_d392e10495
angekommen;	w7_d392e10498
diese	w9_d392e10501
aber	w11_d392e10504
haben	w1_d392e10509
den	w3_d392e10512
geheimen	w5_d392e10515
Raht	w7_d392e10518
nicht	w9_d392e10521
so	w11_d392e10524
sehr	w13_d392e10528
be	w15_d392e10531
schäftiget,	w1_d392e10537
wie	w3_d392e10540
die	w5_d392e10543
Nachrichten,	w7_d392e10546
welche	w9_d392e10549
täglich	w1_d392e10554
von	w3_d392e10557
denen	w5_d392e10560
Orten	w7_d392e10563
hier	w9_d392e10566
einlauffen,	w11_d392e10569
daß	w1_d392e10574
die	w3_d392e10577
Franzosen	w5_d392e10580
in	w7_d392e10583
all	w9_d392e10586
ihren	w11_d392e10589
Häfen	w13_d392e10593
Tru	w15_d392e10596
pen	w1_d392e10601
einschiffen.	w3_d392e10604
Der	w5_d392e10607
Capitain	w7_d392e10610
Thurot	w9_d392e10613
ist	w11_d392e10616
mit	w1_d392e10622
1530.	w3_d392e10625
Mann	w5_d392e10628
zu	w7_d392e10631
Dünkirchen	w9_d392e10634
segel	w11_d392e10637
fertig.	w1_d392e10642
Der	w3_d392e10645
Duc	w5_d392e10648
d'Aiquillon	w7_d392e10651
soll	w9_d392e10654
ebenfalls	w11_d392e10657
in	w1_d392e10662
dem	w3_d392e10665
Stand	w5_d392e10668
seyn	w7_d392e10671
die	w9_d392e10674
Küsten	w11_d392e10677
von	w13_d392e10681
Bret	w15_d392e10684
tagne	w1_d392e10689
zu	w3_d392e10692
verlassen.	w5_d392e10695
Man	w7_d392e10698
schreibt,	w9_d392e10701
daß	w11_d392e10704
122.	w1_d392e10710
Transport=schiffe	w3_d392e10713
mit	w5_d392e10716
12.	w7_d392e10719
Fregatten	w9_d392e10722
und	w1_d392e10727
2.	w3_d392e10730
Schiffen	w5_d392e10733
von	w7_d392e10736
der	w9_d392e10739
Linie	w11_d392e10742
auf	w13_d392e10746
der	w15_d392e10749
Rhe	w17_d392e10752
de	w1_d392e10757
von	w3_d392e10760
Belleisle	w5_d392e10763
lagen.	w7_d392e10766
Alle	w9_d392e10769
diese	w11_d392e10772
Nach	w13_d392e10776
richten	w1_d392e10781
beunruhigen	w3_d392e10784
den	w5_d392e10787
Hof,	w7_d392e10790
ungeachtet	w9_d392e10793
der	w1_d392e10799
Unerschrockenheit	w3_d392e10802
des	w5_d392e10805
Ministerii.	w7_d392e10808
Man	w9_d392e10811
hat	w1_d392e10816
deswegen	w3_d392e10819
neue	w5_d392e10822
Befehle	w7_d392e10825
in	w9_d392e10828
alle	w11_d392e10831
Häfen	w13_d392e10835
abgefertiget.	w1_d392e10840
Man	w3_d392e10843
macht	w5_d392e10846
auf	w7_d392e10849
das	w9_d392e10852
sorg	w11_d392e10855
fältigste	w1_d392e10860
die	w3_d392e10863
Schiffe,	w5_d392e10866
die	w7_d392e10869
aus	w9_d392e10872
America	w11_d392e10875
zu	w13_d392e10879
rück	w1_d392e10885
gekommen,	w3_d392e10888
zurecht,	w5_d392e10891
damit	w7_d392e10894
sie	w9_d392e10897
sich	w11_d392e10900
mit	w1_d392e10905
der	w3_d392e10908
Escadre	w5_d392e10911
unter	w7_d392e10914
dem	w9_d392e10917
Admiral	w11_d392e10920
Callis,	w13_d392e10924
vereinigen	w1_d392e10929
können.	w3_d392e10932
Der	w5_d392e10935
Admiral	w7_d392e10938
Hawke	w9_d392e10941
hat	w1_d392e10946
einberichtet,	w3_d392e10949
daß	w5_d392e10952
er	w7_d392e10955
seine	w9_d392e10958
Stellung	w11_d392e10961
an	w13_d392e10965
denen	w1_d392e10971
Brittannischen	w3_d392e10974
Küsten	w5_d392e10977
in	w7_d392e10980
etwas	w9_d392e10983
ver	w11_d392e10986
ändert	w1_d392e10991
habe.	w3_d392e10994
Die	w5_d392e10997
Briefe	w7_d392e11000
des	w9_d392e11003
Admirals	w11_d392e11006
Rodney	w1_d392e11011
sind	w3_d392e11014
von	w5_d392e11017
der	w7_d392e11020
Höhe	w9_d392e11023
vor	w11_d392e11026
Havre	w13_d392e11030
da	w15_d392e11033
tirt.	w1_d392e11038
Der	w3_d392e11041
Chef	w5_d392e11044
d'Escadre	w7_d392e11047
Boys	w9_d392e11050
beobach	w11_d392e11053
tet	w1_d392e11059
noch	w3_d392e11062
immer	w5_d392e11065
den	w7_d392e11068
Capitain	w9_d392e11071
Thurot.	w11_d392e11074
Der	w13_d392e11078
Admiral	w1_d392e11083
Hawke	w3_d392e11086
hatte	w5_d392e11089
den	w7_d392e11092
20.	w9_d392e11095
Sept.	w11_d392e11098
3.	w13_d392e11102
Schiffe	w1_d392e11107
von	w3_d392e11110
der	w5_d392e11113
Linie	w7_d392e11116
und	w9_d392e11119
verschiedene	w11_d392e11122
Fre	w13_d392e11126
</p>
<p id="p16_d392e11129">
gatten	w1_d392e11133
detaschirk,	w3_d392e11136
um	w5_d392e11139
in	w7_d392e11142
der	w9_d392e11145
Baye	w11_d392e11148
von	w13_d392e11152
Quiberon	w1_d392e11157
zu	w3_d392e11160
kreutzen,	w5_d392e11163
wo	w7_d392e11166
3.	w9_d392e11169
Französische	w11_d392e11172
Fregatten,	w1_d392e11177
100.	w3_d392e11180
schon	w5_d392e11183
mit	w7_d392e11186
Trupen	w9_d392e11189
beladene	w11_d392e11192
Transport=schiffe	w1_d392e11198
bedeckten.	w3_d392e11201
Wann	w5_d392e11204
man	w7_d392e11207
einer	w1_d392e11212
Liste	w3_d392e11215
glaubt,	w5_d392e11218
die	w7_d392e11221
man	w9_d392e11224
auf	w11_d392e11227
einem	w13_d392e11231
er	w15_d392e11234
oberten	w1_d392e11239
Schif	w3_d392e11242
gefunden,	w5_d392e11245
so	w7_d392e11248
ist	w9_d392e11251
die	w11_d392e11254
Force	w13_d392e11258
des	w1_d392e11263
Ueberfalls	w3_d392e11266
auf	w5_d392e11269
Schottland	w7_d392e11272
gerichtet,	w9_d392e11275
wohin	w1_d392e11281
der	w3_d392e11284
Französische	w5_d392e11287
Hof	w7_d392e11290
über	w9_d392e11293
50000.	w11_d392e11296
Mann	w1_d392e11301
bestimmet;	w3_d392e11304
der	w5_d392e11307
Admiral	w7_d392e11310
Hawke	w9_d392e11313
hat	w11_d392e11316
sich	w1_d392e11321
nun	w3_d392e11324
wieder	w5_d392e11327
