<doc id="wr_1759-05-16" attrs="word" year="1759" month="05" day="16" corpus="2">
<head id="h2_d348e3882">
Danzig	w1_d348e3886
28.	w3_d348e7528
April.	w5_d348e7531
</head>
<p id="p4_d348e7534">
Am	w1_d348e7538
16.	w3_d348e7541
dieses	w5_d348e7544
Monats	w7_d348e7547
hat	w9_d348e7550
der	w11_d348e7553
Fran	w13_d348e7557
zösische	w1_d348e7562
Minister,	w3_d348e7565
Herr	w5_d348e7568
von	w7_d348e7571
Lesseps,	w9_d348e7574
in	w11_d348e7577
seinem	w1_d348e7582
Pallast,	w3_d348e7585
dem	w5_d348e7588
Herrn	w7_d348e7591
Herzogen	w9_d348e7594
Carl	w11_d348e7597
von	w1_d348e7603
Lothringen,	w3_d348e7606
unserm	w5_d348e7609
Durchlauchtigsten	w7_d348e7612
Herrn	w1_d348e7617
General=gouverneur,	w3_d348e7620
und	w5_d348e7623
dem	w7_d348e7626
vor	w9_d348e7629
nehmsten	w1_d348e7634
Adel,	w3_d348e7637
bey	w5_d348e7640
Gelegenheit	w7_d348e7643
der	w9_d348e7646
Abends	w11_d348e7649
vorhero	w1_d348e7654
durch	w3_d348e7657
eine	w5_d348e7660
Staffete	w7_d348e7663
erhaltenen	w9_d348e7666
Nach	w11_d348e7669
richt,	w1_d348e7675
daß	w3_d348e7678
der	w5_d348e7681
Herzog	w7_d348e7684
von	w9_d348e7687
Broglie	w11_d348e7690
die	w13_d348e7694
Ha	w15_d348e7697
növrische	w1_d348e7702
Heßische	w3_d348e7705
Armee	w5_d348e7708
unter	w7_d348e7711
Commando	w9_d348e7714
des	w1_d348e7719
Prinzens	w3_d348e7722
von	w5_d348e7725
Ysenburg,	w7_d348e7728
am	w9_d348e7731
13.	w11_d348e7734
di	w13_d348e7738
ses,	w1_d348e7743
2.	w3_d348e7746
Meilen	w5_d348e7749
von	w7_d348e7752
Frankfort	w9_d348e7755
repoußiret	w11_d348e7758
habe,	w1_d348e7764
ein	w3_d348e7767
grosses	w5_d348e7770
Tractament	w7_d348e7773
gegeben.	w9_d348e7776
Täglich	w1_d348e7781
paßiren	w3_d348e7784
Französische	w5_d348e7787
Generals	w7_d348e7790
hie	w9_d348e7793
durch	w1_d348e7798
zur	w3_d348e7801
Armee	w5_d348e7804
des	w7_d348e7807
Herrn	w9_d348e7810
Marschalls	w11_d348e7813
von	w13_d348e7817
Contades	w1_d348e7822
an	w3_d348e7825
den	w5_d348e7828
Nieder=rhein.	w7_d348e7831
Gleichen	w9_d348e7834
Weeg	w1_d348e7840
nehmen	w3_d348e7843
auch	w5_d348e7846
eine	w7_d348e7849
Menge	w9_d348e7852
Recruten:	w11_d348e7855
Die	w1_d348e7860
Burger=wachten	w3_d348e7863
in	w5_d348e7866
hiesiger	w7_d348e7869
Stadt	w9_d348e7872
werden	w1_d348e7877
caßiret,	w3_d348e7880
und	w5_d348e7883
an	w7_d348e7886
statt	w9_d348e7889
ihrer	w11_d348e7892
werden	w13_d348e7896
500.	w1_d348e7901
Mann	w3_d348e7904
angeworben	w5_d348e7907
werden,	w7_d348e7910
zu	w9_d348e7913
deren	w11_d348e7916
Unterhalt	w1_d348e7922
ein	w3_d348e7925
jeder	w5_d348e7928
seinen	w7_d348e7931
Antheil	w9_d348e7934
wird	w11_d348e7937
bey	w13_d348e7941
zutragen	w1_d348e7946
haben.	w3_d348e7949
</p>
<head id="h2_d348e7955">
Marburg	w1_d348e7959
30.	w3_d348e7962
April.	w5_d348e7965
</head>
<p id="p4_d348e7968">
Die	w1_d348e7972
nach	w3_d348e7975
der	w5_d348e7978
Bergischen	w7_d348e7981
Bataille	w9_d348e7984
vor	w11_d348e7987
genommene	w1_d348e7992
Belagerung	w3_d348e7995
des	w5_d348e7998
Schlosses	w7_d348e8001
zu	w9_d348e8004
Marburg	w1_d348e8009
ist	w3_d348e8012
nicht	w5_d348e8015
so	w7_d348e8018
glücklich	w9_d348e8021
ausgefallen,	w11_d348e8024
wie	w1_d348e8030
die	w3_d348e8033
Belagerung	w5_d348e8036
des	w7_d348e8039
Schlosses	w9_d348e8042
Harburg.	w11_d348e8045
Vor	w1_d348e8050
2.	w3_d348e8053
Jahren	w5_d348e8056
nöhtigte	w7_d348e8059
der	w9_d348e8062
Herr	w11_d348e8065
Gene	w13_d348e8069
ral	w1_d348e8074
von	w3_d348e8077
Hardenberg	w5_d348e8080
den	w7_d348e8083
Marquis	w9_d348e8086
von	w11_d348e8089
Pe	w13_d348e8093
reuse	w1_d348e8098
nach	w3_d348e8101
einem	w5_d348e8104
6.	w7_d348e8107
wochentlichen	w9_d348e8110
Wider	w11_d348e8113
stand,	w1_d348e8119
daß	w3_d348e8122
er	w5_d348e8125
capituliren,	w7_d348e8128
und	w9_d348e8131
Harburg	w11_d348e8134
ver	w13_d348e8138
lassen	w1_d348e8143
muste;	w3_d348e8146
hier	w5_d348e8149
liessen	w7_d348e8152
sich	w9_d348e8155
aber	w11_d348e8158
die	w13_d348e8162
da	w15_d348e8165
malige	w1_d348e8170
Drohungen	w3_d348e8173
nicht	w5_d348e8176
anbringen.	w7_d348e8179
Er	w9_d348e8182
hielt	w1_d348e8187
für	w3_d348e8190
rahtsam,	w5_d348e8193
den	w7_d348e8196
18.	w9_d348e8199
die	w11_d348e8202
Belagerung	w13_d348e8206
aufzuheben,	w1_d348e8212
und	w3_d348e8215
sich	w5_d348e8218
mit	w7_d348e8221
seinem	w9_d348e8224
Corps	w11_d348e8227
über	w1_d348e8232
Königsheim	w3_d348e8235
und	w5_d348e8238
Treisa	w7_d348e8241
zu	w9_d348e8244
ziehen,	w11_d348e8247
um	w1_d348e8252
nicht	w3_d348e8255
ein	w5_d348e8258
Zeuge	w7_d348e8261
von	w9_d348e8264
der	w11_d348e8267
Einäscherung	w13_d348e8271
der	w1_d348e8276
Heßischen	w3_d348e8279
Stadt	w5_d348e8282
Marburg	w7_d348e8285
zu	w9_d348e8288
seyn,	w11_d348e8291
oder	w1_d348e8297
Gefahr	w3_d348e8300
zu	w5_d348e8303
lauffen,	w7_d348e8306
daß	w9_d348e8309
man	w11_d348e8312
ihn	w13_d348e8316
auf	w15_d348e8319
</p>
<p id="p10_d348e8332">
hebe.	w1_d348e8336
Das	w3_d348e8339
Haupt=quartier	w5_d348e8342
des	w7_d348e8345
Herzogs	w9_d348e8348
Ferdinand	w1_d348e8353
kommt	w3_d348e8356
immer	w5_d348e8359
näher	w7_d348e8362
in	w9_d348e8365
das	w11_d348e8368
Hes	w13_d348e8372
sische	w1_d348e8377
Land	w3_d348e8380
zurück,	w5_d348e8383
und	w7_d348e8386
es	w9_d348e8389
soll	w11_d348e8392
jetzt	w13_d348e8396
wieder	w15_d348e8399
zu	w1_d348e8405
Frankenberg,	w3_d348e8408
6.	w5_d348e8411
Stunden	w7_d348e8414
von	w9_d348e8417
Cassel	w11_d348e8420
seyn.	w1_d348e8425
Die	w3_d348e8428
Briefe	w5_d348e8431
von	w7_d348e8434
Rheda	w9_d348e8437
unter	w11_d348e8440
vor	w13_d348e8444
gestrigem	w1_d348e8449
Dato	w3_d348e8452
melden,	w5_d348e8455
daß	w7_d348e8458
das	w9_d348e8461
Lazareth	w11_d348e8464
von	w1_d348e8469
Osnabrück	w3_d348e8472
nach	w5_d348e8475
Paderborn	w7_d348e8478
transpor	w9_d348e8481
tirt	w1_d348e8487
werde.	w3_d348e8490
</p>
<head id="h2_d348e8496">
Budingen	w1_d348e8500
29.	w3_d348e8503
April.	w5_d348e8506
</head>
<p id="p4_d348e8509">
Das	w1_d348e8513
Regiment	w3_d348e8516
Volontairs	w5_d348e8519
Alsace	w7_d348e8522
hat	w9_d348e8525
anjetzo	w1_d348e8530
eine	w3_d348e8533
gute	w5_d348e8536
Gelegenheit,	w7_d348e8539
sich	w9_d348e8542
wegen	w11_d348e8545
des	w1_d348e8550
Anfalls	w3_d348e8553
von	w5_d348e8556
5000.	w7_d348e8559
Mann	w9_d348e8562
zu	w11_d348e8565
revan	w13_d348e8569
giren;	w1_d348e8575
es	w3_d348e8578
verfolget	w5_d348e8581
die	w7_d348e8584
Feinde	w9_d348e8587
auf	w11_d348e8590
dem	w13_d348e8594
Fuß,	w15_d348e8597
und	w1_d348e8602
sendet	w3_d348e8605
täglich	w5_d348e8608
gefangene	w7_d348e8611
und	w9_d348e8614
bleßirte	w11_d348e8617
Officiers	w1_d348e8622
und	w3_d348e8625
Gemeine	w5_d348e8628
ein;	w7_d348e8631
sie	w9_d348e8634
dachten	w11_d348e8637
das	w1_d348e8642
hiesige	w3_d348e8645
Magazin	w5_d348e8648
von	w7_d348e8651
Mehl	w9_d348e8654
und	w11_d348e8657
Ha	w13_d348e8661
ber	w1_d348e8667
wegzuführen,	w3_d348e8670
das	w5_d348e8673
man	w7_d348e8676
auf	w9_d348e8679
20000.	w11_d348e8682
Livres	w1_d348e8687
schätzt,	w3_d348e8690
allein	w5_d348e8693
sie	w7_d348e8696
haben	w9_d348e8699
es	w11_d348e8702
unverletzt	w13_d348e8706
zurück	w1_d348e8711
lassen	w3_d348e8714
müssen.	w5_d348e8717
Der	w7_d348e8720
Herr	w9_d348e8723
Obriste	w11_d348e8726
marschiret	w1_d348e8731
dem	w3_d348e8734
Feinde	w5_d348e8737
immer	w7_d348e8740
zur	w9_d348e8743
rechten	w11_d348e8746
Seite	w1_d348e8752
mit	w3_d348e8755
1000.	w5_d348e8758
Mann	w7_d348e8761
Reitern	w9_d348e8764
und	w11_d348e8767
Gre	w13_d348e8771
nadiers	w1_d348e8776
nach,	w3_d348e8779
und	w5_d348e8782
man	w7_d348e8785
kan	w9_d348e8788
kaum	w11_d348e8791
glauben,	w13_d348e8795
wie	w1_d348e8800
viele	w3_d348e8803
Deserteurs	w5_d348e8806
täglich	w7_d348e8809
ankommen.	w9_d348e8812
</p>
<head id="h2_d348e8818">
Dresden	w1_d348e8822
8.	w3_d348e8825
May.	w5_d348e8828
</head>
<p id="p4_d348e8831">
Ein	w1_d348e8835
Theil	w3_d348e8838
der	w5_d348e8841
Equipage	w7_d348e8844
des	w9_d348e8847
Königs	w11_d348e8850
in	w13_d348e8854
Preußen,	w1_d348e8859
ist	w3_d348e8862
nach	w5_d348e8865
Schlesien	w7_d348e8868
abgegangen,	w9_d348e8871
man	w1_d348e8876
hat	w3_d348e8879
viele	w5_d348e8882
Recruten	w7_d348e8885
aus	w9_d348e8888
dem	w11_d348e8891
Meck	w13_d348e8895
lenburgischen	w1_d348e8901
hieher	w3_d348e8904
gebracht,	w5_d348e8907
welche	w7_d348e8910
zu	w9_d348e8913
der	w11_d348e8916
Armee	w1_d348e8921
abgeschickt,	w3_d348e8924
und	w5_d348e8927
unter	w7_d348e8930
die	w9_d348e8933
Regimen	w11_d348e8936
ter	w1_d348e8941
vertheilet	w3_d348e8944
worden.	w5_d348e8947
Man	w7_d348e8950
beförchtet	w9_d348e8953
die	w11_d348e8956
Ankunft	w1_d348e8961
der	w3_d348e8964
Oesterreichischen	w5_d348e8967
Trupen.	w7_d348e8970
Die	w9_d348e8973
Vertheidigungs=anstalten	w1_d348e8979
werden	w3_d348e8982
gemacht,	w5_d348e8985
und	w1_d348e8990
die	w3_d348e8993
Thöre	w5_d348e8996
auf	w7_d348e8999
das	w9_d348e9002
beste	w11_d348e9005
verwahret.	w13_d348e9009
Denen	w1_d348e9014
Einwohnern	w3_d348e9017
ist	w5_d348e9020
angedrohet	w7_d348e9023
worden,	w9_d348e9026
im	w1_d348e9031
Fall	w3_d348e9034
einer	w5_d348e9037
Belagerung,	w7_d348e9040
die	w9_d348e9043
noch	w11_d348e9046
übrige	w13_d348e9050
Vor=städte	w1_d348e9056
abzubrennen,	w3_d348e9059
der	w5_d348e9062
Herr	w7_d348e9065
Gouver	w9_d348e9068
neur	w1_d348e9073
hat	w3_d348e9076
solches	w5_d348e9079
seiner	w7_d348e9082
Königl.	w9_d348e9085
Hoheit	w11_d348e9088
dem	w13_d348e9092
Chur=prinzen	w1_d348e9097
hinterbringen,	w3_d348e9100
und	w5_d348e9103
zu	w7_d348e9106
seiner	w9_d348e9109
Sicherheit	w1_d348e9114
und	w3_d348e9117
Verwahrung	w5_d348e9120
eine	w7_d348e9123
hohe	w9_d348e9126
Er	w11_d348e9129
klärung	w1_d348e9135
anbegehren	w3_d348e9138
lassen.	w5_d348e9141
Es	w7_d348e9144
wurde	w9_d348e9147
aber	w11_d348e9150
des	w13_d348e9154
sen	w1_d348e9159
ungeachtet	w3_d348e9162
denen	w5_d348e9165
Einwohnern	w7_d348e9168
in	w9_d348e9171
der	w11_d348e9174
Vor	w13_d348e9178
stadt	w1_d348e9183
angedeutet,	w3_d348e9186
bey	w5_d348e9189
dem	w7_d348e9192
Einmarsch	w9_d348e9195
einer	w11_d348e9198
</p>
<p id="p6_d348e9201">
feindlichen	w1_d348e9205
Armee	w3_d348e9208
sich	w5_d348e9211
mit	w7_d348e9214
ihren	w9_d348e9217
Sachen	w11_d348e9220
in	w13_d348e9224
da	w15_d348e9227
freye	w1_d348e9232
Feld	w3_d348e9235
zu	w5_d348e9238
begeben,	w7_d348e9241
und	w9_d348e9244
sich	w11_d348e9247
zu	w13_d348e9251
retten.	w15_d348e9254
Die	w17_d348e9257
Armee	w1_d348e9262
des	w3_d348e9265
Prinzens	w5_d348e9268
Heinrich,	w7_d348e9271
welche	w9_d348e9274
auf	w11_d348e9277
30000.	w1_d348e9283
Mann	w3_d348e9286
geschätzet	w5_d348e9289
wird,	w7_d348e9292
soll	w9_d348e9295
ihren	w11_d348e9298
Marsch	w1_d348e9303
über	w3_d348e9306
Zwickau	w5_d348e9309
durch	w7_d348e9312
das	w9_d348e9315
Altenbur	w11_d348e9318
gische	w1_d348e9323
nehmen.	w3_d348e9326
</p>
<head id="h2_d348e9332">
Paris	w1_d348e9336
30.	w3_d348e9339
April.	w5_d348e9342
</head>
<p id="p4_d348e9345">
Das	w1_d348e9349
prächtig	w3_d348e9352
und	w5_d348e9355
künstliche	w7_d348e9358
Feuerwerk,	w9_d348e9361
welches	w1_d348e9366
auf	w3_d348e9369
dem	w5_d348e9372
Greve=platz,	w7_d348e9375
über	w9_d348e9378
die	w11_d348e9381
Vi	w13_d348e9385
ctorie,	w1_d348e9390
welche	w3_d348e9393
der	w5_d348e9396
Herzog	w7_d348e9399
von	w9_d348e9402
Broglie	w11_d348e9405
wi	w13_d348e9409
der	w1_d348e9415
die	w3_d348e9418
Alliirte	w5_d348e9421
erfochten	w7_d348e9424
hat,	w9_d348e9427
errichtet	w11_d348e9430
wor	w13_d348e9434
den,	w1_d348e9439
soll	w3_d348e9442
morgen	w5_d348e9445
Abends	w7_d348e9448
angezündet	w9_d348e9451
wer	w11_d348e9454
den.	w1_d348e9459
Se.	w3_d348e9462
Majestät	w5_d348e9465
haben	w7_d348e9468
auch	w9_d348e9471
wegen	w11_d348e9474
die	w13_d348e9478
ses	w1_d348e9483
Sieges	w3_d348e9486
der	w5_d348e9489
Herzogin	w7_d348e9492
von	w9_d348e9495
Broglie	w11_d348e9498
ein	w13_d348e9502
Compliment	w1_d348e9508
machen	w3_d348e9511
lassen.	w5_d348e9514
Gestern	w7_d348e9517
hofte	w9_d348e9520
man	w1_d348e9525
den	w3_d348e9528
berühmten	w5_d348e9531
Cometen	w7_d348e9534
von	w9_d348e9537
1682.	w11_d348e9540
dessen	w1_d348e9545
Erscheinung	w3_d348e9548
die	w5_d348e9551
erfahrenste	w7_d348e9554
Astro	w9_d348e9557
logen	w1_d348e9562
vorher	w3_d348e9565
verkündigt	w5_d348e9568
haben,	w7_d348e9571
zu	w9_d348e9574
Gesicht	w11_d348e9577
zu	w1_d348e9583
bekommen,	w3_d348e9586
allein	w5_d348e9589
die	w7_d348e9592
Luft	w9_d348e9595
war	w11_d348e9598
trübe	w13_d348e9602
und	w15_d348e9605
wolkigt,	w1_d348e9610
und	w3_d348e9613
konte	w5_d348e9616
ihn	w7_d348e9619
also	w9_d348e9622
niemand	w11_d348e9625
ent	w13_d348e9629
decken.	w1_d348e9634
</p>
<head id="h2_d348e9640">
Amsterdam	w1_d348e9644
1.	w3_d348e9647
May.	w5_d348e9650
</head>
<p id="p4_d348e9653">
Es	w1_d348e9657
gehet	w3_d348e9660
hier	w5_d348e9663
die	w7_d348e9666
Rede,	w9_d348e9669
und	w11_d348e9672
jedermann	w13_d348e9676
hält	w1_d348e9681
sie	w3_d348e9684
für	w5_d348e9687
eine	w7_d348e9690
Wahrheit,	w9_d348e9693
daß	w11_d348e9696
die	w13_d348e9700
Depu	w15_d348e9703
tirte	w1_d348e9708
der	w3_d348e9711
General=staaten	w5_d348e9714
nach	w7_d348e9717
England	w9_d348e9720
bey	w1_d348e9726
ihrer	w3_d348e9729
Auffahrt	w5_d348e9732
zur	w7_d348e9735
Audienz	w9_d348e9738
bey	w11_d348e9741
dem	w13_d348e9745
Kö	w15_d348e9748
nig	w1_d348e9753
von	w3_d348e9756
einem	w5_d348e9759
Hauffen	w7_d348e9762
Volk	w9_d348e9765
mit	w11_d348e9768
Schimpf	w13_d348e9772
worten	w1_d348e9777
und	w3_d348e9780
Hohn=gelächter	w5_d348e9783
angefallen,	w7_d348e9786
sa	w9_d348e9789
von	w1_d348e9794
selbigem	w3_d348e9797
auf	w5_d348e9800
diese	w7_d348e9803
Art	w9_d348e9806
bis	w11_d348e9809
zum	w13_d348e9813
Pallast	w15_d348e9816
des	w1_d348e9822
Königs	w3_d348e9825
begleitet	w5_d348e9828
worden,	w7_d348e9831
dergestalt,	w9_d348e9834
daß	w1_d348e9839
auch	w3_d348e9842
der	w5_d348e9845
daselbst	w7_d348e9848
gestandene	w9_d348e9851
Officier	w11_d348e9854
für	w13_d348e9858
nöhtig	w1_d348e9863
befunden	w3_d348e9866
habe,	w5_d348e9869
die	w7_d348e9872
Wacht	w9_d348e9875
zu	w11_d348e9878
ver	w13_d348e9882
stärken,	w1_d348e9887
und	w3_d348e9890
das	w5_d348e9893
Volk	w7_d348e9896
bedrohen	w9_d348e9899
zu	w11_d348e9902
lassen.	w13_d348e9906
Solte	w1_d348e9912
diese	w3_d348e9915
Sache	w5_d348e9918
ihre	w7_d348e9921
Richtigkeit	w9_d348e9924
haben;	w11_d348e9927
so	w1_d348e9932
könte	w3_d348e9935
sie	w5_d348e9938
auch	w7_d348e9941
leicht	w9_d348e9944
mehrere	w11_d348e9947
Folgen	w13_d348e9951
nach	w15_d348e9954
sich	w1_d348e9959
ziehen.	w3_d348e9962
Man	w5_d348e9965
erwartet	w7_d348e9968
mit	w9_d348e9971
Verlangen	w11_d348e9974
nähere	w1_d348e9979
Berichte;	w3_d348e9982
indessen	w5_d348e9985
aber	w7_d348e9988
hat	w9_d348e9991
man	w11_d348e9994
so	w13_d348e9998
grosse	w1_d348e10004
Vorstellungen	w3_d348e10007
von	w5_d348e10010
dem	w7_d348e10013
Ansehen	w9_d348e10016
des	w11_d348e10019
Herrn	w1_d348e10024
Pitt,	w3_d348e10027
daß	w5_d348e10030
man	w7_d348e10033
alles	w9_d348e10036
auf	w11_d348e10039
seine	w13_d348e10043
Rech	w15_d348e10046
nung	w1_d348e10051
schreiben	w3_d348e10054
wird,	w5_d348e10057
was	w7_d348e10060
er	w9_d348e10063
nicht	w11_d348e10066
hinderl.	w13_d348e10070
</p>
<head id="h4_d348e10087">
Crefeld	w1_d348e10091
1.	w3_d348e10094
May.	w5_d348e10097
</head>
<p id="p6_d348e10100">
Den	w1_d348e10104
4.	w3_d348e10107
dieses	w5_d348e10110
erwartet	w7_d348e10113
man	w9_d348e10116
den	w11_d348e10119
Herrn	w13_d348e10123
Marschall	w1_d348e10128
de	w3_d348e10131
Contades,	w5_d348e10134
und	w7_d348e10137
sogleich	w9_d348e10140
wird	w11_d348e10143
sich	w1_d348e10148
alles	w3_d348e10151
in	w5_d348e10154
Bewegung	w7_d348e10157
setzen.	w9_d348e10160
Es	w11_d348e10163
werden	w13_d348e10167
verschiedene	w1_d348e10173
Lager	w3_d348e10176
geschlagen	w5_d348e10179
werden;	w7_d348e10182
eines	w9_d348e10185
auf	w1_d348e10190
dem	w3_d348e10193
rechten	w5_d348e10196
Flügel	w7_d348e10199
bey	w9_d348e10202
Neuwied,	w11_d348e10205
ein	w13_d348e10209
anderes	w1_d348e10214
zu	w3_d348e10217
Düsseldorf,	w5_d348e10220
woselbst	w7_d348e10223
das	w9_d348e10226
Haupt	w11_d348e10229
quartier	w1_d348e10234
seyn	w3_d348e10237
wird;	w5_d348e10240
ein	w7_d348e10243
3tes	w9_d348e10246
zu	w11_d348e10249
Burick	w13_d348e10253
ge	w15_d348e10256
gen	w1_d348e10262
Wesel	w3_d348e10265
über,	w5_d348e10268
und	w7_d348e10271
das	w9_d348e10274
4te	w11_d348e10277
zu	w13_d348e10281
Calcar,	w15_d348e10284
in	w1_d348e10289
welches	w3_d348e10292
die	w5_d348e10295
Grenadier	w7_d348e10298
de	w9_d348e10301
France	w11_d348e10304
und	w13_d348e10308
Royaux	w1_d348e10313
zu	w3_d348e10316
stehen	w5_d348e10319
kommen,	w7_d348e10322
und	w9_d348e10325
zwar	w11_d348e10328
von	w13_d348e10332
lauter	w1_d348e10337
Reiterey,	w3_d348e10340
welches	w5_d348e10343
der	w7_d348e10346
Duc	w9_d348e10349
de	w11_d348e10352
Brissac	w13_d348e10356
commandiren	w1_d348e10362
wird.	w3_d348e10365
Vor	w5_d348e10368
drey	w7_d348e10371
Tagen	w9_d348e10374
grif	w11_d348e10377
der	w1_d348e10382
Feind	w3_d348e10385
unsern	w5_d348e10388
Posten	w7_d348e10391
von	w9_d348e10394
Recklingshau	w11_d348e10397
en	w1_d348e10402
an	w3_d348e10405
der	w5_d348e10408
Lippe	w7_d348e10411
an,	w9_d348e10414
er	w11_d348e10417
ward	w13_d348e10421
aber	w15_d348e10424
mit	w17_d348e10427
Verlust	w1_d348e10432
18.	w3_d348e10435
Mann	w5_d348e10438
zurückgetrieben,	w7_d348e10441
da	w9_d348e10444
wir	w11_d348e10447
nur	w1_d348e10453
einen	w3_d348e10456
einzigen	w5_d348e10459
eingebüsset	w7_d348e10462
haben.	w9_d348e10465
</p>
<head id="h2_d348e10471">
Erlangen	w1_d348e10475
5.	w3_d348e10478
May.	w5_d348e10481
</head>
<p id="p4_d348e10484">
Seit	w1_d348e10488
einigen	w3_d348e10491
Tagen	w5_d348e10494
gehen	w7_d348e10497
beständig	w9_d348e10500
Tägen	w1_d348e10505
hier	w3_d348e10508
durch,	w5_d348e10511
die	w7_d348e10514
mit	w9_d348e10517
Victualien,	w11_d348e10520
Uni	w13_d348e10524
formen,	w1_d348e10529
Munitionen	w3_d348e10532
u.	w5_d348e10535
s.	w7_d348e10538
w.	w9_d348e10541
aus	w11_d348e10544
Böhmen	w13_d348e10548
kommen,	w1_d348e10554
und	w3_d348e10557
für	w5_d348e10560
die	w7_d348e10563
Oesterreichische	w9_d348e10566
Tru	w11_d348e10569
pen	w1_d348e10574
in	w3_d348e10577
Franken	w5_d348e10580
gehören.	w7_d348e10583
</p>
<head id="h2_d348e10589">
Niedertheinstrom	w1_d348e10593
30.	w3_d348e10596
April.	w5_d348e10599
</head>
<p id="p4_d348e10602">
Es	w1_d348e10606
ergehet	w3_d348e10609
noch	w5_d348e10612
immer	w7_d348e10615
das	w9_d348e10618
zuverläßige	w11_d348e10621
erucht,	w1_d348e10626
daß	w3_d348e10629
der	w5_d348e10632
Prinz	w7_d348e10635
Ferdinand	w9_d348e10638
von	w11_d348e10641
Braunschweig	w1_d348e10646
das	w3_d348e10649
Vorhaben	w5_d348e10652
hätte,	w7_d348e10655
sich	w9_d348e10658
der	w1_d348e10664
Stadt	w3_d348e10667
Nimwegen	w5_d348e10670
zu	w7_d348e10673
bemächtigen;	w9_d348e10676
die	w11_d348e10679
Zeit	w1_d348e10684
wird	w3_d348e10687
es	w5_d348e10690
aufheitern,	w7_d348e10693
wie	w9_d348e10696
weit	w11_d348e10699
diese	w13_d348e10703
Mut	w15_d348e10706
massung	w1_d348e10711
gegründet	w3_d348e10714
seye.	w5_d348e10717
Des	w7_d348e10720
Prinz	w9_d348e10723
Hein	w11_d348e10726
richs	w1_d348e10731
Armee	w3_d348e10734
solle	w5_d348e10737
mit	w7_d348e10740
6000.	w9_d348e10743
Mann	w11_d348e10746
ver	w13_d348e10750
stärket	w1_d348e10756
worden	w3_d348e10759
seyn,	w5_d348e10762
und	w7_d348e10765
Befehl	w9_d348e10768
haben,	w11_d348e10771
mit	w1_d348e10776
seiner	w3_d348e10779
unterhabenden	w5_d348e10782
Armee	w7_d348e10785
zu	w9_d348e10788
denen	w11_d348e10791
Allirten	w1_d348e10796
zu	w3_d348e10799
stossen.	w5_d348e10802
</p>
<head id="h2_d348e10808">
Kurz=gefaßte	w1_d348e10812
Nachrichten	w3_d348e10815
von	w1_d348e10820
verschiedenen	w3_d348e10823
Orten.	w5_d348e10826
Man	w1_d348e10831
vernihmt	w3_d348e10834
</head>
<p id="p4_d348e10837">
Von	w1_d348e10841
Rom:	w3_d348e10844
daß	w5_d348e10847
der	w7_d348e10850
aldasige	w9_d348e10853
neue	w11_d348e10856
Bott	w13_d348e10860
schafter	w1_d348e10865
von	w3_d348e10868
Maltha	w5_d348e10871
Herr	w7_d348e10874
Baily	w9_d348e10877
von	w11_d348e10880
Bre	w13_d348e10884
</p>
<p id="p6_d348e10887">
teuil	w1_d348e10891
den	w3_d348e10894
22.	w5_d348e10897
April	w7_d348e10900
seinen	w9_d348e10903
offentlichen	w11_d348e10906
Ein	w13_d348e10910
zug	w1_d348e10915
mit	w3_d348e10918
vielem	w5_d348e10921
Pracht	w7_d348e10924
daselbst	w9_d348e10927
gehalten	w11_d348e10930
habe.	w13_d348e10934
</p>
<p id="p8_d348e10937">
Von	w1_d348e10941
Genua:	w3_d348e10944
daß	w5_d348e10947
vermög	w7_d348e10950
deren	w9_d348e10953
letzten	w11_d348e10956
Briefen	w1_d348e10961
aus	w3_d348e10964
Corsica	w5_d348e10967
eine	w7_d348e10970
aus	w9_d348e10973
80.	w11_d348e10976
Mann	w13_d348e10980
bestandene	w1_d348e10985
Parthey	w3_d348e10988
Rebellen	w5_d348e10991
bey	w7_d348e10994
einer	w9_d348e10997
Ka	w11_d348e11000
pelle	w1_d348e11006
unweit	w3_d348e11009
Bastia	w5_d348e11012
sich	w7_d348e11015
verschanzet	w9_d348e11018
habe,	w11_d348e11021
alwo	w1_d348e11026
sie	w3_d348e11029
aber	w5_d348e11032
von	w7_d348e11035
einer	w9_d348e11038
Anzahl	w11_d348e11041
Ge	w13_d348e11045
nuesischer	w1_d348e11050
Trupen	w3_d348e11053
unversehens	w5_d348e11056
umrungen,	w7_d348e11059
und	w1_d348e11064
sohin,	w3_d348e11067
ohne	w5_d348e11070
gegebenen	w7_d348e11073
Quartier,	w9_d348e11076
alle	w11_d348e11079
nieder	w1_d348e11085
gemacht	w3_d348e11088
worden	w5_d348e11091
wären.	w7_d348e11094
</p>
<p id="p10_d348e11097">
Von	w1_d348e11101
Venedig:	w3_d348e11104
daß	w5_d348e11107
der	w7_d348e11110
Doge	w9_d348e11113
an	w11_d348e11116
einem	w13_d348e11120
Fieber	w1_d348e11125
Behtligerig	w3_d348e11128
sich	w5_d348e11131
befinde.	w7_d348e11134
</p>
<p id="p12_d348e11138">
Aus	w1_d348e11142
Sachsen:	w3_d348e11145
daß	w5_d348e11148
die	w7_d348e11151
eine	w9_d348e11154
Zeit	w11_d348e11157
her	w13_d348e11161
zu	w1_d348e11166
Naumburg	w3_d348e11169
gestandene	w5_d348e11172
Cavallerie	w7_d348e11175
nebst	w9_d348e11178
denen	w1_d348e11183
Bilderberckischen	w3_d348e11186
Grenadiers	w5_d348e11189
noch	w7_d348e11192
dato	w1_d348e11198
allda	w3_d348e11201
