<doc id="edoc_wd_1703-08-13" attrs="word" year="1703" month="08" day="13" corpus="1">
<head id="hl1">
Continuatio	w90
eingelauffen	w1932
<g/>
.
Die	w1934
Officiers	w1935
von	w1936
denen	w1937
Zoll	w1938
<g/>
=
Häusern	w1940
<g/>
/
haben	w1942
zu	w1943
Kent	w1944
600	w1945
<g/>
.
Packen	w1947
Leinwand	w1948
<g/>
/
so	w1950
unlängst	w1951
auß	w1952
Franckreich	w1953
gekommen	w1954
<g/>
/
und	w1956
60000	w1957
<g/>
.
Pfund	w1959
Sterlings	w1960
werth	w1961
geschä=tzet	w1962
<g/>
=
werden	w1964
<g/>
/
arrestiret	w1966
<g/>
.
Die	w1968
Königin	w1969
hat	w1970
anbefohlen	w1971
<g/>
/
daß	w1973
dises	w1974
Jahr	w1975
200000	w1976
<g/>
.
Pfund	w1978
Sterlings	w1979
auß	w1980
der	w1981
Civilen	w1982
<g/>
=
Rolle	w1984
zu	w1985
Fortsetzung	w1986
deß	w1987
Kriegs	w1988
angewend	w1989
werden	w1990
sollen	w1991
<g/>
.
Beynebens	w1993
wird	w1994
von	w1995
Edenburg	w1996
von	w1997
14	w1998
<g/>
.
Julij	w2000
berichtet	w2001
<g/>
/
daß	w2003
das	w2004
Parlament	w2005
verordnet	w2006
<g/>
/
das	w2008
Buch	w2009
Anglo	w2010
<g/>
=
Scotia	w2012
betitelt	w2013
<g/>
/
zu	w2015
Londen	w2016
herauß	w2017
gegeben	w2018
<g/>
/
und	w2020
lästerliche	w2021
Refle	w2022
<g/>
-
xiones	w2024
über	w2025
dise	w2026
Nation	w2027
begreiffet	w2028
<g/>
/
durch	w2030
den	w2031
Hencker	w2032
zuverbrennen	w2033
<g/>
.
</p>
<p id="p21">
Auß	w2035
dem	w2036
Haag	w2037
vom	w2038
27	w2039
<g/>
.
Julij	w2041
<g/>
.
Meldet	w2043
man	w2044
<g/>
/
von	w2046
der	w2047
grossen	w2048
Ar-mée	w2049
<g/>
-
<g/>
,
daß	w2052
selbige	w2053
die	w2054
Frantzosen	w2055
nicht	w2056
zum	w2057
schlagen	w2058
bringen	w2059
könne	w2060
<g/>
/
welche	w2062
aber	w2063
grossen	w2064
Mangel	w2065
an	w2066
Fourage	w2067
leydet	w2068
<g/>
/
und	w2070
sich	w2071
in	w2072
die	w2073
Linien	w2074
gezogen	w2075
<g/>
/
als	w2077
glaubt	w2078
man	w2079
<g/>
/
daß	w2081
ehesten	w2082
unsere	w2083
Armée	w2084
die	w2085
Feinde	w2086
in	w2087
ihren	w2088
Lager	w2089
angreiffen	w2090
werde	w2091
<g/>
/
weilen	w2093
wir	w2094
biß	w2095
80000	w2096
<g/>
.
Mann	w2098
starck	w2099
seyn	w2100
<g/>
.
Laut	w2102
Lissabonischer	w2103
Brieffen	w2104
<g/>
/
waren	w2106
daselbst	w2107
vill	w2108
praffe	w2109
Haupt	w2110
<g/>
=
</p>
<p id="p22">
Officier	w2113
auß	w2114
Gallicien	w2115
bey	w2116
dem	w2117
Admirant	w2118
von	w2119
Castilien	w2120
ankommen	w2121
<g/>
/
welche	w2123
die	w2124
Versicherung	w2125
gethan	w2126
<g/>
/
daß	w2128
in	w2129
Kurtzem	w2130
mehr	w2131
folgen	w2132
würden	w2133
<g/>
/
sintemahlen	w2135
die	w2136
Herrschafft	w2137
der	w2138
Frantzosen	w2139
nicht	w2140
länger	w2141
erdulden	w2142
kön=ten	w2143
<g/>
=
<g/>
.
Jhr	w2146
Majestät	w2147
die	w2148
Königin	w2149
von	w2150
Engeland	w2151
haben	w2152
30	w2153
<g/>
.
Protestan-ten	w2155
<g/>
-
<g/>
/
einem	w2158
jeden	w2159
10	w2160
0	w2161
<g/>
.
Guineen	w2163
gegeben	w2164
<g/>
/
damit	w2166
nach	w2167
Genff	w2168
zu	w2169
reisen	w2170
<g/>
/
umb	w2172
von	w2173
dannen	w2174
solches	w2175
Geld	w2176
denen	w2177
Sevennern	w2178
zu	w2179
bringen	w2180
<g/>
/
damit	w2182
sol=che	w2183
<g/>
=
eine	w2185
Subsistence	w2186
haben	w2187
mögen	w2188
<g/>
/
mit	w2190
dem	w2191
Versprechen	w2192
<g/>
/
daß	w2194
bald	w2195
grös=sere	w2196
<g/>
=
Summen	w2198
folgen	w2199
<g/>
/
auch	w2201
die	w2202
combinirte	w2203
Flotte	w2204
ihnen	w2205
das	w2206
Benöthig=te	w2207
<g/>
=
bringen	w2209
sollte	w2210
<g/>
.
Man	w2212
glaubet	w2213
<g/>
/
daß	w2215
die	w2216
Festung	w2217
Geldern	w2218
wohl	w2219
ehe=sten	w2220
<g/>
=
bombardiret	w2222
werden	w2223
dürffte	w2224
<g/>
/
weil	w2226
zu	w2227
Wesel	w2228
alle	w2229
Anstalten	w2230
darzu	w2231
fertig	w2232
seynd	w2233
<g/>
/
und	w2235
nur	w2236
noch	w2237
einige	w2238
Constabler	w2239
und	w2240
Bombardirer	w2241
von	w2242
Berlin	w2243
erwartet	w2244
werden	w2245
<g/>
.
Hingegen	w2247
glaubt	w2248
man	w2249
<g/>
/
daß	w2251
der	w2252
Rit=ter	w2253
<g/>
=
Schovel	w2255
mit	w2256
seiner	w2257
grossen	w2258
Esquadre	w2259
Kriegs	w2260
<g/>
=
Schiffen	w2262
seinen	w2263
Lauff	w2264
nach	w2265
Portugal	w2266
und	w2267
dem	w2268
Mittelländischen	w2269
Meer	w2270
wird	w2271
fortgesetzt	w2272
haben	w2273
<g/>
.
Beynebens	w2275
wird	w2276
auch	w2277
anhero	w2278
berichtet	w2279
<g/>
/
daß	w2281
die	w2282
Malconten-ten	w2283
<g/>
-
5	w2285
<g/>
.
Frantzösische	w2287
Königl	w2288
<g/>
.
Regimenter	w2290
sollen	w2291
geschlagen	w2292
haben	w2293
<g/>
/
mit=hin	w2295
<g/>
=
die	w2297
völlige	w2298
Ernd	w2299
in	w2300
ihre	w2301
Retirade	w2302
zu	w2303
bringen	w2304
Zeit	w2305
gewonnen	w2306
hätten	w2307
<g/>
/
welches	w2309
aber	w2310
mehr	w2311
Confirmation	w2312
braucht	w2313
<g/>
.
</p>
<p id="p23">
Auß	w2315
Pohlen	w2316
vom	w2317
15	w2318
<g/>
.
Julij	w2320
wird	w2321
confirmiret	w2322
<g/>
/
daß	w2324
die	w2325
Schweden	w2326
vor	w2327
Thoren	w2328
mit	w2329
ihren	w2330
Miniren	w2331
unglücklich	w2332
gewesen	w2333
<g/>
/
und	w2335
sollen	w2336
ihren	w2337
Schaden	w2338
auff	w2339
vill	w2340
1000	w2341
<g/>
.
Reichs	w2343
<g/>
=
Thaller	w2345
<g/>
/
ohne	w2347
die	w2348
verfallene	w2349
Mann=schafft	w2350
<g/>
=
schätzen	w2352
<g/>
/
als	w2354
deren	w2355
sie	w2356
schon	w2357
in	w2358
1500	w2359
<g/>
.
daselbst	w2361
sollen	w2362
haben	w2363
sitzen	w2364
lassen	w2365
<g/>
/
und	w2367
deren	w2368
noch	w2369
täglich	w2370
zu	w2371
5	w2372
<g/>
.
biß	w2374
7	w2375
<g/>
.
Mann	w2377
sterben	w2378
<g/>
.
</p>
<p id="p24">
Man	w2380
hat	w2381
durch	w2382
Brieffe	w2383
auß	w2384
Pariß	w2385
von	w2386
20	w2387
<g/>
.
Julij	w2389
<g/>
,
daß	w2391
der	w2392
Printz	w2393
de	w2394
Conti	w2395
nach	w2396
Spanien	w2397
gehen	w2398
soll	w2399
<g/>
/
umb	w2401
die	w2402
Trouppen	w2403
zu	w2404
comman-diren	w2405
<g/>
-
<g/>
/
welche	w2408
auß	w2409
Franckreich	w2410
in	w2411
10000	w2412
<g/>
.
Mann	w2414
starck	w2415
dahin	w2416
marchi-ren	w2417
<g/>
-
sollen	w2419
<g/>
.
Auch	w2421
hat	w2422
der	w2423
König	w2424
Ordre	w2425
gegeben	w2426
noch	w2427
30	w2428
<g/>
.
Regimenter	w2430
zu	w2431
Fuß	w2432
<g/>
/
und	w2434
20	w2435
<g/>
.
zu	w2437
Pferdt	w2438
zuwerben	w2439
<g/>
/
und	w2441
darmit	w2442
wider	w2443
Portugall	w2444
zu	w2445
agiren	w2446
<g/>
.
</p>
<p id="p25">
Eodem	w2448
kamm	w2449
ein	w2450
Schreiben	w2451
von	w2452
1	w2453
<g/>
.
und	w2455
2	w2456
<g/>
.
Augusti	w2458
auß	w2459
Ulm	w2460
datirt	w2461
<g/>
/
den	w2463
eygentlichen	w2464
Verlauff	w2465
der	w2466
letztgehabten	w2467
Action	w2468
mit	w2469
den	w2470
Frantzosen	w2471
be=treffend	w2472
<g/>
=
<g/>
.
Montags	w2475
Abends	w2476
zwischen	w2477
9	w2478
<g/>
.
und	w2480
10	w2481
<g/>
.
Uhr	w2483
seynd	w2484
bey	w2485
1000	w2486
<g/>
.
Mann	w2488
Frantzosen	w2489
<g/>
/
so	w2491
wohl	w2492
lnfanterie	w2493
als	w2494
Cavallerie	w2495
schnell	w2496
auß	w2497
der	w2498
Statt	w2499
com-mandirt	w2500
<g/>
-
worden	w2502
<g/>
/
worzu	w2504
die	w2505
bey	w2506
Rheinheimb	w2507
<g/>
/
Pfull	w2509
<g/>
/
und	w2511
Offenhausen	w2512
campirende	w2513
bey	w2514
4	w2515
<g/>
.
biß	w2517
5000	w2518
<g/>
.
Frantzosen	w2520
gestossen	w2521
<g/>
/
ihren	w2523
March	w2524
über	w2525
die	w2526
zwischen	w2527
hier	w2528
<g/>
/
und	w2530
Wiplingen	w2531
geschlagene	w2532
Schiff	w2533
<g/>
=
Brucken	w2535
genommen	w2536
<g/>
/
die	w2538
bey	w2539
Echingen	w2540
<g/>
/
Munterklingen	w2542
<g/>
/
und	w2544
Riedlingen	w2545
ligende	w2546
Käyserl	w2547
<g/>
.
Völ=cker	w2549
<g/>
=
auffzuheben	w2551
<g/>
/
es	w2553
haben	w2554
aber	w2555
vermuthlich	w2556
die	w2557
Käyserl	w2558
<g/>
.
Nachricht	w2560
dar	w2561
<g/>
=
</p>
<p id="p26">
von	w2564
bekommen	w2565
<g/>
/
ehe	w2567
sie	w2568
dahin	w2569
angelanget	w2570
<g/>
/
in	w2572
Postur	w2573
gestanden	w2574
<g/>
/
weilen	w2576
aber	w2577
selbige	w2578
ziemblich	w2579
weit	w2580
auß	w2581
einander	w2582
gelegen	w2583
<g/>
/
als	w2585
haben	w2586
sie	w2587
die	w2588
Infante-rie	w2589
<g/>
-
nicht	w2591
zu	w2592
Handen	w2593
bringen	w2594
können	w2595
<g/>
/
dahero	w2597
sie	w2598
anfänglich	w2599
zimblichen	w2600
Schaden	w2601
gelitten	w2602
<g/>
/
aber	w2604
sich	w2605
dannech	w2606
so	w2607
dapffer	w2608
gehalten	w2609
<g/>
/
daß	w2611
sie	w2612
die	w2613
Frantzo=sen	w2614
<g/>
=
in	w2616
die	w2617
Flucht	w2618
gebracht	w2619
<g/>
/
und	w2621
ihrer	w2622
selbst	w2623
eygener	w2624
Aussag	w2625
nach	w2626
bey	w2627
1200	w2628
<g/>
.
erleget;	w2630
Gestern	w2631
Abends	w2632
kammen	w2633
nur	w2634
einige	w2635
Trouppen	w2636
über	w2637
gedachte	w2638
Brucken	w2639
<g/>
/
biß	w2641
dahin	w2642
von	w2643
sie	w2644
verfolget	w2645
<g/>
/
wider	w2647
an	w2648
<g/>
/
und	w2650
wehrete	w2651
der	w2652
March	w2653
biß	w2654
2	w2655
<g/>
.
Uhr	w2657
gegen	w2658
Tags	w2659
<g/>
/
da	w2661
dann	w2662
15	w2663
<g/>
.
Wägen	w2665
mit	w2666
Blessirten	w2667
hereinge=bracht	w2668
<g/>
=
<g/>
/
ohne	w2671
was	w2672
in	w2673
das	w2674
Lager	w2675
bey	w2676
Offenhausen	w2677
geführet	w2678
worden	w2679
<g/>
/
dar=von	w2681
<g/>
=
heüt	w2683
180	w2684
<g/>
.
in	w2686
das	w2687
so	w2688
genannte	w2689
Seelhauß	w2690
herein	w2691
kommen	w2692
sollen	w2693
<g/>
/
man	w2695
hat	w2696
aller	w2697
Orthen	w2698
<g/>
/
insonderheit	w2700
in	w2701
die	w2702
vornehme	w2703
Häuser	w2704
geschickt	w2705
<g/>
/
umb	w2707
alte	w2708
Leinwath	w2709
<g/>
/
die	w2711
Verwundte	w2712
hiermit	w2713
zuverbinden	w2714
<g/>
/
auffzubringen	w2716
<g/>
/
al=le	w2718
<g/>
=
Würthshäuser	w2720
seynd	w2721
mit	w2722
dergleichen	w2723
Officiren	w2724
beleget	w2725
<g/>
/
deren	w2727
etliche	w2728
heüt	w2729
gestorben	w2730
<g/>
/
sie	w2732
manglen	w2733
an	w2734
130	w2735
<g/>
.
Officirs	w2737
so	w2738
todt	w2739
und	w2740
blessiret	w2741
<g/>
/
darun=ter	w2743
<g/>
=
4	w2745
<g/>
.
vornehme	w2747
gezehlet	w2748
werden	w2749
<g/>
.
Gestern	w2751
fruhe	w2752
umb	w2753
9	w2754
<g/>
.
Uhr	w2756
seye	w2757
der	w2758
An=griff	w2759
<g/>
=
geschehen	w2761
<g/>
/
und	w2763
biß	w2764
gegen	w2765
Abend	w2766
gewehret	w2767
<g/>
/
es	w2769
können	w2770
die	w2771
Frantzo=sen	w2772
<g/>
=
der	w2774
Teütschen	w2775
Dapfferkeit	w2776
nicht	w2777
genug	w2778
rühmen	w2779
<g/>
/
und	w2781
sagen	w2782
selber	w2783
alle	w2784
Of-ficiers	w2785
<g/>
-
<g/>
/
daß	w2788
sie	w2789
bey	w2790
dergleichen	w2791
Action	w2792
niemahlen	w2793
gewesen	w2794
<g/>
.
</p>
<p id="p27">
Ein	w2796
anders	w2797
auß	w2798
Ulm	w2799
vom	w2800
2	w2801
<g/>
.
dito	w2803
<g/>
.
Berichte	w2805
daß	w2806
auff	w2807
allhiesigen	w2808
Münster	w2809
kein	w2810
ander	w2811
Wacht	w2812
nicht	w2813
ist	w2814
<g/>
/
als	w2816
die	w2817
Frantzosen	w2818
<g/>
/
mißtrauisch	w2820
<g/>
/
und	w2822
wann	w2823
einige	w2824
Käyserl	w2825
<g/>
.
Trouppen	w2827
sich	w2828
dann	w2829
und	w2830
wann	w2831
sehen	w2832
lassen	w2833
<g/>
/
sich	w2835
förch=ten	w2836
<g/>
=
<g/>
/
daß	w2839
die	w2840
alte	w2841
Wacht	w2842
ihnen	w2843
keinen	w2844
treuen	w2845
Raport	w2846
ertheilen	w2847
möchte	w2848
<g/>
/
dann	w2850
was	w2851
die	w2852
besetzte	w2853
Thör	w2854
betrifft	w2855
<g/>
/
so	w2857
seynd	w2858
alle	w2859
Haupt	w2860
<g/>
=
Posten	w2862
von	w2863
denen	w2864
Bäyeris	w2865
<g/>
.
verwahret	w2867
<g/>
/
ausser	w2869
unter	w2870
dem	w2871
Gänß	w2872
<g/>
=
Thor	w2874
seynd	w2875
Frantzosen	w2876
<g/>
/
doch	w2878
gleich	w2879
daran	w2880
und	w2881
in	w2882
dem	w2883
Zeughauß	w2884
wider	w2885
Bäyern;	w2886
Das	w2887
scharffe	w2888
Treffen	w2889
welches	w2890
verschienen	w2891
Tagen	w2892
bey	w2893
Ehingen	w2894
und	w2895
Munterklingen	w2896
zwischen	w2897
denen	w2898
Käyserl	w2899
<g/>
.
und	w2901
Frantzosen	w2902
vorgegangen	w2903
<g/>
/
wird	w2905
täglich	w2906
remarquabler	w2907
<g/>
/
es	w2909
solle	w2910
dergleichen	w2911
Action	w2912
in	w2913
vielen	w2914
Jahren	w2915
nicht	w2916
geschehen	w2917
seyn	w2918
<g/>
/
wie	w2920
es	w2921
dann	w2922
Officiers	w2923
attestiren	w2924
<g/>
/
daß	w2926
als	w2927
hitzig	w2928
und	w2929
verzweiffelt	w2930
niemalen	w2931
gefoch=ten	w2932
<g/>
=
worden	w2934
<g/>
.
Die	w2936
Anzahl	w2937
der	w2938
Todten	w2939
und	w2940
Blessirten	w2941
an	w2942
Seiten	w2943
der	w2944
Fran=tzosen	w2945
<g/>
=
solle	w2947
sich	w2948
auff	w2949
1200	w2950
<g/>
.
und	w2952
der	w2953
Käyserl	w2954
<g/>
.
auff	w2956
900	w2957
<g/>
.
erstrecken	w2959
<g/>
/
man	w2961
kan	w2962
nicht	w2963
glauben	w2964
in	w2965
was	w2966
miserablen	w2967
Stand	w2968
die	w2969
Blessirten	w2970
anhero	w2971
gelieffert	w2972
worden	w2973
seynd	w2974
<g/>
/
mancher	w2976
hat	w2977
genug	w2978
an	w2979
einer	w2980
Schrammen	w2981
<g/>
/
aber	w2983
dise	w2984
haben	w2985
6	w2986
<g/>
.
10	w2988
<g/>
.
biß	w2990
12	w2991
<g/>
.
Stich;	w2993
Ein	w2994
Frantzösischer	w2995
grosser	w2996
Herr	w2997
ist	w2998
auch	w2999
gebliben	w3000
<g/>
/
item	w3002
etliche	w3003
Obristen	w3004
<g/>
/
und	w3006
bey	w3007
200	w3008
<g/>
.
Officiers	w3010
<g/>
,
von	w3012
Käyserlichen	w3013
wird	w3014
ein	w3015
Printz	w3016
von	w3017
Hauß	w3018
Lüneburg	w3019
gemüsset	w3020
<g/>
/
welcher	w3022
mit	w3023
andern	w3024
in	w3025
die	w3026
Donau	w3027
gesprenget	w3028
<g/>
/
und	w3030
darin	w3031
ertruncken	w3032
<g/>
/
kein	w3034
Theil	w3035
hat	w3036
dem	w3037
andern	w3038
Quartier	w3039
gege=ben;	w3040
<g/>
=
Der	w3042
Käyserl	w3043
<g/>
.
General	w3045
de	w3046
la	w3047
Tour	w3048
ware	w3049
schon	w3050
umbringet	w3051
und	w3052
gleich=samb	w3053
<g/>
=
gefangen	w3055
<g/>
/
aber	w3057
sonderbarer	w3058
Weise	w3059
durchkommen	w3060
<g/>
/
und	w3062
höret	w3063
man	w3064
stündlich	w3065
Wunder	w3066
<g/>
/
wie	w3068
verbittert	w3069
und	w3070
hitzig	w3071
alles	w3072
zugegangen	w3073
<g/>
.
</p>
<head id="hl3">
Lista	w3075
Deren	w3076
<g/>
/
von	w3078
Hohen	w3079
und	w3080
Niedrigen	w3081
Standts	w3082
<g/>
=
Persoh=nen	w3084
<g/>
=
Ankunfft	w3086
<g/>
.
</head>
<list id="li3">
Kärner	w3088
<g/>
=
Thor	w3090
<g/>
/
den	w3092
9	w3093
<g/>
.
Aug	w3095
<g/>
.
Herr	w3097
Schnell	w3098
<g/>
/
kombt	w3100
als	w3101
Courier	w3102
auß	w3103
Tyroll	w3104
<g/>
/
log	w3106
<g/>
.
im	w3108
wilden	w3109
Mann	w3110
<g/>
.
Stuben	w3112
<g/>
=
Thor	w3114
<g/>
/
Ein	w3116
Käyserl	w3117
<g/>
.
Courier	w3119
kombt	w3120
auß	w3121
Jtalien	w3122
<g/>
/
log	w3124
<g/>
.
im	w3126
Post	w3127
<g/>
=
Ambt	w3129
<g/>
.
Rothenturn	w3131
<g/>
/
Ein	w3133
Käyserl	w3134
<g/>
.
Courier	w3136
kombt	w3137
auß	w3138
den	w3139
Haag	w3140
<g/>
/
log	w3142
<g/>
.
im	w3144
Post	w3145
<g/>
=
Ambt	w3147
<g/>
.
Kärnerthor	w3149
den	w3150
10	w3151
<g/>
.
Aug	w3153
<g/>
.
Ein	w3155
Cavallier	w3156
Louis	w3157
d'Nordwig	w3158
<g/>
,
und	w3160
ein	w3161
Lieut	w3162
<g/>
.
vom	w3164
Lothringis	w3165
<g/>
.
Regiment	w3167
<g/>
/
kommen	w3169
auß	w3170
Jtalien	w3171
<g/>
/
log	w3173
<g/>
.
im	w3175
wilden	w3176
Mann	w3177
<g/>
.
</list>
<p id="p28">
NB	w3179
<g/>
.
Der	w3181
im	w3182
vorigen	w3183
Diario	w3184
den	w3185
4	w3186
<g/>
.
Aug	w3188
<g/>
.
angekommene	w3190
Dähnische	w3191
Herr	w3192
Gesandte	w3193
heist	w3194
nicht	w3195
Herr	w3196
von	w3197
Weinberg	w3198
<g/>
/
sondern	w3200
Herr	w3201
von	w3202
Weyhberg	w3203
<g/>
.
ltem	w3205
der	w3206
den	w3207
5	w3208
<g/>
.
Aug	w3210
<g/>
.
gekommene	w3212
Lieut	w3213
<g/>
.
Tromp	w3215
auß	w3216
Dännemarck	w3217
<g/>
/
ware	w3219
der	w3220
Herr	w3221
General	w3222
<g/>
=
Lieut	w3224
<g/>
.
Tromp	w3226
<g/>
.
</p>
<head id="hl4">
Was	w3228
vom	w3229
8	w3230
<g/>
.
Augusti	w3232
biß	w3233
den	w3234
11	w3235
<g/>
.
ejusdem	w3237
vor	w3238
und	w3239
in	w3240
der	w3241
Stadt	w3242
gestorben	w3243
<g/>
.
</head>
<head id="hl5">
Den	w3245
8	w3246
<g/>
.
Aug	w3248
<g/>
.
starb	w3250
in	w3251
der	w3252
Stadt	w3253
</head>
<list id="li4">
Dem	w3254
Andre	w3255
Sauerzapff	w3256
<g/>
/
ein	w3258
Wein	w3259
<g/>
=
Commissarius	w3261
im	w3262
Trienter=Hoff	w3263
<g/>
=
<g/>
/
sein	w3266
Weib	w3267
Rosina	w3268
<g/>
/
ist	w3270
an	w3271
innerlicher	w3272
Fäullung	w3273
beschaut	w3274
<g/>
/
alt	w3276
37	w3277
<g/>
.
Jahr	w3279
<g/>
.
Johann	w3281
Daupy	w3282
<g/>
/
ein	w3284
Lagey	w3285
im	w3286
Gräfl	w3287
<g/>
.
Walsteinischen	w3289
Hauß	w3290
in	w3291
der	w3292
Herrn	w3293
Gassen	w3294
<g/>
/
ist	w3296
an	w3297
der	w3298
Lungelsucht	w3299
beschaut	w3300
<g/>
/
alt	w3302
48	w3303
<g/>
.
Jahr	w3305
<g/>
.
Jacob	w3307
Mundus	w3308
<g/>
/
ein	w3310
Student	w3311
im	w3312
Waldmeisters	w3313
Hauß	w3314
auff	w3315
der	w3316
Widen	w3317
ist	w3318
am	w3319
hitzigen	w3320
Fieber	w3321
beschaut	w3322
alt	w3323
<g/>
/
20	w3325
<g/>
.
Jahr	w3327
<g/>
.
</list>
<head id="hl6">
Den	w3329
9	w3330
starb	w3331
vor	w3332
der	w3333
Stadt	w3334
<g/>
.
</head>
<list id="li5">
Dem	w3336
Christoph	w3337
Hammer	w3338
<g/>
/
Quardi	w3340
<g/>
=
Soldaten	w3342
im	w3343
Hechlerischen	w3344
Hauß	w3345
am	w3346
Neüstifft	w3347
sein	w3348
Weib	w3349
Anna	w3350
<g/>
/
ist	w3352
an	w3353
der	w3354
Lungelsucht	w3355
beschaut	w3356
<g/>
/
alt	w3358
55	w3359
<g/>
.
Jahr	w3361
<g/>
.
Die	w3363
Elisabeth	w3364
Brandstetterin	w3365
<g/>
/
ein	w3367
lediges	w3368
Mensch	w3369
beym	w3370
gul=denen	w3371
<g/>
=
Pelican	w3373
bey	w3374
St	w3375
<g/>
.
Ulrich	w3377
<g/>
/
ist	w3379
an	w3380
der	w3381
Lungen	w3382
<g/>
=
Cathar	w3384
beschaut	w3385
<g/>
/
alt	w3387
48	w3388
<g/>
.
Jahr	w3390
</list>
<head id="hl7">
Den	w3391
10	w3392
<g/>
.
starb	w3394
vor	w3395
der	w3396
Stadt	w3397
<g/>
.
</head>
<list id="li6">
Dem	w3399
Andreas	w3400
Schonauer	w3401
Käys	w3402
<g/>
.
N	w3404
<g/>
.
Oe	w3406
<g/>
.
Regierungs	w3408
Cantzeley=Verwandter	w3409
<g/>
=
im	w3411
Brunnmeisteris	w3412
<g/>
.
Hauß	w3414
auff	w3415
der	w3416
Laimbgruben	w3417
sein	w3418
Kind	w3419
Frantz	w3420
<g/>
/
ist	w3422
an	w3423
der	w3424
Fraiß	w3425
beschaut	w3426
<g/>
/
alt	w3428
½	w3429
<g/>
.
Jahr	w3431
<g/>
.
</list>
</doc>
