<doc id="wr_1763-10-15" attrs="word" year="1763" month="10" day="15" corpus="2">
<head id="h2_d800e3755">
Niagara	w1_d800e3759
kn.,	w9_d800e11899
s.	w11_d800e11902
K.	w13_d800e11906
Theres.,	w15_d800e11909
beym	w17_d800e11912
gold	w1_d800e11917
Fäs.	w3_d800e11920
an	w5_d800e11923
der	w7_d800e11926
Währinger	w9_d800e11929
linie,	w11_d800e11932
alt	w13_d800e11936
5.	w15_d800e11939
Dem	w1_d800e11944
Mich.	w3_d800e11947
Grug,	w5_d800e11950
Sammet	w7_d800e11953
mach=meist.,	w9_d800e11956
s.	w11_d800e11959
Kind	w13_d800e11963
Magdal,	w1_d800e11969
beym	w3_d800e11972
gr.	w5_d800e11975
Jäg.	w7_d800e11978
am	w9_d800e11981
obern	w11_d800e11984
Neust.,	w13_d800e11988
3.	w15_d800e11991
J.	w17_d800e11994
Dem	w1_d800e11999
Carl	w3_d800e12002
Burger,	w5_d800e12005
Schreib.,	w7_d800e12008
s.	w9_d800e12011
W.	w11_d800e12014
Anna,	w13_d800e12018
beym	w15_d800e12021
gold.	w1_d800e12026
Rit	w3_d800e12029
zu	w5_d800e12032
Maria=hülf,	w7_d800e12035
alt	w9_d800e12038
24.	w11_d800e12041
J.	w13_d800e12045
Math.	w1_d800e12050
Müller,	w3_d800e12053
Herrschaftl.	w5_d800e12056
Lauf.,	w7_d800e12059
bey	w9_d800e12062
der	w11_d800e12065
golden.	w13_d800e12069
Kanne	w1_d800e12075
in	w3_d800e12078
der	w5_d800e12081
Josephst.,	w7_d800e12084
alt	w9_d800e12087
42.	w11_d800e12090
J.	w13_d800e12094
Dem	w1_d800e12099
Christoph	w3_d800e12102
Sammer,	w5_d800e12105
K.	w7_d800e12108
Reit=kn.,	w9_d800e12111
s.	w11_d800e12114
K.	w13_d800e12118
Anna,	w15_d800e12121
beym	w1_d800e12126
weis.	w3_d800e12129
Rös.	w5_d800e12132
zu	w7_d800e12135
Maria=hülf,	w9_d800e12138
alt	w11_d800e12141
2.	w13_d800e12145
J.	w15_d800e12148
</list>
<head id="h2_d800e12155">
Summa	w1_d800e12159
17.	w3_d800e12162
Pers.,	w5_d800e12165
darunter	w7_d800e12168
10.	w9_d800e12171
Kind.	w11_d800e12174
</head>
<list id="l8_d800e12187">
Den	w1_d800e12191
11.	w3_d800e12194
Octob.	w5_d800e12197
Jn	w7_d800e12200
der	w9_d800e12203
Stadt.	w11_d800e12206
Der	w1_d800e12211
Wol=edel=geb.	w3_d800e12214
Hr.	w5_d800e12217
Mart.	w7_d800e12220
Prockesch,	w9_d800e12223
gew.	w11_d800e12226
K.	w13_d800e12230
K.	w15_d800e12233
Hauptm,	w1_d800e12238
im	w3_d800e12241
Gundel=hof,	w5_d800e12244
alt	w7_d800e12247
77.	w9_d800e12250
J.	w11_d800e12253
Dem	w1_d800e12259
Hrn.	w3_d800e12262
Pet.	w5_d800e12265
Ant	w7_d800e12268
Türkes,	w9_d800e12271
K.	w11_d800e12274
K.	w13_d800e12278
Hof=stick.,	w15_d800e12281
s.	w17_d800e12284
K.	w19_d800e12287
Maria	w1_d800e12292
Anna,	w3_d800e12295
imn	w5_d800e12298
Roseris.	w7_d800e12301
H.	w9_d800e12304
in	w11_d800e12307
der	w13_d800e12311
Teintfaltsir.	w15_d800e12314
2.	w1_d800e12319
J.	w3_d800e12322
Franz	w1_d800e12327
Jos.	w3_d800e12330
Rem,	w5_d800e12333
Burgerl.	w7_d800e12336
Schneid.,	w9_d800e12339
im	w11_d800e12342
Matzis	w13_d800e12346
H.	w1_d800e12352
am	w3_d800e12355
Pet,	w5_d800e12358
alt	w7_d800e12361
51.	w9_d800e12364
J.	w11_d800e12367
Dem	w1_d800e12372
Carl	w3_d800e12375
Oberrauch,	w5_d800e12378
K.	w7_d800e12381
K.	w9_d800e12384
Artillerie=machinist.,	w11_d800e12387
s.	w1_d800e12392
K.	w3_d800e12395
Jacob,	w5_d800e12398
im	w7_d800e12401
unt.	w9_d800e12404
Arsenal,	w11_d800e12407
alt	w13_d800e12411
1.	w15_d800e12414
J.	w17_d800e12417
Magdal	w1_d800e12422
Hasin,	w3_d800e12425
Wittwe,	w5_d800e12428
im	w7_d800e12431
Ritteris.	w9_d800e12434
H.	w11_d800e12437
in	w13_d800e12441
der	w15_d800e12444
obern	w1_d800e12450
Breunerstr.,	w3_d800e12453
alt	w5_d800e12456
82.	w7_d800e12459
J.	w9_d800e12462
</list>
<head id="h2_d800e12469">
Vor	w1_d800e12473
der	w3_d800e12476
Stadt.	w5_d800e12479
</head>
<list id="l4_d800e12482">
Dem	w1_d800e12486
Hrn.	w3_d800e12489
Jgnatz	w5_d800e12492
Kling,	w7_d800e12495
K.	w9_d800e12498
K.	w11_d800e12501
Arciern,	w13_d800e12505
s.	w15_d800e12508
T.	w17_d800e12511
Mag	w19_d800e12514
dal.,	w1_d800e12519
beym	w3_d800e12522
gold	w5_d800e12525
Schif	w7_d800e12528
auf	w9_d800e12531
der	w11_d800e12534
neue	w13_d800e12538
Wied.,	w15_d800e12541
7.	w17_d800e12544
J.	w19_d800e12547
Mich.	w1_d800e12552
Rebel,	w3_d800e12555
Schuhmach,	w5_d800e12558
beym	w7_d800e12561
braun.	w9_d800e12564
Hirsch.	w11_d800e12567
zu	w13_d800e12571
Maria=hülf,	w1_d800e12577
alt	w3_d800e12580
42.	w5_d800e12583
J.	w7_d800e12586
Dem	w1_d800e12591
Joh.	w3_d800e12594
Hartung,	w5_d800e12597
Herrschaftl.	w7_d800e12600
Heyduck.,	w9_d800e12603
s.	w11_d800e12606
K.	w13_d800e12610
Franz,	w1_d800e12615
beym	w3_d800e12618
gold.	w5_d800e12621
Ochs.	w7_d800e12624
in	w9_d800e12627
der	w11_d800e12630
Leopoldst.,	w13_d800e12634
2.J	w15_d800e12637
Maria	w1_d800e12642
Prantnerin	w3_d800e12645
Wittwe,	w5_d800e12648
beym	w7_d800e12651
schw.	w9_d800e12654
Eleph.	w11_d800e12657
n	w1_d800e12663
in	w3_d800e12666
der	w5_d800e12669
Leopold.,	w7_d800e12672
alt	w9_d800e12675
71.	w11_d800e12678
J.	w13_d800e12682
Johanna	w1_d800e12687
Lechnerin,	w3_d800e12690
Wittwe,	w5_d800e12693
beym	w7_d800e12696
gr.	w9_d800e12699
Thor	w11_d800e12702
in	w13_d800e12706
der	w15_d800e12709
2	w1_d800e12714
Jäger=zeil,	w3_d800e12717
alt	w5_d800e12720
76.	w7_d800e12723
J.	w9_d800e12726
Rosal.	w1_d800e12731
Berliebin,	w3_d800e12734
led.	w5_d800e12737
M.,	w7_d800e12740
im	w9_d800e12743
Grünhüteris.	w11_d800e12746
H.	w13_d800e12750
am	w15_d800e12753
rr	w1_d800e12759
Hundsth.	w3_d800e12762
alt	w5_d800e12765
22.	w7_d800e12768
J.	w9_d800e12771
Der	w1_d800e12776
Clara	w3_d800e12779
Kamlin,	w5_d800e12782
Wittwe,	w7_d800e12785
ihr	w9_d800e12788
T.	w11_d800e12791
Magdal.,	w13_d800e12795
bey	w15_d800e12798
dem	w1_d800e12803
Blumen=stock	w3_d800e12806
zu	w5_d800e12809
Matzleinst.,	w7_d800e12812
alt	w9_d800e12815
15.	w11_d800e12818
J.	w13_d800e12822
Summa	w1_d800e12827
12.	w3_d800e12830
Pers.	w5_d800e12833
darunter	w7_d800e12836
4.	w9_d800e12839
Kind	w11_d800e12842
Den	w1_d800e12848
12.	w3_d800e12851
Getob.	w5_d800e12854
Jn	w7_d800e12857
der	w9_d800e12860
Stadt.	w11_d800e12863
Dem	w1_d800e12868
Hrn.	w3_d800e12871
Franz	w5_d800e12874
Fauner,	w7_d800e12877
gew.	w9_d800e12880
K.	w11_d800e12883
Amalis.	w13_d800e12887
Hof	w15_d800e12890
musico,	w1_d800e12895
s.	w3_d800e12898
Fr.	w5_d800e12901
Josepha,	w7_d800e12904
im	w9_d800e12907
Webersinisch.	w11_d800e12910
H.	w13_d800e12914
auf	w15_d800e12917
der	w1_d800e12922
Mölker=bastey,	w3_d800e12925
alt	w5_d800e12928
46.	w7_d800e12931
J	w9_d800e12934
Dem	w1_d800e12940
Carl	w3_d800e12943
Vorholzer,	w5_d800e12946
Burgerl.	w7_d800e12949
Flaschn.	w9_d800e12952
s.	w11_d800e12955
K.	w13_d800e12959
Carl,	w15_d800e12962
in	w1_d800e12967
s.	w3_d800e12970
H.	w5_d800e12973
untern	w7_d800e12976
Tuchlaub.,	w9_d800e12979
alt	w11_d800e12982
1.	w13_d800e12986
J.	w15_d800e12989
</list>
<head id="h2_d800e12996">
Vor	w1_d800e13000
der	w3_d800e13003
Stadt.	w5_d800e13006
</head>
<list id="l4_d800e13009">
Dem	w1_d800e13013
Niclas	w3_d800e13016
Schmid,	w5_d800e13019
Burgerl.	w7_d800e13022
Schuhmach.,	w9_d800e13025
s.	w11_d800e13028
K.	w13_d800e13032
Susan.,	w1_d800e13037
beym	w3_d800e13040
br.	w5_d800e13043
Adl.	w7_d800e13046
zu	w9_d800e13049
Maria=hülf,	w11_d800e13052
6.	w13_d800e13056
v.	w15_d800e13059
J.	w17_d800e13062
Dem	w1_d800e13067
Sim.	w3_d800e13070
Kuchmayr,	w5_d800e13073
Burgerl.	w7_d800e13076
Tischl.	w9_d800e13079
s.	w11_d800e13082
K.	w13_d800e13086
Paul,	w15_d800e13089
beym	w1_d800e13095
gold	w3_d800e13098
Pelican	w5_d800e13101
am	w7_d800e13104
Spiralb,	w9_d800e13107
alt	w11_d800e13110
3.	w13_d800e13114
J.	w15_d800e13117
Dem	w1_d800e13122
Lor.	w3_d800e13125
Hofstadter,	w5_d800e13128
Burgetl.	w7_d800e13131
Schuhmach.,	w9_d800e13134
s.	w11_d800e13137
K.	w13_d800e13141
Math.	w1_d800e13146
im	w3_d800e13149
Sauerkräutleris.	w5_d800e13152
H.	w7_d800e13155
an	w9_d800e13158
der	w11_d800e13161
Wien,	w13_d800e13165
10	w15_d800e13168
J	w17_d800e13171
Dem	w1_d800e13176
Joh.	w3_d800e13179
Klug,	w5_d800e13182
Hof=befr.	w7_d800e13185
Schneid.,	w9_d800e13188
s.	w11_d800e13191
K.	w13_d800e13195
Anna,	w15_d800e13198
beym	w1_d800e13204
schön.	w3_d800e13207
Landl.	w5_d800e13210
am	w7_d800e13213
Neubau,	w9_d800e13216
alt	w11_d800e13219
4.	w13_d800e13223
J.	w15_d800e13226
Dem	w1_d800e13231
Paul	w3_d800e13234
Jnghofer,	w5_d800e13237
Schuhmach,	w7_d800e13240
s.	w9_d800e13243
K.	w11_d800e13246
Barb.	w13_d800e13250
in	w15_d800e13253
der	w1_d800e13258
K.	w3_d800e13261
Kriegs=schul	w5_d800e13264
auf	w7_d800e13267
der	w9_d800e13270
Laimgr,	w11_d800e13273
5.	w13_d800e13277
J.	w15_d800e13280
Math.	w1_d800e13285
Mull,	w3_d800e13288
K.	w5_d800e13291
Reit	w7_d800e13294
kn,	w9_d800e13297
beyn	w11_d800e13300
3.	w13_d800e13304
König.	w15_d800e13307
zu	w17_d800e13310
Ma	w19_d800e13313
ria	w1_d800e13319
hülf,	w3_d800e13322
alt	w5_d800e13325
86.	w7_d800e13328
J.	w9_d800e13331
Dem	w1_d800e13336
Joh.	w3_d800e13339
Mich.	w5_d800e13342
Holzinger,	w7_d800e13345
Lehn=kutchs.	w9_d800e13348
s.	w11_d800e13351
K.	w13_d800e13355
Franz	w15_d800e13358
bey	w1_d800e13363
der	w3_d800e13366
gr.	w5_d800e13369
Lind.	w7_d800e13372
am	w9_d800e13375
Thury,	w11_d800e13378
alt	w13_d800e13382
3.	w15_d800e13385
J.	w17_d800e13388
Dem	w1_d800e13393
Franz	w3_d800e13396
Stockinger,	w5_d800e13399
Anstreich.,	w7_d800e13402
s.	w9_d800e13405
K.	w11_d800e13408
Joh.,	w13_d800e13412
bey	w15_d800e13415
dem	w1_d800e13421
weis.	w3_d800e13424
Kreutz	w5_d800e13427
am	w7_d800e13430
Neustift,	w9_d800e13433
alt	w11_d800e13436
3.	w13_d800e13440
Dem	w1_d800e13445
Jos.	w3_d800e13448
Strasser,	w5_d800e13451
K.	w7_d800e13454
Kuchel	w9_d800e13457
trag.,	w11_d800e13460
s.	w13_d800e13464
K.	w15_d800e13467
Anna,	w17_d800e13470
bey	w1_d800e13475
der	w3_d800e13478
Hungaris.	w5_d800e13481
Cron	w7_d800e13484
zu	w9_d800e13487
Maria=hülf,	w11_d800e13490
alt	w13_d800e13494
6.	w15_d800e13497
v.	w17_d800e13500
J.	w19_d800e13503
Math.	w1_d800e13508
Fellner,	w3_d800e13511
Lehen	w5_d800e13514
kutsch.	w7_d800e13517
kn.,	w9_d800e13520
beym	w11_d800e13523
gr.	w13_d800e13527
Baum	w15_d800e13530
am	w1_d800e13536
Hungelbr.,	w3_d800e13539
alt	w5_d800e13542
64.	w7_d800e13545
J..	w9_d800e13548
Em	w1_d800e13553
</list>
<list id="l6_d800e13557">
Sophia	w1_d800e13561
Mitlin	w3_d800e13564
in	w5_d800e13567
St.	w7_d800e13570
Joh.	w9_d800e13573
Nep.	w11_d800e13576
Spit.,	w13_d800e13580
80.	w15_d800e13583
J.	w17_d800e13586
Dem	w1_d800e13591
Lor.	w3_d800e13594
Kastner,	w5_d800e13597
Nacht	w7_d800e13600
wacht,	w9_d800e13603
s.	w11_d800e13606
K.	w13_d800e13610
Reg.,	w15_d800e13613
bey	w17_d800e13616
dem	w1_d800e13621
gold.	w3_d800e13624
Sattel	w5_d800e13627
zu	w7_d800e13630
St.	w9_d800e13633
Ulrich,	w11_d800e13636
alt	w13_d800e13640
3.	w15_d800e13643
J.	w17_d800e13646
Dem	w1_d800e13652
Rupert	w3_d800e13655
Hagenecker,	w5_d800e13658
Taglöhu,	w7_d800e13661
s.	w9_d800e13664
K.	w11_d800e13667
Joh.,	w13_d800e13671
im	w15_d800e13674
Hausmeißteris.	w1_d800e13679
H.	w3_d800e13682
zu	w5_d800e13685
Gumpend.,	w7_d800e13688
alt	w9_d800e13691
7.	w11_d800e13694
J.	w13_d800e13698
Dem	w1_d800e13703
Joh.	w3_d800e13706
Schäffer,	w5_d800e13709
Hauskn.,	w7_d800e13712
s.	w9_d800e13715
W.	w11_d800e13718
Annna,	w13_d800e13722
in	w15_d800e13725
Salmis.	w1_d800e13730
Zim.	w3_d800e13733
an	w5_d800e13736
der	w7_d800e13739
Wien,	w9_d800e13742
alt	w11_d800e13745
32.	w13_d800e13749
Der	w1_d800e13755
Christina	w3_d800e13758
Hartingerin,	w5_d800e13761
Wittwe,	w7_d800e13764
ihr	w9_d800e13767
S.	w11_d800e13770
Carl,	w13_d800e13774
im	w1_d800e13779
Wiern	w3_d800e13782
sergis.	w5_d800e13785
H.	w7_d800e13788
am	w9_d800e13791
Hundsth.,	w11_d800e13794
alt	w13_d800e13798
19.	w15_d800e13801
J.	w17_d800e13804
Dem	w1_d800e13809
Math.	w3_d800e13812
Krempel,	w5_d800e13815
Taglöhn,	w7_d800e13818
s.	w9_d800e13821
S.	w11_d800e13824
Mart.,	w13_d800e13828
bey	w15_d800e13831
der	w1_d800e13836
gold.	w3_d800e13839
Kug.	w5_d800e13842
in	w7_d800e13845
der	w9_d800e13848
Josephst.,	w11_d800e13851
alt	w13_d800e13855
16.	w15_d800e13858
J.	w17_d800e13861
Dem	w1_d800e13867
Christoph	w3_d800e13870
Klinger,	w5_d800e13873
Taglößn.,	w7_d800e13876
s.	w9_d800e13879
K.	w11_d800e13882
Mart.	w13_d800e13886
bey	w15_d800e13889
dem	w1_d800e13894
Josephs=berg	w3_d800e13897
aus.	w5_d800e13900
Maria	w7_d800e13903
hülf,	w9_d800e13906
alt	w11_d800e13909
4.	w13_d800e13913
J	w15_d800e13916
Dem	w1_d800e13921
Joh	w3_d800e13924
Schorn,	w5_d800e13927
Taglöhr.,	w7_d800e13930
s.	w9_d800e13933
K.	w11_d800e13936
Joh.,	w13_d800e13940
im	w15_d800e13943
Fan	w17_d800e13946
steris.	w1_d800e13951
H.	w3_d800e13954
im	w5_d800e13957
Lerchf.,	w7_d800e13960
alt	w9_d800e13963
4.	w11_d800e13966
J.	w13_d800e13970
</list>
<head id="h2_d800e13978">
Summa	w1_d800e13982
20.	w3_d800e13985
Pers.	w5_d800e13988
darunter	w7_d800e13991
13.	w9_d800e13994
Kind.	w11_d800e13997
</head>
<head id="h2_d800e14003">
AVERTISSENENT.	w1_d800e14007
</head>
<p id="p4_d800e14010">
Von	w1_d800e14014
der	w3_d800e14017
Röm.	w5_d800e14020
Kais.	w7_d800e14023
Kön.	w9_d800e14026
Majest.	w11_d800e14029
N.	w13_d800e14033
Oe.	w15_d800e14036
Re	w17_d800e14039
gierung	w1_d800e14044
wegen,	w3_d800e14047
wird	w5_d800e14050
auf	w7_d800e14053
Jhro	w9_d800e14056
K.	w11_d800e14059
K.	w13_d800e14063
Majestät	w15_d800e14066
allerhöchsten	w1_d800e14071
Befehl	w3_d800e14074
dem	w5_d800e14077
Publics	w7_d800e14080
hiermit	w9_d800e14083
kund	w11_d800e14086
und	w1_d800e14092
bekannt	w3_d800e14095
gemacht:	w5_d800e14098
Es	w7_d800e14101
seye	w9_d800e14104
von	w11_d800e14107
dem	w13_d800e14111
allhie	w15_d800e14114
sigen	w1_d800e14119
Haupt=münz=amte	w3_d800e14122
in	w5_d800e14125
Betreff	w7_d800e14128
der	w9_d800e14131
Märg	w11_d800e14134
gräfl.=Anspachischen	w1_d800e14139
halben	w3_d800e14142
Gulden	w5_d800e14145
mit	w7_d800e14148
der	w9_d800e14151
Jahr	w11_d800e14154
zahl	w1_d800e14159
1763.	w3_d800e14162
die	w5_d800e14165
Erinnerung	w7_d800e14168
geschehen,	w9_d800e14171
daß,	w11_d800e14174
ob	w13_d800e14178
schon	w1_d800e14184
solche	w3_d800e14187
zwar	w5_d800e14190
denen	w7_d800e14193
Kais.	w9_d800e14196
Kön	w11_d800e14199
halben	w13_d800e14203
Gul	w15_d800e14206
den	w1_d800e14211
in	w3_d800e14214
der	w5_d800e14217
Ausmünzung	w7_d800e14220
dem	w9_d800e14223
innerlichen	w11_d800e14226
Werth	w13_d800e14230
nach	w1_d800e14235
gleich	w3_d800e14238
kommen,	w5_d800e14241
jedoch	w7_d800e14244
weder	w9_d800e14247
im	w11_d800e14250
Schrot	w13_d800e14254
noch	w15_d800e14257
Korn	w1_d800e14262
Conventions=mäßig	w3_d800e14265
ausgepräget	w5_d800e14268
seyen,	w7_d800e14271
und	w9_d800e14274
derowegen	w1_d800e14280
besagten	w3_d800e14283
Anspachischen	w5_d800e14286
halben	w7_d800e14289
Gulden	w9_d800e14292
kein	w1_d800e14297
Cours	w3_d800e14300
gestattet	w5_d800e14303
werden	w7_d800e14306
könne.	w9_d800e14309
Wornach	w11_d800e14312
sich	w1_d800e14317
jedermänniglich	w3_d800e14320
zu	w5_d800e14323
achten,	w7_d800e14326
und	w9_d800e14329
vor	w11_d800e14332
Schaden	w13_d800e14336
zu	w1_d800e14341
hüten	w3_d800e14344
wissen	w5_d800e14347
wird.	w7_d800e14350
Wien	w9_d800e14353
den	w11_d800e14356
7.	w13_d800e14360
Oct.	w15_d800e14363
1763.	w17_d800e14366
</p>
<list id="l6_d800e14369">
Bey	w1_d800e14373
denen	w3_d800e14376
Belegern	w5_d800e14379
des	w7_d800e14382
Wieneischen	w9_d800e14385
Diati	w11_d800e14388
ist	w1_d800e14393
zu	w3_d800e14396
haben.	w5_d800e14399
Johigenia	w1_d800e14404
in	w3_d800e14407
Tauris,	w5_d800e14410
ein	w7_d800e14413
Sing=spiel,	w9_d800e14416
aufgefüb	w11_d800e14419
ret	w1_d800e14425
in	w3_d800e14428
Schönbrunn,	w5_d800e14431
bey	w7_d800e14434
Gelegenheit	w9_d800e14437
höchster	w11_d800e14440
Na	w13_d800e14444
mens	w1_d800e14449
festen	w3_d800e14452
beeder	w5_d800e14455
glorwürdigst=regierender	w7_d800e14458
Kais.	w9_d800e14461
Kön.	w1_d800e14466
Majestäten,	w3_d800e14469
im	w5_d800e14472
Jahr	w7_d800e14475
1763.	w9_d800e14478
in	w11_d800e14481
die	w13_d800e14485
deutsche	w15_d800e14488
Mund=art	w1_d800e14493
gesetzt	w3_d800e14496
von	w5_d800e14499
J.	w7_d800e14502
G.	w9_d800e14505
Gebunden	w11_d800e14508
das	w13_d800e14512
Stück	w15_d800e14515
pr.	w1_d800e14521
17.	w3_d800e14524
kr.	w5_d800e14527
J.	w1_d800e14532
G.	w3_d800e14535
v.	w5_d800e14538
L.	w7_d800e14541
Gedanken	w9_d800e14544
in	w11_d800e14547
Wien	w13_d800e14551
wegen	w15_d800e14554
des	w17_d800e14557
er	w19_d800e14560
schröcklichen	w1_d800e14565
Erdbebens	w3_d800e14568
zu	w5_d800e14571
Commorn	w7_d800e14574
in	w9_d800e14577
Oberun	w11_d800e14580
garn,	w1_d800e14585
welches	w3_d800e14588
daselbst	w5_d800e14591
A.	w7_d800e14594
1763.	w9_d800e14597
den	w11_d800e14600
28.	w13_d800e14604
Junii	w15_d800e14607
so	w17_d800e14610
grausame	w1_d800e14616
Verwüstung	w3_d800e14619
verursachte.	w5_d800e14622
Jm	w7_d800e14625
Fälzel	w9_d800e14628
das	w1_d800e14633
Stück	w3_d800e14636
pr.	w5_d800e14639
4.	w7_d800e14642
kr.	w9_d800e14645
Isidori	w1_d800e14650
Clari	w3_d800e14653
ex	w5_d800e14656
Monacho	w7_d800e14659
Parmensis	w9_d800e14662
Monaste-	w11_d800e14665
ri	w1_d800e14670
Episcopi	w3_d800e14673
Fulginatis	w5_d800e14676
Comm	w7_d800e14679
entationum	w9_d800e14682
in	w11_d800e14685
Cap.	w13_d800e14689
XV.	w1_d800e14695
Epistolæ	w3_d800e14698
prioris	w5_d800e14701
divini	w7_d800e14704
Pauli	w9_d800e14707
ad	w11_d800e14710
Corinthios,	w13_d800e14714
ad	w1_d800e14719
Basilium	w3_d800e14722
Fratrem	w5_d800e14725
Libri	w7_d800e14728
III.	w9_d800e14731
prodeunt	w11_d800e14734
nunc	w13_d800e14738
primum	w1_d800e14743
in	w3_d800e14746
lucem	w5_d800e14749
opera	w7_d800e14752
&	w9_d800e14755
studio	w11_d800e14758
R.	w13_d800e14762
P.	w15_d800e14765
Martini	w17_d800e14768
Kropff,	w1_d800e14773
Liberi	w3_d800e14776
&	w5_d800e14779
Exempti	w7_d800e14782
Mouasterii	w9_d800e14785
Melicensis	w11_d800e14788
Ord.	w1_d800e14794
S.	w3_d800e14797
Benedicti	w5_d800e14800
Professi	w7_d800e14803
&	w9_d800e14806
Bibliothecarii.	w11_d800e14809
Das	w13_d800e14813
Stuck	w1_d800e14818
ungebunden	w3_d800e14821
pr.	w5_d800e14824
45.	w7_d800e14827
kr.	w9_d800e14830
Adjumentum	w1_d800e14835
Memoriæ	w3_d800e14838
Manuale	w5_d800e14841
Chronolog.	w7_d800e14844
</list>
<list id="l8_d800e14848">
Bey	w1_d800e14852
denen	w3_d800e14855
Belegern	w5_d800e14858
des	w7_d800e14861
Wieneischen	w9_d800e14864
Diati	w11_d800e14867
</list>
<p id="p10_d800e14871">
Genealogico-Historicum,	w1_d800e14875
Eruditis	w3_d800e14878
omnibus	w5_d800e14881
ju-	w7_d800e14884
</p>
<p id="p14_d800e14890">
cundum,	w1_d800e14894
cumprinis	w3_d800e14897
verd	w5_d800e14900
fiudiosæ	w7_d800e14903
Nobil.	w9_d800e14906
Juven-	w11_d800e14909
tuti	w1_d800e14914
commodo	w3_d800e14917
concinnatum.	w5_d800e14920
Das	w7_d800e14923
Stück	w9_d800e14926
für	w11_d800e14929
30.	w1_d800e14934
kr.	w3_d800e14937
</p>
<list id="l16_d800e14940">
Bey	w1_d800e14944
dem	w3_d800e14947
Unzverstäts=buchdrucher	w5_d800e14950
Gerog	w7_d800e14953
Lud	w9_d800e14956
</list>
<list id="l18_d800e14960">
Bey	w1_d800e14964
dem	w3_d800e14967
Unzverstäts=buchdrucher	w5_d800e14970
Gerog	w7_d800e14973
Lud	w9_d800e14976
wig	w1_d800e14981
Schulz,	w3_d800e14984
in	w5_d800e14987
der	w7_d800e14990
Römer=strasse,	w9_d800e14993
wie	w11_d800e14996
auch	w13_d800e15000
bey	w15_d800e15003
Felix	w1_d800e15008
Bader,	w3_d800e15011
und	w5_d800e15014
Friedrich	w7_d800e15017
Bernardi	w9_d800e15020
ast	w11_d800e15023
zu	w13_d800e15027
haben:	w15_d800e15030
Unentbehrlicher	w1_d800e15036
Anhang	w3_d800e15039
zu	w5_d800e15042
der	w7_d800e15045
Gegenantwort	w9_d800e15048
auf	w1_d800e15053
dasjenige	w3_d800e15056
Schreiben,	w5_d800e15059
in	w7_d800e15062
welchem	w9_d800e15065
der	w11_d800e15068
Sach	w13_d800e15072
walter	w1_d800e15077
der	w3_d800e15080
Wienerischen	w5_d800e15083
Anhängler	w7_d800e15086
diese	w9_d800e15089
Leute	w11_d800e15092
zu	w1_d800e15097
rechtfertigen	w3_d800e15100
gesucht	w5_d800e15103
hat.	w7_d800e15106
Allhier	w1_d800e15112
sind	w3_d800e15115
die	w5_d800e15118
Gramatict	w7_d800e15121
Streitbare	w1_d800e15126
Ziegenböcke;	w3_d800e15129
</list>
<list id="l20_d800e15133">
Sie	w1_d800e15137
dunken	w3_d800e15140
sich	w5_d800e15143
kein	w7_d800e15146
schlechtes	w9_d800e15149
Vieh,	w11_d800e15152
Das	w1_d800e15157
zeigt	w3_d800e15160
ihr	w5_d800e15163
stark	w7_d800e15166
Geblöcke.	w9_d800e15169
Jhr	w1_d800e15174
hocherfahrner	w3_d800e15177
langer	w5_d800e15180
Bart,	w7_d800e15183
Hegt	w1_d800e15189
auch	w3_d800e15192
kein	w5_d800e15195
Haar	w7_d800e15198
gemeiner	w9_d800e15201
Art	w11_d800e15204
und	w1_d800e15209
ihre	w3_d800e15212
Hörner	w5_d800e15215
siegen,	w7_d800e15218
Jn	w1_d800e15223
scharfen	w3_d800e15226
Wörterkriegen.	w5_d800e15229
Responde	w1_d800e15234
stulto	w3_d800e15237
juxta	w5_d800e15240
stultitiam	w7_d800e15243
suam,	w9_d800e15246
ne	w11_d800e15249
sbi	w13_d800e15253
sapiens	w1_d800e15259
esse	w3_d800e15262
videatur.	w5_d800e15265
Jn	w7_d800e15268
4to	w9_d800e15271
17.	w11_d800e15274
kr.	w13_d800e15278
Die	w1_d800e15283
Welt,	w3_d800e15286
eine	w5_d800e15289
Wochenschrift.	w7_d800e15292
Vier	w9_d800e15295
Bände	w11_d800e15298
in	w1_d800e15303
8vo	w3_d800e15306
ungebunden	w5_d800e15309
3	w7_d800e15312
fl.	w9_d800e15315
in	w11_d800e15318
Papierband	w13_d800e15322
3.	w15_d800e15325
fl.	w17_d800e15328
30.	w19_d800e15331
kr.	w21_d800e15334
Leßings	w1_d800e15339
Fabeln.	w3_d800e15342
3.	w5_d800e15345
Bücher	w7_d800e15348
8vo	w9_d800e15351
17.	w11_d800e15354
kr.	w13_d800e15358
Jr	w1_d800e15364
e.	w3_d800e15367
v.	w5_d800e15370
Sonnenfels	w7_d800e15373
Rede	w9_d800e15376
auf	w11_d800e15379
Marien	w13_d800e15383
There	w15_d800e15386
sen	w1_d800e15391
rc.	w3_d800e15394
17.	w5_d800e15397
kr.	w7_d800e15400
</list>
<list id="l22_d800e15404">
Landmarschall	w1_d800e15408
rc.	w3_d800e15411
</list>
<head id="h2_d800e15418">
Landmarschall	w1_d800e15422
rc.	w3_d800e15425
</head>
<p id="p4_d800e15428">
Eutbiete	w1_d800e15432
N.	w3_d800e15435
allen	w5_d800e15438
und	w7_d800e15441
jeden,	w9_d800e15444
was	w11_d800e15447
Standes	w13_d800e15451
und	w15_d800e15454
Wurden	w1_d800e15459
die	w3_d800e15462
