<doc id="edoc_wd_1781-12-29" attrs="word" year="1781" month="12" day="29" corpus="1">
<p id="p4">
Tausend	w24
Frankreich	w1854
erfolgte	w1855
Geburt	w1856
eines	w1857
Dau=phins	w1858
<g/>
=
<g/>
,
in	w1861
einer	w1862
wohlgesetzten	w1863
Rede	w1864
ver=kündigte	w1865
<g/>
=
<g/>
,
und	w1868
zugleich	w1869
verordnet	w1870
<g/>
,
daß	w1872
zur	w1873
Bezeugung	w1874
der	w1875
hiesigen	w1876
Freude	w1877
über	w1878
diese	w1879
glückliche	w1880
Geburt	w1881
<g/>
,
die	w1883
Herren	w1884
Kardinäle	w1885
<g/>
,
die	w1887
sämmtliche	w1888
Prälatur	w1889
<g/>
,
und	w1891
der	w1892
ganze	w1893
Adel	w1894
<g/>
,
sowohl	w1896
am	w1897
Abende	w1898
des	w1899
Mond=als	w1900
<g/>
=
Dienstags	w1902
<g/>
,
ihre	w1904
Häuser	w1905
beleuchten	w1906
sollen	w1907
<g/>
,
bey	w1909
welcher	w1910
Gelegenheit	w1911
die	w1912
hie=sigen	w1913
<g/>
=
fremden	w1915
Bothschafter	w1916
und	w1917
Minister	w1918
ein	w1919
gleiches	w1920
thaten	w1921
<g/>
.
Nach	w1923
diesem	w1924
Ge=schäfte	w1925
<g/>
=
vergaben	w1927
Se	w1928
<g/>
.
Heiligkeit	w1930
verschie=dene	w1931
<g/>
=
erledigte	w1933
Kirchen	w1934
<g/>
,
sowohl	w1936
in	w1937
Europa	w1938
<g/>
,
als	w1940
in	w1941
Asien	w1942
<g/>
.
</p>
<head id="hl6">
Florenz	w1944
<g/>
,
den	w1946
19	w1947
<g/>
.
Christmon	w1949
<g/>
.
</head>
<p id="p24">
An	w1951
alle	w1952
Häupter	w1953
der	w1954
Gerichtsstellen	w1955
im	w1956
Großherzogthume	w1957
Toskana	w1958
ist	w1959
durch	w1960
ein	w1961
Umlaufschreiben	w1962
vom	w1963
7	w1964
<g/>
.
dieses	w1966
folgender	w1967
</p>
<p id="p25">
Befehl	w1968
ergangen	w1969
<g/>
:
Da	w1971
Se	w1972
<g/>
.
königl	w1974
<g/>
.
Hoheit	w1976
<g/>
,
den	w1978
Grundgesetzen	w1979
Dero	w1980
Vorfahrer	w1981
zufol=ge	w1982
<g/>
=
<g/>
,
ebenfalls	w1985
beschlossen	w1986
haben	w1987
<g/>
,
daß	w1989
in	w1990
dem	w1991
Großherzogthume	w1992
keine	w1993
auswärtige	w1994
Gerichtsbarkeit	w1995
<g/>
,
ohne	w1997
des	w1998
landesfürstl	w1999
<g/>
.
Exequatur	w2001
<g/>
,
Statt	w2003
und	w2004
Gewalt	w2005
haben	w2006
soll	w2007
<g/>
,
so	w2009
befehlen	w2010
Höchstdieselbe	w2011
<g/>
,
daß	w2013
alle	w2014
Bi=schöffe	w2015
<g/>
=
in	w2017
auswärtigen	w2018
Landen	w2019
<g/>
,
so	w2021
in	w2022
dem	w2023
Großherzogthume	w2024
einigen	w2025
Diöcesantheil	w2026
haben	w2027
<g/>
,
ihre	w2029
Wahlbullen	w2030
zum	w2031
landesfürstl	w2032
<g/>
.
Exequatur	w2034
befördern	w2035
sollen	w2036
<g/>
,
als	w2038
ohne	w2039
selbes	w2040
ihnen	w2041
nicht	w2042
gestattet	w2043
werden	w2044
würde	w2045
<g/>
,
in	w2047
den	w2048
Staaten	w2049
Sr	w2050
<g/>
.
königl	w2052
<g/>
.
Hoheit	w2054
<g/>
,
die	w2056
mindeste	w2057
Handlung	w2058
von	w2059
Gerichtsbarkeit	w2060
auszuüben	w2061
<g/>
.
</p>
<p id="p26">
Jn	w2063
Folge	w2064
dessen	w2065
wollen	w2066
Se	w2067
<g/>
.
kön	w2069
<g/>
.
Ho=heit	w2071
<g/>
=
ferner	w2073
<g/>
,
daß	w2075
man	w2076
den	w2077
Kapitularvika=rien	w2078
<g/>
=
keine	w2080
Jurisdiction	w2081
zulasse	w2082
<g/>
,
sie	w2084
haben	w2085
dann	w2086
den	w2087
landesherrl	w2088
<g/>
.
Staatssekretär	w2090
ihre	w2091
Wahl	w2092
zu	w2093
wissen	w2094
gemacht	w2095
<g/>
;
so	w2097
sollen	w2098
auch	w2099
alle	w2100
bischöfliche	w2101
Patenten	w2102
<g/>
,
und	w2104
besonders	w2105
jene	w2106
<g/>
,
so	w2108
die	w2109
Bischöffe	w2110
aus	w2111
fremden	w2112
Staa=ten	w2113
<g/>
=
ihren	w2115
auswärtigen	w2116
Vikarien	w2117
zusen=den	w2118
<g/>
=
<g/>
,
durch	w2121
das	w2122
landesfürstl	w2123
<g/>
.
Exequatur	w2125
erst	w2126
ihre	w2127
Vollgültigkeit	w2128
erhalten	w2129
<g/>
.
</p>
<head id="hl7">
Toulon	w2131
den	w2132
29	w2133
Winterm	w2134
<g/>
.
</head>
<p id="p27">
Die	w2136
Fregatte	w2137
Precieuse	w2138
hat	w2139
Befehl	w2140
er=halten	w2141
<g/>
=
nach	w2143
Marseille	w2144
abzusegeln	w2145
<g/>
,
und	w2147
von	w2148
da	w2149
ein	w2150
Geschwader	w2151
nach	w2152
Mahon	w2153
zu	w2154
begleiten	w2155
<g/>
.
Herr	w2157
Malouet	w2158
<g/>
,
königlicher	w2160
Commissair	w2161
zu	w2162
Marseille	w2163
bey	w2164
dem	w2165
Ver=laufe	w2166
<g/>
=
des	w2168
Arsenals	w2169
ist	w2170
<g/>
,
zum	w2172
Oberaufse=her	w2173
<g/>
=
des	w2175
Seewesens	w2176
von	w2177
Toulon	w2178
<g/>
,
und	w2180
Herr	w2181
Possel	w2182
zum	w2183
Generalkomissair	w2184
er=nannt	w2185
<g/>
=
worden	w2187
<g/>
.
</p>
<head id="hl8">
Portsmuth	w2189
<g/>
,
den	w2191
10	w2192
<g/>
.
Christmonat	w2194
<g/>
.
</head>
<p id="p28">
Am	w2196
8	w2197
<g/>
.
dieses	w2199
<g/>
,
Nachmittags	w2201
<g/>
,
kam	w2203
Sir	w2204
Rodney	w2205
hieselbst	w2206
an	w2207
<g/>
,
und	w2209
unmittelbar	w2210
hernach	w2211
übernahm	w2212
er	w2213
das	w2214
Kommando	w2215
über	w2216
das	w2217
nach	w2218
Westindien	w2219
bestimmte	w2220
Ge=schwader	w2221
<g/>
=
<g/>
.
Die	w2224
widrige	w2225
Witterung	w2226
hat	w2227
bisher	w2228
die	w2229
Abfahrt	w2230
desselben	w2231
zurückgehal=ten	w2232
<g/>
=
<g/>
.
Der	w2235
Wind	w2236
wehet	w2237
so	w2238
stark	w2239
aus	w2240
Süd=osten	w2241
<g/>
=
<g/>
,
daß	w2244
kein	w2245
Schif	w2246
auslaufen	w2247
kann	w2248
<g/>
.
Admiral	w2250
Evans	w2251
hat	w2252
seine	w2253
Flagge	w2254
an	w2255
Bord	w2256
des	w2257
Diligent	w2258
von	w2259
70	w2260
Kanonen	w2261
aufgesteckt	w2262
<g/>
.
</p>
<head id="hl9">
Amsterd	w2264
<g/>
.
den	w2266
17	w2267
Christm	w2268
<g/>
.
</head>
<p id="p29">
Ein	w2270
Schreiben	w2271
aus	w2272
Brest	w2273
vom	w2274
7ten	w2275
dieses	w2276
berichtet	w2277
<g/>
,
es	w2279
habe	w2280
der	w2281
Graf	w2282
von	w2283
Guichen	w2284
der	w2285
allda	w2286
vor	w2287
Anker	w2288
liegenden	w2289
Flotte	w2290
am	w2291
nämlichen	w2292
Tage	w2293
die	w2294
Losung	w2295
</p>
<p id="p30">
zum	w2296
Aufbruche	w2297
gegeben	w2298
<g/>
.
Diese	w2300
Flotte	w2301
bestehet	w2302
aus	w2303
22	w2304
Reihenschiffen	w2305
<g/>
,
6	w2307
Fre=gatten	w2308
<g/>
=
<g/>
,
und	w2311
verschiedenen	w2312
andren	w2313
gerin=gern	w2314
<g/>
=
Fahrzeugen	w2316
nebst	w2317
beiläufig	w2318
100	w2319
Frachtschiffen	w2320
<g/>
,
die	w2322
10	w2323
<g/>
,
000	w2325
Mann	w2326
Solda=ten	w2327
<g/>
=
am	w2329
Borde	w2330
haben	w2331
<g/>
.
Ein	w2333
anderer	w2334
Brief	w2335
aus	w2336
eben	w2337
gedachten	w2338
Brest	w2339
meldet	w2340
<g/>
,
daß	w2342
in	w2343
diesem	w2344
Haven	w2345
ein	w2346
Geschwader	w2347
von	w2348
120	w2349
Kaufartheyschiffen	w2350
angelangt	w2351
sey	w2352
<g/>
,
so	w2354
am	w2355
24ten	w2356
jüngsten	w2357
Weinmonats	w2358
von	w2359
St	w2360
<g/>
.
Domingo	w2362
<g/>
,
unter	w2364
Begleitung	w2365
des	w2366
Kriegsschiffes	w2367
Aktionnaire	w2368
<g/>
,
der	w2370
Fregatte	w2371
die	w2372
Fee	w2373
<g/>
,
und	w2375
der	w2376
zween	w2377
Flutten	w2378
<g/>
,
der	w2380
Mi=notaurus	w2381
<g/>
=
und	w2383
Union	w2384
<g/>
,
ausgelaufen	w2386
war	w2387
<g/>
,
wovon	w2389
aber	w2390
letztere	w2391
ungefehr	w2392
70	w2393
Meilen	w2394
von	w2395
Brest	w2396
in	w2397
den	w2398
Grund	w2399
sank	w2400
<g/>
;
zum	w2402
Glücke	w2403
wurde	w2404
jedoch	w2405
die	w2406
Besatzun	w2407
ge=rettet	w2408
<g/>
=
<g/>
.
Bey	w2411
dieser	w2412
Flotte	w2413
sollen	w2414
4	w2415
bis	w2416
5	w2417
holländische	w2418
Schiffe	w2419
aus	w2420
Curakao	w2421
sich	w2422
befinden	w2423
<g/>
.
Aus	w2425
Dünkirchen	w2426
vernimt	w2427
man	w2428
<g/>
,
daß	w2430
der	w2431
berichtigte	w2432
Capitain	w2433
Fall	w2434
den	w2435
4ten	w2436
dieses	w2437
mit	w2438
dem	w2439
Capitain	w2440
Kelly	w2441
<g/>
,
so	w2443
<g/>
,
ein	w2445
Kosarenschiff	w2446
von	w2447
26	w2448
Kanonen	w2449
führt	w2450
<g/>
,
von	w2452
da	w2453
unter	w2454
Segel	w2455
gegangen	w2456
sey	w2457
<g/>
.
Die	w2459
letzten	w2460
Briefe	w2461
aus	w2462
Londen	w2463
verkündigen	w2464
uns	w2465
die	w2466
traurige	w2467
Neuigkeit	w2468
<g/>
,
daß	w2470
die	w2471
zween	w2472
Korsaren	w2473
<g/>
,
Hercules	w2475
und	w2476
Mars	w2477
<g/>
,
so	w2479
erst	w2480
am	w2481
30ten	w2482
des	w2483
vorigen	w2484
Monats	w2485
aus	w2486
dem	w2487
Texel	w2488
schiften	w2489
<g/>
,
und	w2491
von	w2492
den	w2493
Capitainen	w2494
Hoogebomm	w2495
<g/>
,
Vater	w2497
und	w2498
Sohn	w2499
<g/>
,
kom=mandirt	w2501
<g/>
=
werden	w2503
<g/>
,
den	w2505
3ten	w2506
dieses	w2507
der	w2508
engländischen	w2509
Fregatte	w2510
<g/>
,
Artois	w2512
<g/>
,
von	w2514
40	w2515
Kanonen	w2516
<g/>
,
unter	w2518
dem	w2519
Capitaines	w2520
Mack=bride	w2521
<g/>
=
aufgestossen	w2523
<g/>
,
und	w2525
nach	w2526
einem	w2527
hi=tzigen	w2528
<g/>
=
Gefechte	w2530
von	w2531
30	w2532
Minuten	w2533
zur	w2534
Uebergabe	w2535
genöthigt	w2536
worden	w2537
wären	w2538
<g/>
.
Die	w2540
engländische	w2541
Fregatte	w2542
führte	w2543
sie	w2544
in	w2545
den	w2546
Humber	w2547
<g/>
;
der	w2549
Korsar	w2550
Herkules	w2551
hatte	w2552
164	w2553
Mann	w2554
am	w2555
Borde	w2556
<g/>
,
wovon	w2558
23	w2559
ge=tödtet	w2560
<g/>
=
<g/>
,
und	w2563
20	w2564
verwundet	w2565
wurden	w2566
<g/>
;
der	w2568
Mars	w2569
war	w2570
mit	w2571
146	w2572
Mann	w2573
besetzt	w2574
<g/>
,
wo=von	w2576
<g/>
=
bey	w2578
dem	w2579
Gefechte	w2580
9	w2581
geblieben	w2582
<g/>
,
und	w2584
15	w2585
mit	w2586
Wunden	w2587
davon	w2588
kamen	w2589
<g/>
,
Sie	w2591
wa=ren	w2592
<g/>
=
jeder	w2594
mit	w2595
24	w2596
neunpfündigen	w2597
Kano=nen	w2598
<g/>
=
<g/>
,
und	w2601
10	w2602
Haubitzen	w2603
bewaffnete	w2604
<g/>
;
der	w2606
Artois	w2607
hat	w2608
bey	w2609
dieser	w2610
Gelegenheit	w2611
nicht	w2612
minder	w2613
gelitten	w2614
<g/>
,
seine	w2616
Tauen	w2617
sind	w2618
abge=schoffen	w2619
<g/>
=
die	w2621
Segel	w2622
allenthalben	w2623
durch=löchert	w2624
<g/>
=
und	w2626
sein	w2627
Fockmast	w2628
nicht	w2629
mehr	w2630
dienstfähig	w2631
<g/>
.
</p>
<head id="hl10">
Wien	w2633
<g/>
,
den	w2635
29	w2636
Christmonat	w2637
<g/>
.
</head>
<p id="p31">
Mittwoch	w2639
<g/>
,
den	w2641
26	w2642
dieses	w2643
<g/>
,
erhoben	w2645
Sich	w2646
der	w2647
Herr	w2648
Graf	w2649
<g/>
,
und	w2651
die	w2652
Frau	w2653
Gräfinn	w2654
von	w2655
Norden	w2656
in	w2657
die	w2658
fürstl	w2659
<g/>
.
Liechtensteinische	w2661
prächtige	w2662
Gallerie	w2663
<g/>
,
wurden	w2665
daselbst	w2666
von	w2667
der	w2668
gesammten	w2669
fürstl	w2670
<g/>
.
Liechtensteinischen	w2672
Famille	w2673
gebührend	w2674
empfangen	w2675
<g/>
,
und	w2677
in	w2678
die	w2679
Gallerie	w2680
begleitet	w2681
<g/>
;
nachdem	w2683
höchstdieselbe	w2684
alles	w2685
Merkwürdige	w2686
<g/>
,
mit	w2688
bezeigt	w2689
besonde=rem	w2690
<g/>
=
Beyfalle	w2692
<g/>
,
besehen	w2694
hatten	w2695
<g/>
,
statteten	w2697
der	w2698
Herr	w2699
Graf	w2700
<g/>
,
und	w2702
die	w2703
Frau	w2704
Gräfinn	w2705
<g/>
,
bey	w2707
der	w2708
verwittibten	w2709
Frau	w2710
Fürstinn	w2711
von	w2712
Liechten=stein	w2713
<g/>
=
einen	w2715
Besuch	w2716
ab	w2717
<g/>
,
und	w2719
kehrten	w2720
sodann	w2721
wieder	w2722
nach	w2723
Dero	w2724
Wohnung	w2725
zurück	w2726
<g/>
.
A=bends	w2728
<g/>
=
erschienen	w2730
die	w2731
höchste	w2732
fremde	w2733
Herr=schaften	w2734
<g/>
=
im	w2736
Nationaltheater	w2737
<g/>
,
und	w2739
sahen	w2740
das	w2741
Lustspiel	w2742
<g/>
,
die	w2744
heimliche	w2745
Heurath	w2746
<g/>
,
auf=führen	w2748
<g/>
=
<g/>
;
nach	w2751
Endigung	w2752
dessen	w2753
beliebte	w2754
es	w2755
dem	w2756
Herrn	w2757
Grafen	w2758
<g/>
,
und	w2760
der	w2761
Frau	w2762
Grä=finn	w2763
<g/>
=
von	w2765
Norden	w2766
<g/>
,
den	w2768
k	w2769
<g/>
.
k	w2771
<g/>
.
geheimen	w2773
Hof	w2774
<g/>
=
und	w2776
Staatskanzler	w2777
<g/>
(
Tit	w2779
<g/>
.
<g/>
)
Herrn	w2782
Fürsten	w2783
von	w2784
Kaunitz	w2785
Rietberg	w2786
ꝛc	w2787
<g/>
.
zu	w2789
besuchen	w2790
<g/>
.
</p>
<p id="p32">
Donnerstags	w2792
<g/>
,
den	w2794
27	w2795
geruheten	w2796
Seine	w2797
Majest	w2798
<g/>
.
der	w2800
Kaiser	w2801
<g/>
,
mit	w2803
dem	w2804
Herrn	w2805
Gra=fen	w2806
<g/>
=
von	w2808
Norden	w2809
<g/>
,
Herrn	w2811
Grafen	w2812
von	w2813
Grön=ningen	w2814
<g/>
=
<g/>
,
und	w2817
dem	w2818
Durchl	w2819
<g/>
.
Prinzen	w2821
Ferdi=nand	w2822
<g/>
=
von	w2824
Würtemberg	w2825
<g/>
,
in	w2827
Begleitung	w2828
des	w2829
Herrn	w2830
General	w2831
von	w2832
Soltikof	w2833
<g/>
,
und	w2835
Herrn	w2836
Obristlieutenant	w2837
von	w2838
Benkendorf	w2839
<g/>
,
von	w2841
hier	w2842
nach	w2843
Klosterneuburg	w2844
Sich	w2845
zu	w2846
erheben	w2847
<g/>
,
und	w2849
allda	w2850
das	w2851
in	w2852
Parade	w2853
gestandene	w2854
k	w2855
<g/>
.
k	w2857
<g/>
.
Pontononeurs	w2859
<g/>
.
Corps	w2861
zu	w2862
besehen	w2863
<g/>
,
durch=giengen	w2865
<g/>
=
sodann	w2867
alle	w2868
allda	w2869
vorfindige	w2870
Magazins	w2871
<g/>
,
worauf	w2873
das	w2874
Corps	w2875
ihre	w2876
Ma=növers	w2877
<g/>
=
machte	w2879
<g/>
,
und	w2881
in	w2882
solcher	w2883
Geschwin=digkeit	w2884
<g/>
=
eine	w2886
Schifbrücke	w2887
über	w2888
die	w2889
Donau	w2890
schlugen	w2891
<g/>
,
daß	w2893
die	w2894
höchste	w2895
Herrschaften	w2896
dero	w2897
gnädigstes	w2898
Wohlgefallen	w2899
darüber	w2900
zu	w2901
äußern	w2902
beliebten	w2903
<g/>
;
fuhren	w2905
sodann	w2906
wieder	w2907
anher	w2908
zurück	w2909
<g/>
.
</p>
<p id="p33">
Eben	w2911
diesen	w2912
Tag	w2913
Vormittag	w2914
<g/>
,
fuhren	w2916
Se	w2917
<g/>
.
königl	w2919
<g/>
.
Hoheit	w2921
der	w2922
Durchl	w2923
<g/>
.
Erzherzog	w2925
Maximilian	w2926
<g/>
,
Hoch	w2928
<g/>
=
und	w2930
Deutschmeister	w2931
ꝛc	w2932
<g/>
.
mit	w2934
der	w2935
Frau	w2936
Gräfinn	w2937
von	w2938
Norden	w2939
<g/>
,
in	w2941
den	w2942
Belveder	w2943
am	w2944
Rennwege	w2945
<g/>
,
um	w2947
die	w2948
dasige	w2949
k	w2950
<g/>
.
k	w2952
<g/>
.
Bildergallerie	w2954
nochmal	w2955
in	w2956
höchsten	w2957
Augen=schein	w2958
<g/>
=
zu	w2960
nehmen	w2961
<g/>
,
und	w2963
nachdem	w2964
Sich	w2965
Selbe	w2966
eine	w2967
geraume	w2968
Zeit	w2969
allda	w2970
verweilet	w2971
hatten	w2972
<g/>
,
kehrten	w2974
Sie	w2975
wieder	w2976
nach	w2977
Dero	w2978
Wohnzimmer	w2979
</p>
<p id="p34">
zurück	w2980
<g/>
.
Nach	w2982
der	w2983
Tafel	w2984
gefiel	w2985
es	w2986
der	w2987
Frau	w2988
Gräfinn	w2989
von	w2990
Norden	w2991
bey	w2992
einigen	w2993
hohen	w2994
Damen	w2995
eine	w2996
Visite	w2997
zu	w2998
machen	w2999
<g/>
;
worauf	w3001
<g/>
,
nach	w3003
höchstdero	w3004
Zuhausekunft	w3005
<g/>
,
in	w3007
Deren	w3008
Zimmer	w3009
grosser	w3010
Cercle	w3011
war	w3012
<g/>
,
dabey	w3014
der	w3015
all=hiesige	w3016
<g/>
=
hohe	w3018
Adel	w3019
seine	w3020
Aufwartung	w3021
mach=te	w3022
<g/>
=
<g/>
:
Abends	w3025
sahen	w3026
die	w3027
höchste	w3028
Herrschaf=ten	w3029
<g/>
=
die	w3031
Oper	w3032
Alceste	w3033
aufführen	w3034
<g/>
.
</p>
<p id="p35">
Freytags	w3036
<g/>
,
den	w3038
28	w3039
bey	w3040
besonders	w3041
schön	w3042
angelassener	w3043
Witterung	w3044
<g/>
,
giengen	w3046
Se	w3047
<g/>
.
Maj	w3049
<g/>
.
der	w3051
Kaiser	w3052
<g/>
,
mit	w3054
der	w3055
Frau	w3056
Gräfinn	w3057
von	w3058
Norden	w3059
<g/>
,
in	w3061
Begleitung	w3062
der	w3063
Frauen	w3064
von	w3065
Benkendorf	w3066
<g/>
,
auf	w3068
dem	w3069
Waller	w3070
ober	w3071
dem	w3072
Burgthore	w3073
bis	w3074
zum	w3075
Kärntnerthor	w3076
zu	w3077
Fusse	w3078
spazieren	w3079
<g/>
,
und	w3081
nahmen	w3082
das	w3083
auf	w3084
der	w3085
Wasserkunstbastion	w3086
stehende	w3087
Wohn=haus	w3088
<g/>
=
des	w3090
k	w3091
<g/>
.
k	w3093
<g/>
.
Generals	w3095
<g/>
(
Titl	w3097
<g/>
.
<g/>
)
Herrn	w3100
Grafen	w3101
von	w3102
Pellegrini	w3103
ꝛc	w3104
<g/>
.
wegen	w3106
seiner	w3107
besondern	w3108
Lage	w3109
und	w3110
angenehmen	w3111
Aus=sicht	w3112
<g/>
=
sowohl	w3114
<g/>
,
als	w3116
seiner	w3117
inneren	w3118
niedli=chen	w3119
<g/>
=
Einrichtung	w3121
wegen	w3122
<g/>
,
in	w3124
höchsten	w3125
Au=genschein	w3126
<g/>
=
<g/>
,
setzten	w3129
Sich	w3130
sodann	w3131
in	w3132
den	w3133
Wagen	w3134
<g/>
,
und	w3136
fuhren	w3137
bis	w3138
vor	w3139
die	w3140
Linie	w3141
hinaus	w3142
gegen	w3143
Dornbach	w3144
<g/>
,
kehrten	w3146
sodann	w3147
wieder	w3148
in	w3149
die	w3150
Burg	w3151
zurück	w3152
<g/>
,
</p>
<p id="p36">
Eben	w3154
diesen	w3155
Vormittag	w3156
machte	w3157
der	w3158
Herr	w3159
Graf	w3160
von	w3161
Norden	w3162
mehrmal	w3163
<g/>
,
in	w3165
Begleitung	w3166
des	w3167
rusisch	w3168
<g/>
=
kais	w3170
<g/>
.
Flaggkapitains	w3172
<g/>
,
Herrn	w3174
von	w3175
Plescheof	w3176
<g/>
,
einen	w3178
Spaziergang	w3179
in	w3180
der	w3181
Stadt	w3182
<g/>
,
und	w3184
rings	w3185
auf	w3186
dem	w3187
hiesigen	w3188
Walle	w3189
herum	w3190
<g/>
,
besuchten	w3192
sodann	w3193
den	w3194
russisch	w3195
<g/>
=
kais	w3197
<g/>
.
Gesandten	w3199
<g/>
,
Herrn	w3201
Fürsten	w3202
von	w3203
Gallitzin	w3204
<g/>
,
und	w3206
fuhren	w3207
mit	w3208
selbem	w3209
zu	w3210
den	w3211
Berge	w3212
bey	w3213
Dornbach	w3214
<g/>
,
auf	w3216
welchen	w3217
ersagter	w3218
Herr	w3219
Ge=sandte	w3220
<g/>
=
ein	w3222
neues	w3223
Schloß	w3224
anlegen	w3225
läßt	w3226
<g/>
,
und	w3228
nahmen	w3229
sowohl	w3230
den	w3231
Platz	w3232
<g/>
,
als	w3234
die	w3235
Ge=gend	w3236
<g/>
=
in	w3238
höchsten	w3239
Augenschein	w3240
<g/>
,
und	w3242
kehrten	w3243
zur	w3244
Mittagstafel	w3245
wieder	w3246
in	w3247
die	w3248
Stadt	w3249
zu=rück	w3250
<g/>
=
<g/>
.
</p>
<p id="p37">
Den	w3253
21	w3254
dieses	w3255
wurde	w3256
auf	w3257
dem	w3258
Rath=hause	w3259
<g/>
=
zu	w3261
Preßburg	w3262
das	w3263
allergnädigste	w3264
Tol=leranzsystem	w3265
<g/>
=
Sr	w3267
<g/>
.
röm	w3269
<g/>
.
k	w3271
<g/>
.
k	w3273
<g/>
.
apost	w3275
<g/>
.
Majest	w3277
<g/>
.
welches	w3279
Ungarn	w3280
<g/>
,
und	w3282
die	w3283
einverleibten	w3284
Länder	w3285
betrift	w3286
<g/>
,
und	w3288
von	w3289
einer	w3290
hochlöbl	w3291
<g/>
.
Statthalterey	w3293
<g/>
,
dem	w3295
wohledlen	w3296
Stadtma=gistrate	w3297
<g/>
=
allda	w3299
zugefertigt	w3300
worden	w3301
<g/>
,
zu	w3303
je=dermans	w3304
<g/>
=
Wissen	w3306
und	w3307
Beachtung	w3308
öffentlich	w3309
bekannt	w3310
gemacht	w3311
<g/>
.
Da	w3313
von	w3314
demselben	w3315
be=reits	w3316
<g/>
=
Kopien	w3318
in	w3319
lateinischer	w3320
Sprache	w3321
im	w3322
Drucke	w3323
erschienen	w3324
sind	w3325
<g/>
,
so	w3327
wollen	w3328
wir	w3329
in	w3330
</p>
<p id="p38">
der	w3331
Folge	w3332
nicht	w3333
ermanglen	w3334
<g/>
,
hier	w3336
eine	w3337
ge=treue	w3338
<g/>
=
Uebersetzung	w3340
einzuschalten	w3341
<g/>
.
</p>
<p id="p39">
Wir	w3343
haben	w3344
das	w3345
seltene	w3346
Vergnügen	w3347
un=seren	w3348
<g/>
=
Lesern	w3350
heute	w3351
zum	w3352
Schluß	w3353
dieses	w3354
Jahrganges	w3355
einen	w3356
Brief	w3357
von	w3358
einem	w3359
ge=lehrten	w3360
<g/>
=
Klostergeistlichen	w3362
aus	w3363
Ofen	w3364
mit=zutheilen	w3365
<g/>
=
<g/>
,
der	w3368
<g/>
,
besonders	w3370
in	w3371
dem	w3372
Fache	w3373
der	w3374
Alterthumskunde	w3375
gut	w3376
bewandert	w3377
zu	w3378
seyn	w3379
scheint	w3380
<g/>
;
Es	w3382
gereichet	w3383
diesem	w3384
würdi=gen	w3385
<g/>
=
Manne	w3387
zu	w3388
nicht	w3389
geringer	w3390
Ehre	w3391
<g/>
,
daß	w3393
er	w3394
die	w3395
von	w3396
seinen	w3397
Klostergeschäften	w3398
erübrig=ten	w3399
<g/>
=
Stunden	w3401
so	w3402
nützlich	w3403
verwendet	w3404
<g/>
.
Sein	w3406
Schreiben	w3407
lautet	w3408
also	w3409
<g/>
:
</p>
<p id="p40">
Da	w3411
ich	w3412
im	w3413
verflossenen	w3414
Frühling	w3415
die	w3416
Klöster	w3417
meiner	w3418
Provinz	w3419
<g/>
,
meinem	w3421
Amte	w3422
gemäß	w3423
<g/>
,
besuchte	w3425
<g/>
;
durchsuchte	w3427
ich	w3428
anbey	w3429
<g/>
,
genauerer	w3431
Kenntniß	w3432
halber	w3433
<g/>
,
manche	w3435
Ueber=bleibsel	w3436
<g/>
=
des	w3438
grauen	w3439
römischen	w3440
Alterthums	w3441
in	w3442
Syrmien	w3443
<g/>
,
deren	w3445
viele	w3446
in	w3447
jener	w3448
Gegend	w3449
sich	w3450
befinden	w3451
<g/>
,
da	w3453
sie	w3454
aber	w3455
von	w3456
wenigen	w3457
bisher	w3458
aufmerksam	w3459
betrachtet	w3460
worden	w3461
<g/>
,
verbleiben	w3463
solche	w3464
in	w3465
ihrem	w3466
Unsturze	w3467
un=bemerkt	w3468
<g/>
=
<g/>
.
Bey	w3471
dieser	w3472
Gelegenheit	w3473
gelang	w3474
es	w3475
mir	w3476
<g/>
,
nebst	w3478
vielen	w3479
schätzbaren	w3480
Antique	w3481
<g/>
=
Münzen	w3483
<g/>
,
und	w3485
etwelchen	w3486
alten	w3487
Bildnissen	w3488
<g/>
,
auch	w3490
eine	w3491
aus	w3492
weissen	w3493
Marmor	w3494
<g/>
:
die	w3496
den	w3497
Hercules	w3498
vorstellet	w3499
<g/>
,
zu	w3501
bekommen	w3502
<g/>
.
Sie	w3504
ist	w3505
gut	w3506
erhalten	w3507
<g/>
,
in	w3509
der	w3510
Größe	w3511
von	w3512
2	w3513
Schuh	w3514
9	w3515
Zoll	w3516
<g/>
.
Hercules	w3518
in	w3519
mannbaren	w3520
Jahren	w3521
<g/>
,
bedeckt	w3523
mit	w3524
der	w3525
Haut	w3526
des	w3527
Nemeischen	w3528
Lö=wens	w3529
<g/>
=
<g/>
,
von	w3532
welchen	w3533
Seneca	w3534
in	w3535
seinem	w3536
</p>
<p id="p41">
Hercule	w3537
Furente	w3538
Act	w3539
<g/>
.
2	w3541
<g/>
.
Vers	w3543
225	w3544
<g/>
—
<g/>
—
<g/>
—
<g/>
—
<g/>
—
<g/>
—
<g/>
—
<g/>
—
<g/>
—
maximus	w3554
Nemeae	w3555
Timor	w3556
Gemuit	w3557
lacertis	w3558
pressus	w3559
Herculeis	w3560
Leo	w3561
<g/>
.
</p>
<p id="p42">
den	w3563
Streit	w3564
<g/>
=
Kolben	w3566
in	w3567
der	w3568
Hand	w3569
<g/>
,
ruhend	w3571
auf	w3572
dem	w3573
Haupte	w3574
des	w3575
