<doc id="wr_1759-03-10" attrs="word" year="1759" month="03" day="10" corpus="2">
<head id="h2_d329e3434">
Münden	w1_d329e3438
ausfallen.	w5_d329e7069
</p>
<head id="h2_d329e7075">
Culmbach	w1_d329e7079
24.	w3_d329e7082
Febr.	w5_d329e7085
</head>
<p id="p4_d329e7088">
Nach	w1_d329e7092
denen	w3_d329e7095
Berichten	w5_d329e7098
aus	w7_d329e7101
Thüringen	w9_d329e7104
steht	w1_d329e7109
zu	w3_d329e7112
Schmalkalden	w5_d329e7115
noch	w7_d329e7118
immer	w9_d329e7121
ein	w11_d329e7124
de	w13_d329e7128
taschirtes	w1_d329e7133
Corpo	w3_d329e7136
der	w5_d329e7139
Reichs=armee,	w7_d329e7142
wel	w9_d329e7145
ches	w1_d329e7151
die	w3_d329e7154
Bewegungen,	w5_d329e7157
die	w7_d329e7160
auf	w9_d329e7163
der	w11_d329e7166
Gränze	w13_d329e7170
Hessens	w1_d329e7175
gemacht	w3_d329e7178
werden,	w5_d329e7181
beobachtet.	w7_d329e7184
Zu	w9_d329e7187
Erfurt	w1_d329e7192
macht	w3_d329e7195
man	w5_d329e7198
alle	w7_d329e7201
kriegerische	w9_d329e7204
Vorkeh	w11_d329e7207
rungen.	w1_d329e7212
Die	w3_d329e7215
beyde	w5_d329e7218
äussersten	w7_d329e7221
Gätter	w9_d329e7224
an	w11_d329e7227
denen	w1_d329e7233
Thoren	w3_d329e7236
sind	w5_d329e7239
den	w7_d329e7242
ganzen	w9_d329e7245
Tag	w11_d329e7248
verschlos	w13_d329e7252
sen,	w1_d329e7257
und	w3_d329e7260
mit	w5_d329e7263
starker	w7_d329e7266
Wache	w9_d329e7269
besetzt.	w11_d329e7272
Die	w13_d329e7276
Einpaßirenden	w1_d329e7281
werden	w3_d329e7284
scharf	w5_d329e7287
examiniret,	w7_d329e7290
und	w1_d329e7295
mit	w3_d329e7298
gedruckten	w5_d329e7301
Zetteln	w7_d329e7304
denen	w9_d329e7307
Wirtshäu	w11_d329e7310
sern	w1_d329e7316
angewiesen,	w3_d329e7319
welche	w5_d329e7322
den	w7_d329e7325
ganzen	w9_d329e7328
Tag	w11_d329e7331
geschlossen	w1_d329e7336
seynd,	w3_d329e7339
und	w5_d329e7342
niemanden	w7_d329e7345
ohne	w9_d329e7348
sol	w11_d329e7351
che	w1_d329e7356
Billets	w3_d329e7359
einnehmen	w5_d329e7362
dörfen.	w7_d329e7365
Mehr	w9_d329e7368
als	w11_d329e7371
200.	w1_d329e7376
Mann	w3_d329e7379
arbeiten	w5_d329e7382
Sonn	w7_d329e7385
und	w9_d329e7388
Werktä	w11_d329e7391
ge	w1_d329e7397
an	w3_d329e7400
denen	w5_d329e7403
Werkern	w7_d329e7406
des	w9_d329e7409
Petersberg,	w11_d329e7412
und	w13_d329e7416
zu	w1_d329e7421
denen	w3_d329e7424
Palisaden,	w5_d329e7427
Faschinen,	w7_d329e7430
und	w9_d329e7433
Block	w11_d329e7436
häusern	w1_d329e7441
wird	w3_d329e7444
aus	w5_d329e7447
denen	w7_d329e7450
HatzfeldConnich	w9_d329e7453
feld	w1_d329e7458
und	w3_d329e7461
Tonnaischen	w5_d329e7464
Wäldern	w7_d329e7467
das	w9_d329e7470
Holz	w11_d329e7473
genommen.	w1_d329e7479
Die	w3_d329e7482
Preußische	w5_d329e7485
Trupen,	w7_d329e7488
wel	w9_d329e7491
che	w1_d329e7496
in	w3_d329e7499
diesen	w5_d329e7502
Gegenden	w7_d329e7505
stehen,	w9_d329e7508
halten	w11_d329e7511
sich	w13_d329e7515
zwar	w1_d329e7520
noch	w3_d329e7523
ruhig,	w5_d329e7526
allein	w7_d329e7529
sie	w9_d329e7532
näheren	w11_d329e7535
sich	w13_d329e7539
denen	w1_d329e7544
Gränzen	w3_d329e7547
Hessens	w5_d329e7550
und	w7_d329e7553
des	w9_d329e7556
Eichsfel	w11_d329e7559
des	w1_d329e7565
immer	w3_d329e7568
stärker.	w5_d329e7571
Ein	w7_d329e7574
grosses	w9_d329e7577
Detasche	w11_d329e7580
ment	w1_d329e7585
derenselben	w3_d329e7588
ist	w5_d329e7591
über	w7_d329e7594
Kelbra	w9_d329e7597
und	w11_d329e7600
Hee	w13_d329e7604
ringen	w1_d329e7609
ins	w3_d329e7612
Schwarzburg=Sondershausische	w5_d329e7615
eingerückt,	w1_d329e7620
und	w3_d329e7623
auf	w5_d329e7626
denen	w7_d329e7629
Anhöhen	w9_d329e7632
von	w11_d329e7635
Glettstädt,	w1_d329e7641
unweit	w3_d329e7644
Tennstädt	w5_d329e7647
sind	w7_d329e7650
Vorpo	w9_d329e7653
sten	w1_d329e7658
ausgestellt	w3_d329e7661
worden.	w5_d329e7664
Die	w7_d329e7667
bey	w9_d329e7670
Naum	w11_d329e7673
burg	w1_d329e7678
und	w3_d329e7681
Gera	w5_d329e7684
stehende	w7_d329e7687
Preußische	w9_d329e7690
Corps	w11_d329e7693
halten	w1_d329e7698
sich	w3_d329e7701
gleichfalls	w5_d329e7704
noch	w7_d329e7707
ruhig,	w9_d329e7710
und	w11_d329e7713
den	w13_d329e7717
16.	w1_d329e7723
sind	w3_d329e7726
zu	w5_d329e7729
Cöln	w7_d329e7732
an	w9_d329e7735
der	w11_d329e7738
Losse	w13_d329e7742
einige	w15_d329e7745
100.	w17_d329e7748
Mann	w1_d329e7753
</p>
<p id="p8_d329e7758">
Mann	w1_d329e7762
eingerückt,	w3_d329e7765
um	w5_d329e7768
in	w7_d329e7771
dieser	w9_d329e7774
Gegend	w11_d329e7777
zu	w13_d329e7781
recognosciren.	w1_d329e7786
Die	w3_d329e7789
Recrutirung	w5_d329e7792
wird	w7_d329e7795
Preus	w9_d329e7798
sischer	w1_d329e7803
Seits	w3_d329e7806
nicht	w5_d329e7809
weniger	w7_d329e7812
sehr	w9_d329e7815
eifrig	w11_d329e7818
be	w13_d329e7822
trieben.	w1_d329e7828
Langensalz	w3_d329e7831
soll	w5_d329e7834
noch	w7_d329e7837
47.	w9_d329e7840
Mann	w11_d329e7843
liefern.	w1_d329e7848
Zu	w3_d329e7851
Cölleda	w5_d329e7854
hat	w7_d329e7857
der	w9_d329e7860
Königlich	w11_d329e7863
Preußische	w1_d329e7868
General	w3_d329e7871
von	w5_d329e7874
Aschersleben	w7_d329e7877
ver	w9_d329e7880
schiedene	w1_d329e7885
Bürger	w3_d329e7888
mit	w5_d329e7891
Arrest	w7_d329e7894
belegen	w9_d329e7897
lassen,	w11_d329e7900
um	w1_d329e7906
sie	w3_d329e7909
zur	w5_d329e7912
Herbeyschaffing	w7_d329e7915
ihrer	w9_d329e7918
Söhne	w11_d329e7921
zu	w13_d329e7925
bewegen,	w1_d329e7930
und	w3_d329e7933
zu	w5_d329e7936
Mithlhausen	w7_d329e7939
sollen	w9_d329e7942
sich	w11_d329e7945
gleichfalls	w1_d329e7950
Preußische	w3_d329e7953
Werber	w5_d329e7956
befinden.	w7_d329e7959
Die	w9_d329e7962
Brücke	w1_d329e7967
von	w3_d329e7970
Sachsenburg	w5_d329e7973
ist	w7_d329e7976
seit	w9_d329e7979
den	w11_d329e7982
15.	w13_d329e7986
Preußischer	w1_d329e7992
Seits	w3_d329e7995
stark	w5_d329e7998
besetzet	w7_d329e8001
worden.	w9_d329e8004
</p>
<head id="h2_d329e8010">
Hamburg	w1_d329e8014
5.	w3_d329e8017
Febr.	w5_d329e8020
</head>
<p id="p4_d329e8023">
Die	w1_d329e8027
Preußische	w3_d329e8030
Armee,	w5_d329e8033
welche	w7_d329e8036
unter	w9_d329e8039
des	w11_d329e8042
Grafens	w1_d329e8047
von	w3_d329e8050
Dohna	w5_d329e8053
Commando,	w7_d329e8056
theils	w9_d329e8059
in	w1_d329e8064
Pommern,	w3_d329e8067
theils	w5_d329e8070
im	w7_d329e8073
Mecklenburgischen	w9_d329e8076
die	w1_d329e8082
Winter=quartiere	w3_d329e8085
bezogen,	w5_d329e8088
hält	w7_d329e8091
sich	w9_d329e8094
zwar	w1_d329e8099
noch	w3_d329e8102
ruhig,	w5_d329e8105
alleine	w7_d329e8108
es	w9_d329e8111
verlautet,	w11_d329e8114
daß	w13_d329e8118
ein	w1_d329e8123
Theil	w3_d329e8126
derselben	w5_d329e8129
nächstens	w7_d329e8132
aufbrechen	w9_d329e8135
mit	w1_d329e8140
denen	w3_d329e8143
Garnison=regimentern	w5_d329e8146
von	w7_d329e8149
Stet	w9_d329e8152
tin	w1_d329e8158
sich	w3_d329e8161
bey	w5_d329e8164
Bütow	w7_d329e8167
und	w9_d329e8170
Stolpe	w11_d329e8173
vereinigen,	w13_d329e8177
und	w1_d329e8182
der	w3_d329e8185
Gegend	w5_d329e8188
von	w7_d329e8191
Danzig	w9_d329e8194
näheren	w11_d329e8197
solle.	w1_d329e8202
Von	w3_d329e8205
Wismar	w5_d329e8208
vernihmt	w7_d329e8211
man,	w9_d329e8214
daß	w11_d329e8217
diese	w1_d329e8222
Stadt	w3_d329e8225
an	w5_d329e8228
die	w7_d329e8231
Preussen,	w9_d329e8234
ohne	w11_d329e8237
den	w13_d329e8241
ge	w15_d329e8244
ringsten	w1_d329e8250
Nachlaß,	w3_d329e8253
an	w5_d329e8256
baarem	w7_d329e8259
Gelde	w9_d329e8262
in	w11_d329e8265
wenig	w1_d329e8270
Wochen,	w3_d329e8273
130000.	w5_d329e8276
Thaler	w7_d329e8279
Contri	w9_d329e8282
bution	w1_d329e8287
bezahlen	w3_d329e8290
solle.	w5_d329e8293
Gegenwärtig	w7_d329e8296
ligen	w9_d329e8299
nur	w1_d329e8304
60.	w3_d329e8307
Mann	w5_d329e8310
allda,	w7_d329e8313
welche	w9_d329e8316
sich	w11_d329e8319
aber	w13_d329e8323
durch	w15_d329e8326
starke	w1_d329e8332
Werbungen	w3_d329e8335
vermehren.	w5_d329e8338
</p>
<head id="h2_d329e8344">
Amsterdam	w1_d329e8348
16.	w3_d329e8351
Febr.	w5_d329e8354
</head>
<p id="p4_d329e8357">
Man	w1_d329e8361
siehet	w3_d329e8364
hier	w5_d329e8367
Briefe	w7_d329e8370
von	w9_d329e8373
Gibraltar,	w11_d329e8376
geschrieben	w1_d329e8381
durch	w3_d329e8384
den	w5_d329e8387
Holländischen	w7_d329e8390
Vice	w9_d329e8393
consul,	w1_d329e8398
Herrn	w3_d329e8401
Jsaac	w5_d329e8404
Espinoja,	w7_d329e8407
vom	w9_d329e8410
24.	w11_d329e8413
Decemb.	w1_d329e8419
worinn	w3_d329e8422
folgendes	w5_d329e8425
gemeldet	w7_d329e8428
wird:	w9_d329e8431
Gestern	w1_d329e8436
erhielten	w3_d329e8439
wir	w5_d329e8442
mit	w7_d329e8445
Briefen	w9_d329e8448
von	w11_d329e8451
Tetian	w1_d329e8456
die	w3_d329e8459
Nachricht,	w5_d329e8462
daß	w7_d329e8465
auf	w9_d329e8468
der	w11_d329e8471
Küste	w1_d329e8476
bey	w3_d329e8479
Beledia	w5_d329e8482
3.	w7_d329e8485
Schwedische	w9_d329e8488
Kriegs	w11_d329e8491
schiffe,	w1_d329e8497
und	w3_d329e8500
ein	w5_d329e8503
Kauffarthey=schif	w7_d329e8506
gestran	w9_d329e8509
det	w1_d329e8514
seyen,	w3_d329e8517
worauf	w5_d329e8520
sich	w7_d329e8523
420.	w9_d329e8526
Mannsper	w11_d329e8529
sonen	w1_d329e8534
und	w3_d329e8537
6.	w5_d329e8540
Frauen	w7_d329e8543
befunden.	w9_d329e8546
Diese	w11_d329e8549
seynd	w13_d329e8553
zwar	w1_d329e8558
an	w3_d329e8561
Land	w5_d329e8564
gekommen,	w7_d329e8567
allein	w9_d329e8570
da	w11_d329e8573
sie	w13_d329e8577
nach	w15_d329e8580
Masagan,	w1_d329e8586
einer	w3_d329e8589
dem	w5_d329e8592
König	w7_d329e8595
von	w9_d329e8598
Portu	w11_d329e8601
</p>
<p id="p6_d329e8604">
gal	w1_d329e8608
gehörigen	w3_d329e8611
Festung	w5_d329e8614
im	w7_d329e8617
Maroccanischen	w9_d329e8620
gehen	w1_d329e8625
wollten,	w3_d329e8628
seynd	w5_d329e8631
sie,	w7_d329e8634
ob	w9_d329e8637
sie	w11_d329e8640
gleich	w13_d329e8644
Gewehr	w1_d329e8649
mit	w3_d329e8652
genommen	w5_d329e8655
hatten,	w7_d329e8658
von	w9_d329e8661
de	w11_d329e8664
nen	w1_d329e8670
Mohren	w3_d329e8673
überwältiget,	w5_d329e8676
und	w7_d329e8679
als	w9_d329e8682
Scla	w11_d329e8685
ven	w1_d329e8690
nach	w3_d329e8693
Mequinetz	w5_d329e8696
gebracht	w7_d329e8699
worden.	w9_d329e8702
</p>
<head id="h2_d329e8708">
Frankfort	w1_d329e8712
27.	w3_d329e8715
Februarii.	w5_d329e8718
</head>
<p id="p4_d329e8721">
Alhier	w1_d329e8725
sind	w3_d329e8728
aufs	w5_d329e8731
neue	w7_d329e8734
einige	w9_d329e8737
Bataillons	w11_d329e8740
durch	w1_d329e8745
marschirt,	w3_d329e8748
welche	w5_d329e8751
nach	w7_d329e8754
dem	w9_d329e8757
Oberheßi	w11_d329e8760
schen	w1_d329e8765
abgehen.	w3_d329e8768
Noch	w5_d329e8771
bis	w7_d329e8774
jetzo	w9_d329e8777
hält	w11_d329e8780
sich	w13_d329e8784
dasige	w15_d329e8787
Besatzung	w1_d329e8793
sehr	w3_d329e8796
ruhig,	w5_d329e8799
und	w7_d329e8802
die	w9_d329e8805
gute	w11_d329e8808
Manns	w13_d329e8812
zucht,	w1_d329e8817
welche	w3_d329e8820
der	w5_d329e8823
Herr	w7_d329e8826
Herzog	w9_d329e8829
von	w11_d329e8832
Broglie	w13_d329e8836
beobachtet,	w1_d329e8841
ist	w3_d329e8844
der	w5_d329e8847
Bürgerschaft	w7_d329e8850
sehr	w9_d329e8853
zur	w11_d329e8856
Erleichterung.	w1_d329e8861
Die	w3_d329e8864
Französische	w5_d329e8867
Wachen	w7_d329e8870
haben	w1_d329e8876
Befehl,	w3_d329e8879
allezeit	w5_d329e8882
vor	w7_d329e8885
Jhro	w9_d329e8888
Durchl.	w11_d329e8891
dem	w1_d329e8896
Herrn	w3_d329e8899
Herzog	w5_d329e8902
von	w7_d329e8905
SachsenMeinun	w9_d329e8908
gen	w1_d329e8913
und	w3_d329e8916
Sr.	w5_d329e8919
Durchl.	w7_d329e8922
dem	w9_d329e8925
Herrn	w11_d329e8928
Landgra	w13_d329e8932
fen	w1_d329e8937
von	w3_d329e8940
Hessen=Rotenburg	w5_d329e8943
das	w7_d329e8946
Gewehr	w9_d329e8949
aufzunehmen,	w1_d329e8955
und	w3_d329e8958
Marsch	w5_d329e8961
zu	w7_d329e8964
schlagen,	w9_d329e8967
vor	w11_d329e8970
andern	w1_d329e8975
Standes=personen	w3_d329e8978
aber	w5_d329e8981
nur	w7_d329e8984
zu	w9_d329e8987
prä	w11_d329e8990
sentiren.	w1_d329e8995
Der	w1_d329e9000
Herr	w3_d329e9003
Marschall,	w5_d329e9006
Prinz	w7_d329e9009
von	w9_d329e9012
Soubise,	w1_d329e9018
wird	w3_d329e9021
nächstens	w5_d329e9024
von	w7_d329e9027
Paris	w9_d329e9030
erwar	w11_d329e9033
tet,	w1_d329e9038
und	w3_d329e9041
man	w5_d329e9044
will	w7_d329e9047
versichern,	w9_d329e9050
daß	w11_d329e9053
gleich	w13_d329e9057
nach	w1_d329e9062
seiner	w3_d329e9065
Ankunft	w5_d329e9068
die	w7_d329e9071
Operationen	w9_d329e9074
in	w11_d329e9077
die	w13_d329e9081
sen	w1_d329e9086
Gegenden	w3_d329e9089
ihren	w5_d329e9092
Anfang	w7_d329e9095
nehmen	w9_d329e9098
wer	w11_d329e9101
den.	w1_d329e9107
</p>
<head id="h2_d329e9114">
Altona	w1_d329e9118
2.	w3_d329e9121
Martii.	w5_d329e9124
</head>
<p id="p4_d329e9127">
Aus	w1_d329e9131
Norwegen	w3_d329e9134
hat	w5_d329e9137
man	w7_d329e9140
die	w9_d329e9143
Nachricht	w11_d329e9146
erhalten,	w1_d329e9151
daß	w3_d329e9154
zu	w5_d329e9157
Etzwald	w7_d329e9160
eine	w9_d329e9163
ergebige	w11_d329e9166
Gold=mine	w1_d329e9171
entdeckt	w3_d329e9174
worden,	w5_d329e9177
von	w7_d329e9180
deren	w9_d329e9183
Metall	w1_d329e9189
man	w3_d329e9192
zu	w5_d329e9195
Copenhagen	w7_d329e9198
nächstens	w9_d329e9201
Du	w11_d329e9204
caten	w1_d329e9209
prägen	w3_d329e9212
wird.	w5_d329e9215
</p>
<head id="h2_d329e9221">
Kurz=gefaßte	w1_d329e9225
Nachrichten.	w3_d329e9228
Es	w1_d329e9233
geben	w3_d329e9236
die	w5_d329e9239
frischeste	w7_d329e9242
Briefe	w9_d329e9245
</head>
<p id="p4_d329e9248">
Von	w1_d329e9252
Lisabon:	w3_d329e9255
Daß	w5_d329e9258
man	w7_d329e9261
daselbst	w9_d329e9264
täg	w11_d329e9267
lich	w1_d329e9272
fortfahre,	w3_d329e9275
eine	w5_d329e9278
grosse	w7_d329e9281
Anzahl	w9_d329e9284
Personen,	w11_d329e9287
die	w1_d329e9292
sich	w3_d329e9295
wegen	w5_d329e9298
der	w7_d329e9301
samosen	w9_d329e9304
Canjuration	w11_d329e9307
verdächtig	w1_d329e9313
gemacht,	w3_d329e9316
in	w5_d329e9319
Verhaft	w7_d329e9322
zu	w9_d329e9325
nehmen.	w11_d329e9328
Die	w1_d329e9333
Anzahl	w3_d329e9336
der	w5_d329e9339
Gefangenen,	w7_d329e9342
soll	w9_d329e9345
sich	w11_d329e9348
be	w13_d329e9352
</p>
<p id="p10_d329e9365">
reits	w1_d329e9369
auf	w3_d329e9372
einige	w5_d329e9375
100.	w7_d329e9378
Personen	w9_d329e9381
erstrecken,	w11_d329e9384
und	w1_d329e9389
aus	w3_d329e9392
dem	w5_d329e9395
Hause	w7_d329e9398
von	w9_d329e9401
Tavora	w11_d329e9404
habe	w13_d329e9408
man	w15_d329e9411
alle	w1_d329e9416
Personen,	w3_d329e9419
nur	w5_d329e9422
den	w7_d329e9425
Grafen	w9_d329e9428
von	w11_d329e9431
Vincent	w13_d329e9435
ausgenommen	w1_d329e9441
auf	w3_d329e9444
Lebenslang	w5_d329e9447
in	w7_d329e9450
den	w9_d329e9453
Klö	w11_d329e9456
stern	w1_d329e9461
verwahret.	w3_d329e9464
Der	w5_d329e9467
Bischof	w7_d329e9470
von	w9_d329e9473
Oporto,	w11_d329e9476
ein	w1_d329e9481
Oheim	w3_d329e9484
des	w5_d329e9487
hingerichteten	w7_d329e9490
Marquis	w9_d329e9493
von	w11_d329e9496
Tavora,	w1_d329e9501
wird	w3_d329e9504
in	w5_d329e9507
seinem	w7_d329e9510
Pallast	w9_d329e9513
bewacht	w11_d329e9516
ge	w13_d329e9520
halten,	w1_d329e9526
und	w3_d329e9529
hat	w5_d329e9532
noch	w7_d329e9535
bis	w9_d329e9538
jetzo	w11_d329e9541
niemand	w13_d329e9545
Er	w15_d329e9548
laubnüß,	w1_d329e9553
ihn	w3_d329e9556
zu	w5_d329e9559
sprechen.	w7_d329e9562
</p>
<p id="p12_d329e9566">
Von	w1_d329e9570
Berlin:	w3_d329e9573
Daß	w5_d329e9576
allda	w7_d329e9579
mit	w9_d329e9582
Bewilli	w11_d329e9585
gung	w1_d329e9590
Sr.	w3_d329e9593
Köngl.	w5_d329e9596
Majest.	w7_d329e9599
die	w9_d329e9602
in	w11_d329e9605
der	w13_d329e9609
Ba	w15_d329e9612
taille	w1_d329e9617
bey	w3_d329e9620
Zorndorf	w5_d329e9623
gefangene	w7_d329e9626
Rußische	w9_d329e9629
Kaiserl.	w1_d329e9635
Herrn	w3_d329e9638
General	w5_d329e9641
Leutenants,	w7_d329e9644
Graf	w9_d329e9647
von	w1_d329e9652
Chernichef,	w3_d329e9655
und	w5_d329e9658
von	w7_d329e9661
Soltikof,	w9_d329e9664
inglei	w11_d329e9667
chen	w1_d329e9672
die	w3_d329e9675
Herren	w5_d329e9678
Brigadiers	w7_d329e9681
von	w9_d329e9684
Triesen	w11_d329e9687
hausen,	w1_d329e9692
und	w3_d329e9695
von	w5_d329e9698
Sivers	w7_d329e9701
nebst	w9_d329e9704
den	w11_d329e9707
Prinzen	w13_d329e9711
von	w1_d329e9717
Sulkowsky,	w3_d329e9720
von	w5_d329e9723
Cüstrin	w7_d329e9726
angelangt	w9_d329e9729
seyen.	w1_d329e9734
</p>
<p id="p14_d329e9737">
Von	w1_d329e9741
Rom:	w3_d329e9744
Daß	w5_d329e9747
Se.	w7_d329e9750
Königl.	w9_d329e9753
Majest.	w11_d329e9756
von	w1_d329e9761
Sicilien	w3_d329e9764
dem	w5_d329e9767
Päpstlichen	w7_d329e9770
Hofe	w9_d329e9773
declari	w11_d329e9776
ren	w1_d329e9781
lassen,	w3_d329e9784
daß	w5_d329e9787
die	w7_d329e9790
Versammlung	w9_d329e9793
Dero	w11_d329e9796
Tru	w13_d329e9800
pen	w1_d329e9806
an	w3_d329e9809
denen	w5_d329e9812
Gränzen	w7_d329e9815
des	w9_d329e9818
Kirchen=staats	w11_d329e9821
nicht	w13_d329e9825
die	w1_d329e9830
geringste	w3_d329e9833
feindliche	w5_d329e9836
Absicht	w7_d329e9839
zum	w9_d329e9842
Grunde	w11_d329e9845
hätte.	w1_d329e9850
Dem	w3_d329e9853
Leichen=Begängnüße	w5_d329e9856
des	w7_d329e9859
ver	w9_d329e9862
storbnen	w1_d329e9867
Cardinanls	w3_d329e9870
Doria	w5_d329e9873
als	w7_d329e9876
einem	w9_d329e9879
der	w11_d329e9882
prächtigsten,	w1_d329e9888
haben	w3_d329e9891
nicht	w5_d329e9894
nur	w7_d329e9897
Seine	w9_d329e9900
Päpstl.	w11_d329e9903
Heil.	w1_d329e9908
sondern	w3_d329e9911
auch	w5_d329e9914
das	w7_d329e9917
ganze	w9_d329e9920
Collegium	w11_d329e9923
der	w1_d329e9928
Cardinäle	w3_d329e9931
beygewohnt.	w5_d329e9934
Jn	w7_d329e9937
der	w9_d329e9940
Kirche	w11_d329e9943
St.	w1_d329e9948
Antonii	w3_d329e9951
von	w5_d329e9954
Portugal	w7_d329e9957
hat	w9_d329e9960
wan	w11_d329e9963
wegen	w13_d329e9967
deren	w1_d329e9973
traurigen	w3_d329e9976
Vorfällen	w5_d329e9979
in	w7_d329e9982
diesem	w9_d329e9985
König	w11_d329e9988
reiche	w1_d329e9993
das	w3_d329e9996
40.	w5_d329e9999
stündige	w7_d329e10002
Gebett	w9_d329e10005
angeordnet,	w11_d329e10008
bey	w1_d329e10013
dessen	w3_d329e10016
Eröfnung	w5_d329e10019
Seine	w7_d329e10022
Päpstl.	w9_d329e10025
Heil.	w11_d329e10028
nebst	w1_d329e10033
denen	w3_d329e10036
Cardinälen	w5_d329e10039
Portocarrero,	w7_d329e10042
und	w9_d329e10045
Cor	w11_d329e10048
sini,	w1_d329e10054
(welcher	w3_d329e10057
letzterer	w5_d329e10060
Protector	w7_d329e10063
des	w9_d329e10066
Kö	w11_d329e10069
nigreichs	w1_d329e10074
Portugal	w3_d329e10077
ist)	w5_d329e10080
zugegen	w7_d329e10083
gewesen.	w9_d329e10086
</p>
<head id="h2_d329e10097">
Wien	w1_d329e10101
den	w3_d329e10104
10.	w5_d329e10107
Martii	w7_d329e10110
1759.	w9_d329e10113
</head>
<p id="p4_d329e10116">
Vorgestrigen	w1_d329e10120
Donnerstags	w3_d329e10123
haben	w5_d329e10126
Se.	w7_d329e10129
Hochfürstl.	w1_d329e10134
Gnaden	w3_d329e10137
der	w5_d329e10140
alhiesige	w7_d329e10143
Herr	w9_d329e10146
Erz=bischof	w1_d329e10151
einem	w3_d329e10154
zu	w5_d329e10157
dem	w7_d329e10160
alleinig	w9_d329e10163
seelig	w11_d329e10166
</p>
<p id="p6_d329e10169">
machenden	w1_d329e10173
Christ=catholischen	w3_d329e10176
Glauben	w5_d329e10179
be	w7_d329e10182
kehrten	w1_d329e10187
Juden	w3_d329e10190
in	w5_d329e10193
der	w7_d329e10196
St.	w9_d329e10199
Stephans	w11_d329e10202
Me	w13_d329e10206
tropolitan=kirche	w1_d329e10211
die	w3_d329e10214
heilige	w5_d329e10217
Tauffe	w7_d329e10220
und	w9_d329e10223
Flr	w11_d329e10226
mung	w1_d329e10232
offentlich	w3_d329e10235
ertheilet.	w5_d329e10238
</p>
<p id="p8_d329e10241">
Eodem	w1_d329e10245
ist	w3_d329e10248
in	w5_d329e10251
dem	w7_d329e10254
alhiesigen	w9_d329e10257
Land=haus	w11_d329e10260
die	w1_d329e10265
Degradirung	w3_d329e10268
des	w5_d329e10271
verschiedener	w7_d329e10274
wider	w9_d329e10277
ihne	w1_d329e10282
vorgekommenen	w3_d329e10285
verbrechen	w5_d329e10288
halber	w7_d329e10291
von	w9_d329e10294
hier	w1_d329e10300
entwichenen,	w3_d329e10303
und	w5_d329e10306
über	w7_d329e10309
die	w9_d329e10312
wiederholt	w11_d329e10315
ergangene	w1_d329e10320
Vorforderungen	w3_d329e10323
nicht	w5_d329e10326
erschienenen	w7_d329e10329
Wenzel	w1_d329e10334
edlen	w3_d329e10337
von	w5_d329e10340
Sternegg	w7_d329e10343
in	w9_d329e10346
gewöhnli	w11_d329e10349
chen	w1_d329e10354
Form	w3_d329e10357
vor	w5_d329e10360
sich	w7_d329e10363
gegangen.	w9_d329e10366
</p>
<p id="p10_d329e10369">
Zu	w1_d329e10373
Linz	w3_d329e10376
ist	w5_d329e10379
das	w7_d329e10382
Stahrenbergische	w9_d329e10385
Batail	w11_d329e10388
lon	w1_d329e10393
aus	w3_d329e10396
Jtalien	w5_d329e10399
angekommen.	w7_d329e10402
Es	w9_d329e10405
wird	w11_d329e10408
solches	w1_d329e10413
den	w3_d329e10416
Marsch	w5_d329e10419
weiters	w7_d329e10422
nach	w9_d329e10425
Böhmen	w11_d329e10428
fortsetzen.	w1_d329e10434
Aus	w3_d329e10437
Steyermark	w5_d329e10440
und	w7_d329e10443
andern	w9_d329e10446
Orten	w1_d329e10451
kommen	w3_d329e10454
noch	w5_d329e10457
immer	w7_d329e10460
Recruten	w9_d329e10463
an;	w11_d329e10466
und	w1_d329e10471
in	w3_d329e10474
Mähren	w5_d329e10477
wimmelt	w7_d329e10480
es	w9_d329e10483
bereits	w11_d329e10486
von	w13_d329e10490
Croaten.	w1_d329e10495
Nicht	w3_d329e10498
weniger	w5_d329e10501
ist	w7_d329e10504
auch	w9_d329e10507
in	w11_d329e10510
Böh	w13_d329e10514
men	w1_d329e10520
schon	w3_d329e10523
eine	w5_d329e10526
grosse	w7_d329e10529
Anzahl	w9_d329e10532
Recruten	w11_d329e10535
an	w13_d329e10539
geworben.	w1_d329e10544
</p>
<p id="p12_d329e10548">
Es	w1_d329e10552
geben	w3_d329e10555
die	w5_d329e10558
Nachrichten	w7_d329e10561
aus	w9_d329e10564
Pohlen,	w11_d329e10567
daß	w1_d329e10572
den	w3_d329e10575
24.	w5_d329e10578
Febr.	w7_d329e10581
die	w9_d329e10584
Königl.	w11_d329e10587
Preußische	w13_d329e10591
Trupen	w1_d329e10596
unter	w3_d329e10599
Anführung	w5_d329e10602
deren	w7_d329e10605
Generals	w9_d329e10608
Wo	w11_d329e10611
bresnow	w1_d329e10617
und	w3_d329e10620
Braun,	w5_d329e10623
mit	w7_d329e10626
einem	w9_d329e10629
Corps	w11_d329e10632
von	w1_d329e10637
8000.	w3_d329e10640
Mann	w5_d329e10643
in	w7_d329e10646
denen	w9_d329e10649
Gegenden	w11_d329e10652
von	w13_d329e10656
Reissen	w1_d329e10661
und	w3_d329e10664
Lissa	w5_d329e10667
eingerücket,	w7_d329e10670
welche	w9_d329e10673
den	w11_d329e10676
alldorten	w1_d329e10681
residirenden	w3_d329e10684
