<doc id="edoc_wd_1772-06-24" attrs="word" year="1772" month="06" day="24" corpus="1">
<head id="hl1">
London	w28
von	w1858
da	w1859
nach	w1860
Macao	w1861
<g/>
,
wo	w1863
sie	w1864
von	w1865
den	w1866
Portugiesen	w1867
sehr	w1868
freundlich	w1869
aufgenommen	w1870
wurden	w1871
<g/>
.
Seit	w1873
zween	w1874
Monaten	w1875
hatten	w1876
sie	w1877
durch	w1878
Hunger	w1879
und	w1880
Durst	w1881
sehr	w1882
gelitten	w1883
<g/>
,
und	w1885
ihr	w1886
Fahrzeug	w1887
war	w1888
zweymal	w1889
zerbrochen	w1890
<g/>
,
auch	w1892
zweymal	w1893
wieder	w1894
ausgebessert	w1895
worden	w1896
<g/>
.
Der	w1898
Baron	w1899
Beny=orski	w1900
<g/>
=
hat	w1902
<g/>
,
um	w1904
Schutz	w1905
und	w1906
Vorstand	w1907
bey	w1908
der	w1909
Französischen	w1910
Nation	w1911
angesucht	w1912
<g/>
,
um	w1914
sammt	w1915
den	w1916
bey	w1917
ihm	w1918
habenden	w1919
Personen	w1920
nach	w1921
Euro=pa	w1922
<g/>
=
zurückreisen	w1924
zu	w1925
können	w1926
<g/>
.
Bey	w1928
der	w1929
misli=chen	w1930
<g/>
=
Lage	w1932
dieses	w1933
Officiers	w1934
habe	w1935
ich	w1936
dafür	w1937
gehalten	w1938
<g/>
,
ihm	w1940
allen	w1941
möglichen	w1942
Vorschub	w1943
zu	w1944
leisten	w1945
<g/>
,
und	w1947
denselben	w1948
auf	w1949
die	w1950
unter	w1951
meinen	w1952
Befehlen	w1953
zu	w1954
Canton	w1955
haltenden	w1956
Schiffe	w1957
ein=schiffen	w1958
<g/>
=
zu	w1960
lassen	w1961
<g/>
,
um	w1963
ihn	w1964
nach	w1965
Frankreich	w1966
abzuführen	w1967
<g/>
.
Hier	w1969
ist	w1970
das	w1971
Verzeichniß	w1972
<g/>
,
so	w1974
der	w1975
Herr	w1976
Baron	w1977
Benyorsky	w1978
mir	w1979
von	w1980
Ma=cao	w1981
<g/>
=
zugesandt	w1983
hat	w1984
<g/>
:
<g/>
"
Vom	w1987
Stabe	w1988
<g/>
:
der	w1990
Baron	w1991
Benyorsky	w1992
<g/>
,
Obrister	w1994
und	w1995
Chef	w1996
<g/>
;
die	w1998
Herren	w1999
Vindladh	w2000
<g/>
,
Major	w2002
<g/>
;
von	w2004
Stepany	w2005
<g/>
,
Capitain	w2007
<g/>
;
von	w2009
Crunszton	w2010
<g/>
,
Lieutenant	w2012
<g/>
;
von	w2014
Coracse	w2015
<g/>
,
Adjudant	w2017
<g/>
;
die	w2019
Dame	w2020
Juliana	w2021
von	w2022
Rich	w2023
<g/>
,
hinterlassene	w2025
Wittwe	w2026
des	w2027
Herrn	w2028
von	w2029
Stab	w2030
<g/>
,
der	w2032
zu	w2033
Macao	w2034
gestorben	w2035
ist	w2036
<g/>
;
acht	w2038
Unter	w2039
<g/>
=
und	w2041
Seeofficiere	w2042
<g/>
;
41	w2044
<g/>
.
Solda=ten	w2046
<g/>
=
ꝛc	w2048
<g/>
.
mit	w2050
Einbegriff	w2051
2	w2052
<g/>
.
Frauen	w2054
und	w2055
3	w2056
<g/>
.
Cafern	w2058
oder	w2059
Bedienten	w2060
<g/>
,
in	w2062
allem	w2063
58	w2064
<g/>
.
Per=sonen	w2066
<g/>
=
<g/>
.
<g/>
"
</p>
<head id="hl3">
Koppenhagen	w2070
den	w2071
6	w2072
<g/>
.
Brachm	w2074
<g/>
.
</head>
<p id="p27">
Der	w2076
Hof	w2077
ist	w2078
heute	w2079
nach	w2080
Friedrichsberg	w2081
abgegangen	w2082
<g/>
.
Die	w2084
Compagnie	w2085
Dragoner	w2086
von	w2087
dem	w2088
hieselbst	w2089
garnisonirenden	w2090
Seeländi=schen	w2091
<g/>
=
Dragonerregimente	w2093
<g/>
,
welche	w2095
seit	w2096
dem	w2097
17	w2098
<g/>
.
Januar	w2100
<g/>
.
d	w2102
<g/>
.
J	w2104
<g/>
.
unter	w2106
Commando	w2107
des	w2108
Majors	w2109
Gade	w2110
<g/>
,
in	w2112
Helsingör	w2113
in	w2114
Garnison	w2115
gelegen	w2116
<g/>
,
ist	w2118
von	w2119
dort	w2120
ausmarschiret	w2121
<g/>
,
und	w2123
all=hier	w2124
<g/>
=
angekommen	w2126
<g/>
,
uudund	w2128
wird	w2129
dieses	w2130
ganze	w2131
Regiment	w2132
<g/>
,
da	w2134
bereits	w2135
in	w2136
diesen	w2137
Tagen	w2138
die	w2139
Pferde	w2140
für	w2141
die	w2142
neu	w2143
zu	w2144
errichtende	w2145
Garde	w2146
zu	w2147
Pferde	w2148
angelanget	w2149
sind	w2150
<g/>
,
nach	w2152
den	w2153
vorigen	w2154
Contonirungsquartieren	w2155
zurückkehren	w2156
<g/>
;
doch	w2158
glaubt	w2159
man	w2160
<g/>
,
daß	w2162
eine	w2163
Escadron	w2164
hier	w2165
bleiben	w2166
werde	w2167
<g/>
,
um	w2169
die	w2170
hohen	w2171
königl	w2172
<g/>
.
Herrschaften	w2174
von	w2175
Friedrichsberg	w2176
herein	w2177
<g/>
,
und	w2179
wieder	w2180
dadahin	w2181
<g/>
=
</p>
<p id="p28">
hin	w2183
zu	w2184
escortiren	w2185
<g/>
,
so	w2187
oft	w2188
es	w2189
Höchstdenenselben	w2190
möchte	w2191
gefällig	w2192
seyn	w2193
<g/>
,
diese	w2195
Residenz	w2196
mit	w2197
De=ro	w2198
<g/>
=
hohen	w2200
Gegenwart	w2201
zu	w2202
beehren	w2203
<g/>
,
so	w2205
lange	w2206
bis	w2207
die	w2208
neue	w2209
Garde	w2210
zu	w2211
Pferde	w2212
errichtet	w2213
seyn	w2214
wird	w2215
<g/>
.
</p>
<p id="p29">
Der	w2217
Oberstlieutenant	w2218
von	w2219
Roepstorf	w2220
<g/>
,
wel=cher	w2222
<g/>
=
<g/>
,
um	w2225
aus	w2226
den	w2227
sämmtlichen	w2228
Cavaleriere=gimentern	w2229
<g/>
=
für	w2231
die	w2232
neue	w2233
Garde	w2234
zu	w2235
Pferde	w2236
tüchtige	w2237
Leute	w2238
auszusuchen	w2239
<g/>
,
in	w2241
die	w2242
Provinzen	w2243
gesandt	w2244
war	w2245
<g/>
,
ist	w2247
wiederum	w2248
zurückgekommen	w2249
<g/>
.
</p>
<p id="p30">
Der	w2251
Hofmedicus	w2252
<g/>
,
Doctor	w2254
Thode	w2255
<g/>
,
welcher	w2257
vom	w2258
Hofe	w2259
befehliget	w2260
worden	w2261
war	w2262
<g/>
,
mit	w2264
der	w2265
Suite	w2266
der	w2267
Königinn	w2268
Karolina	w2269
Mathilda	w2270
von	w2271
Kronenburg	w2272
nach	w2273
Stade	w2274
zu	w2275
folgen	w2276
<g/>
,
ist	w2278
wie=der	w2279
<g/>
=
zurückgekommen	w2281
<g/>
,
weil	w2283
die	w2284
englischen	w2285
Schiffe	w2286
Aerzte	w2287
für	w2288
die	w2289
Königinn	w2290
und	w2291
Dero=selben	w2292
<g/>
=
Suite	w2294
mitgebracht	w2295
hatten	w2296
<g/>
.
Die	w2298
Kö=niginn	w2299
<g/>
=
ist	w2301
mit	w2302
einer	w2303
englischen	w2304
Schaluppe	w2305
von	w2306
Kronenburg	w2307
an	w2308
Bord	w2309
gebracht	w2310
worden	w2311
<g/>
.
Die	w2313
Brücke	w2314
<g/>
,
worauf	w2316
Höchstdieselbe	w2317
vom	w2318
Lan=de	w2319
<g/>
=
in	w2321
die	w2322
Schaluppe	w2323
giengen	w2324
<g/>
,
war	w2326
mit	w2327
ro=them	w2328
<g/>
=
Tuche	w2330
überzogen	w2331
<g/>
.
Von	w2333
dem	w2334
englischen	w2335
Commandeurschiffe	w2336
wehete	w2337
von	w2338
dem	w2339
großen	w2340
Maste	w2341
die	w2342
Königle	w2343
englische	w2344
<g/>
,
nebst	w2346
der	w2347
Königl	w2348
<g/>
.
Georgsflagge	w2350
<g/>
,
welche	w2352
die	w2353
vornehmste	w2354
Flag=ge	w2355
<g/>
=
bey	w2357
der	w2358
englischen	w2359
Flotte	w2360
ist	w2361
<g/>
.
Auf	w2363
der	w2364
Fregatte	w2365
<g/>
,
worauf	w2367
die	w2368
Königinn	w2369
sich	w2370
befand	w2371
<g/>
,
wurde	w2373
die	w2374
Gräfinn	w2375
von	w2376
Holstein	w2377
<g/>
=
Lethraborg	w2379
<g/>
,
die	w2381
Hofdame	w2382
<g/>
,
Fräulein	w2384
Mösting	w2385
<g/>
,
und	w2387
die	w2388
zur	w2389
Aufwartung	w2390
bestimmten	w2391
Frauenzimmer	w2392
<g/>
,
aufgenommen	w2394
<g/>
;
auf	w2396
der	w2397
zweyten	w2398
Fregatte	w2399
befanden	w2400
sich	w2401
der	w2402
Königinn	w2403
Obersthofmeister	w2404
<g/>
,
Graf	w2406
von	w2407
Holstein	w2408
<g/>
=
Lethraborg	w2410
<g/>
,
der	w2412
engli=sche	w2413
<g/>
=
Gesandte	w2415
<g/>
,
Sir	w2417
Robert	w2418
Murray	w2419
Keith	w2420
<g/>
,
und	w2422
der	w2423
Kammerjunker	w2424
von	w2425
Raben	w2426
<g/>
,
und	w2428
auf	w2429
dem	w2430
dritten	w2431
Schiffe	w2432
wurden	w2433
die	w2434
übri=gen	w2435
<g/>
=
Officianten	w2437
einlogiret	w2438
<g/>
.
</p>
<p id="p31">
Am	w2440
Donnerstage	w2441
frühe	w2442
arrivirte	w2443
glücklich	w2444
auf	w2445
hiesiger	w2446
Rhede	w2447
das	w2448
königl	w2449
<g/>
.
Dänisch	w2451
<g/>
=
Asia=tische	w2453
<g/>
=
Compagnieschiff	w2455
<g/>
,
die	w2457
Königinn	w2458
So=phia	w2459
<g/>
=
Magdalena	w2461
genannt	w2462
<g/>
,
welches	w2464
der	w2465
Ca=pitain	w2466
<g/>
=
Rasmus	w2468
Norup	w2469
hin	w2470
nach	w2471
Canton	w2472
<g/>
,
in	w2474
China	w2475
<g/>
,
und	w2477
zurückgeführet	w2478
hat	w2479
<g/>
,
worauf	w2481
<g/>
,
außer	w2483
dem	w2484
Supercargo	w2485
Oestrup	w2486
<g/>
,
nur	w2488
12	w2489
<g/>
.
bis	w2491
13	w2492
<g/>
.
Menschen	w2494
auf	w2495
der	w2496
ganzen	w2497
Reise	w2498
ge=storben	w2499
<g/>
=
sind	w2501
<g/>
;
womit	w2503
man	w2504
zugleich	w2505
die	w2506
Nach=richt	w2507
<g/>
=
erhalten	w2509
<g/>
,
daß	w2511
der	w2512
Capitain	w2513
auf	w2514
der	w2515
Herreise	w2516
das	w2517
Ostindische	w2518
Schiff	w2519
<g/>
,
welches	w2521
von	w2522
dem	w2523
Capitain	w2524
Witt	w2525
geführet	w2526
wird	w2527
<g/>
,
angetrof=fen	w2529
<g/>
=
<g/>
,
und	w2532
daß	w2533
man	w2534
selbiges	w2535
in	w2536
diesen	w2537
Tagen	w2538
erwarten	w2539
könne	w2540
<g/>
.
</p>
<p id="p32">
Den	w2542
1ten	w2543
<g/>
,
2ten	w2545
<g/>
,
und	w2547
3ten	w2548
dieses	w2549
sind	w2550
ge=gen	w2551
<g/>
=
120	w2553
<g/>
.
Schiffe	w2555
durch	w2556
den	w2557
Sund	w2558
in	w2559
die	w2560
Nordsee	w2561
gefahren	w2562
<g/>
.
</p>
<head id="hl4">
Venedig	w2564
<g/>
,
den	w2566
6	w2567
<g/>
.
Brachm	w2569
<g/>
.
</head>
<p id="p33">
Wir	w2571
haben	w2572
nun	w2573
einen	w2574
großen	w2575
Zuspruch	w2576
von	w2577
Fremden	w2578
<g/>
,
und	w2580
noch	w2581
immer	w2582
hält	w2583
sich	w2584
die	w2585
verwittibte	w2586
Frau	w2587
Kurfürstinn	w2588
von	w2589
Sach=sen	w2590
<g/>
=
allhier	w2592
auf	w2593
<g/>
.
Montags	w2595
kam	w2596
ein	w2597
Expresser	w2598
von	w2599
Livorno	w2600
mit	w2601
Befehl	w2602
an	w2603
die	w2604
hier	w2605
sich	w2606
be=findenden	w2607
<g/>
=
Rußischen	w2609
Officiers	w2610
alsogleich	w2611
zu	w2612
ihren	w2613
Schiffen	w2614
zurück	w2615
zu	w2616
kehren	w2617
<g/>
,
weswegen	w2619
dieselben	w2620
auch	w2621
alsobald	w2622
dahin	w2623
abgereiset	w2624
sind	w2625
<g/>
.
Jn	w2627
Verfolg	w2628
der	w2629
neulich	w2630
von	w2631
der	w2632
Venetiani=schen	w2633
<g/>
=
Regierung	w2635
über	w2636
die	w2637
aufrührischen	w2638
2	w2639
<g/>
.
Sklavonischen	w2641
Schiffe	w2642
ergangenen	w2643
Verurthei=lung	w2644
<g/>
=
der	w2646
Meutlinge	w2647
<g/>
,
soll	w2649
<g/>
,
der	w2651
Sage	w2652
nach	w2653
<g/>
,
die	w2655
ganze	w2656
Sklavonische	w2657
Nation	w2658
um	w2659
die	w2660
Los=lassung	w2661
<g/>
=
der	w2663
Verurtheilten	w2664
angesucht	w2665
<g/>
,
und	w2667
zugleich	w2668
sich	w2669
erbothen	w2670
haben	w2671
<g/>
,
ein	w2673
freywilliges	w2674
Geschenke	w2675
von	w2676
6000	w2677
<g/>
.
Zechinen	w2679
abzureichen	w2680
<g/>
,
100	w2682
<g/>
.
Soldaten	w2684
6	w2685
<g/>
.
Jahre	w2687
lang	w2688
in	w2689
Diensten	w2690
der	w2691
Republique	w2692
auf	w2693
eigene	w2694
Kosten	w2695
zu	w2696
halten	w2697
<g/>
,
und	w2699
zu	w2700
allen	w2701
Zeiten	w2702
<g/>
,
und	w2704
bey	w2705
allen	w2706
Gelegen=heiten	w2707
<g/>
=
die	w2709
Mündungen	w2710
der	w2711
Venetianischen	w2712
Gewässer	w2713
zum	w2714
Nutzen	w2715
und	w2716
Dienst	w2717
der	w2718
Repu=blique	w2719
<g/>
=
<g/>
,
selbst	w2722
zu	w2723
bewachen	w2724
<g/>
,
und	w2726
wider	w2727
der=selben	w2728
<g/>
=
Feinde	w2730
zu	w2731
vertheidigen	w2732
<g/>
.
Der	w2734
Senat	w2735
hat	w2736
hierauf	w2737
noch	w2738
keinen	w2739
Schluß	w2740
gefaßt	w2741
<g/>
,
und	w2743
so	w2744
vortheilhaft	w2745
auch	w2746
diese	w2747
Anträge	w2748
sind	w2749
<g/>
,
so	w2751
glaubt	w2752
man	w2753
doch	w2754
nicht	w2755
<g/>
,
daß	w2757
sie	w2758
werden	w2759
be=gnehmiget	w2760
<g/>
=
werden	w2762
<g/>
.
</p>
<head id="hl5">
Rom	w2764
den	w2765
6	w2766
<g/>
.
Brachm	w2768
<g/>
.
</head>
<p id="p34">
Dieser	w2770
Tagen	w2771
hatte	w2772
der	w2773
Monsign	w2774
<g/>
.
Hrzan	w2776
Auditor	w2777
der	w2778
Rota	w2779
von	w2780
der	w2781
deutschen	w2782
Na=tion	w2783
<g/>
=
bey	w2785
Sr	w2786
<g/>
.
päbstl	w2788
<g/>
.
Heiligkeit	w2790
Audienz	w2791
<g/>
,
und	w2793
überreichte	w2794
Deroselben	w2795
im	w2796
Nahmen	w2797
Jh=rer	w2798
<g/>
=
kais	w2800
<g/>
.
kön	w2802
<g/>
.
apost	w2804
<g/>
.
Majest	w2806
<g/>
.
ein	w2808
kostbares	w2809
Kästchen	w2810
von	w2811
Brasilienholze	w2812
<g/>
,
in	w2814
stark	w2815
vergol=detes	w2816
<g/>
=
Metall	w2818
gefaßt	w2819
<g/>
,
und	w2821
oben	w2822
auf	w2823
dem	w2824
De=ckel	w2825
<g/>
=
mit	w2827
den	w2828
Nahmens	w2829
zügen	w2830
Jhrer	w2831
kaiserl	w2832
<g/>
.
königl	w2834
<g/>
.
Majest	w2836
<g/>
.
und	w2838
Sr	w2839
<g/>
.
päbstl	w2841
<g/>
.
Heiligkeit	w2843
von	w2844
Edelgesteinen	w2845
reich	w2846
und	w2847
künstlich	w2848
ausge=schmückt	w2849
<g/>
=
<g/>
;
hierinn	w2852
befanden	w2853
sich	w2854
87	w2855
<g/>
.
göldene	w2857
Denkmünzen	w2858
<g/>
,
verschiedener	w2860
Grösse	w2861
<g/>
,
welche	w2863
bey	w2864
Gelegenheit	w2865
verschiedener	w2866
feyerlicher	w2867
Be=gebenheiten	w2868
<g/>
=
<g/>
,
und	w2871
unvergeßlicher	w2872
Thaten	w2873
Jh=rer	w2874
<g/>
=
Majest	w2876
<g/>
.
der	w2878
Kaiserinn	w2879
Königinn	w2880
<g/>
,
und	w2882
weyl	w2883
<g/>
.
Jhrer	w2885
kaiserl	w2886
<g/>
.
Majest	w2888
<g/>
.
Franz	w2890
des	w2891
I	w2892
<g/>
.
und	w2894
Karl	w2895
des	w2896
VI	w2897
<g/>
.
glorwürdigster	w2899
Gedächtniß	w2900
<g/>
,
zur	w2902
Verewigung	w2903
dieser	w2904
Begebenheiten	w2905
geprä=get	w2906
<g/>
=
worden	w2908
sind	w2909
<g/>
.
Dieses	w2911
prächtige	w2912
Geschenke	w2913
</p>
<p id="p35">
haben	w2914
Se	w2915
<g/>
.
päpstl	w2917
<g/>
.
Heiligkeit	w2919
mit	w2920
grösten	w2921
Ver=gnügen	w2922
<g/>
=
empfangen	w2924
<g/>
,
und	w2926
sogleich	w2927
in	w2928
das	w2929
neu=errichtete	w2930
<g/>
=
Clementinische	w2932
Museum	w2933
<g/>
,
im	w2935
Va=tican	w2936
<g/>
=
zur	w2938
Aufbewahrung	w2939
bey	w2940
anderen	w2941
Kost=barkeiten	w2942
<g/>
=
abgegeben	w2944
<g/>
.
</p>
<p id="p36">
Man	w2946
spricht	w2947
von	w2948
einer	w2949
neuen	w2950
Zusammen=beruffung	w2951
<g/>
=
der	w2953
Visitationscongregation	w2954
über	w2955
das	w2956
Seminarium	w2957
Romanum	w2958
<g/>
;
diesem	w2960
wieder=setzt	w2961
<g/>
=
sich	w2963
aber	w2964
nun	w2965
der	w2966
Kardinal	w2967
York	w2968
vor=gebend	w2969
<g/>
=
<g/>
,
er	w2972
habe	w2973
seine	w2974
Meynung	w2975
hierüber	w2976
schon	w2977
schriftlich	w2978
dem	w2979
Congregationssekretär	w2980
<g/>
,
Monsign	w2982
<g/>
.
Caraffa	w2984
von	w2985
Columbrano	w2986
<g/>
,
abge=geben	w2988
<g/>
=
<g/>
.
Man	w2991
weiß	w2992
<g/>
,
daß	w2994
dieses	w2995
votum	w2996
wider	w2997
die	w2998
Jesuiten	w2999
abgefasset	w3000
ist	w3001
<g/>
,
und	w3003
vermuthet	w3004
daher	w3005
<g/>
,
nicht	w3007
ohne	w3008
Grund	w3009
<g/>
,
es	w3011
dürfte	w3012
näch=stens	w3013
<g/>
=
in	w3015
dieser	w3016
Sache	w3017
ein	w3018
unvermutheter	w3019
päbstl	w3020
<g/>
.
Entschluß	w3022
öffentlich	w3023
erscheinen	w3024
<g/>
.
</p>
<p id="p37">
Verflossenen	w3026
Donnerstags	w3027
<g/>
,
als	w3029
an	w3030
dem	w3031
Jahrtage	w3032
der	w3033
päbstl	w3034
<g/>
.
Krönung	w3036
<g/>
,
wurde	w3038
in	w3039
dem	w3040
Quirinal	w3041
die	w3042
gewöhnliche	w3043
Kapelle	w3044
ge=halten	w3045
<g/>
=
<g/>
,
und	w3048
Abends	w3049
Beleuchtung	w3050
<g/>
,
und	w3052
die	w3053
sogenannte	w3054
Girandola	w3055
<g/>
,
oder	w3057
Kunstfeuerwerk	w3058
von	w3059
dem	w3060
Kastelle	w3061
abgebrannt	w3062
<g/>
.
</p>
<head id="hl6">
Wien	w3064
den	w3065
24	w3066
<g/>
.
Brachmon	w3068
<g/>
.
</head>
<p id="p38">
Am	w3070
letztvergangenen	w3071
Sonnabend	w3072
ist	w3073
in	w3074
der	w3075
P	w3076
<g/>
.
P	w3078
<g/>
.
Augustinerbarfüsser	w3080
Hofkirche	w3081
das	w3082
Jahrsgedächtnisse	w3083
<g/>
,
des	w3085
in	w3086
dem	w3087
letzten	w3088
Kriege	w3089
bey	w3090
Planian	w3091
in	w3092
Böhmen	w3093
von	w3094
den	w3095
kais	w3096
<g/>
.
kön	w3098
<g/>
.
Waffen	w3100
erfochtenen	w3101
herrlichen	w3102
Sieges	w3103
<g/>
,
mit	w3105
einem	w3106
Lobamte	w3107
aufs	w3108
feyerlichste	w3109
begangen	w3110
worden	w3111
<g/>
,
dem	w3113
Jhre	w3114
Majest	w3115
<g/>
.
die	w3117
Kaiserinn	w3118
Königinn	w3119
mit	w3120
der	w3121
hier	w3122
anwesend	w3123
hohen	w3124
Ge=neralität	w3125
<g/>
=
<g/>
,
Staabs	w3128
<g/>
=
und	w3130
anderen	w3131
Officieren	w3132
<g/>
,
nebst	w3134
den	w3135
Gemeinen	w3136
der	w3137
in	w3138
Garnison	w3139
liegen=den	w3140
<g/>
=
Bataillonen	w3142
<g/>
,
und	w3144
Esquadronen	w3145
beyge=wohnet	w3146
<g/>
=
haben	w3148
<g/>
.
</p>
<p id="p39">
Diesen	w3150
Abend	w3151
um	w3152
halb	w3153
9	w3154
<g/>
.
Uhr	w3156
ist	w3157
der	w3158
Leichnam	w3159
weyl	w3160
<g/>
.
des	w3162
hochwohlgebohrnen	w3163
Hrn	w3164
<g/>
.
Baron	w3166
von	w3167
Swietten	w3168
<g/>
,
in	w3170
einem	w3171
6spännigen	w3172
Hoftodtenwagen	w3173
unter	w3174
Bedienung	w3175
der	w3176
kais	w3177
<g/>
.
königl	w3179
<g/>
.
Staatslivrey	w3181
von	w3182
Schönbrunn	w3183
herein	w3184
nach	w3185
ersagter	w3186
Hokirche	w3187
gebracht	w3188
<g/>
,
und	w3190
allda	w3191
in	w3192
der	w3193
Kirche	w3194
aufgebaret	w3195
<g/>
,
die	w3197
Bar	w3198
mit	w3199
zweyen	w3200
Bruderschaftsbildern	w3201
<g/>
,
und	w3203
mit	w3204
den	w3205
Univer=sitäts	w3206
<g/>
=
Ehrenzeichen	w3208
ausgezieret	w3209
<g/>
,
unter	w3211
Be=gleitung	w3212
<g/>
=
deren	w3214
PP	w3215
<g/>
.
Augustinern	w3217
<g/>
,
Sr	w3219
bi=schöfliche	w3220
<g/>
=
Gnaden	w3222
Herrn	w3223
Weihebischoffen	w3224
von	w3225
Marxer	w3226
dann	w3227
vieler	w3228
Universitätsmitglie=der	w3229
<g/>
=
der	w3231
4	w3232
<g/>
.
Fakultäten	w3234
<g/>
,
in	w3236
der	w3237
Kirche	w3238
2mal	w3239
herumgetragen	w3240
<g/>
,
sodann	w3242
in	w3243
die	w3244
Todtenkapelle	w3245
</p>
<p id="p40">
begraben	w3246
<g/>
,
und	w3248
von	w3249
ersagt	w3250
Sr	w3251
<g/>
.
bischöfl	w3253
<g/>
.
Gnaden	w3255
eingesegnet	w3256
worden	w3257
<g/>
.
Montags	w3259
<g/>
,
Dienstags	w3261
<g/>
,
und	w3263
Heute	w3264
sind	w3265
die	w3266
Exequien	w3267
<g/>
,
und	w3269
Seelmessen	w3270
<g/>
.
in	w3272
erwehnter	w3273
Todtenkapelle	w3274
ge=halten	w3275
<g/>
=
worden	w3277
<g/>
.
</p>
<p id="p41">
Sonntags	w3279
ist	w3280
der	w3281
Fronleichnamsumgang	w3282
<g/>
,
in	w3284
dem	w3285
kais	w3286
<g/>
.
kön	w3288
<g/>
.
Sommerschlosse	w3290
zu	w3291
Schön=brun	w3292
<g/>
=
gehalten	w3294
<g/>
,
und	w3296
von	w3297
Sr	w3298
<g/>
.
Majest	w3300
<g/>
.
dem	w3302
Kaiser	w3303
<g/>
,
dem	w3305
Erzherzogen	w3306
Maximilian	w3307
<g/>
,
den	w3309
zwey	w3310
Erzherzoginnen	w3311
Maria	w3312
Anna	w3313
und	w3314
Ma=ria	w3315
<g/>
=
Elisabetha	w3317
kön	w3318
<g/>
.
Hoheiten	w3320
<g/>
,
sammt	w3322
den	w3323
kais	w3324
<g/>
.
kön	w3326
<g/>
.
geheimen	w3328
Räthen	w3329
<g/>
,
Kämmerern	w3331
den	w3332
Staats	w3333
<g/>
=
und	w3335
Hofdamen	w3336
begleitet	w3337
worden	w3338
<g/>
.
Jhre	w3340
Majest	w3341
<g/>
.
die	w3343
Kaiserinn	w3344
Königinn	w3345
aber	w3346
haben	w3347
den	w3348
4	w3349
<g/>
.
heil	w3351
<g/>
.
Evangelien	w3353
durch	w3354
das	w3355
Fenster	w3356
beygewohnet	w3357
<g/>
,
das	w3359
Hochamt	w3360
haben	w3361
Se	w3362
<g/>
.
hochfürstl	w3364
<g/>
.
Eminenz	w3366
der	w3367
Hr	w3368
<g/>
.
Kardinal	w3370
Migazi	w3371
Erzbischof	w3372
allhier	w3373
gehalten	w3374
<g/>
,
und	w3376
das	w3377
hochwürdigste	w3378
getragen	w3379
<g/>
.
</p>
<p id="p42">
Montags	w3381
wurde	w3382
in	w3383
der	w3384
k	w3385
<g/>
.
k	w3387
<g/>
.
großen	w3389
Hof=kapelle	w3390
<g/>
=
für	w3392
die	w3393
zwey	w3394
verstorbene	w3395
hochadeliche	w3396
Sternkreuzordensdamen	w3397
Frau	w3398
Maria	w3399
Ama=lia	w3400
<g/>
=
Gräfinn	w3402
v	w3403
<g/>
.
Mniszech	w3405
<g/>
,
geb	w3407
<g/>
.
Gräfinn	w3409
von	w3410
Brühl	w3411
<g/>
,
und	w3413
Frau	w3414
Salomene	w3415
Grafinn	w3416
von	w3417
Poninska	w3418
Palatine	w3419
v	w3420
<g/>
.
Bosnanie	w3422
<g/>
,
geb	w3424
<g/>
.
Grä=finn	w3426
<g/>
=
von	w3428
Szembeck	w3429
die	w3430
Messen	w3431
gehalten	w3432
<g/>
.
</p>
<p id="p43">
Eben	w3434
diesen	w3435
Tag	w3436
hat	w3437
der	w3438
kön	w3439
<g/>
.
französ	w3441
<g/>
.
außeror=dentliche	w3443
<g/>
=
Hr	w3445
<g/>
.
Botschafter	w3447
<g/>
,
Prinz	w3449
von	w3450
Rohan	w3451
zu	w3452
Baaden	w3453
einige	w3454
Stunden	w3455
von	w3456
hier	w3457
in	w3458
drey=en	w3459
<g/>
=
eigends	w3461
hierzu	w3462
bestimmten	w3463
Häusern	w3464
ein	w3465
großes	w3466
Festin	w3467
gegeben	w3468
<g/>
,
wobey	w3470
große	w3471
Tafel	w3472
<g/>
,
Feuerwerk	w3474
und	w3475
Ball	w3476
gehalten	w3477
worden	w3478
<g/>
.
</p>
<p id="p44">
Auf	w3480
Befehl	w3481
Jhrer	w3482
Majest	w3483
<g/>
.
unserer	w3485
aller=gnädigsten	w3486
<g/>
=
Beherrscherinn	w3488
werden	w3489
alle	w3490
in	w3491
dem	w3492
k	w3493
<g/>
.
k	w3495
<g/>
.
Pallaste	w3497
arbeitende	w3498
Maurer	w3499
einförmig	w3500
gekleidet	w3501
<g/>
:
nicht	w3503
nur	w3504
um	w3505
dem	w3506
Hofe	w3507
den	w3508
An=blick	w3509
<g/>
=
dieser	w3511
unter	w3512
seinen	w3513
Augen	w3514
den	w3515
ganzen	w3516
Tag	w3517
hindurch	w3518
wirkenden	w3519
Menschen	w3520
anständi=ger	w3521
<g/>
=
zu	w3523
machen	w3524
<g/>
,
sondern	w3526
mehr	w3527
in	w3528
der	w3529
Absicht	w3530
diesen	w3531
armen	w3532
Leuten	w3533
eine	w3534
Wohlthat	w3535
angedey=hen	w3536
<g/>
=
zu	w3538
lassen	w3539
<g/>
,
die	w3541
ihren	w3542
Lebensumständen	w3543
eine	w3544
Linderung	w3545
<g/>
,
und	w3547
ihrem	w3548
Fleiße	w3549
eine	w3550
Er=munterung	w3551
<g/>
=
giebt	w3553
<g/>
.
</p>
<p id="p45">
Da	w3555
in	w3556
dem	w3557
Leben	w3558
eines	w3559
grossen	w3560
Mannes	w3561
ein	w3562
jeder	w3563
Zug	w3564
merkwürdig	w3565
ist	w3566
<g/>
:
so	w3568
theilen	w3569
wir	w3570
folgende	w3571
Anectode	w3572
