<doc id="wr_1761-03-21" attrs="word" year="1761" month="03" day="21" corpus="2">
<head id="h2_d537e2811">
Madtid	w1_d537e2815
gestanden,	w11_d537e6431
verbleiben	w1_d537e6437
solle,	w3_d537e6440
und	w5_d537e6443
ist	w7_d537e6446
den	w9_d537e6449
Herren	w11_d537e6452
Officiers	w13_d537e6456
bis	w1_d537e6461
zu	w3_d537e6464
den	w5_d537e6467
Haupt=leuten	w7_d537e6470
einschließlich	w9_d537e6473
aner	w11_d537e6476
boten	w1_d537e6481
worden,	w3_d537e6484
daß	w5_d537e6487
bey	w7_d537e6490
Entschluß	w9_d537e6493
in	w11_d537e6496
den	w13_d537e6500
Französischen	w1_d537e6505
Diensten	w3_d537e6508
einzutretten,	w5_d537e6511
jedwe	w7_d537e6514
der	w1_d537e6520
in	w3_d537e6523
dem	w5_d537e6526
nämlichen	w7_d537e6529
Character,	w9_d537e6532
worin	w11_d537e6535
er	w13_d537e6539
sich	w1_d537e6544
würklich	w3_d537e6547
befindet,	w5_d537e6550
werde	w7_d537e6553
seine	w9_d537e6556
militari	w11_d537e6559
sche	w1_d537e6564
Functionen	w3_d537e6567
zu	w5_d537e6570
verrichten	w7_d537e6573
haben.	w9_d537e6576
Aus	w11_d537e6579
oben	w1_d537e6584
berührten	w3_d537e6587
Ursachen	w5_d537e6590
seynd	w7_d537e6593
nunmehro	w9_d537e6596
die	w1_d537e6602
Stadt=pforten	w3_d537e6605
an	w5_d537e6608
Platz	w7_d537e6611
der	w9_d537e6614
Münsterischen	w11_d537e6617
Trupen	w1_d537e6622
mit	w3_d537e6625
Französischen	w5_d537e6628
besetzet,	w7_d537e6631
das	w9_d537e6634
Ehur	w11_d537e6637
fürstliche	w1_d537e6642
Schloß	w3_d537e6645
aber	w5_d537e6648
neben	w7_d537e6651
anderen	w9_d537e6654
zum	w11_d537e6657
Hof	w1_d537e6662
gehörigen	w3_d537e6665
Oertern	w5_d537e6668
bleiben	w7_d537e6671
vom	w9_d537e6674
Leibre	w11_d537e6677
giment	w1_d537e6683
bewachtet.	w3_d537e6686
Man	w5_d537e6689
sehet	w7_d537e6692
übrigens	w9_d537e6695
fast	w11_d537e6698
täglich	w1_d537e6703
die	w3_d537e6706
auserlesenste,	w5_d537e6709
theils	w7_d537e6712
Cavalerie	w9_d537e6715
theils	w1_d537e6720
Jnfanterie=regimenter	w3_d537e6723
hierdurch	w5_d537e6726
nach	w7_d537e6729
dem	w1_d537e6734
Mayn=strom	w3_d537e6737
zur	w5_d537e6740
Armee	w7_d537e6743
des	w9_d537e6746
Hrn.	w11_d537e6749
Mar	w13_d537e6753
schalls	w1_d537e6759
von	w3_d537e6762
Broglie	w5_d537e6765
vorbey	w7_d537e6768
paßiren.	w9_d537e6771
</p>
<head id="h2_d537e6777">
Prag	w1_d537e6781
14.	w3_d537e6784
Martii.	w5_d537e6787
</head>
<p id="p4_d537e6790">
Als	w1_d537e6794
am	w3_d537e6797
8ten	w5_d537e6800
Dieses	w7_d537e6803
der	w9_d537e6806
Tages	w11_d537e6809
vorher	w13_d537e6813
von	w1_d537e6818
Warschau	w3_d537e6821
über	w5_d537e6824
Wien	w7_d537e6827
hier	w9_d537e6830
angelangte	w11_d537e6833
Königl.	w1_d537e6838
Polnisch	w3_d537e6841
und	w5_d537e6844
ChurfürstlichSäch	w7_d537e6847
sische	w1_d537e6853
Herr	w3_d537e6856
General=leutenant	w5_d537e6859
Baron	w7_d537e6862
von	w9_d537e6865
Zeschwitz,	w1_d537e6870
in	w3_d537e6873
Angelegenheiten	w5_d537e6876
des	w7_d537e6879
seinem	w9_d537e6882
Commando	w1_d537e6887
seit	w3_d537e6890
3.	w5_d537e6893
Jahren	w7_d537e6896
anvertrautge	w9_d537e6899
wesenen,	w1_d537e6904
bey	w3_d537e6907
der	w5_d537e6910
Kaiserl.	w7_d537e6913
Königl.	w9_d537e6916
Haupt	w11_d537e6919
armee	w1_d537e6925
dermalen	w3_d537e6928
stehenden	w5_d537e6931
ansehnlichen	w7_d537e6934
Säch	w9_d537e6937
sischen	w1_d537e6942
Cavallerie=corps,	w3_d537e6945
von	w5_d537e6948
der	w7_d537e6951
kleinen	w9_d537e6954
Seite	w1_d537e6959
auf	w3_d537e6962
die	w5_d537e6965
Alt=stadt	w7_d537e6968
fahren	w9_d537e6971
wollte,	w11_d537e6974
so	w13_d537e6978
wurde	w1_d537e6983
derselbe	w3_d537e6986
jenseits	w5_d537e6989
der	w7_d537e6992
Brücke	w9_d537e6995
von	w11_d537e6998
ei	w13_d537e7002
nem	w1_d537e7008
dergestaltig=heftigen	w3_d537e7011
Schlag=fluß	w5_d537e7014
be	w7_d537e7017
troffen,	w1_d537e7022
daß	w3_d537e7025
er	w5_d537e7028
fast	w7_d537e7031
augenblicklich	w9_d537e7034
in	w11_d537e7037
den	w13_d537e7041
Ar	w15_d537e7044
men	w1_d537e7049
eines	w3_d537e7052
vornehmen	w5_d537e7055
Chur=sächsischen	w7_d537e7058
Offi	w9_d537e7061
ciers	w1_d537e7066
seinen	w3_d537e7069
Geist	w5_d537e7072
aufgab.	w7_d537e7075
Hoch=gedachter	w9_d537e7078
General,	w1_d537e7084
dessen	w3_d537e7087
Beerdigung	w5_d537e7090
ohne	w7_d537e7093
Umstände	w9_d537e7096
in	w1_d537e7101
der	w3_d537e7104
Stille	w5_d537e7107
geschehen,	w7_d537e7110
und	w9_d537e7113
welchen	w11_d537e7116
man	w13_d537e7120
NoT	w1_d537e7125
</p>
<p id="p8_d537e7130">
nur	w1_d537e7134
von	w3_d537e7137
der	w5_d537e7140
guten	w7_d537e7143
Seite	w9_d537e7146
gekannt,	w11_d537e7149
hat	w13_d537e7153
sich	w15_d537e7156
durch	w1_d537e7161
sein	w3_d537e7164
rühmliches,	w5_d537e7167
uneigennütziges,	w7_d537e7170
und	w9_d537e7173
menschliches	w1_d537e7178
Betragen	w3_d537e7181
bey	w5_d537e7184
Freund	w7_d537e7187
und	w9_d537e7190
Feind	w11_d537e7193
ein	w1_d537e7199
unvergeßliches	w3_d537e7202
Andenken	w5_d537e7205
gestiftet.	w7_d537e7208
</p>
<head id="h2_d537e7214">
Aus	w1_d537e7218
Thüringen	w3_d537e7221
11.	w5_d537e7224
Martii.	w7_d537e7227
</head>
<p id="p4_d537e7230">
Die	w1_d537e7234
Affaire	w3_d537e7237
bey	w5_d537e7240
Duderstadt	w7_d537e7243
ist	w9_d537e7246
den	w11_d537e7249
23.	w13_d537e7253
Febr.	w1_d537e7258
paßiret,	w3_d537e7261
die	w5_d537e7264
Besatzung	w7_d537e7267
bestunde	w9_d537e7270
aus	w11_d537e7273
300.	w1_d537e7278
Mann,	w3_d537e7281
1.	w5_d537e7284
Heßischer	w7_d537e7287
Officier	w9_d537e7290
und	w11_d537e7293
einige	w13_d537e7297
Mann	w1_d537e7303
seynd	w3_d537e7306
geblieben,	w5_d537e7309
die	w7_d537e7312
Besatzung	w9_d537e7315
aber	w11_d537e7318
zu	w1_d537e7323
Kriegs=gefangenen	w3_d537e7326
gemacht	w5_d537e7329
worden.	w7_d537e7332
Die	w9_d537e7335
Franzosen	w1_d537e7340
haben	w3_d537e7343
aus	w5_d537e7346
Göttingen	w7_d537e7349
vor	w9_d537e7352
diesem	w11_d537e7355
schon	w1_d537e7360
mehrere	w3_d537e7363
Ausfälle	w5_d537e7366
gewaget,	w7_d537e7369
und	w9_d537e7372
sich	w11_d537e7375
überall	w1_d537e7381
den	w3_d537e7384
Feinden	w5_d537e7387
tapfer	w7_d537e7390
gezeiget;	w9_d537e7393
nun	w11_d537e7396
mehro	w1_d537e7401
aber	w3_d537e7404
wird	w5_d537e7407
Göttingen,	w7_d537e7410
und	w9_d537e7413
besonders	w11_d537e7416
Cassel	w1_d537e7421
immer	w3_d537e7424
näher	w5_d537e7427
eingeschlossen,	w7_d537e7430
daraus	w9_d537e7433
sich	w1_d537e7438
eine	w3_d537e7441
ordentliche	w5_d537e7444
Belagerung	w7_d537e7447
schliessen	w9_d537e7450
las	w11_d537e7453
set,	w1_d537e7459
welche	w3_d537e7462
aber	w5_d537e7465
den	w7_d537e7468
Franzosen	w9_d537e7471
Gelegenheit	w11_d537e7474
geben	w1_d537e7479
wird,	w3_d537e7482
sich	w5_d537e7485
desto	w7_d537e7488
mehr	w9_d537e7491
zu	w11_d537e7494
signalisiren,	w13_d537e7498
als	w1_d537e7503
von	w3_d537e7506
denen	w5_d537e7509
bereits	w7_d537e7512
hin	w9_d537e7515
und	w11_d537e7518
wieder	w13_d537e7522
auch	w15_d537e7525
mancher	w1_d537e7530
vornehme	w3_d537e7533
alliirte	w5_d537e7536
Officier	w7_d537e7539
erleget	w9_d537e7542
worden.	w1_d537e7548
Eschwegen	w3_d537e7551
wird	w5_d537e7554
nun	w7_d537e7557
von	w9_d537e7560
denen	w11_d537e7563
Alliirten	w1_d537e7568
stark	w3_d537e7571
verpalafadiret.	w5_d537e7574
Der	w7_d537e7577
Prinz	w9_d537e7580
Xavier	w1_d537e7585
ist	w3_d537e7588
von	w5_d537e7591
Paris	w7_d537e7594
schon	w9_d537e7597
um	w11_d537e7600
den	w13_d537e7604
3ten	w15_d537e7607
oder	w17_d537e7610
4ten	w1_d537e7615
in	w3_d537e7618
Frankfurt,	w5_d537e7621
und	w7_d537e7624
dem	w9_d537e7627
Vernehmen	w11_d537e7630
nach	w1_d537e7636
in	w3_d537e7639
Würzburg	w5_d537e7642
eingetroffen,	w7_d537e7645
man	w9_d537e7648
zweif	w11_d537e7651
felt	w1_d537e7656
nicht	w3_d537e7659
daran,	w5_d537e7662
wann	w7_d537e7665
nur	w9_d537e7668
die	w11_d537e7671
Trupen	w13_d537e7675
von	w15_d537e7678
Unter=rhein	w1_d537e7683
sich	w3_d537e7686
nähern,	w5_d537e7689
daß	w7_d537e7692
die	w9_d537e7695
Vorruckung	w11_d537e7698
des	w1_d537e7703
Marschalls	w3_d537e7706
Duc	w5_d537e7709
de	w7_d537e7712
Broglie	w9_d537e7715
wieder	w11_d537e7718
ge	w13_d537e7722
schehen	w1_d537e7728
werde.	w3_d537e7731
</p>
<head id="h2_d537e7737">
Dresden	w1_d537e7741
12.	w3_d537e7744
Martii.	w5_d537e7747
</head>
<p id="p4_d537e7750">
Hier	w1_d537e7754
ist	w3_d537e7757
dermalen	w5_d537e7760
alles	w7_d537e7763
marsch=fertig.	w9_d537e7766
Die	w11_d537e7769
Regimenter	w1_d537e7774
aus	w3_d537e7777
Böhmen	w5_d537e7780
seynd	w7_d537e7783
angelanget,	w9_d537e7786
und	w1_d537e7791
das	w3_d537e7794
Beckische	w5_d537e7797
Corps	w7_d537e7800
ist	w9_d537e7803
mit	w11_d537e7806
einigen	w13_d537e7810
der	w15_d537e7813
selben	w1_d537e7819
verstärket	w3_d537e7822
worden.	w5_d537e7825
Der	w7_d537e7828
Herr	w9_d537e7831
Gene	w11_d537e7834
ral	w1_d537e7839
von	w3_d537e7842
Beck	w5_d537e7845
stehet	w7_d537e7848
für	w9_d537e7851
seine	w11_d537e7854
Person	w13_d537e7858
zwar	w15_d537e7861
noch	w1_d537e7866
zu	w3_d537e7869
Neudorf,	w5_d537e7872
hat	w7_d537e7875
aber	w9_d537e7878
am	w11_d537e7881
9ten	w13_d537e7885
Dieses	w15_d537e7888
einige	w1_d537e7893
Regimenter	w3_d537e7896
über	w5_d537e7899
Moritzburg,	w7_d537e7902
in	w9_d537e7905
der	w11_d537e7908
Gegend	w1_d537e7914
von	w3_d537e7917
Radeburg	w5_d537e7920
detaschiret,	w7_d537e7923
allwo	w9_d537e7926
selbige	w1_d537e7931
nicht	w3_d537e7934
lange	w5_d537e7937
müßig	w7_d537e7940
seyn	w9_d537e7943
dürften.	w11_d537e7946
Von	w13_d537e7950
einem	w1_d537e7955
Ubergang	w3_d537e7958
der	w5_d537e7961
Feinde	w7_d537e7964
über	w9_d537e7967
die	w11_d537e7970
Elbe	w13_d537e7974
ist	w15_d537e7977
noch	w1_d537e7982
nichts	w3_d537e7985
zu	w5_d537e7988
spühren,	w7_d537e7991
und	w9_d537e7994
mögen	w11_d537e7997
die	w13_d537e8001
bey	w15_d537e8004
Torgau	w1_d537e8010
befindliche	w3_d537e8013
2.	w5_d537e8016
fliegende	w7_d537e8019
Brücken,	w9_d537e8022
und	w11_d537e8025
die	w1_d537e8030
schleunige	w3_d537e8033
Herstellung	w5_d537e8036
der	w7_d537e8039
dasigen	w9_d537e8042
Elb	w11_d537e8045
</p>
<p id="p6_d537e8048">
brücke	w1_d537e8052
der	w3_d537e8055
Lärm	w5_d537e8058
veranlasset	w7_d537e8061
haben,	w9_d537e8064
dahin	w11_d537e8067
gegen	w1_d537e8072
die	w3_d537e8075
Pontons	w5_d537e8078
noch	w7_d537e8081
zu	w9_d537e8084
Zehren	w11_d537e8087
stehen,	w13_d537e8091
gleichwie	w1_d537e8096
die	w3_d537e8099
Artillerie	w5_d537e8102
bis	w7_d537e8105
diese	w9_d537e8108
Stunde	w11_d537e8111
noch	w13_d537e8115
zu	w1_d537e8121
Leißnig	w3_d537e8124
und	w5_d537e8127
Merseburg	w7_d537e8130
ist.	w9_d537e8133
Das	w11_d537e8136
ehe	w13_d537e8140
dem	w1_d537e8145
prächtige	w3_d537e8148
Königl.	w5_d537e8151
Jagd=schloß	w7_d537e8154
Huber	w9_d537e8157
tusburg	w1_d537e8162
wird,	w3_d537e8165
nachdem	w5_d537e8168
es	w7_d537e8171
völlig	w9_d537e8174
ausgerau	w11_d537e8177
bet	w1_d537e8182
worden,	w3_d537e8185
zu	w5_d537e8188
Aufbehaltung	w7_d537e8191
eines	w9_d537e8194
Maga	w11_d537e8197
zins	w1_d537e8203
gebrauchet.	w3_d537e8206
Sogar	w5_d537e8209
das	w7_d537e8212
Dach	w9_d537e8215
ist	w11_d537e8218
nicht	w13_d537e8222
verschonet	w1_d537e8227
worden.	w3_d537e8230
Der	w5_d537e8233
Herr	w7_d537e8236
General	w9_d537e8239
Graf	w11_d537e8242
Quasco	w1_d537e8247
ist	w3_d537e8250
aus	w5_d537e8253
dem	w7_d537e8256
Voigt=lande	w9_d537e8259
bis	w11_d537e8262
Zwickau	w13_d537e8266
vorgerucket,	w1_d537e8271
die	w3_d537e8274
in	w5_d537e8277
dasigen	w7_d537e8280
Gegenden	w9_d537e8283
gestan	w11_d537e8286
dene	w1_d537e8292
Preussen	w3_d537e8295
aber	w5_d537e8298
haben	w7_d537e8301
sich	w9_d537e8304
nach	w11_d537e8307
Leipzig	w13_d537e8311
zu	w15_d537e8314
gezogen.	w1_d537e8319
Gedachte	w3_d537e8322
Preussen	w5_d537e8325
haben	w7_d537e8328
vor	w9_d537e8331
ei	w11_d537e8334
niger	w1_d537e8339
Zeit,	w3_d537e8342
dem	w5_d537e8345
Vernehmen	w7_d537e8348
nach,	w9_d537e8351
zu	w11_d537e8354
Mag	w13_d537e8358
deburg,	w1_d537e8363
Gera,	w3_d537e8366
und	w5_d537e8369
anderen	w7_d537e8372
Orten	w9_d537e8375
Victorie	w11_d537e8378
geschossen,	w1_d537e8384
es	w3_d537e8387
kan	w5_d537e8390
aber	w7_d537e8393
niemand	w9_d537e8396
begreiffen,	w11_d537e8399
was	w1_d537e8404
den	w3_d537e8407
Anlaß	w5_d537e8410
darzu	w7_d537e8413
gegeben	w9_d537e8416
haben	w11_d537e8419
möchte	w13_d537e8423
Fortsetzung	w1_d537e8428
des	w3_d537e8431
Journals	w5_d537e8434
der	w7_d537e8437
Kön.	w9_d537e8440
</p>
<head id="h2_d537e8446">
Französischen	w1_d537e8450
Kriegs=operationen	w3_d537e8453
vom	w1_d537e8458
13.	w3_d537e8461
bis	w5_d537e8464
24.	w7_d537e8467
Febr.	w9_d537e8470
</head>
<p id="p4_d537e8473">
Die	w1_d537e8477
von	w3_d537e8480
Hirschfeld,	w5_d537e8483
Friedwald,	w7_d537e8486
und	w9_d537e8489
Mansbach,	w1_d537e8494
wo	w3_d537e8497
das	w5_d537e8500
Sächsische	w7_d537e8503
Corps	w9_d537e8506
sich	w11_d537e8509
hingezogen	w1_d537e8514
hatte,	w3_d537e8517
aufgebrochene	w5_d537e8520
Kriegs	w7_d537e8523
völker	w1_d537e8529
verfügten	w3_d537e8532
sich	w5_d537e8535
den	w7_d537e8538
20.	w9_d537e8541
in	w11_d537e8544
der	w13_d537e8548
Fruhe	w15_d537e8551
nach	w1_d537e8556
Hünefeld,	w3_d537e8559
das	w5_d537e8562
Corps	w7_d537e8565
des	w9_d537e8568
Herrn	w11_d537e8571
Stainville	w1_d537e8576
aber	w3_d537e8579
nach	w5_d537e8582
Mittelsbach;	w7_d537e8585
dort	w9_d537e8588
wollte	w1_d537e8593
der	w3_d537e8596
Herr	w5_d537e8599
Marschall	w7_d537e8602
sie	w9_d537e8605
wieder	w11_d537e8608
ver	w13_d537e8612
sammlen.	w1_d537e8618
Als	w3_d537e8621
uns	w5_d537e8624
die	w7_d537e8627
Feinde	w9_d537e8630
nicht	w11_d537e8633
ver	w13_d537e8637
folgten,	w1_d537e8642
auch	w3_d537e8645
die	w5_d537e8648
Geschwindigkeit	w7_d537e8651
dieser	w9_d537e8654
Be	w11_d537e8657
wegung	w1_d537e8662
uns	w3_d537e8665
Gelegenheit	w5_d537e8668
gab,	w7_d537e8671
zu	w9_d537e8674
rechter	w11_d537e8677
Zeit	w1_d537e8682
zu	w3_d537e8685
Fulda	w5_d537e8688
einzutreffen,	w7_d537e8691
befand	w9_d537e8694
der	w11_d537e8697
Herr	w13_d537e8701
Marschall	w1_d537e8707
für	w3_d537e8710
gut,	w5_d537e8713
die	w7_d537e8716
Trupen	w9_d537e8719
diesen	w11_d537e8722
Tag	w13_d537e8726
zu	w15_d537e8729
Hünefeld,	w1_d537e8734
und	w3_d537e8737
an	w5_d537e8740
den	w7_d537e8743
verschiedenen	w9_d537e8746
ihnen	w11_d537e8749
angewiesenen	w1_d537e8754
Plätzen	w3_d537e8757
zu	w5_d537e8760
lassen.	w7_d537e8763
Nach	w9_d537e8766
allen	w11_d537e8769
zu	w1_d537e8774
dem	w3_d537e8777
morgenden	w5_d537e8780
Marsch	w7_d537e8783
ausgetheilten	w9_d537e8786
Ordres,	w1_d537e8792
erhoben	w3_d537e8795
sich	w5_d537e8798
den	w7_d537e8801
20.	w9_d537e8804
Abends	w11_d537e8807
der	w13_d537e8811
Herr	w1_d537e8816
Marschall	w3_d537e8819
selbst	w5_d537e8822
nach	w7_d537e8825
Fulda,	w9_d537e8828
daselbst	w11_d537e8831
trafen	w1_d537e8836
sie	w3_d537e8839
den	w5_d537e8842
Herrn	w7_d537e8845
Grafen	w9_d537e8848
v.	w11_d537e8851
Soupire	w13_d537e8855
an,	w15_d537e8858
der	w1_d537e8863
alle	w3_d537e8866
in	w5_d537e8869
dem	w7_d537e8872
Fuldischen	w9_d537e8875
cantonirende	w11_d537e8878
Reu	w13_d537e8882
terey	w1_d537e8888
zusammen	w3_d537e8891
zoge,	w5_d537e8894
nebst	w7_d537e8897
dem	w9_d537e8900
Herrn	w11_d537e8903
Rit	w13_d537e8907
ter	w1_d537e8912
von	w3_d537e8915
Nanclas,	w5_d537e8918
der	w7_d537e8921
16.	w9_d537e8924
Escadrons,	w11_d537e8927
die	w13_d537e8931
vorher	w1_d537e8936
in	w3_d537e8939
das	w5_d537e8942
Bistum	w7_d537e8945
Würzburg	w9_d537e8948
gegangen	w11_d537e8951
</p>
<p id="p10_d537e8964">
waren,	w1_d537e8968
herbey	w3_d537e8971
brachte.	w5_d537e8974
Den	w7_d537e8977
21.	w9_d537e8980
war	w11_d537e8983
noch	w13_d537e8987
das	w1_d537e8992
Haupt=quartier	w3_d537e8995
zu	w5_d537e8998
mehr	w7_d537e9001
gedachtem	w9_d537e9004
Ful	w11_d537e9007
da;	w1_d537e9012
der	w3_d537e9015
Bericht	w5_d537e9018
lief	w7_d537e9021
ein:	w9_d537e9024
daß	w11_d537e9027
der	w13_d537e9031
Prinz	w15_d537e9034
Fer	w17_d537e9037
dinand	w1_d537e9043
mit	w3_d537e9046
einem	w5_d537e9049
starken	w7_d537e9052
Corps,	w9_d537e9055
und	w11_d537e9058
vielem	w13_d537e9062
Geschütz	w1_d537e9067
die	w3_d537e9070
Schwalm	w5_d537e9073
oberhalb	w7_d537e9076
Ziegenhayn	w9_d537e9079
paßiret	w1_d537e9084
seye,	w3_d537e9087
er	w5_d537e9090
schiene	w7_d537e9093
sich	w9_d537e9096
gegen	w11_d537e9099
Marburg	w13_d537e9103
zu	w1_d537e9108
wenden.	w3_d537e9111
Jnzwischen	w5_d537e9114
aber	w7_d537e9117
ruckte	w9_d537e9120
der	w11_d537e9123
Erb	w13_d537e9127
prinz	w1_d537e9133
gegen	w3_d537e9136
das	w5_d537e9139
linke	w7_d537e9142
Ufer	w9_d537e9145
der	w11_d537e9148
Schwalm	w13_d537e9152
an	w15_d537e9155
Den	w1_d537e9160
22.	w3_d537e9163
wäre	w5_d537e9166
er	w7_d537e9169
zu	w9_d537e9172
Schlitz	w11_d537e9175
eingetroffen.	w13_d537e9179
Zu	w15_d537e9182
gleicher	w1_d537e9187
Zeit	w3_d537e9190
sey	w5_d537e9193
auch	w7_d537e9196
das	w9_d537e9199
Corps	w11_d537e9202
des	w13_d537e9206
Genera	w15_d537e9209
lens	w1_d537e9214
Spörken,	w3_d537e9217
nachdem	w5_d537e9220
es	w7_d537e9223
bey	w9_d537e9226
Vacha	w11_d537e9229
die	w13_d537e9233
Wer	w15_d537e9236
ra	w1_d537e9242
zuruck	w3_d537e9245
geleget,	w5_d537e9248
an	w7_d537e9251
dem	w9_d537e9254
rechten	w11_d537e9257
Ufer	w13_d537e9261
der	w15_d537e9264
Fulda	w1_d537e9269
bey	w3_d537e9272
Hünefeld	w5_d537e9275
vorgeruckt.	w7_d537e9278
Ungeach	w9_d537e9281
tet	w1_d537e9286
der	w3_d537e9289
Herr	w5_d537e9292
Marschall	w7_d537e9295
seit	w9_d537e9298
dem	w11_d537e9301
22sten	w13_d537e9305
den	w15_d537e9308
Rest	w1_d537e9313
des	w3_d537e9316
Sächsischen	w5_d537e9319
Corps	w7_d537e9322
nach	w9_d537e9325
Neuhof	w11_d537e9328
ziehen	w1_d537e9334
liesse,	w3_d537e9337
um	w5_d537e9340
den	w7_d537e9343
Paß	w9_d537e9346
in	w11_d537e9349
das	w13_d537e9353
Kinz=thal	w15_d537e9356
zu	w1_d537e9361
versperren,	w3_d537e9364
beschlosse	w5_d537e9367
er	w7_d537e9370
dannoch	w9_d537e9373
dorthin	w11_d537e9376
mit	w1_d537e9381
der	w3_d537e9384
ganzen	w5_d537e9387
Kriegs=macht	w7_d537e9390
aufzubrechen,	w9_d537e9393
und	w1_d537e9398
alle	w3_d537e9401
Völker	w5_d537e9404
bey	w7_d537e9407
Hanau,	w9_d537e9410
und	w11_d537e9413
an	w13_d537e9417
dem	w15_d537e9420
Mayn=strome	w1_d537e9426
wieder	w3_d537e9429
zu	w5_d537e9432
versammeln.	w7_d537e9435
Er	w9_d537e9438
ertheilte	w1_d537e9443
auch	w3_d537e9446
bereits	w5_d537e9449
dem	w7_d537e9452
Herrn	w9_d537e9455
Marquis	w11_d537e9458
von	w1_d537e9463
Rouge,	w3_d537e9466
der	w5_d537e9469
in	w7_d537e9472
der	w9_d537e9475
ganzen	w11_d537e9478
Gegend	w13_d537e9482
von	w15_d537e9485
Marburg	w1_d537e9490
commandirte,	w3_d537e9493
für	w5_d537e9496
alle	w7_d537e9499
gegenwär	w9_d537e9502
tige	w1_d537e9508
und	w3_d537e9511
etwann	w5_d537e9514
künftige	w7_d537e9517
Begebenheiten,	w9_d537e9520
die	w11_d537e9523
nöhtige	w1_d537e9528
Verhaltungs=befehle.	w3_d537e9531
Hierauf	w5_d537e9534
wol	w7_d537e9537
te	w1_d537e9542
der	w3_d537e9545
Herr	w5_d537e9548
Marschall	w7_d537e9551
Fulda	w9_d537e9554
verlassen,	w11_d537e9557
und	w13_d537e9561
auf	w1_d537e9566
dem	w3_d537e9569
kürzesten	w5_d537e9572
Wege	w7_d537e9575
dem	w9_d537e9578
Mayn=strom	w11_d537e9581
sich	w1_d537e9587
nähern,	w3_d537e9590
während	w5_d537e9593
deme	w7_d537e9596
musten	w9_d537e9599
die	w11_d537e9602
Sach	w13_d537e9606
sen	w1_d537e9611
durch	w3_d537e9614
das	w5_d537e9617
Kinz=thal	w7_d537e9620
gehen,	w9_d537e9623
ihr	w11_d537e9626
Hinter	w13_d537e9630
treffen	w1_d537e9635
schloß	w3_d537e9638
sich	w5_d537e9641
an	w7_d537e9644
den	w9_d537e9647
Herrn	w11_d537e9650
v.	w13_d537e9654
Stainville	w15_d537e9657
zu	w1_d537e9662
Gelnhausen	w3_d537e9665
sollten	w5_d537e9668
sie	w7_d537e9671
den	w9_d537e9674
Herrn	w11_d537e9677
Marquis	w13_d537e9681
von	w1_d537e9687
St.	w3_d537e9690
Chamans	w5_d537e9693
antreffen,	w7_d537e9696
der	w9_d537e9699
mit	w11_d537e9702
einer	w13_d537e9706
Brigade	w1_d537e9711
Teutscher	w3_d537e9714
Reuterey	w5_d537e9717
sich	w7_d537e9720
dahin	w9_d537e9723
zoge.	w11_d537e9726
Mittelst	w1_d537e9731
dieser	w3_d537e9734
Anordnungen	w5_d537e9737
brachen	w7_d537e9740
den	w9_d537e9743
23.	w11_d537e9746
fruh	w1_d537e9751
um	w3_d537e9754
9.	w5_d537e9757
Uhr	w7_d537e9760
der	w9_d537e9763
Herr	w11_d537e9766
Marschall	w13_d537e9770
mit	w15_d537e9773
24.	w17_d537e9776
Bataillons,	w1_d537e9782
16.	w3_d537e9785
Escadrons,	w5_d537e9788
allen	w7_d537e9791
leichten	w9_d537e9794
Völkern,	w1_d537e9799
und	w3_d537e9802
den	w5_d537e9805
Freywilligen	w7_d537e9808
auf.	w9_d537e9811
Der	w11_d537e9814
Marsch	w1_d537e9819
gieng	w3_d537e9822
in	w5_d537e9825
einer	w7_d537e9828
Colonne	w9_d537e9831
mit	w11_d537e9834
einem	w13_d537e9838
starken	w1_d537e9843
Hinter=treffen,	w3_d537e9846
so	w5_d537e9849
die	w7_d537e9852
Herren	w9_d537e9855
Bri	w11_d537e9858
gadiers,	w1_d537e9864
Grafen	w3_d537e9867
von	w5_d537e9870
Diesbach	w7_d537e9873
und	w9_d537e9876
Lamet,	w11_d537e9879
anführten.	w1_d537e9884
Ungeachtet	w3_d537e9887
die	w5_d537e9890
Feinde	w7_d537e9893
einige	w9_d537e9896
Schaaren	w1_d537e9901
von	w3_d537e9904
Jägern	w5_d537e9907
und	w7_d537e9910
Hussaren	w9_d537e9913
auf	w11_d537e9916
den	w13_d537e9920
Höhen	w1_d537e9925
jenseits	w3_d537e9928
der	w5_d537e9931
Fulda	w7_d537e9934
schwärmen	w9_d537e9937
liessen,	w11_d537e9940
</p>
<p id="p12_d537e9944">
getrauten	w1_d537e9948
sie	w3_d537e9951
sich	w5_d537e9954
doch	w7_d537e9957
nicht	w9_d537e9960
unser	w11_d537e9963
Hintertref	w13_d537e9967
fen	w1_d537e9972
zu	w3_d537e9975
beunruhigen.	w5_d537e9978
Den	w7_d537e9981
23.	w9_d537e9984
Abends	w11_d537e9987
can	w13_d537e9991
tonirten	w1_d537e9996
alle	w3_d537e9999
Kriegs=völker	w5_d537e10002
zu	w7_d537e10005
Weidenau,	w9_d537e10008
und	w1_d537e10014
in	w3_d537e10017
der	w5_d537e10020
dortigen	w7_d537e10023
Gegend.	w9_d537e10026
Den	w11_d537e10029
24.	w13_d537e10033
lief	w15_d537e10036
auch	w1_d537e10041
der	w3_d537e10044
Marsch	w5_d537e10047
nach	w7_d537e10050
Birstein	w9_d537e10053
ganz	w11_d537e10056
ruhig	w13_d537e10060
ab.	w1_d537e10065
