<doc id="wr_1760-05-10" attrs="word" year="1760" month="05" day="10" corpus="2">
<head id="h2_d448e2992">
Konitz	w1_d448e2996
dem	w7_d448e6660
Vorwand,	w9_d448e6663
sie	w1_d448e6668
seyen	w3_d448e6671
beordert,	w5_d448e6674
daselbsten	w7_d448e6677
zu	w9_d448e6680
visitiren.	w11_d448e6683
Sie	w1_d448e6688
verlangten	w3_d448e6691
dahero	w5_d448e6694
an	w7_d448e6697
den	w9_d448e6700
daselbst	w11_d448e6703
woh	w13_d448e6707
nenden	w1_d448e6712
Beamten,	w3_d448e6715
in	w5_d448e6718
höflichen	w7_d448e6721
Ausdrücken,	w9_d448e6724
er	w1_d448e6730
mögte	w3_d448e6733
ihnen	w5_d448e6736
ein	w7_d448e6739
Attestat	w9_d448e6742
geben,	w11_d448e6745
wormit	w13_d448e6749
sie	w1_d448e6754
sich	w3_d448e6757
rechtfertigen	w5_d448e6760
könnten,	w7_d448e6763
daß	w9_d448e6766
sie	w11_d448e6769
ihrer	w13_d448e6773
aufhabenden	w1_d448e6778
Ordres	w3_d448e6781
gemäß,	w5_d448e6784
da	w7_d448e6787
gewesen,	w9_d448e6790
und	w1_d448e6795
visitiret	w3_d448e6798
hätten;	w5_d448e6801
der	w7_d448e6804
Beamte,	w9_d448e6807
so	w11_d448e6810
bey	w13_d448e6814
jetzigen	w1_d448e6820
Umständen	w3_d448e6823
mehrmalen	w5_d448e6826
dergleichen	w7_d448e6829
thun	w1_d448e6834
müssen,	w3_d448e6837
stellte	w5_d448e6840
dieses	w7_d448e6843
Angeben	w9_d448e6846
um	w11_d448e6849
so	w13_d448e6853
weniger	w1_d448e6858
in	w3_d448e6861
Zweifel,	w5_d448e6864
da	w7_d448e6867
sich	w9_d448e6870
sothane	w11_d448e6873
Rotte	w13_d448e6877
in	w1_d448e6882
Ordnung,	w3_d448e6885
und	w5_d448e6888
das	w7_d448e6891
Gewehr	w9_d448e6894
bey	w11_d448e6897
den	w13_d448e6901
Fuß	w15_d448e6904
gestellet,	w1_d448e6910
auch	w3_d448e6913
etliche	w5_d448e6916
derselben	w7_d448e6919
auf	w9_d448e6922
Zwerch	w11_d448e6925
pfeifen	w1_d448e6930
gepfiffen	w3_d448e6933
hatten,	w5_d448e6936
und	w7_d448e6939
er	w9_d448e6942
überdies	w11_d448e6945
auch	w1_d448e6950
nicht	w3_d448e6953
wuste,	w5_d448e6956
auf	w7_d448e6959
welch	w9_d448e6962
unerlaubte	w11_d448e6965
Weise	w13_d448e6969
die	w1_d448e6974
Mauer	w3_d448e6977
überstiegen,	w5_d448e6980
und	w7_d448e6983
die	w9_d448e6986
am	w11_d448e6989
Thor	w13_d448e6993
wohnende	w1_d448e6999
alte	w3_d448e7002
Jnvaliden	w5_d448e7005
fest	w7_d448e7008
gemacht	w9_d448e7011
wor	w11_d448e7014
den.	w1_d448e7019
Er	w3_d448e7022
eröfnete	w5_d448e7025
demnach	w7_d448e7028
ohne	w9_d448e7031
weitern	w11_d448e7034
Anstand,	w1_d448e7039
auf	w3_d448e7042
Begehren	w5_d448e7045
des	w7_d448e7048
angeblichen	w9_d448e7051
Officiers	w1_d448e7056
die	w3_d448e7059
Haus=thür,	w5_d448e7062
und	w7_d448e7065
begab	w9_d448e7068
sich	w11_d448e7071
mit	w13_d448e7075
etlichen	w1_d448e7081
in	w3_d448e7084
seine	w5_d448e7087
Schreib=stube,	w7_d448e7090
um	w9_d448e7093
das	w11_d448e7096
verlangte	w1_d448e7101
Attestat	w3_d448e7104
zu	w5_d448e7107
schreiben;	w7_d448e7110
allein	w9_d448e7113
diese	w11_d448e7116
Räuber	w1_d448e7121
verlangten	w3_d448e7124
nichts	w5_d448e7127
weniger	w7_d448e7130
als	w9_d448e7133
ein	w11_d448e7136
Attestat,	w1_d448e7141
sondern	w3_d448e7144
forderten	w5_d448e7147
nunmehro	w7_d448e7150
mit	w9_d448e7153
Ungestümm	w1_d448e7159
das	w3_d448e7162
Herrschaftliche	w5_d448e7165
Geld;	w7_d448e7168
hier	w9_d448e7171
sahe	w1_d448e7176
daher	w3_d448e7179
erst	w5_d448e7182
der	w7_d448e7185
hintergangene	w9_d448e7188
Beamte,	w11_d448e7191
mit	w1_d448e7196
weme	w3_d448e7199
er	w5_d448e7202
zu	w7_d448e7205
thun,	w9_d448e7208
suchte	w11_d448e7211
sich	w13_d448e7215
zu	w15_d448e7218
weh	w17_d448e7221
ren,	w1_d448e7226
und	w3_d448e7229
stürzte	w5_d448e7232
etliche	w7_d448e7235
auf	w9_d448e7238
den	w11_d448e7241
Boden;	w13_d448e7245
al	w15_d448e7248
lein	w1_d448e7254
die	w3_d448e7257
Räuber	w5_d448e7260
ruften	w7_d448e7263
ihre	w9_d448e7266
Diebs=gesellen	w11_d448e7269
zu	w1_d448e7274
Hülfe,	w3_d448e7277
deren	w5_d448e7280
dann	w7_d448e7283
bey	w9_d448e7286
die	w11_d448e7289
30.	w13_d448e7293
bis	w15_d448e7296
40.	w17_d448e7299
Mann	w1_d448e7304
in	w3_d448e7307
das	w5_d448e7310
Haus	w7_d448e7313
stürmten,	w9_d448e7316
banden	w11_d448e7319
al	w13_d448e7323
len	w1_d448e7328
darinnen	w3_d448e7331
befindlichen	w5_d448e7334
Personen,	w7_d448e7337
die	w9_d448e7340
zwey	w11_d448e7343
kleinste	w1_d448e7349
Kinder	w3_d448e7352
ausgenommen,	w5_d448e7355
die	w7_d448e7358
Hände	w9_d448e7361
auf	w1_d448e7366
den	w3_d448e7369
Rücken,	w5_d448e7372
und	w7_d448e7375
einen	w9_d448e7378
Fuß	w11_d448e7381
hinter	w13_d448e7385
sich	w15_d448e7388
an	w1_d448e7393
die	w3_d448e7396
gebundene	w5_d448e7399
Hände,	w7_d448e7402
schlugen	w9_d448e7405
sodann	w11_d448e7408
mit	w1_d448e7413
entsetzlichen	w3_d448e7416
Prügeln,	w5_d448e7419
deren	w7_d448e7422
sich	w9_d448e7425
hernach	w11_d448e7428
bey	w1_d448e7434
30.	w3_d448e7437
Stück	w5_d448e7440
in	w7_d448e7443
dem	w9_d448e7446
Haus	w11_d448e7449
und	w13_d448e7453
Hof	w15_d448e7456
ge	w17_d448e7459
funden,	w1_d448e7464
alle	w3_d448e7467
gebundene	w5_d448e7470
Personen	w7_d448e7473
auf	w9_d448e7476
die	w11_d448e7479
grausamste	w1_d448e7484
Weise,	w3_d448e7487
und	w5_d448e7490
verlangten	w7_d448e7493
von	w9_d448e7496
ih	w11_d448e7499
nen	w1_d448e7504
</p>
<p id="p10_d448e7509">
nen	w1_d448e7513
das	w3_d448e7516
Herrschaftliche	w5_d448e7519
Geld,	w7_d448e7522
insbesondere	w9_d448e7525
wurde	w1_d448e7530
der	w3_d448e7533
Beamte,	w5_d448e7536
ob	w7_d448e7539
er	w9_d448e7542
ihnen	w11_d448e7545
gleichwo	w13_d448e7549
len	w1_d448e7554
alles	w3_d448e7557
Geld,	w5_d448e7560
so	w7_d448e7563
er	w9_d448e7566
wuste	w11_d448e7569
und	w13_d448e7573
hatte,	w15_d448e7576
ge	w17_d448e7579
sagt	w1_d448e7585
und	w3_d448e7588
gegeben,	w5_d448e7591
gar	w7_d448e7594
erschröcklich	w9_d448e7597
mißhan	w11_d448e7600
delt,	w1_d448e7605
dann	w3_d448e7608
es	w5_d448e7611
ware	w7_d448e7614
denen	w9_d448e7617
Mördern	w11_d448e7620
nicht	w13_d448e7624
genug,	w1_d448e7629
Kopf,	w3_d448e7632
Gesicht,	w5_d448e7635
ganzen	w7_d448e7638
Leib,	w9_d448e7641
Hände	w11_d448e7644
und	w1_d448e7649
Füsse	w3_d448e7652
blau	w5_d448e7655
und	w7_d448e7658
schwarz	w9_d448e7661
zu	w11_d448e7664
schlagen,	w13_d448e7668
sondern	w1_d448e7674
sie	w3_d448e7677
hänkten	w5_d448e7680
ihn	w7_d448e7683
zweymal	w9_d448e7686
mit	w11_d448e7689
einem	w13_d448e7693
Strick	w1_d448e7698
um	w3_d448e7701
den	w5_d448e7704
Hals	w7_d448e7707
in	w9_d448e7710
der	w11_d448e7713
Stuben	w13_d448e7717
auf,	w15_d448e7720
so	w1_d448e7725
daß	w3_d448e7728
der	w5_d448e7731
Strick	w7_d448e7734
in	w9_d448e7737
den	w11_d448e7740
Hals	w13_d448e7744
dermassen	w15_d448e7747
geschnitten,	w1_d448e7752
als	w3_d448e7755
ob	w5_d448e7758
es	w7_d448e7761
mit	w9_d448e7764
einem	w11_d448e7767
Messer	w13_d448e7771
geschehen,	w1_d448e7777
und	w3_d448e7780
mit	w5_d448e7783
einem	w7_d448e7786
Wort,	w9_d448e7789
nur	w11_d448e7792
noch	w13_d448e7796
ein	w1_d448e7801
Augenblick	w3_d448e7804
zwischen	w5_d448e7807
Tod	w7_d448e7810
und	w9_d448e7813
Leben	w11_d448e7816
ware.	w13_d448e7820
Es	w1_d448e7825
würde	w3_d448e7828
allzuweitläuftig	w5_d448e7831
seyn,	w7_d448e7834
wann	w9_d448e7837
man	w11_d448e7840
alle	w1_d448e7845
Stücke	w3_d448e7848
der	w5_d448e7851
verübten	w7_d448e7854
Grausamkeit	w9_d448e7857
erzeh	w11_d448e7860
len	w1_d448e7866
solte.	w3_d448e7869
Hiernächst	w5_d448e7872
giengen	w7_d448e7875
diese	w9_d448e7878
Mör	w11_d448e7881
der	w1_d448e7886
mit	w3_d448e7889
brennenden	w5_d448e7892
Stroh=fackeln	w7_d448e7895
in	w9_d448e7898
dem	w11_d448e7901
ganzen	w1_d448e7906
Haus	w3_d448e7909
herum,	w5_d448e7912
schlugen	w7_d448e7915
mit	w9_d448e7918
Gewalt	w11_d448e7921
die	w1_d448e7926
Cammern,	w3_d448e7929
Schränke,	w5_d448e7932
Coffer	w7_d448e7935
und	w9_d448e7938
Kü	w11_d448e7941
sten	w1_d448e7947
ein,	w3_d448e7950
und	w5_d448e7953
raubten	w7_d448e7956
alles,	w9_d448e7959
was	w11_d448e7962
ihnen	w13_d448e7966
vor	w15_d448e7969
kame,	w1_d448e7974
sogar	w3_d448e7977
alte	w5_d448e7980
Kleider,	w7_d448e7983
daß	w9_d448e7986
etliche	w11_d448e7989
nichts	w13_d448e7993
als	w1_d448e7998
nur	w3_d448e8001
ein	w5_d448e8004
Hemd	w7_d448e8007
auf	w9_d448e8010
dem	w11_d448e8013
Leib	w13_d448e8017
behielten	w15_d448e8020
Die	w1_d448e8025
hohe	w3_d448e8028
Königl.	w5_d448e8031
Französische	w7_d448e8034
Generalität	w9_d448e8037
verdienet	w1_d448e8043
bey	w3_d448e8046
diesem	w5_d448e8049
Vorfall	w7_d448e8052
den	w9_d448e8055
grösten	w11_d448e8058
Ruhm,	w1_d448e8063
dann	w3_d448e8066
kaum	w5_d448e8069
hatte	w7_d448e8072
sie	w9_d448e8075
von	w11_d448e8078
dieser	w13_d448e8082
er	w15_d448e8085
schröcklichen	w1_d448e8090
That	w3_d448e8093
gehöret,	w5_d448e8096
so	w7_d448e8099
sind	w9_d448e8102
gleich	w11_d448e8105
an	w1_d448e8110
all	w3_d448e8113
Commandanten	w5_d448e8116
Ordres	w7_d448e8119
ergangen,	w9_d448e8122
diesen	w1_d448e8128
Räubern	w3_d448e8131
nachzueilen,	w5_d448e8134
die	w7_d448e8137
Waldun	w9_d448e8140
gen	w1_d448e8145
zu	w3_d448e8148
visitiren,	w5_d448e8151
und	w7_d448e8154
alle	w9_d448e8157
verdächtige	w11_d448e8160
Perso	w13_d448e8164
nen,	w1_d448e8169
so	w3_d448e8172
mit	w5_d448e8175
keinen	w7_d448e8178
Pässen	w9_d448e8181
versehen,	w11_d448e8184
einzu	w13_d448e8188
ziehen,	w1_d448e8193
wie	w3_d448e8196
dann	w5_d448e8199
vor	w7_d448e8202
einigen	w9_d448e8205
Tagen,	w11_d448e8208
zwey	w13_d448e8212
Wägen	w1_d448e8218
voll	w3_d448e8221
solcher	w5_d448e8224
Leute	w7_d448e8227
alhier	w9_d448e8230
eingebracht	w11_d448e8233
worden.	w1_d448e8238
Man	w3_d448e8241
hoffet	w5_d448e8244
dahero,	w7_d448e8247
wann	w9_d448e8250
alle	w11_d448e8253
Obrigkeiten	w1_d448e8258
ihrer	w3_d448e8261
Seits	w5_d448e8264
diesem	w7_d448e8267
löblichen	w9_d448e8270
Beyspiel	w1_d448e8275
folgen,	w3_d448e8278
und	w5_d448e8281
nicht	w7_d448e8284
minder	w9_d448e8287
besorgt	w11_d448e8290
sind,	w1_d448e8296
daß	w3_d448e8299
im	w5_d448e8302
Betrettungs=fall	w7_d448e8305
dergleichen	w9_d448e8308
mörderisches	w1_d448e8313
Raub=gesindel	w3_d448e8316
eingebracht,	w5_d448e8319
und	w7_d448e8322
nach	w1_d448e8327
Verdienst	w3_d448e8330
gestraft	w5_d448e8333
wird,	w7_d448e8336
man	w9_d448e8339
in	w11_d448e8342
un	w13_d448e8346
seren	w1_d448e8351
und	w3_d448e8354
anderen	w5_d448e8357
Gegenden	w7_d448e8360
wiederum	w9_d448e8363
sicher	w11_d448e8366
seyn	w1_d448e8372
werde.	w3_d448e8375
</p>
<head id="h2_d448e8381">
Handver	w1_d448e8385
25.	w3_d448e8388
April.	w5_d448e8391
</head>
<p id="p4_d448e8394">
Für	w1_d448e8398
die	w3_d448e8401
aus	w5_d448e8404
England	w7_d448e8407
erwartete	w9_d448e8410
neue	w11_d448e8413
Tru	w13_d448e8417
pen	w1_d448e8422
ist	w3_d448e8425
die	w5_d448e8428
Fläche	w7_d448e8431
bey	w9_d448e8434
Tunnern	w11_d448e8437
unweit	w13_d448e8441
Ham	w15_d448e8444
</p>
<p id="p6_d448e8447">
mein	w1_d448e8451
zum	w3_d448e8454
Sammel=platz	w5_d448e8457
bestimmet,	w7_d448e8460
alno	w9_d448e8463
für	w1_d448e8468
selbe	w3_d448e8471
allbereits	w5_d448e8474
ein	w7_d448e8477
bequemes	w9_d448e8480
Lager	w11_d448e8483
ab	w13_d448e8487
gestochen	w1_d448e8492
worden,	w3_d448e8495
in	w5_d448e8498
welchem	w7_d448e8501
sie	w9_d448e8504
bis	w11_d448e8507
auf	w13_d448e8511
weitere	w1_d448e8517
Befehle	w3_d448e8520
verharren	w5_d448e8523
werden.	w7_d448e8526
Jndes	w9_d448e8529
sen	w1_d448e8534
ist	w3_d448e8537
man	w5_d448e8540
zu	w7_d448e8543
Hammeln	w9_d448e8546
beschäftiget	w11_d448e8549
alle	w13_d448e8553
mögliche	w1_d448e8558
Anstalten	w3_d448e8561
zu	w5_d448e8564
machen,	w7_d448e8567
damit	w9_d448e8570
diese	w11_d448e8573
Trupen	w1_d448e8578
nach	w3_d448e8581
ihrer	w5_d448e8584
beschehenen	w7_d448e8587
Ankunft	w9_d448e8590
al	w11_d448e8593
les	w1_d448e8599
was	w3_d448e8602
sie	w5_d448e8605
nöhtig	w7_d448e8608
haben,	w9_d448e8611
in	w11_d448e8614
Bereitschaft	w13_d448e8618
finden	w1_d448e8623
möchten.	w3_d448e8626
Frankreich	w5_d448e8629
hat	w7_d448e8632
endlich	w9_d448e8635
ernstlich	w1_d448e8640
entschlossen	w3_d448e8643
ihre	w5_d448e8646
Kriegs=gefangene.	w7_d448e8649
so	w1_d448e8654
wir	w3_d448e8657
in	w5_d448e8660
diesem	w7_d448e8663
Lande	w9_d448e8666
haben	w11_d448e8669
auszulösen,	w13_d448e8673
zu	w15_d448e8676
wessen	w1_d448e8682
Ende	w3_d448e8685
dieselbe	w5_d448e8688
allbereits	w7_d448e8691
nacher	w9_d448e8694
Dor	w11_d448e8697
sten	w1_d448e8702
abgeführet	w3_d448e8705
worden.	w5_d448e8708
Wir	w7_d448e8711
vernehmen	w9_d448e8714
von	w1_d448e8719
Paderborn,	w3_d448e8722
daß	w5_d448e8725
der	w7_d448e8728
Land=graf	w9_d448e8731
von	w11_d448e8734
Hes	w13_d448e8738
sen=cassel	w1_d448e8743
den	w3_d448e8746
11.	w5_d448e8749
dieses	w7_d448e8752
Monats	w9_d448e8755
alldorten	w11_d448e8758
angekommen,	w1_d448e8764
und	w3_d448e8767
von	w5_d448e8770
dem	w7_d448e8773
Herzog	w9_d448e8776
Ferdi	w11_d448e8779
nand,	w1_d448e8784
und	w3_d448e8787
Erb=prinzen	w5_d448e8790
von	w7_d448e8793
Braunschweig	w9_d448e8796
mit	w1_d448e8801
allen	w3_d448e8804
seiner	w5_d448e8807
Geburt	w7_d448e8810
gebührenden	w9_d448e8813
Ehren	w11_d448e8816
bezeigungen	w1_d448e8821
empfangen	w3_d448e8824
worden,	w5_d448e8827
den	w7_d448e8830
17ten	w9_d448e8833
aber	w1_d448e8839
schon	w3_d448e8842
wiederum	w5_d448e8845
ab,	w7_d448e8848
und	w9_d448e8851
nach	w11_d448e8854
seinem	w13_d448e8858
Schloß	w1_d448e8863
Wilhelmsthal	w3_d448e8866
gereiset	w5_d448e8869
seye.	w7_d448e8872
Der	w9_d448e8875
schon	w1_d448e8880
neulich	w3_d448e8883
in	w5_d448e8886
denen	w7_d448e8889
Zeitungen	w9_d448e8892
gemeldete	w11_d448e8895
Gregori,	w1_d448e8900
so	w3_d448e8903
sich	w5_d448e8906
unterstanden	w7_d448e8909
gedachten	w9_d448e8912
Land=grafen	w1_d448e8918
von	w3_d448e8921
Hessen=cassel	w5_d448e8924
bey	w7_d448e8927
der	w9_d448e8930
Tafel	w11_d448e8933
zu	w1_d448e8938
überfallen,	w3_d448e8941
und	w5_d448e8944
bey	w7_d448e8947
ihme	w9_d448e8950
ungestimme	w11_d448e8953
Ausschweiffungen	w1_d448e8958
zu	w3_d448e8961
begehen,	w5_d448e8964
ist	w7_d448e8967
nach	w9_d448e8970
ei	w11_d448e8973
ner	w1_d448e8978
vorläuffigen	w3_d448e8981
genauen	w5_d448e8984
Untersuchung	w7_d448e8987
Sin	w9_d448e8990
nen=los	w1_d448e8996
befunden,	w3_d448e8999
und	w5_d448e9002
als	w7_d448e9005
ein	w9_d448e9008
Fantast	w11_d448e9011
den	w13_d448e9015
4ten	w1_d448e9020
Dieses	w3_d448e9023
seine	w5_d448e9026
noch	w7_d448e9029
übrige	w9_d448e9032
Lebens=täge	w11_d448e9035
in	w13_d448e9039
denen	w1_d448e9044
sogenannten	w3_d448e9047
kleinen	w5_d448e9050
Häusern	w7_d448e9053
zu	w9_d448e9056
Caf	w11_d448e9059
sel	w1_d448e9064
zuzubringen,	w3_d448e9067
verurtheilet	w5_d448e9070
worden.	w7_d448e9073
</p>
<head id="h2_d448e9079">
Brabant	w1_d448e9083
28.	w3_d448e9086
April.	w5_d448e9089
</head>
<p id="p4_d448e9092">
Da	w1_d448e9096
die	w3_d448e9099
2.	w5_d448e9102
Bataillons	w7_d448e9105
der	w9_d448e9108
Regimenter	w11_d448e9111
von	w1_d448e9116
Arberg	w3_d448e9119
und	w5_d448e9122
von	w7_d448e9125
Ligne	w9_d448e9128
aus	w11_d448e9131
Böhmen	w13_d448e9135
zu	w1_d448e9140
Brüggen	w3_d448e9143
angekommen	w5_d448e9146
seynd,	w7_d448e9149
haben	w9_d448e9152
die	w11_d448e9155
beede	w1_d448e9161
Bataillons,	w3_d448e9164
als	w5_d448e9167
eine	w7_d448e9170
von	w9_d448e9173
dem	w11_d448e9176
Re	w13_d448e9180
giment	w1_d448e9185
Carl	w3_d448e9188
von	w5_d448e9191
Colloredo,	w7_d448e9194
die	w9_d448e9197
andere	w11_d448e9200
von	w13_d448e9204
dem	w1_d448e9209
Regiment	w3_d448e9212
von	w5_d448e9215
Wyrd,	w7_d448e9218
allda	w9_d448e9221
ihr	w11_d448e9224
Gar	w13_d448e9228
nison	w1_d448e9233
verlassen,	w3_d448e9236
und	w5_d448e9239
seynd	w7_d448e9242
längs	w9_d448e9245
dieser	w11_d448e9248
Stadt	w1_d448e9254
nacher	w3_d448e9257
Brüssel	w5_d448e9260
gezogen,	w7_d448e9263
um	w9_d448e9266
von	w11_d448e9269
da	w13_d448e9273
nach	w1_d448e9278
Deutschland	w3_d448e9281
ihren	w5_d448e9284
Marsch	w7_d448e9287
zu	w9_d448e9290
beschleu	w11_d448e9293
nigen,	w1_d448e9298
worauf	w3_d448e9301
den	w5_d448e9304
22.	w7_d448e9307
dieses	w9_d448e9310
Morgens	w11_d448e9313
ein	w13_d448e9317
</p>
<p id="p10_d448e9330">
Batallon	w1_d448e9334
des	w3_d448e9337
Regiments	w5_d448e9340
von	w7_d448e9343
Sachsengo	w9_d448e9346
tha	w1_d448e9351
aus	w3_d448e9354
Böhmen	w5_d448e9357
auf	w7_d448e9360
dem	w9_d448e9363
Schloß	w11_d448e9366
zu	w13_d448e9370
Ant	w15_d448e9373
werpen	w1_d448e9378
angekommen,	w3_d448e9381
um	w5_d448e9384
daselbst	w7_d448e9387
an	w9_d448e9390
Platz	w11_d448e9393
eines	w1_d448e9399
Bataillons	w3_d448e9402
von	w5_d448e9405
Salm,	w7_d448e9408
welches	w9_d448e9411
Heut	w11_d448e9414
nach	w1_d448e9419
Teutschland	w3_d448e9422
abgehet,	w5_d448e9425
zur	w7_d448e9428
Besatzung	w9_d448e9431
zu	w1_d448e9436
bleiben.	w3_d448e9439
</p>
<p id="p12_d448e9443">
Den	w1_d448e9447
23.	w3_d448e9450
ist	w5_d448e9453
zu	w7_d448e9456
Brüssel	w9_d448e9459
das	w11_d448e9462
1.	w13_d448e9466
und	w15_d448e9469
3	w17_d448e9472
Bataillon	w1_d448e9477
des	w3_d448e9480
Regiments	w5_d448e9483
von	w7_d448e9486
Bourbon	w9_d448e9489
nois	w1_d448e9494
angekommen,	w3_d448e9497
welches	w5_d448e9500
ein	w7_d448e9503
der	w9_d448e9506
schönsten	w11_d448e9509
Jnfanterie=corps	w1_d448e9515
ist,	w3_d448e9518
die	w5_d448e9521
in	w7_d448e9524
Frankreich	w9_d448e9527
seynd;	w1_d448e9532
unter	w3_d448e9535
mehr	w5_d448e9538
andern	w7_d448e9541
der	w9_d448e9544
besten	w11_d448e9547
Negi	w13_d448e9551
mentern,	w1_d448e9556
welche	w3_d448e9559
ins	w5_d448e9562
Feld	w7_d448e9565
zu	w9_d448e9568
ziehen	w11_d448e9571
begeh	w13_d448e9575
ren,	w1_d448e9580
hat	w3_d448e9583
es	w5_d448e9586
den	w7_d448e9589
Vorzug	w9_d448e9592
erhalten.	w11_d448e9595
</p>
<head id="h2_d448e9601">
Dresden	w1_d448e9605
2.	w3_d448e9608
May.	w5_d448e9611
</head>
<p id="p4_d448e9614">
Jn	w1_d448e9618
hiesigen	w3_d448e9621
Gegenden	w5_d448e9624
ist	w7_d448e9627
seit	w9_d448e9630
den	w11_d448e9633
28.	w13_d448e9637
verflossenen	w1_d448e9642
Monats	w3_d448e9645
keine	w5_d448e9648
hauptsächliche	w7_d448e9651
Veränderung	w1_d448e9656
vorgefallen.	w3_d448e9659
Die	w5_d448e9662
Preußen	w7_d448e9665
stehen	w1_d448e9671
noch	w3_d448e9674
in	w5_d448e9677
dem	w7_d448e9680
letzt	w9_d448e9683
gemeldeten	w11_d448e9686
Lager	w13_d448e9690
zwischen	w1_d448e9695
Nossen	w3_d448e9698
und	w5_d448e9701
Meissen,	w7_d448e9704
und	w9_d448e9707
der	w11_d448e9710
Kö	w13_d448e9714
nig	w1_d448e9719
ist	w3_d448e9722
für	w5_d448e9725
seine	w7_d448e9728
Person	w9_d448e9731
zu	w11_d448e9734
Heinitz,	w13_d448e9738
gleich	w15_d448e9741
wie	w1_d448e9746
die	w3_d448e9749
Kaiserl.	w5_d448e9752
Königl.	w7_d448e9755
Armee	w9_d448e9758
sich	w11_d448e9761
dato	w13_d448e9765
in	w15_d448e9768
denen	w1_d448e9774
Cantonnirungs=quartieren	w3_d448e9777
befindet.	w5_d448e9780
Die	w1_d448e9785
bey	w3_d448e9788
dem	w5_d448e9791
Antonischen	w7_d448e9794
Garten	w9_d448e9797
zeithero	w11_d448e9800
gestandene	w1_d448e9805
Schif=brucken	w3_d448e9808
ist	w5_d448e9811
weiter	w7_d448e9814
herunter	w9_d448e9817
an	w1_d448e9822
den	w3_d448e9825
ehemaligen	w5_d448e9828
Grafen	w7_d448e9831
Unruhischen	w9_d448e9834
Gar	w11_d448e9837
ten	w1_d448e9843
gezogen	w3_d448e9846
worden,	w5_d448e9849
woselbst	w7_d448e9852
des	w9_d448e9855
Herrn	w11_d448e9858
Generab=feld=marschalls	w1_d448e9863
Grafens	w3_d448e9866
von	w5_d448e9869
Daun	w7_d448e9872
Excellenz	w1_d448e9877
Dero	w3_d448e9880
Haupt=quartier	w5_d448e9883
nehmen	w7_d448e9886
wol	w9_d448e9889
len.	w1_d448e9894
Se.	w3_d448e9897
Ezcellenz	w5_d448e9900
seynd	w7_d448e9903
kürzlich	w9_d448e9906
zweymal	w11_d448e9909
bey	w1_d448e9915
dem	w3_d448e9918
Lascischen	w5_d448e9921
Corps	w7_d448e9924
gewesen,	w9_d448e9927
und	w11_d448e9930
ha	w13_d448e9934
den	w1_d448e9939
die	w3_d448e9942
dasigen	w5_d448e9945
Gegenden	w7_d448e9948
in	w9_d448e9951
Augenschein	w11_d448e9954
genommen.	w1_d448e9959
Am	w3_d448e9962
Montag	w5_d448e9965
recognoscirte	w7_d448e9968
der	w9_d448e9971
Feind	w1_d448e9976
ebenfalls	w3_d448e9979
mit	w5_d448e9982
etlichen	w7_d448e9985
100.	w9_d448e9988
Mann	w11_d448e9991
über	w1_d448e9997
die	w3_d448e10000
Elbe.	w5_d448e10003
Es	w7_d448e10006
hat	w9_d448e10009
derselbe	w11_d448e10012
zu	w13_d448e10016
Meissen	w15_d448e10019
platte	w1_d448e10024
Fahr=zeuge	w3_d448e10027
fertigen	w5_d448e10030
lassen,	w7_d448e10033
auf	w9_d448e10036
wel	w11_d448e10039
chen	w1_d448e10044
man	w3_d448e10047
weit	w5_d448e10050
geschwinder	w7_d448e10053
als	w9_d448e10056
mit	w11_d448e10059
denen	w13_d448e10063
bedinairen	w1_d448e10068
über	w3_d448e10071
den	w5_d448e10074
Fluß	w7_d448e10077
setzen	w9_d448e10080
kan.	w11_d448e10083
Die	w13_d448e10087
Derter,	w1_d448e10093
so	w3_d448e10096
der	w5_d448e10099
Feind	w7_d448e10102
bey	w9_d448e10105
dem	w11_d448e10108
letzten	w13_d448e10112
Ruck	w15_d448e10115
zuge	w1_d448e10120
verlassen,	w3_d448e10123
sehen	w5_d448e10126
einer	w7_d448e10129
Wüsteney	w9_d448e10132
ähn	w11_d448e10135
lich.	w1_d448e10140
Alle	w3_d448e10143
fruchtbare	w5_d448e10146
und	w7_d448e10149
andere	w9_d448e10152
Bäume	w11_d448e10155
</p>
<p id="p6_d448e10158">
so,	w1_d448e10162
daß	w3_d448e10165
an	w5_d448e10168
vielen	w7_d448e10171
Octen	w9_d448e10174
nicht	w11_d448e10177
ein	w13_d448e10181
Stachel	w15_d448e10184
beer=strauch	w1_d448e10189
übrig	w3_d448e10192
geblieben.	w5_d448e10195
So	w7_d448e10198
gar	w9_d448e10201
die	w11_d448e10204
mehresten	w1_d448e10209
Brunnen	w3_d448e10212
seynd	w5_d448e10215
ruiniret.	w7_d448e10218
Kurz	w9_d448e10221
der	w1_d448e10227
Feind	w3_d448e10230
hat	w5_d448e10233
die	w7_d448e10236
ganze	w9_d448e10239
Gegend	w11_d448e10242
dergestalt	w13_d448e10246
zugerichtet,	w1_d448e10251
daß	w3_d448e10254
er	w5_d448e10257
selbst	w7_d448e10260
nicht	w9_d448e10263
mehr	w11_d448e10266
zu	w13_d448e10270
sub	w15_d448e10273
sistiren	w1_d448e10278
vermögte.	w3_d448e10281
Die	w5_d448e10284
Stadt	w7_d448e10287
Leipzig	w9_d448e10290
rech	w11_d448e10293
nete	w1_d448e10298
in	w3_d448e10301
der	w5_d448e10304
jetzigen	w7_d448e10307
