<doc id="edoc_wd_1768-02-24" attrs="word" year="1768" month="02" day="24" corpus="1">
<head id="hl1">
Amsterdam	w35
wurde	w1844
<g/>
.
Die	w1846
untersten	w1847
Enden	w1848
dieses	w1849
Ge=wands	w1850
<g/>
=
wurden	w1852
von	w1853
der	w1854
Gräfin	w1855
von	w1856
Bern=storf	w1857
<g/>
=
und	w1859
dem	w1860
Fräulein	w1861
Hofmeisterin	w1862
von	w1863
Numsen	w1864
getragen	w1865
<g/>
.
Als	w1867
nun	w1868
solchergestalt	w1869
höchstbesagter	w1870
Königin	w1871
Majest	w1872
<g/>
.
nebst	w1874
den	w1875
bey=den	w1876
<g/>
=
andern	w1878
hohen	w1879
Gevattern	w1880
<g/>
,
nämlich	w1882
Se	w1883
<g/>
.
Majest	w1885
<g/>
.
der	w1887
König	w1888
<g/>
,
und	w1890
des	w1891
Prinzen	w1892
Fri=derichs	w1893
<g/>
=
königl	w1895
<g/>
.
Hoheit	w1897
herzu	w1898
getreten	w1899
waren	w1900
<g/>
,
so	w1902
erfolgte	w1903
die	w1904
heil	w1905
<g/>
.
Handlung	w1907
<g/>
,
wobey	w1909
<g/>
,
weil	w1911
Jhre	w1912
königl	w1913
<g/>
.
Hoheit	w1915
<g/>
,
die	w1917
Prinzeßin	w1918
Char=lotta	w1919
<g/>
=
Amalia	w1921
sich	w1922
etwas	w1923
unpäßlich	w1924
befanden	w1925
<g/>
,
die	w1927
Frau	w1928
Hofmeisterin	w1929
von	w1930
Perkentin	w1931
<g/>
,
die	w1933
Haube	w1934
des	w1935
Kronprinzens	w1936
hielte	w1937
<g/>
.
Während	w1939
dieser	w1940
Zeit	w1941
wurde	w1942
mit	w1943
allen	w1944
Glocken	w1945
der	w1946
Stadt	w1947
geläutet	w1948
<g/>
.
Nach	w1950
der	w1951
Taufe	w1952
wurde	w1953
von	w1954
dem	w1955
Altan	w1956
des	w1957
königl	w1958
<g/>
.
Schlosses	w1960
mit	w1961
Paucken	w1962
<g/>
,
Trompeten	w1964
und	w1965
Posaunen	w1966
musicirt	w1967
<g/>
,
und	w1969
von	w1970
dem	w1971
Cantor	w1972
und	w1973
den	w1974
Schülern	w1975
der	w1976
Frauen=schule	w1977
<g/>
=
ein	w1979
Gesang	w1980
abgesungen	w1981
<g/>
,
so	w1983
wie	w1984
solches	w1985
auch	w1986
vor	w1987
der	w1988
Taufhandlung	w1989
geschehen	w1990
war	w1991
<g/>
.
</p>
<head id="hl7">
Stockholm	w1993
den	w1994
26	w1995
<g/>
.
Jänner	w1997
<g/>
.
</head>
<p id="p27">
Der	w1999
Königin	w2000
Majest	w2001
<g/>
.
ist	w2003
nunmehr	w2004
völlig	w2005
hergestellet	w2006
<g/>
.
Man	w2008
hat	w2009
wegen	w2010
Jhrer	w2011
Maj	w2012
<g/>
.
Genesung	w2014
verschiedene	w2015
Festins	w2016
bey	w2017
Hofe	w2018
an=gestellet	w2019
<g/>
=
<g/>
.
Die	w2022
Gesundheit	w2023
des	w2024
Premiermi=nisters	w2025
<g/>
=
<g/>
,
Grafens	w2028
von	w2029
Löwenhielm	w2030
<g/>
,
ist	w2032
noch	w2033
nicht	w2034
so	w2035
weit	w2036
befestiget	w2037
<g/>
,
daß	w2039
sie	w2040
sich	w2041
der	w2042
öf=fentlichen	w2043
<g/>
=
Angelegenheiten	w2045
wieder	w2046
unterzie=hen	w2047
<g/>
=
könnten	w2049
<g/>
.
</p>
<p id="p28">
Der	w2051
Hof	w2052
hat	w2053
sich	w2054
beständig	w2055
in	w2056
der	w2057
Stadt	w2058
aufgehalten	w2059
<g/>
.
Aus	w2061
Warschau	w2062
haben	w2063
wir	w2064
keine	w2065
Nachrichten	w2066
von	w2067
Wichtigkeit	w2068
<g/>
.
Unser	w2070
dorti=ger	w2071
<g/>
=
Minister	w2073
giebt	w2074
sich	w2075
viel	w2076
mühe	w2077
<g/>
,
die	w2079
Ange=legenheit	w2080
<g/>
=
der	w2082
Dißidenten	w2083
zur	w2084
Richtigkeit	w2085
zu	w2086
bringen	w2087
<g/>
.
</p>
<p id="p29">
Noch	w2089
im	w2090
abgewichenen	w2091
Winterm	w2092
<g/>
.
ist	w2094
<g/>
,
zu=folge	w2096
<g/>
=
eines	w2098
königl	w2099
<g/>
.
Befehls	w2101
bey	w2102
Trompeten=schall	w2103
<g/>
=
<g/>
,
auf	w2106
allen	w2107
Märkten	w2108
und	w2109
Stadtplätzen	w2110
eine	w2111
Verordnung	w2112
kund	w2113
gemacht	w2114
worden	w2115
<g/>
,
kraft	w2117
welcher	w2118
bey	w2119
schärfster	w2120
Straffe	w2121
verboten	w2122
wird	w2123
<g/>
,
daß	w2125
sich	w2126
niemand	w2127
<g/>
,
wes	w2129
Standes	w2130
<g/>
,
Alters	w2132
<g/>
,
Re=ligion	w2134
<g/>
=
und	w2136
Nation	w2137
er	w2138
sey	w2139
<g/>
,
ferner	w2141
unterstehen	w2142
soll	w2143
<g/>
,
weder	w2145
in	w2146
der	w2147
Stadt	w2148
noch	w2149
auf	w2150
dem	w2151
Lan=de	w2152
<g/>
=
<g/>
,
öffentlich	w2155
oder	w2156
heimlich	w2157
bey	w2158
der	w2159
Nacht	w2160
<g/>
,
unter	w2162
was	w2163
Vorwand	w2164
oder	w2165
Ausflucht	w2166
es	w2167
im=mer	w2168
<g/>
=
seyn	w2170
möge	w2171
<g/>
,
zu	w2173
betteln	w2174
<g/>
.
</p>
<head id="hl8">
Paris	w2176
den	w2177
5	w2178
<g/>
.
Hornung	w2180
<g/>
.
</head>
<p id="p30">
Ein	w2182
im	w2183
verwichenen	w2184
Jahre	w2185
<g/>
,
unter	w2187
dem	w2188
Namen	w2189
Belisaire	w2190
<g/>
,
zum	w2192
Vorschein	w2193
gekomme=es	w2194
<g/>
=
Werk	w2196
<g/>
,
ist	w2198
von	w2199
dem	w2200
hiesigen	w2201
Herrn	w2202
Erz=bischoffe	w2203
<g/>
=
verurtheilt	w2205
<g/>
,
und	w2207
gestern	w2208
in	w2209
den	w2210
Pfarr=kirchen	w2211
<g/>
=
abgekündigt	w2213
worden	w2214
<g/>
.
Der	w2216
Herr	w2217
Erz=bischof	w2218
<g/>
=
spannet	w2220
seine	w2221
äußersten	w2222
Kräften	w2223
an	w2224
<g/>
,
um	w2226
die	w2227
in	w2228
dem	w2229
V	w2230
<g/>
.
Kapitel	w2232
dieses	w2233
Buchs	w2234
enthaltenen	w2235
Lehrsätze	w2236
zu	w2237
bestreiten	w2238
<g/>
,
und	w2240
dahin	w2241
auszulegen	w2242
<g/>
,
als	w2244
ob	w2245
ihr	w2246
Sinn	w2247
da=hingehe	w2248
<g/>
=
<g/>
,
daß	w2251
man	w2252
ohne	w2253
Glauben	w2254
<g/>
,
mit	w2256
heid=nischen	w2257
<g/>
=
Tugenden	w2259
<g/>
,
seelig	w2261
werden	w2262
könne	w2263
<g/>
,
und	w2265
die	w2266
Landesregenten	w2267
<g/>
,
in	w2269
Religionssachen	w2270
<g/>
,
al=les	w2272
<g/>
=
<g/>
,
so	w2275
dem	w2276
Gesetze	w2277
der	w2278
Natur	w2279
nicht	w2280
zuwider	w2281
ist	w2282
<g/>
,
so	w2284
<g/>
,
daß	w2286
die	w2287
bürgerliche	w2288
Gesellschaft	w2289
daran	w2290
Theil	w2291
nehme	w2292
<g/>
,
dulden	w2294
sollen	w2295
<g/>
.
<g/>
”
</p>
<p id="p31">
Herr	w2298
Linguet	w2299
der	w2300
jüngere	w2301
<g/>
,
welcher	w2303
durch	w2304
seine	w2305
theoretische	w2306
Erkänntniß	w2307
der	w2308
Gesetze	w2309
<g/>
,
auch	w2311
durch	w2312
andere	w2313
gelehrte	w2314
Werke	w2315
bekannt	w2316
ist	w2317
<g/>
,
hat	w2319
jüngsthin	w2320
eine	w2321
sogenannte	w2322
unpartheyische	w2323
Geschichte	w2324
der	w2325
Jesuiten	w2326
<g/>
,
von	w2328
ihrer	w2329
Stiftung	w2330
an	w2331
bis	w2332
zu	w2333
ihrer	w2334
Verweisung	w2335
<g/>
,
verfasset	w2337
<g/>
,
und	w2339
das	w2340
Buch	w2341
einem	w2342
großen	w2343
König	w2344
gewidnet	w2345
<g/>
.
Jn	w2347
dem	w2348
Publiko	w2349
ist	w2350
diese	w2351
Geschichte	w2352
mit	w2353
GeGefälligkeit	w2354
<g/>
=
</p>
<p id="p32">
fälligkeit	w2358
aufgenommen	w2359
worden	w2360
<g/>
,
weil	w2362
die	w2363
an=gebrachten	w2364
<g/>
=
Dinge	w2366
mit	w2367
philosophischen	w2368
An=merkungen	w2369
<g/>
=
<g/>
,
welche	w2372
die	w2373
Kenntniß	w2374
des	w2375
mensch=lichen	w2376
<g/>
=
Herzens	w2378
voraus	w2379
setzen	w2380
<g/>
,
vergesellet	w2382
sind	w2383
<g/>
.
Bey	w2385
der	w2386
Untersuchung	w2387
alles	w2388
dessen	w2389
<g/>
,
so	w2391
die	w2392
Jesuiten	w2393
<g/>
,
sowohl	w2395
im	w2396
Guten	w2397
<g/>
,
als	w2399
im	w2400
Bösen	w2401
betrift	w2402
<g/>
,
findet	w2404
der	w2405
Verfasser	w2406
nichts	w2407
<g/>
,
was	w2409
sie	w2410
mehr	w2411
als	w2412
andere	w2413
geistliche	w2414
Orden	w2415
beschwere	w2416
<g/>
,
indem	w2418
alle	w2419
Regein	w2420
der	w2421
Klostergeistlichen	w2422
<g/>
,
und	w2424
besonders	w2425
der	w2426
Mendicantenorden	w2427
<g/>
,
sich	w2429
auf	w2430
den	w2431
Lehrsatz	w2432
<g/>
,
den	w2434
man	w2435
in	w2436
den	w2437
Constitutionen	w2438
der	w2439
Jesuiten	w2440
so	w2441
sehr	w2442
rege	w2443
gemacht	w2444
hat	w2445
<g/>
,
füssen	w2447
<g/>
:
ihr	w2449
sollet	w2450
unter	w2451
der	w2452
Hand	w2453
eurer	w2454
Oberen	w2455
seyn	w2456
<g/>
,
wie	w2458
ein	w2459
Stab	w2460
unter	w2461
der	w2462
Hand	w2463
eines	w2464
Greisen	w2465
<g/>
,
dessen	w2467
Stütze	w2468
er	w2469
ist	w2470
<g/>
.
Allein	w2472
dieser	w2473
Geschicht=schreiber	w2474
<g/>
=
ist	w2476
in	w2477
schlüpfrigte	w2478
Wege	w2479
ausgewichen	w2480
<g/>
,
und	w2482
entsetzlich	w2483
stark	w2484
gestolpert	w2485
<g/>
,
da	w2487
er	w2488
sich	w2489
über	w2490
dasjenige	w2491
<g/>
,
so	w2493
die	w2494
Heiligen	w2495
<g/>
,
und	w2497
die	w2498
Kirchen=entscheidungen	w2499
<g/>
=
betrift	w2501
<g/>
,
nicht	w2503
mit	w2504
mehrerer	w2505
Ehr=erbietigkeit	w2506
<g/>
=
ausgedrücket	w2508
<g/>
.
Derohalben	w2510
ist	w2511
<g/>
,
mit=tels	w2513
<g/>
=
eines	w2515
auf	w2516
die	w2517
Requisitoralien	w2518
des	w2519
Gene=raladvocaten	w2520
<g/>
=
<g/>
,
Herrn	w2523
Seguier	w2524
<g/>
,
unterm	w2526
29	w2527
<g/>
.
Jänner	w2529
ergangenen	w2530
Parlamentsschlusses	w2531
<g/>
,
ver=ordnet	w2533
<g/>
=
worden	w2535
<g/>
,
daß	w2537
das	w2538
Buch	w2539
<g/>
,
unter	w2541
der	w2542
Aufschrift	w2543
<g/>
:
<g/>
“
Unpartheyische	w2546
Geschichte	w2547
der	w2548
Jesuiten	w2549
<g/>
,
als	w2551
ein	w2552
ärgerliches	w2553
<g/>
,
und	w2555
gottloses	w2556
Werk	w2557
gerichtlich	w2558
zerrissen	w2559
<g/>
,
und	w2561
verbrannt	w2562
werden	w2563
solle	w2564
<g/>
.
</p>
<head id="hl9">
Frankfurt	w2566
den	w2567
12	w2568
<g/>
.
Hornung	w2570
<g/>
.
</head>
<p id="p33">
Nachdem	w2572
der	w2573
Herr	w2574
Graf	w2575
von	w2576
Neiperg	w2577
<g/>
,
als	w2579
kaiserl	w2580
<g/>
.
Wahlcommissarius	w2582
den	w2583
9	w2584
<g/>
.
dieses	w2586
zu	w2587
Trier	w2588
seine	w2589
feyerliche	w2590
Auffahrt	w2591
in	w2592
das	w2593
Domcapitul	w2594
mit	w2595
dem	w2596
gebührenden	w2597
Ceremoniel	w2598
gehalten	w2599
<g/>
,
und	w2601
daselbst	w2602
die	w2603
gewöhnliche	w2604
Pro=position	w2605
<g/>
=
im	w2607
Namen	w2608
Sr	w2609
<g/>
.
kaiserl	w2611
<g/>
.
Majestät	w2613
abgeleget	w2614
<g/>
,
so	w2616
ist	w2617
den	w2618
folgenden	w2619
Tag	w2620
<g/>
,
die	w2622
Canonische	w2623
Wahl	w2624
eines	w2625
neuen	w2626
Erzbischofens	w2627
und	w2628
Churfürstens	w2629
von	w2630
Trier	w2631
auf	w2632
die	w2633
Per=son	w2634
<g/>
=
Sr	w2636
<g/>
.
königl	w2638
<g/>
.
Hoheit	w2640
<g/>
,
des	w2642
Prinzen	w2643
Cle=mens	w2644
<g/>
=
von	w2646
Sachsen	w2647
<g/>
,
Bischofen	w2649
zu	w2650
Freysingen	w2651
und	w2652
Regenspurg	w2653
<g/>
,
auch	w2655
Coadijutor	w2656
zu	w2657
Aug=spurg	w2658
<g/>
=
<g/>
,
ausgefallen	w2661
<g/>
,
sofort	w2663
auch	w2664
die	w2665
Publica=tion	w2666
<g/>
=
dieser	w2668
so	w2669
beglückten	w2670
Wahl	w2671
<g/>
,
in	w2673
der	w2674
Dom=kirche	w2675
<g/>
=
in	w2677
Gegenwart	w2678
des	w2679
kaiserl	w2680
<g/>
.
Hrn	w2682
<g/>
.
Com=missari	w2684
<g/>
=
Excell	w2686
<g/>
.
unter	w2688
Beobachtung	w2689
der	w2690
her=kommlichen	w2691
<g/>
=
feyerlichen	w2693
Ceremonien	w2694
vollzogen	w2695
worden	w2696
sind	w2697
<g/>
.
Wie	w2699
großen	w2700
Trost	w2701
und	w2702
Freude	w2703
diese	w2704
beglückte	w2705
Begenheit	w2706
auf	w2707
die	w2708
sämtlichen	w2709
Trierischen	w2710
Lande	w2711
und	w2712
Unterthanen	w2713
bringe	w2714
<g/>
,
und	w2716
wie	w2717
ein	w2718
jeder	w2719
schon	w2720
längstens	w2721
im	w2722
voraus	w2723
</p>
<p id="p34">
sich	w2724
höchstbeglückt	w2725
geschätzet	w2726
hat	w2727
<g/>
,
unter	w2729
die	w2730
Regierung	w2731
eines	w2732
so	w2733
erleuchtest	w2734
und	w2735
mit	w2736
allen	w2737
wahren	w2738
Fürstlichen	w2739
Tugenden	w2740
und	w2741
Gemüths=gaben	w2742
<g/>
=
ausgezierten	w2744
Landesherrn	w2745
zu	w2746
kommen	w2747
<g/>
,
vermag	w2749
man	w2750
nicht	w2751
hier	w2752
zu	w2753
beschreiben	w2754
<g/>
.
</p>
<head id="hl10">
Vermischte	w2756
Neuigkeiten	w2757
<g/>
.
</head>
<p id="p35">
Wie	w2759
in	w2760
öffentlichen	w2761
Zeitungsblättern	w2762
gemeldet	w2763
wird	w2764
<g/>
,
sollen	w2766
der	w2767
rußisch	w2768
<g/>
=
kaiserl	w2770
<g/>
.
und	w2772
der	w2773
königl	w2774
<g/>
.
dänische	w2776
Hof	w2777
sich	w2778
gegen	w2779
die	w2780
Stadt	w2781
Hamburg	w2782
er=boten	w2783
<g/>
=
haben	w2785
<g/>
,
sie	w2787
als	w2788
eine	w2789
unmittelbare	w2790
Reichs=stadt	w2791
<g/>
=
zu	w2793
erkennen	w2794
<g/>
,
und	w2796
die	w2797
in	w2798
Jahre	w2799
1618	w2800
<g/>
.
er=griffene	w2802
<g/>
=
Revision	w2804
fahren	w2805
zu	w2806
lassen	w2807
<g/>
,
woferne	w2809
sie	w2810
auf	w2811
ihrer	w2812
Seite	w2813
die	w2814
ihr	w2815
schuldige	w2816
Sum=men	w2817
<g/>
=
nachlasse	w2819
<g/>
,
welche	w2821
für	w2822
Dännemark	w2823
403000	w2824
<g/>
.
Thaler	w2826
<g/>
,
und	w2828
für	w2829
Hollstein	w2830
300000	w2831
<g/>
.
Thaler	w2833
ausmachen	w2834
<g/>
.
Dieser	w2836
Vorschlag	w2837
wurde	w2838
der	w2839
Bür=gerschaft	w2840
<g/>
=
eröfnet	w2842
<g/>
,
und	w2844
sie	w2845
willigte	w2846
sofort	w2847
darein	w2848
<g/>
;
doch	w2850
mit	w2851
dieser	w2852
Einschränkung	w2853
<g/>
,
daß	w2855
die	w2856
Stadt	w2857
der	w2858
Krone	w2859
Dännemärk	w2860
nur	w2861
die	w2862
Hälfte	w2863
an	w2864
dem	w2865
Kapital	w2866
<g/>
,
hingegen	w2868
an	w2869
Hollstein	w2870
ganz	w2871
lassen	w2872
sollte	w2873
<g/>
,
und	w2875
man	w2876
sich	w2877
den	w2878
Verzicht	w2879
auf	w2880
den	w2881
Schaum=burger	w2882
<g/>
=
Hof	w2884
<g/>
,
wie	w2886
auch	w2887
auf	w2888
einige	w2889
Jnseln	w2890
in	w2891
der	w2892
Elbe	w2893
bedinge	w2894
<g/>
,
nicht	w2896
weniger	w2897
die	w2898
Jrrungen	w2899
nach	w2900
den	w2901
alten	w2902
Verträgen	w2903
berichtigte	w2904
<g/>
,
welche	w2906
wegen	w2907
des	w2908
Schifzolles	w2909
und	w2910
der	w2911
Schiffahrt	w2912
entstanden	w2913
sind	w2914
<g/>
.
Dieser	w2916
Antrag	w2917
ist	w2918
den	w2919
Ministern	w2920
der	w2921
bey=den	w2922
<g/>
=
Höfe	w2924
schriftlich	w2925
zugestellt	w2926
werden	w2927
<g/>
;
man	w2929
hat	w2930
aber	w2931
bißher	w2932
noch	w2933
nicht	w2934
vernommen	w2935
<g/>
,
daß	w2937
etwas	w2938
ausgemacht	w2939
worden	w2940
ist	w2941
<g/>
.
</p>
<p id="p36">
Des	w2943
Herzogs	w2944
zu	w2945
Würtemberg	w2946
Hochfürstl	w2947
<g/>
.
Durchl	w2949
<g/>
.
haben	w2951
<g/>
,
nach	w2953
Briefen	w2954
aus	w2955
Stutgard	w2956
<g/>
,
beliebet	w2958
<g/>
,
zu	w2960
Ludwigsburg	w2961
eine	w2962
neue	w2963
Messe	w2964
aufzu=richten	w2965
<g/>
=
<g/>
,
wobey	w2968
sowohl	w2969
der	w2970
hohe	w2971
Adel	w2972
und	w2973
Stan=despersonen	w2974
<g/>
=
alles	w2976
Vergnügen	w2977
<g/>
,
als	w2979
auch	w2980
die	w2981
Aus=wärtigen	w2982
<g/>
=
und	w2984
inländischen	w2985
Kaufleute	w2986
<g/>
,
wegen	w2988
des	w2989
Absatzes	w2990
ihrer	w2991
Waaren	w2992
und	w2993
Theilnehmung	w2994
an	w2995
den	w2996
allgemeinen	w2997
Lustbarkeiten	w2998
alle	w2999
Zufriedenheit	w3000
finden	w3001
können	w3002
<g/>
.
Diese	w3004
Messe	w3005
hat	w3006
bereits	w3007
am	w3008
18ten	w3009
des	w3010
vorigen	w3011
Monats	w3012
ihren	w3013
Anfang	w3014
ge=nommen	w3015
<g/>
=
<g/>
.
</p>
<p id="p37">
Der	w3018
Graf	w3019
Malvin	w3020
von	w3021
Montazet	w3022
<g/>
,
General=lieutenant	w3024
<g/>
=
<g/>
,
Großkreuz	w3027
des	w3028
St	w3029
<g/>
.
Ludwigsordens	w3031
<g/>
,
Ritter	w3033
vom	w3034
weißen	w3035
Adler	w3036
<g/>
,
und	w3038
Gouverneur	w3039
zu	w3040
St	w3041
<g/>
.
Malo	w3043
<g/>
,
hat	w3045
in	w3046
seinem	w3047
Schlosse	w3048
Guißac	w3049
<g/>
,
im	w3051
Agenois	w3052
<g/>
,
in	w3054
einem	w3055
Alter	w3056
von	w3057
57	w3058
<g/>
.
Jahren	w3060
das	w3061
Zeitliche	w3062
gesegnet	w3063
<g/>
.
Er	w3065
war	w3066
ein	w3067
Bruder	w3068
des	w3069
Herrn	w3070
Erzbischofs	w3071
von	w3072
Lyon	w3073
<g/>
,
und	w3075
hatte	w3076
<g/>
,
wäh=rend	w3078
<g/>
=
des	w3080
letzten	w3081
Krieges	w3082
<g/>
,
in	w3084
den	w3085
k	w3086
<g/>
.
k	w3088
<g/>
.
Armeen	w3090
gedienet	w3091
<g/>
.
</p>
<p id="p38">
Das	w3093
Maussoleum	w3094
des	w3095
Cardinals	w3096
von	w3097
Fleury	w3098
<g/>
,
woran	w3100
man	w3101
seit	w3102
20	w3103
<g/>
.
Jahren	w3105
her	w3106
gearbeitet	w3107
hat	w3108
<g/>
,
ist	w3110
letzthin	w3111
zu	w3112
St	w3113
<g/>
.
Louis	w3115
des	w3116
Louvre	w3117
zu	w3118
Paris	w3119
aufgedeckt	w3120
worden	w3121
<g/>
.
Man	w3123
siehet	w3124
den	w3125
Cardinal	w3126
</p>
<p id="p39">
liegen	w3129
<g/>
,
den	w3131
die	w3132
Religion	w3133
in	w3134
ihre	w3135
Arme	w3136
aufnihmt	w3137
<g/>
:
zu	w3139
Füssen	w3140
ist	w3141
Frankreich	w3142
weinend	w3143
mit	w3144
abgewen=detem	w3145
<g/>
=
Gesichte	w3147
von	w3148
so	w3149
schmerzhaften	w3150
Anblick	w3151
<g/>
.
Jn	w3153
der	w3154
Vertiefung	w3155
erkennet	w3156
man	w3157
die	w3158
Hofnung	w3159
fest	w3160
auf	w3161
ihrem	w3162
Anker	w3163
<g/>
,
die	w3165
Augen	w3166
gen	w3167
Himmel	w3168
gerichtet	w3169
<g/>
,
und	w3171
scheinet	w3172
die	w3173
Glückseligkeit	w3174
des	w3175
Cardinals	w3176
anzuzeigen	w3177
<g/>
.
Dieses	w3179
Grabmal	w3180
ist	w3181
auf	w3182
könglkönigl	w3183
<g/>
.
Kosten	w3185
errichtet	w3186
<g/>
,
und	w3188
durch	w3189
Herrn	w3190
le	w3191
Moine	w3192
verfertiget	w3193
worden	w3194
<g/>
,
der	w3196
100000	w3197
<g/>
.
Thaler	w3199
dafür	w3200
bekommen	w3201
hat	w3202
<g/>
.
</p>
<p id="p40">
Das	w3204
Journal	w3205
Oeconomique	w3206
wirft	w3207
die	w3208
Frage	w3209
auf	w3210
<g/>
:
Wie	w3212
kann	w3213
man	w3214
Fischernetze	w3215
dauerhaft	w3216
ma=chen	w3217
<g/>
=
<g/>
,
daß	w3220
sie	w3221
nicht	w3222
so	w3223
leicht	w3224
im	w3225
Wasser	w3226
verfau=len	w3227
<g/>
=
<g/>
:
Man	w3230
lasse	w3231
dieselbe	w3232
nur	w3233
8	w3234
<g/>
.
Tage	w3236
lang	w3237
in	w3238
Gerberlohe	w3239
liegen	w3240
<g/>
,
alsdann	w3242
werden	w3243
diese	w3244
sechsmal	w3245
länger	w3246
als	w3247
andere	w3248
halten	w3249
<g/>
,
weil	w3251
die	w3252
Gerberlohe	w3253
für	w3254
Faulniß	w3255
bewahret	w3256
<g/>
.
Dieses	w3258
kann	w3259
auf	w3260
dem	w3261
Pechdrat	w3262
<g/>
,
Stricke	w3264
und	w3265
Seilwerke	w3266
angewandt	w3267
werden	w3268
<g/>
,
wie	w3270
denn	w3271
die	w3272
Schuhe	w3273
<g/>
,
wenn	w3275
man	w3276
das	w3277
Garn	w3278
<g/>
,
woraus	w3280
der	w3281
Pechdrat	w3282
verfertiget	w3283
wird	w3284
<g/>
,
einige	w3286
Tage	w3287
in	w3288
Gerberlohe	w3289
einweichen	w3290
läßt	w3291
<g/>
,
weit	w3293
dauerhafter	w3294
seyn	w3295
sollen	w3296
<g/>
,
und	w3298
soll	w3299
bey	w3300
einem	w3301
Schuh=macher	w3302
<g/>
=
<g/>
,
so	w3305
diese	w3306
Methode	w3307
gehabt	w3308
<g/>
,
seine	w3310
Kunden	w3311
sich	w3312
niemals	w3313
über	w3314
die	w3315
kurze	w3316
Dauer	w3317
der	w3318
Näthe	w3319
be=schweret	w3320
<g/>
=
haben	w3322
<g/>
.
</p>
<p id="p41">
Die	w3324
Leipziger	w3325
lateinische	w3326
Zeitungen	w3327
waren	w3328
seit	w3329
einigen	w3330
Jahren	w3331
liegen	w3332
geblieben	w3333
<g/>
:
allein	w3335
mit	w3336
dem	w3337
Anfange	w3338
dieses	w3339
Jahres	w3340
kommen	w3341
sie	w3342
wieder	w3343
<g/>
,
unter	w3345
dem	w3346
Titel	w3347
<g/>
:
Ephemerides	w3349
LipsiæLipsiae	w3350
<g/>
,
wöchentlich	w3352
in	w3353
2	w3354
<g/>
.
halben	w3356
Bogen	w3357
<g/>
,
Montags	w3359
und	w3360
Donnerstags	w3361
<g/>
,
heraus	w3363
<g/>
:
Außer	w3365
einer	w3366
allgemeinen	w3367
<g/>
,
und	w3369
genauen	w3370
Anzeige	w3371
von	w3372
den	w3373
neuesten	w3374
Vorfällen	w3375
und	w3376
Verän=derungen	w3377
<g/>
=
in	w3379
dem	w3380
Reiche	w3381
der	w3382
Natur	w3383
<g/>
,
der	w3385
Künste	w3386
<g/>
,
und	w3388
Wissenschaften	w3389
<g/>
,
findet	w3391
man	w3392
bey	w3393
der	w3394
Auswahl	w3395
der	w3396
Sachen	w3397
viele	w3398
Ueberlegung	w3399
<g/>
,
und	w3401
ein	w3402
vorzügli=ches	w3403
<g/>
=
Augenmerk	w3405
auf	w3406
diejenigen	w3407
<g/>
,
welche	w3409
einen	w3410
we=sentlichen	w3411
<g/>
=
Einfluß	w3413
in	w3414
die	w3415
Känntniß	w3416
des	w3417
allgemei=nen	w3418
<g/>
=
Systems	w3420
von	w3421
Europa	w3422
<g/>
,
und	w3424
insonderheit	w3425
des	w3426
deutschen	w3427
Staatrechts	w3428
haben	w3429
können	w3430
<g/>
:
Eine	w3432
la=teinische	w3433
<g/>
=
Zeitung	w3435
kann	w3436
manchem	w3437
ein	w3438
pedantisch	w3439
Ding	w3440
<g/>
,
oder	w3442
wenigst	w3443
unnütz	w3444
scheinen	w3445
<g/>
:
ja	w3447
<g/>
,
sie	w3449
ist	w3450
es	w3451
auch	w3452
<g/>
,
wenn	w3454
sie	w3455
nicht	w3456
von	w3457
einem	w3458
so	w3459
klugen	w3460
als	w3461
gelehrten	w3462
Manne	w3463
geschrieben	w3464
wird	w3465
<g/>
.
Der	w3467
Verfas=ser	w3468
<g/>
=
jener	w3470
zu	w3471
Leipzig	w3472
zeiget	w3473
in	w3474
den	w3475
bisher	w3476
heraus=gekommenen	w3477
<g/>
=
Blättern	w3479
<g/>
,
daß	w3481
er	w3482
beydes	w3483
ist	w3484
<g/>
.
Man	w3486
darf	w3487
nur	w3488
auf	w3489
die	w3490
Wahl	w3491
seiner	w3492
Nachrichten	w3493
<g/>
,
und	w3495
die	w3496
lateinische	w3497
Schreibart	w3498
sehen	w3499
<g/>
:
diese	w3501
ist	w3502
so	w3503
schön	w3504
<g/>
,
und	w3506
rein	w3507
<g/>
,
daß	w3509
sie	w3510
nicht	w3511
allein	w3512
zum	w3513
nützlichen	w3514
Zeit=vertreibe	w3515
<g/>
=
der	w3517
lateinischen	w3518
Schüler	w3519
<g/>
,
sondern	w3521
ihnen	w3522
auch	w3523
zu	w3524
einem	w3525
Sprachemuster	w3526
<g/>
,
alle	w3528
heutigen	w3529
Ge=genstände	w3530
<g/>
=
in	w3532
gutem	w3533
Lateine	w3534
auszudrücken	w3535
<g/>
,
dienen	w3537
kann	w3538
<g/>
.
Ueberhanpt	w3540
sind	w3541
diese	w3542
Blätter	w3543
sehr	w3544
weit	w3545
von	w3546
jenen	w3547
zu	w3548
Kölln	w3549
unterschieden	w3550
<g/>
:
Man	w3552
kann	w3553
sie	w3554
von	w3555
der	w3556
Zeitungsexpedition	w3557
zu	w3558
Leipzig	w3559
<g/>
,
und	w3561
den	w3562
Chursächsischen	w3563
Postämtern	w3564
jährlich	w3565
um	w3566
4	w3567
<g/>
.
Thaler	w3569
<g/>
,
auch	w3571
von	w3572
dem	w3573
obersten	w3574
Postamte	w3575
zu	w3576
Wien	w3577
