<doc id="wr_1757-10-26" attrs="word" year="1757" month="10" day="26" corpus="2">
<head id="h2_d190e3644">
Zarskoje=Selo	w1_d190e3648
befinden.	w3_d190e7290
Den	w5_d190e7293
4.	w7_d190e7296
haben	w9_d190e7299
diese	w11_d190e7302
denen	w13_d190e7306
Preussen	w1_d190e7311
einen	w3_d190e7314
Wagen	w5_d190e7317
mit	w7_d190e7320
Geld	w9_d190e7323
und	w11_d190e7326
3.	w13_d190e7330
andere	w1_d190e7336
mit	w3_d190e7339
Munition	w5_d190e7342
beladen,	w7_d190e7345
abgenommen.	w9_d190e7348
Jn	w1_d190e7353
derselben	w3_d190e7356
Nacht	w5_d190e7359
überfielen	w7_d190e7362
sie	w9_d190e7365
auch	w11_d190e7368
eine	w13_d190e7372
Anzahl	w1_d190e7377
Preußischer	w3_d190e7380
Parthey=gänger,	w5_d190e7383
und	w7_d190e7386
be	w9_d190e7389
kamen	w1_d190e7394
verschiedene	w3_d190e7397
Officiers	w5_d190e7400
und	w7_d190e7403
Gemeine	w9_d190e7406
gefangen.	w1_d190e7412
Die	w3_d190e7415
Kaiserl.	w5_d190e7418
Königl.	w7_d190e7421
leichte	w9_d190e7424
Tru	w11_d190e7427
pen,	w1_d190e7432
welche	w3_d190e7435
bey	w5_d190e7438
Eulenburg	w7_d190e7441
und	w9_d190e7444
Wurzen	w11_d190e7447
ste	w13_d190e7451
hen,	w1_d190e7456
streiffen	w3_d190e7459
bis	w5_d190e7462
hieher,	w7_d190e7465
alwo	w9_d190e7468
der	w11_d190e7471
Comman	w13_d190e7475
dant	w1_d190e7480
alle	w3_d190e7483
Canonen	w5_d190e7486
scharf	w7_d190e7489
laden	w9_d190e7492
auch	w11_d190e7495
die	w13_d190e7499
in	w15_d190e7502
wendigen	w1_d190e7508
Contrescarpen	w3_d190e7511
und	w5_d190e7514
die	w7_d190e7517
Schlagbäu	w9_d190e7520
me	w1_d190e7525
zumachen	w3_d190e7528
lassen.	w5_d190e7531
Man	w7_d190e7534
versichert,	w9_d190e7537
daß	w11_d190e7540
der	w1_d190e7545
Herr	w3_d190e7548
General	w5_d190e7551
Hadick	w7_d190e7554
Ordre	w9_d190e7557
habe,	w11_d190e7560
von	w13_d190e7564
Elsterwerde	w1_d190e7569
aus	w3_d190e7572
in	w5_d190e7575
das	w7_d190e7578
Brandenburgisch	w9_d190e7581
zu	w1_d190e7587
rücken.	w3_d190e7590
</p>
<head id="h2_d190e7596">
Zelle	w1_d190e7600
4.	w3_d190e7603
Octob.	w5_d190e7606
</head>
<p id="p4_d190e7609">
Von	w1_d190e7613
hieraus	w3_d190e7616
kommt	w5_d190e7619
zu	w7_d190e7622
berichten,	w9_d190e7625
daß	w11_d190e7628
die	w1_d190e7633
Französische=Hussaren	w3_d190e7636
von	w5_d190e7639
dem	w7_d190e7642
Regi	w9_d190e7645
mente	w1_d190e7650
des	w3_d190e7653
Generals	w5_d190e7656
Polleretzky	w7_d190e7659
in	w9_d190e7662
die	w11_d190e7665
Alt	w13_d190e7669
Mark	w1_d190e7675
und	w3_d190e7678
die	w5_d190e7681
Priegnitz	w7_d190e7684
eingerückt	w9_d190e7687
seyen,	w11_d190e7690
und	w13_d190e7694
die	w1_d190e7699
Preußische	w3_d190e7702
Landes=directores,	w5_d190e7705
von	w7_d190e7708
Ja	w9_d190e7711
gow,	w1_d190e7716
von	w3_d190e7719
Grävenitz	w5_d190e7722
und	w7_d190e7725
von	w9_d190e7728
Lattorf,	w11_d190e7731
nebst	w13_d190e7735
dem	w1_d190e7740
Land=rathe	w3_d190e7743
von	w5_d190e7746
Bülow,	w7_d190e7749
in	w9_d190e7752
besagten	w11_d190e7755
Provinzen	w1_d190e7761
aufgehoben,	w3_d190e7764
sohin	w5_d190e7767
von	w7_d190e7770
da	w9_d190e7773
über	w11_d190e7776
Dannenberg	w1_d190e7781
hieher	w3_d190e7784
geführet	w5_d190e7787
haben,	w7_d190e7790
allwe	w9_d190e7793
sie	w1_d190e7798
in	w3_d190e7801
dem	w5_d190e7804
Königl.	w7_d190e7807
Schloß	w9_d190e7810
logiren,	w11_d190e7813
jedoch	w13_d190e7817
die	w1_d190e7822
Freyheit	w3_d190e7825
nicht	w5_d190e7828
haben,	w7_d190e7831
aus	w9_d190e7834
demselben	w11_d190e7837
zu	w13_d190e7841
gehen.	w1_d190e7847
Der	w3_d190e7850
hiesige	w5_d190e7853
Commendant	w7_d190e7856
Oberst	w9_d190e7859
Leutenant	w1_d190e7864
Longwal,	w3_d190e7867
hat	w5_d190e7870
die	w7_d190e7873
Ankunft	w9_d190e7876
dieser	w11_d190e7879
Land=directoren	w1_d190e7884
und	w3_d190e7887
Rähten	w5_d190e7890
in	w7_d190e7893
2.	w9_d190e7896
Kutschen	w11_d190e7899
und	w1_d190e7904
unter	w3_d190e7907
einer	w5_d190e7910
Escorte	w7_d190e7913
von	w9_d190e7916
8.	w11_d190e7919
Hussaren	w13_d190e7923
</p>
<p id="p6_d190e7926">
dem	w1_d190e7930
Herzoge	w3_d190e7933
von	w5_d190e7936
Richelieu	w7_d190e7939
sofort	w9_d190e7942
durch	w11_d190e7945
eine	w13_d190e7949
Staffette	w1_d190e7954
gemeldet,	w3_d190e7957
und	w5_d190e7960
um	w7_d190e7963
Verhaltungs	w9_d190e7966
befehle	w1_d190e7971
sich	w3_d190e7974
angefraget.	w5_d190e7977
</p>
<p id="p8_d190e7980">
Jn	w1_d190e7984
diesem	w3_d190e7987
Schlosse	w5_d190e7990
an	w7_d190e7993
diesem	w9_d190e7996
letz	w11_d190e7999
tern	w1_d190e8004
Orte	w3_d190e8007
haben	w5_d190e8010
sich	w7_d190e8013
sonst	w9_d190e8016
auch	w11_d190e8019
noch	w13_d190e8023
150.	w15_d190e8026
Französische	w1_d190e8031
Soldaten	w3_d190e8034
mit	w5_d190e8037
einlogiret.	w7_d190e8040
</p>
<head id="h2_d190e8046">
Weimar,	w1_d190e8050
11.	w3_d190e8053
Octob.	w5_d190e8056
</head>
<p id="p4_d190e8059">
Der	w1_d190e8063
König	w3_d190e8066
von	w5_d190e8069
Preußen	w7_d190e8072
befindet	w9_d190e8075
sich	w11_d190e8078
noch	w13_d190e8082
in	w1_d190e8087
denen	w3_d190e8090
Gegenden	w5_d190e8093
von	w7_d190e8096
Buttelstadt	w9_d190e8099
und	w11_d190e8102
lasset	w13_d190e8106
die	w1_d190e8111
Bewegungen	w3_d190e8114
der	w5_d190e8117
Reichs	w7_d190e8120
und	w9_d190e8123
Französi	w11_d190e8126
schen	w1_d190e8132
Armee	w3_d190e8135
durch	w5_d190e8138
Detaschements	w7_d190e8141
leichter	w9_d190e8144
Trupen	w1_d190e8149
genau	w3_d190e8152
beobachten.	w5_d190e8155
Die	w7_d190e8158
erstere	w9_d190e8161
be	w11_d190e8164
findet	w1_d190e8169
sich	w3_d190e8172
noch	w5_d190e8175
in	w7_d190e8178
ihrem	w9_d190e8181
Lager	w11_d190e8184
bey	w13_d190e8188
Erfurt,	w15_d190e8191
wiewol	w1_d190e8196
den	w3_d190e8199
7.	w5_d190e8202
die	w7_d190e8205
Avant=garde	w9_d190e8208
bis	w11_d190e8211
hieher	w13_d190e8215
und	w1_d190e8221
Ettersberg	w3_d190e8224
vorrückte,	w5_d190e8227
so,	w7_d190e8230
daß	w9_d190e8233
sie	w11_d190e8236
der	w13_d190e8240
Preußischen	w1_d190e8245
Avant=garde	w3_d190e8248
ins	w5_d190e8251
Gesichte	w7_d190e8254
kam,	w9_d190e8257
alleine	w1_d190e8262
es	w3_d190e8265
fiel	w5_d190e8268
dem	w7_d190e8271
ungeachtet	w9_d190e8274
nichtes	w11_d190e8277
beson	w13_d190e8281
ders	w1_d190e8286
vor.	w3_d190e8289
Diese	w5_d190e8292
Avant=garde	w7_d190e8295
der	w9_d190e8298
Reichs	w11_d190e8301
armee	w1_d190e8307
verstärkte	w3_d190e8310
der	w5_d190e8313
Graf	w7_d190e8316
von	w9_d190e8319
St.	w11_d190e8322
Germain	w13_d190e8326
mit	w1_d190e8331
1900.	w3_d190e8334
Mann,	w5_d190e8337
wobey	w7_d190e8340
sich	w9_d190e8343
alle	w11_d190e8346
Hussaren	w13_d190e8350
befanden.	w1_d190e8355
Der	w3_d190e8358
Hr.	w5_d190e8361
von	w7_d190e8364
Maylly	w9_d190e8367
stehet	w11_d190e8370
zu	w13_d190e8374
Graffentona	w1_d190e8379
mit	w3_d190e8382
der	w5_d190e8385
Brigade	w7_d190e8388
von	w9_d190e8391
Touraine	w11_d190e8394
und	w1_d190e8400
2.	w3_d190e8403
Brigaden	w5_d190e8406
Cavallerie,	w7_d190e8409
und	w9_d190e8412
seine	w11_d190e8415
Po	w13_d190e8419
sition	w1_d190e8424
beziehet	w3_d190e8427
sich	w5_d190e8430
blos	w7_d190e8433
auf	w9_d190e8436
die	w11_d190e8439
Bewegun	w13_d190e8443
gen,	w1_d190e8448
die	w3_d190e8451
von	w5_d190e8454
der	w7_d190e8457
Reichs	w9_d190e8460
und	w11_d190e8463
Französischen	w13_d190e8467
Armee	w1_d190e8472
gemacht	w3_d190e8475
werden	w5_d190e8478
dörften,	w7_d190e8481
um	w9_d190e8484
sich	w11_d190e8487
mit	w13_d190e8491
der	w1_d190e8497
Richelieuischen	w3_d190e8500
zu	w5_d190e8503
vereinigen.	w7_d190e8506
</p>
<head id="h2_d190e8513">
Cassel,	w1_d190e8517
11.	w3_d190e8520
Octob.	w5_d190e8523
</head>
<p id="p4_d190e8526">
Gestern,	w1_d190e8530
Nachmittags	w3_d190e8533
gegen	w5_d190e8536
3.	w7_d190e8539
Uhr,	w9_d190e8542
arrivirten	w1_d190e8547
Jhre	w3_d190e8550
Hoheiten,	w5_d190e8553
der	w7_d190e8556
Prinz	w9_d190e8559
Conde,	w11_d190e8562
und	w1_d190e8567
der	w3_d190e8570
Comte	w5_d190e8573
de	w7_d190e8576
la	w9_d190e8579
March,	w11_d190e8582
bey	w13_d190e8586
hohem	w15_d190e8589
Wolseyn,	w1_d190e8595
in	w3_d190e8598
unserer	w5_d190e8601
Stadt.	w7_d190e8604
Des	w9_d190e8607
Fran	w11_d190e8610
zösischen	w1_d190e8615
Herrn	w3_d190e8618
General=leutenants	w5_d190e8621
und	w7_d190e8624
hie	w9_d190e8627
sigen	w1_d190e8632
Gouverneurs,	w3_d190e8635
Grafens	w5_d190e8638
von	w7_d190e8641
Bercheny	w9_d190e8644
Excellenz,	w1_d190e8649
empfiengen	w3_d190e8652
Hoch=dieselben,	w5_d190e8655
von	w7_d190e8658
dem	w9_d190e8661
Hrn.	w1_d190e8667
Obristen	w3_d190e8670
Baron	w5_d190e8673
von	w7_d190e8676
Wald	w9_d190e8679
und	w11_d190e8682
samtlichen	w13_d190e8686
übrigen	w1_d190e8691
allhier,	w3_d190e8694
garnisonirenden	w5_d190e8697
Herren	w7_d190e8700
Stabs=officiers	w1_d190e8705
begleitet,	w3_d190e8708
vor	w5_d190e8711
der	w7_d190e8714
Barriere	w9_d190e8717
hiesiger	w1_d190e8722
Festung.	w3_d190e8725
Die	w5_d190e8728
allhier	w7_d190e8731
in	w9_d190e8734
Garnison	w11_d190e8737
stehende	w1_d190e8743
beyde	w3_d190e8746
Regimenter	w5_d190e8749
Bretagne	w7_d190e8752
und	w9_d190e8755
Talaru,	w1_d190e8760
paradirten	w3_d190e8763
auf	w5_d190e8766
beyden	w7_d190e8769
Seiten	w9_d190e8772
de	w11_d190e8775
rerjenigen	w1_d190e8780
Strassen,	w3_d190e8783
welche	w5_d190e8786
Jhre	w7_d190e8789
Hoheiten,	w9_d190e8792
unter	w1_d190e8797
einer	w3_d190e8800
starken	w5_d190e8803
Escorte	w7_d190e8806
von	w9_d190e8809
der	w11_d190e8812
Franzö	w13_d190e8816
sischen	w1_d190e8822
Gens	w3_d190e8825
d'Armerie,	w5_d190e8828
paßirten.	w7_d190e8831
36.	w9_d190e8834
Ca	w11_d190e8837
nonen	w1_d190e8842
wurden	w3_d190e8845
zu	w5_d190e8848
zweymalen	w7_d190e8851
von	w9_d190e8854
denen	w11_d190e8857
Wäl	w13_d190e8861
len	w1_d190e8866
um	w3_d190e8869
die	w5_d190e8872
Stadt	w7_d190e8875
abgefeuert,	w9_d190e8878
und	w11_d190e8881
auf	w13_d190e8885
hie	w15_d190e8888
sigem	w1_d190e8893
Residenz=schlosse,	w3_d190e8896
woselbst	w5_d190e8899
diese	w7_d190e8902
hohe	w9_d190e8905
Prinzen	w1_d190e8911
abzutreten	w3_d190e8914
geruheten,	w5_d190e8917
hatte	w7_d190e8920
sich	w9_d190e8923
das	w11_d190e8926
hiesige	w1_d190e8931
Fürstliche	w3_d190e8934
Ministerium,	w5_d190e8937
sammt	w7_d190e8940
allen	w9_d190e8943
Hof=cavaliers	w1_d190e8948
versammelt,	w3_d190e8951
welche	w5_d190e8954
Jhre	w7_d190e8957
</p>
<p id="p10_d190e8970">
Hoheiten	w1_d190e8974
unter	w3_d190e8977
thänigst	w5_d190e8980
bewillkommeten.	w7_d190e8983
Der	w9_d190e8986
Herr	w1_d190e8991
Cammer=herr	w3_d190e8994
von	w5_d190e8997
Kose,	w7_d190e9000
hatte	w9_d190e9003
die	w11_d190e9006
Aufwartung	w1_d190e9011
bey	w3_d190e9014
diesen	w5_d190e9017
hohen	w7_d190e9020
Prinzen,	w9_d190e9023
wel	w11_d190e9026
che	w1_d190e9032
sohin	w3_d190e9035
von	w5_d190e9038
denen	w7_d190e9041
Fürstlichen	w9_d190e9044
Pages	w11_d190e9047
und	w1_d190e9052
übrigen	w3_d190e9055
Hof=equipage	w5_d190e9058
bedienet	w7_d190e9061
worden.	w9_d190e9064
Nach	w1_d190e9069
einem	w3_d190e9072
kleinen	w5_d190e9075
Verweilen,	w7_d190e9078
erhuben	w9_d190e9081
sich	w11_d190e9084
Jhre	w1_d190e9089
Hoheiten	w3_d190e9092
von	w5_d190e9095
hier	w7_d190e9098
nach	w9_d190e9101
Carlsberg,	w11_d190e9104
und	w1_d190e9110
nahmen	w3_d190e9113
daselbst	w5_d190e9116
die	w7_d190e9119
sehenswürdigen	w9_d190e9122
Wasser=fälle	w1_d190e9127
und	w3_d190e9130
Spring=wässer	w5_d190e9133
in	w7_d190e9136
hohen	w9_d190e9139
Augenschein,	w1_d190e9144
wie	w3_d190e9147
Sie	w5_d190e9150
den	w7_d190e9153
auch	w9_d190e9156
nach	w11_d190e9159
Dero,	w13_d190e9163
unter	w1_d190e9168
Vorreitung	w3_d190e9171
derer	w5_d190e9174
Fürstlichen	w7_d190e9177
Pages,	w9_d190e9180
und	w1_d190e9186
Begleitung	w3_d190e9189
derer	w5_d190e9192
sämmtlichen	w7_d190e9195
hiesig	w9_d190e9198
Fürst	w11_d190e9201
lichen	w1_d190e9206
Hof=cavaliers,	w3_d190e9209
in	w5_d190e9212
dreyen	w7_d190e9215
sechsspän	w9_d190e9218
nigen	w1_d190e9223
Wägen	w3_d190e9226
erfolgten	w5_d190e9229
Retour,	w7_d190e9232
die	w9_d190e9235
hiesige	w11_d190e9238
Fürstliche	w1_d190e9243
Orangerie	w3_d190e9246
zu	w5_d190e9249
besehen,	w7_d190e9252
geruheten.	w9_d190e9255
Abends	w1_d190e9261
um	w3_d190e9264
6.	w5_d190e9267
Uhr	w7_d190e9270
erhuben	w9_d190e9273
sich	w11_d190e9276
Jhre	w13_d190e9280
Ho	w15_d190e9283
heiten	w1_d190e9288
in	w3_d190e9291
Sr.	w5_d190e9294
des	w7_d190e9297
Französischen	w9_d190e9300
Generalleu	w11_d190e9303
tenants	w1_d190e9308
und	w3_d190e9311
hiesigen	w5_d190e9314
Gouverneurs,	w7_d190e9317
Herrn	w9_d190e9320
Grafens	w1_d190e9325
von	w3_d190e9328
Bercheny	w5_d190e9331
Excellenz,	w7_d190e9334
Quartier,	w9_d190e9337
in	w1_d190e9343
das	w3_d190e9346
sogenannte	w5_d190e9349
Fürst	w7_d190e9352
Marische	w9_d190e9355
Haus,	w11_d190e9358
und	w1_d190e9363
wurden	w3_d190e9366
von	w5_d190e9369
Sr.	w7_d190e9372
Excellenz	w9_d190e9375
mit	w11_d190e9378
einem	w13_d190e9382
kostbaren	w1_d190e9387
Soupe	w3_d190e9390
bewirtet,	w5_d190e9393
zu	w7_d190e9396
welchen,	w9_d190e9399
nebst	w11_d190e9402
allen	w1_d190e9407
hohen	w3_d190e9410
Französischen	w5_d190e9413
Herren	w7_d190e9416
Officiers,	w9_d190e9419
auch	w1_d190e9425
das	w3_d190e9428
hiesige	w5_d190e9431
Fürstliche	w7_d190e9434
Ministerium	w9_d190e9437
und	w11_d190e9440
sämmtliche	w1_d190e9445
Hof=cavaliers,	w3_d190e9448
invitiret	w5_d190e9451
waren,	w7_d190e9454
und	w1_d190e9459
in	w3_d190e9462
Gala	w5_d190e9465
erschienen.	w7_d190e9468
Jhre	w9_d190e9471
Hoheiten	w11_d190e9474
wurden	w1_d190e9479
bey	w3_d190e9482
der	w5_d190e9485
Tafel	w7_d190e9488
durch	w9_d190e9491
Fürstliche	w11_d190e9494
Pa	w13_d190e9498
ges	w1_d190e9504
bedienet,	w3_d190e9507
und	w5_d190e9510
die	w7_d190e9513
Versammlung	w9_d190e9516
derer	w11_d190e9519
Französischen	w1_d190e9524
Herren	w3_d190e9527
Officiers,	w5_d190e9530
so	w7_d190e9533
sich	w9_d190e9536
um	w11_d190e9539
die	w1_d190e9544
Tafel	w3_d190e9547
rangiret	w5_d190e9550
hatten,	w7_d190e9553
war	w9_d190e9556
sehr	w11_d190e9559
zahl	w13_d190e9563
reich.	w1_d190e9568
Gegen	w3_d190e9571
10.	w5_d190e9574
Uhr	w7_d190e9577
Nachts,	w9_d190e9580
wurde	w11_d190e9583
die	w1_d190e9589
Tafel	w3_d190e9592
aufgehoben,	w5_d190e9595
und	w7_d190e9598
Jhre	w9_d190e9601
Hoheiten	w11_d190e9604
verfügten	w1_d190e9609
sich	w3_d190e9612
mit	w5_d190e9615
einer	w7_d190e9618
grossen	w9_d190e9621
Suite	w11_d190e9624
wieder	w1_d190e9629
auf	w3_d190e9632
hiesieges	w5_d190e9635
Residenz=schloß,	w7_d190e9638
und	w9_d190e9641
begaben	w1_d190e9646
sich	w3_d190e9649
allda	w5_d190e9652
zur	w7_d190e9655
Ruhe.	w9_d190e9658
Heute	w11_d190e9661
früh	w13_d190e9665
um	w1_d190e9671
7.	w3_d190e9674
Uhr,	w5_d190e9677
sind	w7_d190e9680
Hoch=dieselben	w9_d190e9683
unter	w11_d190e9686
aber	w13_d190e9690
mahliger	w1_d190e9695
Erweisung	w3_d190e9698
aller	w5_d190e9701
Dero	w7_d190e9704
hohen	w9_d190e9707
Ge	w11_d190e9710
burt	w1_d190e9715
schuldigen	w3_d190e9718
Ehren=bezeigungen,	w5_d190e9721
wieder	w7_d190e9724
von	w1_d190e9729
hier	w3_d190e9732
abgereiset,	w5_d190e9735
und	w7_d190e9738
haben	w9_d190e9741
Dero	w11_d190e9744
Tour	w13_d190e9748
gegen	w1_d190e9754
Marburg	w3_d190e9757
fortgesetzet.	w5_d190e9760
Man	w7_d190e9763
sagt,	w9_d190e9766
daß	w11_d190e9769
Se.	w1_d190e9774
Excellenz,	w3_d190e9777
unser	w5_d190e9780
Herr	w7_d190e9783
Gouverneur	w9_d190e9786
Jhren	w11_d190e9789
Hoheiten	w1_d190e9794
bald	w3_d190e9797
nachfolgen	w5_d190e9800
würde,	w7_d190e9803
und	w9_d190e9806
wir	w11_d190e9809
sind	w1_d190e9814
diesfalls	w3_d190e9817
sehr	w5_d190e9820
embaraßirt,	w7_d190e9823
weilen	w9_d190e9826
wir	w11_d190e9829
nicht	w1_d190e9835
glauben	w3_d190e9838
können,	w5_d190e9841
daß	w7_d190e9844
wir	w9_d190e9847
wieder	w11_d190e9850
einen	w13_d190e9854
Gouverneur	w1_d190e9859
haben	w3_d190e9862
werden,	w5_d190e9865
welcher	w7_d190e9868
gleich	w9_d190e9871
diesem	w1_d190e9876
von	w3_d190e9879
uns	w5_d190e9882
wahrhaftig	w7_d190e9885
geliebten	w9_d190e9888
Herrn	w11_d190e9891
mit	w1_d190e9896
uns	w3_d190e9899
handelt,	w5_d190e9902
den	w7_d190e9905
durch	w9_d190e9908
Sr.	w11_d190e9911
des	w13_d190e9915
Herrn	w15_d190e9918
Grafens	w1_d190e9924
Bercheny	w3_d190e9927
Excellenz	w5_d190e9930
gegen	w7_d190e9933
uns	w9_d190e9936
allent	w11_d190e9939
halben	w1_d190e9944
bezeigte	w3_d190e9947
Menschen	w5_d190e9950
und	w7_d190e9953
Gerechtigkeits	w9_d190e9956
liebe	w1_d190e9961
sind	w3_d190e9964
wir	w5_d190e9967
das	w7_d190e9970
Bittere	w9_d190e9973
dieser	w11_d190e9976
Zeit	w13_d190e9980
kaum	w15_d190e9983
gewahr	w1_d190e9988
worden.	w3_d190e9991
</p>
<head id="h2_d190e9997">
Dreßden	w1_d190e10001
18.	w3_d190e10004
October.	w5_d190e10007
</head>
<p id="p4_d190e10010">
Seit	w1_d190e10014
letztern	w3_d190e10017
ist	w5_d190e10020
hiesigen	w7_d190e10023
Orts	w9_d190e10026
nichtes	w11_d190e10029
be	w13_d190e10033
sonders	w1_d190e10038
vorgefallen,	w3_d190e10041
als	w5_d190e10044
daß	w7_d190e10047
die	w9_d190e10050
Vertheidi	w11_d190e10053
gungs=anstalten,	w1_d190e10058
besonders	w3_d190e10061
vor	w5_d190e10064
Neustadt,	w7_d190e10067
al	w9_d190e10070
wo	w1_d190e10076
unter	w3_d190e10079
andern	w5_d190e10082
auch	w7_d190e10085
Wolfs=gruben	w9_d190e10088
gemacht	w11_d190e10091
werden,	w1_d190e10096
fort=dauern,	w3_d190e10099
und	w5_d190e10102
die	w7_d190e10105
Brucke	w9_d190e10108
des	w11_d190e10111
See=thores	w1_d190e10116
wird	w3_d190e10119
jetzo	w5_d190e10122
von	w7_d190e10125
oben	w9_d190e10128
her	w11_d190e10131
gänzlich	w13_d190e10135
abgetragen.	w1_d190e10140
Uber	w3_d190e10143
dieses	w5_d190e10146
sind	w7_d190e10149
auf	w9_d190e10152
dem	w11_d190e10155
Wall	w1_d190e10161
zu	w3_d190e10164
beyden	w5_d190e10167
Seiten	w7_d190e10170
Canonen	w9_d190e10173
gepflan	w11_d190e10176
zet,	w1_d190e10181
und	w3_d190e10184
was	w5_d190e10187
sonst	w7_d190e10190
zur	w9_d190e10193
Defension	w11_d190e10196
dienet,	w13_d190e10200
ins	w15_d190e10203
Werk	w1_d190e10208
gerichtet.	w3_d190e10211
Vor	w5_d190e10214
einigen	w7_d190e10217
Tagen	w9_d190e10220
ist	w11_d190e10223
mit	w13_d190e10227
der	w1_d190e10232
ordinairen	w3_d190e10235
Post	w5_d190e10238
über	w7_d190e10241
Leipzig	w9_d190e10244
eine	w11_d190e10247
anderwei	w13_d190e10251
tige	w1_d190e10257
Preußische	w3_d190e10260
Ordre,	w5_d190e10263
welche	w7_d190e10266
der	w9_d190e10269
Kaiserl.	w11_d190e10272
Offi	w13_d190e10276
cier	w1_d190e10281
zu	w3_d190e10284
Meissen	w5_d190e10287
gleich	w7_d190e10290
andern	w9_d190e10293
Briefen	w11_d190e10296
eröfnet	w13_d190e10300
gehabt,	w1_d190e10305
jedoch	w3_d190e10308
anhero	w5_d190e10311
lauffen	w7_d190e10314
lassen,	w9_d190e10317
angelan	w11_d190e10320
get,	w1_d190e10325
daß	w3_d190e10328
die	w5_d190e10331
Land=stände	w7_d190e10334
die	w9_d190e10337
ehedem	w11_d190e10340
verlang	w13_d190e10344
te	w1_d190e10350
aber	w3_d190e10353
deprecirte	w5_d190e10356
500000	w7_d190e10359
Rthlr.	w9_d190e10362
bey	w11_d190e10365
Ver	w13_d190e10369
meidung	w1_d190e10374
der	w3_d190e10377
Execution,	w5_d190e10380
bezahlen	w7_d190e10383
sollen.	w9_d190e10386
Der	w11_d190e10389
bisherige	w1_d190e10394
Marsch	w3_d190e10397
der	w5_d190e10400
Kaiserl.	w7_d190e10403
leichten	w9_d190e10406
Trupen	w11_d190e10409
einigen	w1_d190e10414
tausend	w3_d190e10417
Mann	w5_d190e10420
Hussaren	w7_d190e10423
und	w9_d190e10426
Croaten	w11_d190e10429
über	w1_d190e10435
Hayn	w3_d190e10438
und	w5_d190e10441
dasiger	w7_d190e10444
Gegend,	w9_d190e10447
soll	w11_d190e10450
nach	w13_d190e10454
Aussage	w1_d190e10459
der	w3_d190e10462
Passagiers	w5_d190e10465
im	w7_d190e10468
Brandenburgischen	w9_d190e10471
nicht	w1_d190e10476
geringe	w3_d190e10479
Forcht	w5_d190e10482
erwecken,	w7_d190e10485
und	w9_d190e10488
solten	w11_d190e10491
so	w13_d190e10495
gar	w1_d190e10500
Jhre	w3_d190e10503
Majestät	w5_d190e10506
die	w7_d190e10509
Königin	w9_d190e10512
aus	w11_d190e10515
Berlin	w13_d190e10519
bereits	w1_d190e10525
sich	w3_d190e10528
weg=begeben	w5_d190e10531
haben.	w7_d190e10534
Jn	w9_d190e10537
hiesiger	w11_d190e10540
Gegend	w1_d190e10545
halten	w3_d190e10548
sich	w5_d190e10551
einige	w7_d190e10554
dergleichen	w9_d190e10557
Völker	w11_d190e10560
annoch	w1_d190e10565
oberhalb	w3_d190e10568
der	w5_d190e10571
Elbe	w7_d190e10574
und	w9_d190e10577
bey	w11_d190e10580
Schönfelde	w13_d190e10584
auf,	w1_d190e10589
und	w3_d190e10592
haben	w5_d190e10595
die	w7_d190e10598
meisten	w9_d190e10601
davon	w11_d190e10604
sich	w13_d190e10608
mit	w15_d190e10611
vorgedachten	w1_d190e10617
auf	w3_d190e10620
den	w5_d190e10623
Marsch	w7_d190e10626
begeben	w9_d190e10629
müssen.	w11_d190e10632
</p>
<head id="h2_d190e10638">
Marburg	w1_d190e10642
16.	w3_d190e10645
Octob.	w5_d190e10648
</head>
<p id="p4_d190e10651">
Die	w1_d190e10655
zwey	w3_d190e10658
Französische	w5_d190e10661
Battaillons,	w7_d190e10664
so	w9_d190e10667
unlängst	w1_d190e10672
von	w3_d190e10675
Kirchhayn	w5_d190e10678
und	w7_d190e10681
dortiger	w9_d190e10684
Ge	w11_d190e10687
gend	w1_d190e10692
aufbrachen,	w3_d190e10695
und	w5_d190e10698
der	w7_d190e10701
damaligen	w9_d190e10704
Rede	w11_d190e10707
nach	w1_d190e10713
ihren	w3_d190e10716
Weg	w5_d190e10719
nach	w7_d190e10722
Eisenach	w9_d190e10725
nehmen	w11_d190e10728
solten,	w13_d190e10732
kamen	w1_d190e10737
vor	w3_d190e10740
8.	w5_d190e10743
Tagen	w7_d190e10746
wieder	w9_d190e10749
zurück,	w11_d190e10752
und	w13_d190e10756
löseten	w15_d190e10759
die	w1_d190e10764
von	w3_d190e10767
hier	w5_d190e10770
nach	w7_d190e10773
Cassel	w9_d190e10776
gegangene	w11_d190e10779
Besatzung	w13_d190e10783
ab.	w1_d190e10788
Das	w3_d190e10791
Mehl=führen,	w5_d190e10794
welches	w7_d190e10797
eine	w9_d190e10800
Zeit	w11_d190e10803
lang	w1_d190e10809
wegen	w3_d190e10812
der	w5_d190e10815
Winter=saat	w7_d190e10818
eingestellt	w9_d190e10821
ge	w11_d190e10824
wesen,	w1_d190e10829
hat	w3_d190e10832
wiederum	w5_d190e10835
seinen	w7_d190e10838
Anfang	w9_d190e10841
genom	w11_d190e10844
men,	w1_d190e10849
und	w3_d190e10852
müssen	w5_d190e10855
die	w7_d190e10858
Ober=heßische	w9_d190e10861
Unter	w11_d190e10864
thanen	w1_d190e10869
dasselbe	w3_d190e10872
anstatt	w5_d190e10875
nach	w7_d190e10878
Holzdorf,	w9_d190e10881
anjetzt	w11_d190e10884
bis	w1_d190e10890
Jesberg	w3_d190e10893
