<doc id="wr_1756-01-31" attrs="word" year="1756" month="01" day="31" corpus="2">
<head id="h2_d9e2606">
Belem	w1_d9e2610
General=commando	w5_d9e6348
auf	w7_d9e6351
den	w9_d9e6354
Küsten	w1_d9e6360
des	w3_d9e6363
Mittelländischen	w5_d9e6366
Meers,	w7_d9e6369
von	w9_d9e6372
der	w1_d9e6377
Spanischen	w3_d9e6380
Gränze	w5_d9e6383
bis	w7_d9e6386
an	w9_d9e6389
den	w11_d9e6392
Varo,	w13_d9e6396
erhalten,	w1_d9e6401
wird	w3_d9e6404
3.	w5_d9e6407
General=leutenants,	w7_d9e6410
und	w9_d9e6413
a.	w1_d9e6418
Marechals	w3_d9e6421
de	w5_d9e6424
Camp	w7_d9e6427
unter	w9_d9e6430
sich	w11_d9e6433
haben.	w13_d9e6437
</p>
<head id="h2_d9e6443">
Paris	w1_d9e6447
12.	w3_d9e6450
Jan.	w5_d9e6453
</head>
<p id="p4_d9e6456">
Die	w1_d9e6460
Befehle	w3_d9e6463
seynd	w5_d9e6466
ausgefertiget,	w7_d9e6469
daß	w9_d9e6472
100.	w11_d9e6475
Bataillons	w1_d9e6480
und	w3_d9e6483
12.	w5_d9e6486
Dragonner=regimenter	w7_d9e6489
gegen	w1_d9e6494
die	w3_d9e6497
Küsten	w5_d9e6500
marschiren	w7_d9e6503
sollen.	w9_d9e6506
Von	w11_d9e6509
Naucy	w1_d9e6515
vernihmt	w3_d9e6518
man,	w5_d9e6521
daß	w7_d9e6524
daselbst	w9_d9e6527
die	w11_d9e6530
Frau	w13_d9e6534
Herzogin	w1_d9e6539
Osolinsty	w3_d9e6542
plötzlich	w5_d9e6545
verstorben.	w7_d9e6548
Nach	w9_d9e6551
denen	w1_d9e6556
neuesten	w3_d9e6559
Briefen	w5_d9e6562
von	w7_d9e6565
Brest	w9_d9e6568
ligen	w11_d9e6571
alle	w13_d9e6575
zu	w1_d9e6580
des	w3_d9e6583
Herrn	w5_d9e6586
von	w7_d9e6589
Perrier	w9_d9e6592
Escadre	w11_d9e6595
gehörige	w13_d9e6599
Schiffe	w1_d9e6605
und	w3_d9e6608
Fregatten	w5_d9e6611
auf	w7_d9e6614
der	w9_d9e6617
Rheede,	w11_d9e6620
und	w13_d9e6624
man	w1_d9e6629
erwartet	w3_d9e6632
daselbst	w5_d9e6635
das	w7_d9e6638
Schif	w9_d9e6641
le	w11_d9e6644
Prudent,	w13_d9e6648
und	w1_d9e6653
die	w3_d9e6656
zu	w5_d9e6659
Rechefort	w7_d9e6662
ausgerüstete	w9_d9e6665
Fregat	w11_d9e6668
ten.	w1_d9e6673
Kein	w3_d9e6676
Mensch	w5_d9e6679
kan	w7_d9e6682
aber	w9_d9e6685
noch	w11_d9e6688
die	w13_d9e6692
wahre	w15_d9e6695
Bestimmung	w1_d9e6701
dieser	w3_d9e6704
Escadre	w5_d9e6707
erfahren.	w7_d9e6710
Es	w9_d9e6713
ist	w11_d9e6716
Befehl	w1_d9e6721
gegeben,	w3_d9e6724
noch	w5_d9e6727
6	w7_d9e6730
andere	w9_d9e6733
grosse	w11_d9e6736
Schiffe	w13_d9e6740
zu	w1_d9e6745
bewafnen,	w3_d9e6748
um	w5_d9e6751
noch	w7_d9e6754
eine	w9_d9e6757
neue	w11_d9e6760
Escadre	w13_d9e6764
zu	w15_d9e6767
errichten,	w1_d9e6772
welche	w3_d9e6775
der	w5_d9e6778
Herr	w7_d9e6781
du	w9_d9e6784
Bois	w11_d9e6787
de	w13_d9e6791
la	w15_d9e6794
Mothe	w1_d9e6800
commandiren,	w3_d9e6803
und	w5_d9e6806
mit	w7_d9e6809
der	w9_d9e6812
er	w11_d9e6815
künf	w13_d9e6819
tiges	w1_d9e6824
Früh=jahr	w3_d9e6827
unter	w5_d9e6830
Seegel	w7_d9e6833
gehen	w9_d9e6836
soll.	w11_d9e6839
Die	w1_d9e6844
unter	w3_d9e6847
Führung	w5_d9e6850
des	w7_d9e6853
Herrn	w9_d9e6856
von	w11_d9e6859
Macar	w13_d9e6863
ti	w1_d9e6868
aus	w3_d9e6871
Rochefort	w5_d9e6874
gegangene	w7_d9e6877
Fregatte,	w9_d9e6880
die	w11_d9e6883
Tapferkeit,	w1_d9e6889
ist,	w3_d9e6892
laut	w5_d9e6895
sichern	w7_d9e6898
Nachrichten,	w9_d9e6901
glücklich	w1_d9e6906
zu	w3_d9e6909
Ludwigsburg	w5_d9e6912
angekommen,	w7_d9e6915
wo	w9_d9e6918
hin	w1_d9e6923
sie	w3_d9e6926
Befehle	w5_d9e6929
vom	w7_d9e6932
Hof	w9_d9e6935
und	w11_d9e6938
allerhand	w13_d9e6942
Krie	w15_d9e6945
ges=nohtwendigkeiten	w1_d9e6950
überbracht.	w3_d9e6953
Sie	w5_d9e6956
soll	w7_d9e6959
den	w1_d9e6965
Winter	w3_d9e6968
allda	w5_d9e6971
verbleiben,	w7_d9e6974
um	w9_d9e6977
alsdann	w11_d9e6980
einen	w1_d9e6985
vollständigen	w3_d9e6988
Bericht	w5_d9e6991
von	w7_d9e6994
demjenigen	w9_d9e6997
was	w1_d9e7002
dort	w3_d9e7005
zu	w5_d9e7008
Lande	w7_d9e7011
vorgefallen,	w9_d9e7014
nach	w11_d9e7017
Frank	w13_d9e7021
reich	w1_d9e7026
mitzubringen.	w3_d9e7029
Zu	w5_d9e7032
Brest	w7_d9e7035
klaget	w9_d9e7038
man	w11_d9e7041
sehr	w1_d9e7047
über	w3_d9e7050
das	w5_d9e7053
anhaltende	w7_d9e7056
stürmische	w9_d9e7059
Wetter	w11_d9e7062
auf	w1_d9e7067
den	w3_d9e7070
Meere,	w5_d9e7073
welches	w7_d9e7076
schon	w9_d9e7079
gemacht	w11_d9e7082
daß	w1_d9e7087
viele	w3_d9e7090
kleine	w5_d9e7093
Fahr=zeuge	w7_d9e7096
untergangen.	w9_d9e7099
</p>
<head id="h2_d9e7105">
Paris	w1_d9e7109
13.	w3_d9e7112
Januarii.	w5_d9e7115
</head>
<p id="p4_d9e7118">
Ausser	w1_d9e7122
denen	w3_d9e7125
Herzogen	w5_d9e7128
von	w7_d9e7131
Bellisle	w9_d9e7134
und	w11_d9e7137
Ri	w13_d9e7141
chelieu,	w1_d9e7146
welchen	w3_d9e7149
das	w5_d9e7152
Ober=Commandt	w7_d9e7155
an	w1_d9e7160
denen	w3_d9e7163
Küsten,	w5_d9e7166
wie	w7_d9e7169
letztens	w9_d9e7172
gemeldet,	w11_d9e7175
ist	w13_d9e7179
anvertrauet	w1_d9e7185
worden,	w3_d9e7188
haben	w5_d9e7191
Se	w7_d9e7194
Königl	w9_d9e7197
Maj.	w11_d9e7200
noch	w1_d9e7205
folgende	w3_d9e7208
Generals	w5_d9e7211
zu	w7_d9e7214
verschiedenen	w9_d9e7217
Bestim	w11_d9e7220
mungen	w1_d9e7225
ernannt;	w3_d9e7228
als	w5_d9e7231
den	w7_d9e7234
Generalleu	w9_d9e7237
tenant	w1_d9e7242
Marquis	w3_d9e7245
von	w5_d9e7248
Cremille,	w7_d9e7251
zum	w9_d9e7254
Gene	w11_d9e7257
ral=quartier=meister;	w1_d9e7263
den	w3_d9e7266
Marechal	w5_d9e7269
de	w7_d9e7272
Camp	w9_d9e7275
Marquis	w1_d9e7280
de	w3_d9e7283
Voyer	w5_d9e7286
d	w7_d9e7289
Argenson,	w9_d9e7292
zum	w11_d9e7295
Vice	w13_d9e7299
General=quartier=meister.	w1_d9e7304
Jn	w3_d9e7307
Flandern	w5_d9e7310
hat	w1_d9e7315
das	w3_d9e7318
Tommando	w5_d9e7321
der	w7_d9e7324
General=leutenant,	w9_d9e7327
Prinz	w1_d9e7333
von	w3_d9e7336
Soubise	w5_d9e7339
bekommen;	w7_d9e7342
in	w9_d9e7345
Boulon	w11_d9e7348
</p>
<p id="p6_d9e7351">
nois	w1_d9e7355
der	w3_d9e7358
Ceneral=leutenant,	w5_d9e7361
Herzog	w7_d9e7364
von	w9_d9e7367
Chevreuse;	w1_d9e7372
in	w3_d9e7375
der	w5_d9e7378
Picardie,	w7_d9e7381
der	w9_d9e7384
General	w11_d9e7387
leutenant,	w1_d9e7392
Herzog	w3_d9e7395
von	w5_d9e7398
Thaulnes,	w7_d9e7401
und	w9_d9e7404
der	w11_d9e7407
Feld=marschall,	w1_d9e7413
Herr	w3_d9e7416
von	w5_d9e7419
Lally;	w7_d9e7422
in	w9_d9e7425
der	w11_d9e7428
Normandie,	w1_d9e7433
der	w3_d9e7436
General=leutenant,	w5_d9e7439
Graf	w7_d9e7442
von	w1_d9e7447
Estrees,	w3_d9e7450
der	w5_d9e7453
General=leutenant	w7_d9e7456
Herzog	w9_d9e7459
von	w1_d9e7464
Harcourt,	w3_d9e7467
Marecheaux	w5_d9e7470
de	w7_d9e7473
Camp,	w9_d9e7476
Mar	w11_d9e7479
quis	w1_d9e7485
von	w3_d9e7488
Puysegur,	w5_d9e7491
und	w7_d9e7494
Marechal	w9_d9e7497
de	w11_d9e7500
Camp,	w13_d9e7504
Graf	w1_d9e7509
von	w3_d9e7512
Raymond,	w5_d9e7515
in	w7_d9e7518
Bretagne,	w9_d9e7521
der	w11_d9e7524
General=leutenant,	w1_d9e7529
Graf	w3_d9e7532
von	w5_d9e7535
Coetlogon;	w7_d9e7538
und	w1_d9e7543
der	w3_d9e7546
Narechal	w5_d9e7549
de	w7_d9e7552
Camp,	w9_d9e7555
Herzog	w11_d9e7558
von	w13_d9e7562
Aiquil	w15_d9e7565
lon;	w1_d9e7571
im	w3_d9e7574
Lande	w5_d9e7577
Aunis,	w7_d9e7580
die	w9_d9e7583
Marecheaux	w11_d9e7586
de	w13_d9e7590
Camp	w15_d9e7593
Graf	w1_d9e7598
von	w3_d9e7601
Clermont=gallerande,	w5_d9e7604
und	w7_d9e7607
Mar	w9_d9e7610
quis	w1_d9e7615
von	w3_d9e7618
Dreux;	w5_d9e7621
in	w7_d9e7624
Goyenne,	w9_d9e7627
der	w11_d9e7630
Gene	w13_d9e7634
ral=leutenant,	w1_d9e7639
Herr	w3_d9e7642
d'Herouville	w5_d9e7645
de	w7_d9e7648
Claye,	w9_d9e7651
und	w1_d9e7657
der	w3_d9e7660
Marechal	w5_d9e7663
de	w7_d9e7666
Camp,	w9_d9e7669
Marquis	w11_d9e7672
von	w13_d9e7676
Nar	w15_d9e7679
bon	w1_d9e7684
Narbonne	w3_d9e7687
Pelet;	w5_d9e7690
in	w7_d9e7693
Languedoc,	w9_d9e7696
der	w11_d9e7699
General=Leutenant,	w1_d9e7704
Herzog	w3_d9e7707
von	w5_d9e7710
Mirepoix,	w7_d9e7713
und	w1_d9e7718
der	w3_d9e7721
Marechal	w5_d9e7724
de	w7_d9e7727
Camp,	w9_d9e7730
Herr	w11_d9e7733
von	w13_d9e7737
Monson;	w15_d9e7740
in	w1_d9e7746
Provence,	w3_d9e7749
der	w5_d9e7752
General=leutenant	w7_d9e7755
von	w9_d9e7758
Ma	w11_d9e7761
ildois,	w1_d9e7766
und	w3_d9e7769
der	w5_d9e7772
Marechal	w7_d9e7775
de	w9_d9e7778
Camp,	w11_d9e7781
Graf	w13_d9e7785
von	w15_d9e7788
Lanyon.	w1_d9e7793
Aus	w3_d9e7796
Marseille	w5_d9e7799
vernimt	w7_d9e7802
man	w9_d9e7805
durch	w11_d9e7808
die	w1_d9e7813
neueste	w3_d9e7816
Briefe,	w5_d9e7819
daß	w7_d9e7822
die	w9_d9e7825
Engländischen	w11_d9e7828
Kriegs=schiffe	w1_d9e7834
unlängst	w3_d9e7837
8.	w5_d9e7840
Kauffarteyschif	w7_d9e7843
fe,	w1_d9e7848
welche	w3_d9e7851
an	w5_d9e7854
diesen	w7_d9e7857
Ort	w9_d9e7860
gehörten,	w11_d9e7863
hinweg	w13_d9e7867
genommen	w1_d9e7872
haben.	w3_d9e7875
Man	w5_d9e7878
hit	w7_d9e7881
aus	w9_d9e7884
dem	w11_d9e7887
Fle	w13_d9e7891
cken	w1_d9e7896
la	w3_d9e7899
Valette	w5_d9e7902
eine	w7_d9e7905
Meile	w9_d9e7908
van	w11_d9e7911
Angouleme	w13_d9e7915
Nachricht	w1_d9e7921
bekommen,	w3_d9e7924
daß	w5_d9e7927
sich	w7_d9e7930
daselbst	w9_d9e7933
auf	w11_d9e7936
einmal	w1_d9e7941
ein	w3_d9e7944
grundloses	w5_d9e7947
Wasser=loch	w7_d9e7950
in	w9_d9e7953
einer,	w1_d9e7958
sonst	w3_d9e7961
troknen	w5_d9e7964
Ebene,	w7_d9e7967
hervorge	w9_d9e7970
than,	w1_d9e7975
und	w3_d9e7978
eine	w5_d9e7981
Menge	w7_d9e7984
von	w9_d9e7987
allerley	w11_d9e7990
Haus	w13_d9e7994
geräte,	w1_d9e8000
Handwerks=zeug,	w3_d9e8003
rc	w5_d9e8006
ausgeworfen	w7_d9e8009
hätte;	w1_d9e8014
welches	w3_d9e8017
eine	w5_d9e8020
desto	w7_d9e8023
grössere	w9_d9e8026
Verwun	w11_d9e8029
derung	w1_d9e8034
erweckt,	w3_d9e8037
da	w5_d9e8040
kein	w7_d9e8043
Mensch	w9_d9e8046
begreifen	w11_d9e8049
kan,	w13_d9e8053
wo	w1_d9e8058
diese	w3_d9e8061
Gerätschaften	w5_d9e8064
hergekommen	w7_d9e8067
seynd.	w9_d9e8070
Ein	w1_d9e8076
in	w3_d9e8079
dieser	w5_d9e8082
Gegend	w7_d9e8085
befindlicher	w9_d9e8088
Spring	w11_d9e8091
brunnen,	w1_d9e8096
dessen	w3_d9e8099
Wasser	w5_d9e8102
allezeit	w7_d9e8105
ganz	w9_d9e8108
klar	w11_d9e8111
ge	w13_d9e8115
wesen,	w1_d9e8120
hat	w3_d9e8123
zu	w5_d9e8126
gleicher	w7_d9e8129
Zeit	w9_d9e8132
ein	w11_d9e8135
weislichtes	w13_d9e8139
und	w1_d9e8144
ganz	w3_d9e8147
schlammigtes	w5_d9e8150
Wasser	w7_d9e8153
von	w9_d9e8156
sich	w11_d9e8159
ge	w13_d9e8163
geben.	w1_d9e8169
Von	w3_d9e8172
Gemenox	w5_d9e8175
in	w7_d9e8178
der	w9_d9e8181
Provence	w11_d9e8184
ver	w13_d9e8188
nihmt	w1_d9e8193
man,	w3_d9e8196
daß	w5_d9e8199
am	w7_d9e8202
allerheiligen	w9_d9e8205
Tage	w11_d9e8208
des	w13_d9e8212
Morgens	w1_d9e8217
um	w3_d9e8220
10.	w5_d9e8223
Uhr	w7_d9e8226
eine	w9_d9e8229
Quelle,	w11_d9e8232
die	w13_d9e8236
aus	w15_d9e8239
dem	w1_d9e8244
Thale	w3_d9e8247
St.	w5_d9e8250
Pons	w7_d9e8253
komt,	w9_d9e8256
und	w11_d9e8259
über	w13_d9e8263
einen	w15_d9e8266
Felsen	w1_d9e8272
lauft,	w3_d9e8275
welcher	w5_d9e8278
mit	w7_d9e8281
der	w9_d9e8284
Reihe	w11_d9e8287
der	w13_d9e8291
be	w15_d9e8294
nachbarten	w1_d9e8299
felsichten	w3_d9e8302
Gebürgen	w5_d9e8305
Gemeinschaft	w7_d9e8308
hat,	w1_d9e8313
auf	w3_d9e8316
einmal	w5_d9e8319
so	w7_d9e8322
schlammigt	w9_d9e8325
und	w11_d9e8328
so	w13_d9e8332
rot	w15_d9e8335
geworden,	w1_d9e8340
daß	w3_d9e8343
es	w5_d9e8346
dem	w7_d9e8349
Wasser	w9_d9e8352
völlig	w11_d9e8355
gleich	w13_d9e8359
gewesen,	w1_d9e8365
welches	w3_d9e8368
bey	w5_d9e8371
grossen	w7_d9e8374
Regen=güssen	w9_d9e8377
von	w1_d9e8382
gedachten	w3_d9e8385
Gebürgen	w5_d9e8388
zu	w7_d9e8391
lauffen	w9_d9e8394
pfleget.	w11_d9e8397
Diese	w1_d9e8402
Quelle	w3_d9e8405
hat	w5_d9e8408
sich	w7_d9e8411
sonst	w9_d9e8414
vorhin	w11_d9e8417
bey	w13_d9e8421
denen	w15_d9e8424
Dee	w1_d9e8429
</p>
<p id="p10_d9e8434">
grösten	w1_d9e8438
Uhrströmungen,	w3_d9e8441
und	w5_d9e8444
heftigsten	w7_d9e8447
Stur	w9_d9e8450
men	w1_d9e8455
niemals	w3_d9e8458
verändert,	w5_d9e8461
sondern	w7_d9e8464
allezeit	w9_d9e8467
ein	w11_d9e8470
Crystall	w1_d9e8475
klares	w3_d9e8478
Wasser	w5_d9e8481
geführet.	w7_d9e8484
Derglei	w9_d9e8487
chen	w1_d9e8493
Begebenheiten	w3_d9e8496
haben	w5_d9e8499
sich	w7_d9e8502
in	w9_d9e8505
derselben	w11_d9e8508
Stunde	w1_d9e8513
zu	w3_d9e8516
la	w5_d9e8519
Roque,	w7_d9e8522
les	w9_d9e8525
Souliers,	w11_d9e8528
zu	w13_d9e8532
Cocurs,	w1_d9e8537
zu	w3_d9e8540
Canp	w5_d9e8543
les	w7_d9e8546
Brignoles	w9_d9e8549
ereignet,	w11_d9e8552
und	w1_d9e8557
sie	w3_d9e8560
geben	w5_d9e8563
den	w7_d9e8566
Naturkündigern	w9_d9e8569
Stof	w11_d9e8572
zu	w13_d9e8576
vielen	w1_d9e8582
Untersuchungen.	w3_d9e8585
</p>
<head id="h2_d9e8592">
Aus	w1_d9e8596
Niederland.	w3_d9e8599
</head>
<head id="h2_d9e8605">
Amsterdam	w1_d9e8609
12.	w3_d9e8612
Januarii.	w5_d9e8615
</head>
<p id="p4_d9e8618">
Man	w1_d9e8622
hat	w3_d9e8625
Bericht,	w5_d9e8628
daß	w7_d9e8631
2.	w9_d9e8634
unster	w11_d9e8637
Kriegs	w13_d9e8641
schiffe,	w1_d9e8646
deren	w3_d9e8649
eins	w5_d9e8652
vom	w7_d9e8655
Capitan	w9_d9e8658
Josinga	w11_d9e8661
und	w1_d9e8666
das	w3_d9e8669
andere	w5_d9e8672
von	w7_d9e8675
Capitan	w9_d9e8678
Decker	w11_d9e8681
gefüh	w13_d9e8685
ret	w1_d9e8691
wird,	w3_d9e8694
den	w5_d9e8697
14.	w7_d9e8700
December	w9_d9e8703
mit	w11_d9e8706
denen	w13_d9e8710
un	w15_d9e8713
ter	w1_d9e8718
ihrer	w3_d9e8721
Bedeckung	w5_d9e8724
habenden	w7_d9e8727
Kaufmanns	w9_d9e8730
schiffen	w1_d9e8735
zu	w3_d9e8738
Carthagena	w5_d9e8741
angekommen,	w7_d9e8744
da	w9_d9e8747
sie	w1_d9e8752
sich	w3_d9e8755
einige	w5_d9e8758
Tage	w7_d9e8761
alda	w9_d9e8764
aufhalten	w11_d9e8767
wolten	w13_d9e8771
sich	w1_d9e8777
mit	w3_d9e8780
gewissen	w5_d9e8783
nöhtigen	w7_d9e8786
Erfrischungen	w9_d9e8789
zu	w11_d9e8792
versehen,	w1_d9e8797
und	w3_d9e8800
daß	w5_d9e8803
sie	w7_d9e8806
sodann	w9_d9e8809
ihre	w11_d9e8812
Fahrt	w13_d9e8816
nach	w1_d9e8821
Cadix	w3_d9e8824
fortsetzen	w5_d9e8827
wurden.	w7_d9e8830
Sonst	w9_d9e8833
siehet	w11_d9e8836
man	w1_d9e8841
hier	w3_d9e8844
Briefe	w5_d9e8847
von	w7_d9e8850
Gibraltar,	w9_d9e8853
welche	w11_d9e8856
ver	w13_d9e8860
sichern,	w1_d9e8866
daß	w3_d9e8869
der	w5_d9e8872
Dey	w7_d9e8875
und	w9_d9e8878
die	w11_d9e8881
Regierun	w13_d9e8885
von	w1_d9e8890
Algier	w3_d9e8893
ihren	w5_d9e8896
Kappers	w7_d9e8899
Befehl	w9_d9e8902
ertheilet,	w11_d9e8905
alle	w1_d9e8910
Französische	w3_d9e8913
Schiffe	w5_d9e8916
wegzunehmen,	w7_d9e8919
die	w9_d9e8922
sie	w1_d9e8927
antreffen,	w3_d9e8930
und	w5_d9e8933
da	w7_d9e8936
sie	w9_d9e8939
deren	w11_d9e8942
bereits	w13_d9e8946
4	w15_d9e8949
sehr	w1_d9e8955
reich	w3_d9e8958
beladene	w5_d9e8961
weggenommen.	w7_d9e8964
</p>
<head id="h2_d9e8970">
Aus	w1_d9e8974
Preussen.	w3_d9e8977
Danzig	w1_d9e8982
4.	w3_d9e8985
Januarii.	w5_d9e8988
</head>
<p id="p4_d9e8991">
Auf	w1_d9e8995
einigen	w3_d9e8998
zu	w5_d9e9001
hiesigem	w7_d9e9004
Gebiet	w9_d9e9007
gehöri	w11_d9e9010
gen	w1_d9e9015
Dörfern,	w3_d9e9018
hat	w5_d9e9021
sich	w7_d9e9024
seit	w9_d9e9027
kurzem	w11_d9e9030
unter	w13_d9e9034
denen	w15_d9e9037
Pferden	w1_d9e9042
eine	w3_d9e9045
ansteckende	w5_d9e9048
Seuche	w7_d9e9051
geäussert	w9_d9e9054
und	w1_d9e9060
es	w3_d9e9063
seynd	w5_d9e9066
täglich	w7_d9e9069
viele	w9_d9e9072
derselben	w11_d9e9075
gefal	w13_d9e9079
sehen,	w1_d9e9084
daß	w3_d9e9087
im	w5_d9e9090
verwichenen	w7_d9e9093
Jahre	w9_d9e9096
in	w11_d9e9099
hiesi	w13_d9e9103
gem	w1_d9e9108
Hafen	w3_d9e9111
fast	w5_d9e9114
eben	w7_d9e9117
so	w9_d9e9120
viele	w11_d9e9123
Schiffe	w13_d9e9127
einge	w15_d9e9130
loffen,	w1_d9e9135
als	w3_d9e9138
aus	w5_d9e9141
demselben	w7_d9e9144
gegangen,	w9_d9e9147
dann	w11_d9e9150
die	w1_d9e9156
Anzahl	w3_d9e9159
der	w5_d9e9162
erstern	w7_d9e9165
beläuft	w9_d9e9168
sich	w11_d9e9171
auf	w13_d9e9175
975.	w15_d9e9178
und	w1_d9e9183
der	w3_d9e9186
letztern	w5_d9e9189
auf	w7_d9e9192
964.	w9_d9e9195
Die	w11_d9e9198
Ergiessung	w13_d9e9202
der	w1_d9e9207
Weichsel	w3_d9e9210
und	w5_d9e9213
verschiedener	w7_d9e9216
anderer	w9_d9e9219
Flüs	w11_d9e9222
se	w1_d9e9227
hat	w3_d9e9230
in	w5_d9e9233
Pohlen	w7_d9e9236
auf	w9_d9e9239
denen	w11_d9e9242
besärten	w13_d9e9246
Feldern	w15_d9e9249
so	w1_d9e9255
grossen	w3_d9e9258
Schaden	w5_d9e9261
verursachet,	w7_d9e9264
daß	w9_d9e9267
wegen	w11_d9e9270
der	w1_d9e9275
Forcht	w3_d9e9278
vor	w5_d9e9281
einer	w7_d9e9284
üblen	w9_d9e9287
Erndte	w11_d9e9290
alhier	w13_d9e9294
der	w1_d9e9299
Preis	w3_d9e9302
des	w5_d9e9305
Korns	w7_d9e9308
täglich	w9_d9e9311
steiget.	w11_d9e9314
</p>
<head id="h2_d9e9320">
Aus	w1_d9e9324
Teutschland.	w3_d9e9327
Hannover	w1_d9e9332
6.	w3_d9e9335
Januarii.	w5_d9e9338
</head>
<p id="p4_d9e9341">
Da	w1_d9e9345
wegen	w3_d9e9348
der	w5_d9e9351
nassen	w7_d9e9354
Witterung,	w9_d9e9357
die	w11_d9e9360
man	w13_d9e9364
diesen	w1_d9e9369
verwichenen	w3_d9e9372
Sommer	w5_d9e9375
gehabt	w7_d9e9378
hat,	w9_d9e9381
die	w11_d9e9384
Grabung	w1_d9e9389
und	w3_d9e9392
Einbringung	w5_d9e9395
des	w7_d9e9398
Torfes	w9_d9e9401
nicht	w11_d9e9404
auf	w1_d9e9410
das	w3_d9e9413
beste	w5_d9e9416
geschehen	w7_d9e9419
ist,	w9_d9e9422
so	w11_d9e9425
spühret	w13_d9e9429
man	w15_d9e9432
</p>
<p id="p6_d9e9435">
alhier	w1_d9e9439
keinen	w3_d9e9442
geringen	w5_d9e9445
Mangel	w7_d9e9448
an	w9_d9e9451
Feut	w11_d9e9454
rung.	w1_d9e9459
Damit	w3_d9e9462
die	w5_d9e9465
Armen	w7_d9e9468
dabey	w9_d9e9471
nicht	w11_d9e9474
lei	w13_d9e9478
den	w1_d9e9483
mögen,	w3_d9e9486
ist	w5_d9e9489
von	w7_d9e9492
unserm	w9_d9e9495
Magistrat	w11_d9e9498
verfüget	w1_d9e9504
worden,	w3_d9e9507
daß	w5_d9e9510
diejenigen	w7_d9e9513
unter	w9_d9e9516
den	w11_d9e9519
selben,	w1_d9e9524
welchen	w3_d9e9527
der	w5_d9e9530
Wärme	w7_d9e9533
bey	w9_d9e9536
fremden	w11_d9e9539
Oe	w13_d9e9543
fen	w1_d9e9548
zu	w3_d9e9551
geniessen	w5_d9e9554
nicht	w7_d9e9557
verstattet	w9_d9e9560
ist,	w11_d9e9563
und	w13_d9e9567
wel	w15_d9e9570
che	w1_d9e9575
folglich	w3_d9e9578
auf	w5_d9e9581
eigenen	w7_d9e9584
Stuben	w9_d9e9587
sitzen	w11_d9e9590
müß	w13_d9e9594
sen,	w1_d9e9600
wochentlich	w3_d9e9603
eine	w5_d9e9606
gewisse	w7_d9e9609
Portion	w9_d9e9612
an	w11_d9e9615
Holz	w1_d9e9620
und	w3_d9e9623
Torf	w5_d9e9626
auf	w7_d9e9629
hiesigem	w9_d9e9632
Bau=hofe	w11_d9e9635
um	w13_d9e9639
sonst	w1_d9e9644
abholen	w3_d9e9647
können.	w5_d9e9650
Eben	w7_d9e9653
daselbst	w9_d9e9656
können	w11_d9e9659
andere	w1_d9e9664
Unvermögende	w3_d9e9667
die	w5_d9e9670
nöhtige	w7_d9e9673
Feurun	w9_d9e9676
bessern	w1_d9e9682
Kaufs	w3_d9e9685
ablangen,	w5_d9e9688
als	w7_d9e9691
sie	w9_d9e9694
dieselbe	w11_d9e9697
sonst	w13_d9e9701
würden	w1_d9e9706
bezahlen	w3_d9e9709
müssen.	w5_d9e9712
Mit	w7_d9e9715
so	w9_d9e9718
löblichen	w11_d9e9721
Absichten	w1_d9e9726
der	w3_d9e9729
Obrigkeit,	w5_d9e9732
scheinet	w7_d9e9735
sich	w9_d9e9738
ein	w11_d9e9741
gütiger	w1_d9e9746
Himmel	w3_d9e9749
zu	w5_d9e9752
vereinbaren,	w7_d9e9755
als	w9_d9e9758
wel	w11_d9e9761
cher	w1_d9e9767
uns	w3_d9e9770
bis	w5_d9e9773
hieher	w7_d9e9776
ein	w9_d9e9779
sehr	w11_d9e9782
gelindes	w13_d9e9786
Wetter	w15_d9e9789
verliehen	w1_d9e9794
hat.	w3_d9e9797
</p>
<head id="h2_d9e9803">
Berlin	w1_d9e9807
15.	w3_d9e9810
Januarii.	w5_d9e9813
</head>
<p id="p4_d9e9816">
Vorgestern	w1_d9e9820
stattete	w3_d9e9823
der	w5_d9e9826
Königl.	w7_d9e9829
Französt	w9_d9e9832
che	w1_d9e9837
ausserordentliche	w3_d9e9840
Ambassadeur,	w5_d9e9843
Herzog	w7_d9e9846
von	w1_d9e9851
Nivernots,	w3_d9e9854
in	w5_d9e9857
Begleitung	w7_d9e9860
des	w9_d9e9863
an	w11_d9e9866
dem	w13_d9e9870
hiesigen	w1_d9e9876
Hofe	w3_d9e9879
stehenden	w5_d9e9882
Königl	w7_d9e9885
Französischen	w9_d9e9888
Ministers,	w1_d9e9893
und	w3_d9e9896
Marechal	w5_d9e9899
de	w7_d9e9902
Camp.	w9_d9e9905
Herrn	w11_d9e9908
Ritter	w1_d9e9913
de	w3_d9e9916
la	w5_d9e9919
Touche,	w7_d9e9922
bey	w9_d9e9925
denen	w11_d9e9928
in	w13_d9e9932
und	w15_d9e9935
aus	w17_d9e9938
ländischen	w1_d9e9943
Ministern	w3_d9e9946
seinen	w5_d9e9949
Besuch	w7_d9e9952
ab.	w9_d9e9955
A	w11_d9e9958
bends	w1_d9e9964
ware	w3_d9e9967
in	w5_d9e9970
dem	w7_d9e9973
Opern=hause	w9_d9e9976
Redoute,	w11_d9e9979
und	w1_d9e9984
zugleich	w3_d9e9987
Soupee	w5_d9e9990
