<doc id="wr_1757-11-05" attrs="word" year="1757" month="11" day="05" corpus="2">
<head id="h2_d193e3132">
Marseille	w1_d193e3136
Rußischen	w7_d193e6776
Trupen	w9_d193e6779
nichtes	w1_d193e6784
Umständliches.	w3_d193e6787
Sie	w5_d193e6790
berichten	w7_d193e6793
nur	w9_d193e6796
so	w11_d193e6799
viel,	w1_d193e6805
daß	w3_d193e6808
sich	w5_d193e6811
dieselbe	w7_d193e6814
gänzlich	w9_d193e6817
aus	w11_d193e6820
dem	w13_d193e6824
inner	w15_d193e6827
sten	w1_d193e6832
Preussens	w3_d193e6835
heraus=gezogen;	w5_d193e6838
allein	w7_d193e6841
bey	w9_d193e6844
Memel	w1_d193e6849
ein	w3_d193e6852
vortheilhaftes	w5_d193e6855
Lager	w7_d193e6858
bezogen	w9_d193e6861
hätten,	w1_d193e6866
und	w3_d193e6869
von	w5_d193e6872
denen	w7_d193e6875
Preußischen	w9_d193e6878
Trupen	w11_d193e6881
beobachtet	w1_d193e6887
würden.	w3_d193e6890
Man	w5_d193e6893
folgert	w7_d193e6896
aus	w9_d193e6899
denen	w11_d193e6902
Bewegungen	w1_d193e6907
eines	w3_d193e6910
beträchtlichen	w5_d193e6913
Corps	w7_d193e6916
der	w9_d193e6919
Lehwaldischen	w1_d193e6924
Armee,	w3_d193e6927
daß	w5_d193e6930
solche	w7_d193e6933
den	w9_d193e6936
Marsch	w11_d193e6939
nach	w1_d193e6944
Pommern	w3_d193e6947
antretten,	w5_d193e6950
und	w7_d193e6953
dem	w9_d193e6956
weitern	w11_d193e6959
Vorrucken	w1_d193e6965
der	w3_d193e6968
Schweden	w5_d193e6971
Einhalt	w7_d193e6974
zu	w9_d193e6977
thun	w11_d193e6980
suche	w13_d193e6984
dörfte.	w1_d193e6989
Diejenigen	w3_d193e6992
Officiers	w5_d193e6995
der	w7_d193e6998
Cosacken,	w9_d193e7001
welche	w1_d193e7006
wider	w3_d193e7009
die	w5_d193e7012
Ordre	w7_d193e7015
des	w9_d193e7018
Grafens	w11_d193e7021
von	w13_d193e7025
Apraxin	w1_d193e7030
im	w3_d193e7033
Preußischen	w5_d193e7036
Erceße	w7_d193e7039
ausgeübet,	w9_d193e7042
sind,	w1_d193e7048
denen	w3_d193e7051
Petersburger=berichten	w5_d193e7054
zufolge,	w7_d193e7057
arrestiret,	w1_d193e7062
und	w3_d193e7065
in	w5_d193e7068
die	w7_d193e7071
entlegenste	w9_d193e7074
Provinzen	w11_d193e7077
Rußlands	w1_d193e7082
geschickt	w3_d193e7085
worden.	w5_d193e7088
Die	w7_d193e7091
Rußische	w9_d193e7094
Kriegs=schiffe,	w1_d193e7099
welche	w3_d193e7102
auf	w5_d193e7105
der	w7_d193e7108
Danziger	w9_d193e7111
Rhe	w11_d193e7114
de	w1_d193e7120
gelegen,	w3_d193e7123
sind	w5_d193e7126
wieder	w7_d193e7129
abgesegelt,	w9_d193e7132
und	w11_d193e7135
nur	w13_d193e7139
der	w1_d193e7144
Vice=admiral	w3_d193e7147
nebst	w5_d193e7150
2	w7_d193e7153
Schiffen	w9_d193e7156
befindet	w11_d193e7159
sich	w1_d193e7164
noch	w3_d193e7167
gegenwärtig	w5_d193e7170
alda	w7_d193e7173
</p>
<head id="h2_d193e7179">
Halberstadt	w1_d193e7183
20.	w3_d193e7186
Octob.	w5_d193e7189
</head>
<p id="p4_d193e7192">
Es	w1_d193e7196
scheinet,	w3_d193e7199
daß	w5_d193e7202
wenigstens	w7_d193e7205
ein	w9_d193e7208
Corpo	w11_d193e7211
von	w1_d193e7216
24000.	w3_d193e7219
Mann	w5_d193e7222
alhier	w7_d193e7225
und	w9_d193e7228
in	w11_d193e7231
der	w13_d193e7235
hiesigen	w15_d193e7238
Gegend	w1_d193e7243
den	w3_d193e7246
Winter	w5_d193e7249
über	w7_d193e7252
Posto	w9_d193e7255
fassen,	w11_d193e7258
und	w13_d193e7262
die	w1_d193e7268
Bewegungen	w3_d193e7271
des	w5_d193e7274
Prinzens	w7_d193e7277
Ferdinand	w9_d193e7280
von	w11_d193e7283
Braunschweig,	w1_d193e7288
welcher	w3_d193e7291
sich	w5_d193e7294
noch	w7_d193e7297
in	w9_d193e7300
seinem	w11_d193e7303
Lager	w1_d193e7308
bey	w3_d193e7311
Wansleben	w5_d193e7314
befindet,	w7_d193e7317
beobachten	w9_d193e7320
werker.	w1_d193e7325
</p>
<head id="h2_d193e7331">
Hänndver	w1_d193e7335
22.	w3_d193e7338
Oetob.	w5_d193e7341
</head>
<p id="p4_d193e7344">
Mit	w1_d193e7348
dem	w3_d193e7351
Ausgange	w5_d193e7354
der	w7_d193e7357
vorigen	w9_d193e7360
Woche	w11_d193e7363
sind	w1_d193e7368
die	w3_d193e7371
mehresten	w5_d193e7374
im	w7_d193e7377
Bremen	w9_d193e7380
und	w11_d193e7383
Verdeni	w13_d193e7387
schen	w1_d193e7392
bishero	w3_d193e7395
noch	w5_d193e7398
geweste	w7_d193e7401
Französische	w9_d193e7404
Tru	w11_d193e7407
pen,	w1_d193e7413
vornämlich	w3_d193e7416
Cavallerie,	w5_d193e7419
unweit	w7_d193e7422
dieser	w9_d193e7425
Stadt	w1_d193e7430
vorbey	w3_d193e7433
paßiret,	w5_d193e7436
und	w7_d193e7439
haben	w9_d193e7442
ihren	w11_d193e7445
Marsch	w1_d193e7450
durchs	w3_d193e7453
Braunschweigische	w5_d193e7456
nach	w7_d193e7459
der	w9_d193e7462
Französischen	w1_d193e7467
Armee	w3_d193e7470
unter	w5_d193e7473
dem	w7_d193e7476
Commando	w9_d193e7479
des	w1_d193e7485
Herzogs	w3_d193e7488
von	w5_d193e7491
Richelieu	w7_d193e7494
genommen.	w9_d193e7497
Zu	w11_d193e7500
demselben	w1_d193e7505
sind	w3_d193e7508
gestern	w5_d193e7511
der	w7_d193e7514
Hof=marschall	w9_d193e7517
von	w11_d193e7520
Wangenheim	w1_d193e7525
als	w3_d193e7528
Land=raht,	w5_d193e7531
und	w7_d193e7534
der	w9_d193e7537
Cam	w11_d193e7540
mer=junker	w1_d193e7545
von	w3_d193e7548
Hardenberg,	w5_d193e7551
als	w7_d193e7554
Landschaftl.	w9_d193e7557
Deputirter	w1_d193e7563
des	w3_d193e7566
Fürstentums	w5_d193e7569
Calenberg,	w7_d193e7572
in	w9_d193e7575
Commißion	w1_d193e7580
abgereiset;	w3_d193e7583
vermutlich	w5_d193e7586
um	w7_d193e7589
es	w9_d193e7592
bey	w1_d193e7597
selbigem	w3_d193e7600
zu	w5_d193e7603
bewürken,	w7_d193e7606
daß	w9_d193e7609
man	w11_d193e7612
diesen	w13_d193e7616
Winter	w1_d193e7621
über	w3_d193e7624
mit	w5_d193e7627
dem	w7_d193e7630
General=quartier	w9_d193e7633
hier	w11_d193e7636
in	w1_d193e7642
der	w3_d193e7645
Stadt	w5_d193e7648
möge	w7_d193e7651
verschonet	w9_d193e7654
bleiben,	w11_d193e7657
zu	w13_d193e7661
mal,	w1_d193e7666
da	w3_d193e7669
an	w5_d193e7672
Lebens=mitteln	w7_d193e7675
und	w9_d193e7678
Fourage	w11_d193e7681
schon	w1_d193e7686
für	w3_d193e7689
jetzt	w5_d193e7692
ein	w7_d193e7695
sehr	w9_d193e7698
grosser	w11_d193e7701
Mangel	w13_d193e7705
ist.	w15_d193e7708
</p>
<head id="h2_d193e7715">
Erfurt	w1_d193e7719
21.	w3_d193e7722
Octob.	w5_d193e7725
</head>
<p id="p4_d193e7728">
Den	w1_d193e7732
17.	w3_d193e7735
Nachmittags	w5_d193e7738
traffen	w7_d193e7741
der	w9_d193e7744
Durchl.	w11_d193e7747
Prinz	w1_d193e7752
von	w3_d193e7755
Hessen=darmstadt	w5_d193e7758
alhier	w7_d193e7761
ein,	w9_d193e7764
de	w11_d193e7767
me	w1_d193e7772
viele	w3_d193e7775
Reichs=trupen	w5_d193e7778
folgten,	w7_d193e7781
welche	w9_d193e7784
vor	w11_d193e7787
dem	w1_d193e7793
Löber=thor	w3_d193e7796
zwischen	w5_d193e7799
Daberstädt,	w7_d193e7802
Mel	w9_d193e7805
chendorf	w1_d193e7810
und	w3_d193e7813
dem	w5_d193e7816
sogenannten	w7_d193e7819
Steiger,	w9_d193e7822
ein	w11_d193e7825
Lager	w1_d193e7830
errichteten.	w3_d193e7833
Dies	w5_d193e7836
Colonne	w7_d193e7839
der	w9_d193e7842
Reichs	w11_d193e7845
armee	w1_d193e7850
campirte	w3_d193e7853
in	w5_d193e7856
zweyen	w7_d193e7859
Linien	w9_d193e7862
in	w11_d193e7865
folgen	w13_d193e7869
der	w1_d193e7875
Ordnung.	w3_d193e7878
Jnfanterie:	w5_d193e7881
Chur=trier,	w7_d193e7884
Chur=pfalz,	w1_d193e7889
Nassau=weilburg,	w3_d193e7892
Hessendarm	w5_d193e7895
stadt	w1_d193e7900
und	w3_d193e7903
Kaiserl.	w5_d193e7906
Würzburg;	w7_d193e7909
Cavallerie:	w9_d193e7912
Die	w1_d193e7917
Kaiserl.	w3_d193e7920
Küraßier=regimenter	w5_d193e7923
von	w7_d193e7926
Bret	w9_d193e7929
lach	w1_d193e7935
und	w3_d193e7938
Trautmannsdorf.	w5_d193e7941
Jn	w7_d193e7944
der	w9_d193e7947
zweyten	w11_d193e7950
Linie	w1_d193e7955
Jnfanterie:	w3_d193e7958
Chur=bayern,	w5_d193e7961
Pfalzzwey	w7_d193e7964
brücken,	w1_d193e7969
das	w3_d193e7972
Fränkisch=Kronackische	w5_d193e7975
Kreiß	w7_d193e7978
regiment,	w1_d193e7983
das	w3_d193e7986
Onolzbachische	w5_d193e7989
Kreißdrago	w7_d193e7992
ner	w1_d193e7998
wie	w3_d193e8001
auch	w5_d193e8004
Küraßier=regiment,	w7_d193e8007
und	w9_d193e8010
dann	w11_d193e8013
die	w1_d193e8018
Küraßiers	w3_d193e8021
von	w5_d193e8024
der	w7_d193e8027
Chur=pfalz.	w9_d193e8030
Hierzu	w11_d193e8033
kamen	w1_d193e8038
noch	w3_d193e8041
gestern	w5_d193e8044
die	w7_d193e8047
am	w9_d193e8050
10ten	w11_d193e8053
zu	w13_d193e8057
Gotha	w15_d193e8060
eingerückte	w1_d193e8065
Fränkische	w3_d193e8068
Kreißinfanteriere	w5_d193e8071
gimenter	w1_d193e8077
von	w3_d193e8080
Varell	w5_d193e8083
und	w7_d193e8086
Ferntheil,	w9_d193e8089
welche	w11_d193e8092
die	w1_d193e8097
dritte	w3_d193e8100
Linie	w5_d193e8103
formirten.	w7_d193e8106
Diese	w9_d193e8109
Colonne	w11_d193e8112
führet	w1_d193e8117
31.	w3_d193e8120
Regiments=stücke	w5_d193e8123
mit	w7_d193e8126
sich,	w9_d193e8129
und	w11_d193e8132
ist	w1_d193e8137
heute	w3_d193e8140
wieder	w5_d193e8143
aufgebrochen	w7_d193e8146
und	w9_d193e8149
gegen	w11_d193e8152
Sach	w13_d193e8156
sen	w1_d193e8162
marschiret	w3_d193e8165
Die	w5_d193e8168
bey	w7_d193e8171
Arnstadt	w9_d193e8174
gestandene	w11_d193e8177
Regimenter	w1_d193e8182
sind	w3_d193e8185
am	w5_d193e8188
Montag	w7_d193e8191
gegen	w9_d193e8194
Kranich	w11_d193e8197
feld	w1_d193e8202
gezogen,	w3_d193e8205
und	w5_d193e8208
die	w7_d193e8211
in	w9_d193e8214
denen	w11_d193e8217
Dörfern	w13_d193e8221
an	w15_d193e8224
der	w1_d193e8229
Gera	w3_d193e8232
bequartierte	w5_d193e8235
Französische	w7_d193e8238
Regimen	w9_d193e8241
ter	w1_d193e8247
werden	w3_d193e8250
morgen	w5_d193e8253
aufbrechen.	w7_d193e8256
Jmmittelst	w9_d193e8259
wird	w1_d193e8264
noch	w3_d193e8267
täglich	w5_d193e8270
eine	w7_d193e8273
grosse	w9_d193e8276
Menge	w11_d193e8279
Provi	w13_d193e8283
ant	w1_d193e8288
und	w3_d193e8291
Fourage	w5_d193e8294
in	w7_d193e8297
die	w9_d193e8300
hier	w11_d193e8303
angelegte	w13_d193e8307
Ma	w15_d193e8310
</p>
<p id="p10_d193e8323">
gazine	w1_d193e8327
gebracht.	w3_d193e8330
Diese	w5_d193e8333
ganze	w7_d193e8336
Woche	w9_d193e8339
über	w11_d193e8342
wimmeln	w1_d193e8347
unsere	w3_d193e8350
Felder	w5_d193e8353
von	w7_d193e8356
vorbey	w9_d193e8359
und	w11_d193e8362
hier	w13_d193e8366
durch	w1_d193e8371
nach	w3_d193e8374
Sachsen	w5_d193e8377
marschirenden	w7_d193e8380
Trupen	w9_d193e8383
von	w1_d193e8389
der	w3_d193e8392
Reichs	w5_d193e8395
und	w7_d193e8398
Französischen	w9_d193e8401
Armee.	w11_d193e8404
Vorgestern	w1_d193e8409
Nachmittags	w3_d193e8412
traffen	w5_d193e8415
der	w7_d193e8418
Durchl.	w9_d193e8421
Prinz	w1_d193e8426
von	w3_d193e8429
Soubise	w5_d193e8432
alhier	w7_d193e8435
ein;	w9_d193e8438
dahingegen	w11_d193e8441
des	w1_d193e8446
Prinzens	w3_d193e8449
von	w5_d193e8452
Hildburghausen	w7_d193e8455
Durchl.	w9_d193e8458
heut	w11_d193e8461
Mittags	w1_d193e8467
von	w3_d193e8470
hier	w5_d193e8473
nach	w7_d193e8476
Welmar	w9_d193e8479
abgiengen.	w11_d193e8482
</p>
<head id="h2_d193e8488">
Haag	w1_d193e8492
19.	w3_d193e8495
October.	w5_d193e8498
</head>
<p id="p4_d193e8501">
Abgewichenen	w1_d193e8505
Freytag	w3_d193e8508
hatte	w5_d193e8511
der	w7_d193e8514
Königl.	w9_d193e8517
Französische	w1_d193e8522
Winister,	w3_d193e8525
Graf	w5_d193e8528
d'Affry,	w7_d193e8531
mit	w9_d193e8534
denen	w1_d193e8539
Deputirten	w3_d193e8542
deren	w5_d193e8545
Herren	w7_d193e8548
Generalstaa	w9_d193e8551
ten,	w1_d193e8557
wegen	w3_d193e8560
der	w5_d193e8563
Sache	w7_d193e8566
des	w9_d193e8569
Seeländischen	w11_d193e8572
Kriegs=schiffes,	w1_d193e8577
welches	w3_d193e8580
in	w5_d193e8583
der	w7_d193e8586
Spanischen	w9_d193e8589
See	w1_d193e8594
einem	w3_d193e8597
Engländischen	w5_d193e8600
Freybeuter,	w7_d193e8603
der	w9_d193e8606
von	w1_d193e8611
einem	w3_d193e8614
Französischen	w5_d193e8617
angegriffen	w7_d193e8620
worden,	w9_d193e8623
unter	w1_d193e8629
seinen	w3_d193e8632
Schutz	w5_d193e8635
genommen,	w7_d193e8638
eine	w9_d193e8641
Unterre	w11_d193e8644
dung	w1_d193e8649
gepflogen.	w3_d193e8652
Der	w5_d193e8655
Bericht,	w7_d193e8658
den	w9_d193e8661
der	w11_d193e8664
Com	w13_d193e8668
mandant	w1_d193e8673
an	w3_d193e8676
die	w5_d193e8679
Herren	w7_d193e8682
General=staaten	w9_d193e8685
hievon	w1_d193e8690
eingegeben,	w3_d193e8693
und	w5_d193e8696
welcher	w7_d193e8699
dem	w9_d193e8702
Königl.	w11_d193e8705
Französischen	w1_d193e8711
Minister	w3_d193e8714
zugestellet	w5_d193e8717
worden,	w7_d193e8720
gehet	w1_d193e8725
dahin,	w3_d193e8728
daß	w5_d193e8731
der	w7_d193e8734
Französische	w9_d193e8737
Freybeu	w11_d193e8740
ter,	w1_d193e8745
nachdeme	w3_d193e8748
er	w5_d193e8751
den	w7_d193e8754
Engländischen	w9_d193e8757
unter	w11_d193e8760
Begleitung	w1_d193e8765
des	w3_d193e8768
Schiffes	w5_d193e8771
der	w7_d193e8774
Republic	w9_d193e8777
und	w11_d193e8780
mit	w1_d193e8786
aufgesteckten	w3_d193e8789
Spanischen	w5_d193e8792
Flaggen,	w7_d193e8795
seg	w9_d193e8798
len	w1_d193e8803
gesehen,	w3_d193e8806
gleiche	w5_d193e8809
Erlaubnuß	w7_d193e8812
begehret,	w9_d193e8815
und	w11_d193e8818
auch	w1_d193e8823
würklich	w3_d193e8826
erhalten	w5_d193e8829
habe;	w7_d193e8832
da	w9_d193e8835
er	w11_d193e8838
sich	w13_d193e8842
aber	w15_d193e8845
noch	w1_d193e8850
in	w3_d193e8853
solcher	w5_d193e8856
Entfernung	w7_d193e8859
befande,	w9_d193e8862
daß	w11_d193e8865
er	w13_d193e8869
glaubte	w1_d193e8875
sein	w3_d193e8878
Vorhaben	w5_d193e8881
ausführen	w7_d193e8884
zu	w9_d193e8887
können,	w11_d193e8890
hätte	w1_d193e8895
er	w3_d193e8898
den	w5_d193e8901
Engländischen	w7_d193e8904
angegriffen;	w9_d193e8907
und	w11_d193e8910
weilen	w1_d193e8915
nun	w3_d193e8918
dieses	w5_d193e8921
Betragen	w7_d193e8924
der	w9_d193e8927
denen	w11_d193e8930
Flaggen	w1_d193e8935
der	w3_d193e8938
Republic	w5_d193e8941
schuldigen	w7_d193e8944
Achtung	w9_d193e8947
und	w1_d193e8953
Respect,	w3_d193e8956
als	w5_d193e8959
unter	w7_d193e8962
dessen	w9_d193e8965
Schutz	w11_d193e8968
sie	w13_d193e8972
beyde	w1_d193e8977
gewesen,	w3_d193e8980
zuwider	w5_d193e8983
ware,	w7_d193e8986
hat	w9_d193e8989
das	w11_d193e8992
Hol	w13_d193e8996
ländische	w1_d193e9001
Schif	w3_d193e9004
den	w5_d193e9007
Französischen	w7_d193e9010
Freybeu	w9_d193e9013
ter	w1_d193e9018
genöhtiget,	w3_d193e9021
dem	w5_d193e9024
Gefecht	w7_d193e9027
ein	w9_d193e9030
Ende	w11_d193e9033
zu	w13_d193e9037
ma	w15_d193e9040
chen;	w1_d193e9046
und	w3_d193e9049
nachdeme	w5_d193e9052
auch	w7_d193e9055
über	w9_d193e9058
dieses	w11_d193e9061
dassel	w13_d193e9065
be	w1_d193e9070
beyde	w3_d193e9073
Capitains	w5_d193e9076
an	w7_d193e9079
seinen	w9_d193e9082
Bord	w11_d193e9085
kommen	w13_d193e9089
lassen,	w1_d193e9094
habe	w3_d193e9097
er	w5_d193e9100
sie	w7_d193e9103
bey	w9_d193e9106
dem	w11_d193e9109
Mittag=essen	w13_d193e9113
be	w15_d193e9116
halten,	w1_d193e9121
da	w3_d193e9124
sie	w5_d193e9127
dann	w7_d193e9130
mit	w9_d193e9133
einander	w11_d193e9136
Friede	w13_d193e9140
ge	w15_d193e9143
macht.	w1_d193e9149
Auf	w3_d193e9152
diesen	w5_d193e9155
Bericht	w7_d193e9158
hat	w9_d193e9161
der	w11_d193e9164
Graf	w13_d193e9168
d'Affry	w1_d193e9173
im	w3_d193e9176
Namen	w5_d193e9179
Sr.	w7_d193e9182
Allerchristlichsten	w9_d193e9185
Majestät	w1_d193e9190
erkläret,	w3_d193e9193
daß,	w5_d193e9196
obgleich	w7_d193e9199
der	w9_d193e9202
Bericht	w11_d193e9205
des	w1_d193e9210
Französischen	w3_d193e9213
Frey=beuters	w5_d193e9216
von	w7_d193e9219
dem	w9_d193e9222
viel	w11_d193e9225
unterschieden,	w1_d193e9231
wovon	w3_d193e9234
der	w5_d193e9237
Commandant	w7_d193e9240
des	w9_d193e9243
Kriegs=schiffes	w1_d193e9248
Jhre	w3_d193e9251
Hochmögende	w5_d193e9254
benach	w7_d193e9257
richtiget,	w1_d193e9262
Se.	w3_d193e9265
Majestät	w5_d193e9268
dannoch	w7_d193e9271
genehm	w9_d193e9274
hal	w11_d193e9277
ten,	w1_d193e9282
daß	w3_d193e9285
dem	w5_d193e9288
Bericht	w7_d193e9291
eines	w9_d193e9294
Officiers,	w11_d193e9297
der	w13_d193e9301
die	w15_d193e9304
Ehre	w1_d193e9310
hat,	w3_d193e9313
der	w5_d193e9316
Republic	w7_d193e9319
zu	w9_d193e9322
dienen,	w11_d193e9325
mehr	w13_d193e9329
Glauben	w1_d193e9334
zuzustellen	w3_d193e9337
seye,	w5_d193e9340
als	w7_d193e9343
dem	w9_d193e9346
Freybeu	w11_d193e9349
ter,	w1_d193e9354
derowegen	w3_d193e9357
Se.	w5_d193e9360
Majestät,	w7_d193e9363
um	w9_d193e9366
der	w11_d193e9369
Re	w13_d193e9373
</p>
<p id="p6_d193e9376">
public	w1_d193e9380
eine	w3_d193e9383
neue	w5_d193e9386
Probe	w7_d193e9389
Dero	w9_d193e9392
Geneigtheit	w11_d193e9395
zu	w13_d193e9399
geben,	w1_d193e9404
sich	w3_d193e9407
damit	w5_d193e9410
befriedigen	w7_d193e9413
und	w9_d193e9416
dieses	w11_d193e9419
gut	w13_d193e9423
heissen	w1_d193e9428
wollen.	w3_d193e9431
Diese	w5_d193e9434
Erklärung	w7_d193e9437
hat	w9_d193e9440
dem	w11_d193e9443
nach	w1_d193e9449
hiesigen	w3_d193e9452
Orts	w5_d193e9455
eine	w7_d193e9458
vollkommene	w9_d193e9461
Zufrie	w11_d193e9464
denheit	w1_d193e9469
verursachet.	w3_d193e9472
</p>
<head id="h2_d193e9478">
Kurz=gefaßte	w1_d193e9482
Nachrichten.	w3_d193e9485
Es	w1_d193e9490
geben	w3_d193e9493
die	w5_d193e9496
Briefe	w7_d193e9499
</head>
<p id="p4_d193e9502">
Von	w1_d193e9506
Neapel:	w3_d193e9509
Daß	w5_d193e9512
den	w7_d193e9515
9.	w9_d193e9518
Oct.	w11_d193e9521
alda	w13_d193e9525
ein	w1_d193e9530
entsetzliches	w3_d193e9533
Ungewitter	w5_d193e9536
mit	w7_d193e9539
Sturmwin	w9_d193e9542
den,	w1_d193e9547
Blitz,	w3_d193e9550
und	w5_d193e9553
Donner	w7_d193e9556
gewesen,	w9_d193e9559
so	w11_d193e9562
von	w13_d193e9566
11.	w15_d193e9569
bis	w1_d193e9575
17.	w3_d193e9578
Uhr	w5_d193e9581
gedauret,	w7_d193e9584
darbey	w9_d193e9587
auch	w11_d193e9590
ein	w13_d193e9594
Wol	w15_d193e9597
ken=bruch	w1_d193e9602
sich	w3_d193e9605
ereignet	w5_d193e9608
habe,	w7_d193e9611
wodurch	w9_d193e9614
die	w11_d193e9617
Wässer	w1_d193e9622
aller	w3_d193e9625
Orten	w5_d193e9628
dergestalten	w7_d193e9631
angeschwol	w9_d193e9634
len,	w1_d193e9639
daß	w3_d193e9642
bevorab	w5_d193e9645
in	w7_d193e9648
der	w9_d193e9651
Vorstadt	w11_d193e9654
delle	w13_d193e9658
Ver	w15_d193e9661
gini	w1_d193e9667
alle	w3_d193e9670
niedere	w5_d193e9673
Wohnungen	w7_d193e9676
und	w9_d193e9679
Gewölber	w11_d193e9682
voll	w1_d193e9687
mit	w3_d193e9690
Wasser	w5_d193e9693
angeloffen;	w7_d193e9696
und	w9_d193e9699
durch	w11_d193e9702
Weg	w13_d193e9706
schwemmung	w1_d193e9711
vieler	w3_d193e9714
Wägen,	w5_d193e9717
Holz=werkes,	w7_d193e9720
und	w1_d193e9725
anderer	w3_d193e9728
Sachen,	w5_d193e9731
großer	w7_d193e9734
Schade	w9_d193e9737
ge	w11_d193e9740
schehen	w1_d193e9746
wäre;	w3_d193e9749
da	w5_d193e9752
unter	w7_d193e9755
andern	w9_d193e9758
auch	w11_d193e9761
durch	w13_d193e9765
den	w1_d193e9770
heftigen	w3_d193e9773
Wind	w5_d193e9776
ein	w7_d193e9779
Theil	w9_d193e9782
des	w11_d193e9785
Kirchen	w13_d193e9789
und	w1_d193e9794
Kloster=daches	w3_d193e9797
del	w5_d193e9800
Carmine	w7_d193e9803
maggiore	w9_d193e9806
fort=gerissen	w1_d193e9811
worden.	w3_d193e9814
</p>
<p id="p6_d193e9817">
Von	w1_d193e9821
Rom:	w3_d193e9824
Daß	w5_d193e9827
der	w7_d193e9830
im	w9_d193e9833
verwichenen	w11_d193e9836
Fruh=jahr	w1_d193e9841
alhier	w3_d193e9844
in	w5_d193e9847
Wien	w7_d193e9850
zu	w9_d193e9853
sehen	w11_d193e9856
geweste	w13_d193e9860
große	w1_d193e9865
Jrrländer,	w3_d193e9868
Cornelius	w5_d193e9871
Magrach,	w7_d193e9874
auch	w9_d193e9877
daselbst	w1_d193e9883
diesen	w3_d193e9886
Herbst	w5_d193e9889
hindurch	w7_d193e9892
von	w9_d193e9895
jeder	w11_d193e9898
mann	w1_d193e9903
gesehen,	w3_d193e9906
und	w5_d193e9909
zuletzt	w7_d193e9912
von	w9_d193e9915
Sr.	w11_d193e9918
Päpstl.	w13_d193e9922
Heiligkeit	w1_d193e9927
zum	w3_d193e9930
Fuß=kuß	w5_d193e9933
gelassen,	w7_d193e9936
auch	w9_d193e9939
von	w1_d193e9944
Höchst=deroselben	w3_d193e9947
mit	w5_d193e9950
einer	w7_d193e9953
goldenen	w9_d193e9956
Gedächtnuß=münze,	w1_d193e9962
nebst	w3_d193e9965
verschiedenen	w5_d193e9968
geist	w7_d193e9971
lichen	w1_d193e9976
Verehrungen	w3_d193e9979
beschenket	w5_d193e9982
worden	w7_d193e9985
seye,	w9_d193e9988
wornach	w1_d193e9993
er	w3_d193e9996
seine	w5_d193e9999
weitere	w7_d193e10002
Reise	w9_d193e10005
von	w11_d193e10008
dannen	w13_d193e10012
nacher	w1_d193e10017
Neapel	w3_d193e10020
fortgesetzet	w5_d193e10023
habe.	w7_d193e10026
</p>
<p id="p8_d193e10029">
Von	w1_d193e10033
Lisabon:	w3_d193e10036
Daß	w5_d193e10039
daselbst	w7_d193e10042
gegen	w9_d193e10045
Ende	w11_d193e10048
des	w1_d193e10053
letzt=vergangenen	w3_d193e10056
Monats	w5_d193e10059
September	w7_d193e10062
die	w9_d193e10065
Nachricht	w1_d193e10070
eingeloffen	w3_d193e10073
seye,	w5_d193e10076
welcher=gestalten	w7_d193e10079
eine	w1_d193e10085
deren	w3_d193e10088
Azorischen	w5_d193e10091
Jnsuln	w7_d193e10094
mehr	w9_d193e10097
als	w11_d193e10100
zur	w13_d193e10104
Helfte	w1_d193e10109
durch	w3_d193e10112
ein	w5_d193e10115
heftiges	w7_d193e10118
Erd=beben	w9_d193e10121
zu	w11_d193e10124
Grund	w1_d193e10129
gegangen,	w3_d193e10132
und	w5_d193e10135
in	w7_d193e10138
das	w9_d193e10141
Meer	w11_d193e10144
versunken	w13_d193e10148
wäre,	w1_d193e10153
wodurch	w3_d193e10156
auch	w5_d193e10159
mehr	w7_d193e10162
als	w9_d193e10165
2000.	w11_d193e10168
Portu	w13_d193e10172
gesische	w1_d193e10178
Unterthanen	w3_d193e10181
(anerwogen	w5_d193e10184
diese	w7_d193e10187
Jnsul	w9_d193e10190
der	w1_d193e10195
Crone	w3_d193e10198
Portugal	w5_d193e10201
zugehörig	w7_d193e10204
ist)	w9_d193e10207
ihr	w11_d193e10210
Le	w13_d193e10214
ben	w1_d193e10219
ingebüsset	w3_d193e10222
haben.	w5_d193e10225
</p>
<p id="p10_d193e10228">
Dene	w1_d193e10232
Pariser=berichten	w3_d193e10235
zufolge,	w5_d193e10238
war	w7_d193e10241
es	w1_d193e10246
der	w3_d193e10249
Abt	w5_d193e10252
von	w7_d193e10255
Bouille,	w9_d193e10258
Graf	w11_d193e10261
von	w13_d193e10265
Lion,	w15_d193e10268
und	w17_d193e10271
erster	w1_d193e10276
Almosenier	w3_d193e10279
des	w5_d193e10282
Königs,	w7_d193e10285
welcher	w9_d193e10288
die	w11_d193e10291
Cere	w13_d193e10295
monie,	w1_d193e10301
denljungen	w3_d193e10304
Grafen	w5_d193e10307
v.	w7_d193e10310
Artois	w9_d193e10313
zu	w11_d193e10316
tauffen,	w13_d193e10320
verrichtete.	w1_d193e10325
Der	w3_d193e10328
Herr	w5_d193e10331
von	w7_d193e10334
Rouille,	w9_d193e10337
Großschatz	w11_d193e10340
meister,	w1_d193e10345
hatte	w3_d193e10348
die	w5_d193e10351
Ehre	w7_d193e10354
diesem	w9_d193e10357
Prinzen	w11_d193e10360
den	w13_d193e10364
Orden	w1_d193e10369
