<doc id="wr_1760-11-15" attrs="word" year="1760" month="11" day="15" corpus="2">
<head id="h2_d501e2585">
Kensington	w1_d501e2589
milton,	w1_d501e6201
deren	w3_d501e6204
Gut	w5_d501e6207
in	w7_d501e6210
der	w9_d501e6213
Nachbarschaft	w11_d501e6216
lag,	w13_d501e6220
ist	w1_d501e6225
so	w3_d501e6228
edelmütig	w5_d501e6231
gewesen,	w7_d501e6234
so	w9_d501e6237
fort	w11_d501e6240
die	w13_d501e6244
An	w15_d501e6247
stalten	w1_d501e6252
zu	w3_d501e6255
machen,	w5_d501e6258
das	w7_d501e6261
Volk	w9_d501e6264
einzugartiren.	w11_d501e6267
Das	w1_d501e6273
Schif	w3_d501e6276
aber	w5_d501e6279
wieder	w7_d501e6282
flott	w9_d501e6285
gekommen,	w11_d501e6288
und	w1_d501e6293
glücklich	w3_d501e6296
hier	w5_d501e6299
angelangt.	w7_d501e6302
Ein	w9_d501e6305
anderes	w11_d501e6308
Transpor=tschif	w1_d501e6313
ist	w3_d501e6316
in	w5_d501e6319
der	w7_d501e6322
Grafschaft	w9_d501e6325
Sam	w11_d501e6328
sor	w1_d501e6333
gestrandet.	w3_d501e6336
Es	w5_d501e6339
befanden	w7_d501e6342
sich	w9_d501e6345
auf	w11_d501e6348
dem	w13_d501e6352
selben	w1_d501e6358
1.	w3_d501e6361
Major,	w5_d501e6364
4.	w7_d501e6367
Leutenants	w9_d501e6370
und	w11_d501e6373
400.	w13_d501e6377
Gemeine,	w1_d501e6382
die	w3_d501e6385
alle	w5_d501e6388
gerettet	w7_d501e6391
worden	w9_d501e6394
sind;	w11_d501e6397
das	w1_d501e6402
Schif	w3_d501e6405
aber	w5_d501e6408
ist	w7_d501e6411
unbrauchbar	w9_d501e6414
geworden.	w11_d501e6417
</p>
<head id="h2_d501e6423">
Warschau	w1_d501e6427
15.	w3_d501e6430
Octob.	w5_d501e6433
</head>
<p id="p4_d501e6436">
Den	w1_d501e6440
6.	w3_d501e6443
dieses,	w5_d501e6446
als	w7_d501e6449
den	w9_d501e6452
zur	w11_d501e6455
Eröfnung	w13_d501e6459
des	w1_d501e6464
Reichs=tages	w3_d501e6467
angesetzten	w5_d501e6470
Tage	w7_d501e6473
hatten	w9_d501e6476
sich	w1_d501e6481
die	w3_d501e6484
Land=bothen	w5_d501e6487
von	w7_d501e6490
verschiedenen	w9_d501e6493
Woy	w11_d501e6496
wodschaften	w1_d501e6502
in	w3_d501e6505
der	w5_d501e6508
Landbothen=stube	w7_d501e6511
ver	w9_d501e6514
sammelt,	w1_d501e6519
und	w3_d501e6522
die	w5_d501e6525
erste	w7_d501e6528
Sache,	w9_d501e6531
womit	w11_d501e6534
man	w13_d501e6538
sich	w1_d501e6543
beschäftigte,	w3_d501e6546
war	w5_d501e6549
die	w7_d501e6552
Wahl	w9_d501e6555
eines	w11_d501e6558
neuen	w13_d501e6562
Marschalls;	w1_d501e6567
als	w3_d501e6570
aber	w5_d501e6573
der	w7_d501e6576
Cron=schneider,	w9_d501e6579
Graf	w1_d501e6585
von	w3_d501e6588
Malachowsky,	w5_d501e6591
welcher	w7_d501e6594
bey	w9_d501e6597
dem	w11_d501e6600
vorigen	w1_d501e6605
Reichs=tage	w3_d501e6608
Marschall	w5_d501e6611
gewesen,	w7_d501e6614
seinen	w1_d501e6619
Commando=stab	w3_d501e6622
aufhub,	w5_d501e6625
und	w7_d501e6628
damit	w9_d501e6631
auf	w1_d501e6636
die	w3_d501e6639
Tafel	w5_d501e6642
schlug,	w7_d501e6645
wurde	w9_d501e6648
solcher	w11_d501e6651
alsogleich	w13_d501e6655
zerschlagen,	w1_d501e6661
welches	w3_d501e6664
man	w5_d501e6667
als	w7_d501e6670
einen	w9_d501e6673
üblen	w11_d501e6676
Vorbothen	w1_d501e6681
ansahe,	w3_d501e6684
und	w5_d501e6687
die	w7_d501e6690
Vermutung	w9_d501e6693
ver	w11_d501e6696
anlaste,	w1_d501e6701
daß	w3_d501e6704
der	w5_d501e6707
Reichs=tag	w7_d501e6710
nicht	w9_d501e6713
bestehen	w11_d501e6716
würde.	w1_d501e6721
Diese	w3_d501e6724
Vermutung	w5_d501e6727
ist	w7_d501e6730
auch	w9_d501e6733
nicht	w11_d501e6736
lange	w1_d501e6742
unerfüllt	w3_d501e6745
geblieben.	w5_d501e6748
Dann,	w7_d501e6751
da	w9_d501e6754
am	w11_d501e6757
8.	w1_d501e6762
Herr	w3_d501e6765
Lusinsky,	w5_d501e6768
einer	w7_d501e6771
der	w9_d501e6774
Deputirten,	w11_d501e6777
in	w1_d501e6782
der	w3_d501e6785
Landbothen=stube	w5_d501e6788
die	w7_d501e6791
Erlaubniß	w9_d501e6794
das	w11_d501e6797
Wort	w1_d501e6802
zu	w3_d501e6805
führen	w5_d501e6808
begehrt,	w7_d501e6811
und	w9_d501e6814
ihm	w11_d501e6817
diese	w13_d501e6821
Er	w15_d501e6824
lau	w1_d501e6830
</p>
<p id="p8_d501e6835">
laubnuß	w1_d501e6839
abgeschlagen	w3_d501e6842
worden,	w5_d501e6845
weil	w7_d501e6848
noch	w9_d501e6851
kein	w1_d501e6856
Marschall	w3_d501e6859
erwählet	w5_d501e6862
seye,	w7_d501e6865
begab	w9_d501e6868
er	w11_d501e6871
sich	w13_d501e6875
nach	w1_d501e6880
dem	w3_d501e6883
Grod,	w5_d501e6886
oder	w7_d501e6889
höchsten	w9_d501e6892
Justizge	w11_d501e6895
richte,	w1_d501e6901
und	w3_d501e6904
protestirte	w5_d501e6907
daselbst	w7_d501e6910
gegen	w9_d501e6913
die	w11_d501e6916
Haltung	w1_d501e6921
des	w3_d501e6924
Reichs=tags	w5_d501e6927
so	w7_d501e6930
lange,	w9_d501e6933
als	w11_d501e6936
sich	w13_d501e6940
auswärtige	w1_d501e6945
Trupen	w3_d501e6948
in	w5_d501e6951
Pohlen	w7_d501e6954
befinden	w9_d501e6957
wür	w11_d501e6960
den.	w1_d501e6965
Er	w3_d501e6968
kehrte	w5_d501e6971
hierauf	w7_d501e6974
nach	w9_d501e6977
seinem	w11_d501e6980
Quar	w13_d501e6984
tier	w1_d501e6990
zurücke,	w3_d501e6993
daß	w5_d501e6996
also	w7_d501e6999
dieser	w9_d501e7002
Reichs=tag,	w11_d501e7005
von	w13_d501e7009
welchen	w1_d501e7014
man,	w3_d501e7017
einige	w5_d501e7020
Früchte	w7_d501e7023
zu	w9_d501e7026
ziehen,	w11_d501e7029
sich	w13_d501e7033
Hofnung	w1_d501e7038
machte,	w3_d501e7041
kaum	w5_d501e7044
seine	w7_d501e7047
Sitzungen	w9_d501e7050
an	w11_d501e7053
gefangen	w1_d501e7058
hatte,	w3_d501e7061
als	w5_d501e7064
man	w7_d501e7067
ihn	w9_d501e7070
auseinander	w11_d501e7073
gehen	w1_d501e7079
zu	w3_d501e7082
lassen	w5_d501e7085
bemüßiget	w7_d501e7088
worden.	w9_d501e7091
Zu	w11_d501e7094
ge	w13_d501e7098
dachtem	w1_d501e7103
Warschau	w3_d501e7106
sind	w5_d501e7109
übrigens	w7_d501e7112
noch	w9_d501e7115
am	w11_d501e7118
30.	w1_d501e7123
Sept.	w3_d501e7126
des	w5_d501e7129
Herzogs	w7_d501e7132
von	w9_d501e7135
Curland	w11_d501e7138
Kö	w13_d501e7142
nigl.	w1_d501e7147
Hoheit	w3_d501e7150
von	w5_d501e7153
Mietau	w7_d501e7156
zurückgekommen,	w9_d501e7159
nachdem	w1_d501e7165
der	w3_d501e7168
alldort	w5_d501e7171
vorgewesene	w7_d501e7174
Land=tag	w9_d501e7177
bis	w1_d501e7182
in	w3_d501e7185
den	w5_d501e7188
Sept.	w7_d501e7191
des	w9_d501e7194
nächst=künftigen	w11_d501e7197
Jahres	w1_d501e7202
verschoben	w3_d501e7205
worden.	w5_d501e7208
</p>
<head id="h2_d501e7214">
Genua	w1_d501e7218
18.	w3_d501e7221
Octob.	w5_d501e7224
</head>
<p id="p4_d501e7227">
Von	w1_d501e7231
Toulon	w3_d501e7234
vernimmt	w5_d501e7237
man,	w7_d501e7240
daß	w9_d501e7243
gestern	w11_d501e7246
in	w1_d501e7251
selbigen	w3_d501e7254
Gewässern	w5_d501e7257
9.	w7_d501e7260
Englische	w9_d501e7263
Kriegs	w11_d501e7266
schiffe	w1_d501e7271
gesehen	w3_d501e7274
worden,	w5_d501e7277
welche	w7_d501e7280
aber	w9_d501e7283
auf	w11_d501e7286
den	w13_d501e7290
Abend	w1_d501e7296
sich	w3_d501e7299
wieder	w5_d501e7302
unsichtbar	w7_d501e7305
gemachet.	w9_d501e7308
Ver	w11_d501e7311
wichenen	w1_d501e7316
Mittwoch	w3_d501e7319
ist	w5_d501e7322
eine	w7_d501e7325
Staffette	w9_d501e7328
von	w11_d501e7331
Livorno	w1_d501e7336
hier	w3_d501e7339
durch	w5_d501e7342
nach	w7_d501e7345
Marseille	w9_d501e7348
gegangen.	w11_d501e7351
welche	w1_d501e7356
dahin	w3_d501e7359
die	w5_d501e7362
Nachricht	w7_d501e7365
überbracht,	w9_d501e7368
daß	w11_d501e7371
ein	w1_d501e7377
Französischer	w3_d501e7380
Corsair	w5_d501e7383
in	w7_d501e7386
denen	w9_d501e7389
Sicilia	w11_d501e7392
schen	w1_d501e7397
Gewässern,	w3_d501e7400
das	w5_d501e7403
Engländische	w7_d501e7406
Schif,	w9_d501e7409
der	w1_d501e7414
Prinz	w3_d501e7417
Eduard	w5_d501e7420
genannt,	w7_d501e7423
welches	w9_d501e7426
mit	w11_d501e7429
Oehl,	w1_d501e7434
Seiden	w3_d501e7437
und	w5_d501e7440
andern	w7_d501e7443
Kaufmanns	w9_d501e7446
gut	w1_d501e7452
beladen,	w3_d501e7455
nach	w5_d501e7458
Londen	w7_d501e7461
gehen	w9_d501e7464
wollen,	w11_d501e7467
erobert	w1_d501e7472
und	w3_d501e7475
gefangen	w5_d501e7478
habe.	w7_d501e7481
Vor	w9_d501e7484
einigen	w11_d501e7487
Tagen	w1_d501e7492
ist	w3_d501e7495
der	w5_d501e7498
Königlich=Französische	w7_d501e7501
Am	w9_d501e7504
bassadeur	w1_d501e7509
bey	w3_d501e7512
der	w5_d501e7515
Republique	w7_d501e7518
Venedig,	w9_d501e7521
Hr.	w11_d501e7524
von	w1_d501e7530
Baschi,	w3_d501e7533
Ritter	w5_d501e7536
derer	w7_d501e7539
Königlichen	w9_d501e7542
Or	w11_d501e7545
den,	w1_d501e7550
mit	w3_d501e7553
seiner	w5_d501e7556
Frau	w7_d501e7559
Gemahlin,	w9_d501e7562
am	w11_d501e7565
Bord	w13_d501e7569
zweyer	w1_d501e7574
Galeeren	w3_d501e7577
aus	w5_d501e7580
Frankreich	w7_d501e7583
hier	w9_d501e7586
an	w11_d501e7589
gelangt.	w1_d501e7594
Und	w3_d501e7597
am	w5_d501e7600
Donnerstag	w7_d501e7603
ist	w9_d501e7606
der	w11_d501e7609
Herr	w13_d501e7613
Cardinal	w1_d501e7619
Spinola:	w3_d501e7622
gewester	w5_d501e7625
Nuntius	w7_d501e7628
des	w9_d501e7631
Heil.	w1_d501e7636
Stuhls	w3_d501e7639
aus	w5_d501e7642
dem	w7_d501e7645
Spanischen	w9_d501e7648
Hof,	w11_d501e7651
von	w1_d501e7656
hier	w3_d501e7659
über	w5_d501e7662
Novi	w7_d501e7665
und	w9_d501e7668
Parma	w11_d501e7671
nach	w13_d501e7675
Rom	w15_d501e7678
abgereiset.	w1_d501e7683
</p>
<p id="p6_d501e7686">
nigl.	w1_d501e7690
Französischen	w3_d501e7693
Haupt	w5_d501e7696
quartier	w7_d501e7699
</p>
<head id="h2_d501e7706">
Neueste	w1_d501e7710
Nachrichten	w3_d501e7713
aus	w5_d501e7716
dem	w7_d501e7719
Kö	w9_d501e7722
Hessen=cassel	w1_d501e7727
vom	w3_d501e7730
3	w5_d501e7733
No	w7_d501e7736
</head>
<head id="h2_d501e7742">
vember.	w1_d501e7746
</head>
<p id="p4_d501e7749">
Gestern	w1_d501e7753
traf	w3_d501e7756
der	w5_d501e7759
Herr	w7_d501e7762
Marschall	w9_d501e7765
Her	w11_d501e7768
zog	w1_d501e7773
von	w3_d501e7776
Broglie,	w5_d501e7779
von	w7_d501e7782
Göttingen	w9_d501e7785
wieder	w11_d501e7788
hier	w1_d501e7793
ein.	w3_d501e7796
Sie	w5_d501e7799
untersuchten	w7_d501e7802
allda	w9_d501e7805
die	w11_d501e7808
ver	w13_d501e7812
anstaltete	w1_d501e7818
Arbeiten.	w3_d501e7821
Die	w5_d501e7824
Schweitzerbri	w7_d501e7827
gade	w1_d501e7832
von	w3_d501e7835
Castella	w5_d501e7838
mußte	w7_d501e7841
dorthin	w9_d501e7844
aufbrechen,	w11_d501e7847
um	w1_d501e7852
jene	w3_d501e7855
Werker	w5_d501e7858
eifrigst	w7_d501e7861
zu	w9_d501e7864
Stande	w11_d501e7867
zu	w13_d501e7871
brin	w15_d501e7874
gen.	w1_d501e7879
Die	w3_d501e7882
2.	w5_d501e7885
Französische	w7_d501e7888
Gardebatail	w9_d501e7891
lons,	w1_d501e7897
so	w3_d501e7900
den	w5_d501e7903
28.	w7_d501e7906
Octobr.	w9_d501e7909
von	w11_d501e7912
hier	w13_d501e7916
abge	w15_d501e7919
zogen:	w1_d501e7924
sollen	w3_d501e7927
sich	w5_d501e7930
zu	w7_d501e7933
Giessen	w9_d501e7936
bis	w11_d501e7939
auf	w13_d501e7943
fernere	w15_d501e7946
Befehl	w1_d501e7951
verweilen.	w3_d501e7954
Auch	w5_d501e7957
der	w7_d501e7960
Aufbruch	w9_d501e7963
der	w11_d501e7966
jenigen,	w1_d501e7971
so	w3_d501e7974
noch	w5_d501e7977
hier	w7_d501e7980
sind,	w9_d501e7983
ist	w11_d501e7986
verschoben.	w13_d501e7990
Den	w1_d501e7996
2.	w3_d501e7999
reisete	w5_d501e8002
der	w7_d501e8005
Prinz	w9_d501e8008
von	w11_d501e8011
Conde	w13_d501e8015
nach	w15_d501e8018
Paris.	w1_d501e8023
An	w3_d501e8026
dem	w5_d501e8029
nämlichen	w7_d501e8032
Tage	w9_d501e8035
giengen	w11_d501e8038
42.	w1_d501e8043
Piquets	w3_d501e8046
von	w5_d501e8049
der	w7_d501e8052
Armee	w9_d501e8055
nach	w11_d501e8058
Göttingen	w13_d501e8062
zur	w1_d501e8067
Arbeit	w3_d501e8070
ab.	w5_d501e8073
Die	w7_d501e8076
Freywillige	w9_d501e8079
von	w11_d501e8082
Dau	w13_d501e8086
phine	w1_d501e8092
machten	w3_d501e8095
11.	w5_d501e8098
alliirte	w7_d501e8101
Hussaren	w9_d501e8104
und	w11_d501e8107
Jäger	w1_d501e8112
bey	w3_d501e8115
Liebenau	w5_d501e8118
zu	w7_d501e8121
Kriegs=gefangenen.	w9_d501e8124
</p>
<head id="h2_d501e8130">
Frankfurt	w1_d501e8134
6.	w3_d501e8137
Novemb.	w5_d501e8140
</head>
<p id="p4_d501e8143">
Den	w1_d501e8147
3.	w3_d501e8150
dieses	w5_d501e8153
trafen	w7_d501e8156
St.	w9_d501e8159
Königl.	w11_d501e8162
Ho	w13_d501e8166
hiet	w1_d501e8171
der	w3_d501e8174
Prinz	w5_d501e8177
von	w7_d501e8180
Conde,	w9_d501e8183
aus	w11_d501e8186
dem	w13_d501e8190
Fran	w15_d501e8193
zösischen	w1_d501e8198
Haupt=quartier	w3_d501e8201
Cassel,	w5_d501e8204
in	w7_d501e8207
unsere	w9_d501e8210
Stadt	w1_d501e8216
ein.	w3_d501e8219
Den	w5_d501e8222
4.	w7_d501e8225
Nachmtttags	w9_d501e8228
um	w11_d501e8231
3.	w13_d501e8235
Uhr	w1_d501e8240
beschleunigen	w3_d501e8243
Sie	w5_d501e8246
die	w7_d501e8249
Reise	w9_d501e8252
unter	w11_d501e8255
de	w13_d501e8259
nen	w1_d501e8264
Dero	w3_d501e8267
hohen	w5_d501e8270
Geburt	w7_d501e8273
schuldigen	w9_d501e8276
und	w11_d501e8279
hier	w13_d501e8283
geleisteten	w1_d501e8288
Ehren=bezeugungen,	w3_d501e8291
nach	w5_d501e8294
Parts.	w7_d501e8297
An	w1_d501e8303
diesem	w3_d501e8306
Tage	w5_d501e8309
früh	w7_d501e8312
Morgens,	w9_d501e8315
verließ	w11_d501e8318
auch	w1_d501e8323
der	w3_d501e8326
Kaiserl.	w5_d501e8329
Königl.	w7_d501e8332
Herr	w9_d501e8335
Haupt	w11_d501e8338
mann	w1_d501e8343
von	w3_d501e8346
Meyer,	w5_d501e8349
unter	w7_d501e8352
dem	w9_d501e8355
Löbl.	w11_d501e8358
Graf	w13_d501e8362
Harsischen	w1_d501e8367
Jnfanterie=regiment,	w3_d501e8370
den	w5_d501e8373
hiesi	w7_d501e8376
gen	w1_d501e8382
K.	w3_d501e8385
K.	w5_d501e8388
Werb=platz,	w7_d501e8391
alwo	w9_d501e8394
er	w11_d501e8397
sich	w13_d501e8401
im	w15_d501e8404
Lauffe	w17_d501e8407
von	w1_d501e8412
einer	w3_d501e8415
geraumen	w5_d501e8418
Zeit	w7_d501e8421
die	w9_d501e8424
Vorzugsreichste	w11_d501e8427
Verdienste	w1_d501e8432
glücklich	w3_d501e8435
erworben.	w5_d501e8438
Mit	w7_d501e8441
263.	w9_d501e8444
Mann,	w1_d501e8449
(darunter	w3_d501e8452
117.	w5_d501e8455
zu	w7_d501e8458
Cölln,	w9_d501e8461
88.	w11_d501e8464
aber	w13_d501e8468
zu	w1_d501e8474
Frankfurk	w3_d501e8477
angeworben,	w5_d501e8480
und	w7_d501e8483
unter	w9_d501e8486
ihnen	w11_d501e8489
16.	w1_d501e8494
K.	w3_d501e8497
K.	w5_d501e8500
Hussaren,	w7_d501e8503
die	w9_d501e8506
sich	w11_d501e8509
selbst	w13_d501e8513
ranziom	w15_d501e8516
ret,	w1_d501e8521
waren)	w3_d501e8524
der	w5_d501e8527
desten	w7_d501e8530
Recrouten,	w9_d501e8533
reisete	w11_d501e8536
er	w1_d501e8541
zu	w3_d501e8544
dem	w5_d501e8547
allgemeinen	w7_d501e8550
Sammel=platze	w9_d501e8553
nach	w11_d501e8556
Kitzingen	w1_d501e8562
ab.	w3_d501e8565
Den	w5_d501e8568
30.	w7_d501e8571
October	w9_d501e8574
segne	w11_d501e8577
ten	w1_d501e8582
</p>
<p id="p8_d501e8587">
ten	w1_d501e8591
des	w3_d501e8594
Prinzens	w5_d501e8597
Ferdinand	w7_d501e8600
Ernst	w9_d501e8603
Wilhelms	w11_d501e8606
zu	w1_d501e8611
Solms=braunfels,	w3_d501e8614
Prinzeßin	w5_d501e8617
Tochter,	w7_d501e8620
Carolina	w1_d501e8625
Maria	w3_d501e8628
Eleonora	w5_d501e8631
Wilhelmina,	w7_d501e8634
so	w9_d501e8637
den	w1_d501e8643
6.	w3_d501e8646
letztern	w5_d501e8649
October	w7_d501e8652
geboren,	w9_d501e8655
das	w11_d501e8658
Zeit	w13_d501e8662
liche.	w1_d501e8667
</p>
<head id="h2_d501e8673">
Stockholm	w1_d501e8677
24.	w3_d501e8680
Oct.	w5_d501e8683
</head>
<p id="p4_d501e8686">
Am	w1_d501e8690
22.	w3_d501e8693
machten	w5_d501e8696
bey	w7_d501e8699
seiner	w9_d501e8702
Königl.	w11_d501e8705
Ma	w13_d501e8709
jest.	w1_d501e8714
und	w3_d501e8717
Jhrer	w5_d501e8720
Majest.	w7_d501e8723
der	w9_d501e8726
Königin,	w11_d501e8729
wie	w13_d501e8733
auch	w1_d501e8738
des	w3_d501e8741
Kron=prinzens,	w5_d501e8744
der	w7_d501e8747
beyden	w9_d501e8750
Erb	w11_d501e8753
prinzen	w1_d501e8759
und	w3_d501e8762
Erb=prinzeßinen,	w5_d501e8765
Königl.	w7_d501e8768
Ho	w9_d501e8771
heiten,	w1_d501e8776
die	w3_d501e8779
Reichs=stände	w5_d501e8782
durch	w7_d501e8785
den	w9_d501e8788
Land	w11_d501e8791
marschall,	w1_d501e8796
und	w3_d501e8799
die	w5_d501e8802
übrigen	w7_d501e8805
der	w9_d501e8808
Stände	w11_d501e8811
Sprecher,	w1_d501e8816
welche	w3_d501e8819
von	w5_d501e8822
zahlreichen	w7_d501e8825
Depu	w9_d501e8828
tationen	w1_d501e8834
von	w3_d501e8837
jedem	w5_d501e8840
Stande	w7_d501e8843
begleitet	w9_d501e8846
wur	w11_d501e8849
den,	w1_d501e8854
ihre	w3_d501e8857
unterthänige	w5_d501e8860
Aufwartung,	w7_d501e8863
wor	w9_d501e8866
auf	w1_d501e8871
eben	w3_d501e8874
dieselben	w5_d501e8877
gestern	w7_d501e8880
einander	w9_d501e8883
durch	w11_d501e8886
Abgeordnete	w1_d501e8891
bwillkommet	w3_d501e8894
haben.	w5_d501e8897
</p>
<p id="p6_d501e8900">
Nachdeme	w1_d501e8904
auch	w3_d501e8907
Se.	w5_d501e8910
Königl.	w7_d501e8913
Majest.	w9_d501e8916
den	w11_d501e8919
morgenden	w1_d501e8924
Tag	w3_d501e8927
zur	w5_d501e8930
allgemeinen	w7_d501e8933
Versamm	w9_d501e8936
lung	w1_d501e8941
sämtlicher	w3_d501e8944
Reichs=stände	w5_d501e8947
auszusetzen,	w7_d501e8950
geruhet	w1_d501e8956
haben,	w3_d501e8959
so	w5_d501e8962
ist	w7_d501e8965
solches	w9_d501e8968
heute	w11_d501e8971
durch	w13_d501e8975
einen	w1_d501e8980
Herold,	w3_d501e8983
unter	w5_d501e8986
Paucken	w7_d501e8989
und	w9_d501e8992
Trom	w11_d501e8995
peten=klang,	w1_d501e9000
öffentlich	w3_d501e9003
bekannt	w5_d501e9006
gemacht	w7_d501e9009
wor	w9_d501e9012
den.	w1_d501e9017
Die	w3_d501e9020
Ritterschaft,	w5_d501e9023
welche	w7_d501e9026
sich	w9_d501e9029
heute	w11_d501e9032
um	w1_d501e9038
9.	w3_d501e9041
Uhr	w5_d501e9044
Vormittags	w7_d501e9047
in	w9_d501e9050
Pleno	w11_d501e9053
versam	w13_d501e9057
meite,	w1_d501e9062
hat	w3_d501e9065
die	w5_d501e9068
55.	w7_d501e9071
Bankmanner,	w9_d501e9074
näm	w11_d501e9077
lich	w1_d501e9082
einen	w3_d501e9085
von	w5_d501e9088
jeder	w7_d501e9091
Banke,	w9_d501e9094
erwählet.	w11_d501e9097
Diese	w13_d501e9101
sind	w1_d501e9106
auch	w3_d501e9109
bereits	w5_d501e9112
Nachmittags	w7_d501e9115
wiederum	w9_d501e9118
zu	w11_d501e9121
sammen	w1_d501e9127
getretten,	w3_d501e9130
um	w5_d501e9133
die	w7_d501e9136
24.	w9_d501e9139
Electores	w11_d501e9142
zu	w13_d501e9146
eenennen,	w1_d501e9151
welchen	w3_d501e9154
nachhero	w5_d501e9157
zustehet,	w7_d501e9160
für	w9_d501e9163
den	w1_d501e9168
Secreten=ausschuß	w3_d501e9171
sowol,	w5_d501e9174
als	w7_d501e9177
alle	w9_d501e9180
übrige	w1_d501e9185
Deputation	w3_d501e9188
der	w5_d501e9191
Reichs=stände	w7_d501e9194
die	w9_d501e9197
sämmtlichen	w1_d501e9203
Glieder	w3_d501e9206
der	w5_d501e9209
Ritterschaft	w7_d501e9212
und	w9_d501e9215
Adels	w1_d501e9220
zu	w3_d501e9223
erwählen.	w5_d501e9226
Der	w7_d501e9229
Königl.	w9_d501e9232
Proto	w11_d501e9235
koll=secretair	w1_d501e9240
Paleen,	w3_d501e9243
ist	w5_d501e9246
abermal	w7_d501e9249
zum	w9_d501e9252
Se	w11_d501e9255
cretair	w1_d501e9260
des	w3_d501e9263
Bauerstandes	w5_d501e9266
ernannt	w7_d501e9269
worden.	w9_d501e9272
</p>
<head id="h2_d501e9278">
Wien	w1_d501e9282
den	w3_d501e9285
15.	w5_d501e9288
November	w7_d501e9291
1760.	w9_d501e9294
</head>
<p id="p4_d501e9297">
Jonnerstags	w1_d501e9301
den	w3_d501e9304
13.	w5_d501e9307
Nov.	w7_d501e9310
fruhe	w9_d501e9313
ist	w11_d501e9316
ein	w13_d501e9320
Feld=estaffeten=conducteur	w1_d501e9325
mit	w3_d501e9328
42.	w5_d501e9331
eroberten	w1_d501e9336
feindlichen	w3_d501e9339
Fahnen,	w5_d501e9342
und	w7_d501e9345
3.	w9_d501e9348
Estan	w11_d501e9351
barten	w1_d501e9357
auf	w3_d501e9360
einer	w5_d501e9363
vier=spännigen	w7_d501e9366
Postca	w9_d501e9369
lesse	w1_d501e9374
dahier	w3_d501e9377
eingetroffen.	w5_d501e9380
Diese	w7_d501e9383
Sieges	w9_d501e9386
</p>
<p id="p6_d501e9389">
zeichen	w1_d501e9393
sind	w3_d501e9396
sogleich	w5_d501e9399
dem	w7_d501e9402
Herrn	w9_d501e9405
Hofkriegs	w11_d501e9408
rahts=präsidenten	w1_d501e9413
Grafen	w3_d501e9416
von	w5_d501e9419
Harrach	w7_d501e9422
Excell.	w1_d501e9427
überbracht	w3_d501e9430
worden,	w5_d501e9433
allwo	w7_d501e9436
dieselbe	w9_d501e9439
jedermann	w1_d501e9445
vorgezeiget	w3_d501e9448
werden.	w5_d501e9451
</p>
<p id="p8_d501e9454">
Diesen	w1_d501e9458
Abend	w3_d501e9461
um	w5_d501e9464
5.	w7_d501e9467
Uhr	w9_d501e9470
sind	w11_d501e9473
die	w13_d501e9477
höch	w15_d501e9480
sten	w1_d501e9485
Herrschaften	w3_d501e9488
von	w5_d501e9491
Feldsperg	w7_d501e9494
wieder	w9_d501e9497
an	w11_d501e9500
hero	w1_d501e9505
zurück	w3_d501e9508
gelanget,	w5_d501e9511
und	w7_d501e9514
haben	w9_d501e9517
das	w11_d501e9520
Nacht	w13_d501e9524
mal	w1_d501e9530
in	w3_d501e9533
der	w5_d501e9536
Burg	w7_d501e9539
mit	w9_d501e9542
einigen	w11_d501e9545
hohen	w13_d501e9549
Cava	w15_d501e9552
lieren	w1_d501e9557
und	w3_d501e9560
Damen,	w5_d501e9563
die	w7_d501e9566
mit	w9_d501e9569
zu	w11_d501e9572
Feldsperg	w13_d501e9576
waren,	w1_d501e9581
eingenommen.	w3_d501e9584
</p>
<p id="p10_d501e9587">
Gestern	w1_d501e9591
den	w3_d501e9594
14.	w5_d501e9597
Vormittags	w7_d501e9600
haben	w9_d501e9603
die	w11_d501e9606
Kaiserl.	w1_d501e9611
Königl.	w3_d501e9614
Herrschaften	w5_d501e9617
dem	w7_d501e9620
GOttes	w9_d501e9623
dienst	w1_d501e9628
in	w3_d501e9631
der	w5_d501e9634
Cammer=kapelle	w7_d501e9637
abgewartet,	w9_d501e9640
und	w1_d501e9646
hinnach	w3_d501e9649
die	w5_d501e9652
beyden	w7_d501e9655
Majestäten	w9_d501e9658
sich	w11_d501e9661
mit	w13_d501e9665
den	w1_d501e9670
wichtigen	w3_d501e9673
Staats	w5_d501e9676
und	w7_d501e9679
Landesangelegen	w9_d501e9682
heiten	w1_d501e9687
beschäftiget.	w3_d501e9690
Diesen	w5_d501e9693
Nachmittag	w7_d501e9696
ist	w9_d501e9699
der	w1_d501e9704
meiste	w3_d501e9707
Theil	w5_d501e9710
der	w7_d501e9713
Hof=suite	w9_d501e9716
nach	w11_d501e9719
den	w13_d501e9723
Löbl.	w1_d501e9729
Stift	w3_d501e9732
Closter=neuburg	w5_d501e9735
2.	w7_d501e9738
Stunden	w9_d501e9741
von	w1_d501e9746
hier	w3_d501e9749
voraus	w5_d501e9752
geschicket	w7_d501e9755
worden,	w9_d501e9758
und	w11_d501e9761
heute	w13_d501e9765
hat	w1_d501e9770
der	w3_d501e9773
Kaiserl.	w5_d501e9776
Königl.	w7_d501e9779
Hof	w9_d501e9782
sich	w11_d501e9785
ebenfalls	w13_d501e9789
aldahin	w1_d501e9794
verfüget,	w3_d501e9797
das	w5_d501e9800
Fest	w7_d501e9803
des	w9_d501e9806
