<doc id="wr_1760-01-02" attrs="word" year="1760" month="01" day="02" corpus="2">
<head id="h2_d411e2925">
Erfurt	w1_d411e2929
haben;	w9_d411e6570
also	w11_d411e6573
fehlet	w13_d411e6577
nur	w1_d411e6582
noch	w3_d411e6585
ein	w5_d411e6588
einziges	w7_d411e6591
Schif	w9_d411e6594
von	w11_d411e6597
der	w13_d411e6601
Flotte,	w15_d411e6604
indem	w1_d411e6609
auch	w3_d411e6612
die	w5_d411e6615
zwey	w7_d411e6618
übrige	w9_d411e6621
zu	w11_d411e6624
Oporto	w13_d411e6628
an	w15_d411e6631
gekommen	w1_d411e6637
sind.	w3_d411e6640
Man	w5_d411e6643
hat	w7_d411e6646
sogleich	w9_d411e6649
zwey	w11_d411e6652
Convoyen,	w1_d411e6657
eine	w3_d411e6660
gegen	w5_d411e6663
Norden	w7_d411e6666
und	w9_d411e6669
die	w11_d411e6672
an	w13_d411e6676
dere	w1_d411e6681
gegen	w3_d411e6684
Süden,	w5_d411e6687
um	w7_d411e6690
die	w9_d411e6693
verlorne	w11_d411e6696
Schiffe	w13_d411e6700
aufzusuchen,	w1_d411e6705
auslauffen	w3_d411e6708
lassen.	w5_d411e6711
Die	w7_d411e6714
Schä	w9_d411e6717
tze	w1_d411e6723
dieser	w3_d411e6726
zwey	w5_d411e6729
Flotten	w7_d411e6732
bestehen	w9_d411e6735
in	w11_d411e6738
zwey	w13_d411e6742
und	w15_d411e6745
einer	w1_d411e6750
halben	w3_d411e6753
Million	w5_d411e6756
für	w7_d411e6759
den	w9_d411e6762
König;	w11_d411e6765
14.	w13_d411e6769
Millionen	w1_d411e6774
an	w3_d411e6777
Gold	w5_d411e6780
und	w7_d411e6783
Silber	w9_d411e6786
für	w11_d411e6789
die	w13_d411e6793
Kaufmannschaft,	w1_d411e6798
aus	w3_d411e6801
zwey	w5_d411e6804
Küsten	w7_d411e6807
voll	w9_d411e6810
Diamanten,	w1_d411e6816
17876.	w3_d411e6819
grossen	w5_d411e6822
und	w7_d411e6825
kleinen	w9_d411e6828
Küsten	w1_d411e6833
und	w3_d411e6836
Zucker=ballen,	w5_d411e6839
12825.	w7_d411e6842
Küsten	w9_d411e6845
und	w1_d411e6850
Ballen=toback,	w3_d411e6853
25270.	w5_d411e6856
Häuten,	w7_d411e6859
von	w9_d411e6862
verschiedener	w1_d411e6867
Gattung,	w3_d411e6870
1673.	w5_d411e6873
Elephanten	w7_d411e6876
Zähnen,	w1_d411e6882
und	w3_d411e6885
aus	w5_d411e6888
114.	w7_d411e6891
Ballen	w9_d411e6894
Wolle	w11_d411e6897
von	w13_d411e6901
Bakunla,	w1_d411e6906
wie	w3_d411e6909
auch	w5_d411e6912
vielem	w7_d411e6915
Bau=holze	w9_d411e6918
und	w11_d411e6921
andern	w1_d411e6926
kostbaren	w3_d411e6929
Waaren	w5_d411e6932
und	w7_d411e6935
Sachen	w9_d411e6938
mehr.	w11_d411e6941
</p>
<head id="h2_d411e6947">
Petersburg	w1_d411e6951
23.	w3_d411e6954
Nov.	w5_d411e6957
1759.	w7_d411e6960
</head>
<p id="p4_d411e6963">
Nachdem,	w1_d411e6967
wegen	w3_d411e6970
Auswechßlung	w5_d411e6973
der	w7_d411e6976
Kaiserl.	w1_d411e6981
Rußischen	w3_d411e6984
und	w5_d411e6987
Königl.	w7_d411e6990
Preußischen	w9_d411e6993
Kriegs=gefangenen,	w1_d411e6998
auf	w3_d411e7001
Seiten	w5_d411e7004
Jhrer	w7_d411e7007
Kai	w9_d411e7010
serl.	w1_d411e7016
Majestät,	w3_d411e7019
der	w5_d411e7022
General=major	w7_d411e7025
Peter	w9_d411e7028
von	w1_d411e7033
Jacowlef,	w3_d411e7036
und	w5_d411e7039
der	w7_d411e7042
Oberste	w9_d411e7045
und	w11_d411e7048
Ge	w13_d411e7052
neral=quartier=meister=leutenant,	w1_d411e7057
Jacob	w3_d411e7060
von	w5_d411e7063
Sievers;	w1_d411e7068
auf	w3_d411e7071
Seiten	w5_d411e7074
Seiner	w7_d411e7077
Majestät	w9_d411e7080
des	w11_d411e7083
Königs	w1_d411e7089
von	w3_d411e7092
Preußen	w5_d411e7095
aber,	w7_d411e7098
der	w9_d411e7101
General	w11_d411e7104
major	w1_d411e7109
Friedrich	w3_d411e7112
Freyherr	w5_d411e7115
von	w7_d411e7118
Wylich,	w9_d411e7121
und	w11_d411e7124
der	w1_d411e7129
Ober=auditeur,	w3_d411e7132
Friedrich	w5_d411e7135
Wilhelm	w7_d411e7138
von	w9_d411e7141
Spangenberg,	w1_d411e7146
zu	w3_d411e7149
Gevollmächtigten	w5_d411e7152
abge	w7_d411e7155
ordnet	w1_d411e7161
worden	w3_d411e7164
sind:	w5_d411e7167
so	w7_d411e7170
haben	w9_d411e7173
dieselben,	w11_d411e7176
in	w1_d411e7181
Kraft	w3_d411e7184
habender	w5_d411e7187
und	w7_d411e7190
einander	w9_d411e7193
commu	w11_d411e7196
nicirten	w1_d411e7201
Vollmachten,	w3_d411e7204
und	w5_d411e7207
nachdem	w7_d411e7210
die	w9_d411e7213
Kö	w11_d411e7216
nigl.	w1_d411e7221
Preußische	w3_d411e7224
Pommerische	w5_d411e7227
Stadt	w7_d411e7230
Bütow	w9_d411e7233
zum	w1_d411e7239
Conferenz=ort	w3_d411e7242
beliebet	w5_d411e7245
worden,	w7_d411e7248
den	w9_d411e7251
12.	w11_d411e7254
des	w1_d411e7259
jüngst=verwichenen	w3_d411e7262
Monats	w5_d411e7265
October,	w7_d411e7268
desfalls	w1_d411e7273
daselbst	w3_d411e7276
eine	w5_d411e7279
Präliminairconven	w7_d411e7282
tion	w1_d411e7287
verabredet;	w3_d411e7290
und	w5_d411e7293
den	w7_d411e7296
15.	w9_d411e7299
darauf	w11_d411e7302
</p>
<p id="p8_d411e7307">
sodann	w1_d411e7311
das	w3_d411e7314
Cartel	w5_d411e7317
zwischen	w7_d411e7320
denenselben	w9_d411e7323
ge	w11_d411e7326
schlossen,	w1_d411e7331
gezeichnet	w3_d411e7334
und	w5_d411e7337
ausgewechselt	w7_d411e7340
wor	w9_d411e7343
den.	w1_d411e7348
Dieses	w3_d411e7351
Cartel	w5_d411e7354
soll	w7_d411e7357
6.	w9_d411e7360
Jahr,	w11_d411e7363
oder	w13_d411e7367
so	w1_d411e7373
lang,	w3_d411e7376
als	w5_d411e7379
der	w7_d411e7382
gegenwärtige	w9_d411e7385
Krieg	w11_d411e7388
dauert	w13_d411e7392
gültig	w1_d411e7397
seyn;	w3_d411e7400
und	w5_d411e7403
damit	w7_d411e7406
selbiges	w9_d411e7409
zu	w11_d411e7412
jeder	w13_d411e7416
manns	w1_d411e7421
Wissenschaft	w3_d411e7424
gelangen	w5_d411e7427
mogen,	w7_d411e7430
so	w9_d411e7433
hat	w1_d411e7438
man	w3_d411e7441
dasselbe	w5_d411e7444
in	w7_d411e7447
Teutscher	w9_d411e7450
und	w11_d411e7453
Rußischer	w13_d411e7457
Sprache	w1_d411e7463
durch	w3_d411e7466
den	w5_d411e7469
Druck	w7_d411e7472
hierselbst	w9_d411e7475
bekannt	w11_d411e7478
gemacht.	w1_d411e7483
</p>
<head id="h2_d411e7489">
Niederselbe	w1_d411e7493
17.	w3_d411e7496
Dec.	w5_d411e7499
1759.	w7_d411e7502
</head>
<p id="p4_d411e7505">
Aus	w1_d411e7509
dem	w3_d411e7512
Mecklenburgischen	w5_d411e7515
hat	w7_d411e7518
man	w9_d411e7521
unterm	w1_d411e7526
13.,	w3_d411e7529
daß	w5_d411e7532
12000.	w7_d411e7535
Mann	w9_d411e7538
Preußen	w11_d411e7541
bey	w1_d411e7546
Demmin	w3_d411e7549
stehen,	w5_d411e7552
daß	w7_d411e7555
ein	w9_d411e7558
Lager	w11_d411e7561
von	w13_d411e7565
6000.	w15_d411e7568
Mann	w1_d411e7574
in	w3_d411e7577
eben	w5_d411e7580
der	w7_d411e7583
Gegend	w9_d411e7586
würklich	w11_d411e7589
zu	w13_d411e7593
ste	w15_d411e7596
hen	w1_d411e7601
komme,	w3_d411e7604
auch	w5_d411e7607
bereits	w7_d411e7610
einige	w9_d411e7613
Preußische	w11_d411e7616
Trupen	w1_d411e7621
sich	w3_d411e7624
wiederum	w5_d411e7627
in	w7_d411e7630
Malchin	w9_d411e7633
einge	w11_d411e7636
funden	w1_d411e7641
hätten.	w3_d411e7644
Jm	w5_d411e7647
Amte	w7_d411e7650
Dargan	w9_d411e7653
hat	w11_d411e7656
sich	w13_d411e7660
gleichfalls	w1_d411e7666
ein	w3_d411e7669
Preußischer	w5_d411e7672
Officier	w7_d411e7675
mit	w9_d411e7678
einem	w11_d411e7681
Commando	w1_d411e7686
zur	w3_d411e7689
Execution	w5_d411e7692
eingefunden,	w7_d411e7695
nach	w9_d411e7698
dem	w1_d411e7703
das	w3_d411e7706
Preußische	w5_d411e7709
Commissariat	w7_d411e7712
mit	w9_d411e7715
Ab	w11_d411e7718
lauf	w1_d411e7723
des	w3_d411e7726
vorigen	w5_d411e7729
Monats	w7_d411e7732
ein	w9_d411e7735
bedrohliches	w11_d411e7738
Patent	w1_d411e7744
an	w3_d411e7747
die	w5_d411e7750
Mecklenburgischen	w7_d411e7753
Aemter	w9_d411e7756
zur	w11_d411e7759
Bezahlung	w1_d411e7764
der	w3_d411e7767
Rückstände	w5_d411e7770
der	w7_d411e7773
im	w9_d411e7776
vorigen	w11_d411e7779
Jahre	w1_d411e7784
ausgeschriebenen	w3_d411e7787
Contributionen	w5_d411e7790
hat	w7_d411e7793
ergehen	w1_d411e7798
lassen.	w3_d411e7801
Der	w5_d411e7804
Schwedische	w7_d411e7807
Gene	w9_d411e7810
ral	w1_d411e7816
en	w3_d411e7819
Chef	w5_d411e7822
von	w7_d411e7825
Lantingshausen	w9_d411e7828
hat	w11_d411e7831
hinge	w13_d411e7835
gen	w1_d411e7840
an	w3_d411e7843
verschiedenen	w5_d411e7846
Orten	w7_d411e7849
ein	w9_d411e7852
Patent	w11_d411e7855
an	w13_d411e7859
schlagen	w1_d411e7864
lassen,	w3_d411e7867
worinn	w5_d411e7870
diese	w7_d411e7873
Bezahlung	w9_d411e7876
ernstlich	w1_d411e7881
untersaget	w3_d411e7884
wird,	w5_d411e7887
worauf	w7_d411e7890
aber	w9_d411e7893
die	w11_d411e7896
Preussen	w1_d411e7902
wenig	w3_d411e7905
Aufmerksamkeit,	w5_d411e7908
bezeigen	w7_d411e7911
sollen.	w1_d411e7916
</p>
<head id="h2_d411e7922">
Neapel	w1_d411e7926
29.	w3_d411e7929
Novemb.	w5_d411e7932
17.	w7_d411e7935
</head>
<p id="p4_d411e7938">
Seine	w1_d411e7942
Majestät	w3_d411e7945
der	w5_d411e7948
König	w7_d411e7951
begeben	w9_d411e7954
sich	w11_d411e7957
zum	w1_d411e7962
öftern	w3_d411e7965
nach	w5_d411e7968
Capo	w7_d411e7971
di	w9_d411e7974
Monte.	w11_d411e7977
Ein	w13_d411e7981
Mai	w15_d411e7984
thesisches	w1_d411e7989
Kriegs=schif	w3_d411e7992
von	w5_d411e7995
60.	w7_d411e7998
Canonen,	w9_d411e8001
das	w1_d411e8007
in	w3_d411e8010
unserm	w5_d411e8013
Hafen	w7_d411e8016
ligt,	w9_d411e8019
ist	w11_d411e8022
bestimmt,	w13_d411e8026
alle	w15_d411e8029
Spanier,	w1_d411e8034
welche	w3_d411e8037
Krankheit	w5_d411e8040
halber	w7_d411e8043
Seiner	w9_d411e8046
Catholischen	w1_d411e8051
Majestät	w3_d411e8054
nach	w5_d411e8057
solchem	w7_d411e8060
König	w9_d411e8063
reiche	w1_d411e8068
nicht	w3_d411e8071
haben	w5_d411e8074
folgen	w7_d411e8077
können,	w9_d411e8080
und	w11_d411e8083
was	w13_d411e8087
sonst	w1_d411e8093
von	w3_d411e8096
Königl.	w5_d411e8099
Sachen	w7_d411e8102
noch	w9_d411e8105
zuruck	w11_d411e8108
ge	w13_d411e8112
blieben	w1_d411e8117
ist,	w3_d411e8120
dahin	w5_d411e8123
zu	w7_d411e8126
transportiren.	w9_d411e8129
Un	w11_d411e8132
sere	w1_d411e8137
Schiffe	w3_d411e8140
und	w5_d411e8143
Chebequen,	w7_d411e8146
so	w9_d411e8149
den	w11_d411e8152
Catho	w13_d411e8156
lischen	w1_d411e8161
Monarchen	w3_d411e8164
nach	w5_d411e8167
Barcellona	w7_d411e8170
beglei	w9_d411e8173
</p>
<p id="p6_d411e8176">
tet,	w1_d411e8180
seynd	w3_d411e8183
von	w5_d411e8186
dort	w7_d411e8189
innerhalb	w9_d411e8192
9.	w11_d411e8195
Tägen	w13_d411e8199
glücklich	w1_d411e8204
hieher	w3_d411e8207
zuruck	w5_d411e8210
gekommen.	w7_d411e8213
Vier	w9_d411e8216
Che	w11_d411e8219
bequen	w1_d411e8224
haben	w3_d411e8227
aber	w5_d411e8230
kaum	w7_d411e8233
ein	w9_d411e8236
wenig	w11_d411e8239
ausge	w13_d411e8243
ruhet,	w1_d411e8249
als	w3_d411e8252
sie	w5_d411e8255
den	w7_d411e8258
Befehl	w9_d411e8261
erhalten,	w11_d411e8264
wider	w13_d411e8268
die	w1_d411e8273
barbarische	w3_d411e8276
Schiffe,	w5_d411e8279
so	w7_d411e8282
unsere	w9_d411e8285
Gewässer	w11_d411e8288
unsicher	w1_d411e8293
machen,	w3_d411e8296
auszulauffen.	w5_d411e8299
Am	w7_d411e8302
vergan	w9_d411e8305
genen	w1_d411e8310
Sonn=abend	w3_d411e8313
in	w5_d411e8316
der	w7_d411e8319
Nacht	w9_d411e8322
hat	w11_d411e8325
unser	w13_d411e8329
Vesuvius	w1_d411e8335
ausserordentlich	w3_d411e8338
stark	w5_d411e8341
zu	w7_d411e8344
toben,	w9_d411e8347
und	w1_d411e8352
aus	w3_d411e8355
5.	w5_d411e8358
neuen	w7_d411e8361
Klüften	w9_d411e8364
eine	w11_d411e8367
Menge	w13_d411e8371
Harz	w15_d411e8374
auszuwerfen	w1_d411e8379
angefangen,	w3_d411e8382
welches	w5_d411e8385
grosse	w7_d411e8388
Verwüstung	w1_d411e8393
drohet.	w3_d411e8396
Die	w5_d411e8399
Lava	w7_d411e8402
lägft	w9_d411e8405
gegen	w11_d411e8408
Torre	w1_d411e8414
Nunziata.	w3_d411e8417
Diese	w5_d411e8420
ungestümme	w7_d411e8423
Ent	w9_d411e8426
zündung	w1_d411e8431
zu	w3_d411e8434
betrachten,	w5_d411e8437
seynd	w7_d411e8440
am	w9_d411e8443
Sonntag	w11_d411e8446
und	w1_d411e8451
Monntag	w3_d411e8454
viele	w5_d411e8457
Personen	w7_d411e8460
von	w9_d411e8463
hier	w11_d411e8466
abge	w13_d411e8470
gangen,	w1_d411e8475
während,	w3_d411e8478
daß	w5_d411e8481
die	w7_d411e8484
arme	w9_d411e8487
umligende	w11_d411e8490
Jnwohner	w1_d411e8496
GOtt	w3_d411e8499
auf	w5_d411e8502
denen	w7_d411e8505
Knien	w9_d411e8508
um	w11_d411e8511
baldige	w13_d411e8515
Endschaft	w1_d411e8520
ihres	w3_d411e8523
so	w5_d411e8526
grossen	w7_d411e8529
Unglücks	w9_d411e8532
anstehen.	w11_d411e8535
</p>
<head id="h2_d411e8541">
Paris	w1_d411e8545
10.	w3_d411e8548
Decemb.	w5_d411e8551
1759.	w7_d411e8554
</head>
<p id="p4_d411e8557">
Der	w1_d411e8561
König,	w3_d411e8564
der	w5_d411e8567
Dauphin,	w7_d411e8570
Madame	w9_d411e8573
la	w11_d411e8576
Dauphine,	w1_d411e8581
und	w3_d411e8584
die	w5_d411e8587
Königl.	w7_d411e8590
Prinzeßinnen	w9_d411e8593
seynd	w1_d411e8598
unmittelbar	w3_d411e8601
nach	w5_d411e8604
dem	w7_d411e8607
Ableben	w9_d411e8610
der	w11_d411e8613
Jn	w13_d411e8617
fantin,	w1_d411e8623
Herzogin	w3_d411e8626
von	w5_d411e8629
Parma	w7_d411e8632
nach	w9_d411e8635
Marli	w11_d411e8638
abgegangen,	w1_d411e8643
um	w3_d411e8646
sich	w5_d411e8649
etliche	w7_d411e8652
Täge	w9_d411e8655
daselbst	w11_d411e8658
aufzuhalten,	w1_d411e8663
und	w3_d411e8666
die	w5_d411e8669
Königin	w7_d411e8672
hat	w9_d411e8675
sich	w11_d411e8678
nach	w13_d411e8682
Triauon	w1_d411e8687
begeben.	w3_d411e8690
Der	w5_d411e8693
Leichnam	w7_d411e8696
von	w9_d411e8699
Jhrer	w11_d411e8702
Königl.	w1_d411e8708
Hoheit	w3_d411e8711
ist,	w5_d411e8714
nachdem	w7_d411e8717
man	w9_d411e8720
ihn	w11_d411e8723
ein	w13_d411e8727
balsamirt	w1_d411e8732
hat,	w3_d411e8735
ohne	w5_d411e8738
Gepränge	w7_d411e8741
nach	w9_d411e8744
der	w11_d411e8747
Ab	w13_d411e8751
tey	w1_d411e8756
St.	w3_d411e8759
Denis	w5_d411e8762
abgeführt,	w7_d411e8765
und	w9_d411e8768
alda	w11_d411e8771
in	w13_d411e8775
das	w15_d411e8778
Begräbmiß	w1_d411e8783
der	w3_d411e8786
Prinzen	w5_d411e8789
der	w7_d411e8792
Königl.	w9_d411e8795
Famile	w11_d411e8798
beygesetzet	w1_d411e8804
worden.	w3_d411e8807
Wegen	w5_d411e8810
dieses	w7_d411e8813
Ster	w9_d411e8816
be=falls	w1_d411e8821
seynd	w3_d411e8824
unsere	w5_d411e8827
Schau=plätze	w7_d411e8830
auf	w9_d411e8833
ei	w11_d411e8836
nige	w1_d411e8841
Täge	w3_d411e8844
geschlossen,	w5_d411e8847
und	w7_d411e8850
es	w9_d411e8853
ist	w11_d411e8856
auch	w13_d411e8860
aus	w15_d411e8863
der	w1_d411e8868
Ursache	w3_d411e8871
das	w5_d411e8874
geistliche	w7_d411e8877
Concert,	w9_d411e8880
das	w11_d411e8883
am	w13_d411e8887
Feste	w1_d411e8893
Mariä	w3_d411e8896
Empfängniß	w5_d411e8899
in	w7_d411e8902
dem	w9_d411e8905
Palais	w11_d411e8908
der	w1_d411e8913
Thuilleries	w3_d411e8916
gegeben	w5_d411e8919
werden	w7_d411e8922
sollte,	w9_d411e8925
ver	w11_d411e8928
schoben	w1_d411e8933
worden.	w3_d411e8936
</p>
<head id="h2_d411e8942">
Maynstrom	w1_d411e8946
17.	w3_d411e8949
Dec.	w5_d411e8952
1759.	w7_d411e8955
</head>
<p id="p4_d411e8958">
Das	w1_d411e8962
ganze	w3_d411e8965
Würtembergische	w5_d411e8968
Corps	w7_d411e8971
be	w9_d411e8974
gibt	w1_d411e8979
sich	w3_d411e8982
auf	w5_d411e8985
den	w7_d411e8988
Marsch,	w9_d411e8991
um	w11_d411e8994
durch	w13_d411e8998
die	w15_d411e9001
Wetterau	w1_d411e9006
zu	w3_d411e9009
dringen;	w5_d411e9012
morgen	w7_d411e9015
wird	w9_d411e9018
dassel	w11_d411e9021
bige	w1_d411e9027
schon	w3_d411e9030
zu	w5_d411e9033
Steinau,	w7_d411e9036
Schlüchtern	w9_d411e9039
und	w11_d411e9042
denen	w1_d411e9047
dortigen	w3_d411e9050
Gegenden	w5_d411e9053
anlangen,	w7_d411e9056
seine	w9_d411e9059
</p>
<p id="p10_d411e9072">
leichte	w1_d411e9076
Trupen	w3_d411e9079
sind	w5_d411e9082
bereits	w7_d411e9085
zu	w9_d411e9088
Herberstein	w11_d411e9091
eingetroffen,	w1_d411e9096
allwo	w3_d411e9099
man	w5_d411e9102
sehr	w7_d411e9105
viel	w9_d411e9108
Brod	w11_d411e9111
und	w1_d411e9116
Fourage,	w3_d411e9119
den	w5_d411e9122
Durchzug	w7_d411e9125
von	w9_d411e9128
10000.	w11_d411e9131
Mann	w1_d411e9137
zu	w3_d411e9140
befördern,	w5_d411e9143
besorget.	w7_d411e9146
</p>
<head id="h2_d411e9153">
Madrid	w1_d411e9157
23	w3_d411e9160
November.	w5_d411e9163
1759.	w7_d411e9166
</head>
<p id="p4_d411e9169">
Es	w1_d411e9173
vergehet	w3_d411e9176
kein	w5_d411e9179
Tag,	w7_d411e9182
daß	w9_d411e9185
man	w11_d411e9188
nicht	w13_d411e9192
Nachrichten	w1_d411e9197
von	w3_d411e9200
Saragossa	w5_d411e9203
empfängt,	w7_d411e9206
und	w9_d411e9209
die	w1_d411e9214
letzteren	w3_d411e9217
enthalten,	w5_d411e9220
daß	w7_d411e9223
der	w9_d411e9226
König	w11_d411e9229
sich	w13_d411e9233
in	w1_d411e9239
vollkommenem	w3_d411e9242
Wolstande	w5_d411e9245
befinde.	w7_d411e9248
Hin	w9_d411e9251
gegen	w1_d411e9256
haben	w3_d411e9259
sich	w5_d411e9262
bey	w7_d411e9265
der	w9_d411e9268
Unpäßlichkeit	w11_d411e9271
der	w13_d411e9275
Königin	w1_d411e9280
die	w3_d411e9283
Masern	w5_d411e9286
geäussert,	w7_d411e9289
welche	w9_d411e9292
aber	w11_d411e9295
zu	w1_d411e9300
Jhrer	w3_d411e9303
Majestät	w5_d411e9306
baldiger	w7_d411e9309
Genesung	w9_d411e9312
gute	w11_d411e9315
Hofnung	w1_d411e9321
geben.	w3_d411e9324
Der	w5_d411e9327
Prinz	w7_d411e9330
von	w9_d411e9333
Asturien	w11_d411e9336
ist	w1_d411e9341
völlig	w3_d411e9344
wieder	w5_d411e9347
hergestellt,	w7_d411e9350
und	w9_d411e9353
die	w11_d411e9356
übrige	w13_d411e9360
Kön.	w1_d411e9365
Famile	w3_d411e9368
befindet	w5_d411e9371
sich	w7_d411e9374
auch	w9_d411e9377
so	w11_d411e9380
wol,	w13_d411e9384
als	w15_d411e9387
die	w1_d411e9392
Witterung	w3_d411e9395
gestalten	w5_d411e9398
kan,	w7_d411e9401
also,	w9_d411e9404
daß	w11_d411e9407
man,	w13_d411e9411
wann	w1_d411e9417
kein	w3_d411e9420
anderer	w5_d411e9423
Zufall	w7_d411e9426
dazwischen	w9_d411e9429
kommt,	w11_d411e9432
Jhre	w1_d411e9437
Majestäten,	w3_d411e9440
und	w5_d411e9443
den	w7_d411e9446
Hof	w9_d411e9449
längstens	w11_d411e9452
in	w1_d411e9457
3.	w3_d411e9460
bis	w5_d411e9463
4.	w7_d411e9466
Wochen	w9_d411e9469
hier	w11_d411e9472
zu	w13_d411e9476
sehen	w15_d411e9479
hoffet.	w17_d411e9482
</p>
<head id="h2_d411e9488">
Bergen	w1_d411e9492
in	w3_d411e9495
Norwegen	w5_d411e9498
20.	w7_d411e9501
No	w9_d411e9504
vember.	w1_d411e9509
1759.	w3_d411e9512
</head>
<p id="p4_d411e9515">
Jndem	w1_d411e9519
wir	w3_d411e9522
den	w5_d411e9525
Französischen	w7_d411e9528
Capitain	w9_d411e9531
Thurot	w1_d411e9536
an	w3_d411e9539
der	w5_d411e9542
Schottischen	w7_d411e9545
Küste	w9_d411e9548
vermu	w11_d411e9551
teten,	w1_d411e9556
ist	w3_d411e9559
derselbe	w5_d411e9562
am	w7_d411e9565
17ten	w9_d411e9568
dieses	w11_d411e9571
mit	w13_d411e9575
4.	w15_d411e9578
Kriegs=schiffen	w1_d411e9584
in	w3_d411e9587
den	w5_d411e9590
anderthalb	w7_d411e9593
Meilen	w9_d411e9596
von	w1_d411e9601
hier	w3_d411e9604
gelegenen	w5_d411e9607
Hafen	w7_d411e9610
eingeloffen.	w9_d411e9613
Der	w11_d411e9616
Herr	w1_d411e9621
Thurot	w3_d411e9624
sagte,	w5_d411e9627
daß	w7_d411e9630
2.	w9_d411e9633
Schiffe	w11_d411e9636
von	w13_d411e9640
sei	w15_d411e9643
ner	w1_d411e9648
Flotille	w3_d411e9651
auf	w5_d411e9654
der	w7_d411e9657
See	w9_d411e9660
durch	w11_d411e9663
Sturm	w13_d411e9667
von	w15_d411e9670
ihm	w1_d411e9676
abgekommen	w3_d411e9679
wären.	w5_d411e9682
Er	w7_d411e9685
ist	w9_d411e9688
heute	w11_d411e9691
in	w13_d411e9695
eigener	w1_d411e9700
Person	w3_d411e9703
vor	w5_d411e9706
unsere	w7_d411e9709
Stadt	w9_d411e9712
gekommen.	w11_d411e9715
</p>
<head id="h2_d411e9721">
Paris	w1_d411e9725
12.	w3_d411e9728
December.	w5_d411e9731
1759.	w7_d411e9734
</head>
<p id="p4_d411e9737">
Durch	w1_d411e9741
den	w3_d411e9744
Todes=fall	w5_d411e9747
der	w7_d411e9750
Madame,	w9_d411e9753
Herzogin	w1_d411e9758
von	w3_d411e9761
Parma,	w5_d411e9764
einer	w7_d411e9767
derer	w9_d411e9770
klügsten	w11_d411e9773
Prinzeßin	w1_d411e9778
in	w3_d411e9781
Europa,	w5_d411e9784
sind	w7_d411e9787
Jhre	w9_d411e9790
Majestä	w11_d411e9793
ten,	w1_d411e9799
die	w3_d411e9802
Königl.	w5_d411e9805
Famille	w7_d411e9808
und	w9_d411e9811
der	w11_d411e9814
ganze	w13_d411e9818
Hof	w15_d411e9821
in	w1_d411e9826
den	w3_d411e9829
tiefsten	w5_d411e9832
Kummer	w7_d411e9835
versenket	w9_d411e9838
worden.	w11_d411e9841
Und	w1_d411e9846
dieser	w3_d411e9849
Schmerz	w5_d411e9852
wird	w7_d411e9855
bey	w9_d411e9858
Jhren	w11_d411e9861
Maje	w13_d411e9865
stäten	w1_d411e9870
noch	w3_d411e9873
durch	w5_d411e9876
die	w7_d411e9879
Unpäßlichkeit	w9_d411e9882
des	w11_d411e9885
Herrn	w1_d411e9891
Herzogs	w3_d411e9894
von	w5_d411e9897
Burgund	w7_d411e9900
vermehret,	w9_d411e9903
als	w1_d411e9908
die,	w3_d411e9911
so	w5_d411e9914
gering	w7_d411e9917
sie	w9_d411e9920
im	w11_d411e9923
Anfang	w13_d411e9927
geschie	w15_d411e9930
nen	w1_d411e9935
hat,	w3_d411e9938
seit	w5_d411e9941
dem	w7_d411e9944
Gebrauch	w9_d411e9947
des	w11_d411e9950
Bades,	w13_d411e9954
welches	w1_d411e9959
diesem	w3_d411e9962
liebenswürdigen	w5_d411e9965
Prinzen	w7_d411e9968
ver	w9_d411e9971
ordnet	w1_d411e9977
worden	w3_d411e9980
ist,	w5_d411e9983
und	w7_d411e9986
das	w9_d411e9989
für	w11_d411e9992
ihn	w13_d411e9996
eine	w15_d411e9999
ganz	w17_d411e10002
</p>
<p id="p6_d411e10005">
widrige	w1_d411e10009
Würkung	w3_d411e10012
gehabt,	w5_d411e10015
sich	w7_d411e10018
vergrössert	w9_d411e10021
hat.	w11_d411e10024
Zur	w1_d411e10029
bevorstehenden	w3_d411e10032
Versammlung	w5_d411e10035
der	w7_d411e10038
Clerisey	w9_d411e10041
ist	w1_d411e10046
allschon	w3_d411e10049
eine	w5_d411e10052
starke	w7_d411e10055
Anzahl	w9_d411e10058
von	w11_d411e10061
Präla	w13_d411e10065
ten	w1_d411e10071
hier	w3_d411e10074
eingetroffen.	w5_d411e10077
Von	w7_d411e10080
dem	w9_d411e10083
See=gefecht	w11_d411e10086
vom	w1_d411e10091
20.	w3_d411e10094
Nov.	w5_d411e10097
so	w7_d411e10100
unweit	w9_d411e10103
Croisic,	w11_d411e10106
nur	w13_d411e10110
2.	w15_d411e10113
Meilen	w1_d411e10118
vom	w3_d411e10121
Land,	w5_d411e10124
zwischen	w7_d411e10127
dem	w9_d411e10130
Herrn	w11_d411e10133
von	w13_d411e10137
Conflans,	w1_d411e10142
und	w3_d411e10145
dem	w5_d411e10148
Admiral	w7_d411e10151
Hawke	w9_d411e10154
vorge	w11_d411e10157
fallen,	w1_d411e10163
schreibt	w3_d411e10166
ein	w5_d411e10169
Freund	w7_d411e10172
aus	w9_d411e10175
Bretagne	w11_d411e10178
folgende	w1_d411e10183
Umstände:	w3_d411e10186
Zwey	w5_d411e10189
feindliche	w7_d411e10192
Schiffe,	w9_d411e10195
der	w1_d411e10200
Essex	w3_d411e10203
