<doc id="edoc_wd_1759-10-03" attrs="word" year="1759" month="10" day="03" corpus="1">
<head id="hl1">
Lahn	w46
<g/>
=
feindlichen	w1906
Flottille	w1907
haben	w1908
sich	w1909
also	w1910
nur	w1911
drey	w1912
Barcassen	w1913
gerettet	w1914
<g/>
.
</p>
<p id="p17">
Wir	w1916
haben	w1917
bey	w1918
dieser	w1919
Action	w1920
vier	w1921
Gal=liotten	w1922
<g/>
=
<g/>
,
vier	w1925
Galeeren	w1926
und	w1927
eine	w1928
Barcasse	w1929
<g/>
,
nebst	w1931
denen	w1932
darauf	w1933
befindlichen	w1934
110	w1935
<g/>
.
Ca=nonen	w1937
<g/>
=
von	w1939
3	w1940
<g/>
.
4	w1942
<g/>
.
6	w1944
<g/>
.
und	w1946
12	w1947
<g/>
.
Pfund	w1949
erobert	w1950
<g/>
,
24	w1952
<g/>
.
Officiers	w1954
<g/>
,
und	w1956
über	w1957
500	w1958
<g/>
.
Mann	w1960
Ge=meine	w1961
<g/>
=
Gefangenen	w1963
gemacht	w1964
<g/>
,
und	w1966
eine	w1967
grosse	w1968
Menge	w1969
von	w1970
Ammunition	w1971
<g/>
,
Proviant	w1973
und	w1974
Gewehr	w1975
erhalten	w1976
<g/>
.
</p>
<p id="p18">
Unser	w1978
Verlust	w1979
bestehet	w1980
in	w1981
einer	w1982
Bar=casse	w1983
<g/>
=
<g/>
,
deren	w1986
Pulfer	w1987
<g/>
=
küste	w1989
Feuer	w1990
gefast	w1991
<g/>
,
und	w1993
die	w1994
daher	w1995
verloren	w1996
gegangen	w1997
<g/>
;
inglei=chen	w1999
<g/>
=
in	w2001
13	w2002
<g/>
.
Todten	w2004
und	w2005
11	w2006
<g/>
.
Bleßirten	w2008
<g/>
.
Des	w2010
Feindes	w2011
Verlust	w2012
läst	w2013
sich	w2014
nicht	w2015
so	w2016
genau	w2017
be=stimmen	w2018
<g/>
=
<g/>
.
</p>
<p id="p19">
Wie	w2021
nun	w2022
der	w2023
glückliche	w2024
Ausgang	w2025
die=ser	w2026
<g/>
=
Action	w2028
uns	w2029
nicht	w2030
allein	w2031
Meister	w2032
von	w2033
dem	w2034
ganzen	w2035
Haf	w2036
gemacht	w2037
<g/>
,
sondern	w2039
auch	w2040
unse=ren	w2041
<g/>
=
Gelegenheit	w2043
gegeben	w2044
<g/>
,
eine	w2046
Landung	w2047
auf	w2048
Wolin	w2049
vorzunehmen	w2050
<g/>
,
und	w2052
dadurch	w2053
die	w2054
1000	w2055
Mann	w2056
feindliche	w2057
Trupen	w2058
<g/>
,
welche	w2060
zur	w2061
Be=satzung	w2062
<g/>
=
in	w2064
dem	w2065
Block	w2066
<g/>
=
haus	w2068
lagen	w2069
<g/>
,
abzu=schneiden	w2071
<g/>
=
<g/>
,
so	w2074
wurde	w2075
auch	w2076
letzteres	w2077
sogleich	w2078
geschehen	w2079
seyn	w2080
<g/>
,
wann	w2082
nicht	w2083
der	w2084
contraire	w2085
Wind	w2086
unsere	w2087
Galeeren	w2088
zwey	w2089
Täge	w2090
verhin=deret	w2091
<g/>
=
hätte	w2093
<g/>
,
das	w2095
Wollinische	w2096
Land	w2097
zu	w2098
er=reichen	w2099
<g/>
=
<g/>
.
Da	w2102
also	w2103
die	w2104
Landung	w2105
nicht	w2106
ehe	w2107
<g/>
,
als	w2109
den	w2110
12	w2111
<g/>
.
Statt	w2113
fand	w2114
<g/>
,
so	w2116
hatten	w2117
die	w2118
Feinde	w2119
Zeit	w2120
sich	w2121
aus	w2122
iher	w2123
Schanz	w2124
zu	w2125
ziehen	w2126
<g/>
,
nach=deme	w2128
<g/>
=
sie	w2130
die	w2131
Canonen	w2132
vernaglet	w2133
<g/>
,
und	w2135
die	w2136
Ammunition	w2137
vergraben	w2138
hatten	w2139
<g/>
,
und	w2141
sich	w2142
bis	w2143
nach	w2144
der	w2145
Stadt	w2146
Wollin	w2147
zu	w2148
repliiren	w2149
<g/>
.
Der	w2151
General	w2152
Fersen	w2153
<g/>
,
der	w2155
zu	w2156
gleicher	w2157
Zeit	w2158
auf	w2159
denen	w2160
dazu	w2161
bereiteten	w2162
Prahmen	w2163
mit	w2164
Ca=vallerie	w2165
<g/>
=
and	w2167
Jnfanterie	w2168
übergangen	w2169
<g/>
,
folget	w2171
dem	w2172
Feind	w2173
<g/>
,
und	w2175
stehet	w2176
heute	w2177
mit	w2178
dem	w2179
gan=zen	w2180
<g/>
=
Corps	w2182
bey	w2183
Groß	w2184
<g/>
=
mankarts	w2186
<g/>
,
eine	w2188
vier=tel	w2189
<g/>
=
Meile	w2191
von	w2192
der	w2193
Stadt	w2194
Wollin	w2195
<g/>
.
Die	w2197
</p>
<p id="p20">
Zeit	w2199
wird	w2200
es	w2201
lehren	w2202
<g/>
,
ob	w2204
die	w2205
Feinde	w2206
daselbst	w2207
einen	w2208
Angrif	w2209
erwarten	w2210
werden	w2211
<g/>
.
</p>
<head id="hl8">
Dünkirchen	w2213
12	w2214
<g/>
.
Sept	w2216
<g/>
.
</head>
<p id="p21">
Das	w2218
ausnehmend	w2219
schöne	w2220
Regiment	w2221
von	w2222
Bourbon	w2223
marschirt	w2224
mit	w2225
allem	w2226
möglichen	w2227
Fleiß	w2228
nach	w2229
dem	w2230
Nieder	w2231
<g/>
=
rhein	w2233
<g/>
,
wohin	w2235
auch	w2236
eine	w2237
unglaubige	w2238
Menge	w2239
Lebens	w2240
<g/>
=
mittel	w2242
für	w2243
Menschen	w2244
und	w2245
Vieh	w2246
<g/>
,
nebst	w2248
allen	w2249
Arten	w2250
von	w2251
Kriegs	w2252
<g/>
=
bedürfnüssen	w2254
abgeführet	w2255
wer=den	w2256
<g/>
=
<g/>
.
Die	w2259
Engländer	w2260
<g/>
,
welche	w2262
wegen	w2263
Aus=lauffens	w2264
<g/>
=
unserer	w2266
Seegel	w2267
<g/>
=
fertigen	w2269
und	w2270
wol=bewafneten	w2271
<g/>
=
Schiffe	w2273
sehr	w2274
besorgt	w2275
sind	w2276
<g/>
,
seynd	w2278
wieder	w2279
mit	w2280
15	w2281
<g/>
.
Fregatten	w2283
vor	w2284
unserer	w2285
Rhe=de	w2286
<g/>
=
zum	w2288
Vorschein	w2289
gekommen	w2290
<g/>
.
Der	w2292
Abzug	w2293
des	w2294
Admirals	w2295
Rodney	w2296
von	w2297
Havre	w2298
de	w2299
Grace	w2300
ist	w2301
durch	w2302
das	w2303
Feuer	w2304
unserer	w2305
mit	w2306
Canonen	w2307
bepflanzten	w2308
platten	w2309
Fahr	w2310
<g/>
=
zeugen	w2312
nicht	w2313
wenig	w2314
beschleuniget	w2315
worden	w2316
<g/>
;
und	w2318
wir	w2319
haben	w2320
durch	w2321
das	w2322
Lösen	w2323
deren	w2324
Canonen	w2325
von	w2326
unseren	w2327
Wäl=len	w2328
<g/>
=
ihren	w2330
Lands	w2331
<g/>
=
leuten	w2333
<g/>
,
die	w2335
vor	w2336
unserem	w2337
Hafen	w2338
herum	w2339
schweben	w2340
<g/>
,
die	w2342
erste	w2343
Nachricht	w2344
von	w2345
dieser	w2346
mißlungenen	w2347
Unternehmung	w2348
ge=geben	w2349
<g/>
=
<g/>
.
</p>
<head id="hl9">
Neapel	w2352
17	w2353
<g/>
.
September	w2355
<g/>
.
</head>
<p id="p22">
Es	w2357
kommen	w2358
täglich	w2359
Kriegs	w2360
<g/>
=
und	w2362
andere	w2363
Schiffe	w2364
aus	w2365
Spanien	w2366
hier	w2367
an	w2368
<g/>
,
welche	w2370
Seine	w2371
Königliche	w2372
Majestät	w2373
<g/>
,
von	w2375
hier	w2376
nacher	w2377
Spanien	w2378
begleiten	w2379
werden	w2380
<g/>
;
so	w2382
seynd	w2383
auch	w2384
alle	w2385
unsere	w2386
hiesige	w2387
Kriegs	w2388
<g/>
=
schiffe	w2390
<g/>
,
Xebe=quen	w2392
<g/>
=
<g/>
,
und	w2395
Galeeren	w2396
vollkommen	w2397
fertig	w2398
<g/>
,
so	w2400
daß	w2401
der	w2402
König	w2403
alle	w2404
Augenblicke	w2405
abgehen	w2406
könnte	w2407
<g/>
;
es	w2409
haben	w2410
Se	w2411
<g/>
.
Majestät	w2413
aber	w2414
dero	w2415
Abreise	w2416
erst	w2417
auf	w2418
den	w2419
10	w2420
<g/>
.
October	w2422
fest	w2423
ge=stellet	w2424
<g/>
=
<g/>
.
Die	w2427
gesamte	w2428
hiesige	w2429
Porcelan	w2430
<g/>
=
fa=bricanten	w2432
<g/>
=
machen	w2434
sich	w2435
gleichfalls	w2436
fertig	w2437
<g/>
,
na=cher	w2439
<g/>
=
Spanien	w2441
abzugehen	w2442
<g/>
.
Von	w2444
Rom	w2445
<g/>
,
und	w2447
anderen	w2448
Städten	w2449
von	w2450
Jtalien	w2451
kommen	w2452
viele	w2453
vornehme	w2454
Personen	w2455
an	w2456
<g/>
,
um	w2458
bey	w2459
dem	w2460
alhie=sig	w2461
<g/>
=
<g/>
=
Königl	w2464
<g/>
.
Hof	w2466
sowol	w2467
die	w2468
Condolenz	w2469
<g/>
=
als	w2471
Glück	w2472
<g/>
=
wünschungs	w2474
<g/>
=
complimenten	w2476
abzulegen	w2477
<g/>
;
der	w2479
Cardinal	w2480
Portocarero	w2481
aber	w2482
<g/>
,
hat	w2484
unter	w2485
Weegs	w2486
von	w2487
Rom	w2488
anhero	w2489
von	w2490
Sr	w2491
<g/>
.
Majest	w2493
<g/>
.
die	w2495
</p>
<p id="p23">
Ordre	w2496
erhalten	w2497
<g/>
,
seines	w2499
hohen	w2500
Alters	w2501
halber	w2502
zuruck	w2503
zu	w2504
kehren	w2505
<g/>
.
Nachdeme	w2507
von	w2508
der	w2509
hierzu	w2510
ernannten	w2511
Deputation	w2512
die	w2513
Leibs	w2514
<g/>
=
und	w2516
Ge=sundheits	w2517
<g/>
=
<g/>
=
constitution	w2520
des	w2521
erst	w2522
<g/>
=
gebornen	w2524
Königl	w2525
<g/>
.
Prinzens	w2527
auf	w2528
das	w2529
genaueste	w2530
unter=suchet	w2531
<g/>
=
worden	w2533
<g/>
,
so	w2535
ist	w2536
von	w2537
solcher	w2538
der	w2539
Schluß	w2540
dahin	w2541
ausgefallen	w2542
<g/>
,
und	w2544
von	w2545
dem	w2546
berühm=ten	w2547
<g/>
=
Medico	w2549
Serrao	w2550
der	w2551
diesfällig	w2552
ausführ=liche	w2553
<g/>
=
Aufsatz	w2555
Sr	w2556
<g/>
.
Majestät	w2558
dem	w2559
König	w2560
über=reichet	w2561
<g/>
=
worden	w2563
<g/>
,
womit	w2565
gedacht	w2566
Se	w2567
<g/>
.
Königl	w2569
<g/>
.
Hoheit	w2571
auf	w2572
allstäts	w2573
zur	w2574
Regierung	w2575
für	w2576
un=fähig	w2577
<g/>
=
zu	w2579
halten	w2580
seyen	w2581
<g/>
,
es	w2583
werden	w2584
demnach	w2585
zur	w2586
Erhebung	w2587
des	w2588
dritt	w2589
<g/>
=
gebornen	w2591
Königl	w2592
<g/>
.
Prinzens	w2594
auf	w2595
den	w2596
alhiesigen	w2597
Thron	w2598
alschon	w2599
die	w2600
Anstalten	w2601
gemacht	w2602
<g/>
.
Anstatt	w2604
der	w2605
Mar=quise	w2606
<g/>
=
von	w2608
St	w2609
<g/>
.
Marco	w2611
wird	w2612
die	w2613
Herzogin	w2614
von	w2615
Castro	w2616
<g/>
=
pignano	w2618
mit	w2619
ihrer	w2620
ganzen	w2621
Famille	w2622
<g/>
,
wie	w2624
auch	w2625
die	w2626
Herzogin	w2627
von	w2628
Miranda	w2629
Ca=racciolo	w2630
<g/>
=
<g/>
,
Gubernantin	w2633
deren	w2634
Königl	w2635
<g/>
.
Prin=zeßinnen	w2637
<g/>
=
<g/>
,
dann	w2640
die	w2641
Marquise	w2642
von	w2643
Squilace	w2644
<g/>
,
und	w2646
der	w2647
Herzog	w2648
sammt	w2649
der	w2650
Herzogin	w2651
von	w2652
Losada	w2653
dem	w2654
Hof	w2655
nacher	w2656
Spanien	w2657
folgen	w2658
<g/>
.
</p>
<head id="hl10">
Kurz	w2660
<g/>
=
gefaßte	w2662
Nachrichten	w2663
von	w2664
verschiedenen	w2665
Orten	w2666
<g/>
.
</head>
<head id="hl11">
Man	w2668
vernihmt	w2669
</head>
<p id="p24">
Von	w2670
Cagliari	w2671
aus	w2672
Sardinien	w2673
<g/>
:
daß	w2675
ein	w2676
See	w2677
<g/>
=
beuter	w2679
mit	w2680
Preußischen	w2681
Flaggen	w2682
ein	w2683
Toscanisches	w2684
Schif	w2685
in	w2686
dasigem	w2687
Gewässer	w2688
weggenommen	w2689
<g/>
,
und	w2691
alldahin	w2692
aufgebracht	w2693
habe	w2694
<g/>
.
</p>
<p id="p25">
Von	w2696
Fulda	w2697
<g/>
:
daß	w2699
der	w2700
Reich	w2701
<g/>
=
fürsts	w2703
und	w2704
Abbt	w2705
von	w2706
Fulda	w2707
aus	w2708
dem	w2709
Freyherrlichen	w2710
Ge=schlecht	w2711
<g/>
=
von	w2713
Walderdorf	w2714
den	w2715
21	w2716
<g/>
.
Septem=ber	w2718
<g/>
=
zu	w2720
St	w2721
<g/>
.
Johannsberg	w2723
dieses	w2724
Zeitliche	w2725
geseegnet	w2726
habe	w2727
<g/>
.
</p>
<p id="p26">
Aus	w2729
Portugal	w2730
<g/>
:
daß	w2732
der	w2733
Französische	w2734
Chef	w2735
d'Escadre	w2736
la	w2737
Clue	w2738
<g/>
,
nachdeme	w2740
ihme	w2741
in	w2742
dem	w2743
letzt	w2744
<g/>
=
bemeldeten	w2746
See	w2747
<g/>
=
gefecht	w2749
bey	w2750
Lagos	w2751
durch	w2752
eine	w2753
Stuck	w2754
<g/>
=
kugel	w2756
der	w2757
eine	w2758
Fuß	w2759
hin=weggenommen	w2760
<g/>
=
<g/>
,
der	w2763
andere	w2764
aber	w2765
heftig	w2766
ververletzet	w2767
<g/>
=
</p>
<p id="p27">
letzet	w2770
worden	w2771
<g/>
,
an	w2773
solch	w2774
seiner	w2775
Verwundung	w2776
unweit	w2777
Capo	w2778
St	w2779
<g/>
.
Vincenzo	w2781
gestorben	w2782
seye	w2783
<g/>
.
</p>
<p id="p28">
Von	w2785
Neuhaus	w2786
aus	w2787
Böheim	w2788
<g/>
:
daß	w2790
un=weit	w2791
<g/>
=
von	w2793
dannen	w2794
auf	w2795
der	w2796
Freyherrlich	w2797
<g/>
=
gu=denusischen	w2799
<g/>
=
Herrschaft	w2801
Rotten	w2802
<g/>
=
lhotta	w2804
in	w2805
dem	w2806
Dorf	w2807
Brzezina	w2808
ein	w2809
Bauer	w2810
Namens	w2811
Schlechta	w2812
gestorben	w2813
seye	w2814
<g/>
,
welcher	w2816
112	w2817
<g/>
.
Jahr	w2819
alt	w2820
worden	w2821
<g/>
,
und	w2823
zeit	w2824
seines	w2825
Lebens	w2826
niemalen	w2827
krank	w2828
auch	w2829
niemalen	w2830
betrunken	w2831
gewesen	w2832
<g/>
.
Fünf	w2834
Täge	w2835
vor	w2836
seinem	w2837
Hinscheiden	w2838
habe	w2839
er	w2840
sich	w2841
zu	w2842
Beht	w2843
gelegt	w2844
<g/>
,
bis	w2846
dahin	w2847
aber	w2848
wäre	w2849
er	w2850
seiner	w2851
harten	w2852
Arbeit	w2853
beständig	w2854
nachgegangen	w2855
<g/>
.
</p>
<p id="p29">
Von	w2857
Venedig	w2858
<g/>
:
daß	w2860
der	w2861
Herr	w2862
Hieron	w2863
<g/>
.
Venier	w2865
den	w2866
10	w2867
<g/>
.
September	w2869
von	w2870
seiner	w2871
neu	w2872
überkommenen	w2873
Procurators	w2874
<g/>
=
würde	w2876
mit	w2877
dem	w2878
gewöhnlichen	w2879
Gepränge	w2880
Besitz	w2881
genommen	w2882
<g/>
,
und	w2884
nach	w2885
gehaltenen	w2886
offentlichen	w2887
Einzug	w2888
von	w2889
dem	w2890
Doge	w2891
die	w2892
Procurators	w2893
<g/>
=
stole	w2895
in	w2896
dem	w2897
grossen	w2898
Senat	w2899
empfangen	w2900
habe	w2901
<g/>
.
</p>
<p id="p30">
Von	w2903
Rom	w2904
<g/>
:
daß	w2906
Se	w2907
<g/>
.
Eminenz	w2909
der	w2910
Car=dinal	w2911
<g/>
=
Portocarero	w2913
in	w2914
einer	w2915
offentlichen	w2916
Au=dienz	w2917
<g/>
=
als	w2919
Königl	w2920
<g/>
.
Spanischer	w2922
gevollmäch=tigter	w2923
<g/>
=
die	w2925
gewöhnliche	w2926
Credenz	w2927
<g/>
=
briefe	w2929
in	w2930
einer	w2931
offentlichen	w2932
Audienz	w2933
Sr	w2934
<g/>
.
Päpstlichen	w2936
Heiligkeit	w2937
überreicht	w2938
habe	w2939
<g/>
.
</p>
<head id="hl12">
Wien	w2941
den	w2942
3	w2943
<g/>
.
Octobris	w2945
1759	w2946
<g/>
.
</head>
<p id="p31">
Vorgestrigen	w2948
Montags	w2949
als	w2950
den	w2951
1	w2952
<g/>
.
Octo=bris	w2954
<g/>
=
<g/>
,
ist	w2957
von	w2958
Rom	w2959
die	w2960
Nachricht	w2961
al=hier	w2962
<g/>
=
angelangt	w2964
<g/>
,
daß	w2966
in	w2967
dem	w2968
von	w2969
Sr	w2970
<g/>
.
Päpstl	w2972
<g/>
.
Heiligkeit	w2974
den	w2975
24	w2976
<g/>
.
Sept	w2978
<g/>
.
gehaltenen	w2980
Con=sistorio	w2981
<g/>
=
folgende	w2983
Cardinälen	w2984
creirt	w2985
worden	w2986
seyen	w2987
<g/>
:
</p>
<list id="li3">
Monsig	w2989
<g/>
.
de	w2991
Roßi	w2992
<g/>
,
Vice	w2994
<g/>
=
gerente	w2996
zu	w2997
Rom	w2998
<g/>
.
Crivelli	w3000
<g/>
,
Nuntius	w3002
zu	w3003
Wien	w3004
<g/>
.
Merlini	w3006
<g/>
,
Präsident	w3008
zu	w3009
Urbino	w3010
<g/>
.
Accajoli	w3012
<g/>
,
Nuntius	w3014
in	w3015
Portugal	w3016
<g/>
.
Gualtieri	w3018
<g/>
,
Nuntius	w3020
in	w3021
Frankreich	w3022
<g/>
.
Spinola	w3024
<g/>
,
Nuntius	w3026
in	w3027
Spanien	w3028
<g/>
.
Erba	w3030
<g/>
,
Päpstl	w3032
<g/>
.
Cammer	w3034
<g/>
=
meister	w3036
<g/>
.
Veronesi	w3038
<g/>
,
Bischof	w3040
zu	w3041
Padua	w3042
<g/>
.
Valenti	w3044
<g/>
,
Assessor	w3046
des	w3047
Heil	w3048
<g/>
.
Officii	w3050
<g/>
.
</list>
<list id="li4">
Caracciolo	w3052
<g/>
,
Päpstl	w3054
<g/>
.
General	w3056
<g/>
=
auditor	w3058
<g/>
.
Perelli	w3060
<g/>
,
Päpstl	w3062
<g/>
.
General	w3064
<g/>
=
schatz	w3066
<g/>
=
meister	w3068
<g/>
.
Colonna	w3070
<g/>
,
Päpstl	w3072
<g/>
.
Obrist	w3074
<g/>
=
hof	w3076
<g/>
=
meister	w3078
<g/>
.
Corsini	w3080
<g/>
.
Castelli	w3082
<g/>
,
Comendator	w3084
von	w3085
St	w3086
<g/>
.
Spirito	w3088
<g/>
.
Bußi	w3090
<g/>
,
Decan	w3092
der	w3093
Heil	w3094
<g/>
.
Rota	w3096
<g/>
.
Fantuzzi	w3098
<g/>
,
Auditor	w3100
der	w3101
Heil	w3102
<g/>
.
Rota	w3104
<g/>
.
P	w3106
<g/>
.
Orfi	w3108
<g/>
,
Päpstl	w3110
<g/>
.
Pallast	w3112
<g/>
=
meister	w3114
<g/>
,
Pre=diger	w3116
<g/>
=
<g/>
=
ordens	w3119
<g/>
.
Furietti	w3121
<g/>
,
Secretarius	w3123
der	w3124
Congregation	w3125
des	w3126
Concilii	w3127
<g/>
.
Guglielmi	w3129
<g/>
,
Secretarius	w3131
deren	w3132
Regu=lirten	w3133
<g/>
=
Bischöffen	w3135
<g/>
.
Conti	w3137
<g/>
,
Secretarius	w3139
der	w3140
Congregation	w3141
der	w3142
Statthalterey	w3143
<g/>
.
Antonelli	w3145
<g/>
,
Secretarius	w3147
der	w3148
Congrega=tion	w3149
<g/>
=
von	w3151
Erweiterung	w3152
des	w3153
Glaubens	w3154
<g/>
.
P	w3156
<g/>
.
Gangarelli	w3158
<g/>
,
Consultor	w3160
des	w3161
Heil	w3162
<g/>
.
Of=ficii	w3164
<g/>
=
<g/>
,
Minoriten	w3167
<g/>
=
ordens	w3169
<g/>
.
</list>
<head id="hl13">
Lista	w3171
deren	w3172
Verstorbenen	w3173
zu	w3174
Wien	w3175
in	w3176
<g/>
=
und	w3178
vor	w3179
der	w3180
Stadt	w3181
<g/>
.
</head>
<head id="hl14">
Den	w3183
28	w3184
<g/>
.
Sept	w3186
<g/>
.
</head>
<head id="hl15">
Jn	w3188
der	w3189
Stadt	w3190
<g/>
.
</head>
<list id="li5">
Der	w3192
Wol	w3193
<g/>
=
edel	w3195
<g/>
-
geb	w3197
<g/>
.
Hr	w3199
<g/>
.
Cajet	w3201
<g/>
.
Fanti	w3203
<g/>
,
Architect	w3205
<g/>
.
der	w3207
K	w3208
<g/>
.
Toscanis	w3210
<g/>
.
und	w3212
K	w3213
<g/>
.
K	w3215
<g/>
.
alhiesig	w3217
<g/>
.
Acad	w3219
<g/>
.
würkl	w3221
<g/>
.
Academicus	w3223
<g/>
,
dann	w3225
der	w3226
Bolognesis	w3227
<g/>
.
Clementi-nis	w3229
<g/>
-
<g/>
.
Acad	w3232
<g/>
.
Profeß	w3234
<g/>
,
und	w3236
Fürst	w3237
<g/>
=
Liechtensteinis	w3239
<g/>
.
Gale=rie	w3241
<g/>
=
<g/>
=
inspector	w3244
<g/>
,
im	w3246
Fürstl	w3247
<g/>
.
H	w3249
<g/>
.
unterm	w3251
Land	w3252
<g/>
-
H	w3254
<g/>
.
<g/>
,
alt	w3257
72	w3258
<g/>
.
J	w3260
<g/>
.
Jos	w3262
<g/>
.
Weingast	w3264
<g/>
,
K	w3266
<g/>
.
Meister	w3268
<g/>
=
koch	w3270
<g/>
,
im	w3272
Schwertsegeris	w3273
<g/>
.
H	w3275
<g/>
.
am	w3277
Pet	w3278
<g/>
.
<g/>
,
alt	w3281
63	w3282
<g/>
.
J	w3284
<g/>
.
</list>
<head id="hl16">
Vor	w3286
der	w3287
Stadt	w3288
<g/>
.
</head>
<list id="li6">
Hr	w3290
<g/>
.
Gottfr	w3292
<g/>
.
Ulbrich	w3294
<g/>
,
K	w3296
<g/>
.
Hartsch	w3298
<g/>
.
<g/>
,
bey	w3301
denen	w3302
3	w3303
<g/>
.
Brüd	w3305
<g/>
.
bey	w3307
St	w3308
<g/>
.
Ulrich	w3310
<g/>
,
alt	w3312
58	w3313
<g/>
.
J	w3315
<g/>
.
Cathar	w3317
<g/>
.
Sebaldin	w3319
<g/>
,
Wittwe	w3321
<g/>
,
im	w3323
Langweberis	w3324
<g/>
.
H	w3326
<g/>
.
in	w3328
der	w3329
Leopoldst	w3330
<g/>
.
<g/>
,
alt	w3333
57	w3334
<g/>
.
J	w3336
<g/>
.
Franz	w3338
Poller	w3339
<g/>
,
gew	w3341
<g/>
.
Fragner	w3343
<g/>
,
beym	w3345
bl	w3346
<g/>
.
Stern	w3348
im	w3349
Liechtenth	w3350
<g/>
.
<g/>
,
alt	w3353
63	w3354
<g/>
.
J	w3356
<g/>
.
Dem	w3358
Math	w3359
<g/>
.
Heißler	w3361
<g/>
,
Rott	w3363
<g/>
=
gärb	w3365
<g/>
.
<g/>
=
ges	w3368
<g/>
.
<g/>
,
s	w3371
<g/>
.
W	w3373
<g/>
.
Su=san	w3375
<g/>
=
<g/>
.
<g/>
,
beym	w3379
See	w3380
bey	w3381
Maria	w3382
<g/>
-
hülf	w3384
<g/>
,
alt	w3386
21	w3387
<g/>
.
J	w3389
<g/>
.
Jos	w3391
<g/>
.
Parb	w3393
<g/>
,
Wais	w3395
<g/>
,
beym	w3397
bl	w3398
<g/>
.
Stern	w3400
zu	w3401
Margar	w3402
<g/>
.
<g/>
,
alt	w3405
5	w3406
<g/>
.
J	w3408
<g/>
.
Georg	w3410
Abold	w3411
<g/>
,
Tag	w3413
<g/>
=
löhn	w3415
<g/>
.
<g/>
,
beym	w3418
weis	w3419
<g/>
.
Pelican	w3421
im	w3422
Liechtenth	w3423
<g/>
.
<g/>
,
alt	w3426
58	w3427
<g/>
.
J	w3429
<g/>
.
Dem	w3431
Carl	w3432
<g/>
.
Kesseldorfer	w3434
<g/>
,
Tag	w3436
<g/>
=
löhn	w3438
<g/>
.
<g/>
,
s	w3441
<g/>
.
K	w3443
<g/>
.
Theres	w3445
<g/>
.
<g/>
,
bey	w3448
St	w3449
<g/>
.
Ant	w3451
<g/>
.
am	w3453
Neubau	w3454
<g/>
,
alt	w3456
3	w3457
<g/>
.
J	w3459
<g/>
.
</list>
<p id="p32">
Summa	w3461
9	w3462
<g/>
.
Person	w3464
<g/>
.
darunter	w3466
2	w3467
<g/>
.
Kind	w3469
<g/>
.
</p>
<head id="hl18">
Den	w3472
29	w3473
<g/>
.
Sept	w3475
<g/>
.
Jn	w3477
der	w3478
Stadt	w3479
<g/>
.
</head>
<list id="li7">
Dem	w3481
Wol	w3482
<g/>
=
edel	w3484
<g/>
-
geb	w3486
<g/>
.
Arn	w3488
<g/>
.
Domin	w3490
<g/>
.
Ant	w3492
<g/>
.
Maul	w3494
<g/>
,
J	w3496
<g/>
.
U	w3498
<g/>
.
D	w3500
<g/>
.
und	w3502
K	w3503
<g/>
.
K	w3505
<g/>
.
N	w3507
<g/>
.
Oe	w3509
<g/>
.
Reg	w3511
<g/>
.
Secret	w3513
<g/>
.
<g/>
,
s	w3516
<g/>
.
S	w3518
<g/>
.
Aloys	w3520
<g/>
.
im	w3522
Albrechtisch	w3523
<g/>
.
H	w3525
<g/>
.
in	w3527
der	w3528
oberen	w3529
Bäckerstr	w3530
<g/>
.
<g/>
,
alt	w3533
1	w3534
<g/>
.
J	w3536
<g/>
.
Carl	w3538
Zeilinger	w3539
<g/>
,
Burger	w3541
<g/>
,
im	w3543
Wagneris	w3544
<g/>
.
H	w3546
<g/>
.
im	w3548
Co=mödi	w3549
<g/>
=
<g/>
-
gäs	w3552
<g/>
.
<g/>
,
alt	w3555
55	w3556
<g/>
.
J	w3558
<g/>
.
</list>
<head id="hl19">
Vor	w3560
der	w3561
Stadt	w3562
<g/>
.
</head>
<list id="li8">
Wenzel	w3564
Schneeweis	w3565
<g/>
,
gew	w3567
<g/>
.
Secret	w3569
<g/>
.
<g/>
,
beyn	w3572
6	w3573
<g/>
.
Schim	w3575
<g/>
.
bey	w3577
St	w3578
<g/>
.
Ulrich	w3580
<g/>
,
alt	w3582
45	w3583
<g/>
.
J	w3585
<g/>
.
Dem	w3587
Franz	w3588
Witman	w3589
<g/>
,
Music	w3591
<g/>
,
s	w3593
<g/>
.
K	w3595
<g/>
.
Franz	w3597
<g/>
,
beyn	w3599
2	w3600
<g/>
.
weiß	w3602
<g/>
.
Kreutz	w3604
<g/>
.
bey	w3606
Maria	w3607
<g/>
=
hülf	w3609
<g/>
,
alt	w3611
7	w3612
<g/>
.
J	w3614
<g/>
.
Dem	w3616
Ant	w3617
<g/>
.
Abraham	w3619
<g/>
,
Lust	w3621
<g/>
=
gart	w3623
<g/>
.
<g/>
.
s	w3626
<g/>
.
K	w3628
<g/>
.
Jos	w3630
<g/>
.
<g/>
,
von	w3633
ei-ner	w3634
<g/>
-
Leiter	w3636
erschlagen	w3637
<g/>
,
im	w3639
Humelaueris	w3640
<g/>
.
Gart	w3642
<g/>
.
vorm	w3644
Stuben	w3645
<g/>
=
thor	w3647
vom	w3648
K	w3649
<g/>
.
K	w3651
<g/>
.
Stadt	w3653
<g/>
=
gericht	w3655
be=schauet	w3656
<g/>
=
<g/>
,
alt	w3659
3	w3660
<g/>
.
J	w3662
<g/>
.
Dem	w3664
Jos	w3665
<g/>
.
