<doc id="wr_1761-09-26" attrs="word" year="1761" month="09" day="26" corpus="2">
<head id="h2_d590e2570">
St.	w1_d590e2574
dieses	w9_d590e6210
dem	w11_d590e6213
Volk	w13_d590e6217
mittelst	w1_d590e6222
Abfeurung	w3_d590e6225
der	w5_d590e6228
Canonen	w7_d590e6231
von	w9_d590e6234
dem	w11_d590e6237
Parc,	w1_d590e6242
und	w3_d590e6245
dem	w5_d590e6248
Thurm	w7_d590e6251
kund	w9_d590e6254
gemacht.	w11_d590e6257
Der	w13_d590e6261
König	w1_d590e6266
und	w3_d590e6269
die	w5_d590e6272
Königin	w7_d590e6275
empfiengen	w9_d590e6278
indessen,	w11_d590e6281
als	w1_d590e6287
das	w3_d590e6290
Abendmahl	w5_d590e6293
aufgetragen	w7_d590e6296
wurde,	w9_d590e6299
die	w11_d590e6302
Glückwünschungs=complimente	w1_d590e6307
von	w3_d590e6310
dem	w5_d590e6313
bey	w7_d590e6316
diesem	w1_d590e6321
Hochzeits=feste	w3_d590e6324
eischienenen	w5_d590e6327
Adel.	w7_d590e6330
Die	w1_d590e6335
öffentliche	w3_d590e6338
Freudens=bezeugungen	w5_d590e6341
und	w7_d590e6344
Beleuchtung	w1_d590e6350
dieser	w3_d590e6353
Stadt	w5_d590e6356
seynd	w7_d590e6359
ungemein	w9_d590e6362
häuffig	w1_d590e6367
und	w3_d590e6370
ausnehmend.	w5_d590e6373
</p>
<p id="p10_d590e6376">
Den	w1_d590e6380
darauf	w3_d590e6383
folgenden	w5_d590e6386
Tag	w7_d590e6389
fande	w9_d590e6392
sich	w11_d590e6395
der	w13_d590e6399
gesammte	w1_d590e6404
Adel,	w3_d590e6407
alle	w5_d590e6410
auswärtige	w7_d590e6413
Ministere	w9_d590e6416
und	w1_d590e6421
eine	w3_d590e6424
Menge	w5_d590e6427
Personen	w7_d590e6430
von	w9_d590e6433
Distinction,	w11_d590e6436
ihre	w1_d590e6442
Glückwünschungs=complimente	w3_d590e6445
bey	w5_d590e6448
denen	w1_d590e6453
neu=vermählten	w3_d590e6456
Majestäten	w5_d590e6459
abzule	w7_d590e6462
gen,	w1_d590e6467
in	w3_d590e6470
prächtigster	w5_d590e6473
Gala	w7_d590e6476
zu	w9_d590e6479
St.	w11_d590e6482
James	w13_d590e6486
ein.	w15_d590e6489
Des	w1_d590e6494
Abends	w3_d590e6497
wurde	w5_d590e6500
in	w7_d590e6503
Beyseyn	w9_d590e6506
des	w11_d590e6509
Königs	w13_d590e6513
und	w1_d590e6519
der	w3_d590e6522
Königin	w5_d590e6525
ein	w7_d590e6528
herrlicher	w9_d590e6531
Ball	w11_d590e6534
gehal	w13_d590e6538
ten,	w1_d590e6543
der	w3_d590e6546
Herzog	w5_d590e6549
von	w7_d590e6552
York	w9_d590e6555
eröfnete	w11_d590e6558
den	w13_d590e6562
selben	w1_d590e6567
mit	w3_d590e6570
der	w5_d590e6573
Prinzeßin	w7_d590e6576
Augusta;	w9_d590e6579
Jhre	w11_d590e6582
Majestäten	w1_d590e6587
reterirten	w3_d590e6590
sich	w5_d590e6593
gegen	w7_d590e6596
Mitternacht,	w9_d590e6599
der	w1_d590e6605
Ball	w3_d590e6608
aber	w5_d590e6611
wurde	w7_d590e6614
noch	w9_d590e6617
eine	w11_d590e6620
Zeit	w13_d590e6624
lang	w15_d590e6627
fortgesetzet.	w1_d590e6632
</p>
<p id="p12_d590e6636">
Der	w1_d590e6640
König	w3_d590e6643
liesse	w5_d590e6646
allen	w7_d590e6649
auswärtigen	w9_d590e6652
an	w11_d590e6655
seinem	w1_d590e6660
Hofe	w3_d590e6663
sich	w5_d590e6666
befindenden	w7_d590e6669
Ministeren	w9_d590e6672
ei	w11_d590e6675
genhändig	w1_d590e6680
unterzeichnete	w3_d590e6683
Notifications	w5_d590e6686
schreiben	w1_d590e6692
austheilen,	w3_d590e6695
um	w5_d590e6698
andurch	w7_d590e6701
ihren	w9_d590e6704
Souverainen	w1_d590e6709
diese	w3_d590e6712
beschehene	w5_d590e6715
Vermählung	w7_d590e6718
des	w1_d590e6723
Königs	w3_d590e6726
mit	w5_d590e6729
der	w7_d590e6732
Prinzeßin	w9_d590e6735
Charlotte	w11_d590e6738
von	w13_d590e6742
Mecklenburg=strelitz	w1_d590e6747
zu	w3_d590e6750
benachrichtigen.	w5_d590e6753
</p>
<p id="p14_d590e6756">
Der	w1_d590e6760
Königl.	w3_d590e6763
Französische	w5_d590e6766
Minister	w7_d590e6769
Hr.	w9_d590e6772
von	w1_d590e6777
Bussy	w3_d590e6780
hat	w5_d590e6783
mit	w7_d590e6786
denen	w9_d590e6789
anderen	w11_d590e6792
auswär	w13_d590e6796
tigen	w1_d590e6801
Ministeren	w3_d590e6804
diesem	w5_d590e6807
Königl.	w7_d590e6810
Vermäh	w9_d590e6813
lungs=feste	w1_d590e6819
beygewohnet;	w3_d590e6822
dieser	w5_d590e6825
Herr	w7_d590e6828
hat	w9_d590e6831
kürzlich	w1_d590e6836
wiederum	w3_d590e6839
von	w5_d590e6842
seinem	w7_d590e6845
Hofe,	w9_d590e6848
wir	w11_d590e6851
</p>
<p id="p20_d590e6864">
aber	w1_d590e6868
vom	w3_d590e6871
Hrn.	w5_d590e6874
Stanley,	w7_d590e6877
unserem	w9_d590e6880
Mini	w11_d590e6883
ster	w1_d590e6888
zu	w3_d590e6891
Paris,	w5_d590e6894
neue	w7_d590e6897
Depeschen	w9_d590e6900
erhalten.	w11_d590e6903
Die	w1_d590e6908
Königl.	w3_d590e6911
Fregatte	w5_d590e6914
Dange	w7_d590e6917
hat	w9_d590e6920
einen	w11_d590e6923
Ca	w13_d590e6927
per	w1_d590e6933
von	w3_d590e6936
Dünkirchen,	w5_d590e6939
Calibri	w7_d590e6942
genannt,	w9_d590e6945
so	w11_d590e6948
mit	w1_d590e6953
16.	w3_d590e6956
Canonen,	w5_d590e6959
und	w7_d590e6962
110.	w9_d590e6965
Mann	w11_d590e6968
bese	w13_d590e6972
tzet	w1_d590e6977
ware,	w3_d590e6980
nach	w5_d590e6983
unseren	w7_d590e6986
Sand=hügeln	w9_d590e6989
gebracht.	w1_d590e6994
</p>
<head id="h2_d590e7001">
Aus	w1_d590e7005
der	w3_d590e7008
Schwedischen	w5_d590e7011
Armee	w7_d590e7014
zu	w9_d590e7017
Boldekow	w1_d590e7022
vom	w3_d590e7025
1.	w5_d590e7028
und	w7_d590e7031
8.	w9_d590e7034
Sept.	w11_d590e7037
</head>
<p id="p4_d590e7040">
Den	w1_d590e7044
18.	w3_d590e7047
Augusti	w5_d590e7050
gieng	w7_d590e7053
der	w9_d590e7056
General	w11_d590e7059
Stackelberg	w1_d590e7064
von	w3_d590e7067
Neu=brandenburg,	w5_d590e7070
und	w7_d590e7073
setzte	w1_d590e7078
sich	w3_d590e7081
auf	w5_d590e7084
dieser	w7_d590e7087
Seite	w9_d590e7090
von	w11_d590e7093
Treptow,	w13_d590e7097
welches	w1_d590e7103
der	w3_d590e7106
Obrist=leutenaut	w5_d590e7109
Wrangel	w7_d590e7112
mit	w9_d590e7115
dem	w1_d590e7120
Westmannländischen	w3_d590e7123
Regiment	w5_d590e7126
occu	w7_d590e7129
pirt	w1_d590e7134
hielt.	w3_d590e7137
Den	w5_d590e7140
29.	w7_d590e7143
um	w9_d590e7146
die	w11_d590e7149
Mittags=zeit	w13_d590e7153
attaquirte	w1_d590e7158
der	w3_d590e7161
Feind	w5_d590e7164
Treptow	w7_d590e7167
mit	w9_d590e7170
700.	w11_d590e7173
Mann	w1_d590e7179
Jnfanterie	w3_d590e7182
und	w5_d590e7185
einigen	w7_d590e7188
Canonen.	w9_d590e7191
Sein	w1_d590e7196
Angrif	w3_d590e7199
war	w5_d590e7202
mulig.	w7_d590e7205
Der	w9_d590e7208
Comman	w11_d590e7211
dant	w1_d590e7216
hielt	w3_d590e7219
sich	w5_d590e7222
aber	w7_d590e7225
so	w9_d590e7228
tapfer,	w11_d590e7231
daß	w13_d590e7235
er	w15_d590e7238
sich	w17_d590e7241
auf	w1_d590e7246
das	w3_d590e7249
schleunigste	w5_d590e7252
retiriren	w7_d590e7255
muste.	w9_d590e7258
Die	w11_d590e7261
Belegenheit	w1_d590e7267
des	w3_d590e7270
Orts	w5_d590e7273
war	w7_d590e7276
so	w9_d590e7279
beschaffen,	w11_d590e7282
daß	w1_d590e7287
er	w3_d590e7290
den	w5_d590e7293
grösten	w7_d590e7296
Theil	w9_d590e7299
seines	w11_d590e7302
Verlustes,	w13_d590e7306
der	w1_d590e7311
ansehnlich	w3_d590e7314
war,	w5_d590e7317
verbergen	w7_d590e7320
konnte.	w9_d590e7323
Ein	w11_d590e7326
Officier,	w1_d590e7331
und	w3_d590e7334
7.	w5_d590e7337
bis	w7_d590e7340
8.	w9_d590e7343
Mann	w11_d590e7346
von	w13_d590e7350
den	w15_d590e7353
Un	w17_d590e7356
serigen	w1_d590e7362
sind	w3_d590e7365
bleßirt.	w5_d590e7368
Den	w7_d590e7371
31.	w9_d590e7374
stieß	w11_d590e7377
der	w13_d590e7381
General	w1_d590e7386
Stackelberg	w3_d590e7389
mit	w5_d590e7392
seinem	w7_d590e7395
Corps	w9_d590e7398
zu	w11_d590e7401
unseren	w1_d590e7406
Lager.	w3_d590e7409
Am	w5_d590e7412
selbigen	w7_d590e7415
Tag	w9_d590e7418
erhielt	w11_d590e7421
man	w1_d590e7426
Nachricht,	w3_d590e7429
daß	w5_d590e7432
eine	w7_d590e7435
feindliche	w9_d590e7438
Ver	w11_d590e7441
stärkung	w1_d590e7447
von	w3_d590e7450
5.	w5_d590e7453
bis	w7_d590e7456
6.	w9_d590e7459
Bataillons	w11_d590e7462
aus	w13_d590e7466
Sachsen	w1_d590e7471
angekommen	w3_d590e7474
wäre.	w5_d590e7477
Nachmittags	w7_d590e7480
gegen	w1_d590e7485
1.	w3_d590e7488
Uhr	w5_d590e7491
attaquirte	w7_d590e7494
der	w9_d590e7497
Feind	w11_d590e7500
den	w13_d590e7504
Paß	w15_d590e7507
bey	w1_d590e7512
Clempenow	w3_d590e7515
mit	w5_d590e7518
Jnfanterie	w7_d590e7521
und	w9_d590e7524
graben	w11_d590e7527
Canonen.	w1_d590e7533
Der	w3_d590e7536
Fähnrich	w5_d590e7539
Plaumann	w7_d590e7542
hielt	w9_d590e7545
den	w1_d590e7550
Feind	w3_d590e7553
mit	w5_d590e7556
30.	w7_d590e7559
Mann	w9_d590e7562
über	w11_d590e7565
eine	w13_d590e7569
Stund	w15_d590e7572
auf.	w1_d590e7577
Allein,	w3_d590e7580
er	w5_d590e7583
war	w7_d590e7586
doch	w9_d590e7589
endlich	w11_d590e7592
genöh	w13_d590e7596
tiget,	w1_d590e7601
der	w3_d590e7604
Menge	w5_d590e7607
zu	w7_d590e7610
weichen,	w9_d590e7613
bis	w11_d590e7616
der	w13_d590e7620
Obrist=leutenant	w1_d590e7626
Gyldener	w3_d590e7629
mit	w5_d590e7632
dem	w7_d590e7635
Oster	w9_d590e7638
bottnischen	w1_d590e7643
Bataillon	w3_d590e7646
ankam,	w5_d590e7649
welche	w7_d590e7652
den	w9_d590e7655
Feind	w1_d590e7660
mit	w3_d590e7663
aufgesteckten	w5_d590e7666
Bajoneten	w7_d590e7669
in	w9_d590e7672
grö	w11_d590e7675
ster	w1_d590e7680
Eil	w3_d590e7683
über	w5_d590e7686
beyde	w7_d590e7689
Brücken	w9_d590e7692
zurück	w11_d590e7695
trieb,	w13_d590e7699
den	w1_d590e7705
Paß	w3_d590e7708
wieder	w5_d590e7711
in	w7_d590e7714
Posseßion	w9_d590e7717
nahm,	w11_d590e7720
und	w13_d590e7724
einen	w1_d590e7729
Unter=officier,	w3_d590e7732
nebst	w5_d590e7735
20.	w7_d590e7738
Mann	w9_d590e7741
zu	w11_d590e7744
Gefangenen	w1_d590e7749
machte.	w3_d590e7752
Auf	w5_d590e7755
unserer	w7_d590e7758
Seite	w9_d590e7761
</p>
<p id="p6_d590e7764">
blieben	w1_d590e7768
ungefähr	w3_d590e7771
5.	w5_d590e7774
bis	w7_d590e7777
6.	w9_d590e7780
Bleßirte	w11_d590e7783
und	w13_d590e7787
Todte.	w1_d590e7792
Den	w3_d590e7795
1.	w5_d590e7798
Septemb.	w7_d590e7801
grif	w9_d590e7804
der	w11_d590e7807
Feind	w13_d590e7811
Treptow	w1_d590e7816
aufs	w3_d590e7819
neue	w5_d590e7822
an,	w7_d590e7825
wurde	w9_d590e7828
aber	w11_d590e7831
mit	w13_d590e7835
Verlust	w1_d590e7841
an	w3_d590e7844
Todten	w5_d590e7847
und	w7_d590e7850
Bleßirten	w9_d590e7853
zurückge	w11_d590e7856
trieben.	w1_d590e7861
Der	w3_d590e7864
Major	w5_d590e7867
Ribbing	w7_d590e7870
bekam	w9_d590e7873
hier	w11_d590e7876
bey	w1_d590e7881
eine	w3_d590e7884
starke	w5_d590e7887
Contusion	w7_d590e7890
von	w9_d590e7893
einer	w11_d590e7896
Cano	w13_d590e7900
nen=kugel	w1_d590e7905
am	w3_d590e7908
Kopf;	w5_d590e7911
sonst	w7_d590e7914
wurden	w9_d590e7917
nur	w11_d590e7920
ei	w13_d590e7924
nige	w1_d590e7930
Mann	w3_d590e7933
bleßirt.	w5_d590e7936
Jn	w7_d590e7939
der	w9_d590e7942
Nacht	w11_d590e7945
zwi	w13_d590e7949
schen	w1_d590e7954
den	w3_d590e7957
1.	w5_d590e7960
und	w7_d590e7963
2.	w9_d590e7966
dieses	w11_d590e7969
ließ	w13_d590e7973
der	w15_d590e7976
Feind	w17_d590e7979
den	w1_d590e7984
grösten	w3_d590e7987
Theil	w5_d590e7990
seiner	w7_d590e7993
leichten	w9_d590e7996
Trupen,	w11_d590e7999
nebst	w1_d590e8004
etwas	w3_d590e8007
Jnfanterie	w5_d590e8010
bey	w7_d590e8013
Brock	w9_d590e8016
übergehen.	w11_d590e8019
Weil	w1_d590e8025
unsere	w3_d590e8028
Trupen	w5_d590e8031
dafür	w7_d590e8034
hielten,	w9_d590e8037
daß	w11_d590e8040
des	w13_d590e8044
Feindes	w1_d590e8049
ganze	w3_d590e8052
Macht	w5_d590e8055
übergegangen	w7_d590e8058
wäre,	w9_d590e8061
so	w1_d590e8066
zogen	w3_d590e8069
sie	w5_d590e8072
sich,	w7_d590e8075
der	w9_d590e8078
ihnen	w11_d590e8081
gegebenen	w13_d590e8085
Ordre	w15_d590e8088
zufolge	w1_d590e8093
zurück	w3_d590e8096
von	w5_d590e8099
dem	w7_d590e8102
Passe.	w9_d590e8105
Den	w11_d590e8108
2.	w13_d590e8112
observirte	w1_d590e8118
man	w3_d590e8121
den	w5_d590e8124
Feind,	w7_d590e8127
und	w9_d590e8130
wurde	w11_d590e8133
die	w13_d590e8137
ser,	w1_d590e8142
nebst	w3_d590e8145
den	w5_d590e8148
darauf	w7_d590e8151
folgenden	w9_d590e8154
Tag	w11_d590e8157
mit	w13_d590e8161
einigen	w1_d590e8166
Scharmützeln	w3_d590e8169
bey	w5_d590e8172
Kehberg	w7_d590e8175
und	w9_d590e8178
Ja	w11_d590e8181
penzien	w1_d590e8186
beschlossen.	w3_d590e8189
Den	w5_d590e8192
4.	w7_d590e8195
in	w9_d590e8198
der	w11_d590e8201
Mor	w13_d590e8205
gen=demerung	w1_d590e8211
wurde	w3_d590e8214
der	w5_d590e8217
Major	w7_d590e8220
Sprengts	w9_d590e8223
port	w1_d590e8228
mit	w3_d590e8231
seinem	w5_d590e8234
Corps	w7_d590e8237
Freywilliger	w9_d590e8240
nach	w11_d590e8243
der	w1_d590e8248
Seite	w3_d590e8251
von	w5_d590e8254
Ferdinandshof	w7_d590e8257
detaschiret,	w9_d590e8260
um	w1_d590e8265
unsere	w3_d590e8268
linke	w5_d590e8271
Flanke	w7_d590e8274
zu	w9_d590e8277
bedecken;	w11_d590e8280
der	w13_d590e8284
Obrist=leutenant	w1_d590e8290
Meyerfeldt	w3_d590e8293
muste	w5_d590e8296
mit	w7_d590e8299
ei	w9_d590e8302
nem	w1_d590e8307
andern	w3_d590e8310
Corps	w5_d590e8313
durch	w7_d590e8316
Friedland	w9_d590e8319
gehen,	w11_d590e8322
um	w1_d590e8327
Köpenack	w3_d590e8330
zu	w5_d590e8333
masquiren,	w7_d590e8336
und	w9_d590e8339
der	w11_d590e8342
Ge	w13_d590e8346
neral	w1_d590e8351
Cronhielm	w3_d590e8354
hatte	w5_d590e8357
Ordre,	w7_d590e8360
gerade	w9_d590e8363
auf	w11_d590e8366
den	w1_d590e8372
Feind	w3_d590e8375
loszugehen.	w5_d590e8378
Des	w7_d590e8381
Feindes	w9_d590e8384
Vor	w11_d590e8387
posten	w1_d590e8392
wurden	w3_d590e8395
gleich	w5_d590e8398
repoußiret,	w7_d590e8401
und	w9_d590e8404
wurde	w11_d590e8407
aus	w1_d590e8412
dem	w3_d590e8415
einen	w5_d590e8418
Walde	w7_d590e8421
in	w9_d590e8424
den	w11_d590e8427
andern	w13_d590e8431
getrie	w15_d590e8434
ben,	w1_d590e8439
bis	w3_d590e8442
er	w5_d590e8445
sich	w7_d590e8448
endlich	w9_d590e8451
in	w11_d590e8454
gröster	w13_d590e8458
Eile	w15_d590e8461
über	w17_d590e8464
Brest	w1_d590e8470
und	w3_d590e8473
Clempenow	w5_d590e8476
zurück	w7_d590e8479
ziehen	w9_d590e8482
muste.	w11_d590e8485
Hinter	w1_d590e8490
diesem	w3_d590e8493
letztgedachten	w5_d590e8496
Passe	w7_d590e8499
campirte	w9_d590e8502
der	w1_d590e8507
General	w3_d590e8510
Stutterheim	w5_d590e8513
bey	w7_d590e8516
unsrer	w9_d590e8519
Ankunft.	w11_d590e8522
Allein,	w1_d590e8527
er	w3_d590e8530
brach	w5_d590e8533
sogleich	w7_d590e8536
aus,	w9_d590e8539
seinem	w11_d590e8542
Lager	w13_d590e8546
auf,	w1_d590e8552
und	w3_d590e8555
zog	w5_d590e8558
sich	w7_d590e8561
etwas	w9_d590e8564
weiter	w11_d590e8567
zurück.	w13_d590e8571
Hier	w15_d590e8574
wurde	w1_d590e8579
von	w3_d590e8582
beyden	w5_d590e8585
Seiten	w7_d590e8588
eine	w9_d590e8591
lange	w11_d590e8594
Zeit	w13_d590e8598
heftig	w1_d590e8603
canoniret.	w3_d590e8606
Wir	w5_d590e8609
verloren	w7_d590e8612
bey	w9_d590e8615
dieser	w11_d590e8618
Gelegenheit	w1_d590e8623
einen	w3_d590e8626
Officier,	w5_d590e8629
und	w7_d590e8632
einige	w9_d590e8635
Mann	w11_d590e8638
Todte	w1_d590e8644
und	w3_d590e8647
Bleßirte.	w5_d590e8650
Der	w7_d590e8653
Feind	w9_d590e8656
soll,	w11_d590e8659
nach	w13_d590e8663
Aussage	w1_d590e8668
der	w3_d590e8671
Deserteurs,	w5_d590e8674
welche	w7_d590e8677
Hauffen	w9_d590e8680
weise	w1_d590e8685
zu	w3_d590e8688
uns	w5_d590e8691
kommen,	w7_d590e8694
viel	w9_d590e8697
durch	w11_d590e8700
unsere	w13_d590e8704
Ar	w1_d590e8709
</p>
<p id="p10_d590e8714">
Artillerie	w1_d590e8718
verloren	w3_d590e8721
haben.	w5_d590e8724
Der	w7_d590e8727
General	w9_d590e8730
Carpelan	w1_d590e8735
campirt	w3_d590e8738
jetzt	w5_d590e8741
bey	w7_d590e8744
Belo,	w9_d590e8747
um	w11_d590e8750
die	w13_d590e8754
Pässe	w1_d590e8759
zu	w3_d590e8762
bewachen.	w5_d590e8765
Der	w7_d590e8768
Major	w9_d590e8771
Sprengts	w11_d590e8774
port	w1_d590e8780
hat	w3_d590e8783
den	w5_d590e8786
Feind	w7_d590e8789
aus	w9_d590e8792
den	w11_d590e8795
Wäldern	w13_d590e8799
bey	w15_d590e8802
Ferdinandshaf	w1_d590e8807
vertrieben,	w3_d590e8810
viele	w5_d590e8813
dabey	w7_d590e8816
er	w9_d590e8819
schossen,	w1_d590e8824
und	w3_d590e8827
einen	w5_d590e8830
Unter=Officier	w7_d590e8833
und	w9_d590e8836
6.	w1_d590e8841
Mann	w3_d590e8844
zu	w5_d590e8847
Gefangenen	w7_d590e8850
gemacht.	w9_d590e8853
Er	w11_d590e8856
ste	w13_d590e8860
het	w1_d590e8866
jetzt	w3_d590e8869
vor	w5_d590e8872
Friedland.	w7_d590e8875
</p>
<head id="h2_d590e8881">
Dresden	w1_d590e8885
17.	w3_d590e8888
Septemb.	w5_d590e8891
</head>
<p id="p4_d590e8894">
Seit	w1_d590e8898
dem	w3_d590e8901
Aufbruche	w5_d590e8904
der	w7_d590e8907
Rußischen	w9_d590e8910
Ar	w11_d590e8913
mee	w1_d590e8918
in	w3_d590e8921
Schlesien,	w5_d590e8924
seynd	w7_d590e8927
die	w9_d590e8930
Bewegungen	w11_d590e8933
in	w13_d590e8937
hiesiger	w1_d590e8942
Gegend,	w3_d590e8945
und	w5_d590e8948
bey	w7_d590e8951
dem	w9_d590e8954
Feinde	w11_d590e8957
sehr	w13_d590e8961
stark.	w1_d590e8967
Am	w3_d590e8970
14.	w5_d590e8973
dieses	w7_d590e8976
hat	w9_d590e8979
der	w11_d590e8982
Prinz	w13_d590e8986
Hein	w15_d590e8989
rich	w1_d590e8994
seine	w3_d590e8997
Bäckerey	w5_d590e9000
und	w7_d590e9003
schwere	w9_d590e9006
Bagage	w11_d590e9009
ge	w13_d590e9013
gen	w1_d590e9018
Torgau	w3_d590e9021
abgehen	w5_d590e9024
lassen,	w7_d590e9027
bey	w9_d590e9030
dessen	w11_d590e9033
Trupen	w1_d590e9038
sich	w3_d590e9041
alles	w5_d590e9044
in	w7_d590e9047
beständigem	w9_d590e9050
Marsch	w11_d590e9053
fertigen	w1_d590e9059
Stande	w3_d590e9062
befindet.	w5_d590e9065
Den	w7_d590e9068
15.	w9_d590e9071
und	w11_d590e9074
16.	w1_d590e9079
ist	w3_d590e9082
der	w5_d590e9085
Posten	w7_d590e9088
Dippoldiswalda	w9_d590e9091
unter	w11_d590e9094
dem	w1_d590e9099
Commando	w3_d590e9102
des	w5_d590e9105
Hrn.	w7_d590e9108
Generals	w9_d590e9111
von	w11_d590e9114
Haddick	w1_d590e9119
sehr	w3_d590e9122
beträchtlich	w5_d590e9125
verstärket	w7_d590e9128
worden.	w9_d590e9131
Man	w1_d590e9137
urtheilet,	w3_d590e9140
daß	w5_d590e9143
dieses	w7_d590e9146
Corps	w9_d590e9149
bestim	w11_d590e9152
met	w1_d590e9157
seye,	w3_d590e9160
der	w5_d590e9163
Reichs=armee	w7_d590e9166
die	w9_d590e9169
Hand	w11_d590e9172
zu	w13_d590e9176
bieten.	w1_d590e9181
Dem	w3_d590e9184
Vernehmen	w5_d590e9187
nach	w7_d590e9190
ist	w9_d590e9193
in	w11_d590e9196
diesen	w13_d590e9200
Tagen	w1_d590e9205
ein	w3_d590e9208
feindlicher	w5_d590e9211
Cavallerie=posten	w7_d590e9214
von	w9_d590e9217
etlichen	w1_d590e9223
40.	w3_d590e9226
Mann	w5_d590e9229
an	w7_d590e9232
der	w9_d590e9235
Elbe	w11_d590e9238
aufgehoben	w13_d590e9242
worden.	w1_d590e9247
</p>
<p id="p6_d590e9250">
Von	w1_d590e9254
der	w3_d590e9257
Römisch=Kaiserl.	w5_d590e9260
zu	w7_d590e9263
Hungarn	w9_d590e9266
und	w11_d590e9269
Bö	w13_d590e9273
heim	w1_d590e9278
Königl.	w3_d590e9281
Majest.	w5_d590e9284
Erz=herzogin	w7_d590e9287
zu	w9_d590e9290
Oester	w11_d590e9293
reich,	w1_d590e9298
rc.	w3_d590e9301
rc.	w5_d590e9304
unserer	w7_d590e9307
allergnädigsten	w9_d590e9310
Erblandes	w11_d590e9313
für	w13_d590e9317
stin	w1_d590e9323
und	w3_d590e9326
Frauen	w5_d590e9329
wegen,	w7_d590e9332
durch	w9_d590e9335
Dero	w11_d590e9338
N.	w13_d590e9342
Oe.	w15_d590e9345
Re	w17_d590e9348
gierung	w1_d590e9353
jedermänniglich	w3_d590e9356
anzuzeigen:	w5_d590e9359
Es	w7_d590e9362
haben	w9_d590e9365
Jhre	w1_d590e9370
Kaiserl.	w3_d590e9373
Königl.	w5_d590e9376
Majest.	w7_d590e9379
mittelst	w9_d590e9382
eines	w11_d590e9385
un	w13_d590e9389
term	w1_d590e9394
13.	w3_d590e9397
&	w5_d590e9400
præsentaro	w7_d590e9403
16.	w9_d590e9406
innlebenden	w11_d590e9409
Monats	w13_d590e9413
Sept.	w1_d590e9419
anhero	w3_d590e9422
erlassenen	w5_d590e9425
Hof=decrets	w7_d590e9428
allergnädigst	w9_d590e9431
zu	w1_d590e9436
resolviren	w3_d590e9439
geruhet,	w5_d590e9442
daß	w7_d590e9445
zumalen	w9_d590e9448
für	w11_d590e9451
das	w13_d590e9455
künf.	w15_d590e9458
tige,	w1_d590e9463
und	w3_d590e9466
zur	w5_d590e9469
winterlichen	w7_d590e9472
Verpflegung	w9_d590e9475
Jhro	w11_d590e9478
so	w13_d590e9482
zahlreichen	w1_d590e9487
eigenen	w3_d590e9490
und	w5_d590e9493
alliirten	w7_d590e9496
Armeen	w9_d590e9499
von	w11_d590e9502
nun	w13_d590e9506
an	w1_d590e9512
zu	w3_d590e9515
sorgen	w5_d590e9518
erforderlich	w7_d590e9521
seyn	w9_d590e9524
will,	w11_d590e9527
hier	w13_d590e9531
Landes	w15_d590e9534
zu	w1_d590e9539
freywilliger	w3_d590e9542
Uebernehmung	w5_d590e9545
deren	w7_d590e9548
Proviant	w9_d590e9551
natural	w1_d590e9556
lieferungen	w3_d590e9559
eine	w5_d590e9562
Licitation	w7_d590e9565
ausgeschrieben,	w9_d590e9568
und	w1_d590e9573
hierzu	w3_d590e9576
die	w5_d590e9579
hier=ländige	w7_d590e9582
Dominia,	w9_d590e9585
oder	w11_d590e9588
son	w13_d590e9592
sten	w1_d590e9598
sich	w3_d590e9601
hervor	w5_d590e9604
thuende	w7_d590e9607
Lieferanten	w9_d590e9610
invitiret	w11_d590e9613
wer	w13_d590e9617
den	w1_d590e9622
sollen,	w3_d590e9625
Kraft	w5_d590e9628
welcher	w7_d590e9631
innerhalb	w9_d590e9634
3.	w11_d590e9637
Wochen	w13_d590e9641
diejenige,	w1_d590e9646
so	w3_d590e9649
Mehl	w5_d590e9652
und	w7_d590e9655
Haber	w9_d590e9658
zu	w11_d590e9661
liefern	w13_d590e9665
willens	w15_d590e9668
seynd,	w1_d590e9673
ihre	w3_d590e9676
Erklärung	w5_d590e9679
einzureichen	w7_d590e9682
haben,	w9_d590e9685
wie	w11_d590e9688
viel,	w1_d590e9694
dann	w3_d590e9697
in	w5_d590e9700
was	w7_d590e9703
für	w9_d590e9706
einem	w11_d590e9709
Preiß,	w13_d590e9713
und	w15_d590e9716
Zeit	w17_d590e9719
sel	w19_d590e9722
de	w1_d590e9727
samt	w3_d590e9730
Transport	w5_d590e9733
bis	w7_d590e9736
Znaym	w9_d590e9739
und	w11_d590e9742
Brünn	w13_d590e9746
liefern	w15_d590e9749
wollen,	w1_d590e9754
wornach	w3_d590e9757
ihnen	w5_d590e9760
nach	w7_d590e9763
Verlauf	w9_d590e9766
von	w11_d590e9769
14.	w13_d590e9773
Tä	w15_d590e9776
gen	w1_d590e9781
über	w3_d590e9784
ihre	w5_d590e9787
von	w7_d590e9790
sich	w9_d590e9793
gegebene	w11_d590e9796
Erklärung	w13_d590e9800
die	w15_d590e9803
</p>
<p id="p8_d590e9806">
Verbescheidung	w1_d590e9810
ertheilet	w3_d590e9813
werden	w5_d590e9816
würde:	w7_d590e9819
Zu	w9_d590e9822
wel	w11_d590e9825
chem	w1_d590e9830
Ende	w3_d590e9833
dann	w5_d590e9836
Jhre	w7_d590e9839
Kaiserl.	w9_d590e9842
Königl.	w11_d590e9845
Majestät	w13_d590e9849
ihr	w1_d590e9854
