<doc id="wr_1762-01-06" attrs="word" year="1762" month="01" day="06" corpus="2">
<head id="h2_d619e3497">
Lißbon	w1_d619e3501
Jan	w11_d619e7123
mer	w1_d619e7128
und	w3_d619e7131
Grauen:	w5_d619e7134
Steine	w7_d619e7137
von	w9_d619e7140
3.	w11_d619e7143
bis	w13_d619e7147
4.	w15_d619e7150
Centner	w1_d619e7155
sind	w3_d619e7158
über	w5_d619e7161
alle	w7_d619e7164
Festungs=werke	w9_d619e7167
ge	w11_d619e7170
flogen;	w1_d619e7176
die	w3_d619e7179
Wachen,	w5_d619e7182
so	w7_d619e7185
auf	w9_d619e7188
den	w11_d619e7191
Wällen	w13_d619e7195
ge	w15_d619e7198
standen,	w1_d619e7203
haben	w3_d619e7206
in	w5_d619e7209
die	w7_d619e7212
Luft	w9_d619e7215
mit	w11_d619e7218
müssen:	w13_d619e7222
Ganze	w1_d619e7227
Leichname	w3_d619e7230
sind	w5_d619e7233
aus	w7_d619e7236
der	w9_d619e7239
Luft	w11_d619e7242
in	w13_d619e7246
das	w15_d619e7249
Kloster	w1_d619e7254
vom	w3_d619e7257
Calvarien=berge	w5_d619e7260
gefallen.	w7_d619e7263
Es	w9_d619e7266
ist	w1_d619e7272
für	w3_d619e7275
uns	w5_d619e7278
ein	w7_d619e7281
schlechter	w9_d619e7284
Trost,	w11_d619e7287
daß	w13_d619e7291
der	w15_d619e7294
Bößwicht,	w1_d619e7299
welcher	w3_d619e7302
dieses	w5_d619e7305
Uuglück	w7_d619e7308
verursa	w9_d619e7311
chet	w1_d619e7316
hat,	w3_d619e7319
mit	w5_d619e7322
in	w7_d619e7325
die	w9_d619e7328
Luft	w11_d619e7331
geflogen.	w13_d619e7335
Er	w15_d619e7338
war	w17_d619e7341
ein	w1_d619e7346
Feuerwerker,	w3_d619e7349
der	w5_d619e7352
oftmals,	w7_d619e7355
um	w9_d619e7358
das	w11_d619e7361
Pul	w13_d619e7365
fer=magazin	w1_d619e7371
zu	w3_d619e7374
bestehlen,	w5_d619e7377
nächtlicher	w7_d619e7380
Weil	w9_d619e7383
heimlich	w1_d619e7388
hinein	w3_d619e7391
zu	w5_d619e7394
gehen	w7_d619e7397
pflegte,	w9_d619e7400
und	w11_d619e7403
bereits	w13_d619e7407
9.	w1_d619e7412
Tonnen	w3_d619e7415
Pulfer	w5_d619e7418
heraus	w7_d619e7421
genommen,	w9_d619e7424
und	w11_d619e7427
in	w1_d619e7432
sein	w3_d619e7435
Haus	w5_d619e7438
gebracht	w7_d619e7441
hatte.	w9_d619e7444
Seine	w11_d619e7447
eige	w13_d619e7451
ne	w1_d619e7457
Frau	w3_d619e7460
hat	w5_d619e7463
nun	w7_d619e7466
die	w9_d619e7469
Boßheit	w11_d619e7472
ihres	w13_d619e7476
Manns	w15_d619e7479
angegeben,	w1_d619e7484
und	w3_d619e7487
verrahten.	w5_d619e7490
Wir	w7_d619e7493
glaubten,	w9_d619e7496
der	w1_d619e7501
jüngste	w3_d619e7504
Tag	w5_d619e7507
wäre	w7_d619e7510
angebrochen.	w9_d619e7513
Nun	w11_d619e7516
mehr	w1_d619e7521
arbeitet	w3_d619e7524
man,	w5_d619e7527
die	w7_d619e7530
Menschen	w9_d619e7533
und	w11_d619e7536
das	w13_d619e7540
Haus=gerähte	w1_d619e7546
aus	w3_d619e7549
de	w5_d619e7552
Schutt	w7_d619e7555
hervorzugraben.	w9_d619e7558
</p>
<head id="h2_d619e7564">
Londen	w1_d619e7568
15.	w3_d619e7571
Decemb.	w5_d619e7574
</head>
<p id="p4_d619e7577">
Den	w1_d619e7581
11.	w3_d619e7584
dieses	w5_d619e7587
wurde	w7_d619e7590
in	w9_d619e7593
der	w11_d619e7596
Cammer	w13_d619e7600
der	w1_d619e7605
Gemeinen	w3_d619e7608
beschlossen,	w5_d619e7611
den	w7_d619e7614
König	w9_d619e7617
in	w11_d619e7620
einer	w1_d619e7625
unterthänigen	w3_d619e7628
Adreffe	w5_d619e7631
zu	w7_d619e7634
bitten,	w9_d619e7637
der	w11_d619e7640
selbe	w1_d619e7646
wolle	w3_d619e7649
sich	w5_d619e7652
gefallen	w7_d619e7655
lassen,	w9_d619e7658
der	w11_d619e7661
Cam	w13_d619e7665
mer	w1_d619e7670
nachstehende	w3_d619e7673
Papiere	w5_d619e7676
zu	w7_d619e7679
übergeben,	w9_d619e7682
nämlich:	w1_d619e7687
Die	w3_d619e7690
Abschriften	w5_d619e7693
aller	w7_d619e7696
Memoires,	w9_d619e7699
so	w1_d619e7704
der	w3_d619e7707
Graf	w5_d619e7710
von	w7_d619e7713
Fuentes,	w9_d619e7716
Königl.	w11_d619e7719
Spa	w13_d619e7723
nischer	w1_d619e7729
Abgesandter,	w3_d619e7732
denen	w5_d619e7735
Engländischen	w7_d619e7738
Ministern,	w1_d619e7743
in	w3_d619e7746
Betref	w5_d619e7749
der	w7_d619e7752
dieser	w9_d619e7755
Nation	w11_d619e7758
ge	w13_d619e7762
statten	w1_d619e7767
sollenden	w3_d619e7770
Fischerey	w5_d619e7773
auf	w7_d619e7776
dem	w9_d619e7779
Barc	w11_d619e7782
von	w1_d619e7787
Terre=neuve,	w3_d619e7790
überreichet	w5_d619e7793
hatte.	w7_d619e7796
</p>
<p id="p6_d619e7799">
Die	w1_d619e7803
Abschriften	w3_d619e7806
der	w5_d619e7809
von	w7_d619e7812
eben	w9_d619e7815
diesem	w11_d619e7818
Ge	w13_d619e7822
sandten	w1_d619e7827
unseren	w3_d619e7830
Ministeren	w5_d619e7833
mitgetheilten	w7_d619e7836
Memoires,	w1_d619e7841
worinnen	w3_d619e7844
wegen	w5_d619e7847
der	w7_d619e7850
Zernich	w9_d619e7853
tung	w1_d619e7859
oder	w3_d619e7862
Ausleerung	w5_d619e7865
der	w7_d619e7868
von	w9_d619e7871
denen	w11_d619e7874
Unter	w13_d619e7878
thanen	w1_d619e7883
Groß=brittnaiens	w3_d619e7886
in	w5_d619e7889
den	w7_d619e7892
Küsten	w9_d619e7895
von	w11_d619e7898
Honduras	w1_d619e7903
angelegten	w3_d619e7906
Etablissements,	w5_d619e7909
und	w7_d619e7912
</p>
<list id="l12_d619e7926">
dem	w1_d619e7930
Rechte	w3_d619e7933
das	w5_d619e7936
Frb=holz	w7_d619e7939
fällen	w9_d619e7942
zu	w11_d619e7945
können,	w13_d619e7949
Vorsehung	w1_d619e7954
beschiehet.	w3_d619e7957
„	w1_d619e7962
All	w3_d619e7965
Abschriften	w5_d619e7968
der	w7_d619e7971
von	w9_d619e7974
diesem	w11_d619e7977
Abge	w13_d619e7981
sarten	w1_d619e7987
unseren	w3_d619e7990
Ministeren	w5_d619e7993
zugestellten	w7_d619e7996
Me	w9_d619e7999
moires,	w1_d619e8004
worinnnen	w3_d619e8007
derselbe	w5_d619e8010
die	w7_d619e8013
Zurückstel	w9_d619e8016
lung	w1_d619e8021
der	w3_d619e8024
während	w5_d619e8027
dem	w7_d619e8030
gegenwartigen	w9_d619e8033
Krie	w11_d619e8036
ge	w1_d619e8041
denen	w3_d619e8044
Spaniern	w5_d619e8047
abgenommenen	w7_d619e8050
Schif	w9_d619e8053
fen	w1_d619e8059
anbegehret,	w3_d619e8062
und	w5_d619e8065
endlichen	w7_d619e8068
</list>
<p id="p14_d619e8072">
Die	w1_d619e8076
Abschriften	w3_d619e8079
aller	w5_d619e8082
von	w7_d619e8085
Seiten	w9_d619e8088
Eng	w11_d619e8091
lands	w1_d619e8096
auf	w3_d619e8099
diese	w5_d619e8102
Articuls	w7_d619e8105
ertheilter	w9_d619e8108
Antworten.	w11_d619e8111
</p>
<p id="p16_d619e8114">
Die	w1_d619e8118
kriegerische	w3_d619e8121
See	w5_d619e8124
und	w7_d619e8127
Landzuberei	w9_d619e8130
tungen	w1_d619e8135
werden,	w3_d619e8138
um	w5_d619e8141
den	w7_d619e8144
Krieg	w9_d619e8147
mit	w11_d619e8150
aller	w13_d619e8154
Macht	w1_d619e8159
und	w3_d619e8162
Nachdruck	w5_d619e8165
fortsetzen	w7_d619e8168
zu	w9_d619e8171
können,	w11_d619e8174
mit	w1_d619e8180
allem	w3_d619e8183
möglichen	w5_d619e8186
Eifer	w7_d619e8189
betrieben.	w9_d619e8192
Die	w11_d619e8195
Trupen	w1_d619e8200
und	w3_d619e8203
Kriegs=schiffe	w5_d619e8206
musten	w7_d619e8209
schon	w9_d619e8212
den	w11_d619e8215
1.	w1_d619e8220
November	w3_d619e8223
von	w5_d619e8226
Neu=york	w7_d619e8229
auslauffen,	w9_d619e8232
um	w1_d619e8237
zur	w3_d619e8240
Unternehmung	w5_d619e8243
auf	w7_d619e8246
Martinique	w9_d619e8249
zu	w11_d619e8252
eilen;	w1_d619e8258
der	w3_d619e8261
General	w5_d619e8264
Amherst	w7_d619e8267
hat	w9_d619e8270
das	w11_d619e8273
Com	w13_d619e8277
mando	w1_d619e8282
darüber;	w3_d619e8285
die	w5_d619e8288
wider	w7_d619e8291
Luisiane	w9_d619e8294
zu	w11_d619e8297
ma	w13_d619e8301
chende	w1_d619e8306
Expedition	w3_d619e8309
wird	w5_d619e8312
der	w7_d619e8315
General	w9_d619e8318
Monc	w11_d619e8321
ton	w1_d619e8326
commandiren,	w3_d619e8329
welcher,	w5_d619e8332
sobald	w7_d619e8335
er	w9_d619e8338
bey	w11_d619e8341
Mißißipi	w1_d619e8347
wird	w3_d619e8350
vorbey	w5_d619e8353
kommen	w7_d619e8356
können,	w9_d619e8359
das	w1_d619e8364
neue	w3_d619e8367
Orleans	w5_d619e8370
anzugreiffen	w7_d619e8373
Befehl	w9_d619e8376
hat;	w11_d619e8379
und	w1_d619e8384
der	w3_d619e8387
Lord	w5_d619e8390
Rollo	w7_d619e8393
wird	w9_d619e8396
gleich	w11_d619e8399
nach	w13_d619e8403
vol	w15_d619e8406
lendeter	w1_d619e8411
Unternehmung	w3_d619e8414
gegen	w5_d619e8417
Martinique	w7_d619e8420
den	w1_d619e8426
Ueberrest	w3_d619e8429
der	w5_d619e8432
Caraibischen	w7_d619e8435
neutralen	w9_d619e8438
Jnsuln	w1_d619e8443
zu	w3_d619e8446
besetzen	w5_d619e8449
trachten;	w7_d619e8452
dieses	w9_d619e8455
ist	w11_d619e8458
der	w13_d619e8462
ganze	w1_d619e8467
Plan,	w3_d619e8470
so	w5_d619e8473
man	w7_d619e8476
wider	w9_d619e8479
die	w11_d619e8482
in	w13_d619e8486
America	w15_d619e8489
noch	w1_d619e8494
übrige	w3_d619e8497
feindliche	w5_d619e8500
Besitzungen	w7_d619e8503
auszufüh	w9_d619e8506
ren	w1_d619e8512
entschlossen	w3_d619e8515
ist.	w5_d619e8518
</p>
<p id="p18_d619e8521">
Die	w1_d619e8525
Regimenter	w3_d619e8528
Londohn,	w5_d619e8531
Panmure,	w7_d619e8534
Whitmore,	w1_d619e8539
Manners	w3_d619e8542
und	w5_d619e8545
Beauclere	w7_d619e8548
wer	w9_d619e8551
den	w1_d619e8556
von	w3_d619e8559
Belle=isle	w5_d619e8562
nacher	w7_d619e8565
England	w9_d619e8568
zurück	w11_d619e8571
kommen,	w1_d619e8577
und	w3_d619e8580
daselbsten	w5_d619e8583
alsdannn	w7_d619e8586
nicht	w9_d619e8589
mehr	w1_d619e8594
dann	w3_d619e8597
einige	w5_d619e8600
Bataillons	w7_d619e8603
zur	w9_d619e8606
Besatzung	w11_d619e8609
bleiben.	w1_d619e8614
</p>
<p id="p20_d619e8617">
Die	w1_d619e8621
Regierung	w3_d619e8624
von	w5_d619e8627
Carolinien	w7_d619e8630
hat	w9_d619e8633
endlich	w11_d619e8636
den	w1_d619e8641
23.	w3_d619e8644
des	w5_d619e8647
letzt=verflossenen	w7_d619e8650
Septembermo	w9_d619e8653
nats	w1_d619e8658
einen	w3_d619e8661
aus	w5_d619e8664
12.	w7_d619e8667
Articuln	w9_d619e8670
bestehenden	w11_d619e8673
Frie	w13_d619e8677
dens=tractat	w1_d619e8683
mit	w3_d619e8686
dem	w5_d619e8689
Oberhaupt	w7_d619e8692
der	w9_d619e8695
Chero	w11_d619e8698
chesen	w1_d619e8703
geschlossen.	w3_d619e8706
</p>
<head id="h2_d619e8712">
Erlang	w1_d619e8716
28.	w3_d619e8719
December	w5_d619e8722
1761.	w7_d619e8725
</head>
<p id="p4_d619e8728">
Sichere	w1_d619e8732
Nachrichten	w3_d619e8735
melden,	w5_d619e8738
daß	w7_d619e8741
das	w9_d619e8744
bey	w11_d619e8747
</p>
<p id="p6_d619e8750">
der	w1_d619e8754
Königl.	w3_d619e8757
Französischen	w5_d619e8760
Armee,	w7_d619e8763
und	w9_d619e8766
zugleich	w11_d619e8769
im	w1_d619e8774
Königl.	w3_d619e8777
Französischen	w5_d619e8780
Solde	w7_d619e8783
stehende	w9_d619e8786
Chur=sächsische	w1_d619e8791
Corps,	w3_d619e8794
wiewol	w5_d619e8797
es	w7_d619e8800
bisher	w9_d619e8803
jederzeit	w1_d619e8809
auf	w3_d619e8812
den	w5_d619e8815
Fuß	w7_d619e8818
von	w9_d619e8821
10000.	w11_d619e8824
Mann	w13_d619e8828
gesetzet	w1_d619e8833
gewesen,	w3_d619e8836
nunmehro	w5_d619e8839
würklich	w7_d619e8842
über	w9_d619e8845
complet	w1_d619e8850
seye,	w3_d619e8853
und	w5_d619e8856
daß	w7_d619e8859
sowol	w9_d619e8862
Officiers	w11_d619e8865
als	w13_d619e8869
Gemeine	w1_d619e8874
richtig	w3_d619e8877
und	w5_d619e8880
gut	w7_d619e8883
bezahlet	w9_d619e8886
werden.	w11_d619e8889
Bekanntlich	w1_d619e8895
ist	w3_d619e8898
der	w5_d619e8901
Chef	w7_d619e8904
dieses	w9_d619e8907
Corps	w11_d619e8910
der	w13_d619e8914
unter	w1_d619e8919
dem.	w3_d619e8922
Namen	w5_d619e8925
Comte	w7_d619e8928
de	w9_d619e8931
Lusace	w11_d619e8934
(Graf	w13_d619e8938
von	w1_d619e8943
der	w3_d619e8946
Lausitz)	w5_d619e8949
bey	w7_d619e8952
der	w9_d619e8955
Französischen	w11_d619e8958
Ar	w13_d619e8962
meegestanden	w1_d619e8967
Königl.	w3_d619e8970
Pohlnische	w5_d619e8973
und	w7_d619e8976
Chur	w9_d619e8979
sächsische	w1_d619e8985
Prinz	w3_d619e8988
Xavier,	w5_d619e8991
und	w7_d619e8994
die	w9_d619e8997
bey	w11_d619e9000
diesem	w13_d619e9004
angestellte	w1_d619e9009
Herren	w3_d619e9012
Generals	w5_d619e9015
stehen	w7_d619e9018
in	w9_d619e9021
glei	w11_d619e9024
cher	w1_d619e9029
Würde	w3_d619e9032
und	w5_d619e9035
Rang	w7_d619e9038
nach	w9_d619e9041
dem	w11_d619e9044
Dienstalter,	w13_d619e9048
wie	w1_d619e9053
die	w3_d619e9056
Franzosen	w5_d619e9059
selbst.	w7_d619e9062
Se.	w9_d619e9065
Königl.	w11_d619e9068
Ho	w13_d619e9072
heit	w1_d619e9078
sind	w3_d619e9081
im	w5_d619e9084
Begriffe,	w7_d619e9087
von	w9_d619e9090
Dero	w11_d619e9093
Hauptquar	w13_d619e9097
tier	w1_d619e9102
Eisenach	w3_d619e9105
nach	w5_d619e9108
Paris	w7_d619e9111
abzureisen:	w9_d619e9114
unser	w11_d619e9117
Erlang	w1_d619e9122
verliert	w3_d619e9125
auch	w5_d619e9128
einen	w7_d619e9131
der	w9_d619e9134
wackersten	w11_d619e9137
Her	w13_d619e9141
ren,	w1_d619e9146
wie	w3_d619e9149
hier	w5_d619e9152
jedermann	w7_d619e9155
klaget,	w9_d619e9158
nämlich	w11_d619e9161
des	w1_d619e9167
Königl.	w3_d619e9170
Französischen	w5_d619e9173
Hrn.	w7_d619e9176
Generalleu	w9_d619e9179
tenants,	w1_d619e9184
Grafen	w3_d619e9187
von	w5_d619e9190
Solms	w7_d619e9193
Excellenz,	w9_d619e9196
wel	w11_d619e9199
che	w1_d619e9204
bereits	w3_d619e9207
ein	w5_d619e9210
paar	w7_d619e9213
Monate,	w9_d619e9216
um	w11_d619e9219
Dero	w13_d619e9223
Ge	w15_d619e9226
sundheit	w1_d619e9231
zu	w3_d619e9234
pflegen,	w5_d619e9237
die	w7_d619e9240
hiesige	w9_d619e9243
Luft	w11_d619e9246
zu	w13_d619e9250
geniessen	w1_d619e9256
geruhet,	w3_d619e9259
nunmehro	w5_d619e9262
aber	w7_d619e9265
als	w9_d619e9268
Com	w11_d619e9271
mandant	w1_d619e9276
en	w3_d619e9279
second	w5_d619e9282
von	w7_d619e9285
diesem	w9_d619e9288
Corps	w11_d619e9291
nach	w13_d619e9295
Eisenach	w1_d619e9300
sich	w3_d619e9303
zu	w5_d619e9306
erheben	w7_d619e9309
gemüßiget	w9_d619e9312
seye.	w11_d619e9315
</p>
<head id="h2_d619e9321">
Thüringen	w1_d619e9325
22.	w3_d619e9328
December	w5_d619e9331
1761.	w7_d619e9334
</head>
<p id="p4_d619e9337">
Alle	w1_d619e9341
Nachrichten	w3_d619e9344
aus	w5_d619e9347
Göttingen	w7_d619e9350
stimmen	w9_d619e9353
darinn	w1_d619e9358
überein,	w3_d619e9361
daß	w5_d619e9364
gegenwärtig	w7_d619e9367
eine	w9_d619e9370
sehr	w11_d619e9373
wolfeile	w1_d619e9378
Zeit,	w3_d619e9381
und	w5_d619e9384
der	w7_d619e9387
dortige	w9_d619e9390
Aufenthalt	w11_d619e9393
für	w1_d619e9399
die	w3_d619e9402
Studirende	w5_d619e9405
eben	w7_d619e9408
so	w9_d619e9411
ruhig	w11_d619e9414
und	w13_d619e9418
ange	w15_d619e9421
nehm	w1_d619e9426
seye,	w3_d619e9429
als	w5_d619e9432
vor	w7_d619e9435
dem	w9_d619e9438
Kriege.	w11_d619e9441
Zu	w13_d619e9445
Göt	w15_d619e9448
tingen	w1_d619e9453
bleibt	w3_d619e9456
der	w5_d619e9459
Hr.	w7_d619e9462
General=leutenant	w9_d619e9465
Graf	w1_d619e9470
von	w3_d619e9473
Vaux	w5_d619e9476
Gouverneur,	w7_d619e9479
unter	w9_d619e9482
ihm	w11_d619e9485
commandiren	w1_d619e9491
die	w3_d619e9494
Obristen	w5_d619e9497
Lostanges,	w7_d619e9500
Gra	w9_d619e9503
ve,	w1_d619e9508
Cocg,	w3_d619e9511
Häßler,	w5_d619e9514
die	w7_d619e9517
Besatzung	w9_d619e9520
wird	w11_d619e9523
die	w13_d619e9527
sen	w1_d619e9532
Winter	w3_d619e9535
über	w5_d619e9538
8000.	w7_d619e9541
Mann	w9_d619e9544
stark	w11_d619e9547
seyn,	w13_d619e9551
diese	w1_d619e9556
Stadt	w3_d619e9559
kan	w5_d619e9562
die	w7_d619e9565
vortrefliche	w9_d619e9568
Aufsicht,	w11_d619e9571
die	w1_d619e9577
schöne	w3_d619e9580
Policey	w5_d619e9583
und	w7_d619e9586
Menschen=liebe	w9_d619e9589
des	w11_d619e9592
Hrn.	w1_d619e9597
Gouvenneurs,	w3_d619e9600
die	w5_d619e9603
gute	w7_d619e9606
Aufführung	w9_d619e9609
und	w1_d619e9614
Artigkeit	w3_d619e9617
der	w5_d619e9620
Herren	w7_d619e9623
Officiers	w9_d619e9626
nicht	w11_d619e9629
ge	w13_d619e9633
nug	w1_d619e9638
rühmen.	w3_d619e9641
</p>
<head id="h4_d619e9657">
Schweidnitz	w1_d619e9661
30.	w3_d619e9664
Decemb.	w5_d619e9667
1761.	w7_d619e9670
</head>
<p id="p6_d619e9673">
Vor	w1_d619e9677
einigen	w3_d619e9680
Tagen	w5_d619e9683
ist	w7_d619e9686
der	w9_d619e9689
feindliche	w11_d619e9692
Ge	w13_d619e9696
neral	w1_d619e9701
Gablenz	w3_d619e9704
mit	w5_d619e9707
5.	w7_d619e9710
Bataillons,	w9_d619e9713
und	w11_d619e9716
3	w13_d619e9720
Escadrons,	w1_d619e9725
dann	w3_d619e9728
gleich	w5_d619e9731
darauf	w7_d619e9734
der	w9_d619e9737
Genera	w11_d619e9740
le	w1_d619e9746
Grand	w3_d619e9749
mit	w5_d619e9752
4.	w7_d619e9755
Bataillons	w9_d619e9758
und	w11_d619e9761
1.	w13_d619e9765
Escadron	w15_d619e9768
beyde	w1_d619e9773
aus	w3_d619e9776
der	w5_d619e9779
Festung	w7_d619e9782
Neyß	w9_d619e9785
ausgerucket,	w11_d619e9788
und	w1_d619e9793
haben	w3_d619e9796
ihren	w5_d619e9799
Marsch	w7_d619e9802
gegen	w9_d619e9805
Oberschle	w11_d619e9808
sien	w1_d619e9813
genommen,	w3_d619e9816
vermutlich	w5_d619e9819
um	w7_d619e9822
Geld,	w9_d619e9825
Re	w11_d619e9828
crouten,	w1_d619e9834
Fourage,	w3_d619e9837
und	w5_d619e9840
Lebens=mitteln	w7_d619e9843
einzutreiben,	w1_d619e9848
worüber	w3_d619e9851
man	w5_d619e9854
die	w7_d619e9857
fernere	w9_d619e9860
Nach	w11_d619e9863
richt	w1_d619e9868
erwartet.	w3_d619e9871
</p>
<head id="h2_d619e9884">
Wien	w1_d619e9888
den	w3_d619e9891
6.	w5_d619e9894
Januarii	w7_d619e9897
1762.	w9_d619e9900
</head>
<p id="p4_d619e9903">
Dsm	w1_d619e9907
letzt=vergangenen	w3_d619e9910
Samstag,	w5_d619e9913
als	w7_d619e9916
den	w9_d619e9919
8	w1_d619e9924
2.	w3_d619e9927
dieses	w5_d619e9930
Abends	w7_d619e9933
um	w9_d619e9936
5.	w11_d619e9939
Uhr	w13_d619e9943
sind	w15_d619e9946
Se.	w17_d619e9949
Excell.	w1_d619e9954
der	w3_d619e9957
in	w5_d619e9960
Schlesten	w7_d619e9963
commandirende	w9_d619e9966
Hr.	w1_d619e9972
Feld=zeug=meister,	w3_d619e9975
Freyherr	w5_d619e9978
von	w7_d619e9981
Lou	w9_d619e9984
von	w1_d619e9989
dahier	w3_d619e9992
angelanget.	w5_d619e9995
</p>
<p id="p6_d619e9998">
Dito	w1_d619e10002
haben	w3_d619e10005
Se.	w5_d619e10008
Excell.	w7_d619e10011
der	w9_d619e10014
Hoch	w11_d619e10017
und	w13_d619e10021
Wolgeborne	w1_d619e10026
Hr.	w3_d619e10029
Hr.	w5_d619e10032
Johann	w7_d619e10035
Joseph,	w9_d619e10038
des	w11_d619e10041
H.	w1_d619e10046
R.	w3_d619e10049
Reichs	w5_d619e10052
Graf	w7_d619e10055
Breuner,	w9_d619e10058
Edler	w11_d619e10061
Hr.	w13_d619e10065
auf	w15_d619e10068
Statz,	w1_d619e10074
Freyherr	w3_d619e10077
auf	w5_d619e10080
Stibing,	w7_d619e10083
Flatnitz	w9_d619e10086
und	w11_d619e10089
Rabenstein,	w1_d619e10094
Hr.	w3_d619e10097
der	w5_d619e10100
Graf	w7_d619e10103
und	w9_d619e10106
Herrschaft	w11_d619e10109
Asparn,	w1_d619e10114
Obrist=erb=cammerer	w3_d619e10117
in	w5_d619e10120
Oesterreich	w7_d619e10123
unter	w1_d619e10128
der	w3_d619e10131
Enns,	w5_d619e10134
wie	w7_d619e10137
auch	w9_d619e10140
Obristspiel	w11_d619e10143
graf	w1_d619e10149
ob	w3_d619e10152
und	w5_d619e10155
unter	w7_d619e10158
der	w9_d619e10161
Enns,	w11_d619e10164
Jhrer	w13_d619e10168
K.	w15_d619e10171
K.	w17_d619e10174
Apostol.	w1_d619e10179
Majest.	w3_d619e10182
Cammerer	w5_d619e10185
und	w7_d619e10188
würklich	w9_d619e10191
ge	w11_d619e10194
heimer	w1_d619e10199
Raht,	w3_d619e10202
im	w5_d619e10205
74.	w7_d619e10208
Jahr	w9_d619e10211
dero	w11_d619e10214
Alters	w13_d619e10218
das	w15_d619e10221
Zeitliche	w1_d619e10226
mit	w3_d619e10229
dem	w5_d619e10232
Ewigen	w7_d619e10235
verwechslet.	w9_d619e10238
</p>
<p id="p8_d619e10241">
Sonntags	w1_d619e10245
als	w3_d619e10248
den	w5_d619e10251
3.	w7_d619e10254
dieses	w9_d619e10257
fruhe	w11_d619e10260
nach	w13_d619e10264
8.	w15_d619e10267
Uhr	w1_d619e10272
haben	w3_d619e10275
Se.	w5_d619e10278
Excell.	w7_d619e10281
der	w9_d619e10284
Hr.	w11_d619e10287
Feldzeug	w13_d619e10291
meister	w1_d619e10296
Freyherr	w3_d619e10299
von	w5_d619e10302
Loudon,	w7_d619e10305
sich	w9_d619e10308
nach	w11_d619e10311
Ho	w13_d619e10315
fe	w1_d619e10321
begeben,	w3_d619e10324
beyden	w5_d619e10327
Kaiserl.	w7_d619e10330
Königl.	w9_d619e10333
Ma	w11_d619e10336
jestäten	w1_d619e10341
die	w3_d619e10344
allerunterthänigste	w5_d619e10347
Aufwartung	w7_d619e10350
zu	w1_d619e10355
machen.	w3_d619e10358
</p>
<p id="p10_d619e10361">
Gestern	w1_d619e10365
Abends	w3_d619e10368
haben	w5_d619e10371
Se.	w7_d619e10374
Majest.	w9_d619e10377
der	w11_d619e10380
Kaiser	w1_d619e10385
mit	w3_d619e10388
Jhren	w5_d619e10391
Königl.	w7_d619e10394
Hoheiten,	w9_d619e10397
denen	w11_d619e10400
Durchl.	w1_d619e10405
Erzherzogen	w3_d619e10408
Joseph,	w5_d619e10411
und	w7_d619e10414
Leopold	w9_d619e10417
in	w1_d619e10423
Aufwartung	w3_d619e10426
des	w5_d619e10429
Päpstlichen	w7_d619e10432
Monsignor	w9_d619e10435
Nuntii,	w1_d619e10440
und	w3_d619e10443
deren	w5_d619e10446
Herren	w7_d619e10449
Tolsonisten	w9_d619e10452
der	w11_d619e10455
feyerlichen	w1_d619e10460
Toison=vesper	w3_d619e10463
in	w5_d619e10466
der	w7_d619e10469
grossen	w9_d619e10472
Hof	w11_d619e10475
capelle	w1_d619e10480
beygewohnet.	w3_d619e10483
</p>
<p id="p12_d619e10487">
Den	w1_d619e10491
36.	w3_d619e10494
abgeweilten	w5_d619e10497
Monats	w7_d619e10500
Decemb.	w9_d619e10503
1761.	w1_d619e10508
ist	w3_d619e10511
die	w5_d619e10514
Ziehung	w7_d619e10517
der	w9_d619e10520
K.	w11_d619e10523
K.	w13_d619e10527
privilegir	w15_d619e10530
ten	w1_d619e10535
Lotterie,	w3_d619e10538
in	w5_d619e10541
der	w7_d619e10544
K.	w9_d619e10547
K.	w11_d619e10550
Haupt=stadt	w13_d619e10554
Prag	w15_d619e10557
beschehen,	w1_d619e10563
und	w3_d619e10566
die	w5_d619e10569
Num.	w7_d619e10572
57.	w9_d619e10575
40.	w11_d619e10578
7.	w13_d619e10582
26.	w15_d619e10585
und	w1_d619e10590
11.	w3_d619e10593
mit	w5_d619e10596
vielen	w7_d619e10599
beträchtlichen	w9_d619e10602
Ambi,	w11_d619e10605
Terni	w1_d619e10610
und	w3_d619e10613
Estrati	w5_d619e10616
gehoben,	w7_d619e10619
wie	w9_d619e10622
auch	w11_d619e10625
von	w13_d619e10629
der	w15_d619e10632
Amts=collectur	w1_d619e10637
ein	w3_d619e10640
Terno	w5_d619e10643
mit	w7_d619e10646
143.	w9_d619e10649
Duca	w11_d619e10652
ten,	w1_d619e10658
von	w3_d619e10661
jenem	w5_d619e10664
sub	w7_d619e10667
Nro	w9_d619e10670
15.	w11_d619e10673
bey	w13_d619e10677
denen	w15_d619e10680
Flesch=bänken	w1_d619e10685
auf	w3_d619e10688
dem	w5_d619e10691
sogenannten	w7_d619e10694
lichten	w9_d619e10697
Steg	w1_d619e10702
ein	w3_d619e10705
detto	w5_d619e10708
mit	w7_d619e10711
1000.	w9_d619e10714
Ducaten,	w11_d619e10717
von	w13_d619e10721
dem	w1_d619e10726
sub	w3_d619e10729
Nro.	w5_d619e10732
19.	w7_d619e10735
bey	w9_d619e10738
der	w11_d619e10741
Jtaliänischen	w13_d619e10745
Capelle	w1_d619e10751
ein	w3_d619e10754
Quaterno,	w5_d619e10757
und	w7_d619e10760
