<doc id="wr_1757-02-12" attrs="word" year="1757" month="02" day="12" corpus="2">
<head id="h2_d117e3051">
Port=louis	w1_d117e3055
heutigen	w3_d117e6694
Briefe	w5_d117e6697
von	w7_d117e6700
Paris	w9_d117e6703
bringen	w11_d117e6706
mit,	w1_d117e6711
daß	w3_d117e6714
unser	w5_d117e6717
König	w7_d117e6720
wieder	w9_d117e6723
so	w11_d117e6726
wol	w13_d117e6730
sich	w15_d117e6733
befände,	w1_d117e6738
daß	w3_d117e6741
Se.	w5_d117e6744
Majestät	w7_d117e6747
bereits	w9_d117e6750
zwar	w11_d117e6753
auf	w1_d117e6759
Dero	w3_d117e6762
Beht	w5_d117e6765
sitzend,	w7_d117e6768
die	w9_d117e6771
Ambassadeurs	w11_d117e6774
und	w1_d117e6779
auswärtigen	w3_d117e6782
Ministri	w5_d117e6785
vor	w7_d117e6788
sich	w9_d117e6791
kommen	w11_d117e6794
lassen,	w1_d117e6799
auch	w3_d117e6802
beständig	w5_d117e6805
die	w7_d117e6808
ganze	w9_d117e6811
Königliche	w11_d117e6814
Famille	w1_d117e6819
um	w3_d117e6822
und	w5_d117e6825
bey	w7_d117e6828
sich	w9_d117e6831
hätten.	w11_d117e6834
</p>
<head id="h2_d117e6840">
Petersburg	w1_d117e6844
6.	w3_d117e6847
Januarii.	w5_d117e6850
</head>
<p id="p4_d117e6853">
Gestern	w1_d117e6857
Mittag	w3_d117e6860
um	w5_d117e6863
12.	w7_d117e6866
Uhr,	w9_d117e6869
ist	w11_d117e6872
Herr	w13_d117e6876
Johann	w1_d117e6881
Lotharius	w3_d117e6884
Friedrich	w5_d117e6887
von	w7_d117e6890
Malzahn,	w9_d117e6893
Sr.	w1_d117e6898
Königl.	w3_d117e6901
Majestät	w5_d117e6904
in	w7_d117e6907
Dännemark	w9_d117e6910
würk	w11_d117e6913
licher	w1_d117e6919
Cammer=herr,	w3_d117e6922
und	w5_d117e6925
ausserordentlicher	w7_d117e6928
Abgesandter	w1_d117e6933
an	w3_d117e6936
dem	w5_d117e6939
hiesigen	w7_d117e6942
Kaiserl.	w9_d117e6945
Hofe,	w11_d117e6948
an	w1_d117e6953
einem	w3_d117e6956
hitzigen	w5_d117e6959
Brust=fieber	w7_d117e6962
im	w9_d117e6965
37.	w11_d117e6968
Jahr	w13_d117e6972
seines	w1_d117e6977
Lebens	w3_d117e6980
verschieden.	w5_d117e6983
Er	w7_d117e6986
wird	w9_d117e6989
bis	w11_d117e6992
zu	w13_d117e6996
weiterer	w1_d117e7002
Verfügung	w3_d117e7005
seines	w5_d117e7008
Begräbnüsses,	w7_d117e7011
in	w9_d117e7014
einer	w1_d117e7019
derer	w3_d117e7022
hiesigen	w5_d117e7025
Lutherischen	w7_d117e7028
Kirchen	w9_d117e7031
bey	w11_d117e7034
gesetzet	w1_d117e7039
werden.	w3_d117e7042
</p>
<head id="h2_d117e7048">
Warschau	w1_d117e7052
8.	w3_d117e7055
Januarii.	w5_d117e7058
</head>
<p id="p4_d117e7061">
Vorgestern	w1_d117e7065
traf	w3_d117e7068
der	w5_d117e7071
Römisch=Kaiserliche	w7_d117e7074
Hr.	w9_d117e7077
General	w1_d117e7082
Bukow	w3_d117e7085
aus	w5_d117e7088
Wien	w7_d117e7091
über	w9_d117e7094
Kracau	w11_d117e7097
hier	w13_d117e7101
ein	w15_d117e7104
und	w1_d117e7109
wird	w3_d117e7112
in	w5_d117e7115
ein	w7_d117e7118
paar	w9_d117e7121
Tagen	w11_d117e7124
zur	w13_d117e7128
Rußisch	w15_d117e7131
Kaiserl.	w1_d117e7137
Armee	w3_d117e7140
abgehen.	w5_d117e7143
</p>
<head id="h2_d117e7150">
Frankfort	w1_d117e7154
21.	w3_d117e7157
Januarii.	w5_d117e7160
</head>
<p id="p4_d117e7163">
Seine	w1_d117e7167
Excellenz,	w3_d117e7170
der	w5_d117e7173
Herr	w7_d117e7176
Graf	w9_d117e7179
von	w1_d117e7184
Pergen,	w3_d117e7187
ist	w5_d117e7190
wieder	w7_d117e7193
aus	w9_d117e7196
Fulda	w11_d117e7199
hier	w13_d117e7203
zuruck	w1_d117e7208
angelanget,	w3_d117e7211
nachdeme	w5_d117e7214
derselbe	w7_d117e7217
als	w9_d117e7220
Kai	w11_d117e7223
</p>
<p id="p6_d117e7226">
serlicher	w1_d117e7230
Commissarius	w3_d117e7233
der	w5_d117e7236
daselbst	w7_d117e7239
vorgegan	w9_d117e7242
gegangenen	w1_d117e7247
Wahl	w3_d117e7250
eines	w5_d117e7253
neuen	w7_d117e7256
Fürstens	w9_d117e7259
und	w11_d117e7262
Bischofs	w1_d117e7267
beygewohnet,	w3_d117e7270
und	w5_d117e7273
das	w7_d117e7276
Glück	w9_d117e7279
ge	w11_d117e7282
habt,	w1_d117e7288
die	w3_d117e7291
Difference,	w5_d117e7294
so	w7_d117e7297
zwischen	w9_d117e7300
Chur=mayn;	w11_d117e7303
und	w1_d117e7308
Fulda	w3_d117e7311
sich	w5_d117e7314
hervorgethan,	w7_d117e7317
beyzulegen.	w9_d117e7320
</p>
<head id="h2_d117e7326">
Düsseldorf	w1_d117e7330
24.	w3_d117e7333
Jan.	w5_d117e7336
</head>
<p id="p4_d117e7339">
Se.	w1_d117e7343
Durchleucht,	w3_d117e7346
der	w5_d117e7349
Prinz	w7_d117e7352
Frieder	w9_d117e7355
ich	w11_d117e7358
von	w1_d117e7363
Birkenfeld=Zweybrücken,	w3_d117e7366
ist	w5_d117e7369
gestern	w7_d117e7372
Nachmittags	w1_d117e7377
angelanget,	w3_d117e7380
und	w5_d117e7383
ob	w7_d117e7386
gleich	w9_d117e7389
die	w11_d117e7392
Constabler,	w1_d117e7398
seit	w3_d117e7401
den	w5_d117e7404
21sten	w7_d117e7407
dieses,	w9_d117e7410
auf	w11_d117e7413
denen	w13_d117e7417
Wällen	w1_d117e7422
die	w3_d117e7425
Ankunft	w5_d117e7428
Sr.	w7_d117e7431
Durchleucht	w9_d117e7434
er	w11_d117e7437
wartet,	w1_d117e7442
um	w3_d117e7445
eine	w5_d117e7448
Freuden=salve	w7_d117e7451
wegen	w9_d117e7454
die	w11_d117e7457
ser	w1_d117e7462
glücklichen	w3_d117e7465
Ankunft	w5_d117e7468
aus	w7_d117e7471
denen	w9_d117e7474
Canonen	w11_d117e7477
zu	w13_d117e7481
geben,	w1_d117e7487
so	w3_d117e7490
haben	w5_d117e7493
solches	w7_d117e7496
Se.	w9_d117e7499
Durchleucht	w11_d117e7502
nicht	w1_d117e7507
angenommen.	w3_d117e7510
Vor	w5_d117e7513
dem	w7_d117e7516
Quartier,	w9_d117e7519
wo	w11_d117e7522
dieser	w1_d117e7527
Prinz	w3_d117e7530
ausstiege,	w5_d117e7533
paradirte	w7_d117e7536
eine	w9_d117e7539
Com	w11_d117e7542
pagnie	w1_d117e7547
Grenadiers	w3_d117e7550
mit	w5_d117e7553
fliegenden	w7_d117e7556
Fahnen,	w9_d117e7559
und	w1_d117e7565
klingenden	w3_d117e7568
Spiel,	w5_d117e7571
wohey	w7_d117e7574
sich	w9_d117e7577
die	w11_d117e7580
Pau	w13_d117e7584
cker	w1_d117e7589
und	w3_d117e7592
Trompeter	w5_d117e7595
von	w7_d117e7598
des	w9_d117e7601
Prinzens	w11_d117e7604
Regi	w13_d117e7608
ment	w1_d117e7613
hören	w3_d117e7616
liessen.	w5_d117e7619
Jn	w7_d117e7622
dem	w9_d117e7625
grossen	w11_d117e7628
Saal	w13_d117e7632
befanden	w1_d117e7637
sich	w3_d117e7640
die	w5_d117e7643
Jülich	w7_d117e7646
und	w9_d117e7649
Bergischen	w11_d117e7652
Herrn	w1_d117e7658
Land=stände,	w3_d117e7661
und	w5_d117e7664
der	w7_d117e7667
Adel	w9_d117e7670
dieser	w11_d117e7673
Stadt	w1_d117e7678
in	w3_d117e7681
Gala=kleidern,	w5_d117e7684
desgleichen	w7_d117e7687
die	w9_d117e7690
Herren	w1_d117e7695
derer	w3_d117e7698
drey	w5_d117e7701
Dicasterien,	w7_d117e7704
die	w9_d117e7707
Genera	w11_d117e7710
lität,	w1_d117e7715
und	w3_d117e7718
der	w5_d117e7721
Magistrat,	w7_d117e7724
von	w9_d117e7727
welchen	w11_d117e7730
Jh	w13_d117e7734
ro	w1_d117e7740
Durchleucht,	w3_d117e7743
wegen	w5_d117e7746
Dero	w7_d117e7749
glücklichen	w9_d117e7752
An	w11_d117e7755
kunft,	w1_d117e7760
die	w3_d117e7763
Glückwünsche	w5_d117e7766
empfiengen.	w7_d117e7769
</p>
<head id="h2_d117e7775">
Berlin	w1_d117e7779
20.	w3_d117e7782
Jan.	w5_d117e7785
</head>
<p id="p4_d117e7788">
Von	w1_d117e7792
dem	w3_d117e7795
Könige,	w5_d117e7798
ist	w7_d117e7801
der	w9_d117e7804
bisherige	w11_d117e7807
Ge	w13_d117e7811
heime	w1_d117e7816
Legations=raht,	w3_d117e7819
Hr.	w5_d117e7822
von	w7_d117e7825
Herzberg,	w9_d117e7828
zu	w1_d117e7833
Dero	w3_d117e7836
Geheimen	w5_d117e7839
Cabinets=raht	w7_d117e7842
bey	w9_d117e7845
dem	w11_d117e7848
Departement	w1_d117e7854
der	w3_d117e7857
ausländischen	w5_d117e7860
Angelegen	w7_d117e7863
heiten,	w1_d117e7868
an	w3_d117e7871
die	w5_d117e7874
Stelle	w7_d117e7877
des	w9_d117e7880
verstorbenen	w11_d117e7883
Hrn.	w13_d117e7887
Warendorfs,	w1_d117e7892
erkläret	w3_d117e7895
worden.	w5_d117e7898
</p>
<head id="h2_d117e7904">
Nieder=elbe	w1_d117e7908
24.	w3_d117e7911
Januarii.	w5_d117e7914
</head>
<p id="p4_d117e7917">
Aus	w1_d117e7921
Petersburg	w3_d117e7924
wird	w5_d117e7927
bemerket,	w7_d117e7930
daß	w9_d117e7933
man	w11_d117e7936
alda	w1_d117e7941
mit	w3_d117e7944
vielen	w5_d117e7947
Mißvergnügen,	w7_d117e7950
die	w9_d117e7953
an	w11_d117e7956
einem	w13_d117e7960
Pohlnischen	w1_d117e7965
Currier	w3_d117e7968
verübte	w5_d117e7971
Gewaltthat,	w7_d117e7974
wel	w9_d117e7977
cher	w1_d117e7983
zu	w3_d117e7986
Konskye	w5_d117e7989
ermordet	w7_d117e7992
worden,	w9_d117e7995
vernom	w11_d117e7998
men	w1_d117e8003
habe,	w3_d117e8006
und	w5_d117e8009
zwar	w7_d117e8012
um	w9_d117e8015
desto	w11_d117e8018
mehr,	w13_d117e8022
weilen	w15_d117e8025
der	w1_d117e8030
Rußisch=Kaiserl	w3_d117e8033
Hof	w5_d117e8036
sich	w7_d117e8039
andurch	w9_d117e8042
vieler	w11_d117e8045
wichtigen	w1_d117e8050
Briefschaften	w3_d117e8053
beraubt	w5_d117e8056
findet,	w7_d117e8059
wel	w9_d117e8062
che	w1_d117e8068
derselbe	w3_d117e8071
von	w5_d117e8074
verschiedenen	w7_d117e8077
Höfen	w9_d117e8080
erwar	w11_d117e8083
tet	w1_d117e8088
hat.	w3_d117e8091
</p>
<head id="h2_d117e8097">
Lomberg	w1_d117e8101
bey	w3_d117e8104
Gabel,	w5_d117e8107
26.	w7_d117e8110
Jan.	w9_d117e8113
</head>
<p id="p4_d117e8116">
Das	w1_d117e8120
Königl.	w3_d117e8123
Preußische	w5_d117e8126
Artillerie=wesen,	w7_d117e8129
nicht	w1_d117e8134
weniger	w3_d117e8137
die	w5_d117e8140
Proviant	w7_d117e8143
und	w9_d117e8146
Officiers	w11_d117e8149
Baggage=wägen	w1_d117e8154
müssen	w3_d117e8157
alle	w5_d117e8160
enger	w7_d117e8163
gemacht	w9_d117e8166
werden,	w1_d117e8172
daher	w3_d117e8175
man	w5_d117e8178
schon	w7_d117e8181
bey	w9_d117e8184
3.	w11_d117e8187
Tage	w13_d117e8191
sehr	w15_d117e8194
</p>
<p id="p10_d117e8207">
emsig	w1_d117e8211
mit	w3_d117e8214
Zuziehung	w5_d117e8217
aller	w7_d117e8220
dazu	w9_d117e8223
benöhtigten	w11_d117e8226
Handwerks=leute	w1_d117e8231
in	w3_d117e8234
Zittau	w5_d117e8237
arbeitet,	w7_d117e8240
um	w9_d117e8243
die	w11_d117e8246
engen	w1_d117e8251
Strassen	w3_d117e8254
bequemer	w5_d117e8257
paßiren	w7_d117e8260
zu	w9_d117e8263
können	w11_d117e8266
wohin	w1_d117e8272
aber	w3_d117e8275
der	w5_d117e8278
Marsch	w7_d117e8281
gerichtet	w9_d117e8284
seye,	w11_d117e8287
ist	w13_d117e8291
uns	w1_d117e8296
unbewust.	w3_d117e8299
Der	w5_d117e8302
König	w7_d117e8305
von	w9_d117e8308
Preusser	w11_d117e8311
hat	w1_d117e8316
verschlossene	w3_d117e8319
Briefe	w5_d117e8322
in	w7_d117e8325
die	w9_d117e8328
Raht=häuser	w11_d117e8331
derer	w1_d117e8336
sechs	w3_d117e8339
Städte	w5_d117e8342
in	w7_d117e8345
der	w9_d117e8348
Laußnitz	w11_d117e8351
depositi	w13_d117e8355
ren	w1_d117e8361
lassen,	w3_d117e8364
welche	w5_d117e8367
nicht	w7_d117e8370
eher,	w9_d117e8373
als	w11_d117e8376
um	w13_d117e8380
eine	w15_d117e8383
ge	w17_d117e8386
wisse	w1_d117e8391
Zeit	w3_d117e8394
sollen	w5_d117e8397
geöfnet	w7_d117e8400
werden.	w9_d117e8403
Die	w11_d117e8406
in	w13_d117e8410
Zittau	w1_d117e8415
und	w3_d117e8418
Bautzen	w5_d117e8421
annoch	w7_d117e8424
geweste	w9_d117e8427
junge	w11_d117e8430
Leute	w1_d117e8435
entfliehen	w3_d117e8438
aus	w5_d117e8441
Forcht,	w7_d117e8444
nicht	w9_d117e8447
weniger	w11_d117e8450
die	w1_d117e8456
Studenten,	w3_d117e8459
auch	w5_d117e8462
continuirt	w7_d117e8465
die	w9_d117e8468
feindliche	w11_d117e8471
Desertion	w1_d117e8476
noch	w3_d117e8479
beständig.	w5_d117e8482
</p>
<head id="h2_d117e8488">
Auszug	w1_d117e8492
eines	w3_d117e8495
Sächsischen	w5_d117e8498
Be	w7_d117e8501
richts	w1_d117e8506
von	w3_d117e8509
Dreßden	w5_d117e8512
9.	w7_d117e8515
Jan.	w9_d117e8518
</head>
<p id="p4_d117e8521">
Des	w1_d117e8525
Abends	w3_d117e8528
vorher	w5_d117e8531
als	w7_d117e8534
der	w9_d117e8537
König	w11_d117e8540
von	w13_d117e8544
Preussen	w1_d117e8549
den	w3_d117e8552
4ten	w5_d117e8555
dieses	w7_d117e8558
von	w9_d117e8561
hier	w11_d117e8564
nach	w13_d117e8568
Ber	w15_d117e8571
lin	w1_d117e8576
reisete,	w3_d117e8579
ließe	w5_d117e8582
er	w7_d117e8585
die	w9_d117e8588
hieselbst	w11_d117e8591
befindliche	w13_d117e8595
Deputirte	w1_d117e8601
der	w3_d117e8604
Land=stände	w5_d117e8607
zu	w7_d117e8610
sich	w9_d117e8613
ruffen	w11_d117e8616
und	w13_d117e8620
sagte	w1_d117e8625
ihnen:	w3_d117e8628
</p>
<p id="p6_d117e8631">
Meßieurs:	w1_d117e8635
ich	w3_d117e8638
wundere	w5_d117e8641
mich,	w7_d117e8644
daß	w9_d117e8647
sie	w11_d117e8650
so	w13_d117e8654
lange	w1_d117e8659
zaudern,	w3_d117e8662
die	w5_d117e8665
Recruten	w7_d117e8668
zu	w9_d117e8671
liefern,	w11_d117e8674
welche	w1_d117e8679
von	w3_d117e8682
der	w5_d117e8685
erstern	w7_d117e8688
Anzahl	w9_d117e8691
noch	w11_d117e8694
ruckstän	w13_d117e8698
dig	w1_d117e8704
sind,	w3_d117e8707
die	w5_d117e8710
ich	w7_d117e8713
habe	w9_d117e8716
von	w11_d117e8719
ihnen	w13_d117e8723
verlangen	w15_d117e8726
lassen.	w1_d117e8731
Mein	w3_d117e8734
Wille	w5_d117e8737
ist,	w7_d117e8740
daß	w9_d117e8743
sie	w11_d117e8746
eilen,	w13_d117e8750
diese	w15_d117e8753
Anzahl	w1_d117e8758
zu	w3_d117e8761
schaffen,	w5_d117e8764
und	w7_d117e8767
daß	w9_d117e8770
sie	w11_d117e8773
ausser	w13_d117e8777
dem	w15_d117e8780
noch	w1_d117e8785
4332.	w3_d117e8788
Mann	w5_d117e8791
Recruten	w7_d117e8794
stellen,	w9_d117e8797
welche	w11_d117e8800
ich	w1_d117e8806
unumgänglich	w3_d117e8809
gebrauche.	w5_d117e8812
</p>
<p id="p8_d117e8815">
Die	w1_d117e8819
Deputirten	w3_d117e8822
gaben	w5_d117e8825
hierauf	w7_d117e8828
zur	w9_d117e8831
Ant	w11_d117e8834
wort,	w1_d117e8839
daß	w3_d117e8842
es	w5_d117e8845
unmöglich	w7_d117e8848
sey	w9_d117e8851
mehr	w11_d117e8854
Leute	w13_d117e8858
in	w15_d117e8861
dem	w1_d117e8866
Land	w3_d117e8869
aufzubringen,	w5_d117e8872
als	w7_d117e8875
man	w9_d117e8878
bereits	w11_d117e8881
gethan	w1_d117e8887
habe,	w3_d117e8890
ohne	w5_d117e8893
dasselbe	w7_d117e8896
gänzlich	w9_d117e8899
von	w11_d117e8902
Ein	w13_d117e8906
wohnern	w1_d117e8911
zu	w3_d117e8914
entblößen,	w5_d117e8917
und	w7_d117e8920
wann	w9_d117e8923
Se.	w11_d117e8926
Preu	w13_d117e8930
sische	w1_d117e8935
Majestät	w3_d117e8938
nach	w5_d117e8941
Dero	w7_d117e8944
Gerechtigkeitslie	w9_d117e8947
be	w1_d117e8952
die	w3_d117e8955
unterthänigste	w5_d117e8958
Vorstellungen	w7_d117e8961
anzuneh	w9_d117e8964
men	w1_d117e8970
geruhen	w3_d117e8973
wollten,	w5_d117e8976
welche	w7_d117e8979
sie	w9_d117e8982
Deroselben	w11_d117e8985
schriftlich	w1_d117e8990
zu	w3_d117e8993
überreichen	w5_d117e8996
sich	w7_d117e8999
die	w9_d117e9002
Freyheit	w11_d117e9005
nehmen	w1_d117e9010
würden,	w3_d117e9013
so	w5_d117e9016
würden	w7_d117e9019
Höchst=dieselbe	w9_d117e9022
von	w1_d117e9027
dieser	w3_d117e9030
Unmöglichkeit	w5_d117e9033
überzeugt	w7_d117e9036
werden	w9_d117e9039
welche	w1_d117e9045
dergestalt	w3_d117e9048
beschaffen	w5_d117e9051
sey,	w7_d117e9054
daß	w9_d117e9057
sie	w11_d117e9060
De	w13_d117e9064
putierte,	w1_d117e9069
Se.	w3_d117e9072
Majestät	w5_d117e9075
auf	w7_d117e9078
die	w9_d117e9081
allerehrer	w11_d117e9084
bietigste	w1_d117e9089
Weise	w3_d117e9092
ersuchten,	w5_d117e9095
solche	w7_d117e9098
Dero	w9_d117e9101
Auf	w11_d117e9104
merksamkeit	w1_d117e9109
zu	w3_d117e9112
würdigen	w5_d117e9115
und	w7_d117e9118
das	w9_d117e9121
Unver	w11_d117e9124
mögen	w1_d117e9130
der	w3_d117e9133
Deputirten	w5_d117e9136
in	w7_d117e9139
Betracht	w9_d117e9142
zu	w11_d117e9145
zie	w13_d117e9149
hen.	w1_d117e9154
</p>
<p id="p10_d117e9157">
Der	w1_d117e9161
König	w3_d117e9164
ließ	w5_d117e9167
sie	w7_d117e9170
mit	w9_d117e9173
diesen	w11_d117e9176
Worten	w13_d117e9180
von	w15_d117e9183
sich:	w1_d117e9188
Jch	w3_d117e9191
werde	w5_d117e9194
ihnen	w7_d117e9197
gleich	w9_d117e9200
meinen	w11_d117e9203
Willen	w13_d117e9207
weiter	w1_d117e9212
wissen	w3_d117e9215
lassen,	w5_d117e9218
und	w7_d117e9221
sie	w9_d117e9224
müssen	w11_d117e9227
sich	w13_d117e9231
dem	w15_d117e9234
selben	w1_d117e9240
gemäß	w3_d117e9243
bezeugen.	w5_d117e9246
Beym	w7_d117e9249
Weggehen	w9_d117e9252
sagte	w1_d117e9257
ihnen	w3_d117e9260
der	w5_d117e9263
General	w7_d117e9266
Retzow,	w9_d117e9269
dem	w11_d117e9272
die	w13_d117e9276
Recruten=sache	w1_d117e9281
von	w3_d117e9284
dem	w5_d117e9287
König	w7_d117e9290
von	w9_d117e9293
Preussen	w11_d117e9296
</p>
<p id="p12_d117e9300">
aufgetragen	w1_d117e9304
ist,	w3_d117e9307
und	w5_d117e9310
welcher	w7_d117e9313
bey	w9_d117e9316
dieser	w11_d117e9319
Audien	w13_d117e9323
zugegen	w1_d117e9328
war,	w3_d117e9331
daß	w5_d117e9334
er	w7_d117e9337
sie	w9_d117e9340
Nachmittags	w11_d117e9343
auf	w13_d117e9347
eine	w1_d117e9352
Conferenz	w3_d117e9355
mit	w5_d117e9358
ihm	w7_d117e9361
erwarte.	w9_d117e9364
Als	w11_d117e9367
die	w13_d117e9371
Deputirten	w1_d117e9377
sich	w3_d117e9380
bey	w5_d117e9383
demselben	w7_d117e9386
einfanden,	w9_d117e9389
be	w11_d117e9392
zeugte	w1_d117e9397
er	w3_d117e9400
ihnen,	w5_d117e9403
daß	w7_d117e9406
es	w9_d117e9409
ihm	w11_d117e9412
Leid	w13_d117e9416
thäte,	w15_d117e9419
daß	w17_d117e9422
er	w1_d117e9427
ihnen	w3_d117e9430
keine	w5_d117e9433
ihren	w7_d117e9436
Wünschen	w9_d117e9439
gemäße	w11_d117e9442
Ver	w13_d117e9446
änderung	w1_d117e9451
andeuten	w3_d117e9454
könnte.	w5_d117e9457
Die	w7_d117e9460
Bedürf	w9_d117e9463
nüß	w1_d117e9469
der	w3_d117e9472
Recruten	w5_d117e9475
wäre	w7_d117e9478
noch	w9_d117e9481
immer	w11_d117e9484
dieselbe	w13_d117e9488
und	w1_d117e9493
der	w3_d117e9496
Wille	w5_d117e9499
des	w7_d117e9502
Königs	w9_d117e9505
unveränderlich.	w11_d117e9508
Er	w1_d117e9513
übergab	w3_d117e9516
ihnen	w5_d117e9519
eine	w7_d117e9522
Ordre,	w9_d117e9525
die	w11_d117e9528
an	w13_d117e9532
die	w15_d117e9535
Kriegs=commissarien	w1_d117e9540
gestellet	w3_d117e9543
war,	w5_d117e9546
und	w7_d117e9549
bey	w9_d117e9552
welcher	w1_d117e9558
sich	w3_d117e9561
ein	w5_d117e9564
Verzeichnüß	w7_d117e9567
der	w9_d117e9570
Distrirte	w11_d117e9573
be	w13_d117e9577
fand,	w1_d117e9582
über	w3_d117e9585
welche	w5_d117e9588
die	w7_d117e9591
Lieferung	w9_d117e9594
derer	w11_d117e9597
neuen	w13_d117e9601
Recruten	w1_d117e9606
vertheilet	w3_d117e9609
werden	w5_d117e9612
sollte.	w7_d117e9615
Dieser	w9_d117e9618
General	w1_d117e9623
zeigte	w3_d117e9626
darauf	w5_d117e9629
denen	w7_d117e9632
Deputirten	w9_d117e9635
an,	w11_d117e9638
daß	w1_d117e9644
die	w3_d117e9647
Lieferung	w5_d117e9650
den	w7_d117e9653
10.	w9_d117e9656
dieses	w11_d117e9659
geschehen	w13_d117e9663
sollte,	w1_d117e9668
und	w3_d117e9671
bedeutete	w5_d117e9674
ihnen	w7_d117e9677
zu	w9_d117e9680
gleicher	w11_d117e9683
Zeit,	w13_d117e9687
daß	w1_d117e9692
sie	w3_d117e9695
so	w5_d117e9698
lange	w7_d117e9701
zu	w9_d117e9704
Dreßden	w11_d117e9707
bleiben	w13_d117e9711
müsten,	w15_d117e9714
bis	w1_d117e9719
die	w3_d117e9722
Befehle	w5_d117e9725
des	w7_d117e9728
Königs	w9_d117e9731
vollstreckt	w11_d117e9734
wä	w13_d117e9738
ren.	w1_d117e9744
Er	w3_d117e9747
führete	w5_d117e9750
ihnen	w7_d117e9753
zuletzt	w9_d117e9756
alles	w11_d117e9759
das	w13_d117e9763
zu	w15_d117e9766
Gemüte,	w1_d117e9771
was	w3_d117e9774
sie	w5_d117e9777
zu	w7_d117e9780
beförchten	w9_d117e9783
hätten,	w11_d117e9786
wann	w13_d117e9790
sie	w1_d117e9795
durch	w3_d117e9798
neue	w5_d117e9801
Zögerungen	w7_d117e9804
den	w9_d117e9807
König	w11_d117e9810
unwillig	w13_d117e9814
machen	w1_d117e9819
würden.	w3_d117e9822
Mit	w5_d117e9825
diesem	w7_d117e9828
Bescheide	w9_d117e9831
ver	w11_d117e9834
ließen	w1_d117e9840
die	w3_d117e9843
Deputirte	w5_d117e9846
den	w7_d117e9849
Herrn	w9_d117e9852
von	w11_d117e9855
Retzow,	w13_d117e9859
zu	w1_d117e9864
welchem	w3_d117e9867
sie	w5_d117e9870
bey	w7_d117e9873
ihrem	w9_d117e9876
Abschiede	w11_d117e9879
sag	w13_d117e9883
ten,	w1_d117e9888
daß	w3_d117e9891
man	w5_d117e9894
unmögliche	w7_d117e9897
Dinge	w9_d117e9900
von	w11_d117e9903
ihnen	w13_d117e9907
verlangte,	w1_d117e9912
und	w3_d117e9915
daß	w5_d117e9918
es	w7_d117e9921
der	w9_d117e9924
Ausgang	w11_d117e9927
zeigen	w13_d117e9931
würde.	w1_d117e9937
</p>
<head id="h2_d117e9944">
Dreßden	w1_d117e9948
27.	w3_d117e9951
Jan.	w5_d117e9954
</head>
<p id="p4_d117e9957">
Der	w1_d117e9961
König	w3_d117e9964
von	w5_d117e9967
Preußen	w7_d117e9970
haltet	w9_d117e9973
sich	w11_d117e9976
bey	w13_d117e9980
jetziger	w1_d117e9985
Wittnrung	w3_d117e9988
ganz	w5_d117e9991
inne,	w7_d117e9994
und	w9_d117e9997
arbeitet	w11_d117e10000
beständig	w1_d117e10005
mit	w3_d117e10008
seinen	w5_d117e10011
Ministern.	w7_d117e10014
Der	w9_d117e10017
Prinz	w11_d117e10020
von	w1_d117e10026
Preußen	w3_d117e10029
wie	w5_d117e10032
auch	w7_d117e10035
der	w9_d117e10038
Prinz	w11_d117e10041
Ferdinand	w13_d117e10045
befinden	w1_d117e10050
sich	w3_d117e10053
noch	w5_d117e10056
in	w7_d117e10059
Berlin.	w9_d117e10062
Von	w11_d117e10065
der	w13_d117e10069
Säch	w15_d117e10072
sischen	w1_d117e10077
Artillerie	w3_d117e10080
seynd	w5_d117e10083
in	w7_d117e10086
voriger	w9_d117e10089
Woche	w11_d117e10092
et	w13_d117e10096
lich	w1_d117e10101
20.	w3_d117e10104
Mann	w5_d117e10107
desertiret,	w7_d117e10110
davon	w9_d117e10113
man	w11_d117e10116
keinen	w13_d117e10120
wieder	w1_d117e10126
bekommen	w3_d117e10129
hat.	w5_d117e10132
Die	w7_d117e10135
hiesige	w9_d117e10138
Münze	w11_d117e10141
soll	w1_d117e10146
nach	w3_d117e10149
Leipzig	w5_d117e10152
verleget,	w7_d117e10155
und	w9_d117e10158
das	w11_d117e10161
Vorrats	w13_d117e10165
silber	w1_d117e10170
von	w3_d117e10173
Freyberg	w5_d117e10176
auch	w7_d117e10179
dahin	w9_d117e10182
geschaffet	w11_d117e10185
wer	w13_d117e10189
den.	w1_d117e10194
Jhre	w3_d117e10197
Majestät	w5_d117e10200
unsere	w7_d117e10203
allergnädigste	w9_d117e10206
Königin	w1_d117e10212
seynd	w3_d117e10215
wegen	w5_d117e10218
Unpäslichkeit	w7_d117e10221
schon	w9_d117e10224
2.	w11_d117e10227
Täge	w1_d117e10232
nicht	w3_d117e10235
aus	w5_d117e10238
dem	w7_d117e10241
Zimmer	w9_d117e10244
gekommen.	w11_d117e10247
Den	w13_d117e10251
24.	w1_d117e10256
als	w3_d117e10259
an	w5_d117e10262
des	w7_d117e10265
Königs	w9_d117e10268
von	w11_d117e10271
Preußen	w13_d117e10275
Geburts	w15_d117e10278
tag	w1_d117e10283
liessen	w3_d117e10286
Jhre	w5_d117e10289
Majestät	w7_d117e10292
die	w9_d117e10295
Königen,	w11_d117e10298
Se.	w13_d117e10302
Hoheit,	w1_d117e10308
der	w3_d117e10311
Chur=prinz,	w5_d117e10314
dessen	w7_d117e10317
Gemahlin	w9_d117e10320
