<doc id="wr_1760-05-03" attrs="word" year="1760" month="05" day="03" corpus="2">
<head id="h2_d446e3161">
Neu=pork	w1_d446e3165
von	w7_d446e6790
Alexandria	w9_d446e6793
kommend,	w11_d446e6796
sey	w1_d446e6801
zwar	w3_d446e6804
der	w5_d446e6807
Gefahr	w7_d446e6810
entgangen,	w9_d446e6813
aber	w11_d446e6816
bis	w13_d446e6820
nahe	w1_d446e6825
an	w3_d446e6828
den	w5_d446e6831
Hafen	w7_d446e6834
verfolget	w9_d446e6837
worden,	w11_d446e6840
da	w13_d446e6844
hingegen	w1_d446e6849
ein	w3_d446e6852
anderes	w5_d446e6855
dem	w7_d446e6858
berühmten	w9_d446e6861
Mar	w11_d446e6864
quis	w1_d446e6870
Roux	w3_d446e6873
de	w5_d446e6876
Corse	w7_d446e6879
zuständiges	w9_d446e6882
Schif,	w11_d446e6885
wel	w13_d446e6889
ches	w1_d446e6894
vor	w3_d446e6897
einiger	w5_d446e6900
Zeit	w7_d446e6903
wohlbeladen	w9_d446e6906
von	w11_d446e6909
St.	w13_d446e6913
Dominique	w1_d446e6918
zurückgekommen,	w3_d446e6921
seit	w5_d446e6924
kurzem	w7_d446e6927
aber	w1_d446e6932
mit	w3_d446e6935
einer	w5_d446e6938
Ladung	w7_d446e6941
von	w9_d446e6944
150000.	w11_d446e6947
Pfund	w13_d446e6951
wieder	w1_d446e6957
nach	w3_d446e6960
America	w5_d446e6963
zurückgehen	w7_d446e6966
wollen,	w9_d446e6969
am	w1_d446e6974
Ausfluß	w3_d446e6977
des	w5_d446e6980
Canals	w7_d446e6983
einem	w9_d446e6986
Engländi	w11_d446e6989
schen	w1_d446e6994
Caper	w3_d446e6997
in	w5_d446e7000
die	w7_d446e7003
Hände	w9_d446e7006
gefallen	w11_d446e7009
und	w13_d446e7013
weg	w15_d446e7016
genommen	w1_d446e7021
worden.	w3_d446e7024
Man	w5_d446e7027
meldet,	w7_d446e7030
daß	w9_d446e7033
die	w11_d446e7036
ses	w1_d446e7042
bereits	w3_d446e7045
das	w5_d446e7048
9te	w7_d446e7051
Schif	w9_d446e7054
wäre,	w11_d446e7057
so	w13_d446e7061
ermeld	w15_d446e7064
ter	w1_d446e7069
Herr	w3_d446e7072
Roux	w5_d446e7075
in	w7_d446e7078
gegenwärtigem	w9_d446e7081
Krieg	w11_d446e7084
ausgerüstet,	w1_d446e7089
und	w3_d446e7092
verloren.	w5_d446e7095
Fast	w7_d446e7098
zu	w9_d446e7101
gleicher	w11_d446e7104
Zeit	w1_d446e7109
sollen	w3_d446e7112
sich	w5_d446e7115
die	w7_d446e7118
Engländer	w9_d446e7121
eines	w11_d446e7124
andern	w13_d446e7128
von	w1_d446e7134
St.	w3_d446e7137
Domingue	w5_d446e7140
nach	w7_d446e7143
Bourdeaux	w9_d446e7146
bestimm	w11_d446e7149
ten	w1_d446e7154
Schiffes,	w3_d446e7157
dessen	w5_d446e7160
Ladung	w7_d446e7163
auf	w9_d446e7166
eine	w11_d446e7169
Mil	w13_d446e7173
lion	w1_d446e7178
geschätzet	w3_d446e7181
wird,	w5_d446e7184
bemächtiget	w7_d446e7187
haben.	w9_d446e7190
Laut	w1_d446e7195
Briefen	w3_d446e7198
aus	w5_d446e7201
Rouen	w7_d446e7204
vom	w9_d446e7207
8.,	w11_d446e7210
haben	w13_d446e7214
die	w15_d446e7217
regulaire	w1_d446e7223
Trupen,	w3_d446e7226
die	w5_d446e7229
sowol	w7_d446e7232
aus	w9_d446e7235
Bretagne,	w11_d446e7238
als	w1_d446e7243
der	w3_d446e7246
Normandie,	w5_d446e7249
nach	w7_d446e7252
Teutschland	w9_d446e7255
be	w11_d446e7258
stimmt	w1_d446e7263
gewesen,	w3_d446e7266
noch	w5_d446e7269
keine	w7_d446e7272
Befehle	w9_d446e7275
zum	w11_d446e7278
Aufbruch	w1_d446e7283
erhalten.	w3_d446e7286
</p>
<head id="h2_d446e7292">
Frankfurt	w1_d446e7296
25.	w3_d446e7299
April	w5_d446e7302
</head>
<p id="p4_d446e7305">
Jn	w1_d446e7309
abgewichener	w3_d446e7312
Nacht,	w5_d446e7315
kurz	w7_d446e7318
nach	w9_d446e7321
Mit	w11_d446e7324
ternacht,	w1_d446e7329
entstand	w3_d446e7332
dahier	w5_d446e7335
auf	w7_d446e7338
der	w9_d446e7341
sogenann	w11_d446e7344
ten	w1_d446e7349
Allerheiligen	w3_d446e7352
Gasse,	w5_d446e7355
unweit	w7_d446e7358
des	w9_d446e7361
Thors	w11_d446e7364
dieses	w1_d446e7370
Namens,	w3_d446e7373
eine	w5_d446e7376
gefährliche	w7_d446e7379
Feuers	w9_d446e7382
brunst.	w1_d446e7387
Da	w3_d446e7390
jederman	w5_d446e7393
im	w7_d446e7396
ersten	w9_d446e7399
Schlaf	w11_d446e7402
be	w13_d446e7406
griffen,	w1_d446e7411
hatte	w3_d446e7414
das	w5_d446e7417
Feuer	w7_d446e7420
so	w9_d446e7423
viel	w11_d446e7426
mehr	w13_d446e7430
Zeit	w15_d446e7433
um	w1_d446e7438
sich	w3_d446e7441
zu	w5_d446e7444
greiffen.	w7_d446e7447
Gleichwolen	w9_d446e7450
ward	w11_d446e7453
durch	w1_d446e7459
die	w3_d446e7462
guten	w5_d446e7465
Anstalten	w7_d446e7468
und	w9_d446e7471
geleistete	w11_d446e7474
trefliche	w1_d446e7479
Gegenwehr,	w3_d446e7482
wobey	w5_d446e7485
insonderheit	w7_d446e7488
die	w9_d446e7491
</p>
<p id="p10_d446e7504">
France,	w1_d446e7508
und	w3_d446e7511
die	w5_d446e7514
Ouvriers	w7_d446e7517
vom	w9_d446e7520
Corps	w11_d446e7523
Royal	w13_d446e7527
sehr	w1_d446e7532
gute	w3_d446e7535
Dienste	w5_d446e7538
geleistet,	w7_d446e7541
die	w9_d446e7544
Wuth	w11_d446e7547
der	w13_d446e7551
Flammen	w1_d446e7556
gegen	w3_d446e7559
Morgen	w5_d446e7562
gedämpfet.	w7_d446e7565
Der	w9_d446e7568
bey	w1_d446e7574
einen	w3_d446e7577
gegen	w5_d446e7580
Tag	w7_d446e7583
entstandenen	w9_d446e7586
heftigen	w11_d446e7589
Ungewitter	w1_d446e7594
gefallene	w3_d446e7597
starke	w5_d446e7600
Platz=regen	w7_d446e7603
hat	w9_d446e7606
zu	w1_d446e7611
Löschung	w3_d446e7614
der	w5_d446e7617
Glut	w7_d446e7620
nicht	w9_d446e7623
wenig	w11_d446e7626
beygetra	w13_d446e7630
gen.	w1_d446e7635
Jndessen	w3_d446e7638
sind	w5_d446e7641
doch	w7_d446e7644
5.	w9_d446e7647
bis	w11_d446e7650
6.	w13_d446e7654
Häuser,	w15_d446e7657
ohne	w1_d446e7663
die	w3_d446e7666
Hinter=gebäude	w5_d446e7669
zu	w7_d446e7672
rechnen,	w9_d446e7675
in	w11_d446e7678
die	w13_d446e7682
Asche	w1_d446e7687
gelegt	w3_d446e7690
worden.	w5_d446e7693
Verschiedene	w7_d446e7696
hohe	w9_d446e7699
Französische	w1_d446e7704
Herren	w3_d446e7707
Generals	w5_d446e7710
haben	w7_d446e7713
sich	w9_d446e7716
persönlich	w1_d446e7721
bey	w3_d446e7724
dem	w5_d446e7727
Feuer	w7_d446e7730
eingefunden,	w9_d446e7733
und	w11_d446e7736
Anstalten	w1_d446e7742
zur	w3_d446e7745
Rettung	w5_d446e7748
vorgekehret.	w7_d446e7751
Es	w9_d446e7754
lan	w11_d446e7757
gen	w1_d446e7762
noch	w3_d446e7765
immer	w5_d446e7768
Generals=personen	w7_d446e7771
bey	w9_d446e7774
der	w11_d446e7777
Französischen	w1_d446e7782
Armee	w3_d446e7785
an,	w5_d446e7788
wie	w7_d446e7791
dann	w9_d446e7794
vorge	w11_d446e7797
stern	w1_d446e7802
unter	w3_d446e7805
andern	w5_d446e7808
auch	w7_d446e7811
der	w9_d446e7814
nunmehrige	w11_d446e7817
Ge	w13_d446e7821
neral=leutenant,	w1_d446e7827
Herr	w3_d446e7830
Graf	w5_d446e7833
von	w7_d446e7836
Broglie,	w9_d446e7839
ebenfalls	w1_d446e7844
eingetroffen.	w3_d446e7847
</p>
<head id="h2_d446e7854">
Aus	w1_d446e7858
Thüringen	w3_d446e7861
21.	w5_d446e7864
April.	w7_d446e7867
</head>
<p id="p4_d446e7870">
Jn	w1_d446e7874
Langensalze	w3_d446e7877
ist	w5_d446e7880
dieser	w7_d446e7883
Tagen	w9_d446e7886
der	w11_d446e7889
Kö	w13_d446e7893
nigl.	w1_d446e7898
Preußische	w3_d446e7901
Rittmeister	w5_d446e7904
Kovatsch	w7_d446e7907
mit	w9_d446e7910
einem	w1_d446e7915
Commando	w3_d446e7918
von	w5_d446e7921
400.	w7_d446e7924
schwarzen	w9_d446e7927
Hus	w11_d446e7930
saren	w1_d446e7936
und	w3_d446e7939
Feld=jägern	w5_d446e7942
eingerückt.	w7_d446e7945
Das	w9_d446e7948
jetzige	w1_d446e7953
Daseyn	w3_d446e7956
derselben	w5_d446e7959
soll	w7_d446e7962
die	w9_d446e7965
Wegholung	w11_d446e7968
des	w1_d446e7973
Horn=viehes,	w3_d446e7976
daß,	w5_d446e7979
wo	w7_d446e7982
4.	w9_d446e7985
Stück	w11_d446e7988
ste	w13_d446e7992
ben,	w1_d446e7997
drey	w3_d446e8000
hinweg	w5_d446e8003
geführet,	w7_d446e8006
und	w9_d446e8009
eines	w11_d446e8012
dem	w13_d446e8016
Besitzer	w1_d446e8022
gelassen	w3_d446e8025
wird,	w5_d446e8028
betreffen,	w7_d446e8031
und	w9_d446e8034
so,	w11_d446e8037
wie	w1_d446e8042
man	w3_d446e8045
dabey	w5_d446e8048
sagt,	w7_d446e8051
wüssen	w9_d446e8054
auch	w11_d446e8057
Mägde	w13_d446e8061
zur	w1_d446e8066
Wartung	w3_d446e8069
mit	w5_d446e8072
gegeben	w7_d446e8075
werden,	w9_d446e8078
welches	w11_d446e8081
durch	w1_d446e8086
das	w3_d446e8089
Loosen	w5_d446e8092
geschiehet.	w7_d446e8095
Ein	w9_d446e8098
anderes	w11_d446e8101
Piquet	w1_d446e8107
dieser	w3_d446e8110
Trupen,	w5_d446e8113
so	w7_d446e8116
von	w9_d446e8119
dem	w11_d446e8122
Cornet	w13_d446e8126
Schuldhes	w1_d446e8131
geführet	w3_d446e8134
worden,	w5_d446e8137
hat	w7_d446e8140
aus	w9_d446e8143
Weis	w11_d446e8146
sensee	w1_d446e8151
den	w3_d446e8154
Amts=steuer=einnehmer	w5_d446e8157
Mitzer	w7_d446e8160
lich,	w1_d446e8165
und	w3_d446e8168
aus	w5_d446e8171
Wunderleben	w7_d446e8174
den	w9_d446e8177
Ritterguts	w11_d446e8180
pachter	w1_d446e8186
Barteleben,	w3_d446e8189
als	w5_d446e8192
Geiseln	w7_d446e8195
abgeholet,	w9_d446e8198
und	w1_d446e8203
nach	w3_d446e8206
Leipzig	w5_d446e8209
geführet.	w7_d446e8212
</p>
<p id="p6_d446e8215">
Gestern	w1_d446e8219
rückten	w3_d446e8222
von	w5_d446e8225
denen	w7_d446e8228
sogenannten	w9_d446e8231
Flanquers,	w1_d446e8236
so	w3_d446e8239
unter	w5_d446e8242
dem	w7_d446e8245
Rittmeister	w9_d446e8248
Ko	w11_d446e8251
batsch	w1_d446e8256
stehen,	w3_d446e8259
in	w5_d446e8262
Sömmern	w7_d446e8265
ein,	w9_d446e8268
und	w11_d446e8271
hau	w13_d446e8275
sten	w1_d446e8281
nicht	w3_d446e8284
zum	w5_d446e8287
besten;	w7_d446e8290
dem	w9_d446e8293
Burgermeister	w11_d446e8296
Rumann	w1_d446e8301
wurde	w3_d446e8304
die	w5_d446e8307
Uhr	w7_d446e8310
aus	w9_d446e8313
der	w11_d446e8316
Tasche	w13_d446e8320
genommen,	w1_d446e8325
und	w3_d446e8328
40.	w5_d446e8331
Rthl.	w7_d446e8334
von	w9_d446e8337
ihm	w11_d446e8340
erpres	w13_d446e8344
set;	w1_d446e8349
sogar	w3_d446e8352
die	w5_d446e8355
Leute	w7_d446e8358
unter	w9_d446e8361
Weges	w11_d446e8364
nicht	w13_d446e8368
ver	w15_d446e8371
</p>
<p id="p8_d446e8374">
schonet.	w1_d446e8378
Sie	w3_d446e8381
giengen	w5_d446e8384
von	w7_d446e8387
da	w9_d446e8390
auf	w11_d446e8393
Weisen	w13_d446e8397
see	w1_d446e8402
wiederum	w3_d446e8405
zurück,	w5_d446e8408
um	w7_d446e8411
Fourage	w9_d446e8414
einzu	w11_d446e8417
treiben.	w1_d446e8422
</p>
<head id="h2_d446e8428">
Toulon	w1_d446e8432
12.	w3_d446e8435
April.	w5_d446e8438
</head>
<p id="p4_d446e8441">
Die	w1_d446e8445
Fregatte,	w3_d446e8448
die	w5_d446e8451
Plejade,	w7_d446e8454
welche	w9_d446e8457
das	w11_d446e8460
widrige	w1_d446e8465
Wetter	w3_d446e8468
nöthigte,	w5_d446e8471
sich	w7_d446e8474
hier	w9_d446e8477
zu	w11_d446e8480
ver	w13_d446e8484
weilen,	w1_d446e8489
ist	w3_d446e8492
von	w5_d446e8495
Bome	w7_d446e8498
mit	w9_d446e8501
60.	w11_d446e8504
Küsten	w13_d446e8508
Co	w15_d446e8511
rallen,	w1_d446e8517
die	w3_d446e8520
nach	w5_d446e8523
Marseille	w7_d446e8526
für	w9_d446e8529
die	w11_d446e8532
Rech	w13_d446e8536
nung	w1_d446e8541
der	w3_d446e8544
Africanischen	w5_d446e8547
Gesellschaft	w7_d446e8550
gehö	w9_d446e8553
ren,	w1_d446e8558
in	w3_d446e8561
dem	w5_d446e8564
hiesigen	w7_d446e8567
Haven	w9_d446e8570
angelandet.	w11_d446e8573
Ehester	w1_d446e8578
Tagen	w3_d446e8581
wird	w5_d446e8584
dieses	w7_d446e8587
Schif	w9_d446e8590
nach	w11_d446e8593
seinem	w1_d446e8599
vollbrachten	w3_d446e8602
Geschäfte,	w5_d446e8605
mit	w7_d446e8608
einer	w9_d446e8611
Creutz=fuhr	w1_d446e8616
auf	w3_d446e8619
unsern	w5_d446e8622
Küsten,	w7_d446e8625
gleichsam	w9_d446e8628
seinen	w1_d446e8633
Feldzug	w3_d446e8636
anfangen.	w5_d446e8639
Das	w7_d446e8642
Schif	w9_d446e8645
die	w11_d446e8648
heilige	w1_d446e8653
Anna,	w3_d446e8656
so	w5_d446e8659
zu	w7_d446e8662
Genua	w9_d446e8665
erbauet	w11_d446e8668
wor	w13_d446e8672
den,	w1_d446e8678
und	w3_d446e8681
neulich	w5_d446e8684
von	w7_d446e8687
Lisabon	w9_d446e8690
zurück	w11_d446e8693
kehrete,	w13_d446e8697
hat	w1_d446e8702
einige	w3_d446e8705
Tage	w5_d446e8708
auf	w7_d446e8711
der	w9_d446e8714
hiesigen	w11_d446e8717
Rehde	w13_d446e8721
ge	w15_d446e8724
legen,	w1_d446e8729
und	w3_d446e8732
ist	w5_d446e8735
den	w7_d446e8738
7ten	w9_d446e8741
in	w11_d446e8744
unserm	w13_d446e8748
neuen	w15_d446e8751
Haven,	w1_d446e8756
um	w3_d446e8759
hier	w5_d446e8762
entwafnet	w7_d446e8765
zu	w9_d446e8768
werden,	w11_d446e8771
an	w13_d446e8775
gelanget.	w1_d446e8781
Es	w3_d446e8784
gehet	w5_d446e8787
ein	w7_d446e8790
allgemeines	w9_d446e8793
Ge	w11_d446e8796
spräch	w1_d446e8801
herum:	w3_d446e8804
daß	w5_d446e8807
der	w7_d446e8810
König	w9_d446e8813
dieses	w11_d446e8816
sehr	w13_d446e8820
schöne	w1_d446e8825
Schif	w3_d446e8828
habe	w5_d446e8831
kauffen	w7_d446e8834
lassen.	w9_d446e8837
Es	w11_d446e8840
ist	w13_d446e8844
denen	w1_d446e8849
Französischen	w3_d446e8852
Schiffen	w5_d446e8855
von	w7_d446e8858
64.	w9_d446e8861
Ca	w11_d446e8864
nonen	w1_d446e8870
gleich.	w3_d446e8873
Führet	w5_d446e8876
auch	w7_d446e8879
das	w9_d446e8882
nämliche	w11_d446e8885
Geschütze,	w1_d446e8890
und	w3_d446e8893
ist	w5_d446e8896
ein	w7_d446e8899
Muster	w9_d446e8902
von	w11_d446e8905
seiner	w13_d446e8909
Art.	w15_d446e8912
</p>
<head id="h2_d446e8918">
Londen	w1_d446e8922
19.	w3_d446e8925
April.	w5_d446e8928
</head>
<p id="p4_d446e8931">
Auf	w1_d446e8935
verschiedenen	w3_d446e8938
Zimmer=werften	w5_d446e8941
von	w7_d446e8944
Groß=brittanien	w1_d446e8949
zähllet	w3_d446e8952
man	w5_d446e8955
15.	w7_d446e8958
neue	w9_d446e8961
Schiffe,	w11_d446e8964
und	w1_d446e8969
noch	w3_d446e8972
mehr	w5_d446e8975
Fregatten,	w7_d446e8978
die	w9_d446e8981
sich	w11_d446e8984
bald	w13_d446e8988
auf	w15_d446e8991
der	w1_d446e8997
offenbaren	w3_d446e9000
See	w5_d446e9003
zeigen	w7_d446e9006
sollen.	w9_d446e9009
Man	w11_d446e9012
vernimmt,	w1_d446e9017
daß	w3_d446e9020
den	w5_d446e9023
15.	w7_d446e9026
März,	w9_d446e9029
der	w11_d446e9032
Admi	w13_d446e9036
ral	w1_d446e9041
Boscawen,	w3_d446e9044
in	w5_d446e9047
der	w7_d446e9050
Baye	w9_d446e9053
von	w11_d446e9056
Quiberon,	w13_d446e9060
mit	w1_d446e9065
dem	w3_d446e9068
Königlichen	w5_d446e9071
Wilhelm,	w7_d446e9074
dem	w9_d446e9077
Tor	w11_d446e9080
bey	w1_d446e9086
und	w3_d446e9089
dem	w5_d446e9092
Namur,	w7_d446e9095
auf	w9_d446e9098
denen	w11_d446e9101
Französischen	w13_d446e9105
Küsten	w1_d446e9110
eingeloffen	w3_d446e9113
seye.	w5_d446e9116
Er	w7_d446e9119
hat	w9_d446e9122
mit	w11_d446e9125
sei	w13_d446e9129
ner	w1_d446e9134
Escadre	w3_d446e9137
von	w5_d446e9140
Quiberon	w7_d446e9143
bis	w9_d446e9146
nach	w11_d446e9149
Croisit	w13_d446e9153
in	w1_d446e9158
Bretagne,	w3_d446e9161
10.	w5_d446e9164
Meilen	w7_d446e9167
lang,	w9_d446e9170
gegen	w11_d446e9173
Mit	w13_d446e9177
ternacht	w1_d446e9183
an	w3_d446e9186
dem	w5_d446e9189
Ausflusse	w7_d446e9192
der	w9_d446e9195
Loire,	w11_d446e9198
un	w13_d446e9202
geachtet	w1_d446e9207
der	w3_d446e9210
Wachtsamkeit	w5_d446e9213
der	w7_d446e9216
Franzosen,	w9_d446e9219
gleichsam	w1_d446e9224
eine	w3_d446e9227
Linie	w5_d446e9230
gezogen,	w7_d446e9233
um,	w9_d446e9236
woferne	w11_d446e9239
die	w1_d446e9244
flüchtige	w3_d446e9247
Schiffe	w5_d446e9250
aus	w7_d446e9253
der	w9_d446e9256
Vilaine	w11_d446e9259
in	w13_d446e9263
das	w15_d446e9266
Meer	w1_d446e9272
sich	w3_d446e9275
wagen,	w5_d446e9278
solche	w7_d446e9281
aufzufangen;	w9_d446e9284
man	w11_d446e9287
</p>
<p id="p10_d446e9300">
zweifelt	w1_d446e9304
aber,	w3_d446e9307
daß	w5_d446e9310
sie	w7_d446e9313
aus	w9_d446e9316
dem	w11_d446e9319
Fluße,	w13_d446e9323
ohne	w15_d446e9326
einen	w1_d446e9331
Wind=sturm,	w3_d446e9334
absegeln	w5_d446e9337
können,	w7_d446e9340
indem	w9_d446e9343
auf	w1_d446e9348
gleiche	w3_d446e9351
Art	w5_d446e9354
der	w7_d446e9357
Capitain	w9_d446e9360
Gambier,	w11_d446e9363
welcher	w1_d446e9369
mit	w3_d446e9372
6.	w5_d446e9375
Schiffen	w7_d446e9378
vor	w9_d446e9381
ihrem	w11_d446e9384
Ausflusse	w13_d446e9388
lag,	w1_d446e9393
davon	w3_d446e9396
weit	w5_d446e9399
entfernet	w7_d446e9402
worden.	w9_d446e9405
</p>
<p id="p12_d446e9409">
Den	w1_d446e9413
15.	w3_d446e9416
April	w5_d446e9419
hat	w7_d446e9422
sich	w9_d446e9425
das	w11_d446e9428
Parlament	w13_d446e9432
wieder	w1_d446e9437
versammelt.	w3_d446e9440
An	w5_d446e9443
diesem	w7_d446e9446
Tage	w9_d446e9449
hat	w11_d446e9452
auch	w1_d446e9457
die	w3_d446e9460
Königliche	w5_d446e9463
Commißion,	w7_d446e9466
die	w9_d446e9469
Bille	w11_d446e9472
von	w1_d446e9478
denen	w3_d446e9481
starken	w5_d446e9484
Getränken,	w7_d446e9487
nebst	w9_d446e9490
andern	w11_d446e9493
sowol	w1_d446e9498
allgemeinen,	w3_d446e9501
als	w5_d446e9504
besondern	w7_d446e9507
Billen,	w9_d446e9510
unterzeichnet.	w1_d446e9515
Den	w3_d446e9518
16.	w5_d446e9521
dieses	w7_d446e9524
wurde	w9_d446e9527
zum	w11_d446e9530
endlichen	w1_d446e9535
Proceß	w3_d446e9538
wider	w5_d446e9541
den	w7_d446e9544
Grafen	w9_d446e9547
von	w11_d446e9550
Ferrers,	w1_d446e9556
in	w3_d446e9559
einem,	w5_d446e9562
in	w7_d446e9565
dem	w9_d446e9568
Saale	w11_d446e9571
zu	w13_d446e9575
West	w15_d446e9578
münster	w1_d446e9583
deswegen	w3_d446e9586
besonders	w5_d446e9589
eingerichteten	w7_d446e9592
prächtigen	w1_d446e9597
Zimmer	w3_d446e9600
geschritten.	w5_d446e9603
Der	w7_d446e9606
Lord	w9_d446e9609
Henley	w1_d446e9614
wurde	w3_d446e9617
den	w5_d446e9620
15ten	w7_d446e9623
zum	w9_d446e9626
Oberaufse	w11_d446e9629
her	w1_d446e9635
dieses	w3_d446e9638
Blut=gerichts	w5_d446e9641
von	w7_d446e9644
dem	w9_d446e9647
Könige	w11_d446e9650
ernannt.	w1_d446e9655
</p>
<p id="p14_d446e9658">
Den	w1_d446e9662
17ten	w3_d446e9665
hat	w5_d446e9668
der	w7_d446e9671
Hof	w9_d446e9674
3.	w11_d446e9677
verschiedene	w13_d446e9681
Courirs	w1_d446e9686
erhalten,	w3_d446e9689
davon	w5_d446e9692
der	w7_d446e9695
eine	w9_d446e9698
von	w11_d446e9701
der	w13_d446e9705
alliirten	w1_d446e9710
Armee,	w3_d446e9713
der	w5_d446e9716
andere	w7_d446e9719
aber,	w9_d446e9722
von	w11_d446e9725
dem	w13_d446e9729
Herrn	w1_d446e9735
Mitschell,	w3_d446e9738
Englischen	w5_d446e9741
Gesandten	w7_d446e9744
bey	w9_d446e9747
dem	w1_d446e9752
König	w3_d446e9755
von	w5_d446e9758
Preussen,	w7_d446e9761
und	w9_d446e9764
der	w11_d446e9767
dritte	w13_d446e9771
aus	w1_d446e9776
dem	w3_d446e9779
Haag	w5_d446e9782
war.	w7_d446e9785
Die	w9_d446e9788
mitgebrachte	w11_d446e9791
Briefschaften	w1_d446e9796
wurden	w3_d446e9799
ungesäumt	w5_d446e9802
in	w7_d446e9805
einem	w9_d446e9808
grossen	w1_d446e9814
Staats=rathe	w3_d446e9817
erwogen.	w5_d446e9820
Die	w7_d446e9823
Ge	w9_d446e9826
rathschaften	w1_d446e9831
des	w3_d446e9834
Herzogs	w5_d446e9837
von	w7_d446e9840
York,	w9_d446e9843
wer	w11_d446e9846
den	w1_d446e9851
nunzu	w3_d446e9854
Portsmout,	w5_d446e9857
auf	w7_d446e9860
das	w9_d446e9863
Schif,	w11_d446e9866
das	w13_d446e9870
Jhro	w1_d446e9875
Königl.	w3_d446e9878
Hoheit	w5_d446e9881
commandiren	w7_d446e9884
werden.	w9_d446e9887
eingeladen.	w1_d446e9893
</p>
<p id="p16_d446e9896">
Den	w1_d446e9900
24.	w3_d446e9903
April	w5_d446e9906
wird	w7_d446e9909
sich	w9_d446e9912
das	w11_d446e9915
Königl.	w13_d446e9919
Haus	w1_d446e9924
von	w3_d446e9927
London	w5_d446e9930
nach	w7_d446e9933
Kensington	w9_d446e9936
und	w11_d446e9939
Kew	w1_d446e9944
erheben.	w3_d446e9947
Der	w5_d446e9950
Herzog	w7_d446e9953
von	w9_d446e9956
Cumber	w11_d446e9959
land	w1_d446e9965
ist	w3_d446e9968
von	w5_d446e9971
Neumarket	w7_d446e9974
wieder	w9_d446e9977
zuruck	w11_d446e9980
ge	w13_d446e9984
kommen.	w1_d446e9989
Man	w3_d446e9992
macht	w5_d446e9995
ein	w7_d446e9998
grosses	w9_d446e10001
Geheim	w11_d446e10004
nuß	w1_d446e10009
aus	w3_d446e10012
der	w5_d446e10015
Bestimmung	w7_d446e10018
der	w9_d446e10021
starken	w11_d446e10024
Ef	w13_d446e10028
cadre;	w1_d446e10033
es	w3_d446e10036
ist	w5_d446e10039
blos	w7_d446e10042
eine	w9_d446e10045
Muthmassung,	w11_d446e10048
daß	w13_d446e10052
sie	w1_d446e10058
nach	w3_d446e10061
Minorca	w5_d446e10064
absegeln	w7_d446e10067
soll.	w9_d446e10070
</p>
<p id="p18_d446e10073">
Der	w1_d446e10077
Proceß	w3_d446e10080
des	w5_d446e10083
Lords	w7_d446e10086
Sakwille	w9_d446e10089
ist	w11_d446e10092
dem	w13_d446e10096
Könige	w1_d446e10101
übergeben.	w3_d446e10104
Das	w5_d446e10107
gemeine	w7_d446e10110
Wesen	w9_d446e10113
ist	w1_d446e10118
wider	w3_d446e10121
diesen	w5_d446e10124
Lord	w7_d446e10127
im	w9_d446e10130
Eyfer;	w11_d446e10133
dahero	w13_d446e10137
glaubt	w1_d446e10143
man,	w3_d446e10146
daß	w5_d446e10149
der	w7_d446e10152
König	w9_d446e10155
ihn	w11_d446e10158
mit	w13_d446e10162
einer	w15_d446e10165
</p>
<p id="p20_d446e10168">
Soldaten=straffe	w1_d446e10172
nicht	w3_d446e10175
wol	w5_d446e10178
verschonen	w7_d446e10181
könne.	w9_d446e10184
Er	w1_d446e10189
ist	w3_d446e10192
bereits	w5_d446e10195
überzeigt:	w7_d446e10198
daß	w9_d446e10201
er	w11_d446e10204
die	w13_d446e10208
Be	w15_d446e10211
fehle	w1_d446e10216
des	w3_d446e10219
Prinzen	w5_d446e10222
Ferdinands	w7_d446e10225
nicht	w9_d446e10228
vollzo	w11_d446e10231
gen	w1_d446e10237
habe.	w3_d446e10240
</p>
<head id="h2_d446e10246">
Cassel	w1_d446e10250
21.	w3_d446e10253
April.	w5_d446e10256
</head>
<p id="p4_d446e10259">
Seine	w1_d446e10263
Majestät,	w3_d446e10266
der	w5_d446e10269
König	w7_d446e10272
von	w9_d446e10275
Preus	w11_d446e10278
sen,	w1_d446e10283
haben	w3_d446e10286
Se.	w5_d446e10289
Hochfürstl.	w7_d446e10292
Durchl.	w9_d446e10295
den	w11_d446e10298
regierenden	w1_d446e10303
Herrn	w3_d446e10306
Land=grafen	w5_d446e10309
von	w7_d446e10312
Hessen	w9_d446e10315
cassel,	w1_d446e10321
zu	w3_d446e10324
Dero	w5_d446e10327
Feld=marschall	w7_d446e10330
erkläret,	w9_d446e10333
und	w1_d446e10338
demselben	w3_d446e10341
das	w5_d446e10344
darüber	w7_d446e10347
ausgefertigte	w9_d446e10350
Patent,	w1_d446e10355
durch	w3_d446e10358
den	w5_d446e10361
Herrn	w7_d446e10364
Flügel=adjutant	w9_d446e10367
und	w1_d446e10372
Hauptmann	w3_d446e10375
Grafen	w5_d446e10378
von	w7_d446e10381
Schwerin	w9_d446e10384
über	w11_d446e10387
senden	w1_d446e10393
lassen,	w3_d446e10396
welcher	w5_d446e10399
von	w7_d446e10402
Sr.	w9_d446e10405
Hochfürst	w11_d446e10408
lichen	w1_d446e10413
Durchlaucht,	w3_d446e10416
bey	w5_d446e10419
seiner	w7_d446e10422
Abreise	w9_d446e10425
von	w11_d446e10428
hier,	w1_d446e10433
mit	w3_d446e10436
einer	w5_d446e10439
kostbaren	w7_d446e10442
