<doc id="wr_1759-06-06" attrs="word" year="1759" month="06" day="06" corpus="2">
<head id="h2_d354e3045">
Petersburg	w1_d354e3049
in	w11_d354e6634
voriger	w13_d354e6638
Woche	w15_d354e6641
noch	w17_d354e6644
die	w1_d354e6649
Weg=nehmung	w3_d354e6652
deren	w5_d354e6655
Geisseln	w7_d354e6658
von	w9_d354e6661
der	w11_d354e6664
Rit	w13_d354e6668
terschaft	w1_d354e6673
fortgedauret,	w3_d354e6676
und	w5_d354e6679
ein	w7_d354e6682
Feld=jäger	w9_d354e6685
unter	w1_d354e6690
Bedeckung	w3_d354e6693
von	w5_d354e6696
6.	w7_d354e6699
Hussaren	w9_d354e6702
sich	w11_d354e6705
heraus	w13_d354e6709
genommen,	w1_d354e6715
den	w3_d354e6718
engern	w5_d354e6721
Ausschuß	w7_d354e6724
von	w9_d354e6727
Ro	w11_d354e6730
stock	w1_d354e6735
nach	w3_d354e6738
Güstrow	w5_d354e6741
zu	w7_d354e6744
citiren.	w9_d354e6747
Wie	w11_d354e6750
man	w13_d354e6754
dann	w1_d354e6759
eben	w3_d354e6762
jetzo	w5_d354e6765
ganz	w7_d354e6768
unverläßig	w9_d354e6771
erfahrt,	w11_d354e6774
daß	w13_d354e6778
noch	w1_d354e6783
6.	w3_d354e6786
Preußische	w5_d354e6789
Kriegs=commissarien,	w7_d354e6792
je	w9_d354e6795
der	w1_d354e6801
mit	w3_d354e6804
Hussarischen	w5_d354e6807
Executanten	w7_d354e6810
zu	w9_d354e6813
Beytrei	w11_d354e6816
bung	w1_d354e6821
der	w3_d354e6824
geforderten	w5_d354e6827
restirenden	w7_d354e6830
Fourage	w9_d354e6833
in	w11_d354e6836
dieser	w1_d354e6841
Woche	w3_d354e6844
ins	w5_d354e6847
Land	w7_d354e6850
kommen	w9_d354e6853
sollen.	w11_d354e6856
Aus	w13_d354e6860
dem	w1_d354e6865
benachbarten	w3_d354e6868
Pommern	w5_d354e6871
hat	w7_d354e6874
man	w9_d354e6877
die	w11_d354e6880
Nachricht,	w1_d354e6886
daß	w3_d354e6889
die	w5_d354e6892
Schweden	w7_d354e6895
bis	w9_d354e6898
Loitz	w11_d354e6901
wie	w13_d354e6905
der	w1_d354e6910
vorgerücket	w3_d354e6913
wären,	w5_d354e6916
aber	w7_d354e6919
die	w9_d354e6922
Peene	w11_d354e6925
noch	w13_d354e6929
nicht	w1_d354e6934
hätten	w3_d354e6937
paßiren	w5_d354e6940
können,	w7_d354e6943
weil	w9_d354e6946
die	w11_d354e6949
Preus	w13_d354e6953
sen	w1_d354e6958
die	w3_d354e6961
Brücken	w5_d354e6964
über	w7_d354e6967
diesen	w9_d354e6970
Fluß	w11_d354e6973
theils	w13_d354e6977
abge	w15_d354e6980
hauen,	w1_d354e6986
theils	w3_d354e6989
aber	w5_d354e6992
verbrannt	w7_d354e6995
haben.	w9_d354e6998
</p>
<head id="h2_d354e7004">
Brest	w1_d354e7008
13.	w3_d354e7011
May.	w5_d354e7014
</head>
<p id="p4_d354e7017">
Die	w1_d354e7021
4.	w3_d354e7024
Schiffe	w5_d354e7027
von	w7_d354e7030
Orient	w9_d354e7033
werden	w11_d354e7036
alle	w13_d354e7040
Au	w15_d354e7043
genblick	w1_d354e7048
erwartet.	w3_d354e7051
Die	w5_d354e7054
jüngsthin	w7_d354e7057
von	w9_d354e7060
Roche	w11_d354e7063
fort	w1_d354e7068
angelangte	w3_d354e7071
2.	w5_d354e7074
Fregaten	w7_d354e7077
und	w9_d354e7080
Schiffe	w11_d354e7083
sind	w13_d354e7087
unter	w1_d354e7093
Seegel	w3_d354e7096
gegangen,	w5_d354e7099
um	w7_d354e7102
der	w9_d354e7105
Convoy	w11_d354e7108
von	w1_d354e7113
Lebens=mitteln	w3_d354e7116
entgegen	w5_d354e7119
zu	w7_d354e7122
gehen,	w9_d354e7125
die	w11_d354e7128
man	w1_d354e7133
von	w3_d354e7136
Bourdeaux	w5_d354e7139
für	w7_d354e7142
unsere	w9_d354e7145
Flotte	w11_d354e7148
erwar	w13_d354e7152
tet,	w1_d354e7157
welche	w3_d354e7160
den	w5_d354e7163
20.	w7_d354e7166
Dieses	w9_d354e7169
in	w11_d354e7172
Seegelferti	w13_d354e7176
gem	w1_d354e7182
Stande	w3_d354e7185
seyn	w5_d354e7188
wird.	w7_d354e7191
Zu	w9_d354e7194
Rochefort	w11_d354e7197
müs	w13_d354e7201
sen	w1_d354e7206
5.	w3_d354e7209
Canonier=chaloupen,	w5_d354e7212
und	w7_d354e7215
eben	w9_d354e7218
so	w11_d354e7221
viele	w13_d354e7225
zu	w1_d354e7230
Kugeln	w3_d354e7233
armiret	w5_d354e7236
werden.	w7_d354e7239
Zu	w9_d354e7242
Havre	w11_d354e7245
de	w13_d354e7249
Grace	w1_d354e7254
wird	w3_d354e7257
mit	w5_d354e7260
dem	w7_d354e7263
grösten	w9_d354e7266
Eifer	w11_d354e7269
von	w13_d354e7273
2000.	w15_d354e7276
Arbeitern	w1_d354e7282
an	w3_d354e7285
Erbauung	w5_d354e7288
150.	w7_d354e7291
platier	w9_d354e7294
Schif	w11_d354e7297
fe,	w1_d354e7302
die	w3_d354e7305
100.	w5_d354e7308
Schuhe	w7_d354e7311
lang,	w9_d354e7314
24.	w11_d354e7317
breit,	w13_d354e7321
und	w15_d354e7324
10.	w1_d354e7329
tief	w3_d354e7332
seyn	w5_d354e7335
werden,	w7_d354e7338
gearbeitet.	w9_d354e7341
Diese	w11_d354e7344
Schiffe	w1_d354e7349
werden	w3_d354e7352
Verdecke	w5_d354e7355
haben,	w7_d354e7358
und	w9_d354e7361
mit	w11_d354e7364
Seegeln	w1_d354e7370
und	w3_d354e7373
Rudern	w5_d354e7376
gehen.	w7_d354e7379
Jedes	w9_d354e7382
dersel	w11_d354e7385
ben	w1_d354e7390
</p>
<p id="p8_d354e7395">
ben	w1_d354e7399
wird	w3_d354e7402
2.	w5_d354e7405
Canonen	w7_d354e7408
haben;	w9_d354e7411
auf	w11_d354e7414
denenselben	w13_d354e7418
werden	w1_d354e7423
zum	w3_d354e7426
Theil	w5_d354e7429
Jnfanterie,	w7_d354e7432
zum	w9_d354e7435
Theil	w11_d354e7438
Cavallerie	w1_d354e7443
eingeschiffet	w3_d354e7446
werden.	w5_d354e7449
Die	w7_d354e7452
erstern	w9_d354e7455
werden	w1_d354e7461
300.	w3_d354e7464
Mann	w5_d354e7467
nebst	w7_d354e7470
ihren	w9_d354e7473
Bagagen,	w11_d354e7476
und	w1_d354e7481
die	w3_d354e7484
letzteren	w5_d354e7487
50.	w7_d354e7490
Reiter	w9_d354e7493
am	w11_d354e7496
Bord	w13_d354e7500
neh	w15_d354e7503
men.	w1_d354e7508
Zu	w3_d354e7511
dieser	w5_d354e7514
Arbeit	w7_d354e7517
werden	w9_d354e7520
wochentlich	w11_d354e7523
100000.	w1_d354e7528
Livres	w3_d354e7531
bezahlt.	w5_d354e7534
Eine	w7_d354e7537
gleiche	w9_d354e7540
An	w11_d354e7543
zahl	w1_d354e7549
von	w3_d354e7552
eben	w5_d354e7555
dergleichen	w7_d354e7558
Schiffen	w9_d354e7561
wird	w11_d354e7564
theils	w13_d354e7568
allhier,	w1_d354e7573
theile	w3_d354e7576
zu	w5_d354e7579
St.	w7_d354e7582
Malo,	w9_d354e7585
Nantes,	w11_d354e7588
Orient,	w13_d354e7592
Morlaix,	w1_d354e7597
und	w3_d354e7600
anderen	w5_d354e7603
Höfen	w7_d354e7606
von	w9_d354e7609
Bretagne	w11_d354e7612
erbauet.	w1_d354e7617
Diese	w3_d354e7620
ganze	w5_d354e7623
Armee	w7_d354e7626
muß	w9_d354e7629
im	w11_d354e7632
Stande	w13_d354e7636
seyn,	w1_d354e7642
mit	w3_d354e7645
der	w5_d354e7648
Flotte	w7_d354e7651
des	w9_d354e7654
Marschalls	w11_d354e7657
von	w13_d354e7661
Conflans	w1_d354e7666
abzufahren.	w3_d354e7669
</p>
<head id="h2_d354e7675">
Niederselbe	w1_d354e7679
16.	w3_d354e7682
May.	w5_d354e7685
</head>
<p id="p4_d354e7688">
Die	w1_d354e7692
Annäherung	w3_d354e7695
der	w5_d354e7698
Rußischen	w7_d354e7701
Armee	w9_d354e7704
gegen	w1_d354e7709
Pommern	w3_d354e7712
hat	w5_d354e7715
auch	w7_d354e7718
den	w9_d354e7721
Aufbruch	w11_d354e7724
der	w13_d354e7728
jenigen	w1_d354e7733
Trupen	w3_d354e7736
veranlasset,	w5_d354e7739
welche	w7_d354e7742
bisher	w9_d354e7745
noch	w1_d354e7751
in	w3_d354e7754
dem	w5_d354e7757
Königl.	w7_d354e7760
Schwedischen	w9_d354e7763
Antheil	w11_d354e7766
gestanden.	w1_d354e7771
Schon	w3_d354e7774
den	w5_d354e7777
7.	w7_d354e7780
brach	w9_d354e7783
die	w11_d354e7786
Avant	w13_d354e7790
garde	w1_d354e7795
auf,	w3_d354e7798
die	w5_d354e7801
aus	w7_d354e7804
2.	w9_d354e7807
Jnfanterieregimen	w11_d354e7810
tern,	w1_d354e7815
4.	w3_d354e7818
Escadron	w5_d354e7821
Cavallerie,	w7_d354e7824
und	w9_d354e7827
eben	w11_d354e7830
so	w13_d354e7834
vielen	w1_d354e7840
Hussaren	w3_d354e7843
bestund.	w5_d354e7846
Den	w7_d354e7849
13.	w9_d354e7852
kamen	w11_d354e7855
die	w13_d354e7859
meiste	w1_d354e7864
Trupen	w3_d354e7867
aus	w5_d354e7870
dem	w7_d354e7873
Mecklenburgischen	w9_d354e7876
zuruck,	w1_d354e7881
und	w3_d354e7884
sogleich	w5_d354e7887
setzte	w7_d354e7890
sich	w9_d354e7893
auch	w11_d354e7896
das	w13_d354e7900
gan	w15_d354e7903
ze	w1_d354e7908
Corps	w3_d354e7911
bis	w5_d354e7914
auf	w7_d354e7917
einige	w9_d354e7920
1000.	w11_d354e7923
Mann	w13_d354e7927
Jn	w15_d354e7930
fanterie	w1_d354e7936
und	w3_d354e7939
Cavallerie	w5_d354e7942
in	w7_d354e7945
Bewegung.	w9_d354e7948
Alles	w11_d354e7951
gehet	w1_d354e7956
dem	w3_d354e7959
Vernehmen	w5_d354e7962
nach	w7_d354e7965
gegen	w9_d354e7968
Stettin,	w11_d354e7971
um	w1_d354e7976
sich	w3_d354e7979
denen	w5_d354e7982
Russen	w7_d354e7985
zu	w9_d354e7988
widersetzen.	w11_d354e7991
Der	w13_d354e7995
Hr.	w1_d354e8000
General	w3_d354e8003
von	w5_d354e8006
Schlaberndorf	w7_d354e8009
führt	w9_d354e8012
einst	w11_d354e8015
weilen	w1_d354e8021
das	w3_d354e8024
Commando,	w5_d354e8027
und	w7_d354e8030
falls	w9_d354e8033
der	w11_d354e8036
Gene	w13_d354e8040
ral	w1_d354e8045
von	w3_d354e8048
Manteuffel	w5_d354e8051
genöhtiget	w7_d354e8054
seyn	w9_d354e8057
sollte,	w11_d354e8060
gegen	w1_d354e8065
die	w3_d354e8068
Russen	w5_d354e8071
aufzubrechen,	w7_d354e8074
so	w9_d354e8077
wird	w11_d354e8080
über	w13_d354e8084
die	w1_d354e8089
bey	w3_d354e8092
Stettin	w5_d354e8095
um	w7_d354e8098
Damgarten	w9_d354e8101
stehen	w11_d354e8104
geblie	w13_d354e8108
bene	w1_d354e8114
Trupen	w3_d354e8117
der	w5_d354e8120
General	w7_d354e8123
v.	w9_d354e8126
Kleist	w11_d354e8129
das	w13_d354e8133
Com	w15_d354e8136
mando	w1_d354e8141
führen.	w3_d354e8144
An	w5_d354e8147
Transportirung	w7_d354e8150
des	w9_d354e8153
Ma	w11_d354e8156
gazins	w1_d354e8161
zu	w3_d354e8164
Greifswalde	w5_d354e8167
und	w7_d354e8170
Grimm	w9_d354e8173
wird	w11_d354e8176
un	w13_d354e8180
aufhörlich	w1_d354e8185
gearbeitet.	w3_d354e8188
Das	w5_d354e8191
Unglück,	w7_d354e8194
welches	w9_d354e8197
sich	w1_d354e8203
bey	w3_d354e8206
dem	w5_d354e8209
Auffliegen	w7_d354e8212
des	w9_d354e8215
Laboratorii	w11_d354e8218
an	w13_d354e8222
er	w15_d354e8225
sten	w1_d354e8230
Orten	w3_d354e8233
jüngsthin	w5_d354e8236
ereignet,	w7_d354e8239
ist	w9_d354e8242
weit	w11_d354e8245
grös	w13_d354e8249
ser,	w1_d354e8254
als	w3_d354e8257
man	w5_d354e8260
Anfangs	w7_d354e8263
vorgegeben.	w9_d354e8266
Es	w11_d354e8269
seynd	w13_d354e8273
nicht	w1_d354e8278
nur	w3_d354e8281
40.	w5_d354e8284
Centner	w7_d354e8287
Pulfer	w9_d354e8290
in	w11_d354e8293
die	w13_d354e8297
Luft	w15_d354e8300
ge	w17_d354e8303
flogen,	w1_d354e8309
sondern	w3_d354e8312
auch	w5_d354e8315
8.	w7_d354e8318
Häuser	w9_d354e8321
abgebrannt,	w11_d354e8324
und	w1_d354e8329
30.	w3_d354e8332
ruinirt	w5_d354e8335
worden.	w7_d354e8338
Die	w9_d354e8341
St.	w11_d354e8344
Marien	w13_d354e8348
</p>
<p id="p6_d354e8351">
kirche	w1_d354e8355
ligt	w3_d354e8358
gänzlich	w5_d354e8361
darnieder,	w7_d354e8364
die	w9_d354e8367
Fenster	w11_d354e8370
und	w1_d354e8375
Dächer	w3_d354e8378
eines	w5_d354e8381
Viertels	w7_d354e8384
der	w9_d354e8387
Stadt	w11_d354e8390
seynd	w13_d354e8394
zerbrochen,	w1_d354e8399
16.	w3_d354e8402
Mann	w5_d354e8405
vom	w7_d354e8408
Artillerie=corps,	w9_d354e8411
und	w1_d354e8417
60.	w3_d354e8420
Bürger	w5_d354e8423
getödtet,	w7_d354e8426
und	w9_d354e8429
eine	w11_d354e8432
noch	w13_d354e8436
weit	w15_d354e8439
grössere	w1_d354e8444
Anzahl	w3_d354e8447
bleßiret	w5_d354e8450
worden.	w7_d354e8453
</p>
<head id="h2_d354e8459">
Posen	w1_d354e8463
13.	w3_d354e8466
May.	w5_d354e8469
</head>
<p id="p4_d354e8472">
Das	w1_d354e8476
Corps	w3_d354e8479
Rußischer	w5_d354e8482
Trupen,	w7_d354e8485
welches	w9_d354e8488
in	w1_d354e8493
dieses	w3_d354e8496
Palatinat	w5_d354e8499
eingerückt,	w7_d354e8502
und	w9_d354e8505
bereits	w11_d354e8508
die	w1_d354e8513
Warte	w3_d354e8516
paßirt	w5_d354e8519
ist,	w7_d354e8522
bestehet	w9_d354e8525
aus	w11_d354e8528
10.	w13_d354e8532
bis	w15_d354e8535
12000.	w1_d354e8541
Mann.	w3_d354e8544
Die	w5_d354e8547
leichte	w7_d354e8550
Trupen	w9_d354e8553
dersel	w11_d354e8556
ben	w1_d354e8561
streiffen	w3_d354e8564
bereits	w5_d354e8567
an	w7_d354e8570
die	w9_d354e8573
Gränze	w11_d354e8576
Schle	w13_d354e8580
siens.	w1_d354e8585
Es	w3_d354e8588
befindet	w5_d354e8591
sich	w7_d354e8594
auch	w9_d354e8597
ein	w11_d354e8600
starkes	w13_d354e8604
Corps	w15_d354e8607
von	w1_d354e8612
Thorn	w3_d354e8615
herunter	w5_d354e8618
im	w7_d354e8621
Anmarsch.	w9_d354e8624
Bey	w11_d354e8627
Glo	w13_d354e8631
gau	w1_d354e8637
soll	w3_d354e8640
indessen	w5_d354e8643
ein	w7_d354e8646
Corpp	w9_d354e8649
von	w11_d354e8652
15000.	w13_d354e8656
Mann	w1_d354e8661
Preussen	w3_d354e8664
stehen,	w5_d354e8667
um	w7_d354e8670
erstern	w9_d354e8673
entge	w11_d354e8676
gen	w1_d354e8681
zu	w3_d354e8684
marschiren.	w5_d354e8687
Der	w7_d354e8690
General	w9_d354e8693
von	w11_d354e8696
Wobersnow	w1_d354e8701
führt	w3_d354e8704
das	w5_d354e8707
Commando,	w7_d354e8710
und	w9_d354e8713
soll	w1_d354e8719
im	w3_d354e8722
bedörfenden	w5_d354e8725
Fall	w7_d354e8728
Verstärkung	w9_d354e8731
von	w11_d354e8734
der	w1_d354e8739
Armee	w3_d354e8742
des	w5_d354e8745
Königs	w7_d354e8748
zu	w9_d354e8751
gewarten	w11_d354e8754
haben.	w13_d354e8758
</p>
<head id="h2_d354e8764">
Kurz=gefaßte	w1_d354e8768
Nachrichten	w3_d354e8771
von	w1_d354e8776
verschiedenen	w3_d354e8779
Orten.	w5_d354e8782
Man	w1_d354e8787
vernihmt	w3_d354e8790
</head>
<p id="p4_d354e8793">
Von	w1_d354e8797
Hamburg:	w3_d354e8800
daß	w5_d354e8803
Se.	w7_d354e8806
Durchl.	w9_d354e8809
der	w11_d354e8812
Herzog	w1_d354e8817
von	w3_d354e8820
Mecklenburg	w5_d354e8823
den	w7_d354e8826
22.	w9_d354e8829
May	w11_d354e8832
wie	w13_d354e8836
derum	w1_d354e8841
von	w3_d354e8844
Altona	w5_d354e8847
nach	w7_d354e8850
dero	w9_d354e8853
Residenz	w11_d354e8856
Schwe	w13_d354e8860
rin	w1_d354e8866
zuruck	w3_d354e8869
abgereiset	w5_d354e8872
seyen.	w7_d354e8875
</p>
<p id="p6_d354e8878">
Von	w1_d354e8882
Marseille:	w3_d354e8885
daß	w5_d354e8888
die	w7_d354e8891
seit	w9_d354e8894
einiger	w11_d354e8897
Zeit	w1_d354e8902
vor	w3_d354e8905
der	w5_d354e8908
Rhede	w7_d354e8911
von	w9_d354e8914
Toulon	w11_d354e8917
sich	w13_d354e8921
befun	w15_d354e8924
dene	w1_d354e8929
Engländische	w3_d354e8932
Flotte	w5_d354e8935
den	w7_d354e8938
13.	w9_d354e8941
May	w11_d354e8944
ein	w13_d354e8948
so	w1_d354e8954
heftiger	w3_d354e8957
Sturm	w5_d354e8960
betroffen	w7_d354e8963
habe,	w9_d354e8966
daß	w11_d354e8969
seit	w13_d354e8973
hero	w1_d354e8978
in	w3_d354e8981
dasigen	w5_d354e8984
Gegenden	w7_d354e8987
von	w9_d354e8990
derselben	w11_d354e8993
nichtes	w1_d354e8998
mehr	w3_d354e9001
zu	w5_d354e9004
sehen	w7_d354e9007
noch	w9_d354e9010
zu	w11_d354e9013
hören	w13_d354e9017
seye.	w15_d354e9020
</p>
<p id="p8_d354e9023">
Se.	w1_d354e9027
Königl.	w3_d354e9030
Majest.	w5_d354e9033
von	w7_d354e9036
Schweden	w9_d354e9039
sind	w1_d354e9044
nebst	w3_d354e9047
der	w5_d354e9050
ganzen	w7_d354e9053
Königl.	w9_d354e9056
Famille	w11_d354e9059
den	w13_d354e9063
7ten	w1_d354e9068
dieses,	w3_d354e9071
nach	w5_d354e9074
Drottningholm	w7_d354e9077
abgereisel.	w9_d354e9080
Zu	w1_d354e9086
Gothenburg	w3_d354e9089
hat	w5_d354e9092
man	w7_d354e9095
eine	w9_d354e9098
Person	w11_d354e9101
arre	w13_d354e9105
tirt,	w1_d354e9110
die	w3_d354e9113
wegen	w5_d354e9116
Werbung	w7_d354e9119
für	w9_d354e9122
eine	w11_d354e9125
aubs	w13_d354e9129
wärtige	w1_d354e9134
Potenz	w3_d354e9137
verdächtig	w5_d354e9140
war.	w7_d354e9143
</p>
<p id="p10_d354e9146">
Von	w1_d354e9150
der	w3_d354e9153
Königl.	w5_d354e9156
Preußischen	w7_d354e9159
Armee	w9_d354e9162
in	w11_d354e9165
Pommern,	w1_d354e9170
über	w3_d354e9173
welche	w5_d354e9176
dermalen	w7_d354e9179
der	w9_d354e9182
Herr	w11_d354e9185
General=leutenant	w1_d354e9190
von	w3_d354e9193
Monteufel	w5_d354e9196
das	w7_d354e9199
</p>
<p id="p16_d354e9213">
Commando	w1_d354e9217
führet,	w3_d354e9220
weil	w5_d354e9223
der	w7_d354e9226
Herr	w9_d354e9229
General	w11_d354e9232
lutenant,	w1_d354e9237
Burggraf,	w3_d354e9240
und	w5_d354e9243
Graf	w7_d354e9246
zu	w9_d354e9249
Dohna,	w11_d354e9252
mit	w1_d354e9257
Bewilligung	w3_d354e9260
Sr.	w5_d354e9263
Königl.	w7_d354e9266
Majestät	w9_d354e9269
zu	w11_d354e9272
Eholung	w1_d354e9278
seiner	w3_d354e9281
Gesundheit	w5_d354e9284
nach	w7_d354e9287
Berlin	w9_d354e9290
abgereiset,	w1_d354e9295
hat	w3_d354e9298
man	w5_d354e9301
dermalen	w7_d354e9304
keine	w9_d354e9307
erhebliche	w11_d354e9310
Nachrichten.	w1_d354e9315
</p>
<head id="h2_d354e9321">
Wien	w1_d354e9325
den	w3_d354e9328
6.	w5_d354e9331
Junii	w7_d354e9334
1759.	w9_d354e9337
</head>
<p id="p4_d354e9340">
Samstag	w1_d354e9344
den	w3_d354e9347
2.	w5_d354e9350
Junii	w7_d354e9353
seynd	w9_d354e9356
für	w11_d354e9359
nach	w13_d354e9363
folgende	w1_d354e9368
Hoch=adeliche	w3_d354e9371
Sternkreuz	w5_d354e9374
ordens=damen,	w1_d354e9379
benanntlich	w3_d354e9382
(Titl.)	w5_d354e9385
Frau	w7_d354e9388
Maria	w1_d354e9394
Rosa	w3_d354e9397
Gräfin	w5_d354e9400
von	w7_d354e9403
Hardegg,	w9_d354e9406
ge	w11_d354e9409
borne	w1_d354e9414
Gräfin	w3_d354e9417
von	w5_d354e9420
Cavriani,	w7_d354e9423
welche	w9_d354e9426
zu	w11_d354e9429
Wien	w13_d354e9433
den	w1_d354e9438
13.	w3_d354e9441
May	w5_d354e9444
lauffenden	w7_d354e9447
Jahrs	w9_d354e9450
in	w11_d354e9453
GOtt	w13_d354e9457
seelig	w1_d354e9462
verschieden;	w3_d354e9465
dann	w5_d354e9468
für	w7_d354e9471
(Titl.)	w9_d354e9474
Ma	w11_d354e9477
ria	w1_d354e9483
Augusta	w3_d354e9486
Gräfin	w5_d354e9489
von	w7_d354e9492
Kinsky,	w9_d354e9495
geborne	w11_d354e9498
Gräfin	w1_d354e9503
von	w3_d354e9506
Palfy,	w5_d354e9509
so	w7_d354e9512
zu	w9_d354e9515
Prag	w11_d354e9518
den	w13_d354e9522
3.	w15_d354e9525
Martii	w1_d354e9530
1759.	w3_d354e9533
das	w5_d354e9536
Zeitliche	w7_d354e9539
mit	w9_d354e9542
dem	w11_d354e9545
Ewi	w13_d354e9549
gen	w1_d354e9554
verwechslet,	w3_d354e9557
in	w5_d354e9560
der	w7_d354e9563
grossen	w9_d354e9566
Hofcapel	w11_d354e9569
len	w1_d354e9575
die	w3_d354e9578
Exequien	w5_d354e9581
gehalten	w7_d354e9584
worden.	w9_d354e9587
</p>
<p id="p6_d354e9590">
Sonntags	w1_d354e9594
als	w3_d354e9597
am	w5_d354e9600
heiligen	w7_d354e9603
Pfingst=fest,	w9_d354e9606
hat	w1_d354e9611
der	w3_d354e9614
hohe	w5_d354e9617
Adel	w7_d354e9620
nach	w9_d354e9623
Schönbrun	w11_d354e9626
sich	w13_d354e9630
begeben,	w1_d354e9635
um	w3_d354e9638
Allerhöchsten	w5_d354e9641
Majestäten	w7_d354e9644
die	w9_d354e9647
allerunterthännigste	w1_d354e9653
Aufwartung	w3_d354e9656
zu	w5_d354e9659
machen,	w7_d354e9662
und	w1_d354e9667
haben	w3_d354e9670
beede	w5_d354e9673
Majestäten	w7_d354e9676
mit	w9_d354e9679
deren	w11_d354e9682
Durchleuchtigsten	w1_d354e9687
jungen	w3_d354e9690
Herrschaften	w5_d354e9693
Kö	w7_d354e9696
nigl.	w1_d354e9701
Hoheiten	w3_d354e9704
dem	w5_d354e9707
Hochfeyerlichen	w7_d354e9710
GOt	w9_d354e9713
tesdienst	w1_d354e9719
in	w3_d354e9722
der	w5_d354e9725
Schloß=kapelle	w7_d354e9728
alda	w9_d354e9731
bey	w11_d354e9734
gewohnet.	w1_d354e9739
</p>
<p id="p8_d354e9742">
Dito	w1_d354e9746
ist	w3_d354e9749
alhier	w5_d354e9752
in	w7_d354e9755
der	w9_d354e9758
Kaiserl.	w11_d354e9761
Königl.	w13_d354e9765
Hof=kirchen	w1_d354e9770
deren	w3_d354e9773
WW.	w5_d354e9776
EE.	w7_d354e9779
PP.	w9_d354e9782
Augu	w11_d354e9785
seinern	w1_d354e9790
Baarfüssern,	w3_d354e9793
in	w5_d354e9796
Gegenwart	w7_d354e9799
einer	w9_d354e9802
angemein	w1_d354e9808
zahlreichen	w3_d354e9811
Volks=menge,	w5_d354e9814
ein	w7_d354e9817
Jud	w1_d354e9822
Namens	w3_d354e9825
Simon	w5_d354e9828
Samuel	w7_d354e9831
33.	w9_d354e9834
Jahr	w11_d354e9837
unt,	w1_d354e9842
von	w3_d354e9845
Mätterstorf	w5_d354e9848
aus	w7_d354e9851
Hungarn	w9_d354e9854
gebür	w11_d354e9857
ris,	w1_d354e9862
unter	w3_d354e9865
Assistenz	w5_d354e9868
Jhro	w7_d354e9871
Hochwürden	w9_d354e9874
Herrn	w11_d354e9877
Francisel	w1_d354e9883
Conradi	w3_d354e9886
Briselance	w5_d354e9889
von	w7_d354e9892
Renndorf	w9_d354e9895
Kaiserl.	w1_d354e9900
Königl.	w3_d354e9903
Hof	w5_d354e9906
und	w7_d354e9909
Burg	w9_d354e9912
Pfarrers,	w11_d354e9915
von	w1_d354e9920
R.	w3_d354e9923
P.	w5_d354e9926
Joanne	w7_d354e9929
Paulo	w9_d354e9932
à	w11_d354e9935
JEsu	w13_d354e9939
Crucisixo,	w15_d354e9942
linguæ	w1_d354e9947
Hebraicæ	w3_d354e9950
professore,	w5_d354e9953
dieses	w7_d354e9956
Ordens	w9_d354e9959
mt	w1_d354e9965
gewöhnlichen	w3_d354e9968
Cermonien	w5_d354e9971
fruhe	w7_d354e9974
um	w9_d354e9977
8.	w11_d354e9980
</p>
<p id="p10_d354e9983">
Uhr	w1_d354e9987
getauffet	w3_d354e9990
worden;	w5_d354e9993
dessen	w7_d354e9996
Tauf=pat	w9_d354e9999
war	w11_d354e10002
Se.	w1_d354e10007
Hochgräfl.	w3_d354e10010
Gnaden	w5_d354e10013
der	w7_d354e10016
Hoch	w9_d354e10019
und	w11_d354e10022
wol	w13_d354e10026
geborne	w1_d354e10031
Herr,	w3_d354e10034
Herr	w5_d354e10037
Franz	w7_d354e10040
Xaveri	w9_d354e10043
des	w11_d354e10046
H.	w13_d354e10050
R.	w1_d354e10056
R.	w3_d354e10059
Graf	w5_d354e10062
von	w7_d354e10065
Marzini,	w9_d354e10068
Jhro	w11_d354e10071
Röm.	w13_d354e10075
Kaiserl.	w1_d354e10080
Königl.	w3_d354e10083
Majestät	w5_d354e10086
würklicher	w7_d354e10089
Kam	w9_d354e10092
merer.	w1_d354e10097
Nach	w3_d354e10100
vollendeten	w5_d354e10103
Taufcere	w7_d354e10106
monien	w1_d354e10111
hat	w3_d354e10114
er	w5_d354e10117
der	w7_d354e10120
Heil.	w9_d354e10123
Meß	w11_d354e10126
beyge	w13_d354e10130
wohnet,	w1_d354e10136
und	w3_d354e10139
ist	w5_d354e10142
unter	w7_d354e10145
selber	w9_d354e10148
von	w11_d354e10151
obbenann	w13_d354e10155
ten	w1_d354e10160
Patre	w3_d354e10163
mit	w5_d354e10166
dem	w7_d354e10169
allerheiligsten	w9_d354e10172
Abendmahl	w11_d354e10175
das	w1_d354e10180
erstemal	w3_d354e10183
gespeiset	w5_d354e10186
worden.	w7_d354e10189
Gleich	w9_d354e10192
dann	w11_d354e10195
hierauf,	w1_d354e10200
alda	w3_d354e10203
nach	w5_d354e10206
vorherig,	w7_d354e10209
von	w9_d354e10212
A.	w11_d354e10215
R.	w13_d354e10219
P.	w15_d354e10222
Priore	w1_d354e10228
Felice	w3_d354e10231
a	w5_d354e10234
S.	w7_d354e10237
M.	w9_d354e10240
Anna	w11_d354e10243
abgelegten	w13_d354e10247
eh	w15_d354e10250
ren	w1_d354e10255
Predig	w3_d354e10258
der	w5_d354e10261
Ehrwürdige	w7_d354e10264
P.	w9_d354e10267
