<doc id="wr_1760-01-19" attrs="word" year="1760" month="01" day="19" corpus="2">
<head id="h2_d416e2465">
Friedberg	w1_d416e2469
eine	w9_d416e6077
solche	w11_d416e6080
Art	w13_d416e6084
zu	w15_d416e6087
verrichten,	w1_d416e6092
die	w3_d416e6095
ihm	w5_d416e6098
die	w7_d416e6101
Gewogenheit	w9_d416e6104
des	w11_d416e6107
Prinzen	w1_d416e6112
Ferdinand	w3_d416e6115
erwerben	w5_d416e6118
könne.	w7_d416e6121
Der	w9_d416e6124
Adjutant	w1_d416e6129
versetzte,	w3_d416e6132
daß	w5_d416e6135
der	w7_d416e6138
Prinz	w9_d416e6141
schon	w11_d416e6144
seit	w13_d416e6148
8.	w1_d416e6154
Monaten	w3_d416e6157
sein	w5_d416e6160
Verdienst	w7_d416e6163
kennte,	w9_d416e6166
und	w11_d416e6169
durch	w1_d416e6174
die	w3_d416e6177
Finkensteinische	w5_d416e6180
Dragoner	w7_d416e6183
davon	w9_d416e6186
benachrichtiget	w1_d416e6191
worden.	w3_d416e6194
Die	w5_d416e6197
beste	w7_d416e6200
Ver	w9_d416e6203
theidigung	w1_d416e6208
würde	w3_d416e6211
hierzu	w5_d416e6214
weiter	w7_d416e6217
nichts	w9_d416e6220
bey	w11_d416e6223
tragen,	w1_d416e6229
wohl	w3_d416e6232
aber	w5_d416e6235
würden	w7_d416e6238
hernach	w9_d416e6241
die	w11_d416e6244
Con	w13_d416e6248
ditionen	w1_d416e6253
vielleicht	w3_d416e6256
weniger	w5_d416e6259
vortheilhaft	w7_d416e6262
aus	w9_d416e6265
fallen.	w1_d416e6270
Der	w3_d416e6273
Herr	w5_d416e6276
Baron	w7_d416e6279
von	w9_d416e6282
Blaisel	w11_d416e6285
antwortete	w1_d416e6290
hierauf,	w3_d416e6293
wie	w5_d416e6296
er	w7_d416e6299
dem	w9_d416e6302
König	w11_d416e6305
schon	w13_d416e6309
30.	w1_d416e6315
Jahr	w3_d416e6318
diene,	w5_d416e6321
und	w7_d416e6324
binnen	w9_d416e6327
dieser	w11_d416e6330
Zeit	w13_d416e6334
die	w15_d416e6337
Furcht	w1_d416e6342
ziemlich	w3_d416e6345
verlernt.	w5_d416e6348
</p>
<p id="p12_d416e6352">
Den	w1_d416e6356
10.	w3_d416e6359
des	w5_d416e6362
Morgens	w7_d416e6365
schickte	w9_d416e6368
der	w11_d416e6371
Herr	w13_d416e6375
Baron	w1_d416e6380
von	w3_d416e6383
Blaisel	w5_d416e6386
den	w7_d416e6389
Herrn	w9_d416e6392
de	w11_d416e6395
la	w13_d416e6399
Bar	w15_d416e6402
tet,	w1_d416e6407
Capitain	w3_d416e6410
vom	w5_d416e6413
Regiment	w7_d416e6416
von	w9_d416e6419
Auvergne,	w11_d416e6422
mit	w1_d416e6428
150.	w3_d416e6431
Freywilligen	w5_d416e6434
hinaus,	w7_d416e6437
um	w9_d416e6440
sowol	w11_d416e6443
Brenn=holz	w1_d416e6448
zu	w3_d416e6451
fällen,	w5_d416e6454
als	w7_d416e6457
auch	w9_d416e6460
zu	w11_d416e6463
trachten,	w13_d416e6467
den	w1_d416e6472
feindlichen	w3_d416e6475
Posten	w5_d416e6478
zu	w7_d416e6481
Wiesseck	w9_d416e6484
zu	w11_d416e6487
über	w13_d416e6491
fallen,	w1_d416e6496
er	w3_d416e6499
fand	w5_d416e6502
aber	w7_d416e6505
diesen	w9_d416e6508
letztern	w11_d416e6511
im	w13_d416e6515
Ge	w15_d416e6518
wehr,	w1_d416e6524
und	w3_d416e6527
da	w5_d416e6530
sich	w7_d416e6533
eine	w9_d416e6536
beträchtliche	w11_d416e6539
Ver	w13_d416e6543
stärkung	w1_d416e6548
näherte,	w3_d416e6551
fand	w5_d416e6554
der	w7_d416e6557
Herr	w9_d416e6560
von	w11_d416e6563
Blaisel	w13_d416e6567
für	w1_d416e6572
gut,	w3_d416e6575
dieses	w5_d416e6578
Commando	w7_d416e6581
zurück	w9_d416e6584
zu	w11_d416e6587
ziehen.	w13_d416e6591
Die	w1_d416e6596
Feinde	w3_d416e6599
haben	w5_d416e6602
dabey	w7_d416e6605
etliche	w9_d416e6608
Verwundete	w11_d416e6611
gehabt.	w1_d416e6617
Unserer	w3_d416e6620
Seits	w5_d416e6623
ist	w7_d416e6626
der	w9_d416e6629
Herr	w11_d416e6632
dela	w13_d416e6636
Bartet,	w1_d416e6641
2.	w3_d416e6644
Dragoner	w5_d416e6647
und	w7_d416e6650
1.	w9_d416e6653
Soldat	w11_d416e6656
ble	w13_d416e6660
ßiret	w1_d416e6665
worden.	w3_d416e6668
Um	w5_d416e6671
10.	w7_d416e6674
Uhr	w9_d416e6677
war	w11_d416e6680
bey	w13_d416e6684
denen	w15_d416e6687
Alliirten	w1_d416e6692
Freuden=schiessen,	w3_d416e6695
wegen	w5_d416e6698
der	w7_d416e6701
Be	w9_d416e6704
gebenheit	w1_d416e6710
mit	w3_d416e6713
dem	w5_d416e6716
Herrn	w7_d416e6719
von	w9_d416e6722
Conflans.	w11_d416e6725
Den	w1_d416e6730
11.	w3_d416e6733
und	w5_d416e6736
12.	w7_d416e6739
ist	w9_d416e6742
nichts	w11_d416e6745
von	w13_d416e6749
Erheblich	w15_d416e6752
keit	w1_d416e6757
paßiret.	w3_d416e6760
Den	w5_d416e6763
13.	w7_d416e6766
mit	w9_d416e6769
Anbruch	w11_d416e6772
des	w13_d416e6776
Tags	w1_d416e6781
schickte	w3_d416e6784
der	w5_d416e6787
Herr	w7_d416e6790
von	w9_d416e6793
Blaisel	w11_d416e6796
aberma	w13_d416e6800
len	w1_d416e6806
den	w3_d416e6809
Obrist=leutenant	w5_d416e6812
der	w7_d416e6815
Volontaires	w9_d416e6818
von	w1_d416e6823
Dauphine	w3_d416e6826
mit	w5_d416e6829
200.	w7_d416e6832
Mann	w9_d416e6835
hinaus,	w11_d416e6838
</p>
<p id="p18_d416e6851">
um	w1_d416e6855
sowol	w3_d416e6858
Wiesseck	w5_d416e6861
zu	w7_d416e6864
recognosciren,	w9_d416e6867
als	w11_d416e6870
auch	w1_d416e6875
das	w3_d416e6878
vor	w5_d416e6881
einigen	w7_d416e6884
Tagen	w9_d416e6887
gefällte	w11_d416e6890
Hol	w13_d416e6894
herein	w1_d416e6899
zu	w3_d416e6902
begleiten,	w5_d416e6905
welches	w7_d416e6908
beedes	w9_d416e6911
glücklich	w11_d416e6914
von	w1_d416e6920
statten	w3_d416e6923
gienge.	w5_d416e6926
Den	w7_d416e6929
14.	w9_d416e6932
geschahe	w11_d416e6935
ein	w13_d416e6939
abermaliger	w1_d416e6944
Ausfall,	w3_d416e6947
um	w5_d416e6950
Holz	w7_d416e6953
zu	w9_d416e6956
holen	w11_d416e6959
ohne	w1_d416e6964
vom	w3_d416e6967
Feind	w5_d416e6970
beunruhiget	w7_d416e6973
zu	w9_d416e6976
werden.	w11_d416e6979
Den	w1_d416e6984
15.	w3_d416e6987
war	w5_d416e6990
es	w7_d416e6993
stille.	w9_d416e6996
</p>
<p id="p20_d416e6999">
Den	w1_d416e7003
16.	w3_d416e7006
ward	w5_d416e7009
der	w7_d416e7012
Herr	w9_d416e7015
Baron	w11_d416e7018
von	w13_d416e7022
Blai	w15_d416e7025
sel	w1_d416e7030
von	w3_d416e7033
dem	w5_d416e7036
Herrn	w7_d416e7039
Herzogen	w9_d416e7042
von	w11_d416e7045
Broglie	w13_d416e7049
benachrichtiget,	w1_d416e7054
daß	w3_d416e7057
die	w5_d416e7060
Feinde	w7_d416e7063
viele	w9_d416e7066
Leitern	w11_d416e7069
zurecht	w1_d416e7075
machten,	w3_d416e7078
den	w5_d416e7081
Platz	w7_d416e7084
zu	w9_d416e7087
ersteigen.	w11_d416e7090
Ei	w13_d416e7094
ne	w1_d416e7099
Stunde	w3_d416e7102
hernach	w5_d416e7105
brachte	w7_d416e7108
ihm	w9_d416e7111
einer	w11_d416e7114
seiner	w13_d416e7118
Kundschafter	w1_d416e7123
eben	w3_d416e7126
die	w5_d416e7129
Nachricht.	w7_d416e7132
Der	w9_d416e7135
Aus	w11_d416e7138
fall	w1_d416e7143
zu	w3_d416e7146
Hereinbringung	w5_d416e7149
Brenn=holzes	w7_d416e7152
wurd	w9_d416e7155
an	w1_d416e7161
diesem	w3_d416e7164
Tag	w5_d416e7167
wiederholt,	w7_d416e7170
und	w9_d416e7173
um	w11_d416e7176
11.	w13_d416e7180
Uhr	w1_d416e7185
zu	w3_d416e7188
Nacht	w5_d416e7191
ließ	w7_d416e7194
der	w9_d416e7197
Commandant	w11_d416e7200
von	w13_d416e7204
dem	w15_d416e7207
Butzbacher=bastion	w1_d416e7212
2.	w3_d416e7215
Leucht=kugeln	w5_d416e7218
wer	w7_d416e7221
fen,	w1_d416e7226
theils	w3_d416e7229
um	w5_d416e7232
den	w7_d416e7235
Feind	w9_d416e7238
zu	w11_d416e7241
zeigen,	w13_d416e7245
daß	w15_d416e7248
er	w1_d416e7254
wachsam,	w3_d416e7257
theils	w5_d416e7260
auch	w7_d416e7263
um	w9_d416e7266
demselben	w11_d416e7269
Un	w13_d416e7273
ruhe	w1_d416e7278
zu	w3_d416e7281
verschaffen,	w5_d416e7284
im	w7_d416e7287
Fall	w9_d416e7290
er	w11_d416e7293
solches	w13_d416e7297
für	w15_d416e7300
ein	w1_d416e7305
mit	w3_d416e7308
dem	w5_d416e7311
Herrn	w7_d416e7314
Herzogen	w9_d416e7317
von	w11_d416e7320
Broglie	w13_d416e7324
abgeredetes	w1_d416e7329
Zeichen	w3_d416e7332
aufnehmen	w5_d416e7335
wolte.	w7_d416e7338
Den	w9_d416e7341
17.	w1_d416e7347
fiel	w3_d416e7350
nichts	w5_d416e7353
erhebliches	w7_d416e7356
vor.	w9_d416e7359
Den	w11_d416e7362
18.	w13_d416e7366
formirte	w1_d416e7371
der	w3_d416e7374
Herr	w5_d416e7377
von	w7_d416e7380
Blaisel	w9_d416e7383
auf	w11_d416e7386
die	w13_d416e7390
er	w15_d416e7393
haltene	w1_d416e7398
Nachricht,	w3_d416e7401
daß	w5_d416e7404
der	w7_d416e7407
Feind	w9_d416e7410
Leitern	w11_d416e7413
zurüste,	w1_d416e7418
den	w3_d416e7421
Anschlag,	w5_d416e7424
dessen	w7_d416e7427
Postirung	w9_d416e7430
zu	w1_d416e7436
Wieseck	w3_d416e7439
aufzuheben,	w5_d416e7442
Es	w7_d416e7445
würde	w9_d416e7448
gelun	w11_d416e7451
gen	w1_d416e7456
seyn,	w3_d416e7459
wann	w5_d416e7462
die	w7_d416e7465
Ausführung	w9_d416e7468
denen	w11_d416e7471
An	w13_d416e7475
stalten	w1_d416e7480
gemäß	w3_d416e7483
gewesen	w5_d416e7486
wäre.	w7_d416e7489
Das	w9_d416e7492
unter	w11_d416e7495
Commando	w1_d416e7500
eines	w3_d416e7503
Obrist=leutenants	w5_d416e7506
aus	w7_d416e7509
geschickte	w1_d416e7515
Detaschement	w3_d416e7518
begnügte	w5_d416e7521
sich	w7_d416e7524
den	w9_d416e7527
ersten	w1_d416e7532
Vor=posten	w3_d416e7535
aufzuheben,	w5_d416e7538
und	w7_d416e7541
brachte	w9_d416e7544
durch	w1_d416e7549
die	w3_d416e7552
viele	w5_d416e7555
Flinten=schüsse	w7_d416e7558
die	w9_d416e7561
übrige	w11_d416e7564
in	w1_d416e7569
Bewegung.	w3_d416e7572
Gleichwol	w5_d416e7575
hätte	w7_d416e7578
es	w9_d416e7581
noch	w11_d416e7584
vollzogen	w1_d416e7590
werden	w3_d416e7593
können,	w5_d416e7596
wann	w7_d416e7599
man	w9_d416e7602
bis	w11_d416e7605
ins	w1_d416e7610
Dorf	w3_d416e7613
eingedrungen	w5_d416e7616
wäre.	w7_d416e7619
Unserer	w9_d416e7622
Seits	w1_d416e7627
ist	w3_d416e7630
dabey	w5_d416e7633
ein	w7_d416e7636
Mann	w9_d416e7639
mit	w11_d416e7642
3.	w13_d416e7646
Bajo	w15_d416e7649
net=stichen	w1_d416e7654
verwundet	w3_d416e7657
worden,	w5_d416e7660
feindliche	w7_d416e7663
aber,	w1_d416e7669
ohne	w3_d416e7672
die	w5_d416e7675
Verwundete	w7_d416e7678
seynd	w9_d416e7681
9.	w11_d416e7684
oder	w13_d416e7688
10.	w1_d416e7693
Mann	w3_d416e7696
geblieben.	w5_d416e7699
Den	w7_d416e7702
19.	w9_d416e7705
geschahe	w11_d416e7708
nichts	w1_d416e7713
sonderliches.	w3_d416e7716
Den	w5_d416e7719
20.	w7_d416e7722
mit	w9_d416e7725
Anbruck	w11_d416e7728
des	w1_d416e7733
Tages	w3_d416e7736
vernahm	w5_d416e7739
man	w7_d416e7742
ein	w9_d416e7745
wol=unter	w11_d416e7748
haltenes	w1_d416e7754
Feuern	w3_d416e7757
aus	w5_d416e7760
kleinem	w7_d416e7763
Gewehr	w9_d416e7766
gegen	w11_d416e7769
</p>
<p id="p22_d416e7772">
Langen=göns.	w1_d416e7776
Dieses	w3_d416e7779
bewog	w5_d416e7782
den	w7_d416e7785
Herrn	w9_d416e7788
von	w1_d416e7793
Blaisel	w3_d416e7796
300.	w5_d416e7799
Mann	w7_d416e7802
unter	w9_d416e7805
dem	w11_d416e7808
Herrn	w13_d416e7812
Berenguier	w1_d416e7817
und	w3_d416e7820
dem	w5_d416e7823
Capitain	w7_d416e7826
des	w9_d416e7829
Regi	w11_d416e7832
ments	w1_d416e7838
von	w3_d416e7841
Durfort,	w5_d416e7844
Herr	w7_d416e7847
Cerval,	w9_d416e7850
aus	w11_d416e7853
fallen	w1_d416e7858
zu	w3_d416e7861
lassen.	w5_d416e7864
Den	w7_d416e7867
21.	w9_d416e7870
ließ	w11_d416e7873
der	w13_d416e7877
Herr	w15_d416e7880
Marschall	w1_d416e7885
von	w3_d416e7888
Broglie	w5_d416e7891
den	w7_d416e7894
Herrn	w9_d416e7897
von	w11_d416e7900
Blai	w13_d416e7904
sel	w1_d416e7909
wissen,	w3_d416e7912
daß,	w5_d416e7915
wann	w7_d416e7918
er	w9_d416e7921
etwas	w11_d416e7924
auf	w13_d416e7928
un	w15_d416e7931
ser	w1_d416e7937
vormaliges	w3_d416e7940
Haupt=quartier,	w5_d416e7943
Kleinlin	w7_d416e7946
nes	w1_d416e7951
unternehmen	w3_d416e7954
wolle,	w5_d416e7957
solches	w7_d416e7960
den	w9_d416e7963
22.	w11_d416e7966
vor	w1_d416e7971
Tages	w3_d416e7974
beschehen	w5_d416e7977
müsse,	w7_d416e7980
um	w9_d416e7983
die	w11_d416e7986
von	w13_d416e7990
der	w1_d416e7995
Armee	w3_d416e7998
gegen	w5_d416e8001
Langen=göns	w7_d416e8004
vorzuneh	w9_d416e8007
mende	w1_d416e8013
Attaque	w3_d416e8016
durch	w5_d416e8019
eine	w7_d416e8022
Diversion	w9_d416e8025
zu	w11_d416e8028
un	w13_d416e8032
terstützen.	w1_d416e8037
Es	w3_d416e8040
geschah,	w5_d416e8043
und	w7_d416e8046
den	w9_d416e8049
22.	w11_d416e8052
um	w13_d416e8056
2.	w1_d416e8061
Uhr	w3_d416e8064
des	w5_d416e8067
Nachts	w7_d416e8070
rückten	w9_d416e8073
zu	w11_d416e8076
dem	w13_d416e8080
Ende	w15_d416e8083
unter	w1_d416e8088
Commando	w3_d416e8091
des	w5_d416e8094
Herrn	w7_d416e8097
von	w9_d416e8100
Donger	w11_d416e8103
main,	w1_d416e8109
welcher	w3_d416e8112
den	w5_d416e8115
Herrn	w7_d416e8118
Berenquier	w9_d416e8121
bey	w11_d416e8124
sich	w1_d416e8129
hatte,	w3_d416e8132
500.	w5_d416e8135
Commandirte	w7_d416e8138
aus.	w9_d416e8141
</p>
<p id="p24_d416e8145">
Die	w1_d416e8149
Attaque	w3_d416e8152
nahm	w5_d416e8155
um	w7_d416e8158
halb	w9_d416e8161
4.	w11_d416e8164
Uhr	w13_d416e8168
ih	w15_d416e8171
ren	w1_d416e8176
Anfang,	w3_d416e8179
und	w5_d416e8182
war	w7_d416e8185
sehr	w9_d416e8188
lebhaft.	w11_d416e8191
Man	w13_d416e8195
überrumpelte	w1_d416e8200
Klein=linnes,	w3_d416e8203
worinnen	w5_d416e8206
das	w7_d416e8209
Hannöverische	w1_d416e8215
Regiment	w3_d416e8218
von	w5_d416e8221
Behr	w7_d416e8224
nebst	w9_d416e8227
einem	w1_d416e8232
Commando	w3_d416e8235
von	w5_d416e8238
80.	w7_d416e8241
Dragonern	w9_d416e8244
lag,	w11_d416e8247
und	w1_d416e8252
bemeisterte	w3_d416e8255
sich	w5_d416e8258
einer	w7_d416e8261
Redoute	w9_d416e8264
dadurch,	w11_d416e8267
daß	w1_d416e8272
man	w3_d416e8275
solche	w5_d416e8278
nicht	w7_d416e8281
eher	w9_d416e8284
als	w11_d416e8287
durch	w13_d416e8291
die	w15_d416e8294
hinterste	w1_d416e8300
Trupen	w3_d416e8303
angriff,	w5_d416e8306
nachdem	w7_d416e8309
die	w9_d416e8312
er	w11_d416e8315
stere	w1_d416e8320
schon	w3_d416e8323
ins	w5_d416e8326
Dorf	w7_d416e8329
eingedrungen	w9_d416e8332
waren.	w11_d416e8335
Wir	w1_d416e8340
haben	w3_d416e8343
hiebey	w5_d416e8346
etwa	w7_d416e8349
20.	w9_d416e8352
Todte	w11_d416e8355
und	w13_d416e8359
Bleßirte	w1_d416e8364
gehabt.	w3_d416e8367
Unter	w5_d416e8370
den	w7_d416e8373
erstern	w9_d416e8376
war	w11_d416e8379
der	w1_d416e8385
Leutenant	w3_d416e8388
Dufort	w5_d416e8391
von	w7_d416e8394
denen	w9_d416e8397
Volontai	w11_d416e8400
res	w1_d416e8405
Etrangers.	w3_d416e8408
Der	w5_d416e8411
Capitain	w7_d416e8414
Cerval	w9_d416e8417
vom	w11_d416e8420
Regiment	w1_d416e8425
von	w3_d416e8428
Durfort,	w5_d416e8431
ein	w7_d416e8434
braver	w9_d416e8437
Officier,	w11_d416e8440
der	w1_d416e8445
50.	w3_d416e8448
Freywillige	w5_d416e8451
commandirte,	w7_d416e8454
ward	w9_d416e8457
am	w1_d416e8463
Vordertheil	w3_d416e8466
des	w5_d416e8469
Arms	w7_d416e8472
verwundet.	w9_d416e8475
Der	w11_d416e8478
Herr	w1_d416e8483
Girardin,	w3_d416e8486
Capitain	w5_d416e8489
der	w7_d416e8492
Volontaires	w9_d416e8495
Etrangers	w1_d416e8500
hat	w3_d416e8503
sich	w5_d416e8506
auch	w7_d416e8509
dabey	w9_d416e8512
hervorge	w11_d416e8515
than.	w1_d416e8520
Die	w3_d416e8523
Feinde	w5_d416e8526
mögen	w7_d416e8529
ungefehr	w9_d416e8532
50.	w11_d416e8535
Todte	w1_d416e8541
gehabt	w3_d416e8544
haben,	w5_d416e8547
weit	w7_d416e8550
mehr	w9_d416e8553
Verwun	w11_d416e8556
dete,	w1_d416e8561
und	w3_d416e8564
ausser	w5_d416e8567
2.	w7_d416e8570
Officiers	w9_d416e8573
sind	w11_d416e8576
20.	w13_d416e8580
Ge	w15_d416e8583
fangene	w1_d416e8588
eingebracht	w3_d416e8591
worden.	w5_d416e8594
Jn	w7_d416e8597
eben	w9_d416e8600
der	w11_d416e8603
Nacht	w1_d416e8608
liesse	w3_d416e8611
der	w5_d416e8614
Herr	w7_d416e8617
Marschall	w9_d416e8620
die	w11_d416e8623
seind	w13_d416e8627
liche	w1_d416e8633
Vor=posten	w3_d416e8636
durch	w5_d416e8639
unsere	w7_d416e8642
leichte	w9_d416e8645
Tru	w11_d416e8648
pen	w1_d416e8653
unter	w3_d416e8656
denen	w5_d416e8659
Herren	w7_d416e8662
von	w9_d416e8665
Grandmaison	w11_d416e8668
und	w1_d416e8673
Viemenil	w3_d416e8676
angreiffen.	w5_d416e8679
Den	w7_d416e8682
23.	w9_d416e8685
und	w11_d416e8688
</p>
<p id="p28_d416e8693">
24.	w1_d416e8697
paßirte	w3_d416e8700
nichts	w5_d416e8703
erhebliche	w7_d416e8706
8;	w1_d416e8711
den	w3_d416e8714
25ten	w5_d416e8717
aber	w1_d416e8722
beorderte	w3_d416e8725
der	w5_d416e8728
Herr	w7_d416e8731
Baron	w9_d416e8734
von	w11_d416e8737
Blai	w13_d416e8741
sel	w1_d416e8747
den	w3_d416e8750
Capitain	w5_d416e8753
Girardin	w7_d416e8756
und	w9_d416e8759
Leutenant	w11_d416e8762
Vernier	w1_d416e8767
von	w3_d416e8770
denen	w5_d416e8773
Volontaires	w7_d416e8776
Etrangeres	w9_d416e8779
auf	w1_d416e8784
die	w3_d416e8787
Nachricht,	w5_d416e8790
daß	w7_d416e8793
die	w9_d416e8796
Feinde	w11_d416e8799
über	w13_d416e8803
die	w15_d416e8806
Lahne	w1_d416e8811
zurück	w3_d416e8814
giengen,	w5_d416e8817
nach	w7_d416e8820
Wieseck.	w9_d416e8823
Bey	w11_d416e8826
Annäherung	w1_d416e8832
ihres	w3_d416e8835
Commando	w5_d416e8838
verließ	w7_d416e8841
der	w9_d416e8844
Feind	w1_d416e8849
das	w3_d416e8852
Dorf,	w5_d416e8855
und	w7_d416e8858
zog	w9_d416e8861
sich	w11_d416e8864
nach	w13_d416e8868
alten	w15_d416e8871
Buseck.	w1_d416e8876
Diese	w3_d416e8879
Officiers	w5_d416e8882
liessen	w7_d416e8885
hierauf	w9_d416e8888
den	w11_d416e8891
gefundenen	w1_d416e8896
starken	w3_d416e8899
Vorraht	w5_d416e8902
von	w7_d416e8905
Leitern,	w9_d416e8908
eisernen	w1_d416e8914
Hacken	w3_d416e8917
und	w5_d416e8920
Stricken	w7_d416e8923
aufheben,	w9_d416e8926
und	w1_d416e8931
brachten	w3_d416e8934
selbigen	w5_d416e8937
nebst	w7_d416e8940
einigen	w9_d416e8943
gefan	w11_d416e8946
genen	w1_d416e8951
Finkensteinischen	w3_d416e8954
Dragonern	w5_d416e8957
in	w7_d416e8960
die	w9_d416e8963
Vestung.	w1_d416e8968
Den	w3_d416e8971
27ten	w5_d416e8974
kam	w7_d416e8977
der	w9_d416e8980
Herr	w11_d416e8983
Mar	w13_d416e8987
schall	w1_d416e8993
von	w3_d416e8996
Broglio	w5_d416e8999
um	w7_d416e9002
halb	w9_d416e9005
12.	w11_d416e9008
nach	w13_d416e9012
Klein	w15_d416e9015
linnes,	w1_d416e9020
um	w3_d416e9023
die	w5_d416e9026
feindliche	w7_d416e9029
Stellung	w9_d416e9032
zu	w11_d416e9035
re	w13_d416e9039
cognosciren,	w1_d416e9044
bey	w3_d416e9047
welcher	w5_d416e9050
Gelegenheit	w7_d416e9053
zwi	w9_d416e9056
schen	w1_d416e9061
dessen	w3_d416e9064
Escorte	w5_d416e9067
und	w7_d416e9070
dem,	w9_d416e9073
was	w11_d416e9076
aus	w13_d416e9080
Gies	w15_d416e9083
sen	w1_d416e9089
ausgefallen,	w3_d416e9092
dann	w5_d416e9095
denen	w7_d416e9098
feindlichen	w9_d416e9101
leich	w11_d416e9104
ten	w1_d416e9109
Trupen	w3_d416e9112
ein	w5_d416e9115
Scharmützel	w7_d416e9118
vorfiel,	w9_d416e9121
der	w11_d416e9124
bey	w1_d416e9129
2.	w3_d416e9132
Stunden	w5_d416e9135
dauerte.	w7_d416e9138
Um	w9_d416e9141
3.	w11_d416e9144
Uhr	w13_d416e9148
kam	w15_d416e9151
der	w1_d416e9156
Herr	w3_d416e9159
Marschall	w5_d416e9162
selbst	w7_d416e9165
nach	w9_d416e9168
Giessen,	w11_d416e9171
um	w1_d416e9177
10.	w3_d416e9180
Uhr	w5_d416e9183
des	w7_d416e9186
Abends	w9_d416e9189
ward	w11_d416e9192
auf	w13_d416e9196
dessen	w15_d416e9199
Befehl	w1_d416e9204
der	w3_d416e9207
feindliche	w5_d416e9210
Posten	w7_d416e9213
zu	w9_d416e9216
Heuchel	w11_d416e9219
heim	w1_d416e9224
allarmiret.	w3_d416e9227
Diese	w5_d416e9230
verschiedene	w7_d416e9233
kleine	w9_d416e9236
Attaquen,	w1_d416e9241
und	w3_d416e9244
die	w5_d416e9247
Ankunft	w7_d416e9250
des	w9_d416e9253
Herrn	w11_d416e9256
Mar	w13_d416e9260
schalls	w1_d416e9266
zu	w3_d416e9269
Giessen	w5_d416e9272
bewogen	w7_d416e9275
den	w9_d416e9278
Prinzen	w11_d416e9281
Fer	w13_d416e9285
dinand,	w1_d416e9290
seine	w3_d416e9293
sämtliche	w5_d416e9296
Trupen	w7_d416e9299
auf	w9_d416e9302
denen	w11_d416e9305
Anhöhen	w1_d416e9310
von	w3_d416e9313
Cleyberg	w5_d416e9316
und	w7_d416e9319
Heuchelheim	w9_d416e9322
zusammen	w1_d416e9327
zu	w3_d416e9330
ziehen,	w5_d416e9333
wo	w7_d416e9336
sie	w9_d416e9339
die	w11_d416e9342
Nacht	w13_d416e9346
un	w15_d416e9349
term	w1_d416e9355
freyen	w3_d416e9358
Himmel	w5_d416e9361
zubrachten.	w7_d416e9364
Den	w9_d416e9367
28.	w11_d416e9370
Nachmittags	w1_d416e9375
um	w3_d416e9378
3.	w5_d416e9381
Uhr	w7_d416e9384
gieng	w9_d416e9387
der	w11_d416e9390
Herr	w13_d416e9394
Marschall,	w1_d416e9399
nachdem	w3_d416e9402
er	w5_d416e9405
sich	w7_d416e9408
vergewissert,	w9_d416e9411
daß	w11_d416e9414
der	w1_d416e9419
Feind	w3_d416e9422
noch	w5_d416e9425
ganz	w7_d416e9428
oder	w9_d416e9431
gröstentheils	w11_d416e9434
in	w13_d416e9438
seiner	w1_d416e9444
alten	w3_d416e9447
Stellung,	w5_d416e9450
wieder	w7_d416e9453
nach	w9_d416e9456
Fried	w11_d416e9459
berg	w1_d416e9464
zurück,	w3_d416e9467
und	w5_d416e9470
seit	w7_d416e9473
dem	w9_d416e9476
29.	w11_d416e9479
ist	w13_d416e9483
durch	w15_d416e9486
sei	w17_d416e9489
ne	w1_d416e9494
kluge	w3_d416e9497
Vorsicht	w5_d416e9500
die	w7_d416e9503
Communication	w9_d416e9506
zwi	w11_d416e9509
schen	w1_d416e9514
uns	w3_d416e9517
und	w5_d416e9520
der	w7_d416e9523
Armee	w9_d416e9526
wieder	w11_d416e9529
völlig	w13_d416e9533
frey	w1_d416e9539
und	w3_d416e9542
hergestellt.	w5_d416e9545
</p>
<head id="h2_d416e9551">
Wien	w1_d416e9555
den	w3_d416e9558
19.	w5_d416e9561
Januarii	w7_d416e9564
1760.	w9_d416e9567
</head>
<p id="p4_d416e9570">
Pittwoch	w1_d416e9574
den	w3_d416e9577
16.	w5_d416e9580
dieses	w7_d416e9583
seynd	w9_d416e9586
für	w11_d416e9589
nach	w13_d416e9593
folgende	w1_d416e9600
Hoch=adeliche	w3_d416e9603
Sternkreutz	w5_d416e9606
</p>
<p id="p6_d416e9609">
ordens=damen,	w1_d416e9613
als	w3_d416e9616
für	w5_d416e9619
(Titl.)	w7_d416e9622
Frau	w9_d416e9625
Ma	w11_d416e9628
ria	w1_d416e9633
Francisca	w3_d416e9636
Gräfin	w5_d416e9639
von	w7_d416e9642
Lamberg,	w9_d416e9645
gebor	w11_d416e9648
ne	w1_d416e9653
Gräfin	w3_d416e9656
von	w5_d416e9659
Gilleis,	w7_d416e9662
so	w9_d416e9665
alhier	w11_d416e9668
den	w13_d416e9672
6.	w15_d416e9675
dieses	w1_d416e9681
in	w3_d416e9684
GOtt	w5_d416e9687
seelig	w7_d416e9690
entschlaffen;	w9_d416e9693
dann	w11_d416e9696
für	w1_d416e9701
die	w3_d416e9704
(Titl.)	w5_d416e9707
Frau	w7_d416e9710
Maria	w9_d416e9713
Catharina	w11_d416e9716
Fran	w13_d416e9720
cisca	w1_d416e9725
Freyin	w3_d416e9728
von	w5_d416e9731
Surlet,	w7_d416e9734
Gräfin	w9_d416e9737
von	w11_d416e9740
Lie	w13_d416e9744
dekerke,	w1_d416e9749
