<doc id="wr_1757-01-12" attrs="word" year="1757" month="01" day="12" corpus="2">
<head id="h2_d108e2817">
Malta	w1_d108e2821
eines	w3_d108e6448
Reichs=tages	w5_d108e6451
nicht	w7_d108e6454
eher	w9_d108e6457
erfor	w11_d108e6460
dern,	w1_d108e6465
soll	w3_d108e6468
derselbe	w5_d108e6471
im	w7_d108e6474
Monat	w9_d108e6477
October	w11_d108e6480
1760.	w13_d108e6484
wiederum	w1_d108e6490
von	w3_d108e6493
neuem	w5_d108e6496
seinen	w7_d108e6499
Anfang	w9_d108e6502
neh	w11_d108e6505
men.	w1_d108e6510
</p>
<head id="h2_d108e6516">
Maynz	w1_d108e6520
19.	w3_d108e6523
Dec.	w5_d108e6526
1756.	w7_d108e6529
</head>
<p id="p4_d108e6532">
Die	w1_d108e6536
unter	w3_d108e6539
Commando	w5_d108e6542
des	w7_d108e6545
Kaiserl.	w9_d108e6548
Kön.	w11_d108e6551
General=majors,	w1_d108e6556
Prinzens	w3_d108e6559
von	w5_d108e6562
Stollberg,	w7_d108e6565
ihren	w1_d108e6570
Zug	w3_d108e6573
nach	w5_d108e6576
Böhmen	w7_d108e6579
nehmenden	w9_d108e6582
Colonne	w11_d108e6585
derer	w1_d108e6591
Niederländischen	w3_d108e6594
Trupen,	w5_d108e6597
die	w7_d108e6600
aus	w9_d108e6603
denen	w11_d108e6606
Jnfanterie=regimentern,	w1_d108e6611
Los	w3_d108e6614
Rios	w5_d108e6617
und	w7_d108e6620
Arn	w9_d108e6623
berg,	w1_d108e6628
auch	w3_d108e6631
Ligne	w5_d108e6634
Dragoner	w7_d108e6637
bestehen,	w9_d108e6640
haben	w11_d108e6643
bereits	w1_d108e6648
den	w3_d108e6651
Rhein	w5_d108e6654
zu	w7_d108e6657
Oppenheim	w9_d108e6660
zu	w11_d108e6663
paßiren	w13_d108e6667
angefangen,	w1_d108e6673
und	w3_d108e6676
so	w5_d108e6679
wird	w7_d108e6682
auch	w9_d108e6685
den	w11_d108e6688
21sten	w13_d108e6692
die	w15_d108e6695
Colonne	w1_d108e6700
rechter	w3_d108e6703
Hand	w5_d108e6706
über	w7_d108e6709
Speyer	w9_d108e6712
den	w11_d108e6715
Anfang	w1_d108e6720
mit	w3_d108e6723
der	w5_d108e6726
Rhein=passage	w7_d108e6729
durch	w9_d108e6732
das	w11_d108e6735
Regiment	w1_d108e6740
Salm	w3_d108e6743
machen,	w5_d108e6746
dem	w7_d108e6749
sodann	w9_d108e6752
das	w11_d108e6755
Carl	w1_d108e6761
Lothringische	w3_d108e6764
und	w5_d108e6767
Wiedische	w7_d108e6770
Jnfanterie	w9_d108e6773
regiment	w1_d108e6778
unmittelbar	w3_d108e6781
folgen	w5_d108e6784
werden;	w7_d108e6787
die	w9_d108e6790
die	w11_d108e6793
ser	w1_d108e6798
Colonne	w3_d108e6801
zugetheilte	w5_d108e6804
Artillerie,	w7_d108e6807
nebst	w9_d108e6810
dem	w11_d108e6813
Cavallerie=regiment	w1_d108e6818
Anhalt	w3_d108e6821
Zerbst,	w5_d108e6824
paßiren	w7_d108e6827
die	w1_d108e6833
Brücken	w3_d108e6836
zu	w5_d108e6839
Mannheim,	w7_d108e6842
und	w9_d108e6845
nehmen	w11_d108e6848
den	w13_d108e6852
nämlichen	w1_d108e6857
Zug	w3_d108e6860
über	w5_d108e6863
Heilbronn	w7_d108e6866
und	w9_d108e6869
Wimp	w11_d108e6872
fen	w1_d108e6877
durch	w3_d108e6880
das	w5_d108e6883
Schwäbisch=hallische	w7_d108e6886
gegen	w9_d108e6889
Crailsheim.	w1_d108e6894
Der	w3_d108e6897
Fränkische	w5_d108e6900
Obrist	w7_d108e6903
und	w9_d108e6906
Ob	w11_d108e6909
</p>
<p id="p6_d108e6912">
rist=kriegs=commissarius	w1_d108e6916
Weigand	w3_d108e6919
ist	w5_d108e6922
von	w7_d108e6925
Worms	w1_d108e6930
ab	w3_d108e6933
und	w5_d108e6936
nach	w7_d108e6939
Mergentheim	w9_d108e6942
voraus	w11_d108e6945
gegangen,	w1_d108e6950
um	w3_d108e6953
alldort	w5_d108e6956
die	w7_d108e6959
weitere	w9_d108e6962
Verhal	w11_d108e6965
tungs=befehle	w1_d108e6971
zu	w3_d108e6974
erwarten,	w5_d108e6977
sofort	w7_d108e6980
die	w9_d108e6983
Route	w11_d108e6986
zu	w1_d108e6991
fernerer	w3_d108e6994
Fortleitung	w5_d108e6997
der	w7_d108e7000
Speyerischen	w9_d108e7003
Co	w11_d108e7006
lonne	w1_d108e7011
mit	w3_d108e7014
denen	w5_d108e7017
intreßirten	w7_d108e7020
Ständen	w9_d108e7023
zu	w11_d108e7026
con	w13_d108e7030
certiren.	w1_d108e7035
Dargegen	w3_d108e7038
ist	w5_d108e7041
des	w7_d108e7044
Ober=rheinischen	w9_d108e7047
Creises	w1_d108e7053
Obrister,	w3_d108e7056
auch	w5_d108e7059
Obermusterungs	w7_d108e7062
und	w1_d108e7067
Marsch=commissarius	w3_d108e7070
von	w5_d108e7073
Hofmann	w7_d108e7076
eingetroffen,	w1_d108e7081
und	w3_d108e7084
wird	w5_d108e7087
sofort	w7_d108e7090
sich	w9_d108e7093
zu	w11_d108e7096
dem	w13_d108e7100
Ge	w15_d108e7103
neral=staab,	w1_d108e7108
so	w3_d108e7111
die	w5_d108e7114
Route	w7_d108e7117
über	w9_d108e7120
Oppenheim	w11_d108e7123
nihmt,	w1_d108e7129
verfügen.	w3_d108e7132
Nächster	w5_d108e7135
Tagen	w7_d108e7138
gehet	w9_d108e7141
der	w11_d108e7144
Kaiserl.	w1_d108e7149
Königl.	w3_d108e7152
General	w5_d108e7155
von	w7_d108e7158
Grämlich	w9_d108e7161
nach	w11_d108e7164
Mergentheim	w1_d108e7169
ab,	w3_d108e7172
um	w5_d108e7175
der	w7_d108e7178
fernern	w9_d108e7181
Concerti	w11_d108e7184
rung	w1_d108e7189
der	w3_d108e7192
Jndividual=route	w5_d108e7195
bis	w7_d108e7198
in	w9_d108e7201
die	w11_d108e7204
Ge	w13_d108e7208
gend	w1_d108e7214
Nürnberg,	w3_d108e7217
beyzuwohnen,	w5_d108e7220
woselbst	w7_d108e7223
die	w1_d108e7228
letzte	w3_d108e7231
Conferenz	w5_d108e7234
unter	w7_d108e7237
denen	w9_d108e7240
Stän	w11_d108e7243
den	w1_d108e7248
wegen	w3_d108e7251
der	w5_d108e7254
Route	w7_d108e7257
bis	w9_d108e7260
an	w11_d108e7263
die	w13_d108e7267
Bömische	w15_d108e7270
Gränzen	w1_d108e7275
seyn	w3_d108e7278
wird.	w5_d108e7281
Der	w7_d108e7284
Hoch=fürstlich	w9_d108e7287
Würzburgische	w1_d108e7293
General=major	w3_d108e7296
und	w5_d108e7299
Marsch	w7_d108e7302
commissarius	w1_d108e7307
des	w3_d108e7310
Fränkischen	w5_d108e7313
Kreises,	w7_d108e7316
Ba	w9_d108e7319
ron	w1_d108e7324
von	w3_d108e7327
Wolfskehl,	w5_d108e7330
hat	w7_d108e7333
sich	w9_d108e7336
zu	w11_d108e7339
dem	w13_d108e7343
General	w15_d108e7346
stab	w1_d108e7351
verfüget,	w3_d108e7354
um	w5_d108e7357
den	w7_d108e7360
commandirenden	w9_d108e7363
Generalen	w1_d108e7369
des	w3_d108e7372
Niederländischen	w5_d108e7375
Corps,	w7_d108e7378
Gra	w9_d108e7381
fen	w1_d108e7386
d'Arberg	w3_d108e7389
durch	w5_d108e7392
Franken	w7_d108e7395
zu	w9_d108e7398
begleiten.	w11_d108e7401
</p>
<head id="h2_d108e7407">
Brüssel	w1_d108e7411
20.	w3_d108e7414
Decemb.	w5_d108e7417
1756.	w7_d108e7420
</head>
<p id="p4_d108e7423">
Gestern	w1_d108e7427
ware	w3_d108e7430
bey	w5_d108e7433
Hof	w7_d108e7436
Gala	w9_d108e7439
wegen	w11_d108e7442
der	w13_d108e7446
glücklichen	w1_d108e7451
Nieder=kunft	w3_d108e7454
Jhrer	w5_d108e7457
Majestät,	w7_d108e7460
der	w1_d108e7465
Kaiserin	w3_d108e7468
Königin,	w5_d108e7471
und	w7_d108e7474
der	w9_d108e7477
Geburt	w11_d108e7480
eines	w13_d108e7484
Erz=herzogs.	w1_d108e7490
Um	w3_d108e7493
11.	w5_d108e7496
Uhr	w7_d108e7499
begaben	w9_d108e7502
sich	w11_d108e7505
Seine	w1_d108e7510
Königl.	w3_d108e7513
Hoheit,	w5_d108e7516
unser	w7_d108e7519
Generalgou	w9_d108e7522
verneur,	w1_d108e7527
mit	w3_d108e7530
einem	w5_d108e7533
grossen	w7_d108e7536
Gefolge	w9_d108e7539
nach	w11_d108e7542
der	w1_d108e7547
Kirche	w3_d108e7550
von	w5_d108e7553
St.	w7_d108e7556
Michael	w9_d108e7559
und	w11_d108e7562
Sta.	w13_d108e7566
Gu	w15_d108e7569
dula,	w1_d108e7575
und	w3_d108e7578
wohnten	w5_d108e7581
alda	w7_d108e7584
dem	w9_d108e7587
Te	w11_d108e7590
Deum,	w13_d108e7594
und	w15_d108e7597
der	w1_d108e7602
grossen	w3_d108e7605
Messe	w5_d108e7608
bey,	w7_d108e7611
während	w9_d108e7614
welcher	w11_d108e7617
die	w13_d108e7621
Kanonen	w1_d108e7626
verschiedene	w3_d108e7629
mal	w5_d108e7632
gelöset	w7_d108e7635
wurden.	w9_d108e7638
Wie	w1_d108e7643
Seine	w3_d108e7646
Königl	w5_d108e7649
Hoheit	w7_d108e7652
bey	w9_d108e7655
Hof	w11_d108e7658
zuruck	w13_d108e7662
gekommen	w1_d108e7668
waren,	w3_d108e7671
empfiengen	w5_d108e7674
Sie	w7_d108e7677
von	w9_d108e7680
denen	w11_d108e7683
Ministris	w1_d108e7688
und	w3_d108e7691
dem	w5_d108e7694
Adel	w7_d108e7697
die	w9_d108e7700
Complimenten.	w11_d108e7703
Abends	w1_d108e7708
war	w3_d108e7711
an	w5_d108e7714
dem	w7_d108e7717
Hof	w9_d108e7720
Apartement,	w11_d108e7723
und	w13_d108e7727
hernach	w1_d108e7732
eine	w3_d108e7735
splendide	w5_d108e7738
Abend=mahlzeit.	w7_d108e7741
Die	w9_d108e7744
ganze	w1_d108e7750
Stadt	w3_d108e7753
bezeugte	w5_d108e7756
ihre	w7_d108e7759
Freude	w9_d108e7762
durch	w11_d108e7765
Jl	w13_d108e7769
luminationen,	w1_d108e7774
Freuden=feuer,	w3_d108e7777
und	w5_d108e7780
andere	w7_d108e7783
Freudens=zeichen.	w1_d108e7788
Das	w3_d108e7791
Fest	w5_d108e7794
wurde	w7_d108e7797
mit	w9_d108e7800
einem	w1_d108e7805
Ball,	w3_d108e7808
den	w5_d108e7811
der	w7_d108e7814
Hof	w9_d108e7817
auf	w11_d108e7820
dem	w13_d108e7824
grossen	w15_d108e7827
Theatro	w1_d108e7833
gratis	w3_d108e7836
geben	w5_d108e7839
liesse,	w7_d108e7842
beschlossen.	w9_d108e7845
Vor	w1_d108e7850
einigen	w3_d108e7853
Tagen	w5_d108e7856
kame	w7_d108e7859
Mylord	w9_d108e7862
Hamil	w11_d108e7865
ton,	w1_d108e7870
Sohn	w3_d108e7873
des	w5_d108e7876
Herzogs	w7_d108e7879
dieses	w9_d108e7882
Namens,	w11_d108e7885
alhier	w1_d108e7890
an,	w3_d108e7893
und	w5_d108e7896
hatte	w7_d108e7899
gestern	w9_d108e7902
Abends	w11_d108e7905
die	w13_d108e7909
Ehre,	w1_d108e7915
mit	w3_d108e7918
Seiner	w5_d108e7921
Königl.	w7_d108e7924
Hoheit	w9_d108e7927
an.	w11_d108e7930
Dero	w13_d108e7934
</p>
<head id="h4_d108e7943">
Eppingen	w1_d108e7947
24.	w3_d108e7950
Dec.	w5_d108e7953
1756.	w7_d108e7956
</head>
<p id="p6_d108e7959">
Die	w1_d108e7963
über	w3_d108e7966
Heilbronn	w5_d108e7969
durch	w7_d108e7972
Schwaben	w9_d108e7975
und	w11_d108e7978
Franken	w1_d108e7983
gehende	w3_d108e7986
Colonne	w5_d108e7989
der	w7_d108e7992
Niederländi	w9_d108e7995
schen	w1_d108e8000
Trupen	w3_d108e8003
hat	w5_d108e8006
heute	w7_d108e8009
alhier	w9_d108e8012
und	w11_d108e8015
in	w13_d108e8019
der	w15_d108e8022
Ge	w17_d108e8025
gend	w1_d108e8031
ihre	w3_d108e8034
Marsch=quartiere	w5_d108e8037
bezogen,	w7_d108e8040
und	w9_d108e8043
ge	w11_d108e8046
het	w1_d108e8051
Morgen	w3_d108e8054
auf	w5_d108e8057
Grossen=gardach	w7_d108e8060
und	w9_d108e8063
die	w11_d108e8066
um	w13_d108e8070
ligende	w1_d108e8075
Orte,	w3_d108e8078
wo	w5_d108e8081
sie	w7_d108e8084
sodann	w9_d108e8087
nach	w11_d108e8090
gehalte	w13_d108e8094
nem	w1_d108e8099
Rast=tag	w3_d108e8102
den	w5_d108e8105
Neckar	w7_d108e8108
würklich	w9_d108e8111
paßiren	w11_d108e8114
wird.	w1_d108e8120
</p>
<head id="h2_d108e8126">
Königsberg	w1_d108e8130
14.	w3_d108e8133
Dec.	w5_d108e8136
1756.	w7_d108e8139
</head>
<p id="p4_d108e8142">
Ein	w1_d108e8146
von	w3_d108e8149
der	w5_d108e8152
Armee	w7_d108e8155
unsers	w9_d108e8158
Königs	w11_d108e8161
aus	w13_d108e8165
Sachsen	w1_d108e8170
abgefertigter	w3_d108e8173
Currier	w5_d108e8176
hat	w7_d108e8179
von	w9_d108e8182
Sr.	w11_d108e8185
Majestät	w1_d108e8190
die	w3_d108e8193
Befehle	w5_d108e8196
mitgebracht,	w7_d108e8199
daß	w9_d108e8202
die	w11_d108e8205
in	w1_d108e8211
diesem	w3_d108e8214
Köngreich	w5_d108e8217
in	w7_d108e8220
Quartier	w9_d108e8223
ligende	w11_d108e8226
Trupen	w1_d108e8231
sich	w3_d108e8234
Marsch=fertig	w5_d108e8237
halten	w7_d108e8240
sollen,	w9_d108e8243
um	w11_d108e8246
auf	w1_d108e8251
den	w3_d108e8254
ersten	w5_d108e8257
Winck	w7_d108e8260
aufbrechen	w9_d108e8263
zu	w11_d108e8266
können.	w13_d108e8270
Jedermann	w1_d108e8275
sagt,	w3_d108e8278
sie	w5_d108e8281
würden	w7_d108e8284
nach	w9_d108e8287
Curland	w11_d108e8290
gehen,	w1_d108e8296
so	w3_d108e8299
bald	w5_d108e8302
man	w7_d108e8305
erfähret,	w9_d108e8308
daß	w11_d108e8311
die	w13_d108e8315
Rußi	w15_d108e8318
sche	w1_d108e8323
Armee	w3_d108e8326
dahin	w5_d108e8329
im	w7_d108e8332
Marsch	w9_d108e8335
ist.	w11_d108e8338
</p>
<head id="h2_d108e8344">
Elb=strom	w1_d108e8348
20.	w3_d108e8351
Decemb.	w5_d108e8354
1756.	w7_d108e8357
</head>
<p id="p4_d108e8360">
Nach	w1_d108e8364
verschiedenen	w3_d108e8367
Nachrichten,	w5_d108e8370
welche	w7_d108e8373
man	w1_d108e8378
aus	w3_d108e8381
Sachsen,	w5_d108e8384
sonderlich	w7_d108e8387
aber	w9_d108e8390
aus	w11_d108e8393
Leip	w13_d108e8397
zig,	w1_d108e8402
Dreßden	w3_d108e8405
und	w5_d108e8408
anderen	w7_d108e8411
Oertern	w9_d108e8414
erhaltet,	w11_d108e8417
so	w1_d108e8423
werden	w3_d108e8426
die	w5_d108e8429
Umstände	w7_d108e8432
daselbst,	w9_d108e8435
wegen	w11_d108e8438
der	w1_d108e8443
Noht	w3_d108e8446
der	w5_d108e8449
Lebens=mitteln,	w7_d108e8452
täglich	w9_d108e8455
grös	w11_d108e8458
ser.	w1_d108e8463
Und	w3_d108e8466
im	w5_d108e8469
Erz=gebürgischen	w7_d108e8472
Kreise	w9_d108e8475
soll	w11_d108e8478
es	w1_d108e8483
sehr	w3_d108e8486
betrübt	w5_d108e8489
in	w7_d108e8492
diesem	w9_d108e8495
Stücke	w11_d108e8498
aussehen.	w13_d108e8502
Handel	w1_d108e8508
und	w3_d108e8511
Wandel,	w5_d108e8514
und	w7_d108e8517
fast	w9_d108e8520
alle	w11_d108e8523
Nahrung	w13_d108e8527
läge	w1_d108e8532
darnieder,	w3_d108e8535
und	w5_d108e8538
der	w7_d108e8541
Zustand	w9_d108e8544
Sachsens	w11_d108e8547
seye	w1_d108e8552
dermalen	w3_d108e8555
sehr	w5_d108e8558
nohtleidend.	w7_d108e8561
</p>
<head id="h2_d108e8567">
Riga	w1_d108e8571
den	w3_d108e8574
2.	w5_d108e8577
December,	w7_d108e8580
1756.	w9_d108e8583
</head>
<p id="p4_d108e8586">
Seit	w1_d108e8590
deme	w3_d108e8593
Seine	w5_d108e8596
Excellenz,	w7_d108e8599
der	w9_d108e8602
Herr	w11_d108e8605
Feld=marschall,	w1_d108e8610
Hr.	w3_d108e8613
Graf	w5_d108e8616
von	w7_d108e8619
Apraxin	w9_d108e8622
hier	w1_d108e8627
angelanget,	w3_d108e8630
seynd	w5_d108e8633
in	w7_d108e8636
hiesiger	w9_d108e8639
Stadt	w11_d108e8642
mehr	w1_d108e8648
als	w3_d108e8651
3000.	w5_d108e8654
Pferde	w7_d108e8657
angekommen,	w9_d108e8660
um	w11_d108e8663
bey	w13_d108e8667
der	w1_d108e8672
Bagage	w3_d108e8675
gebraucht	w5_d108e8678
zu	w7_d108e8681
werden,	w9_d108e8684
welche	w11_d108e8687
die	w13_d108e8691
selbe	w1_d108e8696
der	w3_d108e8699
Armee	w5_d108e8702
nachführen.	w7_d108e8705
Jn	w9_d108e8708
hiesiger	w11_d108e8711
Stadt	w1_d108e8716
seynd	w3_d108e8719
nicht	w5_d108e8722
nur	w7_d108e8725
dir	w9_d108e8728
offentliche	w11_d108e8731
Gast	w13_d108e8735
häuser,	w1_d108e8741
sondern	w3_d108e8744
auch	w5_d108e8747
viele	w7_d108e8750
Privat=häuser	w9_d108e8753
mit	w11_d108e8756
vornehmen	w1_d108e8761
Officiers	w3_d108e8764
von	w5_d108e8767
denen	w7_d108e8770
RußischKai	w9_d108e8773
serlichen	w1_d108e8778
Trupen	w3_d108e8781
angefühlet,	w5_d108e8784
und	w7_d108e8787
die	w9_d108e8790
hiesi	w11_d108e8793
gen	w1_d108e8798
Einwohner	w3_d108e8801
befinden	w5_d108e8804
sich	w7_d108e8807
hierbey	w9_d108e8810
gar	w11_d108e8813
wol	w13_d108e8817
dann	w1_d108e8823
es	w3_d108e8826
wird	w5_d108e8829
ihnen	w7_d108e8832
alles	w9_d108e8835
in	w11_d108e8838
guten	w13_d108e8842
Geld	w15_d108e8845
und	w1_d108e8850
mehrentheils	w3_d108e8853
in	w5_d108e8856
Rubeln	w7_d108e8859
ausgezahlt.	w9_d108e8862
Seine	w1_d108e8867
Excellenz,	w3_d108e8870
der	w5_d108e8873
Herr	w7_d108e8876
Graf	w9_d108e8879
von	w11_d108e8882
Apraxin	w13_d108e8886
hält	w1_d108e8891
täglich	w3_d108e8894
offene	w5_d108e8897
Tafel,	w7_d108e8900
an	w9_d108e8903
welcher	w11_d108e8906
ge	w13_d108e8910
meiniglich	w1_d108e8916
80.	w3_d108e8919
Officiers	w5_d108e8922
vom	w7_d108e8925
ersten	w9_d108e8928
Rang,	w11_d108e8931
auf	w1_d108e8936
das	w3_d108e8939
prächtigste	w5_d108e8942
tractiret	w7_d108e8945
werden.	w9_d108e8948
Die	w11_d108e8951
Eß=waaren	w1_d108e8956
seynd	w3_d108e8959
hier	w5_d108e8962
wolfeil,	w7_d108e8965
und	w9_d108e8968
an	w11_d108e8971
kost	w13_d108e8975
saren	w1_d108e8980
Weinen	w3_d108e8983
fehlt	w5_d108e8986
es	w7_d108e8989
auch	w9_d108e8992
nicht.	w11_d108e8995
Man	w13_d108e8999
verfelt	w1_d108e9005
aber,	w3_d108e9008
ob	w5_d108e9011
sich	w7_d108e9014
der	w9_d108e9017
Herr	w11_d108e9020
Feldmar	w13_d108e9024
</p>
<p id="p6_d108e9027">
schall	w1_d108e9031
noch	w3_d108e9034
lange	w5_d108e9037
hier	w7_d108e9040
aufhalten	w9_d108e9043
werde,	w11_d108e9046
weil	w13_d108e9050
man	w1_d108e9055
alles	w3_d108e9058
zu	w5_d108e9061
einem	w7_d108e9064
Marsch	w9_d108e9067
bereit	w11_d108e9070
macht,	w13_d108e9074
es	w15_d108e9077
wird	w1_d108e9082
aber	w3_d108e9085
der	w5_d108e9088
würkliche	w7_d108e9091
Aufbruch	w9_d108e9094
der	w11_d108e9097
Armee	w13_d108e9101
sehr	w1_d108e9107
geheim	w3_d108e9110
gehalten.	w5_d108e9113
Ein	w7_d108e9116
wenig	w9_d108e9119
vor	w11_d108e9122
Ab	w13_d108e9126
gang	w1_d108e9131
der	w3_d108e9134
Post,	w5_d108e9137
ist	w7_d108e9140
im	w9_d108e9143
Pallast	w11_d108e9146
des	w13_d108e9150
Herrn	w15_d108e9153
Feld=marschalls,	w1_d108e9158
ein	w3_d108e9161
Expresser	w5_d108e9164
angelanget,	w7_d108e9167
worauf	w1_d108e9172
sogleich	w3_d108e9175
20.	w5_d108e9178
der	w7_d108e9181
allervornehmsten	w9_d108e9184
Of	w11_d108e9187
ficiers,	w1_d108e9193
bey	w3_d108e9196
Sr.	w5_d108e9199
Excellenz	w7_d108e9202
sich	w9_d108e9205
einstellen	w11_d108e9208
mu	w13_d108e9212
sten,	w1_d108e9217
ohne,	w3_d108e9220
daß	w5_d108e9223
man	w7_d108e9226
noch	w9_d108e9229
zur	w11_d108e9232
Zeit	w13_d108e9236
erfahren	w15_d108e9239
können,	w1_d108e9244
was	w3_d108e9247
dieser	w5_d108e9250
Expresse	w7_d108e9253
eigentlich	w9_d108e9256
für	w11_d108e9259
Briefschaften,	w1_d108e9264
und	w3_d108e9267
Befehle	w5_d108e9270
mitgebracht	w7_d108e9273
habe.	w1_d108e9279
</p>
<head id="h2_d108e9285">
Prag	w1_d108e9289
4.	w3_d108e9292
Jan.	w5_d108e9295
</head>
<p id="p4_d108e9298">
Man	w1_d108e9302
hat	w3_d108e9305
folgendes	w5_d108e9308
Verzeichnuß	w7_d108e9311
von	w9_d108e9314
der	w11_d108e9317
Postirung	w1_d108e9322
der	w3_d108e9325
Preußischen	w5_d108e9328
Armee	w7_d108e9331
in	w9_d108e9334
Sach	w11_d108e9337
sen	w1_d108e9342
erhalten:	w3_d108e9345
Sieben	w5_d108e9348
Battaillons,	w7_d108e9351
unter	w9_d108e9354
Commando	w1_d108e9360
des	w3_d108e9363
General=leutenants	w5_d108e9366
von	w7_d108e9369
Lestewitz,	w1_d108e9374
bey	w3_d108e9377
Zwickau,	w5_d108e9380
als:	w7_d108e9383
2.	w9_d108e9386
Battail	w11_d108e9389
lons	w1_d108e9394
von	w3_d108e9397
Kleist,	w5_d108e9400
2.	w7_d108e9403
von	w9_d108e9406
Prinz	w11_d108e9409
Heinrich,	w13_d108e9413
2.	w15_d108e9416
von	w1_d108e9421
Münchau	w3_d108e9424
1.	w5_d108e9427
von	w7_d108e9430
Möllendorf.	w9_d108e9433
5.	w11_d108e9436
Esca	w13_d108e9440
drons	w1_d108e9446
von	w3_d108e9449
Normann,	w5_d108e9452
10.	w7_d108e9455
von	w9_d108e9458
Puttkam	w11_d108e9461
mer,	w1_d108e9466
Husaren.	w3_d108e9469
6.	w5_d108e9472
Battaillons	w7_d108e9475
bey	w9_d108e9478
der	w11_d108e9481
Elbe,	w13_d108e9485
unter	w1_d108e9490
Commando	w3_d108e9493
des	w5_d108e9496
General=majors	w7_d108e9499
von	w9_d108e9502
Zastrow,	w1_d108e9507
als:	w3_d108e9510
1.	w5_d108e9513
Battaillon	w7_d108e9516
von	w9_d108e9519
Bildes	w11_d108e9522
beck,	w1_d108e9528
1.	w3_d108e9531
von	w5_d108e9534
Lengenfeld,	w7_d108e9537
2.	w9_d108e9540
von	w11_d108e9543
Kamir,	w13_d108e9547
bey	w1_d108e9552
Gottleube,	w3_d108e9555
und	w5_d108e9558
2.	w7_d108e9561
von	w9_d108e9564
Zastrow	w11_d108e9567
bey	w13_d108e9571
Giesbehül.	w1_d108e9576
Fünf	w3_d108e9579
Escadrons	w5_d108e9582
Husaren,	w7_d108e9585
Sze	w9_d108e9588
kaly	w1_d108e9593
von	w3_d108e9596
Zehist;	w5_d108e9599
diese	w7_d108e9602
werden	w9_d108e9605
alle	w11_d108e9608
5.	w13_d108e9612
Tage	w15_d108e9615
von	w1_d108e9621
Zehist	w3_d108e9624
abgelöset.	w5_d108e9627
3.	w7_d108e9630
Battaillons	w9_d108e9633
bey	w11_d108e9636
Dippoldiswalde,	w1_d108e9641
unter	w3_d108e9644
Commando	w5_d108e9647
des	w7_d108e9650
Ge	w9_d108e9653
nerals	w1_d108e9658
von	w3_d108e9661
Mannstein,	w5_d108e9664
als:	w7_d108e9667
1.	w9_d108e9670
Battaillon	w11_d108e9673
von	w1_d108e9678
Wangenheim,	w3_d108e9681
1.	w5_d108e9684
von	w7_d108e9687
Kanitz,	w9_d108e9690
1.	w11_d108e9693
von	w13_d108e9697
Neuwied.	w1_d108e9703
Hierzu	w3_d108e9706
kommen	w5_d108e9709
2.	w7_d108e9712
Escadrons	w9_d108e9715
Husaren.	w1_d108e9720
5.	w3_d108e9723
Battaillons	w5_d108e9726
bey	w7_d108e9729
Freyberg	w9_d108e9732
unter	w1_d108e9737
Commando	w3_d108e9740
des	w5_d108e9743
General=majors	w7_d108e9746
von	w9_d108e9749
Hulsen,	w1_d108e9754
als:	w3_d108e9757
1	w5_d108e9760
Battaillon	w7_d108e9763
von	w9_d108e9766
Grumkau,	w11_d108e9769
1.	w1_d108e9775
von	w3_d108e9778
Schendorf,	w5_d108e9781
2.	w7_d108e9784
von	w9_d108e9787
Winterfeld,	w11_d108e9790
1.	w13_d108e9794
von	w1_d108e9799
Puttkammer.	w3_d108e9802
Hierzu	w5_d108e9805
kommen	w7_d108e9808
noch	w9_d108e9811
1.	w11_d108e9814
Grenadier=battaillon	w1_d108e9819
und	w3_d108e9822
2.	w5_d108e9825
Escadrons	w7_d108e9828
von	w9_d108e9831
Szekaly,	w1_d108e9836
Husaren.	w3_d108e9839
5	w5_d108e9842
Battaillons	w7_d108e9845
bey	w9_d108e9848
Chem	w11_d108e9851
nitz,	w1_d108e9857
unter	w3_d108e9860
Commando	w5_d108e9863
des	w7_d108e9866
Generalma	w9_d108e9869
jors	w1_d108e9874
von	w3_d108e9877
Krobloch,	w5_d108e9880
als:	w7_d108e9883
2.	w9_d108e9886
Battaillons	w11_d108e9889
von	w1_d108e9894
Knobloch,	w3_d108e9897
2.	w5_d108e9900
von	w7_d108e9903
Prinz	w9_d108e9906
Ferdinand	w11_d108e9909
von	w13_d108e9913
Preussen,	w1_d108e9918
1.	w3_d108e9921
von	w5_d108e9924
Finck.	w7_d108e9927
5.	w9_d108e9930
Escadrons	w11_d108e9933
von	w13_d108e9937
Ziethen,	w1_d108e9943
Kusaren.	w3_d108e9946
Dieses	w5_d108e9949
wird	w7_d108e9952
alle	w9_d108e9955
8.	w11_d108e9958
Tä	w13_d108e9962
ge	w1_d108e9967
abgelöst,	w3_d108e9970
und	w5_d108e9973
muß	w7_d108e9976
die	w9_d108e9979
Weege	w11_d108e9982
und	w13_d108e9986
Gegend	w15_d108e9989
von	w1_d108e9994
Marienberg	w3_d108e9997
und	w5_d108e10000
Thum	w7_d108e10003
nach	w9_d108e10006
Annaberg	w11_d108e10009
beobachten.	w1_d108e10014
5.	w3_d108e10017
Battaillons	w5_d108e10020
von	w7_d108e10023
Prinz	w9_d108e10026
Fer	w11_d108e10029
dinand	w1_d108e10035
von	w3_d108e10038
Braunschweig,	w5_d108e10041
2.	w7_d108e10044
von	w9_d108e10047
Kalk	w11_d108e10050
stein,	w1_d108e10055
1.	w3_d108e10058
von	w5_d108e10061
Bandemier.	w7_d108e10064
