<doc id="wr_1756-10-02" attrs="word" year="1756" month="10" day="02" corpus="2">
<head id="h2_d79e3406">
Neu=Yorck	w1_d79e3410
Pfund	w3_d79e7076
Subsidien	w5_d79e7079
nach	w7_d79e7082
Petersburg;	w9_d79e7085
54140.	w1_d79e7090
Pfunde	w3_d79e7093
für	w5_d79e7096
Hessen=cassel;	w7_d79e7099
10000.	w9_d79e7102
Pfunde	w1_d79e7107
für	w3_d79e7110
Chur=bayern;	w5_d79e7113
121447.	w7_d79e7116
Pfund	w9_d79e7119
für	w1_d79e7124
Hannover,	w3_d79e7127
20000.	w5_d79e7130
Pfund	w7_d79e7133
für	w9_d79e7136
Preussen	w11_d79e7139
zur	w1_d79e7145
Schad=loshaltung	w3_d79e7148
wegen	w5_d79e7151
der	w7_d79e7154
im	w9_d79e7157
vori	w11_d79e7160
gen	w1_d79e7165
Kriege	w3_d79e7168
aufgebrachten	w5_d79e7171
Schiffe,	w7_d79e7174
und	w9_d79e7177
100000.	w11_d79e7180
für	w1_d79e7185
Extra=ausgaben,	w3_d79e7188
welche	w5_d79e7191
das	w7_d79e7194
Parlement	w9_d79e7197
nicht	w1_d79e7202
vorher	w3_d79e7205
bestimmen	w5_d79e7208
können.	w7_d79e7211
</p>
<head id="h2_d79e7218">
Marseille	w1_d79e7222
1.	w3_d79e7225
Sept.	w5_d79e7228
</head>
<p id="p4_d79e7231">
Von	w1_d79e7235
Alicante	w3_d79e7238
wird	w5_d79e7241
berichtet,	w7_d79e7244
daß	w9_d79e7247
man	w11_d79e7250
ein	w13_d79e7254
Engländisechs	w1_d79e7259
Kriegs=schif	w3_d79e7262
alda	w5_d79e7265
vorbey	w7_d79e7268
see	w9_d79e7271
gein	w1_d79e7276
gesehen,	w3_d79e7279
welches	w5_d79e7282
4.	w7_d79e7285
Prisen	w9_d79e7288
nach	w11_d79e7291
der	w13_d79e7295
Meer	w15_d79e7298
enge	w1_d79e7304
begleitete;	w3_d79e7307
allein	w5_d79e7310
man	w7_d79e7313
habe	w9_d79e7316
nicht	w11_d79e7319
ent	w13_d79e7323
decken	w1_d79e7328
können,	w3_d79e7331
von	w5_d79e7334
welcher	w7_d79e7337
Nation	w9_d79e7340
diesel	w11_d79e7343
ben	w1_d79e7348
gewesen.	w3_d79e7351
</p>
<p id="p6_d79e7354">
Nunmeyro	w1_d79e7358
haben	w3_d79e7361
wir	w5_d79e7364
endlich	w7_d79e7367
die	w9_d79e7370
zuverlä	w11_d79e7373
ßige	w1_d79e7378
Nachricht	w3_d79e7381
erhalten,	w5_d79e7384
daß	w7_d79e7387
die	w9_d79e7390
Englän	w11_d79e7393
dische	w1_d79e7398
Florte	w3_d79e7401
die	w5_d79e7404
Gegend	w7_d79e7407
der	w9_d79e7410
Jnsul	w11_d79e7413
Minor	w13_d79e7417
ca	w1_d79e7423
verlassen,	w3_d79e7426
und	w5_d79e7429
sich	w7_d79e7432
gegen	w9_d79e7435
Villa=franca	w11_d79e7438
ge	w13_d79e7442
wender	w1_d79e7447
habe,	w3_d79e7450
vone	w5_d79e7453
daß	w7_d79e7456
man	w9_d79e7459
eigentlich	w11_d79e7462
weiß,	w13_d79e7466
aus	w1_d79e7471
welchen	w3_d79e7474
Vorhaben.	w1_d79e7479
Deme	w3_d79e7482
seye	w5_d79e7485
aber	w7_d79e7488
wie	w1_d79e7494
zhm	w3_d79e7497
wolle,	w5_d79e7500
so	w7_d79e7503
hat	w9_d79e7506
man	w11_d79e7509
alle	w13_d79e7513
Ursache	w15_d79e7516
zu	w17_d79e7519
beörchten,	w1_d79e7524
daß	w3_d79e7527
wann	w5_d79e7530
diese	w7_d79e7533
Flotte	w9_d79e7536
würklich	w11_d79e7539
bisen	w1_d79e7544
Weeg	w3_d79e7547
genemmen,	w5_d79e7550
dieselbe	w7_d79e7553
die	w9_d79e7556
Absicht	w11_d79e7559
habe,	w1_d79e7564
unsern	w3_d79e7567
nach	w5_d79e7570
Torsica	w7_d79e7573
bestimmten	w9_d79e7576
Völ	w11_d79e7579
ker	w1_d79e7585
den	w3_d79e7588
Paß	w5_d79e7591
abzuschneiden.	w7_d79e7594
Andere	w9_d79e7597
hinge	w11_d79e7600
gen	w1_d79e7605
seynd	w3_d79e7608
der	w5_d79e7611
Meinung,	w7_d79e7614
daß	w9_d79e7617
sich	w11_d79e7620
dieselbe	w13_d79e7624
nur	w1_d79e7629
deßwegen	w3_d79e7632
der	w5_d79e7635
Jtaliänischen	w7_d79e7638
Küste	w9_d79e7641
gena	w11_d79e7644
het,	w1_d79e7649
um	w3_d79e7652
eine	w5_d79e7655
Flotte	w7_d79e7658
von	w9_d79e7661
60.	w11_d79e7664
bis	w13_d79e7668
80.	w15_d79e7671
Kauf	w17_d79e7674
farbey=schiffen,	w1_d79e7680
welche	w3_d79e7683
sich	w5_d79e7686
in	w7_d79e7689
verschiedenen	w9_d79e7692
Jtaliänischen	w1_d79e7697
See=häfen	w3_d79e7700
befinden,	w5_d79e7703
zusammen	w7_d79e7706
zu	w1_d79e7711
ziehen,	w3_d79e7714
und	w5_d79e7717
derselben	w7_d79e7720
ihren	w9_d79e7723
Weeg	w11_d79e7726
bis	w13_d79e7730
ge	w15_d79e7733
gen	w1_d79e7738
der	w3_d79e7741
Meer=enge	w5_d79e7744
zu,	w7_d79e7747
sicher	w9_d79e7750
zu	w11_d79e7753
machen,	w13_d79e7757
und	w15_d79e7760
zu	w1_d79e7766
erleichtern,	w3_d79e7769
damit	w5_d79e7772
sie	w7_d79e7775
von	w9_d79e7778
denen	w11_d79e7781
Franzö	w13_d79e7785
sischen	w1_d79e7790
Freybeutern	w3_d79e7793
nicht	w5_d79e7796
beunruhiget	w7_d79e7799
werden	w9_d79e7802
möchte.	w1_d79e7807
</p>
<head id="h2_d79e7813">
Toulon	w1_d79e7817
12.	w3_d79e7820
Sept.	w5_d79e7823
</head>
<p id="p4_d79e7826">
Die	w1_d79e7830
Königl.	w3_d79e7833
Barque	w5_d79e7836
Hyrondelle,	w7_d79e7839
die	w9_d79e7842
der	w11_d79e7845
Herr	w1_d79e7850
von	w3_d79e7853
Chabert	w5_d79e7856
commandiret,	w7_d79e7859
ist	w9_d79e7862
vor	w11_d79e7865
ei	w13_d79e7869
nigen	w1_d79e7874
Tagen	w3_d79e7877
von	w5_d79e7880
Mahon	w7_d79e7883
alhier	w9_d79e7886
angelanget.	w11_d79e7889
Der	w1_d79e7895
Herr	w3_d79e7898
von	w5_d79e7901
Chabert	w7_d79e7904
hat	w9_d79e7907
versichert,	w11_d79e7910
daß	w13_d79e7914
die	w1_d79e7919
Aussenwerke	w3_d79e7922
des	w5_d79e7925
Forts	w7_d79e7928
St.	w9_d79e7931
Philipp,	w11_d79e7934
welche	w1_d79e7939
während	w3_d79e7942
der	w5_d79e7945
Belagerung	w7_d79e7948
ruiniret	w9_d79e7951
</p>
<p id="p6_d79e7954">
worden	w1_d79e7958
seynd,	w3_d79e7961
sich	w5_d79e7964
bey	w7_d79e7967
nahe	w9_d79e7970
alle	w11_d79e7973
wieder	w13_d79e7977
in	w15_d79e7980
gu	w17_d79e7983
tem	w1_d79e7988
Stande	w3_d79e7991
befinden.	w5_d79e7994
</p>
<head id="h2_d79e8000">
Livorno	w1_d79e8004
14.	w3_d79e8007
Sept.	w5_d79e8010
</head>
<p id="p4_d79e8013">
Der	w1_d79e8017
Capitan	w3_d79e8020
eines	w5_d79e8023
Ragusischen	w7_d79e8026
Schiffes,	w9_d79e8029
welcher	w1_d79e8034
von	w3_d79e8037
Tunis	w5_d79e8040
alhier	w7_d79e8043
angelanget,	w9_d79e8046
hat	w11_d79e8049
die	w13_d79e8053
Nachricht	w1_d79e8058
mitgebracht,	w3_d79e8061
daß	w5_d79e8064
bey	w7_d79e8067
seiner	w9_d79e8070
Ab	w11_d79e8073
reise	w1_d79e8079
die	w3_d79e8082
Stadt	w5_d79e8085
Tunis	w7_d79e8088
auf	w9_d79e8091
der	w11_d79e8094
Land=seite	w13_d79e8098
von	w15_d79e8101
denen	w1_d79e8106
Algierern	w3_d79e8109
mit	w5_d79e8112
einer	w7_d79e8115
Armee,	w9_d79e8118
von	w11_d79e8121
50000.	w13_d79e8125
Mann	w1_d79e8130
sowol	w3_d79e8133
zu	w5_d79e8136
Fuß	w7_d79e8139
als	w9_d79e8142
zu	w11_d79e8145
Pferd	w13_d79e8149
seye	w1_d79e8154
belagert	w3_d79e8157
worden.	w5_d79e8160
Diese	w7_d79e8163
Armee	w9_d79e8166
derer	w11_d79e8169
Algierer	w1_d79e8175
seye	w3_d79e8178
bereits	w5_d79e8181
den	w7_d79e8184
19.	w9_d79e8187
20.	w11_d79e8190
und	w13_d79e8194
21sten	w15_d79e8197
Julii	w1_d79e8202
in	w3_d79e8205
der	w5_d79e8208
Gegend	w7_d79e8211
von	w9_d79e8214
Lunis	w11_d79e8217
angelanget.	w13_d79e8221
Dieselbe	w1_d79e8226
habe	w3_d79e8229
eine	w5_d79e8232
starke	w7_d79e8235
Artillerie	w9_d79e8238
bey	w11_d79e8241
sich.	w13_d79e8245
Die	w1_d79e8250
Land=thöre	w3_d79e8253
der	w5_d79e8256
Stadt	w7_d79e8259
Tunis	w9_d79e8262
seyen	w11_d79e8265
ge	w13_d79e8269
schlossen,	w1_d79e8275
und	w3_d79e8278
könne	w5_d79e8281
niemand	w7_d79e8284
mehr	w9_d79e8287
durch	w11_d79e8290
die	w13_d79e8294
selbe	w1_d79e8299
hinaus	w3_d79e8302
passiren.	w5_d79e8305
Die	w7_d79e8308
Algierische	w9_d79e8311
Ar	w11_d79e8314
mec	w1_d79e8319
habe	w3_d79e8322
sich	w5_d79e8325
hierauf	w7_d79e8328
der	w9_d79e8331
Stadt	w11_d79e8334
genäheret,	w13_d79e8338
und	w1_d79e8343
campire	w3_d79e8346
vor	w5_d79e8349
derselben,	w7_d79e8352
hätte	w9_d79e8355
auch	w11_d79e8358
bereits	w13_d79e8362
angefangen,	w1_d79e8368
Tunis	w3_d79e8371
zu	w5_d79e8374
beschiessen,	w7_d79e8377
das	w9_d79e8380
sich	w11_d79e8383
aber	w13_d79e8387
tapfer	w1_d79e8392
vertheidige.	w3_d79e8395
Es	w5_d79e8398
meldet	w7_d79e8401
auch	w9_d79e8404
besag	w11_d79e8407
ter	w1_d79e8412
Ragusischer	w3_d79e8415
Capitan,	w5_d79e8418
daß	w7_d79e8421
in	w9_d79e8424
dem	w11_d79e8427
Hafen	w13_d79e8431
zu	w1_d79e8436
Tunis	w3_d79e8439
4.	w5_d79e8442
Malthesische	w7_d79e8445
Galeeren,	w9_d79e8448
nebst	w11_d79e8451
zweyen	w1_d79e8457
Kriegs=schiffen	w3_d79e8460
der	w5_d79e8463
Maltheser=ritter	w7_d79e8466
sich	w1_d79e8471
befinden,	w3_d79e8474
um	w5_d79e8477
den	w7_d79e8480
Bey	w9_d79e8483
von	w11_d79e8486
Tunis,	w13_d79e8490
mit	w15_d79e8493
allem	w1_d79e8498
was	w3_d79e8501
er	w5_d79e8504
retten	w7_d79e8507
könnte,	w9_d79e8510
an	w11_d79e8513
Boord	w13_d79e8517
zu	w15_d79e8520
nehmen,	w1_d79e8525
indem	w3_d79e8528
die	w5_d79e8531
Stadt	w7_d79e8534
Tunis	w9_d79e8537
sich	w11_d79e8540
ge	w13_d79e8544
zwungen	w1_d79e8550
sehen	w3_d79e8553
würde,	w5_d79e8556
denen	w7_d79e8559
Algierern	w9_d79e8562
sich	w11_d79e8565
zu	w1_d79e8570
ergeben.	w3_d79e8573
Am	w5_d79e8576
Sonnabend	w7_d79e8579
seynd	w9_d79e8582
drey	w11_d79e8585
Holländische	w1_d79e8590
Kriegs=schiffe	w3_d79e8593
hier	w5_d79e8596
angelanget,	w7_d79e8599
welche	w1_d79e8604
eine	w3_d79e8607
kleine	w5_d79e8610
Holländische	w7_d79e8613
Kauffardey	w9_d79e8616
flotte	w1_d79e8622
hieher	w3_d79e8625
begleitet.	w5_d79e8628
</p>
<head id="h2_d79e8634">
Paris	w1_d79e8638
14.	w3_d79e8641
Sept.	w5_d79e8644
</head>
<p id="p4_d79e8647">
Man	w1_d79e8651
hat	w3_d79e8654
bey	w5_d79e8657
Bergerac	w7_d79e8660
einen	w9_d79e8663
N.	w11_d79e8666
Thiebault,	w13_d79e8670
ge	w15_d79e8673
fänglich	w1_d79e8678
eingezogen,	w3_d79e8681
welcher	w5_d79e8684
angeklaget	w7_d79e8687
wird,	w9_d79e8690
10000.	w1_d79e8695
Protestanten	w3_d79e8698
engagirt	w5_d79e8701
zu	w7_d79e8704
haben,	w9_d79e8707
die	w11_d79e8710
Eng	w13_d79e8714
länder	w1_d79e8720
in	w3_d79e8723
einer	w5_d79e8726
Landung	w7_d79e8729
zu	w9_d79e8732
unterstützen,	w11_d79e8735
so	w13_d79e8739
diese	w15_d79e8742
entschlossen	w1_d79e8747
waren,	w3_d79e8750
bey	w5_d79e8753
Marennes	w7_d79e8756
zu	w9_d79e8759
thun;	w11_d79e8762
er	w13_d79e8766
soll	w1_d79e8771
dem	w3_d79e8774
Herzog	w5_d79e8777
von	w7_d79e8780
Cumberland	w9_d79e8783
Avis	w11_d79e8786
gegeben	w13_d79e8790
haben	w1_d79e8795
von	w3_d79e8798
allem	w5_d79e8801
deme,	w7_d79e8804
was	w9_d79e8807
vorgegangen.	w11_d79e8810
Gegenwärtig	w1_d79e8816
zwinget	w3_d79e8819
man	w5_d79e8822
ihn	w7_d79e8825
die	w9_d79e8828
Mitschul	w11_d79e8831
dige	w1_d79e8836
zu	w3_d79e8839
offenbaren,	w5_d79e8842
welchemnach	w7_d79e8845
er	w9_d79e8848
gevier	w11_d79e8851
theilt	w1_d79e8856
werden	w3_d79e8859
solle.	w5_d79e8862
</p>
<head id="h2_d79e8868">
Amsterdam	w1_d79e8872
18.	w3_d79e8875
Sept.	w5_d79e8878
</head>
<p id="p4_d79e8881">
Spanien	w1_d79e8885
hat	w3_d79e8888
dermahlen	w5_d79e8891
eine	w7_d79e8894
förchterliche	w9_d79e8897
Kriegs=macht.	w1_d79e8902
Von	w3_d79e8905
der	w5_d79e8908
See=macht	w7_d79e8911
sagt	w9_d79e8914
man,	w11_d79e8917
daß	w1_d79e8922
solche	w3_d79e8925
seit	w5_d79e8928
der	w7_d79e8931
Stiftung	w9_d79e8934
der	w11_d79e8937
Manarchie	w13_d79e8941
noch	w1_d79e8947
nicht	w3_d79e8950
so	w5_d79e8953
stark	w7_d79e8956
gewesen.	w9_d79e8959
Sie	w11_d79e8962
bestehet	w13_d79e8966
aus	w15_d79e8969
44.	w1_d79e8974
Schiffen	w3_d79e8977
von	w5_d79e8980
der	w7_d79e8983
Linie,	w9_d79e8986
19.	w11_d79e8989
Fregatten,	w13_d79e8993
4.	w1_d79e8998
Bombardier=galliotten,	w3_d79e9001
24.	w5_d79e9004
Chiabequen	w7_d79e9007
und	w1_d79e9012
4.	w3_d79e9015
Paquet=booten,	w5_d79e9018
ohne	w7_d79e9021
3.	w9_d79e9024
Schiffen	w11_d79e9027
und	w13_d79e9031
</p>
<p id="p8_d79e9036">
2.	w1_d79e9040
Fregatten,	w3_d79e9043
welche	w5_d79e9046
zum	w7_d79e9049
Dienste	w9_d79e9052
der	w11_d79e9055
Ostin	w13_d79e9059
dischen	w1_d79e9064
Handlung	w3_d79e9067
gebraucht	w5_d79e9070
werden.	w7_d79e9073
Seit	w9_d79e9076
1751.	w1_d79e9081
hat	w3_d79e9084
man	w5_d79e9087
allein	w7_d79e9090
in	w9_d79e9093
Cadix	w11_d79e9096
19.	w13_d79e9100
Kriegs	w15_d79e9103
schiffe	w1_d79e9109
von	w3_d79e9112
70.	w5_d79e9115
Kannonen	w7_d79e9118
gebauet.	w9_d79e9121
Neuer	w11_d79e9124
lich	w1_d79e9129
seyno	w3_d79e9132
4.	w5_d79e9135
von	w7_d79e9138
Ferrol	w9_d79e9141
daseldst	w11_d79e9144
zur	w13_d79e9148
völli	w15_d79e9151
gen	w1_d79e9156
Ausrüstung	w3_d79e9159
angekommen.	w5_d79e9162
Die	w7_d79e9165
Armee	w9_d79e9168
beträgt	w1_d79e9173
120000.	w3_d79e9176
Mann.	w5_d79e9179
Gewiß	w7_d79e9182
eine	w9_d79e9185
ansehn	w11_d79e9188
liche	w1_d79e9194
Stärke,	w3_d79e9197
bey	w5_d79e9200
aller	w7_d79e9203
Neutralität	w9_d79e9206
anderen	w11_d79e9209
schreklich	w1_d79e9214
zu	w3_d79e9217
werden.	w5_d79e9220
</p>
<head id="h2_d79e9226">
St.	w1_d79e9230
Petersburg	w3_d79e9233
18.	w5_d79e9236
Aug.	w7_d79e9239
</head>
<p id="p4_d79e9242">
An	w1_d79e9246
verschiedene	w3_d79e9249
von	w5_d79e9252
unsern	w7_d79e9255
Regimentern	w9_d79e9258
ist	w11_d79e9261
durch	w1_d79e9266
einen	w3_d79e9269
ausserordentlichen	w5_d79e9272
Currier	w7_d79e9275
der	w9_d79e9278
Befehl	w1_d79e9283
abgefertiget	w3_d79e9286
worden,	w5_d79e9289
sich	w7_d79e9292
zum	w9_d79e9295
Marsch	w11_d79e9298
bereit	w1_d79e9304
zu	w3_d79e9307
halten.	w5_d79e9310
</p>
<head id="h2_d79e9317">
Durlach	w1_d79e9321
29.	w3_d79e9324
Augusti.	w5_d79e9327
</head>
<p id="p4_d79e9330">
Heute	w1_d79e9334
des	w3_d79e9337
Morgens	w5_d79e9340
um	w7_d79e9343
halb	w9_d79e9346
9.	w11_d79e9349
Uhr	w13_d79e9353
ist	w15_d79e9356
unsere	w1_d79e9361
Durchl.	w3_d79e9364
Frau	w5_d79e9367
Marggräfin	w7_d79e9370
von	w9_d79e9373
einem	w11_d79e9376
jungen	w1_d79e9381
Prinzen	w3_d79e9384
glücklich	w5_d79e9387
entbunden	w7_d79e9390
worden.	w9_d79e9393
</p>
<head id="h2_d79e9399">
Danzig	w1_d79e9403
4.	w3_d79e9406
Sept.	w5_d79e9409
</head>
<p id="p4_d79e9412">
Man	w1_d79e9416
hat	w3_d79e9419
vernommen,	w5_d79e9422
daß	w7_d79e9425
ein	w9_d79e9428
Detasche	w11_d79e9431
ment	w1_d79e9436
Preußischer	w3_d79e9439
Trupen	w5_d79e9442
vor	w7_d79e9445
einigen	w9_d79e9448
Tagen	w11_d79e9451
die	w1_d79e9456
kleine	w3_d79e9459
Stadt	w5_d79e9462
Siewirsk,	w7_d79e9465
in	w9_d79e9468
dem	w11_d79e9471
Bezirk	w13_d79e9475
von	w1_d79e9481
Krackau	w3_d79e9484
überrumpelt,	w5_d79e9487
und	w7_d79e9490
den	w9_d79e9493
Gouver	w11_d79e9496
neur	w1_d79e9501
mit	w3_d79e9504
zweyen	w5_d79e9507
Commissarien,	w7_d79e9510
samt	w9_d79e9513
ihren	w11_d79e9516
Lebens=mitteln,	w1_d79e9521
und	w3_d79e9524
100.	w5_d79e9527
Ochsen	w7_d79e9530
aufgehoben	w9_d79e9533
hätten.	w1_d79e9538
Man	w3_d79e9541
füget	w5_d79e9544
hinzu,	w7_d79e9547
daß	w9_d79e9550
dieses	w11_d79e9553
aus	w13_d79e9557
Repressalien	w1_d79e9563
geschehen	w3_d79e9566
sey,	w5_d79e9569
weilen	w7_d79e9572
diese	w9_d79e9575
Com	w11_d79e9578
missarien	w1_d79e9583
von	w3_d79e9586
gedachten	w5_d79e9589
Siewirsk	w7_d79e9592
einige	w9_d79e9595
100.	w11_d79e9598
Klafter	w1_d79e9603
Holz	w3_d79e9606
wegholen	w5_d79e9609
lassen,	w7_d79e9612
so	w9_d79e9615
auf	w11_d79e9618
Be	w13_d79e9622
fehl	w1_d79e9627
des	w3_d79e9630
Grafens	w5_d79e9633
von	w7_d79e9636
Henkel	w9_d79e9639
in	w11_d79e9642
einem	w13_d79e9646
Wald,	w15_d79e9649
welcher	w1_d79e9655
im	w3_d79e9658
Streit	w5_d79e9661
liget,	w7_d79e9664
abgehauen	w9_d79e9667
wor	w11_d79e9670
den.	w1_d79e9675
</p>
<head id="h2_d79e9681">
Erfurt	w1_d79e9685
5.	w3_d79e9688
Sept.	w5_d79e9691
</head>
<p id="p4_d79e9694">
Die	w1_d79e9698
Sächsische	w3_d79e9701
Corespondenz	w5_d79e9704
ist	w7_d79e9707
anjetzt	w9_d79e9710
sehr	w11_d79e9713
leer,	w1_d79e9718
indem	w3_d79e9721
es	w5_d79e9724
bey	w7_d79e9727
Straffe	w9_d79e9730
verbotten	w11_d79e9733
ist,	w13_d79e9737
von	w15_d79e9740
jetzigen	w1_d79e9745
Kriegerischen	w3_d79e9748
Umständen	w5_d79e9751
etwas	w7_d79e9754
zu	w9_d79e9757
melden;	w1_d79e9763
nur	w3_d79e9766
so	w5_d79e9769
viel	w7_d79e9772
weiß	w9_d79e9775
man,	w11_d79e9778
daß	w13_d79e9782
die	w15_d79e9785
Königl.	w1_d79e9790
Preußische	w3_d79e9793
Trupen	w5_d79e9796
die	w7_d79e9799
Stadt	w9_d79e9802
Leip	w11_d79e9805
zig	w1_d79e9810
und	w3_d79e9813
dasige	w5_d79e9816
Gegend	w7_d79e9819
bis	w9_d79e9822
auf	w11_d79e9825
600.	w13_d79e9829
Mann	w15_d79e9832
Garnison	w1_d79e9837
verlassen,	w3_d79e9840
und	w5_d79e9843
den	w7_d79e9846
Marsch	w9_d79e9849
nach	w11_d79e9852
Böhmen	w1_d79e9858
genommen	w3_d79e9861
haben.	w5_d79e9864
Die	w7_d79e9867
Forcht	w9_d79e9870
ist	w11_d79e9873
in	w1_d79e9878
Sachsen	w3_d79e9881
sehr	w5_d79e9884
groß,	w7_d79e9887
und	w9_d79e9890
viele	w11_d79e9893
flüchten	w13_d79e9897
sich	w15_d79e9900
und	w1_d79e9905
ihre	w3_d79e9908
Effecten	w5_d79e9911
hieher.	w7_d79e9914
Die	w9_d79e9917
nach	w11_d79e9920
Leipzig	w13_d79e9924
auf	w1_d79e9929
die	w3_d79e9932
Messe	w5_d79e9935
brstimmte	w7_d79e9938
Waaren	w9_d79e9941
ligen	w11_d79e9944
gleich	w13_d79e9948
falls	w1_d79e9954
hier,	w3_d79e9957
und	w5_d79e9960
Französische	w7_d79e9963
allein	w9_d79e9966
für	w11_d79e9969
mehr	w13_d79e9973
als	w1_d79e9978
100000.	w3_d79e9981
Thaler.	w5_d79e9984
Es	w7_d79e9987
ist	w9_d79e9990
kein	w11_d79e9993
Zweifel,	w13_d79e9997
</p>
<p id="p6_d79e10000">
daß	w1_d79e10004
dieses	w3_d79e10007
Jahr	w5_d79e10010
die	w7_d79e10013
Messe	w9_d79e10016
Noht	w11_d79e10019
leiden,	w13_d79e10023
oder	w15_d79e10026
daß	w1_d79e10031
vielleicht	w3_d79e10034
gar	w5_d79e10037
keine	w7_d79e10040
seyn	w9_d79e10043
wird.	w11_d79e10046
</p>
<p id="p8_d79e10049">
Von	w1_d79e10053
der	w3_d79e10056
Königl.	w5_d79e10059
Preusischen	w7_d79e10062
Armee	w9_d79e10065
in	w11_d79e10068
Sachsen	w1_d79e10073
weiß	w3_d79e10076
man	w5_d79e10079
noch	w7_d79e10082
weiter	w9_d79e10085
nichts,	w11_d79e10088
als	w13_d79e10092
daß	w1_d79e10097
dieselbe	w3_d79e10100
eine	w5_d79e10103
Art	w7_d79e10106
von	w9_d79e10109
Cordon	w11_d79e10112
längs	w13_d79e10116
denen	w15_d79e10119
Böhmischen	w1_d79e10125
Gränzen	w3_d79e10128
von	w5_d79e10131
Plauen	w7_d79e10134
bis	w9_d79e10137
Chem	w11_d79e10140
nitz,	w1_d79e10145
und	w3_d79e10148
so	w5_d79e10151
durch	w7_d79e10154
die	w9_d79e10157
Laußnitz	w11_d79e10160
gezogen.	w13_d79e10164
Zu	w15_d79e10167
Torgan,	w1_d79e10172
als	w3_d79e10175
den	w5_d79e10178
Paß	w7_d79e10181
über	w9_d79e10184
die	w11_d79e10187
Elbe,	w13_d79e10191
siehet	w15_d79e10194
ein	w17_d79e10197
starkes	w1_d79e10202
Commando,	w3_d79e10205
und	w5_d79e10208
zu	w7_d79e10211
Meissen	w9_d79e10214
hat	w11_d79e10217
der	w13_d79e10221
König	w1_d79e10227
in	w3_d79e10230
Preussen	w5_d79e10233
den	w7_d79e10236
6ten	w9_d79e10239
dieses	w11_d79e10242
sein	w13_d79e10246
Haupt	w15_d79e10249
quartier	w1_d79e10254
gehabt.	w3_d79e10257
Wie	w5_d79e10260
man	w7_d79e10263
vernimmt,	w9_d79e10266
so	w11_d79e10269
be	w13_d79e10273
findet	w1_d79e10278
sich	w3_d79e10281
der	w5_d79e10284
Prinz	w7_d79e10287
von	w9_d79e10290
Preussen	w11_d79e10293
nebst	w13_d79e10297
de	w15_d79e10300
nen	w1_d79e10305
übrigen	w3_d79e10308
Königl.	w5_d79e10311
Prinzen	w7_d79e10314
ebenfalls	w9_d79e10317
bey	w11_d79e10320
der	w1_d79e10326
Armee	w3_d79e10329
in	w5_d79e10332
Sachsen;	w7_d79e10335
Der	w9_d79e10338
Feld=marschall	w11_d79e10341
Graf	w1_d79e10346
von	w3_d79e10349
Schwerin	w5_d79e10352
aber,	w7_d79e10355
hat	w9_d79e10358
seine	w11_d79e10361
aus	w13_d79e10365
denen	w15_d79e10368
Schlesischen	w1_d79e10373
Regimentern	w3_d79e10376
bestehende	w5_d79e10379
Armee	w7_d79e10382
bey	w1_d79e10387
Neus	w3_d79e10390
zusammen	w5_d79e10393
gezogen.	w7_d79e10396
</p>
<head id="h2_d79e10402">
Dresden	w1_d79e10406
7.	w3_d79e10409
Sept.	w5_d79e10412
</head>
<p id="p4_d79e10415">
Alle	w1_d79e10419
Brenn=öfen	w3_d79e10422
bey	w5_d79e10425
der	w7_d79e10428
Fabrique	w9_d79e10431
in	w11_d79e10434
Meis	w13_d79e10438
sen	w1_d79e10443
seynd	w3_d79e10446
zerbrochen,	w5_d79e10449
und	w7_d79e10452
die	w9_d79e10455
Haupt=meister	w11_d79e10458
nacher	w1_d79e10463
Königstein	w3_d79e10466
in	w5_d79e10469
Sicherheit	w7_d79e10472
gebracht	w9_d79e10475
worden.	w1_d79e10481
An	w3_d79e10484
allen	w5_d79e10487
Königl.	w7_d79e10490
Häusern	w9_d79e10493
seynd	w11_d79e10496
die	w1_d79e10501
Königl.	w3_d79e10504
Wappen	w5_d79e10507
angeschlagen	w7_d79e10510
worden,	w9_d79e10513
dergleichen	w1_d79e10518
haben	w3_d79e10521
auch	w5_d79e10524
die	w7_d79e10527
fremden	w9_d79e10530
Gesan	w11_d79e10533
dten	w1_d79e10538
alhier	w3_d79e10541
an	w5_d79e10544
ihren	w7_d79e10547
Quartieren	w9_d79e10550
gethan.	w11_d79e10553
Am	w13_d79e10557
Sonntag	w1_d79e10563
hat	w3_d79e10566
man	w5_d79e10569
in	w7_d79e10572
allen	w9_d79e10575
Kirchen	w11_d79e10578
angefan	w13_d79e10582
hen	w1_d79e10587
für	w3_d79e10590
den	w5_d79e10593
abwesenden	w7_d79e10596
König	w9_d79e10599
und	w11_d79e10602
die	w13_d79e10606
Prin	w15_d79e10609
zen,	w1_d79e10614
so,	w3_d79e10617
wie	w5_d79e10620
für	w7_d79e10623
die	w9_d79e10626
Abwendung	w11_d79e10629
aller	w13_d79e10633
dro	w15_d79e10636
henden	w1_d79e10641
Gefahr,	w3_d79e10644
zu	w5_d79e10647
bitten.	w7_d79e10650
Auf	w9_d79e10653
dem	w11_d79e10656
Königl.	w13_d79e10660
Schlosse	w1_d79e10666
seynd	w3_d79e10669
alle	w5_d79e10672
hintere	w7_d79e10675
Ausgänge	w9_d79e10678
geschlos	w11_d79e10681
sen,	w1_d79e10686
und	w3_d79e10689
nur	w5_d79e10692
das	w7_d79e10695
Thor	w9_d79e10698
gegen	w11_d79e10701
der	w13_d79e10705
