<doc id="wr_1760-10-11" attrs="word" year="1760" month="10" day="11" corpus="2">
<head id="h2_d492e3019">
Falda=strom	w1_d492e3023
der	w7_d492e6653
Land=seite	w9_d492e6656
ist	w11_d492e6659
man	w1_d492e6664
den	w3_d492e6667
8.	w5_d492e6670
Sept.	w7_d492e6673
so	w9_d492e6676
weit	w11_d492e6679
gekommen,	w13_d492e6683
daß	w15_d492e6686
man	w1_d492e6692
die	w3_d492e6695
Colbergs=münde	w5_d492e6698
mit	w7_d492e6701
Sturm	w9_d492e6704
er	w11_d492e6707
orbert,	w1_d492e6712
und	w3_d492e6715
dabey	w5_d492e6718
sich	w7_d492e6721
4.	w9_d492e6724
Canonen	w11_d492e6727
be	w13_d492e6731
mächtiget,	w1_d492e6736
auch	w3_d492e6739
1.	w5_d492e6742
Leutenant	w7_d492e6745
und	w9_d492e6748
28.	w11_d492e6751
Mann	w1_d492e6756
zu	w3_d492e6759
Gefangenen	w5_d492e6762
bekommen	w7_d492e6765
hat.	w9_d492e6768
Den	w11_d492e6771
15.	w1_d492e6777
sind	w3_d492e6780
4.	w5_d492e6783
Batterien	w7_d492e6786
fertig	w9_d492e6789
geworden.	w11_d492e6792
Von	w13_d492e6796
selbigen	w1_d492e6801
hat	w3_d492e6804
man	w5_d492e6807
den	w7_d492e6810
16.	w9_d492e6813
heftig	w11_d492e6816
von	w13_d492e6820
dreyen	w15_d492e6823
Seiten	w1_d492e6828
auf	w3_d492e6831
die	w5_d492e6834
Stadt	w7_d492e6837
gefeuert.	w9_d492e6840
Jn	w11_d492e6843
der	w13_d492e6847
Nacht	w1_d492e6852
auf	w3_d492e6855
den	w5_d492e6858
17.	w7_d492e6861
hat	w9_d492e6864
man	w11_d492e6867
noch	w13_d492e6871
eine	w15_d492e6874
5te	w17_d492e6877
Batterie	w1_d492e6883
zu	w3_d492e6886
Stande	w5_d492e6889
gebracht,	w7_d492e6892
und	w9_d492e6895
davon	w11_d492e6898
den	w1_d492e6903
17.	w3_d492e6906
besonders	w5_d492e6909
aber	w7_d492e6912
in	w9_d492e6915
der	w11_d492e6918
Nacht	w13_d492e6922
auf	w15_d492e6925
den	w1_d492e6930
18.	w3_d492e6933
die	w5_d492e6936
Stadt	w7_d492e6939
so	w9_d492e6942
heftig	w11_d492e6945
beschossen,	w13_d492e6949
daß	w15_d492e6952
dadruch	w1_d492e6957
des	w3_d492e6960
Feindes	w5_d492e6963
hohe	w7_d492e6966
Werke	w9_d492e6969
gänzlich	w11_d492e6972
demontiret,	w1_d492e6978
und	w3_d492e6981
unbrauchbar	w5_d492e6984
gemacht	w7_d492e6987
wor	w9_d492e6990
den	w1_d492e6995
sind.	w3_d492e6998
Die	w5_d492e7001
Belagerten	w7_d492e7004
haben	w9_d492e7007
durauf	w11_d492e7010
zwar	w1_d492e7015
von	w3_d492e7018
ihren	w5_d492e7021
niedrigen	w7_d492e7024
Werken	w9_d492e7027
zu	w11_d492e7030
feuern	w13_d492e7034
angefangen,	w1_d492e7039
auch	w3_d492e7042
viele	w5_d492e7045
Bomben	w7_d492e7048
und	w9_d492e7051
Feuer	w11_d492e7054
kugeln	w1_d492e7060
geworfen,	w3_d492e7063
die	w5_d492e7066
aber	w7_d492e7069
keine	w9_d492e7072
andere	w11_d492e7075
Wirkung	w1_d492e7080
gethan,	w3_d492e7083
als	w5_d492e7086
daß	w7_d492e7089
dadurch	w9_d492e7092
einige	w11_d492e7095
Mann	w1_d492e7100
getödtet,	w3_d492e7103
und	w5_d492e7106
der	w7_d492e7109
einen	w9_d492e7112
Batterie	w11_d492e7115
ein	w13_d492e7119
kleiner	w1_d492e7124
Schaden	w3_d492e7127
zugefüget	w5_d492e7130
worden,	w7_d492e7133
der	w9_d492e7136
je	w11_d492e7139
doch	w1_d492e7145
sogleich	w3_d492e7148
wieder	w5_d492e7151
ausgebessert	w7_d492e7154
ist.	w9_d492e7157
Die	w11_d492e7160
erste	w1_d492e7165
Parallele	w3_d492e7168
ist	w5_d492e7171
vom	w7_d492e7174
Glacis	w9_d492e7177
200.	w11_d492e7180
die	w13_d492e7184
2te	w15_d492e7187
120.	w1_d492e7192
und	w3_d492e7195
die	w5_d492e7198
3te	w7_d492e7201
den	w9_d492e7204
18.	w11_d492e7207
nur	w13_d492e7211
noch	w15_d492e7214
20.	w17_d492e7217
Ru	w19_d492e7220
then	w1_d492e7225
entfernt	w3_d492e7228
gewesen,	w5_d492e7231
und	w7_d492e7234
wie	w9_d492e7237
man	w11_d492e7240
sich	w13_d492e7244
also	w1_d492e7250
mit	w3_d492e7253
Gewißheit	w5_d492e7256
versprochen,	w7_d492e7259
in	w9_d492e7262
der	w11_d492e7265
Nacht	w1_d492e7270
auf	w3_d492e7273
den	w5_d492e7276
19.	w7_d492e7279
noch	w9_d492e7282
aufs	w11_d492e7285
Glacis	w13_d492e7289
zu	w15_d492e7292
kommen,	w1_d492e7297
so	w3_d492e7300
hat	w5_d492e7303
man	w7_d492e7306
auch	w9_d492e7309
am	w11_d492e7312
gedachten	w13_d492e7316
Tage	w1_d492e7321
mit	w3_d492e7324
dem	w5_d492e7327
Bresche=schiessen	w7_d492e7330
den	w9_d492e7333
Anfang	w11_d492e7336
machen	w1_d492e7342
wollen.	w3_d492e7345
Die	w5_d492e7348
Faschinen	w7_d492e7351
zu	w9_d492e7354
An	w11_d492e7357
füllung	w1_d492e7362
des	w3_d492e7365
Grabens	w5_d492e7368
sind	w7_d492e7371
schon	w9_d492e7374
in	w11_d492e7377
Bereit	w13_d492e7381
schaft	w1_d492e7386
gewesen.	w3_d492e7389
Da	w5_d492e7392
bis	w7_d492e7395
dahin	w9_d492e7398
bereits	w11_d492e7401
über	w13_d492e7405
700.	w1_d492e7410
Bomben	w3_d492e7413
in	w5_d492e7416
die	w7_d492e7419
Stadt	w9_d492e7422
geworfen	w11_d492e7425
sind,	w13_d492e7429
so	w1_d492e7435
ist	w3_d492e7438
in	w5_d492e7441
selbiger	w7_d492e7444
öfters	w9_d492e7447
Feuer	w11_d492e7450
ausgekom	w13_d492e7454
men,	w1_d492e7459
welches	w3_d492e7462
dennoch	w5_d492e7465
jedesmal	w7_d492e7468
wieder	w9_d492e7471
ge	w11_d492e7474
ischet	w1_d492e7479
worden.	w3_d492e7482
Jnzwischen	w5_d492e7485
sollen	w7_d492e7488
doch	w9_d492e7491
meist	w1_d492e7496
</p>
<p id="p10_d492e7501">
meist	w1_d492e7505
alle	w3_d492e7508
Häuser	w5_d492e7511
ruiniret	w7_d492e7514
seyn.	w9_d492e7517
Die	w11_d492e7520
sehr	w13_d492e7524
häufig	w1_d492e7529
aus	w3_d492e7532
der	w5_d492e7535
Stadt	w7_d492e7538
gekommenen	w9_d492e7541
Deser	w11_d492e7544
teurs	w1_d492e7549
haben	w3_d492e7552
die	w5_d492e7555
Stärke	w7_d492e7558
der	w9_d492e7561
Garnison	w11_d492e7564
zu	w13_d492e7568
2000.	w1_d492e7574
Mann	w3_d492e7577
ausgesetzet,	w5_d492e7580
die	w7_d492e7583
aber	w9_d492e7586
grosten	w11_d492e7589
theils	w1_d492e7594
aus	w3_d492e7597
gezwungenen	w5_d492e7600
Leuten	w7_d492e7603
bestehet,	w9_d492e7606
weswegen	w1_d492e7611
der	w3_d492e7614
Commandant	w5_d492e7617
auch	w7_d492e7620
keinen	w9_d492e7623
Ausfall	w1_d492e7628
hat	w3_d492e7631
wagen	w5_d492e7634
wollen.	w7_d492e7637
Der	w9_d492e7640
Verlust	w11_d492e7643
der	w1_d492e7649
Belagerer	w3_d492e7652
hat	w5_d492e7655
bis	w7_d492e7658
dahin	w9_d492e7661
nur	w11_d492e7664
noch	w13_d492e7668
aus	w15_d492e7671
10.	w1_d492e7676
Todten	w3_d492e7679
und	w5_d492e7682
6.	w7_d492e7685
Bleßirten	w9_d492e7688
bestanden.	w11_d492e7691
Die	w1_d492e7696
Cosacken	w3_d492e7699
streiffen	w5_d492e7702
bis	w7_d492e7705
unter	w9_d492e7708
Stettin	w11_d492e7711
und	w1_d492e7716
haben	w3_d492e7719
neulich	w5_d492e7722
von	w7_d492e7725
einem	w9_d492e7728
Battaillon,	w11_d492e7731
welches	w1_d492e7737
bey	w3_d492e7740
Damm	w5_d492e7743
stehet,	w7_d492e7746
20.	w9_d492e7749
Mann,	w11_d492e7752
die	w1_d492e7757
in	w3_d492e7760
einem	w5_d492e7763
hohlen	w7_d492e7766
Wege	w9_d492e7769
arbeiteten,	w11_d492e7772
zu	w13_d492e7776
Gefangenen	w1_d492e7781
bekommen.	w3_d492e7784
Den	w5_d492e7787
18.	w7_d492e7790
um	w9_d492e7793
Mittage	w1_d492e7798
hat	w3_d492e7801
er	w5_d492e7804
einen	w7_d492e7807
starken	w9_d492e7810
Brand	w11_d492e7813
in	w13_d492e7817
der	w15_d492e7820
Stadt	w1_d492e7826
bemerkt,	w3_d492e7829
und	w5_d492e7832
zugleich	w7_d492e7835
ein	w9_d492e7838
heftiges	w11_d492e7841
Geprässel	w1_d492e7846
gehöret,	w3_d492e7849
woraus	w5_d492e7852
um	w7_d492e7855
so	w9_d492e7858
mehr	w11_d492e7861
zu	w13_d492e7865
urtheilen	w1_d492e7870
ist,	w3_d492e7873
das	w5_d492e7876
ein	w7_d492e7879
Pulver=magazin	w9_d492e7882
in	w11_d492e7885
der	w1_d492e7890
Stadt	w3_d492e7893
aufgeflogen	w5_d492e7896
seyn	w7_d492e7899
müsse,	w9_d492e7902
als	w11_d492e7905
da	w13_d492e7909
bey	w1_d492e7915
die	w3_d492e7918
Canonade	w5_d492e7921
von	w7_d492e7924
Rußischer	w9_d492e7927
Seite	w11_d492e7930
mit	w13_d492e7934
vieler	w1_d492e7939
Heftigkeit	w3_d492e7942
fortgesetzet,	w5_d492e7945
und	w7_d492e7948
bis	w9_d492e7951
gegen	w11_d492e7954
Abend	w1_d492e7959
gehöret	w3_d492e7962
worden	w5_d492e7965
ist.	w7_d492e7968
Ubrigens	w9_d492e7971
hat	w11_d492e7974
man	w1_d492e7979
von	w3_d492e7982
dem	w5_d492e7985
Anmarsch	w7_d492e7988
eines	w9_d492e7991
Preußischen	w11_d492e7994
Corps	w1_d492e8000
zu	w3_d492e8003
Entsetzung	w5_d492e8006
der	w7_d492e8009
Stadt,	w9_d492e8012
dort	w11_d492e8015
noch	w13_d492e8019
nichts	w1_d492e8024
gewust.	w3_d492e8027
Dem	w5_d492e8030
Ansehen	w7_d492e8033
nach	w9_d492e8036
dürfte	w11_d492e8039
selbiges	w1_d492e8044
auch	w3_d492e8047
wol	w5_d492e8050
zu	w7_d492e8053
spät	w9_d492e8056
kommen,	w11_d492e8059
oder	w13_d492e8063
doch	w1_d492e8068
wenigstens	w3_d492e8071
seiner	w5_d492e8074
Absicht	w7_d492e8077
verfehlen,	w9_d492e8080
indem	w1_d492e8086
es	w3_d492e8089
an	w5_d492e8092
den	w7_d492e8095
vorerwähnten	w9_d492e8098
9000.	w11_d492e8101
M.	w13_d492e8105
dann	w1_d492e8110
der	w3_d492e8113
auf	w5_d492e8116
allen	w7_d492e8119
Fall	w9_d492e8122
aus	w11_d492e8125
Land	w13_d492e8129
zu	w15_d492e8132
setzen	w17_d492e8135
den	w1_d492e8140
starken	w3_d492e8143
Besetzung	w5_d492e8146
der	w7_d492e8149
Krieg=schuffe,	w9_d492e8152
und	w11_d492e8155
einem	w1_d492e8160
von	w3_d492e8163
Marienwärder	w5_d492e8166
auf	w7_d492e8169
dem	w9_d492e8172
Marsche	w11_d492e8175
nach	w1_d492e8181
Colberg	w3_d492e8184
begriffenen	w5_d492e8187
Rußischen	w7_d492e8190
Corps	w9_d492e8193
von	w1_d492e8198
10000.	w3_d492e8201
Mann	w5_d492e8204
wol	w7_d492e8207
einen	w9_d492e8210
hinlänglichen	w11_d492e8213
Widerstand	w1_d492e8218
finden	w3_d492e8221
dürfte.	w5_d492e8224
</p>
<head id="h2_d492e8230">
Maxburg	w1_d492e8234
20.	w3_d492e8237
Sept.	w5_d492e8240
</head>
<p id="p4_d492e8243">
Unser	w1_d492e8247
Commandant,	w3_d492e8250
der	w5_d492e8253
Heer	w7_d492e8256
von	w9_d492e8259
Ken	w11_d492e8262
nedy,	w1_d492e8267
hatte	w3_d492e8270
24.	w5_d492e8273
bis	w7_d492e8276
30.	w9_d492e8279
Mann,	w11_d492e8282
als	w13_d492e8286
eine	w15_d492e8289
Salbe=garde	w1_d492e8294
in	w3_d492e8297
der	w5_d492e8300
Stadt	w7_d492e8303
gelassen,	w9_d492e8306
und	w11_d492e8309
ihnen	w1_d492e8315
anbefohlen,	w3_d492e8318
keinen	w5_d492e8321
Schuß	w7_d492e8324
zu	w9_d492e8327
thun.	w11_d492e8330
Jn	w1_d492e8335
der	w3_d492e8338
Nacht	w5_d492e8341
vom	w7_d492e8344
9.	w9_d492e8347
zum	w11_d492e8350
10.	w13_d492e8354
dieses	w15_d492e8357
ka	w17_d492e8360
men	w1_d492e8365
die	w3_d492e8368
Alliirten	w5_d492e8371
durch	w7_d492e8374
die	w9_d492e8377
Gärten	w11_d492e8380
in	w13_d492e8384
die	w15_d492e8387
Stadt	w1_d492e8392
herein,	w3_d492e8395
welches	w5_d492e8398
kein	w7_d492e8401
einziger	w9_d492e8404
von	w11_d492e8407
unsern	w1_d492e8413
Salve=garde=posten	w3_d492e8416
wissen	w5_d492e8419
konnte.	w7_d492e8422
</p>
<p id="p6_d492e8425">
Jene	w1_d492e8429
bemächtigten	w3_d492e8432
sich	w5_d492e8435
also	w7_d492e8438
dieser	w9_d492e8441
Posten,	w11_d492e8444
und	w1_d492e8449
blieben	w3_d492e8452
in	w5_d492e8455
der	w7_d492e8458
Stadt,	w9_d492e8461
bis	w11_d492e8464
der	w13_d492e8468
Tag	w15_d492e8471
anbrach.	w1_d492e8476
Alsdann	w3_d492e8479
ließ	w5_d492e8482
der	w7_d492e8485
Herr	w9_d492e8488
von	w11_d492e8491
Bü	w13_d492e8495
low,	w1_d492e8501
im	w3_d492e8504
Namen	w5_d492e8507
des	w7_d492e8510
Erb=prinzens,	w9_d492e8513
auch	w11_d492e8516
das	w1_d492e8521
Schloß	w3_d492e8524
aufferdern.	w5_d492e8527
Der	w7_d492e8530
Comman	w9_d492e8533
da	w1_d492e8538
desselben	w3_d492e8541
ließ	w5_d492e8544
aber	w7_d492e8547
zur	w9_d492e8550
Antwort	w11_d492e8553
wissen,	w13_d492e8557
daß	w1_d492e8562
er	w3_d492e8565
zuvor	w5_d492e8568
die	w7_d492e8571
Achtung	w9_d492e8574
Sr.	w11_d492e8577
Durchl.	w13_d492e8581
ver	w15_d492e8584
dienen	w1_d492e8590
wollte,	w3_d492e8593
ehe	w5_d492e8596
er	w7_d492e8599
einen	w9_d492e8602
vom	w11_d492e8605
Könige	w13_d492e8609
ihm	w15_d492e8612
anvertrauten	w1_d492e8617
Platz	w3_d492e8620
übergäbe.	w5_d492e8623
Ueberdem	w7_d492e8626
möchte	w1_d492e8631
sich	w3_d492e8634
der	w5_d492e8637
Herr	w7_d492e8640
Baron	w9_d492e8643
Bülow	w11_d492e8646
nur	w13_d492e8650
ohne	w1_d492e8655
Zeitverlust	w3_d492e8658
aus	w5_d492e8661
der	w7_d492e8664
Stadt	w9_d492e8667
heraus	w11_d492e8670
be	w13_d492e8674
geben,	w1_d492e8680
indem	w3_d492e8683
man	w5_d492e8686
sogleich	w7_d492e8689
den	w9_d492e8692
Anfang	w11_d492e8695
machen	w1_d492e8700
würde,	w3_d492e8703
dieselbe	w5_d492e8706
zu	w7_d492e8709
beschiessen.	w9_d492e8712
Der	w11_d492e8715
alliirte	w1_d492e8720
Commandant	w3_d492e8723
antwortete,	w5_d492e8726
so	w7_d492e8729
wie	w9_d492e8732
man	w1_d492e8737
Französischer	w3_d492e8740
Seits	w5_d492e8743
mit	w7_d492e8746
der	w9_d492e8749
Stadt	w11_d492e8752
unigehen	w1_d492e8758
wurde,	w3_d492e8761
eben	w5_d492e8764
so	w7_d492e8767
würde	w9_d492e8770
man	w11_d492e8773
alliir	w13_d492e8777
ter	w1_d492e8782
Seits	w3_d492e8785
den	w5_d492e8788
Französischen	w7_d492e8791
Gefaugenen	w9_d492e8794
begegnen,	w1_d492e8799
auf	w3_d492e8802
welche	w5_d492e8805
Art	w7_d492e8808
es	w9_d492e8811
dem	w11_d492e8814
Herrn	w13_d492e8818
Kriegs=commissair	w1_d492e8823
du	w3_d492e8826
Moutier,	w5_d492e8829
der	w7_d492e8832
in	w9_d492e8835
sei	w11_d492e8838
ner	w1_d492e8844
Gewalt	w3_d492e8847
wäre,	w5_d492e8850
nicht	w7_d492e8853
gut	w9_d492e8856
ergehen	w11_d492e8859
würde.	w13_d492e8863
Hierauf	w1_d492e8868
ließ	w3_d492e8871
der	w5_d492e8874
Schloß=commandant	w7_d492e8877
sa	w9_d492e8880
gen:	w1_d492e8885
Er	w3_d492e8888
habe	w5_d492e8891
50.	w7_d492e8894
Engländer	w9_d492e8897
in	w11_d492e8900
seinem	w13_d492e8904
Schlosse,	w1_d492e8909
die	w3_d492e8912
für	w5_d492e8915
alle	w7_d492e8918
üble	w9_d492e8921
Begegungen	w11_d492e8924
stehen	w1_d492e8930
sollten,	w3_d492e8933
deren	w5_d492e8936
man	w7_d492e8939
sich	w9_d492e8942
gegen	w11_d492e8945
die	w13_d492e8949
Französischen	w1_d492e8954
Kriegs=gefangenen	w3_d492e8957
bedienen	w5_d492e8960
würde.	w1_d492e8965
Zugleich	w3_d492e8968
befahl	w5_d492e8971
er,	w7_d492e8974
Canonen	w9_d492e8977
auf	w11_d492e8980
die	w1_d492e8985
Stadt	w3_d492e8988
loszubrennen.	w5_d492e8991
Es	w7_d492e8994
war	w9_d492e8997
auch	w11_d492e9000
von	w1_d492e9006
beyden	w3_d492e9009
Seiten	w5_d492e9012
ein	w7_d492e9015
sehr	w9_d492e9018
lebhaftes	w11_d492e9021
Mus	w13_d492e9025
queten=feuer.	w1_d492e9030
Die	w3_d492e9033
Alliirten	w5_d492e9036
marschirten	w7_d492e9039
in	w1_d492e9044
Unordnung	w3_d492e9047
aus	w5_d492e9050
der	w7_d492e9053
Stadt	w9_d492e9056
heraus.	w11_d492e9059
Un	w13_d492e9063
sere	w1_d492e9068
Trupen	w3_d492e9071
folgten	w5_d492e9074
ihnen,	w7_d492e9077
machten	w9_d492e9080
Ge	w11_d492e9083
fangene,	w1_d492e9089
und	w3_d492e9092
brachten	w5_d492e9095
ihre	w7_d492e9098
Verwundeten	w9_d492e9101
zusammen.	w1_d492e9106
Dieser	w3_d492e9109
Haufen	w5_d492e9112
hat	w7_d492e9115
nicht	w9_d492e9118
zum	w11_d492e9121
besten	w1_d492e9126
gewirtschaftet.	w3_d492e9129
</p>
<head id="h2_d492e9136">
Wesel	w1_d492e9140
24.	w3_d492e9143
Sept.	w5_d492e9146
</head>
<p id="p4_d492e9149">
Der	w1_d492e9153
Herr	w3_d492e9156
von	w5_d492e9159
Combefort,	w7_d492e9162
Befehlshaber	w9_d492e9165
einer	w1_d492e9170
Frey=compagnie	w3_d492e9173
von	w5_d492e9176
150.	w7_d492e9179
Mann	w9_d492e9182
legte	w1_d492e9187
ein	w3_d492e9190
neues	w5_d492e9193
Zeugnüß	w7_d492e9196
seiner	w9_d492e9199
Tapferkeit	w11_d492e9202
ib:	w1_d492e9208
Den	w3_d492e9211
19.	w5_d492e9214
dieses	w7_d492e9217
früh	w9_d492e9220
um	w11_d492e9223
7.	w13_d492e9227
Uhr	w15_d492e9230
wur	w17_d492e9233
stz	w1_d492e9238
von	w3_d492e9241
4.	w5_d492e9244
Bataillons	w7_d492e9247
der	w9_d492e9250
de	w1_d492e9255
er	w3_d492e9258
zu	w5_d492e9261
Bochbo	w7_d492e9264
Brittannischen	w1_d492e9269
Legion,	w3_d492e9272
2.	w5_d492e9275
Escadron	w7_d492e9278
Reu	w9_d492e9281
terey	w1_d492e9287
und	w3_d492e9290
einer	w5_d492e9293
Schaar	w7_d492e9296
Hussaren	w9_d492e9299
und	w11_d492e9302
Jä	w13_d492e9306
riffen.	w1_d492e9311
Kaum	w3_d492e9314
ter	w1_d492e9319
mit	w3_d492e9322
2.	w5_d492e9325
Stücken	w7_d492e9328
angeg	w9_d492e9331
</p>
<p id="p8_d492e9336">
hatte	w1_d492e9340
er	w3_d492e9343
Zeit,	w5_d492e9346
sich	w7_d492e9349
aus	w9_d492e9352
einem	w11_d492e9355
Stadtthore	w13_d492e9359
zu	w1_d492e9364
ziehen,	w3_d492e9367
als	w5_d492e9370
bereits	w7_d492e9373
die	w9_d492e9376
Alliirten	w11_d492e9379
das	w13_d492e9383
an	w15_d492e9386
dere	w1_d492e9391
Thor	w3_d492e9394
mit	w5_d492e9397
einem	w7_d492e9400
Canonen=schuß	w9_d492e9403
auf	w11_d492e9406
gespreuget;	w1_d492e9412
sie	w3_d492e9415
verfolgten	w5_d492e9418
ihn	w7_d492e9421
eine	w9_d492e9424
Weite	w11_d492e9427
vor	w1_d492e9432
der	w3_d492e9435
Stadt.	w5_d492e9438
Durch	w7_d492e9441
eine	w9_d492e9444
geschickte	w11_d492e9447
Schwenkung	w1_d492e9452
siel	w3_d492e9455
er	w5_d492e9458
auf	w7_d492e9461
die	w9_d492e9464
feindliche	w11_d492e9467
Reu	w13_d492e9471
terey,	w1_d492e9476
versetzte	w3_d492e9479
ihr	w5_d492e9482
einen	w7_d492e9485
Verlust	w9_d492e9488
von	w11_d492e9491
50.	w13_d492e9495
Todten	w1_d492e9501
und	w3_d492e9504
Verwundeten,	w5_d492e9507
machte	w7_d492e9510
34.	w9_d492e9513
Ge	w11_d492e9516
fangene,	w1_d492e9521
und	w3_d492e9524
verfolgte	w5_d492e9527
den	w7_d492e9530
Feind	w9_d492e9533
bis	w11_d492e9536
an	w13_d492e9540
die	w1_d492e9545
Thore	w3_d492e9548
von	w5_d492e9551
Coesfeld.	w7_d492e9554
Unter=wegs	w9_d492e9557
hub	w11_d492e9560
er	w1_d492e9565
viele	w3_d492e9568
Ausreisser	w5_d492e9571
und	w7_d492e9574
20.	w9_d492e9577
Pferde	w11_d492e9580
auf.	w13_d492e9584
Dieser	w1_d492e9590
glückliche	w3_d492e9593
Vorfall	w5_d492e9596
kostete	w7_d492e9599
ihn	w9_d492e9602
nur	w11_d492e9605
3.	w1_d492e9610
Todte	w3_d492e9613
und	w5_d492e9616
3.	w7_d492e9619
Gefangene.	w9_d492e9622
</p>
<head id="h2_d492e9628">
Wien	w1_d492e9632
den	w3_d492e9635
11.	w5_d492e9638
October	w7_d492e9641
1760.	w9_d492e9644
</head>
<p id="p4_d492e9647">
Verflossenen	w1_d492e9651
4.	w3_d492e9654
Octob.	w5_d492e9657
als	w7_d492e9660
an	w9_d492e9663
dem	w11_d492e9666
ho	w13_d492e9670
hen	w1_d492e9675
Namens=tag	w3_d492e9678
Sr.	w5_d492e9681
Majestät	w7_d492e9684
des	w9_d492e9687
Kaisers	w1_d492e9692
wurde	w3_d492e9695
nach	w5_d492e9698
dem	w7_d492e9701
vormittägigen	w9_d492e9704
GOttes=dienst	w1_d492e9710
durch	w3_d492e9713
Se.	w5_d492e9716
Excell.	w7_d492e9719
den	w9_d492e9722
er	w11_d492e9725
sten	w1_d492e9730
Herrn	w3_d492e9733
Obrist=hofmeister,	w5_d492e9736
Grafen	w7_d492e9739
von	w9_d492e9742
Uhlfeld,	w1_d492e9747
der	w3_d492e9750
gewest=Kaiserl.	w5_d492e9753
Königl	w7_d492e9756
Cam	w9_d492e9759
merer	w1_d492e9764
Max.	w3_d492e9767
Graf	w5_d492e9770
von	w7_d492e9773
Cavriani,	w9_d492e9776
bey	w11_d492e9779
Jh	w13_d492e9783
ter	w1_d492e9789
Königl.	w3_d492e9792
Hoheit	w5_d492e9795
der	w7_d492e9798
Durchl.	w9_d492e9801
Erzherzo	w11_d492e9804
gin	w1_d492e9809
Amalia,	w3_d492e9812
an	w5_d492e9815
statt	w7_d492e9818
des	w9_d492e9821
verstorbenen	w11_d492e9824
Marquise	w1_d492e9829
Boal,	w3_d492e9832
als	w5_d492e9835
Dero	w7_d492e9838
Obristhof	w9_d492e9841
meister,	w1_d492e9846
dann	w3_d492e9849
durch	w5_d492e9852
Se.	w7_d492e9855
Excell.	w9_d492e9858
den	w11_d492e9861
Hrn.	w13_d492e9865
Reichs=vice=canzlern	w1_d492e9871
Grafen	w3_d492e9874
von	w5_d492e9877
Collo	w7_d492e9880
redo,	w1_d492e9885
einige	w3_d492e9888
Herren	w5_d492e9891
geheime	w7_d492e9894
Rähte	w9_d492e9897
in	w11_d492e9900
der	w13_d492e9904
Raht=stuben	w1_d492e9909
publiciret,	w3_d492e9912
folglich	w5_d492e9915
durch	w7_d492e9918
den	w9_d492e9921
Kaiserl.	w1_d492e9926
Königl.	w3_d492e9929
Ober=cammer=fourieren	w5_d492e9932
von	w1_d492e9938
Gollhofer,	w3_d492e9941
eine	w5_d492e9944
Promotion	w7_d492e9947
deren	w9_d492e9950
neuen	w11_d492e9953
Kaiserl.	w1_d492e9958
Königl.	w3_d492e9961
Herren	w5_d492e9964
Cammereren	w7_d492e9967
ab	w9_d492e9970
gelesen	w1_d492e9975
worden.	w3_d492e9978
</p>
<p id="p6_d492e9981">
NB.	w1_d492e9985
Jn	w3_d492e9988
dem	w5_d492e9991
Mittwochigen	w7_d492e9994
Journal	w9_d492e9997
der	w11_d492e10000
K.	w1_d492e10005
K.	w3_d492e10008
Haupt=armee	w5_d492e10011
von	w7_d492e10014
13.	w9_d492e10017
bis	w11_d492e10020
30.	w13_d492e10024
Sept.	w15_d492e10027
ist	w1_d492e10032
statt	w3_d492e10035
Benedict	w5_d492e10038
Darmstättischen	w7_d492e10041
Obrist	w9_d492e10044
leultenant	w1_d492e10050
Marquis	w3_d492e10053
Botta,	w5_d492e10056
Benedict	w7_d492e10059
Dauni	w9_d492e10062
schen	w1_d492e10067
Obrist	w3_d492e10070
leutenant	w5_d492e10073
Marq	w7_d492e10076
Botta	w9_d492e10079
zu	w11_d492e10082
lesen.	w13_d492e10086
</p>
<head id="h2_d492e10092">
Lista	w1_d492e10096
deren	w3_d492e10099
Verstorbenen	w5_d492e10102
zu	w7_d492e10105
Wien	w9_d492e10108
in	w1_d492e10113
und	w3_d492e10116
vor	w5_d492e10119
der	w7_d492e10122
Stadt.	w9_d492e10125
Den	w1_d492e10130
6.	w3_d492e10133
und	w5_d492e10136
7.	w7_d492e10139
Octob.	w9_d492e10142
</head>
<list id="l4_d492e10145">
Die	w1_d492e10149
Wol=ehrw.	w3_d492e10152
Chor=schw.	w5_d492e10155
Cathar.	w7_d492e10158
Harlebin,	w9_d492e10161
ia	w1_d492e10166
Klost.	w3_d492e10169
bey	w5_d492e10172
St.	w7_d492e10175
Nikola,	w9_d492e10178
alt	w11_d492e10181
71.	w13_d492e10185
J.	w15_d492e10188
</list>
<list id="l6_d492e10192">
Der	w1_d492e10196
Hr.	w3_d492e10199
Wil.	w5_d492e10202
Comorel,	w7_d492e10205
Herrschaftl.	w9_d492e10208
Haushor	w11_d492e10211
meist.,	w1_d492e10216
im	w3_d492e10219
Wackerbartis.	w5_d492e10222
H.	w7_d492e10225
in	w9_d492e10228
der	w11_d492e10231
Krugerstr.,	w13_d492e10235
alt	w1_d492e10240
49.	w3_d492e10243
J.	w5_d492e10246
Dem	w1_d492e10252
Hrn.	w3_d492e10255
David	w5_d492e10258
Kahl,	w7_d492e10261
gew.	w9_d492e10264
Gold=arbeit.,	w11_d492e10267
s.	w13_d492e10271
Fr.	w15_d492e10274
Cathar.,	w1_d492e10279
im	w3_d492e10282
Finkis.	w5_d492e10285
H.	w7_d492e10288
untern	w9_d492e10291
Tuch=laub.	w11_d492e10294
67.	w13_d492e10298
J.	w15_d492e10301
