<doc id="wr_1763-01-12" attrs="word" year="1763" month="01" day="12" corpus="2">
<head id="h2_d725e2954">
Mädrd	w1_d725e2958
Durchl.	w1_d725e6602
von	w3_d725e6605
Neuhaus	w5_d725e6608
hier	w7_d725e6611
ein;	w9_d725e6614
60.	w11_d725e6617
bis	w13_d725e6621
80.	w15_d725e6624
der	w1_d725e6630
hiesigen	w3_d725e6633
Bürger	w5_d725e6636
werden	w7_d725e6639
halb	w9_d725e6642
blau	w11_d725e6645
und	w13_d725e6649
halb	w1_d725e6654
grün	w3_d725e6657
gekleidet,	w5_d725e6660
um	w7_d725e6663
Sr.	w9_d725e6666
Durchl.	w11_d725e6669
bis	w13_d725e6673
auf	w1_d725e6678
eine	w3_d725e6681
halbe	w5_d725e6684
Meile	w7_d725e6687
entgegen	w9_d725e6690
zu	w11_d725e6693
reiten.	w13_d725e6697
Am	w1_d725e6702
26.	w3_d725e6705
gehen	w5_d725e6708
Se.	w7_d725e6711
Durchl.	w9_d725e6714
über	w11_d725e6717
Hildesheim	w13_d725e6721
ebenfalls	w1_d725e6727
nach	w3_d725e6730
Braunschweig	w5_d725e6733
ab.	w7_d725e6736
Das	w9_d725e6739
Haupt=quartier	w1_d725e6744
zu	w3_d725e6747
Neuhaus	w5_d725e6750
gehet	w7_d725e6753
nun	w9_d725e6756
aus	w11_d725e6759
einander,	w1_d725e6764
und	w3_d725e6767
das	w5_d725e6770
2te	w7_d725e6773
Bataillon	w9_d725e6776
der	w11_d725e6779
Hanö	w13_d725e6783
verischen	w1_d725e6788
Fuß=garde	w3_d725e6791
wird	w5_d725e6794
so	w7_d725e6797
marschiren,	w9_d725e6800
daß	w11_d725e6803
es	w1_d725e6809
am	w3_d725e6812
2.	w5_d725e6815
Januarii	w7_d725e6818
zu	w9_d725e6821
Hanover	w11_d725e6824
einrücken	w13_d725e6828
kan,	w1_d725e6833
wo	w3_d725e6836
auch	w5_d725e6839
das	w7_d725e6842
hieselbst	w9_d725e6845
sich	w11_d725e6848
jetzt	w13_d725e6852
befinden	w15_d725e6855
de	w1_d725e6860
Regiment,	w3_d725e6863
Prinz	w5_d725e6866
Carl	w7_d725e6869
von	w9_d725e6872
Mecklenburg,	w11_d725e6875
am	w1_d725e6880
3.	w3_d725e6883
Januarii	w5_d725e6886
einmarschiren	w7_d725e6889
wird.	w9_d725e6892
Das	w11_d725e6895
Regiment	w1_d725e6901
von	w3_d725e6904
Monroi	w5_d725e6907
kommt	w7_d725e6910
gleichsalls	w9_d725e6913
in	w11_d725e6916
Hanover	w1_d725e6921
zu	w3_d725e6924
ligen.	w5_d725e6927
So	w7_d725e6930
viel	w9_d725e6933
man	w11_d725e6936
jetzo	w13_d725e6940
weiß,	w15_d725e6943
werden	w1_d725e6948
folgende	w3_d725e6951
Regimenter	w5_d725e6954
in	w7_d725e6957
die	w9_d725e6960
Garnisons	w11_d725e6963
rücken,	w1_d725e6968
nämlich:	w3_d725e6971
das	w5_d725e6974
Regiment	w7_d725e6977
Prinz	w9_d725e6980
Ernst	w11_d725e6983
und	w1_d725e6989
von	w3_d725e6992
Ahlefeld,	w5_d725e6995
in	w7_d725e6998
Zelle;	w9_d725e7001
von	w11_d725e7004
Kielmanns	w13_d725e7008
egge	w1_d725e7013
und	w3_d725e7016
Otten,	w5_d725e7019
in	w7_d725e7022
Stade;	w9_d725e7025
von	w11_d725e7028
Zastrow	w13_d725e7032
und	w15_d725e7035
von	w1_d725e7040
Plessen,	w3_d725e7043
in	w5_d725e7046
Ratzeburg;	w7_d725e7049
von	w9_d725e7052
Wangen	w11_d725e7055
heim	w1_d725e7060
und	w3_d725e7063
von	w5_d725e7066
Craushaar,	w7_d725e7069
in	w9_d725e7072
Haarburg;	w11_d725e7075
vom	w13_d725e7079
Behr	w1_d725e7085
und	w3_d725e7088
von	w5_d725e7091
Estorf,	w7_d725e7094
in	w9_d725e7097
Lüneburg;	w11_d725e7100
von	w13_d725e7104
Scheither	w1_d725e7109
und	w3_d725e7112
von	w5_d725e7115
Schulenburg,	w7_d725e7118
in	w9_d725e7121
Nien	w11_d725e7124
burg;	w1_d725e7129
von	w3_d725e7132
Hardenberg	w5_d725e7135
und	w7_d725e7138
von	w9_d725e7141
Meding,	w11_d725e7144
in	w1_d725e7149
Eimbeck;	w3_d725e7152
Block	w5_d725e7155
und	w7_d725e7158
Sachsengotha,	w9_d725e7161
in	w1_d725e7167
Göttingen;	w3_d725e7170
Bock,	w5_d725e7173
in	w7_d725e7176
Nordhheim;	w9_d725e7179
Scheele,	w1_d725e7184
in	w3_d725e7187
Osnabrück,	w5_d725e7190
nebst	w7_d725e7193
dem	w9_d725e7196
Dra	w11_d725e7199
goner=regimente	w1_d725e7204
von	w3_d725e7207
Müller.	w5_d725e7210
Das	w7_d725e7213
Dra	w9_d725e7216
goner=regiment	w1_d725e7221
von	w3_d725e7224
Veltheim	w5_d725e7227
erhält	w7_d725e7230
die	w9_d725e7233
Quartiere	w1_d725e7239
in	w3_d725e7242
Hoya,	w5_d725e7245
Amt	w7_d725e7248
Westen,	w9_d725e7251
und	w11_d725e7254
Bruch	w13_d725e7258
hausen;	w1_d725e7263
Walthausen,	w3_d725e7266
Dragoner	w5_d725e7269
aber,	w7_d725e7272
im	w9_d725e7275
Bremischen.	w1_d725e7280
Das	w3_d725e7283
Dragoner=regiment	w5_d725e7286
v.	w7_d725e7289
Bock	w1_d725e7294
kommt	w3_d725e7297
in	w5_d725e7300
Springe	w7_d725e7303
und	w9_d725e7306
längs	w11_d725e7309
dem	w13_d725e7313
Die	w15_d725e7316
ster	w1_d725e7322
in	w3_d725e7325
die	w5_d725e7328
Quartiere.	w7_d725e7331
Die	w9_d725e7334
Garde	w11_d725e7337
dür	w13_d725e7341
Corps,	w1_d725e7346
nebst	w3_d725e7349
den	w5_d725e7352
Grenadiers	w7_d725e7355
a	w9_d725e7358
Cheval	w11_d725e7361
kom	w13_d725e7365
</p>
<p id="p10_d725e7378">
men	w1_d725e7382
ins	w3_d725e7385
Amt	w5_d725e7388
Coldingen,	w7_d725e7391
unwelt	w9_d725e7394
Hannover.	w11_d725e7397
Die	w1_d725e7402
beyden	w3_d725e7405
Cavallerie=regimenter	w5_d725e7408
von	w7_d725e7411
Ho	w9_d725e7414
denberg	w1_d725e7419
und	w3_d725e7422
Bremer,	w5_d725e7425
junior,	w7_d725e7428
in	w9_d725e7431
die	w11_d725e7434
Ge	w13_d725e7438
gend	w1_d725e7444
Nienburg	w3_d725e7447
und	w5_d725e7450
Steyerberg.	w7_d725e7453
Die	w9_d725e7456
leichten	w1_d725e7461
Trupen	w3_d725e7464
nehmen	w5_d725e7467
die	w7_d725e7470
Quartiere	w9_d725e7473
im	w11_d725e7476
Diepholzischen.	w1_d725e7481
Das	w3_d725e7484
Regiment	w5_d725e7487
la	w7_d725e7490
Motte	w9_d725e7493
kommt	w1_d725e7498
in	w3_d725e7501
Verden	w5_d725e7504
und	w7_d725e7507
Rothenburg.	w9_d725e7510
Die	w11_d725e7513
Quartiere	w1_d725e7519
der	w3_d725e7522
übrigen	w5_d725e7525
Trupen	w7_d725e7528
sind	w9_d725e7531
noch	w11_d725e7534
unbekannt.	w1_d725e7539
</p>
<head id="h2_d725e7545">
Hanndver	w1_d725e7549
2.	w3_d725e7552
Januarii.	w5_d725e7555
</head>
<p id="p4_d725e7558">
Unter	w1_d725e7562
dem	w3_d725e7565
31sten	w5_d725e7568
Dec.	w7_d725e7571
ist	w9_d725e7574
von	w11_d725e7577
der	w13_d725e7581
hie	w15_d725e7584
sigen	w1_d725e7589
Königl.	w3_d725e7592
Regierung	w5_d725e7595
ein	w7_d725e7598
Ausschreiben	w9_d725e7601
an	w1_d725e7606
die	w3_d725e7609
Aemter,	w5_d725e7612
Städte,	w7_d725e7615
und	w9_d725e7618
Gerichte	w11_d725e7621
der	w13_d725e7625
verschiedenen	w1_d725e7631
Fürstenthümer,	w3_d725e7634
dahin	w5_d725e7637
ergan	w7_d725e7640
gen:	w1_d725e7645
„daß	w3_d725e7648
sie	w5_d725e7651
in	w7_d725e7654
ihrem	w9_d725e7657
Bezirk	w11_d725e7660
auf	w13_d725e7664
die	w15_d725e7667
sich	w17_d725e7670
„einschleichende	w1_d725e7675
fremde	w3_d725e7678
Werber	w5_d725e7681
fleißig	w7_d725e7684
Acht	w9_d725e7687
„	w1_d725e7692
zu	w3_d725e7695
haben,	w5_d725e7698
deren	w7_d725e7701
keine	w9_d725e7704
zu	w11_d725e7707
dulden,	w13_d725e7711
wo	w15_d725e7714
be	w17_d725e7717
„bereits	w1_d725e7723
welche	w3_d725e7726
vorhanden	w5_d725e7729
wären,	w7_d725e7732
solche	w9_d725e7735
„	w1_d725e7740
wegzuweisen,	w3_d725e7743
und	w5_d725e7746
woferne	w7_d725e7749
dazu	w9_d725e7752
militari	w11_d725e7755
„sche	w1_d725e7760
Hülfe	w3_d725e7763
nöhtig	w5_d725e7766
seyn	w7_d725e7769
solte,	w9_d725e7772
auf	w11_d725e7775
die	w13_d725e7779
näch	w15_d725e7782
„ste	w1_d725e7787
Garnison	w3_d725e7790
zu	w5_d725e7793
rerurriren	w7_d725e7796
hätten	w9_d725e7799
</p>
<head id="h2_d725e7805">
Niederselbe	w1_d725e7809
20.	w3_d725e7812
Dec.	w5_d725e7815
1762.	w7_d725e7818
</head>
<p id="p4_d725e7821">
Allen	w1_d725e7825
Anzeigen	w3_d725e7828
nach	w5_d725e7831
hat	w7_d725e7834
die	w9_d725e7837
zwischen	w11_d725e7840
Frankreich	w1_d725e7845
und	w3_d725e7848
Rußland	w5_d725e7851
über	w7_d725e7854
den	w9_d725e7857
Kaiserl.	w11_d725e7860
Titul	w1_d725e7865
entstanden=Jerung	w3_d725e7868
noch	w5_d725e7871
nicht	w7_d725e7874
können	w9_d725e7877
beygelegt	w1_d725e7883
werden,	w3_d725e7886
indem	w5_d725e7889
der	w7_d725e7892
an	w9_d725e7895
dem	w11_d725e7898
Rus	w13_d725e7902
sischen	w1_d725e7907
Hof	w3_d725e7910
residirende	w5_d725e7913
Französische	w7_d725e7916
Minister,	w9_d725e7919
Baron	w1_d725e7924
v.	w3_d725e7927
Breteuil,	w5_d725e7930
welcher	w7_d725e7933
auf	w9_d725e7936
Auslieferung	w11_d725e7939
der	w1_d725e7944
zu	w3_d725e7947
diesem	w5_d725e7950
Ende	w7_d725e7953
vorgeschlagenen	w9_d725e7956
Reversa	w11_d725e7959
lien	w1_d725e7965
fest	w3_d725e7968
beharret,	w5_d725e7971
der	w7_d725e7974
Rußische	w9_d725e7977
Hof	w11_d725e7980
hinge	w13_d725e7984
nant	w15_d725e7987
mit	w17_d725e7990
4.	w19_d725e7993
oder	w21_d725e7996
5.	w23_d725e7999
Reitern	w25_d725e8003
ihren	w27_d725e8006
Händen	w29_d725e8009
gen	w1_d725e8014
selbige	w3_d725e8017
auszustellen	w5_d725e8020
sich	w7_d725e8023
weigert,	w9_d725e8026
bes	w11_d725e8029
da	w13_d725e8033
hin	w1_d725e8038
bey	w3_d725e8041
der	w5_d725e8044
Kaiserin	w7_d725e8047
den	w9_d725e8050
Zutritt	w11_d725e8053
nicht	w13_d725e8057
zuge	w15_d725e8060
lassen	w1_d725e8065
werden	w3_d725e8068
können,	w5_d725e8071
welches	w7_d725e8074
frischen	w9_d725e8077
An	w11_d725e8080
laß	w1_d725e8086
zu	w3_d725e8089
Absendung	w5_d725e8092
der	w7_d725e8095
Curriers	w9_d725e8098
gegeben;	w11_d725e8101
zu	w1_d725e8106
diesem	w3_d725e8109
kommt	w5_d725e8112
noch,	w7_d725e8115
daß,	w9_d725e8118
als	w11_d725e8121
der	w13_d725e8125
Graf	w1_d725e8130
von	w3_d725e8133
Soltikof	w5_d725e8136
auf	w7_d725e8139
den	w9_d725e8142
Französischen	w11_d725e8145
Gränzen	w1_d725e8150
angelanget,	w3_d725e8153
und	w5_d725e8156
durch	w7_d725e8159
den	w9_d725e8162
Prinz	w11_d725e8165
Galliczin	w1_d725e8171
die	w3_d725e8174
erforderliche	w5_d725e8177
Pässe	w7_d725e8180
für	w9_d725e8183
sein	w11_d725e8186
Ge	w13_d725e8190
vog	w1_d725e8195
von	w3_d725e8198
Praßlin	w5_d725e8201
ihme	w7_d725e8204
selbige	w9_d725e8207
zwar	w11_d725e8210
zugestan	w13_d725e8214
den,	w1_d725e8219
dabey	w3_d725e8222
aber	w5_d725e8225
zu	w7_d725e8228
verstehen	w9_d725e8231
gegeben,	w11_d725e8234
daß	w13_d725e8238
</p>
<p id="p6_d725e8241">
weder	w1_d725e8245
bey	w3_d725e8248
St.	w5_d725e8251
Majest.	w7_d725e8254
dem	w9_d725e8257
König,	w11_d725e8260
als	w13_d725e8264
der	w15_d725e8267
Königl.	w1_d725e8272
Famille	w3_d725e8275
zu	w5_d725e8278
versehen	w7_d725e8281
habe,	w9_d725e8284
bevor	w11_d725e8287
der	w13_d725e8291
Hr.	w1_d725e8296
von	w3_d725e8299
Breteuil	w5_d725e8302
bey	w7_d725e8305
der	w9_d725e8308
Rußischen	w11_d725e8311
Kaise	w13_d725e8315
rin	w1_d725e8321
darzu	w3_d725e8324
gelangt	w5_d725e8327
seyn	w7_d725e8330
werde;	w9_d725e8333
da	w11_d725e8336
nun	w13_d725e8340
in	w15_d725e8343
dieser	w1_d725e8348
Sache	w3_d725e8351
Spanien	w5_d725e8354
sich	w7_d725e8357
nach	w9_d725e8360
dem	w11_d725e8363
Fran	w13_d725e8367
zösischen	w1_d725e8372
Hofe	w3_d725e8375
richtet,	w5_d725e8378
so	w7_d725e8381
stehet	w9_d725e8384
zu	w11_d725e8387
besorgen,	w13_d725e8391
daß	w1_d725e8396
die	w3_d725e8399
Ministers	w5_d725e8402
dieser	w7_d725e8405
Höfe	w9_d725e8408
wol	w11_d725e8411
dürften	w13_d725e8415
zurück	w1_d725e8421
beruffen	w3_d725e8424
werden,	w5_d725e8427
mithin	w7_d725e8430
die	w9_d725e8433
Gemein	w11_d725e8436
schaft	w1_d725e8441
des	w3_d725e8444
Hauses	w5_d725e8447
Bourbon	w7_d725e8450
mit	w9_d725e8453
Rußland	w11_d725e8456
vielleicht	w1_d725e8461
aufhören.	w3_d725e8464
</p>
<head id="h2_d725e8470">
Arnstadt	w1_d725e8474
in	w3_d725e8477
Thüringen	w5_d725e8480
den	w7_d725e8483
23.	w9_d725e8486
Decemb.	w1_d725e8491
1762.	w3_d725e8494
</head>
<p id="p4_d725e8497">
Da	w1_d725e8501
seit	w3_d725e8504
etwelchen	w5_d725e8507
Tagen	w7_d725e8510
her	w9_d725e8513
verschiedene	w11_d725e8516
kleine	w1_d725e8521
Detaschementer	w3_d725e8524
von	w5_d725e8527
dem	w7_d725e8530
Sächsischen	w9_d725e8533
Frey=corps	w1_d725e8538
in	w3_d725e8541
den	w5_d725e8544
Gegenden	w7_d725e8547
hiesiger	w9_d725e8550
Stadt	w11_d725e8553
hie	w1_d725e8559
und	w3_d725e8562
da	w5_d725e8565
zum	w7_d725e8568
Vorschein	w9_d725e8571
gekommen,	w11_d725e8574
liesse	w13_d725e8578
der	w1_d725e8583
General	w3_d725e8586
Schmettau,	w5_d725e8589
um	w7_d725e8592
dieselbe	w9_d725e8595
zu	w11_d725e8598
hin	w13_d725e8602
tergehen,	w1_d725e8607
oder	w3_d725e8610
gar,	w5_d725e8613
wo	w7_d725e8616
möglich,	w9_d725e8619
aufzuheben,	w11_d725e8622
den	w1_d725e8627
Capitain	w3_d725e8630
Sicker	w5_d725e8633
mit	w7_d725e8636
24.	w9_d725e8639
Reitern	w11_d725e8642
herein	w13_d725e8646
rucken.	w1_d725e8652
Die	w3_d725e8655
Sachsen,	w5_d725e8658
welche	w7_d725e8661
von	w9_d725e8664
dieser	w11_d725e8667
Bewegung	w1_d725e8672
gute	w3_d725e8675
Nachricht	w5_d725e8678
hatten,	w7_d725e8681
auch	w9_d725e8684
sich	w11_d725e8687
niemal	w1_d725e8692
anders,	w3_d725e8695
als	w5_d725e8698
Peloton=weise,	w7_d725e8701
und	w9_d725e8704
zwar	w1_d725e8709
zu	w3_d725e8712
4.	w5_d725e8715
bis	w7_d725e8718
500.	w9_d725e8721
mit	w11_d725e8724
einander,	w13_d725e8728
sehen	w15_d725e8731
liessen,	w1_d725e8737
kamen	w3_d725e8740
gestern	w5_d725e8743
Morgens	w7_d725e8746
gegen	w9_d725e8749
7.	w11_d725e8752
Uhr	w1_d725e8757
über	w3_d725e8760
Schleusingen	w5_d725e8763
vor	w7_d725e8766
u	w9_d725e8769
seren	w11_d725e8772
Mauren,	w13_d725e8776
ertödtete	w1_d725e8781
die	w3_d725e8784
Thor=wachen,	w5_d725e8787
und	w7_d725e8790
überfielen	w9_d725e8793
solchergestalten	w1_d725e8798
das	w3_d725e8801
bey	w5_d725e8804
uns	w7_d725e8807
gestandene	w9_d725e8810
Preußische	w1_d725e8816
Detaschement,	w3_d725e8819
mit	w5_d725e8822
solcher	w7_d725e8825
Ge	w9_d725e8828
schwindigkeit,	w1_d725e8833
daß	w3_d725e8836
niemand	w5_d725e8839
als	w7_d725e8842
der	w9_d725e8845
Lieute	w11_d725e8848
entronnen;	w1_d725e8853
der	w3_d725e8856
Capitain	w5_d725e8859
aber	w7_d725e8862
wurde	w9_d725e8865
mit	w11_d725e8868
dem	w1_d725e8873
Rest	w3_d725e8876
seiner	w5_d725e8879
Mannschaft	w7_d725e8882
zu	w9_d725e8885
Kriegsge	w11_d725e8888
fangenen	w1_d725e8894
gemacht,	w3_d725e8897
und	w5_d725e8900
mehr	w7_d725e8903
dann	w9_d725e8906
70.	w11_d725e8909
Pfer	w13_d725e8913
de	w1_d725e8918
von	w3_d725e8921
den	w5_d725e8924
Sachsen	w7_d725e8927
mit	w9_d725e8930
fortgeführet.	w11_d725e8933
</p>
<head id="h2_d725e8940">
Wien	w1_d725e8944
den	w3_d725e8947
12.	w5_d725e8950
Januarii	w7_d725e8953
1763.	w9_d725e8956
</head>
<p id="p4_d725e8959">
Sonntags	w1_d725e8963
den	w3_d725e8966
9ten	w5_d725e8969
Jänner	w7_d725e8972
begieng	w9_d725e8975
der	w11_d725e8978
—wolehrwürdige	w1_d725e8983
weltliche	w3_d725e8986
Priester	w5_d725e8989
Herr	w7_d725e8992
folge	w1_d725e8997
und	w3_d725e9000
Gepäcke	w5_d725e9003
begehren	w7_d725e9006
lassen,	w9_d725e9009
der	w11_d725e9012
Her	w13_d725e9016
Joseph	w15_d725e9019
Schönhärl,	w17_d725e9022
nachdem	w19_d725e9025
derselbe	w21_d725e9028
das	w23_d725e9031
50ste	w1_d725e9037
Jahr	w3_d725e9040
seines	w5_d725e9043
Priesterthumes	w7_d725e9046
und	w9_d725e9049
das	w11_d725e9052
40ste	w1_d725e9057
seines	w3_d725e9060
Predigamtes	w5_d725e9063
glücklich	w7_d725e9066
zurück	w9_d725e9069
der	w1_d725e9074
Graf	w3_d725e9077
von	w5_d725e9080
Soltlkof	w7_d725e9083
sich	w9_d725e9086
keines	w11_d725e9089
Gehörs,	w13_d725e9093
geleget,	w15_d725e9096
in	w17_d725e9099
der	w19_d725e9102
Frauen=kloster=kirche	w21_d725e9105
zum	w23_d725e9108
</p>
<p id="p10_d725e9121">
Heil.	w1_d725e9125
Lauten,	w3_d725e9128
dahler	w5_d725e9131
die	w7_d725e9134
seilene	w9_d725e9137
Feyerläh	w11_d725e9140
keit	w1_d725e9145
seiner	w3_d725e9148
zweyten	w5_d725e9151
Primitz.	w7_d725e9154
</p>
<p id="p12_d725e9158">
Montags	w1_d725e9162
den	w3_d725e9165
10ten	w5_d725e9168
Januarii	w7_d725e9171
nach	w9_d725e9174
dem	w11_d725e9177
vormittägigen	w1_d725e9182
GOttes=dienst	w3_d725e9185
halb	w5_d725e9188
11	w7_d725e9191
Uhr	w1_d725e9196
haben	w3_d725e9199
Se.	w5_d725e9202
Fürstliche	w7_d725e9205
Gnaden	w9_d725e9208
der	w11_d725e9211
Hr.	w13_d725e9215
Fürst	w1_d725e9221
Niclas	w3_d725e9224
von	w5_d725e9227
Esterhazy	w7_d725e9230
sich	w9_d725e9233
mit	w11_d725e9236
dero	w13_d725e9240
äl	w15_d725e9243
testem	w1_d725e9248
Hrn.	w3_d725e9251
Sohn,	w5_d725e9254
der	w7_d725e9257
Fürstl.	w9_d725e9260
Frauen	w11_d725e9263
Ge	w13_d725e9267
mahlin	w1_d725e9272
und	w3_d725e9275
übrigen	w5_d725e9278
hohen	w7_d725e9281
Famille	w9_d725e9284
in	w11_d725e9287
Gala	w13_d725e9291
nach	w1_d725e9296
Hofe	w3_d725e9299
begeben,	w5_d725e9302
allwo	w7_d725e9305
des	w9_d725e9308
ersagten	w11_d725e9311
Hrn.	w13_d725e9315
Fürsten	w1_d725e9321
ältester	w3_d725e9324
Hr.	w5_d725e9327
Sohn	w7_d725e9330
mit	w9_d725e9333
der	w11_d725e9336
Kaiserl.	w13_d725e9340
Königl.	w1_d725e9345
Cammer=fräule	w3_d725e9348
Gräfin	w5_d725e9351
von	w7_d725e9354
Erdöd	w9_d725e9357
in	w1_d725e9362
dem	w3_d725e9365
grossen	w5_d725e9368
Spiegel=zimmer	w7_d725e9371
in	w9_d725e9374
Beyseyn	w11_d725e9377
höchster	w1_d725e9382
Herrschaften	w3_d725e9385
und	w5_d725e9388
des	w7_d725e9391
hohen	w9_d725e9394
Adels	w11_d725e9397
von	w1_d725e9403
Sr.	w3_d725e9406
Excell.	w5_d725e9409
dem	w7_d725e9412
Hrn.	w9_d725e9415
Erzbischoffen	w11_d725e9418
zu	w13_d725e9422
Koloza,	w1_d725e9427
Grafen	w3_d725e9430
Bathyani,	w5_d725e9433
zur	w7_d725e9436
Ehe	w9_d725e9439
copuliret	w11_d725e9442
worden,	w1_d725e9447
worauf	w3_d725e9450
das	w5_d725e9453
hohe	w7_d725e9456
Braut=paar	w9_d725e9459
samt	w11_d725e9462
der	w1_d725e9467
anwesenden	w3_d725e9470
Famille	w5_d725e9473
die	w7_d725e9476
Gnade	w9_d725e9479
gehabt,	w11_d725e9482
bey	w1_d725e9488
der	w3_d725e9491
Kaiserl.	w5_d725e9494
Königl.	w7_d725e9497
Tafel	w9_d725e9500
zu	w11_d725e9503
speisen.	w13_d725e9507
Noch	w1_d725e9512
der	w3_d725e9515
Tafel	w5_d725e9518
haben	w7_d725e9521
Se.	w9_d725e9524
Fürstliche	w11_d725e9527
Gna	w13_d725e9531
den	w1_d725e9536
Fürst	w3_d725e9539
Esterhazy	w5_d725e9542
sich	w7_d725e9545
mit	w9_d725e9548
dem	w11_d725e9551
hohen	w13_d725e9555
Ehe=paar	w1_d725e9560
und	w3_d725e9563
einem	w5_d725e9566
grossen	w7_d725e9569
Gefolge	w9_d725e9572
des	w11_d725e9575
hohen	w1_d725e9581
Adels	w3_d725e9584
nach	w5_d725e9587
Eisenstadt	w7_d725e9590
begeben,	w9_d725e9593
dieses	w11_d725e9596
Freuden	w1_d725e9601
fest	w3_d725e9604
in	w5_d725e9607
dem	w7_d725e9610
Fürstl.	w9_d725e9613
Schlosse	w11_d725e9616
durch	w13_d725e9620
3.	w1_d725e9625
Tage	w3_d725e9628
auf	w5_d725e9631
das	w7_d725e9634
feyerlichste	w9_d725e9637
zu	w11_d725e9640
begehen.	w13_d725e9644
</p>
<p id="p14_d725e9647">
Eben	w1_d725e9651
am	w3_d725e9654
Montag	w5_d725e9657
Abends	w7_d725e9660
ist	w9_d725e9663
dahier	w11_d725e9666
der	w13_d725e9670
zweyte	w1_d725e9675
Ball	w3_d725e9678
für	w5_d725e9681
den	w7_d725e9684
hohen	w9_d725e9687
Adel	w11_d725e9690
in	w13_d725e9694
dem	w15_d725e9697
kleineren	w1_d725e9702
Redouten=saal	w3_d725e9705
bey	w5_d725e9708
Hofe	w7_d725e9711
gehalten	w9_d725e9714
worden.	w1_d725e9720
Die	w3_d725e9723
Ball	w5_d725e9726
im	w7_d725e9729
Domino,	w9_d725e9732
jedoch	w11_d725e9735
oh	w13_d725e9739
ne	w1_d725e9744
Masque,	w3_d725e9747
werden	w5_d725e9750
wöchentlich	w7_d725e9753
viermal	w9_d725e9756
als	w1_d725e9761
Sonntag	w3_d725e9764
und	w5_d725e9767
Montag	w7_d725e9770
für	w9_d725e9773
alle	w11_d725e9776
Adeliche	w13_d725e9780
und	w1_d725e9785
sonst	w3_d725e9788
dazu	w5_d725e9791
qualificirte	w7_d725e9794
Personen,	w9_d725e9797
Mitt	w11_d725e9800
wochs	w1_d725e9806
und	w3_d725e9809
Donnerstags	w5_d725e9812
für	w7_d725e9815
den	w9_d725e9818
hohen	w11_d725e9821
Adel	w13_d725e9825
und	w1_d725e9830
die	w3_d725e9833
Appartement=mäßige	w5_d725e9836
fortgesetzet	w7_d725e9839
werden.	w1_d725e9844
</p>
<p id="p16_d725e9847">
Den	w1_d725e9851
5.	w3_d725e9854
dies	w5_d725e9857
ist	w7_d725e9860
die	w9_d725e9863
Ziehung	w11_d725e9866
der	w13_d725e9870
K.	w15_d725e9873
K.	w17_d725e9876
Lotterle	w1_d725e9881
allhier	w3_d725e9884
geschehen,	w5_d725e9887
und	w7_d725e9890
sind	w9_d725e9893
die	w11_d725e9896
Nu	w13_d725e9900
merl	w1_d725e9905
70.	w3_d725e9908
49.	w5_d725e9911
10.	w7_d725e9914
82.	w9_d725e9917
und	w11_d725e9920
14.	w13_d725e9924
mit	w15_d725e9927
verschie	w17_d725e9930
denen	w1_d725e9936
Ambi,	w3_d725e9939
beträchtlichen	w5_d725e9942
Terni	w7_d725e9945
und	w9_d725e9948
Estra	w11_d725e9951
ti	w1_d725e9956
gehoben	w3_d725e9959
worden,	w5_d725e9962
wie	w7_d725e9965
dann	w9_d725e9968
bey	w11_d725e9971
dem	w13_d725e9975
Col	w15_d725e9978
lecteur	w1_d725e9983
sub	w3_d725e9986
Nro.	w5_d725e9989
9.	w7_d725e9992
Hrn.	w9_d725e9995
Joseph	w11_d725e9998
Planiez	w13_d725e10002
ein	w15_d725e10005
Terno	w1_d725e10010
mit	w3_d725e10013
200.	w5_d725e10016
Ducaten,	w7_d725e10019
bey	w9_d725e10022
jenem	w11_d725e10025
sub	w13_d725e10029
Nro.	w1_d725e10035
18.	w3_d725e10038
Herrn	w5_d725e10041
Franz	w7_d725e10044
Damiani	w9_d725e10047
einer	w11_d725e10050
mit	w13_d725e10054
100.	w1_d725e10059
detto,	w3_d725e10062
bey	w5_d725e10065
dem	w7_d725e10068
sub	w9_d725e10071
Nro.	w11_d725e10074
133.	w13_d725e10078
Herrn	w15_d725e10081
</p>
<p id="p18_d725e10084">
Paul	w1_d725e10088
Calovino	w3_d725e10091
zu	w5_d725e10094
Presburg	w7_d725e10097
ebenfalls	w9_d725e10100
eines	w11_d725e10103
mit	w1_d725e10108
100.	w3_d725e10111
Ducaten,	w5_d725e10114
und	w7_d725e10117
bey	w9_d725e10120
dem	w11_d725e10123
sub	w13_d725e10127
Nro.	w15_d725e10130
Nro.	w1_d725e10135
105.	w3_d725e10138
in	w5_d725e10141
St.	w7_d725e10144
Pölten	w9_d725e10147
ein	w11_d725e10150
Quaterno	w13_d725e10154
ge	w15_d725e10157
wonnen	w1_d725e10163
und	w3_d725e10166
abgeführet	w5_d725e10169
worden.	w7_d725e10172
</p>
<p id="p20_d725e10175">
Den	w1_d725e10179
19ten	w3_d725e10182
dies	w5_d725e10185
wird	w7_d725e10188
die	w9_d725e10191
Ziehung	w11_d725e10194
zu	w13_d725e10198
Grätz	w1_d725e10203
geschehen.	w3_d725e10206
</p>
<head id="h2_d725e10212">
Lista	w1_d725e10216
deren	w3_d725e10219
Verstorbenen	w5_d725e10222
zu	w7_d725e10225
Wien	w9_d725e10228
in	w1_d725e10233
und	w3_d725e10236
vor	w5_d725e10239
