<doc id="wr_1758-06-03" attrs="word" year="1758" month="06" day="03" corpus="2">
<head id="h2_d249e4298">
Hamburg	w1_d249e4302
die	w3_d249e7916
ganze	w5_d249e7919
Armee	w7_d249e7922
folgen	w9_d249e7925
werde,	w11_d249e7928
und	w13_d249e7932
sie	w15_d249e7935
solle	w1_d249e7941
Ordre	w3_d249e7944
haben,	w5_d249e7947
den	w7_d249e7950
Freytag	w9_d249e7953
oder	w11_d249e7956
Sam	w13_d249e7960
stag	w1_d249e7965
aufzubrechen.	w3_d249e7968
Dieses	w5_d249e7971
ist	w7_d249e7974
um	w9_d249e7977
so	w11_d249e7980
viel	w13_d249e7984
wahr	w15_d249e7987
scheinlicher,	w1_d249e7992
da	w3_d249e7995
sich	w5_d249e7998
auch	w7_d249e8001
seit	w9_d249e8004
vorgestern,	w11_d249e8007
als	w13_d249e8011
den	w1_d249e8016
15ten	w3_d249e8019
die	w5_d249e8022
Franzosen	w7_d249e8025
in	w9_d249e8028
Bewegung	w11_d249e8031
ge	w13_d249e8035
setzt,	w1_d249e8041
und	w3_d249e8044
mit	w5_d249e8047
40000.	w7_d249e8050
Mann	w9_d249e8053
diesseits	w11_d249e8056
des	w13_d249e8060
Rheins	w1_d249e8065
bis	w3_d249e8068
Peddenberg,	w5_d249e8071
2.	w7_d249e8074
Stunden	w9_d249e8077
von	w11_d249e8080
Wesel,	w1_d249e8085
vorgerückt;	w3_d249e8088
also	w5_d249e8091
kan	w7_d249e8094
in	w9_d249e8097
kurzem	w11_d249e8100
in	w13_d249e8104
diesen	w1_d249e8109
Gegenden	w3_d249e8112
etwas	w5_d249e8115
wichtiges	w7_d249e8118
vorfallen.	w9_d249e8121
</p>
<head id="h2_d249e8128">
Hof	w1_d249e8132
23.	w3_d249e8135
May.	w5_d249e8138
</head>
<p id="p4_d249e8141">
Heute	w1_d249e8145
ist	w3_d249e8148
das	w5_d249e8151
Meyerische	w7_d249e8154
Frey=corps	w9_d249e8157
nebst	w11_d249e8160
2.	w13_d249e8164
Escadrons	w1_d249e8169
Hussaren	w3_d249e8172
alhier	w5_d249e8175
angelangt,	w7_d249e8178
es	w9_d249e8181
sol	w11_d249e8184
len	w1_d249e8189
auch	w3_d249e8192
noch	w5_d249e8195
mehrere	w7_d249e8198
Preußische	w9_d249e8201
Trupet	w11_d249e8204
nachfolgen.	w1_d249e8210
Vorher	w3_d249e8213
ist	w5_d249e8216
die	w7_d249e8219
hier	w9_d249e8222
gelegene	w11_d249e8225
Frey	w13_d249e8229
partie	w1_d249e8234
von	w3_d249e8237
der	w5_d249e8240
Reichs=armee	w7_d249e8243
nebst	w9_d249e8246
denen	w11_d249e8249
Sple	w13_d249e8253
nischen	w1_d249e8258
Hussaren	w3_d249e8261
ausmarschieret,	w5_d249e8264
um	w7_d249e8267
zu	w9_d249e8270
der	w11_d249e8273
Reichs=armee	w1_d249e8278
zu	w3_d249e8281
stossen.	w5_d249e8284
Des	w7_d249e8287
Prinzens	w9_d249e8290
Heinrichs,	w1_d249e8296
Königl.	w3_d249e8299
Hoheit	w5_d249e8302
haben	w7_d249e8305
vorgestern	w9_d249e8308
dem	w1_d249e8313
Vernehmen	w3_d249e8316
nach	w5_d249e8319
annoch	w7_d249e8322
bey	w9_d249e8325
Zwickau	w11_d249e8328
und	w13_d249e8332
bey	w1_d249e8337
Freyberg	w3_d249e8340
campirt.	w5_d249e8343
Man	w7_d249e8346
will	w9_d249e8349
hier	w11_d249e8352
Nach	w13_d249e8356
richt	w1_d249e8361
haben,	w3_d249e8364
daß	w5_d249e8367
der	w7_d249e8370
Prinz	w9_d249e8373
Heinrich	w11_d249e8376
von	w13_d249e8380
Preusien,	w1_d249e8386
mit	w3_d249e8389
einem	w5_d249e8392
starken	w7_d249e8395
Corps	w9_d249e8398
morgen	w11_d249e8401
in	w1_d249e8406
hiesiger	w3_d249e8409
Gegend	w5_d249e8412
eintreffen	w7_d249e8415
solle,	w9_d249e8418
wie	w11_d249e8421
dann	w13_d249e8425
30tausend	w1_d249e8430
Mund	w3_d249e8433
und	w5_d249e8436
Pferd=portionen	w7_d249e8439
von	w9_d249e8442
dem	w1_d249e8447
Land	w3_d249e8450
bereits	w5_d249e8453
abgefordert	w7_d249e8456
worden.	w9_d249e8459
</p>
<head id="h2_d249e8465">
Leipzig	w1_d249e8469
22.	w3_d249e8472
May.	w5_d249e8475
</head>
<p id="p4_d249e8478">
Zu	w1_d249e8482
Halle	w3_d249e8485
hat	w5_d249e8488
man	w7_d249e8491
einige	w9_d249e8494
Tage	w11_d249e8497
her	w13_d249e8501
Nord	w15_d249e8504
lichter	w1_d249e8509
gesehen,	w3_d249e8512
unter	w5_d249e8515
denen	w7_d249e8518
aber	w9_d249e8521
keines	w11_d249e8524
so	w13_d249e8528
merkwürdig	w1_d249e8533
gewesen	w3_d249e8536
ist,	w5_d249e8539
als	w7_d249e8542
dasjenige,	w9_d249e8545
welches	w1_d249e8551
man	w3_d249e8554
am	w5_d249e8557
9ten	w7_d249e8560
dieses,	w9_d249e8563
nach	w11_d249e8566
10.	w13_d249e8570
Uhr	w1_d249e8575
bemerket.	w3_d249e8578
Aus	w5_d249e8581
einem	w7_d249e8584
Mittel=puncte,	w9_d249e8587
welcher	w1_d249e8592
gegen	w3_d249e8595
Nord=west,	w5_d249e8598
nicht	w7_d249e8601
weit	w9_d249e8604
über	w11_d249e8607
den	w1_d249e8612
Hortzont	w3_d249e8615
erhoben	w5_d249e8618
war,	w7_d249e8621
giengen	w9_d249e8624
nach	w11_d249e8627
al	w13_d249e8631
len	w1_d249e8637
Seiten	w3_d249e8640
eine	w5_d249e8643
grosse	w7_d249e8646
Menge	w9_d249e8649
lichte	w11_d249e8652
silber	w13_d249e8656
farbe	w1_d249e8661
Streiffe	w3_d249e8664
aus,	w5_d249e8667
die	w7_d249e8670
bey	w9_d249e8673
ihrem	w11_d249e8676
Ursprun	w13_d249e8680
ge	w1_d249e8685
ganz	w3_d249e8688
schmal	w5_d249e8691
waren,	w7_d249e8694
aber	w9_d249e8697
immer	w11_d249e8700
breiter	w13_d249e8704
wurden,	w1_d249e8709
je	w3_d249e8712
weiter	w5_d249e8715
sie	w7_d249e8718
von	w9_d249e8721
einander	w11_d249e8724
fuhren.	w13_d249e8728
Sie	w1_d249e8734
erstreckten	w3_d249e8737
sich	w5_d249e8740
über	w7_d249e8743
den	w9_d249e8746
ganzen	w11_d249e8749
Himmel	w13_d249e8753
bis	w1_d249e8758
beynahe	w3_d249e8761
an	w5_d249e8764
die	w7_d249e8767
entgegen	w9_d249e8770
gesetzte	w11_d249e8773
Seite	w13_d249e8777
des	w1_d249e8782
Horizonts;	w3_d249e8785
und	w5_d249e8788
die	w7_d249e8791
Zwischen=räume,	w9_d249e8794
welche	w1_d249e8799
sie	w3_d249e8802
zwischen	w5_d249e8805
sich	w7_d249e8808
liessen,	w9_d249e8811
hatten	w11_d249e8814
mit	w13_d249e8818
ihnen	w1_d249e8824
einerley	w3_d249e8827
Breite.	w5_d249e8830
Weil	w7_d249e8833
es	w9_d249e8836
eben	w11_d249e8839
gestirn	w13_d249e8843
ter	w1_d249e8848
Himmel	w3_d249e8851
war,	w5_d249e8854
so	w7_d249e8857
konnte	w9_d249e8860
man	w11_d249e8863
durch	w13_d249e8867
die	w15_d249e8870
Streiffe	w1_d249e8875
des	w3_d249e8878
Nord=lichts,	w5_d249e8881
wie	w7_d249e8884
gewöhn	w9_d249e8887
lich,	w1_d249e8892
die	w3_d249e8895
meisten	w5_d249e8898
Sterne	w7_d249e8901
sehen.	w9_d249e8904
Da	w11_d249e8907
dieses	w13_d249e8911
Nord=licht	w1_d249e8917
weder	w3_d249e8920
Strahlen	w5_d249e8923
von	w7_d249e8926
sich	w9_d249e8929
geworfen,	w11_d249e8932
noch	w1_d249e8937
sonst	w3_d249e8940
eine	w5_d249e8943
andere	w7_d249e8946
Bewegung	w9_d249e8949
spühren	w11_d249e8952
lassen,	w1_d249e8957
sondern	w3_d249e8960
ganz	w5_d249e8963
stille	w7_d249e8966
gestanden,	w9_d249e8969
bis	w11_d249e8972
sich	w13_d249e8976
</p>
<p id="p10_d249e8989">
endlich	w1_d249e8993
gegen	w3_d249e8996
12.	w5_d249e8999
Uhr	w7_d249e9002
die	w9_d249e9005
Streiffe	w11_d249e9008
mit	w13_d249e9012
einander	w15_d249e9015
vermischt;	w1_d249e9020
und	w3_d249e9023
dann	w5_d249e9026
verschwunden,	w7_d249e9029
so	w9_d249e9032
gehört	w11_d249e9035
</p>
<p id="p12_d249e9039">
es	w1_d249e9043
zu	w3_d249e9046
denen	w5_d249e9049
sogenannten	w7_d249e9052
stillen	w9_d249e9055
Noed=lichtern	w11_d249e9058
Die	w1_d249e9063
Oesterreichische	w3_d249e9066
Hussaren=partheien	w5_d249e9069
erhalten	w1_d249e9074
in	w3_d249e9077
denen	w5_d249e9080
Scharmützeln	w7_d249e9083
mit	w9_d249e9086
denen	w11_d249e9089
Preussen	w1_d249e9095
viele	w3_d249e9098
Vortheile.	w5_d249e9101
Das	w7_d249e9104
Serbeiloni	w9_d249e9107
sche	w1_d249e9112
Corpo	w3_d249e9115
macht	w5_d249e9118
verschiedene	w7_d249e9121
Bewegungen	w9_d249e9124
</p>
<head id="h2_d249e9130">
Frankfort,	w1_d249e9134
24.	w3_d249e9137
May.	w5_d249e9140
</head>
<p id="p4_d249e9143">
Heut	w1_d249e9147
Morgens	w3_d249e9150
ist	w5_d249e9153
der	w7_d249e9156
zweyte	w9_d249e9159
Transport	w11_d249e9162
Trierischer	w1_d249e9167
Recruté	w3_d249e9170
bestehend	w5_d249e9173
in600.	w7_d249e9176
Mann	w9_d249e9179
von	w11_d249e9182
hier	w1_d249e9187
abgegangen,	w3_d249e9190
und	w5_d249e9193
kurtz	w7_d249e9196
nach	w9_d249e9199
ihrem	w11_d249e9202
Abmarsch	w13_d249e9206
traffe	w1_d249e9212
der	w3_d249e9215
dritte	w5_d249e9218
Transport	w7_d249e9221
von	w9_d249e9224
900.	w11_d249e9227
Köpfen	w13_d249e9231
von	w1_d249e9236
nämlichen	w3_d249e9239
Trupen	w5_d249e9242
hier	w7_d249e9245
ein.	w9_d249e9248
Nach	w11_d249e9251
kur	w13_d249e9255
tzem	w1_d249e9260
werden	w3_d249e9263
sie	w5_d249e9266
weiter	w7_d249e9269
nach	w9_d249e9272
Böhmen	w11_d249e9275
abgehen.	w13_d249e9279
</p>
<head id="h2_d249e9285">
Berlin,	w1_d249e9289
22.	w3_d249e9292
May.	w5_d249e9295
</head>
<p id="p4_d249e9298">
Se.	w1_d249e9302
Majestät,	w3_d249e9305
der	w5_d249e9308
König,	w7_d249e9311
haben	w9_d249e9314
den	w11_d249e9317
Oberst=leutenant	w1_d249e9322
von	w3_d249e9325
der	w5_d249e9328
Jnfanterie	w7_d249e9331
und	w9_d249e9334
Chef	w1_d249e9339
eines	w3_d249e9342
Frey=bataillons,	w5_d249e9345
Herrn	w7_d249e9348
von	w9_d249e9351
May	w11_d249e9354
er,	w1_d249e9360
zum	w3_d249e9363
obersten	w5_d249e9366
ernannt.	w7_d249e9369
Aus	w9_d249e9372
Schlesien	w11_d249e9375
ist	w1_d249e9380
die	w3_d249e9383
unangenehme	w5_d249e9386
Nachricht	w7_d249e9389
eingeloffen,	w9_d249e9392
daß	w1_d249e9397
den	w3_d249e9400
13ten	w5_d249e9403
dieses,	w7_d249e9406
des	w9_d249e9409
Mittags	w11_d249e9412
zwischen	w13_d249e9416
11.	w1_d249e9421
und	w3_d249e9424
12.	w5_d249e9427
Uhr,	w7_d249e9430
in	w9_d249e9433
der	w11_d249e9436
Stadt	w13_d249e9440
und	w15_d249e9443
Festung	w17_d249e9446
Groß=glogau,	w1_d249e9452
in	w3_d249e9455
dem	w5_d249e9458
dasigen	w7_d249e9461
Jesuiter=collegio,	w9_d249e9464
an	w1_d249e9469
4.	w3_d249e9472
Orten	w5_d249e9475
zugleich	w7_d249e9478
eine	w9_d249e9481
unvermutete	w11_d249e9484
Feu	w13_d249e9488
ers=brunst	w1_d249e9493
entstanden	w3_d249e9496
sey,	w5_d249e9499
wodurch	w7_d249e9502
besagtes	w9_d249e9505
Collegium,	w1_d249e9510
die	w3_d249e9513
Lutherische	w5_d249e9516
Kirche,	w7_d249e9519
die	w9_d249e9522
dazu	w11_d249e9525
gehörigen	w1_d249e9531
Prediger	w3_d249e9534
und	w5_d249e9537
Kirchen=gebäude,	w7_d249e9540
die	w9_d249e9543
Catholische	w1_d249e9548
Pfarr=kirche	w3_d249e9551
nebst	w5_d249e9554
Gebäuden,	w7_d249e9557
die	w9_d249e9560
halbe	w1_d249e9565
Mälzer=gasse	w3_d249e9568
bis	w5_d249e9571
an	w7_d249e9574
das	w9_d249e9577
Preußische	w11_d249e9580
Thor,	w1_d249e9585
und	w3_d249e9588
also	w5_d249e9591
fast	w7_d249e9594
ein	w9_d249e9597
Drittel	w11_d249e9600
der	w13_d249e9604
Stadt	w15_d249e9607
in	w1_d249e9613
die	w3_d249e9616
Asche	w5_d249e9619
gelegt	w7_d249e9622
worden.	w9_d249e9625
</p>
<head id="h2_d249e9631">
Dresden	w1_d249e9635
23.	w3_d249e9638
May.	w5_d249e9641
</head>
<p id="p4_d249e9644">
Am	w1_d249e9648
15.	w3_d249e9651
traf	w5_d249e9654
ein	w7_d249e9657
Feld=jäger	w9_d249e9660
an	w11_d249e9663
Seine	w13_d249e9667
Königl.	w1_d249e9672
Hoheit,	w3_d249e9675
dem	w5_d249e9678
Prinzen	w7_d249e9681
Heinrich,	w9_d249e9684
alhie	w11_d249e9687
ein,	w1_d249e9692
mit	w3_d249e9695
der	w5_d249e9698
Nachricht,	w7_d249e9701
daß	w9_d249e9704
Seine	w11_d249e9707
Königl	w13_d249e9711
Majestät	w1_d249e9717
von	w3_d249e9720
Preussen	w5_d249e9723
mit	w7_d249e9726
einer	w9_d249e9729
starken	w11_d249e9732
Ar	w13_d249e9736
mee	w1_d249e9741
würklich	w3_d249e9744
in	w5_d249e9747
Mähren	w7_d249e9750
eingedrungen	w9_d249e9753
wären.	w11_d249e9756
Allhier	w1_d249e9761
und	w3_d249e9764
in	w5_d249e9767
unsern	w7_d249e9770
Gegenden,	w9_d249e9773
ingleichen	w11_d249e9776
in	w13_d249e9780
dem	w1_d249e9785
Gebürge,	w3_d249e9788
wird	w5_d249e9791
es	w7_d249e9794
von	w9_d249e9797
Tag	w11_d249e9800
zu	w13_d249e9804
Tage	w15_d249e9807
förch	w17_d249e9810
terlicher.	w1_d249e9816
Dem	w3_d249e9819
Vernehmen	w5_d249e9822
nach	w7_d249e9825
stehen	w9_d249e9828
von	w11_d249e9831
Chemnitz	w1_d249e9836
bis	w3_d249e9839
Freyberg	w5_d249e9842
16000.	w7_d249e9845
Mann	w9_d249e9848
in	w11_d249e9851
einem	w13_d249e9855
Lager,	w1_d249e9860
nebst	w3_d249e9863
dem	w5_d249e9866
Meyerischen	w7_d249e9869
Freychataillon	w9_d249e9872
einige	w1_d249e9877
1000.	w3_d249e9880
Mann	w5_d249e9883
ohnweit	w7_d249e9886
Pirna,	w9_d249e9889
und	w11_d249e9892
die	w1_d249e9898
übrigen	w3_d249e9901
campiren	w5_d249e9904
in	w7_d249e9907
hiesiger	w9_d249e9910
Gegend	w11_d249e9913
über	w13_d249e9917
Neustadt;	w1_d249e9922
man	w3_d249e9925
ist	w5_d249e9928
dahero	w7_d249e9931
begierig	w9_d249e9934
zu	w11_d249e9937
verneh	w13_d249e9941
men,	w1_d249e9946
ob	w3_d249e9949
gedachte	w5_d249e9952
Königl.	w7_d249e9955
Preußische	w9_d249e9958
Trupen	w11_d249e9961
in	w1_d249e9966
Böhmen	w3_d249e9969
eindringen	w5_d249e9972
oder	w7_d249e9975
sonsten	w9_d249e9978
wo	w11_d249e9981
sich	w13_d249e9985
hin	w15_d249e9988
wenden	w1_d249e9994
werden.	w3_d249e9997
</p>
<head id="h2_d249e10003">
Nieder=Rheinstrom,	w1_d249e10007
20.	w3_d249e10010
May.	w5_d249e10013
</head>
<p id="p4_d249e10016">
Da	w1_d249e10020
die	w3_d249e10023
Engländische	w5_d249e10026
Freybeuter	w7_d249e10029
noch	w9_d249e10032
immer	w11_d249e10035
fortfahren,	w1_d249e10040
die	w3_d249e10043
Herrschaften,	w5_d249e10046
die	w7_d249e10049
Unterthanen	w9_d249e10052
der	w1_d249e10057
Republic,	w3_d249e10060
und	w5_d249e10063
besonders	w7_d249e10066
der	w9_d249e10069
Stadt	w11_d249e10072
Rot	w13_d249e10076
terdem,	w1_d249e10082
sehr	w3_d249e10085
zu	w5_d249e10088
beunruhigen,	w7_d249e10091
so	w9_d249e10094
haben	w11_d249e10097
die	w13_d249e10101
Handels	w1_d249e10106
leute	w3_d249e10109
abermalen	w5_d249e10112
eine	w7_d249e10115
Bittschrift	w9_d249e10118
bey	w11_d249e10121
denen	w1_d249e10126
Staaten	w3_d249e10129
von	w5_d249e10132
Holland	w7_d249e10135
eingereichet,	w9_d249e10138
und	w11_d249e10141
um	w1_d249e10146
Dero	w3_d249e10149
Beschützung	w5_d249e10152
angesuchet,	w7_d249e10155
widrigen	w9_d249e10158
falls	w1_d249e10164
man	w3_d249e10167
ihnen	w5_d249e10170
erlauben	w7_d249e10173
möchte,	w9_d249e10176
auf	w11_d249e10179
eigene	w13_d249e10183
Kosten	w1_d249e10188
einige	w3_d249e10191
Schiffe	w5_d249e10194
zu	w7_d249e10197
bewafnen	w9_d249e10200
und	w11_d249e10203
sich	w13_d249e10207
selbsten	w1_d249e10212
Sicherheit	w3_d249e10215
zu	w5_d249e10218
verschaffen:	w7_d249e10221
Was	w9_d249e10224
auf	w11_d249e10227
dieses	w1_d249e10232
Anbringen	w3_d249e10235
für	w5_d249e10238
eine	w7_d249e10241
Antwort	w9_d249e10244
erfolget	w11_d249e10247
sey,	w1_d249e10253
ist	w3_d249e10256
noch	w5_d249e10259
nicht	w7_d249e10262
bekannt.	w9_d249e10265
Endlich	w11_d249e10268
ist	w13_d249e10272
die	w15_d249e10275
Sache,	w1_d249e10280
wegen	w3_d249e10283
dem	w5_d249e10286
zu	w7_d249e10289
Wesel	w9_d249e10292
gehaltenen	w11_d249e10295
Gele	w13_d249e10299
zu	w1_d249e10304
ihrer	w3_d249e10307
Endschaft	w5_d249e10310
gediehen,	w7_d249e10313
dergestalten,	w9_d249e10316
daß	w11_d249e10319
selbiges	w1_d249e10324
denen	w3_d249e10327
Eigentkümern	w5_d249e10330
ausgeliefert	w7_d249e10333
worden,	w1_d249e10339
es	w3_d249e10342
hat	w5_d249e10345
sich	w7_d249e10348
aber	w9_d249e10351
dabey	w11_d249e10354
ergeben,	w13_d249e10358
daß	w15_d249e10361
die	w1_d249e10366
ganze	w3_d249e10369
Summa	w5_d249e10372
sich	w7_d249e10375
auf	w9_d249e10378
nicht	w11_d249e10381
mehr	w13_d249e10385
als	w15_d249e10388
270000.	w1_d249e10393
Gulden	w3_d249e10396
beloffen,	w5_d249e10399
also	w7_d249e10402
weit	w9_d249e10405
weniger,	w11_d249e10408
als	w1_d249e10413
anfangs	w3_d249e10416
vermeldet	w5_d249e10419
worden.	w7_d249e10422
Die	w9_d249e10425
Ursa	w11_d249e10428
chen,	w1_d249e10434
welche	w3_d249e10437
die	w5_d249e10440
Staaten	w7_d249e10443
von	w9_d249e10446
Geldern	w11_d249e10449
zu	w13_d249e10453
einer	w15_d249e10456
Völker=vermehrung	w1_d249e10461
von	w3_d249e10464
13000.	w5_d249e10467
Mann	w7_d249e10470
anfüh	w9_d249e10473
ren,	w1_d249e10478
bestehen	w3_d249e10481
vornämlich	w5_d249e10484
darinnen,	w7_d249e10487
daß,	w9_d249e10490
wann	w11_d249e10493
diese	w1_d249e10498
Provinz	w3_d249e10501
gehalten	w5_d249e10504
seyn	w7_d249e10507
solle,	w9_d249e10510
an	w11_d249e10513
die	w13_d249e10517
Aus	w15_d249e10520
rüstung	w1_d249e10526
der	w3_d249e10529
Kriegs=schiffen	w5_d249e10532
für	w7_d249e10535
dieses	w9_d249e10538
Jahr	w11_d249e10541
das	w1_d249e10546
ihrige	w3_d249e10549
beyzutragen,	w5_d249e10552
sie	w7_d249e10555
sich	w9_d249e10558
billigermassen	w11_d249e10561
versehe,	w1_d249e10566
daß	w3_d249e10569
die	w5_d249e10572
übrige	w7_d249e10575
Provinzen	w9_d249e10578
auch	w11_d249e10581
zur	w13_d249e10585
all	w15_d249e10588
gemeinen	w1_d249e10593
Sicherheit	w3_d249e10596
in	w5_d249e10599
diese	w7_d249e10602
Vermehrung	w9_d249e10605
eintretten	w1_d249e10611
würden:	w3_d249e10614
es	w5_d249e10617
wären	w7_d249e10620
diese	w9_d249e10623
Vorkeh	w11_d249e10626
rungen	w1_d249e10631
um	w3_d249e10634
desto	w5_d249e10637
nöhtiger,	w7_d249e10640
als	w9_d249e10643
sich	w11_d249e10646
zwey	w13_d249e10650
gros	w15_d249e10653
se	w1_d249e10658
Mächte	w3_d249e10661
mit	w5_d249e10664
Dero	w7_d249e10667
Kriegs=völkern	w9_d249e10670
in	w11_d249e10673
der	w13_d249e10677
Nachbarschaft	w1_d249e10682
befinden,	w3_d249e10685
und	w5_d249e10688
obgleich	w7_d249e10691
sie,	w9_d249e10694
zu	w11_d249e10697
folg	w1_d249e10703
derer	w3_d249e10706
wiederholten	w5_d249e10709
Versicherungen,	w7_d249e10712
von	w9_d249e10715
Seiten	w1_d249e10720
der	w3_d249e10723
Crone	w5_d249e10726
Frankreich	w7_d249e10729
nichts	w9_d249e10732
zu	w11_d249e10735
beförch	w13_d249e10739
ten	w1_d249e10744
haben,	w3_d249e10747
so	w5_d249e10750
wäre	w7_d249e10753
doch	w9_d249e10756
ungewiß,	w11_d249e10759
ob	w13_d249e10763
die	w15_d249e10766
Hannöverischen	w1_d249e10771
und	w3_d249e10774
Preußische	w5_d249e10777
Völker	w7_d249e10780
eine	w9_d249e10783
gleiche	w1_d249e10789
Achtung	w3_d249e10792
für	w5_d249e10795
die	w7_d249e10798
Republic	w9_d249e10801
haben	w11_d249e10804
wer	w13_d249e10808
den.	w1_d249e10813
Die	w3_d249e10816
Briefe	w5_d249e10819
vom	w7_d249e10822
Nieder=rheinstrom	w9_d249e10825
versichern,	w1_d249e10830
daß	w3_d249e10833
sich	w5_d249e10836
die	w7_d249e10839
Französische	w9_d249e10842
Armee	w11_d249e10845
dergestalten	w1_d249e10850
verstärke,	w3_d249e10853
daß	w5_d249e10856
sie	w7_d249e10859
gar	w9_d249e10862
bald	w11_d249e10865
im	w13_d249e10869
Stande	w1_d249e10875
seyn	w3_d249e10878
werde,	w5_d249e10881
der	w7_d249e10884
Sache	w9_d249e10887
eine	w11_d249e10890
andere	w13_d249e10894
Gestalt	w1_d249e10899
zu	w3_d249e10902
geben.	w5_d249e10905
</p>
<head id="h2_d249e10912">
Kurz=gefaßte	w1_d249e10916
Nachrichten	w3_d249e10919
Es	w1_d249e10924
geben	w3_d249e10927
die	w5_d249e10930
frischeste	w7_d249e10933
Briefe.	w9_d249e10936
</head>
<p id="p4_d249e10939">
Von	w1_d249e10943
Neapel:	w3_d249e10946
daß	w5_d249e10949
allda	w7_d249e10952
2.	w9_d249e10955
Kriegs=schiffe	w11_d249e10958
und	w1_d249e10963
eine	w3_d249e10966
Chaloupe	w5_d249e10969
in	w7_d249e10972
Bereitschaft	w9_d249e10975
gesetzet	w11_d249e10978
werden,	w1_d249e10983
welche	w3_d249e10986
den	w5_d249e10989
Königl.	w7_d249e10992
Minister	w9_d249e10995
nach	w11_d249e10998
Canstantinopel	w1_d249e11004
bringen	w3_d249e11007
sollen,	w5_d249e11010
der	w7_d249e11013
ernannt	w9_d249e11016
ist,	w1_d249e11021
im	w3_d249e11024
Nahmen	w5_d249e11027
Sr.	w7_d249e11030
Majestät	w9_d249e11033
bey	w11_d249e11036
dem	w13_d249e11040
jetzi	w15_d249e11043
</p>
<p id="p10_d249e11056">
gen	w1_d249e11060
Groß=sultan	w3_d249e11063
die	w5_d249e11066
Glükwünschungen	w7_d249e11069
zu	w9_d249e11072
dessen	w1_d249e11077
Gel.gung	w3_d249e11080
auf	w5_d249e11083
den	w7_d249e11086
Thron	w9_d249e11089
abzustatten.	w11_d249e11092
Mit	w1_d249e11097
Briefen	w3_d249e11100
aus	w5_d249e11103
Nord=america	w7_d249e11106
wird	w9_d249e11109
ver	w11_d249e11112
sichert,	w1_d249e11118
daß	w3_d249e11121
die	w5_d249e11124
Cherocken	w7_d249e11127
denen	w9_d249e11130
Franzosen	w11_d249e11133
offentlich	w1_d249e11138
den	w3_d249e11141
Krieg	w5_d249e11144
angekündiget,	w7_d249e11147
und	w9_d249e11150
ihnen	w11_d249e11153
einen	w1_d249e11158
Officier,	w3_d249e11161
mit	w5_d249e11164
6.	w7_d249e11167
Soldaten,	w9_d249e11170
bey	w11_d249e11173
dem	w13_d249e11177
Fort,	w1_d249e11182
welches	w3_d249e11185
sie	w5_d249e11188
an	w7_d249e11191
dem	w9_d249e11194
Fluß	w11_d249e11197
Tanise	w13_d249e11201
an	w15_d249e11204
legen	w1_d249e11210
wollen,	w3_d249e11213
getödtet,	w5_d249e11216
auch	w7_d249e11219
etliche	w9_d249e11222
Gefan	w11_d249e11225
gene	w1_d249e11230
von	w3_d249e11233
ihnen	w5_d249e11236
mit	w7_d249e11239
20.	w9_d249e11242
Haar=köpfen	w11_d249e11245
nach	w13_d249e11249
dem	w1_d249e11254
Fort	w3_d249e11257
Loudon	w5_d249e11260
gebracht	w7_d249e11263
haben.	w9_d249e11266
Auch	w11_d249e11269
wird	w1_d249e11274
eines	w3_d249e11277
Nebels	w5_d249e11280
gedacht,	w7_d249e11283
der	w9_d249e11286
am	w11_d249e11289
3ten	w13_d249e11293
Ja	w15_d249e11296
nuarii,	w1_d249e11302
zur	w3_d249e11305
Zeit	w5_d249e11308
des	w7_d249e11311
Sonnen=aufgangs,	w9_d249e11314
zu	w11_d249e11317
Kensington,	w1_d249e11322
in	w3_d249e11325
der	w5_d249e11328
Provintz	w7_d249e11331
Connecticut,	w9_d249e11334
ge	w11_d249e11337
fallen	w1_d249e11342
ist,	w3_d249e11345
der	w5_d249e11348
so	w7_d249e11351
ausnehmend	w9_d249e11354
dick	w11_d249e11357
und	w13_d249e11361
heiß	w15_d249e11364
gewesen	w1_d249e11369
seyn	w3_d249e11372
solle,	w5_d249e11375
daß	w7_d249e11378
man	w9_d249e11381
hätte	w11_d249e11384
ersticken	w13_d249e11388
mögen.	w1_d249e11394
Viele	w3_d249e11397
Leute	w5_d249e11400
glaubten,	w7_d249e11403
die	w9_d249e11406
ganze	w11_d249e11409
Welt	w1_d249e11414
stünde	w3_d249e11417
im	w5_d249e11420
Feuer,	w7_d249e11423
und	w9_d249e11426
der	w11_d249e11429
jüngste	w13_d249e11433
Tag	w15_d249e11436
wäre	w1_d249e11441
vor	w3_d249e11444
der	w5_d249e11447
Thür.	w7_d249e11450
Wie	w9_d249e11453
lange	w11_d249e11456
dieser	w13_d249e11460
Ne	w15_d249e11463
bel	w1_d249e11468
angehalten	w3_d249e11471
habe,	w5_d249e11474
wird	w7_d249e11477
zwar	w9_d249e11480
nicht	w11_d249e11483
ge	w13_d249e11487
meldet,	w1_d249e11493
wol	w3_d249e11496
aber,	w5_d249e11499
daß	w7_d249e11502
dergleichen	w9_d249e11505
auch	w11_d249e11508
zu	w13_d249e11512
Sutton,	w1_d249e11517
100.	w3_d249e11520
Meilen	w5_d249e11523
von	w7_d249e11526
Kensington,	w9_d249e11529
ge	w11_d249e11532
gen	w1_d249e11537
Osten,	w3_d249e11540
sey	w5_d249e11543
verspühret	w7_d249e11546
worden.	w9_d249e11549
</p>
<head id="h2_d249e11555">
