<doc id="wr_1757-01-29" attrs="word" year="1757" month="01" day="29" corpus="2">
<head id="h2_d113e2714">
Tripoli	w1_d113e2718
Jahr	w5_d113e6350
seynd	w7_d113e6353
in	w9_d113e6356
hiesiger	w11_d113e6359
Haupt=stadt	w1_d113e6364
797.	w3_d113e6367
Paar	w5_d113e6370
copulirt	w7_d113e6373
worden,	w9_d113e6376
1381.	w1_d113e6381
Knaben	w3_d113e6384
und	w5_d113e6387
1272.	w7_d113e6390
Mägdlein,	w9_d113e6393
zusammen	w11_d113e6396
2653.	w1_d113e6402
Kinder	w3_d113e6405
geboren,	w5_d113e6408
und	w7_d113e6411
2792.	w9_d113e6414
Perso	w11_d113e6417
nen	w1_d113e6422
gestorben,	w3_d113e6425
daß	w5_d113e6428
also	w7_d113e6431
139.	w9_d113e6434
mehr	w11_d113e6437
gestorben	w13_d113e6441
als	w1_d113e6446
geboren	w3_d113e6449
seynd.	w5_d113e6452
</p>
<head id="h2_d113e6458">
Brüssel	w1_d113e6462
7.	w3_d113e6465
Januarii.	w5_d113e6468
</head>
<p id="p4_d113e6471">
Man	w1_d113e6475
erwartet	w3_d113e6478
hier	w5_d113e6481
täglich	w7_d113e6484
37.	w9_d113e6487
Maulthiere	w11_d113e6490
so	w1_d113e6495
aus	w3_d113e6498
Frankreich	w5_d113e6501
kommen,	w7_d113e6504
und	w9_d113e6507
zum	w11_d113e6510
Trans	w13_d113e6514
port	w1_d113e6519
der	w3_d113e6522
Equippages	w5_d113e6525
Sr.	w7_d113e6528
Königl.	w9_d113e6531
Hoheit	w11_d113e6534
des	w1_d113e6540
Herzogs	w3_d113e6543
von	w5_d113e6546
Lothringen,	w7_d113e6549
unsers	w9_d113e6552
General	w11_d113e6555
gouverneurs,	w1_d113e6560
dienen	w3_d113e6563
sollen.	w5_d113e6566
Jndessen	w7_d113e6569
seynd	w9_d113e6572
Se.	w1_d113e6577
Königliche	w3_d113e6580
Hoheit	w5_d113e6583
noch	w7_d113e6586
an	w9_d113e6589
einem	w11_d113e6592
Bein	w13_d113e6596
incommodiret,	w1_d113e6601
so	w3_d113e6604
von	w5_d113e6607
einem	w7_d113e6610
Fall	w9_d113e6613
herkommt,	w11_d113e6616
den	w1_d113e6622
sie	w3_d113e6625
auf	w5_d113e6628
Dero	w7_d113e6631
letzten	w9_d113e6634
Reise	w11_d113e6637
von	w13_d113e6641
Marimont	w15_d113e6644
gethan	w1_d113e6649
haben.	w3_d113e6652
</p>
<head id="h2_d113e6658">
Hannover	w1_d113e6662
3.	w3_d113e6665
Januarii.	w5_d113e6668
</head>
<p id="p4_d113e6671">
Wir	w1_d113e6675
erwarten	w3_d113e6678
hier	w5_d113e6681
künftige	w7_d113e6684
Woche	w9_d113e6687
die	w11_d113e6690
2.	w13_d113e6694
Bataillons	w1_d113e6699
Leib=gardes	w3_d113e6702
aus	w5_d113e6705
England	w7_d113e6708
zurück.	w9_d113e6711
Der	w1_d113e6716
Königl.	w3_d113e6719
Preußische	w5_d113e6722
General=leutenant	w7_d113e6725
Graf	w1_d113e6731
von	w3_d113e6734
Schmettau,	w5_d113e6737
befindet	w7_d113e6740
sich	w9_d113e6743
noch	w11_d113e6746
hier,	w13_d113e6750
Er	w1_d113e6755
conferirt	w3_d113e6758
sehr	w5_d113e6761
oft	w7_d113e6764
mit	w9_d113e6767
denen	w11_d113e6770
Gliedern	w13_d113e6774
der	w15_d113e6777
Regierung	w1_d113e6782
dieses	w3_d113e6785
Chur=fürstentums	w5_d113e6788
über	w7_d113e6791
ver	w9_d113e6794
schiedene	w1_d113e6799
wichtige	w3_d113e6802
Affairen,	w5_d113e6805
so	w7_d113e6808
der	w9_d113e6811
König	w11_d113e6814
von	w13_d113e6818
Preussen	w1_d113e6824
ihm	w3_d113e6827
aufgetragen	w5_d113e6830
hat.	w7_d113e6833
</p>
<p id="p6_d113e6836">
Seit	w1_d113e6840
einiger	w3_d113e6843
Zeit	w5_d113e6846
gehen	w7_d113e6849
die	w9_d113e6852
aus	w11_d113e6855
Londen	w13_d113e6859
kommende	w1_d113e6864
Curriers	w3_d113e6867
viel	w5_d113e6870
zahl=reicher,	w7_d113e6873
als	w9_d113e6876
sonst	w1_d113e6881
gewöhnlich	w3_d113e6884
ist,	w5_d113e6887
durch	w7_d113e6890
hiesige	w9_d113e6893
Haupt=stadt.	w11_d113e6896
</p>
<p id="p8_d113e6899">
Man	w1_d113e6903
sagt,	w3_d113e6906
daß	w5_d113e6909
Se.	w7_d113e6912
Majestät	w9_d113e6915
Dero	w11_d113e6918
Chur	w13_d113e6922
fürstl.	w1_d113e6927
Trupen	w3_d113e6930
mit	w5_d113e6933
einigen	w7_d113e6936
neuen	w9_d113e6939
Regimentern	w11_d113e6942
verstärken	w1_d113e6947
wollten.	w3_d113e6950
</p>
<head id="h2_d113e6956">
Hamburg	w1_d113e6960
5.	w3_d113e6963
Januarii.	w5_d113e6966
</head>
<p id="p4_d113e6969">
Vor	w1_d113e6973
etlichen	w3_d113e6976
Tagen	w5_d113e6979
langte	w7_d113e6982
der	w9_d113e6985
Königlich	w11_d113e6988
Dänische	w1_d113e6993
Kammer=herr,	w3_d113e6996
Baron	w5_d113e6999
von	w7_d113e7002
Bach	w9_d113e7005
hof	w1_d113e7010
von	w3_d113e7013
Echt,	w5_d113e7016
aus	w7_d113e7019
Coppenhagen	w9_d113e7022
alhier	w11_d113e7025
an.	w13_d113e7029
Eben	w1_d113e7035
daher	w3_d113e7038
ist	w5_d113e7041
auch	w7_d113e7044
ein	w9_d113e7047
Königl.	w11_d113e7050
Dänischer	w13_d113e7054
Curier	w1_d113e7059
und	w3_d113e7062
zugleich	w5_d113e7065
eine	w7_d113e7068
Staffete	w9_d113e7071
angekom	w11_d113e7074
men,	w1_d113e7079
von	w3_d113e7082
welchen	w5_d113e7085
der	w7_d113e7088
erste	w9_d113e7091
sofort	w11_d113e7094
seinen	w13_d113e7098
Weg	w15_d113e7101
weiter	w1_d113e7106
nach	w3_d113e7109
Berlin	w5_d113e7112
genommen	w7_d113e7115
hat.	w9_d113e7118
Das	w11_d113e7121
seit	w1_d113e7127
etlichen	w3_d113e7130
Tagen	w5_d113e7133
wieder	w7_d113e7136
eingefallene	w9_d113e7139
hefti	w11_d113e7142
ge	w1_d113e7147
Frost=wetter	w3_d113e7150
hat	w5_d113e7153
die	w7_d113e7156
Elbe	w9_d113e7159
in	w11_d113e7162
hiesiger	w13_d113e7166
Ge	w15_d113e7169
gend	w1_d113e7174
dergestalt	w3_d113e7177
mit	w5_d113e7180
Eis	w7_d113e7183
belegt,	w9_d113e7186
daß	w11_d113e7189
dieselbe	w13_d113e7193
schon	w1_d113e7198
an	w3_d113e7201
verschiedenen	w5_d113e7204
Orten	w7_d113e7207
anfanget	w9_d113e7210
zu	w11_d113e7213
tragen.	w1_d113e7219
</p>
<head id="h2_d113e7225">
Düsseldorf	w1_d113e7229
2.	w3_d113e7232
Januarii.	w5_d113e7235
</head>
<p id="p4_d113e7238">
Der	w1_d113e7242
Königl.	w3_d113e7245
Preußische	w5_d113e7248
Minister	w7_d113e7251
und	w9_d113e7254
Prä	w11_d113e7257
sident	w1_d113e7262
der	w3_d113e7265
Regierung	w5_d113e7268
zu	w7_d113e7271
Cleve,	w9_d113e7274
Freyherr	w11_d113e7277
von	w13_d113e7281
Raesfeld,	w1_d113e7286
ist	w3_d113e7289
in	w5_d113e7292
wichtigen	w7_d113e7295
Königl.	w9_d113e7298
Commi	w11_d113e7301
ßionen	w1_d113e7307
am	w3_d113e7310
verwichenen	w5_d113e7313
Dienstag	w7_d113e7316
alhier	w9_d113e7319
an	w11_d113e7322
gelanget,	w1_d113e7327
und	w3_d113e7330
hat	w5_d113e7333
sich	w7_d113e7336
fast	w9_d113e7339
täglich	w11_d113e7342
mit	w13_d113e7346
der	w15_d113e7349
hiesigen	w1_d113e7354
Regierung,	w3_d113e7357
insonderheit	w5_d113e7360
aber	w7_d113e7363
mit	w9_d113e7366
dem	w1_d113e7371
Jüllich	w3_d113e7374
und	w5_d113e7377
Bergischen	w7_d113e7380
Canzler,	w9_d113e7383
Gra	w11_d113e7386
fen	w1_d113e7392
von	w3_d113e7395
Schaesberg	w5_d113e7398
und	w7_d113e7401
mit	w9_d113e7404
dem	w11_d113e7407
Vicecanz	w13_d113e7411
ler,	w1_d113e7416
Herrn	w3_d113e7419
von	w5_d113e7422
Robert,	w7_d113e7425
unterredet.	w9_d113e7428
Gestern	w11_d113e7431
früh	w1_d113e7436
ist	w3_d113e7439
dieser	w5_d113e7442
Königl.	w7_d113e7445
Preußische	w9_d113e7448
Minister	w11_d113e7451
wieder	w1_d113e7456
von	w3_d113e7459
hier	w5_d113e7462
und	w7_d113e7465
zwar	w9_d113e7468
nach	w11_d113e7471
Cöln	w13_d113e7475
abge	w15_d113e7478
reiset,	w1_d113e7484
woselbst	w3_d113e7487
er	w5_d113e7490
sich	w7_d113e7493
aber	w9_d113e7496
nicht	w11_d113e7499
lange	w13_d113e7503
auf	w15_d113e7506
halten,	w1_d113e7511
sondern	w3_d113e7514
nach	w5_d113e7517
dem	w7_d113e7520
Chur=fürstl.	w9_d113e7523
Cöl	w11_d113e7526
nischen	w1_d113e7531
Hof	w3_d113e7534
verfügen,	w5_d113e7537
und	w7_d113e7540
daselbst	w9_d113e7543
gleich	w11_d113e7546
falls	w1_d113e7551
eine	w3_d113e7554
Commißion	w5_d113e7557
ablegen	w7_d113e7560
wird;	w9_d113e7563
wann	w11_d113e7566
dieses	w1_d113e7572
geschehen,	w3_d113e7575
wird	w5_d113e7578
sich	w7_d113e7581
derselbe	w9_d113e7584
nach	w11_d113e7587
dem	w13_d113e7591
Chur=trierischen,	w1_d113e7596
und	w3_d113e7599
alsdann	w5_d113e7602
nach	w7_d113e7605
dem	w9_d113e7608
Chur	w11_d113e7611
maynzischen	w1_d113e7616
Hof	w3_d113e7619
begeben.	w5_d113e7622
</p>
<head id="h2_d113e7629">
Dreßden	w1_d113e7633
7.	w3_d113e7636
Jan.	w5_d113e7639
</head>
<p id="p4_d113e7642">
Von	w1_d113e7646
denen	w3_d113e7649
Königlich=Preußischen	w5_d113e7652
Bleßir	w7_d113e7655
ten,	w1_d113e7660
so	w3_d113e7663
meistentheils	w5_d113e7666
restituiret	w7_d113e7669
seynd,	w9_d113e7672
wer	w11_d113e7675
den	w1_d113e7680
fast	w3_d113e7683
täglich	w5_d113e7686
etliche	w7_d113e7689
an	w9_d113e7692
ihre	w11_d113e7695
Regimenter	w13_d113e7699
zuruck	w1_d113e7705
geschickt;	w3_d113e7708
man	w5_d113e7711
will	w7_d113e7714
doch	w9_d113e7717
auch	w11_d113e7720
sagen,	w13_d113e7724
daß	w1_d113e7729
über	w3_d113e7732
900.	w5_d113e7735
Mann	w7_d113e7738
alhier	w9_d113e7741
begraben	w11_d113e7744
worden	w13_d113e7748
seynd.	w1_d113e7753
Am	w3_d113e7756
Freytage	w5_d113e7759
wurden	w7_d113e7762
2.	w9_d113e7765
hiesige	w11_d113e7768
Kö	w13_d113e7772
nigl.	w1_d113e7777
Post=brief=träger	w3_d113e7780
auf	w5_d113e7783
Königl.	w7_d113e7786
Preußi	w9_d113e7789
schen	w1_d113e7795
Befehl	w3_d113e7798
arrestiret,	w5_d113e7801
und	w7_d113e7804
auf	w9_d113e7807
die	w11_d113e7810
Haupt	w13_d113e7814
wacht	w1_d113e7819
gebracht;	w3_d113e7822
man	w5_d113e7825
gibt	w7_d113e7828
ihnen	w9_d113e7831
Schuld,	w11_d113e7834
daß	w1_d113e7839
sie	w3_d113e7842
Briefe	w5_d113e7845
von	w7_d113e7848
Wichtigkeit	w9_d113e7851
nicht	w11_d113e7854
sogleich	w13_d113e7858
bestellet	w1_d113e7863
hätten.	w3_d113e7866
</p>
<head id="h2_d113e7872">
Berlin	w1_d113e7876
8.	w3_d113e7879
Januarii.	w5_d113e7882
</head>
<p id="p4_d113e7885">
Verwichenen	w1_d113e7889
Mittwoch	w3_d113e7892
Abends	w5_d113e7895
lang	w7_d113e7898
</p>
<p id="p8_d113e7903">
te	w1_d113e7907
der	w3_d113e7910
Prinz	w5_d113e7913
und	w7_d113e7916
Marggraf	w9_d113e7919
Carl,	w11_d113e7922
aus	w13_d113e7926
Dres	w15_d113e7929
den	w1_d113e7934
alhier	w3_d113e7937
an.	w5_d113e7940
Vorgestern	w7_d113e7943
fruh	w9_d113e7946
traffe	w11_d113e7949
auch	w13_d113e7953
der	w1_d113e7958
Königl	w3_d113e7961
Groß=britannische	w5_d113e7964
gevoll	w7_d113e7967
mächtigt	w9_d113e7970
Minister	w1_d113e7976
an	w3_d113e7979
dem	w5_d113e7982
hiesigen	w7_d113e7985
Königl.	w9_d113e7988
Hof,	w11_d113e7991
Herr	w13_d113e7995
Mitchel,	w1_d113e8000
aus	w3_d113e8003
gedachtem	w5_d113e8006
Dresden	w7_d113e8009
ein.	w9_d113e8012
</p>
<head id="h2_d113e8018">
Erlangen	w1_d113e8022
8.	w3_d113e8025
Januar.	w5_d113e8028
</head>
<p id="p4_d113e8031">
Jn	w1_d113e8035
der	w3_d113e8038
Pfarrey	w5_d113e8041
Simmershofen,	w7_d113e8044
so	w9_d113e8047
in	w11_d113e8050
dem	w1_d113e8055
Anspachischen	w3_d113e8058
Decanat	w5_d113e8061
Uffenheim	w7_d113e8064
ligt,	w9_d113e8067
hat	w1_d113e8072
sich	w3_d113e8075
bey	w5_d113e8078
Einreissung	w7_d113e8081
der	w9_d113e8084
alten	w11_d113e8087
Kirchen	w13_d113e8091
ein	w1_d113e8097
altes	w3_d113e8100
Grabmal	w5_d113e8103
in	w7_d113e8106
der	w9_d113e8109
Mauer	w11_d113e8112
7.	w13_d113e8116
Schuh	w15_d113e8119
lang	w1_d113e8124
gefunden,	w3_d113e8127
da	w5_d113e8130
zwar	w7_d113e8133
von	w9_d113e8136
dem	w11_d113e8139
Leichnam	w13_d113e8143
nichts	w1_d113e8148
mehr	w3_d113e8151
zu	w5_d113e8154
erkennen,	w7_d113e8157
auch	w9_d113e8160
sonst	w11_d113e8163
keine	w13_d113e8167
schriftliche	w1_d113e8172
Anzeige	w3_d113e8175
zu	w5_d113e8178
entdecken	w7_d113e8181
gewesen,	w9_d113e8184
wol	w11_d113e8187
aber	w1_d113e8193
eine	w3_d113e8196
Menge	w5_d113e8199
alter	w7_d113e8202
silberner	w9_d113e8205
Münzen,	w11_d113e8208
ungefähr	w1_d113e8213
11.	w3_d113e8216
bis	w5_d113e8219
1200.	w7_d113e8222
Stuck,	w9_d113e8225
gefunden	w11_d113e8228
wor	w13_d113e8232
den,	w1_d113e8237
die	w3_d113e8240
längs	w5_d113e8243
dem	w7_d113e8246
Körper	w9_d113e8249
ausgestreuet	w11_d113e8252
gele	w13_d113e8256
gen.	w1_d113e8261
Sie	w3_d113e8264
seynd	w5_d113e8267
alle	w7_d113e8270
eines	w9_d113e8273
Schlags,	w11_d113e8276
in	w13_d113e8280
der	w15_d113e8283
Größe	w1_d113e8289
eines	w3_d113e8292
Schillings	w5_d113e8295
oder	w7_d113e8298
halben	w9_d113e8301
Batzens	w11_d113e8304
und	w1_d113e8309
führen	w3_d113e8312
auf	w5_d113e8315
der	w7_d113e8318
einen	w9_d113e8321
Seite	w11_d113e8324
eine	w13_d113e8328
ausge	w15_d113e8331
breitete	w1_d113e8336
Hand,	w3_d113e8339
auf	w5_d113e8342
der	w7_d113e8345
andern	w9_d113e8348
aber	w11_d113e8351
ein	w13_d113e8355
Kreutz,	w1_d113e8360
und	w3_d113e8363
seynd	w5_d113e8366
mithin	w7_d113e8369
von	w9_d113e8372
denen	w11_d113e8375
aller	w13_d113e8379
ersten	w1_d113e8385
und	w3_d113e8388
urältesten	w5_d113e8391
Kreutzern.	w7_d113e8394
Da	w9_d113e8397
man	w11_d113e8400
nun	w1_d113e8405
diesen	w3_d113e8408
kleinen	w5_d113e8411
Schatz	w7_d113e8414
gerne	w9_d113e8417
zum	w11_d113e8420
Besten	w13_d113e8424
des	w1_d113e8429
ohnehin	w3_d113e8432
bedürftigen	w5_d113e8435
GOttes=hauses	w7_d113e8438
an	w9_d113e8441
wenden	w1_d113e8446
möchte;	w3_d113e8449
so	w5_d113e8452
sollen	w7_d113e8455
diese	w9_d113e8458
alte	w11_d113e8461
Mün	w13_d113e8465
zen	w1_d113e8471
das	w3_d113e8474
Stuck	w5_d113e8477
zu	w7_d113e8480
1.	w9_d113e8483
Groschen	w11_d113e8486
denen	w13_d113e8490
Liebha	w15_d113e8493
bern	w1_d113e8498
überlassen	w3_d113e8501
werden,	w5_d113e8504
und	w7_d113e8507
seynd	w9_d113e8510
entweder	w11_d113e8513
in	w1_d113e8518
obgedachtem	w3_d113e8521
Decanat	w5_d113e8524
selbst,	w7_d113e8527
oder	w9_d113e8530
in	w11_d113e8533
Er	w13_d113e8537
langen	w1_d113e8542
einzuwechseln.	w3_d113e8545
</p>
<head id="h2_d113e8551">
Hollitsch	w1_d113e8555
18.	w3_d113e8558
Jan.	w5_d113e8561
</head>
<p id="p4_d113e8564">
Gestern	w1_d113e8568
ist	w3_d113e8571
alhier	w5_d113e8574
wegen	w7_d113e8577
der	w9_d113e8580
glücklichen	w11_d113e8583
Entbindung	w1_d113e8588
Jhrer	w3_d113e8591
Kaiserl.	w5_d113e8594
Königl.	w7_d113e8597
Majestät	w9_d113e8600
unserer	w1_d113e8605
allergnädigsten	w3_d113e8608
Landes=fürstin,	w5_d113e8611
und	w7_d113e8614
Frauen	w1_d113e8620
ein	w3_d113e8623
feyerliches	w5_d113e8626
Dank=fest	w7_d113e8629
gehalten	w9_d113e8632
worden;	w1_d113e8637
da	w3_d113e8640
nämlichen	w5_d113e8643
um	w7_d113e8646
9.	w9_d113e8649
Uhr	w11_d113e8652
Vormit	w13_d113e8656
tag	w1_d113e8661
von	w3_d113e8664
dem	w5_d113e8667
W.	w7_d113e8670
E.	w9_d113e8673
P	w11_d113e8676
Angelino,	w13_d113e8680
Capuciner	w15_d113e8683
ordens	w1_d113e8688
eine	w3_d113e8691
wol=gesetzte	w5_d113e8694
Dank=predig	w7_d113e8697
abge	w9_d113e8700
legt,	w1_d113e8706
um	w3_d113e8709
10.	w5_d113e8712
Uhr	w7_d113e8715
darauf	w9_d113e8718
aber	w11_d113e8721
das	w13_d113e8725
Te	w15_d113e8728
Deum	w1_d113e8733
Laudamus,	w3_d113e8736
und	w5_d113e8739
Hoch=amt	w7_d113e8742
unter	w9_d113e8745
Abfeurung	w1_d113e8750
einer	w3_d113e8753
Anzahl	w5_d113e8756
Stücken,	w7_d113e8759
und	w9_d113e8762
3.	w11_d113e8765
maliger	w1_d113e8770
Salve	w3_d113e8773
aus	w5_d113e8776
denen	w7_d113e8779
Musquetten	w9_d113e8782
deren	w11_d113e8785
alhier	w1_d113e8791
im	w3_d113e8794
Quartier	w5_d113e8797
ligenden	w7_d113e8800
Grenadirern,	w9_d113e8803
mit	w1_d113e8808
einer	w3_d113e8811
zahlreichen	w5_d113e8814
auch	w7_d113e8817
von	w9_d113e8820
denen	w11_d113e8823
hier	w13_d113e8827
anwesenden	w1_d113e8832
Chur=sächsischen	w3_d113e8835
Stabsofficie	w5_d113e8838
ren	w1_d113e8843
zur	w3_d113e8846
Verstärkung	w5_d113e8849
dargebenen	w7_d113e8852
Feld=music	w9_d113e8855
abgesungen;	w1_d113e8861
Abends	w3_d113e8864
nach	w5_d113e8867
6.	w7_d113e8870
Uhr	w9_d113e8873
sodann	w11_d113e8876
ein	w1_d113e8881
sehens=würdiges	w3_d113e8884
Feuer=werk	w5_d113e8887
mit	w7_d113e8890
sinn	w9_d113e8893
reicher	w1_d113e8898
Alludirung	w3_d113e8901
auf	w5_d113e8904
die	w7_d113e8907
Geburt	w9_d113e8910
des	w11_d113e8913
fünften	w13_d113e8917
Durchleuchtigsten	w1_d113e8922
Erz=herzogs,	w3_d113e8925
und	w5_d113e8928
der	w7_d113e8931
malige	w1_d113e8937
Kriegs=läuffe,	w3_d113e8940
angezündet,	w5_d113e8943
zu	w7_d113e8946
letzt	w9_d113e8949
</p>
<p id="p6_d113e8952">
aber	w1_d113e8956
dieser	w3_d113e8959
Freuden=volle	w5_d113e8962
Tag	w7_d113e8965
mit	w9_d113e8968
einem	w11_d113e8971
Souper	w1_d113e8976
und	w3_d113e8979
Bal	w5_d113e8982
bey	w7_d113e8985
Herrn	w9_d113e8988
Thadäo	w11_d113e8991
Karner,	w13_d113e8995
in	w1_d113e9000
dem	w3_d113e9003
Schloß	w5_d113e9006
in	w7_d113e9009
zahlreicher	w9_d113e9012
Beywohnung	w11_d113e9015
aller	w1_d113e9021
hier	w3_d113e9024
herum	w5_d113e9027
ligenden	w7_d113e9030
Königl.	w9_d113e9033
Polnischen	w11_d113e9036
und	w1_d113e9041
Chur=sächsischen	w3_d113e9044
Hrn.	w5_d113e9047
Officieren,	w7_d113e9050
auch	w9_d113e9053
an	w11_d113e9056
deren	w1_d113e9061
Standes=personen	w3_d113e9064
beschlossen	w5_d113e9067
wurde.	w7_d113e9070
</p>
<head id="h2_d113e9076">
Wien	w1_d113e9080
den	w3_d113e9083
29.	w5_d113e9086
Januarii	w7_d113e9089
1757.	w9_d113e9092
</head>
<p id="p4_d113e9095">
MJttwoch	w1_d113e9099
den	w3_d113e9102
26.	w5_d113e9105
Januarii,	w7_d113e9108
haben	w9_d113e9111
2	w1_d113e9116
beede	w3_d113e9119
Kaiserl.	w5_d113e9122
Majestäten	w7_d113e9125
mit	w9_d113e9128
Jhren	w11_d113e9131
Königl.	w1_d113e9136
Hoheiten	w3_d113e9139
denen	w5_d113e9142
älteren	w7_d113e9145
Durchleuch	w9_d113e9148
tigsten	w1_d113e9154
jungen	w3_d113e9157
Herrschaften	w5_d113e9160
der	w7_d113e9163
heiligen	w9_d113e9166
Seegen=meß	w1_d113e9171
in	w3_d113e9174
der	w5_d113e9177
Kammer=kapellen	w7_d113e9180
bey	w9_d113e9183
gewohnet.	w1_d113e9188
</p>
<p id="p6_d113e9191">
Donnerstags	w1_d113e9195
den	w3_d113e9198
27.	w5_d113e9201
Januarii,	w7_d113e9204
Vor	w9_d113e9207
und	w11_d113e9210
Nachmittags	w1_d113e9215
ist	w3_d113e9218
in	w5_d113e9221
Beywohnung	w7_d113e9224
Aller	w9_d113e9227
höchsten	w1_d113e9232
Herrschaften	w3_d113e9235
das	w5_d113e9238
Wochentliche	w7_d113e9241
Ge	w9_d113e9244
bett,	w1_d113e9250
und	w3_d113e9253
</p>
<p id="p8_d113e9256">
Freytags	w1_d113e9260
den	w3_d113e9263
28.	w5_d113e9266
Januarii,	w7_d113e9269
der	w9_d113e9272
gewöhn	w11_d113e9275
liche	w1_d113e9280
ordinari	w3_d113e9283
GOttes=dienst	w5_d113e9286
in	w7_d113e9289
der	w9_d113e9292
Kam	w11_d113e9295
mer=kapellen	w1_d113e9300
gehalten	w3_d113e9303
worden.	w5_d113e9306
</p>
<p id="p10_d113e9309">
Demnach	w1_d113e9313
sich	w3_d113e9316
so	w5_d113e9319
wol	w7_d113e9322
alhier	w9_d113e9325
als	w11_d113e9328
auch	w13_d113e9332
am	w15_d113e9335
deren	w1_d113e9340
benachbarten	w3_d113e9343
Orten	w5_d113e9346
ein	w7_d113e9349
Gerücht	w9_d113e9352
ver	w11_d113e9355
breitet,	w1_d113e9360
als	w3_d113e9363
ob	w5_d113e9366
des	w7_d113e9369
löbl.	w9_d113e9372
Keülischen	w11_d113e9375
Re	w13_d113e9379
giments	w1_d113e9385
Obrister	w3_d113e9388
Hr.	w5_d113e9391
Graf	w7_d113e9394
von	w9_d113e9397
Molza	w11_d113e9400
wegen	w13_d113e9404
begangenen	w1_d113e9409
Staats=verbrechen	w3_d113e9412
gefänglich	w5_d113e9415
anhero,	w1_d113e9420
und	w3_d113e9423
sodann	w5_d113e9426
weiters	w7_d113e9429
nacher	w9_d113e9432
Gräz	w11_d113e9435
in	w1_d113e9440
Verwahrung	w3_d113e9443
gebracht	w5_d113e9446
worden	w7_d113e9449
wäre,	w9_d113e9452
welches	w1_d113e9458
so	w3_d113e9461
gar	w5_d113e9464
in	w7_d113e9467
zerschiedenen	w9_d113e9470
ReichsZei	w11_d113e9473
tungen,	w1_d113e9478
in	w3_d113e9481
specie	w5_d113e9484
aber	w7_d113e9487
in	w9_d113e9490
dem	w11_d113e9493
Augspurger	w13_d113e9497
ordinari=zeitungs=blat	w1_d113e9502
datiert	w3_d113e9505
von	w5_d113e9508
8.	w7_d113e9511
Ja	w9_d113e9514
nuarii	w1_d113e9519
1757.	w3_d113e9522
Num.	w5_d113e9525
7.	w7_d113e9528
unter	w9_d113e9531
dem	w11_d113e9534
Articul	w13_d113e9538
von	w1_d113e9544
Wien	w3_d113e9547
mit	w5_d113e9550
folgenden	w7_d113e9553
hat	w9_d113e9556
bestättiget	w11_d113e9559
wer	w13_d113e9563
den	w1_d113e9568
wollen.	w3_d113e9571
</p>
<p id="p12_d113e9575">
Vor	w1_d113e9579
etlichen	w3_d113e9582
Tägen	w5_d113e9585
ist	w7_d113e9588
der	w9_d113e9591
Obriste	w11_d113e9594
von	w13_d113e9598
„dem	w1_d113e9603
K.	w3_d113e9606
Regiment	w5_d113e9609
von	w7_d113e9612
M.,	w9_d113e9615
ein	w11_d113e9618
Mode	w13_d113e9622
„neser	w1_d113e9627
von	w3_d113e9630
Geburt,	w5_d113e9633
nebst	w7_d113e9636
noch	w9_d113e9639
einem	w11_d113e9642
Staabs	w13_d113e9646
„	w1_d113e9652
und	w3_d113e9655
Ober=officier	w5_d113e9658
aus	w7_d113e9661
Böhmen	w9_d113e9664
hiedurch	w11_d113e9667
„nach	w1_d113e9672
Grätz	w3_d113e9675
in	w5_d113e9678
die	w7_d113e9681
Festung	w9_d113e9684
in	w11_d113e9687
ewige	w13_d113e9691
Ge	w15_d113e9694
„fangenschaft	w1_d113e9699
geführet	w3_d113e9702
worden,	w5_d113e9705
weilen	w7_d113e9708
sie	w9_d113e9711
„	w1_d113e9716
einen	w3_d113e9719
gefährlichen	w5_d113e9722
Brief=wechsel	w7_d113e9725
mit	w9_d113e9728
dem	w11_d113e9731
„König	w1_d113e9737
in	w3_d113e9740
Preussen	w5_d113e9743
hätten	w7_d113e9746
auf	w9_d113e9749
sich	w11_d113e9752
kom	w13_d113e9756
„men	w1_d113e9761
lassen.	w3_d113e9764
</p>
<p id="p14_d113e9767">
So	w1_d113e9771
wird	w3_d113e9774
hiemit	w5_d113e9777
allem	w7_d113e9780
deme	w9_d113e9783
offentlich	w11_d113e9786
widersprochen,	w1_d113e9791
und	w3_d113e9794
Jedermäniglichen	w5_d113e9797
be	w7_d113e9800
kannt	w1_d113e9805
gemacht,	w3_d113e9808
daß	w5_d113e9811
dieses	w7_d113e9814
ganz	w9_d113e9817
irriggrund	w11_d113e9820
falsche,	w1_d113e9826
und	w3_d113e9829
Ehren=rührische	w5_d113e9832
Erzehlungen	w7_d113e9835
seyen,	w1_d113e9840
massen	w3_d113e9843
dieser	w5_d113e9846
angesehene	w7_d113e9849
Officier	w9_d113e9852
noch	w11_d113e9855
bis	w1_d113e9860
heut	w3_d113e9863
zu	w5_d113e9866
Tage	w7_d113e9869
auch	w9_d113e9872
ohne	w11_d113e9875
mindesten	w13_d113e9879
der	w15_d113e9882
ley	w1_d113e9887
von	w3_d113e9890
jemand	w5_d113e9893
verständigen	w7_d113e9896
jemalen	w9_d113e9899
ge	w11_d113e9902
</p>
<p id="p20_d113e9915">
schöpften	w1_d113e9919
Argwohn	w3_d113e9922
das	w5_d113e9925
Commando	w7_d113e9928
besag	w9_d113e9931
ten	w1_d113e9936
Regiments	w3_d113e9939
mit	w5_d113e9942
vollkommenen	w7_d113e9945
Beyfall	w9_d113e9948
