<doc id="wr_1761-10-10" attrs="word" year="1761" month="10" day="10" corpus="2">
<head id="h2_d594e3279">
Schwedischer	w1_d594e3283
bis	w5_d594e6926
28.	w7_d594e6929
Septemb.	w9_d594e6932
</head>
<p id="p4_d594e6935">
Den	w1_d594e6939
20.	w3_d594e6942
schickte	w5_d594e6945
der	w7_d594e6948
Hr.	w9_d594e6951
Marschall	w11_d594e6954
Prinz	w13_d594e6958
von	w1_d594e6963
Soubise	w3_d594e6966
beträchtige	w5_d594e6969
Detaschements	w7_d594e6972
von	w9_d594e6975
seiner	w1_d594e6980
unterhabenden	w3_d594e6983
Armee	w5_d594e6986
an	w7_d594e6989
das	w9_d594e6992
rechte	w11_d594e6995
Ufer	w1_d594e7001
der	w3_d594e7004
Embs;	w5_d594e7007
den	w7_d594e7010
Marquis	w9_d594e7013
von	w11_d594e7016
Con	w13_d594e7020
flans	w1_d594e7025
aber,	w3_d594e7028
welcher	w5_d594e7031
dem	w7_d594e7034
Hrn.	w9_d594e7037
von	w11_d594e7040
Camp	w13_d594e7044
fort	w1_d594e7049
unter	w3_d594e7052
seiner	w5_d594e7055
Anführung	w7_d594e7058
hatte,	w9_d594e7061
ertheil	w11_d594e7064
te	w1_d594e7069
er	w3_d594e7072
Befehl,	w5_d594e7075
seinen	w7_d594e7078
Marsch	w9_d594e7081
gegen	w11_d594e7084
Ostfrieß	w13_d594e7088
land	w1_d594e7094
zu	w3_d594e7097
richten.	w5_d594e7100
Meppen	w7_d594e7103
wurde	w9_d594e7106
den	w11_d594e7109
21.	w13_d594e7113
darauf	w1_d594e7118
masquiret,	w3_d594e7121
und	w5_d594e7124
den	w7_d594e7127
24.	w9_d594e7130
rückte	w11_d594e7133
der	w13_d594e7137
Marquis	w1_d594e7142
von	w3_d594e7145
Conflans	w5_d594e7148
in	w7_d594e7151
diese	w9_d594e7154
Provinz,	w11_d594e7157
allwo	w1_d594e7162
er	w3_d594e7165
sich	w5_d594e7168
noch	w7_d594e7171
heut	w9_d594e7174
zu	w11_d594e7177
Tag	w13_d594e7181
befindet,	w15_d594e7184
ein	w17_d594e7187
</p>
<p id="p6_d594e7190">
Der	w1_d594e7194
Hr.	w3_d594e7197
von	w5_d594e7200
Viomenil,	w7_d594e7203
Obrister	w9_d594e7206
unter	w11_d594e7209
denen	w1_d594e7214
Freywilligen	w3_d594e7217
von	w5_d594e7220
Dauphine,	w7_d594e7223
stehet	w9_d594e7226
in	w11_d594e7229
der	w1_d594e7234
Grafschaft	w3_d594e7237
Diepholz,	w5_d594e7240
allwo	w7_d594e7243
dieselbe	w9_d594e7246
schon	w1_d594e7252
mehrere	w3_d594e7255
feindliche	w5_d594e7258
Magazine	w7_d594e7261
zu	w9_d594e7264
Hunt	w11_d594e7267
ford,	w1_d594e7272
Dillingen,	w3_d594e7275
und	w5_d594e7278
verschiedenen	w7_d594e7281
anderen	w9_d594e7284
Orien	w1_d594e7289
in	w3_d594e7292
Brand	w5_d594e7295
gestecket:	w7_d594e7298
er	w9_d594e7301
hat	w11_d594e7304
Befehl,	w13_d594e7308
mit	w1_d594e7313
seinen	w3_d594e7316
Detaschements	w5_d594e7319
bis	w7_d594e7322
an	w9_d594e7325
die	w11_d594e7328
Unter	w13_d594e7332
weser	w1_d594e7338
vorzudringen.	w3_d594e7341
</p>
<p id="p8_d594e7344">
Der	w1_d594e7348
Herr	w3_d594e7351
Baron	w5_d594e7354
von	w7_d594e7357
Wurmser	w9_d594e7360
hat	w11_d594e7363
sich	w13_d594e7367
mit	w1_d594e7372
denen	w3_d594e7375
Regimentern	w5_d594e7378
von	w7_d594e7381
Soubise	w9_d594e7384
und	w11_d594e7387
Clermont	w1_d594e7392
nacher	w3_d594e7395
Osnabrück	w5_d594e7398
begeben,	w7_d594e7401
und	w9_d594e7404
alldaselbsten	w1_d594e7410
das	w3_d594e7413
grosse	w5_d594e7416
Stadt=magazin,	w7_d594e7419
in	w9_d594e7422
welchem	w1_d594e7427
sich	w3_d594e7430
mehr	w5_d594e7433
dann	w7_d594e7436
600000.	w9_d594e7439
Rationen	w11_d594e7442
befanden,	w1_d594e7447
in	w3_d594e7450
Asche	w5_d594e7453
verwandlet.	w7_d594e7456
Der	w9_d594e7459
Herr	w11_d594e7462
von	w1_d594e7467
Vandermesch,	w3_d594e7470
Capitain	w5_d594e7473
unter	w7_d594e7476
dem	w9_d594e7479
Regi	w11_d594e7482
ment	w1_d594e7488
von	w3_d594e7491
Soubise	w5_d594e7494
ist	w7_d594e7497
mit	w9_d594e7500
seinen	w11_d594e7503
Leuten	w13_d594e7507
bis	w15_d594e7510
Ravensperg	w1_d594e7515
vorgedrungen,	w3_d594e7518
allwo	w5_d594e7521
er	w7_d594e7524
das	w9_d594e7527
Trimbachische	w1_d594e7532
Corps	w3_d594e7535
angetroffen,	w5_d594e7538
und	w7_d594e7541
selbes	w9_d594e7544
mittelst	w1_d594e7549
einer	w3_d594e7552
sehr	w5_d594e7555
lebhaften	w7_d594e7558
Attaque	w9_d594e7561
gezwun	w11_d594e7564
gen	w1_d594e7570
in	w3_d594e7573
das	w5_d594e7576
alldaselbstige	w7_d594e7579
Schloß	w9_d594e7582
sich	w11_d594e7585
zurücke	w13_d594e7589
zu	w1_d594e7594
ziehen,	w3_d594e7597
die	w5_d594e7600
Stadt	w7_d594e7603
aber	w9_d594e7606
hat	w11_d594e7609
er	w13_d594e7613
hierauf	w15_d594e7616
all	w17_d594e7619
sogleich	w1_d594e7624
in	w3_d594e7627
Contribution	w5_d594e7630
gesetzet.	w7_d594e7633
Die	w9_d594e7636
Corps	w11_d594e7639
der	w1_d594e7644
Herren	w3_d594e7647
von	w5_d594e7650
Oheim,	w7_d594e7653
Scheiter,	w9_d594e7656
und	w11_d594e7659
Trim	w13_d594e7663
bach	w1_d594e7669
trachten	w3_d594e7672
so	w5_d594e7675
viel	w7_d594e7678
möglich	w9_d594e7681
unsere	w11_d594e7684
Unter	w13_d594e7688
nehmungen	w1_d594e7693
zu	w3_d594e7696
zernichten,	w5_d594e7699
wir	w7_d594e7702
sehen	w9_d594e7705
uns	w11_d594e7708
</p>
<p id="p14_d594e7722">
aber	w1_d594e7726
allenthalben	w3_d594e7729
eines	w5_d594e7732
glücklichen	w7_d594e7735
Erfolgs	w9_d594e7738
versichert.	w1_d594e7743
</p>
<p id="p16_d594e7746">
Wir	w1_d594e7750
haben	w3_d594e7753
noch	w5_d594e7756
verschiedene	w7_d594e7759
Detasche	w9_d594e7762
ments	w1_d594e7767
in	w3_d594e7770
dem	w5_d594e7773
Tecklenburgischen	w7_d594e7776
sowol,	w9_d594e7779
als	w11_d594e7782
in	w1_d594e7787
der	w3_d594e7790
Grafschaft	w5_d594e7793
Lingen;	w7_d594e7796
der	w9_d594e7799
Hr.	w11_d594e7802
Graf	w13_d594e7806
von	w1_d594e7812
Melford	w3_d594e7815
stehet	w5_d594e7818
mit	w7_d594e7821
einem	w9_d594e7824
Corps	w11_d594e7827
unse	w13_d594e7831
rer	w1_d594e7836
Trupen	w3_d594e7839
zu	w5_d594e7842
Bevergen	w7_d594e7845
und	w9_d594e7848
Jppenhuren	w11_d594e7851
an	w1_d594e7856
dem	w3_d594e7859
rechten	w5_d594e7862
Ufer	w7_d594e7865
der	w9_d594e7868
Embs,	w11_d594e7871
ein	w13_d594e7875
andres	w15_d594e7878
unter	w1_d594e7883
Commando	w3_d594e7886
des	w5_d594e7889
Marquis	w7_d594e7892
von	w9_d594e7895
Voyer	w11_d594e7898
befindet	w1_d594e7904
sich	w3_d594e7907
zu	w5_d594e7910
Rhene.	w7_d594e7913
</p>
<p id="p18_d594e7916">
Alle	w1_d594e7920
Nachrichten,	w3_d594e7923
so	w5_d594e7926
wir	w7_d594e7929
von	w9_d594e7932
diesen	w11_d594e7935
ver	w13_d594e7939
schiedentlich	w1_d594e7944
vertheilten	w3_d594e7947
Detaschements	w5_d594e7950
von	w7_d594e7953
Zeit	w1_d594e7958
zu	w3_d594e7961
Zeit	w5_d594e7964
erhalten,	w7_d594e7967
bestättigen,	w9_d594e7970
daß	w11_d594e7973
der	w13_d594e7977
Feind	w1_d594e7983
wegen	w3_d594e7986
der	w5_d594e7989
Verwüstung	w7_d594e7992
so	w9_d594e7995
vieler	w11_d594e7998
Vor	w13_d594e8002
rahts=häuser	w1_d594e8007
bereits	w3_d594e8010
grossen	w5_d594e8013
Mangel	w7_d594e8016
leide;	w9_d594e8019
ferner	w1_d594e8024
vernehmen	w3_d594e8027
wir,	w5_d594e8030
daß	w7_d594e8033
unsere	w9_d594e8036
unter	w11_d594e8039
der	w1_d594e8044
Befehlhabung	w3_d594e8047
des	w5_d594e8050
Marquis	w7_d594e8053
von	w9_d594e8056
Con	w11_d594e8059
flans	w1_d594e8065
stehende	w3_d594e8068
Trupen	w5_d594e8071
von	w7_d594e8074
Embden	w9_d594e8077
sich	w11_d594e8080
Meister	w1_d594e8085
gemacht,	w3_d594e8088
der	w5_d594e8091
Hr.	w7_d594e8094
von	w9_d594e8097
Viomenil	w11_d594e8100
aber	w1_d594e8105
mit	w3_d594e8108
seinen	w5_d594e8111
Detaschements	w7_d594e8114
bis	w9_d594e8117
Hoya	w11_d594e8120
vorgedrungen,	w1_d594e8125
und	w3_d594e8128
alldaselbst	w5_d594e8131
verschiedene	w7_d594e8134
ansehnliche	w1_d594e8140
Magazine	w3_d594e8143
verbrannt	w5_d594e8146
habe.	w7_d594e8149
</p>
<head id="h2_d594e8155">
Nieder=rhein	w1_d594e8159
vom	w3_d594e8162
29.	w5_d594e8165
Sept.	w7_d594e8168
</head>
<p id="p4_d594e8171">
Die	w1_d594e8175
Ausführung	w3_d594e8178
des	w5_d594e8181
Festungs=baues	w7_d594e8184
der	w1_d594e8189
Stadt	w3_d594e8192
Rees,	w5_d594e8195
ist	w7_d594e8198
eine	w9_d594e8201
Haupt=sache,	w11_d594e8204
die	w13_d594e8208
sichere	w1_d594e8213
Gemeinschaft	w3_d594e8216
mit	w5_d594e8219
dem	w7_d594e8222
Nieder=theine	w9_d594e8225
offen,	w1_d594e8231
und	w3_d594e8234
alle	w5_d594e8237
feindliche	w7_d594e8240
Bewegungen	w9_d594e8243
in	w11_d594e8246
den	w13_d594e8250
dasigen	w1_d594e8255
Gegenden	w3_d594e8258
abzuhalten.	w5_d594e8261
Der	w7_d594e8264
Herr	w9_d594e8267
Marschall	w1_d594e8272
Prinz	w3_d594e8275
von	w5_d594e8278
Soubise,	w7_d594e8281
sendete	w9_d594e8284
also	w11_d594e8287
kürzlich	w1_d594e8292
den	w3_d594e8295
Marschall	w5_d594e8298
de	w7_d594e8301
Cam.,	w9_d594e8304
Herrn	w11_d594e8307
von	w1_d594e8313
la	w3_d594e8316
Moliere,	w5_d594e8319
nebst	w7_d594e8322
2.	w9_d594e8325
Bataillons	w11_d594e8328
von	w13_d594e8332
den	w15_d594e8335
Königl.	w1_d594e8340
Grenadiers	w3_d594e8343
von	w5_d594e8346
Cambis,	w7_d594e8349
als	w9_d594e8352
Be	w11_d594e8355
fehlshaber	w1_d594e8360
dorthin.	w3_d594e8363
Er	w5_d594e8366
soll	w7_d594e8369
daselbst	w9_d594e8372
an	w11_d594e8375
den	w13_d594e8379
äusseren	w1_d594e8384
Befestigung=werkern,	w3_d594e8387
welche	w5_d594e8390
der	w7_d594e8393
Marschall	w1_d594e8399
de	w3_d594e8402
Camp,	w5_d594e8405
und	w7_d594e8408
Oberbefehlsha	w9_d594e8411
ber	w1_d594e8416
der	w3_d594e8419
Jngenieur	w5_d594e8422
von	w7_d594e8425
dem	w9_d594e8428
Kriegs=heere,	w11_d594e8431
Herr	w1_d594e8436
von	w3_d594e8439
Bourcet,	w5_d594e8442
dessen	w7_d594e8445
Geschicklichkeit	w9_d594e8448
be	w11_d594e8451
kannt	w1_d594e8456
ist,	w3_d594e8459
theils	w5_d594e8462
anlegte,	w7_d594e8465
theils	w9_d594e8468
entwurfe,	w11_d594e8471
und	w13_d594e8475
der	w1_d594e8481
Ober=ingenieur,	w3_d594e8484
Herr	w5_d594e8487
Daumont,	w7_d594e8490
mit	w9_d594e8493
vielen	w1_d594e8498
andern	w3_d594e8501
Jngenieurs	w5_d594e8504
unter	w7_d594e8507
ihm	w9_d594e8510
auszu	w11_d594e8513
führen	w1_d594e8518
Sorge	w3_d594e8521
tragen	w5_d594e8524
muste,	w7_d594e8527
fort	w9_d594e8530
arbeiten	w11_d594e8533
lassen.	w1_d594e8538
Nun	w3_d594e8541
beschäftigen	w5_d594e8544
sich	w7_d594e8547
täglich	w9_d594e8550
1500.	w11_d594e8553
</p>
<p id="p6_d594e8556">
Leute	w1_d594e8560
an	w3_d594e8563
der	w5_d594e8566
Vollendung	w7_d594e8569
der	w9_d594e8572
gedachten	w11_d594e8575
Fe	w13_d594e8579
stung.	w1_d594e8584
Sie	w3_d594e8587
wird	w5_d594e8590
bald	w7_d594e8593
ihre	w9_d594e8596
Vollkommenheit	w11_d594e8599
erreichen,	w1_d594e8604
und	w3_d594e8607
sich	w5_d594e8610
bey	w7_d594e8613
allen	w9_d594e8616
Umständen	w11_d594e8619
denen	w13_d594e8623
Feinden	w1_d594e8629
im	w3_d594e8632
besten	w5_d594e8635
Vertheidigungs=stande	w7_d594e8638
darstellen.	w1_d594e8643
</p>
<head id="h2_d594e8649">
Paris	w1_d594e8653
27.	w3_d594e8656
Sept.	w5_d594e8659
</head>
<p id="p4_d594e8662">
Da	w1_d594e8666
sich	w3_d594e8669
nunmehro	w5_d594e8672
das	w7_d594e8675
Friedensge	w9_d594e8678
schäfte	w1_d594e8683
mit	w3_d594e8686
Groß=brittanien	w5_d594e8689
gänzlich	w7_d594e8692
zer	w9_d594e8695
schlagen,	w1_d594e8700
so	w3_d594e8703
ist	w5_d594e8706
unser	w7_d594e8709
Ministerium	w9_d594e8712
mit	w11_d594e8715
nichts	w1_d594e8721
mehr	w3_d594e8724
beschäftiget,	w5_d594e8727
als	w7_d594e8730
taugliche	w9_d594e8733
Maaß	w11_d594e8736
reguln	w1_d594e8741
ausfindig	w3_d594e8744
zu	w5_d594e8747
machen,	w7_d594e8750
um	w9_d594e8753
den	w11_d594e8756
ge	w13_d594e8760
genwärtigen	w1_d594e8765
Krieg	w3_d594e8768
mit	w5_d594e8771
allem	w7_d594e8774
Nachdruck	w9_d594e8777
wei	w11_d594e8780
ter	w1_d594e8785
fortsetzen,	w3_d594e8788
und	w5_d594e8791
jene	w7_d594e8794
Vortheile	w9_d594e8797
hieraus	w11_d594e8800
schöpfen	w1_d594e8806
zu	w3_d594e8809
können,	w5_d594e8812
welche	w7_d594e8815
wir	w9_d594e8818
uns	w11_d594e8821
am	w13_d594e8825
ge	w15_d594e8828
wissesten	w1_d594e8833
noch	w3_d594e8836
versprechen	w5_d594e8839
dörfen.	w7_d594e8842
</p>
<p id="p6_d594e8845">
Der	w1_d594e8849
Prinz	w3_d594e8852
von	w5_d594e8855
Nassau=saarbrück	w7_d594e8858
hat	w9_d594e8861
nunmehro	w1_d594e8866
in	w3_d594e8869
denen	w5_d594e8872
Diensten	w7_d594e8875
des	w9_d594e8878
Könige	w11_d594e8881
ein	w1_d594e8886
Jnfanterie=regiment,	w3_d594e8889
unter	w5_d594e8892
welchem	w7_d594e8895
der	w1_d594e8901
Baron	w3_d594e8904
von	w5_d594e8907
Zuckmantel,	w7_d594e8910
als	w9_d594e8913
Obrister	w11_d594e8916
mit	w1_d594e8921
Brigadiers=rang	w3_d594e8924
dienet,	w5_d594e8927
dann	w7_d594e8930
noch	w9_d594e8933
ein	w1_d594e8938
Hussaren=regiment,	w3_d594e8941
so	w5_d594e8944
den	w7_d594e8947
Nahmen	w9_d594e8950
Royal	w1_d594e8955
Nassau	w3_d594e8958
führet,	w5_d594e8961
steben,	w7_d594e8964
unter	w9_d594e8967
welch	w11_d594e8970
letzterem	w1_d594e8976
der	w3_d594e8979
Herr	w5_d594e8982
von	w7_d594e8985
Schwarz	w9_d594e8988
die	w11_d594e8991
Obrist	w13_d594e8995
leutenants=stelle	w1_d594e9000
begleitet,	w3_d594e9003
der	w5_d594e9006
Baron	w7_d594e9009
von	w9_d594e9012
Orb	w1_d594e9017
aber	w3_d594e9020
Majors=dienste	w5_d594e9023
verrichtet.	w7_d594e9026
</p>
<p id="p8_d594e9029">
Diese	w1_d594e9033
beyde	w3_d594e9036
Corps,	w5_d594e9039
so	w7_d594e9042
bey	w9_d594e9045
unserer	w11_d594e9048
Ar	w13_d594e9052
mee	w1_d594e9057
am	w3_d594e9060
Ober=thein=stehen,	w5_d594e9063
haben	w7_d594e9066
diesem	w9_d594e9069
Feld=zug	w1_d594e9074
hindurch	w3_d594e9077
schon	w5_d594e9080
verschiedene;	w7_d594e9083
gute	w9_d594e9086
Dienste	w1_d594e9092
gethan,	w3_d594e9095
und	w5_d594e9098
bey	w7_d594e9101
allen	w9_d594e9104
Angriffen	w11_d594e9107
und	w13_d594e9111
anderen	w1_d594e9116
Vorfallenheiten	w3_d594e9119
eine	w5_d594e9122
ausnehmende	w7_d594e9125
Tapferkeit,	w1_d594e9130
die	w3_d594e9133
Officiere	w5_d594e9136
aber	w7_d594e9139
durchgehends	w9_d594e9142
schöne	w1_d594e9147
Proben	w3_d594e9150
ihrer	w5_d594e9153
Einsicht	w7_d594e9156
und	w9_d594e9159
Liede	w11_d594e9162
zu	w13_d594e9166
unserem	w1_d594e9172
Dienste	w3_d594e9175
dargethan.	w5_d594e9178
</p>
<p id="p10_d594e9181">
Ubrigens	w1_d594e9185
ist	w3_d594e9188
dieser	w5_d594e9191
Tagen	w7_d594e9194
der	w9_d594e9197
Herr	w11_d594e9200
Vi	w13_d594e9204
comte	w1_d594e9209
von	w3_d594e9212
Belsunce,	w5_d594e9215
Marschall	w7_d594e9218
de	w9_d594e9221
Camp	w11_d594e9224
von	w1_d594e9229
der	w3_d594e9232
in	w5_d594e9235
Hessen	w7_d594e9238
stehenden	w9_d594e9241
Königl.	w11_d594e9244
Armee,	w13_d594e9248
allwo	w1_d594e9254
sich	w3_d594e9257
derselbe	w5_d594e9260
mit	w7_d594e9263
vielen	w9_d594e9266
Nuhm=vollen	w11_d594e9269
Thaten	w1_d594e9274
besonders	w3_d594e9277
hervorgethan,	w5_d594e9280
alhier	w7_d594e9283
an	w9_d594e9286
gelanget;	w1_d594e9291
er	w3_d594e9294
hatte	w5_d594e9297
auch	w7_d594e9300
schon	w9_d594e9303
die	w11_d594e9306
Ehre	w13_d594e9310
dem	w15_d594e9313
König,	w1_d594e9318
der	w3_d594e9321
Königin,	w5_d594e9324
und	w7_d594e9327
der	w9_d594e9330
ganzen	w11_d594e9333
übri	w13_d594e9337
gen	w1_d594e9343
Königl.	w3_d594e9346
Famille	w5_d594e9349
seine	w7_d594e9352
Aufwartung	w9_d594e9355
zu	w11_d594e9358
machen.	w1_d594e9363
</p>
<head id="h4_d594e9380">
Gröningen	w1_d594e9384
25.	w3_d594e9387
Sept.	w5_d594e9390
</head>
<p id="p6_d594e9393">
Die	w1_d594e9397
Franzosen	w3_d594e9400
haben	w5_d594e9403
gestern,	w7_d594e9406
nachdem	w9_d594e9409
sie	w1_d594e9414
sich	w3_d594e9417
vorhero	w5_d594e9420
in	w7_d594e9423
dem	w9_d594e9426
ganzen	w11_d594e9429
Ost=frießland	w13_d594e9433
ausgebreitet,	w1_d594e9438
und	w3_d594e9441
selbes	w5_d594e9444
also	w7_d594e9447
gleichsam	w9_d594e9450
über	w11_d594e9453
schwemmet,	w1_d594e9459
die	w3_d594e9462
Haupt=stadt	w5_d594e9465
dieses	w7_d594e9468
Fürsten	w9_d594e9471
tums,	w1_d594e9476
nämlich	w3_d594e9479
die	w5_d594e9482
Stadt	w7_d594e9485
Emden	w9_d594e9488
eingenom	w11_d594e9491
men,	w1_d594e9496
und	w3_d594e9499
die	w5_d594e9502
aldaselbst	w7_d594e9505
in	w9_d594e9508
Garnison	w11_d594e9511
gele	w13_d594e9515
gene	w1_d594e9520
Preussen,	w3_d594e9523
welche	w5_d594e9526
sich	w7_d594e9529
ungefehr	w9_d594e9532
auf	w11_d594e9535
300.	w13_d594e9539
Mann	w1_d594e9545
belauffen,	w3_d594e9548
zu	w5_d594e9551
Kriegs=gefangenen	w7_d594e9554
gemacht.	w1_d594e9559
</p>
<head id="h2_d594e9565">
Brüssel	w1_d594e9569
21.	w3_d594e9572
Septemb.	w5_d594e9575
</head>
<p id="p4_d594e9578">
Wir	w1_d594e9582
erwarten	w3_d594e9585
täglich	w5_d594e9588
wichtige	w7_d594e9591
Nach	w9_d594e9594
richten	w1_d594e9599
aus	w3_d594e9602
dem	w5_d594e9605
Hanöverischen,	w7_d594e9608
indeme	w9_d594e9611
die	w11_d594e9614
vereinigte	w1_d594e9619
Trupen	w3_d594e9622
mit	w5_d594e9625
aller	w7_d594e9628
Macht	w9_d594e9631
gegen	w11_d594e9634
die	w1_d594e9640
Franzosen,	w3_d594e9643
welche	w5_d594e9646
die	w7_d594e9649
dasige	w9_d594e9652
Haupt=stadt	w11_d594e9655
selbsten	w1_d594e9660
mit	w3_d594e9663
einer	w5_d594e9666
Bombardirung	w7_d594e9669
bedrohen,	w9_d594e9672
anmarschiren,	w1_d594e9677
um	w3_d594e9680
selhe	w5_d594e9683
von	w7_d594e9686
dannen	w9_d594e9689
zu	w11_d594e9692
de	w13_d594e9696
logiren.	w1_d594e9701
Jnzwischen	w3_d594e9704
geben	w5_d594e9707
noch	w7_d594e9710
täglich	w9_d594e9713
viele	w1_d594e9719
Recruten,	w3_d594e9722
Pferde,	w5_d594e9725
Vieh,	w7_d594e9728
und	w9_d594e9731
andere	w11_d594e9734
Lebens=mitteln	w1_d594e9739
hierdurch	w3_d594e9742
zu	w5_d594e9745
der	w7_d594e9748
Französi	w9_d594e9751
schen	w1_d594e9756
in	w3_d594e9759
Westphalen	w5_d594e9762
stehenden	w7_d594e9765
Armee	w9_d594e9768
ab.	w11_d594e9771
Uebrigens	w1_d594e9776
scheinet	w3_d594e9779
es	w5_d594e9782
nicht,	w7_d594e9785
daß	w9_d594e9788
das	w11_d594e9791
Kö	w13_d594e9795
nigl.	w1_d594e9801
Haus,	w3_d594e9804
gleichwie	w5_d594e9807
man	w7_d594e9810
durchgehends	w9_d594e9813
be	w11_d594e9816
haupten	w1_d594e9821
wollen,	w3_d594e9824
sobald	w5_d594e9827
wieder	w7_d594e9830
hiehero	w9_d594e9833
kom	w11_d594e9836
men,	w1_d594e9841
und	w3_d594e9844
alsdann	w5_d594e9847
den	w7_d594e9850
Marsch	w9_d594e9853
weiters	w11_d594e9856
nach	w1_d594e9861
Frankreich	w3_d594e9864
nehmen	w5_d594e9867
dörfte,	w7_d594e9870
alldiewei	w9_d594e9873
len	w1_d594e9879
nunmehro	w3_d594e9882
die	w5_d594e9885
Soubisische	w7_d594e9888
Armee	w9_d594e9891
vor	w11_d594e9894
rucket,	w1_d594e9899
seitdeme	w3_d594e9902
der	w5_d594e9905
Erbsprinz	w7_d594e9908
von	w9_d594e9911
Braun	w11_d594e9914
schweig	w1_d594e9919
mit	w3_d594e9922
seinem	w5_d594e9925
unterhabenden	w7_d594e9928
Corps	w9_d594e9931
der	w1_d594e9936
Armee	w3_d594e9939
des	w5_d594e9942
Prinzen	w7_d594e9945
Ferdinand	w9_d594e9948
näher	w11_d594e9951
zu	w1_d594e9957
kommen	w3_d594e9960
trachtet.	w5_d594e9963
</p>
<head id="h2_d594e9969">
Wien	w1_d594e9973
den	w3_d594e9976
10.	w5_d594e9979
October	w7_d594e9982
1761.	w9_d594e9985
</head>
<p id="p4_d594e9988">
Pittwochs	w1_d594e9992
den	w3_d594e9995
7.	w5_d594e9998
Octob.	w7_d594e10001
sind	w9_d594e10004
in	w11_d594e10007
der	w13_d594e10011
Xa	w15_d594e10014
er	w1_d594e10019
veri=capelle	w1_d594e10024
für	w3_d594e10027
die	w5_d594e10030
Hochadeliche	w7_d594e10033
Stern=creutz=ordens=dame	w1_d594e10039
(Titl.)	w3_d594e10042
Frau	w5_d594e10045
Sidonia	w1_d594e10050
Gräfin	w3_d594e10053
Colonna	w5_d594e10056
v.	w7_d594e10059
Wels,	w9_d594e10062
geborne	w11_d594e10065
Gräfin	w1_d594e10070
von	w3_d594e10073
Sereni,	w5_d594e10076
welche	w7_d594e10079
zu	w9_d594e10082
Groß=strelitz	w11_d594e10085
in	w1_d594e10090
Schlesien	w3_d594e10093
den	w5_d594e10096
20.	w7_d594e10099
Sept.	w9_d594e10102
das	w11_d594e10105
Zeitliche	w13_d594e10109
mit	w15_d594e10112
dem	w1_d594e10118
Ewigen	w3_d594e10121
verwechselt,	w5_d594e10124
die	w7_d594e10127
Exequien	w9_d594e10130
gehal	w11_d594e10133
ten	w1_d594e10138
worden.	w3_d594e10141
</p>
<p id="p6_d594e10144">
Dito	w1_d594e10148
Vormittags	w3_d594e10151
haben	w5_d594e10154
Se.	w7_d594e10157
Königl.	w9_d594e10160
Hoheit	w1_d594e10165
der	w3_d594e10168
Erzherzog	w5_d594e10171
Joseph	w7_d594e10174
unter	w9_d594e10177
Be	w11_d594e10180
</p>
<p id="p8_d594e10183">
gleitung	w1_d594e10187
einiger	w3_d594e10190
Cavaliers	w5_d594e10193
zu	w7_d594e10196
Dero	w9_d594e10199
Obrist	w11_d594e10202
hofmeistern,	w1_d594e10207
Feld=marschallen	w3_d594e10210
Grafen	w5_d594e10213
von	w1_d594e10218
Bathyany	w3_d594e10221
Excellenz	w5_d594e10224
nach	w7_d594e10227
Trautmann	w9_d594e10230
storf	w1_d594e10236
Sich	w3_d594e10239
erhoben,	w5_d594e10242
wohin	w7_d594e10245
auch	w9_d594e10248
Se.	w11_d594e10251
Durch	w13_d594e10255
leucht	w1_d594e10260
Prinz	w3_d594e10263
Friederich	w5_d594e10266
zu	w7_d594e10269
PfalzZweybrü	w9_d594e10272
cken	w1_d594e10277
gefolget,	w3_d594e10280
alldert	w5_d594e10283
mit	w7_d594e10286
Sr.	w9_d594e10289
Königl.	w11_d594e10292
Ho	w13_d594e10296
heit	w1_d594e10301
mit	w3_d594e10304
Jagen	w5_d594e10307
sich	w7_d594e10310
zu	w9_d594e10313
erlustigen.	w11_d594e10316
</p>
<p id="p10_d594e10319">
Diesen	w1_d594e10323
Abend	w3_d594e10326
hat	w5_d594e10329
der	w7_d594e10332
dahier	w9_d594e10335
stehende	w11_d594e10338
Königl.	w1_d594e10343
Portugesische	w3_d594e10346
Herr	w5_d594e10349
Gesandte	w7_d594e10352
Ca	w9_d594e10355
valliero	w1_d594e10360
Freyre	w3_d594e10363
Excell.	w5_d594e10366
über	w7_d594e10369
die	w9_d594e10372
vor	w11_d594e10375
ein	w13_d594e10379
Paar	w1_d594e10385
Wochen	w3_d594e10388
eingelangte	w5_d594e10391
Nachricht	w7_d594e10394
von	w9_d594e10397
glücklicher	w1_d594e10402
Entbindung	w3_d594e10405
der	w5_d594e10408
Jnfantin	w7_d594e10411
von	w9_d594e10414
Portugall	w1_d594e10419
Königl.	w3_d594e10422
Hoheit	w5_d594e10425
mit	w7_d594e10428
einem	w9_d594e10431
Prin	w11_d594e10434
zen,	w1_d594e10439
ein	w3_d594e10442
Freuden=fest	w5_d594e10445
für	w7_d594e10448
den	w9_d594e10451
hohen	w11_d594e10454
Adel	w13_d594e10458
gehalten,	w1_d594e10464
und	w3_d594e10467
dazu	w5_d594e10470
den	w7_d594e10473
Garten	w9_d594e10476
des	w11_d594e10479
Kaiserl.	w13_d594e10483
Königl.	w1_d594e10488
Cammer=mahlers,	w3_d594e10491
Hrn.	w5_d594e10494
von	w7_d594e10497
Mey	w9_d594e10500
tens	w1_d594e10505
zu	w3_d594e10508
Meidling	w5_d594e10511
nächst	w7_d594e10514
Schönbrunn	w9_d594e10517
