<doc id="wr_1757-07-27" attrs="word" year="1757" month="07" day="27" corpus="2">
<head id="h2_d164e3680">
London	w4_d164e3683
Hoheit	w13_d164e11498
die	w1_d164e11504
Glück=wünsche	w3_d164e11507
abgestattet.	w5_d164e11510
</p>
<p id="p10_d164e11513">
Dieser	w1_d164e11517
Tägen	w3_d164e11520
ist	w5_d164e11523
vieles	w7_d164e11526
Preußisches	w9_d164e11529
Gewehr	w11_d164e11532
auf	w1_d164e11537
8.	w3_d164e11540
Wägen	w5_d164e11543
aus	w7_d164e11546
Böheim	w9_d164e11549
in	w11_d164e11552
allhiesig	w13_d164e11556
gros	w15_d164e11559
ses	w1_d164e11564
Arsenal	w3_d164e11567
gebracht	w5_d164e11570
worden.	w7_d164e11573
</p>
<p id="p12_d164e11577">
Der	w1_d164e11581
einige	w3_d164e11584
Jahre	w5_d164e11587
dahier	w7_d164e11590
gestandene	w9_d164e11593
Kö	w11_d164e11596
nigl.	w1_d164e11601
Groß	w3_d164e11604
brittanische	w5_d164e11607
Gesandte	w7_d164e11610
Herr	w9_d164e11613
von	w11_d164e11616
Keith,	w1_d164e11621
wird	w3_d164e11624
binnen	w5_d164e11627
2.	w7_d164e11630
Tägen	w9_d164e11633
von	w11_d164e11636
hier	w13_d164e11640
abgehen.	w15_d164e11643
</p>
<p id="p14_d164e11646">
Jngleichen	w1_d164e11650
stehet	w3_d164e11653
auch	w5_d164e11656
der	w7_d164e11659
Kaiserl.	w9_d164e11662
Königl.	w11_d164e11665
Herr	w1_d164e11670
General	w3_d164e11673
der	w5_d164e11676
Cavallerie	w7_d164e11679
Freyherr	w9_d164e11682
von	w11_d164e11685
Brettlach	w1_d164e11690
im	w3_d164e11693
Begrif,	w5_d164e11696
nächster	w7_d164e11699
Tägen	w9_d164e11702
von	w11_d164e11705
hier	w13_d164e11709
in	w1_d164e11715
das	w3_d164e11718
Reich	w5_d164e11721
abzureisen.	w7_d164e11724
</p>
<p id="p16_d164e11727">
Man	w1_d164e11731
meldet	w3_d164e11734
von	w5_d164e11737
Fiumme,	w7_d164e11740
daß	w9_d164e11743
man	w11_d164e11746
den	w13_d164e11750
10ten	w1_d164e11755
dieses	w3_d164e11758
Monats	w5_d164e11761
daselbst	w7_d164e11764
das	w9_d164e11767
Te	w11_d164e11770
Deum	w13_d164e11774
mit	w1_d164e11779
vieler	w3_d164e11782
Feyerlichkeit	w5_d164e11785
gesungen,	w7_d164e11788
um	w9_d164e11791
GOtt	w11_d164e11794
für	w1_d164e11800
den	w3_d164e11803
am	w5_d164e11806
18.	w7_d164e11809
des	w9_d164e11812
vorigen	w11_d164e11815
Monats	w13_d164e11819
erhal	w15_d164e11822
tenen	w1_d164e11827
herrlichen	w3_d164e11830
Sieg,	w5_d164e11833
und	w7_d164e11836
für	w9_d164e11839
die	w11_d164e11842
Be	w13_d164e11846
freyung	w1_d164e11851
von	w3_d164e11854
Prag	w5_d164e11857
Dank	w7_d164e11860
zu	w9_d164e11863
sagen.	w11_d164e11866
Das	w13_d164e11870
Ge	w15_d164e11873
schütz	w1_d164e11878
wurde	w3_d164e11881
sowol	w5_d164e11884
von	w7_d164e11887
denen	w9_d164e11890
Wällen	w11_d164e11893
der	w13_d164e11897
Stadt	w1_d164e11903
als	w3_d164e11906
auf	w5_d164e11909
denen	w7_d164e11912
Schiffen	w9_d164e11915
gelöset,	w11_d164e11918
die	w13_d164e11922
sich	w15_d164e11925
in	w1_d164e11930
dasigen	w3_d164e11933
Hafen,	w5_d164e11936
und	w7_d164e11939
auf	w9_d164e11942
der	w11_d164e11945
Rhede	w13_d164e11949
befanden.	w15_d164e11952
Man	w1_d164e11957
ließ	w3_d164e11960
für	w5_d164e11963
das	w7_d164e11966
Volk,	w9_d164e11969
welches	w11_d164e11972
mit	w13_d164e11976
dem	w15_d164e11979
Freuden=geschrey:	w1_d164e11984
Vivat	w3_d164e11987
Maria	w5_d164e11990
Theresia!	w7_d164e11993
die	w1_d164e11999
Luft	w3_d164e12002
erfüllte,	w5_d164e12005
Wein	w7_d164e12008
springen,	w9_d164e12011
und	w11_d164e12014
Brod	w13_d164e12018
und	w1_d164e12023
Geld	w3_d164e12026
austheilen.	w5_d164e12029
</p>
<p id="p18_d164e12032">
Abgewichenen	w1_d164e12036
Mittwoch,	w3_d164e12039
als	w5_d164e12042
den	w7_d164e12045
20.	w9_d164e12048
lauf	w11_d164e12051
fenden	w1_d164e12056
Monats,	w3_d164e12059
ist	w5_d164e12062
allhier	w7_d164e12065
die	w9_d164e12068
Ziehung	w11_d164e12071
der	w13_d164e12075
Kaiserl.	w1_d164e12080
Königl.	w3_d164e12083
privil.	w5_d164e12086
Lotterie	w7_d164e12089
vor	w9_d164e12092
sich	w11_d164e12095
ge	w13_d164e12099
gangen,	w1_d164e12105
und	w3_d164e12108
die	w5_d164e12111
Numern	w7_d164e12114
46.	w9_d164e12117
63.	w11_d164e12120
87.	w13_d164e12124
28.	w15_d164e12127
und	w1_d164e12132
62.	w3_d164e12135
mit	w5_d164e12138
zerschiedenen	w7_d164e12141
namhaften	w9_d164e12144
Ambi,	w11_d164e12147
nicht	w1_d164e12152
geringen	w3_d164e12155
Terni	w5_d164e12158
und	w7_d164e12161
erheblichen	w9_d164e12164
Estrati	w11_d164e12167
gehoben	w1_d164e12172
worden.	w3_d164e12175
Den	w1_d164e12181
6.	w3_d164e12184
künftigen	w5_d164e12187
Monat	w7_d164e12190
August	w9_d164e12193
wird	w11_d164e12196
in	w13_d164e12200
der	w1_d164e12205
Königl.	w3_d164e12208
Haupt=stadt	w5_d164e12211
Prag	w7_d164e12214
die	w9_d164e12217
fernere	w11_d164e12220
Zie	w13_d164e12224
hung	w1_d164e12229
beschehen.	w3_d164e12232
</p>
<p id="p20_d164e12235">
NB.	w1_d164e12239
Es	w3_d164e12242
wird	w5_d164e12245
hiemit	w7_d164e12248
dem	w9_d164e12251
Publico	w11_d164e12254
erinne	w13_d164e12258
ret,	w1_d164e12263
wie	w3_d164e12266
daß	w5_d164e12269
die	w7_d164e12272
2.	w9_d164e12275
Militar=schema	w11_d164e12278
in	w13_d164e12282
einem	w15_d164e12285
Band	w1_d164e12290
für	w3_d164e12293
dieses	w5_d164e12296
lauffende	w7_d164e12299
Jahr,	w9_d164e12302
nach	w11_d164e12305
der	w13_d164e12309
neue	w15_d164e12312
sten	w1_d164e12318
Promotion,	w3_d164e12321
den	w5_d164e12324
4.	w7_d164e12327
künftigen	w9_d164e12330
Monats	w11_d164e12333
Augusti	w1_d164e12338
bey	w3_d164e12341
dem	w5_d164e12344
Verleger	w7_d164e12347
des	w9_d164e12350
Wiennerischen	w11_d164e12353
Diarii	w1_d164e12358
zu	w3_d164e12361
haben	w5_d164e12364
seyn	w7_d164e12367
wird.	w9_d164e12370
</p>
<p id="p22_d164e12373">
Nachdeme	w1_d164e12377
die	w3_d164e12380
geistliche	w5_d164e12383
Exercitien	w7_d164e12386
an	w9_d164e12389
dem	w11_d164e12392
hierzu	w1_d164e12397
gewiedmeten	w3_d164e12400
Ort	w5_d164e12403
auf	w7_d164e12406
der	w9_d164e12409
Mauer,	w11_d164e12412
den	w13_d164e12416
10.	w1_d164e12421
künftigen	w3_d164e12424
Monats	w5_d164e12427
Augusti,	w7_d164e12430
als	w9_d164e12433
am	w11_d164e12436
Fest	w13_d164e12440
des	w1_d164e12446
Heil.	w3_d164e12449
Laurentii,	w5_d164e12452
ihren	w7_d164e12455
Anfang	w9_d164e12458
nehmen,	w11_d164e12461
und	w1_d164e12466
bis	w3_d164e12469
auf	w5_d164e12472
das	w7_d164e12475
hohe	w9_d164e12478
Fest	w11_d164e12481
der	w13_d164e12485
Himmel=fahrt	w15_d164e12488
Maria	w1_d164e12493
werden	w3_d164e12496
fortgesetzet	w5_d164e12499
werden:	w7_d164e12502
hiebey	w9_d164e12505
aber	w1_d164e12510
den	w3_d164e12513
erst	w5_d164e12516
gemeldeten	w7_d164e12519
16ten	w9_d164e12522
August	w11_d164e12525
Nach	w13_d164e12529
mittag	w1_d164e12535
zwischen	w3_d164e12538
4.	w5_d164e12541
und	w7_d164e12544
5.	w9_d164e12547
Uhr	w11_d164e12550
zu	w13_d164e12554
erscheinen	w15_d164e12557
ist,	w1_d164e12562
der	w3_d164e12565
Schluß	w5_d164e12568
sodann	w7_d164e12571
am	w9_d164e12574
15ten,	w11_d164e12577
als	w13_d164e12581
am	w15_d164e12584
be	w17_d164e12587
sagten	w1_d164e12592
Fest	w3_d164e12595
Maria	w5_d164e12598
Himmelfahrt,	w7_d164e12601
Vormittag	w9_d164e12604
beschehen	w1_d164e12609
wird:	w3_d164e12612
Als	w5_d164e12615
beschiehet	w7_d164e12618
hiemit	w9_d164e12621
an	w11_d164e12624
alle	w13_d164e12628
diejenige	w1_d164e12634
respectivè	w3_d164e12637
Herren	w5_d164e12640
Liebhaber,	w7_d164e12643
so	w9_d164e12646
solche	w1_d164e12651
mit	w3_d164e12654
zumachen	w5_d164e12657
gedenken,	w7_d164e12660
das	w9_d164e12663
freundli	w11_d164e12666
che	w1_d164e12671
Ersuchen,	w3_d164e12674
ihre	w5_d164e12677
Namen	w7_d164e12680
beyzeiten	w9_d164e12683
zur	w11_d164e12686
Pfor	w13_d164e12690
ten	w1_d164e12695
des	w3_d164e12698
Kaiserl.	w5_d164e12701
Prob=hauses	w7_d164e12704
S.	w9_d164e12707
J.	w11_d164e12710
bey	w13_d164e12714
St.	w15_d164e12717
Anna	w1_d164e12723
allhier	w3_d164e12726
zu	w5_d164e12729
schicken,	w7_d164e12732
oder	w9_d164e12735
sich	w11_d164e12738
bey	w13_d164e12742
dem	w15_d164e12745
R.	w1_d164e12750
P.	w3_d164e12753
Rectore	w5_d164e12756
des	w7_d164e12759
erst=gemeldeten	w9_d164e12762
Probhau	w11_d164e12765
ses	w1_d164e12770
zu	w3_d164e12773
melden,	w5_d164e12776
damit	w7_d164e12779
alle	w9_d164e12782
nöhtige	w11_d164e12785
Vorsehung	w13_d164e12789
beschehen	w1_d164e12794
möge.	w3_d164e12797
</p>
<head id="h2_d164e12803">
Lista	w1_d164e12807
deren	w3_d164e12810
Verstorbenen	w5_d164e12813
zu	w7_d164e12816
Wien	w9_d164e12819
in	w1_d164e12824
und	w3_d164e12827
vor	w5_d164e12830
der	w7_d164e12833
Stadt	w9_d164e12836
Den	w1_d164e12841
23.	w3_d164e12844
Julii.	w5_d164e12847
Jn	w7_d164e12850
der	w9_d164e12853
Stadt.	w11_d164e12856
</head>
<list id="l4_d164e12859">
Dem	w1_d164e12863
Theod.	w3_d164e12866
Tolle,	w5_d164e12869
Lack.,	w7_d164e12872
s.	w9_d164e12875
K.	w11_d164e12878
Helena,	w13_d164e12882
im	w15_d164e12885
Bin	w17_d164e12888
deris	w1_d164e12893
H.	w3_d164e12896
im	w5_d164e12899
Sau=winkel,	w7_d164e12902
alt	w9_d164e12905
2.	w11_d164e12908
J.	w13_d164e12912
Dem	w1_d164e12917
Jos.	w3_d164e12920
Rist,	w5_d164e12923
Lack.,	w7_d164e12926
s.	w9_d164e12929
K.	w11_d164e12932
Sabina,	w13_d164e12936
im	w15_d164e12939
Gold	w17_d164e12942
ichla	w19_d164e12945
geris.	w1_d164e12951
H.	w3_d164e12954
im	w5_d164e12957
Schlosser=gäs.,	w7_d164e12960
alt	w9_d164e12963
6.	w11_d164e12966
J.	w13_d164e12970
</list>
<head id="h2_d164e12978">
Vor	w1_d164e12982
der	w3_d164e12985
Stadt.	w5_d164e12988
</head>
<list id="l4_d164e12991">
Joh.	w1_d164e12995
Hartner,	w3_d164e12998
Universitäts=buch=bind.,	w5_d164e13001
beym	w7_d164e13004
blau.	w9_d164e13007
Löw.	w1_d164e13012
am	w3_d164e13015
Neustift,	w5_d164e13018
alt	w7_d164e13021
50.	w9_d164e13024
J.	w11_d164e13027
Dem	w1_d164e13032
Adam	w3_d164e13035
Weiß,	w5_d164e13038
Mahl.,	w7_d164e13041
s.	w9_d164e13044
K.	w11_d164e13047
Franz,	w13_d164e13051
bey	w15_d164e13054
denen	w17_d164e13057
3.	w1_d164e13063
Hack.	w3_d164e13066
auf	w5_d164e13069
der	w7_d164e13072
Wind=mühl,	w9_d164e13075
alt	w11_d164e13078
4.	w13_d164e13082
J.	w15_d164e13085
Mart.	w1_d164e13090
Dallacher,	w3_d164e13093
Münz=schlos.,	w5_d164e13096
im	w7_d164e13099
Munz=guard.,	w9_d164e13102
alt	w1_d164e13107
67.	w3_d164e13110
J.	w5_d164e13113
Jos.	w1_d164e13118
Weiß,	w3_d164e13121
Dräxl.,	w5_d164e13124
beym	w7_d164e13127
gold.	w9_d164e13130
Brunn	w11_d164e13133
in	w13_d164e13137
der	w15_d164e13140
Leo	w17_d164e13143
poldst.,	w1_d164e13149
alt	w3_d164e13152
76.	w5_d164e13155
J.	w7_d164e13158
Dem	w1_d164e13163
Andre	w3_d164e13166
Glinz,	w5_d164e13169
Stuckador.,	w7_d164e13172
s.	w9_d164e13175
W.	w11_d164e13178
Cathar.,	w13_d164e13182
bey	w15_d164e13185
dem	w1_d164e13190
gold.	w3_d164e13193
Stuck	w5_d164e13196
ausser	w7_d164e13199
Maria=hülf,	w9_d164e13202
alt	w11_d164e13205
85.	w13_d164e13209
J.	w15_d164e13212
Samuel	w1_d164e13217
Seiffinger,	w3_d164e13220
Schneid.,	w5_d164e13223
bey	w7_d164e13226
St.	w9_d164e13229
Wenzel	w11_d164e13232
bey	w13_d164e13236
Maria	w1_d164e13242
hülf,	w3_d164e13245
alt	w5_d164e13248
77.	w7_d164e13251
J.	w9_d164e13254
Dem	w1_d164e13259
Jos.	w3_d164e13262
Heybecker,	w5_d164e13265
Tüchel=mach.,	w7_d164e13268
s.	w9_d164e13271
K.	w11_d164e13274
Elisab.,	w13_d164e13278
beym	w1_d164e13283
grün.	w3_d164e13286
Thor	w5_d164e13289
am	w7_d164e13292
Himwel=pfort=gr.,	w9_d164e13295
3.	w11_d164e13298
J.	w13_d164e13302
Mart.	w1_d164e13307
Grund,	w3_d164e13310
Zeug=mach.=ges.,	w5_d164e13313
beym	w7_d164e13316
dl.	w9_d164e13319
Hut	w11_d164e13322
un	w13_d164e13326
ter	w1_d164e13332
Maria=hülf,	w3_d164e13335
alt	w5_d164e13338
34.	w7_d164e13341
J.	w9_d164e13344
Adam	w1_d164e13349
Aigner,	w3_d164e13352
Wein=hau.,	w5_d164e13355
in	w7_d164e13358
s.	w9_d164e13361
H.	w11_d164e13364
am	w13_d164e13368
Hundsth.,	w15_d164e13371
alt	w1_d164e13376
52.	w3_d164e13379
J.	w5_d164e13382
Georg	w1_d164e13387
Schuster,	w3_d164e13390
Lack.,	w5_d164e13393
beym	w7_d164e13396
grün.	w9_d164e13399
Kranz	w11_d164e13402
oberm	w13_d164e13406
Neustift,	w1_d164e13412
alt	w3_d164e13415
33.	w5_d164e13418
J.	w7_d164e13421
Dem	w1_d164e13426
Georg	w3_d164e13429
Völkl,	w5_d164e13432
Geig.,	w7_d164e13435
s.	w9_d164e13438
K.	w11_d164e13441
Elisab.,	w13_d164e13445
bey	w15_d164e13448
der	w17_d164e13451
H.	w19_d164e13454
Drepfaltigk.	w1_d164e13459
am	w3_d164e13462
Thury,	w5_d164e13465
alt	w7_d164e13468
6.	w9_d164e13471
J.	w11_d164e13474
Dem	w1_d164e13479
Joh.	w3_d164e13482
Wall,	w5_d164e13485
Pflasterer=ges.,	w7_d164e13488
s.	w9_d164e13491
K.	w11_d164e13494
Francisca,	w13_d164e13498
bey	w1_d164e13504
denen	w3_d164e13507
3.	w5_d164e13510
Mohr.	w7_d164e13513
im	w9_d164e13516
Lerchenf.,	w11_d164e13519
alt	w13_d164e13523
2.	w15_d164e13526
J.	w17_d164e13529
Mich.	w1_d164e13534
Hendorfer,	w3_d164e13537
Tagw.,	w5_d164e13540
im	w7_d164e13543
Bachmayris.	w9_d164e13546
H.	w11_d164e13549
im	w13_d164e13553
Lerchenf.,	w1_d164e13558
alt	w3_d164e13561
92.	w5_d164e13564
J.	w7_d164e13567
Dem	w1_d164e13572
Jos.	w3_d164e13575
Schoberl,	w5_d164e13578
Tagw.,	w7_d164e13581
s.	w9_d164e13584
W.	w11_d164e13587
Regina,	w13_d164e13591
beym	w15_d164e13594
Anna=berg	w1_d164e13600
em	w3_d164e13603
Lerchenf.,	w5_d164e13606
alt	w7_d164e13609
37.	w9_d164e13612
J.	w11_d164e13615
</list>
<head id="h4_d164e13624">
Den	w1_d164e13628
24.	w3_d164e13631
Julii.	w5_d164e13634
Jn	w1_d164e13639
der	w3_d164e13642
Stadt.	w5_d164e13645
</head>
<list id="l6_d164e13648">
Hr.	w1_d164e13652
Joh.	w3_d164e13655
Wenzel	w5_d164e13658
Braneck,	w7_d164e13661
Fürstl.	w9_d164e13664
Kammer=dien.	w11_d164e13667
im	w1_d164e13672
Dietrichsteinis.	w3_d164e13675
H.	w5_d164e13678
in	w7_d164e13681
der	w9_d164e13684
Herren=gas.,	w11_d164e13687
73.	w13_d164e13691
J	w15_d164e13694
Christina	w1_d164e13699
Krimpfingerin,	w3_d164e13702
gew.	w5_d164e13705
Kammer=junf.,	w7_d164e13708
im	w9_d164e13711
Schmerlingls.	w1_d164e13717
H.	w3_d164e13720
am	w5_d164e13723
grün.	w7_d164e13726
Anger,	w9_d164e13729
alt	w11_d164e13732
75.	w13_d164e13736
J.	w15_d164e13739
Dem	w1_d164e13744
Wenzel	w3_d164e13747
Bauer,	w5_d164e13750
Burgerl.	w7_d164e13753
Schocolata	w9_d164e13756
mach.,	w11_d164e13759
s.	w1_d164e13764
K.	w3_d164e13767
Casp.,	w5_d164e13770
im	w7_d164e13773
Baderis.	w9_d164e13776
H.	w11_d164e13779
im	w13_d164e13783
Roßmarin=gäs.,	w15_d164e13786
alt	w1_d164e13791
2.	w3_d164e13794
J.	w5_d164e13797
</list>
<head id="h2_d164e13804">
Vor	w1_d164e13808
der	w3_d164e13811
Stadt.	w5_d164e13814
</head>
<list id="l4_d164e13817">
Der	w1_d164e13821
Elisab.	w3_d164e13824
Kraftin,	w5_d164e13827
Burgerl.	w7_d164e13830
Wittwe,	w9_d164e13833
ihr	w11_d164e13836
S.	w13_d164e13840
Lo	w15_d164e13843
renz,	w1_d164e13848
in	w3_d164e13851
ihrem	w5_d164e13854
H.	w7_d164e13857
auf	w9_d164e13860
der	w11_d164e13863
Wied.,	w13_d164e13867
alt	w15_d164e13870
17.	w17_d164e13873
J.	w19_d164e13876
Dem	w1_d164e13881
Georg	w3_d164e13884
Lautner,	w5_d164e13887
Academie=mahl.,	w7_d164e13890
s.	w9_d164e13893
K.	w11_d164e13896
Mat	w13_d164e13900
thäus,	w1_d164e13906
bey	w3_d164e13909
denen	w5_d164e13912
3.	w7_d164e13915
Kug.	w9_d164e13918
am	w11_d164e13921
Spitald.,	w13_d164e13925
alt	w15_d164e13928
3.	w17_d164e13931
J	w19_d164e13934
Cathar.	w1_d164e13939
Müllerin,	w3_d164e13942
Wittwe,	w5_d164e13945
beym	w7_d164e13948
gold.	w9_d164e13951
Adl.	w11_d164e13954
bey	w13_d164e13958
St.	w1_d164e13963
Ulrich,	w3_d164e13966
alt	w5_d164e13969
64.	w7_d164e13972
J.	w9_d164e13975
Der	w1_d164e13980
Eleon.	w3_d164e13983
Oelleßin,	w5_d164e13986
Wittwe,	w7_d164e13989
ihr	w9_d164e13992
K.	w11_d164e13995
Jos.,	w13_d164e13999
bey	w15_d164e14002
der	w17_d164e14005
Stadt	w1_d164e14011
Wien	w3_d164e14014
bey	w5_d164e14017
Maria=hülf,	w7_d164e14020
alt	w9_d164e14023
5.	w11_d164e14026
J.	w13_d164e14030
Dem	w1_d164e14035
Jos.	w3_d164e14038
Sturm,	w5_d164e14041
Hafn.,	w7_d164e14044
s.	w9_d164e14047
W.	w11_d164e14050
Anna,	w13_d164e14054
im	w15_d164e14057
Kaiser	w17_d164e14060
stadel	w1_d164e14065
in	w3_d164e14068
der	w5_d164e14071
Rossau,	w7_d164e14074
alt	w9_d164e14077
30.	w11_d164e14080
J.	w13_d164e14084
Dem	w1_d164e14089
Ant.	w3_d164e14092
Grassa,	w5_d164e14095
Wäldeggis.	w7_d164e14098
Gefr.,	w9_d164e14101
s.	w11_d164e14104
K.	w13_d164e14108
Cath.,	w15_d164e14111
in	w1_d164e14117
der	w3_d164e14120
Casarm	w5_d164e14123
am	w7_d164e14126
Getreid=m.,	w9_d164e14129
alt	w11_d164e14132
5.	w13_d164e14136
J.	w15_d164e14139
Sebast.	w1_d164e14144
Cornexel,	w3_d164e14147
Medicin=stos.,	w5_d164e14150
beym	w7_d164e14153
gold.	w9_d164e14156
Bärn	w11_d164e14159
am	w1_d164e14164
Spitalberg,	w3_d164e14167
alt	w5_d164e14170
46.	w7_d164e14173
J.	w9_d164e14176
August.	w1_d164e14181
Steinl,	w3_d164e14184
in	w5_d164e14187
U.	w7_d164e14190
L.	w9_d164e14193
Frauen=spit.,	w11_d164e14196
alt	w13_d164e14200
12.	w15_d164e14203
J.	w17_d164e14206
Jos.	w1_d164e14212
Tremmel,	w3_d164e14215
Tagw.,	w5_d164e14218
beym	w7_d164e14221
schwarz.	w9_d164e14224
Mohr.	w11_d164e14227
im	w13_d164e14231
Lerchenf.,	w1_d164e14236
alt	w3_d164e14239
52.	w5_d164e14242
J.	w7_d164e14245
</list>
<head id="h2_d164e14252">
Summa	w1_d164e14256
12	w3_d164e14259
Person.,	w5_d164e14262
darunter	w7_d164e14265
4.	w9_d164e14268
Kinder.	w11_d164e14271
Den	w1_d164e14276
25.	w3_d164e14279
Julii.	w5_d164e14282
Jn	w1_d164e14287
der	w3_d164e14290
Stadt	w5_d164e14293
</head>
<list id="l4_d164e14296">
Dem	w1_d164e14300
Wol=edel=geb.	w3_d164e14303
Hrn.	w5_d164e14306
Jacob	w7_d164e14309
Mich.	w9_d164e14312
Edlen	w11_d164e14315
von	w13_d164e14319
Smitmer,	w1_d164e14324
Wechfel=negot.,	w3_d164e14327
s.	w5_d164e14330
K.	w7_d164e14333
Jgnatz,	w9_d164e14336
beym	w11_d164e14339
gold.	w1_d164e14344
Stern	w3_d164e14347
am	w5_d164e14350
alt.	w7_d164e14353
Haar=m.,	w9_d164e14356
alt	w11_d164e14359
1.	w13_d164e14363
J.	w15_d164e14366
Dem	w1_d164e14372
Hrn.	w3_d164e14375
Fried.	w5_d164e14378
Sumer,	w7_d164e14381
Fürstl.	w9_d164e14384
Kammer	w11_d164e14387
dien.,	w13_d164e14391
s.	w15_d164e14394
K.	w1_d164e14399
Ant.,	w3_d164e14402
im	w5_d164e14405
Leydlis.	w7_d164e14408
H.	w9_d164e14411
in	w11_d164e14414
der	w13_d164e14418
Nagler=gas.,	w15_d164e14421
7.	w17_d164e14424
J.	w19_d164e14427
Dem	w1_d164e14432
Joh.	w3_d164e14435
Dollack,	w5_d164e14438
Lack.,	w7_d164e14441
s.	w9_d164e14444
K.	w11_d164e14447
Elisab.,	w13_d164e14451
im	w15_d164e14454
Kirch	w17_d164e14457
stetteris.	w1_d164e14462
H.	w3_d164e14465
am	w5_d164e14468
Lug=eck,	w7_d164e14471
alt	w9_d164e14474
7.	w11_d164e14477
J.	w13_d164e14481
Barb.	w1_d164e14487
Offingerin,	w3_d164e14490
Wittwe,	w5_d164e14493
im	w7_d164e14496
Brenerls.	w9_d164e14499
H.	w11_d164e14502
in	w13_d164e14506
der	w15_d164e14509
klein.	w1_d164e14514
Dorothe=gas.,	w3_d164e14517
alt	w5_d164e14520
79.	w7_d164e14523
J.	w9_d164e14526
</list>
<head id="h2_d164e14533">
Vor	w1_d164e14537
der	w3_d164e14540
Stadt.	w5_d164e14543
</head>
<list id="l4_d164e14546">
Dem	w1_d164e14550
Fried.	w3_d164e14553
Böhm,	w5_d164e14556
Burgerl.	w7_d164e14559
Gold=arbeit.,	w9_d164e14562
s.	w11_d164e14565
K.	w13_d164e14569
Ferd.,	w1_d164e14574
beym	w3_d164e14577
Röm.	w5_d164e14580
Kaiser	w7_d164e14583
in	w9_d164e14586
der	w11_d164e14589
Josephst.,	w13_d164e14593
3.	w15_d164e14596
J.	w17_d164e14599
Dem	w1_d164e14604
Jos.	w3_d164e14607
Salomoni,	w5_d164e14610
Comödi=tanz.,	w7_d164e14613
s.	w9_d164e14616
K.	w11_d164e14619
Elisab.	w13_d164e14623
im	w1_d164e14629
Bauchingeris.	w3_d164e14632
H.	w5_d164e14635
auf	w7_d164e14638
der	w9_d164e14641
Landstr.,	w11_d164e14644
alt	w13_d164e14648
6	w15_d164e14651
v.	w17_d164e14654
J.	w19_d164e14657
Dem	w1_d164e14662
Theod	w3_d164e14665
Chatron,	w5_d164e14668
gew.	w7_d164e14671
Kammer=dien.,	w9_d164e14674
s.	w11_d164e14677
K.	w13_d164e14681
Franz,	w1_d164e14686
beym	w3_d164e14689
gold.	w5_d164e14692
Kreutz	w7_d164e14695
auf	w9_d164e14698
der	w11_d164e14701
Wied.,	w13_d164e14705
3.	w15_d164e14708
J.	w17_d164e14711
Dem	w1_d164e14716
Sebast.	w3_d164e14719
Mullner,	w5_d164e14722
Burgerl.	w7_d164e14725
Schuh=mach.	w9_d164e14728
s.	w11_d164e14731
K.	w13_d164e14735
Theres.,	w1_d164e14741
beym	w3_d164e14744
Samson	w5_d164e14747
in	w7_d164e14750
der	w9_d164e14753
Josephst.,	w11_d164e14756
7.	w13_d164e14760
J.	w15_d164e14763
Jos.	w1_d164e14768
Kopfer,	w3_d164e14771
Burgerl.	w5_d164e14774
Lein=wed.,	w7_d164e14777
beym	w9_d164e14780
rot.	w11_d164e14783
Herz	w13_d164e14787
auf	w1_d164e14792
der	w3_d164e14795
Landstr.,	w5_d164e14798
alt	w7_d164e14801
32.	w9_d164e14804
J.	w11_d164e14807
Der	w1_d164e14812
Anna	w3_d164e14815
Weixelbaumin,	w5_d164e14818
Wittwe,	w7_d164e14821
ihr	w9_d164e14824
K.	w11_d164e14827
Reg.	w13_d164e14831
bey	w1_d164e14837
der	w3_d164e14840
H.	w5_d164e14843
Dreyfaltigk.	w7_d164e14846
auf	w9_d164e14849
der	w11_d164e14852
Landskr.,	w13_d164e14856
3.	w15_d164e14859
J.	w17_d164e14862
Dem	w1_d164e14867
Simon	w3_d164e14870
Skack,	w5_d164e14873
Bottais.	w7_d164e14876
Sold.,	w9_d164e14879
s.	w11_d164e14882
K.	w13_d164e14886
Anna	w15_d164e14889
in	w1_d164e14894
der	w3_d164e14897
Casaern	w5_d164e14900
in	w7_d164e14903
der	w9_d164e14906
Alster=gas.,	w11_d164e14909
alt	w13_d164e14913
3.	w15_d164e14916
J.	w17_d164e14919
</list>
<list id="l6_d164e14923">
Dem	w1_d164e14927
Mich.	w3_d164e14930
Authofer,	w5_d164e14933
Münz=arbelt.,	w7_d164e14936
s.	w9_d164e14939
K.	w11_d164e14942
Jos.	w13_d164e14946
de	w15_d164e14949
der	w1_d164e14954
Stadt	w3_d164e14957
Wien	w5_d164e14960
bey	w7_d164e14963
Maria=hülf,	w9_d164e14966
alt	w11_d164e14969
5.	w13_d164e14973
v.	w15_d164e14976
J.	w17_d164e14979
Sebast.	w1_d164e14984
Schäffer,	w3_d164e14987
Wein=hauer,	w5_d164e14990
beym	w7_d164e14993
weis.	w9_d164e14996
Lämme	w11_d164e14999
zu	w1_d164e15005
Mätzleinstorf,	w3_d164e15008
alt	w5_d164e15011
69.	w7_d164e15014
J.	w9_d164e15017
Dem	w1_d164e15022
Joh.	w3_d164e15025
Gruber,	w5_d164e15028
Tagw.,	w7_d164e15031
s.	w9_d164e15034
K.	w11_d164e15037
Elisab.,	w13_d164e15041
welche	w15_d164e15044
von	w1_d164e15049
einer	w3_d164e15052
umgefallenen	w5_d164e15055
Mauer=saul.	w7_d164e15058
