<doc id="wr_1759-01-10" attrs="word" year="1759" month="01" day="10" corpus="2">
<head id="h2_d312e2914">
Culmbach	w1_d312e2918
Sincere,	w7_d312e6535
das	w1_d312e6540
Theresianische	w3_d312e6543
Groß=kreutz	w5_d312e6546
in	w7_d312e6549
Prag	w9_d312e6552
bereits	w1_d312e6558
empfangen	w3_d312e6561
haben,	w5_d312e6564
und	w7_d312e6567
ihnen	w9_d312e6570
aus	w11_d312e6573
allerhöchster	w1_d312e6578
Kaiserl.	w3_d312e6581
Verordnung	w5_d312e6584
allergnä	w7_d312e6587
digst	w1_d312e6592
aufgetragen	w3_d312e6595
worden,	w5_d312e6598
folgende	w7_d312e6601
Ordens	w9_d312e6604
rittere,	w1_d312e6609
nebst	w3_d312e6612
Behändigung	w5_d312e6615
der	w7_d312e6618
Kreutzen,	w9_d312e6621
zu	w11_d312e6624
creiren,	w1_d312e6630
als	w3_d312e6633
nämlich:	w5_d312e6636
St.	w7_d312e6639
Jgnon,	w9_d312e6642
Ge	w11_d312e6645
neral=major.	w1_d312e6650
Bietack,	w3_d312e6653
Obrist=leutenant.	w5_d312e6656
Pellegrini,	w1_d312e6661
Obristen.	w3_d312e6664
De	w5_d312e6667
Vins,	w7_d312e6670
Major.	w9_d312e6673
Mitterstiller,	w1_d312e6678
Haupt=mann.	w3_d312e6681
So	w5_d312e6684
haben	w7_d312e6687
diesen	w1_d312e6693
feyerlichen	w3_d312e6696
Actum	w5_d312e6699
besagt=Se.	w7_d312e6702
Ex	w9_d312e6705
cellenz,	w1_d312e6710
Herr	w3_d312e6713
General=feld=zeug=meister,	w5_d312e6716
Baron	w1_d312e6721
von	w3_d312e6724
Sincere,	w5_d312e6727
den	w7_d312e6730
17.	w9_d312e6733
dieses	w11_d312e6736
in	w13_d312e6740
dem	w1_d312e6745
Königl.	w3_d312e6748
Stift	w5_d312e6751
und	w7_d312e6754
Kloster	w9_d312e6757
Königsaal,	w11_d312e6760
des	w1_d312e6766
heiligen	w3_d312e6769
und	w5_d312e6772
hochbefreyten	w7_d312e6775
Cistercien	w9_d312e6778
</p>
<p id="p10_d312e6791">
ser=ordens,	w1_d312e6795
als	w3_d312e6798
seinem	w5_d312e6801
Winter=quartier	w7_d312e6804
angefangen,	w1_d312e6809
allwo	w3_d312e6812
hochdieselben	w5_d312e6815
den	w7_d312e6818
Ob	w9_d312e6821
rist=leutenant	w1_d312e6826
Bietack	w3_d312e6829
unter	w5_d312e6832
Trompeten	w7_d312e6835
und	w9_d312e6838
Paucken=schall,	w1_d312e6844
wie	w3_d312e6847
auch	w5_d312e6850
Ablösung	w7_d312e6853
einer	w9_d312e6856
Anzahl	w11_d312e6859
Böllern,	w1_d312e6864
nebst	w3_d312e6867
Behändigung	w5_d312e6870
des	w7_d312e6873
Kreutzes,	w9_d312e6876
zum	w1_d312e6881
Ordens=ritter	w3_d312e6884
creiret	w5_d312e6887
haben.	w7_d312e6890
</p>
<head id="h2_d312e6896">
Paris	w1_d312e6900
19.	w3_d312e6903
Dec	w5_d312e6906
1758.	w7_d312e6909
</head>
<p id="p4_d312e6912">
Der	w1_d312e6916
König	w3_d312e6919
von	w5_d312e6922
Pohlen	w7_d312e6925
und	w9_d312e6928
Chur=fürst	w11_d312e6931
von	w1_d312e6936
Sachsen	w3_d312e6939
hat	w5_d312e6942
dem	w7_d312e6945
General=leutenant,	w9_d312e6948
Herrn	w1_d312e6953
von	w3_d312e6956
Chevert,	w5_d312e6959
den	w7_d312e6962
weissen	w9_d312e6965
Adleror	w11_d312e6968
den,	w1_d312e6974
nebst	w3_d312e6977
Dero	w5_d312e6980
reich	w7_d312e6983
mit	w9_d312e6986
Brillanten	w11_d312e6989
be	w13_d312e6993
setzten	w1_d312e6998
Portrait	w3_d312e7001
in	w5_d312e7004
einer	w7_d312e7007
goldenen	w9_d312e7010
Dose	w11_d312e7013
über	w13_d312e7017
sendet.	w1_d312e7022
Der	w3_d312e7025
König	w5_d312e7028
bekleidete	w7_d312e7031
diesen	w9_d312e7034
Herrn	w11_d312e7037
selbst	w1_d312e7042
mit	w3_d312e7045
gedachtem	w5_d312e7048
Orden,	w7_d312e7051
den	w9_d312e7054
er	w11_d312e7057
nun	w13_d312e7061
mehro	w1_d312e7067
beständig	w3_d312e7070
traget.	w5_d312e7073
Es	w7_d312e7076
war	w9_d312e7079
den	w11_d312e7082
10.	w13_d312e7086
dieses,	w1_d312e7091
daß	w3_d312e7094
der	w5_d312e7097
König	w7_d312e7100
bey	w9_d312e7103
seinem	w11_d312e7106
Eintritt	w13_d312e7110
in	w1_d312e7115
den	w3_d312e7118
Raht	w5_d312e7121
den	w7_d312e7124
Minister	w9_d312e7127
und	w11_d312e7130
Staatsse	w13_d312e7134
cretair	w1_d312e7139
deren	w3_d312e7142
auswärtigen	w5_d312e7145
Sachen	w7_d312e7148
Duc	w9_d312e7151
de	w11_d312e7154
Choiseul	w1_d312e7160
zum	w3_d312e7163
Duc	w5_d312e7166
und	w7_d312e7169
Pair	w9_d312e7172
von	w11_d312e7175
Frank	w13_d312e7179
reich	w1_d312e7184
creirte.	w3_d312e7187
Se.	w5_d312e7190
Majestät	w7_d312e7193
haben	w9_d312e7196
ein	w11_d312e7199
neues	w13_d312e7203
Edict	w1_d312e7208
zur	w3_d312e7211
Herbeyschaffung	w5_d312e7214
von	w7_d312e7217
3.	w9_d312e7220
Millio	w11_d312e7223
nen	w1_d312e7228
und	w3_d312e7231
600000.	w5_d312e7234
Livres	w7_d312e7237
bey	w9_d312e7240
dem	w11_d312e7243
Parla	w13_d312e7247
ment	w1_d312e7253
registriren	w3_d312e7256
lassen,	w5_d312e7259
in	w7_d312e7262
welchem	w9_d312e7265
sie	w11_d312e7268
zu	w13_d312e7272
erkennen	w1_d312e7277
geben,	w3_d312e7280
daß	w5_d312e7283
so	w7_d312e7286
oft	w9_d312e7289
sie	w11_d312e7292
ausserordent	w13_d312e7296
liche	w1_d312e7301
Beysteuern	w3_d312e7304
von	w5_d312e7307
Dero	w7_d312e7310
Unterthanen	w9_d312e7313
ge	w11_d312e7316
fordert;	w1_d312e7321
sie	w3_d312e7324
sich	w5_d312e7327
dazu	w7_d312e7330
durch	w9_d312e7333
die	w11_d312e7336
Noht	w13_d312e7340
je	w15_d312e7343
derzeit	w1_d312e7349
gedrungen	w3_d312e7352
gesehen;	w5_d312e7355
folglich	w7_d312e7358
auch	w9_d312e7361
jetzo,	w11_d312e7364
da	w1_d312e7369
sie	w3_d312e7372
abermals	w5_d312e7375
neue	w7_d312e7378
Anforderungen	w9_d312e7381
mach	w11_d312e7384
ten,	w1_d312e7389
keinen	w3_d312e7392
anderen	w5_d312e7395
Zweck	w7_d312e7398
hätten,	w9_d312e7401
als	w11_d312e7404
dem	w13_d312e7408
Hochmut	w1_d312e7413
ihrer	w3_d312e7416
Feinde	w5_d312e7419
zuvor	w7_d312e7422
und	w9_d312e7425
ihrem	w11_d312e7428
Entzweck	w1_d312e7434
eines	w3_d312e7437
heilsamen	w5_d312e7440
Friedens,	w7_d312e7443
den	w9_d312e7446
sie	w1_d312e7451
Dero	w3_d312e7454
Unterthanen	w5_d312e7457
gerne	w7_d312e7460
schaffen	w9_d312e7463
möch	w11_d312e7466
ten,	w1_d312e7471
näher	w3_d312e7474
zu	w5_d312e7477
kommen.	w7_d312e7480
</p>
<head id="h2_d312e7486">
Brest	w1_d312e7490
16.	w3_d312e7493
Decemb.	w5_d312e7496
1758.	w7_d312e7499
</head>
<p id="p4_d312e7502">
Die	w1_d312e7506
Escadre	w3_d312e7509
des	w5_d312e7512
Herrn	w7_d312e7515
von	w9_d312e7518
Bompar,	w11_d312e7521
so	w13_d312e7525
mit	w1_d312e7530
dem	w3_d312e7533
ersten	w5_d312e7536
günstigen	w7_d312e7539
Wind	w9_d312e7542
unter	w11_d312e7545
Seegel	w13_d312e7549
zu	w1_d312e7554
gehen	w3_d312e7557
hat,	w5_d312e7560
wird	w7_d312e7563
dermahlen	w9_d312e7566
gemustert.	w11_d312e7569
Da	w13_d312e7573
dieser	w1_d312e7579
General	w3_d312e7582
die	w5_d312e7585
Fregatte	w7_d312e7588
Licorne	w9_d312e7591
für	w11_d312e7594
kei	w13_d312e7598
nen	w1_d312e7603
guten	w3_d312e7606
Seegler	w5_d312e7609
befunden,	w7_d312e7612
so	w9_d312e7615
hat	w11_d312e7618
er	w13_d312e7622
die	w15_d312e7625
Fregatte	w1_d312e7630
Valeur	w3_d312e7633
dafür	w5_d312e7636
genommen,	w7_d312e7639
die	w9_d312e7642
auch	w11_d312e7645
würklich	w1_d312e7650
weit	w3_d312e7653
besser	w5_d312e7656
lauft.	w7_d312e7659
Gleich	w9_d312e7662
nach	w11_d312e7665
der	w13_d312e7669
Abreise	w1_d312e7675
des	w3_d312e7678
Herrn	w5_d312e7681
von	w7_d312e7684
Bompar,	w9_d312e7687
wird	w11_d312e7690
man	w13_d312e7694
die	w1_d312e7699
Schiffe:	w3_d312e7702
Theseus,	w5_d312e7705
Heros,	w7_d312e7708
und	w9_d312e7711
Superbe	w11_d312e7714
</p>
<p id="p6_d312e7717">
bewafnen,	w1_d312e7721
als	w3_d312e7724
die	w5_d312e7727
mit	w7_d312e7730
3.	w9_d312e7733
Fregatten	w11_d312e7736
eine	w13_d312e7740
neue	w1_d312e7745
Escradre	w3_d312e7748
formiren	w5_d312e7751
werden,	w7_d312e7754
wovon	w9_d312e7757
man	w11_d312e7760
die	w1_d312e7765
Bestimmung	w3_d312e7768
noch	w5_d312e7771
nicht	w7_d312e7774
erfährt.	w9_d312e7777
Durch	w11_d312e7780
eine	w1_d312e7786
von	w3_d312e7789
Cap	w5_d312e7792
Francois,	w7_d312e7795
und	w9_d312e7798
dem	w11_d312e7801
Hafen	w13_d312e7805
Louis	w1_d312e7810
angelangte	w3_d312e7813
Senant	w5_d312e7816
hat	w7_d312e7819
man	w9_d312e7822
vernom	w11_d312e7825
men,	w1_d312e7830
daß	w3_d312e7833
das	w5_d312e7836
Schif	w7_d312e7839
Palmier	w9_d312e7842
von	w11_d312e7845
74.	w13_d312e7849
Cano	w15_d312e7852
nen,	w1_d312e7857
unter	w3_d312e7860
Commando	w5_d312e7863
des	w7_d312e7866
Herrn	w9_d312e7869
von	w11_d312e7872
Ke	w13_d312e7876
rusoret,	w1_d312e7882
das	w3_d312e7885
in	w5_d312e7888
dem	w7_d312e7891
Wasser	w9_d312e7894
bey	w11_d312e7897
St.	w13_d312e7901
Domin	w15_d312e7904
gue	w1_d312e7909
kreuzet,	w3_d312e7912
am	w5_d312e7915
5.	w7_d312e7918
September	w9_d312e7921
mit	w11_d312e7924
2.	w13_d312e7928
En	w15_d312e7931
glischen	w1_d312e7936
Kriegs=schiffen	w3_d312e7939
sich	w5_d312e7942
geschlagen,	w7_d312e7945
und	w9_d312e7948
eines	w1_d312e7953
davon	w3_d312e7956
ausser	w5_d312e7959
Stand	w7_d312e7962
zu	w9_d312e7965
fechten	w11_d312e7968
gesetzet,	w13_d312e7972
und	w1_d312e7978
erobert	w3_d312e7981
habe,	w5_d312e7984
allein	w7_d312e7987
ein	w9_d312e7990
verdrießlicher	w11_d312e7993
Umstand	w1_d312e7998
hätte	w3_d312e8001
es	w5_d312e8004
bemüßiget,	w7_d312e8007
sich	w9_d312e8010
zuruckzu	w11_d312e8013
ziehen,	w1_d312e8018
indeme	w3_d312e8021
durch	w5_d312e8024
Zerspringung	w7_d312e8027
einer	w9_d312e8030
36.	w1_d312e8035
pfündigen	w3_d312e8038
Canone,	w5_d312e8041
32.	w7_d312e8044
Mann	w9_d312e8047
von	w11_d312e8050
ihrer	w1_d312e8056
Equipage	w3_d312e8059
getödet,	w5_d312e8062
und	w7_d312e8065
66.	w9_d312e8068
andere	w11_d312e8071
bleßirt	w1_d312e8076
worden	w3_d312e8079
wären.	w5_d312e8082
</p>
<head id="h2_d312e8089">
Düsseldorf,	w1_d312e8093
21.	w3_d312e8096
Decemb.	w5_d312e8099
1758.	w7_d312e8102
</head>
<p id="p4_d312e8105">
Die	w1_d312e8109
zu	w3_d312e8112
Elberfeld	w5_d312e8115
einquartirte	w7_d312e8118
Turpinische	w9_d312e8121
Hussaren	w1_d312e8126
breiten	w3_d312e8129
sich	w5_d312e8132
mehr,	w7_d312e8135
und	w9_d312e8138
mehr	w11_d312e8141
in	w13_d312e8145
die	w1_d312e8150
Märckische	w3_d312e8153
Lande	w5_d312e8156
aus,	w7_d312e8159
woselbst	w9_d312e8162
sie	w11_d312e8165
die	w1_d312e8171
benöhtigte	w3_d312e8174
Fourage	w5_d312e8177
als	w7_d312e8180
Contribution	w9_d312e8183
empfangen,	w1_d312e8188
gemeldete	w3_d312e8191
Hussaren,	w5_d312e8194
samt	w7_d312e8197
denen	w9_d312e8200
übrigen	w1_d312e8205
in	w3_d312e8208
dasiger	w5_d312e8211
Gegend	w7_d312e8214
ligenden	w9_d312e8217
leich	w11_d312e8220
ten	w1_d312e8225
Trupen,	w3_d312e8228
seynd	w5_d312e8231
so	w7_d312e8234
mehr	w9_d312e8237
im	w11_d312e8240
Stand,	w13_d312e8244
das	w15_d312e8247
hiesige	w1_d312e8253
Herzogtum	w3_d312e8256
Berg,	w5_d312e8259
dasiger	w7_d312e8262
Orten	w9_d312e8265
zu	w11_d312e8268
bedecken,	w1_d312e8273
als	w3_d312e8276
sie	w5_d312e8279
durch	w7_d312e8282
das	w9_d312e8285
ausnehmend	w11_d312e8288
schö	w13_d312e8292
ne,	w1_d312e8297
und	w3_d312e8300
heute	w5_d312e8303
dahier	w7_d312e8306
durchpaßirte	w9_d312e8309
Regiment	w11_d312e8312
deren	w1_d312e8317
ausländischen	w3_d312e8320
Freywilligen	w5_d312e8323
des	w7_d312e8326
Prin	w9_d312e8329
zen	w1_d312e8335
von	w3_d312e8338
Clermont	w5_d312e8341
verstärket	w7_d312e8344
werden.	w9_d312e8347
</p>
<head id="h2_d312e8353">
Haag	w1_d312e8357
25.	w3_d312e8360
Dec.	w5_d312e8363
1758.	w7_d312e8366
</head>
<p id="p4_d312e8369">
Die	w1_d312e8373
Krankheit	w3_d312e8376
der	w5_d312e8379
Frau	w7_d312e8382
Gouvernantin	w9_d312e8385
hat	w1_d312e8390
etwas	w3_d312e8393
nachgelassen;	w5_d312e8396
das	w7_d312e8399
Volk	w9_d312e8402
aber	w11_d312e8405
bil	w13_d312e8409
det	w1_d312e8414
sich	w3_d312e8417
ein,	w5_d312e8420
daß	w7_d312e8423
man	w9_d312e8426
ihm	w11_d312e8429
den	w13_d312e8433
eigentlichen	w15_d312e8436
Zustand	w1_d312e8442
Jhrer	w3_d312e8445
Königl.	w5_d312e8448
Hoheit	w7_d312e8451
verheele.	w9_d312e8454
Die	w11_d312e8457
Kaufleute	w1_d312e8462
bewegen	w3_d312e8465
gleichsam	w5_d312e8468
Himmel	w7_d312e8471
und	w9_d312e8474
Erde,	w1_d312e8479
um	w3_d312e8482
die	w5_d312e8485
See=rüstung	w7_d312e8488
in	w9_d312e8491
Stand	w11_d312e8494
zu	w1_d312e8499
bringen:	w3_d312e8502
Allein	w5_d312e8505
es	w7_d312e8508
will	w9_d312e8511
durchaus	w11_d312e8514
nicht	w13_d312e8518
das	w1_d312e8524
Ansehen	w3_d312e8527
gewinnen,	w5_d312e8530
daß	w7_d312e8533
ohne	w9_d312e8536
der	w11_d312e8539
Ver	w13_d312e8543
mehrung	w1_d312e8548
der	w3_d312e8551
Land=macht	w5_d312e8554
etwas	w7_d312e8557
daraus	w9_d312e8560
wer	w11_d312e8563
den	w1_d312e8568
solle.	w3_d312e8571
Die	w5_d312e8574
Engländer	w7_d312e8577
und	w9_d312e8580
ihre	w11_d312e8583
Par	w13_d312e8587
thie	w1_d312e8592
in	w3_d312e8595
der	w5_d312e8598
Republie	w7_d312e8601
versprechen	w9_d312e8604
auch	w11_d312e8607
über	w13_d312e8611
</p>
<p id="p10_d312e8624">
all	w1_d312e8628
die	w3_d312e8631
Abstellung	w5_d312e8634
der	w7_d312e8637
Marode	w9_d312e8640
auf	w11_d312e8643
dem	w13_d312e8647
Meer;	w1_d312e8652
lassen	w3_d312e8655
sich	w5_d312e8658
aber	w7_d312e8661
auch	w9_d312e8664
ungescheuet	w11_d312e8667
verlauten,	w1_d312e8672
daß	w3_d312e8675
sie	w5_d312e8678
eher	w7_d312e8681
einen	w9_d312e8684
offentlichen	w11_d312e8687
Krieg	w1_d312e8693
führen,	w3_d312e8696
als	w5_d312e8699
gestatten	w7_d312e8702
wollen,	w9_d312e8705
daß	w11_d312e8708
die	w1_d312e8713
Französische	w3_d312e8716
Handlung	w5_d312e8719
unter	w7_d312e8722
der	w9_d312e8725
Flagge	w11_d312e8728
der	w1_d312e8733
Republic	w3_d312e8736
geführet,	w5_d312e8739
und	w7_d312e8742
ihr	w9_d312e8745
ganzer	w11_d312e8748
Krieg	w13_d312e8752
gegen	w1_d312e8757
Frankreich	w3_d312e8760
zu	w5_d312e8763
Nichts	w7_d312e8766
gemacht	w9_d312e8769
wer	w11_d312e8772
den	w1_d312e8778
solle.	w3_d312e8781
Es	w5_d312e8784
sind	w7_d312e8787
daher	w9_d312e8790
viele	w11_d312e8793
der	w13_d312e8797
Mei	w15_d312e8800
nung,	w1_d312e8805
daß	w3_d312e8808
sich	w5_d312e8811
unsere	w7_d312e8814
Handels=leute	w9_d312e8817
wür	w11_d312e8820
den	w1_d312e8825
bequemen	w3_d312e8828
müssen,	w5_d312e8831
dem	w7_d312e8834
Handel	w9_d312e8837
mit	w11_d312e8840
de	w13_d312e8844
nen	w1_d312e8849
Französischen	w3_d312e8852
Colonien,	w5_d312e8855
so	w7_d312e8858
lang	w9_d312e8861
dieser	w11_d312e8864
Krieg	w1_d312e8870
währet,	w3_d312e8873
zu	w5_d312e8876
entsagen,	w7_d312e8879
um	w9_d312e8882
auf	w11_d312e8885
diese	w13_d312e8889
Art	w1_d312e8894
der	w3_d312e8897
Verbitterung	w5_d312e8900
beyder	w7_d312e8903
Nationen	w9_d312e8906
ein	w11_d312e8909
Ende	w1_d312e8914
zu	w3_d312e8917
machen.	w5_d312e8920
Die	w7_d312e8923
letztere	w9_d312e8926
Nachrichten	w11_d312e8929
aus	w1_d312e8934
Spanien	w3_d312e8937
haben	w5_d312e8940
das	w7_d312e8943
Gerücht	w9_d312e8946
von	w11_d312e8949
dem	w13_d312e8953
erfolgten	w1_d312e8959
Absterben	w3_d312e8962
Sr.	w5_d312e8965
Catholischen	w7_d312e8968
Ma	w9_d312e8971
jestät	w1_d312e8976
ausgebreitet;	w3_d312e8979
man	w5_d312e8982
hoffet	w7_d312e8985
aber,	w9_d312e8988
daß	w11_d312e8991
sie	w1_d312e8996
sich	w3_d312e8999
nicht	w5_d312e9002
bestätigen	w7_d312e9005
sollen.	w9_d312e9008
Vorgestern	w11_d312e9011
giengen	w1_d312e9016
die	w3_d312e9019
Staaten	w5_d312e9022
von	w7_d312e9025
Holland	w9_d312e9028
ausein	w11_d312e9031
ander,	w1_d312e9037
sie	w3_d312e9040
werden	w5_d312e9043
aber	w7_d312e9046
künftigen	w9_d312e9049
Donner	w11_d312e9052
stag	w1_d312e9057
ihre	w3_d312e9060
Berahtschlagung	w5_d312e9063
weiter	w7_d312e9066
fortsetzen.	w9_d312e9069
Man	w1_d312e9074
erwartet	w3_d312e9077
mit	w5_d312e9080
nächsten	w7_d312e9083
einen	w9_d312e9086
jungen	w11_d312e9089
Grafen	w1_d312e9094
von	w3_d312e9097
Brühl,	w5_d312e9100
Sohn	w7_d312e9103
des	w9_d312e9106
Königl.	w11_d312e9109
Pohlnischen	w1_d312e9115
und	w3_d312e9118
Churfürstl.	w5_d312e9121
Sächsischen	w7_d312e9124
er	w9_d312e9127
sten	w1_d312e9132
Ministers	w3_d312e9135
alhier.	w5_d312e9138
</p>
<head id="h2_d312e9144">
Kurz=gefaßte	w1_d312e9148
Nachrichten.	w3_d312e9151
Es	w1_d312e9156
geben	w3_d312e9159
die	w5_d312e9162
frischeste	w7_d312e9165
Briefe	w9_d312e9168
</head>
<p id="p4_d312e9171">
Von	w1_d312e9175
Rom:	w3_d312e9178
daß	w5_d312e9181
die	w7_d312e9184
bevorstehende	w9_d312e9187
Car	w11_d312e9190
dinals=promotion,	w1_d312e9195
erst	w3_d312e9198
nach	w5_d312e9201
Ostern	w7_d312e9204
vor	w9_d312e9207
sich	w11_d312e9210
gehen	w1_d312e9215
werde;	w3_d312e9218
daß	w5_d312e9221
der	w7_d312e9224
Cardinal	w9_d312e9227
Argenvilli	w11_d312e9230
ers	w1_d312e9236
sehr	w3_d312e9239
gefährlich	w5_d312e9242
krank	w7_d312e9245
darnieder	w9_d312e9248
lige;	w11_d312e9251
und	w1_d312e9256
daß	w3_d312e9259
von	w5_d312e9262
dem	w7_d312e9265
Päpstl.	w9_d312e9268
Nuntio	w11_d312e9271
zu	w13_d312e9275
Ve	w15_d312e9278
nedig	w1_d312e9283
die	w3_d312e9286
Beschwerde	w5_d312e9289
eingeloffen	w7_d312e9292
seye,	w9_d312e9295
was	w11_d312e9298
massen	w1_d312e9303
die	w3_d312e9306
daselbstige	w5_d312e9309
Ministere	w7_d312e9312
von	w9_d312e9315
Neapel,	w11_d312e9318
und	w1_d312e9324
Sardinien,	w3_d312e9327
ihre	w5_d312e9330
Gundeln	w7_d312e9333
zu	w9_d312e9336
seinem	w11_d312e9339
offentlichen	w1_d312e9344
Einzug	w3_d312e9347
nicht	w5_d312e9350
geschickt	w7_d312e9353
hätten,	w9_d312e9356
derowegen	w1_d312e9361
dann	w3_d312e9364
auch	w5_d312e9367
Se.	w7_d312e9370
Päpstliche	w9_d312e9373
Hei	w11_d312e9376
ligkeit	w1_d312e9381
denen	w3_d312e9384
zu	w5_d312e9387
Rom	w7_d312e9390
sich	w9_d312e9393
befindlichen	w11_d312e9396
Mi	w13_d312e9400
</p>
<p id="p6_d312e9403">
nisteren	w1_d312e9407
von	w3_d312e9410
solch	w5_d312e9413
beyden	w7_d312e9416
Höfen,	w9_d312e9419
die	w11_d312e9422
behö	w13_d312e9426
rige	w1_d312e9431
Vorstellungen	w3_d312e9434
hätten	w5_d312e9437
thun	w7_d312e9440
lassen.	w9_d312e9443
</p>
<p id="p8_d312e9446">
Von	w1_d312e9450
Schweidnitz:	w3_d312e9453
daß	w5_d312e9456
der	w7_d312e9459
Königl.	w9_d312e9462
Preußische	w1_d312e9467
General	w3_d312e9470
von	w5_d312e9473
Rezow	w7_d312e9476
aldaselbst	w9_d312e9479
in	w1_d312e9484
seinem	w3_d312e9487
seit	w5_d312e9490
der	w7_d312e9493
Hochkircher=schlacht	w9_d312e9496
ge	w11_d312e9499
habten	w1_d312e9505
Arrest	w3_d312e9508
mit	w5_d312e9511
Tod	w7_d312e9514
abgegangen	w9_d312e9517
seye.	w11_d312e9520
</p>
<p id="p10_d312e9523">
Von	w1_d312e9527
Eger:	w3_d312e9530
daß	w5_d312e9533
der	w7_d312e9536
Kaiserl.	w9_d312e9539
Königl.	w11_d312e9542
Obriste	w1_d312e9547
von	w3_d312e9550
Töröck,	w5_d312e9553
mit	w7_d312e9556
seinen	w9_d312e9559
unterhaben	w11_d312e9562
den	w1_d312e9567
Trupen	w3_d312e9570
den	w5_d312e9573
16.	w7_d312e9576
December	w9_d312e9579
in	w11_d312e9582
dasigen	w13_d312e9586
Kreis	w1_d312e9592
eingetroffen,	w3_d312e9595
und	w5_d312e9598
seine	w7_d312e9601
Mannschaft	w9_d312e9604
nacher	w1_d312e9609
Fleussen,	w3_d312e9612
Haselau,	w5_d312e9615
und	w7_d312e9618
Wildstein,	w9_d312e9621
dann	w1_d312e9626
längs	w3_d312e9629
dasigen	w5_d312e9632
Gränzen	w7_d312e9635
verleget	w9_d312e9638
habe,	w11_d312e9641
und	w1_d312e9646
daß	w3_d312e9649
seine	w5_d312e9652
Vor=posten	w7_d312e9655
gegen	w9_d312e9658
Graßlitz	w11_d312e9661
und	w1_d312e9667
Schönbach	w3_d312e9670
sich	w5_d312e9673
erstrecken;	w7_d312e9676
dahingegen	w9_d312e9679
die	w1_d312e9684
Preußische	w3_d312e9687
Vorposten	w5_d312e9690
bey	w7_d312e9693
Plauen,	w9_d312e9696
und	w11_d312e9699
Oelsnitz	w1_d312e9704
sich	w3_d312e9707
befinden,	w5_d312e9710
alwo	w7_d312e9713
sie	w9_d312e9716
sich	w11_d312e9719
fort	w13_d312e9723
während	w1_d312e9728
verschanzen.	w3_d312e9731
</p>
<p id="p12_d312e9735">
Aus	w1_d312e9739
der	w3_d312e9742
Priegnitz:	w5_d312e9745
Daß	w7_d312e9748
ein	w9_d312e9751
starkes	w11_d312e9754
Corpo	w1_d312e9759
Kön.	w3_d312e9762
Preuß.	w5_d312e9765
Trupen	w7_d312e9768
unter	w9_d312e9771
des	w11_d312e9774
Herrn	w13_d312e9778
Generals,	w1_d312e9783
Grafens	w3_d312e9786
von	w5_d312e9789
Dohna,	w7_d312e9792
Commando	w9_d312e9795
aus	w1_d312e9801
Sachsen	w3_d312e9804
durch	w5_d312e9807
Mecklenburg	w7_d312e9810
nach	w9_d312e9813
Pom	w11_d312e9816
mern	w1_d312e9821
marschire,	w3_d312e9824
auch	w5_d312e9827
bereits	w7_d312e9830
die	w9_d312e9833
Havel	w11_d312e9836
paßiret,	w1_d312e9841
und	w3_d312e9844
nach	w5_d312e9847
dem	w7_d312e9850
Oder	w9_d312e9853
und	w11_d312e9856
Peena	w13_d312e9860
Fluß	w1_d312e9865
abgegangen	w3_d312e9868
sey.	w5_d312e9871
Ein	w7_d312e9874
zweytes	w9_d312e9877
Corpo	w11_d312e9880
unter	w1_d312e9886
dem	w3_d312e9889
Commando	w5_d312e9892
des	w7_d312e9895
Herrn	w9_d312e9898
Generals	w11_d312e9901
von	w1_d312e9906
Wedel	w3_d312e9909
wäre	w5_d312e9912
bereits	w7_d312e9915
vor	w9_d312e9918
einigen	w11_d312e9921
Tagen	w13_d312e9925
zu	w1_d312e9930
Perleberg,	w3_d312e9933
und	w5_d312e9936
Kyritz	w7_d312e9939
angelangt,	w9_d312e9942
und	w11_d312e9945
führe	w1_d312e9950
verschiedene	w3_d312e9953
Mörser	w5_d312e9956
nebst	w7_d312e9959
schwerem	w9_d312e9962
Ge	w11_d312e9965
schütze	w1_d312e9971
bey	w3_d312e9974
sich,	w5_d312e9977
auch	w7_d312e9980
soll	w9_d312e9983
die	w11_d312e9986
Schwarte	w13_d312e9990
schon	w15_d312e9993
von	w1_d312e9998
Stralsund	w3_d312e10001
abgeschnitten	w5_d312e10004
seyn.	w7_d312e10007
</p>
<p id="p14_d312e10010">
Von	w1_d312e10014
Emden:	w3_d312e10017
Daß	w5_d312e10020
allda	w7_d312e10023
den	w9_d312e10026
21.	w11_d312e10029
ein	w13_d312e10033
Armateur	w1_d312e10038
von	w3_d312e10041
16.	w5_d312e10044
Canonen,	w7_d312e10047
und	w9_d312e10050
130.	w11_d312e10053
Mann	w1_d312e10058
Equipage	w3_d312e10061
unter	w5_d312e10064
Kön.	w7_d312e10067
Preuß.	w9_d312e10070
Flagge	w11_d312e10073
ausgeloffen	w1_d312e10079
seye.	w3_d312e10082
Seiner	w5_d312e10085
Ordre	w7_d312e10088
zufolge,	w9_d312e10091
soll	w1_d312e10096
er	w3_d312e10099
nur	w5_d312e10102
gegen	w7_d312e10105
die	w9_d312e10108
Köngl.	w11_d312e10111
Schwedische	w13_d312e10115
Schiffe	w1_d312e10120
agiren.	w3_d312e10123
</p>
<p id="p16_d312e10126">
Von	w1_d312e10130
Presburg:	w3_d312e10133
Daß	w5_d312e10136
in	w7_d312e10139
denen	w9_d312e10142
Comi	w11_d312e10145
taten	w1_d312e10150
des	w3_d312e10153
Königrieichs	w5_d312e10156
Hungarn	w7_d312e10159
