<doc id="wr_1758-03-22" attrs="word" year="1758" month="03" day="22" corpus="2">
<head id="h2_d228e3161">
Aleppo	w1_d228e3165
Geburts=fest	w9_d228e6828
der	w11_d228e6831
Groß	w13_d228e6835
fürstin	w1_d228e6840
Kaiserl.	w3_d228e6843
Hoheit	w5_d228e6846
und	w7_d228e6849
den	w9_d228e6852
21.	w11_d228e6855
das	w13_d228e6859
Ge	w15_d228e6862
burts=fest	w1_d228e6867
Sr.	w3_d228e6870
Kaiserl.	w5_d228e6873
Hoheit,	w7_d228e6876
des	w9_d228e6879
Groß	w11_d228e6882
Fürstens	w1_d228e6888
alhier	w3_d228e6891
in	w5_d228e6894
aller	w7_d228e6897
Solennität	w9_d228e6900
gefeyret.	w11_d228e6903
Den	w1_d228e6908
23.	w3_d228e6911
paßirten	w5_d228e6914
7.	w7_d228e6917
Rußisch=Kaiserliche	w9_d228e6920
Regimenter,	w1_d228e6925
welche	w3_d228e6928
bisher	w5_d228e6931
in	w7_d228e6934
der	w9_d228e6937
Nähe	w11_d228e6940
v.	w13_d228e6944
Königsberg	w1_d228e6949
cantoniret,	w3_d228e6952
durch	w5_d228e6955
diese	w7_d228e6958
Stadt,	w9_d228e6961
um	w1_d228e6967
ihren	w3_d228e6970
Marsch	w5_d228e6973
nach	w7_d228e6976
den	w9_d228e6979
Weichsel=strom	w11_d228e6982
anzutretten.	w1_d228e6987
</p>
<p id="p6_d228e6990">
Jhre	w1_d228e6994
Majestät	w3_d228e6997
die	w5_d228e7000
Rußische	w7_d228e7003
Kaiserin	w9_d228e7006
ha	w11_d228e7009
ben	w1_d228e7014
den	w3_d228e7017
en	w5_d228e7020
Chef	w7_d228e7023
commandirenden	w9_d228e7026
General,	w11_d228e7029
Hrn.	w1_d228e7034
von	w3_d228e7037
Fermer,	w5_d228e7040
zum	w7_d228e7043
General=gouverneur	w9_d228e7046
von	w1_d228e7052
Praussen	w3_d228e7055
ernannt.	w5_d228e7058
Es	w7_d228e7061
ist	w9_d228e7064
ungegründet,	w11_d228e7067
daß	w1_d228e7072
einige	w3_d228e7075
Beamte	w5_d228e7078
ihrer	w7_d228e7081
Dienste	w9_d228e7084
entietzet,	w11_d228e7087
und	w1_d228e7092
die	w3_d228e7095
Einwohner	w5_d228e7098
der	w7_d228e7101
Stadt	w9_d228e7104
Königsberg	w11_d228e7107
angehalten	w1_d228e7112
worden,	w3_d228e7115
den	w5_d228e7118
Wert,	w7_d228e7121
aller	w9_d228e7124
Häuser	w11_d228e7127
und	w1_d228e7133
eigentümlichen	w3_d228e7136
Effecten	w5_d228e7139
anzugeben,	w7_d228e7142
so	w9_d228e7145
ist	w1_d228e7150
es	w3_d228e7153
auch	w5_d228e7156
nicht	w7_d228e7159
an	w9_d228e7162
dem,	w11_d228e7165
daß	w13_d228e7169
die	w15_d228e7172
Haupt	w17_d228e7175
stadt	w1_d228e7180
50000.	w3_d228e7183
Rthlr	w5_d228e7186
Contribution	w7_d228e7189
bezahlen	w9_d228e7192
müssen.	w1_d228e7197
Man	w3_d228e7200
hat	w5_d228e7203
bey	w7_d228e7206
Aufräumung	w9_d228e7209
des	w11_d228e7212
Zeug=hauses	w1_d228e7218
in	w3_d228e7221
Pillau	w5_d228e7224
eine	w7_d228e7227
grosse	w9_d228e7230
Anzahl	w11_d228e7233
gläserne	w1_d228e7238
Hand=granaten	w3_d228e7241
gefunden,	w5_d228e7244
welche	w7_d228e7247
aber	w1_d228e7252
alle	w3_d228e7255
auf	w5_d228e7258
Befehl	w7_d228e7261
des	w9_d228e7264
Herrn	w11_d228e7267
Generals	w13_d228e7271
von	w15_d228e7274
Fermer	w1_d228e7279
zerschlagen	w3_d228e7282
und	w5_d228e7285
vernichtet	w7_d228e7288
worden.	w9_d228e7291
</p>
<head id="h2_d228e7297">
Paris	w1_d228e7301
6.	w3_d228e7304
Martii.	w5_d228e7307
</head>
<p id="p4_d228e7310">
Um	w1_d228e7314
dem	w3_d228e7317
Grafen	w5_d228e7320
von	w7_d228e7323
Reugrave	w9_d228e7326
die	w11_d228e7329
Zufrie	w13_d228e7333
denheit	w1_d228e7338
zu	w3_d228e7341
zeigen,	w5_d228e7344
welche	w7_d228e7347
Se.	w9_d228e7350
Majestät	w11_d228e7353
mit	w13_d228e7357
seinen	w1_d228e7362
in	w3_d228e7365
der	w5_d228e7368
Schlacht	w7_d228e7371
bey	w9_d228e7374
Roßbach	w11_d228e7377
gelei	w13_d228e7381
fielen	w1_d228e7387
Diensten	w3_d228e7390
haben,	w5_d228e7393
hat	w7_d228e7396
der	w9_d228e7399
König	w11_d228e7402
dessen	w13_d228e7406
Regiment	w1_d228e7411
verschiedene	w3_d228e7414
Vortheile	w5_d228e7417
zugestanden,	w7_d228e7420
nämlich,	w1_d228e7425
daß	w3_d228e7428
es	w5_d228e7431
anstatt	w7_d228e7434
Volontair	w9_d228e7437
Lüttich,	w11_d228e7440
</p>
<p id="p6_d228e7443">
hinkünftig	w1_d228e7447
Rougrave	w3_d228e7450
Lütlichische	w5_d228e7453
Cavallerie	w7_d228e7456
genannt,	w1_d228e7461
mit	w3_d228e7464
noch	w5_d228e7467
einmal	w7_d228e7470
so	w9_d228e7473
viel	w11_d228e7476
Com	w13_d228e7480
pagnien	w1_d228e7485
als	w3_d228e7488
es	w5_d228e7491
dermahlen	w7_d228e7494
hat,	w9_d228e7497
versehen,	w11_d228e7500
und	w13_d228e7504
auf	w1_d228e7510
dem	w3_d228e7513
Fuß	w5_d228e7516
anderer	w7_d228e7519
fremden	w9_d228e7522
Cavallerie	w11_d228e7525
regimentern	w1_d228e7530
im	w3_d228e7533
Dienst	w5_d228e7536
der	w7_d228e7539
Crone	w9_d228e7542
Frankreich,	w11_d228e7545
gehalten	w1_d228e7550
werden	w3_d228e7553
solle:	w5_d228e7556
zu	w7_d228e7559
gleicher	w9_d228e7562
Zeit	w11_d228e7565
hat	w13_d228e7569
dieser	w1_d228e7574
Graf	w3_d228e7577
für	w5_d228e7580
Gratification	w7_d228e7583
und	w9_d228e7586
Entschä	w11_d228e7589
digung	w1_d228e7595
v.	w3_d228e7598
eine	w5_d228e7601
Summe	w7_d228e7604
63860.	w9_d228e7607
Livres	w11_d228e7610
erhalten.	w13_d228e7614
Die	w1_d228e7619
von	w3_d228e7622
der	w5_d228e7625
Armee	w7_d228e7628
des	w9_d228e7631
Prinzens	w11_d228e7634
von	w13_d228e7638
Sou	w15_d228e7641
bise	w1_d228e7646
nach	w3_d228e7649
Frankreich	w5_d228e7652
zuruck	w7_d228e7655
kommende	w9_d228e7658
13.	w11_d228e7661
Bataillens	w1_d228e7666
und	w3_d228e7669
30.	w5_d228e7672
Escadrons,	w7_d228e7675
bestehen	w9_d228e7678
aus	w11_d228e7681
denen	w1_d228e7687
Regimentern,	w3_d228e7690
Mailly,	w5_d228e7693
St.	w7_d228e7696
Chamond,	w9_d228e7699
Brissac,	w1_d228e7704
Pottou	w3_d228e7707
und	w5_d228e7710
Rocheaimont,	w7_d228e7713
Jnfan	w9_d228e7716
terie,	w1_d228e7721
dann	w3_d228e7724
aus	w5_d228e7727
dem	w7_d228e7730
Regiment	w9_d228e7733
Roi,	w11_d228e7736
Dau	w13_d228e7740
phin	w1_d228e7745
etranger,	w3_d228e7748
Bourbon,	w5_d228e7751
Penthievre,	w7_d228e7754
Salu	w9_d228e7757
ces,	w1_d228e7763
Lusignan,	w3_d228e7766
Lameth,	w5_d228e7769
Fleuri,	w7_d228e7772
Escars,	w9_d228e7775
Be	w11_d228e7778
anvilliers	w1_d228e7783
und	w3_d228e7786
Roial	w5_d228e7789
Pologne,	w7_d228e7792
Cavallerie,	w9_d228e7795
obgedachte	w1_d228e7800
Armee	w3_d228e7803
wird	w5_d228e7806
also	w7_d228e7809
noch	w9_d228e7812
aus	w11_d228e7815
folgen	w13_d228e7819
den	w1_d228e7824
National=corps	w3_d228e7827
bestehen:	w5_d228e7830
Piemoni,	w7_d228e7833
Re	w9_d228e7836
han,	w1_d228e7842
Beauvosis,	w3_d228e7845
so	w5_d228e7848
8.	w7_d228e7851
National=bataillons	w9_d228e7854
ausmachen;	w1_d228e7859
dann	w3_d228e7862
Elsaß,	w5_d228e7865
Bentheim,	w7_d228e7868
Königl.	w9_d228e7871
Schweden,	w1_d228e7876
Königl.	w3_d228e7879
Bayern,	w5_d228e7882
Löwendahl,	w7_d228e7885
Berg,	w1_d228e7890
Prinz	w3_d228e7893
Ludwig	w5_d228e7896
von	w7_d228e7899
Nassau=Usingen,	w9_d228e7902
Dauphine,	w1_d228e7908
St.	w3_d228e7911
Germain,	w5_d228e7914
Königl.	w7_d228e7917
Pohlen,	w9_d228e7920
und	w1_d228e7925
Zweybrücken,	w3_d228e7928
in	w5_d228e7931
allen	w7_d228e7934
zwanzig	w9_d228e7937
Ba	w11_d228e7940
taillons	w1_d228e7945
fremde;	w3_d228e7948
ferner	w5_d228e7951
beeden	w7_d228e7954
Schweitzer	w9_d228e7957
regimentern:	w1_d228e7962
Castella	w3_d228e7965
und	w5_d228e7968
Salis,	w7_d228e7971
jedes	w9_d228e7974
zu	w11_d228e7977
2.	w1_d228e7983
Bataillons,	w3_d228e7986
so	w5_d228e7989
mit	w7_d228e7992
dem	w9_d228e7995
Bataillon	w11_d228e7998
An	w13_d228e8002
male,	w1_d228e8007
Artillerie,	w3_d228e8010
in	w5_d228e8013
allen	w7_d228e8016
33.	w9_d228e8019
Bataillons	w11_d228e8022
be	w13_d228e8026
tragen.	w1_d228e8031
Die	w3_d228e8034
Cavallerie	w5_d228e8037
dieser	w7_d228e8040
Armee,	w9_d228e8043
for	w11_d228e8046
miren	w1_d228e8051
die	w3_d228e8054
Regimenter	w5_d228e8057
Rejal	w7_d228e8060
Allemand,	w9_d228e8063
Würtemberg,	w1_d228e8069
Nassau,	w3_d228e8072
Rongrave	w5_d228e8075
und	w7_d228e8078
Volon	w9_d228e8081
rs	w1_d228e8086
Allemand.	w3_d228e8089
Die	w5_d228e8092
Volontairs	w7_d228e8095
von	w9_d228e8098
Dau	w11_d228e8101
tai.	w1_d228e8106
phine,	w1_d228e8111
so	w3_d228e8114
aus	w5_d228e8117
5.	w7_d228e8120
Jnfanterie	w9_d228e8123
und	w11_d228e8126
1.	w13_d228e8130
Dra	w15_d228e8133
goner=compagnie,	w1_d228e8139
jede	w3_d228e8142
zu	w5_d228e8145
20.	w7_d228e8148
Mann	w9_d228e8151
bish	w11_d228e8154
ro	w13_d228e8158
bestanden	w1_d228e8163
haben,	w3_d228e8166
werden	w5_d228e8169
mit	w7_d228e8172
300.	w9_d228e8175
Köpfen	w11_d228e8178
vermehrt,	w1_d228e8183
und	w3_d228e8186
künftig	w5_d228e8189
ein	w7_d228e8192
Corpo	w9_d228e8195
von	w11_d228e8198
420.	w13_d228e8202
unter	w1_d228e8207
Benennung	w3_d228e8210
des	w5_d228e8213
Regiments	w7_d228e8216
der	w9_d228e8219
Volon	w11_d228e8222
tairs	w1_d228e8228
von	w3_d228e8231
Dauphine,	w5_d228e8234
formiren.	w7_d228e8237
</p>
<head id="h2_d228e8244">
Paris	w1_d228e8248
9.	w3_d228e8251
Martii.	w5_d228e8254
</head>
<p id="p4_d228e8257">
Jn	w1_d228e8261
dem	w3_d228e8264
Hafen	w5_d228e8267
zu	w7_d228e8270
Brest	w9_d228e8273
ligt	w11_d228e8276
eine	w13_d228e8280
Flotte	w15_d228e8283
von	w1_d228e8288
18.	w3_d228e8291
Schiffen	w5_d228e8294
von	w7_d228e8297
der	w9_d228e8300
Linie,	w11_d228e8303
samt	w13_d228e8307
vielen	w15_d228e8310
Fregatten.	w1_d228e8315
Auf	w3_d228e8318
dieselbe	w5_d228e8321
sollen	w7_d228e8324
noch	w9_d228e8327
viele	w11_d228e8330
regulirte	w1_d228e8336
Trupen	w3_d228e8339
kommen;	w5_d228e8342
worzu	w7_d228e8345
aber	w9_d228e8348
diese	w11_d228e8351
Flott	w1_d228e8356
bestimmet	w3_d228e8359
sey,	w5_d228e8362
ist	w7_d228e8365
uns	w9_d228e8368
noch	w11_d228e8371
ein	w13_d228e8375
Ge	w15_d228e8378
heimnuß.	w1_d228e8383
</p>
<p id="p6_d228e8386">
Laut	w1_d228e8390
Nachrichten	w3_d228e8393
aus	w5_d228e8396
Brest,	w7_d228e8399
kommen	w9_d228e8402
die	w11_d228e8405
nige	w1_d228e8410
6000.	w3_d228e8413
Mann,	w5_d228e8416
welche	w7_d228e8419
zum	w9_d228e8422
Behuf	w11_d228e8425
des	w13_d228e8429
See	w1_d228e8434
wesens	w3_d228e8437
angeworben	w5_d228e8440
worden,	w7_d228e8443
nach	w9_d228e8446
und	w11_d228e8449
nach	w1_d228e8455
in	w3_d228e8458
diesem	w5_d228e8461
Hafen	w7_d228e8464
an.	w9_d228e8467
Um	w11_d228e8470
selbige	w13_d228e8474
vor	w15_d228e8477
</p>
<p id="p12_d228e8491">
Krankheiten	w1_d228e8495
zu	w3_d228e8498
hütten,	w5_d228e8501
ist	w7_d228e8504
man	w9_d228e8507
hauptsächlich	w11_d228e8510
bedacht,	w1_d228e8515
sie	w3_d228e8518
auf	w5_d228e8521
gesunde	w7_d228e8524
in	w9_d228e8527
dem	w11_d228e8530
Hafen	w13_d228e8534
be	w15_d228e8537
findliche	w1_d228e8542
Schiffe	w3_d228e8545
zu	w5_d228e8548
bringen,	w7_d228e8551
damit	w9_d228e8554
sie	w11_d228e8557
mit	w13_d228e8561
aller	w1_d228e8567
verdächtigen	w3_d228e8570
Equipage	w5_d228e8573
keine	w7_d228e8576
Gemein	w9_d228e8579
schaft	w1_d228e8584
haben.	w3_d228e8587
Von	w5_d228e8590
14.	w7_d228e8593
mit	w9_d228e8596
allerhand	w11_d228e8599
Gü	w13_d228e8603
tern	w1_d228e8608
beladenen	w3_d228e8611
Schiffen,	w5_d228e8614
die	w7_d228e8617
man	w9_d228e8620
zu	w11_d228e8623
Mar	w13_d228e8627
seilles	w1_d228e8632
aus	w3_d228e8635
denen	w5_d228e8638
Americanischen	w7_d228e8641
Jnsuln	w9_d228e8644
er	w11_d228e8647
wartet,	w1_d228e8653
seynd	w3_d228e8656
11.	w5_d228e8659
denen	w7_d228e8662
Engländern	w9_d228e8665
in	w11_d228e8668
die	w13_d228e8672
Hände	w1_d228e8677
gefallen.	w3_d228e8680
</p>
<p id="p14_d228e8683">
Es	w1_d228e8687
werden	w3_d228e8690
anjetzo	w5_d228e8693
hier	w7_d228e8696
alle	w9_d228e8699
mögliche	w11_d228e8702
Ver	w13_d228e8706
anstaltungen	w1_d228e8711
zur	w3_d228e8714
Sicherheit	w5_d228e8717
derer	w7_d228e8720
Küsten	w9_d228e8723
des	w11_d228e8726
Reichs	w1_d228e8731
vorgekehret.	w3_d228e8734
Zu	w5_d228e8737
solchem	w7_d228e8740
Ende	w9_d228e8743
sollen	w11_d228e8746
verschiedene	w1_d228e8752
Läger,	w3_d228e8755
als	w5_d228e8758
bey	w7_d228e8761
Dünkirchen,	w9_d228e8764
Ca	w11_d228e8767
lais,	w1_d228e8772
Rochefort	w3_d228e8775
und	w5_d228e8778
Brest	w7_d228e8781
formiret	w9_d228e8784
werden,	w11_d228e8787
deren	w1_d228e8792
jedes	w3_d228e8795
bis	w5_d228e8798
16000.	w7_d228e8801
Mann	w9_d228e8804
betragen	w11_d228e8807
soll.	w13_d228e8811
Die	w1_d228e8816
sogenannte	w3_d228e8819
Küsten=bewahrer	w5_d228e8822
seynd	w7_d228e8825
or	w9_d228e8828
dentlich	w1_d228e8834
auf	w3_d228e8837
Regiments	w5_d228e8840
fuß	w7_d228e8843
gesetzt	w9_d228e8846
worden,	w11_d228e8849
und	w1_d228e8854
machen	w3_d228e8857
ein	w5_d228e8860
Corps	w7_d228e8863
von	w9_d228e8866
einigen	w11_d228e8869
20000.	w13_d228e8873
Mann	w1_d228e8878
aus.	w3_d228e8881
</p>
<head id="h2_d228e8887">
Coburg	w1_d228e8891
6.	w3_d228e8894
Martii.	w5_d228e8897
</head>
<p id="p4_d228e8900">
Vorgestern	w1_d228e8904
wurden	w3_d228e8907
Jhre	w5_d228e8910
Hoch=fürstliche	w7_d228e8913
Durchl	w1_d228e8918
die	w3_d228e8921
Frau	w5_d228e8924
Erb=prinzeßin,	w7_d228e8927
zur	w9_d228e8930
allge	w11_d228e8933
meinen	w1_d228e8938
Freude	w3_d228e8941
sämtlicher	w5_d228e8944
Durchl.	w7_d228e8947
Herrschaf	w9_d228e8950
ten,	w1_d228e8956
des	w3_d228e8959
Hofs,	w5_d228e8962
der	w7_d228e8965
Stadt,	w9_d228e8968
und	w11_d228e8971
des	w13_d228e8975
Landes,	w15_d228e8978
mit	w1_d228e8983
einem	w3_d228e8986
Prinzen	w5_d228e8989
glücklich	w7_d228e8992
entbunden,	w9_d228e8995
und	w11_d228e8998
demselben	w1_d228e9003
in	w3_d228e9006
der	w5_d228e9009
Heil.	w7_d228e9012
Tauffe	w9_d228e9015
der	w11_d228e9018
Name	w13_d228e9022
Friderich	w1_d228e9027
beygeleget.	w3_d228e9030
</p>
<head id="h2_d228e9036">
Stuttgard	w1_d228e9040
12.	w3_d228e9043
Martii.	w5_d228e9046
</head>
<p id="p4_d228e9049">
Se.	w1_d228e9053
Hoch=fürstl.	w3_d228e9056
Durchl.	w5_d228e9059
der	w7_d228e9062
Herzog	w9_d228e9065
ha	w11_d228e9068
ben	w1_d228e9073
die	w3_d228e9076
bekannten	w5_d228e9079
Verdienste	w7_d228e9082
des	w9_d228e9085
Herrn	w11_d228e9088
von	w13_d228e9092
Montmartin,	w1_d228e9097
welchen	w3_d228e9100
Se.	w5_d228e9103
Kaiserl.	w7_d228e9106
Majestät	w9_d228e9109
unlängst	w1_d228e9115
in	w3_d228e9118
den	w5_d228e9121
Reichs=grafen	w7_d228e9124
Stand	w9_d228e9127
er	w11_d228e9130
hoben,	w1_d228e9135
dadurch	w3_d228e9138
belohnet,	w5_d228e9141
daß	w7_d228e9144
sie	w9_d228e9147
hochgedach	w11_d228e9150
te	w1_d228e9155
Se.	w3_d228e9158
Excellenz	w5_d228e9161
zu	w7_d228e9164
dero	w9_d228e9167
ersten	w11_d228e9170
geheimen	w13_d228e9174
Staats	w1_d228e9179
und	w3_d228e9182
Cabinets=minister	w5_d228e9185
in	w7_d228e9188
Gnaden	w9_d228e9191
ernannt	w1_d228e9197
haben.	w3_d228e9200
</p>
<head id="h2_d228e9206">
Coppenhagen	w1_d228e9210
3.	w3_d228e9213
Martii.	w5_d228e9216
</head>
<p id="p4_d228e9219">
Die	w1_d228e9223
hiesige	w3_d228e9226
Admiralität,	w5_d228e9229
läst	w7_d228e9232
8.	w9_d228e9235
Kriegs	w11_d228e9238
schiffe	w1_d228e9243
von	w3_d228e9246
der	w5_d228e9249
Linie,	w7_d228e9252
nebst	w9_d228e9255
2.	w11_d228e9258
Fregatten,	w13_d228e9262
aus	w15_d228e9265
rüsten,	w1_d228e9270
welche	w3_d228e9273
unter	w5_d228e9276
dem	w7_d228e9279
Commando	w9_d228e9282
des	w11_d228e9285
Schoutbonachts,	w1_d228e9291
Fischer,	w3_d228e9294
in	w5_d228e9297
der	w7_d228e9300
Nord=see	w9_d228e9303
kreu	w11_d228e9306
tzen	w1_d228e9311
sollen,	w3_d228e9314
um	w5_d228e9317
die	w7_d228e9320
Handlung	w9_d228e9323
der	w11_d228e9326
Königlichen	w13_d228e9330
Unterthanen	w1_d228e9335
zu	w3_d228e9338
bedecken.	w5_d228e9341
Der	w7_d228e9344
Schoutby	w9_d228e9347
nacht	w1_d228e9352
wird	w3_d228e9355
seine	w5_d228e9358
Flagge	w7_d228e9361
auf	w9_d228e9364
dem	w11_d228e9367
Schiffe	w13_d228e9371
Coppenhagen,	w1_d228e9377
wähen	w3_d228e9380
lassen,	w5_d228e9383
welches	w7_d228e9386
der	w9_d228e9389
Ca	w11_d228e9392
pitain	w1_d228e9397
Held	w3_d228e9400
commandiret.	w5_d228e9403
Auf	w7_d228e9406
selbigem	w9_d228e9409
wird	w1_d228e9414
der	w3_d228e9417
Herr	w5_d228e9420
Rumohr	w7_d228e9423
als	w9_d228e9426
Capitain	w11_d228e9429
der	w13_d228e9433
Flagge	w1_d228e9438
dienen.	w3_d228e9441
Auf	w5_d228e9444
dem	w7_d228e9447
Schiffe,	w9_d228e9450
Olden	w11_d228e9453
burg,	w1_d228e9459
führet	w3_d228e9462
der	w5_d228e9465
Capitain	w7_d228e9468
Thorbiörnsen;	w9_d228e9471
auf	w1_d228e9476
dem	w3_d228e9479
Seyerrige,	w5_d228e9482
Capitain	w7_d228e9485
Munie;	w9_d228e9488
auf	w11_d228e9491
</p>
<p id="p6_d228e9494">
dem	w1_d228e9498
Delmenhorst,	w3_d228e9501
Capitain	w5_d228e9504
Plathen;	w7_d228e9507
auf	w9_d228e9510
dem	w1_d228e9515
Ditmarschen,	w3_d228e9518
Capitain	w5_d228e9521
Hansen;	w7_d228e9524
auf	w9_d228e9527
dem	w1_d228e9532
Schleßwig,	w3_d228e9535
Capitain	w5_d228e9538
von	w7_d228e9541
Fontenay	w9_d228e9544
auf	w1_d228e9550
dem	w3_d228e9553
Bornholm,	w5_d228e9556
Capitain	w7_d228e9559
Bille;	w9_d228e9562
und	w11_d228e9565
auf	w13_d228e9569
der	w1_d228e9574
Docken,	w3_d228e9577
Capitain	w5_d228e9580
Steffensen	w7_d228e9583
das	w9_d228e9586
Com	w11_d228e9589
mando.	w1_d228e9594
Die	w3_d228e9597
zwey	w5_d228e9600
Fregatten	w7_d228e9603
gehen	w9_d228e9606
nach	w11_d228e9609
der	w1_d228e9614
mittelländischen	w3_d228e9617
See,	w5_d228e9620
welche	w7_d228e9623
die	w9_d228e9626
Capi	w11_d228e9629
tains	w1_d228e9635
Haas	w3_d228e9638
und	w5_d228e9641
Meier	w7_d228e9644
führen.	w9_d228e9647
Den	w11_d228e9650
20.	w13_d228e9654
vorigen	w1_d228e9659
Monats	w3_d228e9662
wurde	w5_d228e9665
der	w7_d228e9668
vor	w9_d228e9671
3.	w11_d228e9674
Wochen	w13_d228e9678
aus	w1_d228e9683
Norwegen	w3_d228e9686
angelangte	w5_d228e9689
Canzley=raht	w7_d228e9692
Hammond	w1_d228e9697
des	w3_d228e9700
Morgens	w5_d228e9703
um	w7_d228e9706
5.	w9_d228e9709
Uhr	w11_d228e9712
in	w13_d228e9716
sei	w15_d228e9719
nem	w1_d228e9725
Logis,	w3_d228e9728
nebst	w5_d228e9731
seiner	w7_d228e9734
Frau	w9_d228e9737
von	w11_d228e9740
dem	w13_d228e9744
Ge	w15_d228e9747
neral=fiscal	w1_d228e9752
und	w3_d228e9755
seinen	w5_d228e9758
Gerichts=bedienten,	w7_d228e9761
arrestiret	w1_d228e9766
und	w3_d228e9769
beyde	w5_d228e9772
nach	w7_d228e9775
der	w9_d228e9778
Citadelle	w11_d228e9781
ge	w13_d228e9785
bracht.	w1_d228e9790
Jhre	w3_d228e9793
3.	w5_d228e9796
Bedienten	w7_d228e9799
setzte	w9_d228e9802
man	w11_d228e9805
ins	w13_d228e9809
Stadt=gefängnüß.	w1_d228e9815
Es	w3_d228e9818
ist	w5_d228e9821
nach	w7_d228e9824
genauer	w9_d228e9827
Untersuchung	w1_d228e9832
eine	w3_d228e9835
ansehnliche	w5_d228e9838
Anzahl	w7_d228e9841
fal	w9_d228e9844
scher	w1_d228e9849
Banco=zettel,	w3_d228e9852
jeder	w5_d228e9855
zu	w7_d228e9858
100.	w9_d228e9861
Thlr.	w11_d228e9864
bey	w13_d228e9868
ihnen	w1_d228e9873
gefunden	w3_d228e9876
worden.	w5_d228e9879
</p>
<head id="h2_d228e9885">
Londen	w1_d228e9889
2.	w3_d228e9892
Mart.	w5_d228e9895
</head>
<p id="p4_d228e9898">
Man	w1_d228e9902
hat	w3_d228e9905
die	w5_d228e9908
Absendung	w7_d228e9911
eines	w9_d228e9914
Corps	w11_d228e9917
un	w13_d228e9921
serer	w1_d228e9926
Trupen	w3_d228e9929
nach	w5_d228e9932
Teutschland	w7_d228e9935
noch	w9_d228e9938
nicht	w11_d228e9941
ganz	w1_d228e9946
ausgesetzt,	w3_d228e9949
vielmehr	w5_d228e9952
wird	w7_d228e9955
aufs	w9_d228e9958
neue	w11_d228e9961
da	w13_d228e9965
von	w1_d228e9971
als	w3_d228e9974
nächst	w5_d228e9977
bevorstehend	w7_d228e9980
gesprochen.	w9_d228e9983
Der	w11_d228e9986
Admiral	w1_d228e9991
Hawke	w3_d228e9994
ist	w5_d228e9997
bereits	w7_d228e10000
nach	w9_d228e10003
Portsmouth	w11_d228e10006
abgegangen,	w1_d228e10011
und	w3_d228e10014
wird	w5_d228e10017
das	w7_d228e10020
Commando	w9_d228e10023
über	w11_d228e10026
eine	w1_d228e10031
Escadre	w3_d228e10034
von	w5_d228e10037
8.	w7_d228e10040
Kriegs=schiffen,	w9_d228e10043
5.	w11_d228e10046
Fre	w13_d228e10050
gatten	w1_d228e10056
und	w3_d228e10059
einem	w5_d228e10062
Brander,	w7_d228e10065
sogleich	w9_d228e10068
antre	w11_d228e10071
ten,	w1_d228e10076
um	w3_d228e10079
nach	w5_d228e10082
Gibraltar	w7_d228e10085
zu	w9_d228e10088
segeln,	w11_d228e10091
und	w13_d228e10095
den	w15_d228e10098
Admiral	w1_d228e10103
Oßbourne	w3_d228e10106
an	w5_d228e10109
sich	w7_d228e10112
zu	w9_d228e10115
ziehen,	w11_d228e10118
so	w13_d228e10122
dann	w1_d228e10127
die	w3_d228e10130
Franzosen	w5_d228e10133
anzugreiffen.	w7_d228e10136
Der	w9_d228e10139
Ad	w11_d228e10142
miral	w1_d228e10148
Boßcawen	w3_d228e10151
ist	w5_d228e10154
zu	w7_d228e10157
Plymouth	w9_d228e10160
mit	w11_d228e10163
4.	w13_d228e10167
Kriegs=schiffen	w1_d228e10172
und	w3_d228e10175
1.	w5_d228e10178
Brander	w7_d228e10181
verstärkt	w9_d228e10184
worden,	w1_d228e10189
die	w3_d228e10192
übrigen	w5_d228e10195
zu	w7_d228e10198
seiner	w9_d228e10201
Escadre	w11_d228e10204
gehö	w13_d228e10208
rigen	w1_d228e10213
Kriegs	w3_d228e10216
und	w5_d228e10219
Transport=schiffe	w7_d228e10222
werden	w9_d228e10225
zu	w1_d228e10231
Cork	w3_d228e10234
in	w5_d228e10237
Jrland	w7_d228e10240
zu	w9_d228e10243
ihm	w11_d228e10246
stossen	w13_d228e10250
und	w15_d228e10253
mit	w17_d228e10256
ge	w19_d228e10259
samter	w1_d228e10264
Hand	w3_d228e10267
nach	w5_d228e10270
America	w7_d228e10273
segeln,	w9_d228e10276
woselbst	w11_d228e10279
schon	w1_d228e10284
15.	w3_d228e10287
Kriegs=schiffe	w5_d228e10290
auf	w7_d228e10293
ihn	w9_d228e10296
warten.	w11_d228e10299
Sechs	w1_d228e10304
andere	w3_d228e10307
Kriegs	w5_d228e10310
schiffe,	w7_d228e10313
nebst	w9_d228e10316
einem	w11_d228e10319
Corps	w1_d228e10325
Trupen,	w3_d228e10328
gehen	w5_d228e10331
auf	w7_d228e10334
die	w9_d228e10337
Küste	w11_d228e10340
von	w13_d228e10344
Gui	w15_d228e10347
nea,	w1_d228e10352
um	w3_d228e10355
unsere	w5_d228e10358
Etablissements	w7_d228e10361
daselbst	w9_d228e10364
zu	w11_d228e10367
decken.	w1_d228e10372
</p>
<head id="h2_d228e10378">
Danzig	w1_d228e10382
2.	w3_d228e10385
Martii.	w5_d228e10388
</head>
<p id="p4_d228e10391">
Vorgestern	w1_d228e10395
ist	w3_d228e10398
der	w5_d228e10401
Herr	w7_d228e10404
Staroste	w9_d228e10407
von	w11_d228e10410
War	w13_d228e10414
schau,	w1_d228e10419
Graf	w3_d228e10422
von	w5_d228e10425
