<doc id="edoc_wd_1772-05-20" attrs="word" year="1772" month="05" day="20" corpus="1">
<head id="hl1">
Stockholm	w29
am	w4794
Neust	w4795
<g/>
.
alt	w4797
60	w4798
<g/>
.
J	w4800
<g/>
.
Joh	w4802
<g/>
.
Wagner	w4804
<g/>
,
Tagl	w4806
<g/>
.
b	w4808
<g/>
.
Grundstein	w4810
am	w4811
Oberneust	w4812
<g/>
.
alt	w4814
70	w4815
<g/>
.
J	w4817
<g/>
.
Dem	w4819
Joh	w4820
<g/>
.
Mayer	w4822
<g/>
,
Tagl	w4824
<g/>
.
s	w4826
<g/>
.
W	w4828
<g/>
.
Elis	w4830
<g/>
.
b	w4832
<g/>
.
gold	w4834
<g/>
.
Klee=blatt	w4836
<g/>
=
im	w4838
Lichtenth	w4839
<g/>
.
alt	w4841
54	w4842
<g/>
.
J	w4844
<g/>
.
Jos	w4846
<g/>
.
Kerer	w4848
<g/>
,
schutzv	w4850
<g/>
.
Fragner	w4852
<g/>
,
b	w4854
<g/>
.
weiss	w4856
<g/>
.
Rössel	w4858
im	w4859
Lichtenth	w4860
alt	w4861
63	w4862
<g/>
.
J	w4864
<g/>
.
Jos	w4866
<g/>
.
Wintersberger	w4868
<g/>
,
Webergs	w4870
<g/>
.
bey	w4872
Maria	w4873
und	w4874
Jos	w4875
<g/>
.
im	w4877
Lichtenth	w4878
<g/>
.
alt	w4880
86	w4881
<g/>
.
J	w4883
<g/>
.
Titl	w4885
<g/>
.
Hr	w4887
<g/>
.
Franz	w4889
Stenz	w4890
<g/>
,
kais	w4892
<g/>
.
Pension	w4894
<g/>
.
b	w4896
<g/>
.
gold	w4898
Wall=fisch	w4899
<g/>
=
zu	w4901
Mariah	w4902
<g/>
.
alt	w4904
74	w4905
<g/>
.
J	w4907
<g/>
.
Dem	w4909
Franz	w4910
Brike	w4911
<g/>
,
Schust	w4913
<g/>
.
s	w4915
<g/>
.
T	w4917
<g/>
.
Anna	w4919
M	w4920
<g/>
.
b	w4922
<g/>
.
gold	w4924
<g/>
.
Degen	w4926
am	w4927
Oberneust	w4928
<g/>
.
alt	w4930
35	w4931
<g/>
.
J	w4933
<g/>
.
Ant	w4935
<g/>
.
Schmid	w4937
<g/>
,
Schneidgs	w4939
<g/>
.
alt	w4941
21	w4942
<g/>
.
J	w4944
<g/>
.
b	w4946
<g/>
.
Barmh	w4948
<g/>
.
M	w4950
<g/>
.
Anna	w4952
Waschingerin	w4953
<g/>
,
alt	w4955
11	w4956
<g/>
.
J	w4958
<g/>
.
b	w4960
<g/>
.
Elisabethinn	w4962
<g/>
.
Cath	w4964
<g/>
.
Angerin	w4966
<g/>
,
Wit	w4968
<g/>
.
a	w4970
<g/>
.
77	w4972
<g/>
.
J	w4974
<g/>
.
im	w4976
Versorgsh	w4977
<g/>
.
am	w4979
Alsterbach	w4980
<g/>
.
Cath	w4982
<g/>
.
Muschekin	w4984
<g/>
,
Wit	w4986
alt	w4987
38	w4988
J	w4989
<g/>
.
Phil	w4991
<g/>
.
Rigler	w4993
<g/>
,
Hufschmid	w4995
<g/>
,
a	w4997
<g/>
.
46	w4999
<g/>
.
J	w5001
<g/>
.
beede	w5003
im	w5004
Zuchth	w5005
<g/>
.
</list>
<list id="li10">
Cath	w5007
<g/>
.
Donabergerin	w5009
<g/>
,
verh	w5011
<g/>
.
alt	w5013
39	w5014
J	w5015
<g/>
.
in	w5017
St	w5018
<g/>
.
Marx	w5020
<g/>
.
Cath	w5022
<g/>
.
Weicheckerin	w5024
<g/>
,
Wit	w5026
<g/>
.
alt	w5028
30	w5029
<g/>
.
J	w5031
<g/>
.
im	w5033
k	w5034
<g/>
.
k	w5036
<g/>
.
Kran=kenh	w5038
<g/>
=
<g/>
.
in	w5041
der	w5042
Währing	w5043
<g/>
.
Math	w5045
<g/>
.
Hödel	w5047
<g/>
,
Zimmergs	w5049
<g/>
.
alt	w5051
26	w5052
<g/>
.
J	w5054
<g/>
.
im	w5056
H	w5057
<g/>
.
Dreyf	w5059
<g/>
.
Spit	w5061
in	w5062
der	w5063
Wäbring	w5064
<g/>
.
Dan	w5066
<g/>
.
Dschaser	w5068
<g/>
,
alt	w5070
72	w5071
<g/>
.
J	w5073
<g/>
.
im	w5075
Cont	w5076
<g/>
.
Sigm	w5078
<g/>
.
Pichler	w5080
<g/>
,
Schneid	w5082
<g/>
.
alt	w5084
38	w5085
<g/>
.
J	w5087
<g/>
.
Joh	w5089
<g/>
.
Annas	w5091
<g/>
,
Feuerkn	w5093
v	w5094
Unterkammeramt	w5095
<g/>
,
a	w5097
<g/>
.
32	w5099
<g/>
.
J	w5101
<g/>
.
Adam	w5103
Guthall	w5104
<g/>
,
Badergs	w5106
<g/>
.
alt	w5108
38	w5109
<g/>
.
J	w5111
<g/>
.
M	w5113
<g/>
.
Anna	w5115
Mayrhoferin	w5116
<g/>
,
led	w5118
<g/>
.
alt	w5120
40	w5121
<g/>
.
J	w5123
<g/>
.
Jul	w5125
<g/>
.
Käyserin	w5127
<g/>
,
verh	w5129
alt	w5130
42	w5131
<g/>
.
J	w5133
Math	w5134
<g/>
.
Edinger	w5136
<g/>
,
reis	w5138
<g/>
.
Tagl	w5140
<g/>
.
a	w5142
37	w5143
J	w5144
<g/>
.
alle	w5146
6	w5147
<g/>
.
im	w5149
Cont	w5150
<g/>
.
Joh	w5152
<g/>
.
Wurm	w5154
<g/>
,
gew	w5156
<g/>
.
Wirth	w5158
<g/>
,
alt	w5160
36	w5161
<g/>
.
J	w5163
<g/>
.
Joh	w5165
<g/>
.
Besel	w5167
<g/>
,
Schuhkn	w5169
alt	w5170
22	w5171
<g/>
.
J	w5173
<g/>
.
beede	w5175
im	w5176
spanisch	w5177
<g/>
.
Spit	w5179
<g/>
.
Mil	w5181
<g/>
.
Zimm	w5183
<g/>
.
Rosal	w5185
<g/>
.
Riedlin	w5187
<g/>
,
led	w5189
<g/>
.
alt	w5191
19	w5192
<g/>
.
J	w5194
<g/>
.
im	w5196
Strudlh	w5197
<g/>
.
Ant	w5199
<g/>
.
Hart	w5201
<g/>
,
Assist	w5203
<g/>
.
Chyr	w5205
<g/>
.
alt	w5207
25	w5208
J	w5209
<g/>
.
Joh	w5211
<g/>
.
Hohenkofer	w5213
<g/>
,
Tagl	w5215
<g/>
.
alt	w5217
23	w5218
<g/>
.
J	w5220
<g/>
.
Magd	w5222
<g/>
.
<g/>
,
Wit	w5225
<g/>
.
alt	w5227
50	w5228
<g/>
.
J	w5230
<g/>
.
alle	w5232
3	w5233
<g/>
.
im	w5235
Bäckenh	w5236
<g/>
.
</list>
<p id="p52">
Summa	w5238
42	w5239
<g/>
.
Person	w5241
<g/>
.
darunter	w5243
2	w5244
<g/>
.
Kind	w5246
<g/>
.
</p>
<head id="hl19">
Den	w5248
14	w5249
<g/>
.
May	w5251
<g/>
.
Jn	w5253
der	w5254
Stadt	w5255
<g/>
.
</head>
<list id="li11">
Der	w5257
wohledle	w5258
Hr	w5259
<g/>
.
Seb	w5261
<g/>
.
Lana	w5263
<g/>
,
gmr	w5265
<g/>
.
Stadt	w5267
Wien	w5268
Banco	w5269
<g/>
=
Hauptcasse	w5271
<g/>
=
Gegenhandl	w5273
<g/>
.
b	w5275
<g/>
.
stein	w5277
<g/>
.
Löwen	w5279
am	w5280
Franciscanerpl	w5281
<g/>
.
alt	w5283
62	w5284
<g/>
.
J	w5286
<g/>
.
Der	w5288
Fr	w5289
<g/>
.
Ther	w5291
<g/>
.
Haßlerin	w5293
<g/>
,
gmr	w5295
<g/>
.
Stadt	w5297
Wien	w5298
Ober=kamm	w5299
<g/>
=
<g/>
.
Wit	w5302
<g/>
.
ihr	w5304
S	w5305
<g/>
.
Joh	w5307
<g/>
.
im	w5309
Greiner	w5310
<g/>
.
H	w5312
<g/>
.
im	w5314
tiefen	w5315
Grab	w5316
<g/>
.
alt	w5318
19	w5319
<g/>
.
J	w5321
<g/>
.
Jgf	w5323
<g/>
.
Ther	w5325
<g/>
.
Bachmanin	w5327
<g/>
,
burgl	w5329
<g/>
.
Handschuhmach	w5331
<g/>
.
hinterl	w5333
<g/>
.
T	w5335
<g/>
.
im	w5337
Kreuzer	w5338
<g/>
.
H	w5340
<g/>
.
im	w5342
Hutsteppg	w5343
a	w5344
<g/>
.
31	w5346
J	w5347
<g/>
.
</list>
<head id="hl20">
Vor	w5349
der	w5350
Stadt	w5351
<g/>
.
</head>
<list id="li12">
Der	w5353
wohlehrw	w5354
<g/>
.
P	w5356
<g/>
.
Priscian	w5358
Ar	w5359
er	w5360
<g/>
,
Capuc	w5362
Ord	w5363
<g/>
.
von	w5365
Conv	w5366
zu	w5367
Hollabrunn	w5368
<g/>
,
in	w5370
ihr	w5371
<g/>
.
Klost	w5373
zu	w5374
St	w5375
<g/>
.
Ulr	w5377
<g/>
.
alt	w5379
59	w5380
<g/>
.
J	w5382
<g/>
.
Hr	w5384
<g/>
.
Franz	w5386
Ant	w5387
<g/>
.
Bedineli	w5389
<g/>
,
aus	w5391
Jtalien	w5392
<g/>
,
b	w5394
<g/>
.
3	w5396
<g/>
.
Lauf	w5398
<g/>
.
in	w5400
der	w5401
Alsterg	w5402
<g/>
.
alt	w5404
56	w5405
<g/>
.
J	w5407
<g/>
.
Greg	w5409
<g/>
.
Freinbeck	w5411
<g/>
,
jub	w5413
<g/>
.
k	w5415
k	w5416
<g/>
.
Leiblaq	w5418
<g/>
.
b	w5420
<g/>
.
gold	w5422
<g/>
.
Adler	w5424
am	w5425
Tury	w5426
<g/>
,
alt	w5428
89	w5429
<g/>
.
J	w5431
<g/>
.
Ferd	w5433
<g/>
.
Paschi	w5435
<g/>
,
arm	w5437
<g/>
.
Schreib	w5439
<g/>
.
im	w5441
Bommer	w5442
<g/>
.
H	w5444
<g/>
.
in	w5446
der	w5447
Leopst	w5448
<g/>
.
alt	w5450
63	w5451
<g/>
.
J	w5453
<g/>
.
Johanna	w5455
Baldanin	w5456
<g/>
,
led	w5458
<g/>
.
alt	w5460
29	w5461
<g/>
.
J	w5463
<g/>
.
im	w5465
Grundspit	w5466
<g/>
.
im	w5468
Lichtenth	w5469
<g/>
.
Ther	w5471
<g/>
.
Leitzenbergerin	w5473
<g/>
,
Wit	w5475
<g/>
.
a	w5477
<g/>
.
29	w5479
<g/>
.
J	w5481
<g/>
.
im	w5483
Joh	w5484
<g/>
.
Spit	w5486
<g/>
.
Jos	w5488
<g/>
.
Großberger	w5490
<g/>
,
Tagl	w5492
<g/>
.
im	w5494
Zimetentenh	w5495
<g/>
.
außer	w5497
der	w5498
Roßau	w5499
<g/>
,
alt	w5501
46	w5502
<g/>
.
J	w5504
<g/>
.
Jos	w5506
<g/>
.
Bruner	w5508
<g/>
,
Kutsch	w5510
<g/>
.
alt	w5512
32	w5513
<g/>
.
J	w5515
<g/>
.
Der	w5517
ehrw	w5518
<g/>
.
Fr	w5520
<g/>
.
Salvian	w5522
Pfeninger	w5523
<g/>
,
Barmherziger=Brüderord	w5525
<g/>
=
<g/>
.
alt	w5528
26	w5529
<g/>
.
J	w5531
<g/>
.
Ant	w5533
<g/>
.
Ebel	w5535
<g/>
,
Bindergs	w5537
<g/>
.
alt	w5539
20	w5540
<g/>
.
J	w5542
<g/>
.
alle	w5544
3	w5545
<g/>
.
b	w5547
<g/>
.
Barmh	w5549
<g/>
.
Mart	w5551
<g/>
.
Schmidt	w5553
<g/>
,
alt	w5555
26	w5556
<g/>
.
J	w5558
<g/>
.
Math	w5560
<g/>
.
Rinner	w5562
<g/>
,
alt	w5564
77	w5565
<g/>
.
J	w5567
<g/>
.
beede	w5569
gem	w5570
<g/>
.
Jnvalid	w5572
<g/>
.
im	w5574
Mil	w5575
<g/>
.
Jnvalidh	w5577
<g/>
.
P	w5579
<g/>
.
<g/>
.
Rhein	w5582
<g/>
,
alt	w5584
59	w5585
<g/>
.
J	w5587
<g/>
.
im	w5589
gr	w5590
<g/>
.
Armenh	w5592
<g/>
.
Joh	w5594
<g/>
.
Klett	w5596
<g/>
.
Webergs	w5598
<g/>
.
alt	w5600
22	w5601
<g/>
.
J	w5603
<g/>
.
im	w5605
Zuchth	w5606
<g/>
.
Franz	w5608
Doworski	w5609
<g/>
,
gem	w5611
<g/>
.
Sold	w5613
<g/>
.
alt	w5615
46	w5616
<g/>
.
J	w5618
<g/>
.
im	w5620
Mili	w5621
<g/>
.
Krankenh	w5623
<g/>
.
zu	w5625
Gumpend	w5626
<g/>
.
Jos	w5628
<g/>
.
Bischof	w5630
<g/>
,
Baadergs	w5632
<g/>
.
alt	w5634
24	w5635
<g/>
.
J	w5637
<g/>
.
im	w5639
H	w5640
<g/>
.
Dreyf	w5642
<g/>
.
Spittal	w5644
<g/>
.
Ros	w5646
<g/>
.
Faulseitzin	w5648
<g/>
,
Wit	w5650
<g/>
.
alt	w5652
60	w5653
<g/>
.
J	w5655
<g/>
.
</list>
<list id="li13">
Frid	w5657
<g/>
.
Walter	w5659
<g/>
,
gew	w5661
Handelsm	w5662
<g/>
.
alt	w5664
40	w5665
<g/>
.
J	w5667
<g/>
.
bede	w5669
im	w5670
Contum	w5671
<g/>
.
Joh	w5673
Ernst	w5674
<g/>
,
Fuhrkn	w5676
<g/>
.
alt	w5678
21	w5679
<g/>
.
J	w5681
<g/>
.
Magd	w5683
<g/>
.
Lamplin	w5685
<g/>
,
led	w5687
<g/>
.
alt	w5689
26	w5690
<g/>
.
J	w5692
<g/>
.
Phil	w5694
<g/>
.
Wika	w5696
<g/>
,
Tagl	w5698
<g/>
.
alt	w5700
23	w5701
<g/>
.
J	w5703
<g/>
.
Jos	w5705
<g/>
.
Grinzle	w5707
<g/>
,
alt	w5709
25	w5710
<g/>
.
J	w5712
<g/>
.
alle	w5714
4	w5715
<g/>
.
im	w5717
Bäckenh	w5718
<g/>
.
Karl	w5720
Schießer	w5721
<g/>
,
reis	w5723
<g/>
.
Tagl	w5725
<g/>
.
alt	w5727
45	w5728
<g/>
.
J	w5730
<g/>
.
Jof	w5732
<g/>
.
Kök	w5734
<g/>
,
Tagl	w5736
<g/>
.
alt	w5738
27	w5739
<g/>
.
J	w5741
<g/>
.
J	w5743
<g/>
.
Schmid	w5745
<g/>
,
Schneidergs	w5747
<g/>
.
alt	w5749
26	w5750
<g/>
.
J	w5752
<g/>
.
Joh	w5754
<g/>
.
Frey	w5756
<g/>
,
Tagl	w5758
<g/>
.
alt	w5760
56	w5761
<g/>
.
J	w5763
<g/>
.
Gotth	w5765
<g/>
.
Leitner	w5767
<g/>
,
Holzhack	w5769
alt	w5770
39	w5771
<g/>
.
J	w5773
<g/>
.
Leop	w5775
<g/>
.
Bettbauer	w5777
<g/>
,
Tagl	w5779
<g/>
.
alt	w5781
36	w5782
<g/>
.
J	w5784
<g/>
.
Krsch	w5786
<g/>
,
reisend	w5788
<g/>
.
Laq	w5790
<g/>
.
alt	w5792
30	w5793
<g/>
.
J	w5795
<g/>
.
alle7	w5797
<g/>
.
im	w5799
span	w5800
<g/>
.
Spit	w5802
<g/>
.
Mil	w5804
<g/>
.
Zimm	w5806
<g/>
.
</list>
<p id="p53">
Summa	w5808
32	w5809
<g/>
.
Personen	w5811
<g/>
.
</p>
<head id="hl21">
Den	w5813
15	w5814
<g/>
.
May	w5816
<g/>
.
Jn	w5818
der	w5819
Stadt	w5820
<g/>
.
</head>
<p id="p54">
Niemand	w5822
<g/>
.
</p>
<head id="hl22">
Vor	w5824
der	w5825
Stadt	w5826
<g/>
.
</head>
<list id="li14">
Dem	w5828
Felix	w5829
Golderer	w5830
<g/>
,
burgl	w5832
<g/>
.
Dratzieh	w5834
<g/>
.
s	w5836
<g/>
.
K	w5838
<g/>
.
Karl	w5840
<g/>
,
im	w5842
s	w5843
<g/>
.
H	w5845
<g/>
.
in	w5847
der	w5848
Josephst	w5849
<g/>
.
alt	w5851
1	w5852
<g/>
.
J	w5854
<g/>
.
Gertr	w5856
<g/>
.
Fellerin	w5858
<g/>
,
burgl	w5860
<g/>
.
Peruquenmach	w5862
Wit	w5863
<g/>
.
in	w5865
ihr	w5866
<g/>
.
H	w5868
<g/>
.
b	w5870
<g/>
.
Kühefuß	w5872
im	w5873
Lichtenth	w5874
<g/>
.
alt	w5876
65	w5877
<g/>
.
J	w5879
<g/>
.
Cäcil	w5881
<g/>
.
Gostlin	w5883
<g/>
,
burgl	w5885
<g/>
.
Bilderhandl	w5887
<g/>
.
Wit	w5889
in	w5890
ihr	w5891
<g/>
.
H	w5893
<g/>
.
am	w5895
Oberneust	w5896
<g/>
.
alt	w5898
28	w5899
J	w5900
<g/>
.
Dem	w5902
Seb	w5903
<g/>
.
Brandstätter	w5905
<g/>
,
Schust	w5907
<g/>
.
s	w5909
<g/>
.
K	w5911
<g/>
.
Ursula	w5913
<g/>
,
b	w5915
<g/>
.
grün	w5917
Jäger	w5918
am	w5919
Himmelpfgr	w5920
<g/>
.
alt	w5922
7	w5923
<g/>
.
J	w5925
<g/>
.
Dem	w5927
Ant	w5928
<g/>
.
Pötzel	w5930
<g/>
,
Tagl	w5932
<g/>
.
s	w5934
<g/>
.
K	w5936
<g/>
.
Lor	w5938
<g/>
.
b	w5940
<g/>
.
gold	w5942
<g/>
.
Löwen	w5944
auf	w5945
der	w5946
neuen	w5947
Wieden	w5948
<g/>
,
alt	w5950
5	w5951
<g/>
.
v	w5953
<g/>
.
J	w5955
<g/>
.
Jos	w5957
<g/>
.
Paunitz	w5959
<g/>
.
Hausmeist	w5961
<g/>
.
im	w5963
Capeller	w5964
<g/>
.
H	w5966
<g/>
.
auf	w5968
der	w5969
Laimgr	w5970
<g/>
.
alt	w5972
46	w5973
J	w5974
<g/>
.
Leop	w5976
<g/>
.
Reither	w5978
<g/>
,
alt	w5980
82	w5981
<g/>
.
J	w5983
<g/>
.
im	w5985
langen	w5986
Keller	w5987
<g/>
.
Dem	w5989
Math	w5990
<g/>
.
G	w5992
<g/>
,
schutzv	w5994
<g/>
.
Huterer	w5996
<g/>
,
s	w5998
<g/>
.
K	w6000
<g/>
.
Ther	w6002
<g/>
.
im	w6004
Hengstberg	w6005
<g/>
.
H	w6007
<g/>
.
am	w6009
Oberneust	w6010
<g/>
.
alt	w6012
3	w6013
<g/>
.
J	w6015
<g/>
.
Georg	w6017
Mittelheim	w6018
<g/>
,
vac	w6020
<g/>
.
Schreib	w6022
<g/>
.
b	w6024
<g/>
.
blauen	w6026
Jgl	w6027
in	w6028
der	w6029
Leopst	w6030
<g/>
.
alt	w6032
48	w6033
<g/>
.
J	w6035
<g/>
.
Dem	w6037
Math	w6038
Wirth	w6039
<g/>
,
Tagl	w6041
s	w6042
<g/>
.
K	w6044
<g/>
.
Ferd	w6046
<g/>
.
b	w6048
<g/>
.
Pelikan	w6050
im	w6051
Lichtenth	w6052
<g/>
.
alt	w6054
10	w6055
<g/>
.
J	w6057
<g/>
.
Anton	w6059
Steinederfel	w6060
<g/>
,
Landschneidm	w6062
<g/>
.
b	w6064
<g/>
.
goldn	w6066
<g/>
.
Brunn	w6068
am	w6069
Spitlb	w6070
<g/>
.
alt	w6072
33	w6073
J	w6074
<g/>
.
Dem	w6076
Jos	w6077
<g/>
.
Sterz	w6079
<g/>
.
Tischlerm	w6081
s	w6082
<g/>
.
K	w6084
<g/>
.
Jos	w6086
<g/>
.
Nro	w6088
<g/>
.
149	w6090
<g/>
.
auf	w6092
der	w6093
neuen	w6094
Wied	w6095
<g/>
.
alt	w6097
1	w6098
<g/>
.
J	w6100
<g/>
.
Magd	w6102
<g/>
.
Winklerin	w6104
<g/>
,
Wit	w6106
<g/>
.
alt	w6108
73	w6109
<g/>
.
J	w6111
<g/>
.
im	w6113
Versorgh	w6114
<g/>
.
am	w6116
Alsterb	w6117
<g/>
.
Cath	w6119
Riederin	w6120
<g/>
,
led	w6122
<g/>
.
alt	w6124
18	w6125
<g/>
.
J	w6127
<g/>
.
Joh	w6129
Steinmann	w6130
<g/>
,
Webergf	w6132
<g/>
.
alt	w6134
25	w6135
<g/>
.
J	w6137
<g/>
.
Nic	w6139
<g/>
.
Roppert	w6141
<g/>
,
Tagl	w6143
<g/>
.
alt	w6145
39	w6146
<g/>
.
J	w6148
<g/>
.
alle	w6150
3	w6151
<g/>
.
im	w6153
Zuchth	w6154
<g/>
.
Anna	w6156
M	w6157
<g/>
.
Zwifelbaurin	w6159
<g/>
,
led	w6161
<g/>
.
alt	w6163
<g/>
=
J	w6165
<g/>
.
Cath	w6167
<g/>
.
Stegerin	w6169
<g/>
,
led	w6171
<g/>
.
alt	w6173
18	w6174
<g/>
.
Anna	w6176
Urbanin	w6177
<g/>
,
verh	w6179
Tagl	w6180
<g/>
.
alt	w6182
38	w6183
J	w6184
<g/>
.
alle	w6186
im	w6187
Cont	w6188
<g/>
.
Rosal	w6190
<g/>
.
Windhalgerin	w6192
<g/>
,
Wit	w6194
<g/>
.
alt	w6196
50	w6197
<g/>
.
J	w6199
<g/>
.
Elis	w6201
<g/>
.
Huberin	w6203
<g/>
,
Tagll	w6205
<g/>
.
Wit	w6207
<g/>
.
alt	w6209
51	w6210
<g/>
.
J	w6212
<g/>
.
Andre	w6214
Rachin	w6215
<g/>
,
Tagl	w6217
<g/>
.
alt	w6219
50	w6220
<g/>
.
J	w6222
<g/>
.
Ant	w6224
<g/>
.
Millner	w6226
<g/>
,
ohne	w6228
Profeß	w6229
<g/>
.
alt	w6231
20	w6232
<g/>
.
J	w6234
<g/>
.
alle	w6236
4	w6237
<g/>
.
im	w6239
Bäckenh	w6240
<g/>
.
Joh	w6242
Zausinger	w6243
<g/>
,
Tagl	w6245
<g/>
.
alt	w6247
51	w6248
<g/>
.
J	w6250
<g/>
.
im	w6252
span	w6253
<g/>
.
Spit	w6255
<g/>
.
Mil	w6257
<g/>
.
Zimm	w6259
<g/>
.
</list>
<p id="p55">
Summa	w6261
24	w6262
<g/>
.
Personen	w6264
<g/>
,
darunt	w6266
<g/>
.
6	w6268
<g/>
.
Kind	w6270
<g/>
.
</p>
<head id="hl23">
Nachtrag	w6272
zu	w6273
dem	w6274
wienerischen	w6275
Diarium	w6276
Nro	w6277
<g/>
.
41	w6279
<g/>
.
1772	w6281
<g/>
.
</head>
<p id="p56">
Wir	w6283
Bürgermeister	w6284
<g/>
,
Amtsverwalter	w6286
<g/>
,
und	w6288
Rath	w6289
der	w6290
Stadt	w6291
Wien	w6292
<g/>
,
geben	w6294
hiemit	w6295
jedermann	w6296
zu	w6297
ver=nehmen	w6298
<g/>
=
<g/>
.
Es	w6301
seye	w6302
der	w6303
Jakob	w6304
Altenschöpfer	w6305
gewester	w6306
Buchhalter	w6307
<g/>
,
und	w6309
ledigen	w6310
Standes	w6311
allhier	w6312
mit	w6313
Tod	w6314
abgegangen	w6315
<g/>
,
und	w6317
daher	w6318
<g/>
,
um	w6320
mit	w6321
der	w6322
künftigen	w6323
Ver=lassenschaftsabhandlung	w6324
<g/>
=
sicher	w6326
vorgehen	w6327
zu	w6328
können	w6329
<g/>
,
für	w6331
nothwendig	w6332
befunden	w6333
worden	w6334
<g/>
,
diejenigen	w6336
vor=zuladen	w6337
<g/>
=
<g/>
,
und	w6340
anzuhören	w6341
<g/>
,
welche	w6343
an	w6344
diese	w6345
Verlassen=schaft	w6346
<g/>
=
einige	w6348
Ansprüche	w6349
<g/>
,
und	w6351
Forderungen	w6352
haben	w6353
möchten	w6354
<g/>
.
Da	w6356
wir	w6357
nun	w6358
entschlossen	w6359
sind	w6360
<g/>
,
eben	w6362
diese	w6363
Sprüche	w6364
<g/>
,
und	w6366
Forderungen	w6367
an	w6368
dem	w6369
eigends	w6370
<g/>
,
und	w6372
zwar	w6373
für	w6374
das	w6375
erst	w6376
und	w6377
letztemal	w6378
hiezu	w6379
bestimmten	w6380
Tag	w6381
nämlich	w6382
den	w6383
7	w6384
<g/>
.
Juny	w6386
dies	w6387
Jahrs	w6388
<g/>
,
oder	w6390
da	w6391
wir	w6392
diesen	w6393
Tag	w6394
anderer	w6395
Verhindernissen	w6396
halber	w6397
nicht	w6398
zu	w6399
Rath	w6400
sässen	w6401
<g/>
,
den	w6403
nächst	w6404
darauf	w6405
folgenden	w6406
Rathstag	w6407
früh	w6408
um	w6409
8	w6410
<g/>
.
Uhr	w6412
zu	w6413
hören	w6414
<g/>
,
und	w6416
zu	w6417
vernehmen	w6418
<g/>
.
So	w6420
haben	w6421
alle	w6422
jene	w6423
<g/>
,
welche	w6425
an	w6426
des	w6427
Jakob	w6428
Altenschöpfer	w6429
seel	w6430
<g/>
.
Verlassenschaft	w6432
eine	w6433
rechtmäßige	w6434
Forderung	w6435
<g/>
,
es	w6437
sey	w6438
um	w6439
Erbschaft	w6440
<g/>
,
Schuld	w6442
<g/>
,
oder	w6444
anderer	w6445
Ursa=chen	w6446
<g/>
=
willen	w6448
zu	w6449
haben	w6450
glauben	w6451
<g/>
,
den	w6453
bestimmten	w6454
Tag	w6455
selbst	w6456
persönlich	w6457
<g/>
,
oder	w6459
durch	w6460
einen	w6461
hinlänglich	w6462
verse=henen	w6463
<g/>
=
Gewalttrager	w6465
so	w6466
gewiß	w6467
vor	w6468
uns	w6469
zuerscheinen	w6470
<g/>
,
sich	w6472
behörig	w6473
zu	w6474
legitimiren	w6475
<g/>
,
und	w6477
ihre	w6478
Ansprüche	w6479
<g/>
,
und	w6481
Forderungen	w6482
darzuthun	w6483
<g/>
,
als	w6485
im	w6486
widrigen	w6487
Falle	w6488
auf	w6489
die	w6490
Ausbleibenden	w6491
<g/>
,
oder	w6493
nicht	w6494
behörig	w6495
liquidi=renden	w6496
<g/>
=
Erben	w6498
<g/>
,
Gläubiger	w6500
<g/>
,
und	w6502
Prätendenten	w6503
keine	w6504
Rucksicht	w6505
genohmen	w6506
<g/>
,
mit	w6508
der	w6509
Abhandlung	w6510
<g/>
,
und	w6512
Ver=theilung	w6513
<g/>
=
des	w6515
Verlassenschaftsguts	w6516
von	w6517
Amtswegen	w6518
fürgegangen	w6519
<g/>
,
und	w6521
dasselbe	w6522
den	w6523
etwan	w6524
vorkommen=den	w6525
<g/>
=
Erben	w6527
unbedenklich	w6528
überlassen	w6529
werden	w6530
würde	w6531
<g/>
.
</p>
<p id="p57">
Den	w6533
21	w6534
<g/>
.
dieß	w6536
werden	w6537
von	w6538
Seiten	w6539
des	w6540
hochlöbl	w6541
<g/>
.
K	w6543
<g/>
.
auch	w6545
K	w6546
<g/>
.
K	w6548
<g/>
.
Obersthofmatschallamts	w6550
in	w6551
der	w6552
Kärnt=nerstraße	w6553
<g/>
=
bey	w6555
dem	w6556
goldenen	w6557
Greifen	w6558
<g/>
,
im	w6560
zweyten	w6561
Stock	w6562
<g/>
,
gegen	w6564
der	w6565
Himmelpfortgasse	w6566
verschiedene	w6567
Effecten	w6568
<g/>
,
als	w6570
gute	w6571
große	w6572
und	w6573
kleine	w6574
Perlschnür	w6575
<g/>
,
det=to	w6577
<g/>
=
gefaßte	w6579
Ohrgehänge	w6580
sammt	w6581
Perltropfen	w6582
<g/>
,
mit	w6584
Diamantrauten	w6585
und	w6586
Rubinen	w6587
carmesirt	w6588
<g/>
,
Ring	w6590
mit	w6591
detto	w6592
carmesirt	w6593
<g/>
,
goldene	w6595
Sackuhr	w6596
sammt	w6597
detto	w6598
Ha=ken	w6599
<g/>
=
<g/>
,
silberten	w6602
Eßzeug	w6603
<g/>
,
ganze	w6605
Stückl	w6606
gradl	w6607
Giengang=canefaß	w6608
<g/>
=
<g/>
,
Cotten	w6611
<g/>
=
damast	w6613
<g/>
=
bett	w6615
dann	w6616
ordinari	w6617
schwarz	w6618
und	w6619
silberreicher	w6620
Zeug	w6621
<g/>
,
Spiz	w6623
<g/>
,
damastener	w6625
Tisch=zeug	w6626
<g/>
=
<g/>
,
ein	w6629
Stuck	w6630
extra	w6631
