<doc id="wr_1758-01-11" attrs="word" year="1758" month="01" day="11" corpus="2">
<head id="h2_d209e2714">
Paderborn,	w1_d209e2718
ge	w11_d209e6340
gen	w1_d209e6345
Abend	w3_d209e6348
nahm	w5_d209e6351
man	w7_d209e6354
die	w9_d209e6357
Engländer	w11_d209e6360
4.	w13_d209e6364
bis	w15_d209e6367
5.	w17_d209e6370
Meilen	w1_d209e6375
von	w3_d209e6378
Louisburg	w5_d209e6381
gewahr;	w7_d209e6384
Tages	w9_d209e6387
darauf	w11_d209e6390
befanden	w1_d209e6395
sie	w3_d209e6398
sich	w5_d209e6401
bey	w7_d209e6404
dem	w9_d209e6407
sogenannten	w11_d209e6410
schwar	w13_d209e6414
zen	w1_d209e6420
Cap	w3_d209e6423
und	w5_d209e6426
zwar	w7_d209e6429
22.	w9_d209e6432
Seegel	w11_d209e6435
stark,	w13_d209e6439
näm	w15_d209e6442
lich	w1_d209e6447
16.	w3_d209e6450
grosse	w5_d209e6453
Schiffe,	w7_d209e6456
4.	w9_d209e6459
Fregatten,	w11_d209e6462
1.	w13_d209e6466
Bom	w15_d209e6469
bardier	w1_d209e6474
Galiot	w3_d209e6477
und	w5_d209e6480
ein	w7_d209e6483
Brander,	w9_d209e6486
sie	w11_d209e6489
blie	w13_d209e6493
ben	w1_d209e6498
aber	w3_d209e6501
nur	w5_d209e6504
kurze	w7_d209e6507
Zeit	w9_d209e6510
allda.	w11_d209e6513
Nachdem	w13_d209e6517
der	w1_d209e6523
Herr	w3_d209e6526
Dubois	w5_d209e6529
de	w7_d209e6532
la	w9_d209e6535
Mothe	w11_d209e6538
einen	w13_d209e6542
Cano	w15_d209e6545
nen=schuß	w1_d209e6550
thun	w3_d209e6553
lassen,	w5_d209e6556
und	w7_d209e6559
also	w9_d209e6562
das	w11_d209e6565
Zei	w13_d209e6569
chen	w1_d209e6574
zum	w3_d209e6577
Kampf	w5_d209e6580
gegeben,	w7_d209e6583
ließ	w9_d209e6586
der	w11_d209e6589
Admiral	w13_d209e6593
Holbourne	w1_d209e6598
gleichfalls	w3_d209e6601
eine	w5_d209e6604
Canone	w7_d209e6607
lösen,	w9_d209e6610
und	w11_d209e6613
spannte	w1_d209e6619
alle	w3_d209e6622
Seegel	w5_d209e6625
anzz	w7_d209e6628
hier	w9_d209e6631
entstunde	w11_d209e6634
aber	w13_d209e6638
ein	w1_d209e6643
fehr	w3_d209e6646
dicker	w5_d209e6649
Nevel,	w7_d209e6652
welcher	w9_d209e6655
den	w11_d209e6658
ganzen	w13_d209e6662
Tag	w15_d209e6665
daurete;	w1_d209e6670
die	w3_d209e6673
Feinde	w5_d209e6676
machten	w7_d209e6679
sich	w9_d209e6682
denselben	w11_d209e6685
zu	w1_d209e6690
Nutz,	w3_d209e6693
und	w5_d209e6696
giengen	w7_d209e6699
nach	w9_d209e6702
Hallifax	w11_d209e6705
zurück,	w13_d209e6709
ohne	w1_d209e6715
etwas	w3_d209e6718
zu	w5_d209e6721
unternehmen.	w7_d209e6724
Den	w9_d209e6727
10ten	w11_d209e6730
Se	w13_d209e6734
ptember	w1_d209e6739
zeigten	w3_d209e6742
sich	w5_d209e6745
die	w7_d209e6748
Engländer	w9_d209e6751
wiederum	w11_d209e6754
4.	w1_d209e6759
Meilen	w3_d209e6762
von	w5_d209e6765
Louisburg,	w7_d209e6768
da	w9_d209e6771
aber	w11_d209e6774
der	w13_d209e6778
Wind	w15_d209e6781
Sud=ost	w1_d209e6786
war,	w3_d209e6789
so	w5_d209e6792
kamen	w7_d209e6795
sie	w9_d209e6798
nicht	w11_d209e6801
näher;	w13_d209e6805
sie	w15_d209e6808
thaten	w1_d209e6814
einige	w3_d209e6817
Tage,	w5_d209e6820
als	w7_d209e6823
wollten	w9_d209e6826
sie	w11_d209e6829
dem	w13_d209e6833
Platze	w15_d209e6836
näher	w1_d209e6841
kommen,	w3_d209e6844
und	w5_d209e6847
es	w7_d209e6850
ward	w9_d209e6853
bald	w11_d209e6856
ein	w13_d209e6860
Schif,	w15_d209e6863
bald	w1_d209e6868
eine	w3_d209e6871
Fregatte	w5_d209e6874
zum	w7_d209e6877
Recognosciren	w9_d209e6880
abge	w11_d209e6883
schickt.	w1_d209e6888
Jn	w3_d209e6891
der	w5_d209e6894
Ncht	w7_d209e6897
vom	w9_d209e6900
24sten	w11_d209e6903
zum	w13_d209e6907
25sten	w15_d209e6910
änderte	w1_d209e6916
sich	w3_d209e6919
der	w5_d209e6922
Wind;	w7_d209e6925
er	w9_d209e6928
ward	w11_d209e6931
so	w13_d209e6935
heftig,	w15_d209e6938
daß	w1_d209e6943
die	w3_d209e6946
Engländische	w5_d209e6949
Eicadre	w7_d209e6952
zerstreuet	w9_d209e6955
wur	w11_d209e6958
de.	w1_d209e6963
Die	w3_d209e6966
Französische	w5_d209e6969
stund	w7_d209e6972
gleichfalls	w9_d209e6975
in	w11_d209e6978
gros	w13_d209e6982
ser	w1_d209e6987
Gefahr;	w3_d209e6990
die	w5_d209e6993
Ancker	w7_d209e6996
von	w9_d209e6999
allen	w11_d209e7002
Schiffen	w13_d209e7006
und	w1_d209e7012
Fregatten	w3_d209e7015
liessen	w5_d209e7018
nach.	w7_d209e7021
Die	w9_d209e7024
Fahrzeuge	w11_d209e7027
stiessen	w1_d209e7032
mit	w3_d209e7035
gröster	w5_d209e7038
Gewalt	w7_d209e7041
an	w1_d209e7046
einander;	w3_d209e7049
die	w5_d209e7052
</p>
<head id="h2_d209e7058">
Brest	w1_d209e7062
6.	w3_d209e7065
December,	w5_d209e7068
1757.	w7_d209e7071
</head>
<p id="p4_d209e7074">
Fregatte	w1_d209e7078
Abenakise	w3_d209e7081
scheiterte	w5_d209e7084
auf	w7_d209e7087
der	w9_d209e7090
Küste,	w11_d209e7093
und	w1_d209e7098
obgleich	w3_d209e7101
alle	w5_d209e7104
Kaufmanns=schiffe	w7_d209e7107
auch	w9_d209e7110
an	w1_d209e7115
dieselbe	w3_d209e7118
geworfen	w5_d209e7121
wurden,	w7_d209e7124
so	w9_d209e7127
gieng	w11_d209e7130
doch	w13_d209e7134
keines	w1_d209e7140
von	w3_d209e7143
ihnen	w5_d209e7146
unter.	w7_d209e7149
Eine	w9_d209e7152
Stille,	w11_d209e7155
die	w13_d209e7159
auf	w15_d209e7162
diesen	w1_d209e7167
entsetzlichen	w3_d209e7170
Sturm	w5_d209e7173
folgte,	w7_d209e7176
versicherte	w9_d209e7179
die	w1_d209e7184
Escadre	w3_d209e7187
für	w5_d209e7190
grössern	w7_d209e7193
Unfällen.	w9_d209e7196
Man	w11_d209e7199
hat	w13_d209e7203
seitdem	w1_d209e7208
zu	w3_d209e7211
Louisburg	w5_d209e7214
erfahren,	w7_d209e7217
daß	w9_d209e7220
nach	w11_d209e7223
die	w13_d209e7227
sem	w1_d209e7233
Sturm	w3_d209e7236
verschiedene	w5_d209e7239
Tage	w7_d209e7242
hinter	w9_d209e7245
einan	w11_d209e7248
der	w1_d209e7253
die	w3_d209e7256
Küste	w5_d209e7259
mit	w7_d209e7262
Trümmern	w9_d209e7265
von	w11_d209e7268
Engländi	w13_d209e7272
schen=schiffen	w1_d209e7277
gleichsam	w3_d209e7280
bedeckt	w5_d209e7283
gewesen.	w7_d209e7286
</p>
<head id="h2_d209e7292">
Stuttgard	w1_d209e7296
28.	w3_d209e7299
Decemb.	w5_d209e7302
1757.	w7_d209e7305
</head>
<p id="p4_d209e7308">
Gestern	w1_d209e7312
ward	w3_d209e7315
hiesige	w5_d209e7318
Stadt	w7_d209e7321
in	w9_d209e7324
einen	w11_d209e7327
nicht	w13_d209e7331
geringen	w1_d209e7336
Schrecken	w3_d209e7339
gesetzt,	w5_d209e7342
indem	w7_d209e7345
Nachmit	w9_d209e7348
tags	w1_d209e7353
um	w3_d209e7356
ein	w5_d209e7359
Uhr	w7_d209e7362
der	w9_d209e7365
hiesige	w11_d209e7368
sogenannte	w13_d209e7372
neue	w15_d209e7375
Bau,	w1_d209e7381
welcher	w3_d209e7384
seit	w5_d209e7387
einem	w7_d209e7390
Jahre	w9_d209e7393
zur	w11_d209e7396
Comödie	w13_d209e7400
und	w1_d209e7405
Pantomime	w3_d209e7408
eingerichtet	w5_d209e7411
gewesen,	w7_d209e7414
nach	w9_d209e7417
der	w1_d209e7422
Comödien=probe	w3_d209e7425
in	w5_d209e7428
volle	w7_d209e7431
Flammen	w9_d209e7434
ge	w11_d209e7437
riehte;	w1_d209e7442
dieselbe	w3_d209e7445
griffen	w5_d209e7448
stark	w7_d209e7451
um	w9_d209e7454
sich,	w11_d209e7457
und	w13_d209e7461
es	w15_d209e7464
waren	w1_d209e7470
die	w3_d209e7473
neben	w5_d209e7476
an	w7_d209e7479
und	w9_d209e7482
gegen	w11_d209e7485
über	w13_d209e7489
stehende	w15_d209e7492
Fürstl.	w1_d209e7497
Münze	w3_d209e7500
und	w5_d209e7503
Ställe	w7_d209e7506
in	w9_d209e7509
grosser	w11_d209e7512
Ge	w13_d209e7516
fahr,	w1_d209e7521
jedoch	w3_d209e7524
die	w5_d209e7527
gute	w7_d209e7530
Anstalten	w9_d209e7533
und	w11_d209e7536
die	w13_d209e7540
stille	w15_d209e7543
Winde,	w1_d209e7548
am	w3_d209e7551
meisten	w5_d209e7554
aber	w7_d209e7557
die	w9_d209e7560
Barmherzig	w11_d209e7563
keit	w1_d209e7569
des	w3_d209e7572
Höchsten,	w5_d209e7575
bewahreten	w7_d209e7578
uns	w9_d209e7581
für	w11_d209e7584
grös	w13_d209e7588
serem	w1_d209e7593
Unglück.	w3_d209e7596
Es	w5_d209e7599
blieb	w7_d209e7602
bey	w9_d209e7605
der	w11_d209e7608
Einäsche	w13_d209e7612
rung	w1_d209e7617
dieses	w3_d209e7620
einzigen	w5_d209e7623
prächtigen	w7_d209e7626
Gebäudes,	w9_d209e7629
welches	w1_d209e7634
von	w3_d209e7637
denen	w5_d209e7640
alten	w7_d209e7643
Fürsten	w9_d209e7646
ungefähr	w11_d209e7649
vor	w13_d209e7653
300.	w1_d209e7659
Jahren	w3_d209e7662
erbauet	w5_d209e7665
worden,	w7_d209e7668
und	w9_d209e7671
das	w11_d209e7674
ein	w13_d209e7678
Meisterstück	w1_d209e7683
und	w3_d209e7686
eine	w5_d209e7689
Zierde	w7_d209e7692
unserer	w9_d209e7695
Stadt	w11_d209e7698
gewesen.	w1_d209e7703
Es	w3_d209e7706
war	w5_d209e7709
von	w7_d209e7712
Grund	w9_d209e7715
aus	w11_d209e7718
bis	w13_d209e7722
unter	w15_d209e7725
das	w1_d209e7730
Dach	w3_d209e7733
von	w5_d209e7736
denen	w7_d209e7739
schönsten	w9_d209e7742
Steinen	w11_d209e7745
errich	w13_d209e7749
tet,	w1_d209e7755
und	w3_d209e7758
ganz	w5_d209e7761
mit	w7_d209e7764
Kupfer	w9_d209e7767
gedeckt.	w11_d209e7770
Der	w13_d209e7774
durch	w1_d209e7779
diesen	w3_d209e7782
Brand	w5_d209e7785
verursachte	w7_d209e7788
Schaden	w9_d209e7791
an	w11_d209e7794
vielen	w1_d209e7799
in	w3_d209e7802
diesem	w5_d209e7805
Gebäude	w7_d209e7808
aufbehaltenen	w9_d209e7811
Sel	w11_d209e7814
tenheiten,	w1_d209e7819
der	w3_d209e7822
schönsten	w5_d209e7825
Harnische	w7_d209e7828
von	w9_d209e7831
denen	w11_d209e7834
gehaltenen	w1_d209e7840
Tourniren,	w3_d209e7843
andern	w5_d209e7846
Kostbarkeiten,	w7_d209e7849
und	w1_d209e7854
vielem	w3_d209e7857
Gewehr,	w5_d209e7860
muß	w7_d209e7863
sich	w9_d209e7866
über	w11_d209e7869
eine	w13_d209e7873
Mil	w15_d209e7876
lion	w1_d209e7881
Thlr.	w3_d209e7884
erstrecken;	w5_d209e7887
es	w7_d209e7890
ist	w9_d209e7893
innwendig	w11_d209e7896
um	w13_d209e7900
so	w15_d209e7903
weniger	w1_d209e7908
etwas	w3_d209e7911
zu	w5_d209e7914
retten	w7_d209e7917
gewesen,	w9_d209e7920
da	w11_d209e7923
die	w13_d209e7927
Flam	w15_d209e7930
me	w1_d209e7936
allzuviel	w3_d209e7939
Nahrung	w5_d209e7942
gefunden,	w7_d209e7945
weil	w9_d209e7948
die	w11_d209e7951
Ampeln	w1_d209e7956
mit	w3_d209e7959
mehr	w5_d209e7962
als	w7_d209e7965
anderthalb	w9_d209e7968
Centner	w11_d209e7971
Oel	w1_d209e7976
angefüllt	w3_d209e7979
waren,	w5_d209e7982
auch	w7_d209e7985
viel	w9_d209e7988
Pulfer	w11_d209e7991
und	w13_d209e7995
Spiritus	w1_d209e8000
Vini	w3_d209e8003
sich	w5_d209e8006
auf	w7_d209e8009
der	w9_d209e8012
Bühne	w11_d209e8015
befand,	w13_d209e8019
welches	w1_d209e8025
zu	w3_d209e8028
der	w5_d209e8031
Vorstellung	w7_d209e8034
gebraucht	w9_d209e8037
wer	w11_d209e8040
den	w1_d209e8045
sollte.	w3_d209e8048
</p>
<head id="h2_d209e8055">
Nordhausen	w1_d209e8059
28.	w3_d209e8062
Dec.	w5_d209e8065
1757.	w7_d209e8068
</head>
<p id="p4_d209e8071">
Was	w1_d209e8075
den	w3_d209e8078
letzten	w5_d209e8081
Brand	w7_d209e8084
der	w9_d209e8087
Vorstädte	w11_d209e8090
von	w13_d209e8094
Zelle	w1_d209e8099
anbetrift,	w3_d209e8102
so	w5_d209e8105
meldet	w7_d209e8108
man	w9_d209e8111
Französischer	w11_d209e8114
Seits	w1_d209e8119
in	w3_d209e8122
einem	w5_d209e8125
von	w7_d209e8128
daher	w9_d209e8131
datirten	w11_d209e8134
Schrei	w13_d209e8138
ben,	w1_d209e8144
daß	w3_d209e8147
die	w5_d209e8150
ganze	w7_d209e8153
Brunst	w9_d209e8156
mehr	w11_d209e8159
durch	w13_d209e8163
einen	w15_d209e8166
Die	w1_d209e8171
Zufall	w1_d209e8176
als	w3_d209e8179
mit	w5_d209e8182
Vorsatz	w7_d209e8185
entstanden.	w9_d209e8188
</p>
<p id="p10_d209e8201">
Schiffe,	w1_d209e8205
welche	w3_d209e8208
mit	w5_d209e8211
Lebens=mitteln	w7_d209e8214
beladen	w9_d209e8217
waren,	w1_d209e8222
und	w3_d209e8225
Bremischen	w5_d209e8228
Kauflluten	w7_d209e8231
zugehör	w9_d209e8234
ten,	w1_d209e8239
seynd	w3_d209e8242
von	w5_d209e8245
ungefähr	w7_d209e8248
in	w9_d209e8251
Flammen	w11_d209e8254
gerah	w13_d209e8258
ten,	w1_d209e8264
und	w3_d209e8267
während	w5_d209e8270
dem,	w7_d209e8273
da	w9_d209e8276
man	w11_d209e8279
alle	w13_d209e8283
Mühe	w15_d209e8286
anwandte,	w1_d209e8291
sie	w3_d209e8294
zu	w5_d209e8297
löschen,	w7_d209e8300
trieb	w9_d209e8303
der	w11_d209e8306
Wind	w13_d209e8310
das	w15_d209e8313
Feuer	w1_d209e8318
an	w3_d209e8321
ein	w5_d209e8324
mit	w7_d209e8327
Heu	w9_d209e8330
und	w11_d209e8333
Stroh	w13_d209e8337
angefülltes	w15_d209e8340
Magazin,	w1_d209e8345
und	w3_d209e8348
da	w5_d209e8351
sich	w7_d209e8354
der	w9_d209e8357
Wind	w11_d209e8360
immer	w13_d209e8364
ver	w15_d209e8367
stärkte,	w1_d209e8373
so	w3_d209e8376
ist	w5_d209e8379
leicht	w7_d209e8382
zu	w9_d209e8385
erachten,	w11_d209e8388
daß	w13_d209e8392
auch	w15_d209e8395
mehrere	w1_d209e8400
Häuser	w3_d209e8403
in	w5_d209e8406
Brand	w7_d209e8409
geriehten,	w9_d209e8412
der	w11_d209e8415
Herr	w13_d209e8419
Marschall	w1_d209e8424
von	w3_d209e8427
Richellieu	w5_d209e8430
ward	w7_d209e8433
durch	w9_d209e8436
diesen	w11_d209e8439
Zufall	w1_d209e8444
sehr	w3_d209e8447
gerührt,	w5_d209e8450
und	w7_d209e8453
kehrete	w9_d209e8456
auch	w11_d209e8459
alle	w13_d209e8463
An	w15_d209e8466
stalten	w1_d209e8472
vor,	w3_d209e8475
um	w5_d209e8478
bey	w7_d209e8481
der	w9_d209e8484
Heftigkeit	w11_d209e8487
der	w13_d209e8491
Luft	w15_d209e8494
einem	w1_d209e8499
noch	w3_d209e8502
grösserem	w5_d209e8505
Unglück	w7_d209e8508
bevor	w9_d209e8511
zu	w11_d209e8514
kom	w13_d209e8518
men.	w1_d209e8523
</p>
<head id="h2_d209e8529">
Hannover	w1_d209e8533
25.	w3_d209e8536
Dec.	w5_d209e8539
1757.	w7_d209e8542
</head>
<p id="p4_d209e8545">
Den	w1_d209e8549
22sten	w3_d209e8552
dieses	w5_d209e8555
des	w7_d209e8558
Morgens,	w9_d209e8561
erhielten	w11_d209e8564
2.	w1_d209e8569
Bataillons	w3_d209e8572
von	w5_d209e8575
dem	w7_d209e8578
hieselbst	w9_d209e8581
in	w11_d209e8584
Garnison	w13_d209e8588
gewesten	w1_d209e8593
Französischen	w3_d209e8596
Regiment	w5_d209e8599
von	w7_d209e8602
Mailly	w9_d209e8605
die	w1_d209e8611
Ordre,	w3_d209e8614
auf	w5_d209e8617
das	w7_d209e8620
schleunigste	w9_d209e8623
von	w11_d209e8626
hier	w13_d209e8630
auf	w15_d209e8633
zubrechen.	w1_d209e8638
Sie	w3_d209e8641
marschirten	w5_d209e8644
daher	w7_d209e8647
noch	w9_d209e8650
des	w11_d209e8653
Vormittags	w1_d209e8658
aus	w3_d209e8661
dem	w5_d209e8664
Aegydien=thor	w7_d209e8667
und	w9_d209e8670
auf	w1_d209e8675
Hildesheim.	w3_d209e8678
Die	w5_d209e8681
übrigen	w7_d209e8684
2.	w9_d209e8687
Bataillone	w11_d209e8690
von	w1_d209e8696
besagtem	w3_d209e8699
Regimente	w5_d209e8702
sind,	w7_d209e8705
nebst	w9_d209e8708
einem	w11_d209e8711
Bataillon	w1_d209e8716
von	w3_d209e8719
Chantilly,	w5_d209e8722
allhier	w7_d209e8725
zur	w9_d209e8728
Besa	w11_d209e8731
tzung	w1_d209e8736
geblieben.	w3_d209e8739
Zur	w5_d209e8742
Wieder=verstärkung	w7_d209e8745
derselben	w1_d209e8750
ist	w3_d209e8753
des	w5_d209e8756
folgenden	w7_d209e8759
Tages	w9_d209e8762
gegen	w11_d209e8765
Abend	w13_d209e8769
das	w1_d209e8775
Regiment	w3_d209e8778
du	w5_d209e8781
Roi	w7_d209e8784
von	w9_d209e8787
4.	w11_d209e8790
Battaillons	w13_d209e8794
welches	w1_d209e8799
von	w3_d209e8802
Cassel	w5_d209e8805
gekommen,	w7_d209e8808
wieder	w9_d209e8811
allhier	w11_d209e8814
eingerücket.	w1_d209e8819
Auf	w3_d209e8822
Ordre	w5_d209e8825
des	w7_d209e8828
Französischen	w9_d209e8831
Commandanten	w1_d209e8836
des	w3_d209e8839
Herzogs	w5_d209e8842
von	w7_d209e8845
Randan,	w9_d209e8848
ist	w11_d209e8851
das	w1_d209e8857
hiesige	w3_d209e8860
Clever=thor	w5_d209e8863
seit	w7_d209e8866
den	w9_d209e8869
22.	w11_d209e8872
verschlos	w13_d209e8876
sen	w1_d209e8881
geblieben.	w3_d209e8884
Vor	w5_d209e8887
dem	w7_d209e8890
Stein=thore,	w9_d209e8893
aus	w11_d209e8896
welchen	w1_d209e8901
der	w3_d209e8904
Weeg	w5_d209e8907
nach	w7_d209e8910
Zelle	w9_d209e8913
gehet,	w11_d209e8916
hat	w13_d209e8920
man	w15_d209e8923
den	w1_d209e8928
Wall	w3_d209e8931
mit	w5_d209e8934
mehrern	w7_d209e8937
Canonen	w9_d209e8940
versehen.	w11_d209e8943
Dem	w1_d209e8949
Vernehmen	w3_d209e8952
nach	w5_d209e8955
wird	w7_d209e8958
sowol	w9_d209e8961
die	w11_d209e8964
alliirte	w13_d209e8968
Armee	w1_d209e8973
als	w3_d209e8976
die	w5_d209e8979
Französische,	w7_d209e8982
in	w9_d209e8985
die	w11_d209e8988
Cantoni	w13_d209e8992
rungs=quartiere	w1_d209e8997
gehen,	w3_d209e9000
weil	w5_d209e9003
die	w7_d209e9006
Trupen	w9_d209e9009
von	w11_d209e9012
beyden	w1_d209e9017
Seiten	w3_d209e9020
wegen	w5_d209e9023
der	w7_d209e9026
strengen	w9_d209e9029
Kälte	w11_d209e9032
es	w13_d209e9036
nicht	w1_d209e9042
aushalten	w3_d209e9045
können.	w5_d209e9048
</p>
<head id="h2_d209e9054">
Nieder=elbe	w1_d209e9058
28	w3_d209e9061
Dec.	w5_d209e9064
1754.	w7_d209e9067
</head>
<p id="p4_d209e9070">
Von	w1_d209e9074
den	w3_d209e9077
eigentlichen	w5_d209e9080
Capitulationspun	w7_d209e9083
cten	w1_d209e9088
der	w3_d209e9091
Französischen	w5_d209e9094
Besatzung	w7_d209e9097
in	w9_d209e9100
dem	w11_d209e9103
Schlosse	w1_d209e9108
zu	w3_d209e9111
Harburg	w5_d209e9114
ist	w7_d209e9117
noch	w9_d209e9120
nichts	w11_d209e9123
näheres	w13_d209e9127
bekannt,	w1_d209e9133
indessen	w3_d209e9136
haben	w5_d209e9139
die	w7_d209e9142
Hannoveraner	w9_d209e9145
die	w1_d209e9150
Contrescarpe	w3_d209e9153
und	w5_d209e9156
die	w7_d209e9159
Schleussen	w9_d209e9162
besetzt.	w11_d209e9165
rung	w1_d209e9170
gar	w3_d209e9173
zu	w5_d209e9176
unerträglich	w7_d209e9179
für	w9_d209e9182
Da	w1_d209e9187
die	w3_d209e9190
Witte	w5_d209e9193
die	w1_d209e9199
Trupen	w3_d209e9202
von	w5_d209e9205
beyden	w7_d209e9208
Theilen	w9_d209e9211
geworden	w11_d209e9214
ist,	w13_d209e9218
um	w1_d209e9223
es	w3_d209e9226
länger	w5_d209e9229
im	w7_d209e9232
Felde	w9_d209e9235
aushalten	w11_d209e9238
zu	w13_d209e9242
können,	w15_d209e9245
so	w1_d209e9250
haben	w3_d209e9253
sowohl	w5_d209e9256
die	w7_d209e9259
Hannoveraner	w9_d209e9262
als	w11_d209e9265
Fran	w13_d209e9269
zosen	w1_d209e9274
angefangen,	w3_d209e9277
die	w5_d209e9280
Cantonierungs=quartiere	w7_d209e9283
</p>
<p id="p6_d209e9286">
zu	w1_d209e9290
beziehen,	w3_d209e9293
und	w5_d209e9296
ist	w7_d209e9299
das	w9_d209e9302
Haupt=quartier	w11_d209e9305
des	w13_d209e9309
Prinzen	w1_d209e9314
Ferdinands	w3_d209e9317
dermalen	w5_d209e9320
zu	w7_d209e9323
Uelzen,	w9_d209e9326
die	w1_d209e9331
Armee	w3_d209e9334
aber	w5_d209e9337
cantoniret	w7_d209e9340
dergestalt,	w9_d209e9343
daß	w11_d209e9346
sie	w13_d209e9350
in	w1_d209e9356
wenig	w3_d209e9359
Zeit	w5_d209e9362
zusammen=stossen,	w7_d209e9365
und	w9_d209e9368
wieder	w11_d209e9371
unter	w1_d209e9376
denen	w3_d209e9379
Waffen	w5_d209e9382
seyn	w7_d209e9385
kan.	w9_d209e9388
</p>
<head id="h2_d209e9394">
Harburg	w1_d209e9398
29.	w3_d209e9401
Dec.	w5_d209e9404
1757.	w7_d209e9407
</head>
<p id="p4_d209e9410">
Am	w1_d209e9414
Dienstag	w3_d209e9417
Vormittag,	w5_d209e9420
als	w7_d209e9423
den	w9_d209e9426
27sten	w11_d209e9429
dieses,	w1_d209e9434
begehrte	w3_d209e9437
der	w5_d209e9440
Herr	w7_d209e9443
Marquis	w9_d209e9446
von	w11_d209e9449
Pereuse	w13_d209e9453
zu	w1_d209e9458
capituliren,	w3_d209e9461
worauf	w5_d209e9464
sogleich	w7_d209e9467
der	w9_d209e9470
Herr	w11_d209e9473
Gene	w13_d209e9477
ral	w1_d209e9483
von	w3_d209e9486
Hardenberg	w5_d209e9489
mit	w7_d209e9492
der	w9_d209e9495
heftigen	w11_d209e9498
Canonade	w13_d209e9502
einhalten	w1_d209e9507
ließ,	w3_d209e9510
um	w5_d209e9513
den	w7_d209e9516
Antrag	w9_d209e9519
des	w11_d209e9522
Comman	w13_d209e9526
danten	w1_d209e9531
zu	w3_d209e9534
vernehmen.	w5_d209e9537
Derselbe	w7_d209e9540
verlangte,	w9_d209e9543
nebst	w1_d209e9548
der	w3_d209e9551
ganzen	w5_d209e9554
Besatzung,	w7_d209e9557
einen	w9_d209e9560
freyen	w11_d209e9563
Ab	w13_d209e9567
zug	w1_d209e9573
mit	w3_d209e9576
allen	w5_d209e9579
militarischen	w7_d209e9582
Ehren=zeichen	w9_d209e9585
6.	w1_d209e9590
Canonen	w3_d209e9593
und	w5_d209e9596
4.	w7_d209e9599
bedeckten	w9_d209e9602
Wägen.	w11_d209e9605
Da	w13_d209e9609
der	w1_d209e9614
Herr	w3_d209e9617
General	w5_d209e9620
von	w7_d209e9623
Hardenberg	w9_d209e9626
nun	w11_d209e9629
dieses	w13_d209e9633
nicht	w1_d209e9638
zustehen	w3_d209e9641
wollte,	w5_d209e9644
so	w7_d209e9647
willigte	w9_d209e9650
er	w11_d209e9653
bloß	w13_d209e9657
in	w15_d209e9660
einen	w1_d209e9666
Waffen=stillstand	w3_d209e9669
bis	w5_d209e9672
zur	w7_d209e9675
Zurückkunft	w9_d209e9678
eines	w1_d209e9683
Curiers,	w3_d209e9686
welchen	w5_d209e9689
er	w7_d209e9692
an	w9_d209e9695
des	w11_d209e9698
Prinzen	w13_d209e9702
Fer	w15_d209e9705
dinands	w1_d209e9710
Durchl.	w3_d209e9713
abgefertiget	w5_d209e9716
hatte.	w7_d209e9719
Derselbe	w9_d209e9722
kam	w1_d209e9727
diesen	w3_d209e9730
Mittag	w5_d209e9733
zurück,	w7_d209e9736
und	w9_d209e9739
Se.	w11_d209e9742
Durchl.	w13_d209e9746
wollen,	w1_d209e9752
daß	w3_d209e9755
sich	w5_d209e9758
die	w7_d209e9761
annoch	w9_d209e9764
aus	w11_d209e9767
1400.	w13_d209e9771
Mann	w15_d209e9774
bestehende	w1_d209e9779
Garnison	w3_d209e9782
auf	w5_d209e9785
Discretion	w7_d209e9788
ergeben	w9_d209e9791
soll.	w1_d209e9796
Wann	w3_d209e9799
sich	w5_d209e9802
also	w7_d209e9805
der	w9_d209e9808
Commandant	w11_d209e9811
nicht	w13_d209e9815
entschliesset,	w1_d209e9820
so	w3_d209e9823
wird	w5_d209e9826
morgen	w7_d209e9829
die	w9_d209e9832
Canonade	w11_d209e9835
wiederum	w1_d209e9841
ihren	w3_d209e9844
Anfang	w5_d209e9847
nehmen,	w7_d209e9850
als	w9_d209e9853
wozu	w11_d209e9856
alles	w13_d209e9860
veranstaltet	w1_d209e9865
worden,	w3_d209e9868
man	w5_d209e9871
ist	w7_d209e9874
deswegen	w9_d209e9877
diesen	w11_d209e9880
Nachmittag	w1_d209e9885
in	w3_d209e9888
Unterhandlung.	w5_d209e9891
Bis	w7_d209e9894
diesen	w9_d209e9897
Nachmittag	w1_d209e9902
ist	w3_d209e9905
der	w5_d209e9908
Herr	w7_d209e9911
von	w9_d209e9914
Pereuse	w11_d209e9917
also	w13_d209e9921
noch	w1_d209e9927
im	w3_d209e9930
Besitze	w5_d209e9933
des	w7_d209e9936
Schlosses,	w9_d209e9939
der	w11_d209e9942
Aussen	w13_d209e9946
werke	w1_d209e9951
desselben	w3_d209e9954
und	w5_d209e9957
der	w7_d209e9960
Schleussen.	w9_d209e9963
Wir	w11_d209e9966
haben	w1_d209e9971
während	w3_d209e9974
der	w5_d209e9977
ganzen	w7_d209e9980
Zeit	w9_d209e9983
nicht	w11_d209e9986
mehr	w13_d209e9990
als	w1_d209e9995
3.	w3_d209e9998
Todte	w5_d209e10001
gehabt,	w7_d209e10004
und	w9_d209e10007
die	w11_d209e10010
Besatzung	w13_d209e10014
hat,	w15_d209e10017
ausser	w1_d209e10023
