<doc id="wr_1758-01-21" attrs="word" year="1758" month="01" day="21" corpus="2">
<head id="h2_d212e3556">
Lüneburg,	w1_d212e3560
sie	w9_d212e7178
die	w11_d212e7181
zu	w13_d212e7185
Behauptung	w1_d212e7191
der	w3_d212e7194
Teutschen	w5_d212e7197
Freyheit	w7_d212e7200
in	w9_d212e7203
der	w11_d212e7206
Quadrupel=allianz	w1_d212e7211
übernommene	w3_d212e7214
Verbindun	w5_d212e7217
gen	w1_d212e7222
niemals	w3_d212e7225
verlassen	w5_d212e7228
werden.	w7_d212e7231
</p>
<head id="h2_d212e7237">
Magdeburg	w1_d212e7241
4.	w3_d212e7244
Januarii.	w5_d212e7247
</head>
<p id="p4_d212e7250">
Gestern	w1_d212e7254
Vormittags	w3_d212e7257
gegen	w5_d212e7260
11.	w7_d212e7263
Uhr,	w9_d212e7266
giem	w11_d212e7269
gen	w1_d212e7274
Jhre	w3_d212e7277
Majestäten,	w5_d212e7280
die	w7_d212e7283
Königin,	w9_d212e7286
nebst	w11_d212e7289
Jhren	w1_d212e7294
Königl	w3_d212e7297
Hoheiten,	w5_d212e7300
des	w7_d212e7303
Prinzens	w9_d212e7306
von	w11_d212e7309
Preussen	w1_d212e7315
Frau	w3_d212e7318
Gemahlin,	w5_d212e7321
denen	w7_d212e7324
Königlichen	w9_d212e7327
Prinzeßinen,	w1_d212e7332
und	w3_d212e7335
deroselben	w5_d212e7338
Hof=staat,	w7_d212e7341
von	w9_d212e7344
hier	w1_d212e7349
nach	w3_d212e7352
Berlin	w5_d212e7355
wieder	w7_d212e7358
ab.	w9_d212e7361
Der	w11_d212e7364
Zug	w13_d212e7368
ge	w15_d212e7371
schahe	w1_d212e7376
über	w3_d212e7379
den	w5_d212e7382
Dom=platz,	w7_d212e7385
woselbst	w9_d212e7388
eine	w11_d212e7391
starke	w1_d212e7397
Anzahl	w3_d212e7400
ansehnlicher	w5_d212e7403
Bürger	w7_d212e7406
von	w9_d212e7409
der	w11_d212e7412
Kaufmanschaft	w1_d212e7417
und	w3_d212e7420
Schützen=bruderschaft,	w5_d212e7423
in	w7_d212e7426
blauer	w1_d212e7431
Uniform	w3_d212e7434
mit	w5_d212e7437
bordirten	w7_d212e7440
Hüten,	w9_d212e7443
und	w11_d212e7446
Schleiffen	w1_d212e7451
von	w3_d212e7454
Orange	w5_d212e7457
Bändern	w7_d212e7460
an	w9_d212e7463
der	w11_d212e7466
lim	w13_d212e7470
ken	w1_d212e7476
Seite	w3_d212e7479
der	w5_d212e7482
Brust,	w7_d212e7485
zu	w9_d212e7488
Pferde	w11_d212e7491
mit	w13_d212e7495
blossen	w15_d212e7498
Degen	w1_d212e7503
paradirten.	w3_d212e7506
Bey	w5_d212e7509
Annäherung	w7_d212e7512
der	w9_d212e7515
Königlichen	w1_d212e7520
Kutsche	w3_d212e7523
rückte	w5_d212e7526
diese	w7_d212e7529
neu	w9_d212e7532
errichte	w11_d212e7535
te	w1_d212e7540
Cavallerie	w3_d212e7543
mit	w5_d212e7546
blasenden	w7_d212e7549
Trompeten	w9_d212e7552
zwi	w11_d212e7555
schen	w1_d212e7561
dieselbe,	w3_d212e7564
und	w5_d212e7567
die	w7_d212e7570
vorhergehende	w9_d212e7573
Kutschen	w11_d212e7576
von	w1_d212e7581
der	w3_d212e7584
Königl.	w5_d212e7587
Suite	w7_d212e7590
in	w9_d212e7593
der	w11_d212e7596
besten	w13_d212e7600
Ordnung	w15_d212e7603
ein,	w1_d212e7608
und	w3_d212e7611
der	w5_d212e7614
Zug	w7_d212e7617
ward	w9_d212e7620
sodann	w11_d212e7623
über	w13_d212e7627
den	w15_d212e7630
brei	w17_d212e7633
ten	w1_d212e7638
Weg	w3_d212e7641
und	w5_d212e7644
den	w7_d212e7647
alten	w9_d212e7650
Markt	w11_d212e7653
bis	w13_d212e7657
vor	w15_d212e7660
das	w17_d212e7663
Brück=thor,	w1_d212e7669
und	w3_d212e7672
das	w5_d212e7675
daselbst	w7_d212e7678
gelegens	w9_d212e7681
soge	w11_d212e7684
</p>
<p id="p6_d212e7687">
nannte	w1_d212e7691
Rahts=Fehr=amk	w3_d212e7694
fortgesetzet.	w5_d212e7697
Als	w1_d212e7702
Jhre	w1_d212e7707
Majestät	w3_d212e7710
an	w5_d212e7713
diesem	w7_d212e7716
Orte	w9_d212e7719
das	w11_d212e7722
Magist	w13_d212e7726
rahts=collegium	w1_d212e7732
dieser	w3_d212e7735
Stadt	w5_d212e7738
in	w7_d212e7741
Corpore	w9_d212e7744
ver	w11_d212e7747
sammelt	w1_d212e7752
fanden,	w3_d212e7755
so	w5_d212e7758
geruheten	w7_d212e7761
dieselbe	w9_d212e7764
stelle	w11_d212e7767
zu	w1_d212e7772
halten,	w3_d212e7775
und	w5_d212e7778
von	w7_d212e7781
gedachten	w9_d212e7784
Magistrat	w11_d212e7787
ein	w13_d212e7791
durch	w1_d212e7796
den	w3_d212e7799
jetzigen	w5_d212e7802
Stadt=syndicum	w7_d212e7805
abgeleg	w9_d212e7808
tes	w1_d212e7814
Glück=wünschungs=compliment	w3_d212e7817
zu	w5_d212e7820
dero	w7_d212e7823
Abreise	w1_d212e7828
anzuhören,	w3_d212e7831
und	w5_d212e7834
wurden	w7_d212e7837
hierauf	w9_d212e7840
von	w11_d212e7843
einer	w1_d212e7848
unglaublichen	w3_d212e7851
Menge	w5_d212e7854
Volks	w7_d212e7857
bis	w9_d212e7860
in	w11_d212e7863
das	w13_d212e7867
freye	w1_d212e7872
Feld	w3_d212e7875
unter	w5_d212e7878
dreymaliger	w7_d212e7881
Abfeuerung	w9_d212e7884
der	w11_d212e7887
Canonen	w1_d212e7893
begleitet.	w3_d212e7896
</p>
<head id="h2_d212e7902">
Lisabon	w1_d212e7906
18.	w3_d212e7909
Dec.	w5_d212e7912
1757.	w7_d212e7915
</head>
<p id="p4_d212e7918">
Die	w1_d212e7922
Flotte	w3_d212e7925
von	w5_d212e7928
Rio	w7_d212e7931
di	w9_d212e7934
Janeiro,	w11_d212e7937
ist	w13_d212e7941
in	w15_d212e7944
17.	w17_d212e7947
Kauf=schiffen	w1_d212e7952
bestehend,	w3_d212e7955
unter	w5_d212e7958
dem	w7_d212e7961
Geleite	w9_d212e7964
eines	w1_d212e7969
Kriegs=schiffes,	w3_d212e7972
den	w5_d212e7975
24.	w7_d212e7978
vorigen	w9_d212e7981
Mo	w11_d212e7984
nats	w1_d212e7990
glücklich	w3_d212e7993
in	w5_d212e7996
dem	w7_d212e7999
Tajo	w9_d212e8002
eingeloffen.	w11_d212e8005
Man	w13_d212e8009
hat,	w1_d212e8014
bey	w3_d212e8017
dieser	w5_d212e8020
Gelegenheik	w7_d212e8023
vernommen;	w9_d212e8026
daß	w1_d212e8031
unsere	w3_d212e8034
Trupen,	w5_d212e8037
welche	w7_d212e8040
Sanct	w9_d212e8043
Ange	w11_d212e8046
lo,	w1_d212e8051
und	w3_d212e8054
die	w5_d212e8057
Spanischen,	w7_d212e8060
welche	w9_d212e8063
Sanek	w11_d212e8066
Juan,	w1_d212e8072
in	w3_d212e8075
Besitz	w5_d212e8078
nehmen	w7_d212e8081
sollen,	w9_d212e8084
in	w11_d212e8087
der	w13_d212e8091
grö	w15_d212e8094
sten	w1_d212e8099
Gefahr	w3_d212e8102
gewesen,	w5_d212e8105
Hungers	w7_d212e8108
zu	w9_d212e8111
sterben,	w11_d212e8114
und	w1_d212e8119
blos	w3_d212e8122
durch	w5_d212e8125
die	w7_d212e8128
Bemühungen	w9_d212e8131
der	w11_d212e8134
Jesui	w13_d212e8138
ten	w1_d212e8143
errettet	w3_d212e8146
worden.	w5_d212e8149
Jhre	w7_d212e8152
Wägen	w9_d212e8155
waren	w11_d212e8158
zerbrochen,	w1_d212e8164
und	w3_d212e8167
diese	w5_d212e8170
Patres	w7_d212e8173
beredeten	w9_d212e8176
dis	w11_d212e8179
Lands=einwohner	w1_d212e8184
die	w3_d212e8187
übrigen	w5_d212e8190
herzugeben.	w7_d212e8193
Die	w9_d212e8196
Dragoner	w1_d212e8201
fanden	w3_d212e8204
bey	w5_d212e8207
ihrer	w7_d212e8210
Ankunft	w9_d212e8213
zu	w11_d212e8216
St.	w13_d212e8220
Angelo	w1_d212e8225
nicht	w3_d212e8228
eine	w5_d212e8231
Ration	w7_d212e8234
Brod;	w9_d212e8237
die	w11_d212e8240
Jesmiten	w13_d212e8244
aber	w1_d212e8250
schaften	w3_d212e8253
es	w5_d212e8256
in	w7_d212e8259
behöriger	w9_d212e8262
Masse	w11_d212e8265
herbey	w13_d212e8269
Allein	w1_d212e8274
die	w3_d212e8277
sämtliche	w5_d212e8280
Famillen	w7_d212e8283
der	w9_d212e8286
Tapas	w11_d212e8289
flüchteten	w1_d212e8294
sich	w3_d212e8297
in	w5_d212e8300
die	w7_d212e8303
Wälder,	w9_d212e8306
und	w11_d212e8309
wollten	w13_d212e8313
lieber	w1_d212e8318
Hungers	w3_d212e8321
sterben,	w5_d212e8324
als	w7_d212e8327
mit	w9_d212e8330
gutem	w11_d212e8333
Willer	w13_d212e8337
ihre	w1_d212e8343
Häuser	w3_d212e8346
und	w5_d212e8349
Ländereyen	w7_d212e8352
abtretten.	w9_d212e8355
Da	w11_d212e8358
nun	w1_d212e8363
unser	w3_d212e8366
General	w5_d212e8369
mit	w7_d212e8372
sichtigen	w9_d212e8375
Augen	w11_d212e8378
er	w13_d212e8382
kannte,	w1_d212e8387
daß	w3_d212e8390
man	w5_d212e8393
denen	w7_d212e8396
Jesuiten	w9_d212e8399
Unrecht	w11_d212e8402
thue,	w1_d212e8407
wann	w3_d212e8410
man	w5_d212e8413
ihnen	w7_d212e8416
die	w9_d212e8419
Widersetzlichkeis	w11_d212e8422
der	w1_d212e8428
Tapas	w3_d212e8431
beymesse,	w5_d212e8434
und	w7_d212e8437
die	w9_d212e8440
Vollstreckung	w11_d212e8443
des	w1_d212e8448
Tractats	w3_d212e8451
nicht	w5_d212e8454
möglich	w7_d212e8457
seye,	w9_d212e8460
wann	w11_d212e8463
die	w13_d212e8467
beyderseitigen	w1_d212e8472
Höfe	w3_d212e8475
keine	w5_d212e8478
andere	w7_d212e8481
Anstalten	w9_d212e8484
machten,	w1_d212e8489
so	w3_d212e8492
entschloß	w5_d212e8495
er	w7_d212e8498
sich	w9_d212e8501
nach	w11_d212e8504
Rio	w13_d212e8508
Gran	w15_d212e8511
de	w1_d212e8517
zurück	w3_d212e8520
zu	w5_d212e8523
gehen,	w7_d212e8526
den	w9_d212e8529
Hof	w11_d212e8532
von	w13_d212e8536
diesen	w15_d212e8539
Um	w17_d212e8542
ständen	w1_d212e8547
zu	w3_d212e8550
benachrichtigen,	w5_d212e8553
und	w7_d212e8556
die	w9_d212e8559
nöhtigen	w11_d212e8562
Befehle	w1_d212e8567
zu	w3_d212e8570
erwarten.	w5_d212e8573
Auf	w7_d212e8576
diese	w9_d212e8579
und	w11_d212e8582
die	w13_d212e8586
Nach	w15_d212e8589
richt,	w1_d212e8594
daß	w3_d212e8597
die	w5_d212e8600
Vertauschung	w7_d212e8603
von	w9_d212e8606
Nuova	w11_d212e8609
Co	w13_d212e8613
lonia	w1_d212e8619
nicht	w3_d212e8622
vor	w5_d212e8625
sich	w7_d212e8628
gehen	w9_d212e8631
könne,	w11_d212e8634
fanden	w13_d212e8638
die	w15_d212e8641
für	w1_d212e8646
selbige	w3_d212e8649
gehörige	w5_d212e8652
Waaren	w7_d212e8655
so	w9_d212e8658
grossen	w11_d212e8661
Ab	w13_d212e8665
gang,	w1_d212e8670
daß	w3_d212e8673
man	w5_d212e8676
denenselben	w7_d212e8679
den	w9_d212e8682
Reichtum	w11_d212e8685
zu	w13_d212e8689
zuschreiben	w1_d212e8694
hat,	w3_d212e8697
den	w5_d212e8700
die	w7_d212e8703
Flotte	w9_d212e8706
von	w11_d212e8709
Rio	w13_d212e8713
die	w15_d212e8716
Janciro	w1_d212e8722
mitgebracht	w3_d212e8725
hat.	w5_d212e8728
Es	w7_d212e8731
bestehet	w9_d212e8734
sel	w11_d212e8737
biger	w1_d212e8742
in	w3_d212e8745
9.	w5_d212e8748
Millionen	w7_d212e8751
an	w9_d212e8754
Gold,	w11_d212e8757
1	w13_d212e8761
Million	w15_d212e8764
an	w1_d212e8769
Silber,	w3_d212e8772
3000.	w5_d212e8775
Kisten	w7_d212e8778
Zucker,	w9_d212e8781
60000.	w11_d212e8784
Hän	w13_d212e8788
</p>
<p id="p10_d212e8801">
ten,	w1_d212e8805
vielem	w3_d212e8808
Holz	w5_d212e8811
und	w7_d212e8814
anderen	w9_d212e8817
Waaren,	w11_d212e8820
nebst	w13_d212e8824
bey	w1_d212e8829
nahe	w3_d212e8832
einer	w5_d212e8835
Million	w7_d212e8838
an	w9_d212e8841
Diamanten.	w11_d212e8844
</p>
<head id="h2_d212e8850">
Regenspurg	w1_d212e8854
30.	w3_d212e8857
Dec.	w5_d212e8860
1757.	w7_d212e8863
</head>
<p id="p4_d212e8866">
Der	w1_d212e8870
Herr	w3_d212e8873
von	w5_d212e8876
Plotho,	w7_d212e8879
hat	w9_d212e8882
in	w11_d212e8885
Ansehung	w13_d212e8889
derer	w1_d212e8894
Schweden,	w3_d212e8897
ein	w5_d212e8900
unterm	w7_d212e8903
24.	w9_d212e8906
des	w11_d212e8909
Ver	w13_d212e8913
wichenen	w1_d212e8918
datirtes	w3_d212e8921
Memorial,	w5_d212e8924
an	w7_d212e8927
die	w9_d212e8930
allge	w11_d212e8933
meine	w1_d212e8939
Versammlung	w3_d212e8942
erlassen,	w5_d212e8945
welches	w7_d212e8948
den	w9_d212e8951
9ten	w1_d212e8956
dieses	w3_d212e8959
auch	w5_d212e8962
durch	w7_d212e8965
Chur=maynz	w9_d212e8968
dictirt	w11_d212e8971
worden.	w1_d212e8976
Etwas	w3_d212e8979
weiter	w5_d212e8982
davon	w7_d212e8985
anzuführen,	w9_d212e8988
verbietet	w1_d212e8993
uns	w3_d212e8996
der	w5_d212e8999
Raum.	w7_d212e9002
Nach	w9_d212e9005
der	w11_d212e9008
von	w13_d212e9012
Chur=maynz	w1_d212e9018
geschehenen	w3_d212e9021
Dictatur,	w5_d212e9024
dictirte	w7_d212e9027
dessen	w1_d212e9032
Secretair	w3_d212e9035
denen	w5_d212e9038
Canzelisten	w7_d212e9041
folgendes	w9_d212e9044
in	w11_d212e9047
die	w1_d212e9052
Feder:	w3_d212e9055
</p>
<p id="p6_d212e9058">
„	w1_d212e9062
Von	w3_d212e9065
Reichs=directoriii	w5_d212e9068
wegen	w7_d212e9071
wolte	w9_d212e9074
man	w11_d212e9077
„,	w1_d212e9082
wegen	w3_d212e9085
des	w5_d212e9088
Jnnhalts,	w7_d212e9091
des	w9_d212e9094
so	w11_d212e9097
eben	w13_d212e9101
dictirten	w15_d212e9104
Chur=brandenburgischen	w1_d212e9109
Gesandtschafts	w3_d212e9112
„,	w1_d212e9118
memorials,	w3_d212e9121
quævis	w5_d212e9124
competentia	w7_d212e9127
reser	w9_d212e9130
„,	w1_d212e9135
viren	w3_d212e9138
und	w5_d212e9141
in	w7_d212e9144
specie	w9_d212e9147
Kayserlicher	w11_d212e9150
Majestät	w13_d212e9154
„	w1_d212e9159
und	w3_d212e9162
dem	w5_d212e9165
Reiche	w7_d212e9168
überlassen,	w9_d212e9171
wie	w11_d212e9174
jenes	w13_d212e9178
,,	w1_d212e9183
was	w3_d212e9186
von	w5_d212e9189
dem	w7_d212e9192
förmlich	w9_d212e9195
zu	w11_d212e9198
Stande	w13_d212e9202
gekom	w15_d212e9205
„	w1_d212e9211
menen	w3_d212e9214
Reichs=schlusse	w5_d212e9217
vom	w7_d212e9220
17.	w9_d212e9223
Januar.	w11_d212e9226
„,	w1_d212e9231
a.	w3_d212e9234
c.	w5_d212e9237
hierbey	w7_d212e9240
gemeldet	w9_d212e9243
worden,	w11_d212e9246
anzusehen	w13_d212e9250
„	w1_d212e9255
seyn	w3_d212e9258
werde.	w5_d212e9261
</p>
<p id="p8_d212e9264">
Bey	w1_d212e9268
dieser	w3_d212e9271
Gelegenheit	w5_d212e9274
ist	w7_d212e9277
noch	w9_d212e9280
zu	w11_d212e9283
geden	w13_d212e9287
ken,	w1_d212e9292
daß	w3_d212e9295
der	w5_d212e9298
Schweden=vor=pommerische	w7_d212e9301
Herr	w1_d212e9306
Gesandte,	w3_d212e9309
die	w5_d212e9312
ob=bemeldete	w7_d212e9315
Dictatur	w9_d212e9318
nicht	w1_d212e9324
beschickt,	w3_d212e9327
auch	w5_d212e9330
das	w7_d212e9333
Churbrandenbur	w9_d212e9336
gische	w1_d212e9341
Pro=memoria,	w3_d212e9344
weil	w5_d212e9347
darinn	w7_d212e9350
ebenfalls	w9_d212e9353
ein	w1_d212e9358
und	w3_d212e9361
anderes	w5_d212e9364
gegen	w7_d212e9367
Schweden	w9_d212e9370
enthalten	w11_d212e9373
ist,	w1_d212e9378
bey	w3_d212e9381
der	w5_d212e9384
Austheilung	w7_d212e9387
nicht	w9_d212e9390
angenommen	w11_d212e9393
hat.	w1_d212e9399
</p>
<head id="h2_d212e9405">
Madrid	w1_d212e9409
17.	w3_d212e9412
December	w5_d212e9415
1757.	w7_d212e9418
</head>
<p id="p4_d212e9421">
Den	w1_d212e9425
4ten	w3_d212e9428
Dieses,	w5_d212e9431
da	w7_d212e9434
der	w9_d212e9437
Königin	w11_d212e9440
Majestät	w13_d212e9444
in	w1_d212e9449
ihr	w3_d212e9452
47tes	w5_d212e9455
Jahr	w7_d212e9458
traten,	w9_d212e9461
war	w11_d212e9464
bey	w13_d212e9468
Hofe	w15_d212e9471
Gala	w17_d212e9474
vom	w1_d212e9479
ersten	w3_d212e9482
Range.	w5_d212e9485
Der	w7_d212e9488
Königl.	w9_d212e9491
Jnfant	w11_d212e9494
Don	w1_d212e9500
Louis	w3_d212e9503
war	w5_d212e9506
zur	w7_d212e9509
Verherrlichung	w9_d212e9512
dieses	w11_d212e9515
Fe	w13_d212e9519
stes	w1_d212e9524
von	w3_d212e9527
St.	w5_d212e9530
Jldefonse	w7_d212e9533
hieher	w9_d212e9536
gekommen;	w11_d212e9539
Abends	w1_d212e9544
ward	w3_d212e9547
eine	w5_d212e9550
prächtige	w7_d212e9553
Jtaliänische	w9_d212e9556
Ope	w11_d212e9559
ra	w1_d212e9564
aufgeführet.	w3_d212e9567
Seit	w5_d212e9570
einiger	w7_d212e9573
Zeit	w9_d212e9576
wird	w11_d212e9579
denen	w13_d212e9583
Französischen,	w1_d212e9589
und	w3_d212e9592
Portugesischen	w5_d212e9595
Abgesand	w7_d212e9598
ten	w1_d212e9603
bey	w3_d212e9606
Hofe	w5_d212e9609
mit	w7_d212e9612
vieler	w9_d212e9615
Vorzüglichkeit	w11_d212e9618
begeg	w13_d212e9622
net,	w1_d212e9627
und	w3_d212e9630
sie	w5_d212e9633
werden	w7_d212e9636
zu	w9_d212e9639
allen	w11_d212e9642
Vergnügungen	w13_d212e9646
des	w1_d212e9651
Monarchen	w3_d212e9654
gezogen.	w5_d212e9657
Die	w7_d212e9660
Matrosen,	w9_d212e9663
welche	w1_d212e9669
zum	w3_d212e9672
Dienst	w5_d212e9675
der	w7_d212e9678
Spanischen	w9_d212e9681
Flotte	w11_d212e9684
im	w13_d212e9688
ganzen	w1_d212e9693
Königreiche	w3_d212e9696
aufgeschrieben	w5_d212e9699
seynd,	w7_d212e9702
dör	w9_d212e9705
fen	w1_d212e9710
sich	w3_d212e9713
nicht	w5_d212e9716
entfernen,	w7_d212e9719
indem	w9_d212e9722
sie	w11_d212e9725
künftigen	w13_d212e9729
15ten	w1_d212e9734
März	w3_d212e9737
sich	w5_d212e9740
am	w7_d212e9743
Boord	w9_d212e9746
der	w11_d212e9749
Kriegs=schiffe	w13_d212e9753
begeben	w1_d212e9759
sollen.	w3_d212e9762
Gegen	w5_d212e9765
diese	w7_d212e9768
Zeit	w9_d212e9771
werden	w11_d212e9774
sie	w13_d212e9778
alle	w1_d212e9783
mit	w3_d212e9786
neuen	w5_d212e9789
Matrosen=kleidern	w7_d212e9792
versehen	w9_d212e9795
seyn.	w1_d212e9800
Man	w3_d212e9803
will	w5_d212e9806
versichern,	w7_d212e9809
daß,	w9_d212e9812
nach	w11_d212e9815
vorher	w13_d212e9819
</p>
<p id="p6_d212e9822">
gegangener	w1_d212e9826
Erlaubnuß	w3_d212e9829
des	w5_d212e9832
Aller=christlichsten	w7_d212e9835
Königs,	w1_d212e9840
unser	w3_d212e9843
Hof	w5_d212e9846
nach	w7_d212e9849
verschiedenen	w9_d212e9852
Fran	w11_d212e9855
zösischen	w1_d212e9860
Häfen,	w3_d212e9863
und	w5_d212e9866
befonders	w7_d212e9869
nach	w9_d212e9872
Toulon,	w11_d212e9875
und	w1_d212e9881
Marseille,	w3_d212e9884
Commißion	w5_d212e9887
geschickt,	w7_d212e9890
für	w9_d212e9893
40.	w11_d212e9896
bis	w1_d212e9901
50.	w3_d212e9904
tausend	w5_d212e9907
Matrosen	w7_d212e9910
auf	w9_d212e9913
6.	w11_d212e9916
Monate	w13_d212e9920
Zwiback	w1_d212e9925
zu	w3_d212e9928
verfertigen.	w5_d212e9931
Die	w7_d212e9934
Ober=aufseher	w9_d212e9937
der	w1_d212e9942
Königl.	w3_d212e9945
Flotte	w5_d212e9948
haben	w7_d212e9951
die	w9_d212e9954
Anzahl	w11_d212e9957
derer	w13_d212e9961
Ar	w15_d212e9964
beiter	w1_d212e9970
auf	w3_d212e9973
denen	w5_d212e9976
Schifs=zimmer=werften	w7_d212e9979
stark	w9_d212e9982
vermehret,	w1_d212e9987
und	w3_d212e9990
zu	w5_d212e9993
Ferrol,	w7_d212e9996
wo	w9_d212e9999
man	w11_d212e10002
Tag	w13_d212e10006
und	w15_d212e10009
Nacht	w1_d212e10014
an	w3_d212e10017
drey	w5_d212e10020
Kriegs=schiffen	w7_d212e10023
von	w9_d212e10026
70.	w11_d212e10029
Cano	w13_d212e10033
nen,	w1_d212e10038
und	w3_d212e10041
an	w5_d212e10044
5.	w7_d212e10047
neuen	w9_d212e10050
Fregatten	w11_d212e10053
arbeitet,	w13_d212e10057
hat	w15_d212e10060
man	w1_d212e10066
die	w3_d212e10069
Schifs=zimmer=leute	w5_d212e10072
mit	w7_d212e10075
1400.	w9_d212e10078
Mann	w1_d212e10083
vergrössert;	w3_d212e10086
kurz:	w5_d212e10089
alles	w7_d212e10092
zeiget	w9_d212e10095
an,	w11_d212e10098
daß	w13_d212e10102
die	w1_d212e10107
Spanische	w3_d212e10110
See=macht	w5_d212e10113
künftiges	w7_d212e10116
Jahr	w9_d212e10119
auf	w11_d212e10122
einem	w1_d212e10127
Fuß	w3_d212e10130
seyn	w5_d212e10133
wird,	w7_d212e10136
darauf	w9_d212e10139
sie	w11_d212e10142
noch	w13_d212e10146
niemals	w15_d212e10149
gewesen.	w1_d212e10155
</p>
<head id="h2_d212e10161">
Stockholm	w1_d212e10165
26.	w3_d212e10168
December.	w5_d212e10171
</head>
<p id="p4_d212e10174">
Der	w1_d212e10178
Herr	w3_d212e10181
Graf	w5_d212e10184
Panin,	w7_d212e10187
Minister	w9_d212e10190
von	w11_d212e10193
Rußland,	w1_d212e10198
hat	w3_d212e10201
die	w5_d212e10204
Nachricht	w7_d212e10207
erhalten,	w9_d212e10210
daß	w11_d212e10213
den	w1_d212e10218
25den	w3_d212e10221
verwichenen	w5_d212e10224
Monats,	w7_d212e10227
Jhre	w9_d212e10230
Rußische	w1_d212e10236
Majestät	w3_d212e10239
die	w5_d212e10242
mit	w7_d212e10245
unserm,	w9_d212e10248
dem	w11_d212e10251
Kai	w13_d212e10255
serl.	w1_d212e10260
Königl.	w3_d212e10263
und	w5_d212e10266
Französischen	w7_d212e10269
Hof	w9_d212e10272
getroffe	w11_d212e10275
ne	w1_d212e10280
Verbindungen,	w3_d212e10283
welche	w5_d212e10286
die	w7_d212e10289
Vertheidigungen	w9_d212e10292
der	w1_d212e10297
Reichs=gesatze,	w3_d212e10300
und	w5_d212e10303
Wieder=herstellung	w7_d212e10306
der	w1_d212e10312
Ruhe	w3_d212e10315
in	w5_d212e10318
Teutschland,	w7_d212e10321
zur	w9_d212e10324
Absicht	w11_d212e10327
haben,	w13_d212e10331
durch	w1_d212e10336
eine	w3_d212e10339
neue	w5_d212e10342
Acte	w7_d212e10345
bestättiget	w9_d212e10348
haben.	w11_d212e10351
Der	w13_d212e10355
König	w1_d212e10360
hat	w3_d212e10363
an	w5_d212e10366
alle	w7_d212e10369
seine	w9_d212e10372
bey	w11_d212e10375
denen	w13_d212e10379
Handlung	w15_d212e10382
treibenden	w1_d212e10387
Völkern	w3_d212e10390
residirende	w5_d212e10393
Minister,	w7_d212e10396
ein	w9_d212e10399
Rescript	w1_d212e10405
ergehen	w3_d212e10408
lassen,	w5_d212e10411
um	w7_d212e10414
diese	w9_d212e10417
Mächte	w11_d212e10420
von	w13_d212e10424
der	w1_d212e10429
Aufmersamkeit	w3_d212e10432
Sr.	w5_d212e10435
Majestät	w7_d212e10438
für	w9_d212e10441
die	w11_d212e10444
Handlung	w1_d212e10449
ihrer	w3_d212e10452
Unterthanen	w5_d212e10455
an	w7_d212e10458
die	w9_d212e10461
von	w11_d212e10464
Dero	w1_d212e10469
Trupen	w3_d212e10472
besetzte	w5_d212e10475
Orte,	w7_d212e10478
und	w9_d212e10481
Gegenden	w11_d212e10484
zu	w13_d212e10488
versichern	w1_d212e10494
und	w3_d212e10497
zu	w5_d212e10500
überzeugen.	w7_d212e10503
</p>
<head id="h2_d212e10510">
Amsterdam	w1_d212e10514
5.	w3_d212e10517
Jan.	w5_d212e10520
</head>
<p id="p4_d212e10523">
Mit	w1_d212e10527
dem	w3_d212e10530
von	w5_d212e10533
Batavia	w7_d212e10536
angelangten	w9_d212e10539
Schif,	w11_d212e10542
der	w1_d212e10547
Spaanderwand,	w3_d212e10550
haben	w5_d212e10553
wir	w7_d212e10556
die	w9_d212e10559
Nachricht	w11_d212e10562
erhalten,	w1_d212e10567
daß	w3_d212e10570
durch	w5_d212e10573
die	w7_d212e10576
weise	w9_d212e10579
Anstalten	w11_d212e10582
des	w13_d212e10586
Herrn	w1_d212e10592
Nicolaus	w3_d212e10595
von	w5_d212e10598
Harting,	w7_d212e10601
Gouverneur	w9_d212e10604
der	w1_d212e10609
Nördlichen	w3_d212e10612
Küste	w5_d212e10615
von	w7_d212e10618
Java,	w9_d212e10621
man	w11_d212e10624
den	w13_d212e10628
24ten	w1_d212e10633
Februarii	w3_d212e10636
1757.	w5_d212e10639
dahin	w7_d212e10642
gelanget	w9_d212e10645
seye,	w11_d212e10648
einen	w1_d212e10653
Frieden	w3_d212e10656
zu	w5_d212e10659
schliessen,	w7_d212e10662
wodurch	w9_d212e10665
die	w11_d212e10668
Ruhe	w13_d212e10672
auf	w1_d212e10678
selbiger	w3_d212e10681
ganzer	w5_d212e10684
Jnsul	w7_d212e10687
seye	w9_d212e10690
hergestellet,	w11_d212e10693
und	w13_d212e10697
versichert	w1_d212e10702
worden	w3_d212e10705
Man	w5_d212e10708
hat	w7_d212e10711
alda	w9_d212e10714
seit	w11_d212e10717
15.	w1_d212e10722
bis	w3_d212e10725
16	w5_d212e10728
Jahren	w7_d212e10731
mit	w9_d212e10734
Jndianischen	w11_d212e10737
Natio	w13_d212e10741
nen,	w1_d212e10746
so	w3_d212e10749
revoltiret	w5_d212e10752
haben,	w7_d212e10755
Krieg	w9_d212e10758
gehabt,	w11_d212e10761
wel	w13_d212e10765
cher	w1_d212e10771
unserer	w3_d212e10774
Jndianischen	w5_d212e10777
Compagnie	w7_d212e10780
unermäß	w9_d212e10783
liche	w1_d212e10788
Summen	w3_d212e10791
Geld	w5_d212e10794
gekostet,	w7_d212e10797
Gleich	w9_d212e10800
