<doc id="wr_1760-09-17" attrs="word" year="1760" month="09" day="17" corpus="2">
<head id="h2_d485e2492">
Neu=york	w1_d485e2496
Hydrostatica,	w5_d485e6163
Acrometria	w7_d485e6166
Hydraulica,	w1_d485e6171
Optica,	w3_d485e6174
Catoptrica,	w5_d485e6177
Dioptrica,	w7_d485e6180
mit	w1_d485e6185
so	w3_d485e6188
ausnehmender	w5_d485e6191
Geschicklichkeit	w7_d485e6194
und	w9_d485e6197
ganz	w1_d485e6202
besondern	w3_d485e6205
Fertigkeit	w5_d485e6208
fine	w7_d485e6211
Præside	w9_d485e6214
defen	w11_d485e6217
diret;	w1_d485e6223
daß	w3_d485e6226
nicht	w5_d485e6229
nur	w7_d485e6232
allein	w9_d485e6235
Höchst=bemeldt	w11_d485e6238
Se.	w1_d485e6243
Hoch=fürstl.	w3_d485e6246
Gnaden	w5_d485e6249
rc.	w7_d485e6252
rc.	w9_d485e6255
wegen	w11_d485e6258
vollkommener	w1_d485e6263
Apprabation	w3_d485e6266
und	w5_d485e6269
Applausu	w7_d485e6272
der	w1_d485e6277
wolgedacht	w3_d485e6280
Hoch=löbl.	w5_d485e6283
Universität	w7_d485e6286
in	w9_d485e6289
ein	w1_d485e6295
ganz	w3_d485e6298
ungemein,	w5_d485e6301
und	w7_d485e6304
entzückendes	w9_d485e6307
Ver	w11_d485e6310
gnügen,	w1_d485e6315
sondern	w3_d485e6318
auch	w5_d485e6321
alle	w7_d485e6324
hoch	w9_d485e6327
und	w11_d485e6330
niedere	w13_d485e6334
Anwesende	w1_d485e6339
durch	w3_d485e6342
die	w5_d485e6345
allenthalben	w7_d485e6348
bindigsten	w9_d485e6351
Beantwortungen	w1_d485e6356
des	w3_d485e6359
hachgedachten	w5_d485e6362
jungen	w7_d485e6365
Herrn	w1_d485e6371
Reichs=grafen	w3_d485e6374
in	w5_d485e6377
gröste	w7_d485e6380
Verwunde	w9_d485e6383
rung	w1_d485e6388
gesetzet	w3_d485e6391
worden.	w5_d485e6394
</p>
<head id="h2_d485e6400">
Parma	w1_d485e6404
8.	w3_d485e6407
Sept.	w5_d485e6410
</head>
<p id="p4_d485e6413">
Nachdeme	w1_d485e6417
von	w3_d485e6420
dem	w5_d485e6423
Kaiserl.	w7_d485e6426
Hof	w9_d485e6429
dem	w11_d485e6432
Für	w13_d485e6436
sten	w1_d485e6441
von	w3_d485e6444
Liechtenstein	w5_d485e6447
die	w7_d485e6450
drey	w9_d485e6453
so	w11_d485e6456
ansehnliche	w13_d485e6460
Aufträge	w1_d485e6465
geschehen:	w3_d485e6468
</p>
<p id="p6_d485e6471">
Erstens	w1_d485e6475
Jhre	w3_d485e6478
Königl.	w5_d485e6481
Hoheit	w7_d485e6484
die	w9_d485e6487
Jnfan	w11_d485e6490
tin	w1_d485e6495
Jsabella	w3_d485e6498
als	w5_d485e6501
eine	w7_d485e6504
Braut	w9_d485e6507
für	w11_d485e6510
Se.	w13_d485e6514
Königl.	w15_d485e6517
Hoheit	w1_d485e6522
den	w3_d485e6525
Erz=herzog	w5_d485e6528
Joseph	w7_d485e6531
anzubegehren	w9_d485e6534
</p>
<p id="p8_d485e6537">
Andertens	w1_d485e6541
Höchst=dieselbe	w3_d485e6544
nach	w5_d485e6547
erlang	w7_d485e6550
ter	w1_d485e6555
Päpstl,	w3_d485e6558
Dispens	w5_d485e6561
wegen	w7_d485e6564
der	w9_d485e6567
Befreund	w11_d485e6570
schaft	w1_d485e6575
im	w3_d485e6578
vierten	w5_d485e6581
Grad	w7_d485e6584
im	w9_d485e6587
Namen	w11_d485e6590
Sr.	w13_d485e6594
Kö	w15_d485e6597
nigl.	w1_d485e6603
Hoheit	w3_d485e6606
des	w5_d485e6609
Erz=herzogens	w7_d485e6612
tam	w9_d485e6615
ritui	w11_d485e6618
der	w1_d485e6623
Catholischen	w3_d485e6626
Kirchen	w5_d485e6629
gemäß	w7_d485e6632
zu	w9_d485e6635
dispen	w11_d485e6638
siren,	w1_d485e6643
nach	w3_d485e6646
der	w5_d485e6649
Hand	w7_d485e6652
aber	w9_d485e6655
</p>
<p id="p10_d485e6658">
Drittens	w1_d485e6662
Jhre	w3_d485e6665
Königl.	w5_d485e6668
Hoheit	w7_d485e6671
die	w9_d485e6674
Jn	w11_d485e6677
fantin	w1_d485e6682
zu	w3_d485e6685
Castel=maggiore	w5_d485e6688
als	w7_d485e6691
bevollmäch	w9_d485e6694
tigter	w1_d485e6699
Commissarius	w3_d485e6702
zu	w5_d485e6705
übernehmen,	w7_d485e6708
und	w9_d485e6711
sie	w1_d485e6717
bis	w3_d485e6720
nach	w5_d485e6723
der	w7_d485e6726
Kaiserl.	w9_d485e6729
Hof=stadt	w11_d485e6732
zu	w13_d485e6736
be	w15_d485e6739
gleiten.	w1_d485e6744
So	w3_d485e6747
seynd	w5_d485e6750
Se.	w7_d485e6753
Gnaden	w9_d485e6756
der	w11_d485e6759
Fürst	w13_d485e6763
den	w1_d485e6768
2.	w3_d485e6771
Sept	w5_d485e6774
zu	w7_d485e6777
Parma	w9_d485e6780
incognito	w11_d485e6783
angelan	w13_d485e6787
get,	w1_d485e6792
und	w3_d485e6795
in	w5_d485e6798
dem	w7_d485e6801
eigends	w9_d485e6804
darzu	w11_d485e6807
bereiteten	w13_d485e6811
Pallast	w1_d485e6817
des	w3_d485e6820
Marchise	w5_d485e6823
Pallavicini	w7_d485e6826
abgestie	w9_d485e6829
gen;	w1_d485e6834
bald	w3_d485e6837
darauf	w5_d485e6840
aber	w7_d485e6843
einen	w9_d485e6846
deren	w11_d485e6849
Edel	w13_d485e6853
leuten	w1_d485e6858
seines	w3_d485e6861
Gefolgs	w5_d485e6864
an	w7_d485e6867
den	w9_d485e6870
Staatssecre	w11_d485e6873
tair	w1_d485e6878
Mr.	w3_d485e6881
du	w5_d485e6884
Fillott	w7_d485e6887
abgeschicket,	w9_d485e6890
um	w11_d485e6893
ihme	w13_d485e6897
seine	w1_d485e6903
Ankunft	w3_d485e6906
anzukünden;	w5_d485e6909
dieser	w7_d485e6912
hat	w9_d485e6915
sich	w11_d485e6918
</p>
<p id="p14_d485e6924">
zu	w1_d485e6928
dem	w3_d485e6931
Fürsten	w5_d485e6934
verfüget,	w7_d485e6937
um	w9_d485e6940
sich	w11_d485e6943
über	w13_d485e6947
sei	w15_d485e6950
abgeschickte	w17_d485e6953
Marchise	w19_d485e6956
Roma	w21_d485e6959
Pallavicini,	w23_d485e6962
der	w25_d485e6966
ne	w1_d485e6971
Ankunft	w3_d485e6974
zu	w5_d485e6977
erfreuen,	w7_d485e6980
auch	w9_d485e6983
über	w11_d485e6986
sich	w13_d485e6990
ge	w15_d485e6993
nommen,	w1_d485e6998
ihn	w3_d485e7001
bey	w5_d485e7004
Sr.	w7_d485e7007
Königl.	w9_d485e7010
Hoheit	w11_d485e7013
dem	w13_d485e7017
Jnfanten	w1_d485e7023
zur	w3_d485e7026
Audienz	w5_d485e7029
anzumelden,	w7_d485e7032
welche	w9_d485e7035
auch	w1_d485e7040
bald	w3_d485e7043
darauf	w5_d485e7046
erfolget	w7_d485e7049
ist,	w9_d485e7052
und	w11_d485e7055
darbey	w13_d485e7059
ein	w15_d485e7062
besonders	w1_d485e7067
Ceremoniel	w3_d485e7070
beobachtet	w5_d485e7073
worden.	w7_d485e7076
</p>
<p id="p16_d485e7079">
Dahingegen	w1_d485e7083
ist	w3_d485e7086
den	w5_d485e7089
3.	w7_d485e7092
die	w9_d485e7095
offentliche	w11_d485e7098
Au	w13_d485e7102
dienz	w1_d485e7107
des	w3_d485e7110
Fürstens	w5_d485e7113
zur	w7_d485e7116
Anwerbung	w9_d485e7119
der	w11_d485e7122
Durchl.	w13_d485e7126
Braut	w1_d485e7131
mit	w3_d485e7134
dem	w5_d485e7137
grösten	w7_d485e7140
Pracht	w9_d485e7143
und	w11_d485e7146
Ansehen	w13_d485e7150
von	w1_d485e7156
Seiten	w3_d485e7159
Sr.	w5_d485e7162
Fürstl.	w7_d485e7165
Gnaden	w9_d485e7168
vollzogen	w11_d485e7171
worden,	w1_d485e7176
gleichwie	w3_d485e7179
anderer	w5_d485e7182
Seits	w7_d485e7185
hiesigen	w9_d485e7188
Ho	w11_d485e7191
fes	w1_d485e7196
an	w3_d485e7199
nichts	w5_d485e7202
hat	w7_d485e7205
erwinden	w9_d485e7208
lassen,	w11_d485e7211
um	w13_d485e7215
diese	w15_d485e7218
solemne	w1_d485e7223
Function	w3_d485e7226
zu	w5_d485e7229
beehren,	w7_d485e7232
wie	w9_d485e7235
dann	w11_d485e7238
die	w13_d485e7242
Wachten	w1_d485e7248
das	w3_d485e7251
Spiel	w5_d485e7254
gerühret,	w7_d485e7257
das	w9_d485e7260
Gewehr	w11_d485e7263
präscutiret,	w1_d485e7268
und	w3_d485e7271
während	w5_d485e7274
der	w7_d485e7277
Audienz	w9_d485e7280
40.	w11_d485e7283
Canon=schüsse	w1_d485e7288
von	w3_d485e7291
der	w5_d485e7294
Festung	w7_d485e7297
geschehen.	w9_d485e7300
</p>
<p id="p18_d485e7303">
Zu	w1_d485e7307
Empfang	w3_d485e7310
des	w5_d485e7313
Fürstens	w7_d485e7316
hat	w9_d485e7319
der	w11_d485e7322
Hof,	w13_d485e7326
nebst	w1_d485e7331
dem	w3_d485e7334
Jntroducteur	w5_d485e7337
der	w7_d485e7340
Ambassadeurs	w9_d485e7343
den	w1_d485e7348
Marchisen	w3_d485e7351
Roma	w5_d485e7354
Pallavicini,	w7_d485e7357
mit	w9_d485e7360
etli	w11_d485e7363
chen	w1_d485e7369
mit	w3_d485e7372
8.	w5_d485e7375
Pferden	w7_d485e7378
bespannten	w9_d485e7381
Hofwä	w11_d485e7384
gen	w1_d485e7389
abgeschicket.	w3_d485e7392
Die	w5_d485e7395
Auffahrt	w7_d485e7398
hat	w9_d485e7401
besag	w11_d485e7404
ter	w1_d485e7409
Jntroducteur	w3_d485e7412
mit	w5_d485e7415
einem	w7_d485e7418
Hof=wagen	w9_d485e7421
er	w11_d485e7424
öfnet,	w1_d485e7429
worauf	w3_d485e7432
des	w5_d485e7435
Fürstens	w7_d485e7438
von	w9_d485e7441
Liechten	w11_d485e7444
stein	w1_d485e7450
Livree	w3_d485e7453
gefolget,	w5_d485e7456
als:	w7_d485e7459
Zwey	w9_d485e7462
Thor	w11_d485e7465
steher	w1_d485e7470
zu	w3_d485e7473
Pferd,	w5_d485e7476
6.	w7_d485e7479
Lauffer,	w9_d485e7482
24.	w11_d485e7485
Livree	w13_d485e7489
bediente,	w1_d485e7494
2.	w3_d485e7497
Büchsen=spanner,	w5_d485e7500
und	w7_d485e7503
6.	w9_d485e7506
Heyducken.	w1_d485e7511
Die	w3_d485e7514
Livree	w5_d485e7517
ware	w7_d485e7520
sehr	w9_d485e7523
prächtig	w11_d485e7526
von	w1_d485e7532
dem	w3_d485e7535
schönsten	w5_d485e7538
roten	w7_d485e7541
Scharlach,	w9_d485e7544
mit	w11_d485e7547
durchbrochenen	w1_d485e7552
goldenen	w3_d485e7555
Borten	w5_d485e7558
und	w7_d485e7561
etwas	w9_d485e7564
blauen	w1_d485e7569
Sammet	w3_d485e7572
fast	w5_d485e7575
gänzlich	w7_d485e7578
bedecket,	w9_d485e7581
gleich	w11_d485e7584
wie	w1_d485e7589
die	w3_d485e7592
blauen	w5_d485e7595
Vesten	w7_d485e7598
eben	w9_d485e7601
mit	w11_d485e7604
Gold	w13_d485e7608
darauf	w15_d485e7611
galoniret	w1_d485e7617
waren.	w3_d485e7620
</p>
<p id="p20_d485e7623">
Der	w1_d485e7627
Lwvree	w3_d485e7630
folgte	w5_d485e7633
der	w7_d485e7636
Fürstl.	w9_d485e7639
Stall=mei	w11_d485e7642
ster	w1_d485e7647
mit	w3_d485e7650
12.	w5_d485e7653
Hand=pferden,	w7_d485e7656
welche	w9_d485e7659
den	w11_d485e7662
Zug	w1_d485e7667
ungemein	w3_d485e7670
gezieret	w5_d485e7673
haben,	w7_d485e7676
weilen	w9_d485e7679
nichts	w11_d485e7682
so	w1_d485e7688
schönes	w3_d485e7691
als	w5_d485e7694
der	w7_d485e7697
Pferd=aufputz	w9_d485e7700
und	w11_d485e7703
Hand	w13_d485e7707
decken	w1_d485e7712
zu	w3_d485e7715
sehen	w5_d485e7718
ware.	w7_d485e7721
</p>
<p id="p22_d485e7724">
Der	w1_d485e7728
Obrist=wachtmeester	w3_d485e7731
Tomaggoli,	w5_d485e7734
folgte	w1_d485e7739
gleich	w3_d485e7742
darauf	w5_d485e7745
zu	w7_d485e7748
Pferd	w9_d485e7751
mit	w11_d485e7754
8.	w13_d485e7758
reich	w15_d485e7761
ge	w17_d485e7764
kleideten	w1_d485e7769
Edel=knaben	w3_d485e7772
</p>
<p id="p24_d485e7776">
Alsdann	w1_d485e7780
kame	w3_d485e7783
zum	w5_d485e7786
Vorschein	w7_d485e7789
der	w9_d485e7792
Hofwa	w11_d485e7795
gen,	w1_d485e7800
in	w3_d485e7803
welchem	w5_d485e7806
Se.	w7_d485e7809
Fürstl.	w9_d485e7812
Gnaden	w11_d485e7815
allein	w13_d485e7819
oben	w1_d485e7824
angesessen,	w3_d485e7827
und	w5_d485e7830
gegen	w7_d485e7833
über	w9_d485e7836
der	w11_d485e7839
von	w13_d485e7843
Hof	w15_d485e7846
</p>
<p id="p26_d485e7849">
Wagen	w1_d485e7853
haben	w3_d485e7856
12.	w5_d485e7859
Bediente	w7_d485e7862
von	w9_d485e7865
Hof	w11_d485e7868
unge	w13_d485e7872
ben.	w1_d485e7877
</p>
<p id="p28_d485e7880">
Des	w1_d485e7884
Fürsten	w3_d485e7887
prächtige	w5_d485e7890
und	w7_d485e7893
grosse	w9_d485e7896
Wägen	w11_d485e7899
folgten	w1_d485e7904
leer	w3_d485e7907
gleich	w5_d485e7910
darauf;	w7_d485e7913
die	w9_d485e7916
Schönheit	w11_d485e7919
der	w13_d485e7923
8.	w1_d485e7928
Pferden,	w3_d485e7931
die	w5_d485e7934
prächtige	w7_d485e7937
Geschirr,	w9_d485e7940
und	w11_d485e7943
über	w13_d485e7947
haupt	w1_d485e7953
alles	w3_d485e7956
stimmt	w5_d485e7959
über	w7_d485e7962
eins,	w9_d485e7965
so,	w11_d485e7968
daß	w13_d485e7972
man	w15_d485e7975
nicht	w1_d485e7980
aussprechen	w3_d485e7983
kunte,	w5_d485e7986
welches	w7_d485e7989
den	w9_d485e7992
Vor	w11_d485e7995
zug	w1_d485e8000
verdiente.	w3_d485e8003
</p>
<p id="p30_d485e8006">
Drey	w1_d485e8010
andere	w3_d485e8013
Hof=wägen	w5_d485e8016
waren	w7_d485e8019
mit	w9_d485e8022
8.	w11_d485e8025
von	w1_d485e8030
Wien	w3_d485e8033
mitgekommenen	w5_d485e8036
Kaiserl.	w7_d485e8039
Cammer	w9_d485e8042
herren,	w1_d485e8047
und	w3_d485e8050
dem	w5_d485e8053
Legations=secretario	w7_d485e8056
bese	w9_d485e8059
tzet,	w1_d485e8065
und	w3_d485e8068
hierauf	w5_d485e8071
folgten	w7_d485e8074
noch	w9_d485e8077
3.	w11_d485e8080
Fürstl.	w13_d485e8084
Pa	w15_d485e8087
rade=wägen,	w1_d485e8092
2.	w3_d485e8095
mit	w5_d485e8098
8.,	w7_d485e8101
und	w9_d485e8104
einer	w11_d485e8107
mit	w13_d485e8111
6	w15_d485e8114
Pferden	w1_d485e8119
bespannet,	w3_d485e8122
in	w5_d485e8125
welchem	w7_d485e8128
die	w9_d485e8131
Edel=leu	w11_d485e8134
gesessen,	w1_d485e8139
die	w3_d485e8142
den	w5_d485e8145
Fürsten	w7_d485e8148
von	w9_d485e8151
Wien	w11_d485e8154
aus	w13_d485e8158
an	w15_d485e8161
hero	w1_d485e8167
begleitet	w3_d485e8170
haben.	w5_d485e8173
</p>
<p id="p32_d485e8176">
Nebst	w1_d485e8180
denen	w3_d485e8183
schon	w5_d485e8186
vorhero	w7_d485e8189
erwehnten	w9_d485e8192
Livree=bedienten	w1_d485e8197
waren	w3_d485e8200
noch	w5_d485e8203
zwey	w7_d485e8206
neben	w9_d485e8209
je	w11_d485e8212
dem	w1_d485e8217
Fürstl.	w3_d485e8220
Wagen	w5_d485e8223
zu	w7_d485e8226
sehen.	w9_d485e8229
Die	w11_d485e8232
Gassen	w13_d485e8236
waren	w1_d485e8242
auf	w3_d485e8245
beeden	w5_d485e8248
Seiten	w7_d485e8251
mit	w9_d485e8254
Trupen	w11_d485e8257
besetzel.	w13_d485e8261
Das	w1_d485e8266
Gedräng	w3_d485e8269
deren	w5_d485e8272
Zusehern,	w7_d485e8275
als	w9_d485e8278
der	w11_d485e8281
Für	w13_d485e8285
bey	w1_d485e8290
Hof	w3_d485e8293
abgestiegen,	w5_d485e8296
ware	w7_d485e8299
ungemein,	w9_d485e8302
die	w11_d485e8305
Halle=bardieres	w1_d485e8310
besetzten	w3_d485e8313
die	w5_d485e8316
Stiegen,	w7_d485e8319
und	w9_d485e8322
zu	w1_d485e8328
Anfang	w3_d485e8331
derselben	w5_d485e8334
fande	w7_d485e8337
sich	w9_d485e8340
der	w11_d485e8343
Oberce	w13_d485e8347
temonien=meister	w1_d485e8352
ein,	w3_d485e8355
und	w5_d485e8358
in	w7_d485e8361
dem	w9_d485e8364
Saalder	w11_d485e8367
Guardi=hauptmann,	w1_d485e8372
und	w3_d485e8375
nachdeme	w5_d485e8378
in	w7_d485e8381
der	w9_d485e8384
Audienz	w1_d485e8389
der	w3_d485e8392
Fürst	w5_d485e8395
das	w7_d485e8398
Begehren	w9_d485e8401
in	w11_d485e8404
einer	w13_d485e8408
zierlichen	w1_d485e8414
Anrede	w3_d485e8417
angebracht,	w5_d485e8420
wurde	w7_d485e8423
soche	w9_d485e8426
von	w1_d485e8431
Seiner	w3_d485e8434
Königl.	w5_d485e8437
Hoheit	w7_d485e8440
dem	w9_d485e8443
Jnfanten	w11_d485e8446
auf	w1_d485e8451
das	w3_d485e8454
freundlichste	w5_d485e8457
beantwortet,	w7_d485e8460
und	w9_d485e8463
bald	w11_d485e8466
hernach	w1_d485e8471
ist	w3_d485e8474
die	w5_d485e8477
Jnfantin	w7_d485e8480
zum	w9_d485e8483
Vorschein	w11_d485e8486
ge	w13_d485e8490
kommen,	w1_d485e8496
und	w3_d485e8499
hat	w5_d485e8502
mit	w7_d485e8505
Bewilligung	w9_d485e8508
Jhres	w11_d485e8511
Herrn	w1_d485e8516
Vatters	w3_d485e8519
aus	w5_d485e8522
Händen	w7_d485e8525
des	w9_d485e8528
Fürstene	w11_d485e8531
das	w13_d485e8535
mit	w1_d485e8540
sehr	w3_d485e8543
kostbaren	w5_d485e8546
Diamanten	w7_d485e8549
besetzte	w9_d485e8552
Por	w11_d485e8555
trait	w1_d485e8560
Seiner	w3_d485e8563
Königl.	w5_d485e8566
Hoheit	w7_d485e8569
des	w9_d485e8572
Erz=herzogs	w11_d485e8575
samt	w1_d485e8581
einem	w3_d485e8584
Schreiben	w5_d485e8587
Sr.	w7_d485e8590
Königl.	w9_d485e8593
Hohen	w11_d485e8596
übernommen,	w1_d485e8601
und	w3_d485e8604
das	w5_d485e8607
Portrait	w7_d485e8610
an	w9_d485e8613
Dero	w11_d485e8616
Brust	w1_d485e8621
stuck	w3_d485e8624
angehangen.	w5_d485e8627
</p>
<p id="p34_d485e8630">
Nach	w1_d485e8634
dieser	w3_d485e8637
Audienz	w5_d485e8640
hat	w7_d485e8643
der	w9_d485e8646
Fürst	w11_d485e8649
auf	w13_d485e8653
gleiche	w1_d485e8658
Weis	w3_d485e8661
sich	w5_d485e8664
zu	w7_d485e8667
denen	w9_d485e8670
Audienzen	w11_d485e8673
des	w13_d485e8677
Reingene	w1_d485e8682
Ferdanend	w3_d485e8685
und	w5_d485e8688
Heenge	w7_d485e8691
en	w9_d485e8694
Gcht	w11_d485e8697
6	w13_d485e8701
.	w1_d485e8707
</p>
<p id="p38_d485e8713">
füget,	w1_d485e8717
nach	w3_d485e8720
welchen	w5_d485e8723
der	w7_d485e8726
Abzug	w9_d485e8729
auf	w11_d485e8732
gleiche	w13_d485e8736
Weis,	w1_d485e8741
wie	w3_d485e8744
die	w5_d485e8747
Auffart	w7_d485e8750
von	w9_d485e8753
dem	w11_d485e8756
ganzen	w13_d485e8760
Fürstl.	w15_d485e8763
Gefolg	w1_d485e8768
geschehen,	w3_d485e8771
der	w5_d485e8774
Fürst	w7_d485e8777
aber	w9_d485e8780
bliebe	w11_d485e8783
bey	w13_d485e8787
Hof	w1_d485e8793
mit	w3_d485e8796
einigen	w5_d485e8799
wenigen	w7_d485e8802
Personen	w9_d485e8805
zu	w11_d485e8808
seiner	w13_d485e8812
Bedienung,	w1_d485e8817
weilen	w3_d485e8820
ihm	w5_d485e8823
ein	w7_d485e8826
zierlich	w9_d485e8829
ausge	w11_d485e8832
ziertes	w1_d485e8837
Apartement	w3_d485e8840
aldaselbst	w5_d485e8843
angewiesen	w7_d485e8846
worden.	w1_d485e8851
</p>
<p id="p40_d485e8854">
Diesen	w1_d485e8858
eigenen	w3_d485e8861
Abend	w5_d485e8864
wurde	w7_d485e8867
die	w9_d485e8870
prächtige	w11_d485e8873
Opera	w1_d485e8878
auf	w3_d485e8881
hiesigem	w5_d485e8884
so	w7_d485e8887
berühmten	w9_d485e8890
Theatro	w11_d485e8893
aufgeführet,	w1_d485e8898
nach	w3_d485e8901
welcher	w5_d485e8904
nach	w7_d485e8907
Mitter=nacht	w9_d485e8910
der	w1_d485e8916
Fürst	w3_d485e8919
v.	w5_d485e8922
Lichtenstein	w7_d485e8925
einen	w9_d485e8928
herrlichen	w11_d485e8931
Ball	w13_d485e8935
dem	w1_d485e8940
hiesigen	w3_d485e8943
Adel	w5_d485e8946
gegeben.	w7_d485e8949
Seine	w9_d485e8952
Königl	w11_d485e8955
Hoheit	w1_d485e8960
Herr	w3_d485e8963
Jnfant	w5_d485e8966
haben	w7_d485e8969
sich	w9_d485e8972
selbst	w11_d485e8975
etwas	w13_d485e8979
später	w1_d485e8984
darbey	w3_d485e8987
eingefunden,	w5_d485e8990
und	w7_d485e8993
seynd	w9_d485e8996
bey	w11_d485e8999
einer	w1_d485e9005
Tafel	w3_d485e9008
von	w5_d485e9011
Damen	w7_d485e9014
auf	w9_d485e9017
das	w11_d485e9020
herrlichste	w13_d485e9024
bewürtet	w1_d485e9029
worden.	w3_d485e9032
</p>
<p id="p42_d485e9035">
Den	w1_d485e9039
darauf	w3_d485e9042
folgenden	w5_d485e9045
Tag	w7_d485e9048
als	w9_d485e9051
den	w11_d485e9054
4.	w13_d485e9058
hat	w15_d485e9061
der	w1_d485e9066
Fürst	w3_d485e9069
noch	w5_d485e9072
ein	w7_d485e9075
Merkmal	w9_d485e9078
wie	w11_d485e9081
weit	w13_d485e9085
die	w15_d485e9088
Pracht	w1_d485e9093
konnte	w3_d485e9096
getrieben	w5_d485e9099
werden	w7_d485e9102
durch	w9_d485e9105
ein	w11_d485e9108
Mittag=mal	w1_d485e9114
von	w3_d485e9117
70.	w5_d485e9120
Couverts	w7_d485e9123
gegeben,	w9_d485e9126
zu	w11_d485e9129
welcher	w1_d485e9134
Mahlzeit	w3_d485e9137
sowol	w5_d485e9140
der	w7_d485e9143
hiesige	w9_d485e9146
Adel,	w11_d485e9149
als	w13_d485e9153
srembe	w1_d485e9158
Ministri	w3_d485e9161
eingeladen	w5_d485e9164
worden.	w7_d485e9167
</p>
<p id="p44_d485e9170">
Den	w1_d485e9174
5.	w3_d485e9177
und	w5_d485e9180
6.	w7_d485e9183
dieses	w9_d485e9186
Monuts	w11_d485e9189
war	w13_d485e9193
der	w15_d485e9196
Fürst	w1_d485e9201
bey	w3_d485e9204
ein	w5_d485e9207
und	w7_d485e9210
anderen	w9_d485e9213
fremden	w11_d485e9216
Ministris	w13_d485e9220
zu	w1_d485e9225
Mittag	w3_d485e9228
eingeladen,	w5_d485e9231
hingegen	w7_d485e9234
</p>
<p id="p46_d485e9237">
Den	w1_d485e9241
7.	w3_d485e9244
war	w5_d485e9247
zu	w7_d485e9250
der	w9_d485e9253
Desponsation	w11_d485e9256
der	w13_d485e9260
Durchlauchtigsten	w1_d485e9265
Braut	w3_d485e9268
bestimmet,	w5_d485e9271
an	w7_d485e9274
wel	w9_d485e9277
chem	w1_d485e9282
Nachmittag	w3_d485e9285
der	w5_d485e9288
Fürst	w7_d485e9291
von	w9_d485e9294
Liechtenstein	w11_d485e9297
sich	w1_d485e9303
mit	w3_d485e9306
seinen	w5_d485e9309
Wägen	w7_d485e9312
und	w9_d485e9315
zahlreichen	w11_d485e9318
Ge	w13_d485e9322
folg	w1_d485e9327
etwas	w3_d485e9330
voraus	w5_d485e9333
in	w7_d485e9336
die	w9_d485e9339
Kirchen	w11_d485e9342
begeben,	w13_d485e9346
und	w1_d485e9351
alda	w3_d485e9354
von	w5_d485e9357
einem	w7_d485e9360
Präposito	w9_d485e9363
und	w11_d485e9366
6.	w13_d485e9370
Dom	w15_d485e9373
herren	w1_d485e9378
empfangen	w3_d485e9381
worden.	w5_d485e9384
</p>
<p id="p48_d485e9388">
Als	w1_d485e9392
der	w3_d485e9395
Hof	w5_d485e9398
bald	w7_d485e9401
nachfolgte,	w9_d485e9404
fande	w11_d485e9407
sich	w13_d485e9411
der	w1_d485e9416
Fürst	w3_d485e9419
bey	w5_d485e9422
der	w7_d485e9425
Kirchen=thür	w9_d485e9428
ein,	w11_d485e9431
um	w13_d485e9435
Jh	w15_d485e9438
ter	w1_d485e9443
Königl.	w3_d485e9446
Hoheit	w5_d485e9449
der	w7_d485e9452
Jnfantin	w9_d485e9455
die	w11_d485e9458
Hand	w13_d485e9462
beym	w1_d485e9468
Aussteigenzu	w3_d485e9471
präsentiren,	w5_d485e9474
Sr.	w7_d485e9477
Königl.	w9_d485e9480
Hoheit	w1_d485e9485
Dero	w3_d485e9488
Herr	w5_d485e9491
Vutter	w7_d485e9494
führten	w9_d485e9497
sie	w11_d485e9500
auf	w13_d485e9504
der	w1_d485e9509
andern	w3_d485e9512
Seiten	w5_d485e9515
bey	w7_d485e9518
der	w9_d485e9521
rechten	w11_d485e9524
Hand,	w13_d485e9528
und	w15_d485e9531
in	w1_d485e9536
dieser	w3_d485e9539
Orduung	w5_d485e9542
ist	w7_d485e9545
man	w9_d485e9548
bis	w11_d485e9551
zu	w13_d485e9555
dem	w15_d485e9558
vor	w17_d485e9561
dem	w1_d485e9567
Altar	w3_d485e9570
zubereiteten	w5_d485e9573
Bettstuhl	w7_d485e9576
gegangen.	w9_d485e9579
dis	w1_d485e9584
das	w3_d485e9587
Se.	w5_d485e9590
Hoch=fürstl.	w7_d485e9593
Gnaden	w9_d485e9596
der	w11_d485e9599
Bi	w13_d485e9603
schof	w1_d485e9608
von	w3_d485e9611
Piacenza,	w5_d485e9614
der	w7_d485e9617
diese	w9_d485e9620
Function	w11_d485e9623
ver	w13_d485e9627
echtet	w1_d485e9632
hat,	w3_d485e9635
sich	w5_d485e9638
auf	w7_d485e9641
dem	w9_d485e9644
Hoch=altar	w11_d485e9647
umge	w13_d485e9651
</p>
<p id="p50_d485e9654">
wendet.	w1_d485e9658
Alsdann	w3_d485e9661
haben	w5_d485e9664
Sich	w7_d485e9667
die	w9_d485e9670
Durchl.	w11_d485e9673
Braut	w1_d485e9678
sowol,	w3_d485e9681
als	w5_d485e9684
der	w7_d485e9687
Fürst	w9_d485e9690
von	w11_d485e9693
Lichtenstein	w13_d485e9697
denen	w1_d485e9702
Staffeln	w3_d485e9705
des	w5_d485e9708
Altars	w7_d485e9711
genähert,	w9_d485e9714
und	w11_d485e9717
wurde	w1_d485e9723
sowol	w3_d485e9726
die	w5_d485e9729
Päpstl.	w7_d485e9732
Dispensation,	w9_d485e9735
als	w11_d485e9738
das	w1_d485e9743
