<doc id="wr_1757-04-30" attrs="word" year="1757" month="04" day="30" corpus="2">
<head id="h2_d139e3473">
Philadelphia	w1_d139e3477
dasigen	w11_d139e7110
Gegenden	w13_d139e7114
ankommen	w1_d139e7119
werden.	w3_d139e7122
</p>
<head id="h2_d139e7128">
Lüttich	w1_d139e7132
14.	w3_d139e7135
April	w5_d139e7138
</head>
<p id="p4_d139e7141">
Das	w1_d139e7145
Regiment	w3_d139e7148
von	w5_d139e7151
Conde	w7_d139e7154
ist	w9_d139e7157
diesen	w11_d139e7160
Mor	w13_d139e7164
gen	w1_d139e7169
hierdurch	w3_d139e7172
paßiret;	w5_d139e7175
selbiges	w7_d139e7178
ware	w9_d139e7181
ein	w11_d139e7184
sehr	w13_d139e7188
schönes	w1_d139e7193
Corpo.	w3_d139e7196
Die	w5_d139e7199
Granadiers	w7_d139e7202
von	w9_d139e7205
Frank	w11_d139e7208
reich	w1_d139e7214
halten	w3_d139e7217
sich	w5_d139e7220
heute	w7_d139e7223
hier	w9_d139e7226
auf.	w11_d139e7229
Der	w13_d139e7233
meh	w15_d139e7236
reste	w1_d139e7241
Theil	w3_d139e7244
deren	w5_d139e7247
Equipages	w7_d139e7250
des	w9_d139e7253
Marschallen	w11_d139e7256
von	w1_d139e7261
Etrees	w3_d139e7264
wird	w5_d139e7267
den	w7_d139e7270
20sten	w9_d139e7273
dahier	w11_d139e7276
paßi	w13_d139e7280
ren.	w1_d139e7285
</p>
<head id="h2_d139e7292">
Maynz	w1_d139e7296
15.	w3_d139e7299
April.	w5_d139e7302
</head>
<p id="p4_d139e7305">
Diesen	w1_d139e7309
Nachmittag	w3_d139e7312
seynd	w5_d139e7315
12.	w7_d139e7318
Französische	w9_d139e7321
Canonen,	w1_d139e7326
deren	w3_d139e7329
jegliche	w5_d139e7332
60.	w7_d139e7335
Centner	w9_d139e7338
schwer	w11_d139e7341
ist,	w1_d139e7346
nebst	w3_d139e7349
einer	w5_d139e7352
kupfernen	w7_d139e7355
Brücke	w9_d139e7358
hier	w11_d139e7361
an	w13_d139e7365
gelangt.	w1_d139e7371
</p>
<head id="h2_d139e7377">
Haag	w1_d139e7381
18.	w3_d139e7384
April.	w5_d139e7387
</head>
<p id="p4_d139e7390">
Die	w1_d139e7394
Berichte,	w3_d139e7397
die	w5_d139e7400
aus	w7_d139e7403
dem	w9_d139e7406
nördlichen	w11_d139e7409
Ame	w13_d139e7413
rica	w1_d139e7418
in	w3_d139e7421
England	w5_d139e7424
eingeloffen,	w7_d139e7427
bestättigen	w9_d139e7430
es	w11_d139e7433
daß	w1_d139e7438
man	w3_d139e7441
auf	w5_d139e7444
eine	w7_d139e7447
geheime	w9_d139e7450
und	w11_d139e7453
wichtige	w13_d139e7457
Ex	w15_d139e7460
pedition	w1_d139e7466
umgienge,	w3_d139e7469
und	w5_d139e7472
daß	w7_d139e7475
die	w9_d139e7478
Trupen	w11_d139e7481
welche	w1_d139e7486
die	w3_d139e7489
Armee	w5_d139e7492
des	w7_d139e7495
Grafens	w9_d139e7498
von	w11_d139e7501
Loudoun	w13_d139e7505
formiren	w1_d139e7510
sollen,	w3_d139e7513
bereits	w5_d139e7516
die	w7_d139e7519
Quartiere	w9_d139e7522
verliessen.	w11_d139e7525
Die	w1_d139e7530
Gegend	w3_d139e7533
bey	w5_d139e7536
Chattam,	w7_d139e7539
wo	w9_d139e7542
im	w11_d139e7545
verwichenen	w13_d139e7549
Jahre	w1_d139e7555
die	w3_d139e7558
Hannoveraner	w5_d139e7561
campirten,	w7_d139e7564
wird	w9_d139e7567
jetzo	w11_d139e7570
von	w1_d139e7575
5.	w3_d139e7578
Engländischen	w5_d139e7581
Regimentern	w7_d139e7584
besetzet.	w9_d139e7587
</p>
<p id="p6_d139e7590">
Fünf	w1_d139e7594
Regimenter	w3_d139e7597
sollen	w5_d139e7600
von	w7_d139e7603
England	w9_d139e7606
und	w11_d139e7609
Schottland	w1_d139e7614
nach	w3_d139e7617
Jrrland	w5_d139e7620
gehen,	w7_d139e7623
und	w9_d139e7626
die	w11_d139e7629
Stelle	w1_d139e7634
derer	w3_d139e7637
Trupen	w5_d139e7640
besetzen,	w7_d139e7643
die	w9_d139e7646
sich	w11_d139e7649
zu	w13_d139e7653
Cork	w1_d139e7659
nach	w3_d139e7662
America	w5_d139e7665
einschiffen.	w7_d139e7668
Den	w9_d139e7671
11.	w11_d139e7674
ist	w1_d139e7679
der	w3_d139e7682
Admiral	w5_d139e7685
Hawke	w7_d139e7688
nach	w9_d139e7691
Portsmout	w11_d139e7694
abgegangen,	w1_d139e7699
um	w3_d139e7702
die	w5_d139e7705
Escadre	w7_d139e7708
zu	w9_d139e7711
commandi	w11_d139e7714
ren,	w1_d139e7719
die	w3_d139e7722
im	w5_d139e7725
Canal	w7_d139e7728
kreutzen	w9_d139e7731
soll.	w11_d139e7734
</p>
<head id="h2_d139e7740">
Asch,	w1_d139e7744
den	w3_d139e7747
17.	w5_d139e7750
April.	w7_d139e7753
</head>
<p id="p4_d139e7756">
Die	w1_d139e7760
Preußischen	w3_d139e7763
Trupen	w5_d139e7766
haben	w7_d139e7769
wider	w9_d139e7772
alles	w11_d139e7775
Vermuten	w1_d139e7780
ihre	w3_d139e7783
Marsch=route	w5_d139e7786
geändert,	w7_d139e7789
und	w9_d139e7792
anstatt	w1_d139e7797
gegen	w3_d139e7800
Eger	w5_d139e7803
fortzurücken,	w7_d139e7806
sich	w9_d139e7809
am	w11_d139e7812
14.	w1_d139e7818
dieses	w3_d139e7821
über	w5_d139e7824
Falkenstein	w7_d139e7827
zurück	w9_d139e7830
gezogen.	w11_d139e7833
Nicht	w1_d139e7838
nur	w3_d139e7841
die	w5_d139e7844
2.	w7_d139e7847
bis	w9_d139e7850
3000.	w11_d139e7853
Mann,	w13_d139e7857
die	w15_d139e7860
bis	w17_d139e7863
her	w1_d139e7868
in	w3_d139e7871
Plauen	w5_d139e7874
gestanden,	w7_d139e7877
sondern	w9_d139e7880
auch	w11_d139e7883
eine	w13_d139e7887
starke	w1_d139e7892
Anzahl,	w3_d139e7895
die	w5_d139e7898
von	w7_d139e7901
Zwickau	w9_d139e7904
hergekommen,	w11_d139e7907
müssen	w1_d139e7913
sich	w3_d139e7916
über	w5_d139e7919
Falkenstein	w7_d139e7922
und	w9_d139e7925
Auerbach	w11_d139e7928
nach	w1_d139e7933
Schwarzenberg	w3_d139e7936
begeben.	w5_d139e7939
Es	w7_d139e7942
soll	w9_d139e7945
zwar	w11_d139e7948
vorhero	w1_d139e7953
ein	w3_d139e7956
Commando	w5_d139e7959
bis	w7_d139e7962
an	w9_d139e7965
Eger	w11_d139e7968
detaschi	w13_d139e7972
ret	w1_d139e7977
worden	w3_d139e7980
seyn,	w5_d139e7983
es	w7_d139e7986
ist	w9_d139e7989
aber	w11_d139e7992
solches	w13_d139e7996
gleich	w15_d139e7999
wieder	w1_d139e8005
zurück	w3_d139e8008
gekommen,	w5_d139e8011
und	w7_d139e8014
am	w9_d139e8017
15.	w11_d139e8020
dieses	w13_d139e8024
hat	w1_d139e8029
man	w3_d139e8032
weder	w5_d139e8035
hier	w7_d139e8038
noch	w9_d139e8041
zu	w11_d139e8044
Oelsnitz	w13_d139e8048
einen	w15_d139e8051
Preussen	w1_d139e8056
gesehen.	w3_d139e8059
</p>
<head id="h2_d139e8065">
Stockholm,	w1_d139e8069
den	w3_d139e8072
12.	w5_d139e8075
April.	w7_d139e8078
</head>
<p id="p4_d139e8081">
Nach	w1_d139e8085
einer	w3_d139e8088
allhier	w5_d139e8091
zum	w7_d139e8094
Vorschein	w9_d139e8097
gekom	w11_d139e8100
menen	w1_d139e8105
Haupt=verzeichnüß	w3_d139e8108
von	w5_d139e8111
allen	w7_d139e8114
Schwe	w9_d139e8117
dischen	w1_d139e8122
Völkern,	w3_d139e8125
bestehen	w5_d139e8128
dieselben	w7_d139e8131
aus	w9_d139e8134
36179.	w11_d139e8137
Mann	w1_d139e8143
Fuß=völker,	w3_d139e8146
worunter	w5_d139e8149
2951.	w7_d139e8152
Artille	w9_d139e8155
risten	w1_d139e8160
begriffen	w3_d139e8163
sind,	w5_d139e8166
aus	w7_d139e8169
8024.	w9_d139e8172
Mann	w11_d139e8175
Rei	w13_d139e8179
ter,	w1_d139e8184
und	w3_d139e8187
2241.	w5_d139e8190
Dragonern,	w7_d139e8193
folglich	w9_d139e8196
zusam	w11_d139e8199
men	w1_d139e8204
aus	w3_d139e8207
46444.	w5_d139e8210
Mann,	w7_d139e8213
die	w9_d139e8216
alle	w11_d139e8219
wol	w13_d139e8223
equi	w15_d139e8226
pirt,	w1_d139e8232
und	w3_d139e8235
zum	w5_d139e8238
Krieg	w7_d139e8241
geübet	w9_d139e8244
sind.	w11_d139e8247
</p>
<head id="h2_d139e8253">
Paderborn	w1_d139e8257
15.	w3_d139e8260
April	w5_d139e8263
</head>
<p id="p4_d139e8266">
Die	w1_d139e8270
Königl.	w3_d139e8273
Preußische	w5_d139e8276
Trupen	w7_d139e8279
hatten	w9_d139e8282
vor	w1_d139e8287
einigen	w3_d139e8290
Tagen	w5_d139e8293
Rittberg	w7_d139e8296
verlassen,	w9_d139e8299
und	w11_d139e8302
waren	w1_d139e8307
nach	w3_d139e8310
Lippstadt	w5_d139e8313
marschirt;	w7_d139e8316
in	w9_d139e8319
der	w11_d139e8322
ge	w13_d139e8326
strigen	w1_d139e8332
Nacht	w3_d139e8335
aber	w5_d139e8338
rückten	w7_d139e8341
von	w9_d139e8344
neuem	w11_d139e8347
500.	w13_d139e8351
Mann	w1_d139e8356
nebst	w3_d139e8359
aller	w5_d139e8362
Bagage	w7_d139e8365
von	w9_d139e8368
denen	w11_d139e8371
3.	w13_d139e8375
Re	w15_d139e8378
gimentern	w1_d139e8383
zu	w3_d139e8386
gedachtem	w5_d139e8389
Rittberg	w7_d139e8392
ein,	w9_d139e8395
indem	w11_d139e8398
die	w1_d139e8403
Nachricht	w3_d139e8406
eingegangen,	w5_d139e8409
daß	w7_d139e8412
die	w9_d139e8415
Franzo	w11_d139e8418
sen	w1_d139e8424
bey	w3_d139e8427
Lippstadt	w5_d139e8430
auf	w7_d139e8433
der	w9_d139e8436
Heide	w11_d139e8439
angekom	w13_d139e8443
men,	w1_d139e8448
und	w3_d139e8451
heut	w5_d139e8454
sollen	w7_d139e8457
sie	w9_d139e8460
gar	w11_d139e8463
in	w13_d139e8467
diese	w15_d139e8470
Stadt	w17_d139e8473
einmarschirt	w1_d139e8478
seyn.	w3_d139e8481
Es	w5_d139e8484
heißt,	w7_d139e8487
daß	w9_d139e8490
nicht	w11_d139e8493
al	w13_d139e8497
lein	w1_d139e8502
die	w3_d139e8505
3.	w5_d139e8508
in	w7_d139e8511
Lippstadt	w9_d139e8514
befindliche	w11_d139e8517
Regimenter	w13_d139e8521
sondern	w1_d139e8527
auch	w3_d139e8530
die	w5_d139e8533
3.	w7_d139e8536
hundert	w9_d139e8539
Mann	w11_d139e8542
in	w13_d139e8546
Rittberg	w15_d139e8549
auf	w1_d139e8554
Bilefeld	w3_d139e8557
gehen	w5_d139e8560
sollen.	w7_d139e8563
</p>
<head id="h2_d139e8569">
Wesel	w1_d139e8573
15.	w3_d139e8576
April.	w5_d139e8579
</head>
<p id="p4_d139e8582">
Diese	w1_d139e8586
Stadt	w3_d139e8589
ist	w5_d139e8592
würklich	w7_d139e8595
mit	w9_d139e8598
einer	w11_d139e8601
Garni	w13_d139e8605
son	w1_d139e8610
beynahe	w3_d139e8613
von	w5_d139e8616
9000.	w7_d139e8619
Mann	w9_d139e8622
sowol	w11_d139e8625
Franzö	w13_d139e8629
sisch	w1_d139e8634
als	w3_d139e8637
Oesterreichischer	w5_d139e8640
Trupen	w7_d139e8643
besetzet.	w9_d139e8646
</p>
<p id="p10_d139e8659">
Kein	w1_d139e8663
Hauß	w3_d139e8666
ist	w5_d139e8669
darinn,	w7_d139e8672
welches	w9_d139e8675
nicht	w11_d139e8678
mit	w13_d139e8682
Soldaten	w1_d139e8687
belegt	w3_d139e8690
wäre.	w5_d139e8693
Einige	w7_d139e8696
Particulairs	w9_d139e8699
welche	w1_d139e8704
weitläuffige	w3_d139e8707
Häuser	w5_d139e8710
besitzen,	w7_d139e8713
haben	w9_d139e8716
bis	w11_d139e8719
20.	w1_d139e8725
und	w3_d139e8728
30.	w5_d139e8731
Mann	w7_d139e8734
einnehmen	w9_d139e8737
müssen.	w11_d139e8740
Un	w13_d139e8744
geachtet	w1_d139e8749
dieser	w3_d139e8752
so	w5_d139e8755
zahlreichen	w7_d139e8758
Trupen	w9_d139e8761
wird	w11_d139e8764
doch	w1_d139e8769
in	w3_d139e8772
der	w5_d139e8775
Stadt	w7_d139e8778
gute	w9_d139e8781
Ordnung	w11_d139e8784
gehalten,	w13_d139e8788
und	w15_d139e8791
von	w1_d139e8796
Seiten	w3_d139e8799
deren	w5_d139e8802
bey	w7_d139e8805
uns	w9_d139e8808
ligenden	w11_d139e8811
Trupen	w13_d139e8815
wird	w15_d139e8818
eine	w1_d139e8824
so	w3_d139e8827
gute	w5_d139e8830
Manns=zucht	w7_d139e8833
beobachtet,	w9_d139e8836
daß	w11_d139e8839
sie	w13_d139e8843
denen	w1_d139e8848
Einwohnern	w3_d139e8851
nicht	w5_d139e8854
die	w7_d139e8857
mindeste	w9_d139e8860
Ursach	w11_d139e8863
zu	w1_d139e8868
klagen	w3_d139e8871
geben.	w5_d139e8874
</p>
<head id="h2_d139e8881">
Cleve	w1_d139e8885
17.	w3_d139e8888
April	w5_d139e8891
</head>
<p id="p4_d139e8894">
Das	w1_d139e8898
Haupt=quartier	w3_d139e8901
der	w5_d139e8904
Königl.	w7_d139e8907
Fran	w9_d139e8910
zösischen	w1_d139e8915
Armee	w3_d139e8918
ist	w5_d139e8921
von	w7_d139e8924
Neuß	w9_d139e8927
nach	w11_d139e8930
Wesel	w13_d139e8934
verlegt	w1_d139e8939
worden,	w3_d139e8942
wo	w5_d139e8945
der	w7_d139e8948
Prinz	w9_d139e8951
von	w11_d139e8954
Soubist	w13_d139e8958
am	w1_d139e8964
14.	w3_d139e8967
dieses	w5_d139e8970
angekommen.	w7_d139e8973
Das	w9_d139e8976
Haus	w11_d139e8979
der	w13_d139e8983
Prinzen=hof	w1_d139e8988
benamset	w3_d139e8991
(worinn	w5_d139e8994
der	w7_d139e8997
Herr	w9_d139e9000
von	w11_d139e9003
Raesfeld	w1_d139e9008
Präsident	w3_d139e9011
der	w5_d139e9014
Regierung	w7_d139e9017
deren	w9_d139e9020
Cle	w11_d139e9023
vischen	w1_d139e9028
Landen	w3_d139e9031
wohnet)	w5_d139e9034
ist	w7_d139e9037
zum	w9_d139e9040
Empfang	w11_d139e9043
des	w1_d139e9049
Prinzens	w3_d139e9052
von	w5_d139e9055
Soubise	w7_d139e9058
zubereitet	w9_d139e9061
worden.	w11_d139e9064
Das	w1_d139e9069
Regiment	w3_d139e9072
d'Aubigni	w5_d139e9075
Cavallerie	w7_d139e9078
ligt	w9_d139e9081
würklich	w1_d139e9086
zu	w3_d139e9089
Zanten.	w5_d139e9092
Die	w7_d139e9095
Garnison	w9_d139e9098
dieser	w11_d139e9101
Stadt	w1_d139e9106
ist	w3_d139e9109
anjetzo	w5_d139e9112
durch	w7_d139e9115
die	w9_d139e9118
Ankunft	w11_d139e9121
verschie	w13_d139e9125
dener	w1_d139e9131
Detaschementer,	w3_d139e9134
welche	w5_d139e9137
vor	w7_d139e9140
und	w9_d139e9143
nach	w11_d139e9146
bey	w1_d139e9151
Wesel	w3_d139e9154
zusammen	w5_d139e9157
gestossen	w7_d139e9160
seynd,	w9_d139e9163
bereits	w11_d139e9166
9000.	w1_d139e9171
Mann	w3_d139e9174
stark.	w5_d139e9177
Die	w7_d139e9180
andere	w9_d139e9183
Corps	w11_d139e9186
de	w13_d139e9190
ren	w1_d139e9195
Französischen	w3_d139e9198
Trupen	w5_d139e9201
seynd	w7_d139e9204
weiter	w9_d139e9207
in	w11_d139e9210
die	w13_d139e9214
ßischen	w15_d139e9217
Befehl	w17_d139e9220
sogleich	w19_d139e9223
in	w21_d139e9226
Verhaft	w23_d139e9229
genommen	w25_d139e9233
Grafschaft	w1_d139e9239
Marck	w3_d139e9242
vorgerucket.	w5_d139e9245
</p>
<head id="h2_d139e9251">
Rheinstrom	w1_d139e9255
20.	w3_d139e9258
April.	w5_d139e9261
</head>
<p id="p4_d139e9264">
Die	w1_d139e9268
Colonne	w3_d139e9271
deren	w5_d139e9274
Französischen	w7_d139e9277
Trupen	w9_d139e9280
(welche	w1_d139e9285
ihre	w3_d139e9288
Marsch=route	w5_d139e9291
durch	w7_d139e9294
das	w9_d139e9297
Churfür	w11_d139e9300
stentum	w1_d139e9305
Maynz	w3_d139e9308
nihmt)	w5_d139e9311
bestehet	w7_d139e9314
aus	w9_d139e9317
10000.	w11_d139e9320
Mann.	w1_d139e9326
Dieser	w3_d139e9329
folget	w5_d139e9332
dem	w7_d139e9335
Vernehmen	w9_d139e9338
nach	w11_d139e9341
ein	w1_d139e9346
anders	w3_d139e9349
Corpo	w5_d139e9352
Französischer	w7_d139e9355
Trupen,	w9_d139e9358
wel	w11_d139e9361
ches	w1_d139e9366
Ordre	w3_d139e9369
hat	w5_d139e9372
seinen	w7_d139e9375
Marsch	w9_d139e9378
gegen	w11_d139e9381
den	w13_d139e9385
Mayn	w15_d139e9388
strom	w1_d139e9393
zu	w3_d139e9396
richten.	w5_d139e9399
</p>
<head id="h2_d139e9405">
Cöln	w1_d139e9409
18.	w3_d139e9412
April.	w5_d139e9415
</head>
<p id="p4_d139e9418">
Es	w1_d139e9422
verlautet,	w3_d139e9425
daß	w5_d139e9428
die	w7_d139e9431
Werker	w9_d139e9434
der	w11_d139e9437
Stadt	w13_d139e9441
Wesel	w1_d139e9446
hergestellet	w3_d139e9449
werden	w5_d139e9452
sollen,	w7_d139e9455
um	w9_d139e9458
diesen	w11_d139e9461
Pla	w13_d139e9465
haltbar	w1_d139e9470
zu	w3_d139e9473
machen,	w5_d139e9476
diese	w7_d139e9479
Stadt	w9_d139e9482
soll	w11_d139e9485
würklich	w13_d139e9489
mit	w1_d139e9495
einer	w3_d139e9498
Garnison	w5_d139e9501
bey	w7_d139e9504
nahe	w9_d139e9507
8.	w11_d139e9510
bis	w13_d139e9514
9000.	w15_d139e9517
Mann	w1_d139e9522
stark	w3_d139e9525
sowol	w5_d139e9528
Französische	w7_d139e9531
als	w9_d139e9534
Oester	w11_d139e9537
reichische	w1_d139e9542
Trupen	w3_d139e9545
besetzt	w5_d139e9548
seyn,	w7_d139e9551
also	w9_d139e9554
daß	w11_d139e9557
kein	w13_d139e9561
Hauß	w1_d139e9566
darinn,	w3_d139e9569
so	w5_d139e9572
nicht	w7_d139e9575
genöhtiget	w9_d139e9578
ihnen	w11_d139e9581
Quar	w13_d139e9585
tiere	w1_d139e9591
zu	w3_d139e9594
geben,	w5_d139e9597
bey	w7_d139e9600
welcher	w9_d139e9603
Zahl=reichen	w11_d139e9606
Gar	w13_d139e9610
nison	w1_d139e9615
dannoch	w3_d139e9618
eine	w5_d139e9621
so	w7_d139e9624
gute	w9_d139e9627
Ordnung	w11_d139e9630
von	w13_d139e9634
die	w15_d139e9637
sen	w1_d139e9642
Trupen	w3_d139e9645
beobachtet	w5_d139e9648
wird,	w7_d139e9651
daß	w9_d139e9654
sie	w11_d139e9657
denen	w13_d139e9661
Einwohnern	w1_d139e9666
nicht	w3_d139e9669
die	w5_d139e9672
geringste	w7_d139e9675
Ursach	w9_d139e9678
zu	w11_d139e9681
kla	w13_d139e9685
gen	w1_d139e9691
geben.	w3_d139e9694
</p>
<head id="h2_d139e9700">
Dreßden	w1_d139e9704
den	w3_d139e9707
16.	w5_d139e9710
April.	w7_d139e9713
</head>
<p id="p4_d139e9716">
Der	w1_d139e9720
König	w3_d139e9723
von	w5_d139e9726
Preussen	w7_d139e9729
ist	w9_d139e9732
dem	w11_d139e9735
Verneh	w13_d139e9739
men	w1_d139e9744
nach,	w3_d139e9747
vor	w5_d139e9750
kurzem	w7_d139e9753
bey	w9_d139e9756
Dohna,	w11_d139e9759
durch	w13_d139e9763
ei	w15_d139e9766
</p>
<p id="p6_d139e9769">
nen	w1_d139e9773
überzus	w3_d139e9776
scöhnelen	w5_d139e9779
Ston,	w7_d139e9782
der	w9_d139e9785
Mia	w11_d139e9788
genannt,	w1_d139e9793
geritten;	w3_d139e9796
es	w5_d139e9799
wurde	w7_d139e9802
aber	w9_d139e9805
derselbt	w11_d139e9808
hierbey	w1_d139e9813
von	w3_d139e9816
dem	w5_d139e9819
Strom	w7_d139e9822
solchergestalt	w9_d139e9825
fort	w11_d139e9828
getrieben,	w1_d139e9834
daß	w3_d139e9837
er	w5_d139e9840
in	w7_d139e9843
Lebens=gefahr	w9_d139e9846
geriete	w11_d139e9849
doch	w1_d139e9854
ist	w3_d139e9857
er	w5_d139e9860
zuletzt	w7_d139e9863
noch	w9_d139e9866
glücklich	w11_d139e9869
über	w13_d139e9873
diesen	w15_d139e9876
Strom	w1_d139e9881
gekommen.	w3_d139e9884
Es	w5_d139e9887
seynd	w7_d139e9890
von	w9_d139e9893
denen	w11_d139e9896
Sachsen,	w1_d139e9901
welche	w3_d139e9904
in	w5_d139e9907
Leipzig	w7_d139e9910
den	w9_d139e9913
bereits	w11_d139e9916
ge	w13_d139e9920
meldeten	w1_d139e9926
Lermen	w3_d139e9929
angefangen,	w5_d139e9932
12.	w7_d139e9935
Mann	w9_d139e9938
beym	w1_d139e9943
Kopf	w3_d139e9946
genommen	w5_d139e9949
worden,	w7_d139e9952
unter	w9_d139e9955
welchen	w11_d139e9958
auch	w1_d139e9963
jener	w3_d139e9966
sich	w5_d139e9969
befindet,	w7_d139e9972
der	w9_d139e9975
nach	w11_d139e9978
dem	w13_d139e9982
Obristen	w15_d139e9985
geschossen,	w1_d139e9990
daß	w3_d139e9993
ihm	w5_d139e9996
die	w7_d139e9999
Kugel	w9_d139e10002
durch	w11_d139e10005
den	w13_d139e10009
Hu	w15_d139e10012
geflogen.	w1_d139e10018
Der	w3_d139e10021
Raht	w5_d139e10024
zu	w7_d139e10027
Leipzig	w9_d139e10030
thate	w11_d139e10033
alles	w13_d139e10037
was	w1_d139e10042
ihm	w3_d139e10045
möglich	w5_d139e10048
war.	w7_d139e10051
Er	w9_d139e10054
ließ	w11_d139e10057
zu	w13_d139e10061
Vermei	w15_d139e10064
dung	w1_d139e10069
grösseren	w3_d139e10072
Unglücks,	w5_d139e10075
welches	w7_d139e10078
bey	w9_d139e10081
solche	w11_d139e10084
Unordnung	w1_d139e10089
der	w3_d139e10092
Stadt	w5_d139e10095
gar	w7_d139e10098
leicht	w9_d139e10101
hätte	w11_d139e10104
zu	w13_d139e10108
wachsen	w1_d139e10114
können,	w3_d139e10117
allen	w5_d139e10120
Burgern	w7_d139e10123
befehlen,	w9_d139e10126
ihre	w11_d139e10129
Häuser	w1_d139e10134
zu	w3_d139e10137
verschliessen,	w5_d139e10140
und	w7_d139e10143
niemand	w9_d139e10146
von	w11_d139e10149
den	w1_d139e10154
Jungen	w3_d139e10157
ausgehen	w5_d139e10160
zu	w7_d139e10163
lassen,	w9_d139e10166
des	w11_d139e10169
Abends	w13_d139e10173
ware	w1_d139e10178
wieder	w3_d139e10181
alles	w5_d139e10184
stille.	w7_d139e10187
Es	w9_d139e10190
seynd	w11_d139e10193
von	w13_d139e10197
hie	w15_d139e10200
aus	w1_d139e10206
zu	w3_d139e10209
Abholung	w5_d139e10212
der	w7_d139e10215
ausgehobenen	w9_d139e10218
Sachser	w11_d139e10221
stärkere	w1_d139e10226
Preußische	w3_d139e10229
Commando	w5_d139e10232
zu	w7_d139e10235
Leipig	w9_d139e10238
an	w11_d139e10241
gelanget.	w1_d139e10246
</p>
<p id="p8_d139e10249">
Man	w1_d139e10253
hat	w3_d139e10256
zuweilen	w5_d139e10259
einige	w7_d139e10262
Deserteurs	w9_d139e10265
vor	w11_d139e10268
denen	w1_d139e10273
Kaiserl.	w3_d139e10276
Königl.	w5_d139e10279
Trupen	w7_d139e10282
in	w9_d139e10285
Sachsen	w11_d139e10288
zu	w13_d139e10292
sehen	w1_d139e10297
bekommen,	w3_d139e10300
welche	w5_d139e10303
auf	w7_d139e10306
Königl.	w9_d139e10309
Preu	w11_d139e10312
und	w1_d139e10318
gezwungen	w3_d139e10321
worden,	w5_d139e10324
wann	w7_d139e10327
sie	w9_d139e10330
die	w11_d139e10333
erfor	w13_d139e10337
derliche	w1_d139e10342
Grösse	w3_d139e10345
gehabt,	w5_d139e10348
bey	w7_d139e10351
denen	w9_d139e10354
Feldregi	w11_d139e10357
mentern,	w1_d139e10362
die	w3_d139e10365
Kleinere	w5_d139e10368
aber	w7_d139e10371
bey	w9_d139e10374
denen	w11_d139e10377
Festungs	w13_d139e10381
trupen	w1_d139e10386
Dienste	w3_d139e10389
zu	w5_d139e10392
nehmen.	w7_d139e10395
</p>
<head id="h2_d139e10401">
Prag	w1_d139e10405
26.	w3_d139e10408
April.	w5_d139e10411
</head>
<p id="p4_d139e10414">
Samstags,	w1_d139e10418
den	w3_d139e10421
23.	w5_d139e10424
dito,	w7_d139e10427
seynd	w9_d139e10430
Se.	w11_d139e10433
Ex	w13_d139e10437
cellenz,	w1_d139e10442
der	w3_d139e10445
Commandirende	w5_d139e10448
Hr.	w7_d139e10451
Generalfeld	w9_d139e10454
marschal,	w1_d139e10459
Graf	w3_d139e10462
von	w5_d139e10465
Broune	w7_d139e10468
und	w9_d139e10471
Se.	w11_d139e10474
Ex	w13_d139e10478
cellenz	w1_d139e10484
der	w3_d139e10487
Kaiserl.	w5_d139e10490
Königl.	w7_d139e10493
Repräsentations	w9_d139e10496
und	w1_d139e10501
Kammer=präsident	w3_d139e10504
und	w5_d139e10507
Generalfeld	w7_d139e10510
kriegs=commissarius,	w1_d139e10515
Frey=herr	w3_d139e10518
von	w5_d139e10521
Neto	w7_d139e10524
litzky,	w1_d139e10529
von	w3_d139e10532
hier	w5_d139e10535
zur	w7_d139e10538
Armee	w9_d139e10541
abgegangen.	w11_d139e10544
Desselbigen	w1_d139e10550
Tages	w3_d139e10553
ist	w5_d139e10556
die	w7_d139e10559
letzthin	w9_d139e10562
hier	w11_d139e10565
an	w13_d139e10569
gekommene	w1_d139e10574
Nieder=ländische	w3_d139e10577
Artillerie,	w5_d139e10580
unter	w7_d139e10583
Commando	w1_d139e10588
des	w3_d139e10591
Hrn.	w5_d139e10594
Obristen	w7_d139e10597
von	w9_d139e10600
Walter,	w11_d139e10603
zu	w1_d139e10608
der	w3_d139e10611
versammelten	w5_d139e10614
Armee	w7_d139e10617
abgeführet	w9_d139e10620
wor	w11_d139e10623
den,	w1_d139e10629
alwohin	w3_d139e10632
auch	w5_d139e10635
viele	w7_d139e10638
noch	w9_d139e10641
hier	w11_d139e10644
anwesende	w13_d139e10648
vornehme	w1_d139e10653
fremde	w3_d139e10656
Generals=personen,	w5_d139e10659
(unter	w7_d139e10662
welchen	w1_d139e10667
sich	w3_d139e10670
zwey	w5_d139e10673
Rußische	w7_d139e10676
Prinzen	w9_d139e10679
befanden,	w11_d139e10682
sich	w1_d139e10687
begaben.	w3_d139e10690
Eodem	w5_d139e10693
ist	w7_d139e10696
ein	w9_d139e10699
Battaillon	w11_d139e10702
Chur	w13_d139e10706
maynzischer	w1_d139e10712
Trupen,	w3_d139e10715
vom	w5_d139e10718
Graf	w7_d139e10721
Lambergi	w9_d139e10724
schen	w1_d139e10729
Regiment	w3_d139e10732
hier	w5_d139e10735
eingerucket,	w7_d139e10738
so	w9_d139e10741
bis	w11_d139e10744
au	w13_d139e10748
weitere	w1_d139e10753
Ordre	w3_d139e10756
hier	w5_d139e10759
