<doc id="wr_1757-08-13" attrs="word" year="1757" month="08" day="13" corpus="2">
<head id="h2_d169e3058">
Ragusa,	w1_d169e3062
besetzte.	w7_d169e6667
Auf	w9_d169e6670
den	w1_d169e6675
Markt	w3_d169e6678
stellte	w5_d169e6681
sich	w7_d169e6684
das	w9_d169e6687
Regiment	w11_d169e6690
in	w13_d169e6694
Pa	w15_d169e6697
rade,	w1_d169e6702
da	w3_d169e6705
dann	w5_d169e6708
der	w7_d169e6711
Herr	w9_d169e6714
General	w11_d169e6717
dem	w13_d169e6721
häuffig	w15_d169e6724
herbey	w1_d169e6730
eilendem	w3_d169e6733
Volke	w5_d169e6736
die	w7_d169e6739
Versicherung	w9_d169e6742
gab,	w11_d169e6745
daß	w1_d169e6750
niemand	w3_d169e6753
in	w5_d169e6756
seinem	w7_d169e6759
GOttes=dienst,	w9_d169e6762
noch	w11_d169e6765
Gewerbe	w1_d169e6770
gekränket	w3_d169e6773
werden	w5_d169e6776
sollte.	w7_d169e6779
Es	w9_d169e6782
ist	w11_d169e6785
auch	w13_d169e6789
bisher	w1_d169e6794
die	w3_d169e6797
strengste	w5_d169e6800
Manns=zucht	w7_d169e6803
beobachtet	w9_d169e6806
worden,	w1_d169e6812
und	w3_d169e6815
die	w5_d169e6818
dasige	w7_d169e6821
Fabriquen	w9_d169e6824
und	w11_d169e6827
Ma	w13_d169e6831
nufacturen	w1_d169e6836
haben	w3_d169e6839
ihren	w5_d169e6842
ungehinderten	w7_d169e6845
Fort	w9_d169e6848
gang.	w1_d169e6853
Seit	w3_d169e6856
ein	w5_d169e6859
paar	w7_d169e6862
Tagen	w9_d169e6865
befinden	w11_d169e6868
sich	w13_d169e6872
auch	w1_d169e6877
des	w3_d169e6880
Prinzens	w5_d169e6883
von	w7_d169e6886
Soubise	w9_d169e6889
Durchl.	w11_d169e6892
da	w13_d169e6896
selbst.	w1_d169e6902
Dem	w3_d169e6905
Vernehmen	w5_d169e6908
nach,	w7_d169e6911
wird	w9_d169e6914
das	w11_d169e6917
Regiment	w1_d169e6922
Piemont	w3_d169e6925
bald	w5_d169e6928
von	w7_d169e6931
dannen	w9_d169e6934
auf	w11_d169e6937
brechen,	w1_d169e6942
und	w3_d169e6945
durch	w5_d169e6948
das	w7_d169e6951
Regiment	w9_d169e6954
Rhougrave	w11_d169e6957
ersetzt	w1_d169e6962
werden.	w3_d169e6965
</p>
<head id="h2_d169e6971">
Paderborn	w1_d169e6975
2.	w3_d169e6978
Augusti.	w5_d169e6981
</head>
<p id="p4_d169e6984">
Die	w1_d169e6988
Franzosen	w3_d169e6991
haben	w5_d169e6994
Hauleln	w7_d169e6997
6	w9_d169e7000
CCVpIrt.	w11_d169e7003
Den	w1_d169e7008
28sten	w3_d169e7011
Julii	w5_d169e7014
befanden	w7_d169e7017
sie	w9_d169e7020
sich	w11_d169e7023
noch	w13_d169e7027
zu	w15_d169e7030
Hastenbeck,	w1_d169e7035
den	w3_d169e7038
30sten	w5_d169e7041
aber	w7_d169e7044
seynd	w9_d169e7047
sie	w11_d169e7050
nach	w13_d169e7054
Hameln	w1_d169e7060
verleget	w3_d169e7063
worden.	w5_d169e7066
An	w7_d169e7069
eben	w9_d169e7072
diesen	w11_d169e7075
Tag	w13_d169e7079
zog	w1_d169e7084
die	w3_d169e7087
Hannöverische	w5_d169e7090
Garnison,	w7_d169e7093
welche	w9_d169e7096
sich	w11_d169e7099
in	w1_d169e7104
dieser	w3_d169e7107
Stadt	w5_d169e7110
befand,	w7_d169e7113
zufolge	w9_d169e7116
der	w11_d169e7119
Capitu	w13_d169e7123
</p>
<p id="p6_d169e7126">
lation,	w1_d169e7130
mit	w3_d169e7133
allen	w5_d169e7136
Kriegs=Ehren=zeichen	w7_d169e7139
aus,	w9_d169e7142
und	w1_d169e7147
wurde	w3_d169e7150
nach	w5_d169e7153
Hannover	w7_d169e7156
escortirt.	w9_d169e7159
Sie	w11_d169e7162
machte	w1_d169e7167
zwar	w3_d169e7170
anfänglich	w5_d169e7173
Mine	w7_d169e7176
sich	w9_d169e7179
zu	w11_d169e7182
weh	w13_d169e7186
ren,	w1_d169e7192
und	w3_d169e7195
es	w5_d169e7198
war	w7_d169e7201
Französischer	w9_d169e7204
Seits	w11_d169e7207
resol	w13_d169e7211
viret,	w1_d169e7216
einen	w3_d169e7219
Haupt=sturm	w5_d169e7222
zu	w7_d169e7225
wagen,	w9_d169e7228
alleine	w11_d169e7231
die	w1_d169e7236
Capitulation	w3_d169e7239
kam	w5_d169e7242
gleich	w7_d169e7245
auf	w9_d169e7248
die	w11_d169e7251
2te	w13_d169e7255
Auf	w15_d169e7258
forderung	w1_d169e7263
zu	w3_d169e7266
Stande.	w5_d169e7269
Man	w7_d169e7272
fand	w9_d169e7275
in	w11_d169e7278
dem	w13_d169e7282
Platze	w1_d169e7288
60.	w3_d169e7291
metallene	w5_d169e7294
Canonen,	w7_d169e7297
viele	w9_d169e7300
Mörser	w11_d169e7303
und	w1_d169e7308
Munition,	w3_d169e7311
40.	w5_d169e7314
Back=öfen	w7_d169e7317
und	w9_d169e7320
eine	w11_d169e7323
Men	w13_d169e7327
ge	w1_d169e7332
Lebens=mittel,	w3_d169e7335
nebst	w5_d169e7338
verschiedenen	w7_d169e7341
Bleßir	w9_d169e7344
ten,	w1_d169e7349
welche	w3_d169e7352
zu	w5_d169e7355
Kriegs=gefangenen	w7_d169e7358
gemacht	w9_d169e7361
wurden,	w1_d169e7367
und	w3_d169e7370
nach	w5_d169e7373
dem	w7_d169e7376
Abzuge	w9_d169e7379
der	w11_d169e7382
Garnison	w13_d169e7386
nahmen	w1_d169e7391
2.	w3_d169e7394
Compagnien	w5_d169e7397
Französischer	w7_d169e7400
Gre	w9_d169e7403
nadiers	w1_d169e7408
Posto	w3_d169e7411
bey	w5_d169e7414
dem	w7_d169e7417
einem	w9_d169e7420
Thor.	w11_d169e7423
Bey	w13_d169e7427
der	w1_d169e7432
Battaille	w3_d169e7435
am	w5_d169e7438
26.	w7_d169e7441
ist	w9_d169e7444
kein	w11_d169e7447
General	w13_d169e7451
weder	w15_d169e7454
bleßirt	w1_d169e7460
noch	w3_d169e7463
getödtet	w5_d169e7466
worden,	w7_d169e7469
nur	w9_d169e7472
der	w11_d169e7475
Graf	w13_d169e7479
von	w1_d169e7484
Laval,	w3_d169e7487
General=quartier=meister,	w5_d169e7490
aus	w7_d169e7493
genommen,	w1_d169e7498
welcher	w3_d169e7501
gleich	w5_d169e7504
bey	w7_d169e7507
Anfang	w9_d169e7510
der	w11_d169e7513
Action	w1_d169e7518
geblieben.	w3_d169e7521
Der	w5_d169e7524
Graf	w7_d169e7527
von	w9_d169e7530
Belfunce	w11_d169e7533
Obrister	w1_d169e7539
seines	w3_d169e7542
Regiments	w5_d169e7545
ist	w7_d169e7548
bleßirt,	w9_d169e7551
und	w11_d169e7554
das	w1_d169e7559
Regiment	w3_d169e7562
Champagne	w5_d169e7565
hat	w7_d169e7568
3.	w9_d169e7571
Officiers	w11_d169e7574
todt,	w1_d169e7579
2	w3_d169e7582
bleßirt,	w5_d169e7585
und	w7_d169e7588
100.	w9_d169e7591
Mann	w11_d169e7594
Gemeine	w13_d169e7598
verloren	w1_d169e7603
Sonst	w3_d169e7606
ist	w5_d169e7609
die	w7_d169e7612
Anzahl	w9_d169e7615
deren	w11_d169e7618
Geblie	w13_d169e7622
benen	w1_d169e7628
noch	w3_d169e7631
nicht	w5_d169e7634
genau	w7_d169e7637
bestimmt,	w9_d169e7640
es	w11_d169e7643
sollen	w13_d169e7647
auch	w1_d169e7652
die	w3_d169e7655
Hannöverische	w5_d169e7658
Generals	w7_d169e7661
von	w9_d169e7664
Schu	w11_d169e7667
lenburg,	w1_d169e7672
von	w3_d169e7675
Behr,	w5_d169e7678
und	w7_d169e7681
von	w9_d169e7684
Busch	w11_d169e7687
zu	w13_d169e7691
Kriegs	w15_d169e7694
gefangenen	w1_d169e7699
gemacht	w3_d169e7702
worden	w5_d169e7705
seyn.	w7_d169e7708
</p>
<p id="p8_d169e7711">
Die	w1_d169e7715
Armee	w3_d169e7718
des	w5_d169e7721
Herrn	w7_d169e7724
Marschalls	w9_d169e7727
von	w11_d169e7730
Et	w13_d169e7734
rees	w1_d169e7739
wird	w3_d169e7742
nun	w5_d169e7745
einige	w7_d169e7748
Tage	w9_d169e7751
über	w11_d169e7754
ausruhen,	w13_d169e7758
und	w1_d169e7763
alsdann	w3_d169e7766
den	w5_d169e7769
Marsch	w7_d169e7772
nach	w9_d169e7775
Minden,	w11_d169e7778
und	w13_d169e7782
von	w1_d169e7788
da	w3_d169e7791
nach	w5_d169e7794
Hannover	w7_d169e7797
nehmen.	w9_d169e7800
Jndessen	w11_d169e7803
hat	w1_d169e7808
die	w3_d169e7811
Hannöverische	w5_d169e7814
bey	w7_d169e7817
besagten	w9_d169e7820
Minden	w11_d169e7823
wiederum	w1_d169e7828
Posto	w3_d169e7831
gefast,	w5_d169e7834
und	w7_d169e7837
folglich	w9_d169e7840
dörften	w11_d169e7843
ehenstens	w1_d169e7848
wichtige	w3_d169e7851
Nachrichten	w5_d169e7854
zu	w7_d169e7857
vernehmen	w9_d169e7860
seyn.	w1_d169e7866
</p>
<head id="h2_d169e7873">
Emden,	w1_d169e7877
31.	w3_d169e7880
Julii.	w5_d169e7883
</head>
<p id="p4_d169e7886">
Es	w1_d169e7890
ist	w3_d169e7893
alles	w5_d169e7896
hier	w7_d169e7899
ganz	w9_d169e7902
ruhig.	w11_d169e7905
Jn	w13_d169e7909
denen	w15_d169e7912
ersten	w1_d169e7917
Abschriften	w3_d169e7920
der	w5_d169e7923
Capitulation	w7_d169e7926
dieser	w9_d169e7929
Stadt	w1_d169e7934
mit	w3_d169e7937
unsern	w5_d169e7940
neuen	w7_d169e7943
Gästen	w9_d169e7946
ist	w11_d169e7949
gesaget	w13_d169e7953
worden,	w1_d169e7959
daß	w3_d169e7962
wir	w5_d169e7965
Sr.	w7_d169e7968
Allerchristl.	w9_d169e7971
Majestät	w11_d169e7974
den	w1_d169e7979
Eid	w3_d169e7982
der	w5_d169e7985
Treue	w7_d169e7988
schwören	w9_d169e7991
würden.	w11_d169e7994
Es	w13_d169e7998
war	w15_d169e8001
dieses	w1_d169e8006
ein	w3_d169e8009
Jrrtum.	w5_d169e8012
Dieser	w7_d169e8015
Eid	w9_d169e8018
ist	w11_d169e8021
Jhrer	w13_d169e8025
Kaiserl.	w1_d169e8030
Königl.	w3_d169e8033
Majestät	w5_d169e8036
in	w7_d169e8039
die	w9_d169e8042
Hände	w11_d169e8045
des	w13_d169e8049
Herrn	w1_d169e8055
Marschalls	w3_d169e8058
de	w5_d169e8061
Camp	w7_d169e8064
und	w9_d169e8067
Commen	w11_d169e8070
danten	w1_d169e8075
der	w3_d169e8078
Französischen	w5_d169e8081
Auxiliar=trupen	w7_d169e8084
geschworen	w1_d169e8089
worden.	w3_d169e8092
</p>
<head id="h2_d169e8098">
Heidelberg	w1_d169e8102
4.	w3_d169e8105
Augusti.	w5_d169e8108
</head>
<p id="p4_d169e8111">
Der	w1_d169e8115
Marsch	w3_d169e8118
der	w5_d169e8121
Französischen	w7_d169e8124
Trupen,	w9_d169e8127
welche	w1_d169e8132
zur	w3_d169e8135
Reichs=armee	w5_d169e8138
stossen	w7_d169e8141
sollen,	w9_d169e8144
wied	w11_d169e8147
</p>
<p id="p10_d169e8160">
sehr	w1_d169e8164
beschleuniget.	w3_d169e8167
Durch	w5_d169e8170
Heilbronn	w7_d169e8173
seynd	w9_d169e8176
bereits	w1_d169e8181
den	w3_d169e8184
1.	w5_d169e8187
und	w7_d169e8190
2.	w9_d169e8193
8000.	w11_d169e8196
Mann	w13_d169e8200
in	w15_d169e8203
7.	w17_d169e8206
Colonnen	w1_d169e8211
paßiret,	w3_d169e8214
und	w5_d169e8217
s	w7_d169e8220
da	w9_d169e8223
man	w11_d169e8226
sie	w13_d169e8230
nicht	w1_d169e8236
in	w3_d169e8239
der	w5_d169e8242
Stadt	w7_d169e8245
einquartieren	w9_d169e8248
konnte,	w11_d169e8251
in	w13_d169e8255
die	w1_d169e8260
umligende	w3_d169e8263
Dörfer	w5_d169e8266
verlegt	w7_d169e8269
worden.	w9_d169e8272
Die	w11_d169e8275
se	w1_d169e8280
Trupen	w3_d169e8283
bestehen	w5_d169e8286
eigentlich	w7_d169e8289
in	w9_d169e8292
11.	w11_d169e8295
Bat	w13_d169e8299
taillons	w1_d169e8304
Jnfanterie	w3_d169e8307
und	w5_d169e8310
12.	w7_d169e8313
Escadrons	w9_d169e8316
Ca	w11_d169e8319
vallerte	w1_d169e8325
ohne	w3_d169e8328
denen	w5_d169e8331
Zahl=reichen	w7_d169e8334
Minierern	w9_d169e8337
und	w11_d169e8340
Arbeitern.	w1_d169e8345
Den	w3_d169e8348
4.	w5_d169e8351
werden	w7_d169e8354
sie	w9_d169e8357
ihren	w11_d169e8360
Marsch	w13_d169e8364
in	w1_d169e8369
das	w3_d169e8372
Hohenlohische	w5_d169e8375
und	w7_d169e8378
von	w9_d169e8381
da	w11_d169e8384
gegen	w13_d169e8388
Würz	w15_d169e8391
burg	w1_d169e8396
richten,	w3_d169e8399
sodann	w5_d169e8402
aber	w7_d169e8405
sich	w9_d169e8408
mit	w11_d169e8411
der	w13_d169e8415
Reichs	w15_d169e8418
armee	w1_d169e8424
vereinigen.	w3_d169e8427
</p>
<p id="p12_d169e8431">
Am	w1_d169e8435
Mayn=strom	w3_d169e8438
vermehret	w5_d169e8441
sich	w7_d169e8444
die	w9_d169e8447
Anzahl	w11_d169e8450
derer	w1_d169e8455
Franzosen	w3_d169e8458
immer	w5_d169e8461
stärker.	w7_d169e8464
Der	w9_d169e8467
Mar	w11_d169e8470
schall	w1_d169e8475
Herzog	w3_d169e8478
von	w5_d169e8481
Richelieu,	w7_d169e8484
welcher	w9_d169e8487
den	w11_d169e8490
30.	w1_d169e8496
Julii	w3_d169e8499
in	w5_d169e8502
Höchst	w7_d169e8505
eintraf,	w9_d169e8508
gieng	w11_d169e8511
den	w13_d169e8515
31	w15_d169e8518
früh	w1_d169e8523
von	w3_d169e8526
da	w5_d169e8529
nach	w7_d169e8532
Friedberg,	w9_d169e8535
und	w11_d169e8538
von	w13_d169e8542
dort	w15_d169e8545
wird	w1_d169e8550
er	w3_d169e8553
nach	w5_d169e8556
Marburg	w7_d169e8559
abreisen.	w9_d169e8562
Von	w11_d169e8565
dem	w13_d169e8569
unter	w1_d169e8574
seinem	w3_d169e8577
Commando	w5_d169e8580
stehenden	w7_d169e8583
Trupen	w9_d169e8586
ist	w1_d169e8592
seit	w3_d169e8595
den	w5_d169e8598
1.	w7_d169e8601
früh	w9_d169e8604
um	w11_d169e8607
5.	w13_d169e8611
Uhr	w15_d169e8614
ein	w17_d169e8617
starkes	w19_d169e8620
Corpo	w1_d169e8625
mit	w3_d169e8628
vielem	w5_d169e8631
Geschütz	w7_d169e8634
unweit	w9_d169e8637
Frankfort	w11_d169e8640
vorbey	w1_d169e8645
in	w3_d169e8648
die	w5_d169e8651
Grafschaft	w7_d169e8654
Hanau	w9_d169e8657
marschie	w11_d169e8660
ret,	w1_d169e8665
wo,	w3_d169e8668
dem	w5_d169e8671
Vernehmen	w7_d169e8674
nach,	w9_d169e8677
das	w11_d169e8680
Haupt	w13_d169e8684
quartier	w1_d169e8690
seyn	w3_d169e8693
soll.	w5_d169e8696
Das	w7_d169e8699
Fischerische	w9_d169e8702
Jäger	w11_d169e8705
corps	w1_d169e8710
ist	w3_d169e8713
schon	w5_d169e8716
den	w7_d169e8719
28.	w9_d169e8722
von	w11_d169e8725
Höchst	w13_d169e8729
nach	w15_d169e8732
Fried	w17_d169e8735
berg	w1_d169e8740
aufgebrochen.	w3_d169e8743
</p>
<head id="h2_d169e8749">
Haupt=quartier	w1_d169e8753
der	w3_d169e8756
Königl.	w5_d169e8759
Fran	w7_d169e8762
zösischen	w1_d169e8767
Armee	w3_d169e8770
zu	w5_d169e8773
Oldendorf	w7_d169e8776
den	w1_d169e8781
3.	w3_d169e8784
Augusti.	w5_d169e8787
</head>
<p id="p4_d169e8790">
Den	w1_d169e8794
29.	w3_d169e8797
verstrichenen	w5_d169e8800
Monats	w7_d169e8803
Julii	w9_d169e8806
wurde	w11_d169e8809
der	w1_d169e8814
Feind	w3_d169e8817
von	w5_d169e8820
denen	w7_d169e8823
Königl.	w9_d169e8826
Französischen	w11_d169e8829
unter	w1_d169e8834
Commando	w3_d169e8837
des	w5_d169e8840
Herzogs	w7_d169e8843
von	w9_d169e8846
Fitz=james	w11_d169e8849
stehenden	w1_d169e8855
Trupen	w3_d169e8858
bis	w5_d169e8861
diesseits	w7_d169e8864
des	w9_d169e8867
Orts	w11_d169e8870
Ordendorf,	w1_d169e8875
nach	w3_d169e8878
der	w5_d169e8881
jüngst=gemeldeten	w7_d169e8884
Schlacht	w1_d169e8889
von	w3_d169e8892
Hastenbeck	w5_d169e8895
und	w7_d169e8898
Eroberung	w9_d169e8901
der	w11_d169e8904
Festung	w1_d169e8909
Hammeln,	w3_d169e8912
verfolget.	w5_d169e8915
Mit	w7_d169e8918
dieser	w9_d169e8921
Gelegenheit	w1_d169e8927
beobachtete	w3_d169e8930
man,	w5_d169e8933
daß	w7_d169e8936
die	w9_d169e8939
Han	w11_d169e8942
növerische	w1_d169e8947
Armee	w3_d169e8950
mit	w5_d169e8953
aller	w7_d169e8956
Eilfertigkeit	w9_d169e8959
bis	w11_d169e8962
nach	w1_d169e8967
Minden	w3_d169e8970
sich	w5_d169e8973
zurück	w7_d169e8976
gezogen	w9_d169e8979
hatte;	w11_d169e8982
gleich	w13_d169e8986
wie	w1_d169e8991
aber	w3_d169e8994
dieser	w5_d169e8997
Platz	w7_d169e9000
9.	w9_d169e9003
Meilen	w11_d169e9006
von	w13_d169e9010
Hameln	w15_d169e9013
entfernet,	w1_d169e9019
und	w3_d169e9022
eben	w5_d169e9025
diese	w7_d169e9028
Entlegenheit	w9_d169e9031
nicht	w11_d169e9034
hoffen	w1_d169e9039
liesse,	w3_d169e9042
daß	w5_d169e9045
man	w7_d169e9048
ohne	w9_d169e9051
neuen	w11_d169e9054
Vorkeh	w13_d169e9058
rungen	w1_d169e9063
näher	w3_d169e9066
gegen	w5_d169e9069
den	w7_d169e9072
Feind	w9_d169e9075
anrücken	w11_d169e9078
könte	w13_d169e9082
so	w1_d169e9087
setzte	w3_d169e9090
sich	w5_d169e9093
die	w7_d169e9096
Königl.	w9_d169e9099
Französische	w11_d169e9102
Armee	w13_d169e9106
den	w1_d169e9112
31.	w3_d169e9115
Julii	w5_d169e9118
in	w7_d169e9121
den	w9_d169e9124
Marsch,	w11_d169e9127
und	w13_d169e9131
paßirte	w15_d169e9134
den	w1_d169e9139
Fluß	w3_d169e9142
Hameln.	w5_d169e9145
Das	w7_d169e9148
unter	w9_d169e9151
Commando	w11_d169e9154
des	w1_d169e9159
Herrn	w3_d169e9162
de	w5_d169e9165
Randan	w7_d169e9168
stehende	w9_d169e9171
Corps	w11_d169e9174
de	w13_d169e9178
Reserve	w1_d169e9183
wurde	w3_d169e9186
nach	w5_d169e9189
Besperode	w7_d169e9192
postiret,	w9_d169e9195
das	w11_d169e9198
Corps	w1_d169e9204
des	w3_d169e9207
Herrn	w5_d169e9210
de	w7_d169e9213
Broglie	w9_d169e9216
aber	w11_d169e9219
bliebe	w13_d169e9223
in	w15_d169e9226
seiner	w1_d169e9231
Position	w3_d169e9234
an	w5_d169e9237
dem	w7_d169e9240
linken	w9_d169e9243
Ufer	w11_d169e9246
des	w13_d169e9250
We	w15_d169e9253
serstroms,	w1_d169e9258
unweit	w3_d169e9261
Hameln.	w5_d169e9264
</p>
<p id="p6_d169e9267">
Den	w1_d169e9271
1.	w3_d169e9274
Augusti	w5_d169e9277
erhielte	w7_d169e9280
der	w9_d169e9283
commandiren	w11_d169e9286
de	w1_d169e9291
Herr	w3_d169e9294
Feld=marschall	w5_d169e9297
Marquis	w7_d169e9300
d'Etrees	w9_d169e9303
die	w1_d169e9308
Nachricht,	w3_d169e9311
daß	w5_d169e9314
der	w7_d169e9317
Herzog	w9_d169e9320
von	w11_d169e9323
Cum	w13_d169e9327
berland	w1_d169e9333
immer	w3_d169e9336
mehr	w5_d169e9339
und	w7_d169e9342
mehr	w9_d169e9345
sich	w11_d169e9348
entfer	w13_d169e9352
nete,	w1_d169e9357
und	w3_d169e9360
nacher	w5_d169e9363
Nienburg	w7_d169e9366
zuruck	w9_d169e9369
weiche	w11_d169e9372
Und	w1_d169e9377
gleichwie	w3_d169e9380
er	w5_d169e9383
andurch	w7_d169e9386
die	w9_d169e9389
Stadt	w11_d169e9392
Min	w13_d169e9396
den	w1_d169e9401
verlassen	w3_d169e9404
hatte,	w5_d169e9407
als	w7_d169e9410
fanden	w9_d169e9413
sich	w11_d169e9416
einig	w13_d169e9420
Deputirte	w1_d169e9426
von	w3_d169e9429
diesem	w5_d169e9432
Ort	w7_d169e9435
in	w9_d169e9438
unserem	w11_d169e9441
Haupt	w13_d169e9445
quartier	w1_d169e9450
ein,	w3_d169e9453
welche	w5_d169e9456
dem	w7_d169e9459
commandirenden	w9_d169e9462
Herrn	w1_d169e9467
Feld=marschall	w3_d169e9470
die	w5_d169e9473
Schlüssel	w7_d169e9476
zu	w9_d169e9479
die	w11_d169e9482
ser	w1_d169e9487
Stadt	w3_d169e9490
darbotten.	w5_d169e9493
Nicht	w7_d169e9496
minder	w9_d169e9499
ka	w11_d169e9502
men	w1_d169e9508
auch	w3_d169e9511
von	w5_d169e9514
Hannover	w7_d169e9517
(so	w9_d169e9520
nur	w11_d169e9523
mit	w13_d169e9527
400.	w15_d169e9530
Jnvaliden	w1_d169e9535
besetzet	w3_d169e9538
ist)	w5_d169e9541
Abgeordnete	w7_d169e9544
in	w9_d169e9547
dies	w11_d169e9550
seitiges	w1_d169e9555
Haupt=quartier,	w3_d169e9558
um	w5_d169e9561
über	w7_d169e9564
die	w9_d169e9567
ausge	w11_d169e9570
schriebene	w1_d169e9575
Contributionen	w3_d169e9578
das	w5_d169e9581
Benöhtigte	w7_d169e9584
ab	w9_d169e9587
zuhandlen,	w1_d169e9593
und	w3_d169e9596
zugleich	w5_d169e9599
sich	w7_d169e9602
zu	w9_d169e9605
unterwerfen.	w11_d169e9608
Eben	w1_d169e9613
diesen	w3_d169e9616
Tag	w5_d169e9619
Abends	w7_d169e9622
wurde	w9_d169e9625
bey	w11_d169e9628
dieser	w13_d169e9632
Königl.	w1_d169e9637
Französischen	w3_d169e9640
Armee	w5_d169e9643
ein	w7_d169e9646
feyerliches	w9_d169e9649
Te	w1_d169e9654
Deum	w3_d169e9657
laudamus	w5_d169e9660
abgesungen,	w7_d169e9663
um	w9_d169e9666
den	w11_d169e9669
HErrn	w1_d169e9675
deren	w3_d169e9678
Heer=schaaren	w5_d169e9681
wegen	w7_d169e9684
so	w9_d169e9687
vielfältig	w11_d169e9690
glücklichen	w1_d169e9695
Erfolgs	w3_d169e9698
diesseitig	w5_d169e9701
gerechter	w7_d169e9704
Waffen	w9_d169e9707
den	w1_d169e9712
schuldigsten	w3_d169e9715
Dank	w5_d169e9718
abzustatten,	w7_d169e9721
dabey	w9_d169e9724
ver	w11_d169e9727
schiedene	w1_d169e9732
Freudens=bezeugungen	w3_d169e9735
von	w5_d169e9738
denen	w7_d169e9741
Soldaten	w1_d169e9747
angestellet	w3_d169e9750
worden.	w5_d169e9753
</p>
<p id="p8_d169e9756">
Gestern	w1_d169e9760
als	w3_d169e9763
den	w5_d169e9766
2.	w7_d169e9769
dieses	w9_d169e9772
hielte	w11_d169e9775
unsere	w13_d169e9779
Ar	w15_d169e9782
mee	w1_d169e9787
Rast=tag.	w3_d169e9790
Heut	w5_d169e9793
den	w7_d169e9796
3.	w9_d169e9799
Augusti	w11_d169e9802
aber	w13_d169e9806
marschirten	w1_d169e9811
wir	w3_d169e9814
hieher	w5_d169e9817
in	w7_d169e9820
die	w9_d169e9823
diesseitige	w11_d169e9826
Ge	w13_d169e9830
gend	w1_d169e9836
von	w3_d169e9839
Oldendorf.	w5_d169e9842
Die	w7_d169e9845
Reserve	w9_d169e9848
unter	w11_d169e9851
dem	w13_d169e9855
Hrn.	w1_d169e9860
von	w3_d169e9863
Randan	w5_d169e9866
stehet	w7_d169e9869
zu	w9_d169e9872
Hallerspring	w11_d169e9875
an	w13_d169e9879
der	w1_d169e9884
Land=strasse	w3_d169e9887
gegen	w5_d169e9890
Hannover,	w7_d169e9893
das	w9_d169e9896
Cor	w11_d169e9899
po	w1_d169e9904
des	w3_d169e9907
Herrn	w5_d169e9910
von	w7_d169e9913
Armentieres	w9_d169e9916
zu	w11_d169e9919
Harien	w13_d169e9923
berg	w1_d169e9929
3.	w3_d169e9932
Meilen	w5_d169e9935
von	w7_d169e9938
Minden,	w9_d169e9941
und	w11_d169e9944
das	w13_d169e9948
Corpo	w15_d169e9951
des	w1_d169e9956
Hrn.	w3_d169e9959
von	w5_d169e9962
Broglie,	w7_d169e9965
welches	w9_d169e9968
eben	w11_d169e9971
gestern	w13_d169e9975
den	w1_d169e9980
Marsch	w3_d169e9983
angetretten,	w5_d169e9986
nihmt	w7_d169e9989
seinen	w9_d169e9992
Weeg	w11_d169e9995
an	w1_d169e10000
dem	w3_d169e10003
linken	w5_d169e10006
Ufer	w7_d169e10009
des	w9_d169e10012
Weser=stroms	w11_d169e10015
gegen	w13_d169e10019
Reimen.	w1_d169e10025
Eben	w3_d169e10028
dieser	w5_d169e10031
Hr.	w7_d169e10034
von	w9_d169e10037
Broglie	w11_d169e10040
hat	w13_d169e10044
die	w1_d169e10049
Stadt	w3_d169e10052
Minden	w5_d169e10055
durch	w7_d169e10058
ein	w9_d169e10061
Detaschement	w11_d169e10064
besetzen	w1_d169e10069
lassen.	w3_d169e10072
</p>
<p id="p10_d169e10075">
Der	w1_d169e10079
Hr.	w3_d169e10082
Feld=marschall	w5_d169e10085
von	w7_d169e10088
Richelieu,	w9_d169e10091
welcher	w1_d169e10096
mit	w3_d169e10099
einer	w5_d169e10102
namhaften	w7_d169e10105
Verstärkung	w9_d169e10108
von	w1_d169e10113
Trupen	w3_d169e10116
gegen	w5_d169e10119
diese	w7_d169e10122
Armee	w9_d169e10125
in	w11_d169e10128
Anmarsch	w13_d169e10132
ist,	w1_d169e10138
wird	w3_d169e10141
diesseitiges	w5_d169e10144
Commando	w7_d169e10147
überneh	w9_d169e10150
men,	w1_d169e10155
anerwogen	w3_d169e10158
selber,	w5_d169e10161
dem	w7_d169e10164
Hrn.	w9_d169e10167
Marschall	w11_d169e10170
von	w1_d169e10175
Etrees	w3_d169e10178
in	w5_d169e10181
denen	w7_d169e10184
Jahren	w9_d169e10187
sothaner	w11_d169e10190
Würde	w13_d169e10194
vorgehet.	w1_d169e10199
Er	w3_d169e10202
wird	w5_d169e10205
noch	w7_d169e10208
heute	w9_d169e10211
Abends	w11_d169e10214
bey	w13_d169e10218
uns	w1_d169e10224
erwartet,	w3_d169e10227
und	w5_d169e10230
es	w7_d169e10233
ist	w9_d169e10236
wahrscheinlich,	w11_d169e10239
daß	w13_d169e10243
zu	w1_d169e10248
gleicher	w3_d169e10251
Zeit,	w5_d169e10254
da	w7_d169e10257
er	w9_d169e10260
in	w11_d169e10263
eben	w13_d169e10267
dermaliger	w15_d169e10270
Position	w1_d169e10275
gegen	w3_d169e10278
den	w5_d169e10281
Herzog	w7_d169e10284
von	w9_d169e10287
Cumberland	w11_d169e10290
nacher	w1_d169e10295
Nienburg	w3_d169e10298
vorrucken	w5_d169e10301
wird,	w7_d169e10304
er	w9_d169e10307
auch	w11_d169e10310
die	w1_d169e10316
Stadt	w3_d169e10319
Hannover	w5_d169e10322
in	w7_d169e10325
