<doc id="wr_1758-02-08" attrs="word" year="1758" month="02" day="08" corpus="2">
<head id="h2_d217e3160">
Rom,	w1_d217e3164
Großfürstin	w1_d217e6793
entbunden	w3_d217e6796
worden,	w5_d217e6799
die	w7_d217e6802
Pathen	w9_d217e6805
stelle	w1_d217e6810
zu	w3_d217e6813
vertretten.	w5_d217e6816
Der	w7_d217e6819
König	w9_d217e6822
hat	w11_d217e6825
demnach	w13_d217e6829
dem	w1_d217e6834
Marquis	w3_d217e6837
de	w5_d217e6840
l'Hopital	w7_d217e6843
anbefohlen,	w9_d217e6846
Jh	w11_d217e6849
re	w1_d217e6854
Kaiserl.	w3_d217e6857
Majest.	w5_d217e6860
zu	w7_d217e6863
versichern:	w9_d217e6866
Daß	w11_d217e6869
ihn	w13_d217e6873
dieses	w1_d217e6879
Freundschafts=zeichen	w3_d217e6882
ungemein	w5_d217e6885
gerüh	w7_d217e6888
ret,	w1_d217e6893
und	w3_d217e6896
daß	w5_d217e6899
solches	w7_d217e6902
Dero	w9_d217e6905
gute	w11_d217e6908
Harmonie	w13_d217e6912
noch	w1_d217e6917
mehr	w3_d217e6920
befestigen	w5_d217e6923
solle.	w7_d217e6926
Sonst	w9_d217e6929
scheinet	w11_d217e6932
es,	w1_d217e6937
eine	w3_d217e6940
Gewißheit	w5_d217e6943
zu	w7_d217e6946
seyn,	w9_d217e6949
daß	w11_d217e6952
unser	w13_d217e6956
der	w15_d217e6959
Kaiseren	w1_d217e6965
Königin	w3_d217e6968
stipulirtes	w5_d217e6971
Contingent	w7_d217e6974
von	w9_d217e6977
24000	w1_d217e6982
Mann	w3_d217e6985
unter	w5_d217e6988
dem	w7_d217e6991
Prinzen	w9_d217e6994
von	w11_d217e6997
Soubi	w13_d217e7001
se	w1_d217e7006
nach	w3_d217e7009
Böhmen	w5_d217e7012
gehen	w7_d217e7015
werde	w9_d217e7018
Zu	w11_d217e7021
Brest	w13_d217e7025
ist	w15_d217e7028
die	w17_d217e7031
Escadre	w1_d217e7036
des	w3_d217e7039
Herrn	w5_d217e7042
von	w7_d217e7045
Kersaini	w9_d217e7048
mit	w11_d217e7051
verschie	w13_d217e7055
denen	w1_d217e7061
Engländischen	w3_d217e7064
Beuten	w5_d217e7067
zurück	w7_d217e7070
gekommen	w9_d217e7073
Er	w1_d217e7078
ist	w3_d217e7081
seit	w5_d217e7084
dem	w7_d217e7087
21.	w9_d217e7090
November	w11_d217e7093
1756	w13_d217e7097
weg	w15_d217e7100
ge	w17_d217e7103
wesen,	w1_d217e7108
und	w3_d217e7111
hat	w5_d217e7114
den	w7_d217e7117
21.	w9_d217e7120
Octebr.	w11_d217e7123
1757.	w13_d217e7127
ein	w15_d217e7130
hitziges	w1_d217e7135
See=gefecht	w3_d217e7138
mit	w5_d217e7141
inigen	w7_d217e7144
Engländischen	w9_d217e7147
Kriegs=schiffen	w1_d217e7153
ausgehalten.	w3_d217e7156
</p>
<head id="h2_d217e7162">
Colberg	w1_d217e7166
15.	w3_d217e7169
Januarii.	w5_d217e7172
</head>
<p id="p4_d217e7175">
Als	w1_d217e7179
der	w3_d217e7182
Herr	w5_d217e7185
General	w7_d217e7188
von	w9_d217e7191
Malachosky	w11_d217e7194
mit	w1_d217e7199
einer	w3_d217e7202
kleinen	w5_d217e7205
Anzahl	w7_d217e7208
von	w9_d217e7211
seinen	w11_d217e7214
Hussaren,	w13_d217e7218
bis	w1_d217e7223
an	w3_d217e7226
Stralsund	w5_d217e7229
recognosciren	w7_d217e7232
geritten,	w9_d217e7235
ist	w11_d217e7238
ihm	w1_d217e7244
ein	w3_d217e7247
Pferd	w5_d217e7250
unterm	w7_d217e7253
Leib	w9_d217e7256
erschossen	w11_d217e7259
worden;	w13_d217e7263
er	w1_d217e7268
hat	w3_d217e7271
hierauf	w5_d217e7274
etliche	w7_d217e7277
100.	w9_d217e7280
Mann	w11_d217e7283
Cavallerie	w13_d217e7287
zur	w1_d217e7292
Verstärkung	w3_d217e7295
erhalten,	w5_d217e7298
und	w7_d217e7301
eine	w9_d217e7304
ansehnli	w11_d217e7307
cheAl	w1_d217e7312
zahl	w3_d217e7315
von	w5_d217e7318
denen	w7_d217e7321
Schweden	w9_d217e7324
zu	w11_d217e7327
Gefangenen	w13_d217e7331
</p>
<p id="p6_d217e7334">
gemacht,	w1_d217e7338
wobey	w3_d217e7341
er	w5_d217e7344
aber	w7_d217e7347
von	w9_d217e7350
einer	w11_d217e7353
matten	w13_d217e7357
Canonen=kugel	w1_d217e7362
getroffen	w3_d217e7365
und	w5_d217e7368
verwundet	w7_d217e7371
wor	w9_d217e7374
den	w1_d217e7379
ist.	w3_d217e7382
</p>
<head id="h2_d217e7388">
Nieder=elbe	w1_d217e7392
28.	w3_d217e7395
Jan.	w5_d217e7398
</head>
<p id="p4_d217e7401">
Aus	w1_d217e7405
Briefen	w3_d217e7408
von	w5_d217e7411
Bremen	w7_d217e7414
ist	w9_d217e7417
über	w11_d217e7420
dasjenige	w13_d217e7424
was	w1_d217e7429
man	w3_d217e7432
bereits	w5_d217e7435
v.	w7_d217e7438
denen	w9_d217e7441
dasigen	w11_d217e7444
Umständen	w13_d217e7448
gemeldet,	w1_d217e7453
annoch	w3_d217e7456
zu	w5_d217e7459
ersehen	w7_d217e7462
gewesen,	w9_d217e7465
daß	w11_d217e7468
sich	w13_d217e7472
noch	w1_d217e7478
immer	w3_d217e7481
mehrere	w5_d217e7484
Französische	w7_d217e7487
Trupen	w9_d217e7490
hin	w11_d217e7493
ein	w1_d217e7498
ziehen,	w3_d217e7501
und	w5_d217e7504
die	w7_d217e7507
Garnison	w9_d217e7510
schen	w11_d217e7513
über	w13_d217e7517
3000.	w15_d217e7520
Mann	w1_d217e7525
angewachsen	w3_d217e7528
sey,	w5_d217e7531
nicht	w7_d217e7534
weniger	w9_d217e7537
die	w11_d217e7540
Vorstädte	w1_d217e7545
sehr	w3_d217e7548
stark	w5_d217e7551
besetzt	w7_d217e7554
sind,	w9_d217e7557
und	w11_d217e7560
das	w13_d217e7564
ganze	w15_d217e7567
Corps	w1_d217e7573
auf	w3_d217e7576
6.	w5_d217e7579
bis	w7_d217e7582
7000.	w9_d217e7585
Mann	w11_d217e7588
sich	w13_d217e7592
erstrecke.	w15_d217e7595
Des	w1_d217e7600
Herzogs	w3_d217e7603
von	w5_d217e7606
Broglio	w7_d217e7609
gute	w9_d217e7612
Anstalten	w11_d217e7615
in	w13_d217e7619
der	w1_d217e7624
besten	w3_d217e7627
Mannszucht	w5_d217e7630
und	w7_d217e7633
in	w9_d217e7636
der	w11_d217e7639
möglichsten	w13_d217e7643
Erleichterung	w1_d217e7648
der	w3_d217e7651
Einwohner	w5_d217e7654
werden	w7_d217e7657
beson	w9_d217e7660
ders	w1_d217e7666
gerühmet,	w3_d217e7669
sie	w5_d217e7672
zielen	w7_d217e7675
aber	w9_d217e7678
daneben	w11_d217e7681
in	w13_d217e7685
denen	w1_d217e7690
beständigen	w3_d217e7693
Patrouillen,	w5_d217e7696
Besetzung	w7_d217e7699
des	w9_d217e7702
Dom=hofes	w1_d217e7707
und	w3_d217e7710
der	w5_d217e7713
Gässen	w7_d217e7716
mit	w9_d217e7719
Canonen,	w11_d217e7722
und	w13_d217e7726
in	w1_d217e7731
denen	w3_d217e7734
häuffigen	w5_d217e7737
ausgestellten	w7_d217e7740
Piquets,	w9_d217e7743
vor	w11_d217e7746
nämlich	w1_d217e7752
auf	w3_d217e7755
die	w5_d217e7758
Gesicherung	w7_d217e7761
gegen	w9_d217e7764
die	w11_d217e7767
Miß	w13_d217e7771
vergnügten	w1_d217e7776
in	w3_d217e7779
der	w5_d217e7782
Stadt	w7_d217e7785
und	w9_d217e7788
auf	w11_d217e7791
eine	w13_d217e7795
Zurück	w15_d217e7798
haltung	w1_d217e7803
der	w3_d217e7806
Hanoveraner	w5_d217e7809
ab,	w7_d217e7812
welche,	w9_d217e7815
da	w11_d217e7818
sie	w13_d217e7822
zu	w1_d217e7827
spät	w3_d217e7830
angekommen,	w5_d217e7833
bis	w7_d217e7836
zur	w9_d217e7839
mehreren	w11_d217e7842
Ver	w13_d217e7846
stärkung	w1_d217e7852
sich	w3_d217e7855
in	w5_d217e7858
etwas	w7_d217e7861
von	w9_d217e7864
denen	w11_d217e7867
Vorstädten,	w13_d217e7871
an	w1_d217e7876
welche	w3_d217e7879
sie	w5_d217e7882
schon	w7_d217e7885
gerückt	w9_d217e7888
gewesen,	w11_d217e7891
wieder	w13_d217e7895
zurück	w1_d217e7900
gezogen	w3_d217e7903
haben.	w5_d217e7906
Man	w7_d217e7909
sieht	w9_d217e7912
im	w11_d217e7915
voraus,	w13_d217e7919
daß	w1_d217e7924
ein	w3_d217e7927
so	w5_d217e7930
bequemer	w7_d217e7933
Waffen=platz,	w9_d217e7936
welcher	w11_d217e7939
zugleich	w1_d217e7945
den	w3_d217e7948
vorhin	w5_d217e7951
der	w7_d217e7954
Kälte	w9_d217e7957
und	w11_d217e7960
andern	w13_d217e7964
Un	w15_d217e7967
gemächlichkeiten	w1_d217e7972
blos	w3_d217e7975
gestellt	w5_d217e7978
gewesten	w7_d217e7981
Fran	w9_d217e7984
zösischen	w1_d217e7989
Völkern	w3_d217e7992
zu	w5_d217e7995
einem	w7_d217e7998
gemächlichen	w9_d217e8001
Win	w11_d217e8004
ter=quartier	w1_d217e8009
dienet,	w3_d217e8012
so	w5_d217e8015
bald	w7_d217e8018
von	w9_d217e8021
selbigen	w11_d217e8024
nicht	w13_d217e8028
dörfte	w1_d217e8034
geraumet	w3_d217e8037
werden,	w5_d217e8040
woferne	w7_d217e8043
nicht	w9_d217e8046
die	w11_d217e8049
aller	w1_d217e8054
Orten	w3_d217e8057
angesuchte	w5_d217e8060
Vermittelung	w7_d217e8063
der	w9_d217e8066
Stadt	w1_d217e8071
angedeihet,	w3_d217e8074
zu	w5_d217e8077
welchem	w7_d217e8080
Behuf	w9_d217e8083
man	w11_d217e8086
in	w13_d217e8090
sonderheit	w1_d217e8095
die	w3_d217e8098
Gegenwart	w5_d217e8101
des	w7_d217e8104
Königl.	w9_d217e8107
Däni	w11_d217e8110
schen	w1_d217e8116
Statthalters	w3_d217e8119
Herrn	w5_d217e8122
Grafens	w7_d217e8125
Lynar,	w9_d217e8128
in	w1_d217e8133
denen	w3_d217e8136
Grafschaften	w5_d217e8139
Oldenburg	w7_d217e8142
und	w9_d217e8145
Delmen	w11_d217e8148
horst	w1_d217e8153
angewandt	w3_d217e8156
zu	w5_d217e8159
sehen	w7_d217e8162
hoffet,	w9_d217e8165
als	w11_d217e8168
welcher	w13_d217e8172
bald	w1_d217e8177
nach	w3_d217e8180
der	w5_d217e8183
geschehenen	w7_d217e8186
Einnahme	w9_d217e8189
der	w11_d217e8192
Stadt	w13_d217e8196
dahin	w1_d217e8202
sich	w3_d217e8205
begeben,	w5_d217e8208
und	w7_d217e8211
beym	w9_d217e8214
Abgange	w11_d217e8217
der	w13_d217e8221
fahrenden	w1_d217e8226
Post	w3_d217e8229
noch	w5_d217e8232
in	w7_d217e8235
selbiger	w9_d217e8238
sich	w11_d217e8241
befunden	w13_d217e8245
hat.	w1_d217e8250
Die	w3_d217e8253
aus	w5_d217e8256
11.	w7_d217e8259
Artickeln	w9_d217e8262
bestehende	w11_d217e8265
Ca	w13_d217e8269
pitulation	w1_d217e8274
/	w3_d217e8277
welche	w5_d217e8280
der	w7_d217e8283
Magistrat	w9_d217e8286
mit	w11_d217e8289
dem	w13_d217e8293
Herzog	w1_d217e8299
von	w3_d217e8302
Broglio	w5_d217e8305
gleich	w7_d217e8308
nach	w9_d217e8311
erfolgter	w11_d217e8314
Ein	w13_d217e8318
rückung	w1_d217e8323
getroffen	w3_d217e8326
hat,	w5_d217e8329
ist	w7_d217e8332
noch	w9_d217e8335
nicht	w11_d217e8338
in	w13_d217e8342
allen	w15_d217e8345
darinn	w1_d217e8350
zugestandenen	w3_d217e8353
Puncten	w5_d217e8356
bekannt;	w7_d217e8359
die	w9_d217e8362
ses	w1_d217e8367
aber	w3_d217e8370
ist	w5_d217e8373
gewiß,	w7_d217e8376
daß	w9_d217e8379
die	w11_d217e8382
ungekränkte	w13_d217e8386
Bey	w15_d217e8389
behaltung	w1_d217e8395
der	w3_d217e8398
Freyheit	w5_d217e8401
der	w7_d217e8404
Religions=übung	w9_d217e8407
und	w1_d217e8412
der	w3_d217e8415
Handlung	w5_d217e8418
der	w7_d217e8421
erste	w9_d217e8424
wefentlichste	w11_d217e8427
und	w13_d217e8431
wich	w1_d217e8436
</p>
<p id="p8_d217e8441">
wichtigste	w1_d217e8445
derselben	w3_d217e8448
sey,	w5_d217e8451
worüber	w7_d217e8454
man	w9_d217e8457
Fran	w11_d217e8460
zösischer	w1_d217e8465
Seits	w3_d217e8468
die	w5_d217e8471
feyerlichste	w7_d217e8474
Garantie	w9_d217e8477
ver	w11_d217e8480
sprochen,	w1_d217e8485
wann	w3_d217e8488
die	w5_d217e8491
Stadt	w7_d217e8494
sich	w9_d217e8497
ruhig	w11_d217e8500
verhal	w13_d217e8504
ten,	w1_d217e8510
und	w3_d217e8513
den	w5_d217e8516
Trupen	w7_d217e8519
allen	w9_d217e8522
möglichen	w11_d217e8525
Vorschub	w13_d217e8529
leisten	w1_d217e8534
würde.	w3_d217e8537
</p>
<head id="h2_d217e8543">
Londen	w1_d217e8547
18.	w3_d217e8550
Jan.	w5_d217e8553
</head>
<p id="p4_d217e8556">
Man	w1_d217e8560
hat	w3_d217e8563
vom	w5_d217e8566
Hof	w7_d217e8569
aus	w9_d217e8572
dem	w11_d217e8575
General	w13_d217e8579
Aber	w15_d217e8582
cromble	w1_d217e8587
sein	w3_d217e8590
Patent,	w5_d217e8593
als	w7_d217e8596
Commandant	w9_d217e8599
en	w11_d217e8602
Chef	w13_d217e8606
der	w1_d217e8611
Königl.	w3_d217e8614
Trupen	w5_d217e8617
in	w7_d217e8620
America,	w9_d217e8623
nebst	w11_d217e8626
einem	w13_d217e8630
Plan,	w1_d217e8636
den	w3_d217e8639
er	w5_d217e8642
bey	w7_d217e8645
Ueberkunft	w9_d217e8648
unserer	w11_d217e8651
Flotte	w13_d217e8655
zur	w15_d217e8658
Vollstreckung	w1_d217e8663
beingen	w3_d217e8666
soll;	w5_d217e8669
nicht	w7_d217e8672
weniger	w9_d217e8675
eine	w11_d217e8678
Vorschrift	w1_d217e8683
der	w3_d217e8686
einsweilen	w5_d217e8689
zu	w7_d217e8692
treffenden	w9_d217e8695
Anstal	w11_d217e8698
ten	w1_d217e8703
überschickt,	w3_d217e8706
um	w5_d217e8709
sich	w7_d217e8712
nach	w9_d217e8715
selbigen	w11_d217e8718
richten	w13_d217e8722
zu	w15_d217e8725
können.	w1_d217e8731
Was	w3_d217e8734
die	w5_d217e8737
Unternehmungen	w7_d217e8740
auf	w9_d217e8743
das	w11_d217e8746
feste	w1_d217e8751
Land	w3_d217e8754
von	w5_d217e8757
Europa	w7_d217e8760
betrift,	w9_d217e8763
so	w11_d217e8766
wird	w13_d217e8770
es	w15_d217e8773
da	w17_d217e8776
mit	w1_d217e8781
auf	w3_d217e8784
die	w5_d217e8787
Entschliessungen	w7_d217e8790
verschiedener	w9_d217e8793
Höfe	w11_d217e8796
ankommen,	w1_d217e8801
mit	w3_d217e8804
denen	w5_d217e8807
man	w7_d217e8810
dieserhalb	w9_d217e8813
in	w11_d217e8816
Un	w13_d217e8820
terhandlungen	w1_d217e8826
getretten	w3_d217e8829
ist.	w5_d217e8832
An	w7_d217e8835
der	w9_d217e8838
nach	w11_d217e8841
Ame	w13_d217e8845
rica	w1_d217e8850
bestimmten	w3_d217e8853
Rüstung	w5_d217e8856
wird	w7_d217e8859
Tag	w9_d217e8862
und	w11_d217e8865
Nacht	w13_d217e8869
gearbeitet;	w1_d217e8874
zu	w3_d217e8877
Wolwich	w5_d217e8880
wird	w7_d217e8883
auch	w9_d217e8886
ein	w11_d217e8889
grosser	w13_d217e8893
Zug	w1_d217e8898
Artillerie	w3_d217e8901
in	w5_d217e8904
Bereitschaft	w7_d217e8907
gestellt,	w9_d217e8910
welcher	w11_d217e8913
nebst	w1_d217e8919
500.	w3_d217e8922
Feuerwerkern,	w5_d217e8925
einer	w7_d217e8928
guten	w9_d217e8931
Anzahl	w11_d217e8934
Jngenieurs	w1_d217e8939
und	w3_d217e8942
anderer	w5_d217e8945
zu	w7_d217e8948
Anlegung	w9_d217e8951
der	w11_d217e8954
Fe	w13_d217e8958
stungs=werke	w1_d217e8963
nöhtigen	w3_d217e8966
Officiers,	w5_d217e8969
dorthin	w7_d217e8972
übergesetzt	w1_d217e8977
werden	w3_d217e8980
soll.	w5_d217e8983
Dieje	w7_d217e8986
letztern	w9_d217e8989
begeben	w11_d217e8992
sich	w1_d217e8998
schon	w3_d217e9001
würklich	w5_d217e9004
nach	w7_d217e9007
Portsmouth,	w9_d217e9010
um	w11_d217e9013
bey	w13_d217e9017
der	w1_d217e9022
Hand	w3_d217e9025
zu	w5_d217e9028
seyn,	w7_d217e9031
sich	w9_d217e9034
mit	w11_d217e9037
dem	w13_d217e9041
auf	w15_d217e9044
10000.	w17_d217e9047
Mann	w1_d217e9052
starken	w3_d217e9055
Verstärkungs=corps	w5_d217e9058
einschiffen	w7_d217e9061
zu	w1_d217e9066
können.	w3_d217e9069
Es	w5_d217e9072
ist	w7_d217e9075
bereits	w9_d217e9078
an	w11_d217e9081
ein	w13_d217e9085
Kriegs=schif	w15_d217e9088
der	w1_d217e9094
Befehl	w3_d217e9097
ergangen,	w5_d217e9100
sich	w7_d217e9103
nach	w9_d217e9106
Cork	w11_d217e9109
in	w13_d217e9113
Jrland	w15_d217e9116
zu	w1_d217e9121
begeben,	w3_d217e9124
um	w5_d217e9127
die	w7_d217e9130
daselbst	w9_d217e9133
ligende	w11_d217e9136
mit	w13_d217e9140
Lebens	w15_d217e9143
mitteln	w1_d217e9148
beladene	w3_d217e9151
Transport=scheffe	w5_d217e9154
unter	w7_d217e9157
seine	w9_d217e9160
Bedeckung	w1_d217e9165
zu	w3_d217e9168
nehmen	w5_d217e9171
und	w7_d217e9174
mit	w9_d217e9177
selbigen	w11_d217e9180
bey	w13_d217e9184
ersterm	w1_d217e9190
guten	w3_d217e9193
Wind	w5_d217e9196
nach	w7_d217e9199
America	w9_d217e9202
unter	w11_d217e9205
Se	w13_d217e9209
gel	w1_d217e9214
zu	w3_d217e9217
gehen;	w5_d217e9220
welchen	w7_d217e9223
gegen	w9_d217e9226
die	w11_d217e9229
Mitte	w13_d217e9233
des	w15_d217e9236
Februarii	w1_d217e9241
eine	w3_d217e9244
dorthin	w5_d217e9247
gewiedmete	w7_d217e9250
Kauf=flotte	w9_d217e9253
unter	w1_d217e9258
starker	w3_d217e9261
Bedeckung	w5_d217e9264
nachfolgen	w7_d217e9267
wird.	w9_d217e9270
Gestern	w1_d217e9276
gieng	w3_d217e9279
der	w5_d217e9282
Ritter	w7_d217e9285
Hardy	w9_d217e9288
nach	w11_d217e9291
Ports	w13_d217e9295
mouth,	w1_d217e9300
welcher	w3_d217e9303
innerhalb	w5_d217e9306
wenig	w7_d217e9309
Tagen	w9_d217e9312
die	w11_d217e9315
Segel	w1_d217e9320
nach	w3_d217e9323
America	w5_d217e9326
aufziehen	w7_d217e9329
wird.	w9_d217e9332
Der	w11_d217e9335
Herr	w1_d217e9340
Bastide,	w3_d217e9343
Jngenieur=general,	w5_d217e9346
begleitet	w7_d217e9349
denselben,	w1_d217e9355
so	w3_d217e9358
derjenige	w5_d217e9361
Officier	w7_d217e9364
ist,	w9_d217e9367
wel	w11_d217e9370
cher	w1_d217e9375
den	w3_d217e9378
Admiral	w5_d217e9381
Vernon	w7_d217e9384
auf	w9_d217e9387
seinem	w11_d217e9390
Unter	w13_d217e9394
nehmen	w1_d217e9399
gegen	w3_d217e9402
Cap=breton	w5_d217e9405
begleitete.	w7_d217e9408
Jn	w9_d217e9411
kurzem	w1_d217e9416
wird	w3_d217e9419
der	w5_d217e9422
Admiral	w7_d217e9425
Boscawen,	w9_d217e9428
deme	w11_d217e9431
der	w1_d217e9437
König	w3_d217e9440
das	w5_d217e9443
Commando	w7_d217e9446
der	w9_d217e9449
Flotte	w11_d217e9452
in	w13_d217e9456
dor	w15_d217e9459
tigen	w1_d217e9464
Gewässern	w3_d217e9467
übergeben	w5_d217e9470
hat,	w7_d217e9473
mit	w9_d217e9476
dem	w11_d217e9479
Rest	w13_d217e9483
der	w1_d217e9488
dahin	w3_d217e9491
bestimmten	w5_d217e9494
Flotte,	w7_d217e9497
nachfolgen	w9_d217e9500
Weder	w1_d217e9505
er,	w3_d217e9508
noch	w5_d217e9511
der	w7_d217e9514
Admiral	w9_d217e9517
Knowles,	w11_d217e9520
haben	w13_d217e9524
abgedankt,	w1_d217e9530
gleich	w3_d217e9533
neulich	w5_d217e9536
die	w7_d217e9539
Rede	w9_d217e9542
gegangen.	w11_d217e9545
</p>
<p id="p6_d217e9548">
Uebrigens	w1_d217e9552
haben	w3_d217e9555
uns	w5_d217e9558
die	w7_d217e9561
jüngsten	w9_d217e9564
Briefe	w11_d217e9567
von	w13_d217e9571
Livorno	w1_d217e9576
die	w3_d217e9579
unangenehme	w5_d217e9582
Gewißheit	w7_d217e9585
mitge	w9_d217e9588
bracht,	w1_d217e9593
daß	w3_d217e9596
der	w5_d217e9599
brafe	w7_d217e9602
Capitain	w9_d217e9605
Fortunatus	w11_d217e9608
Wrigt,	w1_d217e9614
in	w3_d217e9617
einem	w5_d217e9620
verwichenen	w7_d217e9623
May	w9_d217e9626
über	w11_d217e9629
ihn	w13_d217e9633
gekommenen	w1_d217e9638
Sturm	w3_d217e9641
umgekommen,	w5_d217e9644
nachdem	w7_d217e9647
er	w1_d217e9652
noch	w3_d217e9655
wenige	w5_d217e9658
Tage	w7_d217e9661
vor	w9_d217e9664
seinem	w11_d217e9667
Schifbruch	w13_d217e9671
eine	w1_d217e9676
Prise	w3_d217e9679
nach	w5_d217e9682
Maltha	w7_d217e9685
geschickt	w9_d217e9688
hatte.	w11_d217e9691
</p>
<head id="h2_d217e9698">
Dreßden	w1_d217e9702
26.	w3_d217e9705
Jan.	w5_d217e9708
</head>
<p id="p4_d217e9711">
Vor	w1_d217e9715
einigen	w3_d217e9718
Tagen	w5_d217e9721
seynd	w7_d217e9724
der	w9_d217e9727
Königl.	w11_d217e9730
Preu	w13_d217e9734
ßische	w1_d217e9739
General=feldemarschall	w3_d217e9742
von	w5_d217e9745
Keith,	w7_d217e9748
von	w9_d217e9751
Chemnitz	w1_d217e9756
allhier	w3_d217e9759
angelanget.	w5_d217e9762
Auch	w7_d217e9765
seynd	w9_d217e9768
die	w11_d217e9771
Frau	w1_d217e9777
geheime	w3_d217e9780
Rähtin,	w5_d217e9783
Gräfin	w7_d217e9786
von	w9_d217e9789
Watzdorf	w11_d217e9792
von	w1_d217e9797
Dero	w3_d217e9800
Herrschaft	w5_d217e9803
Lichtenwalde	w7_d217e9806
allhier	w9_d217e9809
an	w11_d217e9812
gekommen,	w1_d217e9817
Deroselben	w3_d217e9820
Hr.	w5_d217e9823
Gemahl	w7_d217e9826
aber	w9_d217e9829
befin	w11_d217e9832
det	w1_d217e9837
sich	w3_d217e9840
in	w5_d217e9843
eigenen	w7_d217e9846
Angelegenheiten	w9_d217e9849
annoch	w11_d217e9852
in	w13_d217e9856
Paris.	w1_d217e9862
Gestern	w3_d217e9865
Vormittag	w5_d217e9868
wurde	w7_d217e9871
in	w9_d217e9874
der	w11_d217e9877
Königl.	w1_d217e9882
Hof=kirche	w3_d217e9885
der	w5_d217e9888
höchst=seel.	w7_d217e9891
Königin	w9_d217e9894
Majest.	w1_d217e9899
bey	w3_d217e9902
einem	w5_d217e9905
aufgerichteten	w7_d217e9908
Castro	w9_d217e9911
Do	w11_d217e9914
loris	w1_d217e9919
eine	w3_d217e9922
Trauer	w5_d217e9925
und	w7_d217e9928
Gedächtmß=predig	w9_d217e9931
in	w1_d217e9937
Gegenwart	w3_d217e9940
deren	w5_d217e9943
Königl.	w7_d217e9946
Herrschaften	w9_d217e9949
ge	w11_d217e9952
halten.	w1_d217e9957
Vor	w3_d217e9960
etlichen	w5_d217e9963
Tägen	w7_d217e9966
seynd	w9_d217e9969
Se.	w11_d217e9972
Durch	w13_d217e9976
leucht	w1_d217e9981
der	w3_d217e9984
Fürst	w5_d217e9987
Lubomirski	w7_d217e9990
und	w9_d217e9993
der	w11_d217e9996
Hr.	w13_d217e10000
Ge	w15_d217e10003
neral=feld=marschall	w1_d217e10008
Graf	w3_d217e10011
Rutowski,	w5_d217e10014
von	w7_d217e10017
Welke	w1_d217e10023
allhier	w3_d217e10026
angelanget,	w5_d217e10029
und	w7_d217e10032
werden	w9_d217e10035
nun	w11_d217e10038
mehr	w1_d217e10043
Dero	w3_d217e10046
beständigen	w5_d217e10049
Aufenthalt	w7_d217e10052
wiederum	w9_d217e10055
hier	w1_d217e10060
nehmen,	w3_d217e10063
gleichwie	w5_d217e10066
auch	w7_d217e10069
Se.	w9_d217e10072
Durchl.	w11_d217e10075
der	w13_d217e10079
Prinz	w1_d217e10084
Chevalier	w3_d217e10087
de	w5_d217e10090
Saxe,	w7_d217e10093
bereits	w9_d217e10096
eine	w11_d217e10099
gerau	w13_d217e10103
me	w1_d217e10109
Zeit	w3_d217e10112
allhier	w5_d217e10115
sich	w7_d217e10118
anwesend	w9_d217e10121
befinden.	w11_d217e10124
</p>
<head id="h2_d217e10130">
Paderborn	w1_d217e10134
16.	w3_d217e10137
Februarii.	w5_d217e10140
</head>
<p id="p4_d217e10143">
Die	w1_d217e10147
Hannoveraner	w3_d217e10150
beobachten	w5_d217e10153
noch	w7_d217e10156
ihre	w9_d217e10159
Stellung	w1_d217e10164
an	w3_d217e10167
der	w5_d217e10170
Nieder	w7_d217e10173
Wumme,	w9_d217e10176
extendiren	w11_d217e10179
ihre	w1_d217e10184
Piquets	w3_d217e10187
und	w5_d217e10190
Vor=posten	w7_d217e10193
bis	w9_d217e10196
gegen	w11_d217e10199
Bre	w13_d217e10203
men,	w1_d217e10209
und	w3_d217e10212
erwarten	w5_d217e10215
dem	w7_d217e10218
Vernehmen	w9_d217e10221
nach	w11_d217e10224
den	w13_d217e10228
Erb=prinzen	w1_d217e10233
von	w3_d217e10236
Braunschweig	w5_d217e10239
Durchl.	w7_d217e10242
mit	w9_d217e10245
einer	w1_d217e10250
Zahlereichen	w3_d217e10253
Verstärkung.	w5_d217e10256
Der	w7_d217e10259
Her	w9_d217e10262
zog	w1_d217e10267
von	w3_d217e10270
Broglio	w5_d217e10273
ist	w7_d217e10276
auf	w9_d217e10279
alle	w11_d217e10282
ihre	w13_d217e10286
Bewegungen	w15_d217e10289
ungemein	w1_d217e10295
aufmerksam.	w3_d217e10298
Die	w5_d217e10301
Garnison	w7_d217e10304
von	w9_d217e10307
Bremen	w1_d217e10312
ist	w3_d217e10315
jetzo	w5_d217e10318
bey	w7_d217e10321
8000.	w9_d217e10324
Mann	w11_d217e10327
stark,	w13_d217e10331
und	w15_d217e10334
täglich	w1_d217e10339
wird	w3_d217e10342
an	w5_d217e10345
Aufeisung	w7_d217e10348
derer	w9_d217e10351
Stadtgrä	w11_d217e10354
ben	w1_d217e10359
gearbeitet,	w3_d217e10362
um	w5_d217e10365
gegen	w7_d217e10368
eine	w9_d217e10371
unvermutere	w11_d217e10374
Attaque	w1_d217e10380
gesichert	w3_d217e10383
zu	w5_d217e10386
seyn.	w7_d217e10389
Jn	w9_d217e10392
denen	w11_d217e10395
Vor	w13_d217e10399
städten	w1_d217e10404
ligt	w3_d217e10407
bereits	w5_d217e10410
eine	w7_d217e10413
starke	w9_d217e10416
Anzahl	w11_d217e10419
von	w13_d217e10423
