<doc id="edoc_wd_1783-12-24" attrs="word" year="1783" month="12" day="24" corpus="1">
<head id="hl1">
Jnnländische	w29
die	w3971
vorliegende	w3972
Bill	w3973
im	w3974
Parlamente	w3975
durchgienge	w3976
<g/>
,
und	w3978
machte	w3979
den	w3980
Vorschlag	w3981
<g/>
:
in	w3983
diesem	w3984
Falle	w3985
<g/>
,
sollte	w3987
die	w3988
Compagnie	w3989
allen	w3990
Handel	w3991
auf=geben	w3992
<g/>
=
<g/>
,
ihren	w3995
Freyheitsbrief	w3996
dem	w3997
Könige	w3998
zu	w3999
Füßen	w4000
legen	w4001
<g/>
,
und	w4003
sich	w4004
unzahlbar	w4005
<g/>
(
Bankrut	w4007
<g/>
)
erklären	w4009
<g/>
;
dieser	w4011
Vorschlag	w4012
wurde	w4013
durch	w4014
Hrn	w4015
<g/>
.
Watson	w4017
unterstützt	w4018
<g/>
,
</p>
<p id="p31">
und	w4020
der	w4021
Uiberlegung	w4022
der	w4023
Eigenthümer	w4024
empfohlen	w4025
<g/>
,
welche	w4027
darüber	w4028
ehestens	w4029
sich	w4030
zu	w4031
berathschlagen	w4032
beschlossen	w4033
<g/>
.
<g/>
—
</p>
<p id="p32">
So	w4036
weit	w4037
war	w4038
diese	w4039
wichtige	w4040
Angele=genheit	w4041
<g/>
=
<g/>
,
bis	w4044
zum	w4045
3	w4046
<g/>
.
Dec	w4048
<g/>
.
gekommen	w4050
<g/>
.
</p>
<head id="hl8">
Vereinigte	w4052
Niederlande	w4053
<g/>
.
</head>
<p id="p33">
Das	w4055
jüngsthin	w4056
angeführte	w4057
Schreiben	w4058
der	w4059
Holländischen	w4060
Bothschafter	w4061
am	w4062
Ho=fe	w4063
<g/>
=
zu	w4065
Versailles	w4066
vom	w4067
23	w4068
<g/>
.
Nov	w4070
<g/>
.
ist	w4072
am	w4073
5	w4074
<g/>
.
Decemb	w4076
<g/>
.
in	w4078
der	w4079
Versammlung	w4080
der	w4081
Staaten	w4082
von	w4083
Holland	w4084
und	w4085
Westfries=land	w4086
<g/>
=
in	w4088
Uiberlegung	w4089
genommen	w4090
worden	w4091
<g/>
.
Jn	w4093
dem	w4094
darüber	w4095
abgefaßten	w4096
vorläufigen	w4097
Gutachten	w4098
<g/>
,
sagen	w4100
J	w4101
<g/>
.
E	w4103
<g/>
.
und	w4105
G	w4106
<g/>
.
Mög	w4108
<g/>
.
daß	w4110
da	w4111
der	w4112
Londnerhof	w4113
keinen	w4114
einzigen	w4115
giltigen	w4116
Grund	w4117
anführe	w4118
<g/>
,
warum	w4120
die	w4121
Unterhandlung	w4122
des	w4123
Definitivtraktates	w4124
<g/>
,
entweder	w4126
zu	w4127
London	w4128
oder	w4129
im	w4130
Haag	w4131
be=schlossen	w4132
<g/>
=
werden	w4134
sollte	w4135
<g/>
,
und	w4137
die	w4138
Staats=klugheit	w4139
<g/>
=
erforderte	w4141
<g/>
,
Frankreich	w4143
so	w4144
viel	w4145
falls	w4146
möglich	w4147
zu	w4148
schonen	w4149
<g/>
,
welches	w4151
übel	w4152
nehmen	w4153
könnte	w4154
<g/>
,
wenn	w4156
man	w4157
die	w4158
Unter=handlung	w4159
<g/>
=
von	w4161
Paris	w4162
nach	w4163
einem	w4164
der	w4165
ob=genannten	w4166
<g/>
=
Orte	w4168
verlegen	w4169
wollte	w4170
<g/>
,
um	w4172
die=selbe	w4173
<g/>
=
daselbst	w4175
vollends	w4176
zu	w4177
Stande	w4178
zu	w4179
brin=gen	w4180
<g/>
=
<g/>
,
so	w4183
wären	w4184
J	w4185
<g/>
.
E	w4187
<g/>
.
und	w4189
Gr	w4190
<g/>
.
M	w4192
<g/>
.
der	w4194
Mey=nung	w4195
<g/>
=
<g/>
,
man	w4198
müßte	w4199
den	w4200
Bothschaftern	w4201
der	w4202
Republik	w4203
zu	w4204
Paris	w4205
auftragen	w4206
<g/>
,
sie	w4208
soll=ten	w4209
<g/>
=
dem	w4211
Herzog	w4212
von	w4213
Manchester	w4214
<g/>
,
oder	w4216
dem	w4217
<g/>
,
der	w4219
in	w4220
seiner	w4221
allenfalsigen	w4222
Abwe=senheit	w4223
<g/>
=
die	w4225
Englische	w4226
Angelegenheiten	w4227
be=sorgt	w4228
<g/>
=
<g/>
,
erklären	w4231
<g/>
,
man	w4233
könne	w4234
den	w4235
des=falls	w4236
<g/>
=
von	w4238
dieser	w4239
Krone	w4240
gethanenen	w4241
Vor=schlag	w4242
<g/>
=
nicht	w4244
annehmen	w4245
<g/>
;
zugleich	w4247
müsse	w4248
man	w4249
darauf	w4250
bestehen	w4251
<g/>
,
daß	w4253
die	w4254
Prälimi=narien	w4255
<g/>
=
in	w4257
einen	w4258
Definitivtraktat	w4259
ver=wandelt	w4260
<g/>
=
würden	w4262
<g/>
:
sollte	w4264
dieses	w4265
aber	w4266
ab=gewendet	w4267
<g/>
=
werden	w4269
<g/>
,
so	w4271
müsse	w4272
man	w4273
erklä=ren	w4274
<g/>
=
<g/>
,
daß	w4277
die	w4278
Republik	w4279
den	w4280
Definitivtrak=tat	w4281
<g/>
=
den	w4283
Präliminarien	w4284
gemäs	w4285
<g/>
,
bereits	w4287
für	w4288
geschlossen	w4289
ansähe	w4290
<g/>
,
und	w4292
dem	w4293
zufolge	w4294
alle	w4295
fernere	w4296
Unterhandlung	w4297
abzubrechen	w4298
wären	w4299
<g/>
.
<g/>
”
Die	w4302
Glieder	w4303
<g/>
,
welche	w4305
die	w4306
Ver=sammlung	w4307
<g/>
=
ausmachen	w4309
<g/>
,
haben	w4311
dieses	w4312
vor=läufige	w4313
<g/>
=
Gutachten	w4315
zur	w4316
Berichterstattung	w4317
<g/>
(
ad	w4319
referendum	w4320
genommen	w4321
<g/>
.
</p>
<p id="p34">
Die	w4323
Bürgerschaft	w4324
zu	w4325
Deventer	w4326
in	w4327
der	w4328
Provinz	w4329
Overyssel	w4330
<g/>
,
hat	w4332
dem	w4333
Magistrat	w4334
eine	w4335
Bittschrift	w4336
übergeben	w4337
<g/>
,
und	w4339
darinn	w4340
angesucht	w4341
<g/>
,
er	w4343
sollte	w4344
bey	w4345
der	w4346
Versamm=lung	w4347
<g/>
=
der	w4349
Provinz	w4350
darauf	w4351
bestehen	w4352
<g/>
,
daß	w4354
</p>
<p id="p35">
eine	w4355
Allianz	w4356
mit	w4357
Frankreich	w4358
geschlossen	w4359
werde	w4360
<g/>
;
daß	w4362
man	w4363
sich	w4364
nicht	w4365
mehr	w4366
in	w4367
die	w4368
alte	w4369
Verbindungen	w4370
mit	w4371
England	w4372
einlasse	w4373
<g/>
;
daß	w4375
die	w4376
militärische	w4377
Jurisdiktion	w4378
gänz=lich	w4379
<g/>
=
abgeschaft	w4381
<g/>
,
und	w4383
daß	w4384
die	w4385
Sache	w4386
we=gen	w4387
<g/>
=
Brest	w4389
nachdrücklich	w4390
untersucht	w4391
wer=den	w4392
<g/>
=
sollte	w4394
<g/>
:
<g/>
—
hier	w4397
sieht	w4398
man	w4399
zugleich	w4400
vier	w4401
Hauptpunkte	w4402
vereiniget	w4403
<g/>
,
welche	w4405
ge=genwärtig	w4406
<g/>
=
die	w4408
ganze	w4409
Republik	w4410
bewe=gen	w4411
<g/>
=
<g/>
,
und	w4414
wozu	w4415
nun	w4416
noch	w4417
ein	w4418
fünfter	w4419
<g/>
:
die	w4421
Angelegenheit	w4422
der	w4423
Holländischen	w4424
O=stinschen	w4425
<g/>
=
Compagnie	w4427
<g/>
,
hinzugekommen	w4429
ist	w4430
<g/>
.
</p>
<p id="p36">
Diese	w4432
Compagnie	w4433
befindet	w4434
sich	w4435
fast	w4436
in	w4437
eben	w4438
der	w4439
Lage	w4440
als	w4441
die	w4442
Englische	w4443
<g/>
:
auf	w4445
das	w4446
von	w4447
selber	w4448
bey	w4449
den	w4450
Generalstaaten	w4451
gemachte	w4452
Bitten	w4453
<g/>
,
um	w4455
eine	w4456
Anleihe	w4457
von	w4458
14	w4459
Mill	w4460
<g/>
.
Holl	w4462
<g/>
.
Gulden	w4464
<g/>
,
ist	w4466
beschlossen	w4467
<g/>
.
worden	w4469
Commissaire	w4470
zur	w4471
Untersuchung	w4472
ihres	w4473
Finanzstandes	w4474
zu	w4475
ernennen	w4476
<g/>
,
wel=che	w4478
<g/>
=
in	w4480
Zukunft	w4481
immerfort	w4482
<g/>
,
zugleich	w4484
mit	w4485
den	w4486
Direktoren	w4487
<g/>
,
die	w4489
Angelegenheiten	w4490
der	w4491
Compagnie	w4492
besorgen	w4493
<g/>
,
und	w4495
verschiedene	w4496
heilsame	w4497
Reformen	w4498
vornehmen	w4499
sollen	w4500
<g/>
.
Diese	w4502
haben	w4503
vor	w4504
Kurzen	w4505
den	w4506
General=staaten	w4507
<g/>
=
einen	w4509
Bericht	w4510
übergeben	w4511
<g/>
,
worinn	w4513
sie	w4514
behaupten	w4515
<g/>
,
daß	w4517
eine	w4518
Summe	w4519
von	w4520
6	w4521
Mill	w4522
<g/>
.
hinreichen	w4524
würde	w4525
<g/>
,
die	w4527
Sachen	w4528
der	w4529
Compagnie	w4530
in	w4531
blühenden	w4532
Stand	w4533
zu	w4534
se=tzen	w4535
<g/>
=
<g/>
;
aber	w4538
mit	w4539
diesen	w4540
Vortrage	w4541
<g/>
,
und	w4543
überhaupt	w4544
mit	w4545
der	w4546
ganzen	w4547
Commißion	w4548
<g/>
,
ist	w4550
die	w4551
Compagnie	w4552
äußerst	w4553
unzufrieden	w4554
<g/>
:
sie	w4556
hat	w4557
daher	w4558
den	w4559
Generalstaaten	w4560
ein	w4561
neues	w4562
Memoire	w4563
übergeben	w4564
<g/>
,
das	w4566
wegen	w4567
darinn	w4568
herrschenden	w4569
Offenherzigkeit	w4570
<g/>
,
Stär=ke	w4572
<g/>
=
und	w4574
Kühnheit	w4575
<g/>
,
viel	w4577
Aufsehens	w4578
macht	w4579
<g/>
,
und	w4581
worinn	w4582
sie	w4583
die	w4584
unumgängliche	w4585
Noth=wendigkeit	w4586
<g/>
=
einer	w4588
Anleihe	w4589
von	w4590
14	w4591
Mill	w4592
<g/>
.
zu	w4594
beweisen	w4595
suchet	w4596
<g/>
.
</p>
<head id="hl9">
Pohlen	w4598
<g/>
.
</head>
<p id="p37">
Noch	w4600
ehe	w4601
am	w4602
2	w4603
<g/>
.
Decemb	w4605
<g/>
.
eine	w4607
Staffette	w4608
von	w4609
Berlin	w4610
mit	w4611
der	w4612
Nachricht	w4613
ankam	w4614
<g/>
,
daß	w4616
die	w4617
vom	w4618
Rußisch	w4619
<g/>
=
Kaiserl	w4621
<g/>
.
Hofe	w4623
an=gebotene	w4624
<g/>
=
Vermittlung	w4626
den	w4627
Sr	w4628
<g/>
.
Preuß	w4630
<g/>
.
Maj	w4632
<g/>
.
angenommen	w4634
worden	w4635
<g/>
,
und	w4637
deshalb	w4638
ein	w4639
Unterhändler	w4640
dahin	w4641
geschickt	w4642
werden	w4643
sollte	w4644
<g/>
,
war	w4646
in	w4647
der	w4648
Stadt	w4649
Danzig	w4650
alles	w4651
in	w4652
grosser	w4653
Unruhe	w4654
<g/>
,
indem	w4656
die	w4657
Preußische	w4658
Armee	w4659
am	w4660
26	w4661
<g/>
.
Nov	w4663
<g/>
.
durch	w4665
das	w4666
Bataillon	w4667
Krolow	w4668
<g/>
,
und	w4670
am	w4671
27	w4672
<g/>
.
durch	w4674
das	w4675
Batail=lon	w4676
<g/>
=
Eglosstein	w4678
war	w4679
verschärft	w4680
worden	w4681
<g/>
,
und	w4683
die	w4684
ganze	w4685
Stadt	w4686
bis	w4687
an	w4688
die	w4689
Thore	w4690
</p>
<p id="p38">
auf	w4691
das	w4692
engste	w4693
eingeschlossen	w4694
hatte	w4695
<g/>
.
Der	w4697
Magistrat	w4698
schickte	w4699
daher	w4700
am	w4701
28	w4702
<g/>
.
Nov	w4704
<g/>
.
einen	w4706
Adjutanten	w4707
an	w4708
den	w4709
General	w4710
von	w4711
Eglofstein	w4712
<g/>
,
mit	w4714
der	w4715
Erklärung	w4716
<g/>
:
<g/>
„
daß	w4719
<g/>
,
da	w4721
man	w4722
sie	w4723
nunmehr	w4724
so	w4725
enge	w4726
eingeschlossen	w4727
<g/>
,
daß	w4729
ihnen	w4730
zu	w4731
ihrer	w4732
Vertheidigung	w4733
nichts	w4734
mehr	w4735
übrig	w4736
sey	w4737
<g/>
,
als	w4739
die	w4740
Elemente	w4741
<g/>
,
so	w4743
wären	w4744
sie	w4745
genöthigt	w4746
<g/>
,
den	w4748
Kneiphof	w4749
ab=zubrennen	w4750
<g/>
=
<g/>
,
und	w4753
den	w4754
Werther	w4755
unter	w4756
Wasser	w4757
zu	w4758
setzen	w4759
<g/>
.
<g/>
”
Der	w4762
General	w4763
erwiederte	w4764
aber	w4765
darauf	w4766
<g/>
,
daß	w4768
ihnen	w4769
noch	w4770
immer	w4771
das	w4772
beste	w4773
Mittel	w4774
übrig	w4775
sey	w4776
<g/>
,
den	w4778
gerechten	w4779
Fode=rungen	w4780
<g/>
=
des	w4782
Königs	w4783
zu	w4784
genügen	w4785
<g/>
,
wo	w4787
nicht	w4788
so	w4789
hienge	w4790
es	w4791
von	w4792
ihnen	w4793
ab	w4794
<g/>
,
ihre	w4796
Unter=thanen	w4797
<g/>
=
zu	w4799
verbrennen	w4800
<g/>
,
oder	w4802
zu	w4803
ersäufen	w4804
<g/>
,
er	w4806
würde	w4807
<g/>
,
wenn	w4809
die	w4810
Häuser	w4811
abgebrannt	w4812
wären	w4813
<g/>
,
alsdann	w4815
ihre	w4816
Thore	w4817
besser	w4818
beob=achten	w4819
<g/>
=
können	w4821
<g/>
.
Auf	w4823
diese	w4824
Antwort	w4825
war	w4826
der	w4827
Magistrat	w4828
mit	w4829
Zuziehung	w4830
der	w4831
dritten	w4832
Ordnung	w4833
abermal	w4834
lange	w4835
versammelt	w4836
<g/>
;
zu=letzt	w4838
<g/>
=
wurde	w4840
dennoch	w4841
beschlossen	w4842
<g/>
,
nicht	w4844
nach=zugeben	w4845
<g/>
=
<g/>
,
und	w4848
lieber	w4849
es	w4850
darauf	w4851
ankommen	w4852
zu	w4853
lassen	w4854
<g/>
,
daß	w4856
die	w4857
Stadt	w4858
auf	w4859
einmal	w4860
zu	w4861
Grunde	w4862
gehe	w4863
<g/>
,
als	w4865
daß	w4866
sie	w4867
nach	w4868
und	w4869
nach	w4870
durch	w4871
Verlust	w4872
ihres	w4873
Handels	w4874
und	w4875
ihrer	w4876
Gewerbe	w4877
in	w4878
Verfall	w4879
gerathe	w4880
<g/>
.
Jn	w4882
Folge	w4883
dessen	w4884
ließ	w4885
der	w4886
Magistrat	w4887
noch	w4888
an	w4889
eben	w4890
dem	w4891
Tage	w4892
der	w4893
Bürgerschaft	w4894
durch	w4895
ein	w4896
ge=drucktes	w4897
<g/>
=
Mandat	w4899
unter	w4900
Trompettenschall	w4901
kund	w4902
machen	w4903
<g/>
:
<g/>
„
daß	w4906
bey	w4907
diesen	w4908
bedenkli=chen	w4909
<g/>
=
Zeiten	w4911
<g/>
,
die	w4913
Bürgerschaft	w4914
sich	w4915
bereit	w4916
halten	w4917
solle	w4918
<g/>
,
bey	w4920
Abfeurung	w4921
der	w4922
Allarm=kanone	w4923
<g/>
=
<g/>
,
Schlagung	w4926
der	w4927
Sturmglocke	w4928
mit	w4929
12	w4930
Schlägen	w4931
<g/>
,
oder	w4933
Tromelschlag	w4934
<g/>
,
so	w4936
ge=geschwind	w4937
<g/>
=
als	w4939
möglich	w4940
mit	w4941
geladenem	w4942
Ge=wehre	w4943
<g/>
=
aus	w4945
den	w4946
in	w4947
jedem	w4948
Quartiere	w4949
ange=wiesenen	w4950
<g/>
=
Lärmplätzen	w4952
zu	w4953
erscheinen	w4954
<g/>
.
Die	w4956
Bürger	w4957
werden	w4958
ernstlich	w4959
ermahnt	w4960
<g/>
,
um	w4962
diese	w4963
Zeit	w4964
ihre	w4965
Posten	w4966
auf	w4967
der	w4968
Wache	w4969
ja	w4970
nicht	w4971
zu	w4972
verlassen	w4973
<g/>
,
die	w4975
übrigen	w4976
<g/>
,
welche	w4978
nicht	w4979
zu	w4980
den	w4981
Bürgerkompagnien	w4982
gehören	w4983
<g/>
,
sollen	w4985
sich	w4986
indeß	w4987
in	w4988
den	w4989
Häusern	w4990
ruhig	w4991
halten	w4992
<g/>
,
damit	w4994
keine	w4995
Confusion	w4996
entstehe	w4997
<g/>
,
und	w4999
jeder	w5000
seinen	w5001
Beruf	w5002
mit	w5003
getrostem	w5004
Muthe	w5005
vollziehen	w5006
könne	w5007
<g/>
.
Bey	w5009
Alarmzeit	w5010
in	w5011
der	w5012
Nacht	w5013
soll	w5014
jeder	w5015
Hauswirth	w5016
<g/>
,
da	w5018
itzo	w5019
keine	w5020
Lanternen	w5021
vorhanden	w5022
<g/>
,
eine	w5024
grosse	w5025
Lanterne	w5026
mit	w5027
brennendem	w5028
Lichte	w5029
vor	w5030
sein	w5031
Haus	w5032
auf	w5033
die	w5034
Gasse	w5035
heraushängen	w5036
<g/>
,
und	w5038
die	w5039
ganze	w5040
Nacht	w5041
hindurch	w5042
brennend	w5043
er=halten	w5044
<g/>
=
<g/>
.
<g/>
”
</p>
<head id="hl10">
Lotterie	w5065
<g/>
=
Ziehung	w5067
<g/>
.
</head>
<p id="p39">
Den	w5069
20	w5070
<g/>
.
dies	w5072
gieng	w5073
in	w5074
Linz	w5075
die	w5076
Ziehung	w5077
der	w5078
k	w5079
<g/>
.
k	w5081
<g/>
.
Lotterie	w5083
vor	w5084
sich	w5085
<g/>
,
wobey	w5087
die	w5088
Zahlen	w5089
<g/>
:
</p>
<p id="p40">
56	w5091
<g/>
.
60	w5093
<g/>
.
3	w5095
<g/>
.
89	w5097
<g/>
.
6	w5099
<g/>
.
mit	w5101
vielen	w5102
Gewinnsten	w5103
gehoben	w5104
wurden	w5105
<g/>
.
Den	w5107
31	w5108
<g/>
.
dies	w5110
wird	w5111
allhier	w5112
die	w5113
kommende	w5114
Ziehung	w5115
gehalten	w5116
<g/>
.
</p>
<head id="hl11">
Nachricht	w5118
<g/>
.
</head>
<p id="p41">
Se	w5120
<g/>
.
kais	w5122
<g/>
.
kön	w5124
<g/>
.
apostol	w5126
<g/>
.
Majestät	w5128
haben	w5129
zu	w5130
entschliessen	w5131
geruhet	w5132
<g/>
,
daß	w5134
ein	w5135
Theil	w5136
der	w5137
bey	w5138
dem	w5139
Magistrate	w5140
der	w5141
kais	w5142
<g/>
.
kön	w5144
<g/>
.
Haupt	w5146
<g/>
=
und	w5148
Residenzstadt	w5149
Wien	w5150
vorkom=menden	w5151
<g/>
=
gerichtlichen	w5153
Zustellungen	w5154
mit	w5155
1	w5156
<g/>
.
Jänner	w5158
1784	w5159
<g/>
.
anzufangen	w5161
<g/>
,
durch	w5163
die	w5164
kais	w5165
<g/>
.
kön	w5167
<g/>
.
privilegirte	w5169
kleine	w5170
Post	w5171
be=sorget	w5172
<g/>
=
werden	w5174
solle	w5175
<g/>
.
Zu	w5177
diesem	w5178
Ende	w5179
ist	w5180
mit	w5181
dem	w5182
Jnnhaber	w5183
derselben	w5184
ein	w5185
or=dentlicher	w5186
<g/>
=
Kontrakt	w5188
geschlossen	w5189
<g/>
,
die	w5191
dies=fälligen	w5192
<g/>
=
Postillions	w5194
in	w5195
Eid	w5196
und	w5197
Pflicht	w5198
genommen	w5199
<g/>
,
und	w5201
für	w5202
jeden	w5203
derselben	w5204
ins=besondere	w5205
<g/>
=
Bürgschaft	w5207
geleistet	w5208
<g/>
,
auch	w5210
zu	w5211
Vermeidung	w5212
aller	w5213
Jrrungen	w5214
die	w5215
Verfü=gung	w5216
<g/>
=
getroffen	w5218
worden	w5219
<g/>
,
daß	w5221
alle	w5222
von	w5223
der	w5224
kleinen	w5225
Post	w5226
zu	w5227
besorgende	w5228
Zustellungen	w5229
mit	w5230
dem	w5231
Magistratsinsigel	w5232
versehen	w5233
wer=den	w5234
<g/>
=
sollen	w5236
<g/>
.
Dieses	w5238
wird	w5239
zu	w5240
dem	w5241
Ende	w5242
öffentlich	w5243
bekannt	w5244
gemacht	w5245
<g/>
,
daß	w5247
jeder	w5248
<g/>
,
dem	w5250
eine	w5251
gerichtliche	w5252
Verordnung	w5253
durch	w5254
die	w5255
kleine	w5256
Post	w5257
künftighin	w5258
zugestellet	w5259
wird	w5260
<g/>
,
die	w5262
zugestellte	w5263
Verordnung	w5264
auf	w5265
das	w5266
pünkt=lichste	w5267
<g/>
=
befolgen	w5269
<g/>
,
und	w5271
den	w5272
überbringenden	w5273
Postillion	w5274
<g/>
,
wie	w5276
jeder	w5277
abgeordneten	w5278
Ge=richtsperson	w5279
<g/>
=
<g/>
,
anständig	w5282
begegnen	w5283
solle	w5284
<g/>
;
wie	w5286
im	w5287
widrigen	w5288
jederman	w5289
den	w5290
nachthei=lige	w5291
<g/>
=
Folge	w5293
der	w5294
nicht	w5295
befolgten	w5296
Verord=nung	w5297
<g/>
=
sich	w5299
selbsten	w5300
beyzumessen	w5301
haben	w5302
<g/>
,
im	w5304
Falle	w5305
einer	w5306
Mißhandlung	w5307
aber	w5308
der	w5309
Uibertretter	w5310
nach	w5311
Umständen	w5312
mit	w5313
empfind=licher	w5314
<g/>
=
Strafe	w5316
belegt	w5317
werden	w5318
würde	w5319
<g/>
.
</p>
<head id="hl12">
Verstorbene	w5321
zu	w5322
Wien	w5323
<g/>
.
</head>
<head id="hl13">
Den	w5325
16	w5326
<g/>
.
December	w5328
<g/>
.
Jn	w5330
der	w5331
Stadt	w5332
<g/>
.
</head>
<list id="">
Dem	w5334
wohledlgeb	w5335
<g/>
.
Hrn	w5337
<g/>
.
Ant	w5339
<g/>
.
Freyhrn	w5341
<g/>
.
v	w5343
<g/>
.
Kapaun	w5345
<g/>
,
s	w5347
<g/>
.
S	w5349
<g/>
.
Wenzl	w5351
<g/>
,
alt	w5353
1	w5354
J	w5355
<g/>
.
am	w5357
roth	w5358
<g/>
.
Thurm	w5360
N	w5361
<g/>
.
680	w5363
<g/>
.
</list>
<list id="">
Vinzenz	w5365
Haschka	w5366
<g/>
,
bürgl	w5368
<g/>
.
Schneiderm	w5370
<g/>
.
alt	w5372
37	w5373
J	w5374
<g/>
.
im	w5376
tief	w5377
<g/>
.
Graben	w5379
N	w5380
405	w5381
<g/>
.
Kaspa	w5383
<g/>
.
kore	w5385
<g/>
,
gew	w5387
<g/>
.
Handlanged	w5389
<g/>
.
alt	w5391
58	w5392
J	w5393
<g/>
.
unt	w5395
<g/>
.
Tuchlaub	w5397
<g/>
.
N	w5399
<g/>
.
572	w5401
<g/>
.
</list>
<head id="hl14">
Vor	w5403
der	w5404
Stadt	w5405
<g/>
.
</head>
<list id="">
Der	w5407
Anna	w5408
Riegerin	w5409
<g/>
,
bürgl	w5411
<g/>
.
Binderm	w5413
<g/>
.
Wit	w5415
<g/>
.
i	w5417
<g/>
.
S	w5419
<g/>
.
Ant	w5421
<g/>
.
alt	w5423
32	w5424
J	w5425
<g/>
.
in	w5427
d	w5428
<g/>
.
Roßau	w5430
N	w5431
<g/>
.
68	w5433
<g/>
.
Der	w5435
Juliana	w5436
Prinzin	w5437
<g/>
,
gew	w5439
<g/>
.
bürgl	w5441
<g/>
.
Erbsenhändl	w5443
<g/>
.
i	w5445
<g/>
.
T	w5447
<g/>
.
Cath	w5449
<g/>
.
alt	w5451
22	w5452
J	w5453
<g/>
.
auf	w5455
d	w5456
<g/>
.
Wieb	w5458
<g/>
.
N	w5460
143	w5461
<g/>
.
Dem	w5463
Joh	w5464
<g/>
.
Georg	w5466
Elmannnsperger	w5467
<g/>
,
bgl	w5469
<g/>
.
Brennholz=versilb	w5471
<g/>
=
<g/>
.
s	w5474
<g/>
.
K	w5476
<g/>
.
Joh	w5478
<g/>
.
alt	w5480
<g/>
,
3	w5482
J	w5483
in	w5484
d	w5485
<g/>
.
Leopoldst	w5487
<g/>
.
N	w5489
<g/>
.
384	w5491
<g/>
.
Dem	w5493
Franz	w5494
Auer	w5495
<g/>
,
schutzv	w5497
<g/>
.
Schloss	w5499
<g/>
.
s	w5501
<g/>
.
W	w5503
<g/>
.
Barb	w5505
<g/>
.
alt	w5507
35	w5508
J	w5509
<g/>
.
am	w5511
ob	w5512
<g/>
.
Neust	w5514
<g/>
.
N	w5516
<g/>
.
160	w5518
<g/>
.
Mich	w5520
<g/>
.
Qualda	w5522
<g/>
,
Schreib	w5524
<g/>
.
alt	w5526
55	w5527
J	w5528
<g/>
.
auf	w5530
d	w5531
<g/>
.
neuen	w5533
Wied	w5534
N	w5535
<g/>
.
197	w5537
<g/>
.
Der	w5539
Juliana	w5540
Stutzin	w5541
<g/>
,
Lehenkutscherkn	w5543
<g/>
.
Wit	w5545
<g/>
.
i	w5547
<g/>
.
R	w5549
<g/>
.
Dorothea	w5551
<g/>
,
alt	w5553
1	w5554
J	w5555
<g/>
.
auf	w5557
d	w5558
<g/>
.
Wied	w5560
<g/>
.
N	w5562
<g/>
.
192	w5564
<g/>
.
Heinrich	w5566
Reder	w5567
<g/>
,
Harpfenm	w5569
<g/>
.
alt	w5571
57	w5572
J	w5573
<g/>
.
am	w5575
strozisch	w5576
Gr	w5577
<g/>
.
N	w5579
<g/>
.
76	w5581
<g/>
.
Cath	w5583
<g/>
.
Weixelbaumin	w5585
<g/>
,
Porzelaibrenn	w5587
<g/>
.
Wit	w5589
<g/>
.
alt	w5591
77	w5592
J	w5593
<g/>
.
am	w5595
span	w5596
<g/>
.
Spitalb	w5598
<g/>
.
N	w5600
<g/>
.
140	w5602
<g/>
.
Dem	w5604
Christ	w5605
<g/>
.
Herwart	w5607
<g/>
,
Tüchelm	w5609
<g/>
.
s	w5611
<g/>
.
S	w5613
<g/>
.
Joh	w5615
<g/>
.
alt	w5617
16	w5618
J	w5619
<g/>
.
am	w5621
Neust	w5622
<g/>
.
N	w5624
<g/>
.
42	w5626
<g/>
.
Barb	w5628
<g/>
.
Faseliufiu	w5630
<g/>
,
Sold	w5632
<g/>
.
Wit	w5634
<g/>
.
alt	w5636
43	w5637
J	w5638
<g/>
.
im	w5640
Lich=tenth	w5641
<g/>
=
N	w5643
123	w5644
<g/>
.
Gregor	w5646
Frank	w5647
<g/>
,
alt	w5649
95	w5650
J	w5651
<g/>
.
im	w5653
gross	w5654
<g/>
.
Armenh	w5656
<g/>
.
Margar	w5658
<g/>
.
Wieserin	w5660
<g/>
,
Wit	w5662
<g/>
.
alt	w5664
37	w5665
J	w5666
<g/>
.
Anna	w5668
Simenobergerin	w5669
<g/>
,
led	w5671
<g/>
.
Dienstm	w5673
<g/>
.
alt	w5675
23	w5676
J	w5677
<g/>
.
beede	w5679
im	w5680
h	w5681
<g/>
.
Dreyf	w5683
<g/>
.
Spit	w5685
<g/>
.
Joh	w5687
Janeck	w5688
<g/>
,
Schust	w5690
alt	w5691
58	w5692
J	w5693
<g/>
.
Math	w5695
<g/>
.
Neustifter	w5697
<g/>
,
alt	w5699
75	w5700
J	w5701
<g/>
.
beede	w5703
b	w5704
<g/>
.
Barmherz	w5706
<g/>
.
Barb	w5708
<g/>
.
Fischerin	w5710
<g/>
,
led	w5712
<g/>
.
alt	w5714
52	w5715
J	w5716
<g/>
.
im	w5718
Versorgh	w5719
<g/>
.
am	w5721
Alsterb	w5722
<g/>
.
Adam	w5724
Mittermayer	w5725
<g/>
,
Gefr	w5727
<g/>
.
alt	w5729
39	w5730
J	w5731
<g/>
.
im	w5733
Militsp	w5734
<g/>
.
Cath	w5736
<g/>
.
Thomasis	w5738
<g/>
,
Sold	w5740
Wit	w5741
<g/>
.
alt	w5743
50	w5744
J	w5745
<g/>
.
im	w5747
Contum	w5748
<g/>
.
Simon	w5750
<g/>
.
Redl	w5752
<g/>
,
Schusterlehrj	w5754
<g/>
.
welch	w5756
<g/>
.
