<doc id="wr_1756-08-07" attrs="word" year="1756" month="08" day="07" corpus="2">
<head id="h2_d63e2595">
Williamsburg	w1_d63e2599
Betragens	w7_d63e6314
der	w9_d63e6317
Englän	w11_d63e6320
dischen	w1_d63e6325
Armateurs	w3_d63e6328
gegen	w5_d63e6331
die	w7_d63e6334
Holländische	w9_d63e6337
Kauffardey=schiffe	w1_d63e6342
solte	w3_d63e6345
ehester	w5_d63e6348
Tagen	w7_d63e6351
eine	w9_d63e6354
solche	w1_d63e6359
Convention	w3_d63e6362
verfasset	w5_d63e6365
werden,	w7_d63e6368
womit	w9_d63e6371
die	w1_d63e6377
General=staaten	w3_d63e6380
völlig	w5_d63e6383
würden	w7_d63e6386
zufrieden	w9_d63e6389
seyn	w1_d63e6394
können.	w3_d63e6397
Da	w5_d63e6400
man	w7_d63e6403
weiß,	w9_d63e6406
daß	w11_d63e6409
der	w13_d63e6413
gute	w15_d63e6416
Ausschlag	w1_d63e6421
dieser	w3_d63e6424
Sache	w5_d63e6427
grossen	w7_d63e6430
theils	w9_d63e6433
denen	w11_d63e6436
unermüdeten	w1_d63e6441
Jnstanzen	w3_d63e6444
des	w5_d63e6447
Herrn	w7_d63e6450
Yorke	w9_d63e6453
bey	w11_d63e6456
der	w1_d63e6462
Engländischen	w3_d63e6465
Regierung,	w5_d63e6468
zuzuschreiben	w7_d63e6471
ist;	w1_d63e6476
so	w3_d63e6479
hat	w5_d63e6482
dieser	w7_d63e6485
Minister	w9_d63e6488
dadurch	w11_d63e6491
bey	w13_d63e6495
dem	w15_d63e6498
hiesigen	w1_d63e6503
Publico	w3_d63e6506
diejenige	w5_d63e6509
Hochachtung	w7_d63e6512
und	w9_d63e6515
Liebe,	w1_d63e6520
welche	w3_d63e6523
seine	w5_d63e6526
ausnehmende	w7_d63e6529
Verdienste	w9_d63e6532
ihm	w1_d63e6538
schon	w3_d63e6541
vorhin	w5_d63e6544
zuwege	w7_d63e6547
gebracht,	w9_d63e6550
ungemein	w11_d63e6553
vergrössert.	w1_d63e6558
</p>
<head id="h2_d63e6564">
Aus	w1_d63e6568
Schweden.	w3_d63e6571
Stockholm	w1_d63e6576
16.	w3_d63e6579
Julii.	w5_d63e6582
</head>
<p id="p4_d63e6585">
Heute	w1_d63e6589
wurde	w3_d63e6592
in	w5_d63e6595
der	w7_d63e6598
Commißion	w9_d63e6601
der	w11_d63e6604
Stände	w13_d63e6608
das	w1_d63e6613
Urtheil	w3_d63e6616
gegen	w5_d63e6619
den	w7_d63e6622
Grafen	w9_d63e6625
Brahe,	w11_d63e6628
den	w13_d63e6632
Baron	w1_d63e6637
von	w3_d63e6640
Horn,	w5_d63e6643
und	w7_d63e6646
die	w9_d63e6649
Capitains	w11_d63e6652
Stahls	w13_d63e6656
ward	w1_d63e6662
und	w3_d63e6665
Pucke,	w5_d63e6668
nebst	w7_d63e6671
andern	w9_d63e6674
Mitschul	w11_d63e6677
digen,	w1_d63e6682
dahin	w3_d63e6685
gesprochen,	w5_d63e6688
daß	w7_d63e6691
sie	w9_d63e6694
Leib,	w11_d63e6697
Ehre	w1_d63e6702
und	w3_d63e6705
Gut	w5_d63e6708
verlieren,	w7_d63e6711
und	w9_d63e6714
öffentlich	w11_d63e6717
ent	w13_d63e6721
hauptet	w1_d63e6726
werden	w3_d63e6729
sollten.	w5_d63e6732
Morgen	w7_d63e6735
wird	w9_d63e6738
dieses	w11_d63e6741
Urtheil	w1_d63e6747
der	w3_d63e6750
Versammlung	w5_d63e6753
der	w7_d63e6756
Stände	w9_d63e6759
zur	w11_d63e6762
Confirmation	w1_d63e6767
vorgeleget	w3_d63e6770
werden.	w5_d63e6773
Man	w7_d63e6776
muß	w9_d63e6779
also	w1_d63e6784
abwarten,	w3_d63e6787
ob	w5_d63e6790
nicht	w7_d63e6793
einige	w9_d63e6796
Milderungen	w11_d63e6799
in	w1_d63e6804
Ansehung	w3_d63e6807
der	w5_d63e6810
beyden	w7_d63e6813
ersten	w9_d63e6816
vorfallen.	w11_d63e6819
Der	w1_d63e6825
Reichs=tag	w3_d63e6828
hat	w5_d63e6831
anfänglich,	w7_d63e6834
als	w9_d63e6837
gestern	w11_d63e6840
geendiget	w1_d63e6845
werden	w3_d63e6848
sollen;	w5_d63e6851
allein,	w7_d63e6854
man	w9_d63e6857
ist	w11_d63e6860
ge	w13_d63e6864
nöthiget,	w1_d63e6869
denselben	w3_d63e6872
zu	w5_d63e6875
verlängern.	w7_d63e6878
Ein	w9_d63e6881
neuer	w1_d63e6886
Vorfall	w3_d63e6889
in	w5_d63e6892
Dalecarlien	w7_d63e6895
gibt	w9_d63e6898
denen	w11_d63e6901
Stän	w13_d63e6905
ben	w1_d63e6911
zu	w3_d63e6914
neuen	w5_d63e6917
Geschäften	w7_d63e6920
Anlaß	w9_d63e6923
Den	w11_d63e6926
12ten	w13_d63e6930
des	w1_d63e6935
Abends,	w3_d63e6938
langte	w5_d63e6941
der	w7_d63e6944
Capitain	w9_d63e6947
von	w11_d63e6950
Haus	w13_d63e6954
wolf,	w1_d63e6959
ein	w3_d63e6962
Sohn	w5_d63e6965
des	w7_d63e6968
Landes=hauptmanns,	w9_d63e6971
und	w1_d63e6976
Ritters	w3_d63e6979
dieses	w5_d63e6982
Namens,	w7_d63e6985
in	w9_d63e6988
Kupferbergs	w11_d63e6991
lehn	w1_d63e6997
mit	w3_d63e7000
einem	w5_d63e7003
Berichte	w7_d63e7006
von	w9_d63e7009
Großen=tuna	w11_d63e7012
unterm	w1_d63e7017
11ten	w3_d63e7020
an,	w5_d63e7023
woraus	w7_d63e7026
man	w9_d63e7029
vernahm:	w11_d63e7032
daß	w1_d63e7037
in	w3_d63e7040
dasiger	w5_d63e7043
Provinz	w7_d63e7046
ein	w9_d63e7049
Aufbotsschrei	w11_d63e7052
ben,	w1_d63e7057
nebst	w3_d63e7060
einer	w5_d63e7063
weitläuftigen	w7_d63e7066
Schmäh=schrift	w9_d63e7069
über	w1_d63e7075
den	w3_d63e7078
gegenwärtigen	w5_d63e7081
Zustand	w7_d63e7084
von	w9_d63e7087
Schwe	w11_d63e7090
den	w1_d63e7095
theils	w3_d63e7098
gedruckt,	w5_d63e7101
theils	w7_d63e7104
geschrieben	w9_d63e7107
in	w11_d63e7110
der	w13_d63e7114
Nacht	w1_d63e7119
vorher,	w3_d63e7122
und	w5_d63e7125
auch	w7_d63e7128
desselben	w9_d63e7131
Morgens	w11_d63e7134
bey	w1_d63e7139
denen	w3_d63e7142
Kirchen	w5_d63e7145
in	w7_d63e7148
Floda,	w9_d63e7151
Lecksand	w11_d63e7154
und	w13_d63e7158
</p>
<p id="p6_d63e7161">
Gagnef	w1_d63e7165
ausgestreuet	w3_d63e7168
worden,	w5_d63e7171
welche	w7_d63e7174
voll	w9_d63e7177
groben	w1_d63e7182
und	w3_d63e7185
unwahren	w5_d63e7188
Beschuldigungen,	w7_d63e7191
von	w9_d63e7194
betrügerischen	w1_d63e7199
Versprechungen,	w3_d63e7202
und	w5_d63e7205
von	w7_d63e7208
denen	w9_d63e7211
gottlosesten	w1_d63e7217
Versuchungen	w3_d63e7220
waren,	w5_d63e7223
das	w7_d63e7226
Volk	w9_d63e7229
zum	w1_d63e7234
Aufstand,	w3_d63e7237
und	w5_d63e7240
wider	w7_d63e7243
das	w9_d63e7246
Reich	w11_d63e7249
in	w13_d63e7253
die	w15_d63e7256
Waffen	w1_d63e7261
zu	w3_d63e7264
bringen.	w5_d63e7267
Man	w7_d63e7270
gibt	w9_d63e7273
ehrvergessener	w11_d63e7276
Weise	w1_d63e7281
vor,	w3_d63e7284
daß	w5_d63e7287
der	w7_d63e7290
König,	w9_d63e7293
das	w11_d63e7296
Reich,	w13_d63e7300
ja	w15_d63e7303
selbst	w1_d63e7309
die	w3_d63e7312
Religion	w5_d63e7315
in	w7_d63e7318
Gefahr	w9_d63e7321
sey.	w11_d63e7324
Man	w13_d63e7328
bie	w15_d63e7331
tet	w1_d63e7336
dem	w3_d63e7339
ersten	w5_d63e7342
Kirch=spiel,	w7_d63e7345
welches	w9_d63e7348
die	w11_d63e7351
Waf	w13_d63e7355
fen	w1_d63e7360
ergreiffet,	w3_d63e7363
und	w5_d63e7366
nach	w7_d63e7369
Stockholm	w9_d63e7372
marschiret,	w11_d63e7375
um	w1_d63e7380
das	w3_d63e7383
Reich,	w5_d63e7386
und	w7_d63e7389
so	w9_d63e7392
viele	w11_d63e7395
rechtschaffene	w13_d63e7399
Patrioten	w1_d63e7405
zu	w3_d63e7408
retten,	w5_d63e7411
welche	w7_d63e7414
in	w9_d63e7417
Gefahr	w11_d63e7420
wären,	w13_d63e7424
ihr	w1_d63e7429
Leben	w3_d63e7432
zu	w5_d63e7435
verlieren,	w7_d63e7438
eine	w9_d63e7441
Belohnung	w11_d63e7444
von	w13_d63e7448
150000.	w1_d63e7453
Thaler	w3_d63e7456
Silber=münze	w5_d63e7459
an	w7_d63e7462
rc.	w9_d63e7465
Der	w11_d63e7468
Major	w1_d63e7473
bey	w3_d63e7476
dem	w5_d63e7479
Thal=regimente,	w7_d63e7482
Ritter	w9_d63e7485
von	w11_d63e7488
Rosen,	w1_d63e7494
und	w3_d63e7497
der	w5_d63e7500
Capitain	w7_d63e7503
und	w9_d63e7506
Ritter,	w11_d63e7509
Ba	w13_d63e7513
ron	w1_d63e7518
Wilhelm	w3_d63e7521
von	w5_d63e7524
Armfeldt,	w7_d63e7527
haben	w9_d63e7530
dem	w11_d63e7533
Landes=hauptmann	w1_d63e7538
hiervon	w3_d63e7541
die	w5_d63e7544
erste	w7_d63e7547
Nach	w9_d63e7550
richt	w1_d63e7555
gegeben.	w3_d63e7558
Die	w5_d63e7561
Urheber	w7_d63e7564
dieser	w9_d63e7567
Schriften	w11_d63e7570
haben	w1_d63e7576
ihre	w3_d63e7579
böse	w5_d63e7582
und	w7_d63e7585
verrätherische	w9_d63e7588
Absichten	w11_d63e7591
nicht	w1_d63e7596
erreichet,	w3_d63e7599
und	w5_d63e7602
der	w7_d63e7605
gemeine	w9_d63e7608
Mann	w11_d63e7611
ist	w13_d63e7615
bey	w1_d63e7620
seiner	w3_d63e7623
Treue	w5_d63e7626
gegen	w7_d63e7629
dem	w9_d63e7632
König	w11_d63e7635
und	w13_d63e7639
das	w15_d63e7642
Reich	w1_d63e7647
geblieben.	w3_d63e7650
Man	w5_d63e7653
hat	w7_d63e7656
einen	w9_d63e7659
gewissen	w11_d63e7662
Flodelius	w1_d63e7668
in	w3_d63e7671
Verhaft	w5_d63e7674
genommen,	w7_d63e7677
und	w9_d63e7680
nach	w11_d63e7683
einen	w1_d63e7688
andern,	w3_d63e7691
Namens	w5_d63e7694
Hellberg,	w7_d63e7697
welcher	w9_d63e7700
an	w1_d63e7705
der	w3_d63e7708
Ausbreitung	w5_d63e7711
dieser	w7_d63e7714
Schriften	w9_d63e7717
mit	w11_d63e7720
dem	w13_d63e7724
erstern	w1_d63e7729
Theil	w3_d63e7732
gehabt,	w5_d63e7735
wird	w7_d63e7738
stark	w9_d63e7741
geforschet.	w11_d63e7744
Derselbe	w1_d63e7750
ist	w3_d63e7753
zu	w5_d63e7756
Anfange	w7_d63e7759
dieses	w9_d63e7762
Jahres	w11_d63e7765
nach	w13_d63e7769
Norwegen	w1_d63e7774
geflüchtet,	w3_d63e7777
und	w5_d63e7780
soll	w7_d63e7783
bey	w9_d63e7786
seiner	w11_d63e7789
Zurück=kunft	w1_d63e7794
vorgeben,	w3_d63e7797
daß	w5_d63e7800
er	w7_d63e7803
ein	w9_d63e7806
sicheres	w11_d63e7809
Geleite	w1_d63e7814
habe.	w3_d63e7817
Der	w5_d63e7820
Landes=hauptmann	w7_d63e7823
hat	w9_d63e7826
in	w1_d63e7832
der	w3_d63e7835
gantzen	w5_d63e7838
Provinz	w7_d63e7841
unter	w9_d63e7844
der	w11_d63e7847
Zusage	w13_d63e7851
einer	w15_d63e7854
guten	w1_d63e7859
Belehnung	w3_d63e7862
die	w5_d63e7865
Anstalten	w7_d63e7868
zur	w9_d63e7871
Einzie	w11_d63e7874
hung	w1_d63e7879
der	w3_d63e7882
ausgestreueten	w5_d63e7885
Schriften,	w7_d63e7888
und	w9_d63e7891
zur	w11_d63e7894
nähern	w1_d63e7899
Kundschaft	w3_d63e7902
derer,	w5_d63e7905
die	w7_d63e7908
sich	w9_d63e7911
hierbey	w11_d63e7914
ge	w13_d63e7918
brauchen	w1_d63e7924
lassen,	w3_d63e7927
verfüget.	w5_d63e7930
Von	w7_d63e7933
dem	w9_d63e7936
Landes	w11_d63e7939
hauptmann	w1_d63e7944
zu	w3_d63e7947
Oerebro	w5_d63e7950
in	w7_d63e7953
Nerike,	w9_d63e7956
wie	w11_d63e7959
auch	w13_d63e7963
aus	w1_d63e7968
Wärmeland	w3_d63e7971
ist	w5_d63e7974
gleichfalls	w7_d63e7977
die	w9_d63e7980
Nachricht	w11_d63e7983
eingegangen,	w1_d63e7988
daß	w3_d63e7991
diese	w5_d63e7994
aufrührerischen	w7_d63e7997
Schrif	w9_d63e8000
ten	w1_d63e8006
daselbst	w3_d63e8009
ausgestreuet	w5_d63e8012
worden;	w7_d63e8015
daß	w9_d63e8018
sie	w11_d63e8021
aber	w13_d63e8025
keine	w1_d63e8030
andere	w3_d63e8033
Würckung	w5_d63e8036
gehabt	w7_d63e8039
hätten,	w9_d63e8042
als	w11_d63e8045
die	w1_d63e8050
Bosheit	w3_d63e8053
ihrer	w5_d63e8056
Verfasser,	w7_d63e8059
und	w9_d63e8062
Helfers	w11_d63e8065
helfer	w1_d63e8070
zu	w3_d63e8073
verrathen,	w5_d63e8076
welche	w7_d63e8079
GOtt,	w9_d63e8082
dem	w11_d63e8085
Kö	w13_d63e8089
nig,	w1_d63e8095
und	w3_d63e8098
das	w5_d63e8101
Gesetz	w7_d63e8104
beleidiget,	w9_d63e8107
und	w11_d63e8110
alle	w13_d63e8114
Liebe	w1_d63e8119
für	w3_d63e8122
ihre	w5_d63e8125
Mit=brüder,	w7_d63e8128
und	w9_d63e8131
die	w11_d63e8134
Nach	w13_d63e8138
welt	w1_d63e8143
aus	w3_d63e8146
denen	w5_d63e8149
Augen	w7_d63e8152
gesetzt	w9_d63e8155
haben.	w11_d63e8158
Die	w13_d63e8162
Commißion	w1_d63e8167
der	w3_d63e8170
Reichs=stände	w5_d63e8173
hat	w7_d63e8176
bey	w9_d63e8179
der	w11_d63e8182
Untersuchung	w1_d63e8188
der	w3_d63e8191
Conspiration	w5_d63e8194
mehreres	w7_d63e8197
Licht	w9_d63e8200
erhalten;	w1_d63e8205
und	w3_d63e8208
man	w5_d63e8211
hat	w7_d63e8214
daher	w9_d63e8217
noch	w11_d63e8220
verschie	w13_d63e8224
denes	w1_d63e8229
loses	w3_d63e8232
Gefindel	w5_d63e8235
sowol	w7_d63e8238
wegen	w9_d63e8241
Theilneh	w11_d63e8244
</p>
<p id="p12_d63e8258">
mung	w1_d63e8262
an	w3_d63e8265
denen	w5_d63e8268
aufrührerischen	w7_d63e8271
Anschlägen,	w9_d63e8274
als	w1_d63e8279
auch	w3_d63e8282
wegen	w5_d63e8285
anstößiger	w7_d63e8288
Redens=arten	w9_d63e8291
in	w11_d63e8294
Verhaft	w1_d63e8299
nehmen	w3_d63e8302
lassen.	w5_d63e8305
</p>
<head id="h2_d63e8311">
Aus	w1_d63e8315
Teutschland.	w3_d63e8318
Düsseldorf	w1_d63e8323
14.	w3_d63e8326
Julii.	w5_d63e8329
</head>
<p id="p4_d63e8332">
Man	w1_d63e8336
hat	w3_d63e8339
Nachricht,	w5_d63e8342
daß	w7_d63e8345
die	w9_d63e8348
Königl.	w11_d63e8351
Preußische	w1_d63e8356
Besatzung	w3_d63e8359
in	w5_d63e8362
Wesel	w7_d63e8365
zum	w9_d63e8368
Marsch	w11_d63e8371
sich	w1_d63e8376
in	w3_d63e8379
Bewegung	w5_d63e8382
setze,	w7_d63e8385
desgleichen	w9_d63e8388
sollen	w11_d63e8391
die	w1_d63e8397
Regimenter,	w3_d63e8400
so	w5_d63e8403
in	w7_d63e8406
Hamm,	w9_d63e8409
Soest,	w11_d63e8412
Bile	w13_d63e8416
feld,	w1_d63e8421
Minden,	w3_d63e8424
Lippstadt	w5_d63e8427
und	w7_d63e8430
in	w9_d63e8433
andern	w11_d63e8436
Plä	w13_d63e8440
tzen	w1_d63e8445
ligen,	w3_d63e8448
Befehl	w5_d63e8451
erhalten	w7_d63e8454
haben,	w9_d63e8457
den	w11_d63e8460
18.	w13_d63e8464
dieses	w1_d63e8469
auszurücken,	w3_d63e8472
um	w5_d63e8475
nach	w7_d63e8478
dem	w9_d63e8481
Campe	w11_d63e8484
ment	w1_d63e8490
nach	w3_d63e8493
Hornburg	w5_d63e8496
zumarschieren,	w7_d63e8499
woselbst	w9_d63e8502
ein	w1_d63e8507
Lager	w3_d63e8510
für	w5_d63e8513
40000.	w7_d63e8516
Mann	w9_d63e8519
abgestochen	w11_d63e8522
ist.	w13_d63e8526
</p>
<head id="h2_d63e8532">
Dresden	w1_d63e8536
18.	w3_d63e8539
Julii.	w5_d63e8542
</head>
<p id="p4_d63e8545">
Am	w1_d63e8549
10ten	w3_d63e8552
war	w5_d63e8555
wegen	w7_d63e8558
des	w9_d63e8561
eingefallenen	w11_d63e8564
Amalien=tages,	w1_d63e8569
wovon	w3_d63e8572
Jhro	w5_d63e8575
Majestät	w7_d63e8578
die	w9_d63e8581
verwittibte	w1_d63e8586
Römische	w3_d63e8589
Kaiserin,	w5_d63e8592
und	w7_d63e8595
Jhro	w9_d63e8598
Majestät	w1_d63e8604
die	w3_d63e8607
Königin	w5_d63e8610
beyder	w7_d63e8613
Sicilien	w9_d63e8616
den	w11_d63e8619
Namenz	w1_d63e8624
führen,	w3_d63e8627
Gala	w5_d63e8630
bey	w7_d63e8633
Hofe,	w9_d63e8636
und	w11_d63e8639
Abends	w13_d63e8643
Apartement	w1_d63e8648
im	w3_d63e8651
Türkischen	w5_d63e8654
Garten.	w7_d63e8657
Jhro	w9_d63e8660
Majestät	w1_d63e8665
die	w3_d63e8668
Königin	w5_d63e8671
haben	w7_d63e8674
Dero	w9_d63e8677
Hof=dame,	w11_d63e8680
Fräulein	w1_d63e8686
Gräfin	w3_d63e8689
von	w5_d63e8692
Martinitz,	w7_d63e8695
zu	w9_d63e8698
Dero	w11_d63e8701
Kammer=fräulein	w1_d63e8706
allergnädigst	w3_d63e8709
zu	w5_d63e8712
ernennen	w7_d63e8715
geruhet.	w1_d63e8720
Am	w3_d63e8723
11ten	w5_d63e8726
wurde	w7_d63e8729
der	w9_d63e8732
Geburts=tag	w11_d63e8735
Sr.	w1_d63e8740
Königl.	w3_d63e8743
Hoheit	w5_d63e8746
des	w7_d63e8749
Prinzen	w9_d63e8752
Albrechts,	w11_d63e8755
und	w1_d63e8761
am	w3_d63e8764
13ten	w5_d63e8767
der	w7_d63e8770
Geburts=tag	w9_d63e8773
Sr.	w11_d63e8776
Königl.	w13_d63e8780
Hoheit	w1_d63e8785
des	w3_d63e8788
Prinzen	w5_d63e8791
Carls,	w7_d63e8794
in	w9_d63e8797
Gala	w11_d63e8800
gefeyert,	w13_d63e8804
von	w1_d63e8809
denen	w3_d63e8812
ersterer	w5_d63e8815
in	w7_d63e8818
das	w9_d63e8821
19te,	w11_d63e8824
letzterer	w13_d63e8828
aber	w15_d63e8831
in	w1_d63e8836
das	w3_d63e8839
24ste	w5_d63e8842
Dero	w7_d63e8845
Alters	w9_d63e8848
glüklich	w11_d63e8851
getretten	w13_d63e8855
seynd.	w1_d63e8861
</p>
<head id="h2_d63e8867">
Dünkirchen	w1_d63e8871
18	w3_d63e8874
Julii.	w5_d63e8877
</head>
<p id="p4_d63e8880">
Allhier	w1_d63e8884
arbeitet	w3_d63e8887
jetzt	w5_d63e8890
alles,	w7_d63e8893
was	w9_d63e8896
Händ	w11_d63e8899
hat,	w1_d63e8904
an	w3_d63e8907
Herstellung	w5_d63e8910
unsers	w7_d63e8913
Hafens	w9_d63e8916
und	w11_d63e8919
un	w13_d63e8923
serer	w1_d63e8928
Vestungs=wercke.	w3_d63e8931
Als	w5_d63e8934
der	w7_d63e8937
Marschall	w9_d63e8940
Herzog	w1_d63e8946
von	w3_d63e8949
Bellisle,	w5_d63e8952
hierzu	w7_d63e8955
die	w9_d63e8958
nöthige	w11_d63e8961
Be	w13_d63e8965
fehle	w1_d63e8970
ertheilet	w3_d63e8973
hatte,	w5_d63e8976
reisete	w7_d63e8979
er	w9_d63e8982
am	w11_d63e8985
12ten	w13_d63e8989
in	w1_d63e8994
der	w3_d63e8997
Frühe	w5_d63e9000
nach	w7_d63e9003
Calais	w9_d63e9006
ab;	w11_d63e9009
in	w13_d63e9013
seiner	w15_d63e9016
Ge	w17_d63e9019
sellschaft	w1_d63e9024
seynd:	w3_d63e9027
der	w5_d63e9030
Marquis	w7_d63e9033
Paulmy	w9_d63e9036
d'Ar	w11_d63e9039
genson,	w1_d63e9045
Prinz	w3_d63e9048
von	w5_d63e9051
Soubise,	w7_d63e9054
Prinz	w9_d63e9057
von	w11_d63e9060
Erouy	w1_d63e9065
der	w3_d63e9068
Herzoge	w5_d63e9071
von	w7_d63e9074
Chaulnes	w9_d63e9077
und	w11_d63e9080
Cha	w13_d63e9084
rost,	w1_d63e9089
der	w3_d63e9092
Graf	w5_d63e9095
von	w7_d63e9098
Gisors,	w9_d63e9101
sein	w11_d63e9104
Herr	w13_d63e9108
Sohn	w15_d63e9111
der	w1_d63e9116
Herr	w3_d63e9119
von	w5_d63e9122
Cremille,	w7_d63e9125
und	w9_d63e9128
andre	w11_d63e9131
vorneh	w13_d63e9135
me	w1_d63e9141
Standes=personen	w3_d63e9144
Am	w5_d63e9147
Donnerstage	w7_d63e9150
rückten	w1_d63e9155
die	w3_d63e9158
ersten	w5_d63e9161
Regimenter	w7_d63e9164
von	w9_d63e9167
den	w11_d63e9170
15.	w13_d63e9174
tausend	w1_d63e9179
Mann	w3_d63e9182
ein,	w5_d63e9185
für	w7_d63e9188
welche	w9_d63e9191
das	w11_d63e9194
in	w13_d63e9198
un	w15_d63e9201
serer	w1_d63e9206
Nachbarschaft	w3_d63e9209
abgestochene	w5_d63e9212
Lager	w7_d63e9215
be	w9_d63e9218
stimmet	w1_d63e9224
ist.	w3_d63e9227
</p>
<head id="h2_d63e9234">
Wien	w1_d63e9238
den	w3_d63e9241
7.	w5_d63e9244
Augusti	w7_d63e9247
1756.	w9_d63e9250
</head>
<p id="p4_d63e9253">
MJttwoch	w1_d63e9257
den	w3_d63e9260
4.	w5_d63e9263
Augusti,	w7_d63e9266
fruhe	w9_d63e9269
nach	w11_d63e9272
ge	w13_d63e9276
M.	w1_d63e9281
hörter	w1_d63e9286
Heil.	w3_d63e9289
Meß	w5_d63e9292
seynd	w7_d63e9295
beede	w9_d63e9298
Kaiserl.	w11_d63e9301
Majestäten	w1_d63e9307
in	w3_d63e9310
Gefolge	w5_d63e9313
einiger	w7_d63e9316
Damen	w9_d63e9319
und	w11_d63e9322
Cavalieren,	w1_d63e9327
mittelst	w3_d63e9330
unterlegten	w5_d63e9333
Hofpost	w7_d63e9336
pferden	w1_d63e9341
nach	w3_d63e9344
der	w5_d63e9347
Wiennerischen	w7_d63e9350
Neustadt	w9_d63e9353
ab	w11_d63e9356
gegangen,	w1_d63e9361
und	w3_d63e9364
haben	w5_d63e9367
deren	w7_d63e9370
aldortigen	w9_d63e9373
Ca	w11_d63e9376
detten	w1_d63e9382
gemachte	w3_d63e9385
Exercitia	w5_d63e9388
in	w7_d63e9391
allerhöchsten	w9_d63e9394
Augenschein	w1_d63e9399
genommen,	w3_d63e9402
und	w5_d63e9405
Abends	w7_d63e9408
nacher	w9_d63e9411
Schönbrunn	w1_d63e9416
Sich	w3_d63e9419
zuruck	w5_d63e9422
verfüget.	w7_d63e9425
</p>
<p id="p6_d63e9428">
Donnerstag	w1_d63e9432
den	w3_d63e9435
5.	w5_d63e9438
Augusti,	w7_d63e9441
Vor	w9_d63e9444
und	w11_d63e9447
Nachmittags	w1_d63e9452
ist	w3_d63e9455
in	w5_d63e9458
Beywohnung	w7_d63e9461
Aller	w9_d63e9464
höchster	w1_d63e9469
Herrschaften	w3_d63e9472
das	w5_d63e9475
Wochentliche	w7_d63e9478
Ge	w9_d63e9481
bett;	w1_d63e9487
Und	w3_d63e9490
</p>
<p id="p8_d63e9493">
Freytag	w1_d63e9497
den	w3_d63e9500
6.	w5_d63e9503
Augusti,	w7_d63e9506
der	w9_d63e9509
ordinari	w11_d63e9512
GOttes=dienst	w1_d63e9517
in	w3_d63e9520
der	w5_d63e9523
Schönbrunner	w7_d63e9526
Schloß	w9_d63e9529
kapellen	w1_d63e9534
gehalten	w3_d63e9537
worden.	w5_d63e9540
</p>
<p id="p10_d63e9543">
Eodem	w1_d63e9547
ist	w3_d63e9550
in	w5_d63e9553
Folge	w7_d63e9556
der	w9_d63e9559
bey	w11_d63e9562
dem	w13_d63e9566
alhiesigen	w15_d63e9569
Kaiserl.	w1_d63e9574
Königl	w3_d63e9577
Stadt	w5_d63e9580
und	w7_d63e9583
Land=gericht	w9_d63e9586
abgeführten	w1_d63e9591
Criminal=verfahrung	w3_d63e9594
und	w5_d63e9597
dar	w7_d63e9600
über	w1_d63e9606
geschöpften	w3_d63e9609
auch	w5_d63e9612
von	w7_d63e9615
einer	w9_d63e9618
Hochlöbl.	w11_d63e9621
N.	w1_d63e9626
Oe.	w3_d63e9629
Regierung	w5_d63e9632
in	w7_d63e9635
Justiz=sachen	w9_d63e9638
bestät	w11_d63e9641
tigten	w1_d63e9646
Erkanntnuß	w3_d63e9649
eine	w5_d63e9652
ledige	w7_d63e9655
Manns=person,	w9_d63e9658
Namens	w1_d63e9663
Leopold	w3_d63e9666
W.	w5_d63e9669
34.	w7_d63e9672
Jahr	w9_d63e9675
alt,	w11_d63e9678
von	w13_d63e9682
Oedt	w1_d63e9688
unweit	w3_d63e9691
Nieder=walsee,	w5_d63e9694
gebürtig	w7_d63e9697
Ca	w9_d63e9700
tholischer	w1_d63e9705
Religion,	w3_d63e9708
von	w5_d63e9711
Profeßion	w7_d63e9714
ein	w9_d63e9717
Fleischhauer=knecht	w1_d63e9722
wegen	w3_d63e9725
unterschiedlichen	w5_d63e9728
begangenen	w1_d63e9733
Diebstählen	w3_d63e9736
vor	w5_d63e9739
dem	w7_d63e9742
alhiesigen	w9_d63e9745
Schotten=thor	w1_d63e9751
auf	w3_d63e9754
dasiger	w5_d63e9757
Richtstatt	w7_d63e9760
mit	w9_d63e9763
dem	w1_d63e9768
Strang	w3_d63e9771
vom	w5_d63e9774
Leben	w7_d63e9777
zum	w9_d63e9780
Tod	w11_d63e9783
hingerich	w13_d63e9787
tet	w1_d63e9792
worden.	w3_d63e9795
</p>
<head id="h2_d63e9801">
Lista	w1_d63e9805
deren	w3_d63e9808
Verstorbenen	w5_d63e9811
zu	w7_d63e9814
Wien	w9_d63e9817
in	w1_d63e9822
und	w3_d63e9825
vor	w5_d63e9828
der	w7_d63e9831
Stadt.	w9_d63e9834
Den	w1_d63e9839
4.	w3_d63e9842
Augusti.	w5_d63e9845
Jn	w1_d63e9851
der	w3_d63e9854
Stadt.	w5_d63e9857
</head>
<list id="l4_d63e9860">
Dem	w1_d63e9864
Hrn.	w3_d63e9867
Filibert	w5_d63e9870
Berinet,	w7_d63e9873
K.	w9_d63e9876
K.	w11_d63e9879
Niederlags=verw.	w13_d63e9883
s.	w1_d63e9888
K.	w3_d63e9891
Claudi,	w5_d63e9894
beym	w7_d63e9897
Winter	w9_d63e9900
untern	w11_d63e9903
Tuchl.,	w13_d63e9907
1.	w15_d63e9910
J.	w17_d63e9913
</list>
<head id="h2_d63e9920">
Vor	w1_d63e9924
