<doc id="edoc_wd_1759-09-26" attrs="word" year="1759" month="09" day="26" corpus="1">
<head id="hl1">
Coblenz	w40
Schanze	w1895
9	w1896
<g/>
.
Canonen	w1898
und	w1899
verschie=dene	w1900
<g/>
=
Munition	w1902
vorgefunden	w1903
worden	w1904
<g/>
.
Der	w1906
Herr	w1907
Graf	w1908
von	w1909
Fersen	w1910
wird	w1911
von	w1912
da	w1913
aus	w1914
den	w1915
Marsch	w1916
nach	w1917
Wollin	w1918
fortsetzen	w1919
<g/>
.
</p>
<head id="hl8">
Lion	w1921
12	w1922
<g/>
.
Sept	w1924
<g/>
.
</head>
<p id="p22">
Unsere	w1926
Nachrichten	w1927
aus	w1928
der	w1929
See	w1930
lauten	w1931
nicht	w1932
vergnüglich	w1933
<g/>
,
indem	w1935
man	w1936
vernihmt	w1937
<g/>
,
daß	w1939
unsere	w1940
Flotte	w1941
unter	w1942
dem	w1943
Herrn	w1944
de	w1945
la	w1946
Clüe	w1947
von	w1948
dem	w1949
Admiral	w1950
Boscawen	w1951
geschlagen	w1952
wor=den	w1953
<g/>
=
<g/>
.
Von	w1956
diesem	w1957
Vorfall	w1958
sind	w1959
bis	w1960
hieher	w1961
folgende	w1962
Umstände	w1963
bekannt	w1964
worden	w1965
<g/>
:
Den	w1967
16	w1968
<g/>
.
vorigen	w1970
Monats	w1971
langte	w1972
unsere	w1973
Flotte	w1974
in	w1975
der	w1976
Gegend	w1977
der	w1978
Meer	w1979
<g/>
=
enge	w1981
von	w1982
Gibraltar	w1983
an	w1984
<g/>
;
gegen	w1986
5	w1987
<g/>
.
Uhr	w1989
des	w1990
Abends	w1991
ließ	w1992
der	w1993
Herr	w1994
de	w1995
la	w1996
Clüe	w1997
die	w1998
Schiffe	w1999
in	w2000
2	w2001
<g/>
.
Colonnen	w2003
stellen	w2004
<g/>
,
und	w2006
da	w2007
der	w2008
Wind	w2009
günstig	w2010
war	w2011
<g/>
,
so	w2013
lieffe	w2014
er	w2015
in	w2016
die	w2017
Meer	w2018
<g/>
=
enge	w2020
ein	w2021
<g/>
,
und	w2023
kam	w2024
glücklich	w2025
durch	w2026
<g/>
;
da	w2028
nun	w2029
die	w2030
Nacht	w2031
sehr	w2032
dunkel	w2033
war	w2034
<g/>
,
so	w2036
daß	w2037
man	w2038
nicht	w2039
wahrnehmen	w2040
konnte	w2041
<g/>
,
ob	w2043
sich	w2044
keine	w2045
Schiffe	w2046
entfernet	w2047
<g/>
,
so	w2049
ließ	w2050
derr	w2051
Hr	w2052
<g/>
.
de	w2054
la	w2055
Clüe	w2056
um	w2057
Mitternacht	w2058
das	w2059
Zeichen	w2060
ge=ben	w2061
<g/>
=
<g/>
,
daß	w2064
sich	w2065
die	w2066
Flotte	w2067
sammeln	w2068
sollte	w2069
<g/>
.
Um	w2071
3	w2072
<g/>
.
Uhr	w2074
des	w2075
Morgens	w2076
fand	w2077
sich	w2078
das	w2079
Kriegs=schif	w2080
<g/>
=
<g/>
,
der	w2083
Fantasque	w2084
<g/>
,
ausser	w2086
der	w2087
Meer	w2088
<g/>
=
enge	w2090
ganz	w2091
allein	w2092
<g/>
,
und	w2094
weilen	w2095
es	w2096
glaubte	w2097
<g/>
,
die	w2099
Flot=te	w2100
<g/>
=
werde	w2102
nach	w2103
denen	w2104
Spanischen	w2105
Küsten	w2106
segeln	w2107
<g/>
,
so	w2109
that	w2110
es	w2111
ein	w2112
gleiches	w2113
<g/>
.
Um	w2115
6	w2116
<g/>
.
Uhr	w2118
des	w2119
Morgens	w2120
erblickte	w2121
ermeldetes	w2122
Schif	w2123
<g/>
,
verschie=dene	w2125
<g/>
=
Schiffe	w2127
<g/>
,
und	w2129
Fregatten	w2130
<g/>
,
da	w2132
es	w2133
aber	w2134
keine	w2135
grosse	w2136
Schiffe	w2137
wahrnahm	w2138
<g/>
,
so	w2140
richtete	w2141
es	w2142
mit	w2143
noch	w2144
4	w2145
<g/>
.
andern	w2147
Schiffen	w2148
und	w2149
3	w2150
<g/>
.
Fregatten	w2152
<g/>
,
welche	w2154
zu	w2155
demselben	w2156
gestossen	w2157
wa=ren	w2158
<g/>
=
seinen	w2160
Lauf	w2161
nach	w2162
Cadix	w2163
<g/>
;
indessen	w2165
setzte	w2166
die	w2167
Flotte	w2168
des	w2169
Herrn	w2170
de	w2171
la	w2172
Clüe	w2173
<g/>
,
welche	w2175
noch	w2176
aus	w2177
sieben	w2178
Kriegs	w2179
<g/>
=
schiffen	w2181
bestunde	w2182
<g/>
,
seine	w2184
Reise	w2185
fort	w2186
<g/>
,
und	w2188
mit	w2189
Anbruch	w2190
des	w2191
Tages	w2192
sahe	w2193
man	w2194
verschiedene	w2195
Schiffe	w2196
<g/>
,
welche	w2198
von	w2199
der	w2200
Meer	w2201
<g/>
=
enge	w2203
herkamen	w2204
<g/>
.
Anfänglich	w2206
glaub=et	w2207
<g/>
=
man	w2209
<g/>
,
es	w2211
werde	w2212
der	w2213
Rest	w2214
unserer	w2215
Flotte	w2216
seyn	w2217
<g/>
,
allein	w2219
bald	w2220
erfuhr	w2221
man	w2222
<g/>
,
daß	w2224
es	w2225
dieEn=gländische	w2226
<g/>
=
Flotte	w2228
wäre	w2229
<g/>
.
Es	w2231
ließ	w2232
also	w2233
der	w2234
Herr	w2235
de	w2236
la	w2237
Clüe	w2238
bis	w2239
gegen	w2240
8	w2241
<g/>
.
Uhr	w2243
alles	w2244
</p>
<p id="p23">
mögmögmögliche	w2245
<g/>
=
</p>
<p id="p24">
mögliche	w2247
anwenden	w2248
<g/>
,
um	w2250
sich	w2251
von	w2252
derselben	w2253
zu	w2254
entfernen	w2255
<g/>
;
diesem	w2257
aber	w2258
ungeachtet	w2259
<g/>
,
kam	w2261
erstere	w2262
der	w2263
unsern	w2264
immer	w2265
näher	w2266
<g/>
.
Der	w2268
Hr	w2269
<g/>
.
de	w2271
la	w2272
Clüe	w2273
stellete	w2274
also	w2275
seine	w2276
Schiffe	w2277
in	w2278
eine	w2279
Linie	w2280
<g/>
;
die	w2282
Feinde	w2283
aber	w2284
theileten	w2285
die	w2286
ihrige	w2287
in	w2288
2	w2289
<g/>
.
Linien	w2291
<g/>
,
und	w2293
setzten	w2294
also	w2295
ein	w2296
jedes	w2297
unse=rer	w2298
<g/>
=
Schiffen	w2300
zwischen	w2301
zwey	w2302
Feuer	w2303
<g/>
.
Um	w2305
2	w2306
<g/>
.
Uhr	w2308
Nachmittags	w2309
fieng	w2310
das	w2311
Gefecht	w2312
an	w2313
<g/>
,
und	w2315
währete	w2316
den	w2317
ganzen	w2318
Tag	w2319
<g/>
;
da	w2321
es	w2322
Nacht	w2323
ward	w2324
<g/>
,
hörete	w2326
das	w2327
Feuer	w2328
auf	w2329
<g/>
.
Das	w2331
Kriegs=schif	w2332
<g/>
=
<g/>
,
le	w2335
Centaure	w2336
<g/>
,
befand	w2338
sich	w2339
von	w2340
der	w2341
Engländischen	w2342
Flotte	w2343
umrungen	w2344
<g/>
;
der	w2346
Ocean	w2347
von	w2348
80	w2349
<g/>
.
Canonen	w2351
<g/>
,
welcher	w2353
von	w2354
dem	w2355
Herrn	w2356
de	w2357
la	w2358
Clüe	w2359
commandirt	w2360
wurde	w2361
<g/>
,
ist	w2363
gestrandet	w2364
<g/>
,
und	w2366
von	w2367
denen	w2368
Engländern	w2369
angezündet	w2370
worden	w2371
<g/>
;
der	w2373
Redoutable	w2374
von	w2375
74	w2376
<g/>
.
Canonen	w2378
<g/>
,
welches	w2380
an	w2381
der	w2382
Küste	w2383
von	w2384
Lagos	w2385
geländet	w2386
<g/>
,
ist	w2388
eben=falls	w2389
<g/>
=
im	w2391
Brand	w2392
gesehen	w2393
worden	w2394
<g/>
;
der	w2396
Guer=cier	w2397
<g/>
=
und	w2399
Souverain	w2400
<g/>
,
auch	w2402
von	w2403
74	w2404
<g/>
.
Cano=nen	w2406
<g/>
=
<g/>
,
sind	w2409
nach	w2410
dem	w2411
Treffen	w2412
vom	w2413
17	w2414
<g/>
.
nicht	w2416
mehr	w2417
gesehen	w2418
worden	w2419
<g/>
.
Der	w2421
Temeraire	w2422
<g/>
,
und	w2424
Modeste	w2425
aber	w2426
<g/>
,
von	w2428
gleicher	w2429
Stärke	w2430
<g/>
,
sind	w2432
auf	w2433
der	w2434
Küste	w2435
von	w2436
Portugal	w2437
von	w2438
denen	w2439
En=gländern	w2440
<g/>
=
weggenommen	w2442
worden	w2443
<g/>
.
Aus	w2445
dem	w2446
Canal	w2447
vernihmt	w2448
man	w2449
<g/>
,
daß	w2451
sich	w2452
die	w2453
Engländer	w2454
vor	w2455
verschiedenen	w2456
Häfen	w2457
sehen	w2458
lassen	w2459
<g/>
,
bis	w2461
jetzo	w2462
aber	w2463
noch	w2464
nichts	w2465
wichtiges	w2466
unternom=men	w2467
<g/>
=
hätten	w2469
<g/>
,
ausser	w2471
daß	w2472
sie	w2473
einige	w2474
Bomben	w2475
in	w2476
den	w2477
Hafen	w2478
von	w2479
Orient	w2480
geworfen	w2481
<g/>
.
Jn	w2483
Pro=vence	w2484
<g/>
=
und	w2486
Languedoc	w2487
ist	w2488
die	w2489
Ernde	w2490
so	w2491
schlecht	w2492
ausgefallen	w2493
<g/>
,
daß	w2495
die	w2496
Einwohner	w2497
den	w2498
Hof	w2499
um	w2500
die	w2501
Erlaubnis	w2502
ersucht	w2503
<g/>
,
sich	w2505
auf	w2506
ihre	w2507
Kösten	w2508
Früchte	w2509
aus	w2510
Sicilien	w2511
anzuschaffen	w2512
<g/>
.
</p>
<head id="hl9">
Hanau	w2514
19	w2515
<g/>
.
September	w2517
<g/>
.
</head>
<p id="p25">
Briefe	w2519
von	w2520
16	w2521
<g/>
.
dieses	w2523
aus	w2524
der	w2525
Gegend	w2526
des	w2527
Lahn	w2528
<g/>
=
stroms	w2530
geben	w2531
<g/>
,
daß	w2533
das	w2534
Schloß	w2535
zu	w2536
Marburg	w2537
an	w2538
die	w2539
Allirten	w2540
mit	w2541
Accord	w2542
übergegangen	w2543
<g/>
,
und	w2545
die	w2546
darinn	w2547
befindlich	w2548
geweste	w2549
Französische	w2550
Besatzung	w2551
zu	w2552
Kriegs=gefangenen	w2553
<g/>
=
gemacht	w2555
worden	w2556
sey	w2557
<g/>
.
Den	w2559
Fran=zösischen	w2560
<g/>
=
Commandanten	w2562
<g/>
,
Herrn	w2564
du	w2565
Pleßis	w2566
<g/>
,
soll	w2568
hauptsächlich	w2569
der	w2570
Mangel	w2571
am	w2572
Wasser	w2573
genöhtiget	w2574
haben	w2575
<g/>
,
an	w2577
eine	w2578
Ubergabe	w2579
zu	w2580
dendenken	w2581
<g/>
=
</p>
<p id="p26">
ken	w2583
<g/>
.
Die	w2585
Stellung	w2586
der	w2587
Armee	w2588
ist	w2589
indessen	w2590
noch	w2591
die	w2592
nämliche	w2593
<g/>
.
Die	w2595
beyderseitige	w2596
leichte	w2597
Trupen	w2598
sind	w2599
seit	w2600
einigen	w2601
Tagen	w2602
in	w2603
hitzigen	w2604
Scharmützeln	w2605
aneinander	w2606
gerahten	w2607
<g/>
,
alleine	w2609
der	w2610
Verlust	w2611
soll	w2612
jedesmal	w2613
auf	w2614
beyden	w2615
Sei=ten	w2616
<g/>
=
geringe	w2618
gewesen	w2619
seyn	w2620
<g/>
.
Am	w2622
16	w2623
<g/>
.
hörte	w2625
man	w2626
zu	w2627
Giessen	w2628
<g/>
,
nach	w2630
der	w2631
Seite	w2632
von	w2633
Stauffenberg	w2634
zu	w2635
<g/>
,
stark	w2637
canoniren	w2638
<g/>
.
Wie	w2640
verlautet	w2641
<g/>
,
haben	w2643
die	w2644
Alliirte	w2645
wegen	w2646
des	w2647
Siegs	w2648
der	w2649
Engländer	w2650
über	w2651
die	w2652
Französische	w2653
Flotte	w2654
des	w2655
Herrn	w2656
la	w2657
Clüe	w2658
<g/>
,
Victorie	w2660
geschos=sen	w2661
<g/>
=
<g/>
.
</p>
<head id="hl10">
Bericht	w2664
des	w2665
Schwedischen	w2666
Gene=ral	w2667
<g/>
=
Carpelan	w2669
v	w2670
<g/>
.
der	w2672
Galeere	w2673
Carls=crona	w2674
<g/>
=
von	w2676
10	w2677
<g/>
.
Sept	w2679
<g/>
.
1759	w2681
<g/>
.
um	w2683
4	w2684
<g/>
.
Uhr	w2686
Nachmittag	w2687
<g/>
.
</head>
<p id="p27">
Jch	w2689
habe	w2690
die	w2691
Ehre	w2692
hierdurch	w2693
zu	w2694
berich=ten	w2695
<g/>
=
<g/>
,
daß	w2698
Sr	w2699
<g/>
.
Königl	w2701
<g/>
.
Majestät	w2703
Galeer=escadre	w2704
<g/>
=
einen	w2706
vollkommenen	w2707
Sieg	w2708
über	w2709
die	w2710
Königl	w2711
<g/>
.
Preußische	w2713
Flotille	w2714
erhalten	w2715
<g/>
.
Man	w2717
hat	w2718
ihnen	w2719
ihre	w2720
vier	w2721
armirte	w2722
Gallioten	w2723
<g/>
,
und	w2725
vier	w2726
See	w2727
<g/>
=
kähne	w2729
genommen	w2730
<g/>
,
so	w2732
<g/>
,
daß	w2734
von	w2735
ihrer	w2736
Flotille	w2737
nur	w2738
4	w2739
<g/>
.
Barcassen	w2741
davon	w2742
gekommen	w2743
sind	w2744
<g/>
.
Die	w2746
Attaque	w2747
und	w2748
Cano=nade	w2749
<g/>
=
fieng	w2751
um	w2752
halb	w2753
10	w2754
<g/>
.
Uhr	w2756
an	w2757
<g/>
,
und	w2759
wäh=rete	w2760
<g/>
=
bis	w2762
nach	w2763
12	w2764
<g/>
.
Uhr	w2766
<g/>
,
in	w2768
welcher	w2769
Zeit	w2770
das	w2771
Feuer	w2772
3	w2773
<g/>
.
Viertel	w2775
Stunde	w2776
lang	w2777
am	w2778
hef=tigsten	w2779
<g/>
=
ware	w2781
<g/>
,
und	w2783
ich	w2784
denen	w2785
Feinden	w2786
nahe	w2787
genug	w2788
kam	w2789
<g/>
,
um	w2791
ankern	w2792
zu	w2793
können	w2794
<g/>
,
wobey	w2796
dann	w2797
besagte	w2798
8	w2799
<g/>
.
Schiffe	w2801
genommen	w2802
<g/>
,
und	w2804
auf	w2805
selbigen	w2806
einige	w2807
20	w2808
<g/>
.
Officiers	w2810
vom	w2811
See	w2812
<g/>
=
und	w2814
Land	w2815
<g/>
=
staat	w2817
ingleichen	w2818
zwischen	w2819
5	w2820
<g/>
.
und	w2822
600	w2823
<g/>
.
Mann	w2825
Matrosen	w2826
und	w2827
Soldaten	w2828
zu	w2829
Gefangenen	w2830
gemacht	w2831
wurden	w2832
<g/>
.
Der	w2834
Kö=nigl	w2835
<g/>
=
<g/>
.
Galeere	w2838
<g/>
=
Escadre	w2840
muß	w2841
ich	w2842
den	w2843
Ruhm	w2844
geben	w2845
<g/>
,
daß	w2847
sie	w2848
sich	w2849
bey	w2850
dieser	w2851
Gelegenheit	w2852
sehr	w2853
hervor	w2854
gethan	w2855
<g/>
,
und	w2857
um	w2858
Sr	w2859
<g/>
.
Königl	w2861
<g/>
.
Majest	w2863
<g/>
.
Gnade	w2865
völlig	w2866
verdient	w2867
gemacht	w2868
hat	w2869
<g/>
.
</p>
<p id="p28">
Der	w2871
Verlust	w2872
auf	w2873
unserer	w2874
Seite	w2875
ist	w2876
nur	w2877
gering	w2878
<g/>
.
Eine	w2880
Barcasse	w2881
<g/>
,
in	w2883
deren	w2884
Amuni=tions	w2885
<g/>
=
<g/>
=
lade	w2888
bey	w2889
der	w2890
heftigen	w2891
Canonade	w2892
Feuer	w2893
gekommen	w2894
<g/>
,
ist	w2896
mit	w2897
einiger	w2898
Mannschaft	w2899
ververloren	w2900
<g/>
=
</p>
<p id="p29">
loren	w2903
gegangen	w2904
<g/>
;
die	w2906
Chef	w2907
<g/>
=
galeere	w2909
Carlscrona	w2910
hat	w2911
einige	w2912
Schüsse	w2913
bekommen	w2914
<g/>
,
und	w2916
von	w2917
der	w2918
Besatzung	w2919
ist	w2920
ein	w2921
Mann	w2922
getödtet	w2923
und	w2924
zer=schiedene	w2925
<g/>
=
bleßiret	w2927
worden	w2928
<g/>
.
Ob	w2930
und	w2931
wie	w2932
viel	w2933
Mannschaft	w2934
auf	w2935
denen	w2936
übrigen	w2937
Galeren	w2938
und	w2939
Fahrzeugen	w2940
geblieben	w2941
und	w2942
bleßiret	w2943
worden	w2944
<g/>
,
kan	w2946
ich	w2947
noch	w2948
zur	w2949
Zeit	w2950
nicht	w2951
bestimmen	w2952
<g/>
.
</p>
<head id="hl11">
Kurz	w2954
<g/>
=
gefaßte	w2956
Nachrichten	w2957
von	w2958
verschiedenen	w2959
Orten	w2960
<g/>
.
</head>
<p id="p30">
Man	w2962
vernihmt	w2963
</p>
<p id="p31">
Von	w2964
Stettin	w2965
<g/>
:
daß	w2967
allda	w2968
der	w2969
Königl	w2970
<g/>
.
Preuß	w2972
<g/>
.
General	w2974
<g/>
=
leutenant	w2976
der	w2977
Jnfanterie	w2978
<g/>
,
Herr	w2980
von	w2981
Jtzenblitz	w2982
<g/>
,
den	w2984
5	w2985
Sept	w2986
<g/>
.
Mit=tags	w2988
<g/>
=
zwischen	w2990
12	w2991
<g/>
.
und	w2993
1	w2994
<g/>
.
Uhr	w2996
im	w2997
73sten	w2998
Jahr	w2999
seines	w3000
Alters	w3001
<g/>
,
an	w3003
denen	w3004
in	w3005
der	w3006
Ba=taille	w3007
<g/>
=
bey	w3009
Frankfort	w3010
an	w3011
der	w3012
Oder	w3013
empfan=genen	w3014
<g/>
=
Wunden	w3016
<g/>
,
Todes	w3018
verbliben	w3019
seye	w3020
<g/>
;
und	w3022
daß	w3023
aldaselbst	w3024
bis	w3025
15000	w3026
<g/>
.
Mann	w3028
sowol	w3029
bleßirte	w3030
<g/>
,
als	w3032
sonst	w3033
kranke	w3034
Preußen	w3035
sich	w3036
befinden	w3037
<g/>
,
deren	w3039
man	w3040
in	w3041
Ermanglung	w3042
des	w3043
erforderlichen	w3044
Platzes	w3045
<g/>
,
viele	w3047
in	w3048
die	w3049
Kir=chen	w3050
<g/>
=
habe	w3052
legen	w3053
müssen	w3054
<g/>
,
und	w3056
werde	w3057
von	w3058
dasigem	w3059
Magistrat	w3060
alle	w3061
erdenkliche	w3062
Sorg=falt	w3063
<g/>
=
angewendet	w3065
<g/>
,
damit	w3067
die	w3068
überschwenkli=che	w3069
<g/>
=
Menge	w3071
diesfälliger	w3072
Kranken	w3073
<g/>
(
zu	w3075
de=ren	w3076
<g/>
=
Verbindung	w3078
man	w3079
nicht	w3080
einmal	w3081
genug	w3082
Leinwat	w3083
daselbst	w3084
habe	w3085
aufbringen	w3086
können	w3087
<g/>
)
in	w3089
keine	w3090
ansteckende	w3091
Seuche	w3092
ausbreche	w3093
<g/>
,
wel=che	w3095
<g/>
=
durchaus	w3097
daselbst	w3098
sehr	w3099
besorgt	w3100
werde	w3101
<g/>
.
</p>
<p id="p32">
Von	w3103
Neapel	w3104
<g/>
:
daß	w3106
zur	w3107
Abreise	w3108
Sr	w3109
<g/>
.
Kö=niglichen	w3111
<g/>
=
Majestät	w3113
nach	w3114
Spanien	w3115
<g/>
,
die	w3117
Flot=te	w3118
<g/>
=
im	w3120
Hafen	w3121
schon	w3122
seegelfertig	w3123
wäre	w3124
<g/>
.
Den	w3126
26	w3127
<g/>
.
und	w3129
27	w3130
<g/>
.
Aug	w3132
<g/>
.
sind	w3134
fast	w3135
nach	w3136
allen	w3137
Höfen	w3138
Euro=pens	w3139
<g/>
=
Courier	w3141
abgegangen	w3142
<g/>
,
um	w3144
sowol	w3145
die	w3146
Nachricht	w3147
vom	w3148
tödtlichen	w3149
Hintritt	w3150
Sr	w3151
<g/>
.
Ca=thal	w3153
<g/>
=
<g/>
.
Majest	w3156
<g/>
.
zu	w3158
überbringen	w3159
<g/>
,
als	w3161
auch	w3162
zu	w3163
melden	w3164
<g/>
,
daß	w3166
Se	w3167
<g/>
.
Königl	w3169
<g/>
.
Majest	w3171
<g/>
.
beyder	w3173
Sicilien	w3174
nunmehro	w3175
würklich	w3176
den	w3177
Titel	w3178
eines	w3179
Königs	w3180
von	w3181
Spanien	w3182
angenommen	w3183
hätten	w3184
<g/>
.
</p>
<p id="p33">
Von	w3186
Madrid	w3187
<g/>
:
daß	w3189
man	w3190
allda	w3191
seit	w3192
dem	w3193
17	w3194
<g/>
.
Aug	w3196
<g/>
.
alle	w3198
Anstalten	w3199
zur	w3200
Proclamation	w3201
des	w3202
neuen	w3203
Monarchen	w3204
macht	w3205
<g/>
,
und	w3207
daß	w3208
der	w3209
</p>
<p id="p34">
Herr	w3210
von	w3211
Reggio	w3212
mit	w3213
seiner	w3214
Flotte	w3215
wür=klich	w3216
<g/>
=
nach	w3218
Neapel	w3219
geseegelt	w3220
seye	w3221
<g/>
.
</p>
<p id="p35">
Von	w3223
Crossen	w3224
<g/>
.
daß	w3226
dem	w3227
3	w3228
<g/>
.
September	w3230
2	w3231
<g/>
.
Rußische	w3233
Jnfanterie	w3234
<g/>
=
regimenter	w3236
<g/>
,
ein	w3238
Regiment	w3239
deto	w3240
Hussaren	w3241
<g/>
,
und	w3243
ein	w3244
Regiment	w3245
Cosacken	w3246
<g/>
,
unter	w3248
Commando	w3249
des	w3250
Herrn	w3251
Bri=gadier	w3252
<g/>
=
Bruler	w3254
von	w3255
der	w3256
Weixel	w3257
allda	w3258
einge=troffen	w3259
<g/>
=
seyen	w3261
<g/>
;
und	w3263
daß	w3264
annoch	w3265
den	w3266
13	w3267
<g/>
.
September	w3269
die	w3270
Rußische	w3271
Armee	w3272
zu	w3273
Liebrose	w3274
<g/>
,
die	w3276
Preußische	w3277
aber	w3278
zu	w3279
Waldau	w3280
gestanden	w3281
wäre	w3282
<g/>
.
</p>
<p id="p36">
Von	w3284
Hamburg	w3285
<g/>
:
daß	w3287
der	w3288
Königl	w3289
<g/>
.
Preuß	w3291
<g/>
.
Feld	w3293
<g/>
=
marschall	w3295
Graf	w3296
von	w3297
Dohna	w3298
<g/>
,
nach	w3300
ei=nem	w3301
<g/>
=
Aufenthalt	w3303
von	w3304
einigen	w3305
Tägen	w3306
von	w3307
da=nen	w3308
<g/>
=
den	w3310
12	w3311
<g/>
.
Sept	w3313
<g/>
.
wieder	w3315
nach	w3316
Berlin	w3317
ab=gereiset	w3318
<g/>
=
seye	w3320
<g/>
.
</p>
<head id="hl12">
Wien	w3322
den	w3323
26	w3324
<g/>
.
Septemb	w3326
<g/>
.
1759	w3328
<g/>
.
</head>
<p id="p37">
Ein	w3330
von	w3331
der	w3332
combinirten	w3333
K	w3334
<g/>
.
K	w3336
<g/>
.
und	w3338
Reichs=executions	w3339
<g/>
=
<g/>
=
armee	w3342
aus	w3343
Sachsen	w3344
ange=langter	w3345
<g/>
=
Currier	w3347
hat	w3348
die	w3349
vorläuffige	w3350
Nachricht	w3351
überbracht	w3352
<g/>
,
daß	w3354
des	w3355
commandirenden	w3356
Hrn	w3357
<g/>
.
Feld=marschallen	w3359
<g/>
=
Herzogen	w3361
zu	w3362
Pfalz	w3363
<g/>
=
zweybrücken	w3365
Durchl	w3366
<g/>
.
die	w3368
bey	w3369
Meissen	w3370
sehr	w3371
vortheilhaft	w3372
postirt	w3373
gestandene	w3374
Preußische	w3375
vereinigte	w3376
Fink	w3377
<g/>
=
und	w3379
Wunschische	w3380
Corps	w3381
den	w3382
21	w3383
<g/>
.
Dieses	w3385
an=gegriffen	w3386
<g/>
=
<g/>
,
und	w3389
nach	w3390
einem	w3391
hartnäckigen	w3392
Wie=derstand	w3393
<g/>
=
<g/>
,
und	w3396
bis	w3397
in	w3398
die	w3399
sinkende	w3400
Nacht	w3401
ge=dauerten	w3402
<g/>
=
heftigen	w3404
Feuer	w3405
aus	w3406
allen	w3407
ihren	w3408
in=nen	w3409
<g/>
=
gehabten	w3411
Posten	w3412
vertrieben	w3413
<g/>
,
auch	w3415
ver=schiedene	w3416
<g/>
=
Canonen	w3418
<g/>
,
und	w3420
andere	w3421
Sieges=zeichen	w3422
<g/>
=
erobert	w3424
haben	w3425
<g/>
,
wovon	w3427
man	w3428
die	w3429
weitere	w3430
Umstände	w3431
demnächstens	w3432
gewärtiget	w3433
<g/>
,
wo	w3435
immittelst	w3436
des	w3437
commandirenden	w3438
Feld=marschallens	w3439
<g/>
=
Durchleucht	w3441
deren	w3442
gesamten	w3443
<g/>
,
sowol	w3445
Kaiserlich	w3446
<g/>
=
Römischen	w3448
<g/>
,
als	w3450
Reichs=trupen	w3451
<g/>
=
hierbey	w3453
bezeigten	w3454
ungemeinem	w3455
Mut	w3456
und	w3457
Tapferkeit	w3458
das	w3459
rühmlichste	w3460
Zeugnuß	w3461
beylegen	w3462
<g/>
.
Das	w3464
Haupt	w3465
quartier	w3466
ist	w3467
bey	w3468
Ab=gang	w3469
<g/>
=
des	w3471
Curriers	w3472
von	w3473
Wilsdruf	w3474
vorwärts	w3475
nacher	w3476
Naustadt	w3477
verleget	w3478
<g/>
,
auch	w3480
alle	w3481
Dispo=sitionen	w3482
<g/>
=
zu	w3484
weiterer	w3485
Prosequirung	w3486
deren	w3487
er=haltenen	w3488
<g/>
=
Vortheilen	w3490
angekehret	w3491
worden	w3492
<g/>
.
</p>
<head id="hl13">
Lista	w3494
deren	w3495
Verstorbenen	w3496
zu	w3497
Wien	w3498
in	w3499
<g/>
=
und	w3501
vor	w3502
der	w3503
Stadt	w3504
<g/>
.
</head>
<head id="hl14">
Den	w3506
21	w3507
<g/>
.
Sept	w3509
<g/>
.
Jn	w3511
der	w3512
Stadt	w3513
<g/>
.
</head>
<list id="li3">
Niemand	w3515
<g/>
.
</list>
<head id="hl15">
Vor	w3517
der	w3518
Stadt	w3519
<g/>
.
</head>
<list id="li4">
Paul	w3521
Lehrer	w3522
<g/>
,
gew	w3524
<g/>
.
Proviant	w3526
<g/>
=
offic	w3528
<g/>
,
im	w3530
Füteris	w3531
<g/>
.
H	w3533
in	w3534
der	w3535
Leepoldst	w3536
<g/>
.
<g/>
,
alt	w3539
63	w3540
<g/>
.
J	w3542
<g/>
.
Barb	w3544
<g/>
.
Pfefferin	w3546
<g/>
,
Wittwe	w3548
<g/>
,
bey	w3550
der	w3551
weis	w3552
<g/>
.
Taub	w3554
<g/>
.
am	w3556
Thury	w3557
<g/>
,
alt	w3559
79	w3560
<g/>
.
J	w3562
<g/>
.
Mich	w3564
Jäger	w3565
<g/>
,
Lack	w3567
<g/>
.
<g/>
,
im	w3570
Schneideris	w3571
<g/>
.
H	w3573
<g/>
.
in	w3575
der	w3576
Leo=poldst	w3577
<g/>
=
<g/>
.
<g/>
,
alt	w3581
47	w3582
<g/>
.
J	w3584
<g/>
.
</list>
<p id="p38">
Summa	w3586
3	w3587
<g/>
.
Person	w3589
<g/>
.
darunter	w3591
0	w3592
<g/>
.
Kind	w3594
<g/>
.
</p>
<head id="hl17">
Den	w3596
22	w3597
<g/>
.
Sept	w3599
<g/>
.
</head>
<head id="hl18">
Jn	w3601
der	w3602
Stadt	w3603
<g/>
.
</head>
<list id="li5">
Maximil	w3605
<g/>
.
Toberauerin	w3607
<g/>
,
led	w3609
<g/>
.
<g/>
,
im	w3612
Schmidis	w3613
<g/>
.
H	w3615
<g/>
.
in	w3617
der	w3618
Nagler	w3619
<g/>
=
gas	w3621
<g/>
.
<g/>
,
alt	w3624
40	w3625
<g/>
.
J	w3627
<g/>
.
Franz	w3629
Knitl	w3630
<g/>
,
Portier	w3632
<g/>
,
im	w3634
Harrachisch	w3635
<g/>
.
H	w3637
<g/>
.
auf	w3639
der	w3640
Freyung	w3641
<g/>
,
alt	w3643
62	w3644
<g/>
.
J	w3646
<g/>
.
</list>
<head id="hl19">
Vor	w3648
der	w3649
Stadt	w3650
<g/>
.
</head>
<list id="li6">
Dem	w3652
Joh	w3653
<g/>
.
Bernhardtinger	w3655
<g/>
,
