<doc id="wr_1759-08-08" attrs="word" year="1759" month="08" day="08" corpus="2">
<head id="h2_d371e4010">
Münster	w4_d371e4013
durch	w36_d371e7759
Dero	w38_d371e7762
abgeschick	w40_d371e7765
ten	w43_d371e7769
Adjutanten,	w45_d371e7773
den	w47_d371e7777
Herrn	w49_d371e7780
Grafen	w51_d371e7783
von	w53_d371e7786
Lambert,	w56_d371e7790
der	w58_d371e7795
Chur=prinzeßin	w60_d371e7798
Königl.	w62_d371e7801
Ho	w64_d371e7804
heit,	w67_d371e7808
deshalben	w69_d371e7813
die	w71_d371e7816
Gratulationes	w73_d371e7819
abstat	w75_d371e7822
ten	w78_d371e7826
zu	w80_d371e7831
lassen,	w82_d371e7834
geruhet.	w84_d371e7837
Auf	w86_d371e7840
eingelangte	w88_d371e7843
hohe	w91_d371e7848
Ordre	w93_d371e7852
sind	w95_d371e7855
gestern	w97_d371e7858
Nachmittags,	w99_d371e7861
die	w101_d371e7864
in	w104_d371e7869
hiesiger	w106_d371e7873
Gegend	w108_d371e7876
annoch	w110_d371e7879
cantonirte	w112_d371e7882
Preus	w114_d371e7886
sische	w117_d371e7890
Trupen,	w119_d371e7894
bey	w121_d371e7897
welchen	w123_d371e7900
Se.	w125_d371e7904
Königl.	w127_d371e7907
Hoheit,	w130_d371e7911
der	w132_d371e7915
Prinz	w134_d371e7918
Heinrich	w136_d371e7922
sich	w138_d371e7925
befinden,	w140_d371e7928
schleunig	w143_d371e7932
aufgebrochen,	w145_d371e7936
und	w147_d371e7940
sind	w149_d371e7943
die	w151_d371e7946
vom	w153_d371e7949
linken	w156_d371e7953
Flügel	w158_d371e7958
durch	w160_d371e7961
die	w162_d371e7964
Stadt	w164_d371e7967
über	w166_d371e7970
die	w168_d371e7973
Brücke,	w171_d371e7978
die	w173_d371e7982
vom	w175_d371e7985
rechten	w177_d371e7988
aber,	w179_d371e7991
über	w181_d371e7995
die	w183_d371e7998
oberhalb	w186_d371e8002
der	w188_d371e8006
Elbe	w190_d371e8009
geschlagene	w192_d371e8013
Schif=brücke	w194_d371e8016
marschiret,	w197_d371e8020
welcher	w199_d371e8024
Marsch	w201_d371e8027
etliche	w203_d371e8031
Stunden	w205_d371e8034
lang,	w208_d371e8038
aber	w210_d371e8042
mit	w212_d371e8045
den	w214_d371e8049
nachgefolgten	w216_d371e8052
vielen	w218_d371e8055
100.	w220_d371e8058
Feldbagage	w223_d371e8062
und	w225_d371e8067
Proviant=wägen,	w227_d371e8070
auch	w229_d371e8073
Pack=pferden,	w232_d371e8077
bis	w234_d371e8081
in	w236_d371e8085
die	w238_d371e8088
späte	w240_d371e8091
Nacht	w242_d371e8094
ge	w244_d371e8097
dauret	w247_d371e8102
hat,	w249_d371e8106
und	w251_d371e8109
ist	w253_d371e8112
selbiger	w255_d371e8115
nach	w257_d371e8118
der	w259_d371e8122
Ober	w261_d371e8125
lausitz	w264_d371e8129
genommen,	w266_d371e8133
und	w268_d371e8136
vermutlich	w270_d371e8140
die	w272_d371e8143
ganze	w274_d371e8146
Nacht	w277_d371e8150
hindurch	w279_d371e8154
fortgesetzet	w281_d371e8158
worden.	w283_d371e8161
</p>
<head id="h2_d371e8167">
Glasgow	w4_d371e8170
in	w6_d371e8174
Schottland,	w8_d371e8177
7.	w10_d371e8180
Julii.	w12_d371e8183
</head>
<p id="p4_d371e8186">
Die	w4_d371e8189
Engländer	w6_d371e8193
vergessen,	w8_d371e8196
daß	w10_d371e8199
wir	w12_d371e8202
ihres	w14_d371e8206
gleichen,	w17_d371e8210
und	w19_d371e8214
nicht	w21_d371e8217
ihre	w23_d371e8220
Unterthanen	w25_d371e8224
sind;	w27_d371e8227
sie	w30_d371e8231
legen	w32_d371e8235
uns	w34_d371e8238
ihre	w36_d371e8242
Milizen	w38_d371e8245
zur	w40_d371e8248
Last,	w42_d371e8251
denen	w44_d371e8254
sie	w47_d371e8259
die	w49_d371e8263
Bewahrung	w51_d371e8266
unserer	w53_d371e8269
Küsten	w55_d371e8272
anver	w57_d371e8275
trauet,	w60_d371e8280
und	w62_d371e8284
für	w64_d371e8287
ihr	w66_d371e8290
America	w68_d371e8293
nehmen	w70_d371e8297
sie	w72_d371e8300
unsre	w75_d371e8304
Mannschaft	w77_d371e8308
weg,	w79_d371e8311
die	w81_d371e8315
doch	w83_d371e8318
geschickter	w85_d371e8321
sind	w88_d371e8325
als	w90_d371e8329
ihre	w92_d371e8333
Bauern,	w94_d371e8336
unser	w96_d371e8339
Vatterland	w98_d371e8342
zu	w100_d371e8345
vertheidigen.	w103_d371e8350
</p>
<head id="h2_d371e8358">
Aus	w4_d371e8361
Thüringen	w6_d371e8365
24.	w8_d371e8368
Julii.	w10_d371e8371
</head>
<p id="p4_d371e8374">
Die	w4_d371e8377
in	w6_d371e8381
Schmalkalden	w8_d371e8384
ligende	w10_d371e8387
zwey	w12_d371e8390
Re	w14_d371e8394
gimenter	w17_d371e8398
haben	w19_d371e8402
Ordre	w21_d371e8405
erhalten,	w23_d371e8408
der	w25_d371e8412
Ar	w27_d371e8415
mee,	w30_d371e8419
welche	w32_d371e8423
ihr	w34_d371e8426
Lager	w36_d371e8430
nun	w38_d371e8433
bey	w40_d371e8436
Erfurt	w42_d371e8439
nihmt,	w45_d371e8443
nachzurücken.	w47_d371e8448
Die	w49_d371e8451
Generalität	w51_d371e8454
wird	w54_d371e8458
in	w56_d371e8462
der	w58_d371e8466
Stadt	w60_d371e8469
bleiben	w62_d371e8472
und	w64_d371e8475
einquartie	w66_d371e8478
ret	w69_d371e8483
werden.	w71_d371e8487
Die	w73_d371e8490
in	w75_d371e8493
der	w77_d371e8496
Grafschaft	w79_d371e8499
Hohen	w81_d371e8503
stein	w84_d371e8507
gelegene	w86_d371e8511
Kaiserl.	w88_d371e8514
Königl.	w90_d371e8517
Executions	w92_d371e8521
Trupen,	w95_d371e8525
so	w97_d371e8529
3000.	w99_d371e8532
Mann	w101_d371e8535
stark	w103_d371e8539
seynd,	w105_d371e8542
sollen	w107_d371e8545
in	w109_d371e8548
das	w112_d371e8552
Halberstädtische	w114_d371e8557
marschiret	w116_d371e8560
seyn.	w118_d371e8563
Wei	w120_d371e8566
</p>
<p id="p10_d371e8579">
mar,	w4_d371e8582
Jena	w6_d371e8586
Eisenach,	w8_d371e8589
Gera,	w10_d371e8592
Naumburg	w12_d371e8595
und	w15_d371e8600
Kösen	w17_d371e8604
seynd	w19_d371e8607
von	w21_d371e8610
denen	w23_d371e8613
Kaiserl.	w25_d371e8617
Königl.	w27_d371e8620
Croaten	w30_d371e8624
und	w32_d371e8628
Hussaren	w34_d371e8631
schon	w36_d371e8635
wieder	w38_d371e8638
besetzt.	w40_d371e8641
Die	w43_d371e8645
Königl.	w45_d371e8649
Preußische	w47_d371e8653
Trupen	w49_d371e8656
haben	w51_d371e8659
sich	w53_d371e8662
bis	w56_d371e8666
Weissenfels	w58_d371e8671
zurück=gezogen.	w60_d371e8674
</p>
<head id="h2_d371e8680">
Versailles	w4_d371e8683
24.	w6_d371e8687
Julii.	w8_d371e8690
</head>
<p id="p4_d371e8693">
Wir	w4_d371e8696
beförchten	w6_d371e8700
nicht,	w8_d371e8703
daß	w10_d371e8706
die	w12_d371e8709
Englän	w14_d371e8713
der	w17_d371e8717
wieder	w19_d371e8721
nach	w21_d371e8724
Havre	w23_d371e8727
zuruck	w25_d371e8731
kehren	w27_d371e8734
wer	w29_d371e8737
den.	w32_d371e8741
Hingegen	w34_d371e8745
zu	w36_d371e8749
Dieppe	w38_d371e8752
besorget	w40_d371e8755
man	w42_d371e8758
anjetzo	w45_d371e8762
einen	w47_d371e8767
feindlichen	w49_d371e8770
Besuch,	w51_d371e8773
und	w53_d371e8776
laut	w55_d371e8779
Nachrichten,	w58_d371e8784
sollen	w60_d371e8788
würklich	w62_d371e8791
40.	w64_d371e8794
Eng	w66_d371e8797
ländische	w69_d371e8802
Kriegs=schiffe	w71_d371e8806
vor	w73_d371e8809
Brest	w75_d371e8812
sich	w77_d371e8815
be	w79_d371e8818
finden.	w82_d371e8823
Briefe	w84_d371e8827
von	w86_d371e8830
Marseille	w88_d371e8833
bringen	w90_d371e8836
mit,	w92_d371e8840
daß	w94_d371e8843
die	w97_d371e8847
Engländische	w99_d371e8851
Flotte	w101_d371e8854
neuerdingen	w103_d371e8858
auf	w105_d371e8861
de	w107_d371e8864
nen	w110_d371e8868
Küsten	w112_d371e8872
der	w114_d371e8876
Provence	w116_d371e8879
zum	w118_d371e8882
Vorschein	w120_d371e8885
ge	w122_d371e8888
kommen	w125_d371e8893
seye,	w127_d371e8897
und	w129_d371e8900
beständig	w131_d371e8903
hin	w133_d371e8906
und	w135_d371e8909
her	w137_d371e8913
streiche.	w140_d371e8917
</p>
<head id="h2_d371e8924">
Pohlnisch	w4_d371e8927
Lissa	w6_d371e8931
9.	w8_d371e8934
Julii.	w10_d371e8937
</head>
<p id="p4_d371e8940">
Verwichenen	w4_d371e8943
Dienstag	w6_d371e8947
wurden	w8_d371e8950
hier	w10_d371e8953
187.	w12_d371e8956
Preußische	w15_d371e8961
Hussaren	w17_d371e8965
vom	w19_d371e8968
Ziethenischen	w21_d371e8971
Re	w23_d371e8974
giment	w26_d371e8979
durch	w28_d371e8983
ein	w30_d371e8986
starkes	w32_d371e8989
Detaschement	w34_d371e8992
Co	w36_d371e8996
sacken	w39_d371e9000
eingebracht.	w41_d371e9004
Selbige	w43_d371e9007
sind	w45_d371e9010
ungefähr	w47_d371e9014
eine	w50_d371e9018
halbe	w52_d371e9022
Meile	w54_d371e9025
von	w56_d371e9028
Tschirnau,	w58_d371e9032
auf	w60_d371e9035
denen	w62_d371e9038
Gränzen	w65_d371e9042
nach	w67_d371e9046
Schlesien,	w69_d371e9050
in	w71_d371e9053
einem	w73_d371e9056
hefti	w75_d371e9059
gen	w78_d371e9063
Gefechte	w80_d371e9068
zwischen	w82_d371e9071
besagten	w84_d371e9074
Cosacken	w86_d371e9077
und	w89_d371e9081
4000.	w91_d371e9086
mit	w93_d371e9089
3.	w95_d371e9092
Feld=stücken	w97_d371e9095
versehenen	w99_d371e9098
Preussen	w102_d371e9103
gefangen,	w104_d371e9107
anbey	w106_d371e9110
mehr	w108_d371e9113
als	w110_d371e9116
500.	w112_d371e9119
andere	w115_d371e9124
Preußischer	w117_d371e9128
Seits	w119_d371e9131
niedergesäbelt	w121_d371e9134
worden.	w124_d371e9138
Der	w126_d371e9143
Verlust	w128_d371e9146
deren	w130_d371e9149
Cosacken	w132_d371e9152
be	w134_d371e9155
lauft	w137_d371e9160
sich	w139_d371e9164
auf	w141_d371e9167
219.	w143_d371e9170
Bleßirte	w145_d371e9173
und	w147_d371e9176
31.	w149_d371e9180
Todte.	w151_d371e9183
</p>
<head id="h2_d371e9189">
Paderborn	w4_d371e9192
28.	w6_d371e9196
Julii.	w8_d371e9199
</head>
<p id="p4_d371e9202">
So	w4_d371e9205
viel	w6_d371e9209
weiß	w8_d371e9212
man	w10_d371e9215
hier,	w12_d371e9218
daß	w14_d371e9222
am	w16_d371e9225
St.	w18_d371e9228
Jacobi=tag	w21_d371e9232
um	w23_d371e9236
4.	w25_d371e9240
Uhr	w27_d371e9243
Nachmittags	w29_d371e9246
von	w32_d371e9250
denen	w34_d371e9254
Franzosen	w36_d371e9258
aus	w38_d371e9261
30.	w40_d371e9264
Mörsern	w42_d371e9267
auf	w44_d371e9270
die	w47_d371e9275
Citadelle	w49_d371e9279
zu	w51_d371e9282
spielen	w53_d371e9285
angefangen,	w55_d371e9288
und	w57_d371e9291
bis	w60_d371e9296
8.	w62_d371e9300
Uhr	w64_d371e9303
continuiert,	w66_d371e9306
sohin	w68_d371e9309
aber	w70_d371e9313
von	w72_d371e9316
denen	w75_d371e9320
Belagerten	w77_d371e9324
Chamade	w79_d371e9327
geschlagen,	w81_d371e9331
die	w83_d371e9334
weisse	w86_d371e9338
Fahne	w88_d371e9342
ausgestecket,	w90_d371e9345
und	w92_d371e9349
die	w94_d371e9352
säut	w96_d371e9355
liche	w99_d371e9359
Garnison	w101_d371e9363
gefangen	w103_d371e9367
worden.	w105_d371e9370
Die	w107_d371e9373
Cita	w109_d371e9376
delle	w112_d371e9380
solle	w114_d371e9385
durch	w116_d371e9388
das	w118_d371e9391
heftige	w120_d371e9394
Bombardement	w122_d371e9397
</p>
<p id="p6_d371e9400">
so	w4_d371e9403
übel	w6_d371e9407
zugerichtet	w8_d371e9410
seyn,	w10_d371e9413
daß	w12_d371e9416
man	w14_d371e9420
selbig	w16_d371e9423
kaum	w19_d371e9427
mehr	w21_d371e9431
erkennen	w23_d371e9434
könne.	w25_d371e9438
Leute	w27_d371e9441
die	w29_d371e9444
an	w31_d371e9447
heute	w34_d371e9451
von	w36_d371e9456
Beverungen	w38_d371e9459
an	w40_d371e9462
der	w42_d371e9465
Weser	w44_d371e9468
kom	w46_d371e9471
men,	w49_d371e9476
sagen	w51_d371e9480
uns,	w53_d371e9483
daß	w55_d371e9486
Hameln	w57_d371e9489
gestern	w59_d371e9493
und	w61_d371e9496
diese	w64_d371e9500
Nacht	w66_d371e9504
beschossen	w68_d371e9507
worden	w70_d371e9511
seye.	w72_d371e9514
</p>
<head id="h2_d371e9520">
Nienburg	w4_d371e9523
18.	w6_d371e9527
Julii.	w8_d371e9530
</head>
<p id="p4_d371e9533">
Hameln	w4_d371e9536
ist	w6_d371e9540
seit	w8_d371e9543
vorgestern	w10_d371e9546
berennet,	w12_d371e9549
und	w14_d371e9553
zu	w17_d371e9557
Hilligefeld,	w19_d371e9561
welches	w21_d371e9564
nicht	w23_d371e9567
weit	w25_d371e9571
davon	w27_d371e9574
ligt,	w30_d371e9578
sind	w32_d371e9582
schon	w34_d371e9585
9000.	w36_d371e9589
Mann	w38_d371e9592
Franzosen	w40_d371e9595
gewesen;	w43_d371e9599
wie	w45_d371e9603
sich	w47_d371e9607
dann	w49_d371e9610
auch	w51_d371e9613
zu	w53_d371e9616
Barkel	w55_d371e9619
ein	w57_d371e9622
starkes	w60_d371e9627
Französisches	w62_d371e9631
Vor=corps	w64_d371e9634
hat	w66_d371e9637
sehen	w68_d371e9640
lassen.	w71_d371e9645
Jnzwischen	w73_d371e9649
glaubt	w75_d371e9652
man	w77_d371e9655
nicht	w79_d371e9658
daß	w82_d371e9663
es	w84_d371e9667
eher	w86_d371e9670
zur	w88_d371e9673
förmlichen	w90_d371e9676
Belagerung	w92_d371e9680
von	w94_d371e9683
Hameln	w97_d371e9687
kommen,	w99_d371e9691
bis	w101_d371e9694
man	w103_d371e9698
sich	w105_d371e9701
Franzosi	w107_d371e9704
scher	w110_d371e9708
Seits	w112_d371e9712
erst	w114_d371e9716
wegen	w116_d371e9719
Münster	w118_d371e9722
und	w120_d371e9725
App	w122_d371e9728
stadt	w125_d371e9733
gesichert	w127_d371e9737
sehen	w129_d371e9740
möchte.	w131_d371e9743
Am	w133_d371e9746
15.	w135_d371e9749
die	w137_d371e9753
ses	w140_d371e9757
ist	w142_d371e9761
aus	w144_d371e9764
Hameln	w146_d371e9767
das	w148_d371e9771
Dragonerregi	w150_d371e9774
ment	w153_d371e9778
Jung=breitenbach	w155_d371e9782
zu	w157_d371e9785
Hanover	w159_d371e9789
ange	w161_d371e9792
langet,	w164_d371e9796
und	w166_d371e9800
von	w168_d371e9803
da	w170_d371e9807
weiter	w172_d371e9810
zu	w174_d371e9813
der	w176_d371e9816
Haupt	w178_d371e9819
armee	w181_d371e9824
abmarschiret.	w183_d371e9828
Zu	w185_d371e9831
Hanover	w187_d371e9834
ist	w189_d371e9837
ein	w191_d371e9840
Commando	w194_d371e9845
Jäger	w196_d371e9849
und	w198_d371e9852
Hussaren	w200_d371e9855
angekom	w202_d371e9858
men,	w205_d371e9863
um	w207_d371e9867
die	w209_d371e9870
Weser=gegend	w211_d371e9873
gegen	w213_d371e9876
die	w215_d371e9880
Französische	w218_d371e9884
Streiffereyen	w220_d371e9888
von	w222_d371e9891
Minden	w224_d371e9894
aus	w226_d371e9898
in	w229_d371e9902
Sicherheit	w231_d371e9906
zu	w233_d371e9909
erhalten.	w235_d371e9912
Die	w237_d371e9916
Lückneri	w239_d371e9919
sche	w242_d371e9923
Hussaren	w244_d371e9927
sollen	w246_d371e9930
keine	w248_d371e9934
2.	w250_d371e9937
Meilen	w252_d371e9940
mehr	w254_d371e9943
von	w257_d371e9947
Hanover	w259_d371e9952
stehen,	w261_d371e9955
und	w263_d371e9958
es	w265_d371e9961
heist,	w267_d371e9964
daß	w269_d371e9967
auch	w272_d371e9972
der	w274_d371e9976
Herr	w276_d371e9979
Obrist=leutenant	w278_d371e9982
Freytag	w280_d371e9985
mit	w283_d371e9990
seinem	w285_d371e9994
Jäger=corps	w287_d371e9997
nicht	w289_d371e10000
gar	w291_d371e10003
weit	w293_d371e10007
mehr	w296_d371e10011
von	w298_d371e10015
besagter	w300_d371e10018
Stadt	w302_d371e10021
entfernet	w304_d371e10025
sey.	w306_d371e10028
</p>
<head id="h2_d371e10034">
Marseilles	w4_d371e10037
13.	w6_d371e10041
Julii.	w9_d371e10045
</head>
<p id="p4_d371e10049">
Die	w4_d371e10052
Engländische	w6_d371e10056
Flotte,	w8_d371e10059
welche	w10_d371e10062
mit	w12_d371e10065
Anfang	w15_d371e10070
dieses	w17_d371e10074
Monats	w19_d371e10077
sich	w21_d371e10080
wieder	w23_d371e10083
auf	w25_d371e10087
un	w27_d371e10090
sern	w30_d371e10094
Küsten	w32_d371e10098
sehen	w34_d371e10101
lassen,	w36_d371e10105
hat	w38_d371e10108
sich	w40_d371e10111
auf	w42_d371e10114
einmal	w44_d371e10117
zuruck	w47_d371e10122
gezogen,	w49_d371e10126
ohne	w51_d371e10129
daß	w53_d371e10132
man	w55_d371e10135
die	w57_d371e10138
Ursach	w59_d371e10142
davon	w62_d371e10146
erfahren	w64_d371e10150
können;	w66_d371e10153
da	w68_d371e10156
man	w70_d371e10160
aber	w72_d371e10163
durch	w74_d371e10166
verschiedene	w77_d371e10170
Schiffe,	w79_d371e10174
welche	w81_d371e10178
von	w83_d371e10181
Westen	w85_d371e10184
gekommen,	w88_d371e10188
vernihmt,	w90_d371e10192
daß	w92_d371e10196
dieselbe	w94_d371e10199
ihre	w96_d371e10202
Reise	w99_d371e10206
nach	w101_d371e10210
Barcellona	w103_d371e10214
gerichtet,	w105_d371e10217
so	w107_d371e10220
müt	w109_d371e10223
masset	w112_d371e10227
man,	w114_d371e10232
daß	w116_d371e10235
sie	w118_d371e10238
nach	w120_d371e10241
England	w122_d371e10244
zuruck	w124_d371e10247
kehren,	w127_d371e10252
um	w129_d371e10256
dieses	w131_d371e10259
Königreich	w133_d371e10262
vor	w135_d371e10265
einem	w137_d371e10269
diesseitigen	w140_d371e10273
Einfall	w142_d371e10277
zu	w144_d371e10280
beschützen.	w146_d371e10283
</p>
<head id="h4_d371e10300">
Aus	w4_d371e10303
dem	w6_d371e10307
Französischen	w8_d371e10310
Haupt	w10_d371e10313
quartier	w13_d371e10318
Minden	w15_d371e10322
27.	w17_d371e10325
Jul.	w19_d371e10328
</head>
<p id="p6_d371e10331">
Die	w4_d371e10334
feindliche	w6_d371e10338
Armee	w8_d371e10341
stehet	w10_d371e10344
noch	w12_d371e10347
allezeit	w14_d371e10351
zu	w17_d371e10355
Petershagen,	w19_d371e10359
die	w21_d371e10362
Schild=wachten	w23_d371e10365
von	w25_d371e10369
beyderseitigen	w28_d371e10373
Vor=posten	w30_d371e10377
stehen	w32_d371e10380
nur	w34_d371e10383
einen	w36_d371e10387
kleinen	w39_d371e10391
Flinten=schuß	w41_d371e10395
von	w43_d371e10398
einander,	w45_d371e10401
und	w47_d371e10405
nachdem	w50_d371e10409
nun	w52_d371e10413
Münster	w54_d371e10416
in	w56_d371e10419
unsern	w58_d371e10423
Händen,	w60_d371e10426
so	w63_d371e10430
wird	w65_d371e10434
Lippstadt	w67_d371e10437
die	w69_d371e10441
Reihe	w71_d371e10444
treffen,	w73_d371e10447
worin	w75_d371e10450
nen	w78_d371e10454
sich	w80_d371e10459
der	w82_d371e10462
General=leutenant	w84_d371e10465
von	w86_d371e10468
Hardenberg	w89_d371e10472
mit	w91_d371e10477
einer	w93_d371e10480
Garnison	w95_d371e10483
von	w97_d371e10486
3000.	w99_d371e10489
Mann	w102_d371e10494
befindet.	w104_d371e10498
</p>
<head id="h2_d371e10504">
Erfurt	w4_d371e10507
28.	w6_d371e10511
Julii.	w8_d371e10514
</head>
<p id="p4_d371e10517">
Vorgestern	w4_d371e10520
kam	w6_d371e10524
die	w8_d371e10527
erste	w10_d371e10530
Colonne	w12_d371e10533
der	w14_d371e10537
Reichs=armee	w17_d371e10541
unter	w19_d371e10545
dem	w21_d371e10548
Durchl.	w23_d371e10551
Prinzen	w25_d371e10555
von	w28_d371e10559
Baadendurlach	w30_d371e10563
alhier	w32_d371e10566
an,	w34_d371e10569
und	w36_d371e10573
gestern	w38_d371e10576
setzte	w41_d371e10580
sie	w43_d371e10584
ihren	w45_d371e10587
Marsch	w47_d371e10591
nach	w49_d371e10594
Weimar	w51_d371e10597
fort.	w53_d371e10600
Heut	w56_d371e10604
folgte	w58_d371e10609
ihr	w60_d371e10612
die	w62_d371e10615
2te	w64_d371e10618
Colonne	w66_d371e10621
unter	w68_d371e10624
Se.	w70_d371e10628
Hochfürstl.	w73_d371e10632
Durchl.	w75_d371e10636
des	w77_d371e10639
Herzog	w79_d371e10642
von	w81_d371e10646
Zweybrü	w83_d371e10649
cken,	w86_d371e10653
welcher	w88_d371e10657
gleichfalls	w90_d371e10660
hier	w92_d371e10664
campiret	w94_d371e10667
hat.	w96_d371e10670
Das	w99_d371e10674
Haddickische	w101_d371e10678
Corps	w103_d371e10682
hat	w105_d371e10685
schon	w107_d371e10688
bis	w109_d371e10691
drey	w111_d371e10694
Stunden	w114_d371e10699
von	w116_d371e10703
Leipzig	w118_d371e10706
gestreiffet;	w120_d371e10709
daher	w122_d371e10712
mag	w124_d371e10715
es	w127_d371e10720
wol	w129_d371e10724
gekommen	w131_d371e10727
seyn,	w133_d371e10730
daß	w135_d371e10733
der	w137_d371e10737
Comman	w139_d371e10740
dant	w142_d371e10744
zu	w144_d371e10748
Leipzig	w146_d371e10751
gedrohet,	w148_d371e10755
die	w150_d371e10758
Vorstädte	w152_d371e10761
in	w154_d371e10764
Brand	w157_d371e10768
zu	w159_d371e10773
stecken,	w161_d371e10776
wann	w163_d371e10779
sich	w165_d371e10782
fremde	w167_d371e10785
Tru	w169_d371e10788
pen	w172_d371e10793
zu	w174_d371e10797
nahe	w176_d371e10800
sehen	w178_d371e10803
liessen.	w180_d371e10806
Die	w182_d371e10810
Artillerie	w184_d371e10813
der	w187_d371e10817
Reichs=armee	w189_d371e10821
wird	w191_d371e10824
heut	w193_d371e10828
auch	w195_d371e10831
alhier	w197_d371e10834
eintreffen.	w200_d371e10838
Die	w202_d371e10842
Hohensteinische	w204_d371e10846
Geiseln,	w206_d371e10849
45.	w209_d371e10853
an	w211_d371e10857
der	w213_d371e10860
Zahl,	w215_d371e10864
werden	w217_d371e10867
heut	w219_d371e10870
nach	w221_d371e10873
Prag	w223_d371e10876
abgeführet;	w226_d371e10881
man	w228_d371e10885
erwartet	w230_d371e10888
auch	w232_d371e10891
die	w234_d371e10894
Halber	w236_d371e10897
städtische,	w239_d371e10902
70.	w241_d371e10906
bis	w243_d371e10909
80.	w245_d371e10912
an	w247_d371e10915
der	w249_d371e10919
Zahl.	w251_d371e10922
Das	w253_d371e10925
Corps	w256_d371e10929
unterm	w258_d371e10933
General	w260_d371e10937
Kleefeld	w262_d371e10940
und	w264_d371e10943
Lu	w266_d371e10946
zinsky	w269_d371e10950
hat	w271_d371e10955
bereits	w273_d371e10958
Naumburg,	w275_d371e10961
Weissen	w277_d371e10964
sels,	w280_d371e10968
Zeitz,	w282_d371e10973
und	w284_d371e10976
dortige	w286_d371e10979
Gegend	w288_d371e10982
besetzt.	w290_d371e10985
Von	w292_d371e10988
dem	w295_d371e10993
General	w297_d371e10997
Ried	w299_d371e11000
ist	w301_d371e11003
das	w303_d371e11006
aus	w305_d371e11010
Magdeburg	w307_d371e11013
geschickte	w310_d371e11017
Detaschement	w312_d371e11021
zurück	w314_d371e11024
getrieben	w316_d371e11028
worden.	w319_d371e11032
</p>
<head id="h2_d371e11039">
Auszug	w4_d371e11042
eines	w6_d371e11046
Schreibens	w8_d371e11049
aus	w10_d371e11052
Bre	w12_d371e11055
men	w15_d371e11060
25.	w17_d371e11064
Julii.	w19_d371e11067
</head>
<p id="p4_d371e11070">
Wir	w4_d371e11073
befinden	w6_d371e11077
uns	w8_d371e11080
in	w10_d371e11083
den	w12_d371e11086
bisherigen	w14_d371e11090
be	w16_d371e11093
keits	w19_d371e11097
gemeldeten	w21_d371e11101
Umständen,	w23_d371e11104
und	w25_d371e11108
unsere	w27_d371e11111
neue	w30_d371e11115
Besatzung	w32_d371e11119
macht	w34_d371e11122
noch	w36_d371e11126
eben	w38_d371e11129
keine	w40_d371e11132
An	w42_d371e11135
stalt	w45_d371e11139
zum	w47_d371e11144
Abzug.	w49_d371e11147
Man	w51_d371e11150
hat	w53_d371e11153
in	w55_d371e11156
diesen	w57_d371e11159
Ta	w59_d371e11163
gen	w62_d371e11167
vieles	w64_d371e11171
von	w66_d371e11174
der	w68_d371e11177
Annäherung	w70_d371e11181
eines	w72_d371e11184
Fran	w74_d371e11187
</p>
<p id="p6_d371e11190">
zösischen	w4_d371e11193
Corps	w6_d371e11197
unter	w8_d371e11200
dem	w10_d371e11203
Herzogen	w12_d371e11206
von	w14_d371e11210
Broglie	w17_d371e11214
geredet;	w19_d371e11218
gegenwärtig	w21_d371e11221
aber	w23_d371e11224
höret	w25_d371e11228
man	w28_d371e11232
nichts	w30_d371e11236
davon.	w32_d371e11239
Die	w34_d371e11242
Anzahl	w36_d371e11246
der	w38_d371e11249
Ar	w40_d371e11252
tillerie,	w43_d371e11256
welche	w45_d371e11260
aus	w47_d371e11264
unserm	w49_d371e11267
Zeug=hause	w51_d371e11270
ab	w53_d371e11273
geführet	w56_d371e11277
worden,	w58_d371e11282
bestehet	w60_d371e11285
aus	w62_d371e11288
100.	w64_d371e11291
metal	w66_d371e11294
lenen	w69_d371e11299
Canonen	w71_d371e11303
und	w73_d371e11306
etlichen	w75_d371e11309
Mörsern,	w77_d371e11312
und	w79_d371e11315
aus	w82_d371e11320
denen	w84_d371e11324
Thürnen	w86_d371e11327
hat	w88_d371e11330
man	w90_d371e11333
auch	w92_d371e11337
6.	w94_d371e11340
hun	w96_d371e11343
dert	w99_d371e11347
Tonnen	w101_d371e11351
Pulfer	w103_d371e11355
genommen.	w105_d371e11358
Von	w107_d371e11361
dem	w109_d371e11364
Prinz	w112_d371e11368
Ferdinand	w114_d371e11373
hat	w116_d371e11376
die	w118_d371e11379
Stadt	w120_d371e11382
die	w122_d371e11385
Ver	w124_d371e11388
sicherung	w127_d371e11393
erhalten,	w129_d371e11397
daß	w131_d371e11400
alles	w133_d371e11403
wiederum	w135_d371e11406
richtig	w138_d371e11411
solte	w140_d371e11415
zurück=gegeben	w142_d371e11418
werden,	w144_d371e11421
und	w146_d371e11424
daß	w148_d371e11428
die	w151_d371e11432
Regimenter,	w153_d371e11436
deren	w155_d371e11439
Einrückung	w157_d371e11442
die	w159_d371e11446
ge	w161_d371e11449
genwärtige	w164_d371e11453
Zeit=umstände	w166_d371e11457
unumgänglich	w168_d371e11460
er	w170_d371e11464
fordert	w173_d371e11468
hätte,	w175_d371e11472
aufs	w177_d371e11475
baldigste	w179_d371e11478
ihren	w181_d371e11482
Abmarsch	w183_d371e11485
nehmen	w186_d371e11489
solten.	w188_d371e11493
Mit	w190_d371e11496
dieser	w192_d371e11500
Hofnung	w194_d371e11503
