<doc id="wr_1759-09-01" attrs="word" year="1759" month="09" day="01" corpus="2">
<head id="h2_d378e3575">
Düsseldorf	w1_d378e3579
sich	w5_d378e7206
der	w7_d378e7209
Stadt	w9_d378e7212
von	w11_d378e7215
der	w13_d378e7219
Seite	w15_d378e7222
der	w1_d378e7227
St.	w3_d378e7230
Moritz=heide.	w5_d378e7233
Ob	w7_d378e7236
man	w9_d378e7239
gleich	w11_d378e7242
an	w13_d378e7246
fänglich	w1_d378e7252
davor	w3_d378e7255
hielt,	w5_d378e7258
daß	w7_d378e7261
es	w9_d378e7264
zur	w11_d378e7267
Unterneh	w13_d378e7271
mung	w1_d378e7276
einer	w3_d378e7279
förmlichen	w5_d378e7282
Belagerung	w7_d378e7285
nicht	w9_d378e7288
stark	w1_d378e7293
genug	w3_d378e7296
seye,	w5_d378e7299
so	w7_d378e7302
forderte	w9_d378e7305
es	w11_d378e7308
doch	w13_d378e7312
die	w15_d378e7315
Stadt	w1_d378e7320
auf.	w3_d378e7323
Man	w5_d378e7326
vermutete	w7_d378e7329
eben	w9_d378e7332
so	w11_d378e7335
wenig,	w13_d378e7339
daß	w1_d378e7345
es	w3_d378e7348
grobes	w5_d378e7351
Geschütz,	w7_d378e7354
und	w9_d378e7357
Bombenkes	w11_d378e7360
sel	w1_d378e7365
bey	w3_d378e7368
sich	w5_d378e7371
führe;	w7_d378e7374
allein	w9_d378e7377
den	w11_d378e7380
11.	w13_d378e7384
Nachts	w15_d378e7387
kam	w1_d378e7392
auf	w3_d378e7395
einmal	w5_d378e7398
eine	w7_d378e7401
starke	w9_d378e7404
Anzahl	w11_d378e7407
Bom	w13_d378e7411
ben	w1_d378e7416
geflogen,	w3_d378e7419
wovon	w5_d378e7422
die	w7_d378e7425
1ste	w9_d378e7428
in	w11_d378e7431
das	w13_d378e7435
neue	w15_d378e7438
Vorhelmer=haus	w1_d378e7444
kam,	w3_d378e7447
und	w5_d378e7450
alda	w7_d378e7453
Brand	w9_d378e7456
er	w11_d378e7459
weckte.	w1_d378e7464
Man	w3_d378e7467
eilte	w5_d378e7470
zwar	w7_d378e7473
das	w9_d378e7476
Feuer	w11_d378e7479
zu	w13_d378e7483
lö	w15_d378e7486
schen,	w1_d378e7491
jedoch	w3_d378e7494
das	w5_d378e7497
anhaltende	w7_d378e7500
Bombenwer	w9_d378e7503
fen	w1_d378e7508
schreckte	w3_d378e7511
verschiedene	w5_d378e7514
von	w7_d378e7517
der	w9_d378e7520
nöhtigen	w11_d378e7523
Hülfe	w1_d378e7529
ab,	w3_d378e7532
so,	w5_d378e7535
daß	w7_d378e7538
der	w9_d378e7541
weitere	w11_d378e7544
Brand	w13_d378e7548
sehr	w15_d378e7551
müh	w17_d378e7554
sam	w1_d378e7559
gelöschet	w3_d378e7562
wurde.	w5_d378e7565
Wie	w7_d378e7568
es	w9_d378e7571
heist,	w11_d378e7574
sollen	w13_d378e7578
bey	w1_d378e7583
dieser	w3_d378e7586
Attaque	w5_d378e7589
denen	w7_d378e7592
Hanoveranern	w9_d378e7595
2.	w11_d378e7598
Bomben=kessel,	w1_d378e7603
und	w3_d378e7606
kurz	w5_d378e7609
darauf	w7_d378e7612
auch	w9_d378e7615
der	w11_d378e7618
dritte	w1_d378e7624
zersprungen	w3_d378e7627
seyn,	w5_d378e7630
welches	w7_d378e7633
sie	w9_d378e7636
von	w11_d378e7639
wei	w13_d378e7643
terem	w1_d378e7648
Bombardiren	w3_d378e7651
abgehalten.	w5_d378e7654
</p>
<head id="h2_d378e7660">
Genua	w1_d378e7664
10.	w3_d378e7667
Aug.	w5_d378e7670
</head>
<p id="p4_d378e7673">
Die	w1_d378e7677
Engländische	w3_d378e7680
Flotte,	w5_d378e7683
welche	w7_d378e7686
bisher	w9_d378e7689
auf	w1_d378e7694
der	w3_d378e7697
Höhe	w5_d378e7700
von	w7_d378e7703
Toulon	w9_d378e7706
gekreutzet,	w11_d378e7709
hat	w13_d378e7713
ihre	w1_d378e7718
Fahrt	w3_d378e7721
längs	w5_d378e7724
denen	w7_d378e7727
Küsten	w9_d378e7730
Spaniens	w11_d378e7733
nach	w1_d378e7739
Gibraltar	w3_d378e7742
genommen.	w5_d378e7745
Man	w7_d378e7748
vermu	w9_d378e7751
tet,	w1_d378e7756
daß	w3_d378e7759
sie	w5_d378e7762
allda	w7_d378e7765
Posto	w9_d378e7768
fassen,	w11_d378e7771
und	w13_d378e7775
den	w15_d378e7778
Herrn	w1_d378e7783
de	w3_d378e7786
la	w5_d378e7789
Clüe	w7_d378e7792
zu	w9_d378e7795
verhindern	w11_d378e7798
suchen	w13_d378e7802
wer	w15_d378e7805
de,	w1_d378e7810
die	w3_d378e7813
Meer=enge	w5_d378e7816
mit	w7_d378e7819
seiner	w9_d378e7822
Escadre	w11_d378e7825
zu	w13_d378e7829
paßiren.	w1_d378e7835
</p>
<head id="h2_d378e7842">
Brüssel	w1_d378e7846
17.	w3_d378e7849
A4.	w5_d378e7852
</head>
<p id="p4_d378e7855">
Die	w1_d378e7859
feyerliche	w3_d378e7862
Jnstallation	w5_d378e7865
Sr.	w7_d378e7868
Excellenze.	w9_d378e7871
deren	w1_d378e7876
Hrn.	w3_d378e7879
Grafen	w5_d378e7882
von	w7_d378e7885
Cobenzl,	w9_d378e7888
und	w11_d378e7891
Stahren	w13_d378e7895
berg	w1_d378e7900
zu	w3_d378e7903
Rittern	w5_d378e7906
des	w7_d378e7909
goldene	w9_d378e7912
Vliesses	w11_d378e7915
ist	w13_d378e7919
vorge	w15_d378e7922
stern	w1_d378e7928
mit	w3_d378e7931
grosse	w5_d378e7934
Solenitäten	w7_d378e7937
vor	w9_d378e7940
sich	w11_d378e7943
gegange.	w13_d378e7947
</p>
<p id="p10_d378e7960">
Um	w1_d378e7964
11.	w3_d378e7967
Uhr	w5_d378e7970
Morgens	w7_d378e7973
gieng	w9_d378e7976
die	w11_d378e7979
Proceßion	w13_d378e7983
aus	w1_d378e7988
dem	w3_d378e7991
Palais	w5_d378e7994
Sr.	w7_d378e7997
Königl.	w9_d378e8000
Hoheit	w11_d378e8003
des	w13_d378e8007
Herzogs	w1_d378e8012
Carl	w3_d378e8015
nach	w5_d378e8018
der	w7_d378e8021
Kirche	w9_d378e8024
der	w11_d378e8027
Abtey	w13_d378e8031
von	w1_d378e8037
Candenberg.	w3_d378e8040
Voraus	w5_d378e8043
giengen	w7_d378e8046
alle	w9_d378e8049
Be	w11_d378e8052
diente	w1_d378e8057
der	w3_d378e8060
Prinzen	w5_d378e8063
und	w7_d378e8066
Grafen,	w9_d378e8069
welche	w11_d378e8072
sich	w13_d378e8076
bey	w1_d378e8081
diesem	w3_d378e8084
Fest	w5_d378e8087
gegenwärtig	w7_d378e8090
befanden,	w9_d378e8093
hier	w11_d378e8096
auf	w1_d378e8101
folgte	w3_d378e8104
die	w5_d378e8107
Leib=wache,	w7_d378e8110
und	w9_d378e8113
Hellebardiers,	w11_d378e8116
nach	w1_d378e8122
diesen	w3_d378e8125
kamen	w5_d378e8128
die	w7_d378e8131
Officiers	w9_d378e8134
der	w11_d378e8137
Garnison,	w13_d378e8141
dann	w1_d378e8146
die	w3_d378e8149
Prinzen	w5_d378e8152
und	w7_d378e8155
Grafen,	w9_d378e8158
nebst	w11_d378e8161
dem	w13_d378e8165
an	w15_d378e8168
wesenden	w1_d378e8173
hohen	w3_d378e8176
Adel,	w5_d378e8179
ferner	w7_d378e8182
die	w9_d378e8185
Herolde,	w11_d378e8188
dann	w1_d378e8193
derjenige,	w3_d378e8196
so	w5_d378e8199
das	w7_d378e8202
Schwert	w9_d378e8205
trug,	w11_d378e8208
und	w13_d378e8212
alsdann	w1_d378e8218
die	w3_d378e8221
Fürsten	w5_d378e8224
von	w7_d378e8227
Salm,	w9_d378e8230
Horn,	w11_d378e8233
und	w13_d378e8237
Ligne,	w1_d378e8242
und	w3_d378e8245
der	w5_d378e8248
Herzog	w7_d378e8251
de	w9_d378e8254
Croui	w11_d378e8257
als	w13_d378e8261
alte	w15_d378e8264
Ritter	w1_d378e8269
in	w3_d378e8272
dem	w5_d378e8275
prächtigen	w7_d378e8278
Ordens=habit,	w9_d378e8281
des	w11_d378e8284
gleichen	w1_d378e8289
die	w3_d378e8292
beyde	w5_d378e8295
Herren	w7_d378e8298
Ritter,	w9_d378e8301
denen	w11_d378e8304
Se.	w13_d378e8308
Königl.	w1_d378e8314
Hoheit	w3_d378e8317
folgte.	w5_d378e8320
Den	w7_d378e8323
Zug	w9_d378e8326
schloß	w11_d378e8329
ein	w13_d378e8333
Detaschement	w1_d378e8338
von	w3_d378e8341
der	w5_d378e8344
Garnison.	w7_d378e8347
Nach	w9_d378e8350
vollendeter	w1_d378e8355
Ceremonie	w3_d378e8358
wurde	w5_d378e8361
das	w7_d378e8364
feyerliche	w9_d378e8367
Hoch=amt	w1_d378e8372
von	w3_d378e8375
dem	w5_d378e8378
Abbten	w7_d378e8381
von	w9_d378e8384
Caudenberg	w11_d378e8387
gesungen,	w1_d378e8393
sohin	w3_d378e8396
die	w5_d378e8399
gesammte	w7_d378e8402
Herren	w9_d378e8405
Ritte	w11_d378e8408
re	w1_d378e8413
von	w3_d378e8416
Seiner	w5_d378e8419
Königl.	w7_d378e8422
Hoheit	w9_d378e8425
zu	w11_d378e8428
Mittag	w13_d378e8432
tractirt.	w1_d378e8437
Heute	w3_d378e8440
seynd	w5_d378e8443
Se.	w7_d378e8446
Excell.	w9_d378e8449
der	w11_d378e8452
Herr	w13_d378e8456
Graf	w1_d378e8461
von	w3_d378e8464
Stahrenberg	w5_d378e8467
wieder	w7_d378e8470
nacher	w9_d378e8473
Paris	w11_d378e8476
zuruck	w1_d378e8482
abgereiset.	w3_d378e8485
</p>
<head id="h2_d378e8491">
Petersburg	w1_d378e8495
3.	w3_d378e8498
Aug.	w5_d378e8501
</head>
<p id="p4_d378e8504">
Man	w1_d378e8508
hat	w3_d378e8511
unlängst	w5_d378e8514
in	w7_d378e8517
Pillau	w9_d378e8520
eine	w11_d378e8523
wider	w13_d378e8527
diese	w1_d378e8532
Festung	w3_d378e8535
gemachte	w5_d378e8538
Conspiration	w7_d378e8541
ent	w9_d378e8544
deckt,	w1_d378e8549
woran	w3_d378e8552
der	w5_d378e8555
Capitan	w7_d378e8558
Chambeau,	w9_d378e8561
der	w11_d378e8564
Bau=inspector	w1_d378e8570
Lange,	w3_d378e8573
und	w5_d378e8576
der	w7_d378e8579
Post=meister	w9_d378e8582
Wagner,	w1_d378e8587
Antheil	w3_d378e8590
genommen.	w5_d378e8593
Das	w7_d378e8596
über	w9_d378e8599
sie	w11_d378e8602
gefälte	w1_d378e8607
Urtheil	w3_d378e8610
verdammte	w5_d378e8613
sie	w7_d378e8616
zur	w9_d378e8619
Confisca	w11_d378e8622
tion	w1_d378e8627
aller	w3_d378e8630
ihrer	w5_d378e8633
beweglichen,	w7_d378e8636
und	w9_d378e8639
unbewegli	w11_d378e8642
chen	w1_d378e8648
Gütern,	w3_d378e8651
und	w5_d378e8654
lebendig	w7_d378e8657
geviertheilet	w9_d378e8660
zu	w11_d378e8663
werden.	w1_d378e8668
Jhre	w3_d378e8671
Majestät	w5_d378e8674
die	w7_d378e8677
Kaiserin	w9_d378e8680
haben	w11_d378e8683
aber	w1_d378e8688
diese	w3_d378e8691
Straf	w5_d378e8694
in	w7_d378e8697
ein	w9_d378e8700
Exilium	w11_d378e8703
nach	w13_d378e8707
Si	w15_d378e8710
berien	w1_d378e8715
gnädigst	w3_d378e8718
verwandelt,	w5_d378e8721
ihnen	w7_d378e8724
das	w9_d378e8727
Jhri	w11_d378e8730
ge	w1_d378e8736
gelassen,	w3_d378e8739
und	w5_d378e8742
es	w7_d378e8745
dem	w9_d378e8748
Gut=befinden	w11_d378e8751
ihrer	w13_d378e8755
Frauen,	w1_d378e8760
und	w3_d378e8763
Kindern	w5_d378e8766
anheim	w7_d378e8769
gestellet,	w9_d378e8772
ent	w11_d378e8775
weder	w1_d378e8780
dorten	w3_d378e8783
zu	w5_d378e8786
verbleiben,	w7_d378e8789
oder	w9_d378e8792
ihren	w11_d378e8795
Män	w13_d378e8799
nern,	w1_d378e8804
und	w3_d378e8807
Vätern	w5_d378e8810
zu	w7_d378e8813
folgen.	w9_d378e8816
</p>
<head id="h2_d378e8822">
Paris	w1_d378e8826
18.	w3_d378e8829
Aug.	w5_d378e8832
</head>
<p id="p4_d378e8835">
Man	w1_d378e8839
hat	w3_d378e8842
zu	w5_d378e8845
Havre	w7_d378e8848
de	w9_d378e8851
Grace	w11_d378e8854
mit	w13_d378e8858
denen	w15_d378e8861
platten	w1_d378e8866
Fahr=zeugen	w3_d378e8869
schon	w5_d378e8872
zu	w7_d378e8875
etlichen	w9_d378e8878
malen	w11_d378e8881
</p>
<p id="p6_d378e8884">
die	w1_d378e8888
Probe	w3_d378e8891
gemacht.	w5_d378e8894
Auf	w7_d378e8897
diejenige,	w9_d378e8900
welche	w11_d378e8903
für	w1_d378e8908
das	w3_d378e8911
Fuß=volk	w5_d378e8914
bestimmet	w7_d378e8917
sind,	w9_d378e8920
können	w11_d378e8923
in	w13_d378e8927
weniger	w1_d378e8932
als	w3_d378e8935
30.	w5_d378e8938
Minuten	w7_d378e8941
320.	w9_d378e8944
Mann,	w11_d378e8947
und	w13_d378e8951
auf	w1_d378e8957
die	w3_d378e8960
für	w5_d378e8963
die	w7_d378e8966
Reuterey	w9_d378e8969
in	w11_d378e8972
8.	w13_d378e8976
Minuten	w15_d378e8979
50.	w1_d378e8984
Pferde	w3_d378e8987
ein	w5_d378e8990
und	w7_d378e8993
in	w9_d378e8996
5.	w11_d378e8999
Minuten	w13_d378e9003
wieder	w15_d378e9006
ausgeschiffet	w1_d378e9011
werden.	w3_d378e9014
Jhr	w5_d378e9017
Mast=werk	w7_d378e9020
ist	w9_d378e9023
nach	w1_d378e9028
ihrer	w3_d378e9031
Grösse	w5_d378e9034
sehr	w7_d378e9037
leicht,	w9_d378e9040
und	w11_d378e9043
sie	w13_d378e9047
führen	w15_d378e9050
in	w1_d378e9056
allem	w3_d378e9059
nur	w5_d378e9062
5.	w7_d378e9065
Segel.	w9_d378e9068
Wann	w11_d378e9071
sie	w13_d378e9075
am	w15_d378e9078
schwer	w17_d378e9081
sten	w1_d378e9086
beladen	w3_d378e9089
sind,	w5_d378e9092
gehen	w7_d378e9095
sie	w9_d378e9098
nicht	w11_d378e9101
tieffer	w13_d378e9105
als	w15_d378e9108
4.	w1_d378e9113
Fuß.	w3_d378e9116
</p>
<p id="p8_d378e9119">
Der	w1_d378e9123
Herr	w3_d378e9126
Marschall	w5_d378e9129
d'Etrees	w7_d378e9132
stehet	w9_d378e9135
in	w11_d378e9138
Begrif	w1_d378e9143
zu	w3_d378e9146
unserer	w5_d378e9149
Armee	w7_d378e9152
nacher	w9_d378e9155
Teutschland	w11_d378e9158
abzugehen,	w1_d378e9163
um	w3_d378e9166
mit	w5_d378e9169
dem	w7_d378e9172
Herrn	w9_d378e9175
Marschall	w11_d378e9178
von	w1_d378e9184
Contades	w3_d378e9187
die	w5_d378e9190
Maas=reguln	w7_d378e9193
zu	w9_d378e9196
concer	w11_d378e9199
tiren,	w1_d378e9204
welche	w3_d378e9207
bey	w5_d378e9210
denen	w7_d378e9213
obwaltenden	w9_d378e9216
Um	w11_d378e9219
ständen	w1_d378e9224
deren	w3_d378e9227
ferneren	w5_d378e9230
Kriegs=operationen	w7_d378e9233
halber	w1_d378e9238
dasiger	w3_d378e9241
Enden	w5_d378e9244
genommen	w7_d378e9247
werden	w9_d378e9250
sollen.	w1_d378e9256
</p>
<head id="h2_d378e9262">
Stockholm	w1_d378e9266
18.	w3_d378e9269
Aug.	w5_d378e9272
</head>
<p id="p4_d378e9275">
Zur	w1_d378e9279
Wieder=aufbauung	w3_d378e9282
der	w5_d378e9285
bey	w7_d378e9288
letzterem	w9_d378e9291
Brande	w1_d378e9296
in	w3_d378e9299
die	w5_d378e9302
Asche	w7_d378e9305
gelegten	w9_d378e9308
Häuser,	w11_d378e9311
und	w13_d378e9315
zum	w1_d378e9320
Trost	w3_d378e9323
der	w5_d378e9326
hierbey	w7_d378e9329
verunglückten	w9_d378e9332
Ein	w11_d378e9335
wohner,	w1_d378e9341
haben	w3_d378e9344
Se.	w5_d378e9347
Königl.	w7_d378e9350
Majestät	w9_d378e9353
offent	w11_d378e9356
lich	w1_d378e9361
bekannt	w3_d378e9364
machen	w5_d378e9367
lassen,	w7_d378e9370
daß	w9_d378e9373
die	w11_d378e9376
hierzu	w13_d378e9380
benöhtigte	w1_d378e9385
Ziegel=steine	w3_d378e9388
aus	w5_d378e9391
Finnland,	w7_d378e9394
und	w9_d378e9397
Schonen,	w1_d378e9402
die	w3_d378e9405
Balken,	w5_d378e9408
Sparren,	w7_d378e9411
und	w9_d378e9414
Brei	w11_d378e9417
ter	w1_d378e9423
aber	w3_d378e9426
aus	w5_d378e9429
denen	w7_d378e9432
Königl.	w9_d378e9435
Vorratshäu	w11_d378e9438
sern	w1_d378e9443
ohne	w3_d378e9446
weitere	w5_d378e9449
Kosten,	w7_d378e9452
als	w9_d378e9455
was	w11_d378e9458
die	w13_d378e9462
Crone	w15_d378e9465
für	w1_d378e9470
den	w3_d378e9473
Transport	w5_d378e9476
bezahlet,	w7_d378e9479
denen	w9_d378e9482
Bauen	w11_d378e9485
den	w1_d378e9490
abgereichet	w3_d378e9493
werden	w5_d378e9496
sollen.	w7_d378e9499
Nach	w9_d378e9502
einer	w11_d378e9505
Königl.	w1_d378e9511
Verordnung	w3_d378e9514
vom	w5_d378e9517
1sten	w7_d378e9520
müssen	w9_d378e9523
alle	w11_d378e9526
Land=leute,	w1_d378e9531
welche	w3_d378e9534
nicht	w5_d378e9537
beym	w7_d378e9540
Acker=bau	w9_d378e9543
be	w11_d378e9546
schäftiget	w1_d378e9551
sind,	w3_d378e9554
sich	w5_d378e9557
in	w7_d378e9560
Kriegs=dienste	w9_d378e9563
zu	w11_d378e9566
denen	w1_d378e9571
Regimentern	w3_d378e9574
begeben.	w5_d378e9577
</p>
<p id="p6_d378e9580">
Vergangenen	w1_d378e9584
Sonntag	w3_d378e9587
Vormittags	w5_d378e9590
um	w7_d378e9593
11.	w1_d378e9598
Uhr	w3_d378e9601
entstund	w5_d378e9604
allhier	w7_d378e9607
ein	w9_d378e9610
sehr	w11_d378e9613
starkes	w13_d378e9617
Donner=wetter.	w1_d378e9622
Das	w3_d378e9625
Blitzen	w5_d378e9628
war	w7_d378e9631
beständig	w9_d378e9634
und	w1_d378e9640
der	w3_d378e9643
Donner	w5_d378e9646
schlug	w7_d378e9649
endlich	w9_d378e9652
in	w11_d378e9655
den	w13_d378e9659
Glo	w15_d378e9662
cken=thurn	w1_d378e9667
der	w3_d378e9670
Parochial=kirche,	w5_d378e9673
und	w7_d378e9676
nach	w9_d378e9679
deme	w1_d378e9684
er	w3_d378e9687
3.	w5_d378e9690
Glocken	w7_d378e9693
in	w9_d378e9696
kleine	w11_d378e9699
Stücke	w13_d378e9703
zer	w15_d378e9706
schmettert,	w1_d378e9711
fuhr	w3_d378e9714
er	w5_d378e9717
an	w7_d378e9720
die	w9_d378e9723
Pfeiler,	w11_d378e9726
und	w13_d378e9730
Gewdo	w15_d378e9733
ber,	w1_d378e9739
</p>
<head id="h2_d378e9745">
Gabin,	w1_d378e9749
in	w3_d378e9752
Groß=pohlen	w5_d378e9755
20.	w7_d378e9758
Jul.	w9_d378e9761
</head>
<p id="p6_d378e9766">
ker,	w1_d378e9770
die	w3_d378e9773
mit	w5_d378e9776
gröster	w7_d378e9779
Gewalt	w9_d378e9782
niederstürzten,	w11_d378e9785
und	w1_d378e9790
37.	w3_d378e9793
Menschen	w5_d378e9796
tödteten.	w7_d378e9799
Viele	w9_d378e9802
wurden	w11_d378e9805
durch	w1_d378e9810
die	w3_d378e9813
berstende	w5_d378e9816
Kirchen=mauer	w7_d378e9819
schwer	w9_d378e9822
verwundet,	w1_d378e9828
von	w3_d378e9831
welchen	w5_d378e9834
eine	w7_d378e9837
ansehnliche	w9_d378e9840
Menge	w1_d378e9845
bereits	w3_d378e9848
den	w5_d378e9851
Geist	w7_d378e9854
aufgegeben.	w9_d378e9857
Kein	w11_d378e9860
Fenster	w1_d378e9865
ist	w3_d378e9868
hierbey	w5_d378e9871
ganz	w7_d378e9874
geblieben.	w9_d378e9877
Das	w11_d378e9880
platte	w1_d378e9885
Land	w3_d378e9888
ist	w5_d378e9891
auf	w7_d378e9894
2.	w9_d378e9897
Meilen	w11_d378e9900
im	w13_d378e9904
Umfang	w15_d378e9907
durch	w1_d378e9913
die	w3_d378e9916
schwere	w5_d378e9919
Hagel=steine	w7_d378e9922
zugleich	w9_d378e9925
ver	w11_d378e9928
wüstet,	w1_d378e9933
und	w3_d378e9936
die	w5_d378e9939
stärkesten	w7_d378e9942
Zweige	w9_d378e9945
der	w11_d378e9948
Bäume	w13_d378e9952
sind	w1_d378e9957
zerbrochen.	w3_d378e9960
Man	w5_d378e9963
hat	w7_d378e9966
ganze	w9_d378e9969
Heerden	w11_d378e9972
Schaafe	w1_d378e9977
mit	w3_d378e9980
ihren	w5_d378e9983
Hirten,	w7_d378e9986
und	w9_d378e9989
viele	w11_d378e9992
ande	w13_d378e9996
re	w1_d378e10002
Menschen	w3_d378e10005
auf	w5_d378e10008
denen	w7_d378e10011
Feldern	w9_d378e10014
todt	w11_d378e10017
gefunden.	w13_d378e10021
</p>
<head id="h2_d378e10027">
Von	w1_d378e10031
der	w3_d378e10034
Französischen	w5_d378e10037
Armee	w7_d378e10040
bey	w9_d378e10043
Cassel	w1_d378e10048
von	w3_d378e10051
12.	w5_d378e10054
Augusti.	w7_d378e10057
</head>
<p id="p4_d378e10060">
Die	w1_d378e10064
Armee	w3_d378e10067
des	w5_d378e10070
Herrn	w7_d378e10073
Marschalls	w9_d378e10076
von	w11_d378e10079
Contades	w1_d378e10084
ist	w3_d378e10087
heute	w5_d378e10090
bey	w7_d378e10093
Lützelberg	w9_d378e10096
zu	w11_d378e10099
stehen	w13_d378e10103
gekommen.	w1_d378e10108
Die	w3_d378e10111
Reserve	w5_d378e10114
des	w7_d378e10117
Herrn	w9_d378e10120
Her	w11_d378e10123
zogs	w1_d378e10129
von	w3_d378e10132
Broglie	w5_d378e10135
campirt	w7_d378e10138
diesen	w9_d378e10141
Nach	w11_d378e10144
mittag	w1_d378e10149
zu	w3_d378e10152
Ober=velmar	w5_d378e10155
an	w7_d378e10158
dem	w9_d378e10161
Weg	w11_d378e10164
nach	w13_d378e10168
Warburg.	w1_d378e10173
Der	w3_d378e10176
Herr	w5_d378e10179
Marquis	w7_d378e10182
von	w9_d378e10185
Ar	w11_d378e10188
mentieres	w1_d378e10193
nähert	w3_d378e10196
sich	w5_d378e10199
auch	w7_d378e10202
mit	w9_d378e10205
seinem	w11_d378e10208
Corps.	w13_d378e10212
Ungeachtet	w1_d378e10218
unsers	w3_d378e10221
beschwerlichen	w5_d378e10224
Zurück	w7_d378e10227
zugs	w1_d378e10232
haben	w3_d378e10235
wir	w5_d378e10238
uns	w7_d378e10241
doch	w9_d378e10244
allezeit	w11_d378e10247
mit	w13_d378e10251
gu	w15_d378e10254
tem	w1_d378e10259
Vortheil	w3_d378e10262
gegen	w5_d378e10265
den	w7_d378e10268
Feind	w9_d378e10271
gestellt.	w11_d378e10274
Der	w13_d378e10278
General=leutenant,	w1_d378e10283
Ritter	w3_d378e10286
von	w5_d378e10289
Nicolai,	w7_d378e10292
hat	w9_d378e10295
ihnen	w1_d378e10301
bey	w3_d378e10304
dem	w5_d378e10307
Zuruck=zug	w7_d378e10310
von	w9_d378e10313
Einbeck	w11_d378e10316
ei	w13_d378e10320
nen	w1_d378e10325
beträchtlichen	w3_d378e10328
Schaden	w5_d378e10331
verursachet,	w7_d378e10334
und	w9_d378e10337
gestern	w1_d378e10342
hat	w3_d378e10345
sie	w5_d378e10348
der	w7_d378e10351
Herr	w9_d378e10354
Graf	w11_d378e10357
von	w13_d378e10361
St.	w15_d378e10364
Germnain	w1_d378e10369
geschlagen,	w3_d378e10372
und	w5_d378e10375
bis	w7_d378e10378
an	w9_d378e10381
die	w11_d378e10384
Zu	w13_d378e10388
gange	w1_d378e10394
von	w3_d378e10397
Münden	w5_d378e10400
verfolgt.	w7_d378e10403
Es	w9_d378e10406
hat	w11_d378e10409
ih	w13_d378e10413
nen	w1_d378e10418
dieser	w3_d378e10421
General	w5_d378e10424
600.	w7_d378e10427
Mann	w9_d378e10430
getödtet,	w11_d378e10433
und	w1_d378e10438
5.	w3_d378e10441
Canonen	w5_d378e10444
abgenommen.	w7_d378e10447
Der	w9_d378e10450
Feind	w11_d378e10453
befindet	w1_d378e10458
sich	w3_d378e10461
mit	w5_d378e10464
Macht	w7_d378e10467
bey	w9_d378e10470
Ettelen,	w11_d378e10473
und	w13_d378e10477
man	w1_d378e10483
sagt,	w3_d378e10486
daß	w5_d378e10489
der	w7_d378e10492
Prinz	w9_d378e10495
von	w11_d378e10498
Hollstein	w13_d378e10502
Got	w15_d378e10505
wey	w1_d378e10510
bis	w3_d378e10513
Stadberg	w5_d378e10516
vorgerucket	w7_d378e10519
sey.	w9_d378e10522
Sie	w11_d378e10525
haben	w1_d378e10530
Lust,	w3_d378e10533
uns	w5_d378e10536
aus	w7_d378e10539
Hessen	w9_d378e10542
zu	w11_d378e10545
vertreiben,	w13_d378e10549
man	w1_d378e10554
wird	w3_d378e10557
sich	w5_d378e10560
aber	w7_d378e10563
alle	w9_d378e10566
Mühe	w11_d378e10569
geben,	w13_d378e10573
ihr	w15_d378e10576
Vorhaben	w1_d378e10582
zu	w3_d378e10585
vereiteln.	w5_d378e10588
</p>
<head id="h2_d378e10595">
Leipzig	w1_d378e10599
19.	w3_d378e10602
Augusti.	w5_d378e10605
</head>
<p id="p4_d378e10608">
Dresden	w1_d378e10612
ist	w3_d378e10615
nunmehro	w5_d378e10618
berennet,	w7_d378e10621
und	w9_d378e10624
man	w11_d378e10627
dermutet	w1_d378e10632
ehestens	w3_d378e10635
von	w5_d378e10638
daher	w7_d378e10641
die	w9_d378e10644
wichtigste	w11_d378e10647
Nachrichten.	w1_d378e10652
Ausser	w3_d378e10655
denen	w5_d378e10658
3000.	w7_d378e10661
Mann,	w9_d378e10664
</p>
<p id="p6_d378e10667">
welche	w1_d378e10671
der	w3_d378e10674
alhier	w5_d378e10677
gewest=Preußischen	w7_d378e10680
Gar	w9_d378e10683
nison	w1_d378e10688
noch	w3_d378e10691
vor	w5_d378e10694
ihrem	w7_d378e10697
Abzug	w9_d378e10700
entkommen,	w11_d378e10703
sind	w1_d378e10708
auch	w3_d378e10711
auf	w5_d378e10714
dem	w7_d378e10717
Marsche	w9_d378e10720
gegen	w11_d378e10723
1400.	w13_d378e10727
Mann	w1_d378e10733
davon	w3_d378e10736
gegangen.	w5_d378e10739
Das	w7_d378e10742
Finkische	w9_d378e10745
Corps	w11_d378e10748
ist	w1_d378e10753
über	w3_d378e10756
Lubben	w5_d378e10759
nach	w7_d378e10762
Berlin	w9_d378e10765
zu	w11_d378e10768
marschirt.	w13_d378e10772
</p>
<head id="h2_d378e10778">
Amsterdam	w1_d378e10782
20.	w3_d378e10785
Augusti	w5_d378e10788
</head>
<p id="p4_d378e10791">
Die	w1_d378e10795
Londner=briefe	w3_d378e10798
vom	w5_d378e10801
15.	w7_d378e10804
dieses	w9_d378e10807
melden,	w1_d378e10812
daß	w3_d378e10815
der	w5_d378e10818
Herr	w7_d378e10821
Thurot,	w9_d378e10824
welcher	w11_d378e10827
un	w13_d378e10831
längst	w1_d378e10836
mit	w3_d378e10839
einer	w5_d378e10842
Escadre	w7_d378e10845
von	w9_d378e10848
Dünkirchen	w11_d378e10851
