<doc id="wr_1757-01-15" attrs="word" year="1757" month="01" day="15" corpus="2">
<head id="h2_d109e3306">
Corsica	w1_d109e3310
Den	w1_d109e6945
12.	w3_d109e6948
dieses	w5_d109e6951
wurde	w7_d109e6954
der	w9_d109e6957
Baron	w11_d109e6960
von	w13_d109e6964
Mackaw,	w1_d109e6969
Stadt=schultheiß	w3_d109e6972
zu	w5_d109e6975
Straßburg,	w7_d109e6978
welcher	w1_d109e6983
als	w3_d109e6986
Königl.	w5_d109e6989
Minister	w7_d109e6992
bey	w9_d109e6995
der	w11_d109e6998
allge	w13_d109e7002
meinen	w1_d109e7008
Reichs=versammlung	w3_d109e7011
zu	w5_d109e7014
Regenspurg	w7_d109e7017
residiren	w1_d109e7022
solle,	w3_d109e7025
dem	w5_d109e7028
König	w7_d109e7031
durch	w9_d109e7034
den	w11_d109e7037
Mi	w13_d109e7041
nister	w1_d109e7046
und	w3_d109e7049
Staats=secretarium,	w5_d109e7052
Herrn	w7_d109e7055
Rouille,	w1_d109e7060
präsentirt.	w3_d109e7063
Den	w5_d109e7066
19.	w7_d109e7069
nahme	w9_d109e7072
der	w11_d109e7075
Marquis	w1_d109e7081
de	w3_d109e7084
l'	w5_d109e7087
Hospital,	w7_d109e7090
so	w9_d109e7093
als	w11_d109e7096
Königl.	w13_d109e7100
Am	w15_d109e7103
bassadeur	w1_d109e7108
an	w3_d109e7111
den	w5_d109e7114
Rußisch=Kaiserl.	w7_d109e7117
Hof	w9_d109e7120
gehet	w11_d109e7123
von	w1_d109e7128
dem	w3_d109e7131
Königl.	w5_d109e7134
Famille	w7_d109e7137
Abschied.	w9_d109e7140
Der	w11_d109e7143
Graf	w1_d109e7148
von	w3_d109e7151
Baschi	w5_d109e7154
ist	w7_d109e7157
von	w9_d109e7160
seiner	w11_d109e7163
Gesandschaft	w13_d109e7167
in	w1_d109e7173
Portugal	w3_d109e7176
alhier	w5_d109e7179
zurück	w7_d109e7182
gekommen.	w9_d109e7185
</p>
<head id="h2_d109e7191">
Brest	w1_d109e7195
8.	w3_d109e7198
Dec.	w5_d109e7201
1756.	w7_d109e7204
</head>
<p id="p4_d109e7207">
Die	w1_d109e7211
Escadre,	w3_d109e7214
welche	w5_d109e7217
den	w7_d109e7220
23.	w9_d109e7223
und	w11_d109e7226
24.	w13_d109e7230
vo	w15_d109e7233
rigen	w1_d109e7238
Monats	w3_d109e7241
von	w5_d109e7244
hier	w7_d109e7247
unter	w9_d109e7250
Seegel	w11_d109e7253
gegan	w13_d109e7257
gen,	w1_d109e7262
hat	w3_d109e7265
Ordre,	w5_d109e7268
sich	w7_d109e7271
auf	w9_d109e7274
die	w11_d109e7277
Küste	w13_d109e7281
von	w15_d109e7284
Gui	w17_d109e7287
nea,	w1_d109e7293
wo	w3_d109e7296
seit	w5_d109e7299
langer	w7_d109e7302
Zeit	w9_d109e7305
sich	w11_d109e7308
keines	w13_d109e7312
von	w15_d109e7315
un	w17_d109e7318
sern	w1_d109e7323
Kriegs=schiffen	w3_d109e7326
hat	w5_d109e7329
sehen	w7_d109e7332
lassen,	w9_d109e7335
zu	w11_d109e7338
bege	w13_d109e7342
ben.	w1_d109e7347
Die	w3_d109e7350
Convoy,	w5_d109e7353
so	w7_d109e7356
man	w9_d109e7359
unter	w11_d109e7362
Escorte	w13_d109e7366
3	w1_d109e7371
Fregatten	w3_d109e7374
von	w5_d109e7377
Port=louis	w7_d109e7380
erwartet	w9_d109e7383
und	w11_d109e7386
für	w1_d109e7392
die	w3_d109e7395
Escadern	w5_d109e7398
der	w7_d109e7401
Herren	w9_d109e7404
von	w11_d109e7407
Beaufre	w13_d109e7411
mont	w1_d109e7416
und	w3_d109e7419
von	w5_d109e7422
Achey	w7_d109e7425
Provisiones	w9_d109e7428
anhero	w11_d109e7431
hat	w13_d109e7435
te	w1_d109e7440
bringen	w3_d109e7443
sollen,	w5_d109e7446
ist	w7_d109e7449
durch	w9_d109e7452
einen	w11_d109e7455
Sturm	w13_d109e7459
zer	w15_d109e7462
streuet	w1_d109e7467
worden,	w3_d109e7470
daß	w5_d109e7473
also	w7_d109e7476
nur	w9_d109e7479
3.	w11_d109e7482
Barquen	w13_d109e7486
mit	w15_d109e7489
</p>
<p id="p6_d109e7492">
einer	w1_d109e7496
Fregatte	w3_d109e7499
von	w5_d109e7502
30.	w7_d109e7505
Canonen	w9_d109e7508
hier	w11_d109e7511
ange	w13_d109e7515
kommen.	w1_d109e7520
</p>
<head id="h2_d109e7526">
Sedan	w1_d109e7530
27.	w3_d109e7533
Dec.	w5_d109e7536
1756.	w7_d109e7539
</head>
<p id="p4_d109e7542">
Nicht	w1_d109e7546
nur	w3_d109e7549
unsere	w5_d109e7552
Gegend,	w7_d109e7555
sondern	w9_d109e7558
die	w11_d109e7561
Ge	w13_d109e7565
genden	w1_d109e7570
bey	w3_d109e7573
Metz,	w5_d109e7576
Motigni,	w7_d109e7579
Carignan,	w9_d109e7582
Thion	w11_d109e7585
ville	w1_d109e7590
und	w3_d109e7593
andere,	w5_d109e7596
seynd	w7_d109e7599
dermalen	w9_d109e7602
mit	w11_d109e7605
Tru	w13_d109e7609
pen	w1_d109e7615
in	w3_d109e7618
ihren	w5_d109e7621
angewiesenen	w7_d109e7624
Quartieren	w9_d109e7627
ange	w11_d109e7630
füllet.	w1_d109e7635
Man	w3_d109e7638
rechnet,	w5_d109e7641
daß	w7_d109e7644
sich	w9_d109e7647
deren	w11_d109e7650
Anzahl	w13_d109e7654
über	w1_d109e7659
60000.	w3_d109e7662
Mann,	w5_d109e7665
sowol	w7_d109e7668
zu	w9_d109e7671
Pferd	w11_d109e7674
als	w13_d109e7678
zu	w15_d109e7681
Fuß,	w1_d109e7686
erstrecke.	w3_d109e7689
</p>
<head id="h2_d109e7695">
Dresden	w1_d109e7699
25.	w3_d109e7702
Dec.	w5_d109e7705
1756.	w7_d109e7708
</head>
<p id="p4_d109e7711">
Am	w1_d109e7715
Dienstag	w3_d109e7718
hat	w5_d109e7721
der	w7_d109e7724
Engländische	w9_d109e7727
Ge	w11_d109e7730
sandte	w1_d109e7735
de	w3_d109e7738
Stormer	w5_d109e7741
seine	w7_d109e7744
Reise	w9_d109e7747
nach	w11_d109e7750
Warschau	w13_d109e7754
angetretten,	w1_d109e7759
und	w3_d109e7762
nunmehro	w5_d109e7765
seynd	w7_d109e7768
die	w9_d109e7771
Ge	w11_d109e7774
sandten	w1_d109e7780
alle,	w3_d109e7783
ausser	w5_d109e7786
der	w7_d109e7789
Sicilianische	w9_d109e7792
und	w11_d109e7795
Holländische,	w1_d109e7800
welche	w3_d109e7803
hier	w5_d109e7806
verbleiben,	w7_d109e7809
abgegan	w9_d109e7812
gen.	w1_d109e7817
Der	w3_d109e7820
Königl.	w5_d109e7823
Capell=meister	w7_d109e7826
Hasse,	w9_d109e7829
ist	w11_d109e7832
von	w1_d109e7837
dem	w3_d109e7840
Könige	w5_d109e7843
von	w7_d109e7846
Preussen,	w9_d109e7849
mit	w11_d109e7852
einer	w13_d109e7856
grossen	w1_d109e7862
goldenen	w3_d109e7865
Tabattiere	w5_d109e7868
beschenket	w7_d109e7871
wor	w9_d109e7874
den.	w1_d109e7879
Sonsten	w3_d109e7882
verlautet,	w5_d109e7885
daß	w7_d109e7888
ein	w9_d109e7891
Unterbe	w11_d109e7894
dienter	w1_d109e7899
vom	w3_d109e7902
Ober=hütten=amt	w5_d109e7905
in	w7_d109e7908
Freyberg	w9_d109e7911
bey	w1_d109e7916
dem	w3_d109e7919
Könige	w5_d109e7922
in	w7_d109e7925
Preussen	w9_d109e7928
angebracht	w11_d109e7931
ha	w13_d109e7935
be,	w1_d109e7941
wie	w3_d109e7944
die	w5_d109e7947
Vorgesetzten	w7_d109e7950
mit	w9_d109e7953
dem	w11_d109e7956
Vorrats	w13_d109e7960
silber	w1_d109e7965
Unterschleif	w3_d109e7968
machten;	w5_d109e7971
dahero	w7_d109e7974
dieselben	w9_d109e7977
arretiret	w1_d109e7982
worden	w3_d109e7985
seynd,	w5_d109e7988
und	w7_d109e7991
der	w9_d109e7994
Denunciant	w11_d109e7997
über	w1_d109e8002
obige	w3_d109e8005
gesetzet	w5_d109e8008
worden	w7_d109e8011
ist.	w9_d109e8014
Weil	w11_d109e8017
man	w13_d109e8021
auch	w1_d109e8027
eben	w3_d109e8030
dergleichen	w5_d109e8033
Mutmassungen	w7_d109e8036
wegen	w9_d109e8039
der	w1_d109e8044
Königl.	w3_d109e8047
Münze	w5_d109e8050
hat,	w7_d109e8053
so	w9_d109e8056
ist	w11_d109e8059
am	w13_d109e8063
Dienstag	w15_d109e8066
alles	w1_d109e8071
allda	w3_d109e8074
versiegelt	w5_d109e8077
worden.	w7_d109e8080
Der	w9_d109e8083
Königl.	w11_d109e8086
Preußische	w1_d109e8091
Feld=kriegs=dircctor,	w3_d109e8094
Hr.	w5_d109e8097
von	w7_d109e8100
Bork,	w1_d109e8106
ist	w3_d109e8109
schon	w5_d109e8112
seit	w7_d109e8115
8.	w9_d109e8118
Tagen	w11_d109e8121
aus	w13_d109e8125
Torgau	w15_d109e8128
hier	w1_d109e8133
eingetroffen,	w3_d109e8136
um	w5_d109e8139
einige	w7_d109e8142
neue	w9_d109e8145
Einrich	w11_d109e8148
tungen	w1_d109e8153
zu	w3_d109e8156
machen.	w5_d109e8159
Gestern	w7_d109e8162
musten	w9_d109e8165
die	w11_d109e8168
hie	w13_d109e8172
sigen	w1_d109e8177
Amts=unterthanen	w3_d109e8180
vieles	w5_d109e8183
Getreid	w7_d109e8186
von	w9_d109e8189
hier	w1_d109e8195
aus	w3_d109e8198
dem	w5_d109e8201
Magazin	w7_d109e8204
nach	w9_d109e8207
Freyberg	w11_d109e8210
bringen,	w13_d109e8214
hingegen	w1_d109e8219
soll	w3_d109e8222
von	w5_d109e8225
Wittenberg,	w7_d109e8228
Torgau	w9_d109e8231
und	w11_d109e8234
Meissen	w1_d109e8239
vieles	w3_d109e8242
hieher	w5_d109e8245
geschaffet	w7_d109e8248
werden.	w9_d109e8251
Ge	w11_d109e8254
stern	w1_d109e8259
brachte	w3_d109e8262
man	w5_d109e8265
auch	w7_d109e8268
verschiedene	w9_d109e8271
Koppeln	w11_d109e8274
pferde	w1_d109e8280
hieher,	w3_d109e8283
um	w5_d109e8286
die	w7_d109e8289
Preußische	w9_d109e8292
Cavallerie	w11_d109e8295
zu	w1_d109e8300
ergänzen.	w3_d109e8303
Der	w5_d109e8306
sämtliche	w7_d109e8309
Königl.	w9_d109e8312
Porcel	w11_d109e8315
lain=vorrat,	w1_d109e8320
sowol	w3_d109e8323
hier	w5_d109e8326
als	w7_d109e8329
in	w9_d109e8332
Meissen,	w11_d109e8335
wird	w13_d109e8339
in	w1_d109e8344
grosse	w3_d109e8347
Kisten	w5_d109e8350
gepacket	w7_d109e8353
und	w9_d109e8356
fortgeschaffet.	w11_d109e8359
Es	w1_d109e8365
ist	w3_d109e8368
auch	w5_d109e8371
eine	w7_d109e8374
gedruckte	w9_d109e8377
Königl.	w11_d109e8380
Preußische	w13_d109e8384
scharfe	w1_d109e8389
Verordnung	w3_d109e8392
von	w5_d109e8395
14.	w7_d109e8398
December	w9_d109e8401
an	w11_d109e8404
das	w1_d109e8409
Land	w3_d109e8412
ergangen,	w5_d109e8415
daß	w7_d109e8418
die	w9_d109e8421
von	w11_d109e8424
denen	w13_d109e8428
Säch	w15_d109e8431
sischen	w1_d109e8436
Deserteurs	w3_d109e8439
verkaufte	w5_d109e8442
Flinten,	w7_d109e8445
Pistolen,	w9_d109e8448
Seiten=gewehr	w1_d109e8454
und	w3_d109e8457
Leder=werks=sachen	w5_d109e8460
wie	w7_d109e8463
derum	w1_d109e8468
sollen	w3_d109e8471
herbey	w5_d109e8474
geschaffet	w7_d109e8477
weden.	w9_d109e8480
</p>
<p id="p6_d109e8483">
Die	w1_d109e8487
Königl.	w3_d109e8490
Preußische	w5_d109e8493
Armee	w7_d109e8496
geniesset	w9_d109e8499
in	w11_d109e8502
</p>
<head id="h2_d109e8508">
Bautzen	w1_d109e8512
13.	w3_d109e8515
December,	w5_d109e8518
1756.	w7_d109e8521
</head>
<p id="p8_d109e8534">
ihren	w1_d109e8538
Winter=quartieren	w3_d109e8541
wenig	w5_d109e8544
Ruhe.	w7_d109e8547
Sie	w9_d109e8550
hat	w1_d109e8555
die	w3_d109e8558
erste	w5_d109e8561
Ordre	w7_d109e8564
zum	w9_d109e8567
Marsch	w11_d109e8570
erhalten	w13_d109e8574
und	w1_d109e8579
Se.	w3_d109e8582
Königl.	w5_d109e8585
Hohheit,	w7_d109e8588
der	w9_d109e8591
Prinz	w11_d109e8594
Hein	w13_d109e8598
rich,	w1_d109e8604
wie	w3_d109e8607
auch	w5_d109e8610
Se.	w7_d109e8613
Durchleucht,	w9_d109e8616
der	w11_d109e8619
Prinz	w13_d109e8623
von	w1_d109e8628
Bevern,	w3_d109e8631
seynd	w5_d109e8634
eiligst	w7_d109e8637
von	w9_d109e8640
Dreßden	w11_d109e8643
nach	w13_d109e8647
der	w1_d109e8652
Ober=lausitz	w3_d109e8655
gegangen,	w5_d109e8658
wohin	w7_d109e8661
auch	w9_d109e8664
das	w11_d109e8667
Artillerie=corps,	w1_d109e8672
einige	w3_d109e8675
Regimenter	w5_d109e8678
Jnfan	w7_d109e8681
terie,	w1_d109e8687
und	w3_d109e8690
Cavallerie	w5_d109e8693
schleunigst	w7_d109e8696
gesandt	w9_d109e8699
wor	w11_d109e8702
den,	w1_d109e8707
um	w3_d109e8710
denen	w5_d109e8713
glücklichen	w7_d109e8716
Streichen	w9_d109e8719
der	w11_d109e8722
Kai	w13_d109e8726
serlichen	w1_d109e8731
Croaten	w3_d109e8734
Einhalt	w5_d109e8737
zu	w7_d109e8740
thun.	w9_d109e8743
Selbige	w11_d109e8746
haben	w1_d109e8751
vor	w3_d109e8754
vier	w5_d109e8757
Tagen,	w7_d109e8760
nämlich	w9_d109e8763
den	w11_d109e8766
9.	w13_d109e8770
dieses	w15_d109e8773
des	w1_d109e8779
Morgens	w3_d109e8782
fruhe	w5_d109e8785
um	w7_d109e8788
4.	w9_d109e8791
Uhr,	w11_d109e8794
die	w13_d109e8798
bey	w15_d109e8801
Zit	w17_d109e8804
tau	w1_d109e8809
ligende	w3_d109e8812
Preußische	w5_d109e8815
Trupen,	w7_d109e8818
mit	w9_d109e8821
Vorteil	w11_d109e8824
angefallen,	w1_d109e8829
wobey	w3_d109e8832
des	w5_d109e8835
Prinzens	w7_d109e8838
Heinrichs,	w9_d109e8841
und	w1_d109e8846
ein	w3_d109e8849
Hußaren=regiment	w5_d109e8852
vieles	w7_d109e8855
gelitten	w9_d109e8858
haben,	w1_d109e8864
auch	w3_d109e8867
seynd	w5_d109e8870
zwey	w7_d109e8873
Canonen	w9_d109e8876
mit	w11_d109e8879
fort	w13_d109e8883
gebracht	w1_d109e8888
worden.	w3_d109e8891
Zwischen	w5_d109e8894
Zittau	w7_d109e8897
und	w9_d109e8900
Wal	w11_d109e8903
dau	w1_d109e8908
haben	w3_d109e8911
sie	w5_d109e8914
gleichfals	w7_d109e8917
200.	w9_d109e8920
Preußen	w11_d109e8923
nie	w13_d109e8927
der	w1_d109e8932
gemacht.	w3_d109e8935
Jn	w5_d109e8938
der	w7_d109e8941
Gegend	w9_d109e8944
von	w11_d109e8947
Dippolds	w13_d109e8951
walda,	w1_d109e8957
zwey	w3_d109e8960
Meilen	w5_d109e8963
von	w7_d109e8966
Dreßden,	w9_d109e8969
wie	w11_d109e8972
auch	w13_d109e8976
in	w1_d109e8981
Schlesien,	w3_d109e8984
bey	w5_d109e8987
der	w7_d109e8990
Schwerinischen	w9_d109e8993
Armee,	w11_d109e8996
seynd	w1_d109e9001
widrige	w3_d109e9004
Beunruhigungen	w5_d109e9007
vorgefallen,	w7_d109e9010
dahero	w1_d109e9015
die	w3_d109e9018
dortige	w5_d109e9021
Armee	w7_d109e9024
mit	w9_d109e9027
einigen	w11_d109e9030
Regi	w13_d109e9034
mentern	w1_d109e9040
aus	w3_d109e9043
Sachsen	w5_d109e9046
verstärket	w7_d109e9049
wird.	w9_d109e9052
Da	w11_d109e9055
die	w1_d109e9060
ganze	w3_d109e9063
Preußische	w5_d109e9066
Armee	w7_d109e9069
in	w9_d109e9072
Bewegung	w11_d109e9075
ist	w13_d109e9079
so	w1_d109e9084
gewinnet	w3_d109e9087
es	w5_d109e9090
das	w7_d109e9093
Ansehen	w9_d109e9096
zu	w11_d109e9099
einer	w13_d109e9103
Winter	w15_d109e9106
campagne.	w1_d109e9111
</p>
<head id="h2_d109e9118">
Braunschweig	w1_d109e9122
25.	w3_d109e9125
Dec.	w5_d109e9128
1756.	w7_d109e9131
</head>
<p id="p4_d109e9134">
Am	w1_d109e9138
Montag	w3_d109e9141
kam	w5_d109e9144
der	w7_d109e9147
am	w9_d109e9150
Niedersächsi	w11_d109e9153
schen	w1_d109e9158
Kreiß	w3_d109e9161
stehende	w5_d109e9164
Königl.	w7_d109e9167
Französische	w9_d109e9170
Minister,	w1_d109e9175
Herr	w3_d109e9178
von	w5_d109e9181
Champeaux,	w7_d109e9184
aus	w9_d109e9187
Paris	w11_d109e9190
alhier	w1_d109e9196
an;	w3_d109e9199
und	w5_d109e9202
nachdem	w7_d109e9205
er	w9_d109e9208
sich	w11_d109e9211
etliche	w13_d109e9215
Tage	w15_d109e9218
aufgehalten,	w1_d109e9223
reisete	w3_d109e9226
er	w5_d109e9229
wiederum	w7_d109e9232
nach	w9_d109e9235
Ham	w11_d109e9238
burg	w1_d109e9243
ab.	w3_d109e9246
</p>
<head id="h2_d109e9252">
Frankfort	w1_d109e9256
27.	w3_d109e9259
Dec.	w5_d109e9262
1756.	w7_d109e9265
</head>
<p id="p4_d109e9268">
Uber	w1_d109e9272
die	w3_d109e9275
freudigste	w5_d109e9278
Geburt	w7_d109e9281
Sr.	w9_d109e9284
Kön.	w11_d109e9287
Hoheit	w13_d109e9291
des	w1_d109e9296
Erz=herzogs	w3_d109e9299
Maximilian	w5_d109e9302
hat	w7_d109e9305
auch	w9_d109e9308
die	w11_d109e9311
hie	w13_d109e9315
sige	w1_d109e9320
Judenschaft	w3_d109e9323
ihre	w5_d109e9326
gegen	w7_d109e9329
Kais.	w9_d109e9332
Königl.	w11_d109e9335
Ma	w13_d109e9339
jestäten,	w1_d109e9345
und	w3_d109e9348
das	w5_d109e9351
Allerdurchleuchtigste	w7_d109e9354
Oesterrei	w9_d109e9357
chische	w1_d109e9362
Haus	w3_d109e9365
tragende	w5_d109e9368
tieffeste	w7_d109e9371
Devotion	w9_d109e9374
be	w11_d109e9377
zeiget,	w1_d109e9382
da	w3_d109e9385
die	w5_d109e9388
Vorsteher,	w7_d109e9391
besonders	w9_d109e9394
die	w11_d109e9397
im	w13_d109e9401
Mittel	w1_d109e9406
stehende	w3_d109e9409
Baumeister,	w5_d109e9412
Nathan	w7_d109e9415
Meyer	w9_d109e9418
Uersel	w1_d109e9424
und	w3_d109e9427
Abraham	w5_d109e9430
Jsaac	w7_d109e9433
Stiefel,	w9_d109e9436
die	w11_d109e9439
beste	w13_d109e9443
Ordnung	w1_d109e9448
hierzu	w3_d109e9451
gemacht.	w5_d109e9454
Freytags	w7_d109e9457
Abends	w9_d109e9460
wurde	w1_d109e9465
das	w3_d109e9468
Fest	w5_d109e9471
in	w7_d109e9474
denen	w9_d109e9477
Synagogen	w11_d109e9480
ange	w13_d109e9484
kündet,	w1_d109e9489
und	w3_d109e9492
Sonntags	w5_d109e9495
nach	w7_d109e9498
dem	w9_d109e9501
Morgen	w11_d109e9504
gebett	w1_d109e9510
bey	w3_d109e9513
illuminirten	w5_d109e9516
Synagogen	w7_d109e9519
18.	w9_d109e9522
Dank	w11_d109e9525
Freuden	w1_d109e9530
und	w3_d109e9533
Bett=psalmen	w5_d109e9536
von	w7_d109e9539
der	w9_d109e9542
ganzen	w11_d109e9545
Gemeine	w1_d109e9550
eifrigst	w3_d109e9553
gebettet,	w5_d109e9556
und	w7_d109e9559
von	w9_d109e9562
denen	w11_d109e9565
Vorsängern	w1_d109e9570
ein	w3_d109e9573
Glückwünschungs=gesang	w5_d109e9576
abgesungen,	w1_d109e9582
worauf	w3_d109e9585
man	w5_d109e9588
denen	w7_d109e9591
Armen	w9_d109e9594
an	w11_d109e9597
</p>
<p id="p6_d109e9600">
sehnliche	w1_d109e9604
Allmosen	w3_d109e9607
austheilete.	w5_d109e9610
Abends	w7_d109e9613
um	w9_d109e9616
3.	w1_d109e9621
Uhr	w3_d109e9624
führete	w5_d109e9627
man	w7_d109e9630
bey	w9_d109e9633
abermals	w11_d109e9636
erleuchte	w13_d109e9640
ten	w1_d109e9645
Synagogen	w3_d109e9648
eine	w5_d109e9651
schöne	w7_d109e9654
Vocal	w9_d109e9657
und	w11_d109e9660
Jn	w13_d109e9664
strumental=music	w1_d109e9670
auf,	w3_d109e9673
wobey	w5_d109e9676
verschiedene	w7_d109e9679
Can	w9_d109e9682
taten	w1_d109e9687
abgesungen,	w3_d109e9690
und	w5_d109e9693
die	w7_d109e9696
18.	w9_d109e9699
Psalmen	w11_d109e9702
von	w13_d109e9706
der	w1_d109e9711
ganzen	w3_d109e9714
Gemeine	w5_d109e9717
zum	w7_d109e9720
Beschluß	w9_d109e9723
wieder	w11_d109e9726
holet	w1_d109e9731
worden.	w3_d109e9734
</p>
<head id="h2_d109e9740">
Nieder=elbe	w1_d109e9744
28.	w3_d109e9747
Dec.	w5_d109e9750
1756.	w7_d109e9753
</head>
<p id="p4_d109e9756">
Man	w1_d109e9760
stehet	w3_d109e9763
Briefe	w5_d109e9766
von	w7_d109e9769
guter	w9_d109e9772
Hand	w11_d109e9775
aus	w13_d109e9779
Danzig,	w1_d109e9784
welche	w3_d109e9787
melden,	w5_d109e9790
daß	w7_d109e9793
sich	w9_d109e9796
ein	w11_d109e9799
an	w13_d109e9803
sehnliches	w1_d109e9808
Corpo	w3_d109e9811
Rußischer	w5_d109e9814
Trupen	w7_d109e9817
bereits	w9_d109e9820
15.	w1_d109e9826
Meilen	w3_d109e9829
diesseits	w5_d109e9832
der	w7_d109e9835
Düna,	w9_d109e9838
oder	w11_d109e9841
Dzwina,	w13_d109e9845
in	w1_d109e9850
Litthauen	w3_d109e9853
befinde,	w5_d109e9856
und	w7_d109e9859
daß	w9_d109e9862
es	w11_d109e9865
ein	w13_d109e9869
ernstliches	w15_d109e9872
Ansehen	w1_d109e9877
mit	w3_d109e9880
dem	w5_d109e9883
Marsch	w7_d109e9886
dieser	w9_d109e9889
Trupen	w11_d109e9892
habe.	w13_d109e9896
Briefe	w1_d109e9901
aus	w3_d109e9904
Königsberg	w5_d109e9907
berichten,	w7_d109e9910
daß	w9_d109e9913
da	w11_d109e9916
selbst	w1_d109e9922
ein	w3_d109e9925
Currier	w5_d109e9928
aus	w7_d109e9931
Sachsen	w9_d109e9934
mit	w11_d109e9937
der	w13_d109e9941
Ordre	w15_d109e9944
Sr.	w1_d109e9949
Majestät,	w3_d109e9952
des	w5_d109e9955
Königs,	w7_d109e9958
eingetroffen	w9_d109e9961
sey,	w11_d109e9964
daß	w1_d109e9969
alle	w3_d109e9972
Trupen,	w5_d109e9975
welche	w7_d109e9978
in	w9_d109e9981
dem	w11_d109e9984
Königreich	w13_d109e9988
Preussen	w1_d109e9993
ihre	w3_d109e9996
Quartiere	w5_d109e9999
haben,	w7_d109e10002
sich	w9_d109e10005
auf	w11_d109e10008
die	w13_d109e10012
erste	w1_d109e10018
Ordre	w3_d109e10021
zum	w5_d109e10024
Marsch	w7_d109e10027
fertig	w9_d109e10030
halten	w11_d109e10033
sollen.	w13_d109e10037
</p>
<head id="h2_d109e10043">
Nürnberg	w1_d109e10047
28.	w3_d109e10050
Dec.	w5_d109e10053
1756.	w7_d109e10056
</head>
<p id="p4_d109e10059">
Das	w1_d109e10063
Fränkische	w3_d109e10066
Kreis=conclusum	w5_d109e10069
vom	w7_d109e10072
7ten	w1_d109e10077
dieses	w3_d109e10080
wegen	w5_d109e10083
der	w7_d109e10086
jetzigen	w9_d109e10089
Unruhen	w11_d109e10092
in	w13_d109e10096
Teutschland	w1_d109e10101
lautet	w3_d109e10104
folgendergestalt:	w5_d109e10107
</p>
<p id="p6_d109e10110">
Nachdem	w1_d109e10114
bey	w3_d109e10117
mehrmaligen	w5_d109e10120
über	w7_d109e10123
die	w9_d109e10126
un	w11_d109e10129
längst	w1_d109e10134
im	w3_d109e10137
Reich	w5_d109e10140
bekanntlich	w7_d109e10143
ausgebrochene	w9_d109e10146
leidige	w1_d109e10151
Kriegs=bewegungen,	w3_d109e10154
und	w5_d109e10157
noch	w7_d109e10160
vor	w9_d109e10163
daurende	w1_d109e10169
Läufte	w3_d109e10172
alsbald	w5_d109e10175
abgehaltenen	w7_d109e10178
vor	w9_d109e10181
gängigen	w1_d109e10186
gutächtlichen	w3_d109e10189
Berahtschlagungen,	w5_d109e10192
man	w1_d109e10197
des	w3_d109e10200
Dafürhaltens	w5_d109e10203
worden:	w7_d109e10206
Daß	w9_d109e10209
zu	w11_d109e10212
Erhaltung	w1_d109e10217
dieses	w3_d109e10220
Löbl.	w5_d109e10223
Kreises,	w7_d109e10226
wie	w9_d109e10229
auch	w11_d109e10232
der	w1_d109e10238
allgemeinen	w3_d109e10241
Reichs=sicherheit,	w5_d109e10244
die	w7_d109e10247
un	w9_d109e10250
umgängliche	w1_d109e10255
Nohtdurft	w3_d109e10258
erheusche,	w5_d109e10261
die	w7_d109e10264
diessei	w9_d109e10267
tige	w1_d109e10272
Kreis=kriegs=mannschaften	w3_d109e10275
zu	w5_d109e10278
Roß,	w7_d109e10281
und	w1_d109e10286
zu	w3_d109e10289
Fuß	w5_d109e10292
auf	w7_d109e10295
3.	w9_d109e10298
Simplen	w11_d109e10301
unverzüglich	w13_d109e10305
zu	w15_d109e10308
vermehren,	w1_d109e10314
und	w3_d109e10317
herzustellen,	w5_d109e10320
und	w7_d109e10323
dann	w9_d109e10326
so	w11_d109e10329
thanes	w1_d109e10334
beyrätige	w3_d109e10337
Conveuts=gutachten	w5_d109e10340
von	w7_d109e10343
höchst	w1_d109e10348
und	w3_d109e10351
hohen	w5_d109e10354
Herren	w7_d109e10357
Principalen,	w9_d109e10360
und	w11_d109e10363
Committenten,	w1_d109e10368
mittelst	w3_d109e10371
derselben	w5_d109e10374
darauf	w7_d109e10377
ertheilter	w1_d109e10383
Jnstructionen,	w3_d109e10386
allerseits	w5_d109e10389
genehm	w7_d109e10392
gehalten	w1_d109e10397
worden;	w3_d109e10400
als	w5_d109e10403
ist	w7_d109e10406
der	w9_d109e10409
diesfalls	w11_d109e10412
nun	w13_d109e10416
mehro	w1_d109e10421
abgefaßte	w3_d109e10424
einhellige	w5_d109e10427
Schluß	w7_d109e10430
dahin	w9_d109e10433
er	w11_d109e10436
gangen	w1_d109e10441
und	w3_d109e10444
ausgefallen,	w5_d109e10447
daß	w7_d109e10450
die	w9_d109e10453
Kreisre	w11_d109e10456
gimenter	w1_d109e10462
zu	w3_d109e10465
Roß,	w5_d109e10468
und	w7_d109e10471
zu	w9_d109e10474
Fuß	w11_d109e10477
so	w13_d109e10481
bald	w15_d109e10484
mög.	w17_d109e10487
lich,	w1_d109e10492
wie	w3_d109e10495
auch	w5_d109e10498
albereits	w7_d109e10501
von	w9_d109e10504
denen	w11_d109e10507
Höchst	w13_d109e10511
und	w1_d109e10516
Löblichen	w3_d109e10519
Herren	w5_d109e10522
Ständen	w7_d109e10525
mehrentheils	w9_d109e10528
damit	w1_d109e10533
der	w3_d109e10536
Anfang	w5_d109e10539
gemacht,	w7_d109e10542
und	w9_d109e10545
vorgeschrit	w11_d109e10548
ten	w1_d109e10554
worden,	w3_d109e10557
