<doc id="wr_1756-11-20" attrs="word" year="1756" month="11" day="20" corpus="2">
<head id="h2_d93e3076">
Lenden	w1_d93e3080
Novem.	w5_d93e6748
</head>
<p id="p4_d93e6751">
Der	w1_d93e6755
Kaiserl.	w3_d93e6758
Königl.	w5_d93e6761
Bottschater,	w7_d93e6764
Herr	w9_d93e6767
Baron	w1_d93e6772
von	w3_d93e6775
Reischach	w5_d93e6778
erhielte	w7_d93e6781
dieser	w9_d93e6784
Tagen	w11_d93e6787
einen	w1_d93e6792
Currier	w3_d93e6795
von	w5_d93e6798
Wien,	w7_d93e6801
welcher,	w9_d93e6804
nach	w11_d93e6807
ab	w13_d93e6811
gelegten	w1_d93e6817
Briefschaften,	w3_d93e6820
seine	w5_d93e6823
Reise	w7_d93e6826
schleunig	w9_d93e6829
nacher	w1_d93e6834
Londen	w3_d93e6837
fortsetzete:	w5_d93e6840
Gedachter	w7_d93e6843
Hr.	w9_d93e6846
Bott	w11_d93e6849
schafter	w1_d93e6854
hat	w3_d93e6857
den	w5_d93e6860
Befehl	w7_d93e6863
erhalten,	w9_d93e6866
von	w11_d93e6869
Jhro	w13_d93e6873
Hochmögenden	w1_d93e6878
diejenige	w3_d93e6881
Hülfs=völker	w5_d93e6884
zu	w7_d93e6887
be	w9_d93e6890
gehren,	w1_d93e6896
welche	w3_d93e6899
Sie,	w5_d93e6902
nach	w7_d93e6905
Jnhalt	w9_d93e6908
derer	w11_d93e6911
Tractaten	w1_d93e6916
von	w3_d93e6919
1731.	w5_d93e6922
1745.	w7_d93e6925
und	w9_d93e6928
1748.	w11_d93e6931
dem	w13_d93e6935
Erz=herzoglichen	w1_d93e6940
Hause	w3_d93e6943
zu	w5_d93e6946
leisten	w7_d93e6949
schuldie	w9_d93e6952
seynd,	w1_d93e6957
im	w3_d93e6960
Fall	w5_d93e6963
Dasselbe	w7_d93e6966
in	w9_d93e6969
dessen	w11_d93e6972
Erblan	w13_d93e6976
den	w1_d93e6982
angegriffen	w3_d93e6985
wird.	w5_d93e6988
</p>
<head id="h2_d93e6994">
Lüttich	w1_d93e6998
29.	w3_d93e7001
October.	w5_d93e7004
</head>
<p id="p4_d93e7007">
Die	w1_d93e7011
Regierung	w3_d93e7014
in	w5_d93e7017
denen	w7_d93e7020
Oesterreichischen	w9_d93e7023
Nieder=landen	w1_d93e7028
hat	w3_d93e7031
anhero	w5_d93e7034
geschrieben,	w7_d93e7037
daß	w9_d93e7040
man,	w1_d93e7045
weil	w3_d93e7048
die	w5_d93e7051
Kaiserl.	w7_d93e7054
Trupen	w9_d93e7057
durch	w11_d93e7060
unser	w13_d93e7064
Land	w1_d93e7070
zum	w3_d93e7073
Theil	w5_d93e7076
paßiren	w7_d93e7079
würden,	w9_d93e7082
zu	w11_d93e7085
Re	w13_d93e7089
gulirung	w1_d93e7094
dessen,	w3_d93e7097
was	w5_d93e7100
in	w7_d93e7103
dergleichen	w9_d93e7106
Fällen	w11_d93e7109
gebräuchlich	w1_d93e7114
ist,	w3_d93e7117
Commissarien	w5_d93e7120
nach	w7_d93e7123
Tirle	w9_d93e7126
mont	w1_d93e7131
schicken	w3_d93e7134
möchte.	w5_d93e7137
Dem	w7_d93e7140
zu	w9_d93e7143
Folge	w11_d93e7146
seynd	w13_d93e7150
der	w1_d93e7156
General=commissarius,	w3_d93e7159
Herr	w5_d93e7162
von	w7_d93e7165
Blisia,	w9_d93e7168
und	w1_d93e7173
der	w3_d93e7176
Kriegs=commissarius,	w5_d93e7179
Herr	w7_d93e7182
Con	w9_d93e7185
stant,	w1_d93e7190
vorgestern	w3_d93e7193
Abends	w5_d93e7196
abgegangen.	w7_d93e7199
Der	w9_d93e7202
erster	w1_d93e7207
hat	w3_d93e7210
Befehl,	w5_d93e7213
bis	w7_d93e7216
nach	w9_d93e7219
Brussel	w11_d93e7222
zu	w13_d93e7226
gehen,	w15_d93e7229
um	w1_d93e7235
die	w3_d93e7238
nöhligen	w5_d93e7241
Erläuterungen	w7_d93e7244
darüber	w9_d93e7247
zu	w11_d93e7250
haben.	w1_d93e7255
Man	w3_d93e7258
weiß	w5_d93e7261
im	w7_d93e7264
voraus,	w9_d93e7267
daß	w11_d93e7270
diese	w13_d93e7274
Trupen,	w1_d93e7279
welche	w3_d93e7282
sich	w5_d93e7285
insgesamt	w7_d93e7288
übermorgen	w9_d93e7291
in	w1_d93e7296
Bewegung	w3_d93e7299
setzen	w5_d93e7302
sollen,	w7_d93e7305
den	w9_d93e7308
Marsch	w11_d93e7311
über	w13_d93e7315
Huy	w1_d93e7321
und	w3_d93e7324
Dinant	w5_d93e7327
nach	w7_d93e7330
Luxemburg	w9_d93e7333
nehmen	w11_d93e7336
werden.	w1_d93e7341
</p>
<head id="h2_d93e7347">
St.	w1_d93e7351
Petersburg	w3_d93e7354
16.	w5_d93e7357
Oct.	w7_d93e7360
</head>
<p id="p4_d93e7363">
Der	w1_d93e7367
Graf	w3_d93e7370
Rasumofski,	w5_d93e7373
Hettmann	w7_d93e7376
derer	w9_d93e7379
Cosaken,	w1_d93e7384
hat	w3_d93e7387
seine	w5_d93e7390
Abreise	w7_d93e7393
nach	w9_d93e7396
der	w11_d93e7399
Ukraine	w13_d93e7403
noch	w1_d93e7408
auf	w3_d93e7411
einige	w5_d93e7414
Tage,	w7_d93e7417
wegen	w9_d93e7420
besonderer	w11_d93e7423
An	w13_d93e7427
gelegenheiten,	w1_d93e7433
aussetzen	w3_d93e7436
müssen.	w5_d93e7439
Die	w7_d93e7442
Divi	w9_d93e7445
sion	w1_d93e7450
derer	w3_d93e7453
Trupen,	w5_d93e7456
welche	w7_d93e7459
in	w9_d93e7462
der	w11_d93e7465
Ukraine	w13_d93e7469
unter	w1_d93e7474
dem	w3_d93e7477
Commoado	w5_d93e7480
des	w7_d93e7483
Herrn	w9_d93e7486
Generals	w11_d93e7489
en	w1_d93e7494
Chef	w3_d93e7497
Soltikof	w5_d93e7500
stehet,	w7_d93e7503
hat	w9_d93e7506
Order	w11_d93e7509
bekom	w13_d93e7513
men,	w1_d93e7519
nach	w3_d93e7522
denen	w5_d93e7525
Gränzen	w7_d93e7528
von	w9_d93e7531
Liefland	w11_d93e7534
zu	w13_d93e7538
marschiren.	w1_d93e7543
Wann	w3_d93e7546
alle	w5_d93e7549
die	w7_d93e7552
Trupen	w9_d93e7555
sich	w11_d93e7558
al	w13_d93e7562
da	w1_d93e7567
werden	w3_d93e7570
versammelt	w5_d93e7573
haben,	w7_d93e7576
werden	w9_d93e7579
solche	w11_d93e7582
eine	w1_d93e7587
Armee	w3_d93e7590
von	w5_d93e7593
hundert	w7_d93e7596
tausend	w9_d93e7599
Mann	w11_d93e7602
aus	w13_d93e7606
machen.	w1_d93e7612
Die	w3_d93e7615
Herrn	w5_d93e7618
Staabs=officiers	w7_d93e7621
von	w9_d93e7624
dem	w1_d93e7629
Corps,	w3_d93e7632
welches	w5_d93e7635
in	w7_d93e7638
Curland	w9_d93e7641
gerücket	w11_d93e7644
ist,	w13_d93e7648
haben	w1_d93e7653
Ordre	w3_d93e7656
sich	w5_d93e7659
nach	w7_d93e7662
Riga	w9_d93e7665
zu	w11_d93e7668
begeben,	w13_d93e7672
und	w15_d93e7675
alda	w1_d93e7680
die	w3_d93e7683
Ankunft	w5_d93e7686
des	w7_d93e7689
Herrn	w9_d93e7692
GeneralFeld	w11_d93e7695
</p>
<p id="p6_d93e7698">
marschalls	w1_d93e7702
Apraxin	w3_d93e7705
abzuwarten,	w5_d93e7708
um	w7_d93e7711
von	w9_d93e7714
ihm	w11_d93e7717
die	w1_d93e7722
nähern	w3_d93e7725
Ordres	w5_d93e7728
zu	w7_d93e7731
dem	w9_d93e7734
fernern	w11_d93e7737
Marsch	w13_d93e7741
dieser	w1_d93e7746
Trupen	w3_d93e7749
zu	w5_d93e7752
vernehmen.	w7_d93e7755
</p>
<head id="h2_d93e7761">
Regenspurg	w1_d93e7765
4.	w3_d93e7768
Novemb.	w5_d93e7771
</head>
<p id="p4_d93e7774">
Es	w1_d93e7778
ware	w3_d93e7781
am	w5_d93e7784
letzten	w7_d93e7787
des	w9_d93e7790
abgewichenen	w11_d93e7793
Mo	w13_d93e7797
nats,	w1_d93e7802
daß	w3_d93e7805
des	w5_d93e7808
Höchst=ansehnlichen	w7_d93e7811
Kaiserl.	w9_d93e7814
Principal=commissarii,	w1_d93e7819
Herrn	w3_d93e7822
Fürstens	w5_d93e7825
von	w7_d93e7828
Thurn	w1_d93e7834
und	w3_d93e7837
Taxis	w5_d93e7840
Hoch=fürstl.	w7_d93e7843
Durchleucht,	w9_d93e7846
nebst	w1_d93e7851
Dero	w3_d93e7854
Durchl.	w5_d93e7857
Frau	w7_d93e7860
Gemahlin,	w9_d93e7863
rc.	w11_d93e7866
rc.	w13_d93e7870
von	w1_d93e7875
Dero	w3_d93e7878
Herrschaft	w5_d93e7881
in	w7_d93e7884
Schwaben	w9_d93e7887
wieder	w11_d93e7890
hieher	w1_d93e7895
zurück	w3_d93e7898
kamen.	w5_d93e7901
An	w7_d93e7904
eben	w9_d93e7907
diesem	w11_d93e7910
Tage	w13_d93e7914
ist	w1_d93e7920
auch	w3_d93e7923
zu	w5_d93e7926
München	w7_d93e7929
der	w9_d93e7932
an	w11_d93e7935
dem	w13_d93e7939
dasigChur	w15_d93e7942
fürstlichen	w1_d93e7947
Hof	w3_d93e7950
ernannte	w5_d93e7953
KöniglichFran	w7_d93e7956
zösische	w1_d93e7961
Minister,	w3_d93e7964
Herr	w5_d93e7967
von	w7_d93e7970
Follard,	w9_d93e7973
an	w11_d93e7976
gelanget.	w1_d93e7981
</p>
<head id="h2_d93e7987">
Dresden	w1_d93e7991
29	w3_d93e7994
Oct.	w5_d93e7997
</head>
<p id="p4_d93e8000">
Am	w1_d93e8004
Montag	w3_d93e8007
seynd	w5_d93e8010
7.	w7_d93e8013
reitende	w9_d93e8016
Traban	w11_d93e8019
ten	w1_d93e8024
mit	w3_d93e8027
Pferden	w5_d93e8030
und	w7_d93e8033
allem	w9_d93e8036
Zugehör	w11_d93e8039
aus	w13_d93e8043
dem	w15_d93e8046
Cantonirungs=quartier	w1_d93e8051
desertiret,	w3_d93e8054
es	w5_d93e8057
haben	w7_d93e8060
ihnen	w1_d93e8066
aber	w3_d93e8069
einige	w5_d93e8072
von	w7_d93e8075
der	w9_d93e8078
Preußischen	w11_d93e8081
Caval	w13_d93e8085
lerie	w1_d93e8090
nachgesetzet	w3_d93e8093
und	w5_d93e8096
zwey	w7_d93e8099
Mann	w9_d93e8102
nebst	w11_d93e8105
de	w13_d93e8109
nen	w1_d93e8114
7.	w3_d93e8117
Pferden	w5_d93e8120
wieder	w7_d93e8123
bekommen.	w9_d93e8126
Am	w11_d93e8129
Dien	w13_d93e8133
stag	w1_d93e8138
brachte	w3_d93e8141
man	w5_d93e8144
6.	w7_d93e8147
Preussen,	w9_d93e8150
die	w11_d93e8153
in	w13_d93e8157
einem	w15_d93e8160
Scharmützel	w1_d93e8166
verwundet	w3_d93e8169
worden	w5_d93e8172
sind,	w7_d93e8175
von	w9_d93e8178
Altenberg	w1_d93e8183
hieher.	w3_d93e8186
Am	w5_d93e8189
Mittwochen	w7_d93e8192
hat	w9_d93e8195
man	w11_d93e8198
über	w1_d93e8203
hundere	w3_d93e8206
kranke	w5_d93e8209
Preussen	w7_d93e8212
auf	w9_d93e8215
Schiffen	w11_d93e8218
nach	w1_d93e8223
Meissen	w3_d93e8226
gebracht.	w5_d93e8229
Am	w7_d93e8232
Dienstag	w9_d93e8235
seynd	w11_d93e8238
die	w1_d93e8244
Reit	w3_d93e8247
und	w5_d93e8250
Kutschen=pferde	w7_d93e8253
der	w9_d93e8256
Prinzen	w11_d93e8259
Xaver	w1_d93e8264
und	w3_d93e8267
Carl,	w5_d93e8270
ingleichen	w7_d93e8273
derselben	w9_d93e8276
Equi	w11_d93e8279
page	w1_d93e8284
von	w3_d93e8287
hier	w5_d93e8290
nach	w7_d93e8293
Warschau	w9_d93e8296
abgegangen,	w11_d93e8299
und	w1_d93e8304
gestern	w3_d93e8307
folgte	w5_d93e8310
ein	w7_d93e8313
starker	w9_d93e8316
Transport	w11_d93e8319
von	w13_d93e8323
Königl.	w1_d93e8329
Pferden,	w3_d93e8332
Maul=thieren	w5_d93e8335
und	w7_d93e8338
vielen	w9_d93e8341
beladenen	w1_d93e8346
Fuhr=wägen	w3_d93e8349
für	w5_d93e8352
Se.	w7_d93e8355
Majestät	w9_d93e8358
unsern	w1_d93e8363
Könignach.	w3_d93e8366
Aus	w5_d93e8369
dem	w7_d93e8372
hiesigem	w9_d93e8375
Zeug	w11_d93e8378
haus	w1_d93e8383
wird	w3_d93e8386
noch	w5_d93e8389
immer	w7_d93e8392
alt	w9_d93e8395
Gewehr,	w11_d93e8398
Pistolen,	w13_d93e8402
und	w1_d93e8408
aller	w3_d93e8411
Vorrat	w5_d93e8414
von	w7_d93e8417
Seiten=gewehr	w9_d93e8420
auf	w11_d93e8423
Schiffen	w1_d93e8428
fortgeführet.	w3_d93e8431
Dem	w5_d93e8434
Vernehmen	w7_d93e8437
nach,	w1_d93e8442
soll	w3_d93e8445
sich	w5_d93e8448
der	w7_d93e8451
Prinz	w9_d93e8454
Moritz	w11_d93e8457
von	w13_d93e8461
Anhalt	w15_d93e8464
Dessau,	w1_d93e8469
mit	w3_d93e8472
18.	w5_d93e8475
Battaillons	w7_d93e8478
Jnfanterie	w9_d93e8481
nach	w11_d93e8484
der	w1_d93e8490
Oberlausitz	w3_d93e8493
ziehen.	w5_d93e8496
Am	w7_d93e8499
Mittwochen	w9_d93e8502
ist	w11_d93e8505
der	w1_d93e8510
Capitan,	w3_d93e8513
Baron	w5_d93e8516
von	w7_d93e8519
Miltitz,	w9_d93e8522
von	w11_d93e8525
dem	w13_d93e8529
Jsenplitzischen	w1_d93e8534
Regiment,	w3_d93e8537
an	w5_d93e8540
seiner	w7_d93e8543
Wunde	w9_d93e8546
gestorben,	w1_d93e8551
welche	w3_d93e8554
er	w5_d93e8557
in	w7_d93e8560
einem	w9_d93e8563
Scharmützel	w11_d93e8566
bey	w1_d93e8572
Außig	w3_d93e8575
vor	w5_d93e8578
8.	w7_d93e8581
Tagen	w9_d93e8584
bekommen	w11_d93e8587
hatte.	w13_d93e8591
Er	w1_d93e8596
wurde	w3_d93e8599
in	w5_d93e8602
der	w7_d93e8605
Stille	w9_d93e8608
vor	w11_d93e8611
dem	w13_d93e8615
Pirnaischen	w15_d93e8618
Thor	w1_d93e8623
auf	w3_d93e8626
dem	w5_d93e8629
Kirch=hof	w7_d93e8632
begraben.	w9_d93e8635
Vor	w11_d93e8638
gestern	w1_d93e8643
seynd	w3_d93e8646
die	w5_d93e8649
Regimenter	w7_d93e8652
Gens	w9_d93e8655
d'Armees,	w11_d93e8658
Leib=kürraßir,	w1_d93e8664
und	w3_d93e8667
Garde	w5_d93e8670
du	w7_d93e8673
Corps,	w9_d93e8676
unweit	w11_d93e8679
hiesiger	w1_d93e8684
Stadt,	w3_d93e8687
auf	w5_d93e8690
denen	w7_d93e8693
Dörfern	w9_d93e8696
in	w11_d93e8699
die	w13_d93e8703
Cantonierungs==quartiere	w1_d93e8708
verleget,	w3_d93e8711
wor	w5_d93e8714
den.	w1_d93e8719
</p>
<head id="h4_d93e8728">
Eger	w1_d93e8732
1.	w3_d93e8735
November.	w5_d93e8738
</head>
<p id="p6_d93e8741">
Den	w1_d93e8745
23.	w3_d93e8748
und	w5_d93e8751
24sten	w7_d93e8754
October	w9_d93e8757
waren	w11_d93e8760
die	w13_d93e8764
Preussen	w1_d93e8769
überall	w3_d93e8772
in	w5_d93e8775
Bewegung,	w7_d93e8778
und	w9_d93e8781
das	w11_d93e8784
Cor	w13_d93e8788
po,	w1_d93e8793
welches	w3_d93e8796
auf	w5_d93e8799
der	w7_d93e8802
Graf	w9_d93e8805
Waldsteinischen	w11_d93e8808
Herrschaft	w1_d93e8814
Dux,	w3_d93e8817
und	w5_d93e8820
zu	w7_d93e8823
Kloster	w9_d93e8826
Osseg	w11_d93e8829
ge	w13_d93e8833
standen,	w1_d93e8838
ist	w3_d93e8841
am	w5_d93e8844
24.	w7_d93e8847
in	w9_d93e8850
der	w11_d93e8853
Nacht	w13_d93e8857
von	w15_d93e8860
Töp	w17_d93e8863
litz	w1_d93e8868
aufgebrochen,	w3_d93e8871
von	w5_d93e8874
dannen	w7_d93e8877
aber	w9_d93e8880
den	w11_d93e8883
25.	w13_d93e8887
ab	w1_d93e8892
und	w3_d93e8895
näher	w5_d93e8898
gegen	w7_d93e8901
Graupen	w9_d93e8904
und	w11_d93e8907
dem	w13_d93e8911
so	w15_d93e8914
genannten	w1_d93e8920
Geyers=berg	w3_d93e8923
geruckek:	w5_d93e8926
die	w7_d93e8929
Preus	w9_d93e8932
sische	w1_d93e8937
Haupt=armee	w3_d93e8940
hingegen	w5_d93e8943
ist	w7_d93e8946
erst	w9_d93e8949
den	w11_d93e8952
27.	w1_d93e8957
October	w3_d93e8960
aus	w5_d93e8963
der	w7_d93e8966
Gegend	w9_d93e8969
zwischen	w11_d93e8972
Grau	w13_d93e8976
pen	w1_d93e8981
und	w3_d93e8984
Außig	w5_d93e8987
ab	w7_d93e8990
und	w9_d93e8993
bey	w11_d93e8996
so	w13_d93e9000
trockenen	w15_d93e9003
Tä	w17_d93e9006
gen	w1_d93e9012
und	w3_d93e9015
hellen	w5_d93e9018
Nächten	w7_d93e9021
dergestalt	w9_d93e9024
marschirt,	w11_d93e9027
daß	w1_d93e9032
sie	w3_d93e9035
schon	w5_d93e9038
den	w7_d93e9041
28.	w9_d93e9044
die	w11_d93e9047
Sächsische	w13_d93e9051
Gränzen	w15_d93e9054
betretten,	w1_d93e9059
und	w3_d93e9062
dieses	w5_d93e9065
Königreich	w7_d93e9068
völlig	w9_d93e9071
ver	w11_d93e9074
lassen	w1_d93e9079
hat.	w3_d93e9082
</p>
<head id="h2_d93e9088">
Leipzig	w1_d93e9092
5.	w3_d93e9095
November.	w5_d93e9098
</head>
<p id="p4_d93e9101">
Dem	w1_d93e9105
Leipziger	w3_d93e9108
Kreiß	w5_d93e9111
ist	w7_d93e9114
von	w9_d93e9117
dem	w11_d93e9120
Könige	w13_d93e9124
in	w1_d93e9129
Preussen	w3_d93e9132
auferleget	w5_d93e9135
worden,	w7_d93e9138
1500.	w9_d93e9141
Mann	w11_d93e9144
zu	w1_d93e9149
schaffen,	w3_d93e9152
und	w5_d93e9155
an	w7_d93e9158
statt	w9_d93e9161
der	w11_d93e9164
von	w13_d93e9168
der	w15_d93e9171
hiesi	w17_d93e9174
gen	w1_d93e9180
Kaufmannschaft	w3_d93e9183
erstlich	w5_d93e9186
anbegehrten	w7_d93e9189
Contribution	w1_d93e9194
per	w3_d93e9197
500000.	w5_d93e9200
Thaler,	w7_d93e9203
sollen	w9_d93e9206
nun	w11_d93e9209
600000.	w1_d93e9214
Thlr.	w3_d93e9217
geliefert	w5_d93e9220
werden.	w7_d93e9223
Es	w9_d93e9226
seynd	w11_d93e9229
deswegen	w1_d93e9234
heute	w3_d93e9237
die	w5_d93e9240
Stände	w7_d93e9243
vom	w9_d93e9246
Leipziger	w11_d93e9249
Kreiße	w1_d93e9255
in	w3_d93e9258
hiesigem	w5_d93e9261
Amte	w7_d93e9264
versammelt	w9_d93e9267
gewe	w11_d93e9270
sen,	w1_d93e9275
um	w3_d93e9278
sich	w5_d93e9281
darüber	w7_d93e9284
zu	w9_d93e9287
berahtschlagen.	w11_d93e9290
Das	w13_d93e9294
Decisum	w1_d93e9299
war	w3_d93e9302
dieses:	w5_d93e9305
Man	w7_d93e9308
könnte	w9_d93e9311
es	w11_d93e9314
ohne	w13_d93e9318
Einwilligung	w1_d93e9323
Sr.	w3_d93e9326
Majestät	w5_d93e9329
des	w7_d93e9332
Königs	w9_d93e9335
von	w11_d93e9338
Polen,	w1_d93e9344
als	w3_d93e9347
des	w5_d93e9350
würklichen	w7_d93e9353
Lands=herrn,	w9_d93e9356
nicht	w11_d93e9359
accordiren.	w1_d93e9364
Was	w3_d93e9367
dieser	w5_d93e9370
Schluß	w7_d93e9373
nach	w9_d93e9376
sich	w11_d93e9379
ziehen	w1_d93e9384
wird,	w3_d93e9387
muß	w5_d93e9390
man	w7_d93e9393
nunmehro	w9_d93e9396
erwarten.	w11_d93e9399
Die	w1_d93e9404
Preußische	w3_d93e9407
Armee	w5_d93e9410
hat	w7_d93e9413
sich	w9_d93e9416
grösten	w11_d93e9419
theils	w13_d93e9423
in	w1_d93e9429
die	w3_d93e9432
Laußnitz	w5_d93e9435
zurück	w7_d93e9438
gezogen,	w9_d93e9441
und	w11_d93e9444
Zittan,	w13_d93e9448
welches	w1_d93e9453
gute	w3_d93e9456
Wälle	w5_d93e9459
und	w7_d93e9462
Gräben	w9_d93e9465
hat,	w11_d93e9468
wird	w13_d93e9472
stark	w1_d93e9477
befestiget	w3_d93e9480
und	w5_d93e9483
besetzt.	w7_d93e9486
Diesen	w9_d93e9489
Nach	w11_d93e9492
mittag	w1_d93e9497
gegen	w3_d93e9500
5.	w5_d93e9503
Uhr	w7_d93e9506
kame	w9_d93e9509
der	w11_d93e9512
Französische	w13_d93e9516
am	w1_d93e9522
Berliner	w3_d93e9525
Hof	w5_d93e9528
gestandene	w7_d93e9531
Gesandte,	w9_d93e9534
Mar	w11_d93e9537
quis	w1_d93e9542
de	w3_d93e9545
Valory	w5_d93e9548
hier	w7_d93e9551
an.	w9_d93e9554
</p>
<head id="h2_d93e9560">
Dreßden	w1_d93e9564
5.	w3_d93e9567
November.	w5_d93e9570
</head>
<p id="p4_d93e9573">
Am	w1_d93e9577
Dienstag	w3_d93e9580
früh	w5_d93e9583
um	w7_d93e9586
8.	w9_d93e9589
Uhr,	w11_d93e9592
wurden	w13_d93e9596
400.	w1_d93e9601
Mann	w3_d93e9604
Kriegs=gefangene	w5_d93e9607
von	w7_d93e9610
hiesiger	w9_d93e9613
Leib=grenadier=garde	w1_d93e9618
und	w3_d93e9621
verschiedenen	w5_d93e9624
Jn	w7_d93e9627
fanterie=regimentern,	w1_d93e9633
die	w3_d93e9636
noch	w5_d93e9639
nicht	w7_d93e9642
geschwo	w9_d93e9645
ren	w1_d93e9650
hatten,	w3_d93e9653
mit	w5_d93e9656
100.	w7_d93e9659
Mann	w9_d93e9662
Jnfanterie	w11_d93e9665
in	w13_d93e9669
gleichen	w1_d93e9674
50.	w3_d93e9677
Mann	w5_d93e9680
Cavallerie	w7_d93e9683
hier	w9_d93e9686
durch	w11_d93e9689
nach	w1_d93e9694
Meissen	w3_d93e9697
convoyret,	w5_d93e9700
und	w7_d93e9703
dem	w9_d93e9706
Verneh	w11_d93e9709
men	w1_d93e9715
nach	w3_d93e9718
sollen	w5_d93e9721
sie	w7_d93e9724
nach	w9_d93e9727
Stetin	w11_d93e9730
in	w13_d93e9734
Pom	w15_d93e9737
mern	w1_d93e9742
gebracht	w3_d93e9745
werden.	w5_d93e9748
</p>
<p id="p6_d93e9751">
Nachmittags	w1_d93e9755
gegen	w3_d93e9758
2.	w5_d93e9761
Uhr	w7_d93e9764
marschierte	w9_d93e9767
das	w1_d93e9772
marggräfl.	w3_d93e9775
Bayreuthische	w5_d93e9778
Dragonerre	w7_d93e9781
</p>
<p id="p8_d93e9784">
gement	w1_d93e9788
durch	w3_d93e9791
den	w5_d93e9794
grossen	w7_d93e9797
Garten	w9_d93e9800
hinter	w11_d93e9803
denen	w13_d93e9807
Vorstädten	w1_d93e9812
weg	w3_d93e9815
bis	w5_d93e9818
Wilsdruf,	w7_d93e9821
und	w9_d93e9824
führte	w11_d93e9827
über	w1_d93e9832
500.	w3_d93e9835
Mann	w5_d93e9838
Sächsische	w7_d93e9841
Jnfanterie	w9_d93e9844
ohne	w11_d93e9847
Gewehr	w1_d93e9853
mit	w3_d93e9856
sich.	w5_d93e9859
Zu	w7_d93e9862
gleicher	w9_d93e9865
Zeit	w11_d93e9868
ruckte	w13_d93e9872
auch	w1_d93e9877
das	w3_d93e9880
Preußisch=peutzische	w5_d93e9883
Jnfanterie	w7_d93e9886
regiment	w1_d93e9891
zur	w3_d93e9894
Besatzung	w5_d93e9897
hier	w7_d93e9900
ein,	w9_d93e9903
und	w11_d93e9906
lösete	w13_d93e9910
sogleich	w1_d93e9915
die	w3_d93e9918
Wachten	w5_d93e9921
ab.	w7_d93e9924
</p>
<p id="p10_d93e9927">
Am	w1_d93e9931
Mittwochen	w3_d93e9934
seynd	w5_d93e9937
die	w7_d93e9940
hier	w9_d93e9943
gestandene	w11_d93e9946
8.	w1_d93e9951
Compagnien	w3_d93e9954
Grenadiers	w5_d93e9957
von	w7_d93e9960
hier	w9_d93e9963
abmar	w11_d93e9966
schieret,	w1_d93e9971
und	w3_d93e9974
zu	w5_d93e9977
denen	w7_d93e9980
andern,	w9_d93e9983
die	w11_d93e9986
der	w13_d93e9990
König	w15_d93e9993
von	w1_d93e9999
Preussen	w3_d93e10002
bey	w5_d93e10005
sich	w7_d93e10008
hat,	w9_d93e10011
gestossen	w11_d93e10014
worden.	w13_d93e10018
Die	w1_d93e10023
60.	w3_d93e10026
Sächsische	w5_d93e10029
Deserteurs,	w7_d93e10032
die	w9_d93e10035
im	w11_d93e10038
hiesigen	w1_d93e10043
Bryhan=haus	w3_d93e10046
gesessen	w5_d93e10049
seynd,	w7_d93e10052
hat	w9_d93e10055
man	w1_d93e10060
nach	w3_d93e10063
Torgan	w5_d93e10066
transportiret.	w7_d93e10069
</p>
<p id="p12_d93e10073">
Die	w1_d93e10077
noch	w3_d93e10080
übrig	w5_d93e10083
gebliebene	w7_d93e10086
30.	w9_d93e10089
Cadets	w11_d93e10092
von	w13_d93e10096
der	w1_d93e10101
Adelichen	w3_d93e10104
Compagnie	w5_d93e10107
seynd	w7_d93e10110
dieser	w9_d93e10113
Tagen	w11_d93e10116
von	w1_d93e10121
Königstein	w3_d93e10124
herunter	w5_d93e10127
gekommen,	w7_d93e10130
und	w9_d93e10133
in	w1_d93e10139
ein	w3_d93e10142
bürgerliches	w5_d93e10145
Haus	w7_d93e10148
einquartirt	w9_d93e10151
wor	w11_d93e10154
den.	w1_d93e10159
</p>
<p id="p14_d93e10162">
Die	w1_d93e10166
Oesterreichische	w3_d93e10169
Armee	w5_d93e10172
ziehet	w7_d93e10175
sich	w9_d93e10178
im	w11_d93e10181
mer	w1_d93e10186
näher	w3_d93e10189
an	w5_d93e10192
unsere	w7_d93e10195
Gränzen,	w9_d93e10198
dahero	w11_d93e10201
der	w13_d93e10205
König	w1_d93e10210
in	w3_d93e10213
Praussen	w5_d93e10216
alle	w7_d93e10219
Equipage	w9_d93e10222
und	w11_d93e10225
Kriegs	w13_d93e10229
bedürfnisse	w1_d93e10235
hieher	w3_d93e10238
bringen	w5_d93e10241
lassen.	w7_d93e10244
Gestern	w9_d93e10247
seynd	w1_d93e10252
die	w3_d93e10255
Pontons=wägen	w5_d93e10258
und	w7_d93e10261
Schif=brücken	w9_d93e10264
hier	w1_d93e10269
angekommen.	w3_d93e10272
Die	w5_d93e10275
Wagenburg	w7_d93e10278
wird	w9_d93e10281
hinter	w1_d93e10286
Neustadt	w3_d93e10289
zusammen	w5_d93e10292
gezogen.	w7_d93e10295
</p>
<head id="h2_d93e10301">
Warschau	w1_d93e10305
4.	w3_d93e10308
Nov.	w5_d93e10311
</head>
<p id="p4_d93e10314">
Se.	w1_d93e10318
Königl.	w3_d93e10321
Majestät	w5_d93e10324
unser	w7_d93e10327
allergnädig	w9_d93e10330
ster	w1_d93e10335
Herr	w3_d93e10338
haben	w5_d93e10341
gestern	w7_d93e10344
als	w9_d93e10347
am	w11_d93e10350
Tage	w13_d93e10354
aller	w15_d93e10357
Seelen	w1_d93e10362
