<doc id="wr_1758-07-22" attrs="word" year="1758" month="07" day="22" corpus="2">
<head id="h2_d263e3557">
Utrecht	w1_d263e3561
Flotte	w5_d263e7209
kreutzet	w7_d263e7212
an	w9_d263e7215
denen	w11_d263e7218
Küsten	w1_d263e7223
von	w3_d263e7226
Frankreich.	w5_d263e7229
Den	w7_d263e7232
24.	w9_d263e7235
Junii	w11_d263e7238
ist	w13_d263e7242
sie	w1_d263e7247
90.	w3_d263e7250
Seegel	w5_d263e7253
stark	w7_d263e7256
vor	w9_d263e7259
Havre	w11_d263e7262
de	w13_d263e7266
Grace	w15_d263e7269
er	w17_d263e7272
schienen,	w1_d263e7278
und	w3_d263e7281
den	w5_d263e7284
folgenden	w7_d263e7287
Morgen	w9_d263e7290
hat	w11_d263e7293
sie	w13_d263e7297
eine	w1_d263e7302
Landung	w3_d263e7305
zu	w5_d263e7308
Honfleur	w7_d263e7311
gethan.	w9_d263e7314
Von	w11_d263e7317
da	w13_d263e7321
ist	w1_d263e7326
sie	w3_d263e7329
den	w5_d263e7332
27.	w7_d263e7335
abgeseegelt,	w9_d263e7338
und	w11_d263e7341
hat	w13_d263e7345
sich	w15_d263e7348
vor	w17_d263e7351
Dieppe	w1_d263e7356
auf	w3_d263e7359
der	w5_d263e7362
Küste	w7_d263e7365
der	w9_d263e7368
Normandie	w11_d263e7371
gezei	w13_d263e7375
get.	w1_d263e7381
Die	w3_d263e7384
Trupen,	w5_d263e7387
welche	w7_d263e7390
noch	w9_d263e7393
in	w11_d263e7396
denen	w13_d263e7400
Nie	w15_d263e7403
derlanden	w1_d263e7408
seynd,	w3_d263e7411
ziehen	w5_d263e7414
sich	w7_d263e7417
zusammen,	w9_d263e7420
und	w11_d263e7423
aus	w1_d263e7428
Dünkirchen	w3_d263e7431
und	w5_d263e7434
Ryssel	w7_d263e7437
stossen	w9_d263e7440
7000.	w11_d263e7443
Mann	w1_d263e7448
Franzosen	w3_d263e7451
darzu,	w5_d263e7454
um	w7_d263e7457
sowol	w9_d263e7460
denen	w11_d263e7463
Streiffereyen	w1_d263e7469
der	w3_d263e7472
Hussaren	w5_d263e7475
der	w7_d263e7478
alliirten	w9_d263e7481
Ar	w11_d263e7484
mee,	w1_d263e7489
welche	w3_d263e7492
sich	w5_d263e7495
zu	w7_d263e7498
Tinen	w9_d263e7501
und	w11_d263e7504
Löwen	w13_d263e7508
einge	w15_d263e7511
fünden,	w1_d263e7516
als	w3_d263e7519
auch	w5_d263e7522
der	w7_d263e7525
Vorrückung	w9_d263e7528
der	w11_d263e7531
Aliir	w13_d263e7535
den	w1_d263e7540
in	w3_d263e7543
Braband	w5_d263e7546
Einhalt	w7_d263e7549
zu	w9_d263e7552
thun.	w11_d263e7555
</p>
<head id="h2_d263e7562">
Hanover	w1_d263e7566
7.	w3_d263e7569
Julii.	w5_d263e7572
</head>
<p id="p4_d263e7575">
Als	w1_d263e7579
den	w3_d263e7582
28.	w5_d263e7585
Junii	w7_d263e7588
des	w9_d263e7591
Abends	w11_d263e7594
die	w13_d263e7598
Bür	w15_d263e7601
gerschaft	w1_d263e7606
alhier	w3_d263e7609
mit	w5_d263e7612
ihrem	w7_d263e7615
Johannisschies	w9_d263e7618
sen	w1_d263e7623
den	w3_d263e7626
Schluß	w5_d263e7629
machte,	w7_d263e7632
und	w9_d263e7635
das	w11_d263e7638
Schwärmer	w13_d263e7642
werfen	w1_d263e7648
auf	w3_d263e7651
dem	w5_d263e7654
Kirch=hofe	w7_d263e7657
fortdauerte,	w9_d263e7660
heß	w11_d263e7663
ein	w1_d263e7668
Bürger=caporal,	w3_d263e7671
oder	w5_d263e7674
Constabler,	w7_d263e7677
seinen	w9_d263e7680
Lehr=jungen	w1_d263e7685
auf	w3_d263e7688
eine	w5_d263e7691
offen	w7_d263e7694
stehende	w9_d263e7697
Pulfer	w11_d263e7700
konne	w1_d263e7705
sitzen,	w3_d263e7708
in	w5_d263e7711
der	w7_d263e7714
Hofnung,	w9_d263e7717
es	w11_d263e7720
würde	w13_d263e7724
der	w15_d263e7727
selbe,	w1_d263e7733
und	w3_d263e7736
dessen	w5_d263e7739
umhabendes	w7_d263e7742
Schurz=fell	w9_d263e7745
sol	w11_d263e7748
che	w1_d263e7753
wol	w3_d263e7756
verwahren;	w5_d263e7759
allein	w7_d263e7762
zum	w9_d263e7765
Unglück	w11_d263e7768
siel	w13_d263e7772
</p>
<p id="p6_d263e7775">
ein	w1_d263e7779
Funken	w3_d263e7782
in	w5_d263e7785
die	w7_d263e7788
Pulfer=konne,	w9_d263e7791
die	w11_d263e7794
dann	w13_d263e7798
samt	w15_d263e7801
dem	w1_d263e7806
Jungen	w3_d263e7809
in	w5_d263e7812
die	w7_d263e7815
Luft	w9_d263e7818
flog	w11_d263e7821
alle	w13_d263e7825
Fenster	w15_d263e7828
des	w1_d263e7833
Hauses	w3_d263e7836
einschlug,	w5_d263e7839
und	w7_d263e7842
einen	w9_d263e7845
Theil	w11_d263e7848
des	w13_d263e7852
Dachs	w1_d263e7858
beschädigte.	w3_d263e7861
</p>
<head id="h2_d263e7867">
Mastricht	w1_d263e7871
8.	w3_d263e7874
Julii.	w5_d263e7877
</head>
<p id="p4_d263e7880">
Die	w1_d263e7884
Französische	w3_d263e7887
Armee	w5_d263e7890
stehet	w7_d263e7893
noch	w9_d263e7896
zwischen	w11_d263e7899
Cöln	w1_d263e7904
und	w3_d263e7907
Münichdorf,	w5_d263e7910
und	w7_d263e7913
die	w9_d263e7916
Vor=posten	w11_d263e7919
haben	w1_d263e7924
sich	w3_d263e7927
bis	w5_d263e7930
Lende	w7_d263e7933
und	w9_d263e7936
Gluwiel	w11_d263e7939
ausgebrei	w13_d263e7943
tet.	w1_d263e7949
Das	w3_d263e7952
Lager	w5_d263e7955
der	w7_d263e7958
Armee	w9_d263e7961
ist	w11_d263e7964
sehr	w13_d263e7968
vortheil	w15_d263e7971
haft	w1_d263e7976
situirt.	w3_d263e7979
Der	w5_d263e7982
rechte	w7_d263e7985
Flügel	w9_d263e7988
stößt	w11_d263e7991
an	w13_d263e7995
Cöln,	w15_d263e7998
und	w1_d263e8003
wird	w3_d263e8006
von	w5_d263e8009
denen	w7_d263e8012
Canonen	w9_d263e8015
dieser	w11_d263e8018
Stadt	w13_d263e8022
bedeckt,	w1_d263e8027
der	w3_d263e8030
linke	w5_d263e8033
aber	w7_d263e8036
ist	w9_d263e8039
durch	w11_d263e8042
die	w13_d263e8046
natürliche	w15_d263e8049
Lage	w1_d263e8055
der	w3_d263e8058
Gegend	w5_d263e8061
und	w7_d263e8064
durch	w9_d263e8067
die	w11_d263e8070
aufgeworfe	w13_d263e8074
ne	w1_d263e8079
Werker	w3_d263e8082
gegen	w5_d263e8085
jede	w7_d263e8088
Attaque	w9_d263e8091
gesichert.	w11_d263e8094
</p>
<head id="h2_d263e8100">
Frankfort	w1_d263e8104
14.	w3_d263e8107
Julii.	w5_d263e8110
</head>
<p id="p4_d263e8113">
Durch	w1_d263e8117
Briefe	w3_d263e8120
vom	w5_d263e8123
Nieder=thein	w7_d263e8126
hat	w9_d263e8129
man,	w11_d263e8132
daß	w1_d263e8137
die	w3_d263e8140
Französische	w5_d263e8143
Armee	w7_d263e8146
näher	w9_d263e8149
an	w11_d263e8152
den	w13_d263e8156
Erft=strom	w1_d263e8161
gezogen,	w3_d263e8164
und	w5_d263e8167
folglich	w7_d263e8170
der	w9_d263e8173
Hanö	w11_d263e8176
verischen	w1_d263e8182
Armee	w3_d263e8185
im	w5_d263e8188
Gesicht	w7_d263e8191
stehe,	w9_d263e8194
welche	w11_d263e8197
sich	w13_d263e8201
noch	w1_d263e8206
in	w3_d263e8209
der	w5_d263e8212
Gegend	w7_d263e8215
von	w9_d263e8218
Grevenbroick	w11_d263e8221
und	w13_d263e8225
Bedburg	w1_d263e8230
befindet.	w3_d263e8233
</p>
<p id="p6_d263e8236">
Jm	w1_d263e8240
küttichischen	w3_d263e8243
fordern	w5_d263e8246
die	w7_d263e8249
Hanöveri	w9_d263e8252
schen	w1_d263e8257
leichten	w3_d263e8260
Trupen	w5_d263e8263
hin	w7_d263e8266
und	w9_d263e8269
wieder	w11_d263e8272
Contri	w13_d263e8276
butionen.	w1_d263e8281
Se	w3_d263e8284
Durchl.	w5_d263e8287
der	w7_d263e8290
Prinz	w9_d263e8293
Ferdinand	w11_d263e8296
haben	w1_d263e8302
nach	w3_d263e8305
Lüttich	w5_d263e8308
einen	w7_d263e8311
Trompeter	w9_d263e8314
gefendet,	w11_d263e8317
und	w1_d263e8322
Deputirte	w3_d263e8325
verlangt,	w5_d263e8328
um	w7_d263e8331
wegen	w9_d263e8334
der	w11_d263e8337
LLie	w13_d263e8341
ferungen	w1_d263e8346
mit	w3_d263e8349
diesem	w5_d263e8352
Stifte	w7_d263e8355
zu	w9_d263e8358
tractiren.	w11_d263e8361
Es	w1_d263e8366
seynd	w3_d263e8369
demnach	w5_d263e8372
die	w7_d263e8375
Herren	w9_d263e8378
von	w11_d263e8381
Blisa,	w13_d263e8385
Bierset	w1_d263e8391
und	w3_d263e8394
von	w5_d263e8397
Gelves	w7_d263e8400
den	w9_d263e8403
29.	w11_d263e8406
nach	w13_d263e8410
dessen	w15_d263e8413
Haupt=quartier	w1_d263e8418
abgereiset.	w3_d263e8421
Der	w5_d263e8424
Königlich	w7_d263e8427
Französische	w1_d263e8432
Resident	w3_d263e8435
Herr	w5_d263e8438
Durand	w7_d263e8441
d'Aubigny	w9_d263e8444
hat	w1_d263e8449
bey	w3_d263e8452
der	w5_d263e8455
Regierung	w7_d263e8458
gleichfalls	w9_d263e8461
das	w11_d263e8464
Ansu	w13_d263e8468
chen	w1_d263e8474
gestellt,	w3_d263e8477
so	w5_d263e8480
bald	w7_d263e8483
als	w9_d263e8486
möglich	w11_d263e8489
1200.	w13_d263e8493
Wa	w15_d263e8496
gen	w1_d263e8501
zu	w3_d263e8504
liefern,	w5_d263e8507
um	w7_d263e8510
die	w9_d263e8513
Bagage	w11_d263e8516
und	w13_d263e8520
Provision	w15_d263e8523
aus	w1_d263e8528
dem	w3_d263e8531
Lüttichischen	w5_d263e8534
anderwärts	w7_d263e8537
hin	w9_d263e8540
zu	w11_d263e8543
schaffen.	w1_d263e8548
Man	w3_d263e8551
hat	w5_d263e8554
zwar	w7_d263e8557
diesem	w9_d263e8560
Minister	w11_d263e8563
die	w1_d263e8569
Unmöglichkeit	w3_d263e8572
vorgestellet,	w5_d263e8575
so	w7_d263e8578
viel	w9_d263e8581
aufzu	w11_d263e8584
treiben,	w1_d263e8589
alleine,	w3_d263e8592
da	w5_d263e8595
die	w7_d263e8598
Bagage	w9_d263e8601
und	w11_d263e8604
Magazi	w13_d263e8608
ne	w1_d263e8613
meistens	w3_d263e8616
nach	w5_d263e8619
Plätzen	w7_d263e8622
gebracht	w9_d263e8625
werden	w11_d263e8628
soll,	w1_d263e8633
die	w3_d263e8636
an	w5_d263e8639
der	w7_d263e8642
Maas	w9_d263e8645
ligen,	w11_d263e8648
so	w13_d263e8652
hat	w15_d263e8655
man	w17_d263e8658
sich	w1_d263e8664
entschlossen,	w3_d263e8667
die	w5_d263e8670
Helfte	w7_d263e8673
an	w9_d263e8676
Wagen,	w11_d263e8679
die	w13_d263e8683
andere	w1_d263e8688
an	w3_d263e8691
Fahr	w5_d263e8694
zeugen	w7_d263e8697
beyzuschaffen,	w9_d263e8700
welches	w11_d263e8703
auch	w1_d263e8708
angenommen	w3_d263e8711
worden.	w5_d263e8714
</p>
<p id="p8_d263e8717">
Wegen	w1_d263e8721
des	w3_d263e8724
Zustands	w5_d263e8727
in	w7_d263e8730
Wesel	w9_d263e8733
wird	w11_d263e8736
in	w13_d263e8740
ei	w15_d263e8743
nem	w1_d263e8748
Schreiben	w3_d263e8751
vom	w5_d263e8754
30.	w7_d263e8757
Junii	w9_d263e8760
nachstehendes	w11_d263e8763
berichtet:	w1_d263e8768
Die	w3_d263e8771
Hussaren	w5_d263e8774
von	w7_d263e8777
der	w9_d263e8780
alltirten	w11_d263e8783
Armee	w1_d263e8789
kommen	w3_d263e8792
stündlich	w5_d263e8795
bis	w7_d263e8798
vor	w9_d263e8801
die	w11_d263e8804
Thör	w13_d263e8808
der	w1_d263e8813
Festung	w3_d263e8816
rerognosciren,	w5_d263e8819
und	w7_d263e8822
nehmen	w9_d263e8825
alles	w11_d263e8828
weg,	w1_d263e8833
was	w3_d263e8836
nur	w5_d263e8839
könnte	w7_d263e8842
zugeführet	w9_d263e8845
werden	w11_d263e8848
Die	w1_d263e8853
Besatzung	w3_d263e8856
bestehet	w5_d263e8859
aus	w7_d263e8862
4500.	w9_d263e8865
Mann,	w11_d263e8868
</p>
<p id="p14_d263e8882">
meistens	w1_d263e8886
Militz.	w3_d263e8889
Sonst	w5_d263e8892
beträgt	w7_d263e8895
sich	w9_d263e8898
die	w11_d263e8901
Fran	w13_d263e8905
zösische	w1_d263e8910
Besatzung	w3_d263e8913
sehr	w5_d263e8916
wol	w7_d263e8919
und	w9_d263e8922
ruhig,	w11_d263e8925
weil	w13_d263e8929
der	w1_d263e8934
Commandant,	w3_d263e8937
Marquis	w5_d263e8940
von	w7_d263e8943
Castella,	w9_d263e8946
die	w11_d263e8949
beste	w1_d263e8955
Zucht	w3_d263e8958
und	w5_d263e8961
Ordnung	w7_d263e8964
beobachten	w9_d263e8967
lässet.	w11_d263e8970
Noch	w1_d263e8975
ist	w3_d263e8978
kein	w5_d263e8981
Schuß	w7_d263e8984
auf	w9_d263e8987
die	w11_d263e8990
observirende	w13_d263e8994
Trupen	w1_d263e8999
geschehen,	w3_d263e9002
und	w5_d263e9005
von	w7_d263e9008
letztern	w9_d263e9011
auch	w11_d263e9014
noch	w13_d263e9018
nichts	w1_d263e9023
gegen	w3_d263e9026
die	w5_d263e9029
Festung	w7_d263e9032
unternommen	w9_d263e9035
worden.	w11_d263e9038
</p>
<head id="h2_d263e9044">
Münster	w1_d263e9048
7.	w3_d263e9051
Julii.	w5_d263e9054
</head>
<p id="p4_d263e9057">
Den	w1_d263e9061
2.	w3_d263e9064
dieses	w5_d263e9067
wurde	w7_d263e9070
der	w9_d263e9073
Burgerschaft	w11_d263e9076
al	w13_d263e9080
hier	w1_d263e9085
befohlen,	w3_d263e9088
alles	w5_d263e9091
Schieß=gewehr	w7_d263e9094
Nach	w9_d263e9097
mittags	w1_d263e9102
um	w3_d263e9105
2.	w5_d263e9108
Uhr	w7_d263e9111
auf	w9_d263e9114
das	w11_d263e9117
Raht=haus	w13_d263e9121
zu	w15_d263e9124
liefern,	w1_d263e9130
welches	w3_d263e9133
auch	w5_d263e9136
aufs	w7_d263e9139
genaueste	w9_d263e9142
befolget	w11_d263e9145
worden.	w1_d263e9150
Den	w3_d263e9153
5.	w5_d263e9156
traffen	w7_d263e9159
300.	w9_d263e9162
Braunschwei	w11_d263e9165
gische	w1_d263e9170
Recruten	w3_d263e9173
ein,	w5_d263e9176
welche	w7_d263e9179
unverzüglich	w9_d263e9182
zur	w11_d263e9185
Armee	w1_d263e9190
abgehen	w3_d263e9193
sollen.	w5_d263e9196
</p>
<head id="h2_d263e9202">
Frankfort	w1_d263e9206
14.	w3_d263e9209
Julii.	w5_d263e9212
</head>
<p id="p4_d263e9215">
Von	w1_d263e9219
hier	w3_d263e9222
seynd	w5_d263e9225
den	w7_d263e9228
11.	w9_d263e9231
dieses	w11_d263e9234
verschiedene	w13_d263e9238
Französische	w1_d263e9243
Regimenter	w3_d263e9246
aufgebrochen,	w5_d263e9249
und	w7_d263e9252
das	w1_d263e9257
Soubisische	w3_d263e9260
Haupt=quartier	w5_d263e9263
hat	w7_d263e9266
schon	w9_d263e9269
an	w11_d263e9272
diesem	w1_d263e9278
Tage,	w3_d263e9281
oder	w5_d263e9284
bis	w7_d263e9287
den	w9_d263e9290
12.	w11_d263e9293
zu	w13_d263e9297
Friedberg	w15_d263e9300
seyn	w1_d263e9305
sollen.	w3_d263e9308
An	w5_d263e9311
statt	w7_d263e9314
des	w9_d263e9317
Regiments	w11_d263e9320
Pie	w13_d263e9324
mont,	w1_d263e9329
welches	w3_d263e9332
den	w5_d263e9335
10.	w7_d263e9338
von	w9_d263e9341
Hanau	w11_d263e9344
ausmar	w13_d263e9348
schirt,	w1_d263e9353
ist	w3_d263e9356
den	w5_d263e9359
11ten	w7_d263e9362
das	w9_d263e9365
von	w11_d263e9368
Dauphin	w13_d263e9372
ein	w15_d263e9375
gerückt.	w1_d263e9381
</p>
<head id="h2_d263e9387">
Fulda	w1_d263e9391
9.	w3_d263e9394
Julii.	w5_d263e9397
</head>
<p id="p4_d263e9400">
Aus	w1_d263e9404
dem	w3_d263e9407
Heßischen	w5_d263e9410
hat	w7_d263e9413
man,	w9_d263e9416
daß	w11_d263e9419
am	w13_d263e9423
1.	w15_d263e9426
dieses	w1_d263e9431
einige	w3_d263e9434
100.	w5_d263e9437
Mann	w7_d263e9440
Preußische	w9_d263e9443
schwarze	w11_d263e9446
Hussaren	w1_d263e9451
von	w3_d263e9454
der	w5_d263e9457
Armee	w7_d263e9460
des	w9_d263e9463
Prinzen	w11_d263e9466
Hein	w13_d263e9470
richs	w1_d263e9476
zu	w3_d263e9479
Hirsch=feld,	w5_d263e9482
7.	w7_d263e9485
Meilen	w9_d263e9488
von	w11_d263e9491
Cassel,	w13_d263e9495
angekommen,	w1_d263e9500
und	w3_d263e9503
des	w5_d263e9506
Tages	w7_d263e9509
darauf	w9_d263e9512
weiter	w11_d263e9515
zu	w1_d263e9520
dem	w3_d263e9523
Corps	w5_d263e9526
des	w7_d263e9529
Prinzens	w9_d263e9532
von	w11_d263e9535
Jsemburg	w13_d263e9539
bey	w1_d263e9544
Marburg	w3_d263e9547
marschirt	w5_d263e9550
wären.	w7_d263e9553
</p>
<head id="h2_d263e9560">
Hag	w1_d263e9564
11.	w3_d263e9567
Julii.	w5_d263e9570
</head>
<p id="p4_d263e9573">
Jn	w1_d263e9577
Rücksicht	w3_d263e9580
der	w5_d263e9583
gegenwärtigen	w7_d263e9586
Conjun	w9_d263e9589
cturen	w1_d263e9594
wird	w3_d263e9597
von	w5_d263e9600
der	w7_d263e9603
Prinzeßin	w9_d263e9606
Gouvernan	w11_d263e9609
tin	w1_d263e9614
Königl.	w3_d263e9617
Hoheit	w5_d263e9620
noch	w7_d263e9623
immer	w9_d263e9626
auf	w11_d263e9629
eine	w13_d263e9633
Völker=vermehrung	w1_d263e9639
gedrungen.	w3_d263e9642
Wegen	w5_d263e9645
denen	w7_d263e9648
Klagen	w1_d263e9653
der	w3_d263e9656
Kaufmannschaft	w5_d263e9659
über	w7_d263e9662
die	w9_d263e9665
Eng	w11_d263e9668
ländische	w1_d263e9673
Gewaltthätigkeiten	w3_d263e9676
wird	w5_d263e9679
eine	w7_d263e9682
De	w9_d263e9685
putation	w1_d263e9690
nach	w3_d263e9693
Londen	w5_d263e9696
gehen,	w7_d263e9699
um	w9_d263e9702
die	w11_d263e9705
Sache	w13_d263e9709
beyzulegen.	w1_d263e9715
</p>
<head id="h2_d263e9721">
Dreßden,	w1_d263e9725
von	w3_d263e9728
10.	w5_d263e9731
Julii.	w7_d263e9734
</head>
<p id="p4_d263e9737">
Hente	w1_d263e9741
früh	w3_d263e9744
sind	w5_d263e9747
wiederum	w7_d263e9750
300.	w9_d263e9753
Mann	w11_d263e9756
Recollvalescirte,	w1_d263e9761
welche	w3_d263e9764
dieser	w5_d263e9767
Tagen	w7_d263e9770
aus	w9_d263e9773
Leipzig	w1_d263e9778
und	w3_d263e9781
Torgau	w5_d263e9784
hier	w7_d263e9787
angekommen,	w9_d263e9790
zu	w11_d263e9793
ih	w13_d263e9797
ren	w1_d263e9803
Regimentern	w3_d263e9806
nach	w5_d263e9809
dem	w7_d263e9812
Heinrichischen	w9_d263e9815
</p>
<p id="p6_d263e9818">
Corps	w1_d263e9822
abgegangen.	w3_d263e9825
Wegen	w5_d263e9828
des	w7_d263e9831
Absterbens	w9_d263e9834
des	w1_d263e9839
Prinzen	w3_d263e9842
von	w5_d263e9845
Preußen	w7_d263e9848
Königlichen	w9_d263e9851
Ho	w11_d263e9854
heit,	w1_d263e9859
und	w3_d263e9862
des	w5_d263e9865
regirenden	w7_d263e9868
Herrn	w9_d263e9871
Herzogs	w11_d263e9874
von	w13_d263e9878
Sachsen=weymar	w1_d263e9884
Durchlaucht	w3_d263e9887
hat	w5_d263e9890
der	w7_d263e9893
hie	w9_d263e9896
sige	w1_d263e9901
Hof	w3_d263e9904
die	w5_d263e9907
Trauer	w7_d263e9910
angeleget.	w9_d263e9913
Jn	w11_d263e9916
der	w13_d263e9920
Ge	w15_d263e9923
gend	w1_d263e9928
Pirna	w3_d263e9931
sind	w5_d263e9934
in	w7_d263e9937
voriger	w9_d263e9940
Woche	w11_d263e9943
die	w13_d263e9947
Oester	w15_d263e9950
reichische	w1_d263e9955
und	w3_d263e9958
Preußische	w5_d263e9961
Hussaren	w7_d263e9964
etliche	w9_d263e9967
mal	w1_d263e9973
aufeinander	w3_d263e9976
gestossen,	w5_d263e9979
da	w7_d263e9982
es	w9_d263e9985
dann	w11_d263e9988
auf	w13_d263e9992
beeden	w1_d263e9997
Seiten	w3_d263e10000
Blessirte	w5_d263e10003
und	w7_d263e10006
Todte	w9_d263e10009
gegeben	w11_d263e10012
hat.	w1_d263e10017
Am	w3_d263e10020
Sonn=abend	w5_d263e10023
Nachmittag	w7_d263e10026
ist	w9_d263e10029
in	w11_d263e10032
die	w13_d263e10036
Königliche	w1_d263e10041
Ställe	w3_d263e10044
allhier	w5_d263e10047
ein	w7_d263e10050
Wetter=strahl	w9_d263e10053
eingefallen,	w1_d263e10059
wodurch	w3_d263e10062
19.	w5_d263e10065
der	w7_d263e10068
schönsten	w9_d263e10071
Preus	w11_d263e10074
sischen	w1_d263e10079
Commissariat=pferden	w3_d263e10082
getödtet	w5_d263e10085
wur	w7_d263e10088
den,	w1_d263e10093
auch	w3_d263e10096
hat	w5_d263e10099
ein	w7_d263e10102
Knecht	w9_d263e10105
das	w11_d263e10108
Leben	w13_d263e10112
dabey	w15_d263e10115
verloren,	w1_d263e10120
und	w3_d263e10123
3.	w5_d263e10126
andere	w7_d263e10129
sind	w9_d263e10132
betäubet	w11_d263e10135
wor	w13_d263e10139
den.	w1_d263e10145
</p>
<head id="h2_d263e10151">
Kurz=gefaßte	w1_d263e10155
Nachrichten.	w3_d263e10158
Es	w1_d263e10163
geben	w3_d263e10166
die	w5_d263e10169
frischeste	w7_d263e10172
Briefe	w9_d263e10175
</head>
<p id="p4_d263e10178">
Von	w1_d263e10182
München:	w3_d263e10185
Daß	w5_d263e10188
den	w7_d263e10191
28sten	w9_d263e10194
des	w11_d263e10197
abgewichenen	w1_d263e10202
Monats	w3_d263e10205
bes	w5_d263e10208
regierenden	w7_d263e10211
Hrn.	w9_d263e10214
Herzogs	w1_d263e10219
von	w3_d263e10222
Zweybrücken	w5_d263e10225
Hoch=fürstliche	w7_d263e10228
Durchl.	w1_d263e10234
aus	w3_d263e10237
Paris	w5_d263e10240
allda	w7_d263e10243
angelanget	w9_d263e10246
seye.	w11_d263e10249
</p>
<p id="p6_d263e10252">
Von	w1_d263e10256
Rom:	w3_d263e10259
Daß	w5_d263e10262
der	w7_d263e10265
Königl.	w9_d263e10268
Franzö	w11_d263e10271
sische	w1_d263e10276
Botschafter	w3_d263e10279
den	w5_d263e10282
2.	w7_d263e10285
dieses	w9_d263e10288
Monats	w11_d263e10291
Julii	w13_d263e10295
mit	w1_d263e10300
vielem	w3_d263e10303
Pracht,	w5_d263e10306
seinen	w7_d263e10309
offentlichen	w9_d263e10312
Einzug	w11_d263e10315
alda	w1_d263e10321
gehalten	w3_d263e10324
habe;	w5_d263e10327
und	w7_d263e10330
eben	w9_d263e10333
selbigen	w11_d263e10336
Tages	w13_d263e10340
Se.	w1_d263e10345
Excellenz	w3_d263e10348
der	w5_d263e10351
K.	w7_d263e10354
K.	w9_d263e10357
Bottschafter	w11_d263e10360
Herr	w13_d263e10364
Marchese	w1_d263e10369
de	w3_d263e10372
Clerici	w5_d263e10375
unter	w7_d263e10378
allgemeinem	w9_d263e10381
Zuruf	w11_d263e10384
fen	w1_d263e10389
des	w3_d263e10392
Volkes,	w5_d263e10395
welches	w7_d263e10398
beständig	w9_d263e10401
geschrien:	w11_d263e10404
Es	w1_d263e10410
lebe	w3_d263e10413
der	w5_d263e10416
Kaiser,	w7_d263e10419
und	w9_d263e10422
die	w11_d263e10425
Kaiserin!	w13_d263e10429
alda	w1_d263e10434
angelanget	w3_d263e10437
seye.	w5_d263e10440
</p>
<p id="p8_d263e10443">
Von	w1_d263e10447
Warschau:	w3_d263e10450
Daß	w5_d263e10453
alda	w7_d263e10456
der	w9_d263e10459
von	w11_d263e10462
Sr	w13_d263e10466
Excellenz	w1_d263e10471
dem	w3_d263e10474
Kaiserl.	w5_d263e10477
Königl.	w7_d263e10480
Herrn	w9_d263e10483
General	w11_d263e10486
feld=marschall	w1_d263e10491
Grafen	w3_d263e10494
von	w5_d263e10497
Daun	w7_d263e10500
als	w9_d263e10503
Currier	w11_d263e10506
abgeschickte	w1_d263e10512
General=adjutant	w3_d263e10515
Herr	w5_d263e10518
Graf	w7_d263e10521
von	w9_d263e10524
Poniatowsky	w1_d263e10529
mit	w3_d263e10532
vorreitenden	w5_d263e10535
8.	w7_d263e10538
blasenden	w9_d263e10541
Postillionen	w1_d263e10546
eingeritten,	w3_d263e10549
und	w5_d263e10552
die	w7_d263e10555
erfreuliche	w9_d263e10558
Nachricht	w1_d263e10563
von	w3_d263e10566
dem	w5_d263e10569
zernichteten	w7_d263e10572
Preußischen	w9_d263e10575
grossen	w1_d263e10581
Transport,	w3_d263e10584
und	w5_d263e10587
Aufhebung	w7_d263e10590
der	w9_d263e10593
Bela	w11_d263e10596
gerung	w1_d263e10601
Ollmütz	w3_d263e10604
dahin	w5_d263e10607
überbracht	w7_d263e10610
habe.	w9_d263e10613
</p>
<p id="p10_d263e10616">
Zu	w1_d263e10620
Oels	w3_d263e10623
haben	w5_d263e10626
den	w7_d263e10629
17.	w9_d263e10632
Junii	w11_d263e10635
Abends	w13_d263e10639
gleich	w1_d263e10644
nach	w3_d263e10647
7.	w5_d263e10650
Uhr	w7_d263e10653
die	w9_d263e10656
Durchl.	w11_d263e10659
Fürstin	w13_d263e10663
und	w15_d263e10666
Frau,	w1_d263e10671
Frau	w3_d263e10674
Charlotte	w5_d263e10677
Philippine,	w7_d263e10680
verwit	w9_d263e10683
tibte	w1_d263e10689
Herzogin	w3_d263e10692
zu	w5_d263e10695
Würtenberg	w7_d263e10698
und	w9_d263e10701
Teck,	w11_d263e10704
auch	w13_d263e10708
in	w1_d263e10713
Schlesien	w3_d263e10716
zu	w5_d263e10719
Oels	w7_d263e10722
und	w9_d263e10725
Bernstadt	w11_d263e10728
rc.	w13_d263e10732
ge	w15_d263e10735
borne	w1_d263e10740
Reichs=gräfin	w3_d263e10743
von	w5_d263e10746
Reder,	w7_d263e10749
Freyin	w9_d263e10752
zu	w11_d263e10755
</p>
<p id="p16_d263e10769">
Krapitz	w1_d263e10773
und	w3_d263e10776
Berg	w5_d263e10779
rc.	w7_d263e10782
des	w9_d263e10785
regierenden	w11_d263e10788
Herrn	w13_d263e10792
Herzogs	w1_d263e10797
zu	w3_d263e10800
Würtemberg	w5_d263e10803
Oels	w7_d263e10806
Hoch=fürstl.	w9_d263e10809
Durchl.	w1_d263e10814
Frau	w3_d263e10817
Mutter,	w5_d263e10820
im	w7_d263e10823
69.	w9_d263e10826
Jahre	w11_d263e10829
Dero	w13_d263e10833
Alters	w1_d263e10839
das	w3_d263e10842
Zeitliche	w5_d263e10845
mit	w7_d263e10848
dem	w9_d263e10851
