<doc id="wr_1760-10-29" attrs="word" year="1760" month="10" day="29" corpus="2">
<head id="h2_d496e3512">
Stralsund	w1_d496e3516
ob	w7_d496e7131
sie	w9_d496e7134
lieber,	w11_d496e7137
wie	w13_d496e7141
sie	w1_d496e7146
es	w3_d496e7149
für	w5_d496e7152
ihren	w7_d496e7155
Nutzen	w9_d496e7158
besser	w11_d496e7161
befinden	w13_d496e7165
wer	w15_d496e7168
den,	w1_d496e7173
in	w3_d496e7176
der	w5_d496e7179
Colonie	w7_d496e7182
verbleiben,	w9_d496e7185
oder	w11_d496e7188
aber	w13_d496e7192
in	w1_d496e7198
Frankreich	w3_d496e7201
zurück	w5_d496e7204
kehren	w7_d496e7207
wollen.	w9_d496e7210
</p>
<p id="p40_d496e7213">
Accordirt,	w1_d496e7217
wann	w3_d496e7220
sie	w5_d496e7223
aber	w7_d496e7226
das	w9_d496e7229
Gouver	w11_d496e7232
nement	w1_d496e7237
der	w3_d496e7240
Colonie	w5_d496e7243
betreffende	w7_d496e7246
Papiere	w9_d496e7249
haben,	w1_d496e7254
werden	w3_d496e7257
sie	w5_d496e7260
uns	w7_d496e7263
selbe	w9_d496e7266
auslieffern.	w11_d496e7269
</p>
<p id="p42_d496e7272">
Art.	w1_d496e7276
22dus.	w3_d496e7279
Wann	w5_d496e7282
etwann	w7_d496e7285
unter	w9_d496e7288
denen	w11_d496e7291
militarischen	w1_d496e7296
Officieren	w3_d496e7299
sich	w5_d496e7302
einige	w7_d496e7305
befinden	w9_d496e7308
solten,	w1_d496e7313
deren	w3_d496e7316
Umstände	w5_d496e7319
unumgänglich	w7_d496e7322
ihre	w9_d496e7325
Gegenwart	w1_d496e7331
bis	w3_d496e7334
auf	w5_d496e7337
das	w7_d496e7340
zukünftige	w9_d496e7343
Jahr	w11_d496e7346
in	w13_d496e7350
der	w1_d496e7355
Colonie	w3_d496e7358
erforderten,	w5_d496e7361
diese	w7_d496e7364
werden,	w9_d496e7367
nach	w11_d496e7370
hierzu	w1_d496e7375
bekommener	w3_d496e7378
Erlaubnuß	w5_d496e7381
von	w7_d496e7384
dem	w9_d496e7387
Mar	w11_d496e7390
quis	w1_d496e7395
von	w3_d496e7398
Vaudrevil	w5_d496e7401
die	w7_d496e7404
Freyheit	w9_d496e7407
haben,	w11_d496e7410
sich	w13_d496e7414
in	w1_d496e7420
der	w3_d496e7423
Colonie	w5_d496e7426
aufzuhalten,	w7_d496e7429
ohne	w9_d496e7432
während	w11_d496e7435
dieser	w1_d496e7440
Zeit	w3_d496e7443
als	w5_d496e7446
Kriegs=gefangene	w7_d496e7449
angesehen	w9_d496e7452
zu	w1_d496e7457
werden.	w3_d496e7460
</p>
<p id="p44_d496e7463">
Alle	w1_d496e7467
diejenige,	w3_d496e7470
die	w5_d496e7473
ihrer	w7_d496e7476
Umstände	w9_d496e7479
we	w11_d496e7482
gen	w1_d496e7487
sich	w3_d496e7490
in	w5_d496e7493
der	w7_d496e7496
Colonie	w9_d496e7499
aufhalten	w11_d496e7502
müssen,	w13_d496e7506
werden	w1_d496e7511
nach	w3_d496e7514
bekommener	w5_d496e7517
Erlaubnuß	w7_d496e7520
von	w9_d496e7523
dem	w1_d496e7529
Marquis	w3_d496e7532
von	w5_d496e7535
Vaudrevil	w7_d496e7538
sich	w9_d496e7541
so	w11_d496e7544
lan	w13_d496e7548
ge	w1_d496e7553
aufhalten	w3_d496e7556
können,	w5_d496e7559
bis	w7_d496e7562
sie	w9_d496e7565
alles	w11_d496e7568
in	w13_d496e7572
Ord	w15_d496e7575
nung	w1_d496e7580
gebracht	w3_d496e7583
haben.	w5_d496e7586
</p>
<p id="p46_d496e7589">
Art.	w1_d496e7593
23tius.	w3_d496e7596
Der	w5_d496e7599
Königl.	w7_d496e7602
Provisions	w9_d496e7605
commissarius	w1_d496e7610
wird	w3_d496e7613
die	w5_d496e7616
Freyheit	w7_d496e7619
haben	w9_d496e7622
bis	w11_d496e7625
Anfangs	w1_d496e7630
künftigen	w3_d496e7633
Jahrs	w5_d496e7636
in	w7_d496e7639
Canada	w9_d496e7642
zu	w11_d496e7645
ver	w13_d496e7649
bleiben,	w1_d496e7655
um	w3_d496e7658
die	w5_d496e7661
Schulden,	w7_d496e7664
so	w9_d496e7667
er	w11_d496e7670
wegen	w13_d496e7674
ver	w15_d496e7677
schiedenen	w1_d496e7682
Lieferungen	w3_d496e7685
in	w5_d496e7688
der	w7_d496e7691
Colonie	w9_d496e7694
hat	w11_d496e7697
machen	w1_d496e7702
müssen,	w3_d496e7705
abzuzahlen,	w5_d496e7708
wann	w7_d496e7711
er	w9_d496e7714
aber	w11_d496e7717
noch	w1_d496e7722
für	w3_d496e7725
dieses	w5_d496e7728
Jahr	w7_d496e7731
lieber	w9_d496e7734
nacher	w11_d496e7737
Frank	w13_d496e7741
reich	w1_d496e7747
gehen	w3_d496e7750
wolte,	w5_d496e7753
so	w7_d496e7756
wird	w9_d496e7759
derselbe	w11_d496e7762
bemüssi	w13_d496e7766
get	w1_d496e7771
seyn,	w3_d496e7774
bis	w5_d496e7777
zukünftiges	w7_d496e7780
Jahr	w9_d496e7783
einen	w11_d496e7786
anderen	w13_d496e7790
an	w1_d496e7795
seiner	w3_d496e7798
Stelle	w5_d496e7801
zuruck	w7_d496e7804
zu	w9_d496e7807
lassen,	w11_d496e7810
welcher	w13_d496e7814
seine	w1_d496e7819
Amtirungen	w3_d496e7822
schlichten	w5_d496e7825
solle.	w7_d496e7828
Dieser	w9_d496e7831
</p>
<p id="p52_d496e7845">
Commissarius	w1_d496e7849
wird	w3_d496e7852
auch	w5_d496e7855
die	w7_d496e7858
Freyheit	w9_d496e7861
be	w11_d496e7864
halten,	w1_d496e7869
seine	w3_d496e7872
Papiere	w5_d496e7875
ohne	w7_d496e7878
von	w9_d496e7881
denen	w11_d496e7884
Englän	w13_d496e7888
dern	w1_d496e7893
vorhero	w3_d496e7896
untersuchen	w5_d496e7899
zu	w7_d496e7902
lassen,	w9_d496e7905
mit	w11_d496e7908
sich	w13_d496e7912
fort	w1_d496e7918
zu	w3_d496e7921
nehmen.	w5_d496e7924
Seinen	w7_d496e7927
Schreibern	w9_d496e7930
wird	w11_d496e7933
es	w1_d496e7938
frey	w3_d496e7941
stehen,	w5_d496e7944
entweders	w7_d496e7947
in	w9_d496e7950
der	w11_d496e7953
Colonie	w13_d496e7957
zu	w15_d496e7960
verbleiben,	w1_d496e7965
oder	w3_d496e7968
aber	w5_d496e7971
nacher	w7_d496e7974
Frankreich	w9_d496e7977
zu	w11_d496e7980
ruck	w1_d496e7985
zu	w3_d496e7988
gehen;	w5_d496e7991
und	w7_d496e7994
im	w9_d496e7997
Falle	w11_d496e8000
sie	w13_d496e8004
das	w15_d496e8007
letztere	w17_d496e8010
erwählen	w1_d496e8016
sollten,	w3_d496e8019
so	w5_d496e8022
wird	w7_d496e8025
man	w9_d496e8028
ihnen	w11_d496e8031
auf	w13_d496e8035
de	w15_d496e8038
nen	w1_d496e8043
Engländischen	w3_d496e8046
Schiffen	w5_d496e8049
nicht	w7_d496e8052
nur	w9_d496e8055
allein	w11_d496e8058
für	w1_d496e8063
ihre	w3_d496e8066
eigene	w5_d496e8069
Personen,	w7_d496e8072
sondern	w9_d496e8075
auch	w11_d496e8078
für	w13_d496e8082
ihre	w1_d496e8087
Famille,	w3_d496e8090
und	w5_d496e8093
Bagagen	w7_d496e8096
Platz	w9_d496e8099
und	w11_d496e8102
Un	w13_d496e8106
terhalt	w1_d496e8112
geben.	w3_d496e8115
Accordirt.	w1_d496e8120
</p>
<p id="p54_d496e8123">
Art.	w1_d496e8127
24tus.	w3_d496e8130
Die	w5_d496e8133
Provisionen,	w7_d496e8136
und	w9_d496e8139
Mu	w11_d496e8142
nition	w1_d496e8147
von	w3_d496e8150
allen	w5_d496e8153
Gattungen,	w7_d496e8156
welche	w9_d496e8159
sich	w11_d496e8162
in	w13_d496e8166
denen	w1_d496e8171
Magazinen	w3_d496e8174
des	w5_d496e8177
oberwehnten	w7_d496e8180
Com	w9_d496e8183
missarii	w1_d496e8189
entweder	w3_d496e8192
in	w5_d496e8195
denen	w7_d496e8198
Städten	w9_d496e8201
Mont	w11_d496e8204
real,	w1_d496e8209
und	w3_d496e8212
Troisripieres,	w5_d496e8215
oder	w7_d496e8218
aber	w9_d496e8221
allent	w11_d496e8224
halben	w1_d496e8229
auf	w3_d496e8232
dem	w5_d496e8235
Lande	w7_d496e8238
sich	w9_d496e8241
befinden,	w11_d496e8244
wird	w13_d496e8248
derselbe	w1_d496e8253
für	w3_d496e8256
sich	w5_d496e8259
behalten	w7_d496e8262
dörfen,	w9_d496e8265
indeme	w11_d496e8268
al	w13_d496e8272
les	w1_d496e8278
dieses	w3_d496e8281
sein	w5_d496e8284
eigen,	w7_d496e8287
und	w9_d496e8290
nichts	w11_d496e8293
dem	w13_d496e8297
König	w15_d496e8300
unserem	w1_d496e8305
Herrn	w3_d496e8308
davon	w5_d496e8311
zugehörig	w7_d496e8314
ist,	w9_d496e8317
es	w11_d496e8320
wird	w13_d496e8324
ihme	w1_d496e8329
auch	w3_d496e8332
freystehen	w5_d496e8335
dieselbe	w7_d496e8338
entweder	w9_d496e8341
de	w11_d496e8344
nen	w1_d496e8349
Franzosen	w3_d496e8352
oder	w5_d496e8355
Engländern	w7_d496e8358
zu	w9_d496e8361
ver	w11_d496e8364
kauffen.	w1_d496e8370
</p>
<p id="p56_d496e8373">
Alles,	w1_d496e8377
was	w3_d496e8380
sich	w5_d496e8383
jetzo	w7_d496e8386
würklich	w9_d496e8389
in	w11_d496e8392
de	w13_d496e8396
nen	w1_d496e8401
Magazinen	w3_d496e8404
zum	w5_d496e8407
Gebrauch	w7_d496e8410
der	w9_d496e8413
Fran	w11_d496e8416
zösischen	w1_d496e8421
Trupen	w3_d496e8424
befindet,	w5_d496e8427
wird	w7_d496e8430
dem	w9_d496e8433
Engländischen	w1_d496e8439
Commissario	w3_d496e8442
für	w5_d496e8445
die	w7_d496e8448
Tru	w9_d496e8451
pen	w1_d496e8456
unseres	w3_d496e8459
Königs	w5_d496e8462
übergeben	w7_d496e8465
werden.	w9_d496e8468
(Die	w1_d496e8473
Fortsetzung	w3_d496e8476
folgt	w5_d496e8479
künftig.)	w7_d496e8482
</p>
<head id="h2_d496e8488">
Neueste	w1_d496e8492
Nachrichten	w3_d496e8495
von	w5_d496e8498
der	w7_d496e8501
unter	w9_d496e8504
Commando	w1_d496e8509
des	w3_d496e8512
Herrn	w5_d496e8515
FeldMar	w7_d496e8518
schallens	w1_d496e8523
Herzogs	w3_d496e8526
von	w5_d496e8529
Broglie	w7_d496e8532
ste	w9_d496e8535
henden	w1_d496e8541
Französischen	w3_d496e8544
Armee,	w5_d496e8547
vom	w1_d496e8552
27.	w3_d496e8555
Octob.	w5_d496e8558
</head>
<p id="p4_d496e8561">
Die	w1_d496e8565
auf	w3_d496e8568
Wesel	w5_d496e8571
gerichtete	w7_d496e8574
Absichten	w9_d496e8577
des	w11_d496e8580
Prinzens	w1_d496e8585
Ferdinand	w3_d496e8588
haben	w5_d496e8591
schon	w7_d496e8594
von	w9_d496e8597
An	w11_d496e8600
fang	w1_d496e8605
an	w3_d496e8608
Unternehmungen	w5_d496e8611
geschienen,	w7_d496e8614
welche	w9_d496e8617
jederzeit	w1_d496e8623
grossen	w3_d496e8626
Schwierigkeiten	w5_d496e8629
ausgesetzet	w7_d496e8632
seyn	w1_d496e8637
würden,	w3_d496e8640
worauf	w5_d496e8643
man	w7_d496e8646
sich	w9_d496e8649
folglich	w11_d496e8652
nicht	w13_d496e8656
bemüssiget	w1_d496e8661
zu	w3_d496e8664
seyn	w5_d496e8667
geglaubt	w7_d496e8670
hätte	w9_d496e8673
eine	w11_d496e8676
so	w13_d496e8680
be	w15_d496e8683
sondere	w1_d496e8688
Acht	w3_d496e8691
zu	w5_d496e8694
haben,	w7_d496e8697
wann	w9_d496e8700
nicht	w11_d496e8703
der	w13_d496e8707
in	w15_d496e8710
da	w17_d496e8713
</p>
<p id="p6_d496e8716">
sige	w1_d496e8720
Gegenden	w3_d496e8723
bestimmte	w5_d496e8726
Suecurs	w7_d496e8729
zu	w9_d496e8732
gleicher	w11_d496e8735
Zeit	w1_d496e8740
die	w3_d496e8743
auf	w5_d496e8746
das	w7_d496e8749
Winter=quartier	w9_d496e8752
zielende	w11_d496e8755
Ab	w13_d496e8759
sichten,	w1_d496e8764
so	w3_d496e8767
man	w5_d496e8770
im	w7_d496e8773
Schilde	w9_d496e8776
führete,	w11_d496e8779
erfüllet	w13_d496e8783
hätte.	w1_d496e8789
Man	w3_d496e8792
ware	w5_d496e8795
also	w7_d496e8798
auf	w9_d496e8801
nichts	w11_d496e8804
mehr	w13_d496e8808
be	w15_d496e8811
dacht,	w1_d496e8816
als	w3_d496e8819
den	w5_d496e8822
Aufbruch	w7_d496e8825
bald	w9_d496e8828
möglichst	w11_d496e8831
zu	w13_d496e8835
machen,	w1_d496e8840
und	w3_d496e8843
den	w5_d496e8846
Marsch	w7_d496e8849
deren	w9_d496e8852
hierzu	w11_d496e8855
aus	w13_d496e8859
ersehenen	w1_d496e8864
Trupen	w3_d496e8867
zu	w5_d496e8870
beschleunigen,	w7_d496e8873
welch	w9_d496e8876
le	w11_d496e8879
tzteres	w1_d496e8885
auf	w3_d496e8888
eine	w5_d496e8891
so	w7_d496e8894
geschwinde	w9_d496e8897
und	w11_d496e8900
glükliche	w13_d496e8904
Weise	w1_d496e8909
zu	w3_d496e8912
Werke	w5_d496e8915
gebracht	w7_d496e8918
worden,	w9_d496e8921
daß	w11_d496e8924
die	w13_d496e8928
selbe	w1_d496e8933
vom	w3_d496e8936
2.	w5_d496e8939
Octobris	w7_d496e8942
an,	w9_d496e8945
da	w11_d496e8948
die	w13_d496e8952
erste	w15_d496e8955
Tru	w17_d496e8958
pen	w1_d496e8963
aufgebrochen,	w3_d496e8966
bis	w5_d496e8969
den	w7_d496e8972
16.	w9_d496e8975
als	w11_d496e8978
an	w13_d496e8982
dem	w15_d496e8985
Tag,	w1_d496e8991
da	w3_d496e8994
dieselbe	w5_d496e8997
geschlagen,	w7_d496e9000
mehr	w9_d496e9003
dann	w11_d496e9006
60.	w13_d496e9010
Meilen	w1_d496e9015
hinter	w3_d496e9018
sich	w5_d496e9021
geleget	w7_d496e9024
haben,	w9_d496e9027
ungeachtet	w11_d496e9030
die	w1_d496e9035
Weege	w3_d496e9038
sehr	w5_d496e9041
unbrauchbar	w7_d496e9044
waren,	w9_d496e9047
und	w11_d496e9050
son	w13_d496e9054
sten	w1_d496e9059
den	w3_d496e9062
Marsch	w5_d496e9065
die	w7_d496e9068
mitgeführte	w9_d496e9071
beträchtigt	w11_d496e9074
Anzahl	w1_d496e9080
der	w3_d496e9083
Artillerie	w5_d496e9086
allenthalben	w7_d496e9089
beschwer	w9_d496e9092
lich	w1_d496e9097
machte.	w3_d496e9100
</p>
<p id="p8_d496e9103">
Die	w1_d496e9107
nämliche	w3_d496e9110
bereits	w5_d496e9113
oben	w7_d496e9116
erwehnte	w9_d496e9119
Ur	w11_d496e9122
sach,	w1_d496e9127
so	w3_d496e9130
uns	w5_d496e9133
den	w7_d496e9136
Marsch	w9_d496e9139
der	w11_d496e9142
alltirten	w13_d496e9146
Tru	w15_d496e9149
pen	w1_d496e9154
gegen	w3_d496e9157
den	w5_d496e9160
Nieder=rhein	w7_d496e9163
sehr	w9_d496e9166
zweifelhaft	w11_d496e9169
gemacht,	w1_d496e9175
hätte	w3_d496e9178
uns	w5_d496e9181
auch	w7_d496e9184
die	w9_d496e9187
Art,	w11_d496e9190
mit	w13_d496e9194
wel	w15_d496e9197
cher	w1_d496e9202
wir	w3_d496e9205
einen	w5_d496e9208
solchen	w7_d496e9211
Marsch	w9_d496e9214
bewerkstell	w11_d496e9217
gen	w1_d496e9222
müssen,	w3_d496e9225
um	w5_d496e9228
so	w7_d496e9231
viel	w9_d496e9234
mehr	w11_d496e9237
vereitten	w13_d496e9241
kon	w15_d496e9244
nen,	w1_d496e9249
als	w3_d496e9252
es	w5_d496e9255
gleichmaßig	w7_d496e9258
gefährlich	w9_d496e9261
ware	w11_d496e9264
sowol	w1_d496e9270
das	w3_d496e9273
bey	w5_d496e9276
Cassel	w7_d496e9279
stehende	w9_d496e9282
Corps=d	w11_d496e9285
Ar	w13_d496e9289
mee	w1_d496e9294
zu	w3_d496e9297
schwächen,	w5_d496e9300
als	w7_d496e9303
aber	w9_d496e9306
für	w11_d496e9309
die	w13_d496e9313
Sicherben	w15_d496e9316
der	w1_d496e9321
an	w3_d496e9324
dem	w5_d496e9327
Unter=rhein	w7_d496e9330
ligenden	w9_d496e9333
Plätzen	w11_d496e9336
nicht	w13_d496e9340
genugsam	w1_d496e9345
zu	w3_d496e9348
wachen,	w5_d496e9351
und	w7_d496e9354
bevorab	w9_d496e9357
dazu	w11_d496e9360
allen	w13_d496e9364
Uverfluß	w1_d496e9370
zu	w3_d496e9373
beforchten	w5_d496e9376
ware,	w7_d496e9379
es	w9_d496e9382
möchte	w11_d496e9385
der	w13_d496e9389
Prinz	w1_d496e9394
Ferdinand,	w3_d496e9397
welchem	w5_d496e9400
seine	w7_d496e9403
Mittel	w9_d496e9406
position	w1_d496e9411
immer	w3_d496e9414
einen	w5_d496e9417
Vorsprung	w7_d496e9420
von	w9_d496e9423
4.	w11_d496e9426
bis	w13_d496e9430
5.	w1_d496e9435
Marschen	w3_d496e9438
giebet,	w5_d496e9441
auf	w7_d496e9444
die	w9_d496e9447
erhaltene	w11_d496e9450
Nach	w13_d496e9454
richt,	w1_d496e9460
daß	w3_d496e9463
ein	w5_d496e9466
beträchtlicher	w7_d496e9469
Theil	w9_d496e9472
unserer	w11_d496e9475
Trupen	w1_d496e9480
gegen	w3_d496e9483
Cölln,	w5_d496e9486
und	w7_d496e9489
Düsseldorf	w9_d496e9492
im	w11_d496e9495
An	w13_d496e9499
marsch	w1_d496e9504
begriffen	w3_d496e9507
seye,	w5_d496e9510
sich	w7_d496e9513
ganz	w9_d496e9516
unversehens	w11_d496e9519
mit	w1_d496e9524
dem	w3_d496e9527
rechten,	w5_d496e9530
und	w7_d496e9533
linken	w9_d496e9536
Flügel	w11_d496e9539
in	w13_d496e9543
Hessen	w15_d496e9546
und	w1_d496e9552
das	w3_d496e9555
Hanovrische	w5_d496e9558
werfen	w7_d496e9561
möchte.	w9_d496e9564
Diese	w11_d496e9567
Position	w1_d496e9572
verursachte,	w3_d496e9575
daß	w5_d496e9578
wir	w7_d496e9581
unsere	w9_d496e9584
Vor	w11_d496e9587
kehrungen	w1_d496e9592
sehr	w3_d496e9595
behutsam	w5_d496e9598
anfangen	w7_d496e9601
musten;	w9_d496e9604
Jndessen	w1_d496e9609
aber	w3_d496e9612
hat	w5_d496e9615
sich	w7_d496e9618
unser	w9_d496e9621
Herr	w11_d496e9624
Feldmar	w13_d496e9628
schall,	w1_d496e9634
seinem	w3_d496e9637
zu	w5_d496e9640
Anfang	w7_d496e9643
des	w9_d496e9646
Feld=zugs	w11_d496e9649
gemachten	w1_d496e9654
Plan	w3_d496e9657
gemäß,	w5_d496e9660
niemalen	w7_d496e9663
zu	w9_d496e9666
glei	w11_d496e9669
cher	w1_d496e9674
</p>
<p id="p12_d496e9680">
cher	w1_d496e9684
Zeit	w3_d496e9687
zwey	w5_d496e9690
Haupt=unternehmungen	w7_d496e9693
aus	w9_d496e9696
zuführen,	w1_d496e9701
welches	w3_d496e9704
ihn	w5_d496e9707
allenthalben	w7_d496e9710
würde	w9_d496e9713
ge	w11_d496e9716
schwächet	w1_d496e9721
haben,	w3_d496e9724
mit	w5_d496e9727
dem	w7_d496e9730
allein	w9_d496e9733
befriediget,	w11_d496e9736
dem	w1_d496e9742
alliirten	w3_d496e9745
Corps	w5_d496e9748
am	w7_d496e9751
Unter=rhein	w9_d496e9754
einen	w11_d496e9757
be	w13_d496e9761
trätlichen	w1_d496e9766
Hauf	w3_d496e9769
Trupen	w5_d496e9772
entgegen	w7_d496e9775
zu	w9_d496e9778
stellen,	w11_d496e9781
und	w1_d496e9786
da	w3_d496e9789
er	w5_d496e9792
keinesweegs	w7_d496e9795
gesonnen	w9_d496e9798
ware,	w11_d496e9801
gleichwie	w1_d496e9806
sich	w3_d496e9809
allem	w5_d496e9812
Ansehen	w7_d496e9815
nach	w9_d496e9818
die	w11_d496e9821
Feinde	w13_d496e9825
vorgestellet	w1_d496e9831
haben,	w3_d496e9834
Hessen	w5_d496e9837
zu	w7_d496e9840
verlassen,	w9_d496e9843
so	w11_d496e9846
hat	w1_d496e9851
er	w3_d496e9854
die	w5_d496e9857
rechte	w7_d496e9860
Reserve	w9_d496e9863
in	w11_d496e9866
dem	w13_d496e9870
Hanöveri	w15_d496e9873
schen	w1_d496e9878
verstärket,	w3_d496e9881
und	w5_d496e9884
in	w7_d496e9887
dem	w9_d496e9890
Halberstäd	w11_d496e9893
tisch	w1_d496e9898
und	w3_d496e9901
Braunschweigischen	w5_d496e9904
mit	w7_d496e9907
dem	w9_d496e9910
Fein	w11_d496e9913
de	w1_d496e9919
eine	w3_d496e9922
starke	w5_d496e9925
Diversion	w7_d496e9928
angefangen,	w9_d496e9931
zu	w11_d496e9934
welcher	w1_d496e9939
auch	w3_d496e9942
das	w5_d496e9945
von	w7_d496e9948
dem	w9_d496e9951
Herrn	w11_d496e9954
von	w13_d496e9958
Stein	w15_d496e9961
ville	w1_d496e9966
commandirte	w3_d496e9969
Corps	w5_d496e9972
ist	w7_d496e9975
detaschiret	w9_d496e9978
wor	w11_d496e9981
den,	w1_d496e9986
man	w3_d496e9989
weiß	w5_d496e9992
noch	w7_d496e9995
nicht,	w9_d496e9998
wie	w11_d496e10001
diese	w13_d496e10005
Un	w15_d496e10008
ternehmung	w1_d496e10014
etwann	w3_d496e10017
abgeloffen	w5_d496e10020
seyn	w7_d496e10023
dörfte.	w9_d496e10026
Was	w1_d496e10031
den	w3_d496e10034
Unter=rhein	w5_d496e10037
anbelanget,	w7_d496e10040
so	w9_d496e10043
hat	w11_d496e10046
der	w13_d496e10050
Marquis	w1_d496e10055
von	w3_d496e10058
Castries,	w5_d496e10061
der	w7_d496e10064
bis	w9_d496e10067
Cöln	w11_d496e10070
voraus	w13_d496e10074
gegangen,	w1_d496e10079
gleich	w3_d496e10082
nach	w5_d496e10085
beschehner	w7_d496e10088
Ankunft	w9_d496e10091
der	w1_d496e10097
Trupen,	w3_d496e10100
so	w5_d496e10103
der	w7_d496e10106
Hr.	w9_d496e10109
Feld=marschall	w11_d496e10112
allda	w13_d496e10116
hin	w1_d496e10121
abgesendet,	w3_d496e10124
und	w5_d496e10127
welche	w7_d496e10130
mit	w9_d496e10133
einer	w11_d496e10136
un	w13_d496e10140
glaublichen	w1_d496e10145
Geschwindigkeit,	w3_d496e10148
den	w5_d496e10151
Marsch	w7_d496e10154
ge	w9_d496e10157
macht,	w1_d496e10162
alles	w3_d496e10165
Nöhtige	w5_d496e10168
für	w7_d496e10171
dieselbe	w9_d496e10174
veranstal	w11_d496e10177
tet,	w1_d496e10183
und	w3_d496e10186
nachdeme	w5_d496e10189
er	w7_d496e10192
bey	w9_d496e10195
der	w11_d496e10198
Ankunft	w13_d496e10202
deren	w15_d496e10205
ersten	w1_d496e10210
Divisionen	w3_d496e10213
vernommen,	w5_d496e10216
daß	w7_d496e10219
der	w9_d496e10222
Erb	w11_d496e10225
prinz	w1_d496e10230
mit	w3_d496e10233
aller	w5_d496e10236
Heftigkeit	w7_d496e10239
Wesel	w9_d496e10242
zu	w11_d496e10245
belage	w13_d496e10249
ren	w1_d496e10254
anfange,	w3_d496e10257
ist	w5_d496e10260
er	w7_d496e10263
mit	w9_d496e10266
möglichster	w11_d496e10269
Eile	w13_d496e10273
nacher	w15_d496e10276
Neuß	w1_d496e10282
abmarschiret,	w3_d496e10285
hat	w5_d496e10288
alldorten	w7_d496e10291
den	w9_d496e10294
13.	w11_d496e10297
36.	w1_d496e10302
Bataillonen,	w3_d496e10305
und	w5_d496e10308
32.	w7_d496e10311
Escadrons	w9_d496e10314
zusam	w11_d496e10317
men	w1_d496e10322
genommen,	w3_d496e10325
und	w5_d496e10328
ist	w7_d496e10331
mit	w9_d496e10334
selben	w11_d496e10337
den	w13_d496e10341
14.	w15_d496e10344
nacher	w1_d496e10349
Moers,	w3_d496e10352
den	w5_d496e10355
15.	w7_d496e10358
aber	w9_d496e10361
nacher	w11_d496e10364
Rhein	w13_d496e10368
berg	w1_d496e10374
gekommen,	w3_d496e10377
allwo	w5_d496e10380
er	w7_d496e10383
einen	w9_d496e10386
beträchti	w11_d496e10389
gen	w1_d496e10394
feindlichen	w3_d496e10397
Posten	w5_d496e10400
angegriffen,	w7_d496e10403
und	w9_d496e10406
den	w11_d496e10409
selben	w1_d496e10414
mit	w3_d496e10417
grossem	w5_d496e10420
Verlust	w7_d496e10423
der	w9_d496e10426
Alliirten	w11_d496e10429
ver	w13_d496e10433
trieben	w1_d496e10438
hat.	w3_d496e10441
</p>
<p id="p14_d496e10444">
Hierauf	w1_d496e10448
hat	w3_d496e10451
der	w5_d496e10454
Prinz	w7_d496e10457
Ferdinand,	w9_d496e10460
wel	w11_d496e10463
cher	w1_d496e10468
sich	w3_d496e10471
wahrscheinlicher	w5_d496e10474
Weise	w7_d496e10477
nimmer	w9_d496e10480
mehr	w1_d496e10485
eine	w3_d496e10488
solche	w5_d496e10491
Eilfertigkeit	w7_d496e10494
von	w9_d496e10497
Seiten	w11_d496e10500
der	w1_d496e10506
Französischen	w3_d496e10509
Trupen	w5_d496e10512
wird	w7_d496e10515
eingebildet	w9_d496e10518
haben,	w1_d496e10523
den	w3_d496e10526
14.	w5_d496e10529
Dieses	w7_d496e10532
mit	w9_d496e10535
dem	w11_d496e10538
meisten	w13_d496e10542
Theil	w1_d496e10547
seiner	w3_d496e10550
Trupen	w5_d496e10553
das	w7_d496e10556
Lager	w9_d496e10559
vor	w11_d496e10562
Wesel	w13_d496e10566
aufgehoben.	w1_d496e10571
Den	w3_d496e10574
folgenden	w5_d496e10577
Tag	w7_d496e10580
darauf,	w9_d496e10583
als	w1_d496e10589
den	w3_d496e10592
15.	w5_d496e10595
hat	w7_d496e10598
er	w9_d496e10601
bey	w11_d496e10604
Kanten	w13_d496e10608
den	w15_d496e10611
Rhein	w17_d496e10614
</p>
<p id="p16_d496e10617">
paßiret,	w1_d496e10621
und	w3_d496e10624
alsdann	w5_d496e10627
den	w7_d496e10630
16.	w9_d496e10633
bey	w11_d496e10636
anbres	w13_d496e10640
chendem	w1_d496e10645
Tag	w3_d496e10648
den	w5_d496e10651
Marquis	w7_d496e10654
von	w9_d496e10657
Castries	w11_d496e10660
hin	w13_d496e10664
ter	w1_d496e10669
dem	w3_d496e10672
Canal	w5_d496e10675
von	w7_d496e10678
Rheinberg,	w9_d496e10681
allwo	w11_d496e10684
nicht	w13_d496e10688
mehr,	w1_d496e10694
dann	w3_d496e10697
18.	w5_d496e10700
Bataillonen	w7_d496e10703
kürzlich	w9_d496e10706
ange	w11_d496e10709
langet	w1_d496e10714
waren,	w3_d496e10717
in	w5_d496e10720
dem	w7_d496e10723
Lager	w9_d496e10726
angegriffen.	w11_d496e10729
</p>
<p id="p18_d496e10732">
Das	w1_d496e10736
Fischerische	w3_d496e10739
Corps,	w5_d496e10742
welches	w7_d496e10745
in	w9_d496e10748
der	w11_d496e10751
Abtey	w1_d496e10756
Closter	w3_d496e10759
Camp	w5_d496e10762
stunde,	w7_d496e10765
ist	w9_d496e10768
nach	w11_d496e10771
einem	w13_d496e10775
hartnäckigen	w1_d496e10780
Widerstand	w3_d496e10783
daraus	w5_d496e10786
delogiret	w7_d496e10789
worden,	w1_d496e10795
der	w3_d496e10798
