<doc id="wr_1757-04-06" attrs="word" year="1757" month="04" day="06" corpus="2">
<head id="h2_d132e3822">
Neapel	w1_d132e3826
de	w3_d132e11623
Paula	w5_d132e11626
Festes,	w7_d132e11629
dem	w9_d132e11632
feyerlichen	w11_d132e11635
GOttes=dienst	w1_d132e11640
beygewohnet,	w3_d132e11643
sodann	w5_d132e11646
bey	w7_d132e11649
Zu	w9_d132e11652
ruckkehrung	w1_d132e11658
in	w3_d132e11661
die	w5_d132e11664
Burg	w7_d132e11667
ist	w9_d132e11670
gegen	w11_d132e11673
Mittag	w13_d132e11677
die	w15_d132e11680
Hoch=fürstl.	w1_d132e11685
Ellwangische	w3_d132e11688
Belehnung	w5_d132e11691
coram	w7_d132e11694
Throno	w1_d132e11699
Cäsareo	w3_d132e11702
mit	w5_d132e11705
dem	w7_d132e11708
gewöhnlichen	w9_d132e11711
Ce	w11_d132e11714
moniel	w1_d132e11719
begangen	w3_d132e11722
worden,	w5_d132e11725
bey	w7_d132e11728
welcher	w9_d132e11731
(Tit.)	w11_d132e11734
Hr.	w1_d132e11740
Graf	w3_d132e11743
von	w5_d132e11746
Daun	w7_d132e11749
dasigen	w9_d132e11752
Fürstl.	w11_d132e11755
Stifts	w13_d132e11759
Capitularis	w1_d132e11764
rc.	w3_d132e11767
die	w5_d132e11770
Anrede,	w7_d132e11773
der	w9_d132e11776
Reichs=agent	w11_d132e11779
Hr.	w1_d132e11784
von	w3_d132e11787
Wollau	w5_d132e11790
aber	w7_d132e11793
die	w9_d132e11796
Danksagung	w11_d132e11799
ge	w13_d132e11803
macht.	w1_d132e11808
</p>
<p id="p6_d132e11811">
Den	w1_d132e11815
3.	w3_d132e11818
April,	w5_d132e11821
als	w7_d132e11824
am	w9_d132e11827
Palm=sonntag	w11_d132e11830
vor	w13_d132e11834
mittags,	w1_d132e11839
haben	w3_d132e11842
beede	w5_d132e11845
Kaiserl.	w7_d132e11848
Majestäten	w9_d132e11851
mit	w1_d132e11856
Jhren	w3_d132e11859
Königl.	w5_d132e11862
Hoheiten	w7_d132e11865
dem	w9_d132e11868
Durchl.	w11_d132e11871
Cron	w1_d132e11877
und	w3_d132e11880
Erb=prinzen	w5_d132e11883
Erz=herzogen	w7_d132e11886
Joseph	w9_d132e11889
und	w1_d132e11894
der	w3_d132e11897
Durchleuchtigsten	w5_d132e11900
Erz=herzogin	w7_d132e11903
Maria	w9_d132e11906
Christina	w1_d132e11911
über	w3_d132e11914
den	w5_d132e11917
neuen	w7_d132e11920
Gang	w9_d132e11923
zu	w11_d132e11926
denen	w13_d132e11930
P.	w15_d132e11933
P.	w17_d132e11936
Augustinern	w1_d132e11941
sich	w3_d132e11944
begeben,	w5_d132e11947
und	w7_d132e11950
allda	w9_d132e11953
der	w11_d132e11956
von	w13_d132e11960
Sr.	w1_d132e11966
Excellenz	w3_d132e11969
dem	w5_d132e11972
Päpstl.	w7_d132e11975
Monsig	w9_d132e11978
Nuntio	w11_d132e11981
gehaltenen	w1_d132e11986
Palm=weihung,	w3_d132e11989
dann	w5_d132e11992
der	w7_d132e11995
Pro	w9_d132e11998
ceßion	w1_d132e12003
in	w3_d132e12006
der	w5_d132e12009
besagten	w7_d132e12012
Kirchen,	w9_d132e12015
der	w11_d132e12018
Predig	w13_d132e12022
und	w1_d132e12027
Paßion	w3_d132e12030
Amt	w5_d132e12033
beygewohnet,	w7_d132e12036
nachmittags	w9_d132e12039
aber	w1_d132e12045
seynd	w3_d132e12048
Allerhöchste	w5_d132e12051
Herrschaften	w7_d132e12054
in	w9_d132e12057
offent	w11_d132e12060
lichen	w1_d132e12065
Staat	w3_d132e12068
zu	w5_d132e12071
denen	w7_d132e12074
PP.	w9_d132e12077
Capucinern	w11_d132e12080
al	w13_d132e12084
</p>
<p id="p8_d132e12087">
gefahren,	w1_d132e12091
und	w3_d132e12094
haben	w5_d132e12097
allda	w7_d132e12100
in	w9_d132e12103
abermaliger	w11_d132e12106
Er	w13_d132e12110
scheinung	w1_d132e12115
des	w3_d132e12118
Päpstl.	w5_d132e12121
Monsig	w7_d132e12124
Nuntii,	w9_d132e12127
bey	w11_d132e12130
würdigsten	w1_d132e12135
Gut,	w3_d132e12138
der	w5_d132e12141
dem	w1_d132e12147
ausgesetzten	w3_d132e12150
Hochn	w5_d132e12153
Vesper	w1_d132e12158
abgewarttet.	w3_d132e12161
</p>
<p id="p10_d132e12164">
Montags	w1_d132e12168
den	w3_d132e12171
4.	w5_d132e12174
dieses.	w7_d132e12177
Nach	w9_d132e12180
dem	w11_d132e12183
ordi	w13_d132e12187
naire	w1_d132e12192
GOttes=dienst	w3_d132e12195
seynd	w5_d132e12198
beede	w7_d132e12201
Kaiserl.	w9_d132e12204
Majestäten	w1_d132e12209
mit	w3_d132e12212
Staats	w5_d132e12215
und	w7_d132e12218
Landesanli	w9_d132e12221
genheiten	w1_d132e12227
mehrmalen	w3_d132e12230
beschäftiget	w5_d132e12233
gewesen.	w7_d132e12236
</p>
<p id="p12_d132e12240">
Dienstags	w1_d132e12244
den	w3_d132e12247
5.	w5_d132e12250
dito	w7_d132e12253
fruh	w9_d132e12256
um	w11_d132e12259
8.	w13_d132e12263
Uhr	w15_d132e12266
seyn	w17_d132e12269
Seine	w1_d132e12274
Majestät	w3_d132e12277
der	w5_d132e12280
Kaiser	w7_d132e12283
in	w9_d132e12286
Vortrettung	w11_d132e12289
de	w13_d132e12293
ren	w1_d132e12298
Herrn	w3_d132e12301
Cammerern,	w5_d132e12304
geheimen	w7_d132e12307
Rähten,	w9_d132e12310
und	w11_d132e12313
Begleitung	w1_d132e12319
Seiner	w3_d132e12322
Excellenz	w5_d132e12325
des	w7_d132e12328
Päpstlichen	w9_d132e12331
Monsig.	w1_d132e12336
Nuntii	w3_d132e12339
von	w5_d132e12342
Hof	w7_d132e12345
aus	w9_d132e12348
nacher	w11_d132e12351
Hernals	w13_d132e12355
(allwohin	w1_d132e12360
Jhre	w3_d132e12363
Majestät	w5_d132e12366
die	w7_d132e12369
Kaiserin	w9_d132e12372
nachge	w11_d132e12375
fahren)	w1_d132e12380
zu	w3_d132e12383
Fuß	w5_d132e12386
abgegangen,	w7_d132e12389
und	w9_d132e12392
haben	w11_d132e12395
al	w13_d132e12399
da	w1_d132e12405
dem	w3_d132e12408
Paßion=amt,	w5_d132e12411
und	w7_d132e12414
hierauf	w9_d132e12417
bey	w11_d132e12420
dem	w13_d132e12424
Heil.	w1_d132e12429
Grab	w3_d132e12432
einer	w5_d132e12435
stillen	w7_d132e12438
Meß,	w9_d132e12441
sodann	w11_d132e12444
bey	w13_d132e12448
Zu	w15_d132e12451
ruck=kehrung	w1_d132e12456
in	w3_d132e12459
die	w5_d132e12462
Burg	w7_d132e12465
einer	w9_d132e12468
Conferenz	w11_d132e12471
bey	w13_d132e12475
gewohnet,	w1_d132e12480
nach	w3_d132e12483
solcher	w5_d132e12486
aber	w7_d132e12489
hat	w9_d132e12492
Seine	w11_d132e12495
Ex	w13_d132e12499
cellenz	w1_d132e12505
Titl.	w3_d132e12508
Herr	w5_d132e12511
Emerich	w7_d132e12514
Graf	w9_d132e12517
v.	w11_d132e12520
Bathiany	w13_d132e12524
bey	w1_d132e12529
Jhrer	w3_d132e12532
Kaiserl.	w5_d132e12535
Königl.	w7_d132e12538
Majestät	w9_d132e12541
das	w11_d132e12544
Ju	w13_d132e12548
rament	w1_d132e12553
als	w3_d132e12556
Dero	w5_d132e12559
würklich	w7_d132e12562
geheimer	w9_d132e12565
Raht	w11_d132e12568
ab	w13_d132e12572
geleget.	w1_d132e12577
</p>
<p id="p14_d132e12580">
Ansonsten	w1_d132e12584
befinden	w3_d132e12587
sich	w5_d132e12590
Jhre	w7_d132e12593
Königl.	w9_d132e12596
Ho	w11_d132e12599
heit	w1_d132e12604
die	w3_d132e12607
Durchl.	w5_d132e12610
Erz=herzogin	w7_d132e12613
Maria	w9_d132e12616
Anna	w11_d132e12619
abermal	w1_d132e12624
an	w3_d132e12627
dem	w5_d132e12630
Fieber	w7_d132e12633
behtligerig.	w9_d132e12636
</p>
<p id="p16_d132e12639">
Ubrigens	w1_d132e12643
hat	w3_d132e12646
Mittwochs,	w5_d132e12649
Donnerstags,	w7_d132e12652
und	w1_d132e12657
Freytags	w3_d132e12660
voriger	w5_d132e12663
Woche	w7_d132e12666
eine	w9_d132e12669
unter	w11_d132e12672
dem	w13_d132e12676
Titul	w1_d132e12681
deren	w3_d132e12684
7.	w5_d132e12687
Schmerzen	w7_d132e12690
in	w9_d132e12693
der	w11_d132e12696
Kirche	w13_d132e12700
U	w15_d132e12703
L.	w17_d132e12706
Frauen	w1_d132e12712
zu	w3_d132e12715
denen	w5_d132e12718
Schotten	w7_d132e12721
alhier	w9_d132e12724
nach	w11_d132e12727
ihrer	w13_d132e12731
im	w1_d132e12736
Jahr	w3_d132e12739
1707.	w5_d132e12742
von	w7_d132e12745
7.	w9_d132e12748
Stiftern	w11_d132e12751
beschehenen	w13_d132e12755
Aufrichtung	w1_d132e12760
ihr	w3_d132e12763
erstes	w5_d132e12766
50.	w7_d132e12769
Jähriges	w9_d132e12772
Jubi	w11_d132e12775
läum	w1_d132e12780
mit	w3_d132e12783
einer	w5_d132e12786
3.	w7_d132e12789
tägig=feyerlichen	w9_d132e12792
Andacht	w11_d132e12795
und	w1_d132e12801
anfänglichen	w3_d132e12804
Proceßion	w5_d132e12807
über	w7_d132e12810
den	w9_d132e12813
Hof	w11_d132e12816
und	w13_d132e12820
Kohl=markt,	w1_d132e12825
durch	w3_d132e12828
die	w5_d132e12831
Kaiserl.	w7_d132e12834
Burg,	w9_d132e12837
sodann	w11_d132e12840
durch	w1_d132e12845
die	w3_d132e12848
sogenannte	w5_d132e12851
Schaufler	w7_d132e12854
und	w9_d132e12857
Herren	w11_d132e12860
gassen	w1_d132e12865
in	w3_d132e12868
besagte	w5_d132e12871
Kirche	w7_d132e12874
zuruck	w9_d132e12877
auferbaulichst	w11_d132e12880
begangen.	w1_d132e12886
Nebst	w3_d132e12889
der	w5_d132e12892
inwendigen	w7_d132e12895
Beleuchtung	w9_d132e12898
der	w1_d132e12903
Kirche,	w3_d132e12906
auch	w5_d132e12909
Auszierung	w7_d132e12912
deren	w9_d132e12915
beyden	w11_d132e12918
Kir	w13_d132e12922
chen=eingängen	w1_d132e12927
mit	w3_d132e12930
Jnschriften	w5_d132e12933
und	w7_d132e12936
Gemähl	w9_d132e12939
den,	w1_d132e12944
hat	w3_d132e12947
insonderheit	w5_d132e12950
die	w7_d132e12953
auf	w9_d132e12956
dem	w11_d132e12959
Hoh=altar	w13_d132e12963
angebrachte	w1_d132e12969
glatte	w3_d132e12972
Jahrs=schrift:	w5_d132e12975
Mater	w7_d132e12978
Do-	w9_d132e12981
Lorosa	w1_d132e12986
ora	w3_d132e12989
pro	w5_d132e12992
nobls	w7_d132e12995
peCCatorlbVs	w9_d132e12998
einen	w11_d132e13001
allgemeinen	w1_d132e13006
Beyfall	w3_d132e13009
erhalten.	w5_d132e13012
</p>
<p id="p18_d132e13015">
Heute	w1_d132e13019
Vormittag	w3_d132e13022
seynd	w5_d132e13025
236.	w7_d132e13028
Mann	w9_d132e13031
aus	w11_d132e13034
Hungarn	w1_d132e13039
angelangte	w3_d132e13042
wol=equipirte	w5_d132e13045
Fürstlich	w7_d132e13048
Esterhazysche	w1_d132e13053
Hussaren	w3_d132e13056
über	w5_d132e13059
die	w7_d132e13062
steinerne	w9_d132e13065
Bru	w11_d132e13068
cken	w1_d132e13074
vor	w3_d132e13077
dem	w5_d132e13080
Kärntner=thor	w7_d132e13083
vorbey	w9_d132e13086
marschieret,	w11_d132e13089
welche	w1_d132e13094
sodann	w3_d132e13097
über	w5_d132e13100
die	w7_d132e13103
Donau=brücken	w9_d132e13106
ihren	w11_d132e13109
Marsch	w1_d132e13114
zu	w3_d132e13117
der	w5_d132e13120
Kaiserl.	w7_d132e13123
Königl.	w9_d132e13126
Armee	w11_d132e13129
nacher	w13_d132e13133
Böheim	w1_d132e13138
weiter	w3_d132e13141
fortgesetzet	w5_d132e13144
haben.	w7_d132e13147
</p>
<head id="h4_d132e13155">
Lista	w1_d132e13159
deren	w3_d132e13162
Verstorbenen	w5_d132e13165
zu	w7_d132e13168
Wien	w9_d132e13171
in	w1_d132e13176
und	w3_d132e13179
vor	w5_d132e13182
der	w7_d132e13185
Stadt	w9_d132e13188
Den	w1_d132e13193
2.	w3_d132e13196
April.	w5_d132e13199
Jn	w1_d132e13205
der	w3_d132e13208
Stadt.	w5_d132e13211
</head>
<list id="l6_d132e13214">
Dem	w1_d132e13218
Hrn.	w3_d132e13221
Andre	w5_d132e13224
Gschöpf,	w7_d132e13227
K.	w9_d132e13230
K.	w11_d132e13233
Sumel.,	w13_d132e13237
s.	w15_d132e13240
K.	w17_d132e13243
Carl,	w19_d132e13246
beym	w1_d132e13251
gold.	w3_d132e13254
Kreutz	w5_d132e13257
in	w7_d132e13260
der	w9_d132e13263
Johannes=gas.,	w11_d132e13266
alt	w13_d132e13270
4.	w15_d132e13273
J.	w17_d132e13276
Elisad.	w1_d132e13281
Ramlerin,	w3_d132e13284
ledig,	w5_d132e13287
im	w7_d132e13290
Schmidis.	w9_d132e13293
H.	w11_d132e13296
in	w13_d132e13300
der	w15_d132e13303
Römerstr.,	w1_d132e13309
alt	w3_d132e13312
36.	w5_d132e13315
J.	w7_d132e13318
</list>
<head id="h2_d132e13326">
Vor	w1_d132e13330
der	w3_d132e13333
Stadt.	w5_d132e13336
</head>
<list id="l4_d132e13339">
Dem	w1_d132e13343
dern	w3_d132e13346
Gotftied	w5_d132e13349
Anton	w7_d132e13352
Frely,	w9_d132e13355
Fürst	w11_d132e13358
Liechtensteinis.	w1_d132e13363
Amts=verwalt.	w3_d132e13366
im	w5_d132e13369
Liechtenth.,	w7_d132e13372
s.	w9_d132e13375
Fr.	w1_d132e13380
Maria	w3_d132e13383
Anna,	w5_d132e13386
geb.	w7_d132e13389
Reichgruberin,	w9_d132e13392
im	w11_d132e13395
Ver	w13_d132e13399
walter=amt	w1_d132e13405
alda,	w3_d132e13408
alt	w5_d132e13411
24.	w7_d132e13414
J.	w9_d132e13417
Dem	w1_d132e13422
Hrn.	w3_d132e13425
Joach.	w5_d132e13428
Holzius,	w7_d132e13431
K.	w9_d132e13434
K.	w11_d132e13437
General	w13_d132e13441
fortifica	w15_d132e13444
tions=cassa=amts=schreib.,	w1_d132e13449
s.	w3_d132e13452
K.	w5_d132e13455
Anna,	w7_d132e13458
beym	w9_d132e13461
rot.	w11_d132e13464
Apfel	w1_d132e13469
auf	w3_d132e13472
der	w5_d132e13475
Wied.,	w7_d132e13478
alt	w9_d132e13481
7.	w11_d132e13484
v.	w13_d132e13488
J.	w15_d132e13491
Cathar.	w1_d132e13497
Lindtnerin,	w3_d132e13500
Burgerl.	w5_d132e13503
Wittwe,	w7_d132e13506
beym	w9_d132e13509
gold.	w11_d132e13512
Hirsch.	w1_d132e13517
auf	w3_d132e13520
der	w5_d132e13523
Wred.,	w7_d132e13526
alt	w9_d132e13529
57.	w11_d132e13532
J	w13_d132e13536
Dem	w1_d132e13541
Simon	w3_d132e13544
Bucher,	w5_d132e13547
Schneid.,	w7_d132e13550
s.	w9_d132e13553
K.	w11_d132e13556
Rosina,	w13_d132e13560
im	w15_d132e13563
Ledereris.	w1_d132e13568
H.	w3_d132e13571
in	w5_d132e13574
der	w7_d132e13577
Josephst.,	w9_d132e13580
alt	w11_d132e13583
4.	w13_d132e13587
J.	w15_d132e13590
Lorenz	w1_d132e13596
Sedlach,	w3_d132e13599
Lack.,	w5_d132e13602
beym	w7_d132e13605
grün.	w9_d132e13608
Kranz	w11_d132e13611
auf	w13_d132e13615
der	w15_d132e13618
Wied.,	w1_d132e13623
alt	w3_d132e13626
52.	w5_d132e13629
J.	w7_d132e13632
Joh.	w1_d132e13637
Pramer,	w3_d132e13640
alt	w5_d132e13643
15.	w7_d132e13646
J.,	w9_d132e13649
in	w11_d132e13652
U.	w13_d132e13656
L.	w15_d132e13659
Frauen=spit.	w17_d132e13662
Dem	w1_d132e13667
Sebast.	w3_d132e13670
Flach,	w5_d132e13673
Holz=scheib.,	w7_d132e13676
s.	w9_d132e13679
K.	w11_d132e13682
Rosal.,	w13_d132e13686
im	w15_d132e13689
Kaiser=stabel	w1_d132e13695
in	w3_d132e13698
der	w5_d132e13701
Rossau,	w7_d132e13704
alt	w9_d132e13707
3.	w11_d132e13710
J.	w13_d132e13714
Dem	w1_d132e13719
Fried.	w3_d132e13722
Schachtner,	w5_d132e13725
Schwein=treib.,	w7_d132e13728
s.	w9_d132e13731
W.	w11_d132e13734
Barb.,	w1_d132e13739
im	w3_d132e13742
Fleisch=selkeris.	w5_d132e13745
H.	w7_d132e13748
auf	w9_d132e13751
der	w11_d132e13754
Landstr.	w13_d132e13758
|	w15_d132e13761
alt	w1_d132e13766
24.	w3_d132e13769
J.	w5_d132e13772
Dem	w1_d132e13778
Jos.	w3_d132e13781
Rigsch,	w5_d132e13784
Tagw.,	w7_d132e13787
s.	w9_d132e13790
K.	w11_d132e13793
Theres.,	w13_d132e13797
im	w15_d132e13800
Feß	w17_d132e13803
lis.	w1_d132e13808
H.	w3_d132e13811
auf	w5_d132e13814
der	w7_d132e13817
Wied.,	w9_d132e13820
alt	w11_d132e13823
5.	w13_d132e13827
v.	w15_d132e13830
J.	w17_d132e13833
</list>
<head id="h2_d132e13840">
Summa	w1_d132e13844
11.	w3_d132e13847
Person.,	w5_d132e13850
darunter	w7_d132e13853
5.	w9_d132e13856
Kinder.	w11_d132e13859
Den	w1_d132e13864
3.	w3_d132e13867
April.	w5_d132e13870
Jn	w1_d132e13875
der	w3_d132e13878
Stadt.	w5_d132e13881
</head>
<list id="l4_d132e13884">
Hr.	w1_d132e13888
Bernh.	w3_d132e13891
Jos.	w5_d132e13894
Reinhold,	w7_d132e13897
K.	w9_d132e13900
K.	w11_d132e13903
Generalfeld	w13_d132e13907
Land	w1_d132e13912
und	w3_d132e13915
Haus	w5_d132e13918
artillerie=zeugs=amts	w7_d132e13921
cancel.	w9_d132e13924
im	w1_d132e13929
K.	w3_d132e13932
K.	w5_d132e13935
Zeug=H.,	w7_d132e13938
alt	w9_d132e13941
30.	w11_d132e13944
J.	w13_d132e13948
Hr.	w1_d132e13954
Franz	w3_d132e13957
Ernst	w5_d132e13960
Langenmayr,	w7_d132e13963
Burgerl.	w9_d132e13966
Chorurg.	w11_d132e13969
im	w1_d132e13974
Lebzelteris.	w3_d132e13977
H.	w5_d132e13980
in	w7_d132e13983
der	w9_d132e13986
Wolzeil,	w11_d132e13989
alt	w13_d132e13993
48.	w15_d132e13996
J.	w17_d132e13999
Jos.	w1_d132e14004
Kimmerling,	w3_d132e14007
Burgerl.	w5_d132e14010
Bier=leut=geb,	w7_d132e14013
in	w9_d132e14016
dem	w11_d132e14019
klein.	w1_d132e14024
Mölker=hof,	w3_d132e14027
alt	w5_d132e14030
50.	w7_d132e14033
J.	w9_d132e14036
</list>
<head id="h2_d132e14043">
Vor	w1_d132e14047
der	w3_d132e14050
Stadt.	w5_d132e14053
</head>
<list id="l4_d132e14056">
Hr.	w1_d132e14060
Leop.	w3_d132e14063
Sonnleitner,	w5_d132e14066
gem.	w7_d132e14069
Stadt	w9_d132e14072
Steuer=amts	w11_d132e14075
gegenhandl.,	w1_d132e14080
im	w3_d132e14083
Donneris.	w5_d132e14086
H.	w7_d132e14089
in	w9_d132e14092
der	w11_d132e14095
Leopoldst.,	w13_d132e14099
alt	w1_d132e14104
53.	w3_d132e14107
J.	w5_d132e14110
Dem	w1_d132e14116
Hrn.	w3_d132e14119
Leonh.	w5_d132e14122
Welz,	w7_d132e14125
Secret.,	w9_d132e14128
s.	w11_d132e14131
K.	w13_d132e14135
Elisab.,	w15_d132e14138
im	w17_d132e14141
Vögel=krammeris.	w1_d132e14146
H.	w3_d132e14149
am	w5_d132e14152
Spitalb.,	w7_d132e14155
alt	w9_d132e14158
9.	w11_d132e14161
J.	w13_d132e14165
Dem	w1_d132e14170
Andre	w3_d132e14173
Gutman,	w5_d132e14176
gew	w7_d132e14179
Keller=hind.,	w9_d132e14182
s.	w11_d132e14185
W.	w13_d132e14189
Chri	w15_d132e14192
stina,	w1_d132e14197
im	w3_d132e14200
Erz=bischöfl.	w5_d132e14203
Mayr=hof	w7_d132e14206
in	w9_d132e14209
der	w11_d132e14212
Unget.	w13_d132e14216
gas.,	w1_d132e14222
alt	w3_d132e14225
73.	w5_d132e14228
J.	w7_d132e14231
Dem	w1_d132e14236
Christian	w3_d132e14239
Müller,	w5_d132e14242
Bier=leut=geb.,	w7_d132e14245
s.	w9_d132e14248
K.	w11_d132e14251
Mich.	w13_d132e14255
welches	w1_d132e14260
niedergeführet,	w3_d132e14263
und	w5_d132e14266
beym	w7_d132e14269
grün.	w9_d132e14272
Rös.	w1_d132e14277
am	w3_d132e14280
Spitalberg	w5_d132e14283
vom	w7_d132e14286
K.	w9_d132e14289
K.	w11_d132e14292
Stadt=gericht	w13_d132e14296
be	w15_d132e14299
schauet	w1_d132e14305
worden,	w3_d132e14308
alt	w5_d132e14311
2.	w7_d132e14314
1.	w9_d132e14317
h.	w11_d132e14320
J.	w13_d132e14324
Dem	w1_d132e14329
Georg	w3_d132e14332
Renner=Lein=wed.,	w5_d132e14335
s.	w7_d132e14338
S.	w9_d132e14341
Ferd.,	w11_d132e14344
in	w13_d132e14348
dem	w15_d132e14351
Hantschieris.	w1_d132e14356
H.	w3_d132e14359
auf	w5_d132e14362
der	w7_d132e14365
Wind=mühl,	w9_d132e14368
alt	w11_d132e14371
11.	w13_d132e14375
J.	w15_d132e14378
Joh.	w1_d132e14383
Schober,	w3_d132e14386
Maurer=pol.,	w5_d132e14389
beym	w7_d132e14392
weis.	w9_d132e14395
Lämmel	w11_d132e14398
oberm	w1_d132e14404
Neustift,	w3_d132e14407
alt	w5_d132e14410
59.	w7_d132e14413
J.	w9_d132e14416
</list>
<list id="l6_d132e14420">
Dem	w1_d132e14424
Matr.	w3_d132e14427
Schmitzer,	w5_d132e14430
Fuhr=m.,	w7_d132e14433
s.	w9_d132e14436
W.	w11_d132e14439
Theres.	w13_d132e14443
beym	w1_d132e14448
schwarz.	w3_d132e14451
Rab.	w5_d132e14454
im	w7_d132e14457
Liechtenth,	w9_d132e14460
alt	w11_d132e14463
35.	w13_d132e14467
J.	w15_d132e14470
Dem	w1_d132e14475
Georg	w3_d132e14478
Kellner,	w5_d132e14481
Geig.,	w7_d132e14484
s.	w9_d132e14487
K.	w11_d132e14490
Elisab.,	w13_d132e14494
welches	w15_d132e14497
im	w1_d132e14503
Beht	w3_d132e14506
ersticket,	w5_d132e14509
ist	w7_d132e14512
bey	w9_d132e14515
denen	w11_d132e14518
3.	w13_d132e14522
Kron.	w15_d132e14525
bey	w17_d132e14528
St.	w19_d132e14531
Ulrich	w1_d132e14536
vom	w3_d132e14539
K.	w5_d132e14542
K.	w7_d132e14545
Stadt=gericht	w9_d132e14548
beschauet	w11_d132e14551
wor	w13_d132e14555
den,	w1_d132e14560
alt	w3_d132e14563
3.	w5_d132e14566
J.	w7_d132e14569
Der	w1_d132e14574
Cathar.	w3_d132e14577
Edtingerin,	w5_d132e14580
Wittwe,	w7_d132e14583
ihr	w9_d132e14586
T.	w11_d132e14589
Anna,	w13_d132e14593
beym	w1_d132e14599
gold.	w3_d132e14602
Schif	w5_d132e14605
am	w7_d132e14608
Spürken=bühel,	w9_d132e14611
alt	w11_d132e14614
16.	w13_d132e14618
J.	w15_d132e14621
Dem	w1_d132e14626
Leop.	w3_d132e14629
Lun,	w5_d132e14632
Stroh=schneid.,	w7_d132e14635
s.	w9_d132e14638
K.	w11_d132e14641
Math.,	w13_d132e14645
bey	w15_d132e14648
denen	w1_d132e14653
2.	w3_d132e14656
Turtel=taub.	w5_d132e14659
am	w7_d132e14662
Hungel=brunn,	w9_d132e14665
4.	w11_d132e14668
J.	w13_d132e14672
Elisab.	w1_d132e14677
Maurerin,	w3_d132e14680
Wittwe,	w5_d132e14683
beym	w7_d132e14686
rot.	w9_d132e14689
Löw.	w11_d132e14692
in	w13_d132e14696
de	w15_d132e14699
|	w17_d132e14702
|	w19_d132e14705
Rossau,	w1_d132e14711
alt	w3_d132e14714
70.	w5_d132e14717
J.	w7_d132e14720
Georg	w1_d132e14725
Eisengruber,	w3_d132e14728
Tagw.,	w5_d132e14731
bey	w7_d132e14734
der	w9_d132e14737
Haus=mut.	w11_d132e14740
am	w13_d132e14744
Himmel=pfort=gr.,	w1_d132e14749
alt	w3_d132e14752
48.	w5_d132e14755
J.	w7_d132e14758
Dem	w1_d132e14763
Barthl.	w3_d132e14766
Spötl,	w5_d132e14769
Tagw.,	w7_d132e14772
s.	w9_d132e14775
K.	w11_d132e14778
Steph.,	w13_d132e14782
beym	w15_d132e14785
gold.	w1_d132e14791
Mond=schein	w3_d132e14794
zu	w5_d132e14797
Mätzleinstorf,	w7_d132e14800
alt	w9_d132e14803
6.	w11_d132e14806
J.	w13_d132e14810
Wilh.	w1_d132e14815
Fischer,	w3_d132e14818
alt	w5_d132e14821
26.	w7_d132e14824
J.,	w9_d132e14827
bey	w11_d132e14830
denen	w13_d132e14834
FF.	w15_d132e14837
Mis.	w17_d132e14840
</list>
<head id="h2_d132e14847">
Summa	w1_d132e14851
17.	w3_d132e14854
Person.,	w5_d132e14857
darunter	w7_d132e14860
5.	w9_d132e14863
Kinder.	w11_d132e14866
Den	w1_d132e14871
4.	w3_d132e14874
April.	w5_d132e14877
Jn	w1_d132e14882
der	w3_d132e14885
Stadt.	w5_d132e14888
</head>
<list id="l4_d132e14891">
Der	w1_d132e14895
Wol=edel=geb.	w3_d132e14898
Hr.	w5_d132e14901
Joh.	w7_d132e14904
Siegfr.	w9_d132e14907
v.	w11_d132e14910
Betsche,	w13_d132e14914
N.	w1_d132e14919
Oe.	w3_d132e14922
Reg.	w5_d132e14925
in	w7_d132e14928
Justitz=sach.Secret.,	w9_d132e14931
im	w11_d132e14934
Harti	w13_d132e14938
gis.	w1_d132e14943
H.	w3_d132e14946
in	w5_d132e14949
der	w7_d132e14952
oderen	w9_d132e14955
Bäckerstr.,	w11_d132e14958
alt	w13_d132e14962
40.	w15_d132e14965
J.	w17_d132e14968
Hr.	w1_d132e14974
Jos.	w3_d132e14977
Bernhardi,	w5_d132e14980
N.	w7_d132e14983
Oe.	w9_d132e14986
Landsch.	w11_d132e14989
Acceßist,	w13_d132e14993
im	w15_d132e14996
Tischleris.	w1_d132e15001
H.	w3_d132e15004
am	w5_d132e15007
Salz=gr.,	w7_d132e15010
alt	w9_d132e15013
25.	w11_d132e15016
J.	w13_d132e15020
Math.	w1_d132e15025
Carlinger,	w3_d132e15028
gew.	w5_d132e15031
Maurer,	w7_d132e15034
im	w9_d132e15037
Brenneris.	w11_d132e15040
H.	w13_d132e15044
in	w1_d132e15049
der	w3_d132e15052
Dorothe=gas.,	w5_d132e15055
alt	w7_d132e15058
91.	w9_d132e15061
J.	w11_d132e15064
Dem	w1_d132e15070
Georg	w3_d132e15073
Rapp,	w5_d132e15076
Lack.,	w7_d132e15079
s.	w9_d132e15082
K.	w11_d132e15085
Theres.,	w13_d132e15089
im	w15_d132e15092
Eisen	w17_d132e15095
hutis.	w1_d132e15100
H.	w3_d132e15103
in	w5_d132e15106
der	w7_d132e15109
Singerstr.,	w9_d132e15112
alt	w11_d132e15115
2.	w13_d132e15119
J.	w15_d132e15122
Georg	w1_d132e15127
Marschall,	w3_d132e15130
Tischl.,	w5_d132e15133
im	w7_d132e15136
Kloster=hof	w9_d132e15139
bey	w11_d132e15142
St.	w13_d132e15146
Jacob,	w1_d132e15151
alt	w3_d132e15154
62.	w5_d132e15157
