<doc id="edoc_wd_1775-07-01" attrs="word" year="1775" month="07" day="01" corpus="1">
<head id="hl4">
Korinth	w40
<g/>
,
im	w3867
gr	w3868
<g/>
.
Passauerhof	w3870
<g/>
,
alt	w3872
43	w3873
<g/>
.
J	w3875
<g/>
.
Liota	w3877
Poliso	w3878
<g/>
,
griech	w3880
<g/>
.
Kaufm	w3882
<g/>
.
Nr	w3884
<g/>
.
737	w3886
<g/>
.
am	w3888
alt	w3889
<g/>
.
Fleischmarkt	w3891
<g/>
,
alt	w3893
38	w3894
<g/>
.
J	w3896
<g/>
.
</list>
<head id="hl24">
Vor	w3898
der	w3899
Stadt	w3900
<g/>
.
</head>
<list id="">
Der	w3902
wohlehrw	w3903
<g/>
.
Hr	w3905
<g/>
.
Julius	w3907
Bruni	w3908
<g/>
,
Curat	w3910
im	w3911
unirt	w3912
spanis	w3913
<g/>
.
und	w3915
heil	w3916
<g/>
.
Dreif	w3918
<g/>
.
Spit	w3920
<g/>
.
alt	w3922
81	w3923
<g/>
.
J	w3925
<g/>
.
Titl	w3927
<g/>
.
Hr	w3929
<g/>
.
Franz	w3931
v	w3932
<g/>
.
Neumann	w3934
<g/>
,
gew	w3936
<g/>
.
k	w3938
<g/>
.
k	w3940
<g/>
.
Hauptm	w3942
<g/>
.
Nr	w3944
<g/>
.
141	w3946
<g/>
.
in	w3948
der	w3949
Leopoldst	w3950
<g/>
.
alt	w3952
65	w3953
<g/>
.
J	w3955
<g/>
.
Dem	w3957
Franz	w3958
Eretzmann	w3959
<g/>
,
Buchbindergs	w3961
<g/>
.
s	w3963
<g/>
.
W	w3965
<g/>
.
An=na	w3967
<g/>
=
Mar	w3969
<g/>
.
Nr	w3971
<g/>
.
53	w3973
<g/>
.
im	w3975
alt	w3976
<g/>
.
Lerchenf	w3978
<g/>
.
alt	w3980
56	w3981
<g/>
.
J	w3983
<g/>
.
Franz	w3985
Kreymel	w3986
<g/>
,
Federkielhandl	w3988
<g/>
.
Nr	w3990
<g/>
.
9	w3992
<g/>
.
am	w3994
Neu=stift	w3995
<g/>
=
<g/>
,
alt	w3998
78	w3999
<g/>
.
J	w4001
<g/>
.
Lorenz	w4003
Stadler	w4004
<g/>
,
Schaafimeist	w4006
<g/>
.
von	w4008
Bammerstorf	w4009
<g/>
,
Nr	w4011
<g/>
.
257	w4013
<g/>
.
in	w4015
der	w4016
Leopoldst	w4017
<g/>
.
alt	w4019
44	w4020
<g/>
.
J	w4022
<g/>
.
Dem	w4024
Sebast	w4025
<g/>
.
Hirschberger	w4027
<g/>
,
Tagl	w4029
<g/>
.
s	w4031
<g/>
.
W	w4033
<g/>
.
M	w4035
<g/>
.
An=na	w4037
<g/>
=
<g/>
,
Nr	w4040
<g/>
.
74	w4042
<g/>
.
am	w4044
Turo	w4045
<g/>
,
alt	w4047
59	w4048
<g/>
.
J	w4050
<g/>
.
Philipp	w4052
Perner	w4053
<g/>
,
alt	w4055
86	w4056
<g/>
.
J	w4058
<g/>
.
in	w4060
der	w4061
Vers	w4062
<g/>
.
im	w4064
Grund=spit	w4065
<g/>
=
<g/>
.
nächst	w4068
der	w4069
Mariahilferlin	w4070
<g/>
.
Salome	w4072
Kaderin	w4073
<g/>
,
led	w4075
<g/>
.
Baumwollspin	w4077
<g/>
.
alt	w4079
40	w4080
<g/>
.
J	w4082
<g/>
.
Theres	w4084
<g/>
.
Mederlin	w4086
<g/>
,
Schreib	w4088
<g/>
.
Wit	w4090
<g/>
.
alt	w4092
50	w4093
<g/>
.
J	w4095
<g/>
.
beede	w4097
im	w4098
Contum	w4099
<g/>
.
Conrad	w4101
Reinhard	w4102
<g/>
,
Bäckenj	w4104
<g/>
.
alt	w4106
20	w4107
<g/>
.
J	w4109
<g/>
.
</list>
<list id="">
Johann	w4111
Pittermann	w4112
<g/>
,
Ziegelschlag	w4114
<g/>
.
at	w4116
40	w4117
<g/>
.
J	w4119
<g/>
.
Jos	w4121
<g/>
.
Hacker	w4123
<g/>
,
vac	w4125
<g/>
.
Laq	w4127
<g/>
.
alt	w4129
52	w4130
<g/>
.
J	w4132
<g/>
.
alle	w4134
3	w4135
im	w4136
Bä=ckenhäusel	w4137
<g/>
=
<g/>
.
</list>
<head id="hl25">
Summa	w4140
17	w4141
<g/>
.
Personen	w4143
<g/>
,
darunter	w4145
1	w4146
<g/>
.
Kind	w4148
<g/>
.
</head>
<head id="hl26">
Den	w4150
26	w4151
<g/>
.
Juny	w4153
<g/>
.
Jn	w4155
der	w4156
Stadt	w4157
<g/>
.
</head>
<list id="">
Der	w4159
wohlehrw	w4160
<g/>
.
P	w4162
<g/>
.
Tranquillinus	w4164
Großrucker	w4165
<g/>
,
Ca=puzinerord	w4167
<g/>
=
<g/>
.
in	w4170
ih	w4171
<g/>
.
Kl	w4173
<g/>
.
am	w4175
neuen	w4176
Markt	w4177
<g/>
,
alt	w4179
69	w4180
J	w4181
<g/>
.
Der	w4183
wohledlgeb	w4184
<g/>
.
und	w4186
hochgelehrte	w4187
Hr	w4188
Joh	w4189
<g/>
.
Abra=ham	w4191
<g/>
=
Salzgeber	w4193
<g/>
,
Phil	w4195
<g/>
.
<g/>
&
Med	w4198
Doct	w4199
<g/>
.
Nr	w4201
<g/>
.
532	w4203
am	w4204
Bauernmarkt	w4205
<g/>
,
alt	w4207
57	w4208
<g/>
.
J	w4210
<g/>
.
Dem	w4212
Hrn	w4213
<g/>
.
Joh	w4215
<g/>
.
Nep	w4217
<g/>
.
Fürstenhofer	w4219
<g/>
,
k	w4221
<g/>
.
k	w4223
<g/>
.
obrist	w4225
<g/>
.
Justizstelle	w4227
Rathsthürhüt	w4228
<g/>
.
s	w4230
<g/>
.
Fr	w4232
<g/>
.
Anna	w4234
There=sia	w4235
<g/>
=
<g/>
,
Nr	w4238
<g/>
.
732	w4240
<g/>
.
am	w4242
alt	w4243
<g/>
.
Fleischmarkt	w4245
<g/>
,
alt	w4247
44	w4248
<g/>
.
J	w4250
<g/>
.
Dem	w4252
Adam	w4253
Hildermann	w4254
<g/>
,
burgl	w4256
<g/>
.
Chyrurg	w4258
<g/>
.
s	w4260
<g/>
.
K	w4262
<g/>
.
Adam	w4264
<g/>
,
Nr	w4266
<g/>
.
458	w4268
<g/>
.
am	w4270
hoh	w4271
<g/>
.
Markt	w4273
<g/>
,
alt	w4275
2	w4276
<g/>
.
J	w4278
<g/>
.
</list>
<head id="hl27">
Vor	w4280
der	w4281
Stadt	w4282
<g/>
.
</head>
<list id="">
Hr	w4284
<g/>
.
Carl	w4286
Jos	w4287
<g/>
.
Wittman	w4289
<g/>
,
Verwalt	w4291
<g/>
.
in	w4293
der	w4294
k	w4295
<g/>
.
k	w4297
<g/>
.
Jngenieurakadem	w4299
<g/>
.
Nr	w4301
<g/>
.
12	w4303
<g/>
.
auf	w4305
der	w4306
Laimgrube	w4307
<g/>
,
alt	w4309
63	w4310
<g/>
.
J	w4312
<g/>
.
Christina	w4314
Damin	w4315
<g/>
,
gew	w4317
<g/>
.
burgl	w4319
<g/>
.
Schustermeist	w4321
<g/>
.
Wit	w4323
<g/>
.
Nr	w4325
<g/>
.
21	w4327
<g/>
.
zu	w4329
St	w4330
<g/>
.
Ulrich	w4332
<g/>
,
alt	w4334
86	w4335
<g/>
.
J	w4337
<g/>
.
Dem	w4339
Franz	w4340
Zintzenbauer	w4341
<g/>
,
burgl	w4343
<g/>
.
Sauerkräut	w4345
<g/>
.
s	w4347
<g/>
.
K	w4349
<g/>
.
Joseph	w4351
<g/>
,
Nr	w4353
<g/>
.
3	w4355
<g/>
.
in	w4357
der	w4358
Rossau	w4359
<g/>
,
alt	w4361
1	w4362
<g/>
.
J	w4364
<g/>
.
Dem	w4366
Johann	w4367
Reich	w4368
<g/>
,
Schust	w4370
<g/>
.
s	w4372
<g/>
.
K	w4374
<g/>
.
Theresia	w4376
<g/>
,
Nr	w4378
<g/>
.
177	w4380
<g/>
.
am	w4382
<g/>
.
Oberneust	w4384
<g/>
.
alt	w4386
4	w4387
<g/>
.
J	w4389
<g/>
.
Joh	w4391
<g/>
.
Georg	w4393
Langthaller	w4394
<g/>
,
Strümpfstrickgs	w4396
<g/>
.
Nr	w4398
<g/>
.
74	w4400
<g/>
.
in	w4402
der	w4403
neuen	w4404
Schotteng	w4405
<g/>
.
alt	w4407
67	w4408
<g/>
.
J	w4410
<g/>
.
Barthol	w4412
<g/>
.
Reitbauer	w4414
<g/>
,
kais	w4416
<g/>
.
Kutsch	w4418
<g/>
.
Nr	w4420
<g/>
.
51	w4422
<g/>
.
an	w4424
der	w4425
Wien	w4426
<g/>
,
alt	w4428
76	w4429
<g/>
.
J	w4431
<g/>
.
Dem	w4433
Martin	w4434
Tauscher	w4435
<g/>
,
herrsch	w4437
<g/>
.
pens	w4439
<g/>
.
Vorreit	w4441
<g/>
.
s	w4443
<g/>
.
W	w4445
<g/>
.
Barbara	w4447
<g/>
,
Nr	w4449
<g/>
.
102	w4451
<g/>
.
in	w4453
der	w4454
Rossau	w4455
<g/>
,
alt	w4457
63	w4458
J	w4459
<g/>
.
Dem	w4461
Peter	w4462
Puckeley	w4463
<g/>
,
gew	w4465
<g/>
.
Brunnkn	w4467
<g/>
.
s	w4469
<g/>
.
W	w4471
<g/>
.
Eli=sabeth	w4473
<g/>
=
<g/>
,
Nr	w4476
<g/>
.
179	w4478
<g/>
.
am	w4480
Oberneust	w4481
<g/>
.
alt	w4483
77	w4484
<g/>
.
J	w4486
<g/>
.
Dem	w4488
Joh	w4489
<g/>
.
Georg	w4491
Staß	w4492
Sticker	w4493
<g/>
,
s	w4495
<g/>
.
S	w4497
<g/>
.
Carl	w4499
<g/>
,
Nr	w4501
<g/>
.
73	w4503
<g/>
.
am	w4505
Oberneust	w4506
<g/>
.
alt	w4508
22	w4509
<g/>
.
J	w4511
<g/>
.
Johann	w4513
Aigner	w4514
<g/>
,
Tagl	w4516
<g/>
.
Nr	w4518
<g/>
.
10	w4520
zu	w4521
Nikolstorff	w4522
<g/>
,
alt	w4524
75	w4525
<g/>
.
J	w4527
<g/>
.
Franz	w4529
Lattenbacher	w4530
<g/>
,
Tagl	w4532
<g/>
.
Nr	w4534
<g/>
.
27	w4536
<g/>
.
auf	w4538
der	w4539
Wind=mühl	w4540
<g/>
=
<g/>
,
alt	w4543
42	w4544
<g/>
.
J	w4546
<g/>
.
Walburga	w4548
Müllnerin	w4549
<g/>
.
Wit	w4551
<g/>
.
alt	w4553
77	w4554
<g/>
.
J	w4556
<g/>
.
Rosalia	w4558
Poneckerin	w4559
<g/>
,
verh	w4561
<g/>
.
alt	w4563
66	w4564
<g/>
.
J	w4566
<g/>
.
beede	w4568
im	w4569
gr	w4570
<g/>
.
Armenhause	w4572
<g/>
.
Anna	w4574
Mar	w4575
<g/>
.
Rachimin	w4577
<g/>
,
verh	w4579
<g/>
.
alt	w4581
64	w4582
<g/>
.
J	w4584
<g/>
.
im	w4586
Mil	w4587
<g/>
.
Jnvalidenhause	w4589
<g/>
.
Juliana	w4591
Braunsteinerin	w4592
<g/>
,
Wit	w4594
<g/>
.
alt	w4596
81	w4597
<g/>
.
J	w4599
<g/>
.
in	w4601
der	w4602
Versorg	w4603
<g/>
.
Magdal	w4605
<g/>
.
Wilhelmin	w4607
<g/>
,
Wit	w4609
<g/>
.
alt	w4611
70	w4612
<g/>
.
J	w4614
<g/>
.
beede	w4616
im	w4617
Contum	w4618
<g/>
.
Elisabeth	w4620
Graserin	w4621
<g/>
,
Weinhandl	w4623
<g/>
.
Wit	w4625
<g/>
.
alt	w4627
34	w4628
<g/>
.
J	w4630
<g/>
.
Wolfgang	w4632
Eberl	w4633
<g/>
,
Fleischhackerkn	w4635
<g/>
.
alt	w4637
70	w4638
<g/>
.
J	w4640
<g/>
.
Wendelin	w4642
Guldifuß	w4643
<g/>
,
Schuhkn	w4645
<g/>
.
alt	w4647
22	w4648
<g/>
.
J	w4650
<g/>
.
alles	w4652
im	w4653
Bäckenhäusel	w4654
<g/>
.
</list>
<p id="hl28">
Summa	w4656
23	w4657
<g/>
.
Personen	w4659
<g/>
,
darunter	w4661
3	w4662
Kinder	w4663
<g/>
.
</p>
<head id="hl29">
Den	w4665
27	w4666
<g/>
.
Juny	w4668
<g/>
.
Jn	w4670
der	w4671
Stadt	w4672
<g/>
.
</head>
<list id="">
Dem	w4674
Joseph	w4675
Balga	w4676
<g/>
,
burgl	w4678
<g/>
.
Schneidermeist	w4680
<g/>
.
s	w4682
<g/>
.
K	w4684
<g/>
.
Mar	w4686
<g/>
.
Anna	w4688
<g/>
,
Nr	w4690
<g/>
.
294	w4692
<g/>
.
auf	w4694
der	w4695
hoh	w4696
<g/>
.
Brucke	w4698
<g/>
,
alt	w4700
4	w4701
<g/>
.
J	w4703
<g/>
.
</list>
<list id="">
Johann	w4705
Lilien	w4706
<g/>
,
Webergs	w4708
<g/>
.
alt	w4710
25	w4711
<g/>
.
J	w4713
<g/>
.
in	w4715
der	w4716
k	w4717
<g/>
.
k	w4719
<g/>
.
praktis	w4721
<g/>
.
Lehrschule	w4723
<g/>
.
Mathias	w4725
Rosenstingl	w4726
<g/>
,
burgl	w4728
<g/>
.
Schust	w4730
<g/>
.
alt	w4732
69	w4733
<g/>
.
J	w4735
<g/>
.
in	w4737
der	w4738
Vers	w4739
<g/>
.
beede	w4741
im	w4742
Burgerspit	w4743
<g/>
.
</list>
<head id="hl30">
Vor	w4745
der	w4746
Stadt	w4747
<g/>
.
</head>
<list id="">
Dem	w4749
Hrn	w4750
<g/>
.
Franz	w4752
Scheichl	w4753
<g/>
,
k	w4755
<g/>
.
k	w4757
<g/>
.
Gütterbestätt	w4759
<g/>
.
Ac=ceßist	w4761
<g/>
=
<g/>
,
s	w4764
<g/>
.
Fr	w4766
<g/>
.
Mar	w4768
<g/>
.
Anna	w4770
<g/>
,
Nr	w4772
<g/>
.
44	w4774
<g/>
.
auf	w4776
der	w4777
Wie=den	w4778
<g/>
=
<g/>
,
alt	w4781
50	w4782
<g/>
.
J	w4784
<g/>
.
Mar	w4786
<g/>
.
Anna	w4788
Sackcallin	w4789
<g/>
,
k	w4791
<g/>
.
k	w4793
<g/>
.
pens	w4795
<g/>
.
Waldhornift	w4797
<g/>
.
Wit	w4799
<g/>
.
Nr	w4801
<g/>
.
3	w4803
<g/>
.
in	w4805
der	w4806
Leopoldst	w4807
<g/>
.
alt	w4809
75	w4810
<g/>
.
J	w4812
<g/>
.
Dem	w4814
Caspar	w4815
Wittmann	w4816
<g/>
,
gew	w4818
<g/>
.
burgl	w4820
<g/>
.
Wirth	w4822
<g/>
,
s	w4824
<g/>
.
W	w4826
<g/>
.
Magdalena	w4828
<g/>
,
in	w4830
s	w4831
<g/>
.
H	w4833
<g/>
.
Nr	w4835
7	w4836
<g/>
.
auf	w4838
der	w4839
Laimgr	w4840
<g/>
.
alt	w4842
50	w4843
<g/>
.
J	w4845
<g/>
.
Dem	w4847
Franz	w4848
Müllner	w4849
<g/>
,
Todtentrag	w4851
<g/>
.
s	w4853
<g/>
.
W	w4855
<g/>
.
There=sia	w4857
<g/>
=
<g/>
,
Nr	w4860
<g/>
.
3	w4862
<g/>
.
am	w4864
Tury	w4865
<g/>
,
alt	w4867
54	w4868
<g/>
.
J	w4870
<g/>
.
Dem	w4872
Leopold	w4873
Jiel	w4874
<g/>
,
Kutsch	w4876
<g/>
.
s	w4878
<g/>
.
K	w4880
<g/>
.
Johann	w4882
<g/>
,
Nr	w4884
<g/>
.
100	w4886
<g/>
.
in	w4888
der	w4889
Alsterg	w4890
<g/>
.
alt	w4892
5	w4893
<g/>
.
J	w4895
<g/>
.
Magdal	w4897
Gallottin	w4898
<g/>
.
Tagl	w4900
<g/>
.
Wit	w4902
<g/>
.
ih	w4904
<g/>
.
T	w4906
<g/>
.
Barbar	w4908
<g/>
.
Buchbergerin	w4910
<g/>
,
Nr	w4912
<g/>
.
105	w4914
<g/>
.
zu	w4916
Erdberg	w4917
<g/>
,
alt	w4919
23	w4920
<g/>
.
J	w4922
<g/>
.
Stephan	w4924
de	w4925
Garofalo	w4926
<g/>
.
Wais	w4928
alt	w4929
21	w4930
<g/>
.
J	w4932
<g/>
.
im	w4934
Wai=senh	w4935
<g/>
=
<g/>
.
am	w4938
Rennweg	w4939
<g/>
.
Joh	w4941
Th	w4942
<g/>
,
alt	w4944
18	w4945
<g/>
.
J	w4947
<g/>
.
Michael	w4949
Bodulen	w4950
<g/>
,
alt	w4952
29	w4953
<g/>
.
J	w4955
<g/>
.
Wenzel	w4957
Christoph	w4958
<g/>
,
alt	w4960
40	w4961
<g/>
.
J	w4963
<g/>
.
Carl	w4965
Brandel	w4966
<g/>
,
alt	w4968
45	w4969
<g/>
.
J	w4971
<g/>
.
Georg	w4973
Mockierhau	w4974
<g/>
,
alt	w4976
31	w4977
<g/>
.
J	w4979
<g/>
.
alle	w4981
5	w4982
gem	w4983
<g/>
.
Sold	w4985
<g/>
.
im	w4987
Militarspit	w4988
<g/>
.
zu	w4990
Gumpend	w4991
<g/>
.
Wolfgang	w4993
Schwartel	w4994
<g/>
,
Rohrschmidgs	w4996
<g/>
.
von	w4998
Hain=feld	w4999
<g/>
=
<g/>
,
beyn	w5002
Barmherz	w5003
<g/>
.
alt	w5005
52	w5006
<g/>
.
J	w5008
<g/>
.
Catharina	w5010
Westin	w5011
<g/>
,
verh	w5013
<g/>
.
alt	w5015
83	w5016
<g/>
.
J	w5018
<g/>
.
im	w5020
Contum	w5021
<g/>
.
Apollonia	w5023
Kanlin	w5024
<g/>
,
Bauerswit	w5026
<g/>
.
alt	w5028
63	w5029
<g/>
.
J	w5031
<g/>
.
Christian	w5033
Braun	w5034
<g/>
,
Tagl	w5036
<g/>
.
alt	w5038
52	w5039
<g/>
.
J	w5041
<g/>
.
beede	w5043
im	w5044
Bä=ckenbäu	w5045
<g/>
=
sel	w5047
<g/>
.
Joh	w5049
<g/>
.
Schuemann	w5051
<g/>
,
Feldscher	w5053
<g/>
.
K	w5055
<g/>
.
alt	w5057
6	w5058
<g/>
.
J	w5060
<g/>
.
im	w5062
Contum	w5063
<g/>
.
N	w5065
<g/>
.
N	w5067
<g/>
.
unbekannte	w5069
Weibsperson	w5070
<g/>
,
welche	w5072
vor	w5073
dem	w5074
Schänzlthor	w5075
auf	w5076
der	w5077
Strasse	w5078
gäh	w5079
gestorben	w5080
<g/>
,
und	w5082
im	w5083
Bäckenh	w5084
<g/>
.
vom	w5086
k	w5087
<g/>
.
k	w5089
<g/>
.
Stadt	w5091
<g/>
=
und	w5093
Landger	w5094
<g/>
.
am	w5096
Schlagfluß	w5097
beschaut	w5098
worden	w5099
<g/>
,
alt	w5101
bey	w5102
40	w5103
<g/>
.
J	w5105
<g/>
.
Johann	w5107
Marx	w5108
<g/>
,
in	w5110
der	w5111
Vers	w5112
<g/>
.
im	w5114
gr	w5115
Armenh	w5116
<g/>
.
wel=cher	w5118
<g/>
=
gäh	w5120
gestorben	w5121
<g/>
,
und	w5123
allda	w5124
vom	w5125
k	w5126
<g/>
.
k	w5128
<g/>
.
Stadt	w5130
<g/>
=
und	w5132
Landger	w5133
<g/>
.
am	w5135
Schlagfluß	w5136
beschauet	w5137
worden	w5138
<g/>
,
alt	w5140
80	w5141
<g/>
.
J	w5143
<g/>
.
Justina	w5145
Helchlin	w5146
<g/>
,
led	w5148
<g/>
.
M	w5150
<g/>
.
alt	w5152
19	w5153
<g/>
.
J	w5155
<g/>
.
in	w5157
St	w5158
<g/>
.
Marx	w5160
<g/>
.
</list>
<head id="hl31">
Nachricht	w5172
</head>
<p id="p125">
Nächstkommenden	w5173
5	w5174
<g/>
.
Heumonat	w5176
wird	w5177
die	w5178
Wochenschrift	w5179
<g/>
,
welche	w5181
neulich	w5182
unter	w5183
dem	w5184
Titul	w5185
<g/>
:
Die	w5187
österreichischen	w5188
Rechte	w5189
<g/>
,
angekündigt	w5191
worden	w5192
<g/>
,
und	w5194
sammentliche	w5195
Gesetze	w5196
<g/>
,
Patente	w5198
und	w5199
Verordnungen	w5200
im	w5201
Erzherzogthume	w5202
Oesterreich	w5203
bis	w5204
auf	w5205
heu=tigen	w5206
<g/>
=
Tag	w5208
enthält	w5209
<g/>
,
woraus	w5211
sich	w5212
ein	w5213
jeder	w5214
in	w5215
allen	w5216
fürkommenden	w5217
Rechtssachen	w5218
si=cheren	w5219
<g/>
=
Rath	w5221
verschaffen	w5222
kann	w5223
<g/>
,
richtig	w5225
in	w5226
</p>
<p id="p126">
dem	w5227
Drucke	w5228
erscheinen	w5229
<g/>
,
und	w5231
damit	w5232
alle	w5233
Wochen	w5234
einmal	w5235
<g/>
,
nämlich	w5237
an	w5238
dem	w5239
Mitt=woche	w5240
<g/>
=
continuirt	w5242
werden	w5243
<g/>
.
Wenn	w5245
daher	w5246
noch	w5247
einige	w5248
Verlangen	w5249
hätten	w5250
diese	w5251
höchst=nützliche	w5252
<g/>
=
Blätter	w5254
sich	w5255
anzuschaffen	w5256
<g/>
,
so	w5258
be=lieben	w5259
<g/>
=
dieselbe	w5261
beym	w5262
Herrn	w5263
Johann	w5264
Mi=chael	w5265
<g/>
=
Schmid	w5267
<g/>
,
bürgerlichen	w5269
Specerey=händler	w5270
<g/>
=
zum	w5272
grünen	w5273
Kranz	w5274
auf	w5275
dem	w5276
Gra=ben	w5277
<g/>
=
Nro	w5279
<g/>
.
1136	w5281
<g/>
.
vom	w5283
Elephanten	w5284
gegen=über	w5285
<g/>
=
mit	w5287
einem	w5288
Gulden	w5289
für	w5290
das	w5291
Viertel=jahr	w5292
<g/>
=
zu	w5294
pränumeriren	w5295
<g/>
.
Auswärtige	w5297
kön=nen	w5298
<g/>
=
sich	w5300
auch	w5301
bey	w5302
dem	w5303
hiesigen	w5304
k	w5305
<g/>
.
k	w5307
<g/>
.
Post=amt	w5309
<g/>
=
gegen	w5311
halbjähriger	w5312
Pränumeration	w5313
von	w5314
3	w5315
fl	w5316
<g/>
.
30	w5318
kr	w5319
<g/>
.
anmelden	w5321
<g/>
,
allwo	w5323
sie	w5324
eben=falls	w5325
<g/>
=
ordentlich	w5327
bedient	w5328
werden	w5329
sollen	w5330
<g/>
.
</p>
<p id="p127">
Von	w5332
der	w5333
röm	w5334
<g/>
.
k	w5336
<g/>
.
k	w5338
<g/>
.
apost	w5340
<g/>
.
Majestät	w5342
N	w5343
<g/>
.
O	w5345
<g/>
.
Regierung	w5347
wegen	w5348
<g/>
,
wird	w5350
dem	w5351
Publikum	w5352
hiemit	w5353
bekannt	w5354
gemacht	w5355
<g/>
,
daß	w5357
die	w5358
Zucker=preise	w5359
<g/>
=
für	w5361
die	w5362
Monate	w5363
July	w5364
<g/>
,
August	w5366
und	w5367
Sept	w5368
<g/>
.
dieses	w5370
itztlaufenden	w5371
1775sten	w5372
Jah=res	w5374
<g/>
=
abermal	w5376
regulirt	w5377
<g/>
,
und	w5379
dergestalt	w5380
be=stimmet	w5381
<g/>
=
worden	w5383
seyen	w5384
<g/>
,
daß	w5386
das	w5387
Pfund	w5388
blossen	w5389
Zuckers	w5390
und	w5391
zwar	w5392
Candisbrod	w5393
54	w5394
Kreuzer	w5395
<g/>
,
Feinfein	w5397
51	w5398
kr	w5399
<g/>
.
ordinari	w5401
fein	w5402
49	w5403
kr	w5404
<g/>
.
Fein	w5406
Raffinat	w5407
46	w5408
kr	w5409
<g/>
.
Mittel	w5411
deto	w5412
45	w5413
kr	w5414
<g/>
.
ord	w5416
<g/>
.
deto	w5418
44	w5419
kr	w5420
<g/>
.
Fein	w5422
klein	w5423
melis	w5424
42	w5425
kr	w5426
<g/>
.
Fein	w5428
groß	w5429
melis	w5430
40	w5431
kr	w5432
<g/>
.
ord	w5434
<g/>
.
melis	w5436
39	w5437
kr	w5438
<g/>
.
Lumpen	w5440
38	w5441
kr	w5442
<g/>
.
Fein	w5444
weiß	w5445
Candis	w5446
1	w5447
fl	w5448
<g/>
.
ord	w5450
<g/>
.
deto	w5452
58	w5453
kr	w5454
<g/>
.
Fein	w5456
gelb	w5457
Candis	w5458
47	w5459
kr	w5460
<g/>
.
ord	w5462
<g/>
.
deto	w5464
44	w5465
kr	w5466
<g/>
.
Fein	w5468
braun	w5469
Candis	w5470
43	w5471
kr	w5472
<g/>
.
ord	w5474
<g/>
.
deto	w5476
41	w5477
kr	w5478
<g/>
.
und	w5480
nicht	w5481
höher	w5482
allhier	w5483
verkauft	w5484
werden	w5485
solle	w5486
<g/>
.
Wien	w5488
den	w5489
26ten	w5490
Juny	w5491
1775	w5492
<g/>
.
</p>
<p id="p128">
NB	w5494
<g/>
.
Bey	w5496
dem	w5497
eintrettenden	w5498
3ten	w5499
Jah=resquartal	w5500
<g/>
=
werden	w5502
abermal	w5503
die	w5504
Lieb=haber	w5505
<g/>
=
dieses	w5507
Wienerischen	w5508
Diariums	w5509
<g/>
,
wie	w5511
auch	w5512
des	w5513
Posttäglichen	w5514
Frag	w5515
<g/>
=
und	w5517
Kund=schaftsbogens	w5518
<g/>
=
<g/>
,
um	w5521
deren	w5522
gewöhnliche	w5523
Vorhineinbezahlung	w5524
ersuchet	w5525
<g/>
.
Wenn	w5527
jemand	w5528
das	w5529
Diarium	w5530
Bestallungsweise	w5531
nehmen	w5532
will	w5533
<g/>
,
so	w5535
haben	w5536
sich	w5537
die	w5538
hier	w5539
in	w5540
Wien	w5541
anwesende	w5542
in	w5543
der	w5544
diesfälligen	w5545
Schreib=stube	w5546
<g/>
=
in	w5548
dem	w5549
von	w5550
Mannerischen	w5551
Hause	w5552
Nro	w5553
<g/>
.
931	w5555
<g/>
.
in	w5557
der	w5558
Singerstrasse	w5559
<g/>
,
die	w5561
aus=wärtigen	w5562
<g/>
=
Liebhaber	w5564
aber	w5565
in	w5566
dem	w5567
k	w5568
<g/>
.
k	w5570
<g/>
.
Obristpostamte	w5572
diesfalls	w5573
anzumelden	w5574
<g/>
.
</p>
<head id="hl32">
Rheims	w5594
den	w5595
11	w5596
<g/>
.
Brachm	w5598
<g/>
.
</head>
<p id="p133">
Heute	w5600
ist	w5601
die	w5602
grosse	w5603
Salbungsfeyerlich=keit	w5604
<g/>
=
vor	w5606
sich	w5607
gegangen	w5608
<g/>
.
Alle	w5610
diejenigen	w5611
<g/>
,
so	w5613
derselben	w5614
beywohnen	w5615
sollten	w5616
<g/>
,
hatten	w5618
sich	w5619
in	w5620
der	w5621
Kirche	w5622
schon	w5623
um	w5624
7	w5625
Uhr	w5626
früh	w5627
eingefunden	w5628
<g/>
.
Monsieur	w5630
<g/>
,
welcher	w5632
wie	w5633
schon	w5634
gesagt	w5635
worden	w5636
<g/>
,
den	w5638
Herzog	w5639
von	w5640
Burgund	w5641
vorstellte	w5642
<g/>
,
saß	w5644
auf	w5645
einem	w5646
Stuhl	w5647
<g/>
,
dessen	w5649
Fußtritt	w5650
etwas	w5651
erhabner	w5652
war	w5653
<g/>
,
als	w5655
der	w5656
übrigen	w5657
Pairs	w5658
ihre	w5659
<g/>
;
der	w5661
Graf	w5662
von	w5663
Arteis	w5664
<g/>
,
als	w5666
Herzog	w5667
von	w5668
Normandie	w5669
<g/>
;
der	w5671
Herzog	w5672
von	w5673
Orleans	w5674
<g/>
,
als	w5676
Herzog	w5677
von	w5678
Aquitanien	w5679
<g/>
:
alle	w5681
diese	w5682
hatten	w5683
herzog=liche	w5684
<g/>
=
Kronen	w5686
auf	w5687
dem	w5688
Haupte	w5689
<g/>
;
imglei=chen	w5691
<g/>
=
der	w5693
Herzog	w5694
von	w5695
Chartres	w5696
<g/>
,
als	w5698
Graf	w5699
von	w5700
Toulouse	w5701
<g/>
;
der	w5703
Prinz	w5704
von	w5705
Conde'	w5706
<g/>
,
als	w5708
Graf	w5709
von	w5710
Flandern	w5711
<g/>
,
und	w5713
