<doc id="wr_1762-08-11" attrs="word" year="1762" month="08" day="11" corpus="2">
<head id="h2_d681e2802">
Lissabon	w1_d681e2806
grös	w13_d681e6457
seres	w1_d681e6462
Haus	w3_d681e6465
für	w5_d681e6468
ihn	w7_d681e6471
gemietet;	w9_d681e6474
und	w11_d681e6477
es	w13_d681e6481
ist	w15_d681e6484
eine	w17_d681e6487
Chalupe	w1_d681e6493
nach	w3_d681e6496
Amerika	w5_d681e6499
abgegangen,	w7_d681e6502
ihm	w9_d681e6505
einen	w1_d681e6510
besseren	w3_d681e6513
Dolmeischer	w5_d681e6516
zu	w7_d681e6519
hölen.	w9_d681e6522
Die	w11_d681e6525
ser	w1_d681e6530
Umstand	w3_d681e6533
macht	w5_d681e6536
wahrscheinlich,	w7_d681e6539
daß	w9_d681e6542
er	w11_d681e6545
sich	w1_d681e6550
noch	w3_d681e6553
lange	w5_d681e6556
hier	w7_d681e6559
aufzuhalten	w9_d681e6562
gedenket.	w11_d681e6565
Man	w1_d681e6571
wird	w3_d681e6574
ihm	w5_d681e6577
ehester	w7_d681e6580
Tage	w9_d681e6583
unsere	w11_d681e6586
3.	w13_d681e6590
La	w15_d681e6593
ger	w1_d681e6598
an	w3_d681e6601
der	w5_d681e6604
See=küste	w7_d681e6607
zeigen;	w9_d681e6610
und	w11_d681e6613
sobald	w13_d681e6617
wieder	w1_d681e6622
eine	w3_d681e6625
Kriegs=flotte	w5_d681e6628
ausgeht,	w7_d681e6631
soll	w9_d681e6634
er	w11_d681e6637
einen	w1_d681e6642
Zuschauer	w3_d681e6645
davon	w5_d681e6648
abgeben.	w7_d681e6651
</p>
<head id="h2_d681e6657">
Aus	w1_d681e6661
dem	w3_d681e6664
Feld=lager	w5_d681e6667
der	w7_d681e6670
Königl.	w9_d681e6673
Französischen	w1_d681e6678
Armee	w3_d681e6681
zu	w5_d681e6684
Grum	w7_d681e6687
bach	w1_d681e6692
vom	w3_d681e6695
24.	w5_d681e6698
Julii.	w7_d681e6701
</head>
<p id="p4_d681e6704">
Gestern	w1_d681e6708
zog	w3_d681e6711
sich	w5_d681e6714
ein	w7_d681e6717
feindliches	w9_d681e6720
Corps	w11_d681e6723
unter	w1_d681e6728
dem	w3_d681e6731
General	w5_d681e6734
von	w7_d681e6737
Spörken	w9_d681e6740
nach	w11_d681e6743
der	w13_d681e6747
Nieder=fulda,	w1_d681e6752
wo	w3_d681e6755
es	w5_d681e6758
an	w7_d681e6761
verschiedenen	w9_d681e6764
Or	w11_d681e6767
ten	w1_d681e6773
mit	w3_d681e6776
Gewalt	w5_d681e6779
überzugehn	w7_d681e6782
suchte.	w9_d681e6785
Zwey	w11_d681e6788
mal	w1_d681e6793
wurden	w3_d681e6796
sie	w5_d681e6799
durch	w7_d681e6802
das	w9_d681e6805
Sächsische	w11_d681e6808
Corps	w13_d681e6812
des	w1_d681e6817
Herrn	w3_d681e6820
Grafen	w5_d681e6823
von	w7_d681e6826
der	w9_d681e6829
Lausitz	w11_d681e6832
zurück	w13_d681e6836
getrieben,	w1_d681e6841
bey	w3_d681e6844
dem	w5_d681e6847
dritten	w7_d681e6850
aber	w9_d681e6853
drungen	w11_d681e6856
sie	w1_d681e6862
bey	w3_d681e6865
dem	w5_d681e6868
Dorf	w7_d681e6871
Bonnefurt	w9_d681e6874
und	w11_d681e6877
der	w13_d681e6881
Durch	w15_d681e6884
fahrt	w1_d681e6889
bey	w3_d681e6892
Münden	w5_d681e6895
durch,	w7_d681e6898
und	w9_d681e6901
da	w11_d681e6904
zugleich	w13_d681e6908
ihre	w1_d681e6913
leichte	w3_d681e6916
Trupen	w5_d681e6919
bey	w7_d681e6922
Heydemünden	w9_d681e6925
und	w11_d681e6928
Laubach	w1_d681e6933
durch	w3_d681e6936
die	w5_d681e6939
Werre	w7_d681e6942
setzten,	w9_d681e6945
bis	w11_d681e6948
auf	w13_d681e6952
die	w1_d681e6958
Anhöhen	w3_d681e6961
bey	w5_d681e6964
Lautterbach	w7_d681e6967
vor,	w9_d681e6970
wo	w11_d681e6973
sie	w13_d681e6977
die	w15_d681e6980
Sächsische	w1_d681e6985
leichte	w3_d681e6988
Reuter	w5_d681e6991
etlichemal	w7_d681e6994
lebhaft	w9_d681e6997
angriffen.	w1_d681e7002
Der	w3_d681e7005
Herr	w5_d681e7008
Marschall	w7_d681e7011
v.	w9_d681e7014
Estrees	w11_d681e7017
eilte	w1_d681e7022
auf	w3_d681e7025
diese	w5_d681e7028
Nachricht	w7_d681e7031
sogleich	w9_d681e7034
mit	w11_d681e7037
eini	w13_d681e7041
gen	w1_d681e7047
Jnfenterie=brigaden	w3_d681e7050
und	w5_d681e7053
der	w7_d681e7056
Cavallerie	w9_d681e7059
der	w1_d681e7064
Armee	w3_d681e7067
dahin.	w5_d681e7070
Jn	w7_d681e7073
dem	w9_d681e7076
Augenblick	w11_d681e7079
aber,	w1_d681e7084
als	w3_d681e7087
man	w5_d681e7090
den	w7_d681e7093
Feind	w9_d681e7096
angreiffen	w11_d681e7099
wollte,	w13_d681e7103
gieng	w1_d681e7108
derselde	w3_d681e7111
zurück.	w5_d681e7114
Sie	w1_d681e7120
haben	w3_d681e7123
ihre	w5_d681e7126
Todte	w1_d681e7131
und	w3_d681e7134
Bleßirte	w5_d681e7137
an	w7_d681e7140
beeden	w9_d681e7143
Ufern	w11_d681e7146
in	w13_d681e7150
Con	w15_d681e7153
fusion	w1_d681e7158
zurück	w3_d681e7161
gelassen,	w5_d681e7164
und	w7_d681e7167
marschirten	w9_d681e7170
nach	w11_d681e7173
der	w1_d681e7178
Dymel.	w3_d681e7181
Wit	w5_d681e7184
haben	w7_d681e7187
bey	w9_d681e7190
300.	w11_d681e7193
Ge	w13_d681e7197
fangene	w1_d681e7203
gemacht.	w3_d681e7206
Der	w5_d681e7209
zu	w7_d681e7212
Münden	w9_d681e7215
com	w11_d681e7218
mandirende	w1_d681e7223
Herr	w3_d681e7226
von	w5_d681e7229
Rochechouart	w7_d681e7232
that	w9_d681e7235
zu	w11_d681e7238
gleicher	w1_d681e7243
Zeit	w3_d681e7246
einen	w5_d681e7249
lebhaften	w7_d681e7252
Ausfall,	w9_d681e7255
der	w11_d681e7258
die	w1_d681e7263
Feinde	w3_d681e7266
nöhtigte,	w5_d681e7269
in	w7_d681e7272
Unordnung	w9_d681e7275
über	w11_d681e7278
die	w13_d681e7282
Fulda	w1_d681e7288
zurück	w3_d681e7291
zu	w5_d681e7294
gehen,	w7_d681e7297
und	w9_d681e7300
den	w11_d681e7303
Anschlag	w13_d681e7307
auf	w1_d681e7312
Münden	w3_d681e7315
fahren	w5_d681e7318
zu	w7_d681e7321
lassen.	w9_d681e7324
Sie	w11_d681e7327
muß	w13_d681e7331
</p>
<p id="p10_d681e7344">
ten	w1_d681e7348
3.	w3_d681e7351
Canonen	w5_d681e7354
und	w7_d681e7357
einige	w9_d681e7360
Gefangene	w11_d681e7363
zu	w13_d681e7367
rück	w1_d681e7372
lassen.	w3_d681e7375
</p>
<head id="h2_d681e7382">
Altona	w1_d681e7386
vom	w3_d681e7389
28.	w5_d681e7392
Julii.	w7_d681e7395
</head>
<p id="p4_d681e7398">
Mit	w1_d681e7402
Briefen	w3_d681e7405
aus	w5_d681e7408
dem	w7_d681e7411
Mecklenburgischen	w9_d681e7414
vernimmt	w1_d681e7419
man,	w3_d681e7422
daß	w5_d681e7425
die	w7_d681e7428
in	w9_d681e7431
gedachtes	w11_d681e7434
Her	w13_d681e7438
zogtum	w1_d681e7443
eingerückte	w3_d681e7446
Rußische	w5_d681e7449
Trupen	w7_d681e7452
der	w9_d681e7455
Kaiserin	w1_d681e7461
Catharina	w3_d681e7464
der	w5_d681e7467
Andern,	w7_d681e7470
welche	w9_d681e7473
als	w11_d681e7476
Souveraine	w1_d681e7481
den	w3_d681e7484
Rußischen	w5_d681e7487
Thron	w7_d681e7490
bestiegen,	w9_d681e7493
den	w1_d681e7498
Huldigungs=eid	w3_d681e7501
abgeleget	w5_d681e7504
haben,	w7_d681e7507
und	w9_d681e7510
zu	w11_d681e7513
gleich	w1_d681e7518
solche	w3_d681e7521
Anstalten	w5_d681e7524
machen,	w7_d681e7527
die	w9_d681e7530
einen	w11_d681e7533
Zu	w13_d681e7537
rückzug	w1_d681e7543
nach	w3_d681e7546
Pommern	w5_d681e7549
und	w7_d681e7552
Preussen	w9_d681e7555
an	w11_d681e7558
deuten.	w1_d681e7563
</p>
<p id="p6_d681e7566">
Die	w1_d681e7570
neuesten	w3_d681e7573
Petersburger=Zeitungen	w5_d681e7576
gehen	w1_d681e7581
nicht	w3_d681e7584
weiter,	w5_d681e7587
als	w7_d681e7590
bis	w9_d681e7593
zum	w11_d681e7596
6.	w13_d681e7600
dieses,	w15_d681e7603
und	w1_d681e7608
enthalten	w3_d681e7611
daher	w5_d681e7614
von	w7_d681e7617
der	w9_d681e7620
den	w11_d681e7623
9.	w13_d681e7627
in	w15_d681e7630
Ruß	w17_d681e7633
land	w1_d681e7639
vorgefallenen	w3_d681e7642
grossen	w5_d681e7645
Staatsrevoluti	w7_d681e7648
on	w1_d681e7653
noch	w3_d681e7656
nichts.	w5_d681e7659
Ein	w7_d681e7662
gleiches	w9_d681e7665
Stillschwei	w11_d681e7668
gen	w1_d681e7673
beobachtet	w3_d681e7676
die	w5_d681e7679
Königsberger=zeitung,	w7_d681e7682
ob	w1_d681e7687
sie	w3_d681e7690
gleich	w5_d681e7693
vom	w7_d681e7696
19.	w9_d681e7699
dieses	w11_d681e7702
ist.	w13_d681e7706
Judes	w15_d681e7709
sen	w1_d681e7715
bemerkt	w3_d681e7718
man	w5_d681e7721
an	w7_d681e7724
letzterer,	w9_d681e7727
daß	w11_d681e7730
dersel	w13_d681e7734
ben	w1_d681e7739
der	w3_d681e7742
Rußische	w5_d681e7745
Adler	w7_d681e7748
wieder	w9_d681e7751
vorgedruckt	w11_d681e7754
worden.	w1_d681e7759
</p>
<head id="h2_d681e7765">
Nordheim	w1_d681e7769
20.	w3_d681e7772
Julii.	w5_d681e7775
</head>
<p id="p4_d681e7778">
Es	w1_d681e7782
heißt,	w3_d681e7785
daß	w5_d681e7788
jüngst	w7_d681e7791
die	w9_d681e7794
Feinde	w11_d681e7797
aus	w13_d681e7801
die	w15_d681e7804
ser	w1_d681e7809
Ursache	w3_d681e7812
Gottingen	w5_d681e7815
verlassen	w7_d681e7818
hätten,	w9_d681e7821
weil	w11_d681e7824
sie	w1_d681e7829
geglaubt,	w3_d681e7832
daß	w5_d681e7835
ein	w7_d681e7838
Preußisches	w9_d681e7841
Corps	w11_d681e7844
von	w13_d681e7848
hinten,	w1_d681e7854
und	w3_d681e7857
der	w5_d681e7860
Herr	w7_d681e7863
Obriste	w9_d681e7866
von	w11_d681e7869
Schlieben	w13_d681e7873
von	w1_d681e7878
vorne	w3_d681e7881
besagte	w5_d681e7884
Stadt	w7_d681e7887
attaquiren	w9_d681e7890
würde.	w11_d681e7893
Gegenwärtig	w1_d681e7898
soll	w3_d681e7901
die	w5_d681e7904
feindliche	w7_d681e7907
Besatzung	w9_d681e7910
da	w11_d681e7913
selbst	w1_d681e7918
bis	w3_d681e7921
an	w5_d681e7924
4000.	w7_d681e7927
Mannn	w9_d681e7930
angewachsen	w11_d681e7933
seyn,	w1_d681e7939
aber	w3_d681e7942
bis	w5_d681e7945
jetzt	w7_d681e7948
noch	w9_d681e7951
nicht	w11_d681e7954
mehr,	w13_d681e7958
als	w15_d681e7961
4.	w17_d681e7964
Canonen,	w1_d681e7969
darinn	w3_d681e7972
haben.	w5_d681e7975
Die	w7_d681e7978
benachbarten	w9_d681e7981
Bürger	w1_d681e7986
und	w3_d681e7989
Bauren	w5_d681e7992
müssen	w7_d681e7995
den	w9_d681e7998
gesprengten	w11_d681e8001
Wall	w1_d681e8006
am	w3_d681e8009
Albaner=Thore	w5_d681e8012
wieder	w7_d681e8015
in	w9_d681e8018
Stand	w11_d681e8021
beingen	w1_d681e8027
heifen.	w3_d681e8030
Die	w5_d681e8033
Feinde	w7_d681e8036
bemühen	w9_d681e8039
sich	w11_d681e8042
auch	w1_d681e8047
die	w3_d681e8050
in	w5_d681e8053
das	w7_d681e8056
Wasser	w9_d681e8059
geworfene	w11_d681e8062
Canonen	w13_d681e8066
hervorzusuchen.	w1_d681e8071
Man	w3_d681e8074
weiß	w5_d681e8077
nunmehr,	w7_d681e8080
daß	w9_d681e8083
die	w1_d681e8088
Besatzung,	w3_d681e8091
welche	w5_d681e8094
am	w7_d681e8097
16.	w9_d681e8100
des	w11_d681e8103
Abends	w13_d681e8107
Göttingen	w1_d681e8113
verließ,	w3_d681e8116
nur	w5_d681e8119
bis	w7_d681e8122
Friediand	w9_d681e8125
mar	w11_d681e8128
schiret	w1_d681e8133
gewesen,	w3_d681e8136
woselbst	w5_d681e8139
sie	w7_d681e8142
die	w9_d681e8145
Nacht	w11_d681e8148
unter	w13_d681e8152
freyem	w1_d681e8157
Himmel	w3_d681e8160
campiret,	w5_d681e8163
und	w7_d681e8166
den	w9_d681e8169
folgen	w11_d681e8172
den	w1_d681e8177
Morgen	w3_d681e8180
wieder	w5_d681e8183
in	w7_d681e8186
Götitngen	w9_d681e8189
eingerückt	w11_d681e8192
</p>
<p id="p6_d681e8195">
ist.	w1_d681e8199
Die	w3_d681e8202
Feinde	w5_d681e8205
sind	w7_d681e8208
anjetzt	w9_d681e8211
daselbst	w11_d681e8214
auf	w13_d681e8218
ihrer	w15_d681e8221
Hut,	w1_d681e8226
und	w3_d681e8229
die	w5_d681e8232
ganze	w7_d681e8235
Garnison	w9_d681e8238
ist	w11_d681e8241
alle	w13_d681e8245
Nacht	w15_d681e8248
zu	w1_d681e8253
Walle.	w3_d681e8256
</p>
<head id="h2_d681e8262">
Hainburg	w1_d681e8266
5.	w3_d681e8269
Augusti.	w5_d681e8272
</head>
<p id="p4_d681e8275">
Den	w1_d681e8279
4.	w3_d681e8282
hujus	w5_d681e8285
ist	w7_d681e8288
in	w9_d681e8291
dieser	w11_d681e8294
Kaiserl.	w13_d681e8298
Kön.	w15_d681e8301
und	w1_d681e8306
Erzherzoglichen	w3_d681e8309
Stadt	w5_d681e8312
das	w7_d681e8315
zweyte	w9_d681e8318
Ehe	w11_d681e8321
verlobnuß	w1_d681e8326
des	w3_d681e8329
alda	w5_d681e8332
auf	w7_d681e8335
Commando	w9_d681e8338
stehen	w11_d681e8341
den	w1_d681e8347
Herrn	w3_d681e8350
Leutenants	w5_d681e8353
Joh.	w7_d681e8356
Lessel,	w9_d681e8359
des	w11_d681e8362
neus	w13_d681e8366
errichteten	w1_d681e8371
Kaiserl.	w3_d681e8374
Königl.	w5_d681e8377
Guarnisonregi	w7_d681e8380
ments	w1_d681e8385
mit	w3_d681e8388
seiner	w5_d681e8391
Ehr=frauen,	w7_d681e8394
einer	w9_d681e8397
gebohr	w11_d681e8400
nen	w1_d681e8405
Lindnerin	w3_d681e8408
feyerlichst	w5_d681e8411
celebriret	w7_d681e8414
worden;	w9_d681e8417
hierzu	w1_d681e8423
haben	w3_d681e8426
Jhre	w5_d681e8429
Kaiserl.	w7_d681e8432
Königl.	w9_d681e8435
Apost.	w11_d681e8438
Majestät	w1_d681e8443
auf	w3_d681e8446
dessen	w5_d681e8449
allerunterthänigste	w7_d681e8452
Bit	w9_d681e8455
te	w1_d681e8460
den	w3_d681e8463
gleichfalls	w5_d681e8466
auf	w7_d681e8469
Commando	w9_d681e8472
stehenden	w11_d681e8475
Herrn	w1_d681e8480
Obrist=wachtmeister	w3_d681e8483
Freytherrn	w5_d681e8486
von	w7_d681e8489
Hiller	w1_d681e8495
als	w3_d681e8498
abgeordneten	w5_d681e8501
Commissarium	w7_d681e8504
al	w9_d681e8507
lergnädigst	w1_d681e8512
zu	w3_d681e8515
ernennen	w5_d681e8518
geruhet,	w7_d681e8521
welcher	w9_d681e8524
zu	w11_d681e8527
diesem	w1_d681e8532
Ende	w3_d681e8535
jedem	w5_d681e8538
deren	w7_d681e8541
Braut=personen	w9_d681e8544
im	w11_d681e8547
Namen	w1_d681e8552
allerhöchst=gedacht=Kaiserl.	w3_d681e8555
Königl.	w5_d681e8558
Apostolischer	w1_d681e8564
Majestät	w3_d681e8567
eine	w5_d681e8570
goldene	w7_d681e8573
Denk	w9_d681e8576
münze	w1_d681e8581
behändiget	w3_d681e8584
hat.	w5_d681e8587
Der	w7_d681e8590
Herr	w9_d681e8593
Bräuti	w11_d681e8596
gam	w1_d681e8601
ist	w3_d681e8604
78.	w5_d681e8607
Jahr	w7_d681e8610
alt;	w9_d681e8613
dienet	w11_d681e8616
Jhrer	w13_d681e8620
Majest.	w15_d681e8623
in	w17_d681e8626
das	w1_d681e8631
58ste	w3_d681e8634
Jahr;	w5_d681e8637
die	w7_d681e8640
Frau	w9_d681e8643
Braut	w11_d681e8646
ist	w13_d681e8650
in	w15_d681e8653
dem	w17_d681e8656
71.	w1_d681e8662
ihres	w3_d681e8665
Alters,	w5_d681e8668
und	w7_d681e8671
geniessen	w9_d681e8674
beyde	w11_d681e8677
eine	w13_d681e8681
vollständige	w1_d681e8686
Gesundheit.	w3_d681e8689
</p>
<head id="h2_d681e8695">
Wien	w1_d681e8699
den	w3_d681e8702
11.	w5_d681e8705
Augusti	w7_d681e8708
1762.	w9_d681e8711
</head>
<p id="p4_d681e8714">
Nachdeme	w1_d681e8718
Se.	w3_d681e8721
Excellenz	w5_d681e8724
der	w7_d681e8727
K.	w9_d681e8730
K.	w11_d681e8733
Cam	w13_d681e8737
merer,	w1_d681e8742
würklich	w3_d681e8745
geheimer	w5_d681e8748
Raht,	w7_d681e8751
Feld	w9_d681e8754
marschall,	w1_d681e8759
und	w3_d681e8762
Obrister	w5_d681e8765
über	w7_d681e8768
ein	w9_d681e8771
Regiment	w11_d681e8774
zu	w1_d681e8780
Fuß,	w3_d681e8783
wie	w5_d681e8786
auch	w7_d681e8789
der	w9_d681e8792
Zeit	w11_d681e8795
commandirender	w13_d681e8799
General	w1_d681e8804
im	w3_d681e8807
Königreich	w5_d681e8810
Hungarn,	w7_d681e8813
dann	w9_d681e8816
die	w11_d681e8819
ses	w1_d681e8824
Königreichs	w3_d681e8827
Kron=hütter,	w5_d681e8830
Herr	w7_d681e8833
Leo	w9_d681e8836
pold	w1_d681e8841
Graf	w3_d681e8844
Palfy	w5_d681e8847
von	w7_d681e8850
Erdöd	w9_d681e8853
rc.	w11_d681e8856
die	w13_d681e8860
seit	w15_d681e8863
der	w17_d681e8866
Anstellung	w1_d681e8872
der	w3_d681e8875
Königl.	w5_d681e8878
Hungarischen	w7_d681e8881
Gat	w9_d681e8884
de	w1_d681e8889
zu	w3_d681e8892
vollkommener	w5_d681e8895
allerhöchsten	w7_d681e8898
Zufrieden	w9_d681e8901
heit	w1_d681e8906
und	w3_d681e8909
Wolgefallen	w5_d681e8912
Jhrer	w7_d681e8915
K.	w9_d681e8918
und	w11_d681e8921
K.	w13_d681e8925
Apo	w15_d681e8928
stol.	w1_d681e8933
Majestät	w3_d681e8936
begleitete	w5_d681e8939
Capitaine=stelle	w7_d681e8942
aus	w1_d681e8948
triftigen	w3_d681e8951
und	w5_d681e8954
allergnädigst	w7_d681e8957
beangenehm	w9_d681e8960
ten	w1_d681e8965
Beweg=ursachen	w3_d681e8968
abgeleget,	w5_d681e8971
und	w7_d681e8974
mithin	w9_d681e8977
diese	w1_d681e8982
ansehnliche	w3_d681e8985
Hof	w5_d681e8988
und	w7_d681e8991
Militar=charge	w9_d681e8994
von	w1_d681e8999
allerhöchst	w3_d681e9002
gedacht	w5_d681e9005
Jhro	w7_d681e9008
K.	w9_d681e9011
und	w11_d681e9014
Kön.	w13_d681e9018
</p>
<p id="p10_d681e9031">
Apostol.	w1_d681e9035
Majestät	w3_d681e9038
Dero	w5_d681e9041
Cammerern,	w7_d681e9044
würk	w9_d681e9047
lichen	w1_d681e9052
geheimen	w3_d681e9055
Raht,	w5_d681e9058
Generalen	w7_d681e9061
der	w9_d681e9064
Caval	w11_d681e9067
lerie,	w1_d681e9072
und	w3_d681e9075
Kron=büttern	w5_d681e9078
des	w7_d681e9081
Königreichs	w9_d681e9084
Hungarn,	w1_d681e9090
Herrn	w3_d681e9093
Nicolao	w5_d681e9096
Grafen	w7_d681e9099
Esterhazy	w9_d681e9102
von	w1_d681e9107
Galantha	w3_d681e9110
rc.	w5_d681e9113
Excell	w7_d681e9116
in	w9_d681e9119
allermildestem	w11_d681e9122
Anbetracht	w1_d681e9127
seines	w3_d681e9130
alten	w5_d681e9133
vornehmen	w7_d681e9136
Ge	w9_d681e9139
schlechts,	w1_d681e9144
so	w3_d681e9147
sich	w5_d681e9150
von	w7_d681e9153
mehr	w9_d681e9156
Jahr=hundert	w11_d681e9159
in	w1_d681e9165
vielerley	w3_d681e9168
Weege	w5_d681e9171
um	w7_d681e9174
Dero	w9_d681e9177
Durchlauchtig	w11_d681e9180
stes	w1_d681e9185
Erz=haus	w3_d681e9188
sonderbar	w5_d681e9191
verdient	w7_d681e9194
gemacht,	w9_d681e9197
nichtminder	w1_d681e9202
aber	w3_d681e9205
auch	w5_d681e9208
in	w7_d681e9211
huldreichester	w9_d681e9214
Er	w11_d681e9217
wegung	w1_d681e9222
seiner	w3_d681e9225
selbst	w5_d681e9228
eigenen	w7_d681e9231
vortreflichen	w9_d681e9234
Begabnussen,	w1_d681e9240
dann	w3_d681e9243
sowol	w5_d681e9246
zu	w7_d681e9249
Feld,	w9_d681e9252
und	w11_d681e9255
zu	w13_d681e9259
Hof,	w1_d681e9264
vornämlich	w3_d681e9267
aber	w5_d681e9270
bey	w7_d681e9273
denen	w9_d681e9276
aufgehab	w11_d681e9279
ten	w1_d681e9284
verschiedenen	w3_d681e9287
Gesandschaften,	w5_d681e9290
und	w7_d681e9293
letzt	w9_d681e9296
hin	w1_d681e9301
als	w3_d681e9304
Kais.	w5_d681e9307
und	w7_d681e9310
Königl.	w9_d681e9313
Botschafter	w11_d681e9316
am	w13_d681e9320
Rußisch=kaiserl.	w1_d681e9326
Hof	w3_d681e9329
viele	w5_d681e9332
Jahre	w7_d681e9335
hindurch	w9_d681e9338
in	w1_d681e9343
denen	w3_d681e9346
wichtigsten	w5_d681e9349
Geschäften	w7_d681e9352
und	w9_d681e9355
Hand	w11_d681e9358
lungen	w1_d681e9363
geleisteter	w3_d681e9366
staatlichen	w5_d681e9369
Diensten	w7_d681e9372
zum	w9_d681e9375
Capitaine	w1_d681e9380
erwehnter	w3_d681e9383
Königl.	w5_d681e9386
Hungari	w7_d681e9389
schen	w1_d681e9395
adelichen	w3_d681e9398
Leib=garde=compagnie	w5_d681e9401
al	w7_d681e9404
lergnädigst	w1_d681e9409
zu	w3_d681e9412
benennen	w5_d681e9415
geruhet;	w7_d681e9418
Als	w9_d681e9421
ha	w11_d681e9424
ben	w1_d681e9429
Se.	w3_d681e9432
Excell.	w5_d681e9435
der	w7_d681e9438
8.	w9_d681e9441
dieses	w11_d681e9444
Vormittags	w13_d681e9448
in	w15_d681e9451
Allerhöchster	w1_d681e9456
Gegenwart	w3_d681e9459
Jhrer	w5_d681e9462
K.	w7_d681e9465
und	w9_d681e9468
K.	w11_d681e9471
A.	w1_d681e9477
Majest.	w3_d681e9480
die	w5_d681e9483
Eides=pflicht	w7_d681e9486
in	w9_d681e9489
dieser	w11_d681e9492
Quali	w13_d681e9496
tät	w1_d681e9501
abgeleget,	w3_d681e9504
und	w5_d681e9507
sind	w7_d681e9510
gleichfalls	w9_d681e9513
darauf	w11_d681e9516
be	w13_d681e9520
sagter	w1_d681e9525
Compagnie	w3_d681e9528
von	w5_d681e9531
des	w7_d681e9534
ersten	w9_d681e9537
K.	w11_d681e9540
und	w13_d681e9544
K.	w15_d681e9547
K.	w1_d681e9552
Herrn	w3_d681e9555
obristen	w5_d681e9558
Hofmeistern,	w7_d681e9561
Hrn.	w9_d681e9564
Corfitz	w11_d681e9567
Grafen	w1_d681e9573
von	w3_d681e9576
Ulfeld	w5_d681e9579
Excell.	w7_d681e9582
als	w9_d681e9585
Obrister	w11_d681e9588
aller	w13_d681e9592
K.	w1_d681e9597
K.	w3_d681e9600
Leib=garden	w5_d681e9603
vorgestellet	w7_d681e9606
worden.	w9_d681e9609
</p>
<p id="p12_d681e9613">
Montags	w1_d681e9617
den	w3_d681e9620
9.	w5_d681e9623
fruhe	w7_d681e9626
um	w9_d681e9629
halber	w11_d681e9632
6.	w13_d681e9636
Uhr	w15_d681e9639
seynd	w1_d681e9644
Se.	w3_d681e9647
Majestät	w5_d681e9650
der	w7_d681e9653
Kaiser,	w9_d681e9656
mit	w11_d681e9659
Jhren	w13_d681e9663
Königlichen	w1_d681e9668
Hoheiten	w3_d681e9671
denen	w5_d681e9674
Durchleuchtig	w7_d681e9677
sten	w1_d681e9683
Erz=Herzogen	w3_d681e9686
Joseph,	w5_d681e9689
und	w7_d681e9692
Leopold,	w9_d681e9695
in	w11_d681e9698
Gefolge	w1_d681e9703
einiger	w3_d681e9706
Cavalieren,	w5_d681e9709
nach	w7_d681e9712
dero	w9_d681e9715
Schloß	w1_d681e9720
Hollitsch	w3_d681e9723
auf	w5_d681e9726
der	w7_d681e9729
Post	w9_d681e9732
abgegangen.	w11_d681e9735
</p>
<p id="p14_d681e9738">
Dito	w1_d681e9742
seynd	w3_d681e9745
in	w5_d681e9748
der	w7_d681e9751
grossen	w9_d681e9754
Hof=kapellen	w11_d681e9757
für	w1_d681e9762
nachfolgende	w3_d681e9765
hoch=adelich	w5_d681e9768
Sternkreutz	w7_d681e9771
ordens=damen,	w1_d681e9776
benanntlichen	w3_d681e9779
für	w5_d681e9782
die	w7_d681e9785
(Titl.)	w9_d681e9788
Frau	w1_d681e9794
Anna	w3_d681e9797
de	w5_d681e9800
Termini,	w7_d681e9803
und	w9_d681e9806
Mazzanti,	w11_d681e9809
Herzogin	w1_d681e9814
von	w3_d681e9817
Vatticano,	w5_d681e9820
welche	w7_d681e9823
zu	w9_d681e9826
Neapel	w11_d681e9829
dies	w1_d681e9834
Jahrs	w3_d681e9837
in	w5_d681e9840
GOtt	w7_d681e9843
seelig	w9_d681e9846
verschieden;	w11_d681e9849
dann	w13_d681e9853
für	w1_d681e9858
die	w3_d681e9861
(Titl.)	w5_d681e9864
Frau	w7_d681e9867
Cäcilia	w9_d681e9870
Gräfin	w11_d681e9873
von	w13_d681e9877
Abensperg,	w1_d681e9883
und	w3_d681e9886
Traun,	w5_d681e9889
gebohrne	w7_d681e9892
Gräfin	w9_d681e9895
</p>
<p id="p16_d681e9898">
von	w1_d681e9902
Kuefstein,	w3_d681e9905
so	w5_d681e9908
eben	w7_d681e9911
dieses	w9_d681e9914
Jahrs	w11_d681e9917
alhler	w13_d681e9921
verstorben,	w1_d681e9926
die	w3_d681e9929
Exequien	w5_d681e9932
gehalten	w7_d681e9935
worden.	w9_d681e9938
</p>
<p id="p18_d681e9941">
Gestern,	w1_d681e9945
als	w3_d681e9948
am	w5_d681e9951
Fest	w7_d681e9954
des	w9_d681e9957
Heiligen	w11_d681e9960
Lau	w13_d681e9964
rentii	w1_d681e9969
Vormittags	w3_d681e9972
um	w5_d681e9975
9.	w7_d681e9978
Uhr	w9_d681e9981
haben	w11_d681e9984
Jhro	w13_d681e9988
Majestät	w1_d681e9993
die	w3_d681e9996
Kaiserin	w5_d681e9999
sich	w7_d681e10002
von	w9_d681e10005
Schönbrunn	w11_d681e10008
herein	w1_d681e10014
in	w3_d681e10017
die	w5_d681e10020
Burg	w7_d681e10023
erhoben,	w9_d681e10026
wohin	w11_d681e10029
auch	w13_d681e10033
um	w1_d681e10038
10.	w3_d681e10041
Uhr	w5_d681e10044
die	w7_d681e10047
Löblichen	w9_d681e10050
N.	w11_d681e10053
Oe.	w13_d681e10057
