<doc id="wr_1759-02-10" attrs="word" year="1759" month="02" day="10" corpus="2">
<head id="h2_d321e3155">
Haag	w1_d321e3159
werden	w9_d321e6791
Kriegs	w11_d321e6794
gefangene	w1_d321e6800
Sr.	w3_d321e6803
Königl.	w5_d321e6806
Majest.	w7_d321e6809
in	w9_d321e6812
Preus	w11_d321e6815
sen,	w1_d321e6820
marschiren	w3_d321e6823
aus	w5_d321e6826
mit	w7_d321e6829
Ober	w9_d321e6832
und	w11_d321e6835
Unter	w13_d321e6839
gewehr,	w1_d321e6844
klingenden	w3_d321e6847
Spiel,	w5_d321e6850
und	w7_d321e6853
fliegenden	w9_d321e6856
Fahnen,	w1_d321e6861
strecken	w3_d321e6864
hernach	w5_d321e6867
das	w7_d321e6870
Gewehr	w9_d321e6873
an	w11_d321e6876
einem	w1_d321e6882
Orte	w3_d321e6885
der	w5_d321e6888
ihnen	w7_d321e6891
angewiesen	w9_d321e6894
wird,	w11_d321e6897
und	w1_d321e6902
werden	w3_d321e6905
hernach	w5_d321e6908
transportiret,	w7_d321e6911
wo	w9_d321e6914
selbst	w1_d321e6919
sie	w3_d321e6922
aufbehalten	w5_d321e6925
werden,	w7_d321e6928
die	w9_d321e6931
Her	w11_d321e6934
ren	w1_d321e6939
Officiers	w3_d321e6942
behalten	w5_d321e6945
ihr	w7_d321e6948
Seiten=gewehr,	w9_d321e6951
die	w1_d321e6957
Artillerie,	w3_d321e6960
und	w5_d321e6963
was	w7_d321e6966
der	w9_d321e6969
Crone	w11_d321e6972
zustän	w13_d321e6976
dig,	w1_d321e6981
wird	w3_d321e6984
in	w5_d321e6987
der	w7_d321e6990
Stadt	w9_d321e6993
zurück	w11_d321e6996
gelassen.	w13_d321e7000
2.)	w1_d321e7005
Die	w3_d321e7008
Unter=officiers	w5_d321e7011
und	w7_d321e7014
Gemeine	w9_d321e7017
sol	w11_d321e7020
</p>
<p id="p6_d321e7023">
3.)	w1_d321e7027
Wann	w3_d321e7030
etliche	w5_d321e7033
Preußische	w7_d321e7036
Deserteurs	w9_d321e7039
unter	w1_d321e7044
denen	w3_d321e7047
gefangenen	w5_d321e7050
Soldaten	w7_d321e7053
gefunden	w9_d321e7056
werden,	w1_d321e7061
so	w3_d321e7064
sollen	w5_d321e7067
dieselbige	w7_d321e7070
Pardon	w9_d321e7073
haben,	w11_d321e7076
und	w1_d321e7082
gleiche	w3_d321e7085
Condition	w5_d321e7088
mit	w7_d321e7091
denen	w9_d321e7094
anderen	w11_d321e7097
Gefangenen	w1_d321e7102
geniessen.	w3_d321e7105
</p>
<p id="p8_d321e7108">
3.)	w1_d321e7112
Die	w3_d321e7115
Preußischen	w5_d321e7118
Deserteurs,	w7_d321e7121
wel	w9_d321e7124
che	w1_d321e7129
unter	w3_d321e7132
denen	w5_d321e7135
Gefangenen	w7_d321e7138
sich	w9_d321e7141
befinden,	w11_d321e7144
werden	w1_d321e7149
in	w3_d321e7152
soweit	w5_d321e7155
Pardon	w7_d321e7158
haben,	w9_d321e7161
daß	w11_d321e7164
kei	w13_d321e7168
ner	w1_d321e7174
von	w3_d321e7177
denenselben	w5_d321e7180
mit	w7_d321e7183
Lebens=straffe	w9_d321e7186
belegt	w1_d321e7191
werden	w3_d321e7194
solle.	w5_d321e7197
</p>
<p id="p10_d321e7200">
4.)	w1_d321e7204
Keiner	w3_d321e7207
von	w5_d321e7210
denen	w7_d321e7213
Gefangenen	w9_d321e7216
solle	w11_d321e7219
gezwungen	w1_d321e7224
werden,	w3_d321e7227
Königl.	w5_d321e7230
Preußische	w7_d321e7233
Dien	w9_d321e7236
ste	w1_d321e7241
zu	w3_d321e7244
nehmen.	w5_d321e7247
</p>
<p id="p12_d321e7251">
4.)	w1_d321e7255
Es	w3_d321e7258
wird	w5_d321e7261
keiner	w7_d321e7264
mit	w9_d321e7267
Gewalt	w11_d321e7270
ge	w13_d321e7274
zwungen,	w1_d321e7279
Königl.	w3_d321e7282
Preußische	w5_d321e7285
Dienste	w7_d321e7288
an	w9_d321e7291
zunehmen.	w1_d321e7296
</p>
<p id="p14_d321e7299">
5.)	w1_d321e7303
Die	w3_d321e7306
Officiers,	w5_d321e7309
wie	w7_d321e7312
auch	w9_d321e7315
die	w11_d321e7318
Stabs	w13_d321e7322
und	w1_d321e7327
Civil=bediente	w3_d321e7330
von	w5_d321e7333
Ober	w7_d321e7336
und	w9_d321e7339
Unter=stab,	w11_d321e7342
die	w1_d321e7347
Priesters	w3_d321e7350
und	w5_d321e7353
Medici,	w7_d321e7356
und	w9_d321e7359
Artillerieof	w11_d321e7362
</p>
<p id="p18_d321e7367">
ficiers	w1_d321e7371
sollen	w3_d321e7374
mit	w5_d321e7377
ihren	w7_d321e7380
Bedienten,	w9_d321e7383
Pferden,	w11_d321e7386
Equipagen,	w1_d321e7391
und	w3_d321e7394
allem	w5_d321e7397
dem	w7_d321e7400
Jhrigen	w9_d321e7403
frey	w11_d321e7406
und	w13_d321e7410
sicher	w1_d321e7415
abmarschiren	w3_d321e7418
und	w5_d321e7421
reisen,	w7_d321e7424
wohin	w9_d321e7427
sie	w11_d321e7430
wol	w13_d321e7434
len	w1_d321e7440
ohne	w3_d321e7443
Hindernüß.	w5_d321e7446
</p>
<p id="p20_d321e7449">
5.)	w1_d321e7453
Die	w3_d321e7456
Preußische	w5_d321e7459
Officiers	w7_d321e7462
behal	w9_d321e7465
ten	w1_d321e7470
ihre	w3_d321e7473
Degen,	w5_d321e7476
und	w7_d321e7479
wird	w9_d321e7482
denenselben	w11_d321e7485
auf	w1_d321e7490
ihr	w3_d321e7493
Wort	w5_d321e7496
und	w7_d321e7499
unterschriebenen	w9_d321e7502
Re	w11_d321e7505
vers,	w1_d321e7511
daß	w3_d321e7514
sie	w5_d321e7517
Kriegs=gefangene	w7_d321e7520
Sr.	w9_d321e7523
Kö	w11_d321e7526
nigl.	w1_d321e7531
Majest.	w3_d321e7534
in	w5_d321e7537
Preussen	w7_d321e7540
meines	w9_d321e7543
aller	w11_d321e7546
gnädigsten	w1_d321e7551
Herrns	w3_d321e7554
so	w5_d321e7557
lange	w7_d321e7560
seynd,	w9_d321e7563
bis	w11_d321e7566
sie	w13_d321e7570
ranzioniret	w1_d321e7575
worden,	w3_d321e7578
nach	w5_d321e7581
Stralsund	w7_d321e7584
oder	w9_d321e7587
Schweden	w1_d321e7593
herüber	w3_d321e7596
zu	w5_d321e7599
gehen,	w7_d321e7602
in	w9_d321e7605
welcher	w11_d321e7608
Absicht	w1_d321e7613
dieselbe	w3_d321e7616
durch	w5_d321e7619
Preußische	w7_d321e7622
Officiers	w9_d321e7625
bis	w1_d321e7630
Greifswalde	w3_d321e7633
begleitet	w5_d321e7636
werden,	w7_d321e7639
um	w9_d321e7642
von	w1_d321e7647
da	w3_d321e7650
weiter	w5_d321e7653
nach	w7_d321e7656
Stralsund	w9_d321e7659
zu	w11_d321e7662
gehen,	w13_d321e7666
ihre	w1_d321e7672
Equipage,	w3_d321e7675
Pferde,	w5_d321e7678
Bediente,	w7_d321e7681
und	w9_d321e7684
was	w11_d321e7687
denenselben	w1_d321e7692
sonst	w3_d321e7695
eigen	w5_d321e7698
gehöret,	w7_d321e7701
behalten	w9_d321e7704
dieselbe	w1_d321e7709
ungestöhrt.	w3_d321e7712
Mit	w5_d321e7715
denen	w7_d321e7718
Civilbe	w9_d321e7721
dienten,	w1_d321e7726
Priestern	w3_d321e7729
und	w5_d321e7732
Medicis	w7_d321e7735
wird	w9_d321e7738
es	w11_d321e7741
auf	w1_d321e7747
gleiche	w3_d321e7750
Weise	w5_d321e7753
gehalten,	w7_d321e7756
die	w9_d321e7759
Artillerie	w11_d321e7762
unter=officiers	w1_d321e7767
hergegen	w3_d321e7770
bleiben	w5_d321e7773
Kriegs	w7_d321e7776
gefangene,	w1_d321e7781
behalten	w3_d321e7784
dannoch	w5_d321e7787
gleich	w7_d321e7790
denen	w9_d321e7793
gemeinen	w1_d321e7798
Soldaten	w3_d321e7801
ihre	w5_d321e7804
Leibesmonti	w7_d321e7807
rung,	w1_d321e7813
und	w3_d321e7816
was	w5_d321e7819
denenselben	w7_d321e7822
eigen	w9_d321e7825
gehöret.	w11_d321e7828
6.)	w1_d321e7833
Die	w3_d321e7836
Kranken	w5_d321e7839
von	w7_d321e7842
der	w9_d321e7845
Garnison	w11_d321e7848
sol	w13_d321e7852
</p>
<p id="p22_d321e7855">
len	w1_d321e7859
wol	w3_d321e7862
besorgt	w5_d321e7865
und	w7_d321e7868
verpfleget	w9_d321e7871
werden	w11_d321e7874
hier	w13_d321e7878
in	w1_d321e7883
Demmin,	w3_d321e7886
bis	w5_d321e7889
zu	w7_d321e7892
erhaltener	w9_d321e7895
völligen	w11_d321e7898
Ge	w13_d321e7902
sundheit.	w1_d321e7907
</p>
<p id="p24_d321e7911">
6.)	w1_d321e7915
Die	w1_d321e7920
Kranken	w3_d321e7923
werden	w5_d321e7926
besorget	w7_d321e7929
gleich	w1_d321e7934
denen	w3_d321e7937
Königl.	w5_d321e7940
Preußischen	w7_d321e7943
kranken	w9_d321e7946
Soldaten.	w1_d321e7952
</p>
<p id="p26_d321e7955">
7.)	w1_d321e7959
Die	w3_d321e7962
Magazins,	w5_d321e7965
Artillerie	w7_d321e7968
und	w9_d321e7971
Am	w11_d321e7974
munition	w1_d321e7979
sollen	w3_d321e7982
der	w5_d321e7985
Schwedischen	w7_d321e7988
Crone	w9_d321e7991
vorbehalten	w1_d321e7996
seyn,	w3_d321e7999
in	w5_d321e8002
dem	w7_d321e8005
Zustand,	w9_d321e8008
darinn	w11_d321e8011
sich	w13_d321e8015
anjetzo	w1_d321e8021
alles	w3_d321e8024
befindet,	w5_d321e8027
wie	w7_d321e8030
auch	w9_d321e8033
die	w11_d321e8036
Pferde	w13_d321e8040
und	w15_d321e8043
den	w1_d321e8048
ganzen	w3_d321e8051
Troß,	w5_d321e8054
so	w7_d321e8057
mit	w9_d321e8060
Fuhren	w11_d321e8063
von	w13_d321e8067
hier	w15_d321e8070
nach	w1_d321e8075
Stralsund	w3_d321e8078
soll	w5_d321e8081
transportiret	w7_d321e8084
werden,	w9_d321e8087
die	w1_d321e8092
der	w3_d321e8095
commandirende	w5_d321e8098
Preußische	w7_d321e8101
Hr.	w9_d321e8104
Ge	w11_d321e8107
neral	w1_d321e8113
anschaffen	w3_d321e8116
läßt.	w5_d321e8119
</p>
<p id="p28_d321e8122">
7.)	w1_d321e8126
Die	w3_d321e8129
Magazins,	w5_d321e8132
Artillerie,	w7_d321e8135
Ammu	w9_d321e8138
nition,	w1_d321e8143
und	w3_d321e8146
alles,	w5_d321e8149
was	w7_d321e8152
in	w9_d321e8155
Demin	w11_d321e8158
befindlich,	w13_d321e8162
und	w1_d321e8167
der	w3_d321e8170
Crone	w5_d321e8173
Schweden	w7_d321e8176
zuständig	w9_d321e8179
ist,	w11_d321e8182
verbleibet	w1_d321e8188
Sr.	w3_d321e8191
Königl.	w5_d321e8194
Majest.	w7_d321e8197
in	w9_d321e8200
Preus	w11_d321e8203
</p>
<p id="p30_d321e8206">
sen,	w1_d321e8210
und	w3_d321e8213
muß	w5_d321e8216
alles	w7_d321e8219
getreulich,	w9_d321e8222
und	w11_d321e8225
auf	w13_d321e8229
gu	w15_d321e8232
ten	w1_d321e8237
Glauben	w3_d321e8240
angezeiget,	w5_d321e8243
und	w7_d321e8246
nichts	w9_d321e8249
ver	w11_d321e8252
schwiegen	w1_d321e8257
werden,	w3_d321e8260
wozu	w5_d321e8263
Officiers	w7_d321e8266
bestel	w9_d321e8269
let	w1_d321e8275
werden	w3_d321e8278
sollen,	w5_d321e8281
welche	w7_d321e8284
solches	w9_d321e8287
im	w11_d321e8290
Em	w13_d321e8294
pfang	w1_d321e8299
nehmen	w3_d321e8302
werden.	w5_d321e8305
</p>
<p id="p32_d321e8308">
8.)	w1_d321e8312
Anbey	w3_d321e8315
letzten	w5_d321e8318
General=musterung	w7_d321e8321
ver	w9_d321e8324
abschiedete	w1_d321e8329
Soldaten,	w3_d321e8332
die	w5_d321e8335
noch	w7_d321e8338
hier	w9_d321e8341
in	w11_d321e8344
Dem	w13_d321e8348
min	w1_d321e8353
seynd,	w3_d321e8356
sollen	w5_d321e8359
einen	w7_d321e8362
freyen	w9_d321e8365
Abzug	w11_d321e8368
haben.	w13_d321e8372
Demmin,	w1_d321e8378
den	w3_d321e8381
17.	w5_d321e8384
Jan.	w7_d321e8387
1759.	w9_d321e8390
</p>
<p id="p34_d321e8393">
8.)	w1_d321e8397
Was	w3_d321e8400
National=schweden	w5_d321e8403
und	w7_d321e8406
be	w9_d321e8409
reits	w1_d321e8414
von	w3_d321e8417
Berennung	w5_d321e8420
des	w7_d321e8423
Orts	w9_d321e8426
verabschie	w11_d321e8429
det	w1_d321e8434
worden,	w3_d321e8437
auch	w5_d321e8440
seit	w7_d321e8443
dem	w9_d321e8446
keine	w11_d321e8449
Militair	w13_d321e8453
dienste	w1_d321e8459
verrichtet	w3_d321e8462
haben,	w5_d321e8465
sollen	w7_d321e8468
frey	w9_d321e8471
seyn,	w11_d321e8474
die	w1_d321e8479
übrigen	w3_d321e8482
aber	w5_d321e8485
bleiben	w7_d321e8488
Kriegsgefan	w9_d321e8491
gene.	w1_d321e8496
</p>
<p id="p36_d321e8500">
Der	w1_d321e8504
Commandant	w3_d321e8507
der	w5_d321e8510
Stadt,	w7_d321e8513
Herr	w9_d321e8516
Oberster	w1_d321e8521
von	w3_d321e8524
Lillienberg,	w5_d321e8527
muß	w7_d321e8530
eine	w9_d321e8533
Stun	w11_d321e8536
de	w1_d321e8541
anzeigen,	w3_d321e8544
wann	w5_d321e8547
derselbe	w7_d321e8550
das	w9_d321e8553
Anclam	w11_d321e8556
mer=thor	w1_d321e8562
zu	w3_d321e8565
besetzen	w5_d321e8568
einraumen	w7_d321e8571
wird,	w9_d321e8574
daß	w11_d321e8577
solches	w1_d321e8582
von	w3_d321e8585
Königl.	w5_d321e8588
Preußischen	w7_d321e8591
Trupen	w9_d321e8594
besetzet	w1_d321e8599
werde,	w3_d321e8602
weil	w5_d321e8605
es	w7_d321e8608
heute	w9_d321e8611
zu	w11_d321e8614
spät,	w13_d321e8618
daß	w1_d321e8623
die	w3_d321e8626
jetzige	w5_d321e8629
Besatzung	w7_d321e8632
ausmarschiren	w9_d321e8635
könne.	w1_d321e8641
</p>
<head id="h2_d321e8648">
Siedenbrünsow	w1_d321e8652
den	w3_d321e8655
17.	w5_d321e8658
Jan.	w7_d321e8661
1759.	w9_d321e8664
Pro	w1_d321e8669
Memoria.	w3_d321e8672
Auf	w1_d321e8677
den	w3_d321e8680
5.	w5_d321e8683
Articul.	w7_d321e8686
</head>
<p id="p4_d321e8689">
Daß	w1_d321e8693
die	w3_d321e8696
Preußische	w5_d321e8699
Deserieurs,	w7_d321e8702
welche	w9_d321e8705
unter	w1_d321e8710
denen	w3_d321e8713
Gefangenen	w5_d321e8716
sich	w7_d321e8719
befinden,	w9_d321e8722
von	w11_d321e8725
al	w13_d321e8729
ler	w1_d321e8734
Straffe	w3_d321e8737
pardoniret	w5_d321e8740
werden.	w7_d321e8743
</p>
<p id="p6_d321e8746">
Bleibt	w1_d321e8750
bey	w3_d321e8753
dem,	w5_d321e8756
was	w7_d321e8759
im	w9_d321e8762
vorigen	w11_d321e8765
Jn	w13_d321e8769
strument	w1_d321e8774
diesfalls	w3_d321e8777
accordiret	w5_d321e8780
ist,	w7_d321e8783
daß	w9_d321e8786
kei	w11_d321e8789
ner	w1_d321e8794
am	w3_d321e8797
Leben	w5_d321e8800
gestraffet	w7_d321e8803
werden	w9_d321e8806
solle.	w11_d321e8809
</p>
<p id="p8_d321e8812">
An	w1_d321e8816
das	w3_d321e8819
fünfte.	w5_d321e8822
Daß	w7_d321e8825
die	w9_d321e8828
Schwedische	w11_d321e8831
Of	w13_d321e8835
ciers	w1_d321e8840
nach	w3_d321e8843
Belieben	w5_d321e8846
ihren	w7_d321e8849
Soldaten	w9_d321e8852
in	w11_d321e8855
die	w13_d321e8859
Gefangenschaft	w1_d321e8864
mit	w3_d321e8867
folgen	w5_d321e8870
können,	w7_d321e8873
und	w9_d321e8876
daß	w11_d321e8879
hingegen	w1_d321e8885
die	w3_d321e8888
Artillerie=unter=officiers	w5_d321e8891
müssen	w7_d321e8894
frey	w1_d321e8899
seyn,	w3_d321e8902
mit	w5_d321e8905
Bedingung	w7_d321e8908
keine	w9_d321e8911
Dienste	w11_d321e8914
wi	w13_d321e8918
der	w1_d321e8923
das	w3_d321e8926
Königreich	w5_d321e8929
Preussen	w7_d321e8932
in	w9_d321e8935
diesem	w11_d321e8938
Krieg	w13_d321e8942
zu	w1_d321e8947
thun,	w3_d321e8950
insonderheit	w5_d321e8953
die	w7_d321e8956
4.	w9_d321e8959
Stück=junkers,	w11_d321e8962
die	w1_d321e8968
schon	w3_d321e8971
zu	w5_d321e8974
Officier	w7_d321e8977
sind	w9_d321e8980
genennet.	w11_d321e8983
</p>
<p id="p10_d321e8986">
Wann	w1_d321e8990
die	w3_d321e8993
Herren	w5_d321e8996
Officiers	w7_d321e8999
ihre	w9_d321e9002
Paro	w11_d321e9005
le	w1_d321e9010
von	w3_d321e9013
sich	w5_d321e9016
gegeben,	w7_d321e9019
oder	w9_d321e9022
sich	w11_d321e9025
reversiret	w13_d321e9029
</p>
<p id="p16_d321e9043">
haben,	w1_d321e9047
stehet	w3_d321e9050
denenselben	w5_d321e9053
frey,	w7_d321e9056
ihren	w9_d321e9059
Leu	w11_d321e9062
ten	w1_d321e9067
zu	w3_d321e9070
folgen,	w5_d321e9073
oder	w7_d321e9076
nach	w9_d321e9079
Stralsund	w11_d321e9082
zu	w13_d321e9086
gehen.	w1_d321e9091
</p>
<p id="p18_d321e9094">
Wann	w1_d321e9098
die	w3_d321e9101
vier	w5_d321e9104
Stück=junker	w7_d321e9107
Officiers	w9_d321e9110
rang	w1_d321e9115
haben,	w3_d321e9118
werden	w5_d321e9121
selbige	w7_d321e9124
gleichfalls	w9_d321e9127
auf	w11_d321e9130
ihr	w1_d321e9135
Wort	w3_d321e9138
nach	w5_d321e9141
Schweden	w7_d321e9144
zu	w9_d321e9147
gehen	w11_d321e9150
er	w13_d321e9154
laubet,	w1_d321e9160
sonst	w3_d321e9163
aber	w5_d321e9166
bleiben	w7_d321e9169
dieselbe	w9_d321e9172
bey	w11_d321e9175
de	w13_d321e9179
nen	w1_d321e9184
anderen	w3_d321e9187
Unter=officiers,	w5_d321e9190
sollte	w7_d321e9193
dennoch	w9_d321e9196
bey	w1_d321e9201
denen	w3_d321e9204
vieren	w5_d321e9207
ein	w7_d321e9210
Cavalier	w9_d321e9213
seyn,	w11_d321e9216
wird	w13_d321e9220
dessen	w1_d321e9225
Parole	w3_d321e9228
angenommen	w5_d321e9231
werden.	w7_d321e9234
</p>
<p id="p20_d321e9237">
Unter	w1_d321e9241
denen	w3_d321e9244
Officiers=bedienten	w5_d321e9247
werden	w7_d321e9250
auch	w1_d321e9255
begriffen	w3_d321e9258
die	w5_d321e9261
Aufwärter	w7_d321e9264
bey	w9_d321e9267
denen	w11_d321e9270
Officiers.	w1_d321e9275
</p>
<p id="p22_d321e9278">
Der	w1_d321e9282
Bediente,	w3_d321e9285
welchen	w5_d321e9288
der	w7_d321e9291
Officier	w9_d321e9294
be	w11_d321e9297
zahlet,	w1_d321e9302
gehet	w3_d321e9305
mit	w5_d321e9308
demselben,	w7_d321e9311
welche	w9_d321e9314
aber	w11_d321e9317
von	w1_d321e9322
der	w3_d321e9325
Crone	w5_d321e9328
bezahlet	w7_d321e9331
werden,	w9_d321e9334
bleiben	w11_d321e9337
unter	w1_d321e9343
denen	w3_d321e9346
Gefangenen.	w5_d321e9349
</p>
<p id="p24_d321e9353">
An	w1_d321e9357
das	w3_d321e9360
7te.	w5_d321e9363
Vier	w7_d321e9366
Feld=canonen	w9_d321e9369
von	w11_d321e9372
Me	w13_d321e9376
tall	w1_d321e9381
verbleiben	w3_d321e9384
für	w5_d321e9387
die	w7_d321e9390
Crone	w9_d321e9393
Schweden,	w11_d321e9396
und	w13_d321e9400
sollen	w1_d321e9405
nach	w3_d321e9408
Stralsund	w5_d321e9411
transportiret	w7_d321e9414
werden.	w9_d321e9417
Artillerie,	w1_d321e9423
Canonen,	w3_d321e9426
und	w5_d321e9429
was	w7_d321e9432
der	w9_d321e9435
Cro	w11_d321e9438
</p>
<p id="p26_d321e9441">
An	w1_d321e9445
das	w3_d321e9448
8te.	w5_d321e9451
Das	w7_d321e9454
Anclammer=thor	w9_d321e9457
soll	w11_d321e9460
übermorgen	w1_d321e9465
um	w3_d321e9468
10.	w5_d321e9471
Uhr	w7_d321e9474
eingeräumet	w9_d321e9477
seyn,	w11_d321e9480
und	w1_d321e9485
mittler	w3_d321e9488
Zeit	w5_d321e9491
soll	w7_d321e9494
alles	w9_d321e9497
nach	w11_d321e9500
denen	w13_d321e9504
Ca	w15_d321e9507
pitulations=puncten	w1_d321e9513
reguliret	w3_d321e9516
werden,	w5_d321e9519
so	w7_d321e9522
was	w1_d321e9527
die	w3_d321e9530
Magazine	w5_d321e9533
als	w7_d321e9536
das	w9_d321e9539
andere	w11_d321e9542
betrift.	w13_d321e9546
</p>
<p id="p28_d321e9549">
Das	w1_d321e9553
Anclamer=thor	w3_d321e9556
wird	w5_d321e9559
morgen	w7_d321e9562
um	w1_d321e9567
10.	w3_d321e9570
Uhr	w5_d321e9573
an	w7_d321e9576
Sr.	w9_d321e9579
Königl.	w11_d321e9582
Majest.	w13_d321e9586
in	w15_d321e9589
Preussen	w1_d321e9594
Trupen	w3_d321e9597
eingeräumt;	w5_d321e9600
es	w7_d321e9603
soll	w9_d321e9606
aber	w1_d321e9612
nichts	w3_d321e9615
weiter	w5_d321e9618
als	w7_d321e9621
der	w9_d321e9624
commandiren	w11_d321e9627
de	w1_d321e9632
Capitain,	w3_d321e9635
und	w5_d321e9638
seine	w7_d321e9641
Wache,	w9_d321e9644
eher	w11_d321e9647
in	w1_d321e9652
die	w3_d321e9655
Stadt	w5_d321e9658
von	w7_d321e9661
denen	w9_d321e9664
Preussen	w11_d321e9667
kom	w13_d321e9671
men,	w1_d321e9676
bis	w3_d321e9679
die	w5_d321e9682
Schwedische	w7_d321e9685
Trupen	w9_d321e9688
aus	w11_d321e9691
marschiret	w1_d321e9697
sind,	w3_d321e9700
und	w5_d321e9703
dem	w7_d321e9706
Capitain,	w9_d321e9709
mit	w11_d321e9712
seiner	w1_d321e9717
Wache	w3_d321e9720
werden	w5_d321e9723
die	w7_d321e9726
zwey	w9_d321e9729
nächsten	w11_d321e9732
Häuser	w1_d321e9737
am	w3_d321e9740
Thor	w5_d321e9743
eingeräumet.	w7_d321e9746
</p>
<p id="p30_d321e9749">
Die	w1_d321e9753
Hautboisten	w3_d321e9756
und	w5_d321e9759
Musicanten	w7_d321e9762
vor	w9_d321e9765
behalten,	w1_d321e9770
frey	w3_d321e9773
zu	w5_d321e9776
seyn,	w7_d321e9779
weil	w9_d321e9782
sie	w11_d321e9785
von	w13_d321e9789
de	w15_d321e9792
nen	w1_d321e9797
Officiers	w3_d321e9800
ihre	w5_d321e9803
Soldung	w7_d321e9806
bekommen.	w9_d321e9809
</p>
<p id="p32_d321e9812">
Das	w1_d321e9816
Corps	w3_d321e9819
Hautboisten	w5_d321e9822
vom	w7_d321e9825
Speni	w9_d321e9828
schen	w1_d321e9833
Regiment,	w3_d321e9836
wann	w5_d321e9839
solches	w7_d321e9842
von	w9_d321e9845
de	w11_d321e9848
</p>
<p id="p34_d321e9851">
nen	w1_d321e9855
Officiers	w3_d321e9858
unterhalten	w1_d321e9863
wird,	w3_d321e9866
solle	w5_d321e9869
demselben	w1_d321e9874
frey	w3_d321e9877
stehen,	w5_d321e9880
anderweitige	w7_d321e9883
Em	w9_d321e9886
ploi	w1_d321e9892
zu	w3_d321e9895
suchen.	w5_d321e9898
</p>
<p id="p36_d321e9902">
Fourage	w1_d321e9906
für	w3_d321e9909
die	w5_d321e9912
Officiers,	w7_d321e9915
die	w9_d321e9918
denen	w11_d321e9921
Soldaten	w1_d321e9926
in	w3_d321e9929
Gefangenschaft	w5_d321e9932
mitfolgen,	w7_d321e9935
vor	w9_d321e9938
behalten	w1_d321e9943
ihnen	w3_d321e9946
zu	w5_d321e9949
geniessen	w7_d321e9952
unter	w9_d321e9955
den	w11_d321e9958
Mar	w13_d321e9962
schen.	w1_d321e9968
</p>
<p id="p38_d321e9971">
Demmin,	w1_d321e9975
den	w3_d321e9978
17.	w5_d321e9981
Jan.	w7_d321e9984
1759.	w9_d321e9987
Fourage	w1_d321e9992
soll	w3_d321e9995
für	w5_d321e9998
die	w7_d321e10001
Officiers	w9_d321e10004
ihre	w11_d321e10007
Pferde	w1_d321e10012
gegeben	w3_d321e10015
werden,	w5_d321e10018
bis	w7_d321e10021
selbige	w9_d321e10024
mit	w11_d321e10027
denen	w1_d321e10033
Leuten,	w3_d321e10036
welchen	w5_d321e10039
sie	w7_d321e10042
folgen,	w9_d321e10045
an	w11_d321e10048
den	w1_d321e10053
Ort	w3_d321e10056
ihrer	w5_d321e10059
Bestimmung	w7_d321e10062
kommen,	w9_d321e10065
oder	w1_d321e10070
wann	w3_d321e10073
sie	w5_d321e10076
nach	w7_d321e10079
Stralsund	w9_d321e10082
gehen,	w11_d321e10085
auch	w1_d321e10090
bis	w3_d321e10093
dahin.	w5_d321e10096
</p>
<head id="h2_d321e10102">
Siedenbrünsow,	w1_d321e10106
den	w3_d321e10109
17.	w5_d321e10112
Jan.	w7_d321e10115
1759.	w9_d321e10118
Dreßden	w1_d321e10123
22.	w3_d321e10126
Jan.	w5_d321e10129
</head>
<p id="p4_d321e10132">
Seit	w1_d321e10136
der	w3_d321e10139
Abreise	w5_d321e10142
Sr.	w7_d321e10145
Königl.	w9_d321e10148
Hoheit	w11_d321e10151
des	w1_d321e10156
Prinzens	w3_d321e10159
Heinrichs,	w5_d321e10162
ist	w7_d321e10165
es	w9_d321e10168
in	w11_d321e10171
hiesigen	w13_d321e10175
Gegenden	w1_d321e10180
sehr	w3_d321e10183
still,	w5_d321e10186
so,	w7_d321e10189
daß	w9_d321e10192
man	w11_d321e10195
ausser	w13_d321e10199
denen	w1_d321e10205
beständig	w3_d321e10208
ankommenden	w5_d321e10211
Rerruten	w7_d321e10214
transports	w1_d321e10219
nicht	w3_d321e10222
die	w5_d321e10225
geringste	w7_d321e10228
Bewegung	w9_d321e10231
von	w1_d321e10236
Trupen	w3_d321e10239
bemerket.	w5_d321e10242
Die	w7_d321e10245
20.	w9_d321e10248
Getreid	w11_d321e10251
wägen,	w1_d321e10256
welche	w3_d321e10259
unlängst	w5_d321e10262
angehalten	w7_d321e10265
worden,	w9_d321e10268
hat	w1_d321e10274
man	w3_d321e10277
gegen	w5_d321e10280
Erlegung	w7_d321e10283
von	w9_d321e10286
2.	w11_d321e10289
Thlr.	w13_d321e10293
für	w15_d321e10296
jedes	w1_d321e10301
Scheffel	w3_d321e10304
wieder	w5_d321e10307
abfahren	w7_d321e10310
lassen,	w9_d321e10313
und	w11_d321e10316
soll	w1_d321e10321
die	w3_d321e10324
Sache	w5_d321e10327
nach	w7_d321e10330
der	w9_d321e10333
Zurückkunft	w11_d321e10336
Sr.	w13_d321e10340
Königl.	w1_d321e10345
Hoheit	w3_d321e10348
erst	w5_d321e10351
untersucht	w7_d321e10354
werden.	w9_d321e10357
Jm	w1_d321e10363
Thüringischen	w3_d321e10366
sind	w5_d321e10369
die	w7_d321e10372
Aspecten	w9_d321e10375
sehr	w11_d321e10378
kriegerisch.	w1_d321e10383
Die	w3_d321e10386
Anzahl	w5_d321e10389
der	w7_d321e10392
Trupen,	w9_d321e10395
wel	w11_d321e10398
