<doc id="edoc_wd_1726-09-14" attrs="word" year="1726" month="09" day="14" corpus="1">
<head id="hl1">
Gibraltar	w54
verschie=dene	w1864
<g/>
=
Zimmer	w1866
ausrüsten	w1867
<g/>
/
und	w1869
auszieren	w1870
las=sen	w1871
<g/>
=
<g/>
;
und	w1874
ist	w1875
dieses	w1876
der	w1877
gantze	w1878
Anlaß	w1879
des	w1880
bishero	w1881
so	w1882
stark	w1883
aber	w1884
ohngegründete	w1885
<g/>
/
ergan=genen	w1887
<g/>
=
Gerüchts	w1889
<g/>
/
als	w1891
ob	w1892
dieses	w1893
neue	w1894
Quar=tier	w1895
<g/>
=
für	w1897
vornehme	w1898
Gäste	w1899
<g/>
/
die	w1901
man	w1902
von	w1903
dem	w1904
Hof	w1905
aus	w1906
dahin	w1907
schicken	w1908
wurde	w1909
<g/>
/
wäre	w1911
ausge=rüstet	w1912
<g/>
=
worden	w1914
<g/>
.
</p>
<p id="p29">
Die	w1916
verwittibte	w1917
Hertzogin	w1918
von	w1919
Orleans	w1920
ist	w1921
nach	w1922
einer	w1923
ihr	w1924
gethaner	w1925
Ader	w1926
<g/>
=
lasse	w1928
<g/>
/
und	w1930
zu	w1931
sich	w1932
genommener	w1933
Artzney	w1934
vollkommen	w1935
hierge=stellet	w1936
<g/>
=
<g/>
/
und	w1939
den	w1940
24	w1941
<g/>
.
dieses	w1943
nacher	w1944
Versailles	w1945
abgereiset	w1946
<g/>
/
von	w1948
dar	w1949
sie	w1950
sich	w1951
nacher	w1952
Bagnolet	w1953
erheben	w1954
wird	w1955
<g/>
/
um	w1957
alda	w1958
mit	w1959
ihren	w1960
Prinzessin=nen	w1961
<g/>
=
Töchtern	w1963
wehrender	w1964
Herbst	w1965
<g/>
=
Zeit	w1967
zu	w1968
ver=bleiben	w1969
<g/>
=
<g/>
.
</p>
<p id="p30">
Der	w1972
Kriegs	w1973
<g/>
=
Minister	w1975
Herr	w1976
le	w1977
<g/>
-
Blanc	w1979
er=holen	w1980
<g/>
=
sich	w1982
allgemach	w1983
von	w1984
seinem	w1985
schweren	w1986
Zu=fall	w1987
<g/>
=
<g/>
/
dessen	w1990
Wunden	w1991
fangen	w1992
an	w1993
wieder	w1994
mit	w1995
Fleisch	w1996
zu	w1997
überwachsen	w1998
<g/>
/
und	w2000
glaubet	w2001
man	w2002
nicht	w2003
<g/>
/
daß	w2005
es	w2006
vonnöhten	w2007
seyn	w2008
werde	w2009
<g/>
/
die=selbe	w2011
<g/>
=
offen	w2013
zu	w2014
behalten	w2015
<g/>
/
er	w2017
hat	w2018
sich	w2019
wiede=rum	w2020
<g/>
=
barbieren	w2022
lassen	w2023
<g/>
/
stehet	w2025
des	w2026
nach	w2027
<g/>
=
Mit=tags	w2029
<g/>
=
von	w2031
dem	w2032
Beht	w2033
auf	w2034
<g/>
/
und	w2036
bringet	w2037
die	w2038
Zeit	w2039
in	w2040
seinem	w2041
Sessel	w2042
zu	w2043
<g/>
:
der	w2045
König	w2046
<g/>
/
wel=cher	w2048
<g/>
=
für	w2050
dessen	w2051
Beybehaltung	w2052
grosse	w2053
Sorge	w2054
hat	w2055
<g/>
/
hat	w2057
ihme	w2058
verbotten	w2059
<g/>
/
so	w2061
bald	w2062
denen	w2063
ih=me	w2064
<g/>
=
sonsten	w2066
obligenden	w2067
arbeitsamen	w2068
Geschäf=ten	w2069
<g/>
=
abzuwarten	w2071
<g/>
.
</p>
<p id="p31">
Der	w2073
König	w2074
hat	w2075
in	w2076
seinem	w2077
Wild	w2078
<g/>
=
Bahn	w2080
al=len	w2081
<g/>
=
und	w2083
jeden	w2084
Personen	w2085
<g/>
/
Hohen	w2087
und	w2088
Nieder=ren	w2089
<g/>
=
<g/>
/
von	w2092
was	w2093
Ansehen	w2094
und	w2095
Würde	w2096
dieselben	w2097
immer	w2098
seyn	w2099
mögen	w2100
<g/>
/
die	w2102
Jagd	w2103
<g/>
/
und	w2105
das	w2106
Schiessen	w2107
verbotten	w2108
<g/>
/
damit	w2110
insonderheit	w2111
das	w2112
</p>
<p id="p32">
fast	w2116
gantz	w2117
ausgeschossene	w2118
Wild	w2119
<g/>
/
und	w2121
Geflü=gel	w2122
<g/>
=
<g/>
/
sich	w2125
wiederum	w2126
erholen	w2127
möchte	w2128
<g/>
.
</p>
<p id="p33">
Die	w2130
vergangene	w2131
Woche	w2132
seynd	w2133
in	w2134
der	w2135
St	w2136
<g/>
.
Rochus	w2138
<g/>
=
Pfarr	w2140
<g/>
=
Kirchen	w2142
aus	w2143
denen	w2144
dreyen	w2145
Capellen	w2146
die	w2147
Kirchen	w2148
Zieraten	w2149
samt	w2150
600	w2151
<g/>
.
Li-vres	w2153
<g/>
-
an	w2155
Geld	w2156
<g/>
/
so	w2158
dasiger	w2159
Vicarius	w2160
darinnen	w2161
bewahret	w2162
hatte	w2163
<g/>
/
gestohlen	w2165
worden	w2166
<g/>
.
</p>
<p id="p34">
Der	w2168
Cardinal	w2169
von	w2170
Bissy	w2171
ist	w2172
seit	w2173
einigen	w2174
Ta=gen	w2175
<g/>
=
unpäßlich	w2177
<g/>
/
jedoch	w2179
hoffet	w2180
man	w2181
<g/>
/
daß	w2183
nach	w2184
einer	w2185
ihme	w2186
gethanen	w2187
Ader	w2188
<g/>
=
lasse	w2190
<g/>
/
dessen	w2192
Krank=heit	w2193
<g/>
=
keine	w2195
weitere	w2196
Folge	w2197
haben	w2198
werde	w2199
<g/>
.
Der	w2201
junge	w2202
Hertzog	w2203
von	w2204
Chartres	w2205
ist	w2206
noch	w2207
immer	w2208
ohnpäßlich	w2209
<g/>
;
und	w2211
die	w2212
Sorge	w2213
zu	w2214
seiner	w2215
Wie=der	w2216
<g/>
=
<g/>
=
Genesung	w2219
dem	w2220
Herrn	w2221
Gamar	w2222
<g/>
,
einem	w2224
in	w2225
Kinder	w2226
<g/>
=
Krankheiten	w2228
best	w2229
<g/>
=
erfahrnen	w2231
<g/>
/
und	w2233
berühmtesten	w2234
Apotheker	w2235
<g/>
/
anvertrauet	w2237
wor=den	w2238
<g/>
=
<g/>
.
Der	w2241
zu	w2242
Poutoise	w2243
krank	w2244
darnieder	w2245
gele=gene	w2246
<g/>
=
Hertzog	w2248
von	w2249
Bouillon	w2250
ist	w2251
wieder	w2252
ausser	w2253
Gefahr	w2254
<g/>
;
den	w2256
20	w2257
<g/>
.
dieses	w2259
seynd	w2260
seine	w2261
Herren	w2262
Brüder	w2263
<g/>
/
und	w2265
die	w2266
Prinzessin	w2267
von	w2268
Montbazon	w2269
dessen	w2270
Schwester	w2271
<g/>
/
per	w2273
Posta	w2274
zu	w2275
ihme	w2276
abgerei=set	w2277
<g/>
=
<g/>
.
</p>
<p id="p35">
Der	w2280
Ritter	w2281
von	w2282
Montmorency	w2283
hat	w2284
vor	w2285
dem	w2286
höchsten	w2287
Gericht	w2288
zu	w2289
Mechelen	w2290
<g/>
/
in	w2292
denen	w2293
Oesterreichischen	w2294
Niederlanden	w2295
<g/>
/
ein	w2297
14	w2298
<g/>
.
Jahr	w2300
lang	w2301
gewährten	w2302
Process	w2303
<g/>
,
worinnen	w2305
es	w2306
um	w2307
eine	w2308
Jährliche	w2309
11000	w2310
Livres	w2311
ertragende	w2312
Herrschaft	w2313
zu	w2314
thun	w2315
ware	w2316
<g/>
/
gewonnen	w2318
<g/>
;
und	w2320
ist	w2321
dessen	w2322
Gegen	w2323
<g/>
=
Partey	w2325
condemnirt	w2326
wor=den	w2327
<g/>
=
<g/>
/
ihme	w2330
nicht	w2331
nur	w2332
die	w2333
seit	w2334
15	w2335
<g/>
.
Jahren	w2337
dar=von	w2338
<g/>
=
gezogene	w2340
Nutzen	w2341
<g/>
/
sondern	w2343
auch	w2344
das	w2345
nach	w2346
Proportion	w2347
Jährlich	w2348
davon	w2349
fallende	w2350
Interesse	w2351
zu	w2352
bezahlen	w2353
<g/>
.
</p>
<p id="p36">
Man	w2355
versichert	w2356
<g/>
/
daß	w2358
Msr	w2359
<g/>
.
Paris	w2361
du	w2362
Ver-nay	w2363
<g/>
-
ein	w2365
unter	w2366
dem	w2367
vorigen	w2368
Ministerio	w2369
in	w2370
dem	w2371
Finanz	w2372
Wesen	w2373
stark	w2374
interessirt	w2375
gewester	w2376
Herr	w2377
<g/>
/
den	w2379
23	w2380
<g/>
.
dieses	w2382
in	w2383
besagter	w2384
Bastille	w2385
aus	w2386
dem	w2387
vorherigen	w2388
Ort	w2389
seiner	w2390
Verweisung	w2391
an=gelangt	w2392
<g/>
=
<g/>
/
kurtz	w2395
darauf	w2396
auch	w2397
Msr	w2398
<g/>
.
Gerard	w2400
<g/>
,
des	w2402
Hertzogen	w2403
von	w2404
Bourbon	w2405
Befehls	w2406
<g/>
=
Secre-tarius	w2408
<g/>
-
<g/>
,
dahin	w2411
gefolget	w2412
<g/>
/
solches	w2414
auch	w2415
durch	w2416
den	w2417
Grafen	w2418
von	w2419
Maurepas	w2420
dem	w2421
Hertzogen	w2422
notificiret	w2423
worden	w2424
seye	w2425
<g/>
:
man	w2427
thut	w2428
hinzu	w2429
<g/>
/
daß	w2431
auch	w2432
der	w2433
Herr	w2434
Paris	w2435
de	w2436
Montague	w2437
<g/>
,
des	w2439
obigen	w2440
Herrn	w2441
Paris	w2442
Bruder	w2443
<g/>
/
aus	w2445
seinem	w2446
Verweisungs	w2447
<g/>
=
Ort	w2449
nach	w2450
der	w2451
Bastille	w2452
unter	w2453
Wegs	w2454
wäre	w2455
<g/>
/
von	w2457
einem	w2458
Detaschement	w2459
der	w2460
sogenannten	w2461
Marechausées	w2462
<g/>
,
oder	w2464
Gerichts	w2465
<g/>
=
Dienern	w2467
zu	w2468
Pferd	w2469
<g/>
/
begleitet	w2471
wurde	w2472
<g/>
/
und	w2474
es	w2475
mit	w2476
ihren	w2477
Sachen	w2478
ein	w2479
ernstliches	w2480
Ausse=hen	w2481
<g/>
=
hätte	w2483
<g/>
.
</p>
<p id="p37">
Letztere	w2485
Briefe	w2486
aus	w2487
Dauphiné	w2488
melden	w2489
<g/>
/
</p>
<p id="p38">
daß	w2491
das	w2492
gantze	w2493
zu	w2494
der	w2495
Stadt	w2496
Gap	w2497
gehöri=ge	w2498
<g/>
=
Land	w2500
seit	w2501
einigen	w2502
Tagen	w2503
durch	w2504
einen	w2505
in	w2506
Grösse	w2507
deren	w2508
Hühner	w2509
<g/>
=
Eyern	w2511
gefallenen	w2512
Ha=gel	w2513
<g/>
=
<g/>
/
samt	w2516
denen	w2517
darauf	w2518
gestandenen	w2519
Feld	w2520
<g/>
=
Früchten	w2522
<g/>
/
gänzlich	w2524
zerschlagen	w2525
<g/>
/
viele	w2527
Tä=cher	w2528
<g/>
=
von	w2530
denen	w2531
Häusern	w2532
abgerissen	w2533
<g/>
/
und	w2535
verschiedene	w2536
Menschen	w2537
<g/>
/
und	w2539
Vieh	w2540
<g/>
/
darbey	w2542
umgekommen	w2543
seyen	w2544
<g/>
.
</p>
<p id="p39">
NB	w2546
<g/>
.
Mittwochs	w2548
<g/>
/
den	w2550
21	w2551
<g/>
.
August	w2553
1726	w2554
<g/>
.
ist	w2556
ein	w2557
paar	w2558
Ohr	w2559
<g/>
=
Gehenke	w2561
verlohren	w2562
wor=dem	w2563
<g/>
=
<g/>
/
mit	w2566
einem	w2567
weissen	w2568
und	w2569
saubern	w2570
Brillian- ten	w2571
<g/>
-
anderen	w2573
das	w2574
Stük	w2575
ohngefehr	w2576
18	w2577
<g/>
.
Gran	w2579
wäget	w2580
<g/>
/
und	w2582
ohngefehr	w2583
einen	w2584
Saltzburgi=schen	w2585
<g/>
=
Zweyer	w2587
groß	w2588
<g/>
:
man	w2590
glaubet	w2591
<g/>
/
sie	w2593
möch=ten	w2594
<g/>
=
von	w2596
einem	w2597
Fenster	w2598
in	w2599
ein	w2600
Papier	w2601
einge=wickelt	w2602
<g/>
=
<g/>
/
auf	w2605
die	w2606
Gasse	w2607
hinunter	w2608
gefallen	w2609
seyn	w2610
<g/>
;
sie	w2612
stehen	w2613
Madamen	w2614
der	w2615
Hertzogin	w2616
von	w2617
Ollo-ne	w2618
<g/>
-
<g/>
,
in	w2621
der	w2622
Universitäts	w2623
<g/>
=
Gassen	w2625
<g/>
/
in	w2627
der	w2628
Vor	w2629
<g/>
=
Stadt	w2631
zu	w2632
S	w2633
<g/>
.
Germain	w2635
<g/>
,
neben	w2637
der	w2638
Eis	w2639
<g/>
=
Gru=ben	w2641
<g/>
=
<g/>
/
zu	w2644
<g/>
.
Die	w2646
jenigen	w2647
<g/>
/
so	w2649
Nachricht	w2650
davon	w2651
bringen	w2652
werden	w2653
<g/>
/
sollen	w2655
30	w2656
<g/>
.
Pistolen	w2658
haben	w2659
<g/>
.
Bey	w2661
Madamen	w2662
der	w2663
Hertzogin	w2664
von	w2665
Ollone	w2666
<g/>
,
in	w2668
der	w2669
Universitäts	w2670
<g/>
=
Gassen	w2672
<g/>
/
sich	w2674
anzumel=den	w2675
<g/>
=
<g/>
.
Wofern	w2678
sie	w2679
jemand	w2680
noch	w2681
vor	w2682
der	w2683
Re-commendation	w2684
<g/>
-
gekauffet	w2686
hat	w2687
<g/>
/
solle	w2689
ihme	w2690
das	w2691
Geld	w2692
wieder	w2693
gegeben	w2694
werden	w2695
<g/>
.
</p>
<head id="hl11">
Brüssel	w2697
30	w2698
<g/>
.
Augusti	w2700
<g/>
.
</head>
<p id="p40">
Mittwochs	w2702
<g/>
/
als	w2704
des	w2705
Tages	w2706
<g/>
/
an	w2708
welchen	w2709
Jhre	w2710
Majestät	w2711
<g/>
/
die	w2713
Regierende	w2714
Kaiserin	w2715
in	w2716
das	w2717
36	w2718
<g/>
.
Jahr	w2720
ihres	w2721
Alters	w2722
gienge	w2723
<g/>
/
empfien=ge	w2725
<g/>
=
Jhre	w2727
Ertz	w2728
Hertzogliche	w2729
Durchl	w2730
<g/>
.
derowe=gen	w2732
<g/>
=
von	w2734
dem	w2735
sämtlichen	w2736
Adel	w2737
in	w2738
Gala	w2739
-Klei	w2740
Klei=dern	w2741
<g/>
=
<g/>
/
die	w2744
Glükwünschungs	w2745
<g/>
=
Complimenten	w2747
<g/>
/
und	w2749
erhube	w2750
sich	w2751
gegen	w2752
11	w2753
<g/>
.
Uhr	w2755
<g/>
/
in	w2757
öffentli=chem	w2758
<g/>
=
Gepräng	w2760
<g/>
/
in	w2762
die	w2763
Collegial	w2764
-Kirche	w2765
zu	w2766
St	w2767
Michael	w2768
<g/>
/
und	w2770
S	w2771
<g/>
.
Gudule	w2773
<g/>
,
alwo	w2775
höchst=gemeldete	w2776
<g/>
=
Jhre	w2778
Durchl	w2779
<g/>
.
der	w2781
feyerlichen	w2782
Messe	w2783
beywohneten	w2784
<g/>
/
so	w2786
von	w2787
dem	w2788
Bischoffen	w2789
von	w2790
Tricale	w2791
gehalten	w2792
<g/>
/
und	w2794
von	w2795
der	w2796
Hof	w2797
<g/>
=
Musik	w2799
gesungen	w2800
wurde	w2801
<g/>
;
worbey	w2803
dann	w2804
alle	w2805
Rähte	w2806
<g/>
/
und	w2808
der	w2809
Magistrat	w2810
in	w2811
Versammlung	w2812
er=schienen	w2813
<g/>
=
<g/>
.
</p>
<p id="p41">
Seine	w2816
Excell	w2817
<g/>
.
der	w2819
Herr	w2820
Graf	w2821
Visconti	w2822
<g/>
,
Jhrer	w2824
Durchl	w2825
<g/>
.
Oberster	w2827
Hof	w2828
<g/>
=
Meister	w2830
<g/>
/
gabe	w2832
dem	w2833
Adel	w2834
ein	w2835
prächtiges	w2836
Festin	w2837
<g/>
,
worauf	w2839
eine	w2840
wohl	w2841
<g/>
=
bestimmete	w2843
Musik	w2844
erfolgete	w2845
<g/>
.
</p>
<p id="p42">
Des	w2847
Abends	w2848
wurde	w2849
der	w2850
Hof	w2851
<g/>
/
sowol	w2853
von	w2854
aussen	w2855
<g/>
/
als	w2857
von	w2858
innen	w2859
<g/>
/
mit	w2861
einer	w2862
grossen	w2863
Menge	w2864
Wind	w2865
<g/>
=
Lichtern	w2867
erleuchtet	w2868
<g/>
;
wie	w2870
nicht	w2871
weniger	w2872
der	w2873
Platz	w2874
an	w2875
dem	w2876
Thier	w2877
<g/>
=
Garten	w2879
<g/>
/
alwo	w2881
gerade	w2882
gegen	w2883
dem	w2884
Gelänter	w2885
des	w2886
kleinen	w2887
</p>
<p id="p43">
Gartens	w2890
über	w2891
<g/>
/
wo	w2893
man	w2894
von	w2895
dem	w2896
Hofe	w2897
herunter	w2898
gehet	w2899
<g/>
/
ein	w2901
Chor	w2902
anfgerichtetware	w2903
<g/>
;
Jhre	w2905
Durchl	w2906
<g/>
.
begabe	w2908
sich	w2909
in	w2910
Begleitung	w2911
de=rer	w2912
<g/>
=
Herren	w2914
und	w2915
Damen	w2916
von	w2917
Dero	w2918
Gefolg	w2919
<g/>
/
um	w2921
8	w2922
<g/>
.
Uhr	w2924
dahin	w2925
<g/>
/
und	w2927
nachdeme	w2928
selhe	w2929
sich	w2930
unter	w2931
einem	w2932
herrlichen	w2933
Baldakin	w2934
von	w2935
Car=mesin	w2936
<g/>
=
<g/>
=
farbenem	w2939
Sammet	w2940
<g/>
/
mit	w2942
goldenen	w2943
Ga=lonen	w2944
<g/>
=
<g/>
/
niedergelassen	w2947
<g/>
/
wurde	w2949
eine	w2950
schöne	w2951
Musik	w2952
von	w2953
Stimmen	w2954
und	w2955
Jnstrumenten	w2956
ge=machet	w2957
<g/>
=
<g/>
/
worauf	w2960
eine	w2961
grosse	w2962
Menge	w2963
Raketen	w2964
geworffen	w2965
<g/>
/
und	w2967
andere	w2968
Kunst	w2969
<g/>
=
Feuer	w2971
<g/>
=
werk	w2973
angezündet	w2974
wurde	w2975
<g/>
/
nebst	w2977
einer	w2978
dreymaligen	w2979
Abfeuerung	w2980
des	w2981
Geschützes	w2982
auf	w2983
allen	w2984
unsern	w2985
Wällen	w2986
<g/>
.
Folglich	w2988
wurde	w2989
auf	w2990
dem	w2991
grossen	w2992
Schau	w2993
<g/>
=
Platz	w2995
ein	w2996
Bal	w2997
gehalten	w2998
<g/>
.
</p>
<p id="p44">
Weilen	w3000
der	w3001
Verkauf	w3002
derer	w3003
Kauf	w3004
<g/>
=
Güter	w3006
aus	w3007
denen	w3008
zweyen	w3009
Schiffen	w3010
aus	w3011
China	w3012
<g/>
,
über	w3014
3	w3015
<g/>
.
Millionen	w3017
ausgetragen	w3018
<g/>
/
und	w3020
die	w3021
Ladung	w3022
des	w3023
Schiffes	w3024
aus	w3025
Lengala	w3026
<g/>
,
welche	w3028
den	w3029
16	w3030
<g/>
.
nechst	w3032
<g/>
=
künftigen	w3034
Monats	w3035
verkauffet	w3036
werden	w3037
soll	w3038
<g/>
/
ohngefehr	w3040
auf	w3041
2	w3042
<g/>
.
Millionen	w3044
geschätzet	w3045
wird	w3046
<g/>
/
wird	w3048
man	w3049
nicht	w3050
vonnöhten	w3051
haben	w3052
<g/>
/
von	w3054
denen	w3055
in	w3056
der	w3057
Ostendischen	w3058
Compagnie	w3059
interessirten	w3060
<g/>
,
die	w3062
anderthalbe	w3063
Million	w3064
<g/>
/
so	w3066
noch	w3067
zu	w3068
Erfüllung	w3069
der	w3070
Fondi	w3071
der	w3072
Compag-nie	w3073
<g/>
-
<g/>
,
welche	w3076
auf	w3077
6	w3078
<g/>
.
Millionen	w3080
gesetzet	w3081
ist	w3082
<g/>
/
darvon	w3084
schon	w3085
fünfthalbe	w3086
Million	w3087
bezahlet	w3088
worden	w3089
<g/>
/
ausständig	w3091
ist	w3092
<g/>
/
zu	w3094
begehren	w3095
<g/>
.
</p>
<p id="p45">
Man	w3097
arbeitet	w3098
zu	w3099
Ostende	w3100
an	w3101
einem	w3102
Schifs	w3103
<g/>
=
Bau	w3105
<g/>
=
Hause	w3107
<g/>
/
um	w3109
darinnen	w3110
die	w3111
Schiffe	w3112
<g/>
/
so	w3114
die	w3115
Compagnie	w3116
vonnöhren	w3117
haben	w3118
wird	w3119
<g/>
/
zu	w3121
errichten	w3122
<g/>
.
Man	w3124
hat	w3125
schon	w3126
die	w3127
Materia- lien	w3128
<g/>
-
für	w3130
zwey	w3131
Kaufmanns	w3132
<g/>
=
Schiffe	w3134
beyge=bracht	w3135
<g/>
=
<g/>
.
Sie	w3138
sollen	w3139
auf	w3140
die	w3141
Art	w3142
<g/>
/
wie	w3144
die	w3145
zwey	w3146
<g/>
/
so	w3148
die	w3149
Compagnie	w3150
vor	w3151
kurtzem	w3152
zu	w3153
Hamburg	w3154
gekauffet	w3155
hat	w3156
<g/>
/
gebauet	w3158
werden	w3159
<g/>
/
welche	w3161
den	w3162
dritten	w3163
Theil	w3164
mehr	w3165
fassen	w3166
kön=nen	w3167
<g/>
=
<g/>
/
als	w3170
die	w3171
jenigen	w3172
<g/>
/
so	w3174
bisher	w3175
in	w3176
Jndien	w3177
geschiket	w3178
worden	w3179
<g/>
.
Diese	w3181
zwey	w3182
Schiffe	w3183
von	w3184
Hamburg	w3185
seynd	w3186
nur	w3187
für	w3188
40	w3189
<g/>
.
Stücken	w3191
Ge=schützes	w3192
<g/>
=
zugerichtet	w3194
<g/>
/
damit	w3196
ein	w3197
grössere	w3198
Men=ge	w3199
<g/>
=
Waaren	w3201
darein	w3202
gesetzet	w3203
werden	w3204
könne	w3205
<g/>
.
</p>
<p id="p46">
Man	w3207
ist	w3208
beschäftiget	w3209
3	w3210
<g/>
.
Kauf	w3212
<g/>
=
Schiffe	w3214
<g/>
/
so	w3216
neulich	w3217
aus	w3218
Jndien	w3219
gekommen	w3220
<g/>
/
auszubes=sern	w3222
<g/>
=
<g/>
/
damit	w3225
man	w3226
sie	w3227
vor	w3228
Ende	w3229
dieses	w3230
Jahrs	w3231
wiederum	w3232
hinein	w3233
schicken	w3234
könne	w3235
<g/>
/
nebst	w3237
denen	w3238
zwey	w3239
obgemeldten	w3240
Hamburgischen	w3241
Schiffen	w3242
<g/>
:
man	w3244
wird	w3245
sie	w3246
eher	w3247
<g/>
/
als	w3249
sonsten	w3250
gewöhnlich	w3251
<g/>
/
nach	w3253
der	w3254
Holländer	w3255
Beyspiel	w3256
<g/>
/
absegeln	w3258
las=sen	w3259
<g/>
=
<g/>
.
Man	w3262
wird	w3263
sie	w3264
mit	w3265
starken	w3266
Bieren	w3267
bela=den	w3268
<g/>
=
<g/>
/
darvon	w3271
man	w3272
ein	w3273
Maß	w3274
<g/>
/
so	w3276
nur	w3277
4	w3278
<g/>
.
Sold	w3280
kostet	w3281
<g/>
/
bey	w3283
denen	w3284
Jndianern	w3285
für	w3286
einen	w3287
hal halben	w3288
<g/>
=
</p>
<p id="p47">
ben	w3290
Patacon	w3291
verkauffet	w3292
<g/>
:
über	w3294
diesen	w3295
grossen	w3296
Profit	w3297
<g/>
,
wird	w3299
das	w3300
Land	w3301
darmit	w3302
sein	w3303
Getreide	w3304
verbrauchen	w3305
<g/>
/
daß	w3307
es	w3308
dasselbe	w3309
nicht	w3310
an	w3311
die	w3312
Nachbaren	w3313
verkauffen	w3314
darf	w3315
<g/>
.
</p>
<p id="p48">
Man	w3317
schreibet	w3318
von	w3319
Charleroy	w3320
<g/>
,
daß	w3322
an	w3323
dem	w3324
25	w3325
<g/>
.
dieses	w3327
Monats	w3328
<g/>
/
der	w3330
Herr	w3331
Caspar	w3332
Chausteur	w3333
<g/>
,
besagter	w3335
Stadt	w3336
Pfarrer	w3337
und	w3338
Re-ctor	w3339
<g/>
-
die	w3341
Einweihung	w3342
des	w3343
Grund	w3344
<g/>
=
Steins	w3346
zu	w3347
der	w3348
neuen	w3349
Pfarr	w3350
<g/>
=
Kirchen	w3352
<g/>
/
so	w3354
daselbst	w3355
ge=bauet	w3356
<g/>
=
werden	w3358
solle	w3359
<g/>
/
verrichtet	w3361
<g/>
/
und	w3363
der	w3364
Hr	w3365
<g/>
.
General	w3367
<g/>
/
Graf	w3369
von	w3370
Beaufort	w3371
<g/>
,
der	w3373
Stadt	w3374
Gubernator	w3375
<g/>
,
ihn	w3377
unter	w3378
dem	w3379
Schall	w3380
oftma=liger	w3381
<g/>
=
Abfeuerung	w3383
einer	w3384
Anzahl	w3385
Pöller	w3386
<g/>
/
und	w3388
sechs	w3389
Stüken	w3390
<g/>
/
so	w3392
zu	w3393
diesem	w3394
Ende	w3395
um	w3396
den	w3397
Platz	w3398
gesetzet	w3399
waren	w3400
<g/>
/
geleget	w3402
hat	w3403
<g/>
.
</p>
<head id="hl12">
Hamburg	w3405
30	w3406
<g/>
.
Augusti	w3408
<g/>
.
</head>
<p id="p49">
Wie	w3410
mit	w3411
Petersburger	w3412
Brieffen	w3413
unter	w3414
den	w3415
18	w3416
<g/>
.
Augusti	w3418
verlautet	w3419
<g/>
/
so	w3421
hätten	w3422
die	w3423
Engel=ländische	w3424
<g/>
=
alda	w3426
sich	w3427
befindende	w3428
Kauf	w3429
Leute	w3430
sich	w3431
zu	w3432
der	w3433
Czarin	w3434
verfüget	w3435
<g/>
/
und	w3437
bey	w3438
deroselben	w3439
eine	w3440
sehr	w3441
gnädige	w3442
Audientz	w3443
erhalten	w3444
<g/>
/
bey	w3446
welcher	w3447
Gelegenheit	w3448
sich	w3449
dieselbe	w3450
bedanket	w3451
<g/>
/
daß	w3453
es	w3454
Jhrer	w3455
Majestät	w3456
gefallen	w3457
wollen	w3458
<g/>
/
ih=nen	w3460
<g/>
=
die	w3462
freye	w3463
Handelschaft	w3464
in	w3465
dero	w3466
Reiche	w3467
und	w3468
Lande	w3469
noch	w3470
fernerhin	w3471
zu	w3472
gönnen	w3473
<g/>
/
ohn=geachtet	w3475
<g/>
=
Jhre	w3477
Groß	w3478
<g/>
=
Britannische	w3480
Majestät	w3481
gegenwertige	w3482
dero	w3483
Flotte	w3484
in	w3485
der	w3486
Ost	w3487
<g/>
=
See	w3489
auf	w3490
einige	w3491
Zeit	w3492
sich	w3493
aufzuhalten	w3494
<g/>
/
befohlen	w3496
<g/>
:
die	w3498
denen	w3499
Engelländischen	w3500
Kauf	w3501
<g/>
=
Leuten	w3503
hierauf	w3504
gewordene	w3505
Antwort	w3506
hätte	w3507
bloß	w3508
allein	w3509
darin	w3510
bestanden	w3511
<g/>
/
wie	w3513
Jhre	w3514
Majestät	w3515
die	w3516
Czarin	w3517
zwar	w3518
die	w3519
gröste	w3520
Ursach	w3521
hätte	w3522
<g/>
/
das	w3524
Unterneh=men	w3525
<g/>
=
des	w3527
Königs	w3528
von	w3529
Engelland	w3530
in	w3531
Absen=dung	w3532
<g/>
=
einer	w3534
Flote	w3535
nach	w3536
der	w3537
Ost	w3538
<g/>
=
See	w3540
<g/>
/
wormit	w3542
er	w3543
vermeinete	w3544
Gesetze	w3545
vorzuschreiben	w3546
an	w3547
der	w3548
gantzen	w3549
Engelländischen	w3550
Nation	w3551
<g/>
/
und	w3553
ihren	w3554
Effecten	w3555
entgelten	w3556
zu	w3557
lassen	w3558
<g/>
/
so	w3560
wäre	w3561
sie	w3562
doch	w3563
der	w3564
Gütigkeit	w3565
nach	w3566
entschlossen	w3567
<g/>
/
das	w3569
billige	w3570
Widersprechen	w3571
auszusetzen	w3572
<g/>
/
verhoffend	w3574
es	w3575
wurden	w3576
Se	w3577
<g/>
.
Groß	w3579
<g/>
=
Britannische	w3581
Majestät	w3582
ei=nes	w3583
<g/>
=
andern	w3585
sich	w3586
entschliessen	w3587
<g/>
/
ihre	w3589
zum	w3590
Nach=theil	w3591
<g/>
=
längst	w3593
denen	w3594
Russischen	w3595
Küsten	w3596
kreutzen=de	w3597
<g/>
=
Flotte	w3599
zuruk	w3600
ziehen	w3601
<g/>
/
und	w3603
sonst	w3604
zu	w3605
keinen	w3606
Weiterungen	w3607
Anlaß	w3608
geben	w3609
<g/>
/
da	w3611
inmittelst	w3612
aber	w3613
alle	w3614
