<doc id="edoc_wd_1762-07-28" attrs="word" year="1762" month="07" day="28" corpus="1">
<head id="hl1">
Warschau	w39
Ham	w1883
und	w1884
Horn	w1885
sehr	w1886
wol	w1887
seyn	w1888
lassen	w1889
<g/>
.
Vom	w1891
18	w1892
<g/>
.
bis	w1894
zum	w1895
20	w1896
<g/>
.
wären	w1898
von	w1899
allen	w1900
Enden	w1901
der	w1902
auf	w1903
dem	w1904
Hamburger	w1905
Berge	w1906
<g/>
,
vor	w1908
dem	w1909
Damm	w1910
<g/>
=
thore	w1912
<g/>
,
in	w1914
der	w1915
Vorstadt	w1916
St	w1917
<g/>
.
Jürgen	w1919
<g/>
,
und	w1921
in	w1922
an=dern	w1923
<g/>
=
Gegenden	w1925
des	w1926
Hamburgischen	w1927
Terri=torii	w1928
<g/>
=
wohnenden	w1930
Einwohner	w1931
<g/>
,
ja	w1933
auch	w1934
vie=ler	w1935
<g/>
=
von	w1937
Altona	w1938
ganz	w1939
eilfertiges	w1940
Flüch=ten	w1941
<g/>
=
in	w1943
die	w1944
Stadt	w1945
kläglich	w1946
und	w1947
fürchterlich	w1948
anzusehen	w1949
gewesen	w1950
<g/>
.
Der	w1952
Gottesdienst	w1953
sey	w1954
den	w1955
20	w1956
<g/>
.
unter	w1958
Unruhe	w1959
und	w1960
Schröcken	w1961
abge=halten	w1962
<g/>
=
worden	w1964
<g/>
.
Besonders	w1966
aber	w1967
wird	w1968
die	w1969
Bewegung	w1970
des	w1971
Pöbels	w1972
gegen	w1973
die	w1974
Dänische	w1975
Werber	w1976
folgender	w1977
gestalt	w1978
erzehlet	w1979
<g/>
:
Den	w1981
20	w1982
<g/>
.
gegen	w1984
Abend	w1985
nämlich	w1986
um	w1987
7	w1988
<g/>
.
Uhr	w1990
ent=stund	w1991
<g/>
=
auf	w1993
dem	w1994
Zeughaus	w1995
<g/>
=
markte	w1997
unter	w1998
dem	w1999
gemeinen	w2000
Volke	w2001
und	w2002
denen	w2003
Dänischen	w2004
Wer=bern	w2005
<g/>
=
einige	w2007
Unruhe	w2008
<g/>
,
worauf	w2010
aber	w2011
sogleich	w2012
ein	w2013
Detaschement	w2014
dahin	w2015
gesendet	w2016
wurde	w2017
<g/>
,
und	w2019
man	w2020
postirte	w2021
sowol	w2022
vor	w2023
als	w2024
in	w2025
und	w2026
ausser	w2027
dem	w2028
Altonaer	w2029
<g/>
=
thore	w2031
doppelte	w2032
Wachten	w2033
<g/>
,
und	w2035
an	w2036
jedem	w2037
Schlagbaum	w2038
derer	w2039
Thore	w2040
stellte	w2041
man	w2042
ebenmäßig	w2043
2	w2044
<g/>
.
Mann	w2046
von	w2047
der	w2048
Miliz	w2049
<g/>
.
Um	w2051
8	w2052
<g/>
.
Uhr	w2054
mochte	w2055
es	w2056
seyn	w2057
<g/>
,
als	w2059
sich	w2060
einige	w2061
Handwerks	w2062
<g/>
=
bursche	w2064
dem	w2065
Werbe	w2066
<g/>
=
hause	w2068
nä=herten	w2069
<g/>
=
<g/>
,
und	w2072
mit	w2073
dem	w2074
daselbst	w2075
befindlichen	w2076
Königl	w2077
<g/>
.
Dänischen	w2079
Husaren	w2080
<g/>
=
officier	w2082
in	w2083
ein	w2084
Gespräch	w2085
einliessen	w2086
<g/>
,
und	w2088
sich	w2089
stellten	w2090
<g/>
,
als	w2092
wenn	w2093
sie	w2094
Lust	w2095
hätten	w2096
<g/>
,
Dienste	w2098
zu	w2099
nehmen	w2100
<g/>
;
ehe	w2102
man	w2103
sichs	w2104
aber	w2105
versahe	w2106
<g/>
,
ergrif	w2108
einer	w2109
von	w2110
denen	w2111
Handwerks	w2112
<g/>
=
burschen	w2114
das	w2115
Dä=nische	w2116
<g/>
=
Werbe	w2118
<g/>
=
schild	w2120
<g/>
,
worauf	w2122
3	w2123
<g/>
.
Husaren	w2125
in	w2126
völliger	w2127
Montur	w2128
gemahlt	w2129
stunden	w2130
<g/>
,
und	w2132
warf	w2133
solches	w2134
auf	w2135
die	w2136
Erde	w2137
<g/>
,
da	w2139
denn	w2140
<g/>
,
sobald	w2142
dieses	w2143
geschehen	w2144
<g/>
,
viele	w2146
tausend	w2147
Menschen	w2148
im	w2149
Augenblick	w2150
vor	w2151
dem	w2152
Hause	w2153
versammlet	w2154
waren	w2155
<g/>
,
und	w2157
da	w2158
der	w2159
Pöbel	w2160
so	w2161
zustürmte	w2162
<g/>
,
daß	w2164
man	w2165
um	w2166
den	w2167
Officier	w2168
sowol	w2169
<g/>
,
als	w2171
um	w2172
</p>
<p id="p33">
die	w2174
Nieberreissung	w2175
des	w2176
Werbe	w2177
<g/>
=
hauses	w2179
be=forgt	w2180
<g/>
=
wurde	w2182
<g/>
,
sandte	w2184
unser	w2185
Herr	w2186
Commen=dant	w2187
<g/>
=
sogleich	w2189
300	w2190
<g/>
.
Mann	w2192
Militz	w2193
mit	w2194
gela=denem	w2195
<g/>
=
Gewehr	w2197
und	w2198
aufgepflanztem	w2199
Bajo=net	w2200
<g/>
=
<g/>
,
nebst	w2203
25	w2204
<g/>
.
Dragonern	w2206
<g/>
,
welche	w2208
der	w2209
Wuth	w2210
des	w2211
Pöbels	w2212
Einhalt	w2213
thun	w2214
sollten	w2215
<g/>
.
Diese	w2217
drangen	w2218
auch	w2219
sogleich	w2220
unter	w2221
das	w2222
Volk	w2223
<g/>
,
und	w2225
waren	w2226
so	w2227
glücklich	w2228
<g/>
,
es	w2230
nach	w2231
einigem	w2232
Widerstande	w2233
zu	w2234
zerstreuen	w2235
<g/>
,
und	w2237
nachdem	w2238
dieses	w2239
geschehen	w2240
<g/>
,
ward	w2242
das	w2243
Werbe	w2244
<g/>
=
haus	w2246
mit	w2247
50	w2248
<g/>
.
Mann	w2250
Jnsanterie	w2251
besetzet	w2252
<g/>
,
und	w2254
das	w2255
Andringen	w2256
des	w2257
Pöbels	w2258
verbindert	w2259
<g/>
,
auch	w2261
desselben	w2262
Vorhaben	w2263
auf	w2264
diese	w2265
Weise	w2266
zernich	w2267
tet	w2268
Um	w2269
aber	w2270
nicht	w2271
noch	w2272
mehreren	w2273
Folgen	w2274
sich	w2275
unterwürfig	w2276
zu	w2277
machen	w2278
<g/>
,
und	w2280
die	w2281
noch	w2282
besorgliche	w2283
Unruhen	w2284
gänzlich	w2285
zu	w2286
hemmen	w2287
<g/>
;
so	w2289
ward	w2290
der	w2291
Husaren	w2292
<g/>
=
officier	w2294
nebst	w2295
seinen	w2296
Untergebenen	w2297
unter	w2298
einer	w2299
starken	w2300
Bedeckung	w2301
von	w2302
hier	w2303
bis	w2304
nach	w2305
Altona	w2306
begleitet	w2307
<g/>
,
und	w2309
hinter	w2310
ihm	w2311
ward	w2312
sogleich	w2313
das	w2314
Thor	w2315
gesper=ret	w2316
<g/>
=
<g/>
,
und	w2319
aller	w2320
Unfug	w2321
wor	w2322
nunmehro	w2323
auf	w2324
einmal	w2325
vorbey	w2326
<g/>
.
Mittwochs	w2328
<g/>
,
als	w2330
den	w2331
23	w2332
<g/>
.
Junii	w2334
<g/>
,
sey	w2336
hierauf	w2337
<g/>
,
nachdem	w2339
dasjenige	w2340
<g/>
,
was	w2342
Se	w2343
<g/>
.
Königl	w2345
<g/>
.
Majestät	w2347
in	w2348
Dännemark	w2349
ge=fordert	w2350
<g/>
=
<g/>
,
bewilliget	w2353
worden	w2354
<g/>
,
von	w2356
den	w2357
Kö=nigl	w2358
<g/>
=
<g/>
.
Dänischen	w2361
Trupen	w2362
nichts	w2363
mehr	w2364
zu	w2365
se=hen	w2366
<g/>
=
und	w2368
zu	w2369
hören	w2370
gewesen	w2371
<g/>
.
</p>
<head id="hl7">
Wien	w2373
den	w2374
28	w2375
<g/>
.
Julii	w2377
1762	w2378
<g/>
.
</head>
<p id="p34">
Montags	w2380
den	w2381
26	w2382
<g/>
.
Julii	w2384
<g/>
,
als	w2386
am	w2387
St	w2388
<g/>
.
Anna=fest	w2390
<g/>
=
ware	w2392
der	w2393
gewöhnliche	w2394
Gottesdienst	w2395
in	w2396
der	w2397
Schloß	w2398
<g/>
=
kapelle	w2400
zu	w2401
Schönbrunn	w2402
<g/>
.
Die	w2404
Herren	w2405
Bottschafter	w2406
<g/>
,
Gesandte	w2408
<g/>
,
und	w2410
der	w2411
Adel	w2412
sind	w2413
daselbst	w2414
in	w2415
Gala	w2416
erschienen	w2417
<g/>
,
und	w2419
haben	w2420
bey	w2421
Jhrer	w2422
Königl	w2423
<g/>
.
Hoheit	w2425
<g/>
,
der	w2427
Durchl	w2428
<g/>
.
Erz	w2430
<g/>
=
herzogin	w2432
Maria	w2433
Anna	w2434
ihre	w2435
Glück	w2436
<g/>
=
wünschungs	w2438
<g/>
=
complimenten	w2440
abgele=get	w2441
<g/>
=
<g/>
.
Abends	w2444
ist	w2445
in	w2446
dem	w2447
daselbigen	w2448
Theatro	w2449
ein	w2450
Französisches	w2451
neues	w2452
Lustspiel	w2453
aufgefüh=tet	w2454
<g/>
=
worden	w2456
<g/>
.
</p>
<p id="p35">
Seit	w2458
dem	w2459
vergangenen	w2460
Mittwoch	w2461
sind	w2462
hier	w2463
verschiedene	w2464
Curiers	w2465
theils	w2466
aus	w2467
War=schau	w2468
<g/>
=
<g/>
,
theils	w2471
aus	w2472
Petersburg	w2473
an	w2474
den	w2475
hiesthiestgen	w2476
<g/>
=
</p>
<p id="p36">
gen	w2478
Hof	w2479
<g/>
,
und	w2481
an	w2482
einige	w2483
Minister	w2484
auswärti=ger	w2485
<g/>
=
Höfe	w2487
hier	w2488
angekommen	w2489
<g/>
,
welche	w2491
die	w2492
Nachricht	w2493
<g/>
,
und	w2495
ihre	w2496
Bestättigung	w2497
mitbrach=ten	w2498
<g/>
=
<g/>
,
daß	w2501
der	w2502
Rußische	w2503
Kaiser	w2504
den	w2505
9	w2506
<g/>
.
dieses	w2508
Monats	w2509
des	w2510
Reiches	w2511
entsetzet	w2512
<g/>
,
und	w2514
der	w2515
Kai=serin	w2516
<g/>
=
Majestät	w2518
mit	w2519
allgemeiner	w2520
Freude	w2521
zur	w2522
Selbstherrscherin	w2523
aller	w2524
Reussen	w2525
ausgeruffen	w2526
worden	w2527
<g/>
,
auch	w2529
die	w2530
Regierung	w2531
glücklich	w2532
an=getrerten	w2533
<g/>
=
haben	w2535
<g/>
;
wovon	w2537
in	w2538
Dero	w2539
höchstem	w2540
Namen	w2541
der	w2542
hiesige	w2543
Rußisch	w2544
<g/>
=
Kaiferliche	w2546
Bot=schafter	w2547
<g/>
=
Herr	w2549
Fürst	w2550
v	w2551
<g/>
.
Galliczin	w2553
die	w2554
freund=schaftliche	w2555
<g/>
=
Eräfnung	w2557
dem	w2558
Kaiserl	w2559
<g/>
.
Königl	w2561
<g/>
.
Hof	w2563
alhier	w2564
gemacht	w2565
hat	w2566
<g/>
.
</p>
<p id="p37">
Den	w2568
7	w2569
<g/>
.
laufenden	w2571
Monats	w2572
Julii	w2573
ist	w2574
all=hier	w2575
<g/>
=
die	w2577
Ziehung	w2578
der	w2579
K	w2580
<g/>
.
K	w2582
<g/>
.
Lotterie	w2584
vor	w2585
sich	w2586
gegangen	w2587
<g/>
,
und	w2589
die	w2590
Nri	w2591
<g/>
.
49	w2593
<g/>
.
39	w2595
<g/>
.
23	w2597
<g/>
.
28	w2599
<g/>
.
und	w2601
20	w2602
<g/>
.
gehoben	w2604
<g/>
,
den	w2606
21	w2607
<g/>
.
aber	w2609
besagten	w2610
Monats	w2611
ist	w2612
auch	w2613
die	w2614
Ziehung	w2615
in	w2616
der	w2617
K	w2618
<g/>
.
K	w2620
<g/>
.
Haupt	w2622
<g/>
=
stadt	w2624
Prag	w2625
vorgenommen	w2626
<g/>
,
und	w2628
die	w2629
Nri	w2630
<g/>
.
86	w2632
<g/>
.
57	w2634
<g/>
.
38	w2636
<g/>
.
17	w2638
<g/>
.
und	w2640
4	w2641
<g/>
.
mit	w2643
viel	w2644
be=trächtlichen	w2645
<g/>
=
Ambl	w2647
<g/>
,
Terni	w2649
<g/>
,
und	w2651
Estratti	w2652
ge=hoben	w2653
<g/>
=
worden	w2655
<g/>
.
</p>
<p id="p38">
Den	w2657
7	w2658
<g/>
.
künftigen	w2660
Monats	w2661
wird	w2662
allhier	w2663
die	w2664
weitere	w2665
Ziehung	w2666
geschehen	w2667
<g/>
.
</p>
<head id="hl8">
Lista	w2669
deren	w2670
Verstorbenen	w2671
zu	w2672
Wien	w2673
in	w2674
<g/>
=
und	w2676
vor	w2677
der	w2678
Stadt	w2679
<g/>
.
</head>
<head id="hl9">
Den	w2681
22	w2682
<g/>
.
Julii	w2684
<g/>
.
Jn	w2686
der	w2687
Stadt	w2688
<g/>
.
</head>
<list id="">
Framz	w2690
Furtmayr	w2691
<g/>
,
Lehen	w2693
<g/>
=
kutsch	w2695
<g/>
.
<g/>
=
kn	w2698
<g/>
.
<g/>
,
bey	w2701
dem	w2702
bl	w2703
<g/>
.
Hecht	w2705
<g/>
.
am	w2707
hoh	w2708
<g/>
.
Markt	w2710
<g/>
,
alt	w2712
48	w2713
<g/>
.
J	w2715
<g/>
.
</list>
<head id="hl10">
Vor	w2717
der	w2718
Stadt	w2719
<g/>
.
</head>
<list id="">
Dem	w2721
Hrn	w2722
<g/>
.
Ehristoph	w2724
Mulser	w2725
<g/>
,
gew	w2727
<g/>
.
K	w2729
<g/>
.
K	w2731
<g/>
.
Andi=tor	w2733
<g/>
=
<g/>
=
leuten	w2736
<g/>
.
<g/>
,
s	w2739
<g/>
.
K	w2741
<g/>
.
Jgnatz	w2743
<g/>
,
beym	w2745
gr	w2746
<g/>
.
Thor	w2748
in	w2749
der	w2750
Josephst	w2751
<g/>
.
<g/>
,
alt	w2754
3	w2755
<g/>
.
J	w2757
<g/>
.
Dem	w2759
Christoph	w2760
Horn	w2761
<g/>
,
Burgerl	w2763
<g/>
.
Sammet	w2765
<g/>
=
mach	w2767
<g/>
.
<g/>
,
s	w2770
<g/>
.
W	w2772
<g/>
.
Gertr	w2774
<g/>
.
in	w2776
der	w2777
Kienmayris	w2778
<g/>
.
Fabrig	w2780
auf	w2781
der	w2782
Landstr	w2783
<g/>
.
<g/>
,
alt	w2786
56	w2787
<g/>
.
J	w2789
<g/>
.
Dem	w2791
Paul	w2792
Ungleich	w2793
<g/>
,
Burgerl	w2795
<g/>
.
Bildb	w2797
<g/>
.
<g/>
,
s	w2800
<g/>
.
K	w2802
<g/>
.
The=res	w2804
<g/>
=
<g/>
,
beym	w2807
gold	w2808
<g/>
.
Adl	w2810
<g/>
.
bey	w2812
Maria	w2813
<g/>
=
hülf	w2815
<g/>
,
7	w2817
<g/>
.
v	w2819
<g/>
.
J	w2821
<g/>
.
Dem	w2823
Joh	w2824
<g/>
.
Weiß	w2826
<g/>
,
Brief	w2828
<g/>
=
trag	w2830
<g/>
.
<g/>
,
s	w2833
<g/>
.
K	w2835
<g/>
.
Theres	w2837
<g/>
.
<g/>
,
bey	w2840
der	w2841
gpld	w2842
<g/>
.
Schaal	w2844
<g/>
.
in	w2846
der	w2847
Josephst	w2848
<g/>
.
<g/>
,
alt	w2851
5	w2852
<g/>
.
J	w2854
<g/>
.
Elisab	w2856
<g/>
.
Schornerin	w2858
<g/>
,
Burgerl	w2860
<g/>
.
Wittwe	w2862
<g/>
,
in	w2864
ihrem	w2865
H	w2866
<g/>
.
in	w2868
der	w2869
Leopoldst	w2870
<g/>
.
<g/>
,
alt	w2873
76	w2874
<g/>
.
J	w2876
<g/>
.
Dem	w2878
Framz	w2879
Bitterlich	w2880
<g/>
,
Herrschaftl	w2882
<g/>
.
Koch	w2884
<g/>
,
s	w2886
<g/>
.
K	w2888
<g/>
.
Jos	w2890
<g/>
.
<g/>
,
bey	w2893
der	w2894
gold	w2895
Taub	w2896
<g/>
.
in	w2898
der	w2899
Josephst	w2900
<g/>
,
1	w2902
<g/>
.
J	w2904
<g/>
.
Summa	w2906
7	w2907
<g/>
.
Person	w2909
<g/>
.
<g/>
,
darunter	w2912
4	w2913
<g/>
.
Kind	w2915
<g/>
.
</list>
<head id="hl11">
Den	w2918
25	w2919
<g/>
.
Julii	w2921
<g/>
.
</head>
<head id="hl12">
Jn	w2923
der	w2924
Stadt	w2925
<g/>
.
</head>
<list id="">
Dem	w2927
Hochedelg	w2928
<g/>
.
Hrn	w2930
<g/>
.
Joh	w2932
<g/>
.
Bernh	w2934
<g/>
.
Edlen	w2936
v	w2937
<g/>
.
Degel=mann	w2939
<g/>
=
<g/>
,
K	w2942
<g/>
.
K	w2944
<g/>
.
Commercial	w2946
<g/>
=
hof	w2948
<g/>
=
raht	w2950
<g/>
,
s	w2952
<g/>
.
Fr	w2954
<g/>
.
The=res	w2956
<g/>
=
<g/>
.
<g/>
,
geb	w2960
v	w2961
<g/>
.
Koller	w2963
<g/>
,
und	w2965
Nogy	w2966
<g/>
=
Manya	w2968
<g/>
,
im	w2970
Fa=bris	w2971
<g/>
=
<g/>
.
H	w2974
<g/>
.
in	w2976
der	w2977
Wolzeil	w2978
<g/>
,
alt	w2980
34	w2981
<g/>
.
J	w2983
<g/>
.
Fr	w2985
<g/>
.
Anna	w2987
Magdal	w2988
<g/>
.
Manßriederin	w2990
<g/>
,
Wittwe	w2992
<g/>
,
beym	w2994
Ang	w2995
Gottes	w2996
am	w2997
Pet	w2998
<g/>
.
<g/>
,
alt	w3001
71	w3002
<g/>
.
J	w3004
<g/>
.
Dem	w3006
Hrn	w3007
<g/>
.
Mich	w3009
<g/>
.
Hausmann	w3011
<g/>
,
Cancellist	w3013
<g/>
.
<g/>
,
s	w3016
<g/>
.
Fr	w3018
<g/>
.
Helena	w3020
<g/>
,
im	w3022
Färberis	w3023
<g/>
.
H	w3025
<g/>
.
am	w3027
alt	w3028
<g/>
.
Fleischm	w3030
<g/>
.
46	w3032
<g/>
.
J	w3034
<g/>
.
Dem	w3036
Hrn	w3037
<g/>
.
Leop	w3039
<g/>
.
Schrötter	w3041
<g/>
,
Jnstruet	w3043
<g/>
.
<g/>
,
s	w3046
<g/>
.
K	w3048
<g/>
.
Wil=belmina	w3050
<g/>
=
<g/>
,
im	w3053
Kaiseris	w3054
<g/>
.
H	w3056
<g/>
.
in	w3058
der	w3059
Himmel	w3060
<g/>
=
pfort=gaf	w3062
<g/>
=
<g/>
.
<g/>
,
alt	w3066
5	w3067
<g/>
.
v	w3069
<g/>
.
J	w3071
Dem	w3072
Joh	w3073
<g/>
.
Huyatsch	w3075
<g/>
,
K	w3077
<g/>
.
K	w3079
<g/>
.
Leib	w3081
<g/>
=
lack	w3083
<g/>
.
<g/>
,
s	w3086
<g/>
.
W	w3088
<g/>
.
Anna	w3090
<g/>
,
im	w3092
Jetzis	w3093
<g/>
.
H	w3095
<g/>
.
im	w3097
Juden	w3098
gäs	w3099
<g/>
.
<g/>
,
alt	w3102
20	w3103
<g/>
.
J	w3105
Dem	w3106
Ferd	w3107
<g/>
.
Bock	w3109
<g/>
,
Burgerl	w3111
Bier	w3112
leut	w3113
<g/>
=
geb	w3115
<g/>
.
<g/>
,
s	w3118
<g/>
.
K	w3120
<g/>
.
Theres	w3122
<g/>
.
<g/>
,
im	w3125
Katzis	w3126
<g/>
.
H	w3128
<g/>
.
am	w3130
alt	w3131
<g/>
.
Fleischm	w3133
<g/>
.
<g/>
,
5	w3136
<g/>
.
v	w3138
<g/>
.
J	w3140
<g/>
.
Dem	w3142
Hrn	w3143
<g/>
.
Carl	w3145
Braun	w3146
<g/>
,
Jngenieurn	w3148
<g/>
,
s	w3150
<g/>
.
K	w3152
<g/>
.
Cathar	w3154
<g/>
.
beyn	w3156
3	w3157
<g/>
.
Bind	w3159
<g/>
.
in	w3161
der	w3162
Josephst	w3163
<g/>
.
<g/>
,
alt	w3166
3	w3167
<g/>
.
J	w3169
<g/>
.
Dem	w3171
Lor	w3172
<g/>
.
Wagner	w3174
<g/>
,
Hader	w3176
<g/>
=
samml	w3178
<g/>
,
s	w3180
W	w3181
<g/>
.
Sabina	w3183
<g/>
,
im	w3185
Fuhrmannis	w3186
H	w3187
<g/>
.
oberm	w3189
Neustift	w3190
<g/>
,
alt	w3192
51	w3193
<g/>
.
J	w3195
<g/>
.
Dem	w3197
Christian	w3198
Schaufler	w3199
<g/>
,
Lack	w3201
<g/>
,
s	w3203
<g/>
.
K	w3205
<g/>
.
Johanna	w3207
<g/>
,
beym	w3209
gold	w3210
<g/>
.
Bech	w3212
bey	w3213
St	w3214
<g/>
.
Ulrich	w3216
<g/>
,
alt	w3218
5	w3219
<g/>
.
v	w3221
<g/>
.
J	w3223
<g/>
.
Summa	w3225
9	w3226
<g/>
.
Pers	w3228
<g/>
.
<g/>
,
darunter	w3231
4	w3232
<g/>
.
Kind	w3234
<g/>
.
</list>
<head id="hl13">
Den	w3236
24	w3237
<g/>
.
Julii	w3239
Jn	w3240
der	w3241
Stadt	w3242
<g/>
.
</head>
<list id="">
Hr	w3244
<g/>
.
Jos	w3246
<g/>
.
Goldhann	w3248
<g/>
,
Burgerl	w3250
Eisen	w3251
<g/>
=
handl	w3253
<g/>
.
<g/>
,
s	w3256
<g/>
.
K	w3258
<g/>
.
Carl	w3260
<g/>
,
im	w3262
Spittel	w3263
<g/>
=
H	w3265
<g/>
.
in	w3267
der	w3268
Kärutnerstr	w3269
<g/>
.
<g/>
,
5	w3272
<g/>
.
J	w3274
<g/>
.
Cathar	w3276
<g/>
.
Reybergerin	w3278
<g/>
,
K	w3280
<g/>
.
Kost	w3282
<g/>
=
kind	w3284
<g/>
,
beym	w3286
rot	w3287
<g/>
.
Sä=bel	w3289
<g/>
=
im	w3291
Färber	w3292
<g/>
=
gäs	w3294
<g/>
.
<g/>
,
alt	w3297
3	w3298
<g/>
.
J	w3300
<g/>
.
</list>
<head id="hl14">
Vor	w3302
der	w3303
Stadt	w3304
<g/>
.
</head>
<list id="">
Dem	w3306
Jacob	w3307
Kaiser	w3308
<g/>
,
Burgerl	w3310
<g/>
.
Schuhmach	w3312
<g/>
.
<g/>
,
s	w3315
<g/>
.
W	w3317
<g/>
.
Margar	w3319
<g/>
.
<g/>
,
beyn	w3322
3	w3323
<g/>
.
Herz	w3325
<g/>
.
am	w3327
Spitalb	w3328
<g/>
.
<g/>
,
alt	w3331
73	w3332
<g/>
.
J	w3334
<g/>
.
Dem	w3336
Joh	w3337
<g/>
.
Neuhold	w3339
<g/>
,
Schmalz	w3341
<g/>
=
trag	w3343
<g/>
.
<g/>
,
s	w3346
<g/>
.
W	w3348
<g/>
.
Brigit	w3350
<g/>
.
im	w3352
Mierlingeris	w3353
<g/>
.
H	w3355
<g/>
.
auf	w3357
der	w3358
Landstr	w3359
<g/>
.
<g/>
,
alt	w3362
44	w3363
<g/>
.
J	w3365
<g/>
.
Barb	w3367
<g/>
.
Rindtin	w3369
<g/>
,
Wittwe	w3371
<g/>
,
im	w3373
Baron	w3374
Penkleris	w3375
<g/>
.
H	w3377
<g/>
.
auf	w3379
der	w3380
Landstr	w3381
<g/>
.
<g/>
,
alt	w3384
95	w3385
<g/>
.
J	w3387
<g/>
.
Franz	w3389
Flach	w3390
<g/>
,
Wais	w3392
<g/>
,
in	w3394
U	w3395
<g/>
.
L	w3397
<g/>
.
Frauen	w3399
<g/>
=
spit	w3401
<g/>
.
am	w3403
Renn	w3404
<g/>
,
weg	w3406
<g/>
,
alt	w3408
7	w3409
<g/>
.
J	w3411
<g/>
.
Dem	w3413
Hrn	w3414
<g/>
.
Jos	w3416
<g/>
.
Rixner	w3418
<g/>
,
Jngenieurn	w3420
<g/>
,
s	w3422
<g/>
.
K	w3424
<g/>
.
Fridol	w3426
<g/>
.
beyn	w3428
3	w3429
<g/>
.
gold	w3431
<g/>
.
Taub	w3433
<g/>
.
in	w3435
der	w3436
Josephst	w3437
<g/>
.
<g/>
,
7	w3440
v	w3441
<g/>
.
J	w3443
<g/>
.
Dem	w3445
Math	w3446
<g/>
.
Grim	w3448
<g/>
,
Tischl	w3450
<g/>
.
<g/>
,
s	w3453
<g/>
.
K	w3455
<g/>
.
Cathar	w3457
<g/>
.
<g/>
,
beym	w3460
grün	w3461
Adl	w3462
<g/>
.
bey	w3464
Maria	w3465
hülf	w3466
<g/>
,
alt	w3468
2	w3469
<g/>
.
J	w3471
<g/>
.
Dem	w3473
Jacob	w3474
Auer	w3475
<g/>
,
Roßwart	w3477
<g/>
.
<g/>
,
s	w3480
<g/>
.
K	w3482
<g/>
.
Lor	w3484
<g/>
.
<g/>
,
bey	w3487
St	w3488
<g/>
.
Anna	w3490
in	w3491
der	w3492
Rossan	w3493
<g/>
,
alt	w3495
1	w3496
<g/>
.
J	w3498
<g/>
.
Summa	w3500
9	w3501
<g/>
.
Person	w3503
<g/>
,
darunter	w3505
6	w3506
<g/>
.
Kind	w3508
<g/>
.
</list>
<head id="hl15">
Den	w3510
25	w3511
<g/>
.
Julii	w3513
<g/>
.
Jn	w3515
der	w3516
Stadt	w3517
<g/>
.
</head>
<list id="">
Der	w3519
Wol	w3520
<g/>
=
edle	w3522
Hr	w3523
<g/>
.
Franz	w3525
Ant	w3526
<g/>
.
Huber	w3528
<g/>
,
K	w3530
<g/>
.
K	w3532
<g/>
.
Mini=sterial	w3534
<g/>
=
<g/>
=
banco	w3537
<g/>
=
hof	w3539
<g/>
=
derntat	w3541
<g/>
.
cancell	w3543
<g/>
.
<g/>
,
im	w3546
Severin=huberis	w3547
<g/>
=
<g/>
.
H	w3550
<g/>
.
auf	w3552
der	w3553
Sailerst	w3554
<g/>
.
<g/>
,
alt	w3557
40	w3558
<g/>
.
J	w3560
<g/>
.
Cathar	w3562
<g/>
.
Nocklerin	w3564
<g/>
,
Burgerl	w3566
<g/>
.
Wittwe	w3568
<g/>
,
im	w3570
Garibol=dis	w3571
<g/>
=
<g/>
.
H	w3574
<g/>
.
in	w3576
der	w3577
Weihburg	w3578
<g/>
=
gas	w3580
<g/>
,
alt	w3582
63	w3583
<g/>
.
J	w3585
<g/>
.
Barb	w3587
<g/>
.
Angerin	w3589
<g/>
,
ledig	w3591
<g/>
,
beyn	w3593
3	w3594
<g/>
.
Baum	w3596
<g/>
.
in	w3598
der	w3599
Kärnt=rstr	w3600
<g/>
=
<g/>
.
<g/>
,
alt	w3604
102	w3605
<g/>
.
J	w3607
<g/>
.
Der	w3609
Ehrw	w3610
<g/>
.
Hr	w3612
<g/>
.
Ferd	w3614
<g/>
.
Ruprecht	w3616
Alumn	w3617
<g/>
.
im	w3619
Con=viet	w3620
<g/>
=
bey	w3622
St	w3623
<g/>
.
Barb	w3625
<g/>
.
am	w3627
Dominicaner	w3628
<g/>
=
platz	w3630
<g/>
,
alt	w3632
23	w3633
<g/>
.
J	w3635
<g/>
.
</list>
<list id="">
Dem	w3637
Joh	w3638
<g/>
.
Christoph	w3640
Kalleuberg	w3641
<g/>
,
Kutsch	w3643
<g/>
.
<g/>
,
s	w3646
<g/>
.
K	w3648
<g/>
.
Joh	w3650
<g/>
.
Sigm	w3652
<g/>
.
<g/>
,
im	w3655
Brennerif	w3656
<g/>
.
H	w3658
<g/>
.
in	w3660
der	w3661
gros	w3662
<g/>
.
Dorothe=gas	w3664
<g/>
=
<g/>
.
<g/>
,
alt	w3668
2	w3669
<g/>
.
J	w3671
<g/>
.
</list>
<head id="hl16">
Vor	w3673
der	w3674
Stadt	w3675
<g/>
.
</head>
<list id="">
Fr	w3677
<g/>
.
Maria	w3679
Eva	w3680
Veiglin	w3681
<g/>
,
Wittwe	w3683
<g/>
,
bem	w3685
grün	w3686
<g/>
.
Adler	w3688
bey	w3689
Maria	w3690
<g/>
=
hülf	w3692
<g/>
,
alt	w3694
75	w3695
<g/>
.
J	w3697
<g/>
.
Ursula	w3699
Grobetzkin	w3700
<g/>
,
Wittwe	w3702
<g/>
,
im	w3704
Langheimis	w3705
<g/>
.
