<doc id="wr_1761-09-05" attrs="word" year="1761" month="09" day="05" corpus="2">
<head id="h2_d584e3164">
Londer	w1_d584e3168
lassen,	w9_d584e6816
sich	w11_d584e6819
unvermerkt	w1_d584e6825
zurückzuziehen.	w3_d584e6828
Würklich	w5_d584e6831
bra	w7_d584e6834
chen	w1_d584e6839
auch	w3_d584e6842
die	w5_d584e6845
Feinde	w7_d584e6848
Nachmittags	w9_d584e6851
um	w11_d584e6854
2.	w13_d584e6858
Uhr	w1_d584e6863
in	w3_d584e6866
3.	w5_d584e6869
Colonnen	w7_d584e6872
aus	w9_d584e6875
dem	w11_d584e6878
Walde	w13_d584e6882
her	w15_d584e6885
vor.	w1_d584e6890
Als	w3_d584e6893
unsere	w5_d584e6896
Kriegs=völker	w7_d584e6899
bereits	w9_d584e6902
nahe	w1_d584e6908
an	w3_d584e6911
die	w5_d584e6914
Stadt	w7_d584e6917
kamen,	w9_d584e6920
pflanzten	w11_d584e6923
sie	w13_d584e6927
auf	w15_d584e6930
allen	w1_d584e6935
von	w3_d584e6938
uns	w5_d584e6941
vorher	w7_d584e6944
eingehabten	w9_d584e6947
Höhen	w11_d584e6950
schweres	w1_d584e6955
Geschütze	w3_d584e6958
auf.	w5_d584e6961
Wir	w7_d584e6964
waren	w9_d584e6967
all	w11_d584e6970
zuentfernt,	w1_d584e6975
daß	w3_d584e6978
sie	w5_d584e6981
uns	w7_d584e6984
hätten	w9_d584e6987
Schaden	w11_d584e6990
zu	w13_d584e6994
fügen	w1_d584e7000
können.	w3_d584e7003
Sie	w5_d584e7006
beschossen	w7_d584e7009
uns	w9_d584e7012
4.	w11_d584e7015
bis	w13_d584e7019
5.	w1_d584e7024
Stunden.	w3_d584e7027
Unser	w5_d584e7030
ganzer	w7_d584e7033
Verlust	w9_d584e7036
beste	w11_d584e7039
het	w1_d584e7044
in	w3_d584e7047
15.	w5_d584e7050
Todten	w7_d584e7053
und	w9_d584e7056
Verwundeten.	w11_d584e7059
Abends	w13_d584e7063
um	w1_d584e7068
5.	w3_d584e7071
Uhr	w5_d584e7074
wurde	w7_d584e7077
die	w9_d584e7080
Brücke	w11_d584e7083
des	w13_d584e7087
rechten	w15_d584e7090
Flügels	w1_d584e7096
bey	w3_d584e7099
Höxter	w5_d584e7102
abgebrochen;	w7_d584e7105
weil	w9_d584e7108
aber	w1_d584e7113
damals	w3_d584e7116
zu	w5_d584e7119
Höxter	w7_d584e7122
Brod	w9_d584e7125
ausgetheilet	w11_d584e7128
wurde,	w1_d584e7133
so	w3_d584e7136
muste	w5_d584e7139
die	w7_d584e7142
Brücke	w9_d584e7145
des	w11_d584e7148
linken	w13_d584e7152
Flü	w15_d584e7155
gels	w1_d584e7160
nur	w3_d584e7163
bis	w5_d584e7166
in	w7_d584e7169
die	w9_d584e7172
Nacht	w11_d584e7175
noch	w13_d584e7179
stehen	w15_d584e7182
blei	w17_d584e7185
ben,	w1_d584e7191
alsdann	w3_d584e7194
wurde	w5_d584e7197
sie	w7_d584e7200
abgetragen.	w9_d584e7203
Wir	w11_d584e7206
liessen	w1_d584e7211
2000.	w3_d584e7214
Mann	w5_d584e7217
in	w7_d584e7220
der	w9_d584e7223
Stadt	w11_d584e7226
zurück;	w13_d584e7230
solche	w1_d584e7235
zogen	w3_d584e7238
sich	w5_d584e7241
in	w7_d584e7244
der	w9_d584e7247
heutigen	w11_d584e7250
Nacht	w13_d584e7254
aus	w15_d584e7257
jener	w1_d584e7262
Gegend	w3_d584e7265
zurück.	w5_d584e7268
Der	w7_d584e7271
Prinz	w9_d584e7274
Ferdi	w11_d584e7277
nand	w1_d584e7283
hatte	w3_d584e7286
auf	w5_d584e7289
den	w7_d584e7292
vordern	w9_d584e7295
Anhöhen	w11_d584e7298
von	w13_d584e7302
Höxter	w1_d584e7307
seine	w3_d584e7310
Stellung.	w5_d584e7313
Diesen	w7_d584e7316
Augenblick	w9_d584e7319
aber	w1_d584e7324
entdeckte	w3_d584e7327
man	w5_d584e7330
um	w7_d584e7333
Mittag	w9_d584e7336
eine	w11_d584e7339
Bewe	w13_d584e7343
gung	w1_d584e7348
in	w3_d584e7351
seinem	w5_d584e7354
Lager,	w7_d584e7357
vermutlich	w9_d584e7360
werden	w11_d584e7363
wir	w1_d584e7369
morgen	w3_d584e7372
aufbrechen.	w5_d584e7375
</p>
<head id="h2_d584e7381">
Journal	w1_d584e7385
der	w3_d584e7388
Königl.	w5_d584e7391
Französischen	w7_d584e7394
Armee	w1_d584e7399
unter	w3_d584e7402
dem	w5_d584e7405
Herrn	w7_d584e7408
Prinzen	w9_d584e7411
von	w1_d584e7416
Soubise	w3_d584e7419
vom	w5_d584e7422
18.	w7_d584e7425
bis	w9_d584e7428
22.	w1_d584e7434
Augusti.	w3_d584e7437
</head>
<p id="p4_d584e7440">
Den	w1_d584e7444
18	w3_d584e7447
Aug.	w5_d584e7450
Nachmittags	w7_d584e7453
zoge	w9_d584e7456
sich	w11_d584e7459
ei	w13_d584e7463
ne	w1_d584e7468
grosse	w3_d584e7471
Kriegs=schaar	w5_d584e7474
aus	w7_d584e7477
Münster	w9_d584e7480
gegen	w11_d584e7483
die	w1_d584e7488
Nieder=embs.	w3_d584e7491
Der	w5_d584e7494
Hr.	w7_d584e7497
Marquis	w9_d584e7500
von	w11_d584e7503
Conflans	w1_d584e7509
verfolgte	w3_d584e7512
die	w5_d584e7515
Feinde,	w7_d584e7518
siele	w9_d584e7521
in	w11_d584e7524
das	w13_d584e7528
</p>
<p id="p10_d584e7541">
Hinder=treffen,	w1_d584e7545
machte	w3_d584e7548
40.	w5_d584e7551
Kriegsgefan	w7_d584e7554
gene,	w1_d584e7559
erbeutete	w3_d584e7562
die	w5_d584e7565
Zelter	w7_d584e7568
der	w9_d584e7571
Scheitheri	w11_d584e7574
schen	w1_d584e7579
Reiterey,	w3_d584e7582
wie	w5_d584e7585
auch	w7_d584e7588
30.	w9_d584e7591
Pack	w11_d584e7594
wägen.	w13_d584e7598
Den	w1_d584e7604
20.	w3_d584e7607
wurde	w5_d584e7610
der	w7_d584e7613
Heers=zug	w9_d584e7616
in	w11_d584e7619
3.	w13_d584e7623
Co	w15_d584e7626
konnen	w1_d584e7631
angetretten.	w3_d584e7634
Die	w5_d584e7637
Armee	w7_d584e7640
rückte	w9_d584e7643
etwas	w1_d584e7648
vorwärts	w3_d584e7651
dem	w5_d584e7654
Lager,	w7_d584e7657
das	w9_d584e7660
sie	w11_d584e7663
bey	w13_d584e7667
Apptlhülse	w1_d584e7672
hatte.	w3_d584e7675
Das	w5_d584e7678
Haupt=quartier	w7_d584e7681
ist	w1_d584e7687
zu	w3_d584e7690
Albachten,	w5_d584e7693
5.	w7_d584e7696
Viertel	w9_d584e7699
Meilen	w11_d584e7702
von	w13_d584e7706
Münster.	w1_d584e7711
</p>
<p id="p12_d584e7715">
Den	w1_d584e7719
21.	w3_d584e7722
zoge	w5_d584e7725
sich	w7_d584e7728
der	w9_d584e7731
Prinz	w11_d584e7734
von	w13_d584e7738
Con	w15_d584e7741
de	w1_d584e7746
nach	w3_d584e7749
Drensteinfort,	w5_d584e7752
auf	w7_d584e7755
dem	w9_d584e7758
Weeg	w11_d584e7761
von	w13_d584e7765
Hamm	w1_d584e7770
nach	w3_d584e7773
Münster,	w5_d584e7776
um	w7_d584e7779
das	w9_d584e7782
Corps	w11_d584e7785
des	w13_d584e7789
Hrn.	w1_d584e7795
Marquis	w3_d584e7798
von	w5_d584e7801
Voyer,	w7_d584e7804
das	w9_d584e7807
zu	w11_d584e7810
Sen	w13_d584e7814
denhorst	w1_d584e7819
ein	w3_d584e7822
Lager	w5_d584e7825
hatte,	w7_d584e7828
und	w9_d584e7831
von	w11_d584e7834
dort	w13_d584e7838
aus	w15_d584e7841
bis	w1_d584e7846
Warendorf	w3_d584e7849
jenseits	w5_d584e7852
der	w7_d584e7855
Embs	w9_d584e7858
Detasche	w11_d584e7861
ments	w1_d584e7866
ausstellte,	w3_d584e7869
theils	w5_d584e7872
zu	w7_d584e7875
unterstützen,	w9_d584e7878
theils	w11_d584e7881
zu	w1_d584e7887
bedecken.	w3_d584e7890
</p>
<p id="p14_d584e7893">
Der	w1_d584e7897
Hr.	w3_d584e7900
Graf	w5_d584e7903
von	w7_d584e7906
Voque	w9_d584e7909
war	w11_d584e7912
unter	w13_d584e7916
wärts	w1_d584e7921
gedachten	w3_d584e7924
Flusses	w5_d584e7927
gegangen.	w7_d584e7930
3000.	w9_d584e7933
Feinde,	w1_d584e7938
welche	w3_d584e7941
bey	w5_d584e7944
Rhene	w7_d584e7947
stunden,	w9_d584e7950
entfern	w11_d584e7953
ten	w1_d584e7959
sich	w3_d584e7962
bey	w5_d584e7965
seinem	w7_d584e7968
Anrücken,	w9_d584e7971
sie	w11_d584e7974
ogen	w13_d584e7978
sich	w15_d584e7981
erstlich	w1_d584e7986
nach	w3_d584e7989
Jppenburen,	w5_d584e7992
hernach	w7_d584e7995
aber	w9_d584e7998
ge	w11_d584e8001
gen	w1_d584e8006
Osnabrück	w3_d584e8009
zurück.	w5_d584e8012
Der	w7_d584e8015
Hr.	w9_d584e8018
von	w11_d584e8021
Con	w13_d584e8025
flans	w1_d584e8030
grif	w3_d584e8033
das	w5_d584e8036
Hinder=treffen	w7_d584e8039
wieder	w9_d584e8042
an,	w11_d584e8045
und	w13_d584e8049
brachte	w1_d584e8055
30.	w3_d584e8058
Kriegs=gefangene	w5_d584e8061
ein.	w7_d584e8064
Bey	w9_d584e8067
derseits	w1_d584e8072
zählte	w3_d584e8075
man	w5_d584e8078
Todte	w7_d584e8081
und	w9_d584e8084
Verwundete.	w11_d584e8087
Das	w1_d584e8092
Feuer	w3_d584e8095
ware	w5_d584e8098
so	w7_d584e8101
heftig	w9_d584e8104
als	w11_d584e8107
anhaltend;	w13_d584e8111
Der	w1_d584e8116
Hr.	w3_d584e8119
von	w5_d584e8122
Conflans	w7_d584e8125
that	w9_d584e8128
sich	w11_d584e8131
selbst	w13_d584e8135
rühmlich	w1_d584e8141
herror.	w3_d584e8144
</p>
<p id="p16_d584e8147">
Den	w1_d584e8151
nämlichen	w3_d584e8154
21.	w5_d584e8157
Tag	w7_d584e8160
recognoscirte	w9_d584e8163
der	w1_d584e8168
Hr.	w3_d584e8171
Marschall	w5_d584e8174
von	w7_d584e8177
neuem	w9_d584e8180
bis	w11_d584e8183
vor	w13_d584e8187
die	w15_d584e8190
Thore	w1_d584e8195
von	w3_d584e8198
Münster,	w5_d584e8201
400.	w7_d584e8204
Mann	w9_d584e8207
von	w11_d584e8210
seinem	w1_d584e8216
Regimente	w3_d584e8219
dienten	w5_d584e8222
ihm	w7_d584e8225
zur	w9_d584e8228
Bede	w11_d584e8231
ckung.	w1_d584e8236
Die	w3_d584e8239
Feinde	w5_d584e8242
liessen	w7_d584e8245
ein	w9_d584e8248
groß	w11_d584e8251
Deta	w13_d584e8255
schement	w1_d584e8260
aus	w3_d584e8263
der	w5_d584e8266
Stadt	w7_d584e8269
gehen,	w9_d584e8272
um	w11_d584e8275
eine	w13_d584e8279
Menge	w1_d584e8284
Pallisaden	w3_d584e8287
hinein	w5_d584e8290
zu	w7_d584e8293
bringen.	w9_d584e8296
Die	w11_d584e8299
Dragoner	w1_d584e8305
von	w3_d584e8308
Soubise	w5_d584e8311
fielen	w7_d584e8314
auf	w9_d584e8317
sie	w11_d584e8320
mit	w13_d584e8324
ungemeinen	w1_d584e8329
Muht;	w3_d584e8332
sie	w5_d584e8335
jagten	w7_d584e8338
den	w9_d584e8341
Feinden	w11_d584e8344
bis	w1_d584e8349
an	w3_d584e8352
die	w5_d584e8355
Zänne	w7_d584e8358
der	w9_d584e8361
Vorstadt	w11_d584e8364
des	w13_d584e8368
heiligen	w15_d584e8371
Moritz	w1_d584e8376
nach,	w3_d584e8379
sie	w5_d584e8382
erlegten	w7_d584e8385
einige,	w9_d584e8388
und	w11_d584e8391
nah	w13_d584e8395
men	w1_d584e8401
den	w3_d584e8404
commandirenden	w5_d584e8407
Hauptmann	w7_d584e8410
mit	w9_d584e8413
26.	w1_d584e8418
Soldaten	w3_d584e8421
oder	w5_d584e8424
Reitern,	w7_d584e8427
davon	w9_d584e8430
die	w11_d584e8433
meisten	w1_d584e8438
verwundet	w3_d584e8441
waren	w5_d584e8444
gefangen.	w7_d584e8447
Dem	w9_d584e8450
</p>
<p id="p18_d584e8453">
Hrn.	w1_d584e8457
Grafen	w3_d584e8460
von	w5_d584e8463
Wargemont	w7_d584e8466
wurde	w9_d584e8469
das	w11_d584e8472
Pferd	w1_d584e8477
unter	w3_d584e8480
dem	w5_d584e8483
Leib	w7_d584e8486
erschossen,	w9_d584e8489
jenes	w11_d584e8492
aber	w13_d584e8496
von	w1_d584e8501
dem	w3_d584e8504
Major	w5_d584e8507
von	w7_d584e8510
dem	w9_d584e8513
Regiment	w11_d584e8516
Hrn.	w13_d584e8520
von	w1_d584e8526
Fremont	w3_d584e8529
bekam	w5_d584e8532
einen	w7_d584e8535
Säbel	w9_d584e8538
hieb,	w11_d584e8541
auch	w13_d584e8545
erbeutete	w1_d584e8550
man	w3_d584e8553
einige	w5_d584e8556
Wägen	w7_d584e8559
mit	w9_d584e8562
Pallisaden.	w11_d584e8565
</p>
<head id="h2_d584e8572">
Höxter	w1_d584e8576
16.	w3_d584e8579
Aug.	w5_d584e8582
</head>
<p id="p4_d584e8585">
Unsere	w1_d584e8589
Stadt	w3_d584e8592
wird	w5_d584e8595
durch	w7_d584e8598
die	w9_d584e8601
vorsichtige	w11_d584e8604
Anordnung	w1_d584e8609
des	w3_d584e8612
Französischen	w5_d584e8615
Commandan	w7_d584e8618
tens	w1_d584e8623
Herrn	w3_d584e8626
Grafen	w5_d584e8629
von	w7_d584e8632
Vaux	w9_d584e8635
in	w11_d584e8638
den	w13_d584e8642
besten	w15_d584e8645
Vertheidigungs=stande	w1_d584e8651
gesetzet,	w3_d584e8654
und	w5_d584e8657
ist	w7_d584e8660
man	w1_d584e8665
mit	w3_d584e8668
dem	w5_d584e8671
Festungs=bau	w7_d584e8674
bey	w9_d584e8677
nahe	w11_d584e8680
fer	w13_d584e8684
tig.	w1_d584e8689
Täglich	w3_d584e8692
stehet	w5_d584e8695
man	w7_d584e8698
dadier	w9_d584e8701
viele	w11_d584e8704
so	w13_d584e8708
wol	w1_d584e8713
Cavallerie	w3_d584e8716
als	w5_d584e8719
Jnfanterie=regimenter	w7_d584e8722
von	w1_d584e8728
der	w3_d584e8731
Broglioischen	w5_d584e8734
Armee,	w7_d584e8737
die	w9_d584e8740
dem	w11_d584e8743
Prinz	w13_d584e8747
Ferdinand	w1_d584e8752
an	w3_d584e8755
der	w5_d584e8758
Weser	w7_d584e8761
vorzukommen	w9_d584e8764
ge	w11_d584e8767
wust,	w1_d584e8772
besagten	w3_d584e8775
Strom	w5_d584e8778
paßiren,	w7_d584e8781
die	w9_d584e8784
ihren	w11_d584e8787
Marsch	w1_d584e8792
auf	w3_d584e8795
Dassel	w5_d584e8798
nehmen.	w7_d584e8801
26000.	w9_d584e8804
M.	w11_d584e8807
sollen	w1_d584e8813
bereits	w3_d584e8816
darüber	w5_d584e8819
seyn,	w7_d584e8822
denen	w9_d584e8825
der	w11_d584e8828
Mar	w13_d584e8832
schall	w1_d584e8837
von	w3_d584e8840
Broglie	w5_d584e8843
ehestens	w7_d584e8846
folgen	w9_d584e8849
dörfte.	w11_d584e8852
Hier	w1_d584e8857
ist	w3_d584e8860
die	w5_d584e8863
Feld=bäckerey	w7_d584e8866
angelegt,	w9_d584e8869
und	w11_d584e8872
werden	w1_d584e8877
also	w3_d584e8880
leichtlich	w5_d584e8883
von	w7_d584e8886
hier	w9_d584e8889
aus	w11_d584e8892
die	w13_d584e8896
Le	w15_d584e8899
bens=mitteln	w1_d584e8905
der	w3_d584e8908
Armee	w5_d584e8911
ins	w7_d584e8914
Hannövrische	w9_d584e8917
nachgeführt	w1_d584e8922
werden	w3_d584e8925
müssen.	w5_d584e8928
Die	w7_d584e8931
Sachen	w9_d584e8934
sind	w1_d584e8939
übrigens	w3_d584e8942
in	w5_d584e8945
unseren	w7_d584e8948
Gegenden	w9_d584e8951
so	w11_d584e8954
be	w13_d584e8958
stellt,	w1_d584e8963
daß	w3_d584e8966
baldigst	w5_d584e8969
wichtige	w7_d584e8972
Auftritt	w9_d584e8975
er	w11_d584e8978
folgen	w1_d584e8984
dörften.	w3_d584e8987
</p>
<head id="h2_d584e8993">
Wesel	w1_d584e8997
26.	w3_d584e9000
Augusti.	w5_d584e9003
</head>
<p id="p4_d584e9006">
Die	w1_d584e9010
Soubisische	w3_d584e9013
Armee	w5_d584e9016
ist	w7_d584e9019
von	w9_d584e9022
Albach	w11_d584e9025
ten	w1_d584e9030
nach	w3_d584e9033
Alberloch	w5_d584e9036
abmarschiret.	w7_d584e9039
Man	w9_d584e9042
versichert,	w1_d584e9047
daß	w3_d584e9050
die	w5_d584e9053
Broglioische	w7_d584e9056
Armee	w9_d584e9059
die	w11_d584e9062
Weser	w1_d584e9068
paßiret	w3_d584e9071
habe,	w5_d584e9074
und	w7_d584e9077
das	w9_d584e9080
aus	w11_d584e9083
10000.	w13_d584e9087
Mann	w1_d584e9092
bestehende	w3_d584e9095
Corps,	w5_d584e9098
so	w7_d584e9101
zu	w9_d584e9104
derselben	w11_d584e9107
Verstärkung	w1_d584e9112
bestimmet	w3_d584e9115
ware,	w5_d584e9118
ohne	w7_d584e9121
dem	w9_d584e9124
mindesten	w1_d584e9129
widrigen	w3_d584e9132
Zufall	w5_d584e9135
mit	w7_d584e9138
erstgedach	w9_d584e9141
ter	w1_d584e9147
Armee	w3_d584e9150
sich	w5_d584e9153
albereits	w7_d584e9156
vereiniget	w9_d584e9159
habe.	w11_d584e9162
</p>
<head id="h2_d584e9168">
Wien	w1_d584e9172
den	w3_d584e9175
5.	w5_d584e9178
Septemb.	w7_d584e9181
1761.	w9_d584e9184
</head>
<p id="p4_d584e9187">
Jonnerstags	w1_d584e9191
den	w3_d584e9194
3.	w5_d584e9197
dito	w7_d584e9200
Nachmittags	w9_d584e9203
ist	w11_d584e9206
das	w1_d584e9211
in	w3_d584e9214
den	w5_d584e9217
Cassernen	w7_d584e9220
in	w9_d584e9223
der	w11_d584e9226
Alstergas	w13_d584e9230
sen	w1_d584e9235
ligende	w3_d584e9238
Bataillon	w5_d584e9241
des	w7_d584e9244
Löbl.	w9_d584e9247
Bottaischen	w11_d584e9250
Regiments	w1_d584e9256
auf	w3_d584e9259
die	w5_d584e9262
nächst	w7_d584e9265
des	w9_d584e9268
Glacis	w11_d584e9271
vor	w13_d584e9275
dem	w15_d584e9278
Schotten=thor	w1_d584e9283
gelegene	w3_d584e9286
Heide	w5_d584e9289
mit	w7_d584e9292
2.	w9_d584e9295
</p>
<p id="p10_d584e9308">
Fahnen,	w1_d584e9312
kliegendem	w3_d584e9315
Spiel,	w5_d584e9318
und	w7_d584e9321
der	w9_d584e9324
Feld	w11_d584e9327
music	w1_d584e9332
aus	w3_d584e9335
marschiret,	w5_d584e9338
und	w7_d584e9341
hat	w9_d584e9344
alda	w11_d584e9347
das	w13_d584e9351
ganze	w1_d584e9356
Exercitium	w3_d584e9359
im	w5_d584e9362
Feuer	w7_d584e9365
in	w9_d584e9368
Beyseyn	w11_d584e9371
des	w13_d584e9375
zweyten	w1_d584e9381
Kön	w3_d584e9384
gl.	w5_d584e9387
Prinzen	w7_d584e9390
und	w9_d584e9393
Erzherzogen	w11_d584e9396
Leopold	w1_d584e9401
Königl.	w3_d584e9404
Hoheit,	w5_d584e9407
zum	w7_d584e9410
ausnehmen	w9_d584e9413
den	w1_d584e9418
Wolgefallen	w3_d584e9421
höchst=ersagten	w5_d584e9424
Prinzens	w7_d584e9427
und	w1_d584e9432
aller	w3_d584e9435
Umstehende	w5_d584e9438
/	w7_d584e9441
gemacht.	w9_d584e9444
Wohin	w11_d584e9447
nach	w1_d584e9453
Se	w3_d584e9456
Königl.	w5_d584e9459
Hoheit	w7_d584e9462
sich	w9_d584e9465
Abends	w11_d584e9468
um	w13_d584e9472
6.	w1_d584e9477
Uhr	w3_d584e9480
wieder	w5_d584e9483
nach	w7_d584e9486
Schönbrunn	w9_d584e9489
zurück	w11_d584e9492
be	w13_d584e9496
geben.	w1_d584e9501
</p>
<p id="p12_d584e9505">
Gestern	w1_d584e9509
Abends	w3_d584e9512
sind	w5_d584e9515
Se.	w7_d584e9518
Majestät	w9_d584e9521
der	w11_d584e9524
Kaiser	w1_d584e9529
mit	w3_d584e9532
Sr.	w5_d584e9535
Königlichen	w7_d584e9538
Hoheit	w9_d584e9541
dem	w11_d584e9544
Er	w1_d584e9549
herzog	w3_d584e9552
Josep	w5_d584e9555
in	w7_d584e9558
Begleitung	w9_d584e9561
einiger	w11_d584e9564
Cavaliren	w1_d584e9570
im	w3_d584e9573
höchstbeglückten	w5_d584e9576
Wohl	w7_d584e9579
von	w9_d584e9582
Hollitsch	w1_d584e9587
nach	w3_d584e9590
Schonbrunn	w5_d584e9593
zurückgelanget.	w7_d584e9596
Mit	w1_d584e9601
letzter	w3_d584e9604
Post	w5_d584e9607
ist	w7_d584e9610
von	w9_d584e9613
Passau	w11_d584e9616
die	w13_d584e9620
Nach	w15_d584e9623
richt	w1_d584e9628
dahier	w3_d584e9631
eingeloffen,	w5_d584e9634
daß	w7_d584e9637
der	w9_d584e9640
dasige	w11_d584e9643
Herr	w13_d584e9647
Bischof	w1_d584e9653
und	w3_d584e9656
Cardinal	w5_d584e9659
von	w7_d584e9662
Lamberg	w9_d584e9665
Hoch	w11_d584e9668
fürstl.	w1_d584e9673
Eminenz	w3_d584e9676
in	w5_d584e9679
einem	w7_d584e9682
hohen	w9_d584e9685
und	w11_d584e9688
ruhm	w13_d584e9692
vollen	w1_d584e9697
Alter	w3_d584e9700
von	w5_d584e9703
82.	w7_d584e9706
Jahren,	w9_d584e9709
dieses	w11_d584e9712
Zeit	w13_d584e9716
liche	w1_d584e9721
gesegnet,	w3_d584e9724
durch	w5_d584e9727
dessen	w7_d584e9730
Hintritt	w9_d584e9733
die	w11_d584e9736
eilfte	w1_d584e9742
Cardinals=würde	w3_d584e9745
in	w5_d584e9748
Erledigung	w7_d584e9751
ge	w9_d584e9754
kommen.	w1_d584e9759
</p>
<p id="p14_d584e9762">
Jnnhalt	w1_d584e9766
der	w3_d584e9769
neuesten	w5_d584e9772
Particularbrie	w7_d584e9775
sen	w1_d584e9780
aus	w3_d584e9783
dem	w5_d584e9786
Reich	w7_d584e9789
ist	w9_d584e9792
der	w11_d584e9795
in	w13_d584e9799
Hannöveri	w15_d584e9802
schen	w1_d584e9807
Diensten	w3_d584e9810
stehende	w5_d584e9813
Parthey=gänger	w7_d584e9816
Gschray	w1_d584e9822
mit	w3_d584e9825
seinem	w5_d584e9828
ganzen	w7_d584e9831
Commando	w9_d584e9834
von	w11_d584e9837
den	w1_d584e9842
Franzosen	w3_d584e9845
bey	w5_d584e9848
Nordhausen	w7_d584e9851
aufgeho	w9_d584e9854
ben	w1_d584e9859
worden.	w3_d584e9862
</p>
<head id="h2_d584e9868">
Lista	w1_d584e9872
deren	w3_d584e9875
Verstorbenen	w5_d584e9878
zu	w7_d584e9881
Wien	w9_d584e9884
in	w1_d584e9889
und	w3_d584e9892
vor	w5_d584e9895
der	w7_d584e9898
Stadt.	w9_d584e9901
Den	w1_d584e9906
29.	w3_d584e9909
Aug.	w5_d584e9912
Jn	w1_d584e9918
der	w3_d584e9921
Stadt.	w5_d584e9924
</head>
<list id="l4_d584e9927">
Der	w1_d584e9931
Wol=ehrw	w3_d584e9934
P.	w5_d584e9937
Jgn.	w7_d584e9940
Haan,	w9_d584e9943
S.	w11_d584e9946
J.	w13_d584e9950
im	w15_d584e9953
Collegio,	w17_d584e9956
alt	w1_d584e9961
81	w3_d584e9964
J.	w5_d584e9967
Barb.	w1_d584e9972
Kavin,	w3_d584e9975
Wittwe,	w5_d584e9978
im	w7_d584e9981
Andreis.	w9_d584e9984
H.	w11_d584e9987
im	w13_d584e9991
tieffen	w15_d584e9994
Grab.,	w1_d584e10000
alt	w3_d584e10003
84.	w5_d584e10006
J.	w7_d584e10009
Sim.	w1_d584e10014
Jäger,	w3_d584e10017
Lück.,	w5_d584e10020
im	w7_d584e10023
Pürstenbinderis.	w9_d584e10026
H.	w11_d584e10029
auf	w13_d584e10033
der	w15_d584e10036
Brandg.,	w1_d584e10041
alt	w3_d584e10044
62.	w5_d584e10047
J.	w7_d584e10050
</list>
<head id="h2_d584e10057">
Vor	w1_d584e10061
der	w3_d584e10064
Stadt.	w5_d584e10067
</head>
<list id="l4_d584e10070">
Maria	w1_d584e10074
Anna	w3_d584e10077
Helmschrodin,	w5_d584e10080
led.,	w7_d584e10083
beym	w9_d584e10086
gold.	w11_d584e10089
Stern	w13_d584e10093
in	w1_d584e10098
der	w3_d584e10101
Josephst.,	w5_d584e10104
alt	w7_d584e10107
18.	w9_d584e10110
J.	w11_d584e10113
Anna	w1_d584e10118
Felbackin,	w3_d584e10121
Wittwe,	w5_d584e10124
beym	w7_d584e10127
gr.	w9_d584e10130
Thor	w11_d584e10133
auf	w13_d584e10137
der	w15_d584e10140
Wied.,	w1_d584e10146
alt	w3_d584e10149
95.	w5_d584e10152
J.	w7_d584e10155
</list>
<list id="l6_d584e10159">
Dem	w1_d584e10163
Mart.	w3_d584e10166
Zogman,	w5_d584e10169
Fragn.,	w7_d584e10172
s.	w9_d584e10175
K.	w11_d584e10178
Franz,	w13_d584e10182
bey	w15_d584e10185
St.	w17_d584e10188
Florian	w1_d584e10193
am	w3_d584e10196
Thury,	w5_d584e10199
alt	w7_d584e10202
3.	w9_d584e10205
J.	w11_d584e10208
</list>
<head id="h2_d584e10215">
Summa	w1_d584e10219
6.	w3_d584e10222
Pers.,	w5_d584e10225
darunter	w7_d584e10228
1.	w9_d584e10231
Kind.	w11_d584e10234
Den	w1_d584e10239
30.	w3_d584e10242
Aug.	w5_d584e10245
Jn	w1_d584e10250
der	w3_d584e10253
Stadt.	w5_d584e10256
</head>
<list id="l4_d584e10259">
Dem	w1_d584e10263
Hrn.	w3_d584e10266
Gottfr	w5_d584e10269
Jos.	w7_d584e10272
Freund,	w9_d584e10275
N.	w11_d584e10278
Oe.	w13_d584e10282
Reg.	w15_d584e10285
Rahts	w17_d584e10288
Thürhüt.,	w1_d584e10293
s.	w3_d584e10296
K.	w5_d584e10299
Elisab.,	w7_d584e10302
im	w9_d584e10305
kl.	w11_d584e10308
Kätzis.	w13_d584e10312
H.	w15_d584e10315
am	w17_d584e10318
alt.	w1_d584e10323
Fleischm.,	w3_d584e10326
alt	w5_d584e10329
3	w7_d584e10332
J.	w9_d584e10335
Dem	w1_d584e10341
Hrn.	w3_d584e10344
Joh.	w5_d584e10347
Wachter,	w7_d584e10350
K.	w9_d584e10353
K.	w11_d584e10356
Kammer=haitz.,	w13_d584e10360
s.	w15_d584e10363
K.	w1_d584e10368
Joh.,	w3_d584e10371
im	w5_d584e10374
Doct.	w7_d584e10377
Latzen=hof,	w9_d584e10380
alt	w11_d584e10383
7.	w13_d584e10387
J.	w15_d584e10390
Math.	w1_d584e10395
Amsperger,	w3_d584e10398
Handlungs=bedient.,	w5_d584e10401
im	w7_d584e10404
Stür	w9_d584e10407
mis.	w1_d584e10412
H.	w3_d584e10415
in	w5_d584e10418
der	w7_d584e10421
Kärntnerstr.,	w9_d584e10424
alt	w11_d584e10427
68.	w13_d584e10431
J.	w15_d584e10434
Dem	w1_d584e10440
Joh.	w3_d584e10443
Streßler,	w5_d584e10446
Lack.,	w7_d584e10449
s.	w9_d584e10452
K.	w11_d584e10455
Joh.,	w13_d584e10459
im	w15_d584e10462
Schwarz	w17_d584e10465
