<doc id="edoc_wd_1772-05-16" attrs="word" year="1772" month="05" day="16" corpus="1">
<head id="hl1">
*Urbania	w28
etwelche	w1806
Tage	w1807
anhaltenden	w1808
Regen	w1809
ist	w1810
die	w1811
Donau	w1812
um	w1813
ein	w1814
merkliches	w1815
hoch	w1816
angewachsen	w1817
<g/>
,
und	w1819
kommen	w1820
täglich	w1821
Schiffe	w1822
mit	w1823
Handelswaaren	w1824
allhier	w1825
an	w1826
<g/>
.
</p>
<p id="p28">
Auf	w1828
hohe	w1829
Verordung	w1830
ist	w1831
man	w1832
bemüßiget	w1833
eine	w1834
neulich	w1835
in	w1836
Nro	w1837
<g/>
.
28	w1839
<g/>
.
unserer	w1841
Blätter	w1842
eingeschal=tete	w1843
<g/>
=
Nachricht	w1845
von	w1846
der	w1847
den	w1848
24	w1849
<g/>
.
März	w1851
in	w1852
der	w1853
Nacht	w1854
zwischen	w1855
3	w1856
<g/>
.
und	w1858
4	w1859
<g/>
.
Uhr	w1861
zu	w1862
Klagenfurt	w1863
<g/>
,
bey	w1865
dem	w1866
Pictrinerthore	w1867
ausgebrochenen	w1868
Feu=ersbrunst	w1869
<g/>
=
dahin	w1871
zu	w1872
verbessern	w1873
<g/>
,
daß	w1875
selbe	w1876
in	w1877
dem	w1878
Hause	w1879
<g/>
,
wo	w1881
der	w1882
landschaftliche	w1883
Zimmermeister	w1884
wohnet	w1885
<g/>
,
vermuthlich	w1887
durch	w1888
Tabackrauchen	w1889
ent=standen	w1890
<g/>
=
seye	w1892
<g/>
,
wodurch	w1894
die	w1895
ganze	w1896
<g/>
,
leider	w1898
durch=aus	w1899
<g/>
=
nur	w1901
mit	w1902
Spann	w1903
<g/>
,
mithin	w1905
gleich	w1906
dem	w1907
Zun=der	w1908
<g/>
=
Feuer	w1910
fangenden	w1911
Schindeln	w1912
gedeckte	w1913
Stadt	w1914
<g/>
,
ohne	w1916
Rettung	w1917
zu	w1918
Grunde	w1919
gerichtet	w1920
<g/>
,
und	w1922
einge=äschert	w1923
<g/>
=
worden	w1925
wäre	w1926
<g/>
,
wenn	w1928
nicht	w1929
die	w1930
besondere	w1931
nicht	w1932
genug	w1933
zu	w1934
preisende	w1935
Güte	w1936
Gottes	w1937
wenig=stens	w1938
<g/>
=
den	w1940
Wind	w1941
von	w1942
der	w1943
Stadt	w1944
gewendet	w1945
<g/>
,
und	w1947
unter	w1948
einstens	w1949
nicht	w1950
auch	w1951
ein	w1952
ergiebiger	w1953
Regen	w1954
die	w1955
allenthalben	w1956
<g/>
,
auch	w1958
in	w1959
die	w1960
entferntesten	w1961
Häu=ser	w1962
<g/>
=
<g/>
,
und	w1965
sogar	w1966
von	w1967
der	w1968
Stadt	w1969
abgelegene	w1970
Ort=schaften	w1971
<g/>
=
herumgeflogenen	w1973
brennenden	w1974
Schin=deln	w1975
<g/>
=
<g/>
,
zu	w1978
zünden	w1979
verhindert	w1980
hätte	w1981
<g/>
.
Ja	w1983
die	w1984
Ge=fahr	w1985
<g/>
=
ist	w1987
desto	w1988
grösser	w1989
<g/>
,
und	w1991
schreckbarer	w1992
gewesen	w1993
<g/>
,
als	w1995
die	w1996
herum	w1997
gelegene	w1998
Schmied	w1999
<g/>
=
und	w2001
Glo=ckengießereybehausung	w2002
<g/>
=
<g/>
,
wie	w2005
auch	w2006
die	w2007
daran	w2008
stosstossenden	w2009
<g/>
=
</p>
<p id="p29">
senden	w2011
<g/>
,
mit	w2013
Holz	w2014
und	w2015
Heu	w2016
stark	w2017
gefüllt	w2018
gewe=sten	w2019
<g/>
=
landschäftlich	w2021
und	w2022
schurianische	w2023
Städl	w2024
plötzlich	w2025
in	w2026
volle	w2027
Flammen	w2028
ausgebrochen	w2029
sind	w2030
<g/>
.
</p>
<p id="p30">
Aus	w2032
dieser	w2033
ächten	w2034
<g/>
,
von	w2036
einer	w2037
löbl	w2038
<g/>
.
kärnthne=rischen	w2040
<g/>
=
Ländshauptmannschaft	w2042
selbst	w2043
hieher	w2044
ge=sandten	w2045
<g/>
=
Nachricht	w2047
dieses	w2048
unglückichen	w2049
Vor=falls	w2050
<g/>
=
<g/>
,
erhellet	w2053
nun	w2054
ganz	w2055
klar	w2056
<g/>
,
daß	w2057
die	w2058
neulich	w2059
bey	w2060
dieser	w2061
Gelegenheit	w2062
angegebenen	w2063
Umstände	w2064
falsch	w2065
<g/>
,
und	w2067
ungegründet	w2068
waren	w2069
<g/>
,
weswegen	w2071
wir	w2072
nochmal	w2073
hiemit	w2074
öffentlich	w2075
unser	w2076
eröftertes	w2077
Bit=ten	w2078
<g/>
=
um	w2080
Einsendung	w2081
väterländischer	w2082
Neuigkei=ten	w2083
<g/>
=
zwar	w2085
wiederholen	w2086
<g/>
,
aber	w2088
auch	w2089
zugleich	w2090
uns	w2091
in	w2092
die	w2093
Nothwendigkeit	w2094
versetzet	w2095
sehen	w2096
<g/>
,
alle	w2098
nicht	w2099
vollkommen	w2100
gegründete	w2101
Nachrichten	w2102
gänzlich	w2103
zu	w2104
verbitten	w2105
<g/>
.
</p>
<head id="hl10">
Bey	w2107
höchst	w2108
preislichen	w2109
kais	w2110
<g/>
.
Reichshofra=the	w2112
<g/>
=
ist	w2114
vorgekommen	w2115
<g/>
:
</head>
<head id="hl11">
Montags	w2117
den	w2118
4	w2119
<g/>
.
May	w2121
Nachmittag	w2122
<g/>
.
</head>
<list id="li2">
1	w2124
<g/>
)
Von	w2126
Aspremontlinden	w2127
Reckheim	w2128
Graf	w2129
<g/>
,
puncto	w2131
Constit	w2132
<g/>
.
mand	w2134
<g/>
.
2	w2136
<g/>
)
Kuhrpfalz	w2138
<g/>
,
puncto	w2140
Constit	w2141
<g/>
.
mand	w2143
<g/>
.
3	w2145
<g/>
)
Die	w2147
von	w2148
Kuhrbayern	w2149
wider	w2150
die	w2151
allgemei=ne	w2152
<g/>
=
Reichsversammlung	w2154
<g/>
,
und	w2156
die	w2157
Reichstadt	w2158
Regenspurg	w2159
angelegte	w2160
Getraid	w2161
und	w2162
Victualien=sperr	w2163
<g/>
=
betreffend	w2165
<g/>
.
4	w2167
<g/>
)
Von	w2169
Marschall	w2170
Ostheimische	w2171
Testaments=erben	w2172
<g/>
=
cont	w2174
<g/>
.
von	w2176
Guttenberg	w2177
und	w2178
Metternich	w2179
<g/>
,
puncto	w2181
Extraditiouis	w2182
hæreditatishaereditatis	w2183
<g/>
.
5	w2185
<g/>
)
Frauenalb	w2187
Reichsgotteshaus	w2188
cont	w2189
<g/>
.
Baa=dendurlach	w2191
<g/>
=
<g/>
,
Citationis	w2194
ex	w2195
lege	w2196
diffamari	w2197
<g/>
.
6	w2199
<g/>
)
Von	w2201
Moltke	w2202
Freyherr	w2203
cont	w2204
<g/>
.
den	w2206
advocat	w2207
<g/>
.
Fisci	w2209
zu	w2210
Osnabrück	w2211
<g/>
,
appell	w2213
<g/>
.
7	w2215
<g/>
)
Bibrach	w2217
cont	w2218
<g/>
.
Bibrach	w2220
<g/>
,
mand	w2222
<g/>
.
die	w2224
Walk	w2225
Baumeisterstelle	w2226
betreffend	w2227
<g/>
.
8	w2229
<g/>
)
Löwenstein	w2231
Wertheim	w2232
cont	w2233
<g/>
.
Löwenstein	w2235
Wertheim	w2236
<g/>
,
Citationis	w2238
<g/>
,
puncto	w2240
Injuriarum	w2241
<g/>
.
9	w2243
<g/>
)
Dückesbühl	w2245
cont	w2246
<g/>
.
das	w2248
Fürstl	w2249
<g/>
.
und	w2251
gräfl	w2252
<g/>
.
Consistorium	w2254
Aug	w2255
<g/>
.
Conf	w2257
<g/>
.
zu	w2259
Oettingen	w2260
<g/>
,
das	w2262
Jus	w2263
patronatus	w2264
zu	w2265
Schopfloch	w2266
betreffend	w2267
<g/>
.
10	w2269
<g/>
)
De	w2271
lo	w2272
Presti	w2273
Freyherr	w2274
cont	w2275
den	w2276
Hrn	w2277
<g/>
.
Fürsten	w2279
zu	w2280
Waldeck	w2281
<g/>
,
rescripti	w2283
<g/>
,
puncto	w2285
debiri	w2286
<g/>
.
11	w2288
<g/>
)
Zu	w2290
Frankfurt	w2291
Judenschaft	w2292
cont	w2293
<g/>
.
den	w2295
Magistrat	w2296
daselbst	w2297
<g/>
,
appell	w2299
<g/>
.
puncto	w2301
der	w2302
Abzugs=gelder	w2303
<g/>
=
<g/>
.
12	w2306
<g/>
)
Zu	w2308
Frankfurt	w2309
Vorsteherere	w2310
des	w2311
kathol	w2312
<g/>
.
Armen	w2314
Klosters	w2315
cont	w2316
den	w2317
Magistrat	w2318
daselbst	w2319
<g/>
,
appell	w2321
<g/>
.
13	w2323
<g/>
)
Zu	w2325
Frankfurt	w2326
reformirte	w2327
<g/>
=
deutsch	w2329
<g/>
=
und	w2331
französische	w2332
Gemeinden	w2333
cont	w2334
<g/>
.
den	w2336
Magistrat	w2337
daselbst	w2338
<g/>
,
appell	w2340
<g/>
.
</list>
<list id="li3">
14	w2342
<g/>
)
Frankfurt	w2344
cont	w2345
<g/>
.
Frankfurt	w2347
Commisio-nis	w2348
<g/>
-
finitæfinitae	w2350
in	w2351
Specie	w2352
die	w2353
Bestellung	w2354
eines	w2355
Gegen=schreibers	w2356
<g/>
=
bey	w2358
der	w2359
Ausruffersbedienung	w2360
in	w2361
publiquen	w2362
Vergantungen	w2363
<g/>
.
15	w2365
<g/>
)
Pfeifer	w2367
cont	w2368
<g/>
.
Lepper	w2370
<g/>
,
appell	w2372
<g/>
.
denegato	w2374
nunc	w2375
deserviri	w2376
<g/>
&
Expensarum	w2378
<g/>
.
16	w2380
<g/>
)
Von	w2382
Aufseß	w2383
cont	w2384
<g/>
.
v	w2386
<g/>
.
Aufseß	w2388
<g/>
,
in	w2390
Specie	w2391
Fiscalis	w2392
cont	w2393
den	w2394
Freyherrn	w2395
Lothari	w2396
Ludwig	w2397
von	w2398
Aufseß	w2399
<g/>
,
Citat	w2401
<g/>
.
puncto	w2403
violati	w2404
Notharii	w2405
<g/>
.
17	w2407
<g/>
)
David	w2409
Meyer	w2410
Juda	w2411
cont	w2412
<g/>
.
Feistkahn	w2414
<g/>
,
modo	w2416
dessen	w2417
Erben	w2418
<g/>
.
appell	w2420
<g/>
.
18	w2422
<g/>
)
Rühle	w2424
cont	w2425
<g/>
.
den	w2427
Grafen	w2428
v	w2429
<g/>
.
Waltbott	w2431
zu	w2432
Lappenheim	w2433
<g/>
,
<g/>
&
Cons	w2436
<g/>
.
appell	w2438
<g/>
.
19	w2440
<g/>
)
Von	w2442
Bülow	w2443
cont	w2444
<g/>
.
v	w2446
<g/>
.
Bülow	w2448
appell	w2449
<g/>
.
20	w2451
<g/>
)
Von	w2453
Bülow	w2454
cont	w2455
<g/>
.
v	w2457
<g/>
.
Hagen	w2459
<g/>
,
appell	w2461
<g/>
.
21	w2463
<g/>
)
Von	w2465
Eys	w2466
cont	w2467
<g/>
.
Kuhrpfalz	w2469
appell	w2470
<g/>
.
<g/>
&
attentatorum	w2473
<g/>
.
22	w2475
<g/>
)
Von	w2477
Kirchberg	w2478
Burggrafen	w2479
cont	w2480
<g/>
.
Sach=sen	w2482
<g/>
=
Weymar	w2484
und	w2485
Eisenach	w2486
<g/>
,
rescripti	w2488
<g/>
.
23	w2490
<g/>
)
Deutschorden	w2492
cont	w2493
<g/>
.
den	w2495
Hrn	w2496
<g/>
.
Marg=grafen	w2498
<g/>
=
zu	w2500
Brandenburg	w2501
<g/>
,
mand	w2503
<g/>
.
die	w2505
Getraid=sperr	w2506
<g/>
=
betreffend	w2508
<g/>
.
24	w2510
<g/>
)
Leiningen	w2512
Westerburg	w2513
cont	w2514
<g/>
.
von	w2516
Blu=menkron	w2517
<g/>
=
<g/>
,
mandati	w2520
<g/>
.
25	w2522
<g/>
)
Solms	w2524
cont	w2525
<g/>
.
Solms	w2527
<g/>
,
puncto	w2529
divisio-nis	w2530
<g/>
-
terrarum	w2532
Solmensium	w2533
<g/>
&
regulat	w2535
<g/>
,
cæsareicaesarei	w2537
<g/>
.
26	w2539
<g/>
)
Von	w2541
der	w2542
Lühe	w2543
auf	w2544
Mulsow	w2545
cont	w2546
<g/>
.
von	w2548
Der	w2549
en	w2550
<g/>
&
Cons	w2552
<g/>
.
appell	w2554
<g/>
.
27	w2556
<g/>
)
Solms	w2558
braunfelßisches	w2559
Debitweesen	w2560
be=treff	w2561
<g/>
=
<g/>
.
28	w2564
<g/>
)
Jtem	w2566
in	w2567
specie	w2568
die	w2569
Ruckständige	w2570
Diä=ten	w2571
<g/>
=
und	w2573
Deserviten	w2574
betreffend	w2575
<g/>
.
29	w2577
<g/>
)
Von	w2579
Kettler	w2580
zu	w2581
Mühlern	w2582
Graf	w2583
cont	w2584
<g/>
.
nunc	w2586
Meminghausen	w2587
<g/>
,
appell	w2589
<g/>
.
30	w2591
<g/>
)
Nürnberg	w2593
cont	w2594
<g/>
.
Brandenburg	w2596
Onolz=und	w2597
<g/>
=
Culmbach	w2599
<g/>
,
mand	w2601
<g/>
.
<g/>
&
paritoriæparitoriae	w2604
<g/>
,
punto	w2606
devastationis	w2607
silvarum	w2608
<g/>
.
31	w2610
<g/>
)
Zu	w2612
Thorn	w2613
Capitulum	w2614
contra	w2615
Meyer	w2616
Bormann	w2617
<g/>
&
Cons	w2619
<g/>
.
appel	w2621
<g/>
.
32	w2623
<g/>
)
Heupel	w2625
cont	w2626
<g/>
.
den	w2628
Magistrat	w2629
zu	w2630
Raven=spurg	w2631
<g/>
=
mand	w2633
<g/>
.
S	w2635
<g/>
.
C	w2637
<g/>
.
33	w2639
<g/>
)
Von	w2641
Kröcher	w2642
<g/>
&
Cons	w2644
cont	w2645
<g/>
.
den	w2647
Acto-rem	w2648
<g/>
-
Communem	w2650
der	w2651
von	w2652
Plattenlitten	w2653
Cre=ditoren	w2654
<g/>
=
<g/>
,
<g/>
&
Cons	w2658
<g/>
.
appell	w2660
<g/>
.
34	w2662
<g/>
)
St	w2664
<g/>
.
Blasien	w2666
fürstl	w2667
<g/>
.
Stift	w2669
contra	w2670
Baa=dendurlach	w2671
<g/>
=
<g/>
,
<g/>
&
Cons	w2675
<g/>
.
appell	w2677
<g/>
.
35	w2679
<g/>
)
Brovino	w2681
cont	w2682
<g/>
.
Berinet	w2684
und	w2685
den	w2686
Magi=strat	w2687
<g/>
=
zu	w2689
Augspurg	w2690
<g/>
,
puncto	w2692
QuereæQuereae	w2693
nullitatis	w2694
<g/>
&
appell	w2696
<g/>
.
denegatædenegatae	w2698
revisionis	w2699
<g/>
,
nunc	w2701
resarci-tionis	w2702
<g/>
-
damnorum	w2704
<g/>
&
Expensarum	w2706
<g/>
.
</list>
<list id="li4">
36	w2708
<g/>
)
Hessen	w2710
Darmstadt	w2711
cont	w2712
<g/>
.
den	w2714
Magi=strat	w2715
<g/>
=
zu	w2717
Wetzlar	w2718
<g/>
,
rescripti	w2720
<g/>
.
37	w2722
<g/>
)
Von	w2724
Platten	w2725
cont	w2726
<g/>
.
Warnemünde	w2728
<g/>
,
appel	w2730
<g/>
.
38	w2732
<g/>
)
Zu	w2734
Gochsheim	w2735
und	w2736
Sennfeld	w2737
Reichs=Schultheiß	w2738
<g/>
=
und	w2740
Gericht	w2741
cont	w2742
<g/>
.
den	w2744
Herrn	w2745
Bi=schof	w2746
<g/>
=
und	w2748
Fürsten	w2749
zu	w2750
Würzburg	w2751
<g/>
,
mand	w2753
<g/>
.
<g/>
&
Ci-tat	w2756
<g/>
-
<g/>
.
puncto	w2759
fractæfractae	w2760
pacis	w2761
publicæpublicae	w2762
<g/>
.
39	w2764
<g/>
)
Salm	w2766
cont	w2767
<g/>
.
Salm	w2769
<g/>
,
mandati	w2771
puncto	w2772
turbat	w2773
<g/>
,
in	w2775
possessione	w2776
vel	w2777
quasi	w2778
DinastiæDinastiae	w2779
Rei-ferscheid	w2780
<g/>
-
<g/>
.
40	w2783
<g/>
)
Von	w2785
Stein	w2786
zum	w2787
Altenstein	w2788
contra	w2789
von	w2790
Stein	w2791
zum	w2792
Altenstein	w2793
<g/>
,
die	w2795
Wittumsgelder	w2796
be=treffend	w2797
<g/>
=
<g/>
.
41	w2800
<g/>
)
Samuel	w2802
Wertheimer	w2803
cont	w2804
<g/>
.
den	w2806
Grafen	w2807
von	w2808
Plettenberg	w2809
<g/>
,
resc	w2811
<g/>
.
puncto	w2813
debiti	w2814
<g/>
.
42	w2816
<g/>
)
Zu	w2818
Oettingen	w2819
verwittibten	w2820
Frau	w2821
Für=stin	w2822
<g/>
=
fünf	w2824
Jntestaterben	w2825
cont	w2826
<g/>
.
Oettingen	w2828
Waller=stein	w2829
<g/>
=
nunc	w2831
vice	w2832
versa	w2833
revisionis	w2834
<g/>
.
43	w2836
<g/>
)
Oettingen	w2838
Wallerstein	w2839
cont	w2840
<g/>
.
Oettingen	w2842
Spielberg	w2843
<g/>
,
nunc	w2845
vice	w2846
vera	w2847
mand	w2848
<g/>
.
<g/>
&
parit	w2851
<g/>
.
puncto	w2853
Exercitii	w2854
Juris	w2855
advocatiæadvocatiae	w2856
in	w2857
Mona-sterium	w2858
<g/>
-
<g/>
,
Mayinganum	w2861
<g/>
.
44	w2863
<g/>
)
Holzens	w2865
Wittib	w2866
cont	w2867
<g/>
.
Mühlschlägel	w2869
<g/>
,
appell	w2871
<g/>
.
nunc	w2873
vice	w2874
versi	w2875
restit	w2876
<g/>
.
in	w2878
integrum	w2879
<g/>
.
45	w2881
<g/>
)
Von	w2883
Gemmingen	w2884
auf	w2885
Hornberg	w2886
<g/>
,
puncto	w2888
separat	w2889
<g/>
.
feudi	w2891
ab	w2892
allodio	w2893
<g/>
,
in	w2895
specie	w2896
die	w2897
bey	w2898
Ausübung	w2899
des	w2900
Reichslehenbaren	w2901
Blutbannes	w2902
entstandene	w2903
Jrrung	w2904
betreffend	w2905
<g/>
.
46	w2907
<g/>
)
Reicheritterschaft	w2909
in	w2910
Franken	w2911
Orts	w2912
an	w2913
der	w2914
Aitmühl	w2915
cont	w2916
<g/>
,
Brandenburg	w2918
Onolz	w2919
und	w2920
Culmbach	w2921
<g/>
,
mand	w2923
<g/>
.
die	w2925
Victualiensperr	w2926
betref=fend	w2927
<g/>
=
<g/>
.
47	w2930
<g/>
)
Von	w2932
Knorr	w2933
Freyherr	w2934
die	w2935
Verabfolg=lassung	w2936
<g/>
=
von	w2938
100	w2939
fl	w2940
<g/>
.
aus	w2942
dessen	w2943
väterlichen	w2944
Ver=mögen	w2945
<g/>
=
betreffend	w2947
<g/>
.
48	w2949
<g/>
)
Quad	w2951
invest	w2952
<g/>
.
über	w2954
das	w2955
Schloß	w2956
<g/>
,
Frey=heit	w2958
<g/>
=
und	w2960
Herrlichkeit	w2961
Vieckerad	w2962
<g/>
,
in	w2964
specie	w2965
Fis	w2966
<g/>
-
calis	w2968
cont	w2969
<g/>
.
den	w2971
Grafen	w2972
von	w2973
Quad	w2974
<g/>
,
Citationis	w2976
<g/>
.
49	w2978
<g/>
)
Von	w2980
Aspremont	w2981
Linden	w2982
Reckheim	w2983
<g/>
,
puncto	w2985
Invest	w2986
<g/>
.
<g/>
&
Confirmat	w2989
<g/>
,
Privilegiorum	w2991
<g/>
.
50	w2993
<g/>
)
Hörpfer	w2995
von	w2996
Harpfenburg	w2997
Invest	w2998
<g/>
.
über	w3000
die	w3001
Reichslehenbare	w3002
Fischens	w3003
das	w3004
Fronlehen	w3005
zu	w3006
Schwäbischwerth	w3007
genannt	w3008
<g/>
.
51	w3010
<g/>
)
Von	w3012
Künsberg	w3013
Freyherr	w3014
Invest	w3015
<g/>
.
über	w3017
den	w3018
Blutbann	w3019
zu	w3020
Ermreut	w3021
<g/>
.
52	w3023
<g/>
)
Holzschur	w3025
v	w3026
<g/>
.
Achbach	w3028
Invest	w3029
<g/>
.
über	w3031
ver=schiedene	w3032
<g/>
=
Stücke	w3034
und	w3035
Güter	w3036
<g/>
.
53	w3038
<g/>
)
Von	w3040
Metternich	w3041
Graf	w3042
Invest	w3043
<g/>
.
in	w3045
specie	w3046
cont	w3047
<g/>
.
ersagten	w3049
Grafen	w3050
<g/>
,
Citationis	w3052
<g/>
.
54	w3054
<g/>
)
Sparneckische	w3056
Reichslehen	w3057
betreffend	w3058
<g/>
,
</list>
<list id="li5">
Invest	w3060
<g/>
.
in	w3062
specie	w3063
die	w3064
kais	w3065
<g/>
.
freyen	w3067
Reichs	w3068
After=lehens	w3069
<g/>
=
Unterthanen	w3071
zu	w3072
Dörflas	w3073
cont	w3074
<g/>
.
Bran=denburg	w3076
<g/>
=
Culm	w3078
und	w3079
Onolzbach	w3080
puncto	w3081
diver-sorum	w3082
<g/>
-
gravaminum	w3084
<g/>
.
55	w3086
<g/>
)
Wolfens	w3088
Christian	w3089
Anfangsgründe	w3090
und	w3091
Auszug	w3092
aller	w3093
mathematischen	w3094
Wissenschaften	w3095
in	w3096
8vo	w3097
puncto	w3098
Privilegii	w3099
impressori	w3100
<g/>
.
56	w3102
<g/>
)
de	w3104
Malaspina	w3105
Marchio	w3106
Conrad	w3107
<g/>
.
cont	w3109
<g/>
.
Dominum	w3111
Principem	w3112
Centurionum	w3113
<g/>
,
Citat	w3115
<g/>
.
58	w3117
<g/>
)
de	w3119
Portulazzi	w3120
Comites	w3121
cont	w3122
<g/>
.
Civita-tem	w3124
<g/>
-
Tridenti	w3126
<g/>
,
<g/>
&
Cons	w3129
<g/>
.
appell	w3131
<g/>
.
58	w3133
<g/>
)
ad	w3135
S	w3136
<g/>
.
Trudonem	w3138
Seminarii	w3139
Regens	w3140
cont	w3141
Abbatem	w3142
<g/>
&
Conv	w3144
<g/>
.
ibidem	w3146
appell	w3147
<g/>
.
</list>
<head id="hl12">
Wechselcours	w3149
der	w3150
offentlichen	w3151
Börse	w3152
<g/>
.
Wien	w3154
<g/>
,
den	w3156
13	w3157
<g/>
.
May	w3159
1772	w3160
<g/>
.
</head>
<head id="hl13">
Nachricht	w3244
<g/>
.
</head>
<p id="p31">
Es	w3246
gebe	w3247
die	w3248
Erfahrenheit	w3249
<g/>
,
daß	w3251
die	w3252
Kutscher	w3253
<g/>
,
Post	w3255
<g/>
=
und	w3257
Reitknechte	w3258
<g/>
,
auch	w3260
Herrschaftspostil=lione	w3261
<g/>
=
mehrmalen	w3263
stark	w3264
zu	w3265
schnalzen	w3266
pflegen	w3267
<g/>
,
wo=durch	w3269
<g/>
=
manche	w3271
Verunglückungen	w3272
verursachet	w3273
werden	w3274
können	w3275
<g/>
,
wessentwegen	w3277
auch	w3278
das	w3279
Schnal=zen	w3280
<g/>
=
schon	w3282
ehehin	w3283
einmal	w3284
bey	w3285
Gelegenheit	w3286
eines	w3287
andurch	w3288
erfolgten	w3289
Unglücks	w3290
verbothen	w3291
worden	w3292
ist	w3293
<g/>
.
Gleichwie	w3295
nun	w3296
dieser	w3297
Unfug	w3298
nicht	w3299
gestat=tet	w3300
<g/>
=
wird	w3302
und	w3303
alles	w3304
Ernstes	w3305
abgestellet	w3306
werden	w3307
muß	w3308
<g/>
:
Als	w3310
wird	w3311
von	w3312
Obrigkeitswegen	w3313
noch=malen	w3314
<g/>
=
ernstlich	w3316
anbefohlen	w3317
<g/>
,
daß	w3319
die	w3320
sämmtlichen	w3321
Kutscher	w3322
<g/>
,
Post	w3324
<g/>
=
und	w3326
Reitknechte	w3327
<g/>
,
auch	w3329
Herr=schaftspostillione	w3330
<g/>
=
in	w3332
Hinkunft	w3333
sowohl	w3334
in	w3335
hiesiger	w3336
Residenzstadt	w3337
selbst	w3338
<g/>
,
in	w3340
dero	w3341
Vorstädten	w3342
<g/>
,
in	w3344
der	w3345
Praterau	w3346
<g/>
,
als	w3348
auch	w3349
auf	w3350
den	w3351
in	w3352
die	w3353
kais	w3354
<g/>
.
kön	w3356
<g/>
.
Lustschlösser	w3358
nacher	w3359
Schönbrunn	w3360
und	w3361
Laxen=burg	w3362
<g/>
=
führenden	w3364
Strassen	w3365
des	w3366
starken	w3367
Schnal=zens	w3368
<g/>
=
sich	w3370
also	w3371
gewiß	w3372
enthalten	w3373
sollen	w3374
<g/>
,
als	w3376
im	w3377
wi=drigen	w3378
<g/>
=
wider	w3380
ein	w3381
<g/>
=
oder	w3383
anderen	w3384
bey	w3385
Betretung	w3386
mit	w3387
unfehlbarer	w3388
Bestraffung	w3389
fürgegangen	w3390
wer=den	w3391
<g/>
=
würde	w3393
<g/>
.
</p>
<p id="p32">
Wornach	w3395
also	w3396
ein	w3397
jeder	w3398
vor	w3399
Schaden	w3400
sich	w3401
zu	w3402
hüten	w3403
wissen	w3404
wird	w3405
<g/>
.
Wien	w3407
den	w3408
9	w3409
<g/>
.
May	w3411
1772	w3412
<g/>
.
</p>
<p id="p33">
Durch	w3414
den	w3415
bey	w3416
der	w3417
hiesigen	w3418
K	w3419
K	w3420
<g/>
.
Porcel=lainfabrick	w3422
<g/>
=
bis	w3424
nun	w3425
zu	w3426
beschehenen	w3427
freyen	w3428
Ver=kauf	w3429
<g/>
=
der	w3431
weißen	w3432
theils	w3433
unächt	w3434
theils	w3435
des	w3436
Mah=lens	w3437
<g/>
=
nicht	w3439
würdig	w3440
anerkannten	w3441
Porcellaingat=tungen	w3442
<g/>
=
haben	w3444
ein	w3445
<g/>
,
so	w3447
andere	w3448
der	w3449
hiesigen	w3450
Schmelzarbeiter	w3451
und	w3452
Feuermahler	w3453
den	w3454
sträfli=chen	w3455
<g/>
=
Anlaß	w3457
genommen	w3458
<g/>
,
erstbemeldte	w3460
weiße	w3461
Stücke	w3462
nicht	w3463
nur	w3464
auf	w3465
eine	w3466
schlechte	w3467
und	w3468
unan=ständige	w3469
<g/>
=
Weise	w3471
zu	w3472
bemahlen	w3473
<g/>
,
sondern	w3475
sogar	w3476
durch	w3477
eine	w3478
lediglich	w3479
auf	w3480
den	w3481
Schein	w3482
beschehene	w3483
unächte	w3484
Vergüldung	w3485
<g/>
,
und	w3487
dabey	w3488
entweder	w3489
schlecht	w3490
<g/>
,
oder	w3492
gar	w3493
nicht	w3494
beschehene	w3495
Einbren=nung	w3496
<g/>
=
der	w3498
Farben	w3499
das	w3500
Publikum	w3501
auf	w3502
das	w3503
schänd=lichste	w3504
<g/>
=
zu	w3506
übervortheilen	w3507
<g/>
,
besonders	w3509
aber	w3510
<g/>
,
da	w3512
auf	w3513
sothanen	w3514
Stücken	w3515
das	w3516
eingebrannte	w3517
blaue	w3518
Fabrickwappen	w3519
jedermann	w3520
vor	w3521
Augen	w3522
lieget	w3523
<g/>
,
dem	w3525
Fabrickcredit	w3526
selbst	w3527
sträflich	w3528
zu	w3529
nahe	w3530
zu	w3531
treten	w3532
<g/>
.
</p>
<p id="p34">
Man	w3534
siehet	w3535
derowegen	w3536
für	w3537
alle	w3538
Jnn	w3539
<g/>
=
und	w3541
Ausländer	w3542
<g/>
,
vornämlich	w3544
aber	w3545
für	w3546
das	w3547
hiesige	w3548
Publikum	w3549
als	w3550
eine	w3551
Gefälligkeit	w3552
an	w3553
<g/>
,
demselben	w3555
hiemit	w3556
zu	w3557
wissen	w3558
zu	w3559
machen	w3560
daß	w3561
vom	w3562
1ten	w3563
die=ses	w3564
<g/>
=
laufenden	w3566
Maymonats	w3567
alles	w3568
daselbst	w3569
ver=kaufende	w3570
<g/>
=
weiße	w3572
Porcellain	w3573
vor	w3574
wirklicher	w3575
Aus=händigung	w3576
<g/>
=
an	w3578
den	w3579
Käufer	w3580
<g/>
,
Stück	w3582
für	w3583
Stücke	w3584
auf	w3585
der	w3586
Rückseite	w3587
<g/>
,
neben	w3589
den	w3590
Fabrickwappen	w3591
mit	w3592
zwey	w3593
queeren	w3594
Kreuzstrichen	w3595
<g/>
,
als	w3597
einem	w3598
unwegbringlichen	w3599
Zeichen	w3600
<g/>
,
durch	w3602
den	w3603
Stein=schneider	w3604
<g/>
=
marken	w3606
