<doc id="wr_1758-07-19" attrs="word" year="1758" month="07" day="19" corpus="2">
<head id="h2_d262e3122">
Wißmayr	w1_d262e3126
Heilbronn	w1_d262e6783
9.	w3_d262e6786
Julii.	w5_d262e6789
</head>
<p id="p4_d262e6792">
Diesen	w1_d262e6796
Augenblick	w3_d262e6799
läuft	w5_d262e6802
die	w7_d262e6805
zuverläßige	w9_d262e6808
Nachricht	w1_d262e6813
ein,	w3_d262e6816
daß	w5_d262e6819
die	w7_d262e6822
HerzoglichWürtem	w9_d262e6825
bergische	w1_d262e6830
Trupen	w3_d262e6833
heut	w5_d262e6836
früh	w7_d262e6839
aus	w9_d262e6842
ihrem	w11_d262e6845
Lager	w13_d262e6849
bey	w1_d262e6855
Ludwigsburg	w3_d262e6858
aufgebrochen,	w5_d262e6861
und	w7_d262e6864
ihren	w9_d262e6867
Marsch	w1_d262e6872
gerad	w3_d262e6875
nach	w5_d262e6878
Sinsheim	w7_d262e6881
gerichtet	w9_d262e6884
haben:	w11_d262e6887
folglich	w1_d262e6892
werden	w3_d262e6895
sie	w5_d262e6898
ohne	w7_d262e6901
Zipeifel	w9_d262e6904
zu	w11_d262e6907
der	w13_d262e6911
Soubi	w15_d262e6914
sischen	w1_d262e6919
Armee	w3_d262e6922
stofsen	w5_d262e6925
</p>
<head id="h2_d262e6931">
Frankfort	w1_d262e6935
10.	w3_d262e6938
Julii.	w5_d262e6941
</head>
<p id="p4_d262e6944">
Die	w1_d262e6948
Holländische	w3_d262e6951
Posten	w5_d262e6954
sind	w7_d262e6957
wegen	w9_d262e6960
des	w11_d262e6963
Aufenthalts	w1_d262e6968
der	w3_d262e6971
Hanöverischen	w5_d262e6974
Trupen	w7_d262e6977
heut	w9_d262e6980
wiederum	w1_d262e6985
ausgeblieben.	w3_d262e6988
Die	w5_d262e6991
Hauptbedin	w7_d262e6994
gung	w1_d262e7000
bey	w3_d262e7003
der	w5_d262e7006
Ubergabe	w7_d262e7009
von	w9_d262e7012
Düsseldorf	w11_d262e7015
ist	w13_d262e7019
der	w1_d262e7024
freye	w3_d262e7027
Abzug	w5_d262e7030
der	w7_d262e7033
Besatzung.	w9_d262e7036
Laut	w11_d262e7039
Pri	w13_d262e7043
vat=nachrichten,	w1_d262e7048
ist	w3_d262e7051
der	w5_d262e7054
Graf	w7_d262e7057
Clermont	w9_d262e7060
zu	w11_d262e7063
rückberuffen	w1_d262e7068
worden,	w3_d262e7071
und	w5_d262e7074
auch	w7_d262e7077
schon	w9_d262e7080
von	w11_d262e7083
der	w1_d262e7089
Armee	w3_d262e7092
abgegangen;	w5_d262e7095
dagegen	w7_d262e7098
versichert	w9_d262e7101
man,	w1_d262e7106
daß	w3_d262e7109
der	w5_d262e7112
Prinz	w7_d262e7115
Conti	w9_d262e7118
und	w11_d262e7121
Marschall	w13_d262e7125
d	w1_d262e7130
Etrees	w3_d262e7133
bey	w5_d262e7136
der	w7_d262e7139
Armee	w9_d262e7142
eintreffen	w11_d262e7145
werden.	w13_d262e7149
Der	w15_d262e7152
Herzog	w1_d262e7157
von	w3_d262e7160
Randan	w5_d262e7163
ist	w7_d262e7166
auch	w9_d262e7169
nach	w11_d262e7172
Paris	w13_d262e7176
Kgangen.	w1_d262e7182
Vorgestern	w3_d262e7185
ist	w5_d262e7188
zu	w7_d262e7191
Behren	w9_d262e7194
ein	w11_d262e7197
Scharmützel	w1_d262e7202
gewesen,	w3_d262e7205
wobey	w5_d262e7208
die	w7_d262e7211
Franzosen	w9_d262e7214
etliche	w1_d262e7219
Mann	w3_d262e7222
verloren.	w5_d262e7225
</p>
<head id="h2_d262e7231">
Altona	w1_d262e7235
2.	w3_d262e7238
Julii.	w5_d262e7241
</head>
<p id="p4_d262e7244">
Wie	w1_d262e7248
man	w3_d262e7251
vernihmt,	w5_d262e7254
so	w7_d262e7257
wird	w9_d262e7260
ein	w11_d262e7263
Theil	w13_d262e7267
der	w15_d262e7270
zum	w1_d262e7275
Cantonement	w3_d262e7278
an	w5_d262e7281
denen	w7_d262e7284
Gränzen	w9_d262e7287
des	w11_d262e7290
Her	w13_d262e7294
zogtums	w1_d262e7299
Holsteins	w3_d262e7302
beorderten	w5_d262e7305
Königl.	w7_d262e7308
Tru	w9_d262e7311
pen	w1_d262e7317
mit	w3_d262e7320
dem	w5_d262e7323
Ende	w7_d262e7326
des	w9_d262e7329
lauffenden	w11_d262e7332
Monats	w13_d262e7336
Jillii.	w1_d262e7341
in	w3_d262e7344
die	w5_d262e7347
Herrschaft	w7_d262e7350
Pinneberg	w9_d262e7353
einrücken.	w11_d262e7356
</p>
<p id="p6_d262e7359">
Wie	w1_d262e7363
nur	w3_d262e7366
Sr.	w5_d262e7369
Königl.	w7_d262e7372
Majestät	w9_d262e7375
allerhuldreich	w11_d262e7378
ste	w1_d262e7383
Willens=meinung	w3_d262e7386
ins	w5_d262e7389
besondere	w7_d262e7392
dahin	w9_d262e7395
ge	w11_d262e7398
het,	w1_d262e7403
daß	w3_d262e7406
es	w5_d262e7409
diesen	w7_d262e7412
Trupen	w9_d262e7415
in	w11_d262e7418
denen	w13_d262e7422
Cantoni	w15_d262e7425
rungs=quartieren	w1_d262e7431
an	w3_d262e7434
keiner	w5_d262e7437
Art	w7_d262e7440
Lebensmit	w9_d262e7443
teln	w1_d262e7448
mangeln	w3_d262e7451
möge,	w5_d262e7454
also	w7_d262e7457
ist	w9_d262e7460
auch	w11_d262e7463
bereits	w13_d262e7467
von	w15_d262e7470
Obrigkeits	w1_d262e7475
wegen,	w3_d262e7478
allen	w5_d262e7481
und	w7_d262e7484
jeden	w9_d262e7487
hiesigen	w11_d262e7490
Bürgern	w1_d262e7495
und	w3_d262e7498
Einwohnern	w5_d262e7501
bekannt	w7_d262e7504
gemacht	w9_d262e7507
worden,	w1_d262e7513
daß	w3_d262e7516
diejenigen	w5_d262e7519
unter	w7_d262e7522
ihnen,	w9_d262e7525
welche	w11_d262e7528
sich	w1_d262e7533
mit	w3_d262e7536
Anlieferung	w5_d262e7539
von	w7_d262e7542
Brandwein,	w9_d262e7545
Wein,	w11_d262e7548
Eßig,	w1_d262e7553
Grütze,	w3_d262e7556
Speck,	w5_d262e7559
Butter,	w7_d262e7562
Käse,	w9_d262e7565
Härin	w11_d262e7568
gen,	w1_d262e7573
frischen	w3_d262e7576
Fischen,	w5_d262e7579
Fleisch	w7_d262e7582
und	w9_d262e7585
andern	w11_d262e7588
Be	w13_d262e7592
dürfnüssen	w1_d262e7598
mehr,	w3_d262e7601
zu	w5_d262e7604
befassen	w7_d262e7607
vermögend	w9_d262e7610
seynd,	w11_d262e7613
sich	w1_d262e7618
mit	w3_d262e7621
dergleichen	w5_d262e7624
Vivres	w7_d262e7627
zu	w9_d262e7630
Anfange	w11_d262e7633
des	w13_d262e7637
gedachten	w1_d262e7642
Monats	w3_d262e7645
und	w5_d262e7648
fernethin,	w7_d262e7651
in	w9_d262e7654
denen	w11_d262e7657
benachbarten	w1_d262e7662
Cantonirungs=plätzen	w3_d262e7665
fleißig	w5_d262e7668
ein	w7_d262e7671
finden	w1_d262e7677
mögen;	w3_d262e7680
und	w5_d262e7683
daß,	w7_d262e7686
da	w9_d262e7689
solches	w11_d262e7692
zur	w13_d262e7696
Be	w15_d262e7699
förderung	w1_d262e7704
eines	w3_d262e7707
jeden	w5_d262e7710
Handthierung	w7_d262e7713
und	w9_d262e7716
Ge	w11_d262e7719
werbe	w1_d262e7724
gereichet,	w3_d262e7727
alle	w5_d262e7730
und	w7_d262e7733
jede	w9_d262e7736
nicht	w11_d262e7739
allein	w13_d262e7743
für	w15_d262e7746
die	w1_d262e7751
gedachte	w3_d262e7754
Victualien,	w5_d262e7757
die	w7_d262e7760
sie	w9_d262e7763
denen	w11_d262e7766
Königl.	w13_d262e7770
Trupen	w1_d262e7776
daselbst	w3_d262e7779
zum	w5_d262e7782
Verkauf	w7_d262e7785
bieten	w9_d262e7788
werden,	w11_d262e7791
einer	w1_d262e7796
billigen	w3_d262e7799
Bezahlung,	w5_d262e7802
sondern	w7_d262e7805
auch	w9_d262e7808
allen	w11_d262e7811
Schutzes	w1_d262e7816
und	w3_d262e7819
aller	w5_d262e7822
Sicherheit,	w7_d262e7825
mit	w9_d262e7828
ihren	w11_d262e7831
bey	w13_d262e7835
sich	w1_d262e7840
habenden	w3_d262e7843
Sachen	w5_d262e7846
gewärtig	w7_d262e7849
seyn	w9_d262e7852
können	w11_d262e7855
</p>
<head id="h2_d262e7862">
Arnstadt	w1_d262e7866
2.	w3_d262e7869
Julii.	w5_d262e7872
</head>
<p id="p4_d262e7875">
Vorgestern	w1_d262e7879
morgen,	w3_d262e7882
frühe	w5_d262e7885
gegen	w7_d262e7888
3.	w9_d262e7891
Uhr,	w11_d262e7894
rückte	w1_d262e7899
das	w3_d262e7902
zu	w5_d262e7905
Ehrenstein	w7_d262e7908
gelegene	w9_d262e7911
Königlich	w11_d262e7914
Preußische	w1_d262e7919
Esquadrons	w3_d262e7922
Hussaren	w5_d262e7925
alhier	w7_d262e7928
ein.	w9_d262e7931
Dieselbe	w1_d262e7937
wurden	w3_d262e7940
auch	w5_d262e7943
diesen	w7_d262e7946
Tag	w9_d262e7949
in	w11_d262e7952
der	w13_d262e7956
Stadt	w15_d262e7959
einquartiret.	w1_d262e7964
Ob	w3_d262e7967
und	w5_d262e7970
wann,	w7_d262e7973
oder	w9_d262e7976
wohin	w11_d262e7979
die	w13_d262e7983
selbe	w1_d262e7988
nun	w3_d262e7991
marschieren	w5_d262e7994
werden,	w7_d262e7997
ist	w9_d262e8000
nicht	w11_d262e8003
be	w13_d262e8007
kannt.	w1_d262e8012
</p>
<head id="h2_d262e8018">
Cöln	w1_d262e8022
10.	w3_d262e8025
Julii.	w5_d262e8028
</head>
<p id="p4_d262e8031">
Düsseldorf	w1_d262e8035
hat	w3_d262e8038
sich	w5_d262e8041
an	w7_d262e8044
die	w9_d262e8047
Hanöverische	w11_d262e8050
Trupen	w1_d262e8055
mit	w3_d262e8058
Capitulation	w5_d262e8061
ergeben,	w7_d262e8064
und	w9_d262e8067
die	w11_d262e8070
Be	w13_d262e8074
satzung	w1_d262e8079
ist,	w3_d262e8082
nachdem	w5_d262e8085
sie	w7_d262e8088
mit	w9_d262e8091
allen	w11_d262e8094
Ehren	w13_d262e8098
zeichen	w1_d262e8104
ausmarschiret,	w3_d262e8107
zur	w5_d262e8110
Armee	w7_d262e8113
des	w9_d262e8116
Herrn	w11_d262e8119
Grafen	w1_d262e8124
von	w3_d262e8127
Clermont	w5_d262e8130
aufgebrochen.	w7_d262e8133
Die	w9_d262e8136
Bestättigung	w1_d262e8141
und	w3_d262e8144
weitere	w5_d262e8147
Umstände	w7_d262e8150
hievom	w9_d262e8153
müssen	w1_d262e8158
mit	w3_d262e8161
künftigen	w5_d262e8164
Berichten	w7_d262e8167
erwartet	w9_d262e8170
wer	w11_d262e8173
den.	w1_d262e8179
Wie	w3_d262e8182
aus	w5_d262e8185
Coblenz	w7_d262e8188
gemeldet	w9_d262e8191
wird,	w11_d262e8194
ist	w13_d262e8198
al	w15_d262e8201
da	w1_d262e8206
der	w3_d262e8209
Antrag	w5_d262e8212
gemacht	w7_d262e8215
worden,	w9_d262e8218
eine	w11_d262e8221
Fran	w13_d262e8225
zösische	w1_d262e8230
Besatzung	w3_d262e8233
einzunehmen,	w5_d262e8236
es	w7_d262e8239
sollen	w9_d262e8242
aber	w11_d262e8245
noch	w1_d262e8250
in	w3_d262e8253
derselben	w5_d262e8256
Nacht	w7_d262e8259
800	w9_d262e8262
Mann	w11_d262e8265
Chur	w13_d262e8269
Trierische	w1_d262e8275
Trupen	w3_d262e8278
in	w5_d262e8281
dasige	w7_d262e8284
Festung	w9_d262e8287
eingerückt	w11_d262e8290
seyn.	w1_d262e8295
Von	w3_d262e8298
der	w5_d262e8301
Ubergabr	w7_d262e8304
von	w9_d262e8307
Rüremonde,	w11_d262e8310
welcher	w1_d262e8315
Ort	w3_d262e8318
den	w5_d262e8321
28.	w7_d262e8324
Junii	w9_d262e8327
von	w11_d262e8330
7000.	w13_d262e8334
Mannn	w15_d262e8337
Hanoveranern	w1_d262e8342
investirt	w3_d262e8345
worden,	w5_d262e8348
sihet	w7_d262e8351
man	w9_d262e8354
nunmehro	w1_d262e8360
die	w3_d262e8363
Capitulations=puncte,	w5_d262e8366
welche	w7_d262e8369
folgenden	w1_d262e8374
Jnnhalts	w3_d262e8377
seynd:	w5_d262e8380
</p>
<p id="p10_d262e8393">
und	w1_d262e8397
der	w3_d262e8400
Magistrat	w5_d262e8403
der	w7_d262e8406
Stadt	w9_d262e8409
sollen	w11_d262e8412
auch	w13_d262e8416
bey	w1_d262e8421
ihren	w3_d262e8424
Bedienungen	w5_d262e8427
und	w7_d262e8430
Besoldungen	w9_d262e8433
er	w11_d262e8436
halten	w1_d262e8441
werden.	w3_d262e8444
Gleichwolen	w5_d262e8447
allen	w7_d262e8450
denen,	w9_d262e8453
welche	w1_d262e8459
sich	w3_d262e8462
wegbegeben,	w5_d262e8465
oder	w7_d262e8468
ihre	w9_d262e8471
Bedienun	w11_d262e8474
gen	w1_d262e8479
niederlegen	w3_d262e8482
wollen,	w5_d262e8485
frey	w7_d262e8488
stehen,	w9_d262e8491
mit	w11_d262e8494
ihren	w13_d262e8498
Gütern	w1_d262e8503
nach	w3_d262e8506
Willkuhr	w5_d262e8509
zu	w7_d262e8512
schalten.	w9_d262e8515
</p>
<list id="l12_d262e8519">
1.)	w1_d262e8523
Soll	w3_d262e8526
die	w5_d262e8529
Römisch=Catholische	w7_d262e8532
Reli	w9_d262e8535
gien	w1_d262e8540
in	w3_d262e8543
der	w5_d262e8546
freyen	w7_d262e8549
Ausübung	w9_d262e8552
ihres	w11_d262e8555
GOttes	w13_d262e8559
dienst	w1_d262e8564
8,	w3_d262e8567
und	w5_d262e8570
eben	w7_d262e8573
so	w9_d262e8576
wenig	w11_d262e8579
die	w13_d262e8583
Geistlichkeit	w15_d262e8586
derselben	w1_d262e8592
auf	w3_d262e8595
keinerley	w5_d262e8598
Art	w7_d262e8601
beunruhiget	w9_d262e8604
werden.	w11_d262e8607
2.)	w1_d262e8612
Die	w3_d262e8615
Städte	w5_d262e8618
der	w7_d262e8621
Provinz,	w9_d262e8624
ihre	w11_d262e8627
Beam	w13_d262e8631
te	w1_d262e8636
und	w3_d262e8639
Einwohner	w5_d262e8642
sollen	w7_d262e8645
bey	w9_d262e8648
ihren	w11_d262e8651
Privile	w13_d262e8655
gien	w1_d262e8660
und	w3_d262e8663
Gerechtsamen	w5_d262e8666
gehandhabet	w7_d262e8669
und	w9_d262e8672
er	w11_d262e8675
halten	w1_d262e8681
werden.	w3_d262e8684
3.)	w1_d262e8689
Der	w3_d262e8692
Raht	w5_d262e8695
der	w7_d262e8698
Provinz	w9_d262e8701
soll	w11_d262e8704
gleichfalls	w13_d262e8708
seine	w1_d262e8713
Rechte	w3_d262e8716
und	w5_d262e8719
Besoldungen	w7_d262e8722
beybehalten.	w9_d262e8725
4)	w1_d262e8730
Die	w3_d262e8733
Bürger=meister,	w5_d262e8736
der	w7_d262e8739
Schultheiß	w9_d262e8742
</list>
<p id="p14_d262e8746">
5.)	w1_d262e8750
Die	w3_d262e8753
Trupen,	w5_d262e8756
welche	w7_d262e8759
in	w9_d262e8762
dieser	w11_d262e8765
Stadt	w13_d262e8769
zur	w1_d262e8774
Besatzung	w3_d262e8777
kommen,	w5_d262e8780
sollen	w7_d262e8783
so	w9_d262e8786
wie	w11_d262e8789
diejeni	w13_d262e8793
gen,	w1_d262e8798
welche	w3_d262e8801
nach	w5_d262e8804
kommen	w7_d262e8807
dörften,	w9_d262e8810
gute	w11_d262e8813
Ord	w13_d262e8817
nung	w1_d262e8823
halten,	w3_d262e8826
und	w5_d262e8829
auf	w7_d262e8832
den	w9_d262e8835
gewöhnlichen	w11_d262e8838
Fuß	w13_d262e8842
einquartirt	w1_d262e8847
werden.	w3_d262e8850
</p>
<head id="h2_d262e8856">
Die	w1_d262e8860
Unterschrift	w3_d262e8863
war	w5_d262e8866
folgende:	w7_d262e8869
</head>
<p id="p4_d262e8872">
Gleichwie	w1_d262e8876
alle	w3_d262e8879
diese	w5_d262e8882
Articul	w7_d262e8885
genehm	w9_d262e8888
gehal	w11_d262e8891
ten	w1_d262e8896
und	w3_d262e8899
billig	w5_d262e8902
befunden	w7_d262e8905
worden,	w9_d262e8908
so	w11_d262e8911
unterzeich	w13_d262e8915
ne	w1_d262e8920
ich	w3_d262e8923
sie	w5_d262e8926
mit	w7_d262e8929
eigener	w9_d262e8932
Hand:	w11_d262e8935
</p>
<p id="p6_d262e8938">
Carl,	w1_d262e8942
Prinz	w3_d262e8945
von	w5_d262e8948
Braunschweig.	w7_d262e8951
Die	w1_d262e8956
7000.	w3_d262e8959
Mann	w5_d262e8962
Hanoverauer	w7_d262e8965
rückten	w9_d262e8968
hierauf	w1_d262e8973
nach	w3_d262e8976
Wassenberg,	w5_d262e8979
und	w7_d262e8982
blos	w9_d262e8985
der	w11_d262e8988
Obrist=leutenant	w1_d262e8994
Herr	w3_d262e8997
von	w5_d262e9000
Ramdohr	w7_d262e9003
blieb	w9_d262e9006
mit	w11_d262e9009
einer	w1_d262e9014
anständigen	w3_d262e9017
Besatzung	w5_d262e9020
zurücke.	w7_d262e9023
</p>
<head id="h2_d262e9029">
Hanau	w1_d262e9033
10.	w3_d262e9036
Junii.	w5_d262e9039
</head>
<p id="p4_d262e9042">
Die	w1_d262e9046
Trupen	w3_d262e9049
von	w5_d262e9052
der	w7_d262e9055
Armee	w9_d262e9058
des	w11_d262e9061
Prinzens	w13_d262e9065
von	w1_d262e9070
Soubise	w3_d262e9073
seynd	w5_d262e9076
seit	w7_d262e9079
einigen	w9_d262e9082
Tagen	w11_d262e9085
in	w13_d262e9089
Be	w15_d262e9092
wegung.	w1_d262e9097
Den	w3_d262e9100
8	w5_d262e9103
brachen	w7_d262e9106
die	w9_d262e9109
eine	w11_d262e9112
geraume	w13_d262e9116
Zeit	w1_d262e9122
alhier	w3_d262e9125
in	w5_d262e9128
Garnison	w7_d262e9131
gelegene	w9_d262e9134
Regimenter	w11_d262e9137
von	w1_d262e9142
Rohan	w3_d262e9145
und	w5_d262e9148
von	w7_d262e9151
Beauvoisis,	w9_d262e9154
nebst	w11_d262e9157
dem	w13_d262e9161
meisten	w1_d262e9166
Theil	w3_d262e9169
der	w5_d262e9172
Canonirer	w7_d262e9175
vom	w9_d262e9178
Regiment	w11_d262e9181
von	w1_d262e9186
Aumale,	w3_d262e9189
von	w5_d262e9192
hier	w7_d262e9195
auf.	w9_d262e9198
Hingegen	w11_d262e9201
ist	w13_d262e9205
eben	w1_d262e9211
denselben	w3_d262e9214
Tag	w5_d262e9217
das	w7_d262e9220
Regiment	w9_d262e9223
von	w11_d262e9226
Pie	w13_d262e9230
mont	w1_d262e9235
wieder	w3_d262e9238
eingerückt.	w5_d262e9241
An	w7_d262e9244
eben	w9_d262e9247
diesem	w11_d262e9250
Tage	w1_d262e9255
und	w3_d262e9258
gestern	w5_d262e9261
seynd	w7_d262e9264
auch	w9_d262e9267
verschiedene	w11_d262e9270
Regimenter	w1_d262e9275
zu	w3_d262e9278
Fuß	w5_d262e9281
und	w7_d262e9284
zu	w9_d262e9287
Pferd,	w11_d262e9290
so	w13_d262e9294
über	w15_d262e9297
die	w17_d262e9300
schon	w1_d262e9306
vorlängst	w3_d262e9309
alhier	w5_d262e9312
geschlagene	w7_d262e9315
Schif	w9_d262e9318
brücke	w1_d262e9323
den	w3_d262e9326
Mayn	w5_d262e9329
paßirt,	w7_d262e9332
bey	w9_d262e9335
dieser	w11_d262e9338
Stadt	w13_d262e9342
vorbey	w1_d262e9347
marschiret.	w3_d262e9350
</p>
<head id="h2_d262e9356">
Ulm	w1_d262e9360
6.	w3_d262e9363
Julii.	w5_d262e9366
</head>
<p id="p4_d262e9369">
Das	w1_d262e9373
bey	w3_d262e9376
Studtgard	w5_d262e9379
abgestochene	w7_d262e9382
Lager	w9_d262e9385
ziehet	w1_d262e9390
viele	w3_d262e9393
Fremde	w5_d262e9396
dahin,	w7_d262e9399
welche	w9_d262e9402
sich	w11_d262e9405
an	w13_d262e9409
denen	w1_d262e9414
Kriegs=übungen	w3_d262e9417
der	w5_d262e9420
Trupen	w7_d262e9423
ungemein	w9_d262e9426
vergnügen.	w1_d262e9432
Den	w3_d262e9435
30.	w5_d262e9438
Junii	w7_d262e9441
machten	w9_d262e9444
Se.	w11_d262e9447
</p>
<p id="p6_d262e9450">
Herzogl.	w1_d262e9454
Durchl.	w3_d262e9457
ein	w5_d262e9460
grosses	w7_d262e9463
Manöuvre	w9_d262e9466
mit	w11_d262e9469
dem	w1_d262e9474
gesamten	w3_d262e9477
Corps,	w5_d262e9480
worzu	w7_d262e9483
sie	w9_d262e9486
nicht	w11_d262e9489
allein	w13_d262e9493
selbst	w1_d262e9498
die	w3_d262e9501
Dispositionen	w5_d262e9504
machten,	w7_d262e9507
sondern	w9_d262e9510
auch	w11_d262e9513
unter	w1_d262e9519
eigener	w3_d262e9522
persörlichen	w5_d262e9525
Anführung	w7_d262e9528
und	w9_d262e9531
Commando	w1_d262e9536
solche	w3_d262e9539
vollziehen	w5_d262e9542
liessen.	w7_d262e9545
Den	w9_d262e9548
1.	w1_d262e9553
dieses	w3_d262e9556
feuerte	w5_d262e9559
das	w7_d262e9562
Corps	w9_d262e9565
Regimenter	w11_d262e9568
weis,	w1_d262e9573
und	w3_d262e9576
die	w5_d262e9579
Artillerie	w7_d262e9582
aus	w9_d262e9585
denen	w11_d262e9588
Canonen,	w13_d262e9592
gegen	w1_d262e9598
Abend	w3_d262e9601
liessen	w5_d262e9604
Se.	w7_d262e9607
Hoch=fürstl.	w9_d262e9610
Durchl.	w11_d262e9613
ganz	w1_d262e9618
unvermutet	w3_d262e9621
Lärmen	w5_d262e9624
schlagen,	w7_d262e9627
auf	w9_d262e9630
wel	w11_d262e9633
ches	w1_d262e9638
gesamte	w3_d262e9641
Regimenter	w5_d262e9644
Cavallerie	w7_d262e9647
und	w9_d262e9650
Jn	w11_d262e9653
fanterie	w1_d262e9658
in	w3_d262e9661
Zeit	w5_d262e9664
von	w7_d262e9667
11.	w9_d262e9670
Minuten	w11_d262e9673
in	w13_d262e9677
völliger	w15_d262e9680
Parade	w1_d262e9686
vor	w3_d262e9689
der	w5_d262e9692
Fronte	w7_d262e9695
stunden.	w9_d262e9698
Der	w11_d262e9701
Tag	w13_d262e9705
des	w1_d262e9710
Aufbruches	w3_d262e9713
von	w5_d262e9716
dem	w7_d262e9719
Auxiliar=corps	w9_d262e9722
ist	w11_d262e9725
noch	w1_d262e9730
nicht	w3_d262e9733
bestimmt,	w5_d262e9736
die	w7_d262e9739
Einrichtung	w9_d262e9742
aber	w11_d262e9745
von	w1_d262e9750
Sr.	w3_d262e9753
Herzogl.	w5_d262e9756
Durchl.	w7_d262e9759
also	w9_d262e9762
vorgekehret,	w11_d262e9765
und	w1_d262e9771
alles	w3_d262e9774
und	w5_d262e9777
jedes	w7_d262e9780
in	w9_d262e9783
solche	w11_d262e9786
Bereitschaft	w13_d262e9790
gesetzt,	w1_d262e9795
daß	w3_d262e9798
die	w5_d262e9801
Regimenter	w7_d262e9804
eine	w9_d262e9807
halbe	w11_d262e9810
Stun	w13_d262e9814
de	w1_d262e9819
nach	w3_d262e9822
erhaltener	w5_d262e9825
Ordre	w7_d262e9828
ohne	w9_d262e9831
Anstand	w11_d262e9834
völ	w13_d262e9838
lig	w1_d262e9843
weg	w3_d262e9846
marschiren	w5_d262e9849
können.	w7_d262e9852
</p>
<head id="h2_d262e9858">
Stralsund,	w1_d262e9862
den	w3_d262e9865
28.	w5_d262e9868
Junii	w7_d262e9871
</head>
<p id="p4_d262e9874">
Vor=gestern	w1_d262e9878
Nachmittag	w3_d262e9881
haben	w5_d262e9884
die	w7_d262e9887
Preuf	w9_d262e9890
sen	w1_d262e9895
das	w3_d262e9898
Schwedische	w5_d262e9901
Vor=pommern	w7_d262e9904
gänz	w9_d262e9907
lich	w1_d262e9912
verlassen.	w3_d262e9915
Die	w5_d262e9918
Armee	w7_d262e9921
campirt	w9_d262e9924
jenseit	w11_d262e9927
des	w1_d262e9933
Peen=stroms,	w3_d262e9936
eine	w5_d262e9939
Meile	w7_d262e9942
von	w9_d262e9945
Loitz	w11_d262e9948
nach	w13_d262e9952
der	w1_d262e9957
Seite	w3_d262e9960
von	w5_d262e9963
Anclam.	w7_d262e9966
Mit	w9_d262e9969
dem	w11_d262e9972
gegen	w13_d262e9976
wärtigen	w1_d262e9981
guten	w3_d262e9984
Wind	w5_d262e9987
sind	w7_d262e9990
gestern	w9_d262e9993
bereits	w11_d262e9996
ei	w13_d262e10000
nige	w1_d262e10005
hundert	w3_d262e10008
Mann	w5_d262e10011
Königl	w7_d262e10014
Trupen	w9_d262e10017
auf	w11_d262e10020
der	w13_d262e10024
Rheede	w1_d262e10030
zu	w3_d262e10033
Wittow	w5_d262e10036
glücklich	w7_d262e10039
angelanget,	w9_d262e10042
und	w11_d262e10045
binnen	w1_d262e10050
wenig	w3_d262e10053
Tagen	w5_d262e10056
wird	w7_d262e10059
der	w9_d262e10062
ganze	w11_d262e10065
Trans	w13_d262e10069
port	w1_d262e10074
Jnfanterie	w3_d262e10077
hieselbst	w5_d262e10080
erwartet.	w7_d262e10083
</p>
<head id="h2_d262e10090">
Durlach,	w1_d262e10094
den	w3_d262e10097
1.	w5_d262e10100
Julii.	w7_d262e10103
</head>
<p id="p4_d262e10106">
Den	w1_d262e10110
30sten	w3_d262e10113
traf	w5_d262e10116
das	w7_d262e10119
Französische	w9_d262e10122
Küra	w11_d262e10125
ßier=regiment	w1_d262e10130
de	w3_d262e10133
Salles	w5_d262e10136
allhier	w7_d262e10139
ein.	w9_d262e10142
Es	w11_d262e10145
solte	w1_d262e10150
seinen	w3_d262e10153
Marsch	w5_d262e10156
gegen	w7_d262e10159
Pforzheim	w9_d262e10162
nehmen,	w11_d262e10165
ein	w1_d262e10171
angelangter	w3_d262e10174
Schild=courier	w5_d262e10177
aber	w7_d262e10180
über	w9_d262e10183
brachte	w1_d262e10188
ihm	w3_d262e10191
die	w5_d262e10194
anderweite	w7_d262e10197
Ordre,	w9_d262e10200
solchen	w11_d262e10203
nach	w1_d262e10208
gehaltenem	w3_d262e10211
Rast=tag	w5_d262e10214
über	w7_d262e10217
Bruchsal	w9_d262e10220
zur	w1_d262e10225
Armee	w3_d262e10228
zu	w5_d262e10231
nehmen,	w7_d262e10234
wohin	w9_d262e10237
es	w11_d262e10240
dann	w13_d262e10244
auch	w15_d262e10247
gestern	w1_d262e10253
aufgebrochen	w3_d262e10256
ist.	w5_d262e10259
Gestern	w7_d262e10262
langte	w9_d262e10265
die	w11_d262e10268
erste	w1_d262e10273
Colonue	w3_d262e10276
derer	w5_d262e10279
nach	w7_d262e10282
Frankreich	w9_d262e10285
gehenden	w11_d262e10288
Sächsischen	w1_d262e10293
Trupen	w3_d262e10296
zu	w5_d262e10299
Ettlingen	w7_d262e10302
an.	w9_d262e10305
Sie	w11_d262e10308
bestehet	w1_d262e10313
aus	w3_d262e10316
auserlösener	w5_d262e10319
Mannschaft.	w7_d262e10322
</p>
<head id="h2_d262e10328">
Beidelberg,	w1_d262e10332
den	w3_d262e10335
1.	w5_d262e10338
Julii	w7_d262e10341
</head>
<p id="p4_d262e10344">
Allhier	w1_d262e10348
hat	w3_d262e10351
man	w5_d262e10354
seit	w7_d262e10357
einigen	w9_d262e10360
Tagen	w11_d262e10363
viel	w13_d262e10367
fältige	w1_d262e10372
Anstalten	w3_d262e10375
zu	w5_d262e10378
Anlegung	w7_d262e10381
eines	w9_d262e10384
