<doc id="wr_1760-08-06" attrs="word" year="1760" month="08" day="06" corpus="2">
<head id="h2_d473e3491">
Toulon	w1_d473e3495
Hof=meisters	w1_d473e11470
Grafen	w3_d473e11473
von	w5_d473e11476
Ullfeld	w7_d473e11479
Excell.	w9_d473e11482
der	w1_d473e11487
zu	w3_d473e11490
künftigen	w5_d473e11493
Bedienung	w7_d473e11496
gedacht=Durchl.	w9_d473e11499
Braut	w1_d473e11504
eigends	w3_d473e11507
aufgestellten	w5_d473e11510
Hof=staat	w7_d473e11513
ge	w9_d473e11516
</p>
<p id="p14_d473e11530">
wöhnlicher=massen	w1_d473e11534
vorgestellet;	w3_d473e11537
weiters	w5_d473e11540
wurde	w1_d473e11545
auch	w3_d473e11548
durch	w5_d473e11551
den	w7_d473e11554
anderten	w9_d473e11557
Kaiserl.	w11_d473e11560
Kö	w13_d473e11564
nigl.	w1_d473e11569
obristen	w3_d473e11572
Hof=meistern	w5_d473e11575
(Titl.)	w7_d473e11578
Herrn	w9_d473e11581
Fürsten	w1_d473e11587
von	w3_d473e11590
Trautson	w5_d473e11593
die	w7_d473e11596
gleichfalls	w9_d473e11599
jüngst	w11_d473e11602
hin	w1_d473e11607
als	w3_d473e11610
obriste	w5_d473e11613
Hof=meisterin	w7_d473e11616
declarirte	w9_d473e11619
Frau	w1_d473e11624
Gräfin	w3_d473e11627
Antonia	w5_d473e11630
von	w7_d473e11633
Erdödy,	w9_d473e11636
geborne	w11_d473e11639
Gräfin	w1_d473e11644
von	w3_d473e11647
Batthyan	w5_d473e11650
Excell.	w7_d473e11653
denen	w9_d473e11656
ebenfalls	w11_d473e11659
eigends	w1_d473e11665
zu	w3_d473e11668
mehr	w5_d473e11671
gedachter	w7_d473e11674
Durchl.	w9_d473e11677
Braut	w11_d473e11680
künftiger	w1_d473e11685
Bedienung	w3_d473e11688
angestellten	w5_d473e11691
Cammer	w7_d473e11694
fräulen,	w1_d473e11699
Hof=damen	w3_d473e11702
und	w5_d473e11705
übrigen	w7_d473e11708
Cam	w9_d473e11711
mer=frauen=zimmer	w1_d473e11716
vorgestellet.	w3_d473e11719
</p>
<p id="p16_d473e11722">
Vorgestern,	w1_d473e11726
und	w3_d473e11729
gestern,	w5_d473e11732
als	w7_d473e11735
den	w9_d473e11738
4.	w11_d473e11741
und	w13_d473e11745
5.	w1_d473e11750
Augusti	w3_d473e11753
seynd	w5_d473e11756
beede	w7_d473e11759
Kaiserl.	w9_d473e11762
Majestäten	w11_d473e11765
mit	w1_d473e11770
Staats	w3_d473e11773
und	w5_d473e11776
Landes=anliegenheiten	w7_d473e11779
be	w9_d473e11782
schäftiget	w1_d473e11788
gewesen.	w3_d473e11791
</p>
<p id="p18_d473e11794">
Das	w1_d473e11798
Diarium	w3_d473e11801
von	w5_d473e11804
der	w7_d473e11807
Belagerung	w9_d473e11810
der	w11_d473e11813
Chur=fürstl.	w1_d473e11818
Sächsischen	w3_d473e11821
Residenz=stadt	w5_d473e11824
Dresden,	w1_d473e11829
wird	w3_d473e11832
man	w5_d473e11835
dem	w7_d473e11838
Publico	w9_d473e11841
mitzutheilen,	w11_d473e11844
künftigen	w1_d473e11850
Post=tag	w3_d473e11853
den	w5_d473e11856
Anfang	w7_d473e11859
machen.	w9_d473e11862
</p>
<head id="h2_d473e11868">
Lista	w1_d473e11872
deren	w3_d473e11875
Verstorbenen	w5_d473e11878
zu	w7_d473e11881
Wien	w9_d473e11884
in	w1_d473e11889
und	w3_d473e11892
vor	w5_d473e11895
der	w7_d473e11898
Stadt.	w9_d473e11901
Den	w1_d473e11906
2.	w3_d473e11909
Augusti.	w5_d473e11912
Jn	w1_d473e11918
der	w3_d473e11921
Stadt.	w5_d473e11924
</head>
<list id="l4_d473e11927">
Dem	w1_d473e11931
Franz	w3_d473e11934
Bendl,	w5_d473e11937
Brodsitz.,	w7_d473e11940
s.	w9_d473e11943
K.	w11_d473e11946
Cathar.,	w13_d473e11950
im	w15_d473e11953
Maureris.	w1_d473e11958
H.	w3_d473e11961
am	w5_d473e11964
hohen	w7_d473e11967
Markt,	w9_d473e11970
alt	w11_d473e11973
1.	w13_d473e11977
J.	w15_d473e11980
</list>
<head id="h2_d473e11987">
Vor	w1_d473e11991
der	w3_d473e11994
Stadt.	w5_d473e11997
</head>
<list id="l4_d473e12000">
Dem	w1_d473e12004
Hrn.	w3_d473e12007
Franz	w5_d473e12010
Wustl,	w7_d473e12013
K.	w9_d473e12016
K.	w11_d473e12019
Hartsch.,	w13_d473e12023
s.	w15_d473e12026
K.	w17_d473e12029
Mi	w19_d473e12032
chael,	w1_d473e12037
beym	w3_d473e12040
gold.	w5_d473e12043
Bärn	w7_d473e12046
auf	w9_d473e12049
der	w11_d473e12052
Wied.,	w13_d473e12056
alt	w15_d473e12059
2.	w17_d473e12062
J.	w19_d473e12065
Franz	w1_d473e12070
Dietrich,	w3_d473e12073
Lack.,	w5_d473e12076
dbey	w7_d473e12079
der	w9_d473e12082
gros.	w11_d473e12085
Bet.	w13_d473e12089
bey	w15_d473e12092
St.	w17_d473e12095
Ulrich,	w1_d473e12101
alt	w3_d473e12104
69.	w5_d473e12107
J.	w7_d473e12110
Dem	w1_d473e12115
Simon	w3_d473e12118
Gabler,	w5_d473e12121
Knöpf=mach.,	w7_d473e12124
s.	w9_d473e12127
K.	w11_d473e12130
Franz,	w13_d473e12134
bey	w1_d473e12139
J.	w3_d473e12142
M.	w5_d473e12145
J.	w7_d473e12148
im	w9_d473e12151
Lerchenf,	w11_d473e12154
alt	w13_d473e12158
2	w15_d473e12161
J.	w17_d473e12164
</list>
<head id="h2_d473e12171">
Summa	w1_d473e12175
4.	w3_d473e12178
Pers.	w5_d473e12181
da	w7_d473e12184
unter	w9_d473e12187
3.	w11_d473e12190
Kind.	w13_d473e12194
Den	w1_d473e12199
3.	w3_d473e12202
Augusti.	w5_d473e12205
Jn	w1_d473e12210
der	w3_d473e12213
Stadt.	w5_d473e12216
</head>
<list id="l4_d473e12219">
Dem	w1_d473e12223
Wol=edel=geb.	w3_d473e12226
Hrn.	w5_d473e12229
Joh	w7_d473e12232
Math.	w9_d473e12235
Seemüller	w11_d473e12238
K.	w1_d473e12243
K	w3_d473e12246
Münz	w5_d473e12249
und	w7_d473e12252
Berg=wesens	w9_d473e12255
Hof=buchhalt.,	w11_d473e12258
s.	w13_d473e12262
Fr.	w1_d473e12267
Maria	w3_d473e12270
Sophia,	w5_d473e12273
im	w7_d473e12276
Sartoris.	w9_d473e12279
H.	w11_d473e12282
in	w13_d473e12286
der	w15_d473e12289
Weih	w17_d473e12292
burg	w1_d473e12298
gas.,	w3_d473e12301
alt	w5_d473e12304
52.	w7_d473e12307
J.	w9_d473e12310
Dem	w1_d473e12315
Wol	w3_d473e12318
edelrgeb.	w5_d473e12321
Hrn	w7_d473e12324
Joh.	w9_d473e12327
Heinr.	w11_d473e12330
Neuman,	w13_d473e12334
K.	w15_d473e12337
K.	w1_d473e12342
Obrist=hof=post=amts	w3_d473e12345
control,	w5_d473e12348
s.	w7_d473e12351
Fr.	w9_d473e12354
Anna,	w11_d473e12357
im	w1_d473e12362
Pachmanis.	w3_d473e12365
H.	w5_d473e12368
in	w7_d473e12371
der	w9_d473e12374
Römerstr.,	w11_d473e12377
alt	w13_d473e12381
28.	w15_d473e12384
J.	w17_d473e12387
Den	w1_d473e12393
Jos.	w3_d473e12396
Leichner,	w5_d473e12399
Burgerl.	w7_d473e12402
Flaschn.,	w9_d473e12405
s.	w11_d473e12408
K.	w13_d473e12412
Franz,	w15_d473e12415
im	w1_d473e12420
Ovet.	w3_d473e12423
Latzen=hof,	w5_d473e12426
alt	w7_d473e12429
5.	w9_d473e12432
J.	w11_d473e12435
</list>
<head id="h2_d473e12442">
Vor	w1_d473e12446
der	w3_d473e12449
Stadt.	w5_d473e12452
</head>
<list id="l4_d473e12455">
Dem	w1_d473e12459
Hrg.	w3_d473e12462
Ant	w5_d473e12465
Bartscherer,	w7_d473e12468
K.	w9_d473e12471
K.	w11_d473e12474
Feld=cur.,	w13_d473e12478
s.	w15_d473e12481
K.	w17_d473e12484
Jos.,	w1_d473e12489
im	w3_d473e12492
Schnür=macheris.	w5_d473e12495
H.	w7_d473e12498
in	w9_d473e12501
der	w11_d473e12504
Leopoldst.,	w13_d473e12508
alt	w1_d473e12513
1.	w3_d473e12516
J.	w5_d473e12519
</list>
<list id="l6_d473e12523">
Conrad	w1_d473e12527
Schmid,	w3_d473e12530
Burgerl.	w5_d473e12533
Schuh=mach.,	w7_d473e12536
bey	w9_d473e12539
den	w11_d473e12542
schwarz.	w1_d473e12547
Hirsch.	w3_d473e12550
im	w5_d473e12553
Liechtenth.,	w7_d473e12556
alt	w9_d473e12559
77.	w11_d473e12562
J.	w13_d473e12566
Dem	w1_d473e12571
Baul	w3_d473e12574
Egold,	w5_d473e12577
Schuh=mach.,	w7_d473e12580
s.	w9_d473e12583
W.	w11_d473e12586
Anna,	w13_d473e12590
bey	w15_d473e12593
dem	w1_d473e12599
gold.	w3_d473e12602
Adl.	w5_d473e12605
an	w7_d473e12608
der	w9_d473e12611
Wien,	w11_d473e12614
alt	w13_d473e12618
47.	w15_d473e12621
J.	w17_d473e12624
Barb.	w1_d473e12629
Wiestingerin,	w3_d473e12632
Wittwe,	w5_d473e12635
beym	w7_d473e12638
schwarz.	w9_d473e12641
Mohr.	w11_d473e12644
in	w1_d473e12649
der	w3_d473e12652
Leoboldst.,	w5_d473e12655
alt	w7_d473e12658
69.	w9_d473e12661
J.	w11_d473e12664
Christoph	w1_d473e12669
Schuh,	w3_d473e12672
Tag=löhn.,	w5_d473e12675
beym	w7_d473e12678
weis.	w9_d473e12681
Kreutzz	w11_d473e12684
Mätzleinstorf,	w1_d473e12690
alt	w3_d473e12693
60.	w5_d473e12696
J.	w7_d473e12699
</list>
<head id="h2_d473e12706">
Summa	w1_d473e12710
8.	w3_d473e12713
Person.,	w5_d473e12716
darunter	w7_d473e12719
2.	w9_d473e12722
Kind.	w11_d473e12725
Den	w1_d473e12730
4.	w3_d473e12733
Augusti.	w5_d473e12736
Jn	w1_d473e12741
der	w3_d473e12744
Stadt.	w5_d473e12747
</head>
<list id="l4_d473e12750">
Der	w1_d473e12754
Wol=ehrw.	w3_d473e12757
P.	w5_d473e12760
Remigi	w7_d473e12763
Frey,	w9_d473e12766
Ord.	w11_d473e12769
Minor.	w13_d473e12773
St	w15_d473e12776
Franc.,	w1_d473e12781
im	w3_d473e12784
Klostee	w5_d473e12787
unterm	w7_d473e12790
Land=H.,	w9_d473e12793
alt	w11_d473e12796
74.	w13_d473e12800
J.	w15_d473e12803
</list>
<head id="h2_d473e12811">
Vor	w1_d473e12815
der	w3_d473e12818
Stadt.	w5_d473e12821
</head>
<list id="l4_d473e12824">
Der	w1_d473e12828
Ehrw.	w3_d473e12831
Fr.	w5_d473e12834
Cyrillus	w7_d473e12837
Hiebl,	w9_d473e12840
Novitz,	w11_d473e12843
im	w13_d473e12847
Kloster	w15_d473e12850
bey	w1_d473e12855
denen	w3_d473e12858
FF.	w5_d473e12861
Mis.	w7_d473e12864
alt	w9_d473e12867
33.	w11_d473e12870
J.	w13_d473e12874
Dem	w1_d473e12879
Mich.	w3_d473e12882
Hörman,	w5_d473e12885
Burgern,	w7_d473e12888
s.	w9_d473e12891
W.	w11_d473e12894
Cathar,	w13_d473e12898
in	w15_d473e12901
s.	w1_d473e12907
H.	w3_d473e12910
in	w5_d473e12913
der	w7_d473e12916
Leopoldst.,	w9_d473e12919
alt	w11_d473e12922
56.	w13_d473e12926
J.	w15_d473e12929
Dem	w1_d473e12934
Ant.	w3_d473e12937
Pinhack,	w5_d473e12940
Burgerl.	w7_d473e12943
Zeug=mach.,	w9_d473e12946
s.	w11_d473e12949
K.	w13_d473e12953
E.	w15_d473e12956
lisab.,	w1_d473e12961
beym	w3_d473e12964
gold.	w5_d473e12967
Brunn	w7_d473e12970
oberm	w9_d473e12973
Neustift,	w11_d473e12976
6.	w13_d473e12980
J.	w15_d473e12983
Dem	w1_d473e12988
Georg	w3_d473e12991
Ried,	w5_d473e12994
Sessel	w7_d473e12997
mach.,	w9_d473e13000
s.	w11_d473e13003
K.	w13_d473e13007
Anna,	w15_d473e13010
beym	w17_d473e13013
rot.	w1_d473e13019
Apfel	w3_d473e13022
oberm	w5_d473e13025
Neustift,	w7_d473e13028
alt	w9_d473e13031
2.	w11_d473e13034
J.	w13_d473e13038
</list>
<head id="h2_d473e13045">
Summa	w1_d473e13049
5.	w3_d473e13052
Pers.,	w5_d473e13055
darunter	w7_d473e13058
2.	w9_d473e13061
Kind.	w11_d473e13064
Den	w1_d473e13069
5.	w3_d473e13072
Aug.	w5_d473e13075
Jn	w1_d473e13080
der	w3_d473e13083
Stadt.	w5_d473e13086
</head>
<list id="l4_d473e13089">
Jos.	w1_d473e13093
Schesier,	w3_d473e13096
Burgerl.	w5_d473e13099
Schneid,	w7_d473e13102
in	w9_d473e13105
der	w11_d473e13108
Schnels	w13_d473e13112
herberg,	w1_d473e13117
alt	w3_d473e13120
76.	w5_d473e13123
J.	w7_d473e13126
Franz	w1_d473e13131
Delang,	w3_d473e13134
Postill,	w5_d473e13137
im	w7_d473e13140
Questenbergis.	w9_d473e13143
H.	w11_d473e13146
in	w13_d473e13150
der	w15_d473e13153
Johannes	w1_d473e13159
gas.,	w3_d473e13162
alt	w5_d473e13165
35.	w7_d473e13168
J.	w9_d473e13171
</list>
<head id="h2_d473e13178">
Vor	w1_d473e13182
der	w3_d473e13185
Stadt.	w5_d473e13188
</head>
<list id="l4_d473e13191">
Jos.	w1_d473e13195
Kaymaller,	w3_d473e13198
Sticker,	w5_d473e13201
bey	w7_d473e13204
St.	w9_d473e13207
Florian	w11_d473e13210
am	w13_d473e13214
Neu	w15_d473e13217
bau,	w1_d473e13222
alt	w3_d473e13225
54.	w5_d473e13228
J.	w7_d473e13231
Dem	w1_d473e13236
Mich.	w3_d473e13239
Koberl,	w5_d473e13242
Tischl	w7_d473e13245
s.	w9_d473e13248
W.	w11_d473e13251
Anna,	w13_d473e13255
im	w15_d473e13258
Hurd	w17_d473e13261
ris.	w1_d473e13267
H.	w3_d473e13270
am	w5_d473e13273
Thury,	w7_d473e13276
alt	w9_d473e13279
28.	w11_d473e13282
J.	w13_d473e13286
Der	w1_d473e13291
Sinton	w3_d473e13294
Mayrhofer,	w5_d473e13297
Lack.,	w7_d473e13300
im	w9_d473e13303
Zimmermeiste	w11_d473e13306
ris.	w1_d473e13311
H.	w3_d473e13314
in	w5_d473e13317
der	w7_d473e13320
Leopoldst.,	w9_d473e13323
alt	w11_d473e13326
67.	w13_d473e13330
J.	w15_d473e13333
Sebast.	w1_d473e13338
Rust,	w3_d473e13341
Fischer=kn.,	w5_d473e13344
so	w7_d473e13347
in	w9_d473e13350
der	w11_d473e13353
Donau	w13_d473e13357
ertrum	w15_d473e13360
ken,	w1_d473e13366
ist	w3_d473e13369
unter	w5_d473e13372
der	w7_d473e13375
Landstras.	w9_d473e13378
an	w11_d473e13381
der	w13_d473e13385
Donau	w15_d473e13388
vom	w17_d473e13391
K.	w19_d473e13394
K.	w1_d473e13399
Stadt	w3_d473e13402
gericht	w5_d473e13405
beschauet	w7_d473e13408
worden,	w9_d473e13411
alt	w11_d473e13414
35.	w13_d473e13418
J.	w15_d473e13421
</list>
<head id="h2_d473e13428">
Summa	w1_d473e13432
6.	w3_d473e13435
Pers.,	w5_d473e13438
darunter	w7_d473e13441
6.	w9_d473e13444
Kind	w11_d473e13447
</head>
<p id="p4_d473e13450">
Von	w1_d473e13454
einem	w3_d473e13457
Löbl	w5_d473e13460
N.	w7_d473e13463
Oe.	w9_d473e13466
Landschafts	w11_d473e13469
ober=ken	w13_d473e13473
nehmer=amt	w1_d473e13478
wird	w3_d473e13481
über	w5_d473e13484
vorhinnige	w7_d473e13487
Kund	w9_d473e13490
machung	w11_d473e13493
hiemit	w1_d473e13498
weiters	w3_d473e13501
zu	w5_d473e13504
wissen	w7_d473e13507
gemacht;	w9_d473e13510
daß	w11_d473e13513
an	w13_d473e13517
denen	w15_d473e13520
zu	w1_d473e13526
Bestreitung	w3_d473e13529
derer	w5_d473e13532
erforderlichen	w7_d473e13535
Unkosan	w9_d473e13538
rey	w11_d473e13541
fürdaurend	w1_d473e13546
gegenwartigen	w3_d473e13549
Krieg	w5_d473e13552
von	w7_d473e13555
Aunnd	w9_d473e13558
1780.	w11_d473e13561
bis	w1_d473e13566
inclusive	w3_d473e13569
1759	w5_d473e13572
in	w7_d473e13575
besagtem	w9_d473e13578
Amte	w11_d473e13581
eriedtes	w13_d473e13585
Anticipationen	w1_d473e13590
und	w3_d473e13593
Subsidien,	w5_d473e13596
auch	w7_d473e13599
alle	w9_d473e13602
von80	w11_d473e13605
din	w13_d473e13609
exclusive	w1_d473e13615
100.	w3_d473e13618
fl.	w5_d473e13621
(wover	w7_d473e13624
unterm	w9_d473e13627
15.	w11_d473e13630
Octoklo	w13_d473e13634
ei	w15_d473e13637
nesricglichen	w1_d473e13642
obiger	w3_d473e13645
Jahren	w5_d473e13648
datirt=N.	w7_d473e13651
Ot.	w9_d473e13654
Land	w11_d473e13657
schafts=obligationen	w1_d473e13662
ertheilet	w3_d473e13665
worden	w5_d473e13668
seynd	w7_d473e13671
in	w9_d473e13674
nächst	w1_d473e13679
künftigen	w3_d473e13682
Monat	w5_d473e13685
Octobri	w7_d473e13688
dieses	w9_d473e13691
1760sten	w11_d473e13694
Jahrs	w1_d473e13700
von	w3_d473e13703
da	w5_d473e13706
aus	w7_d473e13709
anwiederumen	w9_d473e13712
zuruck	w11_d473e13715
bezahett	w13_d473e13719
werden;	w1_d473e13724
Solchemnach	w3_d473e13727
können	w5_d473e13730
all=jene	w7_d473e13733
Partherrn,	w9_d473e13736
enen	w1_d473e13741
in	w3_d473e13744
so	w1_d473e13749
derley	w3_d473e13752
N.	w5_d473e13755
Oe.	w7_d473e13758
Landschaftsobligari	w9_d473e13761
Handen	w1_d473e13767
haben,	w3_d473e13770
zu	w5_d473e13773
Abholung	w7_d473e13776
dieser	w9_d473e13779
ihrer	w11_d473e13782
Capi	w13_d473e13786
</p>
<p id="p8_d473e13791">
talien	w1_d473e13795
samt	w3_d473e13798
Jnteresse	w5_d473e13801
bey	w7_d473e13804
Verfall=zeit	w9_d473e13807
in	w11_d473e13810
bemelde	w13_d473e13814
tem	w1_d473e13819
Amte	w3_d473e13822
sich	w5_d473e13825
einfinden,	w7_d473e13828
dann	w9_d473e13831
hinnach	w11_d473e13834
kein	w13_d473e13838
wei	w15_d473e13841
teres	w1_d473e13846
Jnteresse	w3_d473e13849
hievon	w5_d473e13852
mehr	w7_d473e13855
abgereichet	w9_d473e13858
wird.	w11_d473e13861
</p>
<p id="p10_d473e13864">
Von	w1_d473e13868
des	w3_d473e13871
in	w5_d473e13874
Ober	w7_d473e13877
hungarn	w9_d473e13880
zu	w11_d473e13883
Caschau	w13_d473e13887
aufgestel	w15_d473e13890
ten	w1_d473e13895
Kaiserl.	w3_d473e13898
Königl.	w5_d473e13901
Stabs=auditoriat=amts	w7_d473e13904
we	w9_d473e13907
gen	w1_d473e13912
allen	w3_d473e13915
denen,	w5_d473e13918
so	w7_d473e13921
daran	w9_d473e13924
gelegen,	w11_d473e13927
hiemit	w13_d473e13931
kund	w15_d473e13934
zu	w1_d473e13940
machen,	w3_d473e13943
was	w5_d473e13946
gestalten	w7_d473e13949
diejenige	w9_d473e13952
Partheyen,	w11_d473e13955
so	w13_d473e13959
an	w1_d473e13964
der	w3_d473e13967
einige	w5_d473e13970
zeithero	w7_d473e13973
zu	w9_d473e13976
Stry	w11_d473e13979
in	w13_d473e13983
Pohlen	w15_d473e13986
das	w17_d473e13989
Ri	w19_d473e13992
mondirungs=geschäft	w1_d473e13997
besorgten,	w3_d473e14000
und	w5_d473e14003
den	w7_d473e14006
20.	w9_d473e14009
letzt	w11_d473e14012
berwichenen	w1_d473e14017
Monats	w3_d473e14020
Junii	w5_d473e14023
daselbst	w7_d473e14026
verstorbenen	w9_d473e14029
Feld=kriegs=commissarium	w1_d473e14035
von	w3_d473e14038
Zuckmantl	w5_d473e14041
Verlas	w7_d473e14044
senschaft	w1_d473e14049
einige	w3_d473e14052
Sprüche	w5_d473e14055
oder	w7_d473e14058
Forderung	w9_d473e14061
ex	w11_d473e14064
quo-	w13_d473e14068
cunque	w1_d473e14073
lemum	w3_d473e14076
capite	w5_d473e14079
zu	w7_d473e14082
machen	w9_d473e14085
vermeinen,	w11_d473e14088
auf	w13_d473e14092
den	w1_d473e14097
30.	w3_d473e14100
zukünftigen	w5_d473e14103
Monats	w7_d473e14106
Augusti	w9_d473e14109
fruhe	w11_d473e14112
um	w13_d473e14116
8.	w1_d473e14122
Uhr	w3_d473e14125
bey	w5_d473e14128
Eingangs	w7_d473e14131
ersagten	w9_d473e14134
Amt	w11_d473e14137
pro	w13_d473e14141
1mo,	w15_d473e14144
2do	w17_d473e14147
&	w1_d473e14152
zuo,	w3_d473e14155
Termino	w5_d473e14158
sub	w7_d473e14161
clausula	w9_d473e14164
Contumariæ,	w11_d473e14167
&	w13_d473e14171
peepetai	w1_d473e14176
silentii	w3_d473e14179
per	w5_d473e14182
se,	w7_d473e14185
vel	w9_d473e14188
per	w11_d473e14191
alium	w13_d473e14195
sufficientes	w15_d473e14198
instenctum	w1_d473e14203
Mandatarium	w3_d473e14206
sich	w5_d473e14209
behörig	w7_d473e14212
zu	w9_d473e14215
melden,	w11_d473e14218
seimin	w1_d473e14224
ihre	w3_d473e14227
Beheiffe	w5_d473e14230
in	w7_d473e14233
Originalibus	w9_d473e14236
beyzubrin	w11_d473e14239
nen,	w1_d473e14244
und	w3_d473e14247
Rechts	w5_d473e14250
erforderlich	w7_d473e14253
zu	w9_d473e14256
liquidiren,	w11_d473e14259
unter	w13_d473e14263
linstens	w1_d473e14268
vorgeladen	w3_d473e14271
werden.	w5_d473e14274
Caschau	w7_d473e14277
den	w9_d473e14280
21stei	w11_d473e14283
Julii	w1_d473e14288
1760.	w3_d473e14291
</p>
<p id="p12_d473e14295">
Auf	w1_d473e14299
Verordnung	w3_d473e14302
eines	w5_d473e14305
Hochlöbl.	w7_d473e14308
aus	w9_d473e14311
Ni.	w11_d473e14314
Oe.	w13_d473e14318
Regierung	w1_d473e14323
in	w3_d473e14326
Wechsel	w5_d473e14329
sachen	w7_d473e14332
aufgestelten	w9_d473e14335
Judicii	w11_d473e14338
Delegiti	w1_d473e14343
werden	w3_d473e14346
unweit	w5_d473e14349
des	w7_d473e14352
Profeß	w9_d473e14355
haus	w11_d473e14358
deren	w13_d473e14362
B.	w1_d473e14368
E.	w3_d473e14371
PP	w5_d473e14374
Jesuiten	w7_d473e14377
in	w9_d473e14380
der	w11_d473e14383
Corrent=gassen	w13_d473e14387
neben	w15_d473e14390
der	w1_d473e14395
St.	w3_d473e14398
Stanislai=capellen	w5_d473e14401
in	w7_d473e14404
dem	w9_d473e14407
Ribulaischen	w11_d473e14410
Haus,	w1_d473e14415
alwo	w3_d473e14418
der	w5_d473e14421
Tischler	w7_d473e14424
wohnet,	w9_d473e14427
im	w11_d473e14430
3ten	w13_d473e14434
Stock	w15_d473e14437
verschiedene	w1_d473e14442
gerichtlich	w3_d473e14445
geschätzte	w5_d473e14448
goldene	w7_d473e14451
Uhren	w9_d473e14454
nach	w1_d473e14460
der	w3_d473e14463
neuesten	w5_d473e14466
Art	w7_d473e14469
den	w9_d473e14472
7.	w11_d473e14475
Augusti	w13_d473e14479
1760.	w15_d473e14482
fruhe	w17_d473e14485
um	w1_d473e14490
9.	w3_d473e14493
Uhr	w5_d473e14496
dem	w7_d473e14499
Meistbietenden	w9_d473e14502
verkauffet	w11_d473e14505
werden.	w13_d473e14509
</p>
<p id="p14_d473e14512">
Den	w1_d473e14516
11.	w3_d473e14519
dis	w5_d473e14522
Monats	w7_d473e14525
Augusti,	w9_d473e14528
und	w11_d473e14531
folgende	w13_d473e14535
Tage	w1_d473e14540
Vormittags	w3_d473e14543
von	w5_d473e14546
9.	w7_d473e14549
bis	w9_d473e14552
12.	w11_d473e14555
und	w13_d473e14559
Nachmit	w15_d473e14562
tags	w1_d473e14567
von	w3_d473e14570
3.	w5_d473e14573
bis	w7_d473e14576
6.	w9_d473e14579
Uhr	w11_d473e14582
werden	w13_d473e14586
auf	w15_d473e14589
Verordnung	w17_d473e14592
einer	w1_d473e14598
Löbl.	w3_d473e14601
Universität	w5_d473e14604
alhier	w7_d473e14607
in	w9_d473e14610
dem	w11_d473e14613
Gräfl.	w13_d473e14617
Mol	w15_d473e14620
tärdischen	w1_d473e14625
Haus	w3_d473e14628
in	w5_d473e14631
der	w7_d473e14634
Weyhburg=gassen	w9_d473e14637
anderten	w11_d473e14640
Stocks	w1_d473e14645
verschiedene	w3_d473e14648
Verlassenschafts=effecten	w5_d473e14651
be	w7_d473e14654
siesend	w1_d473e14659
in	w3_d473e14662
Galanterien,	w5_d473e14665
Gold	w7_d473e14668
und	w9_d473e14671
Silber,	w11_d473e14674
nebst	w13_d473e14678
einen	w1_d473e14684
groß=porcellainenen	w3_d473e14687
in	w5_d473e14690
Silber	w7_d473e14693
gefasten	w9_d473e14696
Taffel	w11_d473e14699
aufsatz,	w1_d473e14704
Manns=kleider	w3_d473e14707
und	w5_d473e14710
Wäsch,	w7_d473e14713
Mahlereyen,	w9_d473e14716
einiges	w1_d473e14721
Gewehr,	w3_d473e14724
dann	w5_d473e14727
Mobilien	w7_d473e14730
und	w9_d473e14733
Zimmer	w11_d473e14736
dilrichtung,	w1_d473e14741
item	w3_d473e14744
15.	w5_d473e14747
Eimer	w7_d473e14750
Wein	w9_d473e14753
1746ger	w11_d473e14756
Ge	w13_d473e14760
wachs,	w1_d473e14766
dann	w3_d473e14769
Pferd	w5_d473e14772
und	w7_d473e14775
Wagen	w9_d473e14778
licitando	w11_d473e14781
an	w13_d473e14785
den	w15_d473e14788
Reistbietenden	w1_d473e14793
verkauffet	w3_d473e14796
werden.	w5_d473e14799
</p>
<p id="p16_d473e14802">
Jn	w1_d473e14806
dem	w3_d473e14809
Baron	w5_d473e14812
Metschisch	w7_d473e14815
nunmehro	w9_d473e14818
Wingeri	w11_d473e14821
hen	w1_d473e14826
Haus	w3_d473e14829
in	w5_d473e14832
der	w7_d473e14835
Leopold=stadt,	w9_d473e14838
nächst	w11_d473e14841
des	w13_d473e14845
schwar	w15_d473e14848
dem	w1_d473e14853
Carns,	w3_d473e14856
seynd	w5_d473e14859
2.	w7_d473e14862
paar	w9_d473e14865
Rappen	w11_d473e14868
Zug=pferd	w13_d473e14872
wich	w1_d473e14878
zu	w3_d473e14881
verkauffen,	w5_d473e14884
der,	w7_d473e14887
oder	w9_d473e14890
diejenige	w11_d473e14893
so	w13_d473e14897
hierzu	w15_d473e14900
ieden	w1_d473e14905
tragen,	w3_d473e14908
können	w5_d473e14911
sich	w7_d473e14914
an	w9_d473e14917
obbemeldten	w11_d473e14920
Ort	w13_d473e14924
an	w15_d473e14927
melden.	w1_d473e14932
</p>
<p id="p18_d473e14935">
Von	w1_d473e14939
N.	w3_d473e14942
Richter	w5_d473e14945
und	w7_d473e14948
Raht	w9_d473e14951
des	w11_d473e14954
Markts	w13_d473e14958
Himberg	w15_d473e14961
wegen,	w1_d473e14966
wird	w3_d473e14969
hiemit	w5_d473e14972
jedermänniglich	w7_d473e14975
kund	w9_d473e14978
und	w11_d473e14981
zu	w13_d473e14985
wisen	w1_d473e14990
gemacht:	w3_d473e14993
welchergestalten	w5_d473e14996
die	w7_d473e14999
Adam	w9_d473e15002
Plu	w11_d473e15005
werische	w1_d473e15011
Behausung	w3_d473e15014
zum	w5_d473e15017
weissen	w7_d473e15020
