<doc id="wr_1758-07-05" attrs="word" year="1758" month="07" day="05" corpus="2">
<head id="h2_d258e3225">
Dünkirchen	w1_d258e3229
entsetzliches	w5_d258e6908
Feuer	w7_d258e6911
gemacht	w9_d258e6914
wur	w11_d258e6917
be,	w1_d258e6923
welches	w3_d258e6926
man	w5_d258e6929
jedoch	w7_d258e6932
Französischer	w9_d258e6935
Seits	w11_d258e6938
auch	w1_d258e6943
triftig	w3_d258e6946
beantwortete.	w5_d258e6949
Mit	w7_d258e6952
dem	w9_d258e6955
Cano	w11_d258e6958
nen	w1_d258e6963
und	w3_d258e6966
darauf	w5_d258e6969
gefolgten	w7_d258e6972
Musqueten=feuer	w9_d258e6975
wurde	w1_d258e6980
von	w3_d258e6983
beyden	w5_d258e6986
Seiten	w7_d258e6989
sehr	w9_d258e6992
hitzig,	w11_d258e6995
und	w13_d258e6999
über	w1_d258e7005
2.	w3_d258e7008
Stunden	w5_d258e7011
unabläßig	w7_d258e7014
fortgefahren;	w9_d258e7017
Es	w1_d258e7022
ergabe	w3_d258e7025
sich	w5_d258e7028
demnächst,	w7_d258e7031
daß	w9_d258e7034
die	w11_d258e7037
Hanove	w13_d258e7041
raner	w1_d258e7046
zum	w3_d258e7049
Weichen	w5_d258e7052
genöhtiget	w7_d258e7055
wurden,	w9_d258e7058
diese	w11_d258e7061
über	w1_d258e7066
machten	w3_d258e7069
mitlerweile	w5_d258e7072
mit	w7_d258e7075
einer	w9_d258e7078
Colonne	w11_d258e7081
eine	w1_d258e7087
Schwenkung,	w3_d258e7090
griffen	w5_d258e7093
den	w7_d258e7096
Französischen	w9_d258e7099
linken	w1_d258e7104
Flügel	w3_d258e7107
an	w5_d258e7110
einem	w7_d258e7113
anderen	w9_d258e7116
Ort	w11_d258e7119
unver	w13_d258e7123
mutet	w1_d258e7128
vom	w3_d258e7131
neuen,	w5_d258e7134
und	w7_d258e7137
zwar	w9_d258e7140
in	w11_d258e7143
der	w13_d258e7147
Flanque	w15_d258e7150
an,	w1_d258e7155
daß	w3_d258e7158
andurch	w5_d258e7161
der	w7_d258e7164
Französische	w9_d258e7167
linke	w11_d258e7170
Flü	w13_d258e7174
gel	w1_d258e7180
weichen	w3_d258e7183
muste,	w5_d258e7186
worauf	w7_d258e7189
zwar	w9_d258e7192
vom	w11_d258e7195
rechten	w13_d258e7199
Flügel	w1_d258e7204
(der	w3_d258e7207
nicht	w5_d258e7210
zum	w7_d258e7213
Agiren	w9_d258e7216
gekommen,	w11_d258e7219
und	w13_d258e7223
durch	w1_d258e7228
Canoniren	w3_d258e7231
den	w5_d258e7234
Hanöverischen	w7_d258e7237
tinten	w9_d258e7240
Flügel	w1_d258e7245
stäts	w3_d258e7248
repoußirte)	w5_d258e7251
5.	w7_d258e7254
Regimenter	w9_d258e7257
Jn	w11_d258e7260
fanderie,	w1_d258e7266
und	w3_d258e7269
3.	w5_d258e7272
Regimenter	w7_d258e7275
Cavallerie	w9_d258e7278
zur	w11_d258e7281
Verstärkung	w1_d258e7286
abgeschickt	w3_d258e7289
wurden,	w5_d258e7292
allein	w7_d258e7295
es	w9_d258e7298
war	w1_d258e7303
zu	w3_d258e7306
spat.	w5_d258e7309
Der	w7_d258e7312
linke	w9_d258e7315
Flügel	w11_d258e7318
bliebe	w13_d258e7322
in	w15_d258e7325
der	w1_d258e7330
Retirade,	w3_d258e7333
wobey	w5_d258e7336
aber	w7_d258e7339
die	w9_d258e7342
Französische	w11_d258e7345
Trupen	w1_d258e7351
noch	w3_d258e7354
immer	w5_d258e7357
mit	w7_d258e7360
dem	w9_d258e7363
besten	w11_d258e7366
Mut	w13_d258e7370
agir	w15_d258e7373
ten	w1_d258e7378
und	w3_d258e7381
Stand	w5_d258e7384
hielten.	w7_d258e7387
Gegen	w9_d258e7390
6.	w11_d258e7393
Uhren	w13_d258e7397
schwiege	w1_d258e7402
das	w3_d258e7405
Feuer	w5_d258e7408
von	w7_d258e7411
beyden	w9_d258e7414
Seiten,	w11_d258e7417
und	w13_d258e7421
man	w1_d258e7426
gerieht	w3_d258e7429
mit	w5_d258e7432
aufgeflanzten	w7_d258e7435
Bajonetten	w9_d258e7438
und	w1_d258e7444
Säbel	w3_d258e7447
hitzig	w5_d258e7450
aneinandr.	w7_d258e7453
Endlich	w9_d258e7456
mut	w11_d258e7459
sten	w1_d258e7464
die	w3_d258e7467
Franzosen	w5_d258e7470
denen	w7_d258e7473
Hanoverauern	w9_d258e7476
wei	w11_d258e7479
chen	w1_d258e7484
sie	w3_d258e7487
retirirten	w5_d258e7490
sich	w7_d258e7493
aber	w9_d258e7496
in	w11_d258e7499
der	w13_d258e7503
besten	w15_d258e7506
Ord	w17_d258e7509
tzung	w1_d258e7514
noch	w3_d258e7517
selbigen	w5_d258e7520
Abends	w7_d258e7523
von	w9_d258e7526
dem	w11_d258e7529
Kampf	w13_d258e7533
</p>
<p id="p12_d258e7537">
platz,	w1_d258e7541
also,	w3_d258e7544
daß	w5_d258e7547
heut	w7_d258e7550
morgen	w9_d258e7553
das	w11_d258e7556
Haupt	w13_d258e7560
quartier	w1_d258e7565
nach	w3_d258e7568
Neufs,	w5_d258e7571
und	w7_d258e7574
die	w9_d258e7577
Armee	w11_d258e7580
auch	w13_d258e7584
in	w1_d258e7589
dieser	w3_d258e7592
Gegend	w5_d258e7595
zu	w7_d258e7598
stehen	w9_d258e7601
kame.	w11_d258e7604
</p>
<p id="p14_d258e7607">
Der	w1_d258e7611
Verlust	w3_d258e7614
von	w5_d258e7617
beyden	w7_d258e7620
Seiten,	w9_d258e7623
ist	w11_d258e7626
der	w13_d258e7630
malen	w1_d258e7635
noch	w3_d258e7638
nicht	w5_d258e7641
zu	w7_d258e7644
schätzen,	w9_d258e7647
doch	w11_d258e7650
ist	w13_d258e7654
leicht	w15_d258e7657
zu	w1_d258e7662
denken,	w3_d258e7665
daß	w5_d258e7668
es	w7_d258e7671
bey	w9_d258e7674
diesem	w11_d258e7677
hartnäckigen	w13_d258e7681
Gefecht	w1_d258e7687
vieler	w3_d258e7690
brafer	w5_d258e7693
Soldaten	w7_d258e7696
Leben	w9_d258e7699
geko	w11_d258e7702
stet	w1_d258e7707
habe.	w3_d258e7710
Das	w5_d258e7713
Französische	w7_d258e7716
Regiment	w9_d258e7719
Ca	w11_d258e7722
rabiniers	w1_d258e7727
du	w3_d258e7730
Roi	w5_d258e7733
und	w7_d258e7736
Schweitzer=regiment	w9_d258e7739
von	w1_d258e7744
Lochmann	w3_d258e7747
(welche	w5_d258e7750
Wunder	w7_d258e7753
der	w9_d258e7756
Tapfer	w11_d258e7759
keit	w1_d258e7765
bewiesen)	w3_d258e7768
haben	w5_d258e7771
ung	w7_d258e7774
mein	w9_d258e7777
stark,	w11_d258e7780
die	w13_d258e7784
Regimenter	w1_d258e7789
Champagne,	w3_d258e7792
la	w5_d258e7795
Marche,	w7_d258e7798
Auvi	w9_d258e7801
quier	w1_d258e7806
rc.	w3_d258e7809
auch	w5_d258e7812
viel	w7_d258e7815
gelitten.	w9_d258e7818
Unter	w11_d258e7821
andern	w13_d258e7825
distinguirten	w1_d258e7830
Personen,	w3_d258e7833
ist	w5_d258e7836
der	w7_d258e7839
Graf	w9_d258e7842
von	w11_d258e7845
Gi	w13_d258e7849
sors,	w1_d258e7855
einziger	w3_d258e7858
Sohn	w5_d258e7861
des	w7_d258e7864
Marschalls	w9_d258e7867
von	w11_d258e7870
Bel	w13_d258e7874
lisle	w1_d258e7879
tödtlich	w3_d258e7882
bleßirt.	w5_d258e7885
Das	w7_d258e7888
Treffen	w9_d258e7891
hat	w11_d258e7894
un	w13_d258e7898
gefähr	w1_d258e7903
7.	w3_d258e7906
Stunden,	w5_d258e7909
bis	w7_d258e7912
gegen	w9_d258e7915
Abends	w11_d258e7918
angehal	w13_d258e7922
ten.	w1_d258e7927
Die	w3_d258e7930
andere	w5_d258e7933
und	w7_d258e7936
mehrere	w9_d258e7939
Umstände	w11_d258e7942
muß	w13_d258e7946
man	w1_d258e7952
der	w3_d258e7955
Zeit	w5_d258e7958
zur	w7_d258e7961
Erörterung	w9_d258e7964
überlassen.	w11_d258e7967
</p>
<head id="h2_d258e7973">
Düsseldorf	w1_d258e7977
25.	w3_d258e7980
Jun.	w5_d258e7983
</head>
<p id="p4_d258e7986">
So	w1_d258e7990
eben	w3_d258e7993
vernimt	w5_d258e7996
man,	w7_d258e7999
daß	w9_d258e8002
das	w11_d258e8005
Franzö	w13_d258e8009
sische	w1_d258e8014
Haupt=quartier	w3_d258e8017
von	w5_d258e8020
Neus	w7_d258e8023
nach	w9_d258e8026
Wor	w11_d258e8029
ringen	w1_d258e8034
verlegt	w3_d258e8037
worden.	w5_d258e8040
Neus	w7_d258e8043
ist	w9_d258e8046
von	w11_d258e8049
denen	w13_d258e8053
Hanoveranern	w1_d258e8059
bereits	w3_d258e8062
occupirt.	w5_d258e8065
Zu	w7_d258e8068
denen	w9_d258e8071
in	w1_d258e8076
Düsseldorf	w3_d258e8079
ligenden	w5_d258e8082
Pfälzern	w7_d258e8085
sind	w9_d258e8088
noch	w11_d258e8091
4.	w13_d258e8095
Französische	w1_d258e8100
Bataillons	w3_d258e8103
eingeruckt;	w5_d258e8106
übrigens	w7_d258e8109
folget	w1_d258e8114
der	w3_d258e8117
Hanöverische	w5_d258e8120
Vor=trab	w7_d258e8123
dem	w9_d258e8126
Fran	w11_d258e8129
zösischen	w1_d258e8135
Nach=trab	w3_d258e8138
auf	w5_d258e8141
dem	w7_d258e8144
Fuß	w9_d258e8147
nach.	w11_d258e8150
</p>
<head id="h2_d258e8156">
Rotterdamm	w1_d258e8160
22.	w3_d258e8163
Junii.	w5_d258e8166
</head>
<p id="p4_d258e8169">
Die	w1_d258e8173
verschiedene	w3_d258e8176
Berichte	w5_d258e8179
wegen	w7_d258e8182
der	w9_d258e8185
Lan	w11_d258e8188
dung	w1_d258e8193
der	w3_d258e8196
Engländer	w5_d258e8199
erhalten	w7_d258e8202
nach	w9_d258e8205
und	w11_d258e8208
nach	w13_d258e8212
ein	w1_d258e8217
besseres	w3_d258e8220
Licht.	w5_d258e8223
Sie	w7_d258e8226
haben	w9_d258e8229
würklich	w11_d258e8232
zu	w13_d258e8236
Cancale,	w1_d258e8242
einer	w3_d258e8245
kleinen	w5_d258e8248
Stadt	w7_d258e8251
in	w9_d258e8254
Nieder=bre	w11_d258e8257
tagne,	w1_d258e8262
3.	w3_d258e8265
Stunden	w5_d258e8268
von	w7_d258e8271
St.	w9_d258e8274
Malo,	w11_d258e8277
gelandet,	w13_d258e8281
und	w1_d258e8286
der	w3_d258e8289
dortige	w5_d258e8292
Gouverneur,	w7_d258e8295
Herzog	w9_d258e8298
von	w11_d258e8301
Aignillon,	w1_d258e8306
hat	w3_d258e8309
es	w5_d258e8312
selbst	w7_d258e8315
nach	w9_d258e8318
Hofe	w11_d258e8321
berichtet,	w13_d258e8325
zugleich	w1_d258e8331
aber	w3_d258e8334
auch,	w5_d258e8337
daß,	w7_d258e8340
weil	w9_d258e8343
er	w11_d258e8346
8000.	w13_d258e8350
Mann	w15_d258e8353
bey	w1_d258e8358
sich	w3_d258e8361
gehabt,	w5_d258e8364
und	w7_d258e8367
noch	w9_d258e8370
5000.	w11_d258e8373
zu	w13_d258e8377
ihm	w15_d258e8380
ge	w17_d258e8383
stossen,	w1_d258e8388
die	w3_d258e8391
Engländer	w5_d258e8394
besorgt	w7_d258e8397
hätten,	w9_d258e8400
abge	w11_d258e8403
schnitten	w1_d258e8408
zu	w3_d258e8411
werden,	w5_d258e8414
daher	w7_d258e8417
sie	w9_d258e8420
das	w11_d258e8423
Städt	w13_d258e8427
chen	w1_d258e8433
und	w3_d258e8436
sein	w5_d258e8439
Gebiete	w7_d258e8442
in	w9_d258e8445
der	w11_d258e8448
Geschwindig	w13_d258e8452
keit	w1_d258e8457
geplündert	w3_d258e8460
und	w5_d258e8463
verwüstet,	w7_d258e8466
und	w9_d258e8469
dar	w11_d258e8472
auf	w1_d258e8477
wiederum	w3_d258e8480
zu	w5_d258e8483
Schiffe	w7_d258e8486
gegangen.	w9_d258e8489
</p>
<head id="h2_d258e8495">
Breslan	w1_d258e8499
13.	w3_d258e8502
Junii.	w5_d258e8505
</head>
<p id="p4_d258e8508">
Jn	w1_d258e8512
der	w3_d258e8515
vorgestrigen	w5_d258e8518
Nacht	w7_d258e8521
um	w9_d258e8524
12.	w11_d258e8527
Uhr,	w13_d258e8531
kam	w1_d258e8536
alhier	w3_d258e8539
in	w5_d258e8542
dem	w7_d258e8545
Hinter=gebäude	w9_d258e8548
der	w11_d258e8551
soge	w13_d258e8555
nannten	w1_d258e8560
Fecht=schule	w3_d258e8563
Feuer	w5_d258e8566
aus,	w7_d258e8569
welches	w9_d258e8572
so	w11_d258e8575
geschwind	w1_d258e8581
um	w3_d258e8584
sich	w5_d258e8587
grif,	w7_d258e8590
daß,	w9_d258e8593
ungeachtet	w11_d258e8596
der	w13_d258e8600
dagegen	w1_d258e8605
gemachten	w3_d258e8608
Löschungs=anstalten,	w5_d258e8611
8.	w7_d258e8614
Häuser	w1_d258e8619
völlig	w3_d258e8622
abbrannten.	w5_d258e8625
</p>
<p id="p10_d258e8638">
Nachdem	w1_d258e8642
unlängst	w3_d258e8645
der	w5_d258e8648
Prälat	w7_d258e8651
des	w9_d258e8654
hiesigen	w11_d258e8657
Fürstl.	w1_d258e8662
Stifts	w3_d258e8665
derer	w5_d258e8668
Creutz=herrn	w7_d258e8671
mit	w9_d258e8674
dem	w11_d258e8677
roten	w1_d258e8682
Stern	w3_d258e8685
ab	w5_d258e8688
St.	w7_d258e8691
Matthiam,	w9_d258e8694
Herr	w11_d258e8697
Chri	w13_d258e8701
stoph	w1_d258e8707
Joseph	w3_d258e8710
Hellman,	w5_d258e8713
mit	w7_d258e8716
Tode	w9_d258e8719
abgegangen;	w11_d258e8722
so	w1_d258e8727
ist	w3_d258e8730
nach	w5_d258e8733
gehaltener	w7_d258e8736
Wahl	w9_d258e8739
der	w11_d258e8742
bisherig	w13_d258e8746
Sonntags=prediger,	w1_d258e8751
Herr	w3_d258e8754
Carl	w5_d258e8757
Jenisch,	w7_d258e8760
zum	w9_d258e8763
Prälaten	w1_d258e8768
dieses	w3_d258e8771
Hoch	w5_d258e8774
fürstl.	w7_d258e8777
Stifts	w9_d258e8780
erhoben	w11_d258e8783
worden,	w1_d258e8789
und	w3_d258e8792
gestern	w5_d258e8795
der	w7_d258e8798
Actus	w9_d258e8801
Jnstallatio	w11_d258e8804
nis	w1_d258e8809
mit	w3_d258e8812
denen	w5_d258e8815
gewöhnlichen	w7_d258e8818
Solennitäten	w9_d258e8821
vor	w1_d258e8826
sich	w3_d258e8829
gegangen.	w5_d258e8832
</p>
<p id="p12_d258e8836">
Die	w1_d258e8840
gesammte	w3_d258e8843
Preußische	w5_d258e8846
Prinz	w7_d258e8849
Heinrichi	w9_d258e8852
sche	w1_d258e8857
Armee	w3_d258e8860
stehet	w5_d258e8863
zunächst	w7_d258e8866
an	w9_d258e8869
Oelsnitz	w11_d258e8872
auf	w13_d258e8876
ei	w15_d258e8879
nem	w1_d258e8884
Berg,	w3_d258e8887
welcher	w5_d258e8890
von	w7_d258e8893
dem	w9_d258e8896
Städtlein	w11_d258e8899
aus	w13_d258e8903
gegen	w1_d258e8909
Morgen	w3_d258e8912
und	w5_d258e8915
Mittag	w7_d258e8918
zu	w9_d258e8921
ligt.	w11_d258e8924
Den	w13_d258e8928
rechten	w1_d258e8933
Flügel	w3_d258e8936
formiren	w5_d258e8939
die	w7_d258e8942
gelben	w9_d258e8945
Küraßiers	w11_d258e8948
den	w1_d258e8953
linken	w3_d258e8956
hingegen	w5_d258e8959
die	w7_d258e8962
blauen	w9_d258e8965
und	w11_d258e8968
roten	w13_d258e8972
Grenadiers,	w1_d258e8977
das	w3_d258e8980
Haupt=quartier	w5_d258e8983
ist	w7_d258e8986
zu	w9_d258e8989
Ra	w11_d258e8992
scha	w1_d258e8998
und	w3_d258e9001
des	w5_d258e9004
Prinzen	w7_d258e9007
Heinrichs,	w9_d258e9010
Königl.	w11_d258e9013
Ho	w13_d258e9017
heit,	w1_d258e9022
logiren	w3_d258e9025
in	w5_d258e9028
dem	w7_d258e9031
dasigen	w9_d258e9034
dem	w11_d258e9037
Herrn	w13_d258e9041
ge	w15_d258e9044
heimen	w1_d258e9049
Raht	w3_d258e9052
von	w5_d258e9055
Osten	w7_d258e9058
zugehörigen	w9_d258e9061
Schlosse	w11_d258e9064
Die	w1_d258e9069
Meineckischen	w3_d258e9072
Dragoner	w5_d258e9075
stehen	w7_d258e9078
auf	w9_d258e9081
der	w11_d258e9084
Raschaischen	w1_d258e9090
Wiesen	w3_d258e9093
an	w5_d258e9096
der	w7_d258e9099
Elster,	w9_d258e9102
und	w11_d258e9105
die	w13_d258e9109
Artillerie	w1_d258e9114
mit	w3_d258e9117
dem	w5_d258e9120
darzu	w7_d258e9123
gehörigen	w9_d258e9126
Corps	w11_d258e9129
befindet	w1_d258e9134
sich	w3_d258e9137
etwas	w5_d258e9140
weiter	w7_d258e9143
hinauf,	w9_d258e9146
zunächst	w11_d258e9149
an	w13_d258e9153
Oelsnitz.	w1_d258e9158
Zu	w3_d258e9161
gedachtem	w5_d258e9164
Oetsnitz	w7_d258e9167
stehet	w9_d258e9170
eben	w11_d258e9173
sowol	w1_d258e9179
wie	w3_d258e9182
alhier	w5_d258e9185
ein	w7_d258e9188
Jnfanterie=regiment	w9_d258e9191
und	w1_d258e9196
das	w3_d258e9199
Haupt=magazin	w5_d258e9202
ist	w7_d258e9205
auch	w9_d258e9208
noch	w11_d258e9211
alhier	w13_d258e9215
die	w1_d258e9220
schwarzen	w3_d258e9223
Hussaren	w5_d258e9226
und	w7_d258e9229
der	w9_d258e9232
Obrist	w11_d258e9235
von	w13_d258e9239
Meyer	w1_d258e9244
aber	w3_d258e9247
haben	w5_d258e9250
ihr	w7_d258e9253
Quartier	w9_d258e9256
in	w11_d258e9259
dem	w13_d258e9263
Dorf	w15_d258e9266
Meglitz	w1_d258e9272
1.	w3_d258e9275
und	w5_d258e9278
eine	w7_d258e9281
halbe	w9_d258e9284
Stunde	w11_d258e9287
von	w13_d258e9291
Oels	w15_d258e9294
nitz	w1_d258e9299
gegen	w3_d258e9302
Asch	w5_d258e9305
zu	w7_d258e9308
gelegen.	w9_d258e9311
Am	w11_d258e9314
17.	w13_d258e9318
wurde	w15_d258e9321
der	w1_d258e9326
Herr	w3_d258e9329
Obrist=leutenant	w5_d258e9332
von	w7_d258e9335
Belling	w9_d258e9338
mit	w11_d258e9341
400.	w1_d258e9346
von	w3_d258e9349
seinen	w5_d258e9352
Hussaren	w7_d258e9355
und	w9_d258e9358
200.	w11_d258e9361
Mann	w13_d258e9365
von	w1_d258e9371
Meyerischen	w3_d258e9374
Corps	w5_d258e9377
detaschiret,	w7_d258e9380
um	w9_d258e9383
das	w11_d258e9386
Lager	w1_d258e9391
von	w3_d258e9394
der	w5_d258e9397
Avant=garde	w7_d258e9400
der	w9_d258e9403
Reichsar	w11_d258e9406
med,	w1_d258e9411
welches	w3_d258e9414
oberhalb	w5_d258e9417
Asch	w7_d258e9420
auf	w9_d258e9423
einem	w11_d258e9426
Berg	w13_d258e9430
gegen	w1_d258e9435
Schöntag	w3_d258e9438
zu	w5_d258e9441
gestanden,	w7_d258e9444
zu	w9_d258e9447
recogno	w11_d258e9450
ciren.	w1_d258e9456
Er	w3_d258e9459
unterzog	w5_d258e9462
sich	w7_d258e9465
dieser	w9_d258e9468
Verrichtung,	w11_d258e9471
und	w1_d258e9476
hatte	w3_d258e9479
kaum	w5_d258e9482
gegen	w7_d258e9485
Mittag	w9_d258e9488
um	w11_d258e9491
11.	w13_d258e9495
Uhr	w15_d258e9498
die	w1_d258e9503
gegen	w3_d258e9506
eitige	w5_d258e9509
Position	w7_d258e9512
in	w9_d258e9515
seine	w11_d258e9518
Schreibta	w13_d258e9522
fel	w1_d258e9527
aufgenommen	w3_d258e9530
gehabt,	w5_d258e9533
als	w7_d258e9536
sich	w9_d258e9539
die	w11_d258e9542
Sple	w13_d258e9546
nischen	w1_d258e9552
Hussaren	w3_d258e9555
und	w5_d258e9558
andere	w7_d258e9561
Trupen	w9_d258e9564
zu	w11_d258e9567
re	w13_d258e9571
tiriren	w1_d258e9576
angefangen.	w3_d258e9579
Er	w5_d258e9582
attaquirte	w7_d258e9585
demnach	w9_d258e9588
dieselben	w1_d258e9593
in	w3_d258e9596
vollem	w5_d258e9599
Jagen	w7_d258e9602
in	w9_d258e9605
ihrem	w11_d258e9608
Lager	w13_d258e9612
allein,	w1_d258e9617
ehe	w3_d258e9620
er	w5_d258e9623
sichs	w7_d258e9626
versahe,	w9_d258e9629
ruckten	w11_d258e9632
auf	w13_d258e9636
allen	w15_d258e9639
Seiten	w1_d258e9645
aus	w3_d258e9648
denen	w5_d258e9651
Wäldern	w7_d258e9654
Würtembergische	w9_d258e9657
Dragoner	w1_d258e9662
und	w3_d258e9665
Hohenzollerische	w5_d258e9668
Retter	w7_d258e9671
her	w9_d258e9674
vor.	w1_d258e9679
Die	w3_d258e9682
Ubermacht	w5_d258e9685
war	w7_d258e9688
angenscheinlich,	w9_d258e9691
und	w1_d258e9696
der	w3_d258e9699
Entfernung	w5_d258e9702
halber	w7_d258e9705
konnte	w9_d258e9708
kein	w11_d258e9711
Suc	w13_d258e9715
curs	w1_d258e9721
herbey	w3_d258e9724
gezogen	w5_d258e9727
werden,	w7_d258e9730
mithin	w9_d258e9733
retirirte	w11_d258e9736
</p>
<head id="h2_d258e9742">
Plauen	w1_d258e9746
26.	w3_d258e9749
Junii.	w5_d258e9752
</head>
<p id="p4_d258e9755">
sich	w1_d258e9759
der	w3_d258e9762
Obrist	w5_d258e9765
leutenant	w7_d258e9768
Belling,	w9_d258e9771
wobey	w11_d258e9774
nicht	w13_d258e9778
wenig	w1_d258e9783
Leute	w3_d258e9786
verloren	w5_d258e9789
gegangen,	w7_d258e9792
indem	w9_d258e9795
alle	w11_d258e9798
Wege	w1_d258e9803
und	w3_d258e9806
Zugänge	w5_d258e9809
besetzt	w7_d258e9812
waren,	w9_d258e9815
und	w11_d258e9818
der	w13_d258e9822
selbe	w1_d258e9828
sich	w3_d258e9831
beständig	w5_d258e9834
durchhauen	w7_d258e9837
müssen.	w9_d258e9840
Der	w11_d258e9843
Rückzug	w1_d258e9848
geschahe	w3_d258e9851
immer	w5_d258e9854
durch	w7_d258e9857
Wälder;	w9_d258e9860
und	w11_d258e9863
die	w1_d258e9868
Oesterreichet	w3_d258e9871
haben	w5_d258e9874
die	w7_d258e9877
Preußen	w9_d258e9880
bis	w11_d258e9883
an	w13_d258e9887
Meglitz	w1_d258e9892
gejaget.	w3_d258e9895
Dem	w5_d258e9898
Herrn	w7_d258e9901
von	w9_d258e9904
Belling	w11_d258e9907
sind	w1_d258e9913
3.	w3_d258e9916
Pferde	w5_d258e9919
unter	w7_d258e9922
dem	w9_d258e9925
Leibe	w11_d258e9928
erschossen	w13_d258e9932
worden.	w1_d258e9937
Die	w3_d258e9940
Meyerischen	w5_d258e9943
Leute	w7_d258e9946
geriehten	w9_d258e9949
so	w1_d258e9954
nahe	w3_d258e9957
an	w5_d258e9960
die	w7_d258e9963
Oesterreichischen	w9_d258e9966
Hussaren,	w11_d258e9969
daß	w1_d258e9974
sie	w3_d258e9977
gar	w5_d258e9980
nicht	w7_d258e9983
mehr	w9_d258e9986
laden	w11_d258e9989
konnten,	w13_d258e9993
sondern	w15_d258e9996
sich	w1_d258e10002
nur	w3_d258e10005
mit	w5_d258e10008
dem	w7_d258e10011
aufgepflanzten	w9_d258e10014
Bajonet	w11_d258e10017
wehren	w1_d258e10022
musten.	w3_d258e10025
Von	w5_d258e10028
200.	w7_d258e10031
Mann	w9_d258e10034
deren	w11_d258e10037
Mayrischen	w1_d258e10042
Trupen	w3_d258e10045
kamen	w5_d258e10048
60.	w7_d258e10051
ins	w9_d258e10054
Quartier	w11_d258e10057
zurück,	w1_d258e10062
die	w3_d258e10065
übrigen	w5_d258e10068
sind	w7_d258e10071
entweder	w9_d258e10074
todt	w11_d258e10077
oder	w13_d258e10081
gefängen.	w1_d258e10087
17.	w3_d258e10090
schwarze	w5_d258e10093
Hussaren	w7_d258e10096
sind	w9_d258e10099
gleich	w11_d258e10102
auf	w1_d258e10107
dem	w3_d258e10110
Platz	w5_d258e10113
geblieben,	w7_d258e10116
und	w9_d258e10119
verschiedene	w11_d258e10122
Ver	w13_d258e10126
wundete	w1_d258e10131
sind	w3_d258e10134
nach	w5_d258e10137
Oelsnitz	w7_d258e10140
gebracht	w9_d258e10143
worden.	w11_d258e10146
Den	w1_d258e10151
17.	w3_d258e10154
Junii	w5_d258e10157
Nachmittag	w7_d258e10160
um	w9_d258e10163
3	w11_d258e10166
Uhr	w13_d258e10170
schickte	w1_d258e10176
der	w3_d258e10179
Obrist	w5_d258e10182
von	w7_d258e10185
Meyer	w9_d258e10188
einen	w11_d258e10191
Courier	w13_d258e10195
in	w1_d258e10200
das	w3_d258e10203
Haupt=quärtier	w5_d258e10206
ab,	w7_d258e10209
und	w9_d258e10212
gab	w11_d258e10215
von	w13_d258e10219
dem	w15_d258e10222
was	w1_d258e10227
paßirt,	w3_d258e10230
Nachricht;	w5_d258e10233
kaum	w7_d258e10236
aber	w9_d258e10239
als	w11_d258e10242
dieser	w13_d258e10246
ängelanget	w1_d258e10251
gewesen,	w3_d258e10254
so	w5_d258e10257
rückten	w7_d258e10260
schon	w9_d258e10263
die	w11_d258e10266
sämmtlichen	w1_d258e10272
Meineckischen	w3_d258e10275
Dragoner	w5_d258e10278
und	w7_d258e10281
die	w9_d258e10284
gelbe	w1_d258e10289
Grenadiers	w3_d258e10292
zum	w5_d258e10295
Succurs	w7_d258e10298
entgegen;	w9_d258e10301
doch	w1_d258e10306
zu	w3_d258e10309
spat;	w5_d258e10312
dann	w7_d258e10315
die	w9_d258e10318
Oesterreichisch	w11_d258e10321
Hussaren	w1_d258e10326
hatten	w3_d258e10329
sich	w5_d258e10332
schon	w7_d258e10335
eine	w9_d258e10338
Stunde	w11_d258e10341
vor	w13_d258e10345
deren	w1_d258e10351
Eintreffen	w3_d258e10354
in	w5_d258e10357
Meglitz	w7_d258e10360
zuruck	w9_d258e10363
gezogen	w11_d258e10366
gehadt.	w1_d258e10371
Die	w3_d258e10374
Preußen	w5_d258e10377
haben	w7_d258e10380
bey	w9_d258e10383
dieser	w11_d258e10386
Ge	w13_d258e10390
legenheit	w1_d258e10395
5.	w3_d258e10398
Splenische	w5_d258e10401
Hussaren,	w7_d258e10404
worunter	w9_d258e10407
ihrer	w1_d258e10412
4.	w3_d258e10415
verwundet	w5_d258e10418
gewesen,	w7_d258e10421
als	w9_d258e10424
Gefangene	w11_d258e10427
eingebracht.	w1_d258e10433
</p>
<head id="h2_d258e10439">
Kurz=gefaßte	w1_d258e10443
Nachrichten.	w3_d258e10446
Es	w1_d258e10451
geben	w3_d258e10454
die	w5_d258e10457
frischeste	w7_d258e10460
Briefe	w9_d258e10463
</head>
<p id="p4_d258e10466">
Von	w1_d258e10470
Amsterdam,	w3_d258e10473
Daß	w5_d258e10476
man	w7_d258e10479
die	w9_d258e10482
Expte	w11_d258e10485
dition	w1_d258e10490
auf	w3_d258e10493
Senegal,	w5_d258e10496
dem	w7_d258e10499
Projecte	w9_d258e10502
eines	w11_d258e10505
bemit	w13_d258e10509
telten	w1_d258e10514
Engländischen	w3_d258e10517
Regocianten	w5_d258e10520
zu	w7_d258e10523
urchreiben	w9_d258e10526
habe.	w1_d258e10532
Die	w3_d258e10535
vornehmsten	w5_d258e10538
Waaren,	w7_d258e10541
die	w9_d258e10544
