<doc id="edoc_wd_1772-06-17" attrs="word" year="1772" month="06" day="17" corpus="1">
<head id="hl1">
Venedig	w28
<g/>
.
2	w3858
<g/>
)
Zu	w3860
Leiningen	w3861
Guntersblum	w3862
regierenden	w3863
Gra=fen	w3864
<g/>
=
Friederichs	w3866
ärgerliches	w3867
Betragen	w3868
betreffend	w3869
in	w3870
spec	w3871
<g/>
.
Goldhanin	w3873
cont	w3874
<g/>
.
den	w3876
über	w3877
die	w3878
Reichsgraf=schaft	w3879
<g/>
=
Leiningen	w3881
Dachs	w3882
<g/>
=
und	w3884
Falkenburg	w3885
angeord=neten	w3886
<g/>
=
Administ	w3888
<g/>
.
Grafen	w3890
zu	w3891
Leiningen	w3892
Hardenburg	w3893
<g/>
&
Cons	w3895
rescripti	w3896
<g/>
.
3	w3898
<g/>
)
Deutschorden	w3900
contra	w3901
Hessendarmstadt	w3902
<g/>
&
Cons	w3904
<g/>
.
mandati	w3906
<g/>
.
</list>
<list id="li6">
4	w3908
<g/>
)
Von	w3910
Uckermann	w3911
contra	w3912
den	w3913
Magistrat	w3914
zu	w3915
Nordhausen	w3916
<g/>
,
rescripti	w3918
<g/>
.
5	w3920
<g/>
)
Voigtländische	w3922
Ritterschaft	w3923
Hofischen	w3924
Bezirks	w3925
cont	w3926
<g/>
.
die	w3928
hochfürstl	w3929
<g/>
.
brandenburgische	w3931
Kammer	w3932
zu	w3933
Bayreut	w3934
<g/>
,
appell	w3936
<g/>
.
6	w3938
<g/>
)
Zobel	w3940
von	w3941
Giebelstadt	w3942
ꝛc	w3943
<g/>
.
</list>
<head id="hl9">
Desselben	w3945
Nachmittag	w3946
<g/>
.
</head>
<list id="li7">
1	w3948
<g/>
)
Von	w3950
Bülow	w3951
cont	w3952
<g/>
.
Doctorem	w3954
Krüger	w3955
<g/>
,
appell	w3957
<g/>
.
2	w3959
<g/>
)
Zu	w3961
Lübeck	w3962
Maureramt	w3963
cont	w3964
<g/>
.
den	w3966
Kirchen=vogt	w3967
<g/>
=
zu	w3969
St	w3970
Marien	w3971
daselbst	w3972
<g/>
,
appell	w3974
<g/>
.
3	w3976
<g/>
)
Zu	w3978
Lübeck	w3979
sämmtliche	w3980
gemeine	w3981
Träger	w3982
cont	w3983
<g/>
.
Holstenstrassen	w3985
Kohlenträger	w3986
<g/>
&
Cons	w3988
<g/>
.
appell	w3990
<g/>
.
4	w3992
<g/>
)
Zum	w3994
Jungen	w3995
modo	w3996
von	w3997
Berßner	w3998
cont	w3999
<g/>
.
die	w4001
Gemeinden	w4002
zu	w4003
Ginns	w4004
und	w4005
Astheim	w4006
<g/>
,
mand	w4008
<g/>
.
<g/>
&
parit	w4011
<g/>
.
5	w4013
<g/>
)
Zu	w4015
Maria	w4016
Kirchheim	w4017
Reichsgotteshaus	w4018
cont	w4019
<g/>
.
Magistrat	w4021
zu	w4022
Bopfingen	w4023
<g/>
,
mandati	w4025
<g/>
.
6	w4027
<g/>
)
Knebel	w4029
von	w4030
Katzenelnbogen	w4031
Freyherr	w4032
contra	w4033
Baadenbaaden	w4034
<g/>
,
appell	w4036
<g/>
.
7	w4038
<g/>
)
Schenck	w4040
v	w4041
<g/>
.
Kastell	w4043
cont	w4044
<g/>
.
Schenck	w4046
v	w4047
<g/>
.
Kastell	w4049
<g/>
,
puncto	w4051
malæmalae	w4052
administ	w4053
<g/>
.
Fidei	w4055
commissis	w4056
FamiliæFamiliae	w4057
<g/>
.
8	w4059
<g/>
)
Leiningen	w4061
Westerburg	w4062
cont	w4063
<g/>
.
v	w4065
<g/>
.
Blumenkron	w4067
<g/>
,
mand	w4069
<g/>
.
S	w4071
<g/>
.
C	w4073
<g/>
.
9	w4075
<g/>
)
Solms	w4077
Hohensolms	w4078
und	w4079
Lich	w4080
cont	w4081
<g/>
.
Hessen=darmstadt	w4083
<g/>
=
<g/>
,
das	w4086
Solmsische	w4087
ein	w4088
6tel	w4089
des	w4090
Amts	w4091
Klee=berg	w4092
<g/>
=
cum	w4094
appert	w4095
<g/>
.
<g/>
&
alia	w4098
bona	w4099
<g/>
&
Jura	w4101
betreffend	w4102
<g/>
.
10	w4104
<g/>
)
Von	w4106
der	w4107
Taun	w4108
cont	w4109
<g/>
.
v	w4111
<g/>
.
der	w4113
Taun	w4114
appell	w4115
<g/>
.
11	w4117
<g/>
)
Hohenlohe	w4119
Oehringen	w4120
cont	w4121
<g/>
.
Hohenlohe	w4123
Schillings	w4124
<g/>
=
Fürst	w4126
<g/>
,
<g/>
&
Cons	w4129
<g/>
.
mand	w4131
<g/>
&
paritoriæparitoriae	w4133
<g/>
.
12	w4135
<g/>
)
Zu	w4137
Solms	w4138
vermählte	w4139
Gräfinn	w4140
cont	w4141
<g/>
.
An=halt	w4143
<g/>
=
Bernburg	w4145
<g/>
,
rescripti	w4147
<g/>
.
13	w4149
<g/>
)
Von	w4151
Stain	w4152
cont	w4153
<g/>
.
von	w4155
Stain	w4156
<g/>
,
mand	w4158
<g/>
.
S	w4160
<g/>
.
C	w4162
<g/>
.
14	w4164
<g/>
)
Von	w4166
Rauschenblatt	w4167
cont	w4168
<g/>
.
die	w4170
Freyherrlich	w4171
v	w4172
<g/>
.
Weißbergische	w4174
Vormundschaft	w4175
<g/>
,
appell	w4177
<g/>
.
15	w4179
<g/>
)
Deutschorden	w4181
cont	w4182
<g/>
.
die	w4184
Oetting	w4185
<g/>
=
Oettin=gische	w4187
<g/>
=
Kanzley	w4189
<g/>
&
Cons	w4191
<g/>
.
mandati	w4193
<g/>
.
16	w4195
<g/>
)
Von	w4197
Hallweyl	w4198
<g/>
&
Cons	w4200
<g/>
.
cont	w4202
<g/>
.
den	w4204
Herrn	w4205
Bischof	w4206
zu	w4207
Basel	w4208
<g/>
&
Cons	w4210
appellationis	w4211
<g/>
.
19	w4213
<g/>
)
Niederbessungen	w4215
Gemeinde	w4216
cont	w4217
<g/>
.
Solms	w4219
Braunfels	w4220
<g/>
,
rescripti	w4222
<g/>
.
18	w4224
<g/>
)
Zu	w4226
Kirchheim	w4227
an	w4228
der	w4229
Eck	w4230
Landschultheiß	w4231
Blankenheim	w4232
<g/>
&
Cons	w4234
<g/>
.
cont	w4236
<g/>
.
den	w4238
Grafen	w4239
zu	w4240
Alt=leiningen	w4241
<g/>
=
Westerburg	w4243
<g/>
&
Cons	w4245
<g/>
.
rescripti	w4247
<g/>
.
19	w4249
<g/>
)
Zu	w4251
Thorn	w4252
Frau	w4253
Fürstinn	w4254
und	w4255
Abtißin	w4256
cont	w4257
<g/>
.
Thornisches	w4259
Kapitul	w4260
<g/>
,
Stände	w4262
und	w4263
Gericht	w4264
puncto	w4265
renitentiærenitentiae	w4266
<g/>
,
nunc	w4268
vice	w4269
versa	w4270
petiti	w4271
mand	w4272
<g/>
.
20	w4274
<g/>
)
Friedland	w4276
Stadt	w4277
cont	w4278
<g/>
.
das	w4280
herzogl	w4281
<g/>
.
Meck=lenburg	w4283
<g/>
=
Strelitzische	w4285
geheime	w4286
Rathskollegium	w4287
<g/>
,
<g/>
&
Cons	w4290
<g/>
.
appell	w4292
<g/>
.
21	w4294
<g/>
)
Ringer	w4296
cont	w4297
<g/>
.
den	w4299
Freyherrn	w4300
von	w4301
Stain	w4302
zum	w4303
Altenstein	w4304
<g/>
,
appell	w4306
<g/>
.
22	w4308
<g/>
)
Martini	w4310
cont	w4311
<g/>
,
Wanhour	w4313
<g/>
,
puncto	w4315
violat	w4316
<g/>
.
special	w4318
<g/>
.
concordat	w4320
<g/>
&
sumpti	w4322
Romam	w4323
recursus	w4324
<g/>
.
23	w4326
<g/>
)
Von	w4328
Vucht	w4329
cont	w4330
<g/>
.
Sciens	w4332
<g/>
,
<g/>
&
Cons	w4335
<g/>
.
appell	w4337
<g/>
.
24	w4339
<g/>
)
Grienwaldt	w4341
Joh	w4342
<g/>
.
Bapt	w4344
<g/>
.
Sperr	w4346
und	w4347
Ver=lassenschaft	w4348
<g/>
=
betreffend	w4350
<g/>
.
25	w4352
<g/>
)
Reichsritterschaft	w4354
in	w4355
Franken	w4356
Orts	w4357
am	w4358
Steigerwald	w4359
contra	w4360
Bamberg	w4361
<g/>
,
illicita	w4363
recursus	w4364
</list>
<list id="li8">
ad	w4365
forum	w4366
feudale	w4367
<g/>
&
turbatæturbatae	w4369
possessionis	w4370
vel	w4371
quasi	w4372
Juris	w4373
collectandi	w4374
auf	w4375
den	w4376
Bibraischen	w4377
ein=zeln	w4378
<g/>
=
Lehen	w4380
zu	w4381
Hechstätt	w4382
<g/>
.
26	w4384
<g/>
)
Von	w4386
Boineburg	w4387
cont	w4388
v	w4389
<g/>
.
Boineburg	w4391
<g/>
,
appell	w4393
<g/>
.
27	w4395
<g/>
)
Feuerlein	w4397
cont	w4398
<g/>
.
den	w4400
Freyh	w4401
<g/>
.
v	w4403
<g/>
.
Stein	w4405
zum	w4406
Altenstein	w4407
<g/>
,
resc	w4409
<g/>
.
puncto	w4411
debiti	w4412
<g/>
.
28	w4414
<g/>
)
Zu	w4416
Frankfurt	w4417
geschworne	w4418
des	w4419
Glaserhand=werks	w4420
<g/>
=
cont	w4422
<g/>
.
Gümbel	w4424
<g/>
,
appell	w4426
<g/>
.
29	w4428
<g/>
)
Hirsch	w4430
Süßlein	w4431
cont	w4432
<g/>
.
Herst	w4434
Marx	w4435
<g/>
,
appell	w4437
<g/>
.
30	w4439
<g/>
)
Kiefer	w4441
cont	w4442
<g/>
.
seine	w4444
Kinder	w4445
erster	w4446
Ehe	w4447
<g/>
,
und	w4449
den	w4450
Hrn	w4451
<g/>
.
Marggrafen	w4453
zu	w4454
Baadendurlach	w4455
<g/>
,
appell	w4457
<g/>
.
Besoldungsabtheilung	w4459
betreffend	w4460
<g/>
.
31	w4462
<g/>
)
Nürnberg	w4464
cont	w4465
<g/>
.
die	w4467
hochfürstl	w4468
<g/>
.
brandenbur=gische	w4470
<g/>
=
Regierung	w4472
zu	w4473
Bayreuth	w4474
<g/>
&
Cons	w4476
mand	w4477
<g/>
.
<g/>
&
parit	w4480
<g/>
.
nunc	w4482
vice	w4483
versa	w4484
restitut	w4485
<g/>
.
in	w4487
integrum	w4488
<g/>
.
puncto	w4490
turbationis	w4491
in	w4492
possessione	w4493
vel	w4494
quasi	w4495
Juris	w4496
die	w4497
innbemeldte	w4498
Nürnbergische	w4499
Censiten	w4500
zu	w4501
exegui=ren	w4502
<g/>
=
<g/>
.
</list>
<head id="hl10">
Wechselcours	w4505
der	w4506
öffentlichen	w4507
Börse	w4508
Wien	w4509
<g/>
,
den	w4511
13	w4512
<g/>
.
Juny	w4514
1772	w4515
<g/>
.
</head>
<p id="p54">
Bey	w4602
dem	w4603
Verleger	w4604
des	w4605
wienerischen	w4606
Dia=riums	w4607
<g/>
=
ist	w4609
zu	w4610
haben	w4611
<g/>
:
Ordnung	w4613
der	w4614
bürgerli=chen	w4615
<g/>
=
Handwerkszunften	w4617
allhier	w4618
zu	w4619
Wien	w4620
<g/>
,
wie	w4622
selche	w4623
am	w4624
Fronleichnamstag	w4625
<g/>
,
und	w4627
in	w4628
der	w4629
Octav	w4630
bey	w4631
der	w4632
grossen	w4633
Proceßion	w4634
mit	w4635
ihren	w4636
Fahnen	w4637
zu	w4638
gehen	w4639
pflegen	w4640
<g/>
:
wie	w4642
auch	w4643
der	w4644
Spitäler	w4645
<g/>
,
und	w4647
Ordensgeistlichen	w4648
<g/>
,
ꝛc	w4650
<g/>
.
</p>
<head id="hl11">
Verzeichniß	w4652
der	w4653
Verstorbenen	w4654
zu	w4655
Wien	w4656
in	w4657
<g/>
,
und	w4659
vor	w4660
der	w4661
Stadt	w4662
<g/>
.
</head>
<head id="hl12">
Den	w4664
11	w4665
<g/>
.
Brachm	w4667
<g/>
.
Jn	w4669
der	w4670
Stadt	w4671
<g/>
.
</head>
<list id="li9">
Die	w4673
wohledlgeb	w4674
<g/>
.
Fr	w4676
<g/>
.
Eleon	w4678
<g/>
.
v	w4680
<g/>
.
Scheurl	w4682
<g/>
,
k	w4684
k	w4685
<g/>
.
Land=probier	w4687
<g/>
=
<g/>
.
Wit	w4690
<g/>
.
von	w4692
Brünn	w4693
aus	w4694
Mähr	w4695
<g/>
.
im	w4697
Dokt	w4698
<g/>
.
Häusler	w4700
<g/>
.
H	w4702
<g/>
.
am	w4704
grün	w4705
Anger	w4706
<g/>
,
alt	w4708
82	w4709
<g/>
.
J	w4711
<g/>
.
Dem	w4713
Hrn	w4714
Gottfr	w4715
<g/>
.
Scherr	w4717
<g/>
,
gew	w4719
<g/>
.
burgl	w4721
<g/>
.
Handlern	w4723
<g/>
.
s	w4725
<g/>
.
Jgf	w4727
<g/>
.
T	w4729
<g/>
.
Ther	w4731
<g/>
.
b	w4733
<g/>
.
Aug	w4735
Gott	w4736
am	w4737
Pet	w4738
<g/>
.
alt	w4740
27	w4741
<g/>
.
J	w4743
<g/>
.
Elisab	w4745
<g/>
.
Glaerin	w4747
<g/>
,
led	w4749
<g/>
.
Dienstm	w4751
<g/>
.
im	w4753
Mauermeister	w4754
Hacklisch	w4755
<g/>
.
H	w4757
<g/>
.
im	w4759
Kumpfg	w4760
<g/>
.
alt	w4762
50	w4763
<g/>
.
J	w4765
<g/>
.
</list>
<head id="hl13">
Vor	w4767
der	w4768
Stadt	w4769
<g/>
.
</head>
<list id="li10">
Dem	w4771
Ant	w4772
<g/>
.
Streit	w4774
<g/>
,
burgl	w4776
<g/>
.
Tändler	w4778
<g/>
,
s	w4780
<g/>
.
W	w4782
<g/>
.
Regina	w4784
<g/>
,
in	w4786
s	w4787
<g/>
.
H	w4789
<g/>
.
Nro	w4791
25	w4792
<g/>
.
am	w4794
Magdalgr	w4795
<g/>
.
alt	w4797
48	w4798
J	w4799
<g/>
.
Fridr	w4801
<g/>
.
Stöckler	w4803
<g/>
,
Bräukn	w4805
<g/>
.
im	w4807
Bräuh	w4808
<g/>
.
zu	w4810
Margar	w4811
<g/>
.
alt	w4813
30	w4814
J	w4815
<g/>
.
</list>
<list id="li11">
Anna	w4817
M	w4818
<g/>
.
Straublin	w4820
<g/>
,
Wit	w4822
<g/>
.
im	w4824
Grundspit	w4825
im	w4826
Lich=tenthal	w4827
<g/>
=
<g/>
,
alt	w4830
71	w4831
<g/>
.
J	w4833
<g/>
.
Math	w4835
<g/>
.
Wernböck	w4837
<g/>
,
Schust	w4839
<g/>
.
b	w4841
<g/>
.
grün	w4843
Stiefel	w4844
im	w4845
Ler=chenfeld	w4846
<g/>
=
<g/>
,
alt	w4849
43	w4850
<g/>
.
J	w4852
Dem	w4853
Math	w4854
<g/>
.
Rathner	w4856
<g/>
,
Fragn	w4858
<g/>
.
s	w4860
<g/>
.
W	w4862
<g/>
.
Anna	w4864
<g/>
,
beym	w4866
blauen	w4867
Stern	w4868
im	w4869
Lichtenth	w4870
<g/>
.
alt	w4872
30	w4873
<g/>
.
J	w4875
<g/>
.
NN	w4877
<g/>
.
ein	w4879
unbek	w4880
<g/>
.
Mannspers	w4882
<g/>
.
b	w4884
<g/>
.
roth	w4886
<g/>
.
Jgl	w4888
am	w4889
Neu=bau	w4890
<g/>
=
<g/>
,
alt	w4893
66	w4894
<g/>
.
J	w4896
<g/>
.
Dem	w4898
Joh	w4899
<g/>
.
Weber	w4901
<g/>
,
Schneid	w4903
<g/>
.
s	w4905
<g/>
.
T	w4907
Ther	w4908
<g/>
.
b	w4910
<g/>
.
blauen	w4912
Löwen	w4913
am	w4914
Neust	w4915
<g/>
.
alt	w4917
16	w4918
J	w4919
<g/>
.
Leonh	w4921
<g/>
.
Ackermann	w4923
<g/>
,
Kutsch	w4925
<g/>
.
b	w4927
<g/>
.
3	w4929
<g/>
.
Lilien	w4931
in	w4932
der	w4933
Jo=sephst	w4934
<g/>
=
<g/>
.
alt	w4937
53	w4938
<g/>
.
J	w4940
<g/>
.
Joh	w4942
<g/>
.
Agner	w4944
<g/>
,
Tagl	w4946
<g/>
.
im	w4948
Piron	w4949
<g/>
.
H	w4951
<g/>
.
in	w4953
der	w4954
Roßau	w4955
<g/>
,
alsalt	w4957
52	w4958
<g/>
.
J	w4960
<g/>
.
Franz	w4962
Oßberger	w4963
<g/>
,
Bräuln	w4965
<g/>
.
alt	w4967
24	w4968
<g/>
.
J	w4970
<g/>
.
Franz	w4972
Benedict	w4973
<g/>
,
Gartn	w4975
<g/>
.
alt	w4977
52	w4978
<g/>
.
J	w4980
<g/>
.
beede	w4982
b	w4983
<g/>
.
Barmh	w4985
<g/>
.
Karl	w4987
Schwasda	w4988
<g/>
,
Wais	w4990
<g/>
,
alt	w4992
7	w4993
<g/>
.
J	w4995
<g/>
.
Jos	w4997
<g/>
.
Mertz	w4999
<g/>
,
Wais	w5001
<g/>
,
alt	w5003
7	w5004
<g/>
.
J	w5006
<g/>
.
beede	w5008
im	w5009
Waisenh	w5010
<g/>
.
am	w5012
Rennweg	w5013
<g/>
.
Sibylla	w5015
Dabökin	w5016
<g/>
,
verh	w5018
<g/>
.
alt	w5020
70	w5021
J	w5022
<g/>
.
b	w5024
<g/>
.
Elisabethinn	w5026
<g/>
.
Eva	w5028
Labschin	w5029
<g/>
,
Wit	w5031
<g/>
.
alt	w5033
73	w5034
<g/>
.
J	w5036
<g/>
.
im	w5038
gr	w5039
<g/>
.
Armenh	w5041
<g/>
.
Joh	w5043
<g/>
.
Aschinger	w5045
<g/>
,
reis	w5047
<g/>
.
Strickergs	w5049
<g/>
.
a	w5051
22	w5052
<g/>
.
J	w5054
<g/>
.
im	w5056
Cont	w5057
<g/>
.
Andre	w5059
Gabalofski	w5060
<g/>
,
alt	w5062
35	w5063
<g/>
.
J	w5065
<g/>
.
Josepha	w5067
Mayerin	w5068
<g/>
,
led	w5070
<g/>
.
M	w5072
<g/>
.
a	w5074
<g/>
.
35	w5076
<g/>
.
J	w5078
<g/>
.
beede	w5080
im	w5081
Bäckh	w5082
<g/>
.
Joh	w5084
<g/>
.
Ridler	w5086
<g/>
,
reis	w5088
<g/>
.
gew	w5090
<g/>
.
Fleischh	w5091a
<g/>
.
alt	w5093
72	w5094
<g/>
.
J	w5096
<g/>
.
Georg	w5098
Binder	w5099
<g/>
,
Bauernkn	w5101
<g/>
.
alt	w5103
40	w5104
<g/>
.
J	w5106
<g/>
.
beede	w5108
im	w5109
Mil	w5110
<g/>
.
Zimm	w5112
<g/>
.
am	w5114
Bäckenh	w5115
<g/>
.
Eva	w5117
Mayrin	w5118
<g/>
,
Schneid	w5120
<g/>
.
Wit	w5122
alt	w5123
41	w5124
<g/>
.
J	w5126
<g/>
.
Lor	w5128
<g/>
.
Arenberger	w5130
<g/>
,
Tagl	w5132
<g/>
.
alt	w5134
36	w5135
<g/>
.
J	w5137
<g/>
.
beede	w5139
im	w5140
Krankh	w5141
<g/>
.
am	w5143
Alsterbach	w5144
<g/>
.
Lor	w5146
<g/>
.
Widmann	w5148
<g/>
,
Rekr	w5150
<g/>
.
alt	w5152
18	w5153
<g/>
.
J	w5155
<g/>
.
im	w5157
Milit	w5158
<g/>
.
Krankh	w5160
<g/>
.
Adam	w5162
Hofmann	w5163
<g/>
,
alt	w5165
21	w5166
<g/>
.
J	w5168
<g/>
.
in	w5170
St	w5171
<g/>
.
Marx	w5173
<g/>
.
</list>
<p id="p55">
Summa	w5175
27	w5176
<g/>
.
Personen	w5178
<g/>
.
</p>
<head id="hl14">
Den	w5180
12	w5181
<g/>
.
Brachm	w5183
<g/>
.
Jn	w5185
der	w5186
Stadt	w5187
</head>
<list id="li12">
Dem	w5188
Jak	w5189
<g/>
.
Aicher	w5191
<g/>
,
burgl	w5193
<g/>
.
Gürtler	w5195
<g/>
,
s	w5197
<g/>
.
W	w5199
<g/>
.
Elis	w5201
<g/>
.
im	w5203
Baderisch	w5204
<g/>
.
H	w5206
<g/>
.
im	w5208
Rothgäss	w5209
<g/>
.
alt	w5211
35	w5212
<g/>
.
J	w5214
<g/>
.
Dem	w5216
Franz	w5217
Lang	w5218
<g/>
,
Laq	w5220
<g/>
.
s	w5222
<g/>
.
K	w5224
Ther	w5225
<g/>
.
im	w5227
Handschuh=macherisch	w5228
<g/>
=
<g/>
.
H	w5231
<g/>
.
am	w5233
Salzgr	w5234
<g/>
.
alt	w5236
1	w5237
<g/>
.
J	w5239
<g/>
.
Bened	w5241
<g/>
.
Berger	w5243
<g/>
,
Hausm	w5245
<g/>
.
im	w5247
gross	w5248
<g/>
.
Rabenh	w5250
<g/>
.
in	w5252
der	w5253
Römerstr	w5254
<g/>
.
alt	w5256
88	w5257
<g/>
.
J	w5259
<g/>
.
</list>
<head id="hl15">
Vor	w5261
der	w5262
Stadt	w5263
<g/>
.
</head>
<list id="li13">
Dem	w5265
Alexand	w5266
<g/>
.
Tausch	w5268
<g/>
,
burgl	w5270
<g/>
.
Fleischh	w5272
<g/>
.
s	w5274
<g/>
.
K	w5276
<g/>
.
Ther	w5278
<g/>
.
in	w5280
s	w5281
<g/>
.
H	w5283
<g/>
.
zu	w5285
Margar	w5286
<g/>
.
alt	w5288
2	w5289
<g/>
.
J	w5291
<g/>
.
Ferd	w5293
<g/>
.
Hedwerger	w5295
<g/>
,
Goldschmidgs	w5297
<g/>
.
b	w5299
<g/>
.
blauen	w5301
Pfauen	w5302
am	w5303
Spitlb	w5304
<g/>
.
alt	w5306
49	w5307
<g/>
.
J	w5309
<g/>
.
Rosina	w5311
Gmeinerin	w5312
<g/>
,
led	w5314
Dienstm	w5315
<g/>
.
im	w5317
Ulrichisch	w5318
<g/>
.
H	w5320
<g/>
.
Nro	w5322
<g/>
.
265	w5324
<g/>
.
in	w5326
der	w5327
Leopst	w5328
<g/>
.
alt	w5330
78	w5331
J	w5332
<g/>
.
Dem	w5334
Jos	w5335
<g/>
.
Koch	w5337
<g/>
,
Tagl	w5339
<g/>
.
s	w5341
<g/>
.
W	w5343
<g/>
.
M	w5345
<g/>
.
Anna	w5347
<g/>
,
zur	w5349
gold	w5350
<g/>
.
Weintraube	w5352
am	w5353
Rennw	w5354
alt	w5355
50	w5356
<g/>
.
J	w5358
<g/>
.
Dem	w5360
Pet	w5361
<g/>
.
Sedlmayr	w5363
<g/>
,
Kutsch	w5365
<g/>
.
s	w5367
<g/>
.
W	w5369
<g/>
.
Christina	w5371
<g/>
,
in	w5373
Mauermeist	w5374
<g/>
.
Meißitsch	w5376
<g/>
.
H	w5378
<g/>
.
a	w5380
<g/>
.
d	w5382
<g/>
.
Wied	w5384
<g/>
.
alt	w5386
38	w5387
<g/>
.
J	w5389
Dem	w5390
Seb	w5391
<g/>
.
Andrioli	w5393
<g/>
,
Aufwart	w5395
<g/>
.
im	w5397
Theatr	w5398
<g/>
.
s	w5400
<g/>
.
K	w5402
<g/>
.
M	w5404
<g/>
.
Anna	w5406
b	w5407
<g/>
.
gold	w5409
Brunn	w5410
am	w5411
Spitlb	w5412
<g/>
.
alt	w5414
4	w5415
<g/>
.
J	w5417
<g/>
.
Joh	w5419
<g/>
.
Leithgeb	w5421
<g/>
,
Thorwartl	w5423
im	w5424
Cont	w5425
<g/>
.
alt	w5427
31	w5428
<g/>
.
J	w5430
<g/>
.
Franz	w5432
Krauß	w5433
<g/>
,
Baader	w5435
<g/>
,
alt	w5437
46	w5438
<g/>
.
J	w5440
<g/>
.
Cath	w5442
<g/>
.
Dietrichin	w5444
<g/>
,
led	w5446
<g/>
.
M	w5448
<g/>
.
alt	w5450
30	w5451
<g/>
.
J	w5453
<g/>
.
Ant	w5455
<g/>
.
Thürmer	w5457
<g/>
,
Schmid	w5459
<g/>
,
alt	w5461
24	w5462
<g/>
.
J	w5464
<g/>
.
Cath	w5466
<g/>
.
Folk	w5468
<g/>
,
led	w5470
<g/>
.
M	w5472
<g/>
.
alt	w5474
60	w5475
<g/>
.
<g/>
,
alle	w5478
5	w5479
<g/>
.
im	w5481
Cont	w5482
<g/>
.
</list>
<list id="li14">
Joh	w5484
<g/>
.
Makeldt	w5486
<g/>
,
Posamentgs	w5488
<g/>
.
alt	w5490
40	w5491
<g/>
.
J	w5493
<g/>
.
Clara	w5495
Naglin	w5496
<g/>
,
verh	w5498
<g/>
.
Tagl	w5500
<g/>
.
alt	w5502
26	w5503
beede	w5504
im	w5505
Bäckh	w5506
<g/>
.
Sim	w5508
<g/>
.
Gumberger	w5510
<g/>
,
Weber	w5512
<g/>
,
alt	w5514
26	w5515
J	w5516
<g/>
.
Joh	w5518
<g/>
.
Laister	w5520
<g/>
,
Bauernbursch	w5522
<g/>
,
alt	w5524
18	w5525
<g/>
.
J	w5527
<g/>
.
Joh	w5529
<g/>
.
Rescheisen	w5531
<g/>
,
Zimmergs	w5533
<g/>
.
alt	w5535
21	w5536
<g/>
.
J	w5538
<g/>
.
alle	w5540
3	w5541
<g/>
.
im	w5543
Mil	w5544
<g/>
.
Zimm	w5546
<g/>
.
am	w5548
Bäckenh	w5549
<g/>
.
Mart	w5551
<g/>
.
Mader	w5553
<g/>
,
R	w5555
<g/>
.
kr	w5557
<g/>
.
alt	w5559
19	w5560
J	w5561
<g/>
.
Wilh	w5563
<g/>
.
Heindl	w5565
<g/>
,
gmr	w5567
<g/>
.
Sold	w5569
alt	w5570
24	w5571
<g/>
.
J	w5573
<g/>
.
Cath	w5575
<g/>
.
Tschichin	w5577
<g/>
,
Sold	w5579
<g/>
.
Weib	w5581
<g/>
,
alt	w5583
36	w5584
<g/>
.
J	w5586
<g/>
.
alle	w5588
3	w5589
im	w5590
Mil	w5591
<g/>
.
Krankenh	w5593
<g/>
.
zu	w5595
Gumpend	w5596
<g/>
.
</list>
<p id="p56">
Summa	w5598
22	w5599
<g/>
.
Person	w5601
<g/>
.
darunter	w5603
3	w5604
<g/>
.
Kind	w5606
</p>
<head id="hl16">
Den	w5607
13	w5608
<g/>
.
Brachm	w5610
<g/>
.
Jn	w5612
der	w5613
Stadt	w5614
<g/>
.
</head>
<list id="li15">
Der	w5616
wohledlgeb	w5617
Hr	w5618
Jgn	w5619
<g/>
.
Frauenberger	w5621
<g/>
,
Hofbuch	w5623
<g/>
.
halter	w5625
bey	w5626
der	w5627
k	w5628
<g/>
.
k	w5630
<g/>
.
Hofkriegsbuchh	w5632
<g/>
.
in	w5634
PræterPraeter	w5635
<g/>
.
b	w5637
<g/>
.
gross	w5639
<g/>
.
Jordan	w5641
am	w5642
Judenpl	w5643
<g/>
.
alt	w5645
71	w5646
<g/>
.
J	w5648
Joh	w5649
<g/>
.
Kisner	w5651
<g/>
,
burgl	w5653
<g/>
.
Goldschm	w5655
<g/>
.
im	w5657
Dokt	w5658
<g/>
.
Latzenh	w5660
<g/>
.
im	w5662
Judeng	w5663
<g/>
.
alt	w5665
80	w5666
J	w5667
<g/>
.
Dem	w5669
Albert	w5670
Ametschleger	w5671
<g/>
,
burgl	w5673
<g/>
.
Schneidm	w5675
s	w5676
<g/>
.
S	w5678
<g/>
.
Jak	w5680
<g/>
.
im	w5682
Schmdisch	w5683
<g/>
.
H	w5685
<g/>
.
im	w5687
Färberg	w5688
<g/>
.
alt	w5690
16	w5691
<g/>
.
J	w5693
<g/>
.
</list>
<head id="hl17">
Vor	w5695
der	w5696
Stadt	w5697
<g/>
.
</head>
<list id="li16">
Tit	w5699
<g/>
.
Fr	w5701
<g/>
.
M	w5703
<g/>
.
Magd	w5705
<g/>
.
Schwaner	w5707
v	w5708
<g/>
.
Schwanenfeld	w5710
<g/>
,
k	w5712
<g/>
.
k	w5714
<g/>
.
Hauptm	w5716
<g/>
.
Wit	w5718
<g/>
.
im	w5720
Matzinger	w5721
<g/>
.
H	w5723
<g/>
.
in	w5725
der	w5726
Alsterg	w5727
<g/>
.
alt	w5729
53	w5730
<g/>
.
J	w5732
<g/>
.
Rosal	w5734
<g/>
.
Schimplin	w5736
<g/>
,
led	w5738
<g/>
.
Naderin	w5740
