<doc id="wr_1761-09-30" attrs="word" year="1761" month="09" day="30" corpus="2">
<head id="h2_d591e2482">
Mastricht	w1_d591e2486
Es	w7_d591e6113
ist	w9_d591e6116
nun	w11_d591e6119
ein	w13_d591e6123
Nachsicht	w1_d591e6129
weiterer	w3_d591e6132
Dienste	w5_d591e6135
für	w7_d591e6138
diejeni	w9_d591e6141
halbes	w11_d591e6144
Jahrbundert,	w13_d591e6148
daß	w15_d591e6151
wir	w17_d591e6154
nicht	w19_d591e6157
das	w21_d591e6160
Vergnügen	w1_d591e6165
gehabt	w3_d591e6168
hatten,	w5_d591e6171
einen	w7_d591e6174
Landes	w9_d591e6177
Herrn	w1_d591e6182
bey	w3_d591e6185
uns	w5_d591e6188
zu	w7_d591e6191
sehen.	w9_d591e6194
Höchstgedachte	w11_d591e6197
Se.	w1_d591e6202
Königl.	w3_d591e6205
Hoheit	w5_d591e6208
nahmen	w7_d591e6211
Dero	w9_d591e6214
Abtritt	w11_d591e6217
auf	w1_d591e6223
dem	w3_d591e6226
Rath=hause.	w5_d591e6229
Daselbst	w7_d591e6232
haben	w9_d591e6235
Sie	w1_d591e6240
gestern	w3_d591e6243
die	w5_d591e6246
feyerliche	w7_d591e6249
Huldigung	w9_d591e6252
mit	w11_d591e6255
prächtigen	w1_d591e6260
Ceremonien	w3_d591e6263
anzunehmen	w5_d591e6266
geru	w7_d591e6269
het,	w1_d591e6274
und	w3_d591e6277
heute	w5_d591e6280
nach	w7_d591e6283
gehaltener	w9_d591e6286
Tafel	w11_d591e6289
sind	w13_d591e6293
Dieselben	w1_d591e6299
unter	w3_d591e6302
vielen	w5_d591e6305
Segens=Wünschen	w7_d591e6308
unserer	w1_d591e6313
Einwohner,	w3_d591e6316
nach	w5_d591e6319
Dero	w7_d591e6322
Residenz	w9_d591e6325
Mietau	w1_d591e6330
zurück	w3_d591e6333
gereiset.	w5_d591e6336
Beyde	w7_d591e6339
Abende	w9_d591e6342
Jhres	w1_d591e6347
Hierseyns	w3_d591e6350
ist	w5_d591e6353
die	w7_d591e6356
ganze	w9_d591e6359
Stadt	w11_d591e6362
illu	w13_d591e6366
miniret	w1_d591e6372
gewesen.	w3_d591e6375
</p>
<head id="h2_d591e6382">
Nordhausen	w1_d591e6386
12.	w3_d591e6389
Sept.	w5_d591e6392
</head>
<p id="p4_d591e6395">
Gestern	w1_d591e6399
sind	w3_d591e6402
Nachmittags	w5_d591e6405
um	w7_d591e6408
4.	w9_d591e6411
Uhr	w11_d591e6414
3000.	w1_d591e6419
Mann	w3_d591e6422
Franzosen	w5_d591e6425
allhier	w7_d591e6428
eingerücket,	w9_d591e6431
um	w1_d591e6436
die	w3_d591e6439
Preußische	w5_d591e6442
und	w7_d591e6445
Alliirte	w9_d591e6448
Magazins	w11_d591e6451
abzuholen,	w1_d591e6457
wozu	w3_d591e6460
viele	w5_d591e6463
Wagen	w7_d591e6466
herbey	w9_d591e6469
ge	w11_d591e6472
schaffet	w1_d591e6477
werden	w3_d591e6480
müssen.	w5_d591e6483
</p>
<head id="h2_d591e6489">
Aus	w1_d591e6493
Westphalen	w3_d591e6496
8.	w5_d591e6499
Septemb.	w7_d591e6502
</head>
<p id="p4_d591e6505">
Den	w1_d591e6509
18.	w3_d591e6512
des	w5_d591e6515
vorigen	w7_d591e6518
Monats	w9_d591e6521
erhielten	w11_d591e6524
die	w1_d591e6529
Unterthanen	w3_d591e6532
der	w5_d591e6535
Grafschaft	w7_d591e6538
Bentheim	w9_d591e6541
Befehle,	w1_d591e6546
sich	w3_d591e6549
mit	w5_d591e6552
ihren	w7_d591e6555
Pferden	w9_d591e6558
und	w11_d591e6561
Wagen	w13_d591e6565
nach	w1_d591e6571
Wesel	w3_d591e6574
zu	w5_d591e6577
begeben,	w7_d591e6580
um	w9_d591e6583
von	w11_d591e6586
dort	w13_d591e6590
schwe	w15_d591e6593
res	w1_d591e6598
Geschütze	w3_d591e6601
nach	w5_d591e6604
der	w7_d591e6607
Armee	w9_d591e6610
des	w11_d591e6613
Prin	w13_d591e6617
zens	w1_d591e6622
von	w3_d591e6625
Soubise	w5_d591e6628
zu	w7_d591e6631
bringen.	w9_d591e6634
Tages	w11_d591e6637
darauf	w1_d591e6642
ward	w3_d591e6645
im	w5_d591e6648
Namen	w7_d591e6651
Sr.	w9_d591e6654
Allerchristlich	w11_d591e6657
sten	w1_d591e6663
Majest.	w3_d591e6666
in	w5_d591e6669
der	w7_d591e6672
ganzen	w9_d591e6675
Grafschaft	w11_d591e6678
die	w13_d591e6682
</p>
<p id="p10_d591e6695">
Huldigung	w1_d591e6699
eingenommen,	w3_d591e6702
auch	w5_d591e6705
von	w7_d591e6708
allen	w9_d591e6711
Landes=herrschaftlichen	w1_d591e6716
Cassen	w3_d591e6719
Besitz	w5_d591e6722
er	w7_d591e6725
griffen.	w1_d591e6730
Fortsetzung	w1_d591e6736
des	w3_d591e6739
Journals	w5_d591e6742
der	w7_d591e6745
Kö	w9_d591e6748
nigl.	w1_d591e6753
Französischen	w3_d591e6756
Armee	w5_d591e6759
unter	w7_d591e6762
dem	w1_d591e6767
Hrn.	w3_d591e6770
Marschall,	w5_d591e6773
Herzogen	w7_d591e6776
von	w9_d591e6779
Broglie,	w1_d591e6784
von	w3_d591e6787
d.	w5_d591e6790
bis	w7_d591e6793
14.	w9_d591e6796
</p>
<p id="p12_d591e6800">
Septemb.	w1_d591e6804
Den	w1_d591e6809
8ten	w3_d591e6812
machte	w5_d591e6815
die	w7_d591e6818
Armee	w9_d591e6821
keine	w11_d591e6824
Bewe	w13_d591e6828
gungen.	w1_d591e6833
Den	w3_d591e6836
9.	w5_d591e6839
kame	w7_d591e6842
ein	w9_d591e6845
Theil	w11_d591e6848
der	w13_d591e6852
Avant	w15_d591e6855
garde	w1_d591e6861
des	w3_d591e6864
Hrn.	w5_d591e6867
Barons	w7_d591e6870
von	w9_d591e6873
Closen	w11_d591e6876
nach	w13_d591e6880
Clausthal,	w1_d591e6885
und	w3_d591e6888
vereinigte	w5_d591e6891
sich	w7_d591e6894
mit	w9_d591e6897
des	w11_d591e6900
Hrn.	w13_d591e6904
von	w1_d591e6909
Belsunce	w3_d591e6912
seiner.	w5_d591e6915
Den	w7_d591e6918
10.	w9_d591e6921
marschirte	w11_d591e6924
der	w1_d591e6929
Herr	w3_d591e6932
von	w5_d591e6935
Closen	w7_d591e6938
von	w9_d591e6941
Clausthal	w11_d591e6944
und	w13_d591e6948
Echte,	w1_d591e6954
wo	w3_d591e6957
seine	w5_d591e6960
Trupen	w7_d591e6963
stunden,	w9_d591e6966
nach	w11_d591e6969
See	w13_d591e6973
sen.	w1_d591e6978
Den	w3_d591e6981
11.	w5_d591e6984
marschirte	w7_d591e6987
die	w9_d591e6990
Armee	w11_d591e6993
von	w13_d591e6997
Sulbeck	w1_d591e7002
nach	w3_d591e7005
Eimbeck,	w5_d591e7008
und	w7_d591e7011
lagerte	w9_d591e7014
sich	w11_d591e7017
auf	w1_d591e7022
denen	w3_d591e7025
vor	w5_d591e7028
dieser	w7_d591e7031
Stadt	w9_d591e7034
gelegenen	w11_d591e7037
Hohen	w13_d591e7041
wodurch	w1_d591e7047
die	w3_d591e7050
Land=strasse	w5_d591e7053
nach	w7_d591e7056
Hameln	w9_d591e7059
geht.	w11_d591e7062
Ein	w1_d591e7067
Lager	w3_d591e7070
von	w5_d591e7073
Reiterey	w7_d591e7076
nahm	w9_d591e7079
die	w11_d591e7082
zwischen	w13_d591e7086
gedachten	w1_d591e7091
Höhen	w3_d591e7094
und	w5_d591e7097
der	w7_d591e7100
Jlm	w9_d591e7103
gelegene	w11_d591e7106
Ebe	w13_d591e7110
ne	w1_d591e7115
ein.	w3_d591e7118
Der	w5_d591e7121
Herr	w7_d591e7124
Graf	w9_d591e7127
von	w11_d591e7130
der	w13_d591e7134
Lausitz	w15_d591e7137
be	w17_d591e7140
gab	w1_d591e7146
sich	w3_d591e7149
nach	w5_d591e7152
Gandersheim.	w7_d591e7155
Die	w9_d591e7158
Fran	w11_d591e7161
zösische	w1_d591e7166
Jnfanterie,	w3_d591e7169
die	w5_d591e7172
unter	w7_d591e7175
ihm	w9_d591e7178
gestan	w11_d591e7181
den,	w1_d591e7186
rückte	w3_d591e7189
wieder	w5_d591e7192
in	w7_d591e7195
ihre	w9_d591e7198
Treffen	w11_d591e7201
ein.	w13_d591e7205
Der	w1_d591e7210
Herr	w3_d591e7213
Baron	w5_d591e7216
von	w7_d591e7219
Closen	w9_d591e7222
marschirte	w11_d591e7225
nach	w1_d591e7231
Alt=gandersheim.	w3_d591e7234
Der	w5_d591e7237
Marsch	w7_d591e7240
der	w9_d591e7243
Armee	w1_d591e7248
nach	w3_d591e7251
Eimbeck	w5_d591e7254
veranlaßte	w7_d591e7257
den	w9_d591e7260
Rück	w11_d591e7263
zug	w1_d591e7268
des	w3_d591e7271
bey	w5_d591e7274
Scherf=oldendorf	w7_d591e7277
gestandenen	w9_d591e7280
Wutgenauischen	w1_d591e7285
Corps,	w3_d591e7288
welches	w5_d591e7291
sich	w7_d591e7294
noch	w9_d591e7297
selbigen	w1_d591e7303
Abend	w3_d591e7306
näher	w5_d591e7309
gegen	w7_d591e7312
Hameln	w9_d591e7315
zog.	w11_d591e7318
Den	w1_d591e7323
12.	w3_d591e7326
campirte	w5_d591e7329
der	w7_d591e7332
Herr	w9_d591e7335
Graf	w11_d591e7338
von	w13_d591e7342
Cha	w15_d591e7345
bot	w1_d591e7350
zu	w3_d591e7353
Stadt	w5_d591e7356
Oldendorf.	w7_d591e7359
Den	w9_d591e7362
13.	w11_d591e7365
ließ	w13_d591e7369
der	w1_d591e7374
Herr	w3_d591e7377
Marschall	w5_d591e7380
die	w7_d591e7383
feindliche	w9_d591e7386
Stellung	w11_d591e7389
durch	w1_d591e7395
den	w3_d591e7398
Hrn.	w5_d591e7401
von	w7_d591e7404
Rozieres,	w9_d591e7407
Unterquar	w11_d591e7410
tier=meister,	w1_d591e7415
mit	w3_d591e7418
100.	w5_d591e7421
Pferden	w7_d591e7424
recognosci	w9_d591e7427
ren.	w1_d591e7432
Er	w3_d591e7435
fand	w5_d591e7438
eine	w7_d591e7441
feindliche	w9_d591e7444
Feld=wacht,	w11_d591e7447
die	w1_d591e7452
er	w3_d591e7455
durch	w5_d591e7458
30.	w7_d591e7461
Dragoner	w9_d591e7464
angreiffen	w11_d591e7467
liesse.	w13_d591e7471
und	w1_d591e7477
von	w3_d591e7480
welcher	w5_d591e7483
12.	w7_d591e7486
Gefangene	w9_d591e7489
gemacht	w11_d591e7492
wurden.	w1_d591e7497
Jhr	w3_d591e7500
folgten	w5_d591e7503
4.	w7_d591e7506
Bataillons	w9_d591e7509
und	w11_d591e7512
4.	w1_d591e7517
Escadrons,	w3_d591e7520
die	w5_d591e7523
sich	w7_d591e7526
vorwärts	w9_d591e7529
Neuhan	w11_d591e7532
sen	w1_d591e7537
setzten.	w3_d591e7540
Der	w5_d591e7543
Herr	w7_d591e7546
de	w9_d591e7549
la	w11_d591e7552
Roziere	w13_d591e7556
be	w15_d591e7559
</p>
<p id="p14_d591e7562">
nachrichtigte	w1_d591e7566
den	w3_d591e7569
Hrn.	w5_d591e7572
Grafen	w7_d591e7575
von	w9_d591e7578
Caraman	w11_d591e7581
hievon,	w1_d591e7586
den	w3_d591e7589
der	w5_d591e7592
Hr.	w7_d591e7595
Marschall	w9_d591e7598
auf	w11_d591e7601
seinen	w13_d591e7605
Bericht	w1_d591e7610
drey	w3_d591e7613
Grenadier	w5_d591e7616
und	w7_d591e7619
Jägerbatail	w9_d591e7622
lons	w1_d591e7628
nebst	w3_d591e7631
dem	w5_d591e7634
Befehl	w7_d591e7637
zuschickte,	w9_d591e7640
den	w11_d591e7643
Feind	w13_d591e7647
anzugreiffen.	w1_d591e7652
Den	w3_d591e7655
14.	w5_d591e7658
kame	w7_d591e7661
der	w9_d591e7664
Hr.	w11_d591e7667
von	w13_d591e7671
Caraman	w1_d591e7676
um	w3_d591e7679
Mitternacht	w5_d591e7682
auf	w7_d591e7685
denen	w9_d591e7688
An	w11_d591e7691
höhen	w1_d591e7696
hinter	w3_d591e7699
Neuhaus	w5_d591e7702
an.	w7_d591e7705
Aus	w9_d591e7708
Furcht,	w11_d591e7711
durch	w1_d591e7717
längern	w3_d591e7720
Verzug	w5_d591e7723
entdeckt	w7_d591e7726
zu	w9_d591e7729
werden,	w11_d591e7732
liesse	w1_d591e7737
er	w3_d591e7740
uuverzüglich	w5_d591e7743
durch	w7_d591e7746
die	w9_d591e7749
Dragoner,	w11_d591e7752
die	w1_d591e7757
Cavallerie,	w3_d591e7760
die	w5_d591e7763
Freywilligen	w7_d591e7766
von	w9_d591e7769
Au	w11_d591e7772
strasien	w1_d591e7777
und	w3_d591e7780
das	w5_d591e7783
Grenadier	w7_d591e7786
und	w9_d591e7789
Jäger	w11_d591e7792
bataillon	w1_d591e7798
von	w3_d591e7801
Castellas	w5_d591e7804
angreiffen.	w7_d591e7807
Dieses	w9_d591e7810
geschah,	w1_d591e7815
da	w3_d591e7818
man	w5_d591e7821
nicht	w7_d591e7824
entdeckt	w9_d591e7827
worden,	w11_d591e7830
mit	w1_d591e7835
gutem	w3_d591e7838
Erfolg.	w5_d591e7841
Der	w7_d591e7844
Feind	w9_d591e7847
hat	w11_d591e7850
sich,	w13_d591e7854
unerachtet	w1_d591e7859
er	w3_d591e7862
überfallen	w5_d591e7865
worden,	w7_d591e7868
sehr	w9_d591e7871
gut	w11_d591e7874
vertheidiget.	w1_d591e7880
Man	w3_d591e7883
hat	w5_d591e7886
ihme	w7_d591e7889
3.	w9_d591e7892
Cano	w11_d591e7895
nen,	w1_d591e7900
eine	w3_d591e7903
Fahne,	w5_d591e7906
ungefehr	w7_d591e7909
200.	w9_d591e7912
Gefangene	w11_d591e7915
und	w1_d591e7920
sein	w3_d591e7923
Lager	w5_d591e7926
abgenommen.	w7_d591e7929
Der	w9_d591e7932
Bri	w11_d591e7935
gadier,	w1_d591e7940
Hr.	w3_d591e7943
von	w5_d591e7946
Vignolles,	w7_d591e7949
so	w9_d591e7952
sich	w11_d591e7955
nebst	w13_d591e7959
dem	w15_d591e7962
das	w1_d591e7968
Grenadier	w3_d591e7971
und	w5_d591e7974
Jäger=bataillon	w7_d591e7977
com	w9_d591e7980
mandirenden	w1_d591e7985
Hrn.	w3_d591e7988
Baron	w5_d591e7991
von	w7_d591e7994
Berg	w9_d591e7997
sehr	w11_d591e8000
hervorgethan,	w1_d591e8005
ist	w3_d591e8008
gefährlich,	w5_d591e8011
der	w7_d591e8014
Hr.	w9_d591e8017
von	w11_d591e8020
Souvigny	w1_d591e8025
aber	w3_d591e8028
leicht	w5_d591e8031
verwundet.	w7_d591e8034
Unser	w9_d591e8037
Verlust	w1_d591e8043
bestehet	w3_d591e8046
in	w5_d591e8049
etwann	w7_d591e8052
80.	w9_d591e8055
Todten	w11_d591e8058
und	w13_d591e8062
Bleßirten,	w1_d591e8067
meist	w3_d591e8070
von	w5_d591e8073
denen	w7_d591e8076
Freywilligen	w9_d591e8079
von	w1_d591e8084
Austrasten,	w3_d591e8087
oder	w5_d591e8090
denen	w7_d591e8093
Grenadiers	w9_d591e8096
und	w11_d591e8099
Jägern.	w1_d591e8104
</p>
<head id="h2_d591e8110">
Unterrheinstrom	w1_d591e8114
11.	w3_d591e8117
Sept.	w5_d591e8120
</head>
<p id="p4_d591e8123">
Von	w1_d591e8127
Paris	w3_d591e8130
wird	w5_d591e8133
nochmalen	w7_d591e8136
bestättiget,	w9_d591e8139
daß	w1_d591e8144
die	w3_d591e8147
Befehle	w5_d591e8150
an	w7_d591e8153
die	w9_d591e8156
Herren	w11_d591e8159
Marschal	w13_d591e8163
len	w1_d591e8168
von	w3_d591e8171
Soubise	w5_d591e8174
und	w7_d591e8177
Broglio	w9_d591e8180
erneueret	w11_d591e8183
worden,	w1_d591e8189
gemeinsamlich	w3_d591e8192
gegen	w5_d591e8195
die	w7_d591e8198
Feinde	w9_d591e8201
zu	w11_d591e8204
agiren,	w1_d591e8209
und	w3_d591e8212
die	w5_d591e8215
Unternehmungen	w7_d591e8218
nachdrück	w9_d591e8221
lich	w1_d591e8226
wider	w3_d591e8229
dieselbe	w5_d591e8232
auszuführen,	w7_d591e8235
deswegen	w9_d591e8238
der	w1_d591e8243
Erfolg	w3_d591e8246
mit	w5_d591e8249
Ungedult	w7_d591e8252
erwartet	w9_d591e8255
wird.	w11_d591e8258
Die	w13_d591e8262
Nordischen	w1_d591e8268
Angelegenheiten	w3_d591e8271
dörften	w5_d591e8274
baldigst	w7_d591e8277
mehrere	w1_d591e8282
Aufmerksamkeit	w3_d591e8285
erwecken,	w5_d591e8288
und	w7_d591e8291
die	w9_d591e8294
Absichten	w1_d591e8299
der	w3_d591e8302
Dänischen	w5_d591e8305
Kriegs=macht,	w7_d591e8308
wei	w9_d591e8311
che	w1_d591e8316
bis	w3_d591e8319
dahin	w5_d591e8322
ein	w7_d591e8325
Geheimniß	w9_d591e8328
gewesen,	w11_d591e8331
entwi	w13_d591e8335
ckeln,	w1_d591e8341
indeme	w3_d591e8344
der	w5_d591e8347
König	w7_d591e8350
in	w9_d591e8353
Dännemark	w11_d591e8356
im	w13_d591e8360
Begrif	w1_d591e8365
stehen	w3_d591e8368
solle,	w5_d591e8371
sich	w7_d591e8374
des	w9_d591e8377
Herzogtum	w11_d591e8380
Hollsteins	w1_d591e8385
zu	w3_d591e8388
bemeistern,	w5_d591e8391
als	w7_d591e8394
zu	w9_d591e8397
welchem	w11_d591e8400
</p>
<p id="p10_d591e8413">
Ende	w1_d591e8417
der	w3_d591e8420
Feld=marschall	w5_d591e8423
Graf	w7_d591e8426
von	w9_d591e8429
St.	w11_d591e8432
Ger	w13_d591e8436
main	w1_d591e8441
würklich	w3_d591e8444
die	w5_d591e8447
nöhtigen	w7_d591e8450
Befehle	w9_d591e8453
erhalten	w11_d591e8456
habe,	w1_d591e8461
folglich	w3_d591e8464
alles	w5_d591e8467
nur	w7_d591e8470
noch	w9_d591e8473
auf	w11_d591e8476
der	w13_d591e8480
Erklä	w15_d591e8483
rung	w1_d591e8489
Sr.	w3_d591e8492
Kaiserl.	w5_d591e8495
Hoheit	w7_d591e8498
des	w9_d591e8501
Großherzo	w11_d591e8504
gen	w1_d591e8509
von	w3_d591e8512
Rußland	w5_d591e8515
beruhe,	w7_d591e8518
von	w9_d591e8521
deren	w11_d591e8524
die	w13_d591e8528
Ausführung	w1_d591e8533
des	w3_d591e8536
von	w5_d591e8539
dem	w7_d591e8542
Dänischen	w9_d591e8545
Hof	w11_d591e8548
gefasten	w1_d591e8553
Entschlusses,	w3_d591e8556
oder	w5_d591e8559
ein	w7_d591e8562
gütlicher	w9_d591e8565
Ver	w11_d591e8568
gleich	w1_d591e8574
abhange;	w3_d591e8577
zumalen	w5_d591e8580
viele	w7_d591e8583
KriegsGe	w9_d591e8586
rätschaft	w1_d591e8591
und	w3_d591e8594
schwere	w5_d591e8597
Stücke	w7_d591e8600
von	w9_d591e8603
Coppen	w11_d591e8606
hagen	w1_d591e8611
nacher	w3_d591e8614
Altona	w5_d591e8617
schon	w7_d591e8620
übergeführet	w9_d591e8623
wor	w11_d591e8626
den.	w1_d591e8631
Die	w3_d591e8634
Einwohner	w5_d591e8637
aus	w7_d591e8640
demjenigen	w9_d591e8643
Theil	w11_d591e8646
Hollsteins,	w1_d591e8652
welcher	w3_d591e8655
dem	w5_d591e8658
Herzogen	w7_d591e8661
zugehöret,	w9_d591e8664
suche	w1_d591e8669
ihre	w3_d591e8672
vornehmste	w5_d591e8675
Habschaften	w7_d591e8678
in	w9_d591e8681
Sicher	w11_d591e8684
heit	w1_d591e8689
zu	w3_d591e8692
bringen,	w5_d591e8695
und	w7_d591e8698
der	w9_d591e8701
Raht	w11_d591e8704
zu	w13_d591e8708
Kiel	w15_d591e8711
hat	w17_d591e8714
das	w19_d591e8717
Archiv	w1_d591e8722
nach	w3_d591e8725
Hamburg	w5_d591e8728
geflüchtet,	w7_d591e8731
für	w9_d591e8734
welches	w11_d591e8737
gleichwolen	w1_d591e8743
dasiger	w3_d591e8746
Magistrat	w5_d591e8749
nicht	w7_d591e8752
gut	w9_d591e8755
ste	w11_d591e8758
hen	w1_d591e8763
will,	w3_d591e8766
sondern	w5_d591e8769
demselben	w7_d591e8772
anzeigen	w9_d591e8775
lassen,	w11_d591e8778
im	w1_d591e8783
Fall	w3_d591e8786
Se.	w5_d591e8789
Königl.	w7_d591e8792
Majestät	w9_d591e8795
in	w11_d591e8798
Dänne	w13_d591e8802
mark	w1_d591e8807
dessen	w3_d591e8810
Auslieferung	w5_d591e8813
begehren	w7_d591e8816
solte,	w9_d591e8819
man	w1_d591e8825
solches	w3_d591e8828
nicht	w5_d591e8831
würde	w7_d591e8834
abseyn	w9_d591e8837
können.	w11_d591e8840
Auf	w13_d591e8844
diesem	w1_d591e8849
Fuß	w3_d591e8852
stehen	w5_d591e8855
dermalen	w7_d591e8858
die	w9_d591e8861
Sachen	w11_d591e8864
zwi	w13_d591e8868
schen	w1_d591e8873
denen	w3_d591e8876
Höfen	w5_d591e8879
zu	w7_d591e8882
Petersburg,	w9_d591e8885
und	w11_d591e8888
Copenhagen;	w1_d591e8893
ehedeme	w3_d591e8896
hatte	w5_d591e8899
der	w7_d591e8902
Graf	w9_d591e8905
von	w11_d591e8908
Lynar	w1_d591e8914
dieses	w3_d591e8917
Geschäft	w5_d591e8920
an	w7_d591e8923
dem	w9_d591e8926
Rußischen	w11_d591e8929
Hof	w1_d591e8934
jedoch	w3_d591e8937
ohne	w5_d591e8940
Frucht	w7_d591e8943
betrieben,	w9_d591e8946
nach	w11_d591e8949
diesem	w1_d591e8954
war	w3_d591e8957
es	w5_d591e8960
um	w7_d591e8963
einen	w9_d591e8966
Tractat	w11_d591e8969
wegen	w13_d591e8973
Sicherheit	w1_d591e8978
der	w3_d591e8981
Schiffahrt,	w5_d591e8984
und	w7_d591e8987
der	w9_d591e8990
Handlung	w11_d591e8993
in	w1_d591e8999
der	w3_d591e9002
Baltischen	w5_d591e9005
See	w7_d591e9008
zu	w9_d591e9011
thun	w11_d591e9014
in	w13_d591e9018
welchen	w15_d591e9021
Dän	w17_d591e9024
nemark	w1_d591e9029
sich	w3_d591e9032
nicht	w5_d591e9035
einlassen	w7_d591e9038
wollen,	w9_d591e9041
es	w11_d591e9044
wäre	w13_d591e9048
dann	w1_d591e9053
daß	w3_d591e9056
der	w5_d591e9059
Groß=herzog	w7_d591e9062
sich	w9_d591e9065
zu	w11_d591e9068
einem	w13_d591e9072
Ab	w15_d591e9075
tausch	w1_d591e9080
des	w3_d591e9083
Hollsteinischen	w5_d591e9086
gegen	w7_d591e9089
die	w9_d591e9092
Grafschaf	w11_d591e9095
ten	w1_d591e9101
Oldenburg	w3_d591e9104
und	w5_d591e9107
Delmenhorst	w7_d591e9110
verstünde,	w9_d591e9113
und	w1_d591e9118
seit	w3_d591e9121
mehr	w5_d591e9124
als	w7_d591e9127
einem	w9_d591e9130
Jahr	w11_d591e9133
hat	w13_d591e9137
der	w15_d591e9140
König	w1_d591e9145
in	w3_d591e9148
Dännemark	w5_d591e9151
durch	w7_d591e9154
seine	w9_d591e9157
Ministers	w11_d591e9160
zu	w1_d591e9165
erkennen	w3_d591e9168
geben,	w5_d591e9171
daß	w7_d591e9174
wann	w9_d591e9177
durch	w11_d591e9180
Un	w13_d591e9184
terhandlungen	w1_d591e9190
nichts	w3_d591e9193
auszurichten	w5_d591e9196
seye,	w7_d591e9199
er	w1_d591e9204
ernstlichere	w3_d591e9207
Mittel	w5_d591e9210
ergreiffen	w7_d591e9213
werde;	w9_d591e9216
un	w11_d591e9219
geachtet	w1_d591e9224
nun	w3_d591e9227
der	w5_d591e9230
Hof	w7_d591e9233
zu	w9_d591e9236
Petersburg	w11_d591e9239
von	w13_d591e9243
die	w15_d591e9246
sem	w1_d591e9251
allem	w3_d591e9254
Wissenschaft	w5_d591e9257
gehabt,	w7_d591e9260
hat	w9_d591e9263
dersel	w11_d591e9266
bige	w1_d591e9272
gleichwolen	w3_d591e9275
bis	w5_d591e9278
dahin	w7_d591e9281
gelinde	w9_d591e9284
Mittel	w11_d591e9287
und	w1_d591e9292
Weege	w3_d591e9295
gefunden,	w5_d591e9298
alle	w7_d591e9301
Thätlichkeiten	w9_d591e9304
abzuwenden.	w1_d591e9309
</p>
<head id="h2_d591e9315">
Wien	w1_d591e9319
den	w3_d591e9322
30.	w5_d591e9325
Septemb.	w7_d591e9328
1761.	w9_d591e9331
</head>
<p id="p4_d591e9334">
Nontags	w1_d591e9338
den	w3_d591e9341
28.	w5_d591e9344
dieses	w7_d591e9347
hat	w9_d591e9350
die	w11_d591e9353
alhier	w13_d591e9357
sich	w1_d591e9364
befindende	w3_d591e9367
löbl.	w5_d591e9370
Böheimische	w7_d591e9373
Na	w9_d591e9376
tion	w1_d591e9381
das	w3_d591e9384
Fest	w5_d591e9387
ihres	w7_d591e9390
Heil.	w9_d591e9393
Landes=patrons	w11_d591e9396
St.	w1_d591e9402
Wenceslai	w3_d591e9405
mit	w5_d591e9408
einer	w7_d591e9411
Lob	w9_d591e9414
und	w11_d591e9417
Ehren	w13_d591e9421
rede,	w1_d591e9426
dann	w3_d591e9429
einem	w5_d591e9432
musicalischen	w7_d591e9435
Hoch=amt	w9_d591e9438
in	w1_d591e9443
der	w3_d591e9446
K.	w5_d591e9449
K.	w7_d591e9452
Hof=pfarr=kirche	w9_d591e9455
derer	w11_d591e9458
W.	w13_d591e9462
W.	w15_d591e9465
E.	w1_d591e9470
E.	w3_d591e9473
P.	w5_d591e9476
P.	w7_d591e9479
Augustiner=baarfüssern	w9_d591e9482
auf	w11_d591e9485
das	w1_d591e9491
prächtigste	w3_d591e9494
gehalten.	w5_d591e9497
Gestern	w1_d591e9502
wurde	w3_d591e9505
in	w5_d591e9508
der	w7_d591e9511
K.	w9_d591e9514
K.	w11_d591e9517
Hofpfarr	w13_d591e9521
kirche	w1_d591e9526
der	w3_d591e9529
P.	w5_d591e9532
P.	w7_d591e9535
Michaelern	w9_d591e9538
das	w11_d591e9541
Titular=fest	w13_d591e9545
des	w1_d591e9550
Heil.	w3_d591e9553
Erz=engels	w5_d591e9556
Michael	w7_d591e9559
mit	w9_d591e9562
einem	w11_d591e9565
Hoch=amt	w1_d591e9571
begangen,	w3_d591e9574
wozu	w5_d591e9577
die	w7_d591e9580
Music	w9_d591e9583
von	w11_d591e9586
der	w1_d591e9591
Mademoiselle	w3_d591e9594
Martinez,	w5_d591e9597
einer	w7_d591e9600
erst	w9_d591e9603
16.	w11_d591e9606
Jahr	w1_d591e9611
alten	w3_d591e9614
Virtuosin	w5_d591e9617
alhier	w7_d591e9620
componiret,	w9_d591e9623
und	w1_d591e9628
wegen	w3_d591e9631
ihrer	w5_d591e9634
Vortreflichkeit	w7_d591e9637
von	w9_d591e9640
allen	w11_d591e9643
Kunst=verständigen	w1_d591e9649
bewunderet	w3_d591e9652
worden.	w5_d591e9655
</p>
<p id="p6_d591e9658">
Mit	w1_d591e9662
den	w3_d591e9665
jüngsten	w5_d591e9668
Briefen	w7_d591e9671
aus	w9_d591e9674
Schlesien	w11_d591e9677
hat	w1_d591e9682
man	w3_d591e9685
erfahren,	w5_d591e9688
daß	w7_d591e9691
der	w9_d591e9694
König	w11_d591e9697
in	w13_d591e9701
Preus	w15_d591e9704
sen	w1_d591e9709
den	w3_d591e9712
26.	w5_d591e9715
dieses	w7_d591e9718
in	w9_d591e9721
der	w11_d591e9724
Frühe,	w13_d591e9728
da	w15_d591e9731
ein	w17_d591e9734
dicker	w1_d591e9740
Rebel	w3_d591e9743
war,	w5_d591e9746
aus	w7_d591e9749
